http://movie.douban.com/subject/2136078/	水浒无间道 水滸無間道
(5星)	 24集，夏松荫为了救nicole给林子聪背黑锅。我联想到《蝙蝠侠6》，真正的英雄应该是为了他人的安危，宁愿自己留下千古骂名，含恨九泉的。反面的例子就是明代忠臣烈士，冒死上奏，希望被昏君赐死，落个千古流芳。            
(5星)	 五星因为Chilam            
(4星)	 男女主都是我的心头好~怎能不爱            
(3星)	 前半部挺搞笑的。。。武松、林冲、还有潘金莲凑一起最逗了。。。            
(NA)	 可以看看            
(3星)	 演技有点假。            
(5星)	 TVB编剧最棒的一部戏。不到最后真分不清真真假假，节奏也紧凑。            
(4星)	 黎姿总是吹胡子瞪眼，太囧了，明显配不上大仙，大仙还是配王喜算了            
(4星)	 可爱的剧情，可爱的老虎~            
(4星)	 腐的类~            
(4星)	 黎姿的美腿，老霸道了杨怡在里面是不是有点儿太男人了……            
(3星)	 纯粹为了打发时间看的，有些白目。不过，到为我未来的狗狗多了个备选名字，淑男啊~            
(4星)	 幽默            
(4星)	 张智霖！！            
(4星)	 来看帅哥美女的            
(5星)	 大仙和gigi好配。。。            
(3星)	 前半段想给四星的 奈何后面气氛沉重了  还是搞笑好搞笑好            
(4星)	 好喜欢张智霖            
(4星)	 黎姿的潘金莲好惊艳啊            
(5星)	 天呐 超爱            
(4星)	 时间和空间的置换，让人看不清状况            
(4星)	 剧情算是比较简单，很轻松。看完之后耳边经常浮现那句：“你是林大哥”……            
(5星)	 我发现张智霖无论演什么角色都是我喜欢的类型            
(4星)	 大仙颜的巅峰&gt;&lt;            
(5星)	 好喜欢黎姿和张智霖啊，两个人太配了，剧情也很搞笑，很好看的一部港片            
(4星)	 看到当中的时候，连我都有点怀疑林子聪的人了。。。失败啊            
(5星)	 张智霖最帅。。。。哈哈哈            
(5星)	 喜欢每个人            
(3星)	 当初亡魂多，孟婆汤少，前世记忆缭绕，今世解开孽缘。又一个交换伴侣的。现装的古代让人觉得有些作~最后实在是有些囧~            
(3星)	 有笑点，主角也都不错，看过都觉几OK。            
(3星)	 张智霖还是那么讨喜啊。。。            
(5星)	 最爱大仙~！            
(NA)	 非常喜欢······            
(4星)	 好不错，有些地方是狗血了一点，但总体还是蛮搞笑的~~~王喜演得好好玩~只是林子聪和小善的感情戏太少了            
(2星)	 看了几集就不想看了            
(4星)	 其实我想说~这片还算是TVB比较好看的了~虽然有点恶搞~但还不错~            
(5星)	 喜欢穿越，很搞笑~            
(4星)	 还是高中时候看的 喜欢王喜            
(3星)	 智霖同学笑起来酒窝很可爱！萌！大仙~~ 完全看不出年龄！            
(3星)	 算是一个背景剧集的句号。。。最后冲刺阶段决定用豆瓣电台替代TVB剧了            
(5星)	 腐腐腐腐腐腐腐!!! 大仙好帅            
(5星)	 看着很简单  实际每件都是用生命去驳的            
(5星)	 喜欢黎姿，真的是大美女不知道为什么，看过N次这部戏了，觉得拍的感觉很吸引我            
(NA)	 名子让人觉得很无聊，但其实剧情真的很棒的！            
(5星)	 看了3、4遍了，可是还想再看            
(4星)	 最近准备再怀念一下。            
(5星)	 很好看的一部剧！！            
(4星)	 超萌冬虫草啊            
(5星)	 非常棒的一部TVB剧集！            
(4星)	 好销魂的潘金莲！！！            
(5星)	 冲着大仙和GIGI~            
(4星)	 我喜欢大神            
(4星)	 武松离开黑社会之后就没那么欢了            
(4星)	 没什么印象了。不过记得当初确实很吸引我~~~            
(3星)	 看过，还行..            
(4星)	 啊哈哈            
(5星)	 黎姿的魅力无法抗拒，张智霖发型最帅的一部            
(NA)	 我喜欢的港剧，推荐看：）            
(3星)	 结局太假~反转成这样 欺骗观众啊            
(NA)	 好。爱上杨怡．            
(4星)	 冬虫草。正气又补身。            
(NA)	 冲着黎姿去看的，故事情节一般，服装道具也没有很多可圈可点之处。可以关注的是黎姿在戏中变成了一个对爱执着，有点霸道的女人，有赵敏的风范            
(3星)	 蛮早以前看的，印象不深刻            
(4星)	 好好睇！            
(5星)	 喜欢王喜在里面的角色，还有黎姿在里面的造型非常漂亮。            
(4星)	 当时真是被张智霖迷死了            
(5星)	 还是超喜欢 说不出来的爱啊。。。            
(4星)	 大仙演武松好搞笑的，Gigi古装还是这么漂亮，王喜演过了，不喜欢杨怡，可惜全剧只有宋波一单case，是收视率低的主要原因罢            
(4星)	 黎姿美女呀~~很雷很搞笑~~不错不错            
(5星)	 黎姿~            
(3星)	 是冲着张智霖去看的！            
(3星)	 黎姿的角色总是晚节不保，刚开始总是好的，到了后面总叫人厌恶。            
(NA)	 冬虫草好可爱啊~~~            
(4星)	 武松和林冲原来关系这么好            
(5星)	 看多少遍都不会腻！！            
(5星)	 剧情比较有吸引，张智霖很帅，黎姿很pp，4个人的感情戏很好看            
(5星)	 完全有爱GIGI和CHILAM啊。剧情也几新颖。            
(4星)	 我就是喜欢张智霖和gigi!最好的电视剧就是有我最喜欢的演员，还是演情侣~！            
(4星)	 张智霖.......    嘻嘻            
(3星)	 还行的一部片子吧~            
(3星)	 连环套，计中计，但是身为连续剧很好地缓和了紧张气氛            
(4星)	 都是喜歡的主角~口水~            
(3星)	 还可以吧            
(3星)	 20090307            
(5星)	 每次黄sir见冬虫草嘅场景都搞笑都鬼咁啊，就凭呢点都五星拉。            
(4星)	 至善師太            
(3星)	 边玩游戏边看......            
(4星)	 黎姿太漂亮了            
(5星)	 超好啊            
(NA)	 post-Alevel!            
(4星)	 喜欢至善的造型~            
(4星)	 结局差强人意            
(NA)	 chilam也可以演这么黑色幽默的剧。。难得。。            
(3星)	 其实总共只看了3、4集的样子 剧情很弱智，还好靠演员撑了起来。张智霖真是不老啊。            
(5星)	 可以融合喜剧，精彩，看点多多的片子~            
(NA)	 恶搞+KUSO            
(4星)	 剧情是蛮白目的，不过还算轻松搞笑，张智霖很帅，黎姿很美            
(4星)	 挺能想的            
(3星)	 霖霖，哈哈~花痴了！            
(4星)	 剧情二星，张智霖，加一星，黎姿，加一星            
(3星)	 黎姿好漂亮啊            
(5星)	 这部很经典 我喜欢 虽然很搞            
(4星)	 老早要看的电视剧，一直没看，终于如愿，搞完它了，拍的不错，好看            
(NA)	 老婆喜欢            
(5星)	 最爱            
(5星)	 這套劇在坊間劣評如潮，但…我真係覺得好好笑﹗係翻睇都笑得出那種喎…(黎視后又一難頂演出…)            
(4星)	 大仙非常帅～            
(4星)	 超喜欢里面的张智霖！            
(NA)	 CHILI            
(NA)	 2005年      又名: Shades Of Truth            
(4星)	 有趣的一部劇            
(NA)	 警察跟流氓到底有多大的区别？如果要我选择，我宁愿自由的当个好流氓            
(5星)	 近年来少有的虎头虎尾            
(2星)	 扯。。。            
(5星)	 大仙好帅，好可爱....冬虫草，彻底中张智霖毒的片            
(5星)	 这部片子觉得王喜很有男人味!            
(4星)	 [MSc] 比较搞笑 港剧的编剧很善于跟风            
(4星)	 很帅的造型,冬虫草            
