http://movie.douban.com/subject/3904560/	水浒传
(4星)	 如果你想杀了宋江，那就是本片成功了。到位的武打动作，到位的演员。配乐是赵季平，北方民族乐谣集中营，很真实的还原民乐。片尾曲配合上刘欢的洒脱唱法，绝了。唯一的遗憾就是没有完全还原原著，起码内容上删了不少、            
(5星)	 真有杀了宋江那鸟人的冲动！。            
(5星)	 我持肯定的  首先一点是挑梁的李雪健 是我理解的宋江            
(4星)	 印象最深的还是刘欢的主题曲            
(5星)	 确实删了不少我心水的段子，但那个结局啊结局啊！这版林教头开启我少女心让我从此爱上苦逼英雄是后话            
(4星)	 就是有点不完整。            
(4星)	 ！！！！            
(5星)	 主题歌经典，风风火火闯九州！            
(4星)	 大河向东流啊            
(3星)	 央视版四大名著里最让人失望的一部作品。            
(5星)	 路见不平一声吼。。。。。。            
(5星)	 奇了怪了，分数怎么会这么低，无懈可击的一部经典，底蕴是经得住时间的考验的！            
(5星)	 爷爷生在石碣村 禀性生来要杀人 先斩何涛巡检首 再杀东京鸟官人 英雄不会读诗书 只在梁山泊里住 虽然生得泼皮身 杀贼原来不杀人 爷爷生在天地间 不怕朝廷不怕官 水泊撒下罗天网 乌龟王八罩里边 爷爷生在天地间 不求富贵不做官 梁山泊里过一世 好吃            
(5星)	 经典不用说了！            
(5星)	 当年看得荡气回肠            
(4星)	 姥爷跟着我们一窝孩子起哄抢电视，就是为了看这个，那时候大家都小姥爷威力无边，再加上三个秃子都喜欢，看了几集就没人争执了。可是后来看还珠格格的时候，我这个毛丫头带头叫板，家里就一台电视，姥爷只得在旁边添油加醋几句，说我带头不学好，就知道看少儿不宜的亲嘴儿和拥抱。惹得三个秃子说我没羞            
(5星)	 林冲好帅            
(4星)	 如果能拍的更全一点就是五星了            
(4星)	 小學時睡前必看 片尾可是卷畫呢            
(4星)	 经典            
(4星)	 这个版本基本按照毛的评价塑造了宋江。李雪健演的还是比较到位的，只是跟一般读者心目中的有点差距            
(4星)	 经典的好啊            
(3星)	 儿时的回忆            
(5星)	 宋江就是一傻逼，熊市中偏要做死多头，害死梁山多少好弟兄。            
(4星)	 大河向东流啊，天上的星星参北斗啊~            
(5星)	 新版播出的最大意义，就是让人看到老版有多经典            
(4星)	 小时候蛮喜欢看的            
(5星)	 梁山好汉聚义水泊，替天行道！            
(3星)	 极不喜欢李雪健，无论是他演的宋江，还是渴望里面那位。蔫就一个字！            
(5星)	 闯九州啊~            
(4星)	 这电视剧当年还是一集没落滴~            
(4星)	 比原著改动较大，武打很赞。            
(4星)	 哎 如果不改得那么那个… 演员、服装、道具个个出彩啊            
(5星)	 新拍的无法超越啊            
(3星)	 选角还不错，很多东西和谐了，这和招安没什么区别。            
(5星)	 一家人一起看，弟弟8岁，打方腊前，弟弟一听到好汉歌就站起来跟着大声喝。后来一直跟着哭，顺道骂宋江。            
(4星)	 央视每天5集连放，每次都回家回看，伤不起啊~~~还有点没看完。            
(3星)	 还是喜欢新版的            
(4星)	 很经典，但容易枯燥。            
(4星)	 成功的演绎~~            
(5星)	 还想再看一次            
(5星)	 最喜欢的一个版本            
(4星)	 那首歌实在经典！            
(NA)	 小时候绝对美好的回忆啊 我那一堆水浒卡还在地下室呢 不知道我妈给我扔了没            
(5星)	 看着看着，想变为男儿身!            
(3星)	 还是更喜欢这个，虽然这个问题也挺多            
(5星)	 该出手时就出手啊 风风火火闯九州！            
(2星)	 不知为何，总觉得脏兮兮的，除了林冲鲁智深，基本不用看别的，对张纪中免疫……            
(5星)	 多经典`这么低分            
(3星)	 我只记得王思懿裸露的香肩，何晴柔美的李师师，丁海峰的C罩杯胸肌和李雪健高高撅着的屁股了。            
(5星)	 对比才彰显老版的优秀            
(4星)	 管他外界风和雨，唯敬英雄武二郎！            
(5星)	 血肉模糊。怎样才算善终。无路。            
(4星)	 林冲死得太憋屈。杨志人品不咋地，还是鲁智深不错，个人觉得武松都比不上鲁提辖，有勇有谋。            
(4星)	 初一，那个雪天            
(5星)	 新版就是垃圾一堆            
(4星)	 大河向东流呀，天上的星星参北斗呀...            
(5星)	 以前都是看电视，断断续续没有看全过，上个月专门在网上看的。这个我最爱的电视剧之一，我再也不会看了。太气人了。            
(5星)	 现在看来才发现了一些小时候没注意的好看的地方。            
(5星)	 那时候的人没现在这么浮燥，拍出来的东西，也比较耐看            
(4星)	 这部电视剧就是我对《水浒传》里人物的视觉印象，无法磨灭～            
(5星)	 仔细比较了老版和新版，还是感觉新版太特么傻逼了。98版的绝对是经典。            
(4星)	 新旧水浒 各有千秋！            
(5星)	 我打分是为王思懿打的。。。            
(3星)	 跟新水浒各有所长……            
(3星)	 补习            
(4星)	 借用逵哥一句话：招安招安招个鸟安~            
(5星)	 看了一点新版水浒，感觉还是老版的经典~            
(4星)	 看完水浒，谁会想看第二遍呢            
(4星)	 我为数不多一集不拉看完的连续剧。            
(3星)	 半部好戏，最恶心的就是张纪中篡改名著，按着书拍的话必成经典            
(3星)	 每次看到李雪健的宋江都想狠揍一顿            
(3星)	 噔噔噔噔噔！            
(4星)	 看过新版的烂才知旧版的好啊            
(NA)	 一定支持老版。看那潘金莲美的。。。            
(5星)	 摄影和编剧无疑是四大名著中最好的，已经完全没有红楼梦和三国演义那种强烈的图解原著感，的确像一部电视剧，而不是“活动连环画”了，以前巨讨厌宋江，现在觉得李大叔是演得最好的。。            
(4星)	 很多情节都被简化和删减，使得其几乎失去了水浒的原味，造型和音乐委实不错，醉打蒋门神和智扑擎天柱两段打戏极为出彩，配乐激动人心。看到新水浒的下限之后，果断来打四星。            
(5星)	 对了，就是这一版。那会我上小学，应该是每晚八九点播出，我爸喜欢吃过饭眯一会儿，就对我说，开始了就叫他，于是我就搬个小板凳趴床头跟爸爸的头靠在一起，看着电视，当看到广告里一双大手把一个大球从地里抱出来，我就开始叫爸爸了，等他醒了正好开始。然后我爸就把我赶走要我睡觉了。            
(4星)	 比新版好看多了，经典。            
(3星)	 李逵、武松、王婆、李师师这样的角色是无法超越的，不可否认央视版有点糊弄观众，朱贵等小人物居然用老头子来扮演，林冲莫名其妙的死了，没羽箭张清这么重要的角色都没有，反而给潘金莲的剧情弄了4集，如果没有潘巧云，估计石秀和杨雄都不能出现吧，抽掉了这么多剧情·····            
(3星)	 中学时看的 虽然是四大名著之一但当时对此片一点也不感冒 倒是很喜欢刘欢唱的主题曲《好汉歌》 最近又拍了新版的水浒 好像还不错 看看会不会让我对这部名著有好感            
(5星)	 尽管那时被指为四大名著中最烂的一部，但我依然觉得拍的经典。唯一不喜宋江的窝囊。            
(4星)	 98版的水浒，好就好在了把宋江这个砌墙草，这颗大毒草狠狠地抓了出来。            
(4星)	 超级讨厌宋江。            
(NA)	 算是四大名著里改编最失败的。也可以说是演了半部好戏，后半部纯粹在赶时间，恨不得一集拍出X章的情节。            
(5星)	 印象最深刻的还是武松砍潘跟西的头那一段。。。            
(4星)	 1998            
(4星)	 不喜欢里面的宋江            
(5星)	 梁山还是老的好！            
(5星)	 感觉拍的最好的一版水浒            
(5星)	 当初还守着央一黄的时候            
(5星)	 看了新版的，觉得还是适合老版的            
(3星)	 就记得王思懿演了潘金莲。。。            
(5星)	 一代人的记忆。            
(5星)	 四大名著中最喜欢的一部 儿时冲动的来源~            
(1星)	 sb            
(4星)	 翻拍个奶奶！！！            
(5星)	 5星减吧            
(5星)	 那时候上高二，家里电视被封，放到立柜上，有一天趁我爸上夜班，和我妈偷摸拿下来看了一点，光有图像没有声（因为没有天线），还看得是很郁闷的一集。            
(5星)	 宋江啊宋江            
(NA)	 108将。。。就3女的。。。基情？            
(4星)	 大河向東流哇~~天上的星星參北斗啊~~~！ 說走咱就走哇~你有我有全都有啊~~~ 路見不平一聲吼哇~！該出手時就出手哇~！風風火火闖九州哇~！  咦咦咦咦咦咦咦咦咦咦…咦兒呀啊~！！            
(4星)	 最近在听《武松杀嫂》这个曲子            
(5星)	 生死之交一碗酒，水里火力不回头，说走咱就走，你有我有全都有，不分贵贱一碗酒，一路看天不低头，路见不平一声吼，该出手时就出手，风风火火闯九州。其实这比古惑仔更热血。            
(4星)	 只反贪官，不反皇帝，注定悲剧。            
(4星)	 當年被浪子燕青迷得一沓里糊塗            
(3星)	 要是把新版张涵予替换到这版中演宋江就好了            
(NA)	 老版的什么都好！            
(5星)	 童年最爱的四大改编 比西游记还深刻            
(4星)	 这版特别好看  记得小时候的大冬天跟老妈周末洗了澡出来风吹头发都结成了冰凌子小步跑赶回家看央视            
(3星)	 尸横遍野的苍凉            
(5星)	 是个男人就该看这部电视剧            
(3星)	 李雪健演活了一个猥琐的宋江            
(NA)	 大腕云集啊！！！！！！！            
(4星)	 小学看得。            
(5星)	 选角不错！            
(4星)	 一晃居然是90年代的剧了，时间飞快。这版也是反反复复看，那歌当年是要有多火。            
(4星)	 人物刻画还是挺经典。            
(NA)	 三遍，还是记不住人名。外国人名更记不住            
(3星)	 说真的，不太喜欢水浒，电视剧拍的没有其他三部古典名著好            
(4星)	 只记得结局挺悲惨的。            
(5星)	 为神马就记住了武松打虎啊，李逵宰了一大三小五只老虎咋不算了……老母亲死得真可怜，打酱油也不带这样的……            
(2星)	 一看到宋江撅着屁股，就想踹他两脚            
(4星)	 这个 也许你没看过 但是都听过“该出手时就出手”            
(4星)	 先入为主了，不喜欢宋江，一副奴才相            
(1星)	 这个宋江实在可以去死了。这是四大名著中最差的一部。            
(3星)	 看在人物扮相不错的份上。            
(3星)	 宋江演的很传神~            
(5星)	 小时候最爱！            
(4星)	 107个悲剧，和1个好下场，结果还是改编的。。。改得好，再绝望的乱世，也应存留一丝希望            
(4星)	 我就看看            
(4星)	 还是跟家人一起看的... = = 我的童年...            
(NA)	 李雪健不错啊~            
(5星)	 最爱野芒叔的林冲哥哥，另外雪健老师演技真神了，特别是他对武松说的那句：不行，我就是背也要把你背走。当时我的眼泪就下来了。            
(5星)	 哥哥            
(3星)	 小时候最不喜欢看这种剧了            
(4星)	 英雄逃不过卑贱的宿命，所以成了草寇。            
(5星)	 大河向东流啊……            
(4星)	 在我爸的胁迫下看的...            
(3星)	 被拍的变味了            
(4星)	 3.9。忠实原著，中规中矩。            
(5星)	 小时候看得很激动，恨宋江，爱武松            
(4星)	 无需多言···            
(4星)	 当时没觉得好看，确一集也不肯不看的电视剧            
(5星)	 这部得帅哥不够多，哈哈哈            
(5星)	 太经典，怎能忘怀            
(4星)	 啊气场。            
(4星)	 虽删了不少戏，但结局给我的震撼太无敌了——”好一似食尽鸟投林，落了片白茫茫大地真干净“！            
(5星)	 这么精典不用多说的，对不对！！            
(5星)	 张纪中制片，宋江形象惹争议，但还是值五颗星            
(4星)	 对原作改动过大，尤其是宋江和林冲，宋江没有那么讨厌，林冲没有那么悲催            
(4星)	 旧的就是有味道            
(3星)	 我当时觉得老打打杀杀的，不看了，演潘金莲那女的演的挺好            
(5星)	 经典之作。            
(5星)	 单就人设和各单元剧的精彩加无缝串联就值五星            
(3星)	 后半段烂尾了            
(4星)	 打四星，只是是相对于另外三大名著而言。            
(5星)	 宋江的争议似乎很大，但是我觉得这样的宋江才让观众感受到旧思想对人的毒害之深，才明白造反不彻底的悲剧。那时拍的电视，还能有些讽古寓今；现在一片和谐，水浒更难拍了。            
(5星)	 大河向东流哇，天天的星星参北斗！            
(2星)	 喜欢鲁智深和林冲的桥段 恩 还有潘金莲的桥段            
(4星)	 总是不想看后半段            
(5星)	 迷恋水浒传到不行~~            
(5星)	 央视正剧！~            
(4星)	 还是这版的好看            
(5星)	 拍的最好的武侠片，此后再无佳片...            
(4星)	 路见不平一声吼啊~            
(5星)	 矮油介个萌死我了!!!            
(3星)	 每次教育台播，我总能碰上潘金莲跟西门庆那段？！为什么！！！！            
(4星)	 不失其所者久……            
(4星)	 歌曲谁不熟我跟谁急            
(4星)	 难得有我看完的名著            
(4星)	 风风火火闯九州            
(3星)	 还不错的，只是我个人对水浒实在感冒不起来。            
(4星)	 宋江是败笔            
(4星)	 大河向东流啊天上的星星参北斗呀。。。诶嘿诶嘿一二哟喂。。。。            
(4星)	 太小没看明白            
(4星)	 大河向东流            
(5星)	 哦 经典~            
(5星)	 初中看的。            
(4星)	 其实这版水浒无论从人物刻画还是场面展现都是很精良的            
(3星)	 人物删的太厉害            
(5星)	 虽然我承认最后挺雷，但还是挺好的            
(5星)	 小时候看完只有一个肤浅的感觉：和家人唠叨宋江是个坏人            
(5星)	 非常感谢我的爸爸，妈妈，在我懵懂的时候，给我的以后，起了一个很好的头。直到现在，我还是非常，非常喜欢看历史。            
(4星)	 。            
(4星)	 我印象最深的是潘金莲啊~~            
(4星)	 四大名著电视剧里除了红楼梦就是它了。ps：演员选的真好。            
(NA)	 这位好汉！            
(5星)	 额，原来宋江是李雪健啊            
(4星)	 这是第一部电视版本的水浒传吧，还记得一家亲戚在阿姨家那天一起看的场景。            
(5星)	 一个人的愚忠害死一群侠义好汉！            
(3星)	 其实都素凶猛而苦逼的淫。。。            
(4星)	 那时是5年级。及其崇拜武松，以至于后来招安，只要武松出现就一阵兴奋....买了一堆贴纸贴在语文课本里面。这就是儿时偶像崇拜的萌芽。。。。。            
(4星)	 儿时就记得诸葛亮的神奇了            
(3星)	 人物塑造有些可圈可点，但没有达到书中描写的。不过也是我童年最喜欢的电视剧之一啦。            
(5星)	 当年曾经为好汉们流过泪啊。。。            
(4星)	 不错，但不忠于原著~~            
(4星)	 林冲~            
(3星)	 刘欢的主题曲可比电视剧影响深远多了            
(4星)	 晁盖死了以后就可以不看了            
(3星)	 就是有一段武松的武打效果给我很深刻的印象 路见不平一声吼啊            
(4星)	 我记得是99年国庆看了大结局，整天电视里都在放阅兵，我很不开心。结局多惨了，和我看了插图注音版很不一样，当时多难过了。我还记得那本书是一个叫梁洪的小学同学送给我了，一个命多不好的人。不知道他过得好不好，是否还安然存在。            
(4星)	 那时候拍的东西岂是现在可比            
(5星)	 很不错            
(5星)	 小学初中时的最爱，后面改动很大~            
(4星)	 潘金莲那几集败笔啊，其它改编得还算合理。            
(4星)	 当年的功夫片多棒，才不无故飞来飞去。。。            
(5星)	 很喜欢……            
(5星)	 燕青是我那年最爱啊...            
(4星)	 小学的时候看得..班级里一群人每人一个角色 我是扈三娘~            
(3星)	 小时候看觉得好黑暗暴力恩恩            
(5星)	 我之所以不喜欢看连续剧就是因为我一直觉得这个是一种自己给自己找气受的事情。事实再一次证明咯我的观点。太气人咯 。我觉得我很可能跟林冲一样吐一口血，然后死下切。            
(5星)	 我真是恨死宋江了            
(3星)	 哎~水浒就是一个悲剧~            
(1星)	 恐怖主义作品            
(4星)	 他日若逞凌云志，敢笑黄巢不丈夫            
(5星)	 看水浒来气。。。            
(5星)	 四大名著里面最喜欢的，不喜欢宋江            
(5星)	 这个真不用说了，经典死了，到现在电视台一放我也忍不住看            
(5星)	 四大名著，必看            
(5星)	 看了张涵予版的才知道李老师版不够英雄气            
(5星)	 当年霸气的武二哥让我很是着迷~不羁的小七视为偶像级            
(4星)	 我到后来一看到宋江就生气。。这TM怂人……            
(2星)	 关键是宋江不讨人喜欢，这个人物形象就不招人待见            
(4星)	 当时来讲，舞美做的真是很不错了！不过李雪健在这里实在有些用力过度了。。。。            
(3星)	 老哥爱看            
(5星)	 中国的骄傲             
(4星)	 儿时的回忆呀~~            
(4星)	 四大名著之一 老版 经典影视剧之一            
(3星)	 边写作业边看的~~一到接吻镜头屋里人就要我埋头写作业~            
(NA)	 野！芒！            
(4星)	 喜欢那个时代的历史电视剧，不论画面，也整体的风格，俭朴也很古风！打斗效果也很写实，就是人物故事能更丰满一点就好了，不过我发现新版也把征金的故事给省略了！            
(5星)	 经典的故事，不朽的史诗。            
(5星)	 这么多年后想起来，只记得征方腊之惨烈。            
(5星)	 什么时候看都是热血沸腾            
(3星)	 印象最深的是，放水浒传的时候，我正在老家呢。目前为止回过唯一的一次老家啊。            
(3星)	 真是受不了宋江            
(5星)	 我记得看央视首播时我才读高二，该剧所有歌曲也令我印象深刻。特别是剧中胸肌发达的武松，俺尤其喜爱。            
(5星)	 ca~!            
(4星)	 小时候看过            
(5星)	 做人当如鲁提辖             
(4星)	 拍的不错，演得不错，袁和平的武打设计也不错！            
(4星)	 看书的时候还好，看电视剧时特别讨厌宋江。            
(3星)	 回忆            
(4星)	 因为看了电视剧，所以跑去找了原著学习            
(5星)	 中国法制失败的原因            
(4星)	 从小看这个长大，总觉得自己有玻璃倾向。。            
(4星)	 不喜欢水浒。。。            
(4星)	 林冲的遭遇让人冲冠            
(4星)	 唉看着宋江那副文弱儒生的朽样实在是咽不下气。            
(4星)	 小学时每天晚上跟父母一起看的，就跟美剧迷追美剧一样            
(5星)	 这个最好            
(4星)	 林冲！林冲！            
(5星)	 经典            
(4星)	 印象最深的竟然是西门大官人了            
(NA)	 宋江简直傻逼的无可救药。。。            
(NA)	 没有细看，武松打虎，李逵             
(5星)	 属于80后的回忆            
(5星)	 这个才是经典 百看不厌啊            
(4星)	 看完武松、西门大官人、金莲娘子，我就不看了。            
(4星)	 比现在的好看多了            
(4星)	 喜欢武松，不喜欢宋江和林冲            
(5星)	 内地再没拍过这水准的了            
(5星)	 说起108将我爷爷是滔滔不绝如数家珍啊。            
(4星)	 潘金莲...            
(4星)	 每年都会重播。。。            
(3星)	 很多书上的东西都没拍进去，跳跃太快             
(5星)	 我最爱看的！            
(5星)	 超屌的还是这一部！            
(4星)	 喜欢古代英雄那种爽朗的性格。            
(3星)	 李雪健演技出众，像狗一样的下跪姿势实在是非常投入。            
(4星)	 印象深刻。那一年祖父去世。            
(4星)	 想当年看的时候，还是很给力的~            
(4星)	 还不错，尤其最后的那段凄凉。            
(4星)	 袁和平是亮点，可惜剧情被阉割            
(5星)	 最爱的水浒传拍的很好            
(NA)	 有点太暴力了~~            
(5星)	 我爱林冲，我爱武松！            
(5星)	 绝对经典            
(4星)	 当时小时候，看这部经典作品。相当得精彩。李雪健嘛~个人不是很喜欢。演宋江，马马虎虎。这部给我印象最深刻的，还是很黄很暴力的剧情。。。真见鬼，整部电视剧看下来怎么就尽记住了这些东西。。。好吧，潘金莲扮演者很漂亮~            
(3星)	 最烦宋江.            
(3星)	 郁闷            
(4星)	 喜欢武松，讨厌宋江            
(4星)	 该出手时就出手啊            
(NA)	 探索ing            
(4星)	 为了看它，曾经从学校奔回家。            
(4星)	 武术特效印象很深，场景也很有味道。只是人物刻画感觉不是很完美。印象深刻            
(3星)	 我真的特别不喜欢这部戏            
(5星)	 每年寒暑假好像都有看到            
(3星)	 没看全            
(NA)	 过瘾，痛快            
(4星)	 小时候老爸不让看电视，觉得不错的剧，后来重温，只记得花容说“愿一生一世，追随哥哥。”= =            
(3星)	 我期待新版。            
(4星)	 经典系列四大名著啊@            
(5星)	 最爱水浒            
(4星)	 一百单八将啊            
(5星)	 原本以为能坚持看完，整个后期就是让人吐血。宋江啊宋江，宋江啊宋江。。。一整个就是战略错误，个人的局限性导致了梁山的失败。            
(4星)	 没怎么看完            
(5星)	 经典。            
(4星)	 哎            
(3星)	 嘿！嘿！风风火火闯九州哇~~            
(5星)	 好汉歌~~~            
(4星)	 我只看过一集——潘金莲和武大郎~啊哈哈~~~            
(3星)	 水浒！            
(3星)	        我只是很奇怪，为什么每次打开电视都看到武松打虎加潘金莲和西门庆那一段？                
(NA)	 很不屌宋江            
(4星)	 我记得高俅踢球。。。是开场。。。            
(4星)	 越看越生气            
(4星)	 经典            
(5星)	 大河向东流啊～天上的星星参北斗啊～            
(3星)	 光记得人肉包子那段了...还是玩三国杀了            
(5星)	 虽然没看过多少 但是确实很好看            
(NA)	 对水浒传其实挺无爱。每次刘欢的歌一出来我就特崩溃            
(3星)	 大河向东流哇~            
(4星)	 就是不喜欢宋江            
(4星)	 觉得是老版本四大名著中最棒的一部，另外李师师真漂亮！：P            
(5星)	 经典 脍炙人口            
(5星)	 极好            
(3星)	 一群流氓            
(NA)	 还记得当年看着它吃晚饭，砍头时的血腥差点吐出来            
(NA)	 茫茫乾坤方圆几何 长传我千百年民族魂魄            
(5星)	 不明白为什么我当时如此痴迷水浒，那时108将倒背如流            
(4星)	 好多年了，印象依旧深刻。经典。            
(3星)	 其实没认认真真全部看，只是偶尔看到就会看看，感觉拍得一般！            
(4星)	 该死的结局            
(4星)	 想抽丫的宋江~            
(4星)	 实际上不是很喜欢这作品尤其是宋江            
(NA)	 悲剧            
(4星)	 就为了林冲吧            
(NA)	 4            
(5星)	 我喜欢武松和燕青啊啊啊啊！！！武松~~~            
(5星)	 无论什么时候看哪一个版本，都最不喜欢宋江。            
(3星)	 都快没印象了，就记得潘金莲和武松打虎那段儿了            
(4星)	 1998            
(4星)	 记忆已经模糊，但里面的108将依然闪亮            
(5星)	 这个是目前唯一没有对比的了            
(5星)	 英雄啊~！！            
(5星)	 看到招安就不想看了。演员演技很棒，只是不喜欢后面的内容了            
(4星)	 1998年            
(5星)	 还没被翻拍的经典 别翻拍了 也别笑传了            
(3星)	 大河向东流啊、该出手时就出手啊~~~    总感觉宋江似笑非笑的表情很猥琐。。。            
(NA)	 招安以后一个个梁山好汉都死了，看着不爽，不喜欢。。            
(5星)	 喜欢前半段……看的人很爽            
(3星)	 看过几集            
(2星)	 什么玩意            
(4星)	 人不全啊            
(3星)	 大河向东流....            
(3星)	 我就记得潘金莲偷情那段= =|||            
(5星)	 一辈子有107个兄弟足矣            
(2星)	 每次都只看到潘金莲和西门庆那集。。            
(3星)	 其实完全可以拍得更惨烈一点，战方腊时三十六天罡死了大半，完全可以借鉴三国，起义类的剧情放到国外制作会相当喜欢，所以这部剧还有很大的挖掘潜力，关键看光腚菊敏感不敏感了            
(5星)	 爷爷最喜欢看了，经常听他给我讲故事情节            
(5星)	 超喜欢            
(4星)	 讨厌宋江讨厌宋江讨厌宋江。。。。。。。= =            
(4星)	 唯厌恶松江            
(3星)	 俺老爹爱上这剧很多年了。            
(3星)	 还行            
(NA)	 成也宋江，败也宋江            
(4星)	 看过这部剧，我很想买本书看看，结果书我看不懂。电视剧人物形象在我心中已定型了            
(4星)	 中规中矩，还不错            
(NA)	 只记得片头和片尾曲            
(4星)	 还是以前的做的好            
(4星)	 恨死宋江了            
(NA)	 这版本我大爱，还有那首歌~~大河向东流            
(4星)	 一部不错的经典名著电视剧             
(4星)	 有露点            
(4星)	 红楼梦是四大名著中唯一一部没看过老版电视剧的，水浒传是唯一一部没看过原著的。PS：讨厌死李雪健版宋江了。            
(4星)	 大河向东流啊~~            
(5星)	 无限追悔。            
(2星)	 除了武松，都是傻X            
(3星)	 总记得爷爷一边吃花生一边抱着我看 = = ，看完水浒传，我就得去扫花生壳……            
(4星)	 没有完整的看完 但看了潘金莲那几集 觉得这个水浒还是不错的我还记得 小时候 这部剧 应该可以用 万人空巷 来形容            
(4星)	 相比三国演义，还是差了一点点啊            
(3星)	 国产电视剧在国外也有不错的收视率，特别是这部            
(5星)	 感觉是水浒最经典的            
(3星)	 其实还是拍的不错的 但是就是因为拍的不错 水浒是一部让人悲伤的小说 我不会去看第二遍的            
(3星)	 结局演得也太gay了吧            
(4星)	 武松那段最好看            
(4星)	 武松  武大郎的那几集印象最深            
(4星)	 以前老觉得水浒是四大名著电视剧里比较乏味的，现在看起来卻津津有味。            
(4星)	 我的巅峰时期可以准确背诵一至一百零八的名号，如今老矣。            
(4星)	 四大名著最不喜欢的一只，宋江好窝囊            
(5星)	 小时候的连环画最好看            
(5星)	 我完全是看了电视剧才明白里面谁是谁            
(4星)	 大爱武松~            
(5星)	 让外公恨恨的宋江啊            
(3星)	 宋江毁了这部局            
(5星)	 武打很爽，除了宋江演得实在不让人满意            
(3星)	 说走咱就走，路见不平一声吼啊~            
(4星)	 前半部一般，后半部太令人心碎了！            
(4星)	 老实讲除了宋江谁都喜欢，极其讨厌那个所谓的及时雨            
(5星)	 逢见必看            
(3星)	 新梁山,幼儿园.            
(3星)	 讨厌李雪健            
(NA)	 如果再看，就只看前半部了，呵呵            
(4星)	 当时演完 李雪健就差被煎了             
(4星)	 悲壮，我的水浒情结……            
(4星)	 水浒入门捷径,粤语的 那时恨得宋江牙痒痒!            
(3星)	 讨厌宋江            
(4星)	 毕竟是四大名著……            
(4星)	 推动四大名著普及啊~~            
(NA)	 你们懂得            
(4星)	 为此特别去找书看，可惜当时没读出什么来            
(4星)	 还是比较经典的            
(4星)	 “路见不平一声吼啊，该出手时就出手啊”            
(4星)	 98年春节            
(3星)	 宋江撅屁股的样子很有无耻的神韵            
(NA)	 小时候好像还挺爱看            
(4星)	 武松蛮好...花荣这名字真是令人浮想联翩...            
(5星)	 当时最鄙视的就是宋江，哈哈            
(2星)	 配音毁了李雪健，周野氓救了林冲            
(NA)	 最经典            
(4星)	 除了宋江，其他都是英雄~            
(4星)	 你说当年那么好的片子现在怎么就拍不出来了呢            
(3星)	 这部《水浒》跟原著相差太大，无法把他定义成真正的《水浒传》。期待新作！            
(5星)	 很不错的一部电视剧            
(4星)	 潘金莲啊潘金莲            
(5星)	 熬到十点还在看的电视，            
(NA)	 初一 期末考试            
(4星)	 武松打虎回来 砍了潘金莲和西门庆的头后 拿着两个人头跑到青楼里 放到那些人的酒肉桌上 一亮.... 我的手捂住脸 尖叫！那真是小时候的噩梦 到现在历历在目 永远的阴影啊.............            
(4星)	 宋二哥有点让人小失望，，，，            
(3星)	 看不懂,太复杂            
(5星)	 具有现实意义            
(3星)	 前半部分还行            
(3星)	 我喜欢鲁智深            
(3星)	 当年大人们喜欢看……            
(4星)	 风风火火闯九州  哎嗨 哎哎嗨            
(3星)	 空有一身蛮力到头来只能当炮灰。            
(4星)	 看电视剧的时候特想看书            
(4星)	 乱世好汉            
(NA)	 官逼民反、逼上梁山、忠义不能两全、不打不成交、同性恋、李逵的爱情、革命不彻底、中共掌权与宋江一伙的行为之间相似、农民不代表先进的生产力、“诲盗说”（诲盗说认为，这是一部写给强盗看的书，是教人做强盗的书。 一日为盗，终身为盗）和“忠义说”（忠君爱国，有民族气节）            
(5星)	 无法复制的最珍贵的回忆            
(4星)	 两个字：林冲！            
(4星)	 其实吧，书是我四大名著里最不喜看的，电视剧亦是如此            
(4星)	 小娘子            
(4星)	 拍摄挺费心的！            
(4星)	 比起水浒还是喜欢看三国            
(3星)	 本来就不喜欢看水浒，拍的也就而而            
(3星)	 3星是因为没看完 小学还真是我看剧的黄金时期  可惜没看懂            
(4星)	 我还记得看潘金莲的时候我捂住了我妹妹的眼睛……            
(4星)	 宋江跪皇帝的死样让我想给他一脚            
(5星)	 五星是给招安前的水浒，还记得李大嘴和老白说“那个明明是shuixuchuan你还骗我说叫水浒传            
(5星)	 哥，你懂的= =            
(5星)	 感觉不如三国呢。。            
(4星)	 挺好的            
(4星)	 四大名著改编的电视剧，我认为还是水浒传好看一点，相对于当今的古装剧，水浒传不知强了多少。。。。98年的水浒改原著改的太多了，李雪健演的也不是特别到位，影响最深的是宋江在浔阳楼题的反诗，他的书法还真是棒            
(4星)	 记忆最深的是林冲风雪山神庙的桥段 还有潘金莲....            
(NA)	 小时候为了它，每天的作业都很早就完成了。            
(3星)	 歌不错...            
(NA)	 造反有理            
(4星)	 如果从政治角度来看，更有意思！            
(5星)	 我喜欢水洗船。            
(3星)	 大河向东流。。。            
(4星)	 水浒这部书 好就好在投降 让人民都认识投降派 除晁盖于108人之外 宋江招安了 就去打方腊            
(NA)	 那时候觉得林冲那个演员帅死了宋江那个二死了            
(5星)	 拍得很不错了。            
(5星)	 看了宋江生气~~            
(2星)	 就记得洗澡和偷情.宋江演得.....            
(3星)	 比较讨厌剧中一动手打架，就开始放那千篇一律的配乐            
(NA)	 其实只看了前面的部分，当时还小，看后面的剧情觉得很无聊。            
(3星)	 明天讲拳打镇关西，大家回去预习！            
(4星)	 又是陪俺爹看的            
(5星)	 明显大陆的好点            
(4星)	 不给五星是因为恶心的宋江            
