http://movie.douban.com/subject/1790377/	新娘18岁 낭랑18세
(4星)	None
(3星)	 挺逗的 喜欢男猪脚呀~ 没看全            
(NA)	 大叔好可爱~            
(3星)	 萝莉和大叔。。。            
(2星)	 擦            
(2星)	 我不知道我为什么打这么低 - -~            
(5星)	 我大学时的最爱  正好那个年龄怀揣着同样的爱情梦想            
(2星)	 不是很好看            
(3星)	 电视里放的才看，一般            
(NA)	 很喜欢韩智慧...            
(5星)	 韩智慧越看越顺眼            
(4星)	 因为男主和女主在现实中的爱情才看的，可惜现在已经物是人非了。            
(4星)	 哦哈哈高中时候看觉得贼好看。            
(5星)	 妈咪最爱的韩剧~大叔~~            
(3星)	 一般            
(4星)	 虽然最后分了。不过很有爱的一对啊            
(NA)	 是看巴黎恋人中知道李东健.最后又看B型男友和新娘18. 那段时候超迷恋....            
(NA)	 分手了            
(4星)	 想结婚            
(5星)	 很不错的韩剧啊~            
(5星)	 大爱            
(3星)	 韩智慧好可爱            
(5星)	 韩智慧那时候很幼齿啊。            
(NA)	 大叔一词的由来，吼吼            
(4星)	 觉得李东健特像王力宏才看的，蛮有趣            
(5星)	 挺好玩的。。。当初电视上播放该剧时，老妈都爱不释手。。。。            
(3星)	 当时觉得还可以的            
(3星)	 还不错，就是不喜欢李多海演的那个人            
(4星)	 音乐            
(5星)	 那时候真心很喜欢呢呀~~            
(3星)	 很早看的了，后来电视台老是播，就不好玩了。            
(4星)	 这片子明明不错的！！！我就不知道那个朗朗到底是个什么东西！！！这烂名字白白糟蹋了一部不错的剧啊。。（难得我把韩剧看完整了）            
(4星)	 很欢乐的一部电视剧~            
(4星)	 韩智慧笑起来有四个酒窝的~很傻却很吸引人的情节。            
(3星)	 看后没什么感觉~            
(3星)	 看着玩儿呗~没想到这俩还真就这么。。。哈哈~            
(NA)	 挺欢乐的，消遣时间不错。            
(2星)	 前面比较有趣 后面就比较失败了            
(2星)	 看不下去，演员看的不顺眼            
(4星)	 新娘真的好年轻……            
(2星)	 我是多大看的呢            
(4星)	 这里面的李东健很帅呀。剧情也喜欢            
(3星)	 有点二吧。。没看完。            
(2星)	 这故事就是“不靠谱”的代名词...            
(5星)	 二个可爱的人啊~~~少有的简单明了的韩剧！很经典很可爱的剧情！韩剧里的“奇葩”！早期韩剧看得就是舒服！            
(NA)	 看的都是恶心到不行的国语配音=，一口一个“大叔”= = 是真心喜欢现实中的这一对啊，李东健让人很有安全感，韩智慧不算很漂亮但也很有特点。可惜分手了呢……            
(3星)	 一个猥琐的腐女不该看这些电视剧的吧…不该的吧不该的吧+10086可是劳资就是看了，而且看得温馨治愈来着……            
(5星)	 非常好看的电视剧            
(4星)	 大叔控            
(4星)	 不错啊            
(3星)	 当年还是很喜欢滴~~            
(NA)	 朗朗呢？            
(3星)	 一口一个大叔            
(4星)	 李东健帅的，多给一星            
(4星)	 大叔大叔大叔   最近真的成大叔控了。。。            
(3星)	 这位大叔 适合这位无知少女            
(4星)	 so sweet            
(5星)	 重头再看这部剧发现了不一样的魅力……            
(4星)	 一想起小小的我大半夜看个新娘18岁兴奋得不行就觉得好囧啊，白天上课的时候满脑子都是李东健=。=            
(2星)	 好早的时候台湾台看的时候感觉还好；大陆台播的时候瞄过几眼觉得痴傻的可怕。我成长我年老我沧桑的可怕！！！            
(4星)	 忘记内容了，可是不喜欢男主的长相            
(2星)	 也忘記.....以前陪媽媽看過            
(3星)	 不是叫朗朗与检察官咩？从此我对大叔的标准就是长得像李东健那样的了&gt;_&lt;            
(3星)	 无语            
(3星)	 韩智慧整容之后没感觉了            
(4星)	 一直不知道为什么内地译名叫朗朗与检察官...朗朗是神马...            
(3星)	 蛮搞笑的            
(4星)	 我多年是多么的幼稚啊！！看了这么多韩剧！！            
(3星)	 新娘不错。            
(3星)	 女主好丑            
(2星)	 又是一部看过就忘的韩剧            
(4星)	 好喜欢            
(4星)	 老牛吃嫩草            
(3星)	 大概是我嫌弃的不太喜欢韩剧的感觉阶段？？不记得了。。就是不喜欢了啊，闹腾~~            
(4星)	 女主角不漂亮，片子幽默搞笑适合消遣。            
(3星)	 十岁是道坎。十年时间可以发生很多事情。爷爷可谓是国民爷爷呀，哪哪都是演爷爷的。            
(4星)	 他们两个很配，霹雳无敌配            
(5星)	 很搞，很温馨！            
(4星)	 欢乐片            
(5星)	 感觉很好玩啊，男主和女主的互动好多，每集都有笑点。感觉多海也是越演越好，小性格在后面几集显得很可爱，之后我的女孩里出色的演技在这里初见端倪啊。            
(3星)	 那时候的韩智慧还真不好看            
(4星)	 高中时候看的，那时候感觉还不错，没有再翻看过，所以。。。            
(3星)	 还行吧，没有看完呢，挺喜欢韩智慧呢            
(3星)	 湖南卫视=。=            
(5星)	 这部剧让我爱上了韩智慧，到现在为止她还是我最喜欢的韩剧女主，只是因为这部剧。            
(NA)	 ^ ^            
(5星)	 我喜欢那个阿咋西！            
(3星)	 简直不敢相信这是我和老妈熬了一个通宵看完滴~~~哈哈 老妈迷上李东健鸟~~            
(4星)	 一贯的韩剧风格            
(4星)	 不记得是不是我看的最早的一部了            
(4星)	 喜欢~            
(4星)	 萝莉与大叔的爱情...搞笑中见真情...一路走来都很精彩，最后几集有点罗嗦。            
(3星)	 情侣演的剧感觉真的会不一样。            
(5星)	 我是大叔控            
(3星)	 大叔~~~            
(5星)	 女主角长得像猫咪，帅气的男主角，还是很不错的休闲片            
(4星)	 找个大叔也挺好的。。            
(3星)	 我怀念的是和老妈一起看。。            
(NA)	 真是可爱的女孩呢。。。            
(5星)	 好看呀~            
(4星)	 搞笑的很……电视上一直在换着名字播。。            
(NA)	 帅帅的男主！            
(4星)	 额~我妈很爱！星空卫视播了大概50次？            
(2星)	 不喜欢女主角，故事情节也有俗套啊            
(3星)	 这貌似是我看的第一部韩剧~            
(3星)	 其实我觉得蛮欢乐的。。            
(3星)	 以前为了看个棒子剧洗个脚就洗两个小时啊混蛋！            
(3星)	 罗莉和大叔的爱情            
(4星)	 有愛            
(4星)	 好可爱的说····            
(3星)	 韩智慧很可爱！她和李东健这段姻缘蛮可惜的，两人其实蛮般配的~~~            
(3星)	 电视里天天播，被迫看的，不过还是喜欢李东健啊。。            
(2星)	 不是我个人喜欢的风格            
(4星)	 很多段子还真的很搞笑……            
(4星)	 - -陪妈妈看的韩剧。。            
(NA)	   真的很搞笑，哈哈，同一屋簷下的浪漫與溫馨            
(1星)	 白痴得……唉            
(3星)	 我说我当年觉得这剧还可以被人家鄙视了            
(NA)	 多年前看过。。当时很喜欢韩智慧            
(5星)	 挺好玩的。            
(3星)	 韩智慧怎么看都不像是十八岁的啊            
(5星)	 大爱~            
(4星)	 韩智慧真不错            
(4星)	 挺好的，喜庆的，感人的，搞笑的......            
(NA)	 为看李东健~             
(3星)	 高三临模拟考熬夜看完的！只能说当初比较缺爱            
(5星)	 韩智慧和李东健..曾经最支持的一对明星情侣...哎            
(3星)	 也是不记得了            
(3星)	 还行吧，打发时间看的。没什么剧情。            
(3星)	 星空台每晚一集！天天守着看的。            
(3星)	 女猪脚单眼皮难看死了            
(4星)	 找个大叔也不错！            
(3星)	 都是老娘作祟啊……            
(4星)	 男女主角都是我的菜~~            
(4星)	 出师表青年!!            
(NA)	 很喜欢朗朗            
(4星)	 这个第一遍看的时候我们家笑的乐不可支。。。看完一遍，电视台立即又重放了一遍，然后我们家又追了一遍，还是乐不可支。。。哈哈            
(3星)	 轻松诙谐，也很喜欢两位主演，因为一部戏也成就了一对情侣，只是可惜分手了........            
(3星)	 出师表青年            
(2星)	 前女友总是成功知性女性。。。总是会输给傻气幼稚但善良的女猪脚，谁让a majority of the audience 是平凡的呢，平凡的女猪脚终将胜利            
(3星)	 18岁认真的会那么傻么……            
(4星)	 一个不成熟的女孩最终变成成熟的妈妈            
(4星)	 这一对很有爱            
(4星)	 有意思            
(4星)	 曾经以为这两个人能走到头 结果谈了4年还是分了            
(NA)	 呼呼 李东健！            
(NA)	 女猪脚太肥了            
(3星)	 还没看完            
(4星)	 看过N遍。主要是电视台==            
(3星)	 一般般，主要还是看男主~~            
(4星)	 爆笑之余有些思考。可以看几遍。            
(NA)	 曾经看了很多遍            
(NA)	 对女主的傻化请适可而止            
(3星)	 完全冲着李东健去看的            
(3星)	 喜欢里面帅帅闷骚的法官大人~~~            
(NA)	 。。。            
(3星)	 哈哈。。。            
(3星)	 把萌萌的大叔搞到手            
(3星)	 李东健很奇怪。。眼睛是不是太鼓太大了？不过剧情很好，新娘也很可爱。            
(4星)	 每次看到重播都会再次被吸引 韩智慧很搞怪 李东健也帅              
(3星)	 突然发现我看的韩剧还不少……            
(3星)	 演的有点假            
(4星)	 李东健 为此剧 增多两颗星            
(4星)	 为李东健韩智慧定情之作给四星~其实剧情一般，且这对男女终于也还是分手了。。。            
(3星)	 很欢乐。那几年韩国就流行这种小新娘            
(3星)	 O(∩_∩)O~爱情不分形式，传统爱情~~~            
(3星)	 典型的韩剧            
(2星)	 大学时代的韩剧啊            
(NA)	 蛮轻松搞笑的一部剧，头一次觉得单眼皮的女孩脸型鼻子长得好的话看起来也会很舒服。            
(NA)	 。。。。            
(5星)	 检察官这种成熟的男人谁不喜欢呢            
(4星)	 很登对的一对呀~可爱又温馨            
(4星)	 小太妹真可爱            
(4星)	 令人惋惜的一对            
(NA)	 讨厌韩智慧  哼  你本来就配不上李东健            
(5星)	 李东健好可爱啊~~~            
(4星)	 喜欢            
(3星)	 行了，我知道了，想看营养的就不能看韩剧            
(4星)	 结果还是分了            
(4星)	 韩智慧演技不错   大叔给人以韩版王力宏的感觉            
(4星)	 希望他俩现实中还在一起            
(NA)	 真得很不错，怎么就会背出师表呢，            
(4星)	 当年多么喜欢李东健啊            
(4星)	 挺可爱的            
(3星)	 悲催啊            
(4星)	 灰姑娘的故事~            
(NA)	 电脑上看过的第一部完整的韩剧。            
(3星)	 轻松            
(5星)	 和港片《我的新娘未满18岁》有点儿相似，却很韩国。            
(5星)	 欢乐，满满的欢乐啊            
(5星)	 当年为什么会追韩剧！            
(5星)	 2009. 值得一看，很轻松~            
(NA)	 找一個像大叔一樣的男人﹐把自己當寶貝寵著話說韓國的檢察官都這么帥么﹖            
(4星)	 韩智慧的长相真的无法复制啊。。。            
(3星)	 其实女主角是挺可爱的，但是，长的真不咋地~            
(3星)	 回想起来很欣赏女二的生活态度            
(NA)	 如果电视有还是会看            
(5星)	 不管怎么说，因为此剧，李东健和智慧有过一段爱情，足矣            
(5星)	 韩智慧很可爱~            
(4星)	 不用动脑子，我喜欢！~            
(4星)	 挺好看的，轻松搞笑型，李东健也是帅锅一个，那时的李多海还是邪恶女配，曾经还看好韩智慧和李东健，结果还是分了，韩智慧也真的嫁给了一个检查官。            
(5星)	 很喜欢            
(NA)	 高三毕业那阵子好喜欢这一对儿啊，李东健穿西装好帅&gt;.....&lt;            
(3星)	 某卫视            
(5星)	 这个是我老的时候都很想看的韩剧。。            
(5星)	 很可爱...            
(3星)	 当时风靡一时，看后觉得他俩很般配，现在看剧一般啦            
(4星)	 当时觉得他们俩挺配的~            
(NA)	 两情如何相悦            
(3星)	 一般喜欢            
(3星)	 不知道有神马意思            
(3星)	 女主的颜很路人（偶尔也会让你觉得奇丑），除了笑起来还能多看几眼。男主那时24岁，剧里28，但整个发型加服装俨然一副三十好几的老男人范儿，知道是剧情需要，但是这度是跨的有点儿大了啊！关于剧情我想说，电视剧毕竟是电视剧啊，找个老公结了婚还分房睡，我的亲娘四舅妈！这要是换了我该多煎熬！            
(4星)	 这一对现实中还是分开了。            
(4星)	 我是冲着人去的            
(2星)	 这样的剧情是不是只有在棒子中才会发生啊……            
(5星)	 很搞笑，很可爱。            
(5星)	 出师表~哈哈            
(NA)	 其实都挺好笑的，虽然这种题材也不新鲜了，只能说长腿叔叔无处不在~女主角很嫩口~            
(1星)	 对韩智慧欣赏无能。不过在伊甸园里还是不错的。            
(3星)	 真能闹。            
(5星)	 当时看得很high啊            
(4星)	 哎哟~当时看的我怦然心动==            
(4星)	 虽然女主没整成双的，还是蛮可爱的，剧情比较特别            
(4星)	 又是先绑在一起再日久生情的模式，韩智慧还是挺可爱的。            
(5星)	 那时候在大姑家，爸爸妈妈大姑大姑爷打麻将，我就在电视机前看得傻傻地笑，一切都过去了，所以珍惜现在所拥有的，当一切过去时就让它逝去吧，还会有美好的在等着我的，但是那些该感恩的一定要感恩！            
(3星)	 挺搞笑的啊..            
(3星)	 很呆            
(3星)	 弱智了点            
(4星)	 有一段时间因为这个还扎一样的发型真是可爱极了            
(1星)	 垃圾片中的垃圾片。主角差，没情节，拖沓，废话连篇。            
(3星)	 那时候还是在读书的时候晚上回来偷偷看的 哈哈            
(5星)	 好好笑！！！！！！！！！！            
(3星)	 印象最深刻的就是韩语的出师表...            
(4星)	
(4星)	 呵呵 在电视上看到的 觉得桢淑很可爱 也很不错 为自己的爱情一直在努力            
(5星)	 很喜欢这种风格的喜剧            
(2星)	 早期看过的韩剧，还成，但不喜欢女主角，不漂亮，也没有我很欣赏的特点，男主角也不帅，回忆一下，总会做过一些自己觉得没意义（真正的意义到底是什么？由什么决定？我也不知道）的事，但既然是过去，就过去吧。            
(4星)	 误了流年，多好的当时            
(3星)	 喜欢两个主角            
(4星)	 当年在网上看的，姐潮吧~~            
(4星)	 女主角好丑。。不过后来看顺眼了。。            
(3星)	 这两个人后来还幕后情侣了下 果然未果 韩智慧很像胡小洁。。。            
(3星)	 我曾经看过的韩剧：小孩子的爱情            
(4星)	 搞笑            
(5星)	 算是李东健和韩智慧的红娘剧么?虽然现在俩人各自精彩,但还是很喜欢当时那种感觉~            
(4星)	 据说他们真实中也是情侣，韩智慧演小女孩演的真好。            
(5星)	 搞笑..大叔啊~~            
(3星)	 俺还是大叔控。╮(╯▽╰)╭            
(5星)	 你说他俩怎么就不在一起了呢，哎呀，遗憾死我了            
(3星)	 = = 那个。。没什么了            
(3星)	 曾经看韩剧的岁月啊...            
(4星)	 很好玩，好喜欢李东健的说！！！            
(4星)	 两个人这样不好吧，是男女朋友还演电视剧，不觉得怪？！但是拍出来的感觉还很不错，就是不错            
(3星)	 还行吧             
(3星)	 韩智慧有点可爱            
(4星)	 喜欢韩智慧！            
(3星)	 他们俩实在很配...            
(3星)	 看过一点。。男女猪脚都不爱            
(NA)	 室友看韩剧。。。于是我放假的时候瞥了眼电视。。。我对韩剧产生抵抗了。。。            
(4星)	 其实韩智慧的单眼皮很有味道....            
(4星)	 我韩剧生涯的第一步！呵呵，韩智慧好可爱！@            
(3星)	 为什么两个人分手了呢？            
(4星)	 跟我妈一起看的            
(3星)	 我竟然觉得还不错。。。            
(5星)	 呵呵。。应景的少女新娘的一系列影片吧，满足了很多女孩子的梦想啊！！            
(3星)	 电视台上播了无数次~~~最初认为男滴不帅，女滴不美，所以不屑一看，后来因为女主的一个暴拳和惊现李多海，所以准备一看，可是很不幸滴发现，看了几集就大概知道全部剧情了。。。所以同样是弃之~            
(4星)	 俩人多配啊，最后也分了            
(4星)	 前中部分感觉很好，后面不好╮(╯﹏╰）╭            
(3星)	 嗯，女生很可爱，看过第一眼后觉得她好难看，后来发现真的好漂亮~            
(3星)	 一般啦。            
(4星)	 早几年还算热爱韩剧的时候看过的，大眼哥李东健给我留下了很深的印象。            
(3星)	 没有美女也没有帅哥。。。唉            
(4星)	 老夫少妻正流行 丫頭片子要學的還有很多            
(4星)	 让大家认识韩智慧这个演员的剧~            
(3星)	 女主不错            
(4星)	 好纯情的说。。。。。            
(2星)	 这个就反映出不同代的人代钩是多么的大，灰常灰常不DJ韩智慧            
(3星)	 讨厌女主            
(4星)	 智慧~大爱~            
(3星)	 中文名很奇怪- -            
(4星)	 好好的一对，分了多可惜            
(3星)	 你的 寻找韩智慧            
(4星)	 没看全，看的时候很是羡慕贞淑，敢爱敢说敢做            
(4星)	 大叔太有意思了。            
(3星)	 可惜分手了可惜和其他的男人结婚了            
(4星)	 挺搞笑的，这对还真配。            
(3星)	 虽然两为主角都不是非常喜欢`不过搭配起来很舒服呵呵``            
(3星)	 可惜分手了，韩智慧还是很有傻福的，起码嫁得不错            
(3星)	 某些回忆            
(3星)	 这个剧还可以。只是男女主人公早已经分手了            
(5星)	 我的爱~~~我就是要昧着良心给5星！            
(3星)	 好多年前看的。。。            
(3星)	 其实觉得韩李蛮登对的，咋就分了呢？            
(4星)	 once warms my heart~            
(4星)	 有爱，喜欢厉害的女猪            
(4星)	 人家也年轻过~~~~            
(2星)	 评价看《我叫金三顺》            
(4星)	 还算有爱            
(5星)	 实在是超级爆笑的，爷爷很可爱！            
(NA)	 大叔~            
(4星)	 当初看完巴黎恋人后多爱李东健啊,现在杳无音信了,哎,,            
(4星)	 很可爱的新娘子。            
(NA)	 多么清新可人的影片啊            
(4星)	 看了不下五遍，每遍还是很好看。            
(4星)	 蛮搞笑的            
(1星)	 长那么磕碜还他妈的出来装纯装嫩装可爱装清新！！！            
(2星)	 没看完，片名另一个翻译叫谁谁谁和检察官，亮点在女一号现在真的嫁给了检察官……            
(3星)	 还行吧, 主要是被他们真实生活中的恋情所感动了.            
(4星)	 多好的一对，可惜还是分开了            
(4星)	 以往我认为韩剧要不很长，可以播足一年，要不很苦，赚足眼泪，没想到还有这样的轻松搞笑的短剧。            
(3星)	 开头很棒.....这么多年,我一直没看到最后..............            
(4星)	 喜欢这对儿。。唉。。            
(3星)	 这样的韩剧还是可以看看的            
(4星)	 我忘了我哭没。好像挺感人的。。。            
(NA)	 总觉得韩智慧演戏过了点            
(NA)	 李东健的角色，让我幻想了好多好多。帅气 潇洒 可爱 成熟 花美男 他头顶的光圈还真的很多，可惜他弟弟却在外国遭绑匪灭杀。            
(5星)	 好喜欢大叔呀、、、            
(4星)	 我好喜欢这个片头曲 哈哈            
(5星)	 哈哈 特逗！            
(2星)	 没有白血病，没有车祸的韩剧。。。。            
(4星)	 很喜欢他们搭档   可惜后来还是分手了~~~~            
(4星)	 因为这部剧对李东健比较有印象了~其实不喜欢韩智慧的，因为反转剧里面她老是欺负我家Eric大大= =||||||好么，这里面她还蛮有意思，蛮可爱的。            
(5星)	 可爱韩智慧与李东健            
(NA)	 还行吧～～～看在韩智慧的小眼睛上，70分            
(5星)	 很可爱，很有趣的爱情故事啊            
(4星)	 谁叫我喜欢韩智慧。            
(4星)	  李东健 +韩智慧~可惜不再存在了~            
(4星)	 初中的时候出来的高三的时候偷偷看完了 哈哈 好喜欢东健oba~            
(3星)	 无感            
(NA)	 看过之后就喜欢上了帅帅的李东健跟傻傻的韩智慧，现实中他们也走到了一起，真令人高兴啊。            
(5星)	 棒嘛~            
(3星)	 在中国，起码是新娘22岁。            
(3星)	 很慢很慢。。            
(3星)	 看了几集……            
(3星)	 还行吧，比较喜欢女主没结婚前的风格——虽然只有很短很短            
(5星)	 韩智慧要结婚了。。我来怀念你们的定情作~            
(3星)	 很喜欢韩智慧~            
(5星)	 哇，大爱李东健啊，而且越看越像力宏            
(4星)	 他俩现实生活中也是情侣。。很搭哦~            
(3星)	 娱乐            
(3星)	 那时候我长得像韩智慧哈哈哈            
(4星)	 虽然弱智,但很好笑            
(NA)	 韩智慧是个很不俗，演技不错的，少有的韩国女艺人啊            
(4星)	 轻松型            
(NA)	 4            
(4星)	 两个人超级搭的，韩智慧演得很可爱            
(3星)	 不喜欢男主角。。。韩智慧还好。不过还蛮有意思。            
(3星)	 韩智慧在里面演的就一个神婆~李东健比较耐看~            
(4星)	 高中看的吧。。。很傻逼的，但是很喜欢。主要是李东健            
(4星)	 不太能想起来剧情了呢？~            
(NA)	 因为他们的鼓舞想要寻找真心            
(4星)	 宗孙！晕倒            
(4星)	 看这个的时候，妈妈竟然花痴地说“李东健好帅啊”            
(NA)	 一般吧，只是年龄的跨度是看点，大男人的体贴，小女人的依偎            
(5星)	 大叔…………            
(NA)	 研一跟寝室人一起看的……            
(3星)	 寻找梦想。            
(4星)	 好像还可以了~韩智慧还是蛮可爱的~            
(3星)	 很有爱的大叔            
(3星)	 纠结来纠结去我还是很喜欢这一对的.            
(NA)	 好逗！            
(4星)	 没啥印象了= =            
(NA)	 李东健 ~帅啊~            
(4星)	 看的时候正过年，挺喜庆 喜欢大叔坚定的说：我已经结婚了            
(5星)	 舅媽說我像韓智慧。。我靠，是長相么。。            
(3星)	 超级爱智慧~~超级爱台湾配音~~            
(2星)	 其实很扯淡的剧情            
(NA)	 七七讲的            
(3星)	 还有宗亲府这种事阿~            
(4星)	 哦呀呀~~~生活很热闹啊~~~            
(3星)	 女主太弱了。。。            
(5星)	 超爱这一对~            
(3星)	 3.5            
(3星)	 还行吧            
(3星)	 没觉得很好看            
(3星)	 一般化，韩国人竟然也读《出师表》……            
(3星)	 这个单眼皮女孩可爱的哟~            
(4星)	 突然觉得韩智慧这种单眼皮女生也蛮有味道的啊可惜她跟李东健分了，觉得他们蛮配的啊            
(5星)	 搞笑            
(4星)	 还算经典            
(3星)	 同上            
(4星)	 可爱的小两口！~            
(2星)	 我不知道为什么，只能看进去一点点            
(3星)	 记忆不是很深刻            
(3星)	 李东健很帅啦。            
(4星)	 看了21集都以为是爱情喜剧，但最后一集发现是家庭亲情剧，可爱的爷爷抢了男女主角的风头。。            
(4星)	 大叔~~~            
(5星)	 爱的点滴，记录着从少女到少妇的成长与蜕变。            
(5星)	 看的时候，笑得嘴巴都抽筋了。。。哈哈哈，值得看哦`            
(4星)	 认识了韩智慧~小眼睛的韩国美女            
(5星)	 那时候我们还很年轻            
(5星)	 因为这个电视曾经疯狂喜欢过李东健 好看 可爱            
(3星)	 曾经我多迷李东健啊            
(5星)	 很可爱啊。。            
(4星)	 感觉这里李东健还行啊 怎么在巴黎恋人里就讨厌他了呢            
(3星)	 当时觉得韩智慧不好看的~嗯，看多了也就顺眼了~            
(4星)	 李东健和韩智慧好配。            
(5星)	 男主角我爱撒            
(3星)	 无感。。。            
(4星)	 偶可是在离高考只有一个月的时候挤时间看完的 可见当时多爱李东健            
(3星)	 其实，这两个人看上去也没有那么的配。            
(3星)	 那时候你们在一起，现在物是人非            
(3星)	 韩智慧真可爱~~            
(3星)	 这还是追随我妈看的！！            
(4星)	 表情丰富的小新娘            
(4星)	 我断断续续看的 看的片段都还不错            
(4星)	 高中看过的一部片子，当时很喜欢！            
(3星)	 N年前看的，都忘记讲啥了，就记得当时很土地喜欢女主角全身上下花花绿绿的衣服围巾帽子~哈哈            
(NA)	 我也迷过            
(NA)	 韩智慧+            
(NA)	 里边的欧巴是我心目中的那个人，每次吵架不管谁对谁错，他都主动道歉            
(5星)	 爱爱爱爱爱            
(NA)	 无感            
(4星)	 n年前看的，当时很喜欢。            
(3星)	 可爱的新娘，优秀的新郎~~背诵出师表，有趣            
(NA)	 搞笑，另外看看这位当时28的女生如何打扮自己成18的~            
(3星)	 我终于知道我的人生都浪费在哪了。。。            
(NA)	 韩智慧很可爱            
(3星)	 韩智慧真瘦啊            
(3星)	 女主的表情夸张的            
(3星)	 就是搞笑            
(3星)	 ···            
(NA)	 喜欢单眼皮女生            
(3星)	 喜欢韩智慧和李东健的搭档，曾经很迷他们~            
(3星)	 有点俗，不过情侣组合还是不错的，可惜后来分手了            
(NA)	 为了李东健去看的，结果结局很主流……            
(4星)	 情节很搞笑~~挺喜欢的~~~            
(3星)	 找个大叔嫁了吧            
(5星)	 很可爱的剧啊            
(4星)	 虽然有些不切实际，不过很有爱~            
(4星)	 李东健和韩智慧，最后还是分手了。。。            
(2星)	 男主角长的像我姐夫            
(3星)	 一般。。。            
(3星)	 这片要回溯到06年，据说看了会有想结婚的冲动，于是有人专门下了让我看受教育 大叔啊大叔一时风靡我的生活            
(5星)	 萝莉养成计划的甜美的故事            
(3星)	 只能说一般。。。。。。。。。能不看就不看吧。。。。。            
(3星)	 李东健比巴黎恋人里帅            
(4星)	 看了几次也没看全过，有时间会仔细看一遍的！有李东健、韩智慧、李多海，应该不错的片子....            
(5星)	 韓智慧是個可愛的小女孩。            
(4星)	 就是觉得李东健很帅~~            
(5星)	 一部剧红了一个称谓,韩剧红了&#34;哥哥&#34; 也红了&#34;大叔&#34;,小女生爱大男人,oh yeah            
(4星)	 从这部剧开始喜欢上李东健的            
(3星)	 傻乎乎的，对那双胞胎倒是印象深刻~            
(4星)	 爷爷那里很有感觉呀``            
(NA)	 非常好看，韩智慧很可爱，大叔也不错，不过后面的剧情感觉有点狗血，不至于傻到那样吧。。。不过还是值得一看的，经典            
(3星)	 就搞笑            
(5星)	 李东健满帅的            
(5星)	 大爱韩智慧~            
(3星)	 喜欢大叔！            
(3星)	 这俩人很有夫妻相，分手是在有点遗憾。多海真美啊~~            
(4星)	    女女不错            
(3星)	 韩式搞笑吧 韩智慧看多了也不觉得丑            
(5星)	 呵呵！！！ 挺喜欢！！女主人公的傻气！！ 幸福原是这样的单纯！            
(NA)	 突然想起来，我原来还看过那么多的偶像剧            
(3星)	 李东健蛮好看的。。。            
(NA)	 新娘18岁，太搞笑了，第一次见识到韩国的一些风俗            
(3星)	 没想到后来我也有了大叔..            
(NA)	 妈妈的最爱            
(5星)	 很不错的韩剧            
(5星)	 很温馨            
(3星)	 娘子18岁得白痴、            
(3星)	 大叔，很魅力~            
(3星)	 虽然女主角是个高中生，开篇展示了她不乖的秉性，但其实她的本质非常善良，只要多加训导，完全可以成为一个贤良的主妇。这也许是爱情、也许是家庭的力量。            
(NA)	 搞笑~            
(3星)	 出师表青年....            
(4星)	 妙趣横生            
(NA)	 好帅的新郎呀。            
(5星)	 大叔~阿扎西~O(∩_∩)O~            
(4星)	 还是可以看的~            
(4星)	 很有意思的说            
(4星)	 可以给人带来欢乐和笑声的韩剧，看了几遍，当时放假的时候，也和妈妈一起看了……            
(3星)	 俩人定情之作, 我没什么感觉. 其实我喜欢喜剧.不是喜剧,编剧就太重要了.            
(4星)	 我当时成天的看，还是等着电视放。            
(4星)	 当年同学说我长得像女主哦            
(4星)	 因为这部剧 喜欢叫“大叔”~            
(4星)	 只能说还算挺逗的吧...有些情节太夸张了...            
(5星)	 唯一看全的韩剧            
(5星)	 我喜欢这样简单的小幸福            
(3星)	 就记得女猪脚喜欢喊大叔~~~~~~~            
(NA)	 熟男，熟男。            
(3星)	 李东健的眼睛还真是有够大            
(3星)	 还是挺可爱的            
(NA)	 好喜欢的一部韩剧！断断续续地不知道看了多少遍了~~一部成功地电视剧不应只充斥着爱情，有时亲情、友情，甚至主人公的人生价值观更是电视剧的卖点，我认为它多多少少已触及这点！！            
(4星)	 娱乐大众            
(4星)	 唉，可惜了韩智慧和李东健。虽然个人不喜欢大眼泡黑眼圈严重的李东健。韩智慧真的满可爱滴            
(3星)	 李多海在里面好老.......只是以前还蛮萌韩智慧和李东健这对CP的.......            
(4星)	 年龄不是距离。            
(NA)	 李东健！！韩智慧！！            
(NA)	 好傻啊 XD            
(5星)	 喜欢里面的女角的 服装 哈哈  看韩剧就是为了这些服装搭配来的            
(2星)	 男女主角不优            
(4星)	 挺搞笑的~            
(5星)	 啊，评分不高让我有点想不通，记得我同学看了一集后，大声的对我说“男主丑死了，一边脸大一边脸小”。当时我就上当了，很久后翻出来看，一发不可收拾啊，很不错的剧。            
(3星)	 嫁个检察官也挺好            
(4星)	 我爱大叔            
(NA)	 爱情是可以培养出来的……等培养出来也变成亲情了            
(3星)	 又是当年追韩国时看的无数部韩剧中的一部罢了。            
(4星)	 剧情啊 语言啊 什么的都挺有意思的。。 贞淑 不是一般的能搞 哈            
(3星)	 好笑            
(4星)	 喜欢韩智慧，还有当时还比较胖看起来比较老的李东健。            
(3星)	 这个还算不错~但三星也算最多了....            
(3星)	 磕磕碰碰中让这对相差了十岁的夫妻懂得了生活的真谛，所幸他们慢慢懂得了生活并最终获得了爱情            
(NA)	 哈哈，大叔            
(3星)	 圆圆的脸啊圆圆的脸。。看不见眼睛啊看不见眼睛。。。            
