http://movie.douban.com/subject/2301032/	射雕英雄传 射鵰英雄傳
(4星)	 虽说翁美玲版式绝对的经典。但随后拍的这部有前作如此出色还拍的如此。真的不错了。            
(3星)	 朱茵版的黄蓉其实模仿翁美玲比较多，不过还是很漂亮。            
(5星)	 挺好的。。。            
(5星)	 很多人喜欢更老版本的、但是朱茵的黄蓉实在赞            
(5星)	 这个必须五分 朱茵美爆了！            
(4星)	None
(5星)	 我就喜欢这一版的黄蓉            
(4星)	 我心中的黄蓉和郭靖就是朱茵和张智霖            
(5星)	 还是最喜欢他们这个版本的            
(4星)	 好喜欢张智霖的郭靖啊，朱茵真娇俏。            
(5星)	 喜欢射雕故事里面的纯洁爱情。也很喜欢９４版的帅哥美女配对啊～～　虽然都说８３版经典，但是毕竟有些年岁了，这版也很好            
(4星)	None
(4星)	 我喜欢这版            
(4星)	 翁美玲版不谈 比别的版本好多了            
(5星)	 穆念慈是奶奶吧？！            
(NA)	 嗯，94里的黄蓉好            
(3星)	 看过83射雕，一切都已如浮云。。。。。            
(4星)	 就看剧情            
(5星)	 太喜欢这版了            
(5星)	 在我心目中这版射雕才是最好的。。。            
(4星)	 其实吧，我好像没看过87版            
(5星)	 最经典的射雕，看过无数遍的射雕。            
(5星)	 超级无敌情景喜剧，爆笑无厘头，台词精辟到极点。。。太有喜感了，就喜欢江湖大侠门不要脸又一本正经的架势！！！            
(5星)	 看这版长大            
(5星)	 我觉得朱茵版的黄蓉演的挺好的。。。            
(5星)	 最爱的就是这个版本的！！！            
(4星)	 这版可以媲美翁美玲了...朱茵我的女神...            
(4星)	 最喜欢的版本~            
(4星)	 年少时看过这部片子，念念不忘。            
(5星)	 最喜欢朱茵和张智霖版的了~~            
(5星)	 最符合原著的一部~            
(4星)	 傻小子郭靖爱黄蓉。。。。            
(5星)	 其实我最喜欢的射雕版本就是张智霖的            
(4星)	 书里部分感情没有表现够，主要想谈演员。黄蓉聪明调皮又娇俏，郭靖也是呆到骨头里，朱茵和张智霖表现真的不错。憨直的贪吃的洪七公，潇洒的老帅哥黄药师都蛮喜欢，最期待出镜的欧阳克倒也是风度翩翩，几次三番给黄蓉捉弄的场景很有爱，可惜外形和书里写的还是有一点点差距啦，要有西域、西域特质啊混蛋            
(5星)	 最喜欢这版            
(5星)	 从小看94版，最爱94射雕            
(4星)	 其实蛮好看的，只是大家都爱83版            
(4星)	 这一版还是很不错的            
(4星)	 比83版的熟悉点            
(5星)	 喜欢朱茵、张智霖            
(4星)	 这是我接触的第一部射雕。。            
(4星)	 其实是我和老妈最喜欢的版本            
(NA)	 张智霖啊            
(5星)	 最喜欢这个版本            
(5星)	 最爱蓉儿...            
(4星)	 金庸剧最爱呀            
(5星)	 最喜歡這個版本——朱茵和張智霖的表現，很精彩，國語配音都非常出色            
(NA)	 朱茵美            
(3星)	 朱茵版黄蓉有点做作……爱撅嘴            
(5星)	 又是一部经典，我的初中的时候打死也要看的。            
(NA)	 嘛，朱茵版黄蓉和黎姿版赵敏最喜欢了~这一版的黄老邪和欧阳克也很萌有木有！！            
(4星)	 这版真的是很忠于原著的呢，个人绝对认为这版才是最帅郭靖呢，朱茵的黄蓉也不错的，如果模仿痕迹不是那么重就更好了。。。            
(4星)	 朱茵版的黄蓉也是很不错滴~            
(4星)	 朱茵太灵气了            
(5星)	 张智霖，朱茵演得好。            
(NA)	 这部不逊于那个经典版，我觉得。但是，为什么为什么要找关宝慧演穆念慈！为什么！这是我人生中一个未解之谜啊。            
(4星)	 罗嘉良和内个演杨康的不够帅啊不够帅= =            
(5星)	 这是我看的第一步射雕英雄传，觉得朱茵真是把蓉儿的灵气完全表现出来了            
(4星)	 这版的蓉儿和靖哥哥是我最喜爱的，朱茵的娇俏、灵气对我而言就是书中的黄蓉，大仙好纯净啊~~只是有些场面处理的过于简单草率~~            
(4星)	 经典版            
(2星)	 衣服太不专业了            
(3星)	 朱茵版的黄蓉，够娇俏，够灵性            
(5星)	 看的第一版射雕，黄蓉就是朱茵的样子嘛。            
(5星)	 最喜欢的是老顽童和洪七公            
(4星)	 这版也算是蛮经典的。朱茵的黄蓉算是机灵相，张智霖怎么看怎么都很聪明，不是憨憨的料。配角都是相当出彩的！@Home            
(4星)	 朱茵的俏黄蓉最经典~            
(5星)	 最爱这个版本的！！！            
(4星)	 只为甜美可人的朱茵，只为冰雪聪明的蓉儿，只有朱茵的蓉儿和贾静雯的赵敏如此令人着迷            
(5星)	 非典回忆。绝世！绝招！绝顶！            
(5星)	None
(4星)	 最喜欢这一版 不知道是不是因为朱茵的缘故            
(3星)	 看过很多遍了吧            
(NA)	 94版也8错            
(4星)	 张智霖虽然不太像郭靖，但也算演得很努力了，和朱茵是养眼配。而朱茵的娇小玲珑和娇俏活泼也确是当时演绎黄蓉的最佳人选。可惜杨康和穆念慈是找错人演了。罗嘉良演杨康略嫌年纪大，而关宝慧风尘是够风尘了，却少了应有的少女味道。喜欢剧情跟着原著走，加上男女主角不错，所以给四星。            
(4星)	 最喜欢这一版            
(5星)	 我挺喜欢这部的，朱茵演得黄蓉一点也不差            
(5星)	 其实是我最喜欢的版本。无比喜欢朱茵~            
(4星)	 像翁美玲致敬之作            
(5星)	 这部我心中射雕的最爱。。。            
(4星)	 其实这是我看得最多的版本，朱茵诠释的黄蓉比翁美玲更温柔可人            
(5星)	 靖哥哥…蓉儿…15年之前的剧集，看的我津津有味。最纯净的朱茵，浑然天成的张智霖，怎么能调皮聪明成这样，又怎么能憨厚淳朴成这样。郭靖没有了蓉儿，他就乱了、散了。郭靖因为蓉儿而成为了顶天立地的人，蓉儿因此有了一世的依靠。黄蓉，如果女人都如你这般，我宁可我变成智障。男人因憨厚而迷人。            
(3星)	 人在紧张环境下就容易肾上腺素飙升，蓉儿的急智得益于此，蓉儿...射雕灵魂...            
(5星)	 就是很经典 跟神雕侠侣一样             
(4星)	 还是最喜欢这一版。            
(5星)	 最喜欢这版的了~喜欢小张和朱茵~~            
(5星)	 说真的，这次我觉得穆念慈演的真好，尽管她长得不漂亮~~~~            
(5星)	 这版最好了            
(5星)	 最喜欢的射雕，，爱死张智霖和朱茵演的靖哥哥和黄蓉了，，看这个的时候又被朱茵给惊艳到了             
(4星)	 朱茵是我最喜欢的黄蓉~！自认为无法超越赛~            
(4星)	 最最喜爱的还是朱茵的黄蓉。张智霖的郭靖也显得纯而不蠢，让人心生好感。剧情基本忠实原著，没什么太大的硬伤。可惜除了男女主角之外，其他的选角就有些不太理想了，不过黎耀祥和刘丹还是挺好的。            
(NA)	 最帅的郭靖！！！！！！！！智霖哥！！！！！！！            
(5星)	 最喜欢的射雕版本。并且与许多其他书和电影一起，影响了我的爱情观。            
(5星)	 喜欢94&gt;83             
(3星)	 我只能说朱茵太黑，张智霖不错，罗嘉良头太大，也不是我满意的杨康。            
(NA)	 朱茵太美            
(4星)	 朱茵很美，演的也很灵，可惜阿翁已经先入为主了            
(5星)	 两版的港版射雕都是我大爱~            
(3星)	 朱茵演得不错啊～            
(5星)	 大爱朱茵            
(3星)	 看得最多的就是这部，朱茵自有风采            
(5星)	 最喜欢的一个版本            
(5星)	 始终是喜欢港版的            
(4星)	 挺喜欢男女主角的            
(4星)	 我爸最喜欢的一版            
(5星)	 朱茵绝对是没话讲的。。。逍遥游威武。东邪西毒南帝北丐跟神雕的古天乐版本全一样，给力啊            
(4星)	 张智霖            
(5星)	 最喜欢这版本的~            
(4星)	 周伯通。            
(4星)	 这一版的神雕也不错啦！            
(5星)	 小时候看的版本            
(5星)	 朱茵的黄蓉最灵了！！！            
(3星)	 朱茵版的也很不错。            
(4星)	 2星给朱茵的黄蓉 剩下的给张智霖的郭靖            
(4星)	 朱茵美得不像话            
(5星)	 在我心里,智霖就是靖哥哥,朱茵就是蓉儿~ =3=            
(NA)	 啊咧？1994么=v=            
(3星)	 这版的蓉妹妹也算清丽可人，算是不错了。郭靖也算好看了，吼吼。            
(5星)	 朱茵美的完美无缺            
(5星)	 那时的朱茵太水灵灵了！喜欢啊！            
(5星)	 虽然大家都说83版经典，但可能是先入为主了，我还是最喜欢94版~            
(5星)	 最喜欢的版本            
(NA)	 我的女神哪朱茵            
(3星)	 看过几集，印象不深。            
(5星)	 经典的片子。最爱朱茵。            
(5星)	 对这版还是很有爱的！            
(5星)	 朱茵算是最美的黄蓉了吧，这版比较忠实原著，挺好看的。            
(4星)	 张智霖憨，朱茵俏，罗嘉良酷。            
(NA)	 还是这版最经典。            
(4星)	 当年的总是经典            
(5星)	 最喜欢的一版            
(5星)	 最爱这一版 看过很多遍            
(4星)	 小时候我妈喜欢看于是= =            
(4星)	 沒看過備受讚譽的那版，但是我卻是真的很喜歡這版。張智霖的郭靖和朱茵的黃蓉，我覺得還原度好高好高            
(5星)	 喜欢张智霖，还有朱茵。            
(4星)	 这一版是经典了。            
(4星)	 智霖锅,乃的风头全被古灵精怪的朱茵美眉抢走了....            
(4星)	 朱茵演的挺好的            
(5星)	 这个配对是我最爱的。。            
(5星)	 我最喜欢的版本了~            
(5星)	 最喜欢的一部射雕了。。            
(4星)	 张智霖的靖哥哥还行~            
(5星)	 继83版后的经典            
(4星)	 回忆            
(NA)	 张智霖^^            
(5星)	 靖哥哥~蓉儿~            
(4星)	 比较喜欢结局的处理，看各路英雄叱咤风云最后却也都转头成空。青山依旧在，几度夕阳红。有点悲剧美学的意思。            
(5星)	 阵容堪称90年代最经典~            
(5星)	 最喜欢这版            
(NA)	 先入为主。感觉这部拍得最好。            
(5星)	 特别喜欢朱茵！            
(3星)	 搭配很好的~~            
(4星)	 还是旧的好看            
(5星)	 就是喜欢这个版呀            
(5星)	 最爱朱茵，最爱这样的黄蓉。            
(5星)	 曾经的梅若华和陈玄风啊····            
(4星)	 大爱张智霖和朱茵的这一版。            
(5星)	 最最经典的射雕版本，觉得比83版还要经典，演员经典，剧情也经典！！！            
(5星)	 sdad            
(4星)	 最喜欢的黄蓉。            
(1星)	 很一般            
(1星)	 不咋的            
(5星)	 最喜欢的射雕版本。            
(4星)	 好看，推荐            
(NA)	 喜欢朱茵演的黄蓉             
(4星)	 朱茵演的不错...            
(5星)	 灰常喜欢            
(4星)	 似乎就记得朱茵的黄蓉了~            
(5星)	 还是喜欢这版的射雕。            
(5星)	 我最喜欢这版的射雕。我很喜欢张智霖版的靖哥哥啊！！            
(5星)	 我最喜欢这一版            
(5星)	 特喜欢朱茵演的黄蓉！            
(NA)	 我觉得朱茵版黄蓉最灵唉            
(4星)	 朱茵演的蓉儿看着挺舒服            
(4星)	 朱茵是我心目中的黄蓉            
(NA)	 啊！这个黄蓉最有感觉了            
(5星)	 还是最喜欢朱茵演的黄蓉！            
(5星)	 实在是太精彩了~~朱茵演得超超超棒的~感觉她就是那个古灵精怪的小黄蓉            
(2星)	 要不是杨康我可以打三星            
(5星)	 爱死朱茵            
(5星)	 那时被张智霖秒杀了            
(5星)	 因此喜欢上朱茵            
(3星)	 看过几集，不全，朱茵不错            
(NA)	 爱上智霖的第二部戏            
(NA)	 在不看黄日华版射雕前，见过的最好版本射雕！            
(4星)	 最帅的靖哥哥！朱茵也挺活泼的~            
(4星)	 经典            
(NA)	 剧。朱茵，闪烁之间、抚发之间、伶牙俐齿之间，一切稳当入袋。            
(4星)	 朱茵那个时候还是小小黑黑的            
(4星)	 現代人怎麼就越來越不行了。            
(5星)	 当初超喜欢！！            
(5星)	 太赞了。。和黄日华版天龙在我心中最好            
(5星)	 我爱chilam的开始            
(5星)	 我就是喜欢这个版            
(4星)	 这一版是我心中的经典~            
(5星)	 巨好的靖哥哥~~~~            
(3星)	 其实朱茵才是我心目中的俏黄蓉            
(5星)	 唉呀喜欢上朱茵了            
(4星)	 心中的经典 超越83            
(4星)	 黄蓉还是朱茵演得最好            
(NA)	 最喜欢这版的黄蓉            
(4星)	 我最喜欢的版本~            
(5星)	 大爱啊。。            
(4星)	 貌似没完整看完            
(5星)	 此版黄蓉是真爱            
(5星)	 妈的，谁不给满分谁白痴            
(4星)	 好看的……            
(5星)	 张智霖好嫩啊 好可爱的靖哥哥 看到郭靖被罗嘉良的杨康桶了一刀 就想到罗子建和徐家立的爱恨情仇             
(5星)	 最喜欢朱茵版的黄蓉，那时的朱茵美貌逼人，风华绝代。            
(3星)	 还行吧、对张智霖的印象全指着它了             
(4星)	 感觉这版本的郭靖黄蓉选角是最符合原著气质的，不过康慈是最惨不忍睹的，老胡版的杨康念慈最好，但是老胡太不适合演杨过了~            
(5星)	 永远的最经典版～            
(5星)	 这部剧是经典中的经典，最好看了，绝对值得珍藏！            
(5星)	 朱茵那时候真漂亮            
(4星)	 我心水三个版本的射雕，翁美玲黄日华版，朱茵张智霖版，胡歌林依晨版。曾一度陶醉于张智霖版郭靖的美貌，我们的紫霞仙子演起黄蓉来也不失俏皮可爱。不感冒此版的杨康穆念慈。小时候一直单纯地不怎么喜欢罗嘉良的长相。杨康就得长成袁弘那样，太帅了。此版的欧阳克很美好啊。            
(NA)	 眼前一亮啊。            
(4星)	 经典的蓉儿和靖哥哥            
(4星)	 好喜欢朱茵版的黄蓉，太可爱了。金庸小说里最喜欢的人物就是黄蓉了，那么聪明伶俐，善良，但又带三分邪气，还有桃花岛那么神奇的家和东邪那么厉害的爹。。很传奇的人物            
(5星)	 超爱            
(5星)	 喜欢这版的，朱茵最复合我心中的黄蓉，郭靖也很不错            
(5星)	 最喜欢的一版            
(5星)	 只为张智霖。            
(5星)	 真不错            
(4星)	 很喜欢朱茵            
(5星)	 第一次看射雕。。。6岁的时候            
(5星)	 我的蓉儿呀！            
(5星)	 我的最爱            
(5星)	 个人认为是最好看的一般射雕..大仙...!            
(4星)	 这版本我喜欢~~            
(3星)	 朱演得还蛮好            
(5星)	 妙在东邪西毒南帝北丐和95版神雕是同一群人扮演            
(3星)	 后劲十足的作品，如果不是朱茵的刻意模仿，我会多给一星            
(NA)	 俊男美女版的郭靖黄蓉            
(5星)	 郭靖黄蓉都那么养眼，演穆念慈的太不给力了！            
(NA)	 很粉张智霖的，可惜演郭靖是俊美有余而憨厚不足。朱茵版的蓉儿很赞            
(NA)	 我们年代的版本            
(5星)	 所有版本的我 最爱看得一版本，朱茵~~ and张智霖            
(5星)	 还是喜欢朱茵的版本额            
(4星)	 其实我最早看的是这部。所以我很有感情。            
(4星)	 小时候在隔壁阿金哥家里看的,记得那时下着大雨,我都回不去,结果看到很晚,小时候就喜欢幻想            
(3星)	 忘记了他的经典。毕竟83年的，应该不属于我们87年的人的回忆吧。            
(4星)	 朱茵当时真系靓，好符合黄蓉噶精灵活泼感觉，而大仙则比郭靖靓仔好多            
(3星)	 朱茵演的挺好的，张智霖也憨呼呼的            
(NA)	 那个八几版没印象，最早有印象看的是这个            
(4星)	 射雕告诉我们：资质差点没什么，重要的是要听话~！~！             
(4星)	 很爱这一版            
(5星)	 朱茵演的黄蓉冰雪聪明，灵巧可爱。张智霖的郭靖也憨得教人喜爱。对经典八三版的印象不是那么深，所以很喜欢这一版。            
(5星)	 张智霖跟朱茵把人物演活了            
(5星)	 此版射雕无与伦比            
(5星)	 最佳版本            
(5星)	 很喜欢这部，觉得很好看，除了穆念慈不够好看，一切都很完美~            
(5星)	 朱茵和张智霖演的都很好            
(3星)	 男女主角太养眼咯。            
(5星)	 是在太经典啦！演员音乐啥都很好。            
(3星)	 我到底有没有看过呢？            
(5星)	  最喜欢这个版本的射雕，喜欢 朱茵            
(5星)	 比所谓的经典版射雕好看。            
(4星)	 喜欢这版~            
(5星)	 我喜欢这样的靖哥哥            
(4星)	 我心中最好的射雕            
(4星)	 只看过这个版本的。。。            
(4星)	 我还挺喜欢这版的            
(5星)	 又是经典的一部            
(5星)	 老实巴交的郭靖我最喜欢了            
(5星)	 应该是挺经典的吧。。虽然不及83版。。可是我还是没看完，断断续续的。。            
(4星)	 他两都演的很得我心            
(4星)	 好怀念~俊男美女            
(4星)	 喜欢朱茵和张智霖的搭档            
(5星)	 貌似我小时候根本分不清94还是83。。。            
(4星)	 张智霖 朱茵新组合很强档            
(5星)	 最喜欢的一版            
(3星)	 最喜欢这个版本了~~            
(4星)	 在我这代人看来这才是经典版的射雕            
(5星)	 还是最爱这版射大雕~~~            
(NA)	 喜欢            
(5星)	 在我心目中，只有朱茵才真正将俏黄蓉、张智霖将郭靖的蠢和傻演得活灵活现！            
(5星)	 配角都很好，洪七公太可爱了～            
(4星)	 朱茵的黄蓉也很灵气迷人，可惜翁美玲金玉在前，朱茵还是不够出彩            
(5星)	 两个主角儿可是相当和我口味。            
(5星)	 靖哥哥的酒窝呀。。。最爱的版本。            
(4星)	 美丽女人朱茵            
(4星)	 这个郭靖很帅            
(4星)	 没看过翁美玲的版本 在我心中这就是最好的 射雕英雄传 无论是 张智霖的郭靖 朱茵美得不行的黄蓉 和 罗嘉良的杨康            
(5星)	 最好看的一部            
(3星)	 还行吧、对张智霖的印象全指着它了            
(4星)	 83版的光芒太耀眼，但这版还是奉献给了我们纯纯的朱茵。            
(5星)	 大爱张智霖！！！！！！！！总体来说，不错~~~            
(5星)	 没看过翁美玲演得称为最经典的射雕。。还是最喜欢这部。。。            
(4星)	 那個時候張智霖好帥哦            
(5星)	 也是经典的一部。            
(4星)	 算是蛮不错的一个版本，人物感觉都挺对的            
(4星)	 很喜欢朱茵演的黄蓉，感觉比翁美玲的可爱点            
(4星)	 最喜欢的电视剧版射雕~            
(3星)	 还是亲爱的朱茵啊            
(4星)	 很喜欢两个主角的饰演，如果排除受到经典黄日华、翁美玲的首部影响，你会发现他们的饰演是相当到位的，尤其是在 胡歌、李亚鹏的郭靖都相当失败的情况下。我喜欢            
(4星)	 很多人说是83版经典，不过自己是看着94版长大的。朱茵饰演的黄蓉，已是心里不可磨灭的痕迹。94版郭靖也比较靠谱，浓眉大眼，倒也算大智若愚。有人推荐看08版，不过对于不CJ的某人来说…窃以为08版真的是拿来腐的= =二位饰演者让我没法联想到这是郭靖黄蓉= =就这样。            
(3星)	 没有全部看            
(4星)	 我不知道什么83版的经典，只觉得这一版不错            
(3星)	 我喜欢朱茵这一版哇。。。。            
(5星)	 这一版也不错的            
(3星)	 这剧拥有史上最聪明的郭靖和最不堪的穆念慈.            
(2星)	 终于忍不了了            
(5星)	 还是最爱这个版本的            
(4星)	 这一版也还不错！            
(NA)	 经典            
(4星)	 这个版本也好看。。只是可能翁版太强大了。。没盖过那风头。。            
(4星)	 朱茵饰演的黄蓉活灵活现、小巧可人，给我留下了深刻的印象。其他演员也都演得很好，总体而言是个很不错的射雕版本。（实在难以接受近几年大陆拍的版本）            
(4星)	 以前最喜欢的TVB剧演员就是朱茵和蔡少芬。朱茵完全把黄蓉演活了，美丽可爱，聪颖机智。            
(4星)	 最爱的一版射雕。。安            
(4星)	 就喜欢这个版本的~朱茵太美了            
(5星)	 最喜欢的武侠剧            
(NA)	 还是最喜欢这版            
(5星)	 最喜欢朱茵版黄蓉\(^o^)/~            
(3星)	 其他我不说 朱茵长得多想黄蓉啊            
(4星)	 很小的时候看的，印象很深刻。主要是金庸的小说写得好            
(3星)	 张智霖版郭靖强过李亚鹏版~朱茵版黄蓉强过周迅版~            
(5星)	 最爱朱茵和张智霖版 。。。            
(2星)	 好晕 主要是其他的先入为主了 还有港片的背景······            
(4星)	 朱茵是个漂漂的女人~            
(4星)	 张智霖在里面很可爱！            
(5星)	 朱茵演的黄蓉非常俏皮可爱。            
(5星)	 我最爱的版本            
(5星)	 情侣很配~            
(5星)	 最美的黄蓉！！！最震撼的欧阳克~            
(5星)	 最爱这两人了~~            
(4星)	 喜欢罗嘉良的杨康            
(3星)	 朱茵很美~            
(5星)	 靖哥哥的酒窝呀。。。最爱的版本。            
(4星)	 非常喜欢这一版的~~~            
(NA)	 张智霖最乖！~            
(4星)	 其实，我一直觉得朱茵是形神与黄蓉最相像的。可惜她模仿翁美玲的痕迹太重，没了自己的她特色。张智霖的郭靖又太帅了！总的来说，也算是成功了，可惜83版太过深入人心，掩盖了这一版的光芒。            
(4星)	 最喜欢这版的            
(4星)	 看过这个之后才看过83版的，先入为主的印象吧            
(4星)	 虽然没有翁美玲那部经典，不过也还不错            
(5星)	 其实朱茵演黄蓉演的最好。            
(4星)	 朱茵的蓉儿真好看。。。比紫霞还好看            
(4星)	 可谓经典            
(5星)	 超爱这个版本！朱茵太灵啦！            
(4星)	 看的极少的金庸的作品之一            
(3星)	 珠玉在前，没法超越就别去试。            
(5星)	 我还是觉得，朱茵美啊~~~~            
(3星)	 当年读小学的时候,每天很想看,但是经常又被赶去做功课,非常纠结            
(5星)	 张智霖！朱茵！我最爱的一版射雕！            
(5星)	 最爱这部！！！喜欢朱茵和张智霖的组合！！！            
(4星)	 这两个主角都不错            
(4星)	 比较接近原著吧 还行            
(5星)	 大赞朱茵和张智霖~~            
(5星)	 好喜欢朱茵的黄蓉 张智霖的郭靖            
(5星)	 最爱TVB的射雕三部曲            
(5星)	 我喜欢这个版本的~哈哈~            
(4星)	 总觉得男女主角的搭配有点别扭~            
(5星)	 我看过最好的射雕版本            
(5星)	 朱茵、很到位            
(4星)	 很喜欢            
(4星)	 于我是经典。            
(5星)	 我个人比较喜欢这一版的。            
(4星)	 朱茵感觉演得是翁美龄，不是黄蓉。            
(4星)	 心中的经典            
(5星)	 帅气的大仙啊！！朱茵很好看~            
(5星)	 最爱的版本            
(5星)	 还是最爱～            
(3星)	 这是一部IMDB没有上榜的剧集。我看的是粤语原声版，因为配音可以改变人物形象的原因，没有看过原声的影片剧集我都不会做评论。本剧在我看来，是绝对和经典二字贴不上边的。包括任何一个演员，任何一段剧情。如果给个最好的扮相的话，只能是傻姑了。本剧打着遵照原著的招牌，大部分情节还真是像模像            
(5星)	 個人非常喜歡，與83版是另一種味道。            
(4星)	 还算不错的一个版本。起码朱茵和张智霖都演得不错。            
(NA)	 最Like这版。            
(4星)	 TVB金庸系列。            
(5星)	 这个版本的黄蓉也很好            
(4星)	 朱茵扮相不错，其他比不上八四版的~还有演欧阳锋的像阿凡提~            
(5星)	 喜欢这版 主要是可爱无邪的朱茵了吧 而且其主要演员对人物把握都很到位            
(3星)	 至少比李亚鹏和周迅的版本好            
(5星)	 狠好            
(4星)	 如果觉得83版太老的话，这版还不错。            
(4星)	 其实这部射雕给我的感觉是最好的            
(4星)	 这部射雕是我看的第一个版本。张智霖和朱茵演的都很好，我是完全投入着看完的。反而后来看83版的到没这个感觉了。            
(5星)	 没看过原著~但是总觉得94版的演员~演的感觉就是对味~            
(4星)	 超喜欢这个版本的射雕            
(5星)	 绝对的经典            
(4星)	 我最喜欢的版本。杨康是个败笔。。。。。            
(5星)	 虽说翁美玲版式绝对的经典。但随后拍的这部有前作如此出色还拍的如此。真的不错了。            
(4星)	 电脑特技好烂，还不如不弄。画面服装形象道具什么的，还不如83的。郭靖黄蓉演得好。我尤其喜欢黄蓉。            
(NA)	 里面的杨康和穆念慈同样令人吐血            
(4星)	 朱茵太强了            
(4星)	 我更喜欢张智霖版本            
(5星)	 虽然老一辈人认可83版，可我觉得这一版更好啊！！！            
(4星)	 喜欢里面的张智霖            
(NA)	 四个主角都各有各的FU。很灵动。是射雕里面最喜欢的一版了。            
(4星)	 史上最帅一版郭靖~~~反手射雕帅死了~~~~黄蓉也娇俏妩媚~就是杨康穆念慈看着很各应人            
(3星)	 喜欢朱茵呀            
(5星)	 最爱的一部射雕~好爱朱茵~            
(4星)	 侠之大者，为国为民。            
(4星)	 最经典版本            
(NA)	 小学记忆            
(3星)	 这一版反而看过……笑倒OTZ            
(5星)	 嬉笑怒骂的、、、            
(4星)	 这一部也蛮不错的            
(5星)	 朱茵很漂亮啊            
(4星)	 粤语版很好玩。百看不厌，可惜都是假的。            
(4星)	 还算可以的一个版本~就是穆念慈巨丑            
(4星)	 比李亚鹏那个好            
(3星)	 我们只看过朱茵版的射雕，没有看过翁美玲版的射雕，据说翁美玲把黄蓉演活了，但我们只认识朱茵，所以，这个朱茵在我们评论的世界里她是黄蓉的全部，牙也许有缺陷吧！但我只懂得看到她的好的！            
(5星)	 最喜欢的一部~            
(5星)	 最爱这个版的郭靖黄蓉            
(5星)	 最爱这一版呢。            
(NA)	 说实话，这几版，我就喜欢这版            
(4星)	 心目中最好的一版            
(3星)	 其实郭靖黄蓉挺不错的，可是杨康那长相气质……也太让我伤心了= =            
(4星)	 主要看朱茵            
(5星)	 無人可替            
(4星)	 觉得比内地的好一点            
(4星)	 说实话，TVB这个和83年的比并不差但是83年的太赞了，比较难超越。朱茵的黄蓉刻画的不比翁美玲差的            
(4星)	 朱茵太萌了            
(NA)	 朱茵太俏丽了！娇嗔，机灵，可爱，真是完美！            
(4星)	 还行，再看时觉得场景和朱茵的演技差了点            
(4星)	 模仿83版,勉强说的过去            
(5星)	 1994....            
(5星)	 我喜欢小张智霖小朱茵            
(4星)	 看过的射雕第一版，印象大好            
(NA)	 觉得比83版本好看耶。。            
(NA)	 朱茵好漂亮啊             
(3星)	 俊男美女            
(5星)	 这一版的射雕我认为最好，蓉儿有灵性，靖哥哥大智若愚            
(NA)	 无功无过的版本            
(5星)	 经典            
(NA)	 经典~            
(5星)	 不错!            
(4星)	 其实，比起83，我更喜这部。。朱茵的黄蓉很出彩。。            
(NA)	 老实说 比较喜欢这一版            
(5星)	 最喜欢这版            
(NA)	 还是83 的好,不过朱茵真漂亮的            
(5星)	 除了穆念慈外，演员选的太好。            
(4星)	 灵的。。里面的主角除了某人以外我都喜欢……            
(3星)	 朱美人更赞            
(5星)	 没看过83版的，个人觉得95版的很好看            
(NA)	 也还不错的一版了·            
(4星)	 张智霖+朱茵的组合很喜欢            
(5星)	 射雕英雄传             
(4星)	 比内地版好多了            
(3星)	 中规中矩，比较忠于原著，朱茵的黄蓉很俏丽，可惜总是辫不离手、、、            
(4星)	 看港剧最疯狂的时段            
(4星)	 最喜欢这个版本的            
(NA)	 比较喜欢的一个版本            
(NA)	 这部也不错            
(4星)	 朱茵不比翁美玲差            
(4星)	 朱茵很適合演黃蓉。黎耀祥的周伯通比較符合原著里的形象。            
