http://movie.douban.com/subject/2154743/	封神榜
(3星)	 很喜欢叛逆的哪吒，记得杨戬把猪妖砍头那里很恐怖，还有那个炮型，活人死掉很恐怖，还有那个掉入蛇垦哎            
(4星)	 如今提起&#34;空心菜&#34;还是有点儿慎得慌  都快童年阴影了            
(4星)	 又一经典之作            
(4星)	 好怀念…            
(5星)	
(NA)	 七窍流血 童年最恐怖的回忆- -             
(4星)	 小时候被姜皇后吓着了……            
(5星)	 神剧，红极一时            
(2星)	 最讨厌这版的封神榜！妲己特别妖道特别骚呢            
(4星)	 有点恐怖            
(4星)	 补选一下            
(5星)	 本来想给3星，猛然想起咆哮教主版的新封神榜……我瞬间就给了5星……            
(3星)	 那时候，对苏妲己的美丽是不敢盯着看的 = =            
(5星)	 太经典了。            
(3星)	 靠！我出生的时候我爹在干吗？擦！他在看封神榜！            
(NA)	 中午一边吃饭一边看 插播广告 士力架 把它吃掉把它吃掉            
(5星)	 这个也是，每次寒暑假都会看，小时候看过的海挺多的哈            
(5星)	 （当时看来）有一种淫乱的美。现在，洒洒水啦。            
(4星)	 原汁            
(NA)	 啥都不记得            
(5星)	 愿生命化作那朵莲花，功名利禄全抛下            
(5星)	 这尺度放现在早被禁了            
(3星)	 小时候认为是恐怖片            
(4星)	 又是恐怖片            
(4星)	 当年看的时候 妲己那双眼啊 画的那个亮的啊 果然像是妖精 不过貌似还要这样说的话 我周围就没人类了            
(4星)	 是这版吗。。。            
(3星)	     记不清楚了，感觉比较血腥。。。            
(4星)	 苏妲己好漂亮，虽然她是奸角，还是对她特别宽容。（从小立场就不甚坚定啊）            
(5星)	 超级经典啊啊！啊！！！！！我咬牙切齿中！            
(4星)	 据说我就是被这版的姜皇后挖眼给吓着了。小时候惊叫了一个晚上－ －此片甚是恐怖呀～            
(4星)	 好看            
(1星)	 对妲己印象颇深。            
(5星)	 niubi            
(4星)	 小学时候还买了连环画            
(5星)	 服装设计有才，当时看来也算魔幻大戏了！            
(4星)	 小时候不敢看            
(4星)	 人生第一部电视剧？            
(4星)	 暑期档必播剧之一 河南台总算不一遍接一遍地放白娘子 改封神榜了            
(3星)	 其实已经记不大清楚了。。            
(NA)	 愿生命化作那朵莲花            
(5星)	 傅艺伟永远是咱心中最经典的美人之一。            
(5星)	 还是最老的这部好看！            
(4星)	 经典            
(5星)	 我妈超喜欢傅艺伟。            
(NA)	 那时我可以回家午睡 听姥姥讲故事            
(5星)	 那时看一万遍都不腻            
(3星)	 当时的水平不能要求太高            
(4星)	 很小很小~~            
(4星)	 看了做恶梦国产电视剧             
(3星)	 当初吓死老娘了。            
(5星)	 当时最怕的居然是雷震子一身视觉系的衣服            
(4星)	 小时候觉得演姬发的那个演员好帅            
(3星)	 印度风情。。哈哈哈。。。            
(3星)	 我还记得当时苏妲己跳舞的时候跳着跳着尾巴就出来了。            
(3星)	 没有西游记拍得那么精致。这部戏的主题曲和插曲都很好听。谭校长唱了花开花落。另外，这部戏的服装在那个年代来说，感觉还是挺露的。            
(NA)	 当时觉得傅艺伟真好看呐 真羡慕纣王            
(3星)	 很喜欢里面的哪吒，超讨厌妲己            
(4星)	 现在想起来，布景什么的都很假的说            
(NA)	 老版的经典            
(5星)	 小时候迷死我了~嘿嘿色色            
(4星)	 该剧虽特技粗糙，但帅哥云集，话说傅艺伟当年还真是惊为天人。            
(5星)	 哇哇 苏妲己。。。            
(5星)	 童年的回忆哇~            
(5星)	 那时候的演员造型就好hot啊……            
(4星)	 不错            
(NA)	
(5星)	 小时候最想看的            
(NA)	 小时候都闭着眼睛看            
(4星)	 犹记那天台荒淫的宴会            
(5星)	 小时候好喜欢看的~~~            
(4星)	 那时候看到苏达姬，惊为天人。哎，真是没见过美女的年代。            
(4星)	 妲己很美丽呢。            
(4星)	 那是多久以前的事了啊。。。            
(4星)	 超级经典的啊~            
(4星)	 我小时候为了被逼上床没看到结局还大哭了一场……            
(5星)	 傅艺伟这个美人哟，启迪了我对化妆品的向往            
(4星)	 雷震子变形那段当年把我吓着了            
(4星)	 傅艺伟就是我心目中的狐狸精            
(4星)	 傅艺伟是我第一个认识的明星吧            
(4星)	 傅艺伟真好看            
(NA)	 hiahia            
(4星)	 小时候            
(3星)	 小时候觉得挺恐怖            
(5星)	 美好的回忆            
(4星)	 那个歌还不错            
(3星)	 小时候一直觉得那个时候的妲己--傅仪伟很好看            
(4星)	 情节已经模糊，但是当时我可是会唱这部电视剧的主题曲的。19年前可以拍出这样的片子，很了不起。            
(4星)	 替姜太師可惜            
(5星)	 小时候，看很多遍~~~~~~~~~好看            
(NA)	 末日王朝和革命青年            
(4星)	 小时候一直觉得是恐怖片。            
(3星)	 妲己那聲“大王~~~~~“            
(NA)	 我妈很崇拜傅艺伟==.            
(2星)	 小学时很期待。            
(4星)	 片头曲很大气，毛阿敏唱的呢。潮起潮落，潮起潮落，悠悠岁月            
(5星)	 经典风味儿            
(5星)	 回味无穷啊~~            
(5星)	 小学的时候，常常不写作业，偷偷看这个。            
(5星)	 傅艺伟的妲己无可比拟            
(5星)	 豆瓣太强大了，这都被发现了            
(5星)	 帅哥启蒙            
(NA)	 对妲已惊为天人            
(4星)	
(4星)	 看着就是很经典。。            
(4星)	 美女云集啊，就是打斗动作假了点            
(4星)	 还是这部封神榜比较好~妖怪是妖怪，神是神，不象那部新拍的，整一个群魔乱舞            
(4星)	 吃包子，火烙，矮人钻地怎么也钻不下去被杀，吃果长翅膀，还有无解的照死镜和拿镜子那位兄台的邪恶公子造型印象很深刻            
(NA)	 小时候 虽然害怕还是想看            
(5星)	 十几年前，一群孩子去看这个剧。回家都是凌晨一点。。。如今重看，毫无失望。            
(4星)	 重看的时候觉得战争真是……少啊！荒淫无度的部分太多了？=___,= 另外当时虽然完全没有自觉却YY起哪吒和杨戬的我到底是什么意思啊！捶地            
(5星)	 经典。            
(5星)	 曾经很喜欢看的，呵呵。            
(5星)	 我的童年！            
(5星)	 我觉得应该加入中国四大名著，把那个水浒传给挤下去…            
(4星)	 已经不记得第一次看是什么时候了 老牌的电视剧其实都很用心            
(5星)	 有美女，还可满足正太控爷爷控大叔控等一切五星的必要条件            
(4星)	 以后翻拍的都不如这个经典老版本            
(NA)	 杨戬很帅            
(NA)	 曾经我很雷震子。            
(4星)	 武王姬发            
(4星)	 童年时代的美好回忆~~            
(3星)	 说实话我忘记了            
(4星)	 我这个喜欢啊~~~            
(4星)	 当年我觉得这剧和聊斋的恐怖程度有的一拼。            
(4星)	 歌很好听美女很好看            
(5星)	 最佳版本《封神榜》。            
(4星)	 最喜欢哪吒和杨戬            
(4星)	 小时候看还吓得半死，自己在脑子里YY了无数比电视里恐怖几倍的场面            
(5星)	 绝对的经典之作，有着不可替代的影响力            
(4星)	 就那个时候来说，绝对算是拍得好的            
(5星)	 无敌了。            
(4星)	 戴假花的妖怪！            
(4星)	 小时候觉得很好看             
(4星)	 经典啊。当年大爱。            
(NA)	 童年            
(4星)	 小时候看的，印象不错，            
(3星)	 cult            
(3星)	 小时候就爱看美女~             
(4星)	 妲己阿姬发他哥阿还有一群可爱的正太啊～～            
(5星)	 小时候的沉迷            
(4星)	 是看过很多遍~~            
(NA)	 当时觉得挺害怕的 还有那个木偶动画封神榜...就记得..贼吓人            
(4星)	 说实话,已经没多少印象了.当时太小...            
(5星)	 当时炮烙那段儿可是吓死我了            
(5星)	 那个时候和老妈姐姐追着看这部电视剧~            
(5星)	 歌曲很震撼            
(3星)	 妲己~~~            
(4星)	 嘿嘿            
(4星)	 天呐，连这个都有。            
(NA)	 哈哈~我喜欢姜子牙            
(NA)	 真好看。。            
(4星)	 节奏奇慢想象力横飞            
(5星)	 帅哥最多的电视剧            
(5星)	 自从看了这个姜子牙就不愿看其他电视剧的了，总觉得没有那种气质了，还有杨戬那是儿时的偶像，而哪吒则是那时的美少年            
(3星)	 太小了，可是记得他们的服装好奇怪。            
(3星)	 倒退10年，绝对是力荐的电视剧！小时候迷的不成的            
(3星)	 现在看简直惨不忍睹啊            
(5星)	 现在看可能一般 但小学时简直看疯了 一个女同学还买了印有剧照的书 大家传着看            
(3星)	 少儿恐怖片……            
(3星)	 小时候最爱看的囧片            
(4星)	 1990            
(NA)	 小时候看的 都忘记讲什么的了 就记得有几个妖精 哈哈            
(4星)	 两岁多的时候天天晚上躲在我爸的怀里看，好怀念啊~现在听片头曲还是觉得好经典~            
(5星)	 90年代的cult片！！很黄很暴力！尺度超大！            
(NA)	 小时候看的时候很害怕。记得片尾曲很好听，记得歌词有提到“莲花”。            
(5星)	 最遥远的神话回忆            
(4星)	 这个还很真是很惊人！            
(NA)	 我当时真希望自己能跟妲己一样美            
(4星)	 小时候 曾经当作恐怖片来看的。。。            
(4星)	 妲己还是很漂亮的。            
(3星)	 那时候年轻的傅艺伟在我幼小d心田里留下了无比美好的印象，从彼时起对狐狸精好感倍增~            
(5星)	 那时候的妲己好美啊，狐狸精就应该是那样子的！            
(NA)	 没什么记忆            
(4星)	 大王~~~~~~~~~~~~~~~~~~~~~~            
(3星)	 小时候，我还给演哪吒的那人写过信呐～            
(4星)	 那时候觉得金巧巧真是无比漂亮啊！            
(4星)	 小时候记得看来很多遍，虽然不知道在说什么            
(5星)	 傻的可爱            
(NA)	 都看了,不过那时太小            
(4星)	 多么经典的电视剧啊            
(NA)	 已经没印象啦 只记得当时可喜欢看了            
(5星)	 美好的童年啊。            
(5星)	 大舌头的妹妹：“共产党”            
(4星)	 经典的童话剧            
(4星)	 现在回想比新拍的好多了.            
(4星)	 傅艺伟太美了 当时的化妆看 她简直惊为天人            
(4星)	 傅艺伟很漂亮  媚态十足  这是fbb无法比的  只是当时记得做成了肉丸子的那个谁  恶心的很  而且这片子当时也够大胆的 穿的那么少            
(5星)	 经典            
(NA)	 喜欢老版的  新版的真恶心            
(5星)	 范冰冰那个版本的超级烂！            
(4星)	 虽然部分场景有点吓人和粗糙 但在当时已经是登峰造极之作了  那个妲己真是漂亮啊 不~~  是惊艳            
(5星)	 小时候很喜欢呀很喜欢            
(4星)	 奇幻启蒙            
(NA)	 小时的回忆啊~~            
(4星)	 小时候看得，经典~~~~不过想想当时的扮相和化妆技术还是滴几滴汗~~            
(3星)	 小时候看起来不错，现在感觉太粗糙            
(5星)	 汤镇宗那时好帅哦。            
(5星)	 妲己很美 真的很美            
(4星)	 最仙风道骨的姜子牙            
(4星)	 就算特技再烂，歌舞多么的不喜欢，但就是爱这个版本的封神榜            
(NA)	 小时候老喜欢的            
(NA)	 小时侯又怕又爱看的            
(NA)	 小时候~            
(4星)	 傅艺伟太漂亮了            
(4星)	 那个年代有这个制作水准不错了，傅艺伟演的妲己还是很妖的            
(NA)	 翻拍的很多，不如这一部看得深刻。            
(NA)	 封神榜            
(5星)	 这个,个人觉得稍嫌淫乱了            
(2星)	 很形象，感觉很好，喜欢姜子牙            
(5星)	 经典，小时候趴在被窝里看的。            
(5星)	 当年觉得无比神奇的            
(5星)	 小时候觉得真的不错            
(NA)	 在youtbe上看到歌曲竟然是谭咏麟唱的。。。 youku上有全集            
(4星)	 这么妖冶的电视剧居然是大陆的……            
(NA)	 好            
(NA)	 傅艺伟性感得让人不敢看            
(4星)	 小时候还是觉得很好看的~            
(NA)	 3遍            
(5星)	 超级经典啊~~~             
(4星)	 想当年被一些挖心掏肝的镜头吓的半死。            
(3星)	 记忆模糊了            
(3星)	 回忆呗            
(3星)	 可怕的封神榜            
(4星)	 精神匮乏的年代。。第一部史戏。。。            
(3星)	 土和俗得不可开交            
(NA)	 那会看还觉得吓人有点怕怕            
(5星)	 小时候喜欢看的，还喜欢主题歌            
(4星)	 有科幻的成分            
(3星)	 这个电视有劲的。。。            
(1星)	 妈的，连这都经典，难道就因为它老？            
(NA)	 足够老的了            
(NA)	 愿生命化作那朵莲花，功名利禄全抛下            
(4星)	 美丽苏妲己 ：）悲情哪吒 ：（            
(4星)	 无法磨灭的记忆。            
(4星)	 俄。。。蛮刚的            
(NA)	 哈哈哈            
(4星)	 苏妲己给大家留下了难以磨灭的印象~            
(3星)	 那时候觉得傅艺伟好漂亮= =            
(3星)	 小时候当作动画片来看的             
(3星)	 汗。。。            
(3星)	 和爷爷一起看的，至今还觉得里面的演员很做作            
(4星)	 虽然技术和化妆都不完善，但记忆很美好            
(4星)	 简单的称得上原始的服装和道具，在这一部&lt;封神&gt;面前，新版的垃圾到无地自容矣~            
(4星)	 那时候思想就很开放了 特别喜欢里面的演员 比现代版的造型和演技都好            
(NA)	 很喜欢妲己，太漂亮了。            
(4星)	 这个很老，哈            
(NA)	 谁没看过呀，是吧，只不过那个版本的实在很有特色，人的模样啊，化的妆啊，现在看看感觉师大进步的真快~~~            
(4星)	 都是经典啊，虽然现在看起来打斗场面好假好搞笑，但是那时觉得妲己很漂亮，也没有什么是非判断力，也觉得这样的女人不好···很喜欢主题曲和片尾曲            
(4星)	 里面有好多喜欢的人            
(3星)	 挺害怕的            
(4星)	 小时候觉得很神奇，还有点吓人。            
(NA)	 哈哈。。。。。记忆成为定格 无论怎样再去重拍，，，都不能改变            
(5星)	 妲己的那个酷刑啊，看得我……            
(5星)	 小时候很喜欢看的电视剧，前一阵子又重温了一遍，感觉没有那么好了，呵呵            
(NA)	 对 看过 对            
(5星)	 当时看着都害臊            
(4星)	 神话            
(3星)	 小学的时候中午老是放封神榜。我没记住封神榜。只记住了同学家的蚂蚁上树。            
(2星)	 一般            
(4星)	 幼儿园时期囧            
(NA)	 妲己噢            
(4星)	 小时候会爬起来看的电视剧~            
(4星)	 翻拍超越经典的很少            
(NA)	 记得那时候觉得妲己好妖..            
(4星)	 经典的神鬼片            
(3星)	 不知道为什么，总觉得挺恶心的一个电视剧            
(4星)	 现在再看怎么觉得人物那叫一个土~            
(4星)	 妲己真是心狠手辣。            
(NA)	 Don&#39;t remember much            
(5星)	 小时候觉得它很黄很暴力            
(4星)	 永恒的经典            
(4星)	 那个人肉包子…………            
(3星)	 太小时候看的了。只记得当时觉得哪吒帅 囧~            
(4星)	 很小的时候，认为妲己是最美的人            
(4星)	 傅艺伟版苏妲己美得摄人心魂！            
(4星)	 那个年代竟然会拍这么一部神话色彩的电视剧，主旋律将将然通过了。。。            
(5星)	 比现在的拍的好！            
(3星)	 对里面的服装印象比较深，感觉像古希腊人穿的嘛            
(NA)	 很囧的经典版本            
(5星)	 永远喜欢神话故事！            
(3星)	 服装太奇特了            
(5星)	 小时候看过2遍的经典。            
(NA)	 哇。。狐狸精现身那段小时候很怕的。。            
(NA)	 我一直都在想，如果这部片子放到如今这个年代拍出来，一定过不了审核，傅艺伟也难逃如今范冰冰的“厄运”            
(4星)	 还是以前的电视剧水平高啊！创作者们都好敬业的。            
(3星)	 其实这片子蛮前卫的            
(3星)	 当时的《下周荧屏》节目中，有观众来信质疑其开放尺度，很滑稽。            
(3星)	 不敢恭维。。。            
(NA)	 小时候看的时候觉得挺神的            
(2星)	 超级垃圾的一部电视剧，看看人家《西游记》是怎么个水平，我是捂着眼睛看得！！！            
(NA)	 小时候看过的都不记得了            
(4星)	 小时候当成是恐怖片+色情片            
(3星)	 曲子还能唱，虽然硬伤很多，有回忆的味道，就喜欢            
(3星)	 外婆家            
(NA)	 古老  就是经典麽             
(4星)	 最早的封神，印象已经很模糊了。            
(3星)	 特技很粗糙，虽然在当时条件下做出来已经不错了。            
(4星)	 又是小时候的回忆            
(3星)	 哈哈            
(4星)	 多经典呢~            
(5星)	 傅艺伟真是漂亮啊            
(4星)	 姜子牙挺酷的            
(5星)	 小时候以为这也是四大名著之一            
(4星)	 好老的片子了哦.当年特别喜欢            
(3星)	 很久前的电视剧~            
(3星)	 这片子真是太老了~~片子里的那帮子演员现在都老了~~            
(3星)	 据说有露点镜头？？            
(3星)	 只记得  傅艺伟。妲己 。            
(4星)	 补遗            
(3星)	 6.8            
(3星)	 尽管特效在现在看来幼稚的可笑，造型、道具也是简陋的很，但不可否认此片儿是很有诚意的！btw傅艺伟姐姐的妲己比现代的那些个强了真不是一点半点。            
(5星)	 都是小时候的回忆            
(3星)	 对这类不感兴趣，就记得傅艺伟了            
(4星)	 那个年代，它相当神奇。            
(4星)	 永远的妲己—傅艺伟，以至于现在只要说起“勾魂摄魄”，第一印象就是傅艺伟的眼睛。。ps：那会儿超喜欢汤镇宗饰演的伯邑考，甚至还在心里暗暗臆想cp了下汤镇宗和傅艺伟，真心觉得是登对的一对哈。。            
(5星)	 小时候的最爱之一            
(5星)	 现如今想想看，造型真是够时尚            
(5星)	 妲己的角色音乐...今天想起来有点像hunter            
(4星)	 老片子演的的确挺好            
(3星)	 已经不记得故事情节了。。。            
(NA)	 相对于所有的电视剧来说，这个是我看得最少的。没什么记忆            
(4星)	 小时候无数个暑假就是在他和西游记，新白娘子传奇，射雕英雄传的陪伴下度过的，这么多年过去了，对人物的样子还是很深刻，说明算是经典了，姜子牙，纣王，妲己，哪咤，土行孙等等            
(4星)	 傅艺伟那时真漂亮。            
(5星)	 记忆中是完美啊            
(4星)	 这才是童年的美好回忆。            
(5星)	 此剧经典无法超越。服装道具等细节有历史真实感            
(3星)	 以前的了，作补充。            
(5星)	 童年最爱神话，纣王妲己姜子牙            
(3星)	 哎呀，这个我好像也看过            
(NA)	 电视呀 电视            
(3星)	 那时候技术真的有点落后。。            
(NA)	 碉堡            
(3星)	 封神榜那么大的场面一点都没拍出来，可惜了            
(3星)	 现在看来，里面的特技真是令人捧腹啊            
(5星)	 傅艺伟演的妲己真好。            
(4星)	 我喜欢伯邑考 可以么            
(4星)	 记得好像有些情色..            
(NA)	 小时候很爱看的电视剧！            
(4星)	 这部片子中的人物造型和室内布景，感觉明显是古希腊的风格阿，当时的制作人员真是有够前卫的，本片中塑造最成功的无疑就是纣王和妲己了，两个演员也并没有按照脸谱化的风格去演绎这两个反面角色，也体现了那个环境下的人物性格，傅艺伟饰演的妲己，也因此成为了一代经典            
(4星)	 四年级时中午会溜到托管中心隔壁的婆婆家看电视，她喜欢看这个，我也跟着看。            
(4星)	 妲己经典            
(5星)	 小时候觉得狐狸精最美了比干最坏了老想杀狐狸精……            
(NA)	 装束太奇怪了            
(4星)	 傅艺伟是最美的妲己~            
(NA)	 回忆啊，片尾曲沃居然都记得            
(3星)	 老封神啊~虽然背景很简陋，大家穿的都很少，但是妲己真的好美有木有！            
(4星)	 好            
(5星)	 不错的神话故事片            
(5星)	 无法超越的经典啊            
(4星)	 傅艺伟美死鸟。。。            
(4星)	 不错，妲己真美            
(1星)	 我姐姐好复古 跟他一起看的 就记得他们的大裤衩            
(5星)	 小时候的经典！！            
(4星)	 那时候就觉得伯邑考好帅啊。然后有个同学说我像傅艺伟心里那个得意啊~~大美女啊！！            
(NA)	 只记得有“妲己”这么个人了            
(5星)	 很美很邪恶。            
(3星)	 哪吒那时候看很帅…            
(5星)	 从前那些帅哥：哪吒、天华、杨戬、木吒、伯邑考还有天仙一样的苏妲己如今都已经老了，我也老了。。。哎！            
(5星)	 经典……            
(4星)	 其实这个片子当年把我吓到了……不过能把封神榜里面诡异氛围演出来的，原来是那些现在看起来十分粗糙的特效……然后粗糙的布景和道具或许才有当年殷商的赶脚吧……妲己大赞！            
(5星)	 重去看了遍最后一集的封神 紫薇斗数什么的好神奇 （可是名字什么的有点不一样啊）西岐就是岐山吧 从来没去过岐山 虽然岐山哨子面是常吃 = = 小时候家人去带回来各种姜子牙的纪念品 （每次看封神榜一想到古人都是陕西口音就噗            
(NA)	 当年觉得傅艺伟美死了。。。现在不知道做什么去了。总不出现。            
(5星)	 在玉小家看的，就记得他们跳着跳着尾巴就露出来了            
(4星)	 好的剧不需要那么多特技不需要什么雷点，就可以让人痴心的一路追看。当时的傅艺伟没有卖胸没有锥子脸，依然让十年前十年后的我惊为天人，觉得狐狸精就是那个样            
(2星)	 一直不是很喜欢这个版本            
(5星)	 当年很认真地抄过歌词            
(4星)	 傅艺伟真漂亮~            
(NA)	 真能说童年回忆 姜子牙 哪吒            
(5星)	 傅艺伟真心漂亮，后面无人可以超越。就是看的怕怕的，对童年的我，啥吃人肉、炮烙就像恐怖片。            
(4星)	 小时候我觉得妲己很好看。= =            
(NA)	 从此看见傅艺伟就觉得她是坏女人。            
(NA)	 貌似没看完            
(NA)	 当年和小舅舅一起躲在楼上偷偷看黑白电视机，信号不好时满屏雪花，小舅舅不停摆弄天线，狂敲电视，哈哈~            
(4星)	 我一直都不爱看这个版本的 不知道为何。。。            
(3星)	 只记住傅艺伟那双大眼睛了            
(5星)	 相当的经典！            
(4星)	 美女傅艺伟太加分了！！            
(NA)	 还是觉得傅艺伟版的妲己最美。            
(4星)	 傅艺伟太好看了！            
(2星)	 o(︶︿︶)o             
(4星)	 现在就记着各种恶心了            
(NA)	 小时候当作恐怖片来看            
(3星)	 幼儿园时期的性启蒙，三星半。            
(3星)	 已经印象模糊。            
(4星)	 天道难违。。。            
(5星)	 小时候爱看的……            
(5星)	 其实大概十年前才补这剧，最爱周武王的王后和纣王的两个皇子            
(5星)	 那时候真的是拔不下眼来！            
(3星)	 小时候双休日看啊看~            
(4星)	 这算cult 片吧★★★☆            
(4星)	 中国电视剧经典佳作之一。            
(NA)	 只是看过，都没有印象了....就不评了            
(NA)	 小时候美好的回忆。            
(3星)	 小时候很喜欢，现在倒是看不下去了            
(5星)	 这个80后都看过吧！            
(5星)	 很黄很暴力啊            
(3星)	 傻到一定地步的作品了。            
(4星)	 现在看来像恐怖片            
(4星)	 傅狐狸，赞            
(5星)	 妲己之美，震撼了那时我幼小的心灵            
(4星)	 姜子牙 雷阵子···            
(3星)	 我居然连这个版本的都看过了！！！            
(5星)	 人人都记住了妲己。            
(5星)	 蓝天野，世上再无姜子牙。            
(4星)	None
(4星)	 小时候吃饭配电视机，播放的就是本片            
(4星)	 少年时的回忆啊            
(NA)	 当年袁野好帅            
(5星)	 傅艺伟太美了，果真艳压三千佳丽。汤镇宗、张晓林都是帅哥。蓝天野道骨仙风。喜欢殷洪那段爱情，那首插曲。后来在历史中发现，周武王也是暴君，倍觉伤感。            
(5星)	 小时候看的。。。各种美女和特技            
(4星)	 军训时甲流，故成天在宿舍，无聊到翻出这部电视并小说看了一遍            
(4星)	 记得当时很恐怖            
(4星)	 矮油 那个时侯汤镇宗很帅啊 当然了 我还是喜欢杨戬            
(5星)	 各路神仙纷纷亮相            
(3星)	 没看过书，就当做了解了            
(4星)	 没有人来打酱油,个个都是真角儿~            
(3星)	 傅艺伟，美~            
(NA)	 又一部学生时代的最爱吧            
(4星)	 烟火式的法术。            
(3星)	 小学时候和姥爷一起看            
(5星)	 对片尾曲真是着了迷，一听到就有种置身于魔幻世界的感觉。场景道具服装都非常非常简陋，特技几乎为零，但就是经典二字啊！傅艺伟当时真是美艳啊。。            
(5星)	 衣服穿得少，好！            
(3星)	 妲己真美            
(5星)	 对与年幼的我来说，完全是部恐怖片。            
(5星)	 我是看着这些电视剧长大的，傅艺伟演绝了~            
(4星)	 “一个神话就是浪花一朵，一个神话就是泪珠一颗。”~~听到就像听到我头上有犄角穿越回幼儿园去了。挖比干王叔的心还有炮烙~~~~蓝天野老爷爷饰演的姜子牙真是仙风道骨~ 烦现在人动不动就说这片服装怎么怎么地，拜托人家才是正宗奴隶社会好不好~比现在严谨多了，群戏的光辉~            
(4星)	 白素贞是好女人里最美的，妲己是坏女人里最美的，都是几千年的妖妖孽啊            
(NA)	 小时候一边被吓得不行一边还是要看            
(NA)	 別笑……真看過……覺得好雷吖！            
(3星)	 傅艺伟真的美呢。现在都有关注她的微博。            
(5星)	 过去的总是不可复制，不可比拟的            
(5星)	 小兵穿的衣服像是从古希腊来的            
(4星)	 那时候就是喜欢土行孙            
(3星)	 为什么里面的人都穿大裤衩 哈哈             
(4星)	None
(3星)	 傅艺伟印象比较深刻。            
(4星)	 真心觉得是部恐怖片            
(3星)	 小时候就记得好多神人然后打来打去            
(3星)	 虽然那时候拍得很简陋，但当时就是怪喜欢的，现在都想不通            
(4星)	 快乐的日子            
(3星)	 小时候特别爱看，长大了却没印象了。那天翻出来重新看了一遍，突然觉得剧情、演员挺差劲的。但是，那毕竟是我记忆里的乐趣啊！            
(4星)	 儿时的恐怖片。            
(5星)	  当年的傅艺伟……惊为天人啊！            
(4星)	 那时候的电视剧好大胆，简直就是B级……            
(5星)	 啥也不说了。某个早上打开电视看到还有某个电视台会播这个，顿时想起小时候放暑假蹲守在电视机前等着开始，又一边骂着电视里没休没止的各种广告。顺便问一下，有木有人记得那个“全扫除”跟“大屠杀”的广告？            
(NA)	 他们说有色情镜头就不让看。。。            
(4星)	 虽然看起来布景特技啥的都很一般，但是请来谭校长唱片头曲，还是很有魄力的。            
(4星)	 小时候看的稀里糊涂 现在想想造型挺现代            
(4星)	 时间久得都不记得了，但是人物造型很经典，故事也很经典。可惜封神榜的重拍很不给力。            
(5星)	 经典中的经典，小时候最单纯的回忆。            
(4星)	 傅艺伟好美好美啊。我差点以为现实中真的有这些神怪。            
(4星)	 哇喔~到處都是花啊。。。啊。。。啊。。。            
(3星)	 三星打给片尾曲            
(4星)	 小时候特喜欢，但又胆小，里面还老有什么挖眼睛之类的，吓的呀……后来才发现，咱国家的古代人穿的怎么跟希腊神话似的……不过，整体挺好的~~            
(4星)	 奇思妙想。            
(NA)	 看见妲己就吃不下饭，太狠了            
(3星)	 表示穿帮镜头哟····看的表示鸭梨···            
(5星)	 经典，无法超越            
(4星)	 关键词：炮烙——一直不敢看；头带——几乎每个男演员都有；飞熊爷爷很帅&gt;▽&lt;            
(3星)	 http://www.normteam.com/thread-35135-1-1.html            
(5星)	 恨死妲己，但是真美，讨厌姜子牙，非常讨厌。            
(4星)	 很囧的片子            
(4星)	 在很久很久的以后才知道妲己是个好同志，是替我方打入敌人内部保证取胜的关键，和西施一样是个绝色女间谍            
(5星)	 我小时候的最爱            
(3星)	 小时候都被妲己吓死了……            
(3星)	 有印象 又没印象            
(4星)	 除了妲己 其他人牟印象            
(3星)	 那时候觉得傅艺伟特美            
(4星)	 小时候吓得不行。比干之死哭的那叫一个伤心...            
(5星)	 前阵子又重温了一遍~~~哪吒啊~~我最爱的哪吒啊！！！！！            
(5星)	 歌很好听            
(4星)	 这个当年看过有些阴影            
(5星)	 印象最深的一部封神榜，，            
(4星)	 小时候的经典啊...            
(2星)	 各种雷            
(1星)	 把好神都拍成了妖魔            
(4星)	 特效啊            
(5星)	 妲己美啊            
(4星)	 武戏效果太差了。。。。。            
(4星)	 其实后面有点拖沓。哪吒好帅。。。傅艺伟太美了。            
(5星)	 给力的道具！！！            
(NA)	 有几集还有点吓人，印象深刻啊            
(5星)	 我承认我看过一点儿，还忘差不多了。。            
(5星)	 这才是妲己！            
(4星)	 小时候觉得里面帅哥挺多的~！            
(5星)	 听说小时候我唱主题曲唱的可好听了。            
(3星)	 当年傅艺伟美啊~            
(3星)	 蓝天野 很野            
(5星)	 哎，回忆。            
(5星)	 妲己真漂亮            
(5星)	 小时候对杨戬一见钟情            
(4星)	 有一种奇诡的赶脚            
(5星)	 小时候觉得没有比妲己还漂亮的菇凉了，里面的有些镜头那会儿很怕，现在看恐怖片都没赶脚了            
(3星)	 它绝对是一部恐怖片！还记得“饼干”大人心脏被挖后，跑到市场去买圆白菜，天雷滚滚，震得我记忆深刻啊。。            
(NA)	 小时候得了感冒头晕眼花的居然都坚持看此剧，我很佩服当年的我            
(3星)	 小时侯很喜欢，觉得傅艺伟长得像李玲玉，好漂亮            
(4星)	 我还记得比干的心啊........            
(3星)	 我妈向我推荐。。但是明显我看不下去了。。。            
(5星)	 那是在洗澡的时候也会忍不住跑出来看得经典剧啊。。傅艺伟是最美的妲己！！            
(4星)	 美妲己            
(5星)	 不管特技有多假，这就是小时候最喜欢看的电影，最喜欢的神话。            
(5星)	 充满了小时候那个年代的回忆啊~大爱~好想回到那个年代自己的小时候~小时候那辈子~            
