http://movie.douban.com/subject/4848097/	点解阿Sir系阿Sir 點解阿Sir係阿Sir
(3星)	 没意思            
(NA)	 龅牙的陈豪，很爱。Lo sir的形象简直是颠覆啊，不错。可惜剧情太差……感觉像逃学威龙……            
(2星)	 烂剧本 不好看 颠倒是非黑白 就钟嘉欣突破以往的形象不错            
(2星)	 实在不知道什么好看的   看了四五集 纯粹就是在等吴帅哥的出现 天 男二号怎么出来这么晚的  出来之后就再没有看下去的欲望了  果断弃之            
(3星)	 我承认我就是去看吴大帅哥大头贴十连拍的。            
(4星)	 整个故事最好看的人就是钟嘉欣了            
(3星)	 钟嘉欣的哭戏感动到我了            
(4星)	 TVB的电视都挺好看的，我很喜欢啊，这电视感觉好颠啊剧情。            
(3星)	 没看完。            
(2星)	 罗sir你头发要掉光了            
(5星)	 这部戏很早以前我就期待了，因为演员都是我很喜欢的，刚开始一看这个名字，以为是破案的，但是看了才知道，其实不是，更多的是教书育人，题材新颖，很有趣。这部戏钟嘉欣出来的不是很早，但是她的表现和以往的角色不一样，让我看到她的演技。            
(1星)	 又是杨怡演的。看了几集。果断弃！            
(3星)	 打发时间很不错.            
(2星)	 浮夸、造作、虚假！最可恨的是想模仿水浒无间道的桥段，怪不得人家说TVB质素变差，我还一直不愿意承认～            
(2星)	 看完10几集之后  终无法在继续            
(3星)	 中间还不错，开头和结尾都麻麻得            
(2星)	 太失望了…            
(3星)	 有点无聊，不够给力。钟演技进步了，可喜。            
(3星)	 这么多年了，TVB就像个老朋友，这部剧长是长了点，前面有点拖沓，但越到后面越好看，配角永远都那么出彩            
(4星)	 陈豪真是太……两人每次接头都穿情侣装，基情四射啊            
(4星)	 一般啦。。。            
(4星)	 不錯~就是結局弱了點~不過陳豪做警察怎麽看都不太適合感覺~很喜歡陳豪和蔣志文每次見面的場景與對話，很過癮~            
(3星)	 唉我觉得结局不好啊！            
(2星)	 烂片子(-┏)            
(NA)	 开始喜欢钟嘉欣了。。。好cool啊~~~造型和发型让我看到不一样的她。演技也越来越好            
(NA)	 with室友            
(3星)	 MISS KOO好惨            
(2星)	 不想说。。。            
(3星)	 前面那段实在不怎么样~后面几集还可以！Carmen太悲催了！            
(NA)	 这真的是一天一集。周末还没有。看一部电视剧看了一个多月，。。。。不过很好看            
(2星)	 陈豪你不要再走这种路线了。。我会受不了的            
(5星)	 前面的劇情不是很耐，到了後面打擊“進興”社團，唔！徹底激起我的熱血之心。也係看這部戲鐘意楊怡的。            
(3星)	 差不多部部都是这种            
(3星)	 浪费了陈豪和杨怡，唯一的亮点是钟嘉欣，改变了我的看法，吴的演技无太大进展，一如既往的木，装扮上倒是帅气了不少。            
(3星)	 越来越不喜欢陈豪了，但是片尾曲的时候陈豪真是帅得有一拼~~为毛每次都这么呆呆的呢...吴卓羲好帅列~~~杨怡的造型和化妆赞！不过            
(2星)	 比较不喜欢的一部            
(3星)	 新人新人。终于TVB能见到新面孔了。            
(4星)	 不管怎么说，就是喜欢陈豪嘛~            
(1星)	 忍着看完了            
(3星)	 看到20集看不下去了。。。            
(3星)	 太傻了            
(3星)	 其实还不错，鉴于有猪扒夹心，弄得我不断快进，扣掉一颗心！            
(3星)	 搞笑剧，实在荒诞的剧情~闲得无聊看看            
(4星)	 为了我条叮看的~ sor妹~ 钟嘉欣太正了~ 陈豪在这里也太……哼！剧情吧··一开始很无聊··撑到钟嘉欣出场了才顺了口气··后面慢慢的从单纯的学生案件牵涉到社会案件··越来越精彩！            
(4星)	 陈豪是惊喜... 结局也是一个非三色台模式的产物...            
(NA)	 结局好狗血，马明居然还出来打酱油了！Ceci最可怜~~为老公当炮灰，老公还痴呆了……不过这种反派失忆、变弱智、改信教神马的桥段真系好白痴            
(3星)	 是tvb最近品质下降还是我审美疲劳            
(3星)	 男女一号都好讨厌啊 完全冲钟嘉欣看的            
(3星)	 我要去看青出于蓝。。。。。。。            
(2星)	 有人说反映了现在的教育制度，不过我觉得这片子也太托了吧，韩剧都能排成16集的了，你这有必要这么长么            
(3星)	 荒谬            
(4星)	 TVB的青春校园剧一向又励志又好看            
(3星)	 陈豪装傻装着迷了……            
(3星)	 尼玛早知道这个结局，就不从头到尾把30集啃完了！            
(3星)	 到后面真是看不下去了,钟嘉欣演的还可以.陈豪和杨怡,一个烂字            
(4星)	 吴卓羲好像从头到尾都无精打采的打酱油啊，其他人都很好..阿爷很好玩~            
(5星)	 赞~\(≧▽≦)/~            
(4星)	 比我想象的好看一点 难得TVB有蛇头虎尾的            
(3星)	 题材可以，就是剧情过于拖沓，Miss Koo真是倒了八辈子霉，尽管结尾跳出个马国明，给她一个新的开始，但她心里的阴影一辈子抹不掉。陈豪越看越得死！杨怡没有亮点！            
(5星)	 杨怡演完宫心计以后就不太喜欢了。。            
(3星)	 看了几集就弃了。一般性。么有看下去的JQ。。。            
(4星)	 不错，挺有教育意义的。            
(3星)	 学生与老师，警察与黑帮            
(4星)	 前面有点拖拖拉拉。。。之后的情节还算不错。            
(4星)	 赞陈豪~越来越喜欢其貌不扬的他了            
(2星)	 感情线劈腿的戏就像精神分裂一样。。            
(NA)	 哭了呢第28集的时候            
(2星)	 即使有杨怡和吴卓羲还是不好看啊...............................            
(3星)	 拍的不错，可惜三观不正            
(3星)	 前面有点小枯燥！！！            
(3星)	 TVB，没有大起大落~            
(2星)	 4.5/10，两星都给得勉强，还是那句话，27集之前的全是铺垫。是的，没有发展，没有推动，一直在铺垫，铺垫……            
(3星)	 为了看钟嘉欣的进步就继续看吧。。。            
(2星)	 大爱Miss Cool            
(3星)	 不认同在于不管是出于什么原因，利用一个善良的人的感情就是卑鄙！在感情方面，你，罗耀华就是一个骗子！编剧，请你有些道德好么。            
(3星)	 整体还不错，就是有些桥段太老套太~~不过中间有一段陈豪和杨怡的爱情戏深深打动了我.......            
(NA)	 苦了钟嘉欣。虽然没有在一起，但总比勉强团圆来的自然            
(3星)	 不出彩，但还是看完了。比较喜欢的，只有签订秘密协议的那个什么SIR。。。            
(2星)	 ....要不是無吳卓義..忒無聊            
(3星)	 看不下去了。            
(3星)	 看看，宅女生活就是花两天半功夫看完30J泡沫剧。。            
(3星)	   有点拖沓~            
(4星)	 喜欢钟嘉欣是从什么时候开始的也不记得了 不管是齐刘海还是斜刘海还是无刘海 一直都很喜欢她 十分爱和珠光宝气里的齐刘海表演真有将我亮到             
(3星)	 开始太乱            
(4星)	 这部剧喜欢上了陈豪            
(4星)	 前面真心覺得么意思，到後面覺得還不錯，唯一這劇不討厭夾心            
(5星)	 Miss KOO 在里面真的很可怜  杨怡越来越漂亮了呢 哈            
(3星)	 陈豪演技好假            
(4星)	 为毛TVB怎么就是能把警察这个职业翻来覆去的演出这么多片子来！为毛我还是看了！为毛还是觉得再拍警察我还能再看！为毛！            
(1星)	 剧情很差，演技很差，剧本还很差 看得让人不知所谓            
(3星)	 主角演技才是王道.            
(NA)	 不喜欢的tvb            
(4星)	 蛮好看的             
(4星)	 校园黑帮，不错不错!            
(3星)	 。。。。。 很无语。。 实在很无语            
(3星)	 为了完成自己的愿望而伤害一个真心喜欢你的人，即使是为了大众也是让人觉得恶心。心疼那个沉溺恋爱的小女人啊！这样的结局算是最好的了吧。一星给反思校园，一星给提倡禁毒，一星给古嘉岚的伤害和眼泪。            
(3星)	 其实这部电视剧貌似不是很对我的口味，觉得陈豪演得挺夸张的，吴卓羲感觉就是个打酱油的，伤心啊。。。杨怡后来和陈豪背着钟嘉欣在一起，其实挺吃亏的，不是很讨好的情节。。。反倒钟嘉欣让我对她很有改观，突然觉得其实她也是可以演得很多元化的~虽然觉得里面她的性格有点过，哭得也有点夸张。。。            
(3星)	 看不下去，好吵啊，头疼            
(5星)	 校园破案什么的好喜欢的呀！            
(5星)	 挺好，有喜感，反映现实            
(3星)	 最近不错的港剧            
(4星)	 有个同学跟杨怡很像，得换到生活大爆炸的频道            
(4星)	 複雜的人性...鍾夾心的翻身之作...成也編劇，敗也編劇吖！            
(4星)	 前面真的很难看，后面不错哦～            
(3星)	 陈豪在里面蛮搞笑，但是觉得钟在里面让人同情            
(3星)	 看不下去了o(╯□╰)o            
(2星)	 Cow，这么烂的片子！你当我是脑残呀！            
(3星)	 TVB为何就不让邪胜次正呢，尼峰夫妇好可怜。不喜欢陈sir            
(3星)	 前半部分倒算搞笑，中途开始腻歪，陈豪的角色很JIAN。            
(5星)	 不错哦            
(5星)	 我爱美怡！！！！！！！！！！！！！            
(3星)	 烂尾！            
(4星)	 比較喜歡鐘嘉欣和吳卓羲            
(4星)	 有点无厘头，结尾没有什么精彩的地方，总体还算可以            
(4星)	 前半段挺好，到后面....感情先太让人纠结了...尤其是MISS KUO那场哭得真是撕心裂肺啊...看着就心疼            
(3星)	 陈豪很有味道哈。            
(NA)	 我确实是自【囧探查过界】之后彻底不讨厌钟嘉欣了 不过我感觉钟和杨这里面的服装都不适合很不对路 杨那发型真的看得要崩溃了 佘这样好看不等于她这样也好 朱慧敏很好 黄得生有张很好看的相 剧情上 Miss Ho为什么就偏不喜欢程sir？？最后 如果吴不肥如果林不Chock那么世界多美好            
(2星)	 看了几集这个，现在再看到陈豪的脸有些倒胃口- -            
(NA)	 很无聊 不喜欢陈豪浮夸的表演 不喜欢杨怡演的跟圣女样的 冲了吴卓羲的颜 忍下去的             
(3星)	 鐘嘉欣不錯。            
(3星)	 开始接受陈豪了。。。            
(3星)	 因为吴卓羲才看的这部片子 但实在是有点弱。。。            
(3星)	 又是一部被唾弃的电视剧。            
(3星)	 30集死活终于熬着看完了            
(4星)	 励志剧-人可以比韦小宝更丑更无用，只需要运气可以比韦小宝更好消遣剧            
(3星)	 一般。。。。            
(3星)	 坑爹剧啊，要不是吴卓羲不会看啦~不过钟嘉欣在这里还可以            
(4星)	 不同一般的港剧            
(2星)	 陈豪超级做作的演出实在很难吸引人，其他角色也没有闪光点，失败。要不是为了打发骨折在家的时间绝不会看这种剧的。            
(2星)	 失望之极            
(3星)	 一开始觉得不怎么好看 感觉太浮躁了 后来看看还可以 吴卓羲感觉是打酱油的 我还蛮想罗sir和miss cool一起的            
(3星)	 这是什么结局啊。。不是TVB模式好么。。让我一下子接受不了好么。。            
(NA)	 陈豪搞笑屎呢            
(3星)	 看完也想打保龄球了！但这部剧实在不怎么样~就罗sir和潘sir的见面感觉很搞笑^K4一开始感觉蛮做作的，好像和演技配音都有些关系，但还是很帅的··其他人的形象都不怎么样            
(5星)	 NICE~~~  钟嘉欣又火了 呵呵            
(3星)	 杨怡的鼻子更阔怕了！！！            
(5星)	 亲，内最后在清远偶遇MISS HO，一群孩纸在田间做早操好有画面感啊。            
(4星)	 蛮好笑的            
(1星)	 陈豪塑造了第一个我这么讨厌的贱男男猪脚。这个之后我再也不看陈豪演的剧了。看着就讨厌。            
(4星)	 冲着Ron吴和杨怡也得打个4星。有冇人话俾我知我是不是永远无法爱上美剧了…TVD和GG都是只看了一点就无法坚持，日剧也好久没看，不仅冲不出亚洲，现在就完全困在香港岛上了！只有TVB才是永远的最爱啊。            
(3星)	 前面真的很无聊，无聊到有点看不下去            
(4星)	 前面不好看！后面好搞笑！不喜欢吴卓羲里面的角色！钟嘉欣好酷！不再傻傻的了！            
(4星)	 开始有够无聊啊。。。            
(4星)	 一如既往的TVB啊            
(4星)	 一般 剧情有点扯            
(3星)	 看到第10集还没看下去，就转去看洪武了，有空再继续看。为了杨怡才看的。            
(3星)	 三星完全给钟嘉欣  今年不拿奖天理难容啊             
(5星)	 MISS KOO~~~~~            
(4星)	 钟嘉欣变漂亮了……            
(NA)	 陈豪的角色太无耻了。            
(4星)	 刚开始看有点无聊，陈豪蛮搞笑的，看到后面挺紧张的，CHARLES疯掉之后的内容就么撒看头了。。。有点硬要把大家未来的感情生活介绍清楚的感觉。。。            
(1星)	 TVB今年就是要把我喜欢的人都往死里毁是吧？            
(3星)	 潘sir和罗sir太萌啦……剩下都可以快进掉，圣母神马的，最不顺眼了……            
(4星)	 Ron又酱油了，这部戏只有夹心出来会让我眼前一亮。靠后的几集不错，很紧凑。。。诡异，怎么越来越喜欢夹心了。            
(3星)	 为了杨怡看的，一般般的肥皂剧，嘉欣的姐姐不错~            
(3星)	 钟嘉欣好惨。            
(4星)	 其实这部剧开头麻麻嘚，后面还不错。杨怡的角色真是毁了。钟嘉欣的角色倒是讨喜，就是被虐得有点心痛了都。            
(2星)	 演完溏心风暴之后，陈豪的话就特别多，受不了了，吵死了            
(4星)	 豆瓣还有的电视，很久以前看的显示还在看T T            
(NA)	 说实话 真的一般。。。            
(4星)	 原来马明是最大的龙套！！！求各种CP文            
(3星)	 无聊。但是杨怡的短发真的超又味道。            
(2星)	 哎 纯是给我闲的            
(3星)	 三星半。23集开始走偏……            
(2星)	 有点无聊有点傻            
(3星)	 实在米有什么高潮 鉴于有陈豪有杨怡就当练听力了            
(5星)	 很不错的题材，很好的演技            
(2星)	 逃学威龙外加无间道，只能说，港剧的卖点，真的是熟了又熟的。。。            
(2星)	 这套片给我的感觉是TVB编剧水平跌入谷底，力捧杨怡的感觉太过强烈以至于我脑子里冒出阴谋论观点，或许明捧杨怡暗退钟嘉欣。吴卓羲同学好肥啊，陈豪么长进and角色很贱格，重伤是剧情啊剧情，剧情片的重伤是剧情这叫人肿马看啊……但是钟嘉欣真的有在进步，嗯嗯，很好～            
(4星)	 剧情有所突破            
(3星)	 ★★★☆``虽然这部戏不怎么受到好评，但这是最近唯一吸引我的TVB剧集。陈豪浮夸得挺成功，杨怡继续靓女，钟嘉欣令人耳目一新，吴卓羲大材小用了，其实也很喜欢蒋洪和潘sir。。。结局不太美满，没有真正促成一对。            
(NA)	 我喜欢钟嘉欣吧~我想去吃潮州菜~我想去长洲玩~就噶            
(4星)	 前面铺垫的点太多，总体算好看的，支持正面能量剧            
(2星)	 ……主角们人物性格太无亮点不吸引了。。Miss cool还好再者就是蒋洪蛮可爱- -            
(3星)	 刚看完时有种说不出的感觉,有点闷.但回过头来想想,觉得这部剧的编剧真的有点糟..可能编剧想要表达&#34;坚持不懈就能成功&#34;以及&#34;邪不胜正&#34;的理念,但除了学生部分还算到位外,其他部分的&#34;善恶美丑&#34;在这部剧里显得很混淆..最搞笑的是每次罗sir和潘sir同时出场时的场景~还有爷爷也很可爱~            
(2星)	 钟嘉欣进步飞速朱慧敏也越来越好演技..奈何剧情太烂杨怡在停滞不前            
(4星)	 陈豪的嘴小了薄了            
(3星)	 为什么要捧YY啊，啊？！摔桌子啊！！！ZJX又索又nice好吗！！！YY的金主瞎了吗！！！            
(4星)	   还不错。            
(4星)	 戏中唯一喜欢carman。。好吧，现在开始追钟嘉欣的戏了··            
(4星)	 说实话开头真的没什么意思，有点像青出于蓝，后来渐渐地钟嘉欣出来就有点看头，可是结局跟我想的不一样，哎。            
(4星)	 晚晚追!!鐘嘉欣d演技好得!!!            
(3星)	 倪峰的结局也太。。。一点高潮都没有啊~喜欢钟嘉欣·~~其他的几个都讨厌死了。。            
(2星)	 看到20集突然发现结局是这样的。。靠，果断弃。            
(5星)	 开始看很有兴趣，可惜这个结局太烂了，莫名其妙！            
(3星)	 原谅我努力看了5集，实在是。。。。看不下去鸟            
(2星)	 只有马国明出现在的那一分钟半稍微吸引了我那么一下。。。            
(3星)	 为毛陈豪跟蒋志光每次接头都要穿情侣装？？果然基情无处不在~~~            
(3星)	 一般般，这上面男的都不怎么好            
(4星)	 虽然我不喜欢钟嘉欣，不过她这次演技确实比以前好太多了。其实我觉得阿华应该同古嘉岚一起，不应该和MIssHo一起了。陈豪演得这个角色真的有点贱            
(3星)	 学粤语！！！            
(2星)	 开头很烂，中间可以，结尾烂死了！            
(3星)	 麻麻得。            
(3星)	 真不忍心倪峰被抓啊！            
(3星)	 很俗阿。            
(4星)	 我喜欢的电视剧类型            
(4星)	 亮点是 卧底见面时的情侣装            
(3星)	 没必要骂演员，那是剧本的错            
(3星)	 钟嘉欣挺悲情。            
(3星)	 中部后段直接跳过 结局也就那样 “罗sir”帮“潘sir”还是蛮搞笑的 不过真的是just so so的一部片子。。。            
(1星)	 都不知道拍的是什么？            
(NA)	 终于看到Ron的作品了 支持记~            
(4星)	 用自己的真情，换一场与罪恶的搏斗。最后的结局处理得还不错~            
(3星)	 彼此相爱人都不见得能在一起，更何况……新的开始，新的希望            
(3星)	 结尾很狗血。。。            
(3星)	 结局不喜欢            
(3星)	 三星全给黄某人~~            
(1星)	 这部电视剧刚开始还有点看头.但是到后面每有陈豪的镜头就觉得相当的难看.感觉这部电视剧到最后的收视率也不会高.最后很多都很假.特别是陈豪为了某些事情而牺牲别人的感情,这是非常可耻的.弄到别人家人离别.那这个世界还有什么感情可言.卧底就可以随便挥霍别人的感情吗?当卧底当成这样太失败了            
(2星)	 哎！这片我居然也看完了！            
(2星)	 我总之是看完了 你们不觉得无聊么？            
(1星)	 这么烂的TVB剧，还是很少见的。我居然看完了= =            
(3星)	 陈豪演的角色为什么一直这么浮夸呢？            
(3星)	 其实有教无类的老师，现在真的很少了吧……            
(4星)	 陈豪看来适合走喜剧路线了， 越演越过瘾~ 这类剧情被演过多次，想突破也有难度，作为一部轻松的喜剧，能达到娱乐效果已经不错~            
(3星)	 看了就喜欢钟嘉欣了            
(2星)	 miss ko是亮点            
(2星)	 无聊透顶了~看了几集就没兴趣再看下去了~            
(3星)	 &gt;&gt; 最后一集囊马国明也出现了~  吴卓羲的演技进步了不少~             
(NA)	 典型看了开头一集中间两集结尾一集当看过了..            
(2星)	 唉 演的明明還不錯 怎麼就這麼無聊呢            
(4星)	 很喜欢钟嘉欣在上面的感觉~            
(2星)	 终于看完了.....果然吐着吐着就吐习惯了...            
(NA)	 温暖的大团结结局，同时对钟嘉欣的印象大为改观啊            
(3星)	 无亮点，很一般~~~            
(NA)	 学校的生活很想哭  感觉整部剧很仓促  最后马国明顶着女拳的发型客串很可爱~            
(4星)	 为什么我更喜欢男二和女二呢！！！！！为什么吴卓羲的戏份这么少。。。。555            
(5星)	 春风化雨，有教无类。            
(4星)	 喜欢 5月29日熬夜看到大结局             
(4星)	 觉得不应该为一开始铺垫了罗sir和miss ho就一定要把他们兜到一起。边拍边写的剧本应该更符合逻辑，但结果还是剪成了传统的tvb。虽然carmen和马明的ending很惊艳，但阿Ron的戏干脆没了啊！            
(5星)	 蛮矬的~            
(4星)	 还是片尾曲的造型有爱啊，MO好浮夸啊，最后居然有马国明噢，剧情好傻。。。            
(NA)	 这结局......            
(2星)	 我又脑搭伤了，看这个~吴卓羲打酱油一样，钟嘉欣角色有突破哦。陈豪傻了，杨怡一般般了。。哎，残            
(3星)	 很普通，后面觉得很无聊            
(4星)	 中上之作，很久没有看TXB的片子看了笑了且有收这部片子的冲动了            
(4星)	 很搞笑，学生和家长都很可爱，就是女主角不咋地            
(3星)	 钟嘉欣在里面演的不错。原不是看她的。            
(3星)	 我真的是为了最后的马明打的三星,不然根本就没办法看完剧情,实在是不吸引我,我看见他就忍不住笑了,嗯哼,最近真是很喜欢马明啊~~~~            
(3星)	 只因为是tvb才给三星。但剧情单调拖沓。太过说教。没有创新，没有亮点。            
(3星)	 从未试过一部剧所有男主角都讨厌的，orz。反而突出钟嘉欣的讨好了。校园剧要突破不容易啊……PS：Mo老了的说！            
(4星)	 TVB的警察类剧一直是经典，可惜近来好剧不多，此剧也算是题材较为新颖的吧，感觉最近的TVB都有说教的感觉，不过面对少年时也算是很好的教育片吧~对于结局还是有点纠结，罗sir和miss cool那么多集的感情就这样浪费了，真太残酷了，编剧真是从一而终啊。。。            
(4星)	 钟嘉欣印象大变 片子不错~            
(3星)	 钟声 提示不可急躁，只要为理想前行 难阻你被困，明白要美丽结局再生 必须要发奋            
(4星)	 還不錯啊~！！陳豪果然是有喜劇天分啊~~哈哈哈哈~~唱歌也蠻好聽的啊。            
(4星)	 忒虐            
(5星)	 还8错。好歹TVB还剩下些我爱看的脸~~            
(3星)	 最后马国明还出来打了一趟酱油！钟嘉欣的表演值得表扬。            
(4星)	 钟嘉欣这次真是赢翻了,miss koo 真心喜欢啊,27那集哭到我眼肿!结局太坑爹,最后集只为看马明!不喜欢中女,好浮夸,红的莫名其妙            
(2星)	 很一般很一般，沒有亮點的電視劇...            
(3星)	 开头我还挺不错的，结局太仓促了，两分钟内交代了程SIR认识心女朋友，打酱油不是这么打的吧！！Orz。要死要活做卧底最后竟然辞职做乡村教师，无语了都。钟嘉欣这次演得居然我不讨厌了，Cool更适合她的形象，赞。            
(3星)	 撒电视，罗SIR居然没和MISS HO好，还新的开始，我很无语，还天天追。            
(4星)	 现代版卧底间谍片            
(3星)	 最后一集马国明出现，我当即吐血！神马烂编剧啊！            
(3星)	 神马坑爹结局！            
(3星)	 喜欢里面的演员。剧情也不错。            
(3星)	 陈豪雷死了。Miss Koo也太惨了。            
(1星)	 部剧真系超级屎啦！！！            
(4星)	 后面越演越假了。            
(NA)	 差人唔系大晒！！！！！！！            
(3星)	 30集，太長啦，有點拖啦，最後馬國明來打醬油的，不要...如果把陳豪換成馬國明多好吖            
(3星)	 中意miss koo阿！！！！！！！            
(NA)	 幸好最后10 mins惊现马国明出场拯救了整整悲催了三十集的钟嘉欣= =              
(3星)	 我觉得还行，钟嘉欣的演技比以前有突破啊            
(5星)	 邪恶与真爱并存，正义与欺骗结合，究竟该如何选择？            
(3星)	 TVB越来越不行了，叽叽喳喳吵的头疼。本想给2星，但Band 3学生给多颗星。            
(4星)	  这才是tvb剧该有的水平，只可惜高潮来得太晚            
(3星)	 洪爷你口爱了点            
(2星)	 我没有弃这片，不代表我爱这片！简直了，K4是不是，还有浮夸的罗sir。阿sir啊，你不是真人秀演员哇，要不要连yes都这么手舞足蹈的呀！再就是罗sir和miss ho这两个角色太失败了，主角成贱角。反倒是一帮反角比较讨喜。再吐槽结局！擦，miss hoo ，算了，这男人不要也罢！            
(3星)	 搞笑又勵志,,幾好啊.哩幾年tvb除左古裝劇比較好d,,現代戲都好爛,哩出算幾好了...mo哥真系好鑼,蔣生同果個羅sir上司角色好過癮,            
(1星)	 无语，一部烂剧            
(3星)	 结局太潦草了。钟嘉欣在戏里的演技绝佳~　另外很喜欢那个Ceci            
(4星)	 喜欢陈豪的表演            
(3星)	 杨怡其实不错的~陈豪又演这种傻角色 还是喜欢珠光宝气里的贺哲男            
(4星)	 钟嘉欣的翻身之作。四星给MISS koo            
(4星)	 陈豪的片子越来越搞笑了。。。            
(3星)	 可惜吴卓羲和钟嘉欣成了炮灰。。。不喜欢罗耀华，还不如charles……            
(4星)	 大结局太和谐了.该死的没死,该一起的没在一起            
(3星)	 有点闹~~//還過得去吧 唯一很深的感受 就是心疼Ms.Koo的受傷 雖然她有一個還算圓滿的結局 相信從此以後 便只有幸福            
(3星)	 5G~            
(2星)	 个人认为钟嘉欣目前演技最好的剧集，陈豪角色不讨好，杨怡没亮点，吴卓羲完全是炮灰！            
(4星)	 最后两集好拖拉            
(3星)	 越往后真是好难看,有点胡编乱造,凑集数的感觉.前面真的很幽默,很搞笑.            
(3星)	 好吧，鐘嘉欣這次贏翻了！TVB成就了楊怡，現在再慢慢毀了她            
(1星)	 本来看好这部剧的，但是实在太讨厌陈豪演的这个角色，真的是贱的掉渣，喜欢钟嘉欣！演技的确是越来越好，27集看得我都哭了~~~            
(3星)	 还行，心情调剂品~            
(3星)	 太冗长，而且搞笑的很没意思，特别是前面有点看不下去，到后半部稍微有点看头，钟嘉欣和朱慧敏演的不错，其他人都做作了，特别是陈豪            
(NA)	None
(3星)	 实在不喜欢陈豪演的角色，什么都能用任务来做借口吗？            
(3星)	 中后面比较好看！亮点马国明            
(3星)	 越看陈豪越讨厌。。            
(3星)	 无聊打发时间的！！            
(2星)	 都好做作啊，比较喜欢钟嘉欣            
(3星)	 看着玩            
(3星)	 最后几集很紧张            
(3星)	 还好，比起台湾的鼓励大家早恋的校园剧来说，港剧的校园剧好多了！            
(3星)	 - =            
(4星)	 四颗星是给前二十八集的。            
(3星)	 20110522到20110609 烂尾的剧情            
(NA)	 不怎么样 很一般            
(NA)	 二剧            
(4星)	 这部陈豪的形象整个大打折= = 钟嘉欣赶脚比以前好很多，服装和角色都是            
(1星)	 罗sir正一打靶仔...应该去扑街            
(3星)	 陈豪的这个角色实在是太恶心了，而且杨怡在里面演得也太假了·····            
(NA)	 演员都挺喜欢，剧情实在是烂俗。            
(1星)	 烂片,第三集,弃之.            
(4星)	 完全冲着杨怡来的0 0但是真的是看不下去。            
(4星)	 我爱ron~哈哈哈~            
(4星)	 关系劲混乱，睇睇班小朋友都几过瘾。。。            
(2星)	 无聊。1集弃            
(4星)	 刚刚开始看。。            
(NA)	 这个真不好看。一集弃            
(2星)	 看到现在我只有一种感觉——失望……肉肉完全是在打酱油……感情戏处理的也有问题~更重要的是整部剧拍的不伦不类，根本不知道它在讲什么……            
(4星)	 钟嘉欣的复古发型很惊艳哦~~罗sir和潘sir接头时经常穿情侣装，不被人识破才怪呢！！！还有luosir的那本日记，迟早要出事的。。。            
(1星)	 六筒那種“你當我是浮誇吧”的演技讓人很吃不消            
(3星)	 宣传效果过强。然后就是三角恋出色。            
(NA)	 钟嘉欣啊，大爱啊！            
(3星)	 这部戏觉得钟嘉欣的演技不错            
(5星)	 真好看啊……            
(3星)	 全篇建立在错误的伦理道德上。钟嘉欣演的太好了，越来越喜欢她了。            
(NA)	 不要这个当口沉迷TVB好不好啊……争点气好不好啊……            
(2星)	 有点无聊            
(3星)	 恩 ..很傻佬...典型的消磨时间            
(3星)	 没有美女            
(2星)	 想狠狠的踹陈豪，人不帅，角色窝囊的像个女人，两个阿sir的工作都做得狗屎一样，还不停的恶心人！都赶上凤姐了！            
(2星)	 无聊            
(3星)	 唯一一部不厌烦钟嘉欣的电视剧            
(3星)	 罗sir很不厚道，miss koo是无辜的，干嘛招惹她?相信了爱上了结果发现是阴谋一场？当你的miss ho是倪生派来的你会否想死去，会否相信爱情？            
(3星)	 吴肉真是帅到不得了，可怜的miss koo，马明越来越帅了，单身爸爸很可爱啊            
(1星)	 就看了第一集，看不下去了。。。            
(4星)	 追踪！期待结局！            
(4星)	 原来喜剧，也可以是这样的：不是团聚，而是各有新的开始。            
(1星)	 杨怡的脸啊 我真是看不下去这部剧            
(4星)	 前面实在是nc到不行...因为演员看的咯~            
(2星)	 看到这剧就让我想起，之前的一部什么什么，郭可盈，欧阳震华，陶大宇的那部，为什么TVB的校园剧能拍的这么低能呢～            
(NA)	 这部片很搞笑，让我反思现在的社会，现在还有这样的老师吗？            
(3星)	 毁演员            
(3星)	 Miss Koo好可怜啊...最后还配给了路人马明....            
(3星)	 没看全... 本想不评分，结果手太快了... 不好意思...             
(3星)	 港剧就是消遣的~~~这分给可爱的洪sir和爷爷和K4~~话说最后马国明出现发型也太傻了~~不过我还是爱你呀~~~            
(3星)	 羲和怡果断让我回归港剧了~！蜥蜴怎么又是错过，尼玛~！            
(NA)	 又是跳着跟室友看的一出            
(3星)	 让我对钟嘉欣演技有些许改观的一部戏 全剧最中意CiCi            
(3星)	 这样的卧底做不得!!!  PS：陈豪不穿名牌西装，不演小开，感觉差好多啊!!!            
(1星)	 第一集都看不下去。。弃弃弃            
(3星)	 片尾吴卓羲好帅。。            
(4星)	 陈豪很可爱啊~~后面比较好看            
(2星)	 这个结局太狗血了            
(2星)	 总体来说没感觉..            
(2星)	 无聊的片子            
(3星)	 就是搞笑~            
(3星)	 确实有点浮夸啊~俺是为了吴卓羲来滴，可是后来发现原来他只是打酱油滴- - 坑爹啊~只是不喜欢随便弃剧，所以还是有始有终,30集有点长啊。陈豪忒贱了。。。钟嘉欣演的还8错。            
(5星)	 虽说九十年代的TVB全是经典之作 现在越演越没看头 不过这部戏还是不错的 推荐            
(3星)	 唉  竟然爱上煲港剧了  TVB啊.................            
