http://movie.douban.com/subject/2190926/	鉴证实录Ⅱ 鑑證實錄Ⅱ
(3星)	 對談不上是續貂之作，但顯然無法延續第一部的輝煌。            
(NA)	 似乎在初中时看过，当时对里面的某些镜头觉得恐怖.            
(5星)	 哎，就这么结束了。。。            
(4星)	 经典的TVB剧~            
(5星)	 好爱的泪            
(5星)	 最讨厌小棠菜            
(4星)	  陈慧珊，气质真好            
(5星)	 还是这个最经典.            
(4星)	 感情戏实在太过纠结            
(5星)	 海俊杰当年帅到爆啊！！            
(5星)	 陈慧珊陈慧珊 因为你我看到了知性美~~~大爱            
(4星)	 十年后的今天我依然很爱他们            
(5星)	 看了n遍            
(4星)	 IPTV里翻出来的。陈慧珊气质好好，喜欢~            
(5星)	 又害怕又要看            
(NA)	 喜欢            
(4星)	 没有第一部好看了~~但还是很喜欢里面的角色            
(5星)	 真的是剧情都背下来了            
(3星)	 可惜到最后小棠死了            
(5星)	 第一部的结局当时非常遗憾，还好第二部里面聂与曾最终是在一起了，就小棠菜的牺牲挺可惜的。            
(5星)	 看完了，好落寞。。。            
(4星)	 经典，很爱。从小时候开始到现在，一共看了多少遍也记不得了，看了再看也不会腻，这就是经典吧。            
(5星)	 好看！！！！            
(3星)	 两个2b女人把一个男人让来让去很纠结的故事。。破案过程一般吧。。可能是现在的推理片看多了。。觉得10多年前的未免是儿戏了点。。            
(3星)	 真是认识重案组的都没有好下场啊~            
(4星)	 第二部唯有王英杰令人口水            
(5星)	 最爱，小时候的梦            
(4星)	 小唐菜你出来搅啥子局嘛！ 所以注定你悲剧喃。            
(4星)	 最近重看了，经典。            
(5星)	 也是看了无数遍~            
(5星)	 超爱的经典，曾聂很配            
(5星)	 经典，强推            
(5星)	 同样经典            
(4星)	 經典老片            
(4星)	 官配。            
(4星)	 第一次认识林保怡~            
(4星)	 三个人的感情有那么纠结吗？            
(5星)	 这个系列简直是一座TVB神碑            
(3星)	 个人觉得很狗血            
(4星)	 好喜欢聂医生            
(5星)	 赞赞赞~~因为这部戏看上林保怡            
(5星)	 大爱！            
(4星)	 这也是童年            
(5星)	 看到小棠菜死了我好伤心啊 最后录在DV机里的话真的很感人            
(5星)	 经典            
(4星)	 哪能有嘎般配额银幕情侣额啦~~~            
(5星)	 经典银幕情侣啊~~            
(4星)	 小棠菜其实死的真的有点可怜。好像李珊珊演的角色。每次结局都不怎么好。而且经常是插足男女主角的感情。让人厌烦。唉。同情下吧。            
(3星)	 看。            
(5星)	 经典的延续。。可惜只有两部。。            
(5星)	 好看            
(3星)	 情节有拼凑的嫌疑 林保怡始终都是亮点|貌似有一个香港科技大学的镜头            
(5星)	 超爱!!            
(5星)	 给我爱的他们五颗星            
(5星)	 鉴证实录就应该拍ⅠⅡⅢⅣⅤⅥⅦⅧⅩ...部            
(NA)	 最后他们终于在一起了。            
(4星)	 结局太糟了，我就记得志伦好帅的哈哈哈            
(5星)	 林保怡老是半红不红的            
(4星)	 比壹号皇庭案例复杂，剧情也好看，就是主角周围的人都难免血光之灾            
(4星)	 喜欢，当时看疯了，小唐菜死了还有点郁闷，里面的变态太多了！~            
(5星)	 算看过~            
(NA)	 第二集有点画蛇添足，第一集的情侣生要拆开才能延长剧情            
(5星)	 继续崇拜法医~~            
(2星)	 和第一部比差远了。            
(NA)	 年轻的时候呀！            
(3星)	   小堂菜最后挂了            
(5星)	 每年暑假都要重温一遍            
(4星)	 依旧喜欢            
(5星)	 看再多遍都不腻，小棠菜，哈哈            
(5星)	 经典啊  无需多说~            
(5星)	 这一个系列都很不错，可以后面都不拍了。。。。            
(4星)	 看案情的同时也喜欢看宝言和曾家原的感情戏            
(4星)	 小眼睛男人            
(4星)	 小棠的死实在太……接受不能了……T皿T            
(4星)	 陈慧珊和林保怡真的很搭啊！            
(5星)	 比较喜欢这一类型的            
(5星)	 最终好歹是了一道了..            
(4星)	 职业时装剧，属于TVB的经典！            
(5星)	 经典中的经典！            
(5星)	 怎么看都看不厌！            
(4星)	 我只看了一遍……            
(3星)	 小时候咋看过那么多港剧？...            
(4星)	 李珊珊有一种挥之不去的乡土气息            
(NA)	 经典，又一对银幕伉俪。喜欢林保怡和陈慧珊的风格。            
(NA)	 无法超越            
(NA)	 重温中...            
(3星)	 经典港剧。。。            
(NA)	 做过法医梦            
(4星)	 说实话我不咋地喜欢陈慧珊            
(5星)	 UE2，潘SIR您太含蓄了，亲热戏怎么这么少呢~~呢呢呢？？？！唉，遗憾。            
(NA)	 纠结的曾sir和聂医生            
(5星)	 百看不厌            
(4星)	 当年的最爱            
(4星)	 只记得睇过，但剧情真系好模糊了            
(3星)	 当然没第一部好看。            
(4星)	 鉴证实录2 让我感觉到电视剧因为有续集而更加精彩~            
(4星)	 还是经典!            
(4星)	 她们最后在一起了吧            
(NA)	 一样很有感觉！            
(5星)	 很喜欢很喜欢~~            
(5星)	 只是不清楚自己是不是看完整了~~            
(NA)	 我是TVB的老粉丝！！            
(5星)	 顶            
(5星)	 依然精彩            
(5星)	 林保怡+陈慧珊，经典搭配。            
(4星)	 干嘛把小唐菜编死了。。。            
(3星)	 比第一部差啦。            
(4星)	 纠结个半死 我真情愿宝言就这么走了            
(4星)	 重温            
(4星)	 永远的姗姗            
(4星)	 我是喜欢他们在一起的，但结局还不够精彩。            
(5星)	 那时候看了多少遍，凶手都背出来了……            
(5星)	 当年我是多么的讨厌小唐菜啊。。。            
(5星)	 小棠菜就这么死了，~~~~(&gt;_&lt;)~~~~             
(5星)	 还是他俩地，喜欢            
(4星)	 不及第一部，重温了遍还是喜欢看。。。。            
(5星)	 追TVB必看            
(4星)	 林保怡啊。。长得不好看却有我喜欢的味道。。嗯。。味道！            
(NA)	 为什么小唐菜要死？为什么为什么？10年来我的遗憾            
(5星)	 无论第一部还是第二部，都很好看的。            
(NA)	 不论续集拍得怎么样 经典永远是1            
(5星)	 如果她们没有顾虑那么多那么也不会有那么复杂的感情。            
(5星)	 只要重放就会再看。            
(5星)	 重温。            
(5星)	 比陀枪师姐过于生活情节化的剧集买点强过一百倍~\(≧▽≦)/~啦啦啦            
(5星)	 经典            
(3星)	 经典啊经典。不知道为嘛，就是记得            
(4星)	 喜欢陈慧珊            
(4星)	 喜欢的少数港剧之一。            
(5星)	 小唐菜最后死了，55555……            
(5星)	 它让我想做法医了~~            
(5星)	 好好看            
(4星)	 全！            
(4星)	 看完第二部我发现了自己的阴暗面，当时的我，很开心小棠死翘翘了，天知道我有多讨厌这种黏糊糊可怜兮兮的女生            
(NA)	 之前TVS总是播,我就总是看。怀念啊~            
(NA)	 这个系列是完胜！！！            
(5星)	 5遍            
(4星)	 我说我很无聊了~~            
(4星)	 这个系列很不错            
(4星)	 高中时候被迷得颠三倒四，小唐菜死的的时候哭得伤心欲绝            
(3星)	 李珊珊啊。。。            
(4星)	 曾sir太帅了！            
(3星)	 这部的感情纠葛狗血了些            
(4星)	 认识了林保怡 陈慧珊             
(5星)	 第一部、第二部都精彩。真的不舍告别林保怡和陈慧珊的绝佳白领合作气场。            
(5星)	 经典            
(3星)	 陈慧珊，知性气质            
(4星)	 又一对荧幕情侣啊~            
(4星)	 很经典            
(5星)	 怀念那个tvb最好的年代            
(5星)	 经典            
(4星)	 我只是喜欢看林保怡和陈慧珊配在一起~~~：p            
(5星)	 小棠菜死得真不值得            
(4星)	 太经典了....小棠菜            
(NA)	 百看不厌            
(5星)	 保怡啊保怡~~            
(5星)	 曾经我是多么的迷恋港剧啊！驴脸，妈妈给C起的绰号，真不含蓄·不过我是真喜欢，记得曾经还有个 愿望是当法医.            
(5星)	 和1一样好看的戏，你要说，不愧是TVB...            
(4星)	 不喜欢小唐菜。。喜欢宝言。            
(5星)	 我喜欢这一类题材的片子            
(2星)	 TVB的特点，一部不如一部，几角恋狗血纠葛你们去演言情剧吧，少拿个破案当掩饰！刑事四看都懒得看了，我只想看破案，不想看狗血N角恋！            
(5星)	 经典！            
(4星)	 爱屋及乌就是这个意思~~~~            
(4星)	 第二部觉得小唐菜比较可怜            
(3星)	 喜欢第一部            
(4星)	 为什么小棠就得不到幸福呢~            
(4星)	 第二部同样喜欢！            
(5星)	 超级爱看~            
(3星)	 不及第一步。            
(4星)	 狂爱女猪脚            
(NA)	 蓦然回首，发现志伦好帅！！萌O(∩_∩)O            
(4星)	 只可惜小棠蔡死了            
(5星)	 总觉得是我tvb的启蒙            
(4星)	 如果小唐菜不死就好了            
(5星)	 你说我为什么那么烦小棠菜和她老爸。。。            
(3星)	 把最可爱的弄死了...            
(5星)	 小唐菜死了，好惨            
(NA)	 小棠菜            
(4星)	
(5星)	 还有什么好说的呢，绝对是经典的嘛···林保怡啊，陈慧珊啊，当年不要太爱哦，当然现在回想起来还是很爱啦···如果喜欢这种类型的电视，这部一定不能错过的            
(NA)	 太拖沓了            
(NA)	 其实和第一部的水准是差不多的，好            
(4星)	 曾经风靡的片子            
(5星)	 兜兜转转，才发现我们还在原地。            
(5星)	 我爱侦查片~~            
(3星)	 拖了这么久，总算看完了，林保怡啊，看见你，我怎么就想到高贱贱呢？            
(5星)	 好看~讨厌小糖菜！            
(5星)	 小棠菜被杀害的时候 和高中同学都哭了            
(4星)	 虽然不喜欢小唐，但是也不用死吧，还差点弄得那两个主角又分手            
(5星)	 陈慧珊            
(4星)	 好看。。            
(4星)	 无法超越第一部，不过也很不错哦。            
(4星)	 还是很好看 。            
(5星)	 好看。            
(4星)	 很喜欢看            
(4星)	 喜欢题材。            
(4星)	 老实说我觉得不如第一部。            
(5星)	 因为看鉴证实录，喜欢上了林保怡这个并不帅的男人            
(4星)	 縱觀Bowie合作過的女明星，最鐘意還是他和陳慧珊。            
(4星)	 没有一经典了            
(4星)	 以前看            
(3星)	 不喜欢小棠菜            
(5星)	 虽然不喜欢小棠菜，但死了也怪可惜            
(3星)	 结局很狗血            
(5星)	 有着美好的回忆            
(3星)	 到最后除了主角，觉得都快死光了            
(4星)	 昨天刚温习了一遍…            
(5星)	 永远是我最最最最爱的电视剧。            
(5星)	 好看 喜欢经典的片子            
(4星)	 印象不深            
(5星)	 支持林宝怡!            
(5星)	 陈慧珊～聂宝言～            
(5星)	 不知道这么经典的破案剧为何评分这么低            
(4星)	 经典啊。很喜欢林保怡。觉得陈慧珊也很有气质。            
(4星)	 没有第一部好看            
(4星)	 喜欢里面的小唐，但还是希望保烟和家原在一起            
(3星)	 呃...第一部看过的TVB...感情戏太纠结了....            
(3星)	 一般般            
(4星)	 我们家小唐菜..            
(5星)	 从此我心中多了林保怡&amp;陈慧珊的cp···            
(5星)	 not bad..            
(5星)	 喜欢~经典~大爱            
(NA)	 好看            
(5星)	 看了很多年的电视剧            
(5星)	 纠结了。。。不过TVB的探案片子还是有看头滴            
(NA)	 很喜欢            
(4星)	 港剧的美好回忆！            
(4星)	 看过很多遍啊~~            
(5星)	 每演必看            
(4星)	 更喜欢第一部,不过因为是侦探剧,还是爱看.            
(4星)	 好像没看全，是公认的经典。            
(5星)	 记忆中的TVB经典            
(NA)	 但是有陈慧珊的片也很好看的，就想一个标签，只要认准了谁谁谁演的，这篇就一定好看！            
(NA)	 小棠菜            
(4星)	 和第一部差不多。都挺精彩的！值得一看！            
(4星)	 曾家原和聂宝言值得YY的爱情。            
(3星)	 小棠菜死得真莫名……            
(4星)	 林保怡有迷倒~            
(5星)	 小唐菜死了还是            
(NA)	 你们的感情好复杂啊！！！            
(3星)	 看2的应该大多数都是为了1的经典，可2偏偏是狗尾续貂了～            
(5星)	 这部剧最迷林保怡。            
(5星)	 没有想到李珊珊还是港姐            
(4星)	 聂宝言            
(4星)	 好看。            
(NA)	 小唐菜，心中永远的痛（字好像打错了，是哪个“唐”来的？）            
(3星)	 不喜欢李珊珊            
(5星)	 可惜了小棠菜。。。不过最终有情人还是终成眷属了！            
(4星)	 好早的啦~            
(4星)	 爱情和阴谋查案，同步进行，比较喜欢这类的片子            
(4星)	 小唐菜死了以后 录的那段录像竟然让百毒不侵的我哭了            
(4星)	 2000            
(NA)	 最爱聂宝言            
(5星)	 林保怡啊啊啊啊！！！新好男人的代表啊啊啊啊！！！            
(3星)	 多年以后不经意的发现。。。            
(5星)	 萌起了学法医的念头，虽然没实现，还是进了医学院            
(3星)	 我最爱的角色，就在那波池水里莫名其妙的死去了，眼泪抽搐出来，也想不明白，不能接受。            
(5星)	 演员是片片的品质保证            
(5星)	 很喜欢            
(4星)	 好看            
(4星)	 啊，当年的经视930剧场啊。。            
(5星)	 突然出现的三角恋很不爽小唐菜啊            
(4星)	 喜欢当年的TVB            
(NA)	 这部电视剧  给我的心理带来了太大的阴影了。。            
(4星)	 我喜欢的风格^_^            
(3星)	 伴我走过中学时代...            
(NA)	 好看耶·            
(3星)	 陈慧珊            
(5星)	 又有陈慧珊             
(4星)	 其实小棠菜死了还是蛮难过的，虽然我一直不是很喜欢她。如果不是他，聂宝言和曾家原早就在一起了……好吧，就拍到这里，也不用再拍下去了。。。。            
(5星)	 法医、            
(5星)	 结局好就是千好万好！某家之后难得又一家BG如此深得我心TT3TT！！            
(NA)	 我是tvb达人 不要怀疑            
(3星)	 可惜的是小棠菜～            
(4星)	 没有第1部好看，但是也很精彩            
(4星)	 曾我的最爱啊            
(5星)	 经典！林保怡和陈慧珊的搭档！            
(3星)	 中学时代的港剧。。。喜欢I喜欢里面的林保怡和陈慧珊。。。            
(3星)	 我爱聂宝言            
(4星)	 经典啊   最爱看的港剧了            
(4星)	 小时候看的  还在幼小的心中留下了阴影  以前看起来还满怕的            
(NA)	 小棠菜就这么死了            
(3星)	 青涩的恺威            
(5星)	 经典~~ 大爱~~             
(5星)	 林保怡好乖            
(NA)	 我始终觉得林保怡和陈慧珊是TVB最配的荧幕情侣！            
(3星)	 看了陈美琪，不能不想起《鉴证实录》            
(5星)	 承接上一部。一直都觉得。tvb的续集还是一样的好看。            
(4星)	 经典            
(5星)	 對法政題材的一直没有免疫力~呵呵~            
(2星)	 实在不喜欢看津津和家乔分手，主要是不太喜欢给他们从配的另外两个人。小棠菜的死确把剧情推向了高潮。            
(NA)	 见证实录2            
(5星)	 续集也好看，不过好多人都死了            
(5星)	 经典继续~似乎警匪片我都喜欢的~            
(4星)	 喜欢他们间的爱情            
(4星)	 案子很好，宝言和小堂菜无数次让来让去有点假了。。。            
(4星)	 没有全都看过，但是电视里有放就一定要看            
(3星)	 狗尾續貂            
(5星)	 林保怡。。又是喜欢一个老男人，而且有点丑。。            
(4星)	 两部都OK的~            
(4星)	 还是第一部好看，第二部太伤感            
(4星)	 与1一起看滴~            
(4星)	 第一部比较有感觉            
(4星)	 可怜的小棠菜。            
(4星)	 终于在一起了            
(3星)	 陈慧珊真挺特别            
(4星)	 为什么小唐菜死了呢？            
(4星)	 还不错。林保怡和陈慧珊都是我喜欢的演员。            
(4星)	 可憐的小唐菜~            
(4星)	 不喜欢津津和家乔分手            
(3星)	 TVB的破案类还是可以维持看的，只是都停止在两千前了，最近几年的，无语            
(4星)	 小棠菜好可怜啊。。。            
(NA)	 同第一部,为了陈慧珊来的,就是小棠菜死的太可惜了,锤啊            
(NA)	 小棠菜。。死的很冤啊。。。            
(5星)	 依旧精彩。            
(5星)	 我最爱的破案片之一啊·            
(3星)	 没看全过            
(NA)	 出于对1的好感 义无反顾的支持2 当时特别不喜欢李珊珊 她咋老演小三呢？            
(4星)	 不明白小唐菜为什么要死            
(NA)	 法医探案            
(4星)	 难得            
(5星)	 不错            
(NA)	 小棠菜啊            
(NA)	 看过，不会比第一部差，顶~同样好看~            
(NA)	 港剧也没看太多啊 都是电视放的            
(4星)	 是不如第一部，但最起码绊脚石最后挂掉了~~            
(5星)	 我狂爱的一部片子            
(5星)	 陈慧珊 林保怡 1999             
(4星)	 永远的林保怡和陈慧珊啊估计以后是没有机会再看到了啊            
(NA)	 经典            
(5星)	 对高科技的葱白啊，好看            
(5星)	 经典不再来。            
(4星)	 比第一部逊了点            
(NA)	 第一部和第二部  我都很喜欢的            
(4星)	 曾经超喜欢            
(4星)	 终于有一个结局            
(NA)	 经典            
(5星)	 嘿咻            
(4星)	 童年回忆            
(5星)	 不比第一部差~            
(4星)	 那个时候多人气啊！            
(4星)	 喜欢陈慧珊            
(5星)	 最爱 2001年暑假目不转睛地看完            
(4星)	 为着旧情            
(4星)	 百看不厌型。。。~老的TVB剧真的比现在的好看~            
(3星)	 这个续集一般吧            
(4星)	 没有第一部好看:(            
(5星)	 最最職業的扮相，讓阿馬倪提供服飾也隻有陳女人叻 。            
(NA)	 很喜欢陈慧珊，有知性            
(4星)	 赞            
(4星)	 还不错的            
(NA)	 喜欢里面的情节            
(3星)	 惯例，第一部好看些。            
(3星)	 还好            
(4星)	 林保怡真的蛮有味道的。。跟陈的搭档蛮经典的            
