http://movie.douban.com/subject/3018453/	星梦缘
(4星)	 小时候一大爱。偶像剧也就看过这么几部啊！            
(2星)	 其实一颗星都不想给  但当年居然一集不落的看完了  2星纪念一下吧            
(1星)	 啊！！！            
(1星)	 年少无知时的失误……            
(NA)	 因为无聊，看的更无聊            
(NA)	 荟如~荟如~~            
(NA)	 自插雙目             
(2星)	 这个能比 红苹果乐园 强那么一点点            
(3星)	 65分            
(1星)	 雷得我哇哇的            
(3星)	 不如红苹果            
(2星)	 oh  shit            
(1星)	 。。我刚才之前一直以为星梦缘就是红苹果。。。。原来是两部片子啊            
(NA)	 哎呀妈呀            
(2星)	 我在新世界卖衣服的时候，看见张继带着老婆来。。            
(1星)	 居然看了好几个烂片..挺佩服自己的....姐自己都被感动了            
(4星)	 其實對於內地偶像劇市場 這劇已經蠻成熟了。比之前第一部處女作簡直不知道好幾百倍啊！也挺好看的~韓筱雅從什麽派都不是向實力派挺進。楊薈如長得真的很醜 但演技我喜歡 很自然~像是學院派的。林思彤 綜合素質最高的一位 也算是新晉女演員了。A5.....我不發表意見。            
(2星)	 太难看了。。。。。            
(5星)	 麦家永  林思彤~~~喔~~~~我喜欢这两个~~            
(4星)	 小学五年级。。。。            
(1星)	 有够恶心。。质量差到没法挑出毛病，因为到处都是毛病。。            
(1星)	 我都不想承认我看过了            
(3星)	 小学放学时看得很兴致 - -            
(3星)	 还行,,比红苹果好看点            
(1星)	 主角更难看了……            
(2星)	 至少有我熟悉的上海……            
(1星)	 电视史上最强的低收组合……请不要浪费电视资源……            
(2星)	 林思彤长的还不错            
(NA)	 这部就没什么意思了            
(3星)	 还行            
(2星)	 在控江拍的还            
(1星)	 还以内地F4来宣传的电视剧？？？            
(3星)	 哈哈哈哈哈哈哈哈哈哈哈...once more...- -            
(2星)	 雷的我啊！雷剧始祖啊！            
(3星)	 小学时看得，那时觉得不错，现在觉得SOSO             
(NA)	 因为红苹果后晓得他们的，那时满喜欢那个“可豪”的！            
(5星)	 青春年少            
(2星)	 只有一个女主挺漂亮的            
(3星)	 当时初二是觉得还可以，现在回想就只一般。            
(NA)	 回忆了。。很久以前看的            
(2星)	 女主角啊……            
(5星)	 神作            
(3星)	 模仿 红苹果乐园 的吗？            
(4星)	 2008            
(1星)	 林思彤谁演的，挺漂亮的姑娘，怎么就演了这个雷牛满面的杯具            
(1星)	 。。。            
(2星)	 听这名字 就知道这是想励志励不起来 想偶像就“呕”像的片子····            
(3星)	 感觉没有红苹果乐园好看            
(2星)	 国内的偶像剧啊……            
(NA)	 好看，哈哈。            
(2星)	 比红苹果还烂。            
(2星)	 记得很清楚，高三寒假那个三十儿下午看的第一集，不知道是不是当时太久没看电视了，没觉得那么难看，只是觉得这帮人的演技、造型、台词有点XX……            
(4星)	 挺好看的！            
(1星)	 破烂            
(2星)	 无聊...            
(NA)	 哈哈哈哈            
(NA)	 又是我年少时犯的错            
(2星)	 不搞笑了 所以星数差一点 你们的优势一下子没了（可能演技好一些了吧）！！！            
(1星)	 矬~~！            
(2星)	 比红苹果乐园稍微好看点~            
(1星)	 这种SB剧我居然还看。。。。我无可救药了            
(3星)	 那时候真觉得励志了。            
(3星)	 不太好看...            
(2星)	 紅蘋果的姊妹篇，彼此彼此。            
(NA)	 看这个就更不知道为什么啦~~~~            
(1星)	 越演越没谱，我看的都什么啊~            
(1星)	 垃圾啊~~            
(2星)	 这部比红苹果稍微好一点。。。但是天蝎座女人我很讨厌            
(5星)	 青春无敌，话说当时还很迷恋盛超的            
(2星)	 假的要死            
(5星)	 我喜欢张继的长相和女主角。            
(3星)	 大陆出不来偶像团体。            
(2星)	 更无语的一部剧……            
(2星)	 还是一样差劲            
(2星)	 演技吃不消            
(NA)	 没看结尾            
(2星)	 所谓女主角...哈丑！            
(2星)	 适合小孩儿看~            
(1星)	 这是什么东西？            
(1星)	 做作            
(NA)	 忒傻了            
