http://movie.douban.com/subject/4300597/	月之恋人 月の恋人～Moon Lovers～
(3星)	 2010-05-20 to 2010-08-15|| 月囧啊~ 不过手工木制家具很有爱啊！            
(2星)	 我分别花痴过木村大叔和林志玲小姐。这部剧一共八集，追到七，却无论如何也撑不过最后一集了            
(3星)	 没040多好            
(3星)	 其实偶只看了第一集和最后一集的大概。。- -            
(4星)	 林志玲太港减两分，大神出演加一分，剧情一般减一分，结局不错加一分。            
(NA)	 ms看了4 5集 弃吧 弃吧 这个收视率是可以理解的            
(3星)	 从未看过这么纠结的日剧。。。怎么看莲介和二宫都不。。。唯一触动的一下下就只有最后10分钟安齐画出桃心的一霎那。。这才感觉040彻底消失了。。            
(3星)	 如果不是木村 我绝对一集不看 林志玲太tmd雷了            
(4星)	 除了林志玲，其他完美。            
(3星)	 结局与一直以来的基调不是很搭  不过是我喜欢的结局   算是本片最为现实的一个桥段了吧   最后一回LZL完全成了一个配角               
(1星)	 为神马林志玲一卖弄性感我就觉得很色情……不来使了，一集到最后我已经一边掉鸡皮疙瘩一边吐槽一边神经衰弱了……弃了            
(4星)	 结局意外|||||||            
(2星)	     很难投入到戏里面呢   看到林志玲就让我跳脱   怪怪的        果然和筱原凉子在一起            
(3星)	 大神、上海都很杯具            
(1星)	 雷得揪心。林志玲你能再恶心点吗？            
(NA)	 凉子是唯一吸引眼球的 大神老了            
(2星)	 把中国人拍那么傻。。何况KIMURA酱已经老了。。加之那顶真头发可以以真乱假了OTZ。            
(2星)	 弃~            
(3星)	 哎呀让我说什么好啊            
(3星)	 翔太啊，你以后还是别说中文了，太难听了            
(2星)	 林志玲雷的我外焦里嫩            
(NA)	 上海市民情何以堪            
(2星)	 剧情好脑残            
(NA)	 我实在控制不了自己时时思考二人身高的差距。。            
(4星)	 结局好突然..原来月之恋讲的是社长和真绘美            
(2星)	 林大姐啊啊啊～饶了我吧～            
(1星)	 剧情真无聊，主角不好看。看完第2集后放弃了。木村吸烟太多了。。。            
(3星)	 我要大神和凉子姐姐在一起，JQ无处不在，040咋就如此单蠢不和谐、、=========果然 cast 顺序决定一切啊!!!            
(2星)	 假如没有40姐的存在该是多美好的剧···            
(NA)	 结局大美好！            
(2星)	 结尾也很雷。。            
(NA)	 在大神心酸小眼泪的神圣光环下我彻底怒了还我志玲姐姐我美得天打雷劈的志玲姐姐！！            
(3星)	 好吧，我承认我不懂欣赏            
(3星)	 剧情是TM2 木村是TM帅            
(2星)	 木村剧有史以来最烂的一部，剧情弱智&amp;雷人            
(3星)	 雷屎人了。。大神也救不了场子了。。今年流行雷人剧了。。            
(NA)	 莫名奇妙的结局。。。            
(3星)	 原来水黾只是40自己yy出来的啊……那个啥 觉得40讲日文像在说遗言一样 不知道说到哪她就要断气了……            
(2星)	 志玲姐姐真碍眼            
(2星)	 我老是觉得有辱华情节原谅我            
(2星)	 林志玲发飙时的娇喘真是太销魂了            
(NA)	 第一集观后：大神还是大神；上海不是上海；林志玲其实可以不用发嗲的正常说话;最后一集看完观后：七拐八拐终于拐到了我爱的结局，林小姐注定打酱油了，我想看sp！            
(NA)	 每次用日文叫秀美我都想起林美秀            
(2星)	 硬着头皮看！！！！筱原凉子都愣是没留住我！            
(2星)	 严重丑化上海！上海在剧里面变得好落后好乡土....我都快看不下去了!            
(2星)	 看到第二集，看不下去了，林志玲做作的演技            
(NA)	 先看着吧。。            
(3星)	 反转剧？不明白为什么那么多人不喜欢林志玲            
(NA)	 林志玲囧            
(3星)	 040演得不错，日语发音很萌，要不是她的日语发音，大概也不会让人觉得演得不错            
(3星)	 040其实蛮有勇气的。            
(3星)	 。。。01，先弃了，，等都演完再来看评论，然后再决定看不看。。            
(2星)	 剧本写得很烂            
(3星)	 中国被搞成这样子。。。            
(2星)	 松田弟苏到让人流鼻血。            
(NA)	 弃之、。。            
(NA)	 同没看完            
(2星)	 只看到第五集   它竟然让我连继续看下去的兴趣也没有了。。            
(3星)	 木村永远帅气            
(NA)	 音乐比较出彩            
(4星)	 确实很雷啦，但是也因此满欢乐的（多亏了040姐姐~）。每个人对待爱情的态度是不一样的，像柚月这样敢于追求并保持理解的、像真绘美这样始终守护默默支持的在过程中显得有些悲伤与苍凉，确让人感动。MD，是不是因为我快枯萎的关系特别容易感动啊啊啊！            
(3星)	 身高差时正时负            
(4星)	 040毫无演技可言            
(3星)	 大神，凉子姐姐和景子一人一颗。            
(1星)	 我坚持看完了，我觉得我很伟大！（上海人表示鸭梨很大。。。            
(NA)	 我竟然追了这么雷的一部剧。。。            
(3星)	 哇擦！！！天雷啊！！！WTF 040            
(3星)	 过程很雷人，但是还是被大神迷得七荤八素……            
(1星)	 CX月九，剧本完全背离了标准日剧的优势，浪费时间。            
(2星)	 真是烂得够可以了。追不下去。            
(1星)	 穿越有害健康            
(4星)	 林志玲果然比木村高，进一步关注中            
(NA)	 040大妈杀了我吧            
(3星)	 什么剧情 为了木村啊             
(3星)	 真让人绝望            
(2星)	 大神最差的一部剧，大神剧中我唯一没有看完的，实在是看不下去啊            
(2星)	 弃。。可不可以不要那么不知所谓？            
(3星)	 大神依然帅，筱原依然女王，志玲姐姐就。。。。。。            
(2星)	 这个月9是疯了吗。。。好在翔太够帅。弃            
(3星)	 全靠卡斯撑场才看下来的剧，就知道最后会反转！可是为毛会产生大东亚共荣圈的联想？政治太荼毒人了！！！            
(2星)	 好无聊啊……弃。            
(2星)	 这盆狗血果断弃= =#            
(4星)	 林志玲还是演得挺努力的            
(2星)	 木村凉子翔太不是挺美好的MD林志玲几时死啊!!!!            
(2星)	 真是又囧又雷，近年的纯爱真是没啥能看的= =            
(3星)	 最后两集终于趋于正常了，其实看这部剧可以直接从倒数第二集开始，不过不能否认的是，木村大神依然很帅……            
(2星)	 看一集半就受不了啦，即使有囧子，也不想再看下去            
(2星)	 木村大神啊 选剧前好好看看剧本行不 雷得里焦外嫩 囧            
(3星)	 风中凌乱            
(1星)	 两星给大神，两星给凉子姐姐，040倒扣四星，于是该剧0星            
(2星)	 看完EP2,直接改成二星            
(2星)	 太狗血了，太狗血了，狗血把我淹没了……日本编剧颅内出血了大概~            
(4星)	 takuya依旧这般帅气逼人            
(4星)	 就冲结尾吧~            
(1星)	 本季最令人失望的烂片啊！～            
(5星)	 大神&amp;凉子jj在一起了，于是从1星变5星了~不解释。            
(3星)	 有時,該拋棄的還是要拋棄......            
(5星)	 大神主演的必追！！！志玲姐姐说日语的时候很好听 ~我发现我对林志玲的好感在增加~~~~            
(3星)	 终于坚持到最终回了。木村同学连表白都这么欠债还钱的表情。。。。            
(NA)	 未看完。            
(2星)	 诡异，莫名其妙            
(3星)	 好歹追下来了@@最后的四个硬币不错。。赞凉子姐姐，至于大神我还是最爱伊额悠长假期~囧子看到后面总觉得蛮可爱的&gt;~&lt;            
(3星)	 这个结局是怎么转过来的你告诉我啊你告诉我啊？？？！！！我真的很想只给两颗星啊可是大神你让我如何是好！！！            
(2星)	 这哪里是纯爱剧？分明就是狗血棒子NC剧嘛！真想做掉040.            
(NA)	 结局满满的都是爱            
(1星)	 没看完，果断弃剧            
(1星)	 就算有翔太。。。这也是部忒烂的片            
(2星)	 第二部弃掉的日剧            
(2星)	 一群专业日本演员陪着一个040在闹，结局爆冷门之余不忘狗血            
(3星)	 木村大神已显老态，志林姐姐为了进军日本牺牲颇大。只是这样的上海真不知是谁YY出来的。。。            
(NA)	 支撑我看完的是林志玲大妈  凉子大婶没一点突破啊！！            
(NA)	 天雷滚滚            
(2星)	 这个剧真是作为月九烂到无法形容的境界了，忽然就对凉子失望了，也许那本子不适合她==唯一的收获是亲爱的囧子~ 单相思的囧子可爱地撞到南墙都不回头。             
(3星)	 最后一集最好看=   =            
(2星)	 狗屎剧本...            
(2星)	 最难看的第一话  没有之一            
(2星)	 雷焦……水黾吓死了老娘 没办法看下去了            
(3星)	 最后那一吻，终于浪漫了一把！            
(2星)	 噩梦啊……            
(NA)	 鉴于囧子和可疑的褥滑的情节，我决定还是先跟一根好了~            
(3星)	 三颗都献给大神吧。            
(1星)	 难看到不可方物            
(2星)	 看过三集 弃之            
(2星)	 实在无力追下去了.砍了吧..            
(2星)	 040的演技我就不说什么了……            
(2星)	 那个椅子很嗲。。那个蛋一样的椅子            
(4星)	 终于完满的结束了。大叔和凉子小姐终成眷属咧~最后一集完美啊，一个小时四十分钟！前面其实都可以略了。翔太依然另类的又帅又酷。林志玲还是去做模特吧。。。北川景子最后跳到大叔身上的时候可爱爆了。。。            
(3星)	 4            
(2星)	 越看越狗血            
(3星)	 囧子看来里面居然是杯具般的角色...40姐你莫雷我啊= =...反应我朝各种河蟹- =            
(1星)	 看了2集，已经放弃了            
(4星)	 星全是给大神的。040一颗都没有。为虾米要抱她，为虾米要这么用力的抱她！！！！            
(NA)	 其实就看了没几集，不高兴看了            
(2星)	 着实不能这么配搭。。。            
(3星)	 真的是反转剧，志玲姐姐好PP            
(3星)	 看了兩集，沒興趣了，不好看~            
(2星)	 结局还是很不错的。赚足了我的眼泪。            
(2星)	 浅野大妈的剧本越来越那个啥了=。=！！040你的演技可以再烂点            
(NA)	 要不是为了木村 我才不会看040...            
(2星)	 从选择040开始，这注定是一部不知道想表达什么的雷剧。。            
(2星)	 林姐姐过分做作了...剧情也不行...北川和松田还行...            
(2星)	 原来大神还在这个时代            
(3星)	 剧情就不说了~最后每个都成了好人= =啊啊啊啊 翔太啊~~~·            
(3星)	 越雷越欢乐。。。            
(2星)	 天雷滚滚呐。            
(3星)	 不太好看哦            
(NA)	 我等不到高潮就弃之了。。但是我其实挺喜欢林志玲的。。            
(NA)	 狗血的剧情啊！！！！！！ 每看十分钟就得干点别的缓冲一下 小鬼就这么被糟蹋了。。。。            
(NA)	 又被结局雷到            
(3星)	  翔太哈帅~~在上海的第一个镜头车竟然是从我公司楼下。。开过去的。。。神啊~~            
(NA)	 一夜回到80年代（其实是更早），齐刷刷的制服和似曾相识的红标语……天哪，看到自己城市居然呈现了那种image真的蛮不舒服。另，林志玲是打算感化木村理解射会主义吗？            
(3星)	 我喜欢happy ending。            
(4星)	 送别那场把我看哭了。。。我就是月秀党~            
(1星)	 木村还没入戏，看他那装傻的脸就知道；上海还是很脏，看炒菜要加糖就知道。志玲的日语还是很烂，听她蹦单词的娃娃音就知道；日台的关系还是宗主，看了木村与志玲的表演就知道。貌似蒸蒸日上的上海还是成了全球经济危机根源，看了日本座椅突然断裂卖不出去就知道。            
(2星)	 两粒星给大神，爱看他和凉子小吵小闹            
(2星)	 为毛上海被拍的如此落后。            
(1星)	 看2集 因受不了某“嗲”人弃之。。。            
(NA)	 其实我没看结尾 我也不想看            
(NA)	 最后一集看得我又叫累又拍掌的~            
(3星)	 狗血剧情。。。。。。。。。。。里面只有筱原凉子是能看的。。。。。。。。。。。。。。。。。。弃了吧。。。。。。。。。。。            
(2星)	 终于看完了，这样的片子平均收视竟然也是本季第二，日本观众你们太盲目了……            
(2星)	 4弃 040正宗台巴子 囧子瘦了妆浓了            
(1星)	 这编剧和阿部叔那片子是一个人吧 心胸狭隘 好走不送             
(1星)	 瞎了。。。            
(3星)	 梦游了这么多集，最终回终于醒了～            
(2星)	 虐            
(2星)	 原来最囧的是结局~~~            
(NA)	 ep3弃。。好像是。。            
(3星)	 我爱筱原凉子啊啊            
(2星)	 看了两三集看不下去了            
(4星)	 额。。            
(NA)	 这到底是个什么剧 都是吐槽点！！看的好欢乐~            
(2星)	 编剧你赢了  这样的阵容也都让我看不下去了            
(2星)	 不亏是大神，不愧是浅野大妈，不愧是台湾第一美人磷脂林！！三人合力一定会创造雷剧中的经典！为了如此欢乐的剧本和林大妈的完美囧囧演技我决定追完！！！！            
(NA)	 真扯。            
(3星)	 最终还是真绘美小姐表了白            
(3星)	 弃            
(5星)	 哎呦喂 您能再帅点儿不            
(3星)	 最雷最雷~~ 木村太帅翔太继续装酷北川继续装纯筱原继续傻大姐志玲姐姐倾情奉献~~所谓“幸福”的比喻实在太狗血            
(NA)	 谁能告诉我，这不是一部纯爱剧，这是一部天雷剧            
(1星)	 弃，就算有凉子JJ也不能掩盖040和编剧对这部片子的毁灭            
(3星)	 040的演技很浮夸            
(2星)	 大神老了也能苏，筱原凉子最闪亮，翔太油头嘟嘟嘴，志玲姐姐必须死！            
(3星)	 阵容强大 一集弃 编剧你真棒……            
(1星)	 调成一星了。可惜可惜。            
(3星)	 大神和翔太君一起出现的时候。。。哎，岁月催人老            
(4星)	 大神！！！            
(NA)	 可恶！还是被4.0打败了啊摔！！            
(NA)	 看了半集崩潰了 果然還是不適合……            
(2星)	 木村主演史中的污點劇。。            
(2星)	 外焦里嫩~            
(3星)	 040的嚎叫            
(2星)	 完全看不下去...什么烂情节...            
(2星)	 从头烂到尾的一部烂戏。大神怎么会接这种片子？            
(2星)	 有喜爱的大神，喜欢的松田翔太、凉子、志玲姐姐，可片子真不怎样！            
(NA)	 实则弃            
(NA)	 看了2集。。。弃了弃了            
(2星)	 我居然真能耐着性子把它看完.....            
(4星)	 木村拍爱情剧比拍悬疑剧&#34;索&#34;多了~~            
(NA)	 自插双目            
(2星)	 为了大神、ryoko和闺女去看的~纯为人了，难得cast不错，但是040和大妈真的是雷母哇...            
(2星)	 看在凉子的份上给个二星吧=.=            
(NA)	 给四枚硬币的上辈子都是折了翼的天使，如果遇到了赶紧嫁/娶了吧            
(3星)	 一群男人 和一群女人 飙故事。日式上海。一个娃娃脸男老板 一个气鼓鼓的美女 一个调皮捣蛋的才女 一个居心叵测的贫女。筱原凉子大爱❤❤松田翔太脸部演技定型。木村继续扮呀么扮可爱。            
(3星)	 我第一次看大神的剧看得这样无力。。            
(1星)	 就没见过这么傻逼的日剧~弃            
(1星)	 不管岁月的流逝 木村还是那么招人待见 凉子还是那么好 但是能没林志玲吗 不是长相问题 就是那日语            
(3星)	 虎头蛇尾大概就是说的这部剧            
(2星)	 难看。。。但我还是看完了。。。= =            
(4星)	 让二球就和大叔一个样！            
(1星)	 绝对的雷，木村的下限            
(3星)	 剧情太弱，因为翔太和凉子JJ，+1星，其实我想给3.5星的- - 还有那谁，为毛成女一了？若真如此我为了翔太和凉子追剧的那么一丝欲望都无存了= = &gt;&gt;&gt; 居然就这样一边吐一边追的看完了，囧rz，我很强大！            
(2星)	 看在大神好不容易留个比较顺眼的发型的份上，给个两星            
(3星)	 依然林志玲～            
(1星)	 松田翔太的中文好囧。林志玲，弃。。。            
(3星)	 40的日语真难听。。。。。            
(3星)	 三星吧 反正看得下去            
(1星)	 天啊             
(3星)	 雷雷更健康            
(NA)	 其實，很無聊的劇，討厭林志玲。但是爲了大神，追吧。。。            
(2星)	 我深信这是一部往返于解放前上海和2010东京的穿越剧            
(3星)	 我知道大神很帅，但不能因为他帅而忽略了浅野大妈的狗血水平。另外其实最后一集，大妈还是露了几把刷子的。            
(3星)	 自此与林志玲结下了不解之仇！            
(2星)	 040小姐，您可以别乱喊乱叫么？！浅野大妈您眼里的上海原来还是这么朴素呢~囧            
(3星)	 天啊木村大神 筱原也很舒服 志玲桑...其實呢 妳還是去演容容華貴的妳好啦 掙扎的鏡頭很有智障的感覺 編劇也太奇妙了 一個那麼高高在上的完美社長 怎麼可能幾夜之間那麼用力的緊抱一個骯髒的工地女工 真是山珍海味吃慣了 要來點粗糧 哎..看了三四集實在看不下去了 對不起啊大神            
(4星)	 我疯了            
(3星)	 大神大神大神,星星全给大神!040太丢人了            
(4星)	 不知道有没有一种软件可以屏蔽掉电视里的某一个人？嗯，什么什么水黾啊！人家那是桃心，傻***            
(3星)	 还有一集终于就要完结了。。。简直受够了。。。即使是木村也不能再忍受了。。。什么破剧情啊。。。没头没脑的            
(4星)	 这不是我想要的日剧。那些让人感动、给人启迪与力量的日剧都哪儿去了            
(3星)	 厂花之恋1集弃            
(4星)	 花痴归花痴，但第一集的剧情也太雷了吧 &gt;&lt;            
(2星)	 5集弃。            
(4星)	 开始看是为了大神和凉子姐姐，后来也喜欢上了翔太、景子。让我有勇气追只是凉子姐姐。好吧，她的美好足以让我无视040。看到最后，我才意识到，大神是如何的演技精湛！他和凉子姐姐是何等般配            
(5星)	 天雷滚滚外焦里嫩七荤八素无法超生的雷            
(NA)	 虽然说在看，不过我估计看不下去了，估计是要retire了的。。。 040雷死我了 结果，只看了一集。            
(3星)	 终于完了，还是凉子姐姐比较有看头            
(NA)	 完全无法承受的雷。。。            
(1星)	 结局太恶心了！            
(3星)	 0姐的日语。。。            
(4星)	 最后一集里除了040出来那近100分钟救了整部剧!            
(4星)	 其实这剧并非一无是处            
(NA)	 什么破烂结局啊。。。其苦修！！！            
(3星)	 结局大治愈啊！凉子姐姐大好！风见君大好！小柚和凉子的告白很感动~完全不讨厌北川姑娘呀。我说……跟素直比，虽然一样狗血到最后一集男女主角才甜蜜地在一起，但是因为么有对男女主角心存执念，所以吐槽点就少得多了，随便你们怎么样吧~我的素直啊！树里和瑛太啊T0T            
(NA)	 最糟糕的告白。是我大妈了还是浅野杯具了？            
(3星)	 看了四集= =我看不下去了……我妈都看完了!!!!!!!我妈说这里除了040其他两个女人都很好!!我妈真是有眼光!!!!!!!            
(3星)	 莫名其妙地就看完了，感觉剧情不是很连贯。木村大叔的皮肤好差啊……会动的志玲姐姐看着很别扭。。。            
(2星)	 日！！终于看完了！！！！！！我这是哪门子的爱啊哪门子的爱啊！！！            
(4星)	 我都打好多颗星昂&gt;////&lt;一男三女其实大叔也很心累吧= =.看到俩喜欢的姑娘坦然告白后独自落泪的样子我也很心痛呀。。。幸好结局不是和ZL姐姐！            
(2星)	 我真服了林志玲了，一看到她我一集至少得分八次看完，一没她，我看得很欢乐，一口气看两集。龟母的老家是大海，还好后面她回家了。            
(2星)	 我对烂剧的忍受能力又到达了一个新的境界。。。            
(2星)	 没有040还好说一点            
(2星)	 冲着大神和凉子勉强给了两个星            
(1星)	 既上海潮之后 上海又给毁了一次            
(3星)	 美作你死得好惨啊 - -0000 一星给shota一星给keiko一星给凉子姐姐。。完毕- -            
(4星)	 志玲萨马你太美了。            
(2星)	 040是减分的重点啊~~~就算大神在也不行！            
(NA)	 大神又来了，翔太新发型，阿部力扮女装~~0志0是山西打工妹，好呀好反正是追了！            
(2星)	 看了一集也是看过了=-=            
(3星)	 一般般，就大神萌~~~            
(1星)	 木有比一星低的评价就把这一星给凉子姐姐好了= =这剧弃了            
(4星)	 加个林志玲，委实大败笔。。。            
(3星)	 除了结局，就一囧囧有神的泡菜剧...            
(2星)	 木村又怎样。我只知道这个脚本老是害的我家凉子对着月光默默流泪，翔太有心无力的爱显得更可悲。弃。            
(1星)	 什么东西！完全放弃！            
(1星)	 糟烂到家了！一星给的是面子！            
(2星)	 啊~~~耳朵~~~            
(3星)	 嘴角抽搐            
(2星)	 我被雷死了。。。！！            
(NA)	 热爱木村先生，也喜欢林小姐，但，对于韩剧式的狗血剧情绝对无法忍受！！！PS 竹中直人和温水洋一两位先生不论在什么剧集中，都那么令人着迷啊～～            
(1星)	 志玲姐姐很牛逼啊~            
(2星)	 被剧情雷到不行，木村在吃老本。            
(3星)	 只要千叶大妈在，纯爱剧救不回来了，就算是木拓....至于4.0，让我死吧，只有最后两集稍稍给力            
(3星)	 虽然剧本一塌糊涂，收视高开低走，女的男的都爱木村，木村本人又是个欠揍的怪咖，情节还散发着泡菜偶像剧的味道——可是里面的衣服、家具实在是太好看！林志玲的妆容没的说了！            
(NA)	 就是来看腿的，怎么地            
(3星)	 勉强看完            
(2星)	 实在木有想法了            
(4星)	 我先给妈妈吃药，再把香水带过来。——P            
(3星)	 制作不错，但剧情实在很烂…木村实在不是俺的菜……音乐挺不错~            
(1星)	 林志玲滚开！            
(3星)	 冲着最后的结局，勉强给个三星。            
(3星)	 这也许是最好の结局~~            
(3星)	 040大嬸哎～糟蹋了大神哟！            
(NA)	 我实在是。。。我不打星总可以了吧！给两颗星我觉得实在是对不起大神，但是这部戏我真的看得很艰难，完全不期待下一集，完全不吸引我，结局也太敷衍了吧！草草完结似的。但是话说我觉得前面的每一集都可以作为结局了。我不原来不讨厌林志玲的，现在林小姐我拜托你不要再演电视剧了好吗？            
(1星)	 剧情真的好乱来啊，上海在尼轰银就这样滴，阿部力囧到我了，翔太的中文。。。弃            
(2星)	 要碰上部如此烂的日剧，也实属不易            
(NA)	 无字幕版看得要死啊            
(2星)	 思前想后，给不出三星=   =            
(5星)	 为什么现在这么多人都喜欢批判。难道批判才能显示自己的观点是多么权威么。四枚硬币还是蛮有创意的~~水黾很雷人吗~一点也不觉得。景子超可爱~~喜欢=3=收视率什么的 没什么大不了。喜欢他和她们，也喜欢这部剧。            
(3星)	 040一律快进。            
(1星)	 跟不下去了            
(4星)	 因为是大神啊！！！            
(4星)	 恶俗的剧情- -中年偶像剧            
(4星)	 虽然结局翻转得有点快             
(NA)	 大妈写了一部反转剧            
(3星)	 囧子越发可爱！！真是个好女人莲介大傻逼！秀美变相卖萌卖过头 还是搞笑好 从头至尾还是讨厌死凉子说话的语调 太错其了抓狂！！！。。。某人的发梢到最后都想痛快咔嚓掉T T名台词“你是个剩吕”            
(3星)	 看这强大的卡司 其他剧也只能闪边，但是天雷滚滚的剧情让卡司黯然失色。            
(3星)	 我居然看完了...            
(3星)	 好的。            
(4星)	 我觉得根本最后就随便凑嘛，虾饺单身就好了。最喜欢的角色是柚月。            
(NA)	 大神是挺帅的。宝刀未老··  被迷惑了。北川真是漂亮死了可剧情没勇气继续追下去了 - -   额··            
(4星)	 陪我度过了一个下午~木村大叔~凉子大婶的装扮我好稀饭哦！！乌拉拉~            
(2星)	 这个貌似完结了，只看了一半，看不下去了            
(3星)	 说实话，我就对大神穿的靴子感兴趣了。。。            
(2星)	 我真看不下去。。。大神我对不起你。。。            
(3星)	 3星给结局 OST 还有那椅子~            
(2星)	 硬着头皮看完的            
(NA)	 太雷了...            
(3星)	 狗血剧本 操蛋结局 我爱木村            
(3星)	 哎....终于完结了..这编剧 这剧情 这40姐姐 哎...我的大神 我的shota 我的凉子姐姐....            
(2星)	 靠啊，要不要这么囧啊！！！！            
(3星)	 为了大神，我忍了040            
(3星)	 040戏份真多啊……比同档的Twitter恋好看……唯一能说出的褒扬            
(1星)	 我很烦不标准的日本国语腔            
(2星)	 雷点遍布            
(2星)	 我是来看松田翔太的。。。囧....看到第二集，实在坚持不下去了。。。            
(2星)	 真的看不下去。我努力过了= =            
(NA)	 就看了2集就看不下去了            
(2星)	 就算有筱原凉子和松田翔太也看不下去了。我看过的最难看的月9。            
(NA)	 oh ~What a wonder!            
(3星)	 志玲姐姐吖~~~= =            
(3星)	 我是为了景子才给3颗星的，林某人实在是不折不扣的大毒瘤，演什么都这么狗血的，剧情也够刻意的，3颗星            
(3星)	 我是想看翔太，可是为什么会有林志玲？！            
(5星)	 送給每一個始終無怨無悔為自己所愛付出的人 ♥            
(NA)	 实在看不下去了……被林大妈打败了            
(4星)	 好短的月九剧。            
(3星)	 木村大叔还是很帅啊~~看了两三集之后就弃之。。。。            
(3星)	 哎。。。涼子姐。。。要不是你。。。我就。。。            
(NA)	 剧情太白痴了啊。。。。            
(2星)	 我是江西来的刘秀美啊···            
(2星)	 编剧渣了……            
(4星)	 是在是.... 看了几集之后弃了直接看了个结局 这是第一部木村先生的剧没有追完整的存在...            
(3星)	 好朋友的位子            
(4星)	 完全冲着翔太和凉子给4星的            
(NA)	 8集好短            
(2星)	 估计又是一狗血剧。。            
(3星)	 终于结束了 各种莫名其妙            
(3星)	 期待所有的            
(3星)	 好像是我期待过高了。            
(5星)	 五星都给大神最后的表白            
(3星)	 。。。。情何以堪！！！   翔太大杯具 不理想！            
(3星)	 只在大神和翔太间看到了纯爱！！            
(3星)	 囧子你好可爱啊。什么跟什么这是！            
(2星)	 这神马剧情啊忍不住(ノ=Д=)ノ┻━┻  男猪A跟女猪A从头谈恋爱谈到最后一集结果跟了女猪B 女猪B一直跟男猪B谈恋爱到最后跟了男猪A...老子思维呆滞跟不上进度啊我K            
(2星)	 已弃……大神已经阻止不了我了！！！            
(1星)	 为神马大妈就那么不待见中国人呢！！            
(3星)	 真的是NC            
(1星)	 从未如此讨厌040            
(2星)	 リン·チーリン，どれだけ頑張った分かってるけど……            
(4星)	 最后一集让我打四分            
(4星)	 好啦~最后两集很好看嘛            
(3星)	 3星还是看在大神的面子上，越来越有型！不过剧情。。。我真受不了，忍了3集，弃！            
(3星)	 把上海拍那么丑，搞的跟几十年前一样，完全莫名。            
(3星)	 天雷地滚哦是要走灰姑娘和白马大叔的路线么？林姐姐真惨不忍睹啊一天世界= =。简直糟蹋了一如既往外冷内热的大神。55木村多少高来着？啧啧啧。我的景子我的翔太我的凉子姐姐一同被糟蹋了orz一个什么来着糟蹋了一锅粥？剧设也是杯具= =哎            
(3星)	 四个硬币的故事             
(2星)	 体过两集。。好闷，5想再追落去。。。            
(3星)	 真是够了。。            
(1星)	 雷的外焦里嫩            
(1星)	 大神完全被人妖给毁了！            
(1星)	 完全看不下去，而且居然那么丑化中国- - 翔太中文发音接受不能            
(2星)	 看到林志玲被按扁在车窗的镜头，我不厚道地笑了⋯⋯            
(1星)	 脑残～～林志玲就是个花瓶，当当花瓶也好啊，至少赏心悦目啊，拍戏绝对不用脑哦～真的不用哦～～难道２０１０的上海还有片子里面的这种７０年代的风格啊～ｏｈ～绝对受不了！！！～～小日本人无知拍这种出来嘛完全可以原谅哦，你是中国人好发。。。受不了。。。绝对胸大无脑哦。。。            
(1星)	 两个女主恶心死我了……            
(5星)	  音乐超好听  但是我实在看不下去了 我弃了            
(4星)	 总算这结局让我满意了 多给一颗星 编剧垃圾 作孽了我的凉子姐姐和囧子妹妹            
(4星)	 除了040生硬的演技及日语 还有那解放前的上海...这部剧是我想看的日剧!  看过3集后弃            
(2星)	 雷！不知所云！也就看看松田翔太了...            
(NA)	 看过一集 由于剧情太脑残 我也权当看过来处理。林志玲 你就好好的做你的模特吧。            
(3星)	 讓人失望呀。 原因我就不说了 ，哎 。其实如果不是心疼大神 XXX地想给打个一星，哎。            
(2星)	 娘细撇。乃上海刚了嘎差。不看了。            
(3星)	 木村被040毁了            
(1星)	 忍了6集，对不住还是弃了            
(3星)	 风见很得我心啊 腹黑 隐忍 处心积虑 默默的注视着真绘美 无奈JJ是女主 最终肯定会回到大神的怀抱             
(NA)	 弃！            
(NA)	 志玲傻傻的  还是筱原比较帅气~  木村··是不是老了            
(2星)	 今天终于拼死看了最后一集的最后十分钟……            
(NA)	 总算看完了            
(3星)	 最后居然萌了囧子            
(3星)	 ……no comment比较好.为了筱原jj加颗星……            
(5星)	 南来的 北往的都别错过啊...不看人生不完整啊            
(3星)	 总感觉最后一集看起来有点苦情.            
(3星)	 尾结的还可以吧  但是中间几集太烂了   大神还是和凉子姐姐最配            
(2星)	 中弃= =            
(3星)	 本来觉得北川大妈很不靠谱，糟蹋我心爱的CP组合，现在我觉得北川大妈真的比浅野大妈可靠多了。。。其实，就看最后两集就好了            
(2星)	 太难看了！！            
(3星)	 叹气。。            
(3星)	 我终于后知后觉地看完了= =            
(2星)	 林志玲的日语啊 松田翔太的中文啊两颗星是送给阵容的。。。            
(NA)	 景子自动马克。。            
(3星)	 毁了毁了…            
(4星)	 最后一集哭了。            
(2星)	 弃之，囧剧            
(NA)	 最後一話最好看            
(3星)	 3.5吧            
(3星)	 此剧弃之            
(4星)	 出来蹩脚的扯淡 其他还行             
(1星)	 3集弃 简直不像是日剧            
(4星)	 看在浅野大妈最后让大神抱得凉子归的份上给第四颗星星好了……            
(4星)	 除了结局...            
(3星)	 不知不觉的弃了= =            
(4星)	 还好最后木村不是和林志玲在一起            
(3星)	 原来月之恋人是这个意思==            
(NA)	 7            
