http://movie.douban.com/subject/2147129/	萤之光 ホタルノヒカリ
(4星)	 还蛮好的，尤其是部长            
(NA)	 非常喜欢 喜欢非常            
(5星)	 如果我的鱼干生活,也能遇到一个部长~那该是多么完美啊~.~            
(3星)	 干物女这个形象很鲜明，而且綾瀨遙姐姐确实蛮大只的，直人哥哥真是年轻又好看的上司啊，另那个后廊还真的是相当的漂亮呢            
(5星)	 我其实也是干物女            
(5星)	 喜欢            
(NA)	 夏天看吧，后廊            
(NA)	 2007夏            
(5星)	 也给我一个部长吧！！！！            
(2星)	 女主白目的让我擂墙了……            
(5星)	 好看            
(4星)	 ahomia～            
(4星)	 除了貢獻了“干物女”這個詞，還有一個溫馨的故事            
(5星)	 能找到自己影子,有共鸣            
(NA)	 不尽的挣扎,没有勇气展现出自我,我也是小萤那样的,给自己筑一道强,别人进不来.光是喜欢也有过不了的坎.            
(5星)	 其实我支持小树X小萤的            
(4星)	 这样的大叔才是王道(^0^)            
(4星)	 很喜欢里面的部长啊~~~~            
(5星)	 神剧            
(5星)	 部长大人！！！再次对藤木大叔爆发热爱....            
(4星)	 干物女呀干物女，我何尝不是            
(5星)	 部长，大爱啊            
(4星)	 真是喜欢这样的宅男啊。。。            
(5星)	 干物女物语~~~            
(2星)	 妈妈的,看到第5集电脑死机...从此原始人生活...超级8推荐...私人恩怨            
(4星)	 干物女最高！            
(3星)	 鱼干女。。。            
(5星)	 綾瀬遥 / 藤木直人             
(5星)	 推荐哪            
(5星)	 当结束时，有种夏天结束的失落感            
(5星)	 小小的光亮，夏天满满的回忆。            
(4星)	 我也快成干物女了...            
(4星)	 其实挺有趣，就是不够暧昧，不够滋润~~~&gt;_&lt;            
(4星)	 干物女的生活~形式上的干物，本质上的有爱的女人啊！藤木直人好帅啊~~其实我们每个人在家和在外面肯定都不同啊，不然肯定得累死。那种穿旧运动衫，扎冲天辫，大口喝啤酒，用报纸当被子的日子我们都会觉得很舒服吧，只是把房子弄那么乱那么脏应该不能算干物女的特征吧~~女人嘛，自然点，勤劳点，男人一定会来到的！            
(NA)	 干物女！~···爱情，可遇不可求！或许 离我们很近，或许 离我们很远~~。            
(4星)	 笑到发癫            
(5星)	 07最爱之一不囧大人最高！            
(5星)	 在朋友强烈推荐下看的，深有感触，我也算半个鱼干女吧，嘿嘿！不过希望工作的时候能有部长这样的上司！            
(5星)	 可爱又风趣的部长 傻宫 美好的夏天&amp;和式的家&amp;风铃            
(NA)	 部長.....            
(3星)	 部长比较可爱~             
(4星)	 当个干物女也不错            
(3星)	 不囧～～            
(3星)	 说实话，我不知道怎么说。。。            
(5星)	 生活方式滴选择其实只要自己满意就好……            
(4星)	 hehe干物女！            
(4星)	 干物女大好！            
(NA)	 日本            
(3星)	 风景优美的房子，三从四德的帅哥。。。            
(4星)	 夏日消遣，2.            
(4星)	 其实小萤很努力，当然躺着也能有一帅哥到她家，运气也好得可以            
(5星)	 最喜欢的日本夏天，爱情悄悄地发芽~~            
(4星)	 宅女戲，不過真的很搞笑！遙和籐木直人在榻榻米上的翻滾堪稱經典啊！笑死我啦~ 咔咔咔咔……            
(4星)	 鱼干女            
(5星)	 和井井有条的部长是绝配            
(4星)	 可爱的干物女            
(NA)	 亲爱的部长            
(5星)	 赐我一个部长吧！！！！            
(4星)	 部长！（喜欢藤木的记录日）            
(4星)	 有点儿over啦。不过还是粉美好&gt;&lt;            
(NA)	 喜欢            
(NA)	 一看就知道自己的宅找到了心安理得的理由，那个宅女也可以工作得出色，至少不像电车男一般与人群有所距离。小莹很好，回家喝啤酒和睡走廊也没有碍着谁。不过要有爱情光临，还是需要打扮一下吧？不过最后，那个能真正包容自己，让自己活得最自在的才是可以长久生活的。            
(4星)	 偶是大叔控            
(5星)	 部长部长～～～我要部长            
(5星)	 宅女也会有春天的，干物也会找到自己的爱情！            
(4星)	 不囧！            
(5星)	 爱~            
(3星)	 我果然是鱼干女= =            
(5星)	 哎　最近中毒很深　部長最高(－▽－＃)            
(NA)	  想要做干物女。哪怕拒绝潮湿。            
(3星)	 。。恋爱情节好俗套的            
(NA)	 鱼干女的故事            
(NA)	 听说不错～            
(NA)	 厄。            
(5星)	 一起成为干物女吧            
(5星)	 2007最佳            
(3星)	 只是喜欢直人大叔～不喜欢剧情，总觉得太假            
(4星)	 干物女有什么不可以？            
(4星)	 干物。。。            
(5星)	 　            
(2星)	 剧本苍白是硬伤...            
(3星)	 没看完然后电脑被偷了            
(4星)	 相信干物女也能找到属于自己的王子！！            
(5星)	 再次让人爱上藤木叔叔            
(5星)	 部长人好好啊～            
(NA)	 男2号一定是巨蟹座！            
(5星)	 部長に会ったら、よかったね。好久沒看過那麼開懷的日劇.有些地方很值得思考...跟喜歡的人在一起,就不能把最真的一面顯露出來?那會很辛苦呢.            
(4星)	 噴泉頭幾搞笑，部長超可愛！            
(5星)	 干物女 完全HC藤木直人             
(5星)	 喜欢~喜欢~            
(5星)	 恋爱真是好东西啊～～哦～哦～            
(4星)	 時下的女性戀愛態度和生活方式            
(4星)	 很可爱的一部剧呢            
(4星)	 青春的萌            
(5星)	 轻松搞笑的日剧            
(NA)	 前4集很惊艳后面看不下去了……            
(5星)	 宅女們的寫照            
(3星)	 明白“干物女”是什么意思了            
(3星)	 一直没觉得绫濑遥长得漂亮。            
(5星)	 还能说什么～～部长大人实在是太强了！！！！            
(4星)	 不是每个干物女都可以和这么帅的部囧同居。            
(5星)	 干物女            
(NA)	 喜欢上藤木直人的一部片，好开心~            
(5星)	 坚决摆脱干物女,要做就做80甜潘            
(5星)	 N多人的写照啊            
(4星)	 不错的片子            
(4星)	 看了，很温馨的一部剧            
(NA)	 从没打算什么时候继续看下去.于是就看完了 ~~~~~~~~            
(4星)	 难得的不错            
(4星)	 始终觉得 綾瀨遙 么宅女的气场。。            
(5星)	 看到自己的影子^^            
(5星)	 ホタルノヒカリ / 萤之光 / 干物女            
(4星)	 新欢你好萌            
(5星)	 身边有这样一个人，可以让自己去依靠撒娇，被保护被照顾，是一件很幸福的事吧。部长这样的人，无数女子期待的吧。            
(5星)	 本人很喜欢            
(5星)	 藤木直人最帅啦~~~            
(NA)	 部长真好，小莹真幸福            
(5星)	 干物女和不囧，滋润了我一整个夏天啊！            
(3星)	 没有想象中的好。            
(3星)	 干物女。。            
(3星)	 我没觉得有多好吖……            
(4星)	 此干物女漂亮得不像话，不现实嘛，但还是蛮温馨的            
(5星)	 很喜欢这个结局~部长~部长~部长~            
(5星)	 太爱这部戏了，为了它，记住这个07幸福的夏天。部长在生活中应该不存在吧。。。55555            
(5星)	 真心很好看，两个人真温馨，萤和部长。看了好久终于看完第一部了            
(5星)	 虽然这实在是一个伪干物的故事~但是 藤木实在是太可爱了啊啊啊~~~~~            
(5星)	 超好看啊～～～            
(5星)	 干物女，最后还是能找到爱情滴。还不错的情节。虽然又是漫画改的。            
(NA)	 不够干            
(5星)	 綾瀬はるか演得很好啦～～～            
(NA)	 love in one the way.            
(NA)	 我想要部长一样的男人哈哈            
(4星)	 笑得很欢。最后。太局促。            
(NA)	 部长~~~~            
(NA)	 看了日剧才觉得,干物女只是一种类型的女生一种类型的生活方式而已,只要找到那个合适的人,干物女也可以继续干物女下去.            
(NA)	 夏季最高            
(NA)	 今年夏季的最爱~            
(5星)	 好喜欢部长~~讨厌扭捏的年轻人            
(5星)	 我是干物女~~            
(4星)	 想拥有一个乱七八糟的房间，著住运动衫狂饮啤酒。            
(5星)	 晚上和室友看时笑翻了 那个笑声吓得隔壁宿舍都跑过来看咯 女主角的表情超多             
(NA)	 好看~~~喜欢女主角跟男主角~~~            
(4星)	 干物女也有春天！从天而降一个部长几好呢~            
(5星)	 傻宫太可爱了            
(4星)	 日剧            
(4星)	 为什么日剧总是结局无力啊?!            
(5星)	 刚看过，很喜欢            
(NA)	 萤之光。            
(5星)	 约会.约会...啤酒...啤酒...啤酒..            
(5星)	 不囧啊不囧！藤木大叔也可以这么有魅力！            
(5星)	 萤火虫旳光芒很温暖。            
(4星)	 有的人也许不会觉得有多喜欢，但就是愿意呆在一起。            
(4星)	 部長            
(3星)	 还行。            
(4星)	 同为干物女啊....缺少爱情的滋润乃~~~~            
(3星)	 看完第一集就等着看最后一集            
(5星)	 啊，部长            
(3星)	 越看越无聊了            
(5星)	 当干物女遇上部长...             
(5星)	 我又重看了一遍，不囧我爱你！！！            
(5星)	 超级喜欢^_^            
(4星)	 最近迷上了OL剧，发现看的都是女性为主役，男的都不太出彩，特别是这部，男配很是拘谨。其实人与人相处本就需要磨合阶段，更何况是情侣呢。觉得自己身上很有干物女的影子，要极力改变现状啊~            
(4星)	 大三上学期，很好玩的日剧哟，我喜欢，就是结局太突然了。            
(3星)	 王子只是吻醒你的人…“部长，来和我一起打滚吧”*^^*            
(4星)	 2007夏季            
(4星)	 喜欢的人很喜欢，其实怎样都是生活，不是么？            
(5星)	 07夏天最爱            
(3星)	 哎 最后真是            
(4星)	 還沒看完...不過我意外的發現自己就是那種『干物女』            
(5星)	 我对老男人有兴趣了。..            
(3星)	 没宣传的那么好看            
(5星)	 补：不囧~~~~~            
(4星)	 睡觉也能谈恋爱？？？……            
(5星)	 太口爱了太口爱了~撒娇的样子~85%与我吻合的雨宫太爱了~OH~YEA!小萤和部长在一起拉~            
(5星)	 部长控！            
(5星)	 部長が好き！            
(5星)	 梦想获得的宅女爱情。            
(NA)	 干物女的故事，和我的生活习惯很想欸            
(3星)	 追了7集，后继无力= =等最后一集出来看大结局好了。            
(3星)	 还行吧。最近突显N多伪干物哦。            
(5星)	 温暖的爱情励志片 里面的角色都不讨人厌            
(NA)	 宅女            
(4星)	 我愿意做这样饿鱼干女。从这部剧看出来现在是个鱼干爆发的年代丫            
(4星)	 好鬼好笑架！星期日一口气看完最后３集，真系唔错既一部啊！            
(4星)	 跟唯爱一个主角            
(5星)	 部长大人太帅了!!            
(NA)	 作为鱼干女么什么不好的，率真，努力，勇敢追求，喜欢这样小萤            
(5星)	 不囧！不囧！不囧不囧！TAT！            
(5星)	 8错            
(5星)	 这个夏天最美的光芒            
(5星)	 太好看了!            
(5星)	 啊．老偶像的魅力            
(NA)	 做滋润的鱼干女，也            
(5星)	 从此开始喜欢小遥，虽然是个伪干物，大爱部长~            
(3星)	 结尾一点都不过瘾            
(5星)	 我爱部长~~            
(5星)	 干物女当然喜欢干物女的故事啦            
(5星)	 呵呵～～藤木直人的戏码老练了许多。越看越爱呀～～            
(5星)	 萤之光 太精美 6星******            
(4星)	 不囧 !~            
(5星)	 很喜欢！！            
(3星)	 我觉得我都成了干物女            
(NA)	 简直就是我未来的学习楷模。。            
(4星)	 直人大叔我也爱~~             
(4星)	 今年夏天真热阿~对藤木大叔很大改观 祝福俩人。。还好最后是他们在一起            
(5星)	 可爱的小萤，毒舌的部长，有爱            
(5星)	 好好看的电视剧            
(3星)	 没有爱            
(5星)	 鱼干女，深有同感            
(5星)	 有遥姐，有部长，又是办公室青春剧，又是宅女题材，正中下怀啊~            
(4星)	 那緊緊的一抱……神啊，請賜我一個部長。            
(5星)	 我爱小萤。            
(5星)	 喜欢极了.            
(4星)	 咦 当时看完忘记评分了么╮(╯▽╰)╭            
(4星)	 部长sama真萌            
(5星)	 干物女的幸福生活~~~            
(4星)	 最起码的前提是：绫濑遥是美人啊....脑补什么的还是算了吧            
(5星)	 轻松，温馨，夏天            
(4星)	 干物女的生活，也不乏大道理，小萤和部长终于圆满了，撒花！~            
(5星)	 值得一块看的轻松日剧            
(NA)	 夏天的感觉~            
(5星)	 萌～～不囧太帅了～            
(5星)	 看完发现我是干物男            
(3星)	 部长大叔超有气质的~~            
(4星)	 极度干物女            
(NA)	 好久前看的了。。            
(3星)	None
(3星)	 一直没办法入戏，看了几集就弃了            
(5星)	 看到第7集的时候觉得傻宫实在是太傻了一度弃了此剧，看到部长在仓库里抱傻宫的时候看出了味道，非常好看的剧，都有点想去找第二部来看了，aiko桑的横颜很好听，马上去翻            
(4星)	 不囧不囧不囧~~~！            
(5星)	 藤木直人超级无敌帅！！！            
(5星)	 从头笑到尾~haruka的干物女可萌了~            
(4星)	 第一部还蛮好笑的            
(4星)	 精彩太精彩！！！不囧正是处女座男人中有爱的类型！！！记住：当心情复杂的时候要在地上打滚哦。            
(4星)	 唔，，，准备看2，原本说作为日语作业的，，，1还蛮不错的，但是剧情有点忘记了，，，不太好写观后感，，，不过，，，想推荐给大家看~因为女主是一个干物女，，，也可以说是宅女，，，啊。也有点想起来剧情了，，，，话说、里面的男主，不对，是男二号，看起来原本蛮帅的，可不知道为什么就觉得说不怎            
(4星)	 熟悉感扑面而来啊！！            
(3星)	 大条少女与怪蜀黍……糟蹋我的绫濑遥妹子！            
(NA)	 遥酱&gt;3&lt;            
(5星)	 神啊，请赐给我一个部长吧！              
(4星)	 小清新剧            
(4星)	 鱼干女和大叔            
(3星)	 这么多年后才看到，发现自己也是一个干物女            
(5星)	 最喜欢的日剧之一            
(3星)	 大叔还行 女的不行 我在家基本就那样吧            
(5星)	 受害最深的一定是藤木直人，因为现在无论在哪部剧里条件反射就是：啊，补鸠~~~            
(5星)	 很轻快的一部戏，第一次看到藤木大叔这么可爱的一面，干物女很有共鸣啊~部囧和傻宫的幸福爱情故事。            
(4星)	 作为叔控，毫不犹豫            
(4星)	 赐我一个不囧吧！！！            
(5星)	 喜欢绫濑遥~            
(4星)	 部长赛高，四颗星全部给部长，听部长傲娇地吐槽是人生一大享受，听部长的命令体是另一大享受，一颗星扣给部长这样的极品完美男人是人间没有的啊！！大奶遥一向不太待见，长得有点媚俗肤浅。加藤和树原先在网王表现蛮好的嘛，怎么这部戏从头到尾面瘫，想不通            
(5星)	 鱼干女与老大叔的生活。很久没看过这么轻松搞笑的爱情故事了，强烈推荐。雨宫萤与野田妹的脏乱情况有一拼，不过迷糊程度上更胜一筹            
(4星)	None
(3星)	 好缓慢，好缓慢            
(5星)	 更喜欢第一部吧            
(3星)	 这是韩剧么！？            
(5星)	 开启干物女的新现象~藤木虽然年纪不小，但是魅力依然~            
(5星)	 干净。。简单。。那一年我们共同拥有一个美丽的盛夏夜晚。。如果可以，做一个干物女真好。。。            
(5星)	 本来觉得这样的剧肯定看不下去 却意外地发现很不错 虽然是爱情型 但丝毫不让我觉得无聊            
(5星)	 部长~~~~~~~~~~~~~~~~！！！            
(4星)	 两个人在一起是不能只靠努力的，傻宫。「绫濑遥第一部」            
(4星)	 1还不错啦，藤木直人终于没有《女人40》里那种黏糊糊的感觉，这部戏里表现绝对可圈可点。可是，这么好一个男人，为什么喜欢女主了？神一般的男主……所以是漫画么……            
(5星)	 比较清新的日剧，看完了以后不知为何开始喜欢朝日的小啤酒了……            
(4星)	 萌爆了            
(5星)	None
(5星)	 恋がしたい！            
(5星)	 轻松.搞笑.好爱小莹,好爱部长.一个萝卜一个坑.小莹和部长天作之和,正如李大仁和陈又青也是天作之合是一个道理.女人需要的无非是爱与安全感.部长和大仁那样的男人都能给女人这两样东西。于是,遇上他们的女人无疑成就了世界上最叫人称羡的幸福。            
(5星)	 日剧就没有不励志的            
(NA)	 部长 部长 ~            
(4星)	 干物女的春天~ 小萤太萌了~            
(4星)	 请赐我一个部长啊~~小萤虽然不拘小节，但是对待工作的态度还是很值得称赞啊~            
(4星)	 看完了，大半夜的哭的稀里哗啦的。我喜欢第一部里的部长，有血有肉有表情，第二部里像得了面瘫，对什么都没反应。但是第一部里的小男生像得了面瘫，一脸苦相早该PASS了，竟然存活到了最后一集的最后10分钟，看的我揪心死了……大好的周末晚上赖在家里看这样的片子也不愿意出去，我才是不折不扣的干物女            
(5星)	 这部戏就是萤手中夏日的啤酒，宅人必备。            
(5星)	 赐我个部长吧。。。            
(4星)	 绫濑遥演干物女很搞笑啊~            
(5星)	 最喜欢的一类剧。            
(5星)	 虽然不切实际，但是真心很可爱啊！！部长增帅~            
(4星)	 第一部勉强看得下去            
(NA)	 这样的爱情，够生活够美            
(5星)	 干物女，泪奔~~！            
(5星)	 故事虽然俗套，却让我欲罢不能。            
(NA)	 不囧！            
(4星)	None
(5星)	 本来觉得不好看的，可是看了一两集就喜欢了。            
(4星)	 太舒服的片子。。没有太复杂的人物费脑，喜欢一个人也是一点一滴的心情变化。然后不囧（部长）除了有点毒舌外也是人人幻想有之的，不求大仁哥可以换求不囧啊，还帮你追男人。。。。不过看的有点反季节            
(4星)	 看了很有共鸣，心理描写很细腻，也符合当下时代的特征，只是“部长”这个角色实在是太完美太不现实了，特别是听着小萤一遍遍叫着“部长——部长”撒娇的时候，真是羡慕嫉妒恨到极点了呀。            
(4星)	 有几个不是鱼干女呢            
(4星)	 部长是你爹吧 哈哈哈 和树有点僵啊  放不开            
(4星)	 也有点看不下去……            
(NA)	 &gt;~&lt;如此不切实际却还是把人萌的一塌糊涂死去活来            
(4星)	 觉得看漫画比较快所以转战漫画了噗~感觉很好的一部电视剧，虽然有的情节实在很梦幻很言情，不过鱼干也会喜欢上人，鱼干也会想要恋爱这句话真的打动了我。就算是再怎么粗枝大叶的姑娘她本质上也还是个姑娘啊！以后一定要找一个能让我在他面前毫不顾忌地表现出最自然最舒服状态的人呐~我看少艾就不错噗！            
(5星)	None
(4星)	 并不是特别实际            
(5星)	 我也是干物女啊，我也想要一个“不囧”啊~            
(4星)	 前6集看的我各种吐血！绫濑遥的成熟知性气质其实一点都不适合傻宫，但是演的真好啊！            
(4星)	 完全是为了看呆才去看的...其实我一直以为傻宫即使不和呆在一起也会和部长在一起类...            
(5星)	 好像每次寒假突击看完一部剧都会有种 精神上某个层面走不出那部剧的设定的感觉【什么鬼东西 就像两年前的LF……至今仍然是最爱的日剧没有之一。不过萤之光我应该不会看第二遍，第二部暂时也不打算看了…… 感觉停留在那样的开放式结尾挺好的。            
(5星)	 haluka酱^3^            
(5星)	 干物女的苦恼~            
(5星)	 怎么说呢，宅都能宅出这么好的爱情关系，羡煞多少旁人啊~~            
(4星)	 部长~~            
(5星)	 小萤~            
(4星)	 怎么可能！            
(4星)	 干物女 嘿嘿 和我挺像的~            
(5星)	 这样的清新超适合夏天            
(5星)	 不jiong不jiong！！！我爱你！！            
(5星)	 看开头以为会看不下去呢,后来才发现是个可以让人傻笑着看下去的剧,不狗血不虐心            
(4星)	 赐给我一个部长吧！！！赐给我一个有走廊、有庭院、能躺着喝酒赏月的日式小平房吧！！！            
(4星)	None
(5星)	 哈哈哈哈   赐我一个雨宫高端萌宠吧。。。            
(5星)	 卟湫！卟湫！            
(5星)	 这部开始，无比爱遥            
(NA)	 现在看到第九集，太萌了，部长。            
(4星)	 3.5/5 不温不火的 大叔果然是耐看的男性品种 单一的搞笑看到后面也没意思了            
(5星)	 太适合夏天了            
(5星)	 看着很欢乐^^            
(5星)	 要和hotaru握个手。。= =可惜我没有后廊和部长~            
(4星)	 干物女的生活引起共鸣呀~            
(5星)	 宅女共鸣片。部长那样的人，天上有人间无。好看得恰到好处，气质得恰到好处，优雅得恰到好处，细腻得恰到好处，失意得恰到好处，闷骚得恰到好处，包容得恰到好处，理性得恰到好处，克制得恰到好处，任性得恰到好处，自负得恰到好处，可爱得恰到好处，深情得恰到好处。            
(NA)	 找一个让自己觉得自由自在的人，比一个人还要自由自在，哈哈            
(4星)	 笑死我了 哈哈哈            
(5星)	 有爱的部长，有爱的小遥！！！            
(4星)	 其实也还好啦……一直在等部长卖萌……结果看到你妹的第八集快要大结局了才来开始真正卖萌……犯规了吧？！！！！！！            
(4星)	 也请赐我一个部长吧！！TUT            
(4星)	 特别喜欢那个后廊            
(4星)	 挺轻松好玩的日剧            
(5星)	 第二部还是留在以后看吧            
(4星)	 真心觉得男2很丑            
(4星)	 有趣的干物女            
(5星)	 一口气全部看完。。真的好过搞笑            
(4星)	 啊~成熟的男人简直是必杀死啊~部长部长部长~            
(5星)	 很真實的一個人            
(5星)	 王子很帅，叔叔最高！            
(5星)	 夏日好时光            
(4星)	 傻傻的，有人在乎明白自己所想            
(5星)	 哈哈笑死了，绫濑遥太搞笑了            
(5星)	 很可爱。            
(4星)	 剧情还好啦。但总觉得傻宫这种在外闪光在家腐烂的分裂方式不大自然。            
(4星)	None
(5星)	 宅女也能配王子            
(3星)	 啊，发现我也是干物女啊= =|||            
(5星)	 我就是喜欢=W=            
(NA)	 很有同感 干物女             
(NA)	 不囧 莫非我也是干物女            
(3星)	 对绫濑无感。。藤木大叔还是不错的。。。            
(5星)	 大叔!部长!不囧~~~~~~~~~~~            
(4星)	 果然还是喜欢部长啊。。。而且在家里穿运动装难道不是一件很正常的事情么！！！            
(5星)	 夏天一副傻宫打扮在宿舍看这剧还真应景            
(3星)	 雨宫嚟类屋企宅颓懒~~然后上班超认真嘅角色好点~~~部长不苟言笑好男人，男二号最令我抓狂，明明已经去过伦敦进修啦~点可以甘不懂人情世故呢！~~一开始我会估系花心靓仔，点知最后居然系--一个目无表情嘅家伙~~~            
(NA)	 和谐快乐温暖的片子. 无意中再次翻看来看,越来越能感受那种温暖.            
(3星)	 追了几集追不下去了，不是我喜欢的类型            
(5星)	 。。。没坚持看完            
(5星)	 绫濑遥长得真美、            
(5星)	 绫濑遥和藤木大叔太美好了！            
(5星)	 大叔美……            
(5星)	 喜欢这样的生活方式，和高木直子的绘本一样，温暖，一样喜欢。            
(NA)	 我一直觉得这是部长的巅峰啊···难道不是么···            
(NA)	 干物女 ！！            
(3星)	 綾瀨遙真是什麽角色都能演啊            
(5星)	 貌似是前年看的，各种花痴，各种感同身受，大叔梦宅女萌啊。。            
(4星)	 部长这样的好大叔永远生活在剧里~            
(5星)	 不太喜欢傻宫，怎么那么健忘啊！不过请赐我一个部长吧！            
(3星)	 这种剧的关键是共鸣，缺少同感当然就显得平凡了            
(4星)	 最适合夏天的剧。            
(4星)	 部長のこと、大好きです。素適な。。            
(3星)	 出发点不错啊~两个人的长廊~~            
(4星)	 反正蛮萌的            
(NA)	 部长也卖萌            
(4星)	 干物女。            
(5星)	 不囧好可爱，插科打诨的甜蜜爱情            
(NA)	 大爱大爱大爱！！            
(5星)	 我也想遇到不囧            
(5星)	 温暖。不囧好帅啊~~            
(3星)	 其实部长是广大宅女的理想闺蜜            
(5星)	 第一次看得时候看到一半没有看下去，重新开始再看，发现爱情真得有很多模样，一个人也可以喜欢很多人~~            
(NA)	 部长TAT            
(4星)	 毒舌部长好萌哟！！！！！！！！！！            
(5星)	 二木貌似也喜欢部长啊 哈哈哈            
(4星)	 日式浪漫满屋            
(4星)	 故事还是有启发性的，但是，确实不喜欢男二。而且女主总有点撕心裂肺的时候，偏偏我看这剧的时候已经过了可以接受撕心裂肺的年级。不过演女主小时候的那个小萝莉还是超赞的，超喜欢她~~            
(4星)	None
(4星)	 还行吧！！！            
(3星)	 干物女——刚接触这个名词的时候觉得很新鲜啊。房间可以乱到这个程度我真是佩服到了！不过，小萤工作起来穿着得体、干净干练，一副精神满满的样子好鼓舞人心啊！工作之余的放松是必要的充电哟。看这部日剧的日子里我都觉得上班神采奕奕啊，像注入了新活力一般！部长成熟男人的魅力还是蛮诱人的哈。            
(NA)	 部囧~~~            
(5星)	 剧情很好笑，很喜欢绫濑遥            
(4星)	 比较喜欢里面那个帅哥 ..            
(5星)	 好有爱啊             
(5星)	 笑到不行&gt; &lt;            
(5星)	 要输每个干物女都有一个懂她的部长就好了……哭……            
(4星)	 学日语用吧~            
(5星)	 神剧   藤木直人最好的剧.            
(5星)	 有帅哥啊~可是我还是喜欢小诚…            
(5星)	 不囧~~~~~            
(5星)	 最爱的一部日剧之一 超爱干物女~~~~！！！！超爱这样的性格~~~~            
(4星)	 很傻逼很韩国            
(5星)	 不囧！阿轰米啊！~            
(5星)	 两个阿嚯同居轶事。            
(4星)	 还是绫濑遥   喜欢!            
(4星)	 好吧，我承认我是从中间开始看的。三个小时看完。嗯，差不多几个月没看日剧鸟。。。            
(4星)	 部长~~~~搞笑死了            
(4星)	 干物女就是我的未来好吗= =死宅QAQ            
(3星)	 鱼干女- -。太离谱了。部长不错            
(4星)	 被藤木直人大叔深深SHOCK到。理想型啊~            
(NA)	 大叔挺可爱            
(NA)	 很轻松的，挺好。好久没有这么迷一部电视剧啦。啊呀我真是自相矛盾呢哈哈哈哈。            
(5星)	 部長！部長！部長！            
(4星)	 干物女的春天！部长会给买啤酒，部长会给做饭，部长会陪你聊天，部长是最了解你的人！女主在快剧终的时候终于醒悟过来，能在一起生活才是好的恋爱，你尽心取悦的人永远不会比了解你的人更适合。作为和莹一样在家运动服+冲天辫+啤酒+脏乱差的半死宅女，我要变心求部长！李大仁太梦幻了，当个10086就好…            
(5星)	 遇到一个可以让你感觉自由的人会比你以前更自由。不囧sama。。。完美了好么            
(5星)	 宅女写真啊~~            
(NA)	 早前看过小说，现在看了第一话，还是原著好，不过绫濑遥真心萌~=20111226=            
(5星)	 喜欢绫濑遥~            
(3星)	 一般宅，除了房子比较符合宅女之外我觉得剧情什么的和女主角的表现什么的都不够宅，这是想装作很宅的样子            
(5星)	 部长好萌！            
(4星)	 为了藤木直人多加一颗星            
(4星)	 这个时候的绫濑遥真是美呆了。            
(NA)	 必须地说，我实在不喜欢綾瀬遙            
(4星)	 日本人都很喜欢说“诶”。大叔说起来很萌很萌哦~最喜欢部长了~雨宫长的有点像新桓结衣，但比新桓风尘，估计是眉毛太细了得缘故。            
(5星)	 赞！            
(5星)	 总觉得自己很有干物女的倾向，可惜我没有小莹能干 ╮(╯▽╰)╭            
(4星)	 经典之作。夏日的啤酒，好有同感的现状。只是没有里面的部长~T.T            
(5星)	 部长~！！！绝佳            
(4星)	 很喜欢。。。跟我们大部分人都一样吧。。。不管在外面多么光彩在家里始终都是一副很乱很邋遢很随意的样子。            
(3星)	 其实我也看了两集            
(5星)	 部长最帅了。当然加藤和树也不错啊。。。最重要的是绫濑遥演得太好了。其实我真觉得我就是干物女了。            
(4星)	 看到第二回，果然每次暗恋都是增加一种技能啊。今天看完：喜欢和你在一起，只是因为你是你，真实自然的你。部长这样的男人，如父如兄如师如友。我也真想要一个郁郁葱葱，白天能懒懒地晒太阳，晚上能乘着小风乘乘凉的后廊啊            
(4星)	 还不错看哦~~ 话说部长..其实很鸡婆的说~~ 不过真的很好嘛            
(3星)	 太纯爱的剧不适合我 每个女生都渴望一个藤木直人那样的部长吧...            
(5星)	 部囧和傻宫的爱情物语～            
(4星)	 看到第二部的时候觉得綾瀨遙其实是妖艳派的的吧她的脸感觉和主角的个性不搭呢···在走廊上可以自由翻滚的日子实在是太美妙了~            
(5星)	 部長。小遙。高中時真的很愛內...。            
(4星)	 呀巴里……很中意守护心爱女人的爱情的男人            
(5星)	 赐我个部长吧！！！！！            
(4星)	 干物女也有令人艳羡的春天。。。            
(4星)	 绫濑遥还是演这种天然角色更本气=w=            
(4星)	 男主女主十分养眼啊～            
(4星)	 请再萌一点，谢谢。            
(4星)	None
(4星)	 哈哈，喜欢日本的小清新，看了让人觉得很轻松            
(4星)	None
(5星)	 我是干物女！            
(5星)	 经典，搞笑的日剧，不错            
(4星)	 成熟男性X干物女 最后还是顺利走到一起啊哈哈，无论走过多少弯路真心喜欢的两个人最后还是会走到一起的吧~哎呀真是太乐观了XD            
(5星)	None
(5星)	 啊啊啊啊啊啊啊啊啊啊~不囧真是苏shi个人啊！！！小遥也好可爱啊~干物女深有体会啊Orz            
(4星)	 干物女典型            
(4星)	 11-143.其实也不是那么好看            
(4星)	None
(4星)	 部长&gt;3&lt; 真好啊，那个房子那个长廊            
(5星)	 大爱~绫濑遥在里面好可爱，剧情也很好，推荐！            
(4星)	 傻宫太可爱了            
(4星)	 完全是奔向藤木直人去看的。哈。            
(4星)	 不囧！！！            
(5星)	 阿活米亚最喜欢了             
(NA)	 綾瀨遙 好可爱            
(5星)	 部长！！！            
(4星)	 赐我一个部长。。。。            
(5星)	 喜欢部长啊...            
