http://movie.douban.com/subject/2119420/	我和僵尸有个约会3 我和殭屍有個約會III 之永恆國度
(5星)	 马小玲，我最爱的马小玲。            
(3星)	 为什么这些人这么命背啊。            
(5星)	 经典剧啊！            
(4星)	 亚洲台经典.            
(4星)	 我觉得这部比第一部的剧情好看多了。而且有了箭头才知道原来小况太让我爱了~~~            
(5星)	 算是亚视最好看的连续剧系列了吧。            
(5星)	 超喜欢这个系列，虽然故事情节挺XXX的但就是喜欢看，喜欢里面的每个人，最喜欢的还是我的不破啦，哦哈哈            
(4星)	 瑕不掩瑜，虽然在棋手眼里你们不过是棋子，你们却是有自己故事的            
(5星)	 相信就会有奇迹！            
(3星)	 像所有续集的水平一样，三部里面最难看的就是这部了，不过那个嫦娥是真漂亮啊。            
(5星)	 继续热爱传说            
(5星)	 一样    亚视唯一可以体既电视剧            
(5星)	 永远的马小玲            
(NA)	 美腿。。。            
(4星)	 我老婆翻来覆去的看，看到我想吐            
(3星)	 怎么那海报那么像哈利波特。。。剧情不怎么样，太有想象力了，反而没有吸引力            
(4星)	 很明显，可以拍得更加好，而且是好很多            
(NA)	 不如前两部好看，可以不看了省得失望。            
(3星)	 不行。。。            
(4星)	 英俊的复生啊            
(NA)	 fdgdg            
(4星)	 很早以前看过，看完之后，发现尹天照老的吓人，万绮雯还是那么漂亮，喜欢她这种类型的长相。最爱的还是陈启泰啊。            
(4星)	 不记得了..            
(4星)	 很多人说这部不好 我觉还行啊            
(5星)	 我永远爱你《我和僵尸有个约会》            
(NA)	 汗……越来越离谱了……            
(NA)	 爱死了            
(5星)	 好            
(3星)	 有损前两部的威名啊！万姐姐和尹大哥都不在状态！            
(3星)	 好明顯無1，2咁好睇            
(5星)	 这是穿越悲剧的终结.每个人心中亦有自己的永恒国度            
(4星)	 想当年极其喜欢看的僵尸剧III            
(3星)	 第三部开始傻逼了            
(5星)	 最愛的片子            
(5星)	 大爱啊～            
(5星)	 可惜万绮雯受伤了，不然按原来的剧本拍应该会更精彩，结局很内涵            
(3星)	 比较喜欢第一部~~            
(3星)	 阿达……            
(3星)	 电视剧也有。。。            
(NA)	 虽然很多僵迷不喜欢第三部,但是我只想说,陈十三太有才了.....听说三的剧本是陈十三一个人完成的,只有一个人参与的剧本总是会有缺陷的,何况因为老婆大人受伤不得不中途大改。            
(NA)	 喜欢万绮雯            
(5星)	 最爱这部，天佑和小玲，一定会幸福～            
(5星)	 喜欢            
(3星)	 不如前面两作。内容很少却拖的那么长。            
(5星)	 僵尸最强大的力量是爱            
(3星)	 鸡肋，不太好看但又舍不得扔掉不看            
(3星)	 第三部没一，二好看            
(NA)	 陈十三算你狠！            
(5星)	 其实本来给的是四颗星 最后还是冲着马小玲改成了五颗星             
(3星)	 只喜欢完颜不破，至于情节…有秦岚的那部分还不错，剩下的就不说啥了= =|||            
(3星)	 冲着几个演员给了三星，从来都没把3当僵尸系列，分明这是人王圣母番外篇            
(NA)	 我的永恒国度呢            
(3星)	 这是上小学时，从凤凰台看到的，印象完全模糊了，只记得几位主演的名字，至于完整的内容，呃……            
(3星)	 不知道怎么地就看了这个系列名字有点。。。但就其本身来说还是不错地            
(5星)	 26            
(4星)	 终于看完了，速度很慢很慢，话说，好像第二部会好看点            
(4星)	 终于看完了~哈哈，我还是喜欢马小玲嚣张的样子~            
(4星)	 ATV             
(NA)	 开始没落了。。。。            
(NA)	 大一的回忆啦，那时候无聊的太超过，，，，，，，            
(NA)	 性感的雯雯            
(4星)	 不如2，觉得像块零头大花布拼拼凑凑。            
(4星)	 高中最爱。其实不如前两部。            
(5星)	 最喜欢的一部连续剧            
(NA)	 喜欢小玲`喜欢天佑`喜欢天涯            
(3星)	 最爱的电视连续剧！            
(4星)	 乱离怪神，但还是蛮好看的。            
(4星)	 值得一看            
