http://movie.douban.com/subject/2389554/	天若有情
(4星)	 因为董洁所以喜欢            
(4星)	 我是多么希望展颜和季冬阳在一起啊            
(NA)	 想起高中那会了。。。            
(4星)	 小时候看的。忘了从什么时候开始，但那时候就已经喜欢年长的男人~hoho~            
(2星)	 在我心里这就是个变态剧来着            
(5星)	 非常喜欢            
(3星)	 一直在看车仁表的口型····            
(4星)	 最后一个星星给车仁表            
(4星)	 展顏            
(3星)	 展颜            
(4星)	 这个编剧老是这个调调，看一部两部还行，多了就矫情了喜欢里面的歌曲            
(3星)	 那个时候 被雷到了            
(NA)	 其实吧 还不错.................            
(3星)	 有点受不了这情节            
(5星)	 我最喜欢的三部电视剧之一 真的真的喜欢 尤其是前半部分 自私自利也好 无视外界也罢 很多细节 很多台词都值得推敲是第一部也是唯一一部因为一小段台词而被吸引的影视作品            
(4星)	 为什么男主不能果断和女主在一起呢？我就是想不明白啊            
(NA)	 单纯到只有爱            
(4星)	 祝我幸福。            
(4星)	 车仁表的鞋拔子脸还挺有范儿            
(3星)	 整部片子就是对董洁演的角色印象挺深...            
(4星)	 我喜欢勇敢，执着的爱情。            
(3星)	 当时觉得车仁表挺帅的            
(5星)	 人家就是喜欢大叔            
(5星)	 不应该发生的爱情...发生了~            
(5星)	 有味道            
(5星)	 爱情，是一种遇见。你爱她，全世界都知道，可正是因为爱，才要放手。我一点也不期待天三，因为我心里已经有了答案。不管这过程有多少迷惑，你的心里也只会为她升起太阳。            
(4星)	 我等他 等到死            
(3星)	 只记得超级超级狗血喜欢那个女心理医生            
(4星)	 董洁很清纯。第一部里的小凡不错。            
(4星)	 蛮喜欢看的            
(NA)	 这是我最爱的电视剧。            
(3星)	 当时和雪琪那个迷呀，哎少不更事            
(5星)	 我最爱的一部爱情剧~！            
(4星)	 董洁演安心 医院偷牛奶            
(4星)	 光凭展颜喜欢看动画片就断定这个女孩心理有问题，难怪李伟凡最后自己都精神不正常了，这种心理医生就是一砖家！            
(3星)	 很久以前了            
(3星)	 剧情好纠结纠结~~！！！！            
(5星)	 能让我喜欢的国产连续剧不是很多，尤其是言情类，但此部作品我无法抗拒，仅限第一部。            
(4星)	 这部电视剧超有爱。。。我觉得我很喜欢那种折磨人的爱情剧，就是那种男的女的彼此相爱又无法在一起的痛苦，我看的特别纠结。            
(5星)	 找个机会看看全            
(4星)	 董洁真漂亮            
(4星)	 李玮凡，我希望是另一个你            
(5星)	 很早以前的电视剧，却终不能忘记            
(5星)	 第二部明显比第一部要差很多，喜欢第一部。            
(5星)	 最最喜欢的一部电视剧 董洁就是个天使            
(2星)	 都什么乱七八糟的            
(3星)	 这是什么感情呢？            
(5星)	 还不错            
(5星)	 是看里面有董洁才看的，你面的心理医生讨厌她，特别是第二部里面，真是有病啊            
(4星)	 复杂得要命的虐人剧~最后貌似结局还不好。。。            
(4星)	 其实当时我钟情男猪脚！            
(4星)	 几年前追的剧，董洁很美~“这世上只有一个叫展颜的女人，会希望一睁开眼睛，岁月就过了十五年。因为她爱你，爱到愿意用青春去做交换。”这台词很煽情。            
(2星)	 其实片子本身还不错啦，ButBut这个韩国编剧，内有没有付亦舒版权费啊，完全是圆舞的翻版啊。推荐同屋的姑娘看《圆舞》的时候想起来看过这个。            
(4星)	 爱是一件很干脆也很勇敢的事情 无关其他            
(5星)	 很早的一部电视剧、我一直没有看到过结局。            
(NA)	 恶心            
(5星)	 我喜欢董洁的病态。            
(4星)	 大叔爱萝莉,我却很喜欢这个爱情故事.            
(NA)	 突然想到这部电视剧了，喜欢里面的王琪，真实，勇敢..            
(4星)	 看过好多遍不敢再重温,怕自己的心被偷走,20几岁的差距究竟在哪里?一个正常人可以有多正常?            
(4星)	 当年看的时候就在想怎么可以有一个男的对女的那么好！！！            
(3星)	 看这部剧是几年前的事情了，因为它，我关注了心理咨询师这个职业，其实我们每个人都应该是自己和朋友的心理咨询师，只要你努力用善良温暖他（她），那么上帝会保佑我们。冰冷的世界真的需要我们的微笑与友好。在我们的圈子里，有一个人难过，这种悲伤的气氛或多或少会蔓延开来。。。            
(3星)	 虽然有PC但是我表示父女CP很萌~            
(NA)	 算是看完了·这个真好看·是个中文片·有首歌 还记得么 叫天若有情            
(4星)	 是过客就是过客,等待注定无人关注.对别人说,对自己说            
(5星)	 丝丝入骨，淋淋尽致            
(4星)	 虽然知道不可能，但在内心深处一直替展颜期待着，期待着季冬阳最后能爱上她，王琪最后死的真的很让我哀伤            
(NA)	 君生我未生，我生君亦老~~            
(3星)	 记不得了。。反正我姐看疯了            
(5星)	 一直放不下的片子，喜欢它的全部，即使是东阳的放弃。虽然纠结了一段时间后半部，但还是大爱。            
(5星)	 我喜欢这情节，还有情结            
(5星)	 喜欢季东阳            
(4星)	 很可惜的爱情            
(5星)	 我认可这对畸形的感情。            
(4星)	 男人当如季东阳，悲情人生自己扛。            
(4星)	 一展笑颜为东阳。            
(5星)	 看了五遍，卧槽。            
(4星)	 喜欢董洁啊 展颜这名字好听啊            
(3星)	 不知道为什么，这部片子的风格有点怪怪的，还有台词也是。过于煽情？说不出的做作，虽然一直想表达真诚            
(NA)	 看的蛮莫名其妙的一部。。            
(4星)	 看著你背影迷糊 你的微笑早已失去了溫度             
(5星)	 原来看的 很喜欢 不知道现在还会不会有同样的想法            
(5星)	 里面每个人都很惨。            
(3星)	 国际大联合永远都难看，不能打破这个囧局吗？车仁表，曾经很喜欢的演员~            
(5星)	 就是从这个时候开始 我爱心理学的            
(5星)	 最喜欢的一部电视剧了，在彷徨的青春期看的眼泪嗒嗒滴。。。            
(4星)	 董洁美死了            
(4星)	 展颜            
(4星)	 好像亦舒的《圆舞》。太悲伤。            
(3星)	 董洁~董洁~~清纯啊。            
(NA)	 是真不喜欢女主……            
(5星)	 狂爱董洁。            
(4星)	 学心理太可怕了。            
(5星)	 谁爱谁、就欠谁、每个人都是另一个人的债...            
(5星)	 第一部超好看，小凡~第二部砸了。。。。            
(2星)	 乱伦……而且我真不喜欢车仁表那张脸            
(5星)	 每一个人，都因为爱而染病，包括心理医生。但有人爱的纯粹，有人爱的自我。喜爱剧中每一个角色，因为体味得到其中的真实。我想这是一个真挚的故事，值得一看再看，体会那稍显隐晦的对白。            
(4星)	 开始的情节很吸引人  歌也不错..            
(5星)	 朋友，是一种遇见。2个气息相同的人才能成为朋友，气息不同的人在一起相处再久也成不了朋友。爱情，也是一种遇见。在对的时间遇见对的人。爱情，是世界上最难的遇见……            
(5星)	 太虐了...            
(5星)	 喜欢颜颜，喜欢季展恋，看得心痛不已，很喜欢它的台词            
(3星)	 话说结局好像忘了            
(NA)	 董洁大光明扎马尾真好看            
(NA)	 我迷死董洁演得展颜了，太有个性，太漂亮了            
(4星)	 看的时候很感动。现在忘得差不多了。不过还是很有爱的一部片子～            
(NA)	 骨头很带感，血管没通好            
(5星)	 喜欢,心疼剧中展颜和李伟凡            
(4星)	 因为这个迷过车仁表捏            
(4星)	 男猪太丑~            
(4星)	 当年那个迷啊……转眼展颜都做妈了……真是……            
(NA)	 还行，70            
(4星)	 很喜欢  赔偿  这首歌~            
(5星)	 超喜欢！！！            
(4星)	 我只能说，我喜欢小女孩和叔叔这样任性简单的感情...            
(4星)	 董洁那时候好年轻啊！            
(3星)	 关系挺乱套            
(NA)	 第一部很经典。            
(4星)	 给董洁的4星感情分。            
(3星)	 喜欢纯洁的董洁            
(2星)	 我就没看明白过在演什么            
(3星)	 哦季东阳~~有时候我是叔控= =            
(5星)	 下不到了 纠结            
(3星)	 车仁表。。。。唉。。。。。就不说啥了            
(5星)	 最喜欢的电视剧            
(4星)	 有些台词很不错            
(3星)	 不伦之恋，后续发展不太喜欢。            
(4星)	 纠结~~            
(3星)	 前段时间宿友还怀旧此句 只看过1 太过纠结的剧情            
(NA)	 3.5            
(5星)	 结局无法接受啊》《  我就是萌大叔和loli之恋嘛。。。            
(1星)	 最莫名其妙的一部电视剧了!            
(3星)	 讨厌棒子            
(3星)	 除了董洁我想大概谁演展颜都让人讨厌            
(NA)	 呃，好喜欢这种感情，是因为缺少安全感么？            
(2星)	 就讨厌什么中日韩合作 不伦不类            
(NA)	 喜欢董洁嘛            
(NA)	 六月好漂亮            
(3星)	 简直了，就算乱搞啊            
(3星)	 大叔爱LOLI            
(4星)	 非常喜欢小凡            
(2星)	 我表示看不懂。            
(NA)	 好遥远的记忆了~~印象中。。很单纯巨简单的个孩子努力地爱着寻找着孤独着...            
(4星)	 话说···车童鞋在里面看着还好···为啥一出来，就那么····美女真不少            
(NA)	 我想請問 如果我想看這部電視劇 要怎麼看?            
(4星)	 以前看的时候超喜欢那个季东阳            
(5星)	 = =。超好看的。            
(4星)	 记得当年我妈喜欢表哥来着。。            
(4星)	 喜欢那种感情。            
(3星)	 展颜执拗，也清醒。一些几米式的台词            
(4星)	 病态的爱恋，复杂的关系，矛盾的心态。            
(5星)	 那个时候看疯掉            
(5星)	 喜欢董洁，不喜欢李玮凡            
(5星)	 这个几角恋还真是数不清了            
(4星)	 我很喜欢 ~             
(4星)	 其实我想让小凡跟男主在一起            
(4星)	 目前所知道的明星里，展颜也只有董洁可以演了            
(3星)	 纵然有情结, 还是感觉做作了点...            
(5星)	 应该是看过，但是男主角在韩国娱乐圈子里面婚姻和爱情算是典范人物啦！            
(4星)	 其实车仁表蛮挫的~            
(5星)	 十七年来最让我刻骨铭心的一部剧。            
(4星)	 董洁在里面很漂亮，不过这部电视剧破坏了我曾经对车仁表的印象。            
(3星)	 很喜欢那个心理医生            
(5星)	 想不明白也说不明白的感情纠葛。为什么一定要遵守既定的伦理纲常。如果季东阳没有那么多的顾忌，他与展颜的爱将多么童话。            
(4星)	 展颜。            
(5星)	 没有理由的喜欢剧中的每一个人物!最喜欢的一部国产剧!            
(3星)	 超喜欢董洁的展颜，觉得这个名字就美暴了~不过感觉是一部很畸形的剧，对这种纠结的感情纠葛，越长大越没兴趣~            
(4星)	 不喜欢展颜，喜欢李玮凡。方以安有够讨厌的，演员也不好看，这种男的真想不通小凡还喜欢他干嘛，要是跟季东阳在一起也是很好的。喜欢王琪，也喜欢大山，都是很好很好的人。            
(4星)	 纯为男主萌了            
(5星)	 我们只是在慌乱中抓住了对方的手             
(5星)	 曾经的大爱，喜欢六月            
(4星)	 有爱的情节，不爽的结局~            
(NA)	 经典 最喜欢看的电视剧            
(NA)	 最爱最爱            
(3星)	 他们的特殊关系，总是让爱远离，勇敢的跨出那一步，什么时候才可以~~            
(NA)	 迷恋董洁。            
(4星)	 曾经狗血的让我欲罢不能啊= =            
(4星)	 他说小凡，我们一定可以。我天真地以为她终于可以得到幸福。原来只是在慌乱中抓住了对方的手。            
(NA)	 从这个片 喜欢上董洁 很喜欢很喜欢 大概翻日记本出来 会记得当时对这电视剧的评价            
(5星)	 我们，一定，可以。            
(NA)	 好喜欢董洁和车仁表            
(3星)	 我爸的菜= =            
(5星)	 季冬阳爱展颜吗。。。            
(4星)	 当时我是如此地爱小凡            
(3星)	 其实我最喜欢小凡            
(3星)	 不知道我心理是不是有问题。我居然很喜欢展颜和季东阳之间的感情。            
(3星)	 搞不懂 到底是谁喜欢谁啊！            
(4星)	 忘年啊            
(5星)	 大爱            
(4星)	 看美女,和,呃,大叔?            
(3星)	 老去的车仁表~            
(5星)	 2005.    纠结的不能行的一部。            
(4星)	 董洁很美，车仁表很变态，他对每个女的爱都带着同情的意味            
(5星)	 六月～～～            
(4星)	 给王琪。            
(4星)	 心动，心痛，沉迷，纠结            
(5星)	 独爱董洁~~            
(3星)	 都奇奇怪怪的 有病的一群人。“你從不曾把我放在心上 你從不在意是非我所想”            
(3星)	 好喜欢的说，我喜欢老男人。。。            
(4星)	 tv            
(4星)	 畸形之爱~~            
(5星)	 我心中的忘年恋啊！！！！            
(5星)	 他们彼此相互依存、却又无法在一起。同根生长的树枝，无法在风中相依。            
(4星)	 爱情是这世界上最迷人的花环            
(4星)	 季冬阳对小凡说：我们一定可以            
(NA)	 我什么都不想说了。。。            
(2星)	 眼子中韩合拍剧            
(5星)	 真的很好看~~            
(4星)	 反正在家闲着也是闲着，还有点意思~            
(NA)	 在错的时间遇到对的人，好痛苦。能说季东阳不爱展颜吗，不是，他太爱展颜，爱到无法承受她面对他的老去，无法承受自己离开后展颜的孤独            
(4星)	 好看，差点看哭了，里面钟汶的歌都很好听            
(4星)	 喜欢季冬阳和小凡的那段 细腻的男人            
(5星)	 一直觉得都不错~~    别样的美            
(5星)	 真是经典 又养眼             
(5星)	 小凡小凡！！ 第三個初戀情人 哇哈哈            
(2星)	 亦舒的圆舞？？            
(4星)	 为了两个主演我也给高分。让我意淫那么久的电视剧，我老把自己想象成董洁，想象着车仁表爱我爱得要死又不能跟我在一起的心路历程，一边纠结一边暗爽。            
(5星)	 莫名的喜欢,忧郁的感觉  插曲好听            
(5星)	 很有灵性的电视剧，或者说心理电视剧？            
(5星)	 谁又能说这不是爱情呢？            
(NA)	 要是我，也会喜欢车仁表~~~~~~~~~~~~~~~~~~~~~~~            
(NA)	 董洁很漂亮。。。            
(3星)	 董洁。。            
(NA)	 很喜欢董洁。            
(4星)	 你是笙歌，我却是夜，太孤独了……            
(NA)	  爱情，知道没有对错，但，更想做对！人尽管会不一定对，但，感觉绝对会对！跟着感觉走，却不一定走出最好.........            
(5星)	 纠结的人生～            
(5星)	 深刻的忘年之恋            
(NA)	 一个造孽的男人和一个造孽的女人            
(3星)	 无聊。            
(4星)	 面对某些情感缺失的少女 我们真的应该耐心一点            
(5星)	 悲情的忘年恋.......看的我揪心            
(5星)	 结局有点小遗憾..            
(3星)	 关系有够复杂！！！            
(4星)	 曾经我最爱的一部电视剧之一。不为别的。只因为展颜的爱情。            
(3星)	 第一部还可以            
(3星)	 小凡……            
(4星)	 六月在里面饰演的李玮凡是如此知性如此吸引我。“我需要的一盏灯，是足够亮能照亮我心底的每一个角落。”            
(4星)	 几年前看过，那时觉得董洁特纯。            
(5星)	 我被车仁表的眼神迷住了。            
(4星)	 我大部分的爱情观都来自于李纬凡。让自己痛苦到无法呼吸，却装做镇定。            
(4星)	 发现自己就是喜欢那些心理有问题的片子...            
(5星)	 台词很经典            
(5星)	 超级喜欢            
(4星)	 感人！~~~            
(NA)	 那时候很迷车仁表。            
(NA)	 一个多情寂寞的男人，一个从来只有自己却看透人生的女孩            
(5星)	 “我们一定可以！”            
(NA)	 泡菜大叔有嘛好喜欢的。。。不过董洁那个偏执的小女孩还有的看            
(3星)	 因为这部戏开始喜欢车仁表            
(5星)	 天若有情天亦老。“一个男人 赚到了全世界 却不能争取自己的所爱 又有什么意义呢” 爱着展颜的季东阳，出于愧疚娶了王琪，出于逃避找过李炜凡，最终还是选择离开以彻底逃避。            
(4星)	 喜欢女2号            
