http://movie.douban.com/subject/3391761/	少年王卫斯理
(1星)	 狗血的我看不下去。            
(4星)	 其实这个明明就满好看的嘛。            
(NA)	 那时候很爱看。            
(5星)	 那个时候超喜欢吴奇隆            
(4星)	 喜欢卫斯理 喜欢白素            
(5星)	 小时候很喜欢的电视剧，高考结束以后又翻出来看。不知道为什么它的魅力这么大，^-^            
(4星)	 喜欢女主角            
(4星)	 情节什么的还是不错的            
(4星)	 虽然摧残了原作……但还觉得蛮好看的……            
(4星)	 小时候超喜欢看的！            
(3星)	 推理奇幻。            
(3星)	 吴奇隆的万年正太脸。。。。哎。。。。            
(4星)	 当年对白素近乎痴迷。            
(3星)	 当年多喜欢啊            
(4星)	 只看过这个版本的卫斯理 剧本很好 几个故事都很不错 吴奇隆很帅 而且我很喜欢这里面的女主角-----白素演得好啊 现在好像是聂远的老婆            
(4星)	 卫斯理！~  蓝血人~  OH。。这就是我最初的科幻么？~~            
(5星)	 某段时间，很喜欢吴叔叔。。。原谅我。。            
(5星)	 喜欢，很喜欢~~~            
(4星)	 白素很美            
(3星)	 倪匡倒是一等一的牛人            
(5星)	 超级喜欢这个卫斯理！！！帅！            
(4星)	 這算內地比較好看的劇了            
(5星)	 记忆中最喜欢的一部电视剧，考虑重新看。男主角帅到爆，女主角很有气质。            
(3星)	 不待见这种刁钻大小姐型的女主            
(4星)	 当年看阳光的时候一颤一颤的，怎么就这么好看呢~只是后来被无数片子颠覆了在我心中的玉女形象~不过仅本片而言个人还是挺喜欢的            
(2星)	 这片看过觉得还好，但是之后看了原著，对比之下，这就是一超囧片～            
(4星)	 我很喜欢里面的女主角，可惜拍的戏不多            
(4星)	 挺喜欢阳光的，可惜后来演越来越不重要的角色了~            
(4星)	 那时候很喜欢卫斯理和白素，很希望他们在一起的说～而且这个班底和萧十一郎根本一样吧喂……只是换了女主角吧喂……            
(4星)	 白素很漂亮            
(4星)	 挺好看的说            
(4星)	 以卫斯理为题材的冒险故事，其中有解谜、科幻等等元素，分为几个不同单元，几个单元间有些设定对不上的。            
(4星)	 片头曲不错~我冒险，天外有天~~~~            
(3星)	 说实话...不咋好看....            
(4星)	 喜欢卫斯理和白素，，嘻嘻            
(3星)	 小说大概会比较好看            
(3星)	 卫斯理不够科幻            
(3星)	 那时候还是挺喜欢于波 杨俊毅他们的            
(4星)	 科幻的还行~            
(4星)	 很喜欢这部电视剧            
(3星)	 我小的时候怎么连这个都看过，，还经常看重播，，，我要疯老。。。            
(NA)	 啊啊啊啊啊啊            
(NA)	 吴奇隆~            
(NA)	 超级喜欢！！百看不厌！            
(5星)	 当时不错的电视剧压一压一哟            
(4星)	  吴奇隆  吴奇隆  吴奇隆             
(3星)	 所有卫斯理的我都爱看。            
(NA)	 当年超喜欢            
(5星)	 卫斯理的奇幻故事还蛮吸引人的            
(NA)	 觉得吴奇隆和杨光很配很美好~尤其是最后宇宙浪子那几集~            
(5星)	 于波是多么帅啊            
(3星)	 对 吴奇隆 映像不错            
(2星)	 唉。。。雷死我了~            
(4星)	 当年是要有多钟意阳光呐~            
(5星)	 卫斯理的最记忆。最初，最深。。。            
(NA)	 吴奇隆好帅~            
(4星)	 年少时的我觉得很好看。            
(4星)	 额，还不错吧···            
(3星)	 很胡扯~            
(NA)	 挺好看！！            
(5星)	 少有的喜欢。边吃晚饭边看电视是那时最开心的事、已经多久没看电视了。            
(4星)	 很久的电视剧了。一般般吧。            
(5星)	 哈哈，小时候真得迷死了            
(5星)	 曾经很爱看，美女不少，里面一首配乐很不错。            
(NA)	 =。=            
(NA)	 风格太多元化~~ 小时候看，还记得挑出了不少bug,比如女主人身后的蓝色东风大卡车，哈哈。细节处理实在让人汗颜地说            
(3星)	 演员不喜欢，但题材ok。            
(NA)	 我觉得很好看阿             
(3星)	 以前还蛮喜欢看的，现在看来完全是大雷啊，那个服装实在是不敢恭维            
(2星)	 当年看的时候巨讨厌白素。            
(4星)	 这个白素 是我最喜欢的 尽管故事蛮扯 但起码看过来时开心的            
(3星)	 那个女主角我一直觉得很漂亮            
(4星)	 总的说还是挺有趣的，就是大乔可怜啊~~~~~~~~~~~~            
(4星)	 满好看的~~~很喜欢~~~~            
(4星)	 早前看都觉得挺好看的，天天守剧            
(NA)	 高中寒假看的            
(4星)	 = =那个卫斯理穿军装看着白素发傻，然后偷金缕玉衣的白素就对他扑哧一笑。太销魂了！            
(4星)	 喜欢第一段的曹操和第三段的芝麻            
(4星)	 当年的月光            
(NA)	   那曾经希望出现过的人啊..            
(NA)	 啊啊啊啊啊啊，我就要这个。。有4部的，超经典的好看~~~            
(3星)	 其实吴奇隆是台湾的，但是这个电视剧里面的人大部分是内地的- -于波和杨俊毅为撒老是组合一块演- -还有吴奇隆和他现任夫人马娅舒就是在这个里面相遇的，情节还是不错的            
(3星)	 完全颠覆原著，可以说不忠了，拍摄场景又不严谨，电线杆啊别墅啊什么的都拍到...不过白素还是挺漂亮的，尽管也没什么演技啦            
(2星)	 感觉跟卫斯理差好多            
(4星)	 白素的地位慢慢下降了～当初很喜欢大……现在想起来还是不错^_^            
