http://movie.douban.com/subject/4913214/	恶作剧之吻 장난스런 키스
(2星)	 女主角太丑了！            
(3星)	 到此为止吧。            
(3星)	 陪君妈妈过她漫长的青春期。            
(NA)	 大爱金贤重啊            
(3星)	 比不上台湾版            
(3星)	 勉强合格            
(3星)	 无论是入江直树、江直树还是白胜祖，我都喜欢。            
(2星)	 我没办法不刻薄地说，这部韩剧真不好看。女主可否淡出演艺圈。            
(3星)	 一人挑大梁啊关键那人还是个半调子.....            
(3星)	 说花美男，比不过日版；说细节，比不过台版。只有比比你们的泡菜杂酱面和猪脚了。            
(5星)	 如果能出续集就好了，开头一般，但是后面真的太好看了。有感动也有粉红            
(3星)	 衣服很好看···呃···貌似里面的湘琴是最不笨的···            
(4星)	 收视和演技还是悲剧了。。只为贤重童鞋！            
(3星)	 什么结局~            
(3星)	 完全因为明朗贤的笑容。            
(3星)	 女猪。。。            
(2星)	 越看越没劲，弃之~            
(3星)	 很没感觉，要不先弃一会儿吧……            
(4星)	 笑點還是蠻多的啦            
(3星)	 虽然只有十六集，但是感觉相当拖沓。            
(5星)	 郑素敏            
(4星)	 两个男主角都大爱,女的实在是不能接受            
(NA)	 坚持到ep7终于放弃了- -            
(4星)	 16集太不过瘾了            
(4星)	 金贤重啊金贤重~            
(2星)	 弃            
(5星)	 小贤！！！！            
(3星)	 弃了。            
(1星)	 期待，啥时候播啊            
(3星)	 贤重啊。            
(2星)	 嗯哼，看了网络版真的好多了！！！！！网络版很好看！！！！！！            
(4星)	 我的心中的心中的江直树呀江直树            
(2星)	 女主让我完全没看下去的冲动            
(NA)	 看了台湾版和日本版。。。。觉得这部没有再拍的必要了。。。。            
(3星)	 进展快到有点莫名奇妙。            
(NA)	 还是最爱台版的            
(NA)	 韩版的《恶作剧之吻》            
(1星)	 一集弃            
(4星)	 其实越往后看好看。。。  只看开头的话很容易1集弃的            
(3星)	 看了日版和台版的，想看一下韩版的比较下，看完了，无功无过。直树还是柏原崇最适合了，相较台版的我还是觉得韩版的好些，虽然台版的真的很红，俩猪脚真的很多人喜欢，但我就是不喜欢呀。金贤重就那样子了，觉得郑素敏很可爱呀，小姑娘很会演啊，希望以后还能在好片中看到她。            
(NA)	 呃。。。四次元美男你还是唱歌去吧，演戏真的不太适合你，女主丑的要命，好奇导演选人的时候怎么想的            
(4星)	 最经典的还是日版，不过韩版还是有很多亮点的，我很喜欢吴哈尼这个单眼皮的可爱女生，有很多情节都会感觉到男主一开始就很喜欢女主，可以说日版是辛苦版，最后一刻柏原崇才认识到自己的爱，而韩版是甜蜜版的，不仅男主帮女主让他人嫉妒，女主也有追求者啊。金贤重很帅，但演戏很烂，没表情，完全念台词            
(5星)	 为什么只有6.3分。。。应该有8分才对。很好笑呀。这片            
(3星)	 经典翻拍。。。偶像力量。仅此而已。            
(NA)	 恶俗补习中            
(3星)	 啊一股……金贤重好帅。。            
(3星)	 偶像剧闲着看看            
(4星)	 其实就是台版1和2的整合改编版~不过哈尼更聪明点，白胜祖也不是一直那么冷酷，恩祖也更可爱~其他的性格与命运也是、往好的方面改进了不少~            
(1星)	 可惜了a            
(4星)	 喜欢，真的喜欢。如果可以，我也想拥有那种令人羡慕的性格。            
(3星)	 比台版好多了有木有!起码哈妮没有让我冲想进去呼她的冲动...            
(3星)	 看到第十集直接跳到最后一集了~~演的还算可以~之前觉得很不怎么样，后来发现女主算是韩国里比较真实的女人~~金贤重别有一番味道~但后来有点受不了慢热了。。。            
(3星)	 真的。我完全是为了小贤的颜才能看完的。            
(3星)	 看到后面才觉得还行，贤重xi，你那么温柔亲切的脸庞实在不适合去演一个冷面帅哥啊！！！            
(3星)	 我还是喜欢 郑元畅的江直树~            
(3星)	 女主角长的和我姐姐好像            
(2星)	 我冲着金贤重去的，但是小咪咪眼的女猪，改不了的幼稚无聊情节以及没有来由没有细节就TMD出结果的爱情真让人吃不下饭。            
(3星)	 这部剧棒子真心炒了我们的冷饭            
(3星)	 女主实在不行            
(4星)	 金贤重~~~            
(NA)	 那张酷似山P君的脸思密达。。。            
(4星)	 为嘛我挺喜欢这个翻拍的呢。。。            
(3星)	 看人拉            
(NA)	 只能说。。男主帅死了            
(5星)	 看完了。。            
(2星)	 無力吐槽。            
(1星)	 深井冰= =我一點都沒覺得金賢重帥到哪裡去            
(5星)	 好有爱的啊~笑死我了~            
(2星)	 完全为了帅锅看的，结果帅锅不帅~美女不美。。。。我好像过了看韩剧的那个年纪了，以后少看哈            
(3星)	 原来我也有一颗少女心咩哈哈            
(4星)	 天才帅哥+笨笨女。讲高中毕业到大学到工作。看得越后面越爱的类型！编剧导演演员都很厉害！（我强调这些是在强调，有多吻合挑剔型观众的心情。毕竟是我高中看的，也看重一点点内涵。不要带有偏见，青春，不讲究那么多）            
(2星)	 贤重的演技就如此了==长的这样无死角咱也不要求他能怎样嘛~~            
(3星)	 跟台版剧情保持90%的一致，于是我在一路快进中解决了这部。好吧，我承认我就是想看看金贤重。。。            
(5星)	 太好看了！！            
(3星)	 本人喜欢郑元畅林依晨版。            
(3星)	 完全是冲着男主角看的 不过比起来台版的真的不能看啊啊啊啊            
(3星)	 这部剧集告诉我们，只要坚持住，奢侈品也可以嫁入百姓家。            
(NA)	 ……            
(3星)	 虽然也很无聊！但我感觉比台湾的好一点！            
(3星)	 因为电视在播台版。然后就看到韩版。还以为韩版会有跟台版一样的结婚爆点，男女换装啦。失望啦！！！很多要点都改了，所以有点伤心。最后克里斯汀还是喜欢台版的！            
(2星)	 这个拍得真心烂            
(NA)	 帅锅            
(3星)	 胜祖妈妈长得好像宋慧乔啊            
(NA)	 从小学看过日版的一吻定情之后就对这个故事一发不可收拾，从日版到台版到漫画到动画再到韩版一路追随            
(5星)	 金贤重太帅了！！            
(3星)	 哎，我曾经多么痴迷台版的啊，可这个......真是无爱啊无爱，但是不得不说，金贤重你怎么怎么怎么怎么怎么能这么帅！！！！！            
(4星)	 每次看见贤重我都有中毒的感觉。。。虽然这这部剧一般，但是还是推荐一下，只为贤重。。            
(3星)	 甜甜蜜蜜~~            
(2星)	 太无聊了            
(4星)	 虽然是金贤重演的,,但是还是台湾版的好看啊不得不说            
(4星)	None
(4星)	 喜欢恶作剧之吻所有的东西~~            
(3星)	 金贤重一家都是矬人，但是我好像要一个像白胜恩一样的小弟吖~O(∩_∩)O哈哈~            
(3星)	 当年为了看金贤重！现在不好这口了。。            
(5星)	 恶作剧百看不厌。            
(5星)	 最爱.            
(1星)	 弱爆了－ －^^^             
(3星)	 韩版明显不如台版的内心戏和演员顺眼……            
(NA)	 我觉得挺不错的呀~~~~白胜祖的锁骨 好看的就~~~~吴哈尼好可爱啊~            
(NA)	 都不好意思标记【看过】。            
(3星)	 恩。。。怎么说好呢，个人是很喜欢金贤重啦，但是。。。这个直树不太冷呢~~            
(4星)	 为了傻子给4星= =其实着实一般。。。            
(3星)	 怎么这么有宫的感觉...            
(1星)	 我操你妈！！！！！！！！！！            
(2星)	 不是金贤重不够帅，而是这个可爱的故事被导演浪费了。            
(3星)	 还是台湾版的经典啊！            
(5星)	 我想说，金贤重，你还敢再帅一点吗！！！！！！！！！！！韩国真是盛产偶像剧啊~虽然这剧的收视不高，但是依然不妨碍我爱他！            
(3星)	 …………………………我终身无法忘怀女主对男主千年杀之后男主还亲昵地摸她脸的样子。            
(3星)	 无聊时看的，觉得金贤重在里面冷冷的挺帅的~~            
(3星)	 只前几集还挺有趣 几集后就开始凑剧情 无聊            
(4星)	 因為此劇，迷了金賢重~！！！！            
(5星)	 好看            
(3星)	 没把它改得很狗血很煽情一星，男女主可接受一星，本来就喜欢的剧本一星。但很多细节和演技方面很粗糙，没感觉。看着玩玩还是可以的            
(3星)	 台版是我心里永远的经典            
(NA)	 没台剧好看！            
(3星)	 单纯喜欢金贤重行不行...            
(3星)	 这部不如台湾版的            
(4星)	 啊……没想到几个真人版看下来，倒是泡菜版在气质上最忠于原著。            
(3星)	 哎一古 为了金贤重 连这片子都看了啊            
(4星)	 大爱金贤重啊            
(3星)	 金贤重以后请慎重接剧.            
(3星)	 金賢重~            
(NA)	 女主像我妹            
(4星)	 女主第一次看到觉得奇丑无比。但是看到后来也就习惯了~~ 感觉比台湾那版稍微正常点。看到最后还是蛮甜蜜的！！            
(3星)	 我是看了这部才觉得金贤重帅的 之前觉得有人喜欢他莫名其妙 植树的魅力呀呀呀            
(2星)	 怎么说呢·········我讨厌面瘫······················            
(3星)	 还是台版的好。            
(5星)	 我就喜欢江直树，金贤重的脸配上江直树，我更是大爱            
(5星)	 各种虐心，不过恶作剧之吻都是经典，哈哈哈。还有衣服包包装饰都好好看            
(NA)	 女猪演技啥的=。=真的很无语            
(2星)	 为什么日韩台遇到好剧本都能拍的还不错，到了内地就怂了呢。。。不只是芒果台的错呀~            
(5星)	 因为小贤~忍痛给的五星啊····除了男主没有任何看点的电视剧啊···········要不是因为男主啊···················唉···小贤以后接戏要慎重啊····剧本演员编剧cody一个都不能马虎啊·······还好后面有个网络版的安抚了一下·········            
(1星)	 并非一无是处，只是没有感觉到一点诚意 导演 编剧 剪辑 演员通通都非常有问题！            
(5星)	 认真地看了三遍 感觉已经超越台版了 无论剧情 演技 尤其是里面的服装 金贤重完全就是个衣架子 喜欢上他以后觉得以前喜欢的那些男明星都是浮云了             
(3星)	 金小贤。            
(3星)	 可能是由于集数太少吧，剧情太紧凑了，感觉匆匆忙忙就演完了。            
(5星)	 小金太帅。哈妮傻傻又执着            
(4星)	 金贤重是千年难遇的帅哥，看他的脸就够了            
(5星)	 其实不是很喜欢剧情 但是贤重真的很温暖            
(3星)	 真是场无缘无故没头没尾的爱。            
(3星)	 还是最后的小短片精彩            
(4星)	 金贤重真的是太帅了。            
(4星)	 。。金贤重，不是菜            
(NA)	 金贤重帅死啦!!!!!!!!!!!!            
(2星)	 对金贤重版的直树实在无感~~            
(3星)	 我还是钟爱台版- -。            
(3星)	 女主角多看看觉得还蛮可爱的.            
(3星)	 金贤重演太差了。整剧最高潮我看最开心的就是他被爆菊花（ 冏 ）            
(3星)	 还是最爱郑元畅！            
(2星)	None
(3星)	 女主角那一双单眼皮的三角眼让人很出戏。            
(1星)	 跟台湾版比起来，我差点呕了。为什么除了金贤重，都那么丑?            
(3星)	 挺欢乐~            
(2星)	 这么经典的 拍成这样 女主角去死吧！！            
(4星)	 没有评的那么差吧，台版，日版，韩版这下算都看齐了，衷心的觉得还是这个故事本身很有张力，所以不论各国如何去诠释，拍出来的效果都是那么的热情而温馨，看过台版两年后再看韩版，因为经历了一些事情，所以似乎有更多了感受了，很高兴重新而又全新的温习了一遍这个美好的故事。            
(3星)	 想起湘琴了。            
(4星)	 还是可以的，虽然不如台版的细腻，却还是很搞笑，小演员常看到他呀！            
(NA)	 搞笑            
(NA)	 实在不知道该打几颗星。。。贤重啊，我多么希望你能演个无比脱线无比欢乐的小屁孩儿啊，别再憋着了，别再折磨自己和观众了，虽然这样说不太厚道。。。至于女主，我懒得吐槽o(╯□╰)o不过女二还是挺美好滴，性格很独特啊诗英欧尼~            
(NA)	 我就是手贱点开看了 毕竟这是高中唯一跟着同学看的偶像剧 韩版的本来想金贤重蛮有直树的赶脚的 可是那女主角啊！！！那是什么脸什么演技啊！！！还没有白胜祖他妈好看！！！            
(3星)	 纯粹是为了看金贤重。没有台版的好看，但把台版的两部压缩成一部，情节选取上还不错。            
(5星)	 男主很帅。 女主很可爱。(好官方、、不过确实很好看)            
(4星)	 还是好看的            
(3星)	 其实想给两星半的，这版是所用版本里最差的，只能说其他两个版本拍的太好了。女主也不漂亮，肥嘟嘟的，不过也不让人讨厌吧，倒是金贤重，就养养眼，看看他吧。            
(5星)	 无论情节是否老套，无论哪个版本的直树，都让笨笨的不完美的女生做了一场梦            
(4星)	 女二不讨厌            
(5星)	 金贤重第一部男主的戏---            
(2星)	 可能是太短了，什么都好匆忙。            
(4星)	 刚开始女主的造型真的有点雷人，长得也不好看，但是随着剧情的开展，女主越看越顺眼，特别是笑起来很温暖的感觉，还是不错的剧集。有机会可以看一下正剧结束后的网络剧，短短的几集，很有爱的。            
(NA)	 看过一点就有点不行了…虽然金贤重真的很帅……            
(5星)	 各种版本都要看            
(3星)	 要不是看着贤重哥哥，我会果断放弃！            
(3星)	None
(1星)	 哇！还有如此粗制滥造的韩剧呀！大东那角色完全被演成了一个神经，没有金贤重，谁还会看这部剧            
(3星)	 女主太不如依晨姐姐了....剧情还可以就是了.            
(5星)	 好喜欢看呀，我喜欢直树的麻麻            
(4星)	 幸福的感觉~^^            
(3星)	 花美男男一号，打酱油女一号。恶作剧之吻的最佳演绎着就是郑元畅和林依晨，毋庸置疑。            
(3星)	 只是为了台版才看得，女主丑的不想评价。            
(NA)	 看了一半- -            
(3星)	 韩版翻拍得还行吧~ 金贤重比起花男里要好看很多~ 至于很多人病垢的女主，因为看过坏男人里她演的莫奈，所以也不讨厌，挺可爱的~            
(2星)	 没看几集。- -看不下去            
(4星)	 比台版好看好多~女主的各种发型很漂亮~金贤重在这里面怎么那么帅呢，比花样男子里面帅太多了            
(4星)	 虽然有些地方实话不如台湾版的，但总体来说还好吧。一开始觉得女主很丑，不过越看越可爱。            
(4星)	 哎呀 太帅了啊~ 要是有个IQ200的帅哥 任谁也hold不住啊。这样的爱恨简单，只要一直follow就好 什么都不要想。转念想想是否有点可悲呢？大男子气息太浓厚了吧 棒子片而已，何必认真呢 哇咔咔~            
(4星)	 金贤重            
(5星)	 不错，越看越喜欢，不得不说韩国的偶像剧拍的很细腻，人物很鲜明也很真实，值得反复看。比台湾的白痴剧情，造作演技好很多。            
(1星)	 无论剧情还是演技。。简直。。哎。。这部剧就是靠着金贤重的脸撑起来的吧。。            
(5星)	 之前看了我们结婚了 他跟黄夫人 完全搭  太爱            
(4星)	 忍不住看完所有版本的恶作剧之吻。。。。            
(4星)	 贤重啊。。。不吭声更帅啊。。。            
(3星)	 偶像剧就那么回事，但是男猪脚真的很帅            
(1星)	 虽然喜欢贤重，但他的演技实在不敢恭维。也太吝啬表情了吧？连一点点好感都不愿表现出来，十足十的面瘫男。搞到后面说他到了爱上女主角，实在太唐突了！而且女主角太不讨好了，她不可爱，只是蠢而已。问题最大还是在编剧身上，为啥要那么强调胜祖和赫拉呢？胜祖好像一直都很欢迎赫拉，本末倒置啊！            
(2星)	 女主太难看，没有灵气            
(3星)	 毕竟台版影响太深了。这部是跳着看的            
(4星)	 金贤重在这里很出彩。这部剧看得我一直心脏乱跳            
(4星)	 喜欢看帅哥的可以看看，剧情没什么实质性的改变，女主角不够可爱是败笔            
(4星)	 还是比较喜欢台湾版的。            
(3星)	 没台湾版的好看            
(4星)	 为了贤重看的。            
(2星)	 越看越纠结，不爽，这感情怎么那么生硬呢~            
(NA)	 贼好看了 我的金贤重啊~            
(3星)	 其实还是台版的好呢..            
(NA)	 完全是为了看金贤重才看的这部剧…对着贤重发花痴是完全没办法避免的了…真是“行走的雕塑”…都不知道截了多少图…可是剧情狗血的要命而且好多地方都没交代，编剧乃在作甚？！不过到了最后每个角色我都喜欢，这点很难得。吐个槽：女二号你一定要每次出镜都把整条腿露出来才高兴么？不露腿你是会怎样！            
(3星)	 只有帅哥...            
(3星)	 烂剧 还只能冲着本命去            
(3星)	 一般            
(5星)	 比台湾版的好看！越来越喜欢金贤重了！！！obba~~~&gt;3&lt;            
(2星)	 我实在无语到极点了...老姐，咋以后敢不敢看点有内涵的= =            
(4星)	 把台剧两部才演完的事情十六集就都演完了，哦，不，还要加上网络特别版...            
(2星)	 不给力~~台版的好看点            
(4星)	 画面拍得真的是不错！~~            
(4星)	 哈哈  快20的人了还在看这种浪漫童话剧我也真是的~  第一眼看到女主的时候我都震惊了，怎么找个长这样的。。不过越往后看越觉得她漂亮~在小小的“嫉妒”之余也开始慢慢的很喜欢她了呢~ 虽然能坚持看下去的原因完全是因为金贤重啦金贤重！！！直头发的学生样真是木有抵抗力&gt;&lt;！就让我继续花痴下去吧~~            
(4星)	 刚开始觉得挺拖沓滴，越往后看越喜欢，金贤重活动起来还是蛮帅滴，*——*星星眼有木有。。。            
(4星)	 比台湾版的好太多了。台版的女主那么傻，男主又不帅。韩版的郑素敏又可爱又漂亮，贤重也帅气，挺不错的呀！虽然剧情挺傻的，但是为了贤重和可爱的郑素敏，还是值得一看的。有些细节挺浪漫挺感人的。喜欢他俩的亲密对手戏，kiss神马的很有爱呀！            
(3星)	 女主越看越可爱啊。            
(2星)	 不比较不知道啊，果然台版是经典了            
(3星)	 金贤重你为什么要拍这个！！！！！！！！！！！！！            
(NA)	 金贤重。金贤重同学，因为你，我他妈连着看了两遍这个你知道吗！！！！            
(NA)	 超好看！！！！！            
(2星)	 和台湾版的不能比啊。。。            
(4星)	 女主不好看            
(2星)	 女主角，实在太讨厌了            
(3星)	 女主角蛮搞笑的            
(4星)	 22 nd.Aug    21:52            
(3星)	 看第二遍的时候觉得女猪演的还不错，越看越觉得这个性格太惹人嫌了。虽然女二也不肿么样，但至少是比较理智的女配了= =            
(3星)	 看贤重            
(3星)	 尚可            
(3星)	 金贤重长的真像裴勇俊啊            
(2星)	 金贤重不适合演冷漠的角色，真的！演些搞笑的，会比较好            
(3星)	 郑素敏整个就是尹恩惠和裴秀智的综合版。            
(5星)	 贤重的戏，当然收藏            
(NA)	 冲着男猪去的，后半发型接受不能。剧情诡异。            
(NA)	 蛮搞笑的            
(3星)	 这女主整容整得~~o(╯□╰)o            
(3星)	 虽然喜欢金贤重，但是真的感觉剧情衔接不怎么样            
(2星)	 男女主能再丑点么。。。            
(5星)	 围着太阳转的地球~            
(4星)	 虽然和《宫》是一个导演，但是感觉编剧没有发挥出原著的精髓，男女主角的选角其实还是合适的，俩人也停般配，可是之间的互动感觉太少。2010-11-17            
(3星)	 歌蛮好听的            
(4星)	 哼！            
(5星)	 在我心情最不好的时候看的，非常轻松，五分值了！            
(4星)	 不得不花痴！！！            
(5星)	 爱死金贤重了！怎么这么帅啊。受不了了。            
(3星)	 雖然這部片很一般，但賢重少年是很有吸引力滴～            
(4星)	 金贤重很好啊。。台版的江直树冷酷到没有礼貌，有点过了。。还是金贤重的好一些。。韩版的哈尼也比台版的好，台版的像个傻子。。虽然这样的搭配比较有视觉上的满足，但还是让我有种莫名奇妙的反感            
(2星)	 哎~~~~~~~~~~            
(4星)	 又消灭了部韩剧，嘎嘎~好看啊~8过看完倒没啥失落之情，我估摸着定是有免疫了~韩剧还是轻松可爱的好看~~            
(2星)	 金小贤你的表情呢？吴哈尼，你的表情太丰富鸟~不是先入为主的情绪作祟，而是台版确实秒杀此版思密达            
(3星)	 金贤重帅帅 那女的 诶···            
(3星)	 嘿嘿，重妆金贤重怎么都比大饼脸郑元畅要帅吧？虽然剧情也不怎么样。            
(3星)	 好多场景都是在摄影棚里拍摄的，看起来有些做作，比如吴哈尼爸爸的饭店，给人感觉挺假的，干嘛不找一个真的饭店拍呢？主角们上的高中也很奇葩呀，学生那么少，校服太花哨，女二号烫头发、穿丝袜高跟来上学校监都不管—— 一点都不真实啊。更希望是从真实高中里拍摄的。吴哈尼幻想的场景太多了，不喜欢            
(2星)	 女主长得像小猪一样，看了两集就不想看了            
(2星)	 金贤重也阻止不了我弃剧的决心            
(2星)	 阿金的幻灭........            
(3星)	 棒子的翻拍            
(2星)	 真的是纯属打发时间~            
(4星)	 女主角虽然都说像王宝强，看着看着还是挺可爱的。当然还是比较喜欢台湾版的。可能因为自己刚高中毕业，看到考大学那段，很感动，很有共鸣。所以打四星。            
(4星)	 情节总是那么美好，角色也那么好，结局也令人向往，哎，可惜现实生活中不会有呀~            
(1星)	 看了一集就彻底够了好么。            
(NA)	 挺搞笑的            
(3星)	
(3星)	 看过几集..找个时间看完吧            
(3星)	 女主......哎...........................            
(3星)	 金贤重没演技啊，女主角还行吧。开始还狂追来着，最后就不大感兴趣了。勉强看完了。            
(5星)	 当成新故事看，我倒是觉得挺好的，真挺好的，很幸福。            
(4星)	 不错啊~            
(3星)	 那个一班的男班主任。。好眼熟。郑素敏真的好像尹恩惠。。。看了这个之后，我就更想把台湾版的翻出来再看看了            
(3星)	 女猪脚真的受不了啊受不了。。。妈妈和弟弟好有爱~~~~            
(2星)	 除了金贤重以外 我找不到继续看下去的理由- - 弃            
(NA)	 门牌家男人最帅            
(4星)	 其实我满喜欢女主角的，很可爱很真实啊，金贤重比《花样男子》里面瘦了，更帅喽。            
(2星)	 神马玩意 看一半果断弃剧            
(3星)	 女一太丑 还是台版好 金贤重也不够突出 闷骚什么的完全看不出来            
(3星)	 金贤重天生长了一张小受的脸，还是那句话女主的脸真的太圆了。。。。阿金的发型……好吧，这是一部不可多得的喜剧片、、吃了撑的可以看看            
(4星)	 花痴了花痴了，这版的江直树也好帅啊~~女主笑起来好像流氓兔啊            
(4星)	 小甜剧...无虐无反很顺利...所有的女配都比女主长的好看（女主选的真杯桑）...我太喜欢那个独孤敏儿了...长的真美...老妈也真美好...连女二号都很好...            
(5星)	 都中萌点。            
(4星)	 白胜祖你为啥喜欢哈妮呢？我看完也没看明白，难道是爱来的太措手不及还是就是没理由啊我怎么丝毫没有感觉出来白胜祖喜欢哈妮呢?这一点来说太无厘头+意淫了。。。不过美丽的故事人人爱啊个人感觉这部强于台版和日版，女主角难得的不整容女啊其实挺好看。（贤重哥你的脸能不能动两下呢，全剧下来一个表            
(5星)	 金贤重 你真的是太帅了            
(2星)	 看了第一集和大结局之后弃剧了~~~要不是金贤重花美男才不去看。唉~走雕不容易。            
(4星)	 偶像剧、、嘛。            
(3星)	 我恨女主。            
(4星)	 四星给金贤重~            
(5星)	 哈妮啊，真是太太太可爱了！羡慕嫉妒恨~            
(4星)	 都说女主不好看，我觉得很可爱，特别符合这个角色，可惜金贤重的角色不够给力，温柔的不够啊~~            
(2星)	 女主角时时透露出《宫》里恩惠的傻劲，摆脱你有点个人风格好不好。。。            
(2星)	 失望 但是 贤重还是很帅的            
(3星)	None
(4星)	 最近跟着湖南台又过了一遍。            
(5星)	 超可爱……而且有人说我长得像吴哈妮……= =            
(4星)	 只有傻女孩才能获得的爱情吗~？！不过看着还是很开心            
(5星)	 我爱金贤重！！！！帅气死了            
(NA)	 金贤重。。。            
(3星)	 女主丑的我不想在看第二眼- -            
(1星)	 男女主真是让我想吐隔夜饭            
(3星)	 啊啊啊 金贤重比花样里有感觉啊 果然笑得好好看啊 我心中小女生的一面一下下就被勾起来了 女主角多看看还是能接受的 但再可爱点是更好的了 我就爱看韩剧怎么了 爱无能怎么了            
(3星)	 就是没那个感觉啊~            
(5星)	 爱   爱   爱    爱     爱   。。。。。            
(5星)	 我倒觉得演的很好。            
(5星)	 我爱金贤重那理所当然的样子。            
(4星)	 这个剧喜欢男一啊 男一             
(4星)	 台版的恶吻和2吻都看过，然后再出了韩版，再然后我竟然还去追了日本动漫版的晕！日版就跟着绿叶台看了几集，女主太雷了...于是...还是韩版好看点...            
(NA)	 看这部剧会让自己感到幸福。。            
(3星)	 脑残片            
(3星)	None
(4星)	   女主角曾可爱            
(3星)	 女猪还敢不敢再丑点儿！！！            
(4星)	 金贤重一瞬间像山下智久一瞬间像laughing哥，女主各种瞬间像尹恩惠……            
(NA)	 额，没有台版的好看。不过觉得女主看起来很亲切。            
(2星)	 金贤重不是演直树的料 不是啊...            
(3星)	 这吴哈尼比笨蛋湘琴讨厌多了！            
(4星)	 诶呀呀呀诶呀呀呀~就是喜欢女配多过女主呢！！！            
(3星)	 贤重啊╮(╯▽╰)╭            
(3星)	 中途男主角的冷漠很想让人放弃啊            
(5星)	 大爱金贤重。            
(4星)	 本身就是个好剧本。拍在烂也还能看。。            
(2星)	 半集弃之。这情节真的被拍烂了            
(4星)	 还行~是我看到的最正常的版本~            
(3星)	 说实话，IQ太低的人，毒舌男，真的不是俺的菜            
(3星)	 因为金贤重才看的，开始还觉得可以呀，为什么收视率那么低呢？看到后来就觉得没劲了，一直在快进，应该是编剧的问题。            
(3星)	 女主虽然不美，但是笑起来真的很有感染力，我也想要那样的笑，眼睛眯成弯弯的一道。咳咳，帅哥，重点肿么可能被忽略。。。原来一直还存在那种酷酷的高中男生情结。。。            
(NA)	 调节心情~            
(3星)	 纯粹是为了看金贤重。。。            
(5星)	None
(3星)	 因为是漫画改编的所以特别不切实际吧~不过电视剧什么的都是不切实际的~另外，金贤重怎么越看越喜欢呢~            
(3星)	 于此本小姐就不多说些什么了 但这真的很无厘头            
(3星)	 是因为压缩剧集的关系吗？完全《宫》的风格，女主角也好像尹恩惠啊            
(2星)	 看不下去            
(3星)	 他去演二人转，我也会支持看的。。。看偶像剧大多数就图个花痴。            
(5星)	 昨天刚看完,真心觉得挺好看的。贤重的颜真的很适合演白马王子这类的角色，坏坏的时候也很帅 ，笑起来的时候又非常温暖，温柔的时候很让人心动。女主演的也很好，不管是笑或者哭都感觉能深入人心，看到后来觉得两个人真的很配。里面的衣服也都很好看，尤其是圣祖，穿什么都好帅，期待续集！！            
(5星)	 金贤重这个美丽的男人啊。。。微笑起来总那么温暖啊~~            
(1星)	 失败到极点            
(3星)	 没台版好看。            
(5星)	 花美男还是很养眼的            
(3星)	 真的不太好看            
(3星)	 刚刚看完，估计因为看过港台版的，一开始真的对韩版一点兴趣都没，因为剧情都一样，刚看开头几集也觉得人物不好看，不喜欢，直到看到后面才觉得还行。- -。就那样吧。至少男主角这样的类型我是坚持不下来的，要我早放弃了，自尊方面而且太累了。            
(3星)	 各种莫名其妙情何以堪，重点是我还把它看完了=，=考试果然扭曲人            
(5星)	 这个必须要力推一下，韩版的算是翻拍中的最唯美的一部了~~            
(4星)	 算上台版的那部，这已经是我看过的第四遍了，始终搞不明白，这么大岁数了，为什么还是单单喜欢这部偶像剧            
(4星)	 女主不够养眼吧= =            
(3星)	 当看这些片子还有感动的时候，我知道我还年轻            
(1星)	 烂到金贤重也无法吸引我 = =            
(4星)	 金贤重是帅哥啊帅哥            
(5星)	 我最爱的重重            
(3星)	 断断续续地终于看完了~美好的结局总是让人觉得虚假~最喜欢胜祖的妈妈，剧情还算有趣吧~            
(4星)	 還是愛台版的，但韓版的也還可以看!            
(4星)	 女主角超级可爱的，太懵懂了，妈妈也很漂亮， 恩祖是小男人~瞬间看完了~结局来的好快啊            
(NA)	 本来因为是金贤重演的，我还有点期待，谁知道，韩国式的夸张让我鸡皮疙瘩都下来了，记过还是没有坚持住……            
(NA)	 1集弃            
(4星)	 吹替版 平川+水树            
(5星)	 真的好喜歡這劇,本來非常喜歡台版的,但看了韓版真的完全著迷了!!我覺得金賢重演得更有愛。老實說,看第一集時,真的超討厭素敏!!賢重那麼帥,怎麼找個這麼醜的搭擋啊!?但是!!素敏真是愈看愈可愛、愈漂亮!!她是第一個令我這麼喜愛的韓國女藝人啊!!還有,超級喜歡賢重和素敏這一對,真的讓我瘋了的cp,絕配!            
(5星)	 女主很可爱啊！！！            
(3星)	 女主啊，这都是怎么选的啊。。。男主还行，金贤重一如既往的帅。            
(2星)	 为了贤去看的,但是不得不承认,实在拍得太烂了.忍着看完就把碟收起来下决心不再看第2遍.            
(NA)	 卧槽我竟然看完了！！！！！！！            
(2星)	 没台湾的好看..            
(4星)	 我怂并快乐着。            
(5星)	 真是。。太完美了！！！大爱啊大爱！！！怎么办怎么办！！！            
(3星)	 看得我好累 不断快进。。。。            
(3星)	 有台湾版珠玉在前，这韩版实在是---------，可惜了俊男美女的搭配            
(3星)	 1颗星给衣服，1颗星给场景，1颗星给这个经典的故事。            
(1星)	 好几次跳着看也无法看下去啊。。。。可能也不是太差，但因为看过太多其它版了            
(NA)	 实在是无聊了才看的...不想评论...            
(3星)	 江直树和袁湘琴 无可取代            
(5星)	 画面感好到爆   小贤好帅啊            
(2星)	 还没有日版的大气            
