http://movie.douban.com/subject/1417946/	成长的烦恼 第一季 Growing Pains
(5星)	 GOD...竟然还找得到这个~~~童年啊~~~            
(5星)	 我们都有成长的烦恼            
(5星)	 小时候的最爱。            
(5星)	 经典！            
(4星)	 这一家五口的故事是伴随着我的整个童年的，小时候真的很喜欢看，但还是看得零零散散的不是很全。现在要在网上找到英语中字版本的很困难，但有时间的话还是希望慢慢地补全，慢慢地重温这部经典之作。            
(5星)	 儿童时候的回忆            
(5星)	 经典反正            
(5星)	 现在都还会重温呢            
(5星)	 没有谁会错过一部陪我们成长的片子            
(5星)	 小时候            
(5星)	 只要有时间我就要看《成长的烦恼》            
(NA)	 最喜欢看的电视剧            
(NA)	 高中的时候借同学的VCD看的，巨搞笑...从中学了不少美国的大众文化            
(5星)	 最喜欢的美剧            
(4星)	 儿时~~莱昂纳多饰演143--160            
(5星)	 伴随我走过了那段岁月            
(5星)	 童年的回忆~~经典            
(4星)	 启蒙美剧            
(3星)	 美剧的启蒙            
(5星)	 教育台            
(5星)	 伴随着自己的成长~~            
(4星)	 很童年             
(NA)	 不知道当时怎么就那么逗。可能小时候笑点很低。恩，还是经典的。            
(4星)	 真是陪伴成长的经典……            
(5星)	 小时候爱的外国片            
(5星)	 美国            
(5星)	 经典~难忘~            
(5星)	 居然小时候就看李奥纳多和布莱德皮特了·到如今才发现·            
(5星)	 第一个知道的美国人名，就是麦克西弗.            
(5星)	 一部从很小看到很大的剧集一部从欢乐看到怀念的剧集            
(5星)	 太经典了            
(NA)	 超喜欢的情景喜剧。有机会跟家人朋友们一起看哦。感觉是多么的经久不衰。            
(5星)	 从小到大的欢乐~哦亲爱的迈克~            
(4星)	 童年的经典。            
(5星)	 爱死了~~            
(5星)	 伴随着我的成长的电视剧            
(5星)	 最歡喜麥克了            
(5星)	 似乎与童年相关的影像大部分都是美好的            
(5星)	 MIC头最大嘛            
(4星)	 成长的快乐            
(4星)	 启发式教育下的小孩            
(5星)	 虽然现在看起来衣服有点土..其他的真的还是很经典啊            
(4星)	 童年            
(5星)	 Mike很幽默            
(4星)	 经典的美剧            
(NA)	 经典。BEN~~~~            
(4星)	 童年。。            
(5星)	 搞笑~物是人非啊~            
(5星)	 真经典            
(4星)	 小学时的最爱            
(4星)	 看的不全，但是看到了莱昂纳多~~~            
(5星)	 我太爱它了！！！            
(5星)	 电视剧最爱中的最爱，绝对没有之一            
(5星)	 成长的烦恼，他是一把钥匙，开启我对童年的回忆。            
(5星)	 多好的成长环境呀            
(NA)	 经典，上海小朋友都看过            
(5星)	 小本太可爱了。            
(5星)	 百看不厌！            
(4星)	 只看过国配的，原音的，可能会因为先入为主而不喜欢，谁知道呢？            
(5星)	 1985-1992            
(5星)	 永远的Mike Seaver.            
(NA)	 永远 最喜欢 美剧            
(5星)	 小时候！录像带            
(5星)	 经典            
(NA)	 烦恼            
(5星)	 任何情景剧都无法取代GP在我心中的位置……            
(5星)	 我最喜欢的美剧，以至于翻箱倒柜的找到BJTHOMAS演唱的主题曲。我爱银子先生一家人。            
(4星)	 记忆－小学            
(5星)	 太美好的回忆了。            
(5星)	 伴我成长~~~            
(5星)	 第一次接触情景喜剧            
(4星)	 小时候天天看。            
(5星)	 挚爱美剧            
(5星)	 80年代不可磨灭的记忆            
(5星)	 经典中的经典吖..小时候电视里放一遍就追一遍的剧..            
(5星)	 经典！没话说！            
(5星)	 最爱Mike了。。            
(5星)	 好想再看呀！            
(NA)	 第一部美剧~~            
(5星)	 稀饭！            
(5星)	 绝对的经典！            
(NA)	 小时候的最爱~~~            
(5星)	 全家都喜欢看。            
(4星)	 怎么都看不厌            
(5星)	 看这部片子长大            
(NA)	 Past, but growing.            
(5星)	 记得不错，但是也没看完整的说~            
(5星)	 从来看着他们成长，从来不去想他们也会长大            
(4星)	 小时候啊。。。            
(5星)	 家庭永远是最温暖的字眼            
(NA)	 我成长的年代.            
(4星)	 使我的童年充满笑声            
(5星)	 虽然记不清情节了 但当时看得很开心。            
(5星)	 这个算是成长绝不能少的了。            
(5星)	 哇噻！最喜欢麦克            
(5星)	 你的烦恼 我的成长            
(5星)	 经典的丫...伴我成长...            
(5星)	 在爸爸的影响下，七岁开始看的第一部美剧！            
(5星)	 至爱            
(5星)	 太经典了             
(5星)	 我看的第一部美剧            
(NA)	 一个普通美国家庭的成长故事。孩子在成长，父母也在成长。            
(5星)	 小时候看的，不错的            
(5星)	 我以前的最爱。。            
(5星)	 青春无与伦比            
(5星)	 笑死我了            
(5星)	 童年的回忆~怀念中文配音            
(NA)	 好搞笑的一家子呢，老钱有客串哦～            
(5星)	 童年的梦中情人其实是Mike            
(5星)	 第一次看得时候天天追着看。            
(NA)	 好喜欢好喜欢            
(5星)	 看过的第一部,从汉语到英语.现在仍然喜欢            
(NA)	 超级超级超级爱            
(5星)	 国语配音让它成为了经典            
(NA)	 伴随我童年            
(5星)	 一路成长，一路感动……            
(5星)	 小时候的经典啊            
(5星)	 这辈子都看不腻!~            
(4星)	 小时候看的            
(5星)	 最经典的            
(5星)	 麦克，本，本，麦克            
(5星)	 特别有趣            
(NA)	  成长的烦恼             
(NA)	 All            
(NA)	 对美国家庭的第一印象，迈克的中文配音比原声讨人喜欢多了！            
(5星)	 这我不知道能用什么话来形容.....            
(5星)	 无懈可击            
(5星)	 最近重看，新的感动            
(NA)	 嘿，爸爸。嘿，迈克。  现在已经不习惯听配音了~            
(5星)	 最爱            
(5星)	 不打五星对不起自己。20多年的片儿了，爱死了            
(5星)	 当时知道这叫“美剧”吗。。。            
(NA)	 小时候很喜欢的电视剧~~            
(5星)	 经典啊，我第一部美剧，暴露我年龄的秘密了，呵呵            
(5星)	 我可以背下配音版本~~我的mike~~            
(5星)	 我们都喜欢迈克。            
(5星)	 童年的笑声            
(5星)	 很哈哈~~            
(5星)	 我看的电影版　好喜欢这个爸爸　            
(NA)	 每个暑假都在看的作品···            
(4星)	 小时候还是挺喜欢的，也算是看着长大了吧～            
(5星)	 经典            
(5星)	 永远都是经典~            
(5星)	 永远的经典 ！！            
(5星)	 太经典了            
(5星)	 经久不衰的电视剧，超5星            
(5星)	 神作            
(NA)	 经典！！！            
(5星)	 好喜欢啊            
(NA)	 成长伴随着烦恼,艰辛,有时候真的就想永远停留在孩提时的自己,可是,时间不会因为自己而停止脚步,所以,我们只能克服难关,在成长的烦恼里学会并且接受自己的成长.            
(5星)	 我居然每天凌晨3点到6点在电视上看完了这部电视剧……            
(3星)	 挺无聊的            
(5星)	 心头肉~~~~            
(5星)	 儿时经典。            
(5星)	 继续重温．．有ＢＰ　，有路克            
(5星)	 生活本该如此~            
(5星)	 童年美好的记忆，伴随些许的苦涩，成长难道就不能像蜜一样？            
(5星)	 每年暑期都会重播呀            
(NA)	 最喜欢的家庭情节喜剧            
(5星)	 很不错的剧集~当时看的时候还很小，但只今依旧念念不忘Seaver一家~            
(5星)	 经典！！！无话可说            
(5星)	 哈哈，和家人一起笑的片子            
(5星)	 最好笑了            
(NA)	 这个,大概是我最爱看的了,电视剧的话            
(NA)	 1986-09-08            
(4星)	 小学毕业的夏天，住在表姐家，每天中午起来，一边吃泡面，一边和表姐表妹一起看这部剧~~            
(5星)	 成长的故事            
(5星)	 还是最爱的情景剧。真的会哭。            
(5星)	 还有比这更经典的么～？！            
(5星)	 生活化的片子总是让人百看不厌 你总能在其中找到自己生活中的影子            
(NA)	 经典 就是经典            
(5星)	 感觉比家有儿女好看多了，最厉害的地方就是让你笑着笑着突然想哭出来            
(5星)	 伴着我成长，影响力好大噢            
(NA)	 嗯,一般~            
(5星)	 经久不衰的作品 很好 很感人 很生活 很温情             
(NA)	 很爱这充满爱的一家            
(5星)	 要看配音版的            
(4星)	 这大概是最早引入国内的美剧了。            
(5星)	 最早接触的美剧。            
(5星)	 国内情景剧“哈哈”的背景音乐都是从这学来的。P.S.剧中的演员现在变得好多啊！            
(NA)	 陪我长大            
(5星)	 算是此类电视剧最有影响力的一部吧~            
(NA)	 Mike Ben Caro ^_^             
(NA)	 小时候看过            
(5星)	 伴随成长的电视剧~            
(5星)	 这个好。。            
(5星)	 比较怀念            
(5星)	 永远的经典！！！            
(5星)	 老友记之前的最爱            
(4星)	 看的最早的美剧.喜欢ben            
(NA)	 靠，小时候最喜欢的电视剧之一，经典            
(NA)	 太喜欢了，太搞笑了            
(5星)	 永远的mike~你就是矮了点，你太帅太可爱了。            
(4星)	 曾经超喜欢的美剧            
(5星)	 小时候~            
(4星)	 百看不厌的连续剧.            
(NA)	 陪伴我成长的电视剧            
(5星)	 无论什么时间，什么时代，都能在这里找到曾经成长时候的自己。            
(5星)	 回忆            
(5星)	 一直记得            
(5星)	 最开心的成长！            
(5星)	 狠小的时候一直喜欢看            
(5星)	 看吧 看了没烦恼~            
(5星)	 经典    不需多说            
(5星)	 http://www.imdb.com/title/tt0088527            
(NA)	 这应该是伴随我成长的第一步美剧了吧            
(5星)	 重播几次就赏味几次！            
(5星)	 儿时的大爱！            
(5星)	 第一部美剧            
(5星)	 我的启蒙美剧            
(5星)	 这算是我童年的回忆。            
(4星)	 给与我对美剧最初的认知            
(5星)	 欧，麦克~~            
(NA)	 great!!            
(NA)	 经典，百看不厌            
(5星)	 成长的烦恼            
(5星)	 经典的成长            
(5星)	 曾经青春年少时            
(NA)	 我小时候的美好回忆 小学的时候逃学看这部电视剧 对我来说这算是最早的美式文化启迪            
(5星)	 小时候的最爱~~现在看已经有点out了~~~~            
(5星)	 ben长大后不好看            
(5星)	 MIKE!!~~BEN!!~~童年的回忆^^            
(5星)	 最早看的美剧吧!            
(NA)	 伴着我的童年！            
(NA)	 我的深爱.            
(4星)	 想再看一次。            
(5星)	 。。。            
(NA)	 成长中。            
(5星)	 无需多言 如此经典            
(5星)	 都是在电视上看的，可能是没看全，又找不到完整的版本            
(5星)	 儿时的记忆永远不能抹去，经典中的经典，太可爱了            
(NA)	 只能停留在童年的回忆啦            
(4星)	 十五年后再看，才发现也适合将为人父母的我们，            
(5星)	 我最最爱的情景剧，Mike好帅！！            
(5星)	 小时侯的最爱            
(5星)	 哈哈，谁没看过？            
(NA)	 还有什么好说的··永远的经典！！！            
(NA)	 小时候最喜欢看的一部美剧            
(5星)	 儿时的美好怀念，连妈妈也爱看的：）            
(4星)	 Growing Pains / 成长的烦恼            
(NA)	 死党最喜欢MIKE            
(5星)	 我童年最美丽的电视记忆            
(5星)	 一代的经典回忆，即使在今天看也同样乐趣无穷。            
(5星)	 童年的美好回忆            
(5星)	 Maike~~第一个觉着超帅的外国GG~~嘻嘻            
(5星)	 永远的经典。            
(5星)	 喜欢喜欢            
(5星)	 都是大帅哥的说。。。            
(NA)	 经典~~~这家人真的很让人喜欢!            
(5星)	 太经典了～～～            
(5星)	 这个还用说吗？他们一家子感动了多少一家子            
(3星)	 那时的烦恼，很多现在看来都习以为常了            
(5星)	 我的第一部美剧            
(5星)	 麦克麦克麦克            
(5星)	 小学的时候好喜欢            
(NA)	 超爱～～            
(5星)	 我想我们这波人多数都看过的吧。            
(5星)	 那时看还搞不清三兄妹是什么关系，有一天看到妈妈又再生了一个baby，很难过，感觉一切都变了，现在想起来那感觉还在，真是悲伤            
(5星)	 Growing Pains            
(NA)	 我永远得最爱            
(5星)	 还是前面的好看，长大了的就有点严肃了，没那么好看了            
(5星)	 回忆            
(5星)	 最早接触的美剧，喜欢里面爸爸妈妈的深情一吻             
(5星)	 不知道看完没看完            
(NA)	 很小就看了            
(5星)	 时不时要拿出来重温一下的经典            
(5星)	 好想再看一遍            
(5星)	 经典的无与伦比！！            
(4星)	 教育台教育台教育台……奚姐姐真厉害            
(5星)	 从小看到大 百看不厌            
(5星)	 我永远的最爱~            
(NA)	 会模仿里面的中文配音...呜哈哈            
(5星)	 童年的记忆            
(5星)	 找不到六星            
(5星)	 成长必看            
(5星)	 最早看的一部美剧。            
(5星)	 成长．．一个永久的话题            
(4星)	 哈哈```本是我的最爱```            
(5星)	 成功的美国剧            
(NA)	 想收藏一部            
(5星)	 心里的神作            
(5星)	 儿时经典啊啊啊，伴我成长阿 啊啊啊啊现在在教育台重播哦            
(5星)	 随着我青春成长的第一部美国电视剧，难以忘记            
(5星)	 我现在还能再看好多遍            
(NA)	 我美剧的初恋            
(3星)	 里面还有十岁左右的李奥纳多呢            
(5星)	 The misadventures of a family.            
(5星)	 百看不厌经典            
(5星)	 儿时的经典            
(5星)	 看的第一部美剧,当时感觉很搞笑,很有意思.成长的快乐            
(4星)	 一家人拌嘴，也挺好玩            
(5星)	 都是一家人            
(5星)	 看这个长大的,很不错.            
(NA)	 很喜欢这电视剧，我喜欢原声的 :)            
(5星)	 真是成长的烦恼            
(5星)	 小时候的宝贝            
(5星)	 高中时看的经典，期待第二季DVD……内地正版绝对是传说中的“太监版”！            
(5星)	 伴我成长 永生难忘            
(4星)	 教育台总在吃饭的时候放啊～            
(NA)	 让人回味无穷的经典            
(3星)	 满可爱滴             
(5星)	 最早接触的美剧 经典            
(4星)	 电视里翻到，一定不换台            
(5星)	 喜剧里的哲理            
(5星)	 基本没有童年看电视的习惯，所以童年里看电视的记忆基本都是它了。            
(NA)	 成长的烦恼            
(5星)	 忘记内地播了几季了            
(5星)	 无法替代的成长的烦恼            
(5星)	 伴我长大啊~            
(NA)	 经典的            
(NA)	 小时侯看过，童年啊~~            
(5星)	 特别喜欢，小时候天天守在电视机旁            
(NA)	 家有儿女            
(5星)	 成长的记忆            
(5星)	 有没有看过它的吗            
(5星)	 大爱~            
(5星)	 同龄人基本都看过            
(5星)	 很怀念小时候靠在床上和老爸一起看这部片子的日子            
(NA)	 我看过的最棒的电视剧            
(NA)	 不知什么是情景喜剧的时候就看过的情景喜剧            
(5星)	 吼吼~~~            
(5星)	 jack走了想起来心疼            
(NA)	 mike——————————            
(5星)	 陪伴许多人长大的经典            
(5星)	 。。。。。            
(5星)	 童话般的成长            
(5星)	 伴随我成长的电视剧            
(4星)	 怀念~            
(NA)	 这才是真正的经典……            
(NA)	 本:迈克迈克迈克迈克迈克:本本本本本唯一能记住的对话了..            
(5星)	 小时候的大爱，想再看一次原声版的            
(3星)	 要复古就看这个吧~            
(NA)	 哈哈``            
(5星)	 百看不厌！            
(5星)	 ＭＥＭＯＲＹ　ＦＯＲＥＶＥＲ            
(5星)	 唯一的遗憾就是没有完完整整的去看完它。            
(5星)	 小时候爱看的电视剧～            
(4星)	 人生中第一部美剧            
(5星)	 这是一部让我百看不厌的电影，前几天在土豆还在看，我有时候觉得。到底，国外的教育与我们的差别在哪里。当他们的孩子早恋，成绩差，找不到工作，那个家庭，那么幸福的一个家庭里。很喜欢爸爸，mike 还有ben.            
(5星)	 看着这部剧长大,经典~            
(5星)	 最初的一部美剧！first总是美好的！以上公式一切可套用！            
(5星)	 不得不看的情景喜剧            
(5星)	 孩子在成长，父母也在成长            
(5星)	 很久前的回忆            
(3星)	 OMG,where,where is he?            
(5星)	 经典情景剧……            
(5星)	 初中时很ENJOY            
(5星)	 经典            
(3星)	 小时候看过，觉得很有趣。里面还有里奥纳多青少年时候的样子            
(5星)	 回忆            
(5星)	 最棒的肥皂剧，百看不厌，不致影响了多少人！            
(5星)	 經典            
(NA)	 经典            
(5星)	 太经典了。。            
(5星)	 FAVORITE            
(4星)	 当时看这部片子的时候自己还是小学 呵呵追溯起来算是看的最早的一部美剧 当然是中文的 感觉就像是发生在昨天            
(5星)	 经典，伴随我长大            
(5星)	 陪着我GROWING UP。。            
(5星)	 小时候喜欢看            
(5星)	 童年啊童年！            
(NA)	 小时候看过            
(NA)	 很想在看一次            
(4星)	 中学时候看的我五迷三道的            
(5星)	 超级喜欢麦克            
(5星)	 十三岁还未开始青春，却已告别童年的年岁，家的意义……可惜不是可以从电视剧中学习的            
(5星)	 记忆            
(NA)	 经典            
(NA)	 还想再看的            
(5星)	 很好很好看。他们一家的成长，很喜欢Ben-_&lt;            
(5星)	 classic of classics            
(5星)	 我爱ben~~            
(4星)	 伴著我的青春歲月，一起成長。            
(5星)	 Excellent            
(5星)	 一个普通美国家庭的成长故事。孩子在成长，父母也在成长。            
(5星)	 童年是的经典啊～            
(2星)	 反正没看懂..            
(5星)	 最早接受的美国肥皂剧，曾经很羡慕里面的家庭关系～～现在仍喜欢看！            
(NA)	 守着电视机，看了好多遍            
(NA)	 GREATTTTTTTTT.....            
(4星)	 唯一一部看得多的sitcom            
(4星)	 喜欢华语配音，听原版少了很多当年的感觉            
(3星)	 不知道里面的小男孩现在成什么样子了~            
(5星)	 几乎每个夏天都反复的看，中文的，英文的，反反复复。大抵希望生活停留在那个时候，电视里，电视外。            
(5星)	 最经典的回忆。            
(5星)	 本身就是一个标签            
(5星)	 关于成长，小时候一定看，可是为什么大了一点记忆都没有呢？纳闷            
(NA)	 最爱波纳            
(4星)	 其实完整一集一集看下来的只有第一季。            
(5星)	 五颗星！！！喜欢mike和ben小时候ben小时候长得可爱，也很天真，越大越胖，越狡猾~~呵呵            
(NA)	 喜欢~~感动~~买过第一季的dvd            
(5星)	 家。            
(5星)	 最爱最爱            
(5星)	 可以反复品味的简单笑料            
(5星)	 太喜欢了            
(5星)	 童年的回忆阿~~多美好            
(5星)	 绝对的经典 我的最爱            
(NA)	 永恒的经典,以后要推荐给孩子看,经久不衰的经典            
(5星)	 少年时代的美好回忆了            
(NA)	 小时候的记忆，自己看的第一部美剧            
(NA)	 伴我成长            
(5星)	 相当经典的一部喜剧！            
(5星)	 Growing Pains成长的烦恼            
(NA)	 喜欢这样的家，喜欢我的家！            
(4星)	 原来家的温馨是这样的……            
(5星)	 小时候一直看的。。。在教育台。。。太灵光了。。。今天才知道原来里面有Leonardo DiCaprio，Hilary Swank，Brad Pitt。。。            
(5星)	 我心中最经典的美剧            
(NA)	 我们都经历过 我们正在经历            
(4星)	 成长的过程的确烦恼            
(5星)	 happy and pain            
(4星)	 小时候            
(5星)	 经典中的经典百看不厌            
(5星)	 这个陪伴偶儿童时代的情景剧啊~~            
(4星)	 和自己一起成长的故事            
(4星)	 恩~经典            
(5星)	 少年最爱            
(5星)	 love forever            
(5星)	 无以伦比            
(5星)	 这部电视剧一同长大的我，一直认为它应该叫成长的快乐            
(5星)	 哈哈  迈克!!            
(NA)	 看新闻说  其中一个演员死了 所以找出来 看看            
(5星)	 必看的经典影片~~            
(5星)	 还是喜欢老版本的~            
(NA)	 陪伴我们成长的片子            
(NA)	 流水送的家教必备            
(NA)	 小时候爱这部电视剧爱疯了            
(NA)	 相当经典            
(NA)	 看的时候还太小，现在已然不记得什么了，好象还没看全，不过老公倒是似乎记得比较清楚：）            
(5星)	 还能说什么，令人羡慕的一家子：）百看不厌            
(5星)	 伴我成长的电视剧            
(NA)	 很好看，幽默又不失教育意义            
(NA)	 好多遍            
(5星)	 I love Mike！现在哪儿能找到这片子呢？            
(5星)	 我们都一样            
(5星)	 成长的烦恼~老友记~越狱~?            
(5星)	 经典 麦克最帅            
(NA)	 pas mal            
(5星)	 小时侯……很早很早的记忆啦～            
(5星)	 学生时代看《成长的烦恼》，工作以后看《老友记》，这已经成了每个美剧迷的心照不宣。。。            
(NA)	 你我共同珍爱的成长的烦恼            
(5星)	 啥都不说了，太经典了            
(NA)	 从小看到大的片子,呵呵.            
(NA)	 Mike的少年時代，Ben的兒童期都是令人迷醉的形象哇！            
(5星)	 童年有它真美好            
(5星)	 小时候看的,超级喜欢,很搞笑            
(5星)	 帅就一个字！            
(5星)	 哦，我是看这部电视张大的，真的好看．之后国内就开始有＂我爱我家＂了            
(4星)	 小时候的大乐趣 ：又，连续剧。            
(5星)	 初二爸爸住院，我就看着《成长的烦恼》而成长。            
(5星)	 小时候看了无数遍，美国式的家庭教育            
(5星)	 有趣            
(5星)	 还有什么说的呢，从小伴随着一起成长。不是单单用喜欢就能表达对于这部故事的感情的。            
(5星)	 我们烦恼着。            
(5星)	 小时候最喜欢看的，每天坐在电视机前等它上演            
(5星)	 我欢乐的少年时光            
(5星)	 收获太多　语言都无法承载            
(5星)	 现在给我的感觉是温馨，怀旧            
(4星)	 读小学的时候，晚饭时候恰好边吃边看，旁边还有爷爷爸爸妈妈偶尔的评论，温暖橘黄的白炽灯            
(5星)	 经典中的经典            
(4星)	 经典美剧形象  我想是我们最早印象中的美剧吧            
(5星)	 一代人的记忆            
(5星)	 伴随我长大            
(5星)	 又好气又好笑            
(5星)	 曾经经典中的经典啊            
(4星)	 经典啊            
(5星)	 那个时候非常喜欢            
(5星)	 很好看呢，喜欢MAIK和BEN，成长的经历人人都有，可那么幽默和谐的家庭很少见，估计每个孩子都想要。            
(5星)	 绝对是经典了,没看过的就不是这个年代的人啊            
(NA)	 看完growing pains，自己不知不觉也已长大，无限感慨……很温馨，很有意义，也很搞笑的生活剧，喜欢！            
(5星)	 没看过的！听我把那一百多集慢慢讲给你听！切            
(5星)	 虽然我是生长在90年代 但我也喜欢它！            
(5星)	 对夏威夷的向往，是从这里开始的。            
(5星)	 没有完整看过但是在心目中是完美的            
(5星)	 好喜欢：）            
(5星)	 经典片咯。            
(NA)	 很早的肥皂            
(5星)	 孩子们面对真相，积极乐观的生活。            
(5星)	 经典！看了n遍            
(4星)	 小时候非常地喜欢，现在却好象找不回当时的感觉了。            
(5星)	 &#34;show me your smell again~~&#34;            
(5星)	 好看啊~            
(5星)	 知道什么是美式幽默            
(5星)	 一代人的记忆            
(5星)	 陪伴我们的大学生活的快乐；在轻松和幽默里讨论我们失去的种种            
(5星)	 挺喜欢的。            
(5星)	 成长教科书~            
(5星)	 太好看了            
(5星)	 看了n边，没有厌倦过            
(NA)	 影响多少孩子和家长            
(5星)	 成长的记忆啊。。。            
(5星)	 something in memory            
(5星)	 伴随童年的剧            
(NA)	 everyone has growing pains.            
(NA)	 美国家庭教育？            
(4星)	 很好看            
(5星)	 一家人伴随4个孩子成长的欢乐和烦恼，真切可亲            
(5星)	 从很小就开始看了……经典的不行。虽然在美国并没有很多人知道它的存在。            
(NA)	 超级好看的童年....            
(NA)	 但我们不是这样成长的            
(5星)	 经典            
(5星)	 哈哈，还以为这里没有电视剧呢？百看不厌^_^            
(5星)	 据说我妈怀着我的时候就在看 怪不得我现在这样子阿~            
(5星)	 童年回忆。里面的情节现在已经全然记不得，只记得最后一集他们搬走了如同他们搬来时候的第一集。            
(5星)	 那是我的童年啊            
(5星)	 永远的经典。即使不在我的年代也值得我膜拜。            
(5星)	 美剧初启蒙  最精彩  永远的回忆哦            
(5星)	 Best Sitcom ever made.            
(4星)	 想起来凯萝对迈克说 你为什么不数数自己的脑细胞呢 就笑得一塌糊涂~~~            
(5星)	 永远的GP！！！！！简直想打10星！！！            
(NA)	 这个必须评            
(5星)	 经典的家庭剧            
(5星)	 不知道看到第几季了            
(5星)	 经典，不需解释            
(3星)	 补遗            
(5星)	 小时候不知道看了多少遍            
(5星)	 诶？这里有小李子？            
(5星)	 经典            
(5星)	 [补]。从有记忆开始就在看的电视剧...            
(5星)	 童年记忆，有谁不是看着剧集长大的？            
(5星)	 最棒的配音，最棒的情景喜剧。            
(5星)	 小时候可是蹲着看呢~~~~~            
(5星)	 我们这一代人无法磨灭的记忆！对美国家庭的最初印象吧，好有爱！            
(5星)	 怎么说呢 这部戏影响了一代中国青年 太经典了            
(4星)	 伴我们长大            
(5星)	 立志做一个JESSON一样的父亲。            
(NA)	 陪我度过假期的剧            
(5星)	 美好的，快乐的，暧昧的，记忆的，万岁            
(5星)	 连我妈都爱看            
(NA)	 我哥很喜欢看，我也跟着看。长大以后才懂得欣赏，真的很有启发意义，很幽默。            
(5星)	 儿时记忆了 印象中仅存那个时代的牛仔裤            
(5星)	 我爱我家是国内轻喜剧的里程碑之作，相对于成长的烦恼，那就是微博和推特，人人和facebook，这一家子真心陪伴了我整个童年啊，太好的一部剧了，嬉笑中感悟生活            
(5星)	 跪了。            
(NA)	 Luke，可爱让人疼！让我沦陷的眼神            
(5星)	 要是有英文的就好了            
(NA)	 还想再看一遍            
(5星)	 小时候每次重放都会看呢，记得是每天晚上六点半教育电视台。很喜欢，很喜欢，以后教育孩子时可以借鉴一下，哈哈哈哈            
(5星)	 满是回忆            
(5星)	 我印象中的第一部美剧，这部电视剧就跟83版的《射雕英雄传》一样，各种龙套最后都成为了好莱坞的大牌！            
(5星)	 第一次看的美剧  经典  现在成长的孩子真得看看            
(NA)	 《家有儿女》死一边去            
(5星)	 经典的美剧。以前一直在晚上5,6点守着绿叶台~            
(5星)	 看到有人提到。兒時的最愛啊！            
(5星)	 我现在还有烦恼....            
(5星)	 这货算是最早接触的美剧吧~~                    
(5星)	 ~~~~~~            
(NA)	 我童年的第一部美剧，大约十岁左右看得吧。            
(5星)	 一起混，这句台词还记得到            
(4星)	 陪伴我成长的美剧 可乐             
(5星)	 以前电视总是播啊，为什么这几年没有了。应该还没看全            
(5星)	 当然不可能看全了            
(NA)	 小时候看的，不太记得了。            
(5星)	 经典多说一个字都是亵渎。            
(4星)	None
(5星)	 小时候总是爸爸陪我一起看。            
(4星)	 现在看画面过于陈旧，小时候很好看记得            
(4星)	 越长大越对家庭剧无爱小的时候看国配的这剧多么欢乐啊            
(4星)	 小时候在电视上看的，那时候很喜欢迈克，好帅的说！那时候的他们都好年轻。            
(5星)	 我的童年啊            
(5星)	 回忆加一星            
(5星)	 这么老这么老的美剧，出生的比我还早啊！            
(5星)	 classic            
(5星)	 记得那时候看这个的时候，真是羡慕啊，想自己怎么木有生在米国呢TT            
(5星)	 小李在里面太萌了哈            
(5星)	 ╮(╯▽╰)╭那种朦朦胧胧的感觉            
(5星)	None
(5星)	 小时候天天看！            
(5星)	 儿时永远的回忆啊            
(5星)	 超级好笑            
(5星)	 伴随成长的经典美剧。            
(5星)	 想当年这绝对是我的最爱            
(4星)	 午夜频道            
(5星)	 小学天天看这个            
(5星)	 重播必看！！！            
(NA)	 一家子人都好有爱            
(5星)	 绿叶台放的时候，每天边吃饭边看。配音们都很有爱。。老爸说配Ben的主持人数学成绩不好。。哪听来的八卦。。。            
(5星)	 经典啊 唯一一部每集都认认真真看过的而且都不止一次！！0.0            
(5星)	 小学的回忆            
(5星)	 最爱。            
(5星)	 看了三遍.            
(NA)	 mike长得好像休伊特啊。哈哈哈            
(5星)	 伴随着我们长大的经典            
(3星)	 没什么感觉            
(5星)	 小时候最爱的外国电视剧！            
(NA)	 儿时的回忆            
(5星)	 伴我长大的电视剧 永远的经典            
(5星)	 经典就是经典，现在看还是一样的有意思            
(5星)	 伴我同行            
(5星)	 只是为了那份回忆。。。            
(4星)	 放假没电脑看电视上播的            
(5星)	 永远的经典，最爱的情景剧！            
(5星)	 我的第一部美剧~~            
(5星)	 忽然回忆起来 儿时的欢乐记忆 大爱。。。            
(5星)	 童年回忆，当时觉得超棒的连续剧            
(5星)	None
(5星)	 这么多年，跟着你们一起成长，一块儿长歪了。            
(5星)	 永恒的经典 伴我成长            
(5星)	 都是回忆啊            
(5星)	 永远的成长教育片            
(5星)	 年少时期的伴儿 是要多重要才能更重要             
(5星)	 迈克 收袜子            
(5星)	 伴我成长的第一部美剧！爱死了~~            
(5星)	 当时的莱昂纳多好青涩。！            
(5星)	 经典不容复制。            
(5星)	 它是部经典之剧，能让人不断回味，现在看都能流出眼泪~~~~            
(NA)	 呱唧            
(4星)	 经典            
(5星)	 小时候看滴            
(5星)	 配音很传神            
(5星)	 小时候看过，有喜感            
(5星)	 一代人童年的回忆~            
(5星)	 一直觉得可可卡梅隆最帅，本长的很有味道，卡萝尔和克里斯汀长残了。。。。            
(5星)	None
(5星)	 怀旧ing            
(5星)	 本想打四星的，一看到分那么高都不好意思拖后腿了，确实是好剧，而且算是看过的唯一一部美剧吧。            
(NA)	 小时候的他就开始有帅气的机制了            
(5星)	 最喜欢的美剧之一！！！            
(5星)	 我也很爱你们。            
(3星)	 我肯定是看过。。。不过没什么印象了。            
