http://movie.douban.com/subject/2224160/	宠物情缘
(4星)	 就这么爱上了古天乐和狗。。。            
(3星)	 和mi更配嘛...对手指~            
(3星)	 小时候的片子。。。            
(3星)	 不管别人说古宣多配巴拉巴拉，始终是sammi最高~！            
(4星)	 ROCKY配音—陈奕迅，豆豆配音—杨千嬅？天啊~            
(NA)	 喜欢古天乐            
(4星)	 宣萱太可爱了！！！豆豆与rockey的配音我也喜欢——粤语版的。            
(5星)	 sammi真的很招人喜欢            
(4星)	 喜欢巧克力时看的            
(5星)	 大爱大爱啊，sammi那时好靓，还记得rocky。            
(5星)	 让我念念不忘念念不忘念念不忘 喜欢那里所有狗狗 喜欢古宣            
(4星)	 遥远的回忆啊。            
(4星)	 虽然偶是古萱主义 但是这部和古仔的合作 这个角色 该算是宣的角色中我最不喜欢的 不漂亮 固执 小女生气 不喜欢的感觉            
(4星)	 最爱萱萱            
(NA)	 Oh~~~             
(3星)	 一集不落的看完我也没有爱上猫猫狗狗真是遗憾……            
(4星)	 因为古天乐 所以喜欢  老片子了...片尾曲很好听的            
(4星)	 当时也老喜欢了，印象最深的是可爱的宣萱~            
(3星)	 就是很奇怪 郑秀文也来演了            
(3星)	 诶 那时怎么没发现EASON            
(5星)	 好似当时很讨厌宣萱的            
(3星)	 完全捧场Sammi的。            
(4星)	 初中看的            
(5星)	 Sammi姐姐。            
(5星)	 为了首主题曲去买了张Sammi的盗版专辑《宠物》            
(5星)	 最爱之一啊~~到现在还会拿出来看~那个年代的港剧即使现在看来仍有滋有味~看一次笑一次~很喜欢戴展硕~            
(4星)	 个人觉得古天乐和宣萱也很配            
(4星)	 ROCKY&amp;豆豆哇            
(5星)	 有Eason同千嬅配音的……兩隻超級可愛的狗狗……也喜歡Mi同古天樂……好正啊！！~            
(4星)	 喜欢古宣配，喜欢两条会说话的狗狗~~            
(4星)	 无奈你有多麽讨好我，未可开花结果            
(4星)	 那时候Sammi多让我心疼            
(4星)	 madam，漂亮            
(5星)	 古萱配的经典之一~因为当初看的电视台放的国语版，是后来才知道还有eason和千fa的献声            
(5星)	 狂爱，为了学主题歌，学了很久！            
(4星)	 很TVB 也很好看            
(4星)	 主题曲好听            
(3星)	 喜欢宣萱和古天乐^^            
(4星)	 这里面有杨千嬅有陈奕迅？            
(3星)	 古天乐已经晒黑了...            
(4星)	 在一次偶然机遇下，发现这部剧，一发不可收拾            
(4星)	 很久以前看的了，古天乐帅啊            
(4星)	 sammi ！sammi!!!!            
(4星)	 很温馨的一部片子，里面那2条狗很可爱，还有画外音，哈哈            
(4星)	 影响深刻的是豆豆~            
(4星)	 只能说，简单的人比较容易得到单纯的幸福。susan的微笑，让人释怀。一直都记得那狗狗的名字——豆豆。还有wing喂的小猫叫：叮叮。            
(5星)	 我最期待的爱情～～　平平淡淡，简简单单，但是深入我心            
(4星)	 天乐            
(3星)	 第一次认识郑秀文            
(NA)	 冲着萱萱跟古天乐看滴            
(3星)	 童年的记忆。            
(2星)	 不知道为何，就是不喜欢。            
(4星)	 我喜欢Rocky这类狼狗啊~~~            
(3星)	 看电视的盲目。            
(5星)	 還是最喜歡古天樂和宣萱的組合，無論看多少部多少遍都一樣。其實Sammi我也一樣蠻喜歡的。            
(4星)	 宣萱！            
(3星)	 狗狗            
(4星)	 很早的了，上学假期里看了好几遍。最近又翻出来看了几集，哈哈，还是经典呢，居然不觉得老土，真行！            
(5星)	 那时候的古仔,sammi,宣萱，还有狗狗这样有爱的情节，看得好欢乐呢            
(NA)	 港片，不错的            
(NA)	 啊啊啊``完全被那倆只狗萌住了····            
(5星)	 ROCKY&amp;豆豆……太乐拉            
(3星)	 小时候看的            
(4星)	 还没看完            
(4星)	 还可以。。。大家都很清纯            
(NA)	 同表弟都好中意个主题曲，至今记得我们是如何模仿互相取笑的，哈哈!            
(4星)	 古天乐~            
(4星)	 挺喜欢看萱萱的            
(NA)	 很喜欢的古古和狗狗            
(4星)	 经典啊            
(3星)	 一般般            
(4星)	 我只记得短发的susan.            
(4星)	 古仔很帅，宣萱在剧里的性格也是我中意的类型，赏心悦目。            
(5星)	 让人想恋爱 ，傻傻的展硕 和 可爱的 wing            
(4星)	 初中看的，宣萱，郑秀文，古天乐，我都蛮喜欢的            
(5星)	 超爱宣萱~            
(5星)	 竟然还有杨千嬅呐            
(2星)	 都OK            
(3星)	 喜欢那个时候的古天乐            
(5星)	 古天乐和宣萱~当时我真的希望他们就在一起好了~            
(NA)	 我忘记结局了&gt; &lt;            
(4星)	 三个人的造型都很经典哈~~~            
(5星)	 Yes            
(3星)	 只记得古天乐和宣萱都很黑            
(5星)	 我记得不知道是小学还是初中看的了，那会就觉得好看的            
(NA)	 老早就开始喜欢萱萱了．            
(4星)	 因为有萱萱哈            
(4星)	 我爱古天乐&gt;&lt;            
(4星)	 喜欢宣萱            
(4星)	 翻来覆去看过好多遍的电视剧之一，喜欢里面sammi和古天乐的角色。            
(3星)	 宣萱和古仔还是挺配的            
(2星)	 烂尾            
(2星)	 一般般。。            
(4星)	 追忆            
(4星)	 很早很早以前看的，印象中觉得很好啊～            
(4星)	 古天乐最帅的发型            
(4星)	 可爱的宣萱，不喜欢那结局            
(5星)	 喜欢郑秀文在里面的演出。            
(3星)	 回归后的第一部香港剧第一次知道什么是欢喜冤家不知點解回味的时候觉得真的很单薄不过古仔的酒窝真可爱啊            
(3星)	 不记的故事只记的一只金毛和一只德牧了~            
(4星)	 你一定很爱这里的Sammi            
(5星)	 那年他们都还年轻！            
(3星)	 好喜欢古仔和宣宣的组合呀            
(3星)	 宣萱            
(NA)	 古仔最帥···            
(5星)	 很清新的古天乐＋宣萱＋郑秀文            
(4星)	 一直不爱宣萱            
(NA)	 简直我的至爱            
(4星)	 哦~~我的小学年代~~~            
(4星)	 小学时候看的。啊啊。到现在那碟片还在呢。记得是六年级玩得好的伙伴送我的。可是我现在找不到她了。甚至快忘了她的名字。            
(4星)	 发现古天乐拍的几部电视剧，类似这种偶像剧还是蛮好看            
(NA)	 怎么都记不起来里面有陈奕迅和杨千嬅            
(3星)	 天~~            
(3星)	 金毛真可爱啊。            
(5星)	 对这种猫猫狗狗的片子没什么抵抗力阿            
(4星)	 多少年前看的了。。            
(5星)	 这时候的郑秀文啊~~            
(4星)	 ROCKY&amp;豆豆            
(4星)	 其实我更希望古天乐和郑秀文一起            
(NA)	 很老的剧啊，不过很好看··最近在回忆新加坡和台湾的经典剧~            
(5星)	 好看 看的时候我觉得萱萱跟古怎么这么配啊            
(4星)	 三个主角我都爱~            
(5星)	 狗狗~~我的HK梦            
(3星)	 那时候古天乐还白着呢。奇奇怪怪的剧。郑秀文也是TVB的？            
(5星)	 好像是因为这个爱上狗。            
(NA)	 初见Sammi。            
(3星)	 喜欢古萱配            
(4星)	 HC古帥~            
(5星)	 狗狗很可爱            
(4星)	 古天乐和宣萱这对经典情侣的搭档。适合夏天看温馨、活力，带着可爱的狗狗谈一场爱情。            
(5星)	 第一次听广播 听完的            
(3星)	 宣萱和阿乐都很爱啊            
(4星)	 很单纯的感觉，很好听的主题曲，《真命天子》            
(4星)	 古天乐，宣萱，郑秀文 豪华阵容！N年前看的            
(NA)	 我不知道宣萱有什么好的~我就喜欢郑秀文            
(4星)	 当年的古天乐好白啊             
(NA)	 SAMIMI难得的电视剧            
(3星)	 郑小姐 古先生 萱萱 都很美貌            
(3星)	 一贯的无聊……            
(3星)	 小时候看的            
(4星)	 还好看看的            
(2星)	 郑秀文像柴火妞一样。。。            
(5星)	 主题曲好听啊，情节也好            
(4星)	 I love the dog!            
(3星)	 很久很久以前~~不记得剧情了            
(4星)	 可爱的ROCKY与豆豆~~还有海~~            
(NA)	 经典啊            
(3星)	 看过，忘记了，不过有我喜欢的两只            
(5星)	 阵容如今已达不到            
(NA)	 狗狗那么好养？？            
(4星)	 青涩时代啊，故事里没有英雄，只有一帮我们身边随时可见的小人物。一个轻松中带着搞笑的爱情喜剧，有着我爱的古宣，四颗星还是要给的。            
(3星)	 小学时候看的咯~几乎忘完            
(NA)	 好像之后，郑秀文就都接的电影，直到长恨歌            
(4星)	 很早和李裴都很喜欢的一部电视剧            
(4星)	 我能接受的电视剧长度  我能接受的演员 我能接受的情节 还有我喜欢的狗狗            
(4星)	 就是觉得古天乐和宣萱好配            
(3星)	 当初很喜欢susan这个名字            
(NA)	 戴展硕……最窝囊的香港警察            
(4星)	 狗狗好            
(5星)	 我家Sammi!!!!!!!!!!!!!            
(NA)	 想养大狗，没得钱的。            
(NA)	 那只狗很聪明。。。那群动物很聪明            
(NA)	 好早啊，可是还是经典的~            
(5星)	 很搞笑!~            
(4星)	 记得那时候好喜欢sammi噢  希望剧中她和古天乐一起啊            
(5星)	 经典之一。三个我都爱~            
(NA)	 SAMMI的造型很难忘            
(4星)	 从前一起看此剧的人哪里去了？            
(3星)	 喜欢古天乐啊            
(3星)	 好老的片子啊~98年的了 额~那时候我几岁哦            
(3星)	 金毛,爱~            
(4星)	 早期看的青涩港剧，不错            
(4星)	 我最爱的宣萱演的            
(NA)	 好喜欢古仔和宣萱,觉得好般配            
(5星)	 嘿咻            
(4星)	 好看            
(4星)	 我還是喜歡古仔配sammi~            
(3星)	 都是帅哥美女，不看有点浪费            
(NA)	 宠物情缘            
(4星)	 宠物真可爱～            
(4星)	 看港剧最疯狂的时段            
(NA)	 关于爱情，学会珍惜            
(4星)	 纯真啊            
(3星)	 就觉得郑秀文还行            
(4星)	 大狗狗。            
(4星)	 很多人心中TVB爱情的经典            
(NA)	 印象最深的是狗狗 哇~~苏牧帅呆了            
(4星)	 i liked sammi~i  played this series at my home            
(2星)	 不好看            
(4星)	 以前很喜欢的～            
(5星)	 1999~2007            
