http://movie.douban.com/subject/3882839/	千谎百计  第二季 Lie to Me Season 2
(5星)	 老男人啊   喜欢啊            
(3星)	 弃剧。            
(4星)	 不是低头就是手抖，最后一集连表情都不看了，直接换身福尔摩斯，这是闹哪样啊？？             
(5星)	 不错            
(4星)	 每集基本都一样，没意思            
(5星)	 还是很喜欢大叔欠扁的样子            
(5星)	 止于第二季，第三季好像出来了，很期待Dr.Lightman 女儿，超好看的少女哟。第二季貌似有一集讲到多个人格的，让我想到《捉迷藏》。这一季，Dr.Foster更温暖更慈爱了，love you~            
(4星)	 咋说呢 我昨晚梦见你了 罗斯            
(5星)	 最后几集不给力。。。            
(4星)	 为了1,2,13,19的JB大人            
(5星)	 我已经lightman了= =此剧居然动摇了我生男孩愿望            
(4星)	 中规中矩，个别集会很好            
(3星)	 这一季比上一季枯燥。。。            
(4星)	 从第二季开始有点套路化了。            
(4星)	 最后一集的叙事实在是fragmented.剧情弱不弱我没那么多经验没法断论，但拍得不attractive是绝对的。或许lie to me确实因为主角团队性格关系塑造不成功，导致主线太弱，分集剧情受牵连吧？            
(4星)	 对Tim大叔的伦敦音毫无抵抗力啊，可是感觉第二季没第一季好看了，第三季弃剧了啊，摔            
(4星)	 和第一季一样出彩，还想看第三季。            
(5星)	 透露Dr.Lightman家的事，Em好可爱            
(4星)	 还不错啦，Ben Reynolds很顺眼，正直的人儿~             
(4星)	 剧情开始重复套路            
(4星)	 Foster比较好看            
(NA)	 为啥砍了呢。唉            
(4星)	 第二季场景变化多。。            
(4星)	 其实看这部剧，更多的是喜欢lightman和emily的关系            
(3星)	 都差不多            
(4星)	 没有第一季好看啦~不过还是挺对我口味的~            
(NA)	 只看了PJA客串那一集。            
(3星)	 没有一个好的剧本啊。这季看的只是cal 和emily俩人。            
(NA)	 该更新编剧软件了            
(5星)	 比第一季差那么点儿意思，太多FBI的案子了            
(3星)	 喜欢E10            
(4星)	None
(4星)	 还不错，追着看了3部貌似。            
(4星)	 打发了一年            
(NA)	 这样的逆转、水落石出越看越不现实。表情分析、心理攻势就能解决一切，这只限于理论。这样的假设推到了这部剧本身存在的价值。但我还是乐此不疲:）有点腻歪了            
(5星)	 我喜欢像上帝一样的lightman            
(4星)	 果然躲不过多重人格 哎            
(5星)	 第二集没有第一季好看            
(NA)	 好看~            
(3星)	 到后面第二季没有第一季那么吸引我了，不知道是不是只有我有此感。            
(3星)	 第一季是经典，第二季略失望哦            
(3星)	 米有新意呢~            
(5星)	None
(4星)	 相当不错，有独特的地方，但是探案还是老套            
(4星)	 每集双线的剧情安排在看了多集后开始出现剧情疲劳。减一颗星。            
(4星)	 第二季就有点随大流了。            
(NA)	 看不下去            
(5星)	 这一季加进了很多微表情。还有就是“基准线”            
(5星)	 怎么说呢  我要lightman这样的爸爸 嘻嘻            
(4星)	None
(2星)	 操蛋的故事被吊儿郎当的男猪脚演的貌合神离            
(3星)	 品质之内 但没了新意            
(5星)	 爱死            
(3星)	 从第二季弃了 因为之前吸引我的东西越来越少 越来越像一般的探案剧 然后就没兴趣了             
(4星)	 其实第二季无论在剧情上还是在人物塑造上，编剧都比第一季下足了功夫，只可惜每集一个案子，再加上已经俗套的办案思路，真得开始乏味起来了。            
(NA)	 好像这季没看完就放弃了            
(NA)	None
(3星)	 第一次看的话会有惊艳，但是后面套数都猜到了就没劲了。            
(5星)	 看完啦看完啦            
(3星)	 千篇一律，弃了            
(5星)	 超好看T.T            
(4星)	 好可惜。。太监了            
(NA)	 看了一半            
(4星)	 还想看一遍...因为没有第四季了....            
(4星)	 暂且搁置一段。。            
(4星)	 比第一季多了许多情节，没有那么多理论支持了，感觉挺不错。            
(3星)	 逊色第一季了啊。。也许，lie to me 最初吸引我们的其实在心底里只是类似于某种奇技淫巧罢了。过了奇巧的阶段，容易疲劳            
(3星)	 well...            
(5星)	None
(4星)	 也很好看 感觉这个较色就是为男主角而生的、            
(5星)	 好看，喜欢微表情            
(5星)	 说好了每天晚上都要早点睡的，，，            
(4星)	 我爱弹钢琴的你转业去给人看相~            
(5星)	 很爽啊~~也挺有用的~~            
(3星)	 不喜歡就是不喜歡 半點勉強不得            
(5星)	 我喜欢小卷毛~            
(4星)	 大叔脾气越来越奇怪了 = =             
(5星)	 视力好是首要条件            
(5星)	 第二季最好看            
(5星)	 比第一季多了些幽默与人请味儿~~            
(3星)	 还是第一季好看啊。。            
(4星)	 看的时候还是挺有意思的 挺打发时间的 但值得回味的就没有神马了 也不期待第三季 没追完            
(5星)	 嘿嘿  喜欢            
(5星)	 虽然故事的模式大同小异，可还是具有强大的吸引力。适合训练推理、逻辑思维能力，当然最重要的是应变和快速反应能力。            
(4星)	 好久都没看了...            
(3星)	 下坡了，当豪斯医生遇到1900会怎么样。            
(5星)	 最后一集草草收场啊 不知道在讲什么            
(4星)	 看多了就某有之前有意思了            
(4星)	 个人认为第二季比第一季好看，因为惊险多了，但对于分析谎言这事，咱就别开玩笑了ok，纯属虚构是什么意思你懂吗？说能从中学得什么什么的都是二逼            
(4星)	 喜欢女主            
(5星)	 终于用了2个月把第二季看完了- - 。看第三季去。。。到底Cal Lightman和几个女的上床了            
(2星)	 不好意思真的不喜欢赖闷            
(3星)	 额··临近期末，·第三季貌似没有什么时间看了啊~~            
(4星)	 头尾一般。中间几集相当好看。编剧有点浮躁。角色个个都很赞。            
(3星)	 剧情越来越突眼球，但人物性格实在太吸引人。            
(5星)	 不错，喜欢            
(4星)	 明显没有第一季给力，我变得越来越心不在焉，玩游戏聊天。。。好吧。。。好好看第三季！            
(5星)	 强力推荐            
(4星)	 一贯的支持            
(5星)	 Timothy:)            
(4星)	 【PC】 要是有一条大主线就好了...  虽然每一集平均质量都很不错但是给人一种多一集少一集完全无所谓的样子。。            
(5星)	 总感觉模式比较单一            
(3星)	 相比第一季。这一季显得略有乏味            
(5星)	 我喜欢蒂姆·罗斯 包括演戏的那种小痞气             
(3星)	 这一季资粮就开始下降了。            
(3星)	 下坡路？            
(4星)	 一样的赞 重新开始追美剧了            
(NA)	 开始陷入扯淡的情感问题，于是就被砍了            
(5星)	 没事儿就拿出来复习神马的~            
(3星)	 越看越没劲。。第二季之后完全没有追第三季的欲望则。主要是没突破，一直就那个套路。            
(3星)	 看不下去了。sigh            
(4星)	 好看。但是有点不靠谱            
(4星)	 我对大叔真的爱得彻底。这十多天来每天睡前一集，晚上不失眠。中间没有分心看其他电影电视剧什么的。终于给熬完了。            
(4星)	 没有第一季好玩            
(3星)	 越觉得它到后面 越有点没东西可说。            
(4星)	 其实并不喜欢走路像小混混又爱故弄玄虚的大叔，虽然他有我最爱的英式口音。几位主演都不如S1中可爱了，尤其Loker。据说Cal有原型，还给此片做顾问。刚看陈浩民强吻门两人记者招待会时顺带回忆了些微表情的解释，乐不可支。            
(4星)	 科技啊  米国啊              
(4星)	 伟大沉静的父爱            
(NA)	 弃之。            
(5星)	None
(4星)	 比第一部略逊，许是我审美疲劳了。。。            
(3星)	 哎，弃剧了~            
(4星)	 还是喜欢莱特曼在《落水狗》里的表现，Mr. Orange。另，第二部的剧情没有第一部那么水到渠成，有些牵强。            
(5星)	 你骗我试试，鬼翻译            
(NA)	 我的痛为什么会被砍掉，到现在都没法平复！            
(5星)	 好看。            
(3星)	 第二部就没第一部好看了。            
(4星)	 第二季不是很能看得下去诶。            
(4星)	 这一季一开始就走下坡路...            
(4星)	 看到一半看不下去了...            
(4星)	 很不错的 但是看久了就模式化了            
(NA)	  看了好久  我要回家再看第三季了，            
(3星)	 还行            
(5星)	 Dr.Foster越来越性感了            
(4星)	 是不是因为和FBI合作，男主越来越处于危险紧张的境地了。            
(5星)	 cal and foster,默契的一对~            
(5星)	 虽然没有第一季双线那么精彩 但还是吸引人的眼球            
(3星)	 狗尾之作，毕竟可以理解            
(5星)	 Forster,你就从了Lightman吧。。。            
(5星)	 天哪天哪我上瘾了，太爱了！。            
(4星)	 前期平淡，后半段有恶意制造话题而将主角置于每一集差不多的境地。离了婚的女人才可爱，Loker=真·吉祥物。可怜一个过度保护的老爸，不保护孩子的老爸都不是好老爸            
(5星)	 Cal Lightman            
(4星)	 第二季开始觉得剧情比较拖沓，主线不明            
(NA)	 ★★★★★★★★☆            
(4星)	 各种喜欢foster和lightman的情节啊！！            
(5星)	 看过之后听人说话注意力都不在内容上了。            
(5星)	 必须5星            
(5星)	 TimTimTim            
(5星)	 我不明白为什么收视率低了……            
(4星)	 大叔大叔！！            
(4星)	 蒂姆·罗斯 表演有点过            
(5星)	None
(4星)	 比第一部的爽快程度稍逊。            
(5星)	 好看好看，不可以错过            
(4星)	 基本同前            
(3星)	 其实第二部真的不错            
(4星)	 第二季主题略偏离...            
(4星)	 第二季的制作明显比第一季更用心，当然也砸入了更多的银子，这点从几个大场面的制作可见一斑，不过剧集整体水平参差不齐的情况依然存在，很难把观众牢牢地锁定。这季的演员表现比上一季普遍要好，不只是神神叨叨的大叔和古灵精怪的小萝莉，其他演员的表现也日渐出色，特别是客串演员，总会给你惊喜~            
(4星)	 真是冗长单调的不想再看下去了，但就这么被Gillian和Cal吊起了胃口，唉...所以说对烂剧的主角们一定不能产生情感依赖，最失败的例子就是柯南，每年砸上一个多小时，就为了看那三分钟的狗血感情戏啊有木有.../从第七集开始变得有意思了，或许换了个编剧？也可能是这几集的节日氛围让我的代入感更强了...            
(3星)	 很难出新意了            
(5星)	 少了第一季第一集刚看的时候的震撼，但是故事的剧情明显的加强了。很多关头的生死争斗，往往就差那么一点点..            
(4星)	 难怪后来被砍了...确实弱了一点            
(NA)	 CAL在这一季中表现的浓浓父爱，令我感动，喜欢他们的相处方式：他们的直接了当，他们的拥抱，他们的勾肩搭背，他们彼此的信任。            
(4星)	 剧本 没有第一季那么震撼了            
(3星)	 开始落入俗套不想看第三季了            
(4星)	 整体不如第一季了...原先那些亮点的表情研究这一季里反倒少见了...更多的变成了心理研究...中间有几集真心看的我想弃了~            
(4星)	 第二季我可希望莱特曼跟福斯特在一起啦！            
(NA)	 继续喜欢啊喜欢 爱上Dr Foster~            
(5星)	 解读身体语言来破案，知识性娱乐性均五星，可惜三季后被砍。            
(4星)	 爱罗斯大叔            
(NA)	 Emily 好像glee里的Emma尤其是眼睛，lightman你的真爱是locker吧，总欺负他呢            
(4星)	None
(NA)	 喜欢第一集~            
(3星)	 没新鲜感了            
(4星)	 看完前两部就可以了            
(5星)	 看本剧最大的收获就是经常会留意身边朋友的表情以辨别她是否对我说谎，虽然免不了一顿毒打。            
(4星)	 Lightman给我的感觉越来越自大，有点不太喜欢~ 不过总体来说还是不错的            
(5星)	 很棒，和这个比起来我们的警匪片的心理描写太逊了！            
(5星)	 这季其实挺温情的，Lightman更常的是以父亲的身份出现的。。            
(5星)	 nice~~ l love locker            
(3星)	 同第一季。而且感觉还差了一些            
(4星)	 编到后面渐渐把持不住了。LTM从开始就看穿一切，但是观众都懵了。            
(5星)	 没事喜欢盯着别人看表情了OOOORZ……            
(4星)	 到了这一季，觉得有点套路了……第三季打算放弃，有点遗憾没延续最初的吸引            
(5星)	 第二季要是叔不那么花心的话。。。。            
(4星)	 感觉没有一好看...            
(4星)	 疲劳            
(4星)	 第二季开始残了            
(4星)	 比第一季优            
(5星)	  这两天美剧台又在播 第二次沦陷中....            
(5星)	 老流氓搞流氓`真有一手`            
(4星)	 美剧就是这样 如果没有技术发展与进步 肯定会被背叛然后放弃的            
(NA)	 沒有第一季好看            
(4星)	 可惜第二季没有什么主线了            
(4星)	 没第一部精彩但是多了惊险            
(4星)	 由第一季珠玉在前，第二季显得明显弱化了，如果没有改变或者突破，人难免会有比较和倦怠。我想第二季给我的感觉就有些倦怠。分了很多天才看完，且没有第一季那样让我连续看2，3遍的欲望。但心理和悬疑是我大爱，我想还会继续追第三季。            
(3星)	 流氓Lightman            
(3星)	 电视剧一旦进入到了一个模式就不好看了。lightman像个暴虐的皇帝，不喜欢了            
(4星)	 越来越觉得lightman叔叔太帅了~~            
(3星)	 到第二季后面已经都是鸡肋了……            
(4星)	 第二季开始有意思了            
(NA)	 Loker是惊喜~            
(4星)	 看多了，还是会腻的。            
(NA)	 帅气            
(4星)	 开头好水            
(4星)	 轻戳笑点~~还蛮紧张的。            
(3星)	 这季的亮点是---Emily强吻了她爸爸的男人。            
(4星)	 我爱推理片，只是重复着看，有点闷            
(4星)	 犯罪心理学            
(4星)	 爱LTM就如同爱房子叔一样,Loker is so cute.            
(5星)	 真是最爱1990了~~            
(5星)	 超酷~            
(NA)	 微表情破案。            
(4星)	 腻了~            
(5星)	 本来看想锻炼英语 结果就爱爱爱爱爱死了 更新太慢了&gt;&lt;            
(5星)	 很喜欢第一集的多重人格            
(3星)	 第二季，故事性强了很多。但是感觉反而把主题“微表情”分析这方面给淡化了……            
(5星)	 太帅了！            
(3星)	 没有第一季好看，但也还行，惯性吧            
(4星)	 好吧，我无法理解西方人的爱情观，以及，这个题材拍多了，真的会觉得很腻味~~22集的第二季，虽然看完了，但没有想拍手叫好的感觉~~            
(3星)	 故事继续，可是怎么没什么情感发展呢，感觉真压抑。            
(5星)	 总算变成一集大架构了            
(3星)	 有爱的locker!            
(4星)	 其实基本每一季都差不多 因为每集都是独立的 几乎 但是大叔略吊            
(3星)	 我决定不再看佬            
(NA)	 这一季裸露的有点多了~            
(3星)	 有些视觉疲劳了 虽然有些集还是很不错的            
(NA)	 收视下滑难免的             
(3星)	 果然没有第一季好看了            
(4星)	 比起第一季稍稍逊色            
(5星)	 越来越喜欢fister和locker了            
(4星)	 还行 就记得哲说他女儿挺好了 又白又瘦            
(4星)	 这一季有点假了，动不动就命悬一线，把国家机密整得跟过家家似的。。            
(4星)	 爱死大叔的一口英国腔啦            
(4星)	 尼玛玛！这季剧情有点轰隆隆啊~。话说我果然还是不喜欢博士前妻。然后。讨厌死了！！每集都有啪啪啪！！！不要三不五时就来一发好吗！比起这个我更想看插插插好吗！！！博士就在啪啪啪的过程中越来越渣了好吗！！！！还有从第一季开始就喜欢吃甜品的女博士给我还回来啊TTATT超萌的好吗！            
(NA)	 1900俺耐你=3=3=3=3=3=            
(4星)	 总体来说，还不错吧，只是看后，没有了第一季的那种新鲜感了，案子也挺一般，所以，吸引力自然就小了咯。。。            
(3星)	 弱了好多·········            
(5星)	 中意吶~            
(3星)	 真的不怎么好看。            
(3星)	 比起第一季差太多了。。。            
(3星)	 太模式化了，不好看。            
(2星)	 与第一季相比大幅减少了微表情的研究，而更多着墨于对人物的刻画。可惜的是，我对人物不太感兴趣。本就以微表情为卖点却没有术业专攻，虽然第三季还没开始看，但如果依旧如此的话，收视率下降被砍也在意料之中了。            
(3星)	 腻了            
(4星)	 美剧的模式就决定了什么剧都是下坡路么。。。。            
(4星)	 感觉简单了许多，直白了许多，不止是一个老大只有2个马仔那么简单直白的问题            
(5星)	 虽然剧情不如第一季好了吧，但是人们明显都更有魅力了~我更耐了~love            
(5星)	 喜欢            
(4星)	 Lightman越来越嚣张，越来越无所不能，与Foster之间进展依然不明显。。。Foster与上一季独立解决事件相比这一季完全沦为了Lightman的小助手。。。Loker依然很有爱~~Torres的黑人男友怎么突然不见了？我还挺喜欢他的~            
(3星)	 凭良心说你就是个悲剧。第一季还好，到第二季就被大众厌烦了。第三季索性被腰斩。科学是否一定没有戏剧性我不敢说，反正从结果看，本剧的科学戏剧性融合在上市几集后失败了。可能不会再看。            
(4星)	 只看到第二季，后面故事都没有新鲜感了，敢不敢有点突破呐            
(4星)	 比第一部精彩            
(5星)	 大爱！！！            
(4星)	 就特么从第二季开始效率降低了。不过女儿越来越好看了。            
(4星)	 比第一季精彩。。            
(4星)	 大概是集数长了吧，反正我看到一半弃了。。。            
(4星)	 無聊看的劇。。。現實生活中的謊言實在是多到要爆出來了呃。。。            
(5星)	 2010            
(5星)	 12            
(3星)	 男女主角有点让人受不了了            
(5星)	 两天！！！！废寝忘食！！！！            
(4星)	 没有第一季好看，但是还不错            
(4星)	 看多了就这样了- -不过腔调依旧！            
(3星)	 因为导演换了还是怎样，总觉得没有第一季那么机智幽默            
(5星)	 看哭好幾回！！摔！！            
(4星)	 剧情开始有点神乎其神了，过分了啊，不过Lightman大叔痞子还是很萌            
(4星)	 后边有几集渐入佳境，不过和我想象的还是有差距的。识别谎言用来破案，有点……太万能了点吧？真相和破案划了等号，有点狭隘了。            
(3星)	 一半，弃了            
(2星)	 其实第二季比第三季要糟糕……            
(4星)	 一口英国口音            
(5星)	 I&#39;d lie my ass off to protect you.            
(5星)	 第二季的电影feel很重，很多集完全可以单独成为一部正常时长的电影了。但扯的部分也加深，很多时候对话是经不起推敲的。            
(4星)	 ...            
(4星)	 其实没追完。单论第一集我想给五星。            
(3星)	 向不好看的趋势发展了嘛            
(5星)	 为什么砍了..觉得比越狱好看- -            
(4星)	 Gillian吊足了我的胃口。And,我也想有一个Emilly。            
(3星)	 木有第一季好。            
(4星)	 看完就忘了。。。不过大叔还是很迷人的~            
(5星)	 OK 这部去年暑假没有把它看完 @3lwood  在你豆瓣上看到的 让我想起来其实有非常多的美剧很好看啊！我该怎么感谢你啊！！            
(3星)	 没有第一季好看，大概是因为审美疲劳吧……            
(4星)	 越来越不靠谱了。。。我居然还是看得进。。。男男女女都是我的菜啊，除了Cal            
(4星)	 。。。有点做功课的赶脚            
(5星)	 Cal Lightman~~我的爱  Foster你就不要挣扎了，从了Cal吧            
(5星)	 道理说还不错~片子质量没怎么下降，已经很不错了            
(4星)	 单独看Cal和Gillian我都喜欢，但是不是只有我不希望他俩在一起啊&gt; &lt;            
(4星)	 妈的，第二季水果的广告植入严重了好多。            
(4星)	 突然发现，您老还演过《海上钢琴师》啊……            
(5星)	 個人覺得第二季是最好的            
(NA)	 没有更多的翻译表情和肢体语言，Lightman只是读了表情就给了答案，很少解释为什么，使得全剧的亮点逐渐黯淡了，越发变成了简单的刑事破案剧，有点失望。第三季还没有看，不知道还有没有新鲜的东西了，只等寒假揭晓。            
(4星)	 愛這個老頭 也愛演他女兒的那個            
(4星)	 越看越没热情。            
(4星)	 如果不是剧情没创新的话...  好剧            
(5星)	 期待继续唉            
(4星)	 沒第一季好看。            
(3星)	 一个套路看多了就没意思了，一季足矣            
(5星)	 foster！            
(5星)	 这一季就是看Emily...还是很好看那            
(5星)	 很久么看了，后来就找不到哪儿有美剧了。表示太懒= =            
(4星)	 好看是好看 就是看得没什么动力 赶脚每集都差不多            
(5星)	 好看.            
(4星)	 第八集特别有感觉。            
(4星)	 明显没第一季好看。。。            
(5星)	 我觉得很不错 不知道为啥要被砍            
(4星)	 有点感觉重复了....            
(3星)	 McSilence 2010-02-10  一个成熟的男人不会跟自己的知己上床。（你contempt了。）            
(4星)	None
(2星)	 无聊了 老套了            
(5星)	 恩恩~~不错不错~~            
(3星)	 已经审美疲劳了            
(5星)	 很好很好~不过第二季的节奏明显慢下来了~            
(3星)	 比第一季水准有所下降啊~            
(4星)	 还是看完了~            
(5星)	 谁说不如第一季的 拖出去斩了            
(4星)	 不如第一季……            
(4星)	 看蒂姆罗斯演戏是种享受，有女儿就该这样疼啊            
(4星)	 光哥一副痞样...            
(3星)	 開始渣了……            
(4星)	 没有第一季好看            
(3星)	 看多了 都那么回事、            
(5星)	None
(NA)	 比第一部更好看。            
(3星)	 看不下去……            
(NA)	 还行，在专业的角度看这个电视剧还是有可取之处的            
(5星)	 第二部也看完了            
(5星)	 怎么看怎么觉得LTM有种……            
(5星)	 越来越繁复的情节，越来越丰富化的案情，可惜没有看完。。。但是依然力挺之！            
(5星)	 一样精彩            
(NA)	 好看！！            
(3星)	 喜欢L和T的感情…            
(NA)	 loker 帅            
(4星)	 这部剧真是拖了好久。。。因为看着看着就没兴趣了。。            
(4星)	 有点下坡路  但是e11相当精彩             
(5星)	 相比第一季，第二季题材更为大胆，让人难以捉摸，lightman个性更加突出、飞扬跋扈。糅合各种案件在里面，更让人看着扑朔迷离。            
(4星)	 停看了很久了。            
(NA)	 昨晚，把第二季看完了。cal怎么越来越像个痞子，第一季里还没有表现的这么明显。            
(4星)	 不错            
(5星)	 em很可爱...大叔你就从了Gill吧...            
(4星)	 CG这么大年纪了还...            
(4星)	 我在人考完试不知道去哪里风流快活的时候，睇完了第二季            
(3星)	 没有想象中的好看。我不喜欢tim roth的表演 多余动作太多 而且他竟然是海上钢琴师里的1900告。。            
(5星)	 大叔~~            
(5星)	 我为毛很喜欢Emily kisses Eli那个地方呢……囧            
(4星)	 断断续续地看完了，本来对它免疫了，到最后还是拾回了一点兴趣。            
(NA)	 ,我最中意聪明的男人！            
(4星)	 感觉比第一季故事流畅一些。            
(4星)	None
(3星)	 光人和em有场戏觉得很温馨 说不清那是什么感觉 家庭？伴侣？oh no 几个主角暧昧都是吸引眼球 米有实际进展 剧情也乏善可陈 乱乱乱 但是还是会追 谁让俺有始有终呢            
(4星)	 三季之中最喜欢这个。            
(4星)	 大叔性感             
(5星)	 开始拖沓了            
(3星)	 我还是比较钟情于变态杀人神马的            
(5星)	 感觉自己性格跟Lightman有点像...但是没有他的实力...怎么混！            
(5星)	 看过第一部很少有不愿意接着看的。。            
(3星)	 不看第三季了。            
(4星)	 亲爱的大叔。            
(5星)	 觉得没有第一季好看了= =            
(3星)	 看到ep09后打住，质量较第一季略有下降，主要还是审美疲劳了。            
(3星)	 loker真是越看越帅            
(5星)	 私以为第二季是最好看的，原来每集的两个案件渐渐变成了一个，组合也更有爱~            
(4星)	 虽然第二部。。。。没有第一部好看了 但是还是给四星            
(5星)	 居然被砍掉............            
(4星)	 神感情线啊尼玛！囧！编剧太不给力！！！            
(5星)	 一如既往的好！            
(2星)	 男主越发唯我独尊，主配找不出一个有爱的，神神叨叨的剧情令人忍无可忍。            
(5星)	 思想的自由是人类快乐和悲伤的根源            
(3星)	 不如第1季            
(4星)	 大叔，我太爱你吊儿郎当桀骜不驯流里流气贱兮兮的模样了！看完这剧的后遗症就是会刻意留意别人的眼神和嘴角弧度。            
(5星)	 不管怎么说，还是满分！！！            
(3星)	 越来越烦他们扮演上帝的角色了            
(3星)	 终于熬完了。。。            
(4星)	 real science            
(NA)	 超级喜欢！！怎么办 什么时候在继续出啊            
(3星)	 第二季开始就烂了。            
(4星)	 看的人都神经质了，谁说话都想观察下真假            
(4星)	 第二季已经明显比第一季套路、少识谎多噱头忽悠，有点“神”了，但第二季还算行，因为第三季才叫烂。            
(5星)	 骗我试试……            
(4星)	 看完都忘了评了哈  就是与第一季落差太大            
(4星)	 大爱            
(3星)	 第一季看完觉得好看，第二季看了一半就看不下去了。开始坑爹一样的无聊了            
(NA)	 cal越来越像个痞子。在第一季里没有发现。            
(3星)	 这不是一个傻人会有傻福的年代，一个谎言的得逞，会导致下一个迅速地到来，直到再无利益可获。            
(5星)	 剧情比第一季更好            
(5星)	 emily小萝莉~~            
(3星)	 第二季完全就跌了几个档次，这是肿么了？            
(NA)	 这一季不错。            
(4星)	 貌似没第一季精彩了            
(4星)	 没有第一季好看...太多情感戏...            
(3星)	 没有第一季好看            
(4星)	 啊~~~我好爱他            
(4星)	 第2季还是不错滴            
(5星)	 Tim Rose！！！            
(4星)	 看到后面就有点越来越扯了            
(4星)	None
(4星)	 人格分裂那集满酷的            
(5星)	 CB CB CB 莉莉说话就离不开的CB!            
(3星)	 没第一季好看了。不想继续看了。            
(NA)	 喜欢这类型的片子            
(3星)	 第二季就是由Foster不断的哭和Lightman不停的与涉案女性发生关系的部分组成的，毫无第一季的紧凑性可观性啊            
(4星)	 locker的小卷毛很萌            
(NA)	 非常棒的一部美剧            
(5星)	 怎么能不看呢            
(5星)	 经经经典            
(5星)	 对别人的称呼不是guy ,不是dude,也不是honey,而是充满爱的love, 感觉很sweet。            
(5星)	 Loke招谁惹谁了？为了制造内部矛盾就炮灰了而且各种莫名其妙……Foster越来越有魅力……但是剧情没第一季好了……            
(3星)	 觉得好像有点怎么着都是一回事···            
(3星)	 有点腻味了~  太一层不变…   我缓缓再看被砍掉的第三季吧 也就是最终季            
(4星)	 过于神化了lightman 感觉失真            
(5星)	 比第一季好看            
(4星)	 有点审美疲劳            
(4星)	 本专业范畴。不过有点神乎其神了。            
(4星)	 Lightman大叔威武！不过我更喜欢你女儿……但是没有第四季了……            
(5星)	 微妙            
(4星)	 好吧 第二季还是好看的～            
(5星)	 喜欢所有主角，难得啊。Emily太萌了。第10集Loker的吉他弹唱也很好听。            
(3星)	 比第一季的水准有下降。过分追求剧情的悬疑和负责，忽略了对微表情的关注            
(5星)	  TimRoth             
(NA)	 对这个英国老头儿已经完全着迷~            
(NA)	 没有第一部精彩，但是看看也挺好            
(4星)	 没有第一部好看，情节弱了点，人物关系也没有突破            
(4星)	 可以学到很多位表情的心理学            
(3星)	 只有几集比较有亮点...            
(4星)	 其实我挺喜欢CAL 他闺女 他老婆 他权益合作伙伴的 = =            
(4星)	 焦虑 愤怒 耸肩 抿嘴 。。。其实谎言就是这么无可掩饰的被识破 可是谁又会否认自己曾经不是匹诺曹            
(3星)	 一个人的英雄主义。            
(4星)	 较第一季逊色不少。            
(4星)	 loker♥♥            
(5星)	 最爱            
(5星)	 Let there be Lightman.            
(5星)	 其实还蛮有用的。。在看人方面            
(3星)	 还是第一部好看，怎么差别这么大？？？            
(5星)	 i like it            
(3星)	 千万不要惯性思维了，第三季为何还是如此.....            
(NA)	 没有第一季好看。            
(3星)	 没零食吃还一集一集看完的人儿你伤不起啊            
(5星)	 赞            
(3星)	 从后半季开始变成彻底抽风的破案剧了读研术就这么变成了幌子..谁要看这个？！            
(4星)	 我是为了蒂姆大叔才决定追这个剧的 你知道咩~            
(4星)	 第二季一般般了。。。            
(NA)	 不错            
(4星)	 挺喜欢他的英音..            
(3星)	 为表情相比Profile来比还是不靠谱得多。。没有犯罪心理好看            
(4星)	 “Gillian Foster与Cal Lightman的关系不仅对观众很重要，对对剧组也很重要。这两人将产生‘深沉的’、‘意味深长的’、‘与性爱无关的’、‘只能意会不可言传的’爱情。这个情节将不断发展。”听说他俩在第三季接吻了。            
(4星)	 看到后面就懒了。。现在已经完全放弃了！            
(5星)	 第二季第四集结尾好感人；            
(5星)	 哎。。。混蛋。。            
(5星)	 这一季是gillian x cal的jq大爆发好吗！！！！！剧情什么就扯吧            
(5星)	 第一季好。            
(4星)	 最有爱的foster and lovely loker.            
(4星)	 怎么能停播呢 都有点不敢往下看了            
(NA)	 很喜欢这类剧            
(5星)	 lie to me ....没有第一部震撼，故事多了，教给人的东西少了，不过还可以。。            
(4星)	 还是不错的~            
(NA)	 只要有谎言就会有漏洞，总会发现，不要对我说谎            
(4星)	 该在一起的人啊你们快点在一起吧。            
(5星)	 尼玛啊啊啊啊啊被砍掉了！！！我要遭气吐了            
(4星)	 这部剧教人识别谎言，也就意味着教人如何掩盖谎言~            
(3星)	 目前为止，没有一部美剧可以看完二季。。。            
(5星)	 女儿是真的么~？真是一样样地~            
(5星)	 看了一，肯定要看二的            
(5星)	 看多了略微疲劳 但是大叔依旧帅气的无法抵抗！ emily so cute~            
(3星)	 费脑子            
(4星)	 剧情开始复杂，案子涉及的也比较大，比较不同，外景也晃眼了很多，这一季的剧本肯定涨价了            
(4星)	 少了的是第一季的新鲜感，没更多的创新。不过还是很喜欢他那拽拽的表情，忍不住追了。            
(5星)	 第二季依旧精彩,实属难得            
(3星)	 还行吧，没特别想看，也没看不下去            
(NA)	 一个创意经不起两季的消磨。            
(NA)	 连载的等待磨光了我的耐心            
(4星)	 知道一个人说谎容易，知道一个人为什么说谎就难了。            
(4星)	 没第一部感觉那么好~···            
(NA)	 追到第二季就没意思了……            
(NA)	 学到许多东西，不错不错            
(4星)	 这季的剧情精彩了不少。不过我只想说，Tim是唯一一个让我看了他这么多美好的剧情依然爱不上的一个男猪脚。。。╮(╯_╰)╭            
(5星)	 这一季Lightman神经了......            
(4星)	 总觉得第一部更好看点。            
