http://movie.douban.com/subject/3016201/	我的淘气王子 惡魔在身邊
(3星)	囧  年少时的甜点  以及  贺小美  满头的发夹
(3星)	有点毁了小美。。。没有在斗牛要不要帅气
(2星)	我是来吐槽的，够扯。。。真不喜欢杨丞琳。贺军翔耍帅累不累啊。。。
(3星)	纯属偶像剧，没内涵，随便看看
(2星)	全都忘了
(5星)	贺军翔你给我听好了啊猛是我的最爱喜欢啊猛的帅 啊猛的笑总之很喜欢啊猛
(3星)	那只手套还蛮可爱的，小美一开始的头发有点雷
(3星)	MS是电视上断断续续看的一部 以前果然很闲
(4星)	小美好帅~
(4星)	你们都忘了的 它还记得
(3星)	一到考试就很想看点很怂的DX
(3星)	就偶像剧吧，没别的特点。
(3星)	我看偶像剧的第一部片！！！引入了歧途啊 ！！！歧途啊唉！
(3星)	猫捉老鼠的戏份还不错，挺有意思的，对贺军翔的耍帅无感，关键是他貌似就那几件衣服
(3星)	杨丞琳的偶像剧，很多都是鸡肋啊
(NA)	》 《 小美
(4星)	造型真土。
(3星)	曾经在寝室里我们都很迷。。、
(4星)	RANNIE~
(NA)	这时候就觉得小美很野性的不错了= =
(2星)	...........
(4星)	这个好看！很喜欢杨丞琳！虽然她后来接的偶像剧都不咋的……歌很好，她这人也够坚强。
(3星)	偶尔看下偶像剧，调剂调剂心情也是不错的。。
(3星)	没看全，贺军翔的发行也不大好……还不错~
(NA)	哎
(NA)	啊我小时候不懂事看的啊
(1星)	我相信，没有比你更好的人
(4星)	怎么那么多人讨厌杨丞琳 但她真的很美 那段时间因为这个迷恋过小美童鞋
(3星)	臺劇的經典套路。帥哥喜歡小白白。
(NA)	小升初的暑假
(5星)	喜欢小美的开始~
(4星)	20岁时候的我，看了这片子，被阿猛感动了，多懂事的孩子，外表恶魔，内心天使。
(4星)	姐弟恋谈成这个样子·可以去屎了·大家散了吧洗洗睡了
(3星)	一群人都很可爱啊 剧情其实也不错 台湾偶像剧开始走向让人欣慰的方向了
(NA)	小美~~~
(2星)	女主装可爱，男主装A和C之间的。。。
(3星)	属于坏坏的却很多人爱的男主角，搭配可爱天真女主角，如果说不是偶像剧，谁信呀~~
(4星)	贺军翔 没有死角
(5星)	真的很好看 现在这种偶像剧很少了。。
(4星)	小美的片  很喜欢那样的爱情
(3星)	还行。
(NA)	还可以啦。
(4星)	当年看的时候没觉得有多好可是这两年时不时都能想起来看来我也喜欢看起来有点坏实则专心有能力的男人当然必须是美男啊~~
(3星)	当时看，有种蓝调的《暧昧》。
(5星)	稀饭~~
(4星)	当年的  恶俗 可还是喜欢~
(5星)	我觉得这部很好看，一集演的内容特别多。里面有个金发刺猬头打篮球很阳光。
(3星)	居然高中还看烂俗片？
(4星)	我喜欢源伊
(NA)	还是不喜欢杨丞琳。。。其实是没想法啦
(4星)	看帅哥看帅哥
(4星)	情节恶俗 可就是看不腻 就是贺军翔的表演台造作
(3星)	原谅我，看这么恶俗的电视剧
(5星)	当时深陷了。。
(3星)	又是三人組! 可是我整個人就是接受不了姐弟戀阿.. 那時候拍的太早了啦, 現在回看都會很想笑
(3星)	说起偶像剧，看着的时候总是骂骂咧咧觉得太假，可是无聊的时候i，调到了台就懒得去换。打发无聊的时间。
(4星)	小美真把这恶魔演活了，那个眼神超赞！杨丞琳也无敌的可爱，最大的惊喜是演江爸的何笃霖和演齐妈的戈伟如，超可爱的一对，有时候还希望他们的戏份多一点。
(4星)	算是我对台湾偶像剧的入门教材之一。
(2星)	装
(3星)	打发时间..
(4星)	贺军翔这个时候最帅了 现在不提了哎
(1星)	湖南卫视播的时候扫了两眼 男主女主都不喜欢
(NA)	小美还是挺帅的，不过本人非常讨厌杨xx，王传一也还挺帅，不过怎么总演傻里傻气的人呢。
(NA)	哈哈，小美就是适合演霸气人物。帅
(4星)	贺军翔太帅了..............
(1星)	烂人演烂片！
(NA)	还不错
(3星)	还好吧青春不过不是很喜欢更讨厌杨丞琳~
(3星)	喜歡楊丞琳
(4星)	这时看上的小美。。那眼神。。
(NA)	还恶魔？我靠~恶心还差不多
(3星)	小美...........小美
(3星)	哪里像姐弟阿。。
(2星)	不要一直拿傻逼剧情来考验我的耐心。不要拿杨丞琳来动摇我看偶像剧的决心。
(2星)	瞄了一下
(3星)	囧剧。恶魔兄演的真做作。
(5星)	经典～
(4星)	男高大女娇小，还行吧~  台湾偶像剧中上等水平
(2星)	忘了看的初衷。只记得贺军翔那恶寒的眼神了。
(NA)	当年真觉得杨很可爱 小美一直很喜欢 只是老演这种角色 审美疲劳了
(2星)	典型的偶像剧。。
(2星)	这部戏对贺军翔彻底失望~感觉他的台词就只有那么几句~
(4星)	爱小美！！
(1星)	烂片，烂剧情
(3星)	不喜欢杨丞琳
(3星)	额~那个~
(4星)	姐弟恋吧~
(3星)	里面的人都挺无感的......但是歌还不错听~
(5星)	很有感觉的一部片~
(3星)	只觉得，小美真的很...美~嗒！~
(4星)	男主角不好看
(1星)	烂透的狗血剧
(NA)	其实杨丞琳的演技很不错。。。。
(3星)	里面的晴紫和莉香很PL~~~~剧情还行
(3星)	傻里傻气..
(2星)	我就不愿多说了 一千个读者有一千个哈姆莱特。
(5星)	超终于贺军翔..............
(4星)	暧昧……
(3星)	穿的都挺朋克的
(1星)	呃~还是看书吧 尊重原著
(3星)	美男啊！！！不过就是外表罢了……额
(4星)	我还看了蛮多遍的
(4星)	姐弟恋~
(2星)	很很很不喜欢贺军翔.这样的偶像剧也太偶像点了吧?完全没内涵.
(NA)	还不错啦
(5星)	我靠，老好看了呢！但是还是喜欢《海派》诶！(*^__^*) 嘻嘻……呜哈哈！
(3星)	矫情
(4星)	很多年前看的，觉得还不错，也不长，挺浪漫
(1星)	我宁可听曾哥唱歌
(4星)	那个时候真是很迷的啊...
(3星)	小美好帅！
(NA)	不大喜欢杨丞琳，太能装了，做作，
(4星)	这么狗血的片我居然爱的要死 T T
(1星)	看过一点，实在不喜欢杨和某人的发型（突然想不起名字- -|）
(4星)	小时候看的，里面的人都挺可爱的，其实没必要用现实的尺子去衡量偶像剧的
(2星)	给王传一和晴子的
(4星)	还不错。娱乐娱乐大家。
(4星)	以前一直很不喜欢小美~大一的假期，半夜睡不着，正好看到。不知怎么就喜欢上了。小美啊~眼睛很好看！
(1星)	恶心
(4星)	喜欢不伦的题材。。。这也是目前为止我对小美最满意的剧
(2星)	总之我不喜欢。
(4星)	虽然大家都很讨厌杨丞琳，可是我觉得他的偶像剧还不错啊，这不算好看的，相比换换爱来说
(2星)	 - -我想我这辈子都不会喜欢上台湾偶像剧了。真的太白了。好久之前买盘看的。一度觉得太雷人而看不下去。男主也超恶心。
(NA)	啊啊啊。曾经疯狂过 。。
(4星)	剧情很好 演的不怎么样
(4星)	满不现实的！！
(NA)	无聊
(3星)	我的贺军翔  然后就没有别的了
(NA)	……
(3星)	哈哈~当时还真的是很喜欢这狗血装逼的演绎
(2星)	我怎么还觉得好看大一时候？
(3星)	= = 凑合看看
(2星)	巨恶心啊   杨丞琳那时不时露个镜头的小胡子
(3星)	很瓜的一部电视剧，但是也有它的笑料，有它值得欣赏的地方，就看你承不承认它……
(4星)	纯情少女YY剧
(3星)	杨丞琳太2了。。
(4星)	并不觉得矫情
(3星)	受不了贺军翔的眼神...囧
(4星)	除去他的大衣和奇怪的发型，他是我喜欢的恶魔。任性霸道又怎样，如若他是那样帅气可爱，并且足够爱我。
(5星)	记得当时的感觉就是---好久没有看到这种让人不忍结束的片子了。好希望片子能一集集地演下去，永远别结束。当看完最后一集，心里是满满的空虚，无趣的日子又要来了。
(3星)	最烦阿猛的发型、笑容，齐悦的牙齿
(3星)	冰灾那年冬天看的，里面的造型和台词实在是有些呵呵不敢恭维
(5星)	很好
(3星)	回头想想太傻了……
(3星)	我没想明白，我为什么会去看...
(4星)	记得是跟一群同学我在公寓里通宵看得片。看了睡着，醒了又看。完了以后，真不是普通的空虚啊。特别是想着第二天又要回学校...哈哈...不过我都熬过去了。
(2星)	改编失败
(1星)	恶心的眼神
(4星)	2008
(5星)	台剧的男主角都挺帅的，喜欢贺小美~~不喜欢做作的杨丞琳~~
(NA)	⊙﹏⊙b汗还真像个恶魔
(5星)	其实非常好看
(1星)	dayikilayi 杨丞琳！
(2星)	杨演的实在……
(3星)	不喜欢杨丞琳
(5星)	当时看的时候真的挺喜欢  现在吧 偶像剧都一样不可能在看第二遍的
(5星)	王傳一飾演的源伊，是多少人心目中的王子？
(NA)	不知咋说。
(5星)	唯一一部连看了二遍的台湾偶像剧。台湾剧真的很拖沓很ging
(3星)	小美~
(2星)	有yida的歌  给两星
(5星)	哈哈 回忆 给个5星
(4星)	上大学第一次在FTP上Down的、和室友一起看的电视剧想当年我那万恶的速度悲剧的小电啊~~~
(4星)	也许我骨子里喜欢坏男生。
(4星)	小美，小美。。。帅呆了。。。
(2星)	为什么这种男生还有人喜欢。。。不理解不理解。。。摇头摇头
(3星)	小美的吻真是销魂啊~
(3星)	在伦敦的时候没事做YOUTUBE上面跳着看的。。。冲着贺军翔去的
(NA)	高三暑假~发泄
(3星)	贺军翔。喜欢。
(2星)	完全是看小美~但是...确实让人纠结~~
(5星)	太喜欢了！！！
(3星)	看得比较早的台湾偶像剧~
(NA)	不喜欢
(4星)	在黑心老太婆家homestay的时候。
(NA)	好看，快乐
(NA)	…
(3星)	现在当然是不理解当初的沉迷`或许那份情怀已经不在`
(3星)	还不错吧，我比较喜欢坏男生型的，哈哈
(NA)	今天上午看的。。
(4星)	剧情一般，就觉得演员养眼
(3星)	嗯、
(1星)	囧得我死去活来   
(2星)	雷剧
(5星)	看过的为数不多的台湾偶像剧之一，这是朋友介绍的第一本杨丞琳主演的电视剧，也是贺军翔的。
(5星)	那个时候觉得很好看~ 
(NA)	为什么大陆改编少女漫画就不会有这样的成功呢？？？？
(4星)	很不错~ 
(3星)	小美很帅。换个调调还不错。
(3星)	某某人提前把剧情都给我讲了 但还是很认真的看完了
(NA)	男女主角都很恶....
(4星)	看的第一部台剧。经典但现在看来有点幼稚。杨丞琳有些好感。。小美这部戏是把额滴心抓得紧紧地——花心坏小子但仍然讨人爱啊~~
(2星)	这是啥啊 这么无聊
(NA)	很搞笑，虽然情节有点~~~但还是很吸引我看到最后！
(4星)	坏也可以很可爱~~~~~
(3星)	当年很喜欢丞琳的发型~~~
(5星)	贺军翔太帅了，小美
(4星)	阿猛 阿猛 啊啊啊 偶像剧里的男主角 总是让人神魂颠倒的 哦哈哈哈
(5星)	其实我比较喜欢王传一那种忧郁的风格
(3星)	这部片子我永远都忘不了。当时下载的兴奋劲以及观看的憧憬。07年的寒假。也就是大学的第一个假期。没有作业。没有担忧。有的就是深深的怀念。这部片子还是挺好看的。清晰度很好。演得也不错。确实适合爱幻想的美眉们看。哈哈。
(3星)	高中时候看的，那个时候觉得真好看，每天逃课去网吧看，现在觉得好无聊了。
(2星)	看过漫画的我实在无法认同
(4星)	曾经的最爱，有那么个帅帅的男友，那么有个性的人，超灵的~
(2星)	有什么好看的
(3星)	台湾剧，能不能自然一点啊！苍天。看了漫画的不要再去看此剧了，会很失望。那个超囧的文丑丑校长，哇呀呀呀……
(3星)	贺军翔这里还能看，在后面就娘的不行了。剧情白痴。
(3星)	制作很粗糙，但本人比较喜欢杨丞琳在剧中的打扮
(4星)	唯一有感觉的台湾偶像剧
(3星)	喜欢杨丞琳在这部剧里的发型~
(NA)	又是梦幻剧。
(3星)	!
(2星)	呃。。。
(5星)	我看过不止2次。。。
(4星)	浮华呗，人帅呗，不现实呗，做梦呗
(1星)	我很讨厌女主角 无比厌恶
(2星)	讨厌杨丞琳。。。
(3星)	都是雷同的
(3星)	不喜欢小美的造型
(4星)	好久前看的了。。。。
(1星)	嘔像劇
(3星)	很喜歡齊悅的劉海
(NA)	它喜欢贺军翔在里面的表现了 又是一部蛋白质剧 因为对爱情的感动 还是坚持看完了 而且不止一次的看里面的感人场面 真的是幼稚到不行 
(4星)	小美那张俊美的脸其实不适合做夸张的表情。出演综艺节目的他比偶像剧里酷多了，帅多了。
(NA)	[2007]
(1星)	恶俗
(2星)	不喜欢贺小美的发型，衣着也很一般，没什么剧情，杨丞琳更是一大败笔，什么时候贺小美才能摆脱杨大白
(3星)	一度覺得他們很配
(4星)	曾经一度很疯狂
(3星)	由于不喜欢杨丞琳. 而不很喜欢这个剧~ 小美太MAN啦~
(NA)	小美从这儿来的
(3星)	小美阿，霸道的男人有安全感。
(5星)	杨丞琳和小美演的电视剧中，感觉最好看的一部
(4星)	最有喜感的偶像剧
(3星)	...
(2星)	第一次看感觉很好，第二次，第三次....越看越没劲
(4星)	算是杨丞琳比较好的一部吧
(4星)	可爱的剧情
(1星)	因为杨丞琳。。。。
(NA)	一堆的丑八怪
(2星)	看了一半实在太弱智看不下去了。。。
(3星)	為什麼贺军翔一直和杨丞琳混一起~咳.. 
(3星)	万恶的偶像剧
(2星)	晴紫蛮正~
(2星)	少年，假期，电视
(5星)	很帅的，我喜欢这样风格的男生，哈哈
(3星)	贺军翔太帅了,口水阿~~~
(4星)	原来超喜欢可米小子，所以冲着王传一去看的，没想到看过之后，就很喜欢小美，他真的很帅，很杀人的眼神，呵呵，又移情别恋了~
(3星)	冲着王传一去的，却意外喜欢上了小美，他的黑眼圈很重诶。可对《暧昧》这首歌不感冒。
(2星)	装酷装到抽抽的一群人……
(NA)	那阵子像着了魔一样
(5星)	最最最最最爱，猛。
(4星)	喜欢，她的妈妈很好玩儿
(5星)	齐悦.
(3星)	有几个地方吸引人
(3星)	年轻人的活力喽
(3星)	怎么说呢。不喜欢林依晨，恶魔酷得老是那副样子，哈哈。总体一般般吧。
(5星)	，高中时看的，很喜欢；喜欢他的执着，最爱受伤弹吉他那一幕，和，穿运动装爬山那段，噢，还有，最后，他回来那段；
(4星)	湖南卫视剪辑版。
(1星)	“小美”。。。和土拨鼠MM 给我一个看的理由 
(NA)	贺军翔感觉不错~原来就是喜欢这种感觉的男人~
(5星)	很好啊
(4星)	只是看过。~~~
(3星)	还是漫画原著更好看些。贺军翔被那个恶心发型毁了= =。
(4星)	看了一夜
(4星)	贺军翔，果然是帅~
(NA)	女人都喜欢坏男人啊~看得我春心荡漾
(5星)	贺军翔的眼神--真的迷死人不偿命
(5星)	从这部开始喜欢小美的
(3星)	看看还不错的片子，不过还是接受不了小美。
(5星)	第一次觉得一个男生可以帅成这样，简直受不了啊，太帅了！！！！
(NA)	好看好看，小美超赞
(2星)	我看的最后一部台湾偶像剧
(4星)	发觉自己好像还蛮喜欢看小美演戏。
(NA)	  姐姐和弟弟...
(4星)	喜欢上小美坏坏的眼神！
(NA)	喜欢不美  当然要看了
(3星)	考虑到当时的感觉，没有打两分
(5星)	很搞笑~~而且翔琳组合！！
(4星)	撇开杨某不说..这剧在情节处理上还是不错的..
(4星)	很久之前看的 还算不错吧
(5星)	超级好看。歌也好听
(4星)	至少还是让我有兴趣额
(NA)	可爱，又期待
(3星)	其实还好.
(NA)	我预感我一辈子只喜欢你
(3星)	小美超帅！！
(4星)	还行~
(3星)	坚持的故事
(4星)	喜欢小美~
(3星)	台湾偶像剧 
(5星)	商法典 撒旦法
(NA)	太恶心太恶心的电视剧
(3星)	看不惯那个男的装COOL装过头
(3星)	还可以哦 边看边笑 觉得 比一般的偶像剧好那么一点点 有一些话 还是很对的
(3星)	这个还真是好好看了下~于是现在去k的时候偶然会点《暧昧》~
(NA)	不要逼我
(NA)	一口气看完的，现在回头去看，就一般了，但是我当时无可救药的喜欢 小美
(3星)	o(∩_∩)o...哈哈 我是个花痴 肤浅的花痴 注重外表 嗯 帅哥美女片 剧情简单无聊 不过还好 能接受的范围把它看完~
(4星)	...
(3星)	还是他三人的组合~哈哈！小美真是帅到可以啦~剧情也不错啦~
(5星)	爱小美，这里的杨丞林也是有可爱到辣~
(4星)	不错，挺搞笑的，跟当下流行的姐弟恋也蛮符合的。
(NA)	喜欢王传一~~~~~~~~~~~~
(3星)	哈，小美真似美啊~~~ 引发了后来我看斗牛的欲望......
(NA)	以前超喜欢
(5星)	让人开心的一部偶像剧，虽然剧情依然很傻，可是没办法，小美实在是太帅了。
(3星)	当时看得时候超迷，现在想想，自己真的成熟了。
(NA)	尾没看
(3星)	主角的表演感觉好假.
(4星)	看的时候还是觉得很好看的.
(3星)	小美很帅～
(NA)	2008.5.7花了三个晚上看完了，基本上是拖着进度条只看贺小美的表演。我和唐僧说，没错，小美表演远远不如明道，可是，人长得好看就是占便宜，尤其是眼睛好看的人更是便宜占尽：）
(NA)	哦  那个贺小美 真是说着玩的不错
(2星)	不太好看...
(1星)	傻～
(5星)	曾经很喜欢。我还背着爸爸妈妈偷偷买了一套碟呢。现在当然是后悔莫及啦。
(4星)	好看就是好看
(NA)	坏就一个字
(NA)	爲什麽我就是記不住賀小美的臉呢？
(3星)	怪了 ..看了这个突然喜欢上王传一
(NA)	看了..這個..然後..就是失望..
(1星)	lan 
(NA)	好帅！
(4星)	热血贲张～
(NA)	看的第一部偶像剧，觉得还是有很多值得学习的地方。
(5星)	很好看很好看~~~
(NA)	挺搞笑的爱情
(3星)	啊？这部戏我看完了？
(NA)	20第二遍。。。
(4星)	我爱 源伊！！
(2星)	贺军翔演的不错哦!
(4星)	曾经迷恋，从此，贺军翔这三个字很是震撼
(5星)	还满不错的类
(4星)	当时觉得杨丞琳还不错
(4星)	男人不坏,女人不爱!
(2星)	只看了第一集和最后一集。。
(4星)	看的人心里都起起伏伏，眼泪哗哗，恶魔演绎得完美可恶又不得不爱……
(5星)	是《流星花园》之后，让我印象深刻的剧
(NA)	我的高3··
(5星)	帅B拉
(4星)	开始喜欢小美
(2星)	看台剧了……生活确实有点枯燥
(1星)	差的是杨丞琳不管小美的事！杨丞琳贱！做作！没发现斗牛要不要有了HEBE人气就高了吗！杨丞琳滚！
(3星)	江猛是应用艺术系的，和我一样。
(5星)	好看~~~
(4星)	小美很可爱！
(5星)	够味
(NA)	^_^
(NA)	超级好看~~
(3星)	know a little about it
