http://movie.douban.com/subject/2248757/	铁齿铜牙纪晓岚
(3星)	 开始还行，越看越不喜欢了，怎么拍不完了            
(NA)	 小時候看的。            
(5星)	 从此深入人心的铁三角。            
(4星)	 其實袁立是個演技相當不錯的女演員 何苦要走現在這種讓人看了就生厭的‘性感路線’            
(4星)	 铁齿铜牙纪晓岚，我的童年荧屏。            
(5星)	 新颖的组合            
(5星)	 老纪~            
(3星)	 跟在我爸后面看的... 尼玛和珅是个美男子啊TOT            
(5星)	 很喜欢啊～～　喜欢机智的人～～            
(3星)	 传说中的铁三角~            
(4星)	 我爸可喜欢了。陪我爸看了四五遍。            
(4星)	 太带劲了            
(3星)	 哈哈笑屎笑屎 小时候特爱看的杜小月~先生~            
(2星)	 舅舅很喜欢            
(4星)	 喜欢，不单单是剧情，剧中的张国立将纪晓岚这个角色演绎的淋漓精致，容不得人不喜欢。            
(4星)	 嘿...跟我爸一起看滴~~            
(4星)	 我就喜欢杜小月！！！            
(5星)	 所谓的一部不如一部            
(4星)	 铁三角。。。不过现在都老了。。。            
(4星)	 我爱啊！！！！！！！            
(4星)	 喜欢            
(4星)	 童年回忆啊！！            
(NA)	 也曾沦陷过            
(5星)	 导致我看一世为臣时好有阴影。。。。。。            
(4星)	 看过，留名……            
(4星)	 前段时间我还和同学聊这个电视剧聊了将近两个小时……            
(4星)	 其实片名应该改为老纪和二的基情燃烧的岁月。            
(5星)	 怀念            
(3星)	 第一部确实还不错            
(NA)	 曾经对张国立有好感~~~~啊啊            
(4星)	 很有趣            
(4星)	 没看完整呢            
(4星)	 这帮大臣真闲，天天斗嘴皮子。。。            
(4星)	 一部讲述和珅和纪晓岚奸情的腐片            
(4星)	 小时候看的乐得不得了，多了就烂了            
(3星)	 挺好看的，第一部，后面就不好了。铁三角真铁。            
(5星)	 我喜欢这个，第一部最好看了，后来的剧情就越来越狗血了虽然~            
(5星)	 很搞笑很经典            
(3星)	 可以说还算有趣。            
(3星)	 历史上貌似纪晓岚要比和绅年长很多，而且几乎没有时间共朝。            
(4星)	 我那时候特喜欢小月            
(3星)	 又是一N多部的戏。。。审美疲劳了            
(5星)	 初中饿好像            
(4星)	 王刚在此开始，我就一直以为他是和珅了。            
(4星)	 太多了   都不想看啦            
(NA)	 我当年那个喜欢杜小月啊  我还让那个我二姑叫我闫小月来的呢 现在我一看  第四部杜小月的造型 我就想说 我当年瞎眼了么？？            
(3星)	 呵呵。            
(5星)	 还是最喜欢第一部            
(3星)	 没大印象了，好久远了            
(4星)	 纯粹是我小时候闲来无事狗血生活的一部分……            
(NA)	 我喜欢的。。很搞笑            
(5星)	 这个简直是为腐而写            
(4星)	 太腐了。            
(4星)	 在电视剧里，算很好的，不考虑史实            
(4星)	 挺好看的 三个人很合拍 最主要和各自角色都很契合 王刚演的和珅永远都让人气不起来 可爱             
(4星)	 赏心悦目，清淡如菊。            
(3星)	 第一部还是值三星的。            
(NA)	 。。。。。            
(NA)	 小月——先生，你好坏呀!和珅——小月，你不要总是把我想得那么坏好不好！            
(4星)	 三个主演都是心头爱            
(3星)	 那时候我真白痴            
(2星)	 女角太少的缘故？呵呵呵呵...            
(NA)	 这歌我还记得。。            
(3星)	 三个人斗法。            
(4星)	 真棒，不过，因为最后一个故事减一星~            
(5星)	 堪称三巨头合作的现象级代表作，足为经典            
(4星)	 和珅好可爱啊JQ满满            
(4星)	 还行吧，空闲时候看看，打发一下时间也挺好的            
(3星)	 王刚演得好            
(4星)	 其实还不错，中国式的机智。            
(4星)	 看过很多次            
(3星)	 我一直保留着纪晓岚的那本书。            
(3星)	 这三个人后来太恶俗了            
(3星)	 这个经典的啊。。。            
(4星)	 三个男人的奸情~            
(4星)	 当做故事看，很精彩~            
(4星)	 搞笑呀            
(4星)	 就只记得片头曲“谁说书生，百无~一~用~~~~~”            
(5星)	 铁三角。老男人其实也很可爱。            
(5星)	 三角幽默。比较喜欢1,2部            
(4星)	 主题曲也是会唱的。。            
(5星)	 何等经典，要不也不至于除了4、5部            
(3星)	 也是陪俺爹看的~~~~~阵亡阵亡~~~            
(3星)	 老北京的贫嘴            
(3星)	 介个好看~~~~            
(3星)	 都是年轻时爱看的            
(3星)	 俺的童年时有多无聊啊            
(4星)	 王刚太亮了，和大人威武            
(5星)	 还看了两遍。            
(4星)	 铁齿铜牙            
(5星)	 3P!            
(5星)	 深深的记得主题曲……            
(4星)	 我们一家人坐着看。            
(3星)	 。            
(4星)	 3个铁搭档的戏，比较经典            
(NA)	 这是我爹看的极少的几部电视剧集之一            
(5星)	 那时候他们仨叫“铁三角”，“坏人”老被逗，“好人”总是众人帮，还是挺有意思，那时候的超爱。            
(5星)	 乐一真的很像纪晓岚            
(5星)	 经典···            
(3星)	 和珅和纪晓岚的虐恋情深            
(5星)	 喜欢~            
(3星)	 = =...            
(4星)	 百看不厌啊            
(3星)	 爸爸最爱的电视剧，他老人家百看不厌啊...            
(4星)	 纪晓岚与和珅斗嘴好乐..            
(5星)	 以前每晚必追，刻录在童年记忆中的电视往事，主题歌都会唱的，多年以后剧情都记不清然而主题歌或插曲总是回荡在脑海里            
(3星)	 都说张国立的大臣像皇上，张铁林的皇上像大臣            
(4星)	 呃            
(5星)	 三个男人一台戏最喜欢他们斗嘴了            
(5星)	 这个真是挺好看 里面袁立也很好看~            
(4星)	 张国立～～～            
(5星)	 全家都喜欢的一部剧，很好笑            
(4星)	 铁三角            
(5星)	 初中、高中的暑假都在霸在电视前。  看过N遍的好片。            
(3星)	 戏说，虾米都是戏说囧            
(4星)	 張國立和王剛這對西皮還是很有愛的XD            
(5星)	 小时候以为看完这个自己口才就天下第一了。            
(NA)	 我爸最喜欢的张国立。            
(4星)	  铁三角 。            
(4星)	 铁三角蛮好玩的~~~            
(4星)	 后两部还真没怎么看            
(2星)	 一帮清妖，把历史都篡改了，和珅很年轻很英俊的好不好！乾隆非帅哥官员不宠的！纪晓岚又老又丑好不好！他也没干呢么多好事的好不好！            
(5星)	 锵锵三人基情行。。            
(3星)	 又是当年看得十分投入的一部哇。            
(4星)	  第一部真的不错！            
(4星)	 我爸特喜欢            
(4星)	 铁三角的形成。。。不得不说叫铁三角还是有道理的，那斗戏都起来总是精彩纷呈火花四溅的~            
(4星)	 铁三角            
(NA)	 老爸的菜~            
(4星)	 很神啊 袁立感觉也很好            
(4星)	 我特别爱和珅，不喜欢纪晓岚。            
(4星)	 爷爷奶奶特别爱的电视剧            
(4星)	 除了纪昀的铁齿铜牙，就是小月的古灵精怪了吧。            
(3星)	 小月            
(5星)	 小时候的最爱- -杜小月神马的~~~~            
(4星)	 越后头越难看^            
(NA)	 不得不说。。。。小时候我还真挺喜欢看= =            
(5星)	 作为喜剧很不错 ！            
(5星)	 非常好            
(3星)	 除了情节跌宕~没什么特别收获，纯属消遣~            
(4星)	 陪了我十年的电视剧啊！第一部还是念小学的时候。。。。            
(4星)	 后来拍多了就很烂了            
(3星)	 以前上学时寒暑假各种电视台换着播，于是我也换着台看。。开始觉得还挺逗乐，后来看着看着觉得就没意思了，可是还是哪台播要是没什么其他节目可以看的话我就看这个。。哎这是什么心态啊            
(5星)	 当初和我爹爹一起看得很欢乐。。。。            
(4星)	 介个还是很好看的            
(5星)	 当了腐女才知道两位大叔感情有多好……            
(4星)	 被老爸残害的            
(5星)	 经典            
(4星)	 “铁三角”的形成。王刚把和珅变成了专利。            
(3星)	 呃，传说中的“铁三角”咩~            
(4星)	 曾经陪老妈看了很多遍....            
(5星)	 watched twice, with family.            
(5星)	 吼吼，这电视剧虽然每部都看，但总还有没看全的地方。我和我爸算是这部电视剧的铁杆粉了            
(5星)	 超级爱看            
(5星)	 铁三角大萌！            
(3星)	 擦 我发现我看过            
(5星)	 爷爷就爱看这个……            
(5星)	 喜感喜感！            
(3星)	 无数部，不过铁三角还不错            
(4星)	 三角恋            
(5星)	 还是觉得第一部是四部里面最棒的            
(NA)	 这个怎么可能不看呢，铁三角啊            
(4星)	 这种剧只看一部就够了            
(NA)	 铁三角啊永远~            
(5星)	 2            
(3星)	 这仨人            
(3星)	 肥皂剧佳作            
(4星)	 这是在爷爷的带领下看完的剧……            
(NA)	 小时候赔奶奶看，奶奶喜欢看            
(4星)	 其实很好笑哒            
(3星)	 国立叔，该如何评呢，就一般吧。            
(5星)	 就喜欢他们睿智的斗嘴！            
(NA)	 - -            
(4星)	 掰得够味~            
(5星)	 八九岁那年夏天的晚上，我娘给我洗完澡，我穿着个小内裤 用别针别着个毛巾被大作公主梦 站在炕上一边扭来扭去一边跟着家人看，广告时间还跟我妈软磨硬泡要出去耍彪 = = 真是辛苦你了妈            
(NA)	 PU            
(NA)	 能言会道的人们都不是一般人。            
(4星)	 古装剧中的经典，挺有内涵的            
(4星)	 童年回忆，袁立，喜欢看            
(4星)	 铁三角嘛            
(4星)	 可喜歡了~~~            
(4星)	 国产古装经典了            
(5星)	 小时候就喜欢看，古人斗来斗去的挺好玩的。            
(3星)	 张国立就适合演纪晓岚   张铁林就适合演皇帝            
(4星)	 初一时候看的，感觉还好。之后对清廷戏就厌倦了。            
(4星)	 王大叔的和珅跟孙大叔的白玉堂给我留下了阴影。。。还好都已经扭转过来了            
(5星)	 原先相当愿意看了  管它尊重不尊重历史            
(3星)	 部分。印象不深了。            
(4星)	 初高中时候每天打开电视机都会看到这个剧在各大电视台循环播放着。老实说，中国大陆的剧集最好的水平就是在清宫戏上了。又加上这个三个老男人铁三角，演技是不消说了。剧本也比较尊崇历史，能学到不少为人处世的知识吧。            
(4星)	 第一部是很亮的            
(4星)	 看过一个纪晓岚和珅二人婚后生活的MV。。笑到抽。。            
(3星)	 很有意思            
(5星)	 我六年级！            
(5星)	 跟老爸一起看的            
(4星)	 谁说书生百无一用            
(4星)	 铁三角            
(4星)	 喜欢袁立。            
(4星)	 2001            
(4星)	 第一部不错，后面就闹听了            
(3星)	 铁三角成立。            
(4星)	 我就只看过第一部。。。            
(NA)	 三人成腐，哈哈~            
(3星)	 前面还多，续集多了就碎了            
(5星)	 挺逗的            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(NA)	 史书里的纪晓岚可没有电视里的会说，当年还是被他的聪明才智给惊艳到咯            
(5星)	 经典，看了3次了，最近找不到好片，又重温一次            
(5星)	 叽里呱啦            
(4星)	 袁立的小月很可爱，苏卿怜很漂亮，有段插曲很好听（苏卿怜出场之后的某个场景），很好的电视剧~            
(4星)	 伶牙俐齿的小月，又清爽又可爱。名副其实的全家欢乐剧，DVD还在家里珍藏。            
(4星)	 以前跟在外公外婆后面看            
(4星)	 看过第四部又重新看了一遍第一部，岁月不饶人啦。            
(3星)	 电视剧是娱乐大众的，这里的和珅相当有存在感。            
(4星)	 没有莫愁我会打五颗星            
(NA)	 铁3角不是盖的            
(5星)	 多好玩儿的三个人那~            
(4星)	 挺好玩的            
(5星)	 好玩儿            
(3星)	 边吃饭边看            
(4星)	 童年记忆            
(5星)	 张国立主打，铁三角形成。袁立出道。经典！超爱张国立老师！            
(5星)	 第一部总是经典            
(2星)	 话说当年我一直都没能把皇帝和纪晓岚分清= =            
(4星)	 张国立的一系列·~电视总演            
(4星)	 消遣休闲的好剧            
(4星)	 四星有三星是因为腐来着~~~和珅你就从了岚岚吧            
(4星)	 我94喜欢看～            
(NA)	 那个夏天的晚饭时光。            
(NA)	 百无一用是书生 - 这是个假命题。            
(4星)	 挺搞的            
(5星)	 铁三角。确实，虽然和坤是个大贪官，有时候真缺不了他。黄帝也有黄帝的无奈。有时候明明知道那个是坏人，或者明明不想，可是不得不与他为伍。            
(4星)	 I还行二、三和四就有失水准了...            
(4星)	 这个。。还是蛮好看的嘛。。            
(5星)	 还是第一部比较好看 。。            
(4星)	 當時還真喜歡看古裝劇吶            
(3星)	 续集多了就不喜欢了。。。            
(NA)	 XDDD 在腐列表看到这部的一瞬间我就笑到崩盘了            
(4星)	 纪宝宝与和小二的恋爱故事            
(4星)	 和爷爷一起看电视剧的日子。            
(3星)	 片尾曲很好听。            
(5星)	 赛高！！！！！！！！！！！！！！！            
(4星)	 和珅很搞。。。            
(3星)	 此片偏离历史很多。            
(4星)	 前几系列还不错。            
(3星)	 看三个大男人在电视机前贫贫嘴 还蛮好玩~            
(3星)	 第一部好看            
(4星)	 看纪晓岚和珅学习做事之道。            
(5星)	 铁三角就是不一样            
(4星)	 看杜小月            
(3星)	 陪父母看的，有点贫             
(5星)	 喜欢之极，1-3部全部看完。            
(3星)	 打发时间的良品            
(5星)	 也是第一部最好看            
(3星)	 大鱼小鱼胖头鱼            
(4星)	 由1到4，这10年久过去了，话说哥仨你们几个还想拍续集的话，抓紧啊！就成了拍清末剧了。。。            
(5星)	 第一季还不错~            
(4星)	 三个男人一台戏            
(4星)	 喜歡這三個組成的鐵三角            
(4星)	 和大人和纪大人是一对好基友...皇上最后还是搞大了人家的肚子...唉            
(5星)	 第一部不错            
(4星)	 不相信            
(NA)	 我老爸的最爱之一。            
(4星)	 第二部不错。            
(3星)	 还好            
(4星)	 10年走来，纪晓岚已经第四部了。            
(5星)	 经典啊            
(4星)	 基            
(3星)	 只为表明我看过。            
(5星)	 又一经典，铁三角            
(4星)	 以后的就没意思了            
(5星)	 哈哈  好喜欢            
(4星)	 比康熙微服私访好看。。            
(5星)	 第一部真不错。            
(4星)	 话不多说 好看            
(4星)	 他们仨，这部最好看            
(4星)	 其实废话很多很墨迹            
(5星)	 无论如何第一部最好看！            
(3星)	 铁三角            
(4星)	 挺逗 有的词我现在还记得            
(4星)	 追第四部的时候我就想起一二三了。            
(3星)	 人太聪明了            
(4星)	 铁三角            
(5星)	 假归假，看归看            
(4星)	 太美化纪昀了，他哪里是这样的？？            
(4星)	 好笑，如是尔            
(4星)	 小学的时候可喜欢了，还买了正版的碟            
(4星)	 好看            
(NA)	 我同意……极腐……黄昏threesome？？            
(5星)	 张铁林天生就是演皇帝的料            
(3星)	 三个大叔            
(4星)	 三个大叔间不得不说的故事（。按我姥姥的话说就是“看着三人凑一块就想乐”            
(4星)	 娱乐的大众化。            
(4星)	 实在是稀罕袁立的小月，看着和珅纪晓岚乾隆斗嘴是多么可爱的事情。只可惜，太火终逃不过狗续貂尾的命运。            
(4星)	 很不错  当时很喜欢            
(4星)	 第一步比较经典            
(4星)	 不同年龄看，有不同的感觉。和珅的为官之道，皇上的帝王之术，纪晓岚的铁齿铜牙，细细品味还真有一番味道。            
(5星)	 笑死了            
(4星)	 三巨头的杰出巨作。            
(NA)	 跟家里人一起看的，可惜越拍越烂            
(3星)	 很喜欢小月~~~~~~             
(4星)	 = =            
(3星)	 和珅虽然是个丑角，但是个人才。            
(4星)	 可怜的老纪和和胖子也被CP了。            
(4星)	 王刚的和珅很有爱啊            
(4星)	 只看过第一部 不错            
(4星)	 喜剧一个            
(3星)	 我还是比较喜欢和绅，虽然历史上的和绅是个大帅哥，王刚八辈子够不着。            
(5星)	 又见张国立。。。            
(5星)	 喜欢捏            
(NA)	 初中有一阵很喜欢看历史题材的电视剧 囧            
(4星)	 前三部都很喜欢            
(4星)	 最好看的一部纪晓岚。            
(NA)	 当时特别喜欢的剧。。            
(5星)	 三个男人一台戏            
(5星)	 这个 好看            
(5星)	 三个老男人和一个小女人，插科打诨的宫廷肥皂剧            
(3星)	 张铁林老师老是吹胡子瞪眼的 哎            
(4星)	 铁三角            
(NA)	 三个大叔的黄昏三角恋            
(3星)	 叽里呱啦拍了那么多，还是有些意思的，总比《康熙微服私访记》好看多了，这三颗星是给铁三角的，三个老头儿斗嘴很有意思，其实应该三颗半，杜小月也不错。            
(4星)	 第一部最好            
(4星)	 一直放，一直放。            
(4星)	 第一部还是很睿智的，后面的差很多。            
(5星)	 真的是经典，我还一度一看大这部片子就想吃混沌。。。            
(5星)	 经典喜剧 很喜欢            
(4星)	 喜欢杜小月。。。            
(4星)	 谁说~~书生~~白无~~~一用~~~~~            
(5星)	 经典电视剧，智慧和幽默并举！            
(4星)	 看着玩，别当真            
(4星)	 喜欢小月            
(5星)	 铁三角            
(4星)	 还不错            
(4星)	 看来看去还是第一部最地道！小月简直就跟天仙似的            
(4星)	 很有喜感的作品两张很搞，不要纠结历史了            
(NA)	 铁三角。经典。            
(3星)	 主题歌还挺好听~就是老分不清到底是刘墉还是纪晓岚在和和珅斗智斗勇？            
(4星)	 就这部最好看了。其他都狗尾续貂。            
(5星)	 当时爷们高三，顶着学业压力帮家里盖房。倍儿JB累。当时老娘心疼，每天给我买鸡爪子啤酒伺候。黄酒小菜，看了整部电视剧。如今看到这部电视剧，总能忆起对着电视吹啤酒的青春岁月。多少岁月，都是以温情做为标签。            
(NA)	 无数遍了            
(4星)	 就这部比较好~            
(3星)	 三个老男人的斗智斗勇            
(3星)	 冲着这哥仨去的            
(4星)	 对这部里莫愁印象特别深             
(4星)	 嘴皮子            
(NA)	 4            
(5星)	 第一部总是最好的,初三那时候,晚上不复习,在外面听着电视剧里面的对话笑抽过去            
(4星)	 第一部还是很经典的。还是和珅最可爱了。            
(NA)	 以后的就算了            
(5星)	 当年最让我汗颜的是张国立张铁林陈宝强我一直分不清。。。            
(4星)	 不用说的吧？            
(4星)	 就看了第一部 后面几部没兴趣了 这部着实不错 和珅跟纪晓岚 活宝一对            
(4星)	 2000年            
(4星)	 清代拯救了中国的电视剧  “当皇太极带兵入关的那一刻 ，中国的电影电视圈得救了”            
(NA)	 和珅其实真的很萌...            
(3星)	 能不糟践和珅么            
(4星)	 小时候看的 现在都记不清了            
(4星)	 按小学时的记忆打分吧             
(5星)	 我是这部电视剧的忠实粉丝            
(4星)	 第一部不错，后面几部╮(╯▽╰)╭            
(4星)	  散散心挺好的            
(4星)	 看不腻得，            
(4星)	 和爷爷一起看的，觉得还是蛮不错的            
(4星)	 第一部的剧情是最紧凑的，不过还是喜欢第二部呢。后面两部无视            
(4星)	 看完了意识到，这是部腐剧            
(4星)	 第一部还好 之后就没什么意思了~~            
(NA)	 很有意思的电视剧 都有第四部啦            
(4星)	 这个挺有意思的            
(4星)	 很喜欢他们三个组·@~！@            
(4星)	 这个系列我都蛮喜欢的            
(4星)	 里面的和珅挺可爱的            
(5星)	 笑            
(3星)	 我不喜欢那个跟着纪晓岚的小X!             
(3星)	 还是小孩儿的时候可爱看了呢。            
(4星)	 第一部和第二部还是不错的，之后就显得为了贫而贫了，是我看得上的仅有的几部清宫戏系列之一            
(5星)	 笑翻过去的~            
(4星)	 剧情丰富~~            
(3星)	 先生 先生~~            
(4星)	 经常是陪爷爷一起看的            
(3星)	 3。5            
(1星)	 跟康熙微服私访一样烂            
(5星)	 最爱这个铁三角。            
(4星)	 总是第一部最好。袁立那时颇有灵气，到了第四部，相隔十年，已然是一副中年妇女的形象了。            
(5星)	 铁三角            
(4星)	 他们仨可真能贫            
(3星)	 很多段子都来自于精典相声，因此这片子更像是长篇相声~~            
(4星)	 王刚太搞笑了            
(4星)	 袁立这个时候还很美啊            
(NA)	 身为纪老爷子本命粉，我压力很大- -|||            
(4星)	 -。-小时候我就是电视迷了...            
(4星)	 还可以呢            
(5星)	 力荐力荐            
(NA)	 其实这个第四部演的实在是有些牵强~看他完全是为了前几部的铺垫！那个芊芊是够雷的！！            
(3星)	 ~~            
(5星)	 当年翻来覆去看            
(4星)	 这一系列都是我的爱            
(4星)	 小学时暑假必备 记得当时是一整天都在播            
(5星)	 第一部最好看，过后三部总觉得没有第一部好            
(3星)	 第一部还蛮好看的~            
(5星)	 喜欢斗嘴            
(4星)	 好逗            
(NA)	 3个白痴            
(5星)	 我想家了！            
(4星)	 看的最多的铁齿铜牙也只是第一部。。什么都是第一部最经典啊            
(5星)	 ……糟糕好喜欢和珅受            
(3星)	 很喜欢小月~~~~~~            
(4星)	 全家看的电视            
(NA)	 貌似都已经出到4了，不过我就看过这个。            
(5星)	 第一部最好看！            
(4星)	 吃的是下锅的米  走的是人间的道            
(3星)	 无聊的课后时间我看了许多诸如此类的剧集，非我所好，无奈为晚饭时段唯一电视剧。。。            
(4星)	 第一部最好            
(3星)	 。。。。            
(4星)	 斗智斗勇            
(3星)	 拖我爸的福。王刚张国立我是不是快看全了。。            
(3星)	 不说与历史是否相符，三位主角的火花还是很不错的            
(3星)	 还是不错的古装戏说            
(3星)	 铁三角，演技的保证~~            
(NA)	 我发现这是我最爱的电视剧系列            
(4星)	 半忠实粉丝。            
(NA)	 这不是童年的偶像嘛            
(5星)	 第一部和第二部都挺好看的。张铁林的皇上之位算是坐稳了            
(4星)	 就第一部好看 后头那么多部 看不下去了            
(4星)	 我初中的时候还是蛮喜欢看的……            
(3星)	 贫            
(5星)	 小时候大爱之一。            
(5星)	 好看的电视剧、电影总不会制造意犹未尽，总要弄到大家恶心。所以只给第一部评            
(4星)	 一部值得称道的电视作品            
(4星)	 这一铁三角只要凑在一起就会迸发出无限的笑料。喜剧中还不乏中国式的智慧和传统思想文化的底蕴，富有东方人文艺术的闲情雅致，很好地起到了推动中国历史文化传播的作用。            
(4星)	 tv            
(5星)	 可爱的铁三角啊。            
(NA)	 超SKI呢 呵呵 所有的4部都喜欢            
(4星)	 苏卿莲            
(4星)	 我觉得就此打住就可以了，不用拍几部续集。            
(3星)	 片尾曲很好听            
(5星)	 有深度的电视剧。            
(5星)	 爸爸的最爱            
(4星)	 其实国内拍拍这种类型好了。挺擅长的。            
(5星)	 百无一用是书生，谁说的？！            
(4星)	 。。。            
(4星)	 昨天刚去看了波波老师，，不免想起当时她对这部剧的评价~            
(4星)	 谁没有童年3“谁说书生。。。。”            
(3星)	 越拍越烂            
(3星)	 初识“铁三角”。            
(4星)	 前两部还可以，后面有点退步            
(3星)	 铁齿铜牙纪晓岚            
(NA)	 电视台也真知道该放什么挖~            
(4星)	 不错            
(3星)	 遥远的记忆~            
(NA)	 历史上纪晓岚可是个“大色鬼”            
(4星)	 敢为天下苍生，登高一呼！            
(4星)	 每天一家人一起看de~ 所以非常好印象哈哈！            
(5星)	 都看了，我一直喜欢看这个= =            
(4星)	 沒覺得袁立好看            
(3星)	 奇怪得觉得第一部不如第二部            
(5星)	 这个我爱：）            
(4星)	 看着乐呵呵            
(4星)	 不错的~~            
(5星)	 消磨时光的大爱系列            
(4星)	 小月挺可爱的。莫愁怪怪的，要是说整部戏毁在她身上绝不为过。张国立演技着实不一般，铁三角是这样形成的。“仰慕”片头曲多年。            
(4星)	 珈霂你最近粉的            
(4星)	 铁三角别样精彩            
(4星)	 回味感觉没有以前好看了~            
(5星)	 这部片经典，王刚的和珅，张铁林的乾隆，张国立的纪晓岚，配合的真棒，盼望着纪5            
(4星)	 越来越烂            
(NA)	 第一部的剧情是最紧凑的            
(4星)	 没电视看的时候一直以此为乐=   =            
(3星)	 感觉很瞥```纪晓岚被篡改的面目全非```而且,纪晓岚的八个老婆去哪了?怎么一个也没演出来?            
(4星)	 乾隆身世，十四叔篡位，红楼梦深陷文字狱，有背景但笑料不及之前看的第四，铁三角欠缺火候，但这更像连续剧，那小月和珅甘肃一行笑料得很，才貌双全的苏卿怜出家。最后是可爱清纯脱俗，单纯得没有社会经验的小月，有点冲动刁蛮，可是好喜欢，可她一感情戏起来就不是那味了，不能嫁，因为她是大众的情人            
(3星)	 张国立和张铁林绝配。。            
(4星)	 好 不错            
(1星)	 我真的不喜欢这种辫子戏、清官戏！说戏，搞笑，现在的情景戏就行了，为什么非要恶搞历史？            
(4星)	 现在再看第一部可有点过去哦            
(NA)	 还不错，如果不较真儿的话            
(NA)	 喜欢            
(4星)	 一二挺好 后面就没前面那么有味道了            
(4星)	 虽然和历史完全脱节。            
(4星)	 王刚很可爱            
(4星)	 莫愁啊莫愁。。            
(4星)	 不错不错~~~            
(4星)	 逗死我啦            
(NA)	 我回忆的一部分啊            
(3星)	 现在觉得不杂样。            
(5星)	 哥终于把丫看全了             
(5星)	 在电视剧里，已经算是不错的了。比第二部好多了，第三、第四步根本没法看            
(4星)	 無敵三人組~！            
(5星)	 那年 我初中            
(5星)	 将近十年了，现在想想，真的挺怀念的            
(5星)	 铁三角演技没的说 很喜欢杜小月            
(5星)	 超爱的剧            
(5星)	 爸爸看我也看。            
(1星)	 恶心的电视剧！            
(5星)	 百看不厌，哈哈，就只习惯袁立饰演杜小月！这三人不愧是铁三角，特搞笑了！            
(4星)	 片头片尾曲还蛮好听的：）            
(3星)	 喜欢王刚            
(3星)	 从一 到至今的四 都可以吧            
(5星)	 少有的好看的国产剧            
(3星)	 最爱小月            
(4星)	 爱看的耍贫嘴。            
(4星)	 诡计多端的纪晓岚加上王刚出演的和珅更是惟妙惟肖虽说有着那么一点奸诈与腐败但在王刚的表演下变得却格外生动，如果纪晓岚没有了这样一个劲敌也就少了很多真实的乐趣            
(3星)	 不错            
(NA)	 张国立，顶。            
(5星)	 王刚把和珅演的太可爱了，让人无法讨厌！            
(5星)	 鐵三角~~絕了！！            
(5星)	 看过好多遍哦·~            
(4星)	 算很不一样的古装剧了……            
(5星)	 最近《铁齿铜牙纪晓岚》看得上瘾了，纪晓岚与和珅真是一对冤家，谁也离不开谁。    纪晓岚，真是个大智若愚的智者。正直，常常会有小命不保的后果。是不是聪明的人都有些嗜好呀，纪晓岚又称纪大烟袋，吸烟常常是思考的辅助工具，福尔摩斯也有个烟斗来着。    小月，剧中不可缺少的直肠子，一根经到底，但是很单纯，特容易被骗，看事儿就看表面。一捧就上天，一捧就什么都说出来了！被哄哄甚至以为和珅是好人了。不过也正是她能在第一时间把观众所想所观说出来，是个不可或缺的不复杂的人。    和珅，深知为官之            
(4星)	 耍贫嘴也不错啊            
(5星)	 我非常喜欢张国立。            
(NA)	 大烟袋。现在怎么没有这烟杆了？            
(5星)	 喜欢看他们仨的斗戏            
(5星)	 王刚在这部大放异彩啊            
(NA)	 金三角            
(5星)	 最喜欢的三位演员演绎出来的大清朝的二三事儿。            
(4星)	 喜欢第一部 续集不好看 太重复了            
(3星)	 无聊时看看。。            
(4星)	 lilo时期的大爱- -            
(3星)	 没完没了            
(4星)	 仿佛拍了好几部续集，但是只是喜欢这部            
(4星)	 铁三角            
(3星)	 挺有趣儿的。尤其是张国立与王刚一起的时候。            
(NA)	 不错            
(4星)	 谁说 书生 百无一用            
(4星)	 三个男人一台戏，看了好多遍，解闷又借古讽今。            
(5星)	 杨丽菁再现武林            
(5星)	 轻松 好玩            
(NA)	 从讨厌和珅，到喜欢和珅，最后佩服和珅。            
(4星)	 演皇帝的终于凑一块了！            
(3星)	 周末大放送。。。从早看到完。。。那时的童年呀。。。            
(4星)	 高一寒假            
(3星)	 传奇故事            
(5星)	 近年的好电视剧可不多，这算一个。            
(3星)	 那歌怎么唱的去了？&#34;金瓦金瓦殿,皇上看不见&#34;            
(4星)	 三个经典男人的经典结合            
(4星)	 很幽默啊！            
(3星)	 跟爸爸一起看的            
(3星)	 现在看好恶俗…………            
(3星)	 一般一般。。            
(4星)	 其实我还挺喜欢这种斗智的……            
(5星)	 爱的三人组            
(3星)	 还行            
(5星)	 童年的记忆            
(4星)	 铁三角的片子            
(4星)	 看的很高兴就行了.            
(5星)	 就是喜欢这里面伶牙俐齿的纪晓岚。            
(3星)	 电视上放的太多了！！！            
(4星)	 诙谐，轻松的感觉…还不错            
(4星)	 看百家讲坛里的一个老师曾讲过这样的一句话，纪昀并不像电视剧里那样完美。相反是个小肚鸡肠的人……            
(3星)	 片尾曲可以……            
(4星)	 水片一部，倒是可以一看            
(2星)	 当时迷上福康安了。            
(4星)	 嬉笑怒骂，铁三角在表演上已经没什么说的了，而且我相信他们三个人在一起演戏自己也很开心的哇~~            
(4星)	 三个男人一台戏            
(4星)	 张国立很可爱啊。            
(4星)	 就是待见铁三角            
(5星)	 很有意思，呵呵            
(3星)	 一次又一次的播台，最终还是看这个……            
(3星)	 很喜欢片头曲..            
(4星)	 我记得还不错            
(4星)	 秋雁两行江上两            
(NA)	 谁说书生百无一用            
