http://movie.douban.com/subject/2138507/	奋斗
(4星)	 看着觉得舒服            
(3星)	 不知道属于那个类型的电视剧，爱情不是主题``            
(4星)	 编剧的鬼斧神工啊            
(1星)	 2B电视剧            
(5星)	 老实说，里面值得一看的只有米莱，但是对于我来说是非常值得看            
(2星)	 非常差，乱搞，根本没有80后的精神风貌            
(5星)	 我看电视和电影跟我看书一样，只要有能感动我，让我拍手叫好的台词，我才不管剧情何不合理呢。            
(2星)	 假，太假            
(NA)	 现在看看好山寨            
(4星)	 什么是爱情？架空历史，架空现实，无边无际，无欲无求？长大，或许是种欣喜。            
(3星)	 作            
(5星)	 就是我们这一代人的写照啊            
(4星)	 我看到的，你眼中的我自己...没有人可以因为别人而真正实现自我。            
(4星)	 零八年夏，这部电视剧激励我做出了的一个疯狂的决定；然而生活并不真的那么高调，一切也并不那么容易得到            
(2星)	 天时地利人和的时候看，也一样看不进去……            
(5星)	 好            
(4星)	 这个也弃剧。。            
(3星)	 这部片子只能看一遍，顶多两遍！再看就假了。很喜欢向南和华子，不明白米莱为甚麽就那么死心眼！            
(2星)	 这也敢叫80后，一帮躺在别人肩膀上的家伙！            
(5星)	 青春，爱情，梦想，奋斗~~不多说了，一切尽在不言中            
(4星)	 在掀起全中国的狂热前，潮妈已经先看过了捏            
(3星)	 年轻人的梦            
(5星)	 我不喜欢陆涛，因为他全靠他两个老爸；我不喜欢夏琳，因为她太假；我不喜欢向南，因为他没用。。。我不喜欢里面的很多人~但这个还是值得看一看~            
(3星)	 很火啊男的都喜欢米莱吧            
(3星)	 台词很搞笑，内容欠真实            
(2星)	 感情戏还不错，米莱是女同胞们的警戒！其他的显然太虚假啦            
(NA)	 恶心这片子            
(2星)	 非常假            
(3星)	 奋斗？？？？？？？？            
(5星)	 相信大家都看过！我觉得蛮好的！            
(3星)	 80后……真实与想象  不完全是现实中的80后生活~有想象中追求的成分            
(4星)	 还挺好的 起码不空洞吧            
(3星)	 80后一代吧～            
(4星)	 就是一挺现代的剧            
(NA)	 喜欢米莱！！            
(5星)	 终于看完了            
(5星)	 因为这个 改变了自己            
(3星)	 其实我觉得他们活得有点夸张也有点真实~~            
(4星)	 或、、或、、            
(2星)	 励志            
(4星)	 其实佟大为看多了也就厌了，动于夏琳的个性。            
(4星)	 电视剧里还算不错吧            
(3星)	 不耐看            
(4星)	 必须喜欢的啊，就是我们            
(5星)	 不喜欢陆涛            
(5星)	 “相似相融原理”-意思是指性质相似的物质才能相融，比如水和乙醇（酒精）可以很好的相融，而水与油却不相融，纵然我们通过搅拌施以外力把它们整合到一起，一瞬间似成一体了但稍微停一下便又分离，因为本质是不同的，搅拌的过程中，出现了宏观上的一体化但微观本质上依然充满矛盾。            
(5星)	 逗            
(4星)	 电视剧            
(NA)	 夸张的奋斗            
(4星)	 浪漫超现实主义。台词幽默，但是你不要期待在片中学到什么东西            
(4星)	 理想化的奋斗。            
(NA)	 挺激励人的，但是现实生活中这样的机遇太少了！            
(3星)	 成人童话            
(4星)	 这个年头，无人不奋斗啊。            
(5星)	 第一次被内地电视剧深深吸引..            
(4星)	 奮鬥吧。            
(3星)	 各地方台轮流轰炸 想不看都不行啊             
(5星)	 生活啊 。生活。            
(1星)	 烂            
(5星)	 简直是无与伦比好看，我都看了好多遍了~但再看，还是不会厌~因为他太好看了！            
(NA)	 一帮男女青年当着全国人民的面甩流氓            
(4星)	 青春得光芒            
(4星)	 难得看了一部很北京儿，也很当下的连续剧            
(4星)	 &#34;人哪我们混哪&#34;            
(3星)	 挺腻            
(5星)	 我就是喜欢杨晓芸特妈            
(4星)	 看的时候蛮激动的。后来发现他们的奋斗历程和自己的生活状态相差太远了，而且陆涛动辄就几百万几百万的赚，呵呵            
(4星)	 算不上80后的奋斗史，但还是很喜欢米莱            
(5星)	 我想全中国人都看过了吧.赞1个.            
(NA)	 ...            
(4星)	 很有共鸣~！            
(4星)	 台词一流...            
(NA)	 不知道说什么 或许他们的生活比现实还是好太多            
(1星)	 烂            
(5星)	 奋斗~            
(3星)	 就是很愛貧            
(4星)	 学习学习怎么打嘴仗～～～            
(4星)	 一切 都还在路上            
(NA)	 喜欢米莱。            
(2星)	 奇怪为什么有这么多人喜欢……            
(3星)	 米莱个性不错            
(NA)	 没看过，也算看过了吧            
(NA)	 1.看完也不知道什么是奋斗，要怎样去奋斗；2.没一个喜欢的人物；3.会耍嘴皮子的生活一点也不炫。            
(3星)	 也就看一遍还行~            
(4星)	 我觉得向南比较实在            
(5星)	 米莱            
(5星)	 “可千万别给我机会！”生活需要调侃。            
(NA)	 喜欢夏琳喜欢京味十足的对白            
(NA)	 假假真真。            
(5星)	 与我们的现实固然有很大的差距，但却是很好看的电视剧            
(3星)	 台词有意思~            
(5星)	 总体上来说是好看滴            
(NA)	 又不靠谱又肤浅又喜欢            
(3星)	 超级不现实，看得我只想批判            
(NA)	 能找到我们的影子，80后的特产            
(NA)	 虽然很假·却还是看了好几遍·能看到自己的影子。。。。。            
(2星)	 不知道为什么这么红，剧情一点也没有标题热血。。。            
(4星)	 这台词真文艺。            
(5星)	 太过乌托邦了。。。。。            
(NA)	 话说结尾我在无意识的状态看了不下三次了……最后才知道结尾了……            
(4星)	 挺适合我们看的。            
(4星)	 米莱。            
(3星)	 米莱            
(5星)	 燃烧的青春。            
(4星)	 关于８０后的青春偶像剧，拍得还行．            
(4星)	 我们都曾经疯狂过...            
(4星)	 就是因为脱离了固有的电视剧解构，才有了成功的奋斗            
(NA)	 曾一度超级喜欢～～～            
(3星)	 没什么感觉            
(4星)	 遥不可及的生活，总是令人羡慕的啊。所以我看了又看。            
(5星)	 李小璐我喜欢她 看了几遍但就是没看全- - 反正我就是喜欢这剧            
(3星)	 奋斗            
(2星)	 这种故事太装B了            
(4星)	 革命尚未成功..同志仍需努力..            
(5星)	 看奋斗太累            
(4星)	 什么是80后？它给了一些思考。            
(2星)	 太TM扯淡了。            
(5星)	 非常非常的好看 言语匮乏            
(5星)	 恩 刚看得时候 还是蛮有感触地            
(4星)	 奋斗和奋斗无关，华子才是真实的人物！            
(3星)	 挺扯蛋的            
(NA)	 没有我特别喜欢的角色,因为这里有太多不想回忆的雷同经历..            
(5星)	 实在对佟大伟和陆涛这个角色不待见。就爱看向南和杨晓云斗嘴。那叫一个溜            
(2星)	 夸张到。。。。            
(5星)	 喜欢。纯粹。            
(4星)	 虽然有点扯，但还不错，除了里面的马大姐……            
(3星)	 说实话，给我感觉不真实……不过主旨还是不错的~            
(5星)	 虽然不切实际，但还是爱爱            
(3星)	 有趣。            
(NA)	 喜欢米莱            
(4星)	 毕业的时候会在看一遍的电视剧。            
(4星)	 仍然奋斗在水深火热中的朋友们,生命不息,折腾不止.            
(NA)	 糊里糊涂被朋友拉着狂看，语言漂亮剧情不矫情，还有个窝心的米莱，还奢求什么？国产青春剧翘楚！还在寻找一部由胡军柳云龙一起演的一部叫《背叛》的连续剧，同样具备上述优点可是豆瓣上都找不到。            
(4星)	 不错 当时一口气看完            
(4星)	 我喜欢更现实点的东西.讨厌陆涛.恨夏琳.不知道她错在哪里,然而很恨.            
(2星)	 不喜欢不喜欢不喜欢不喜欢不喜欢不喜欢            
(5星)	 我想应该都喜欢吧            
(4星)	 青春             
(5星)	 呵呵，是写我的吧            
(1星)	 奋你妹的斗            
(NA)	 这帮人用奋斗吗？            
(3星)	 没有奋斗            
(5星)	 就是我想要的 虽然男一号遇到的实在不切实际 生活中有几个这样的幸运儿啊            
(3星)	 一群矫情的人在事儿事儿的            
(5星)	 对白相当生动。            
(4星)	 80后的生活            
(NA)	 奋斗 就是要有个牛B的老爸！            
(3星)	 我不喜欢结局            
(NA)	 最爱米莱。            
(4星)	 陆涛不爱米莱爱夏琳的原因。            
(3星)	 大家都说很好看，非常好看然后看了。。失望了。。            
(3星)	 人人要被朋友挖墙脚- -！一个人可以出现3种星座。。。什么和什么`也就这么凑合着看吧！            
(NA)	 非常喜欢米莱~勇敢的追求自己的爱情            
(NA)	 有点烂了，不怎么真实，贫，剧本不错。            
(3星)	 一个字，假。            
(NA)	 非常讨厌            
(4星)	 贴近生活，但不够励志。            
(4星)	 乱乱的，只是喜欢其中那匪夷所思的言语            
(4星)	 看到后来不知道为什么要叫奋斗了，但还是很喜欢看            
(3星)	 TMD这样还叫奋斗= =||            
(3星)	 断断续续看完了。貌似和我不是一个世界的            
(4星)	 感觉8错，但是还是有一点不真实，现实中大学生可没有剧中人物那么幸运了……对于现实中的大学毕业生而言，剧中的每一个人都有很好的运气……            
(3星)	 七零八落的倒也是看完了            
(4星)	 虽然没感觉出多奋斗，但还是满喜欢的，特别是米莱            
(3星)	 有点扯淡            
(4星)	 过于梦幻了，励志很不错。            
(4星)	 还想再看看            
(3星)	 奋斗其实很不现实。            
(NA)	 http://www.douban.com/subject/discussion/1390673/            
(NA)	 妈的，我大学毕业能有他们四分之一就谢天谢地了            
(NA)	 好看，不过感觉跟现实差太多了吧            
(3星)	 他们不是我们要么我不属于他们            
(4星)	 凑是一个贫，哪有奋斗？            
(4星)	 一般吧 像是给还未真正成熟的80后拍的真人动画 但细细咀嚼 还是有不少可回味的地方            
(4星)	 台词很有个性            
(5星)	 真不错~~也许是羡慕北方的一种气概            
(5星)	 就算不实际又怎样？！            
(4星)	 我们不是夏琳不是陆涛不是米莱不是向南不是杨晓芸不是华子不是露露。但都在奋斗着            
(4星)	 ８０后一小撮先富起来的人．胡得瑟／瞎浪漫的一群拥有并挥霍的青春的孩子            
(NA)	 当石康说，他的目光渐渐从精英文化中转而观察普通人的时候，对他有了一点期待。            
(NA)	 看过这个，分手了            
(NA)	 不错发人深省            
(NA)	 我很无聊地把奋斗看完了...请尽情鄙视我吧            
(5星)	 唯一觉得不错的大陆TVseries~            
(1星)	 没有灵魂的连续剧，用京片儿话撑门面，这样可不行。            
(4星)	 片子的语言让人目不暇接            
(5星)	 台词都会背了            
(5星)	 真的很好。就像一片阿司匹林。            
(3星)	 极品SB佟大为            
(3星)	 热播后陆陆续续的看完了，有些地方有励志的东西。            
(5星)	 看着看着，被青春感动了            
(4星)	 評價不低 性格鮮明 但是過于鮮明了            
(3星)	 这是一部08后电影，一剂安慰剂，可以让在社会上撞得头破血流的80后们，在这个剧情里找到自己的安慰。            
(5星)	 以陆涛为首的有病小团体。            
(4星)	 我超喜欢米莱.为什么结尾不是米莱得到幸福.            
(5星)	 挺喜欢的~`但每次看都会让我想到一些事 一些人`~            
(NA)	 我就是看着佟大为和马伊琍不顺眼            
(4星)	 我们的过去，现在与未来            
(4星)	 觉得特亲切            
(4星)	 我喜欢米来还有小灵仙！            
(3星)	 前面很装，后面OK。            
(5星)	 看了N遍     超喜欢            
(3星)	 一半现实一半脱离现实            
(4星)	 我喜欢你。我喜欢你喜欢我            
(3星)	 毫无奋斗可言，简单的爱情剧            
(NA)	 ８０后的我们缺少就是奋斗！            
(NA)	 我就是喜欢夏琳，尽管很多人都很讨厌她            
(5星)	 喜欢向南 B4陆涛            
(5星)	 2008            
(2星)	 看到10集左右就看不下了。感情戏糟糕透顶。            
(3星)	 我觉得它把80后的问题无限扩大了，没那么颓...            
(4星)	 最爱京片子~            
(NA)	 猪脚可做反面教材时时提醒自己            
(NA)	 真正奋斗过的，只有华子和猪头……            
(NA)	 除了陆亚迅夫妇、徐志森、华子以外，这部电视剧里基本上没一只好鸟            
(3星)	 除了台词其他看不下去            
(4星)	 中国式励志片 还是北京方言好玩            
(NA)	 我们一直高喊着：奋斗。却不知道，目标是什么。也许，寻找目标的过程就是奋斗。            
(3星)	 看在它比大多数电视剧强的份上            
(3星)	 一群70生人要表现80生人的生存状态感情生活……说的却是90年代的语言。不过耍贫嘴很有意思。            
(3星)	 结局实在莫名其妙            
(3星)	 为什么没有得奖···有人不买账            
(5星)	 奋斗的过程中只需无畏的付出吧。            
(3星)	 陆涛就是一混蛋！            
(NA)	 每个人的奋斗            
(2星)	 太假了啊            
(NA)	 喜欢这个时代的我们……            
(NA)	 我怎么这么烦陆涛.            
(NA)	 文章是个好演员,我喜欢向南            
(5星)	 年轻人奋斗的故事            
(NA)	 米莱 大家都喜欢            
(3星)	 台词太给力了            
(4星)	 喜欢杨晓芸那对，觉得米莱的台词太经典咯。。            
(4星)	 最喜欢米莱            
(4星)	 向南，向南            
(3星)	 這并不真實的奮斗。            
(5星)	 在我高三的这一年挺火的            
(3星)	 那时候看的热血沸腾的说            
(NA)	 正是我们的写照，虽然有点混乱也有些无奈，可是最后还是好的结局，这个才最重要            
(4星)	 本来排斥 后来一口气看完 感觉写爱情的东西太多了 奋斗 还是应该奋斗事业……            
(NA)	 看了很多遍喜欢米莱            
(NA)	 喜欢向南~            
(NA)	 奋斗 电视剧 青春 励志             
(3星)	 是人都嫌陆涛            
(NA)	 喜欢佟大为……            
(4星)	 上大学两年了我都没看过新电视剧，很不容易。 米莱这孩子很好，只是，有一种爱叫做放手            
(4星)	 多么喜欢米莱。            
(NA)	 不错            
(NA)	 其实看完后细想，里面最能奋斗的就是华子。。。            
(3星)	 不喜欢            
(NA)	 跟老公一起看！            
(2星)	 不爱看            
(5星)	 假的让人喜欢            
(4星)	 看完之后才明白，自己闯荡这个社会现在是不可能的，父母有条件的还是能帮一把帮一把            
(NA)	 理想和现实            
(NA)	 感觉台词不错的            
(NA)	 越看越没劲            
(NA)	 啥破烦玩意儿！混时间还行！看过就完事儿！            
(NA)	 浮生            
(4星)	 夏的锁骨让我自惭形秽彻底崩溃。。人丫|真该学会知足            
(5星)	 很好看很搞笑            
(5星)	 看过三遍仍不觉得腻，很多话都激励人的意志，最喜欢夏琳。不太喜欢陆涛的不负责任。            
(4星)	 陆涛和夏琳就是一对大傻逼，再加上露露、瑶瑶，把这些人砍了这部剧就堪称完美了 喜欢华子、向南、米莱、徐志森、杨晓芸妈            
(3星)	 虽然有我喜欢的脸，但不觉得特别好看……可能是奋斗的领域不同，不太能理解商场的奋斗~            
(4星)	 很喜欢            
(3星)	 看两遍以上的是傻瓜            
(4星)	 秘密是，我喜欢华子诶~            
(5星)	 就是喜欢京味儿幽默            
(NA)	 讨厌死遥遥了！！！！！            
(NA)	 偶像青春励志剧            
(5星)	 幸福有很多种...选择了...就要用心去珍惜...            
(NA)	 好假！收藏过来只是想在奋斗多年之后还知道自己原来看过这么一部片子。。。            
(NA)	 不错啊            
(5星)	 印象最深的是，向南问瑶瑶为什么不吹那哨子，瑶瑶说“因为我比杨晓芸对你好！”真的很伟大~~~~~~            
(NA)	 电视剧:尽管是看            
(4星)	 米莱啊米莱～            
(NA)	 一群年轻人，神侃的生活，嬉笑怒骂            
(NA)	 越看越喜欢，越看越想奋斗！            
(NA)	 ０７年追的电视剧　期待下一部　如果有的话            
(4星)	 里面不少台词挺经典的            
(1星)	 嗯，我个人感觉，就是一对人在瞎贫，没觉得有奋斗，也许是欣赏水平有限。。。见谅，我还是觉得东边日出西边雨逼这部要好，赵宝刚貌似在走下坡路            
(NA)	 这两天还在看，以前断断续续看过不少。比较讨厌他，因为那段时间对面宿舍等一干人要在我们宿舍看到很晚，明显影响睡眠嘛！            
(2星)	 两颗星送给米莱==            
(NA)	 超级多的经典语录！学习学习            
(1星)	 做作得我风中凌乱啊~            
(4星)	 中年男人YY想象中的年轻80后            
(NA)	 虽然有些剧情挺TM不靠谱的，但还是不错的青春剧。            
(NA)	 看后觉得很多都不显示            
(NA)	 80后的…            
(NA)	 忽然觉得无话可说            
(NA)	 好看            
(3星)	 还成，就是不懂它怎么奋斗了。            
(4星)	 拖的时间长了点还是看完了。到后来才觉得其实米莱也不赖，杨晓芸才是我不爱的角色。            
(4星)	 我不知道自己喜不喜欢            
(4星)	 看这部电视剧，要注重细节。有些不错，有些就别看啦。            
(5星)	 北京北京北京北京            
(4星)	 最近很喜欢米莱            
(NA)	 青春的梦想            
(NA)	 喜欢米莱~            
(NA)	 看这片全是因为你恶心了很多年讨厌马伊琍 讨厌石康            
(NA)	 认认真真的看了~~~            
(3星)	 看到后来觉得扯了.没意思了.            
(2星)	 且~这个电视剧，也太扯了吧！这种非典型性奋斗说个p呀！            
(5星)	 看了N遍但还是想看~~            
(NA)	 梦想 爱情 青春一个人就这么一辈子,不奋斗一下枉此一生啊!            
(5星)	 忽略演员 重视编剧            
(5星)	 确实是难得一见中国拍得不错的电视剧            
(5星)	 最后两集 居然没看            
(2星)	 越看越假~            
(3星)	 理想是一切！            
(4星)	 很理想化的剧，有点矫情            
(NA)	 代表一个阶段的心态            
(5星)	 XX样子怎么就那么贱            
(5星)	 很多台词很棒。            
(2星)	 虚伪!            
(4星)	 2008年11月7日 终于看完了。            
(4星)	 原来演米莱的和我一个高中...            
(5星)	 不管那些鸟人怎么评论 我觉得这片子有点儿意思            
(3星)	 70后演80后 外加不适合南方人看            
(NA)	 电视剧 奋斗             
(4星)	 拍得最好的大陆青春剧。            
(4星)	 看了奋斗，没有太大感觉。但是看了不久之后，这部片子红了。            
(5星)	 共鸣...            
(2星)	 除了第一集那个没钱没文凭没关系的人死真实以外，其他的奋斗甚至婚姻的结合都是那么理所当然，没见吃什么苦了            
(NA)	 我们都太自私 永远改不了            
(NA)	 !~            
(5星)	 没有什么别的话好说了，很受教育，嗨很愿意。            
(NA)	 算是看全的第二部偶像剧（大陆奋斗。向前进～            
(4星)	 我自此迷上的京腔……北京是个不错的地方。            
(4星)	 演得很好            
(NA)	 做作嘚我都要掀地板鸟·            
(NA)	 还成吧，喜欢杨晓云。            
(5星)	 现实中的梦想~            
(4星)	 怎么说呢,国产的,不错...            
(NA)	 其实这片可真够2的            
(4星)	 很火            
(4星)	 如果可以给我一个米莱.一些对白太矫情做作            
(NA)	 与梦想有关            
(4星)	 还真是不错，台词写得真好。            
(3星)	 哈，看过的为数不多的电视剧之一，   还行啦，优缺点其实都挺多的    我喜欢向南，，不只是因为他是西安人！            
(4星)	 一直奋斗着            
(4星)	 那天偶然看到最后几集，觉得真的很励志啊，蛮感动的            
(5星)	 这应该没谁没看过吧。这就是当代年轻人的生活状态。这里面人物实在是太生动了。还有，京腔真好听。            
(NA)	 无聊 空虚的我            
(4星)	 一开始不喜欢看，后来接受了            
(3星)	 神經病.            
(NA)	 陆涛真是太贱太无耻了            
(3星)	 在自己最艰难的一段日子看的这个电视剧 喜欢他们哥们几个的扯淡~            
(3星)	 奋斗了爱情么？喜欢米莱，如果夏琳不是第三者，也还是很喜欢她的~            
(2星)	 要不是马伊俐的小性感，我就打1星。要是我的奋斗也以5kw开始，我就打5星。            
(4星)	 看完之后，我确实郁闷了很久。            
(2星)	 颠来颠去，剧情实在不行！人物倒是描述的很鲜活！            
(NA)	 还是被逼的，还可以            
(3星)	 额,没看完,实在不咋滴,看不下去咯`            
(NA)	 喜欢，看了好多遍            
(NA)	 假            
(NA)	 对话很有意思。里面的内容就是瞎扯，但是有意思，比较幻想            
(2星)	 哼 说是奋斗 其实陆涛根本就没奋斗过            
(3星)	 主题不清晰 对白OK            
(5星)	 理想话的电影，不过台词很现代。            
(NA)	 剧不怎么样一帮子人瞎折腾剧名我喜欢提醒我不要再瞎折腾下去了            
(3星)	 昨晚臨睡前就是想不起來佟大為演的人叫什麽...            
(3星)	 看陆涛，就想到上学那会儿的自己，倔强没有责任感不停抱怨。看的觉得厌恶自个儿，脸红，真他妈操蛋，我要砸了电视机。真他妈操蛋！            
(5星)	 看咯N遍~！            
(2星)	 台词还行~剧情太科幻。生活中是不可能有1E身价的爸和公安局局长的爸的~            
(5星)	 很适合80、90人看的一部片子，喜欢米莱的性格，杨晓芸的任性，向南的痴情~~            
(5星)	 夏琳一边去，米莱最高            
(NA)	 傍大款             
(4星)	 华子            
(NA)	 奋斗 电视剧             
(4星)	 喜欢米莱，但是想成为夏琳            
(2星)	 实在是……失望透顶！            
(NA)	 一点也不奋斗            
(NA)	 我最喜欢看，向南蹲在地上哭，边哭边说，你是个小偷，你是个大小偷……            
(NA)	 哈哈。莫名其妙很喜欢。            
(2星)	 为什么你每次都要变心？！            
(NA)	 电视剧 奋斗 青春 励志             
(4星)	 的确没奋斗，没励志，看一遍还行，再恍一眼就索然无味了            
(NA)	 死都看不出来谁在奋斗了？            
(1星)	 你太丑太难看了.            
(3星)	 一个都不喜欢            
(4星)	 80后的狂想曲            
(4星)	 为爱情，友情，亲情奋斗            
(NA)	 电视剧 奋斗 大陆             
(NA)	 深呼吸　空气里　爱情的味道　可你闻不到            
(3星)	 喜欢米来 石康这人挺有意思 之前看过他的《那些不值钱的经验》感觉 这样的片子还是慰藉性强了点而且对徐志森的讽刺太露骨 道理还是那个道理 这点没有什么新意 中间陆涛的挣扎和摇摆感觉太过单薄。。。            
(4星)	 南瓜爱看，陪看            
(3星)	 喜欢结尾向南和杨晓芸复合以后在街上绝望的奔跑。这就是孽缘吧。            
(4星)	 大陆剧的希望            
(5星)	 人物个性鲜明，很有北京味儿            
(2星)	 一句话，一堆胡搞的小鬼            
(NA)	 不用介绍了把~嘻嘻嘻            
(2星)	 ...不小心又看了一部国产剧            
(NA)	 夏琳真烂            
(5星)	 真的太喜欢了！            
(4星)	 我还没转身，但已经开始思念            
(NA)	 恩，晚了一点还是看了，不错啦            
(NA)	 电视剧 奋斗             
(5星)	 烦死陆涛了            
(NA)	 看完第一遍。谁奋斗了?奋斗谁了？            
(3星)	 Well.That&#39;s just life.我有一点感动。            
(NA)	 50后导演＋60后编剧＋70后演员,拍80后的片子            
(1星)	 yy的一群人            
(4星)	 看着玩玩            
(3星)	 我喜欢米莱。傻。            
(NA)	 生命不止，奋斗不息！！            
(NA)	 80后 找到你的影子            
(4星)	 青春的味道...            
(4星)	 台词有意思            
(3星)	 都是美女            
(NA)	 对前途充满了憧憬与期望的陆涛（佟大为 饰）刚刚大学毕业，女友米莱（王络丹 饰）带来好友夏琳（马伊俐 饰）一起庆祝。没想到陆涛和夏琳一见钟情，爱情火花燃烧得浓烈的二人不顾一切地相爱了。为了不伤害身边的人，他们没有选择公开，却被早已疑心的米莱撞破，伤心的米莱远走他乡。身处热恋中的陆涛和夏琳也希望好友能感染爱情的魔力，介绍了向南和杨晓芸（李小璐 饰）认识，这两人来个闪电结婚，杀得周围的人都措手不及。面对事业，刚刚毕业的他们不是碰了一头灰，就是认识到了理想与现实的落差，这个时候，陆涛的亲生父亲回来了……               
(4星)	 过期的女友只配喝过期的可乐，未来的日子只配看未来的电视剧。。。            
(NA)	 米莱。拿得起放得下。            
(NA)	 看了还想看            
(5星)	 这只不过是部电视剧。。            
(2星)	 稍微假了点            
(NA)	 哪儿有奋斗了?            
(NA)	 也得成经典啦~            
(4星)	 开心一笑还是不错的。。            
(5星)	 有些东西不真实...但看的时候还是会津津乐道...            
(4星)	 80后童话            
(5星)	 看了n遍，很喜欢这样的生活方式！            
(NA)	 我很喜欢            
(4星)	 这电视挺逗的 作为80后的一代还蛮有共鸣的 就觉得最后矫情了点 其实我们没那么想不开 还有我也想住loft            
(5星)	 台词好 台词秒            
(2星)	 越想越觉得那叫一个差            
(NA)	 扯～～            
(NA)	 有年轻的种种不甘，也有在实现途中的悲喜。            
(NA)	 当时看得好疯狂啊            
(2星)	 生硬！            
(2星)	 80后的空中楼阁            
(NA)	 喜欢这个故事            
(NA)	 喜欢夏琳～她有点像我～自恋的一说～哈。其实是那颗希望两个人比肩而立的爱情观，同时为了爱情可以舍去其他东西～这点很认同            
(4星)	 挺搞的，挺闹的            
(NA)	 很好看            
(NA)	 米莱 让我敬仰            
(3星)	 佟大为的角色已经被定死了，只适合演玩世不恭的人            
(3星)	 小灵仙&amp;米莱..            
(5星)	 目前认识的人里没听谁说不好看的            
(4星)	 年轻人的梦..  嫉妒^_^            
(5星)	 等我仔细的看的时候  才觉得它太能代表80后了  所有的思想的冲击  貌似可以潇洒的思维  其实还是在自我实现和现实中挣扎   太像了            
(4星)	 有够搞笑的励志篇            
(5星)	 米莱  还有小灵姗            
(NA)	 烂。            
(NA)	 奋斗            
(NA)	 真该看看            
(5星)	 超级好看            
(5星)	 虽然还是和真实的生活有距离 不过依然教给人很多...            
(NA)	 下班回家后第一件事就是看这剧，用了不到五个晚上的时间就看完了。            
(3星)	 现实            
(2星)	 奋个蛋斗！！！！            
(4星)	 喜欢这样不太生活的东西~ 有趣的对白`            
(1星)	 胡扯胡扯很胡扯            
(3星)	 名字很不错，对白也Ok，整体是一坨            
(1星)	 因为家里人在看，所以看了一些镜头，实在没有兴趣看完……            
(5星)	 超级喜欢            
(4星)	 不错，但是描写出来的不是八零后的奋斗，而是在一点小小挫折之中的享受。有谁或者多少个个体可以经历这样的生活？            
(2星)	 除了华子  没感觉谁是在奋斗 这叫啃老            
(5星)	 很逗的台词，在北京生活的人更有感触吧！～～我看了4遍哦！            
(4星)	 看了两遍,不仅仅是因为爱情更因为奋斗在我们的人生历程中不可匮缺的地位            
(NA)	 第一遍看，不赖。第二遍看，他们的台词背的可真好啊！            
(NA)	 有好感的是夏琳            
(NA)	 比较烦            
(3星)	 仔细看看很SB            
(NA)	 励志 电视剧             
(5星)	 台词 剧情 吸引我            
(4星)	 米莱吖米莱!            
(1星)	 看过最名不副实的大陆电视剧了，台词、音乐甚至理念都是70年代生人的，唯一反映现代的是那种贯穿全剧的以不劳而获为荣和以夸夸其谈为牛的精神。那么鲁迅说的没错，20岁的青年是个悲剧。在21世纪还念念不忘上世纪顽主似的浮夸和无德，如何对得起那些真正在奋斗的人们？            
(5星)	 奋斗啊。            
(1星)	 看了第一集就看不下去了。。雷啊～            
(5星)	 07大热剧            
(4星)	 虽然在看的时候会很想看，但心里总是有些抵触的想法。它让我想到一些东西，不想。所以评价的时候也总是矛盾。            
(3星)	 很会耍贫嘴的角儿            
(2星)	 唉...            
(2星)	 一群70年代生人用90年代生活模式拍摄的，企图反应80年代生人生活思想状态的所谓青春片。            
(5星)	 ！很经典！不现实！80年后！            
(NA)	 友谊万岁            
(4星)	 光奋了，没见斗            
(4星)	 真实贴切            
(NA)	 我爸妈爱看            
(4星)	 始终记得看奋斗时的纠结            
(NA)	 陆涛为什么不爱米莱果然暴强的            
(NA)	 很适合我们            
(4星)	 没有让我失望            
(5星)	 偶像剧            
(4星)	 在他们身上找自己的影子。奋斗在北京。            
(4星)	 由此更加讨厌夏琳这个人+演员本身~~由卓越变成向南，还是依旧的招人爱            
(3星)	 ww            
(4星)	 其实有些过于理想化            
(NA)	 = = 我喜欢米莱歪。。            
(NA)	 一部让诸多的青春者们找到共鸣的电视剧，            
(NA)	 基本不爱看任何类型的电视剧            
(5星)	 想想以后我们怎样去奋斗?!            
(NA)	 一开始就开着奥迪去奋斗。感觉里面很多人都少根筋。            
(3星)	 跟着大家看。觉得台词挺有趣的。不过内容还是脱离现实。            
(5星)	 年轻就该奋斗！            
(4星)	 还行            
(4星)	 特别现实。            
(NA)	 大家都在看，我也看了，结果是…………看我推荐的那篇文章~            
(5星)	 想要爱就疯狂，想放弃就坚强。想奋斗就坚持梦想。            
(NA)	 烂！            
(2星)	 太假，太好笑。            
(4星)	 虽然没看明白他们在奋斗什么，但经典的台词、突兀的性格很深刻..            
(1星)	 恨不得一星都不给，稀烂的编剧，太假了            
(NA)	 可算看完了.太长~~~            
(2星)	 太脱离实际或者说这样的实际太白痴            
(3星)	 心碎乌托邦            
(1星)	 垃圾            
(4星)	 我要奋斗。            
(4星)	 最好的电视剧啦，呵呵，超多人喜欢。            
(NA)	 80后。            
(4星)	 我讨厌夏琳，贱人！我支持米莱！            
(NA)	 讲述八零后的感情和生活            
(4星)	 没有期待中的好看。像米莱一样的女生。我们总应该米莱一次。            
(4星)	 杨晓芸才是最真实最可人的角色。你丫懂不懂？            
(3星)	 不太现实，看热闹还行            
(3星)	 越看越垃圾            
(2星)	 认识了一些年轻小演员。。。            
(2星)	 没觉得代表了80年代的。。。            
(3星)	 说实话我没看完            
