http://movie.douban.com/subject/1459021/	霹雳游侠 Knight Rider
(3星)	 难以想象我现在看到这辆车竟然还很星星眼...start at 2011-2-2            
(NA)	 这辆美丽的善解人意的车啊！            
(5星)	 我喜欢叫他会说话的汽车~            
(5星)	 老爸带我一起看的电视剧，当时，他就对这车赞叹不已！貌似是央视播的，一天一集，美好啊～            
(4星)	 一部会说话的车，现在看觉得真幼稚，确实 我们80后最美好的回忆            
(5星)	 原来男主角这么帅            
(5星)	 我的童年！！绝对的！            
(5星)	 老男孩们共同的美好记忆!!试问哪个男孩不想拥有一部这样的车！            
(4星)	 好小的时候看过，以前爱的不行，现在爱的大概就只有那辆车了，看到迈克尔的发型，我有点雷帝的感觉……            
(5星)	 泪奔啊。。。。。            
(3星)	 哈哈哈会说话的车子            
(NA)	 小时候可爱看            
(5星)	 michcle            
(4星)	 当时很眼馋那辆会说话的跑车            
(4星)	 那车太酷了！！！            
(5星)	 小时候爱死这辆车了            
(NA)	 哇靠 我居然名字还没记错            
(5星)	 基特！永远的爱啊啊啊啊啊啊            
(4星)	 当时配音的也很好~小学时超爱！            
(5星)	 小时候的神作，每次酷酷的主题曲响起，我都不由自主的抽搐，从小梦想有一部通人性的飞车，而且车头也要像霹雳游侠一样，有来回闪烁的灯，太帅了！            
(3星)	 主要是小时候看车呢            
(5星)	 再也回不去的童年啊            
(5星)	 童年的神作啊            
(5星)	 童年的梦            
(5星)	 幼年时 跟随哥哥姐姐看的片子 记忆深刻！            
(4星)	 小时候看的....            
(5星)	 我爸说他真的很酷炫            
(5星)	 kid            
(5星)	 这可是童年记忆            
(5星)	 等去美国我也要和那车合照！！            
(5星)	 CCTV看的，还在上小学的，超级想有一部这样的车。然后是飞狼            
(5星)	 哇塞，经典的回忆啊            
(4星)	 那辆车            
(4星)	 当然被那霹雳游侠与那神奇智能车给深深迷住啦            
(NA)	 经典！大爱！无可取代！无法忘怀！            
(5星)	 小时候跟爸爸一起看啊 每每放到英雄美人亲热的镜头他就换台 过会儿再换回来=。=            
(NA)	 不出意外这是我看过的第一部美剧。。            
(4星)	 擦，那神奇的汽车~~~            
(NA)	 那时候的梦想就是有这么一部车。            
(5星)	 以前好像做那个车……            
(4星)	 好像没有看全。但小时候真的很喜欢。            
(3星)	 超帅的车            
(3星)	 儿时的经典            
(5星)	 天天看啊！~~~~~~高科技产品！~            
(4星)	 回憶啊！            
(NA)	 哈哈，一个有生命的汽车哦，觉得那汽车好人性化哦。很像007            
(NA)	 小时候看过  车能说话觉得很有爱            
(5星)	 童年            
(NA)	 怀念啊。。。            
(NA)	 小时候好像每周六CCTV都会放。            
(5星)	 大陆最早引进的美剧之一            
(4星)	 就记得车了···车很nb·····            
(5星)	 超级棒的美剧，特别喜欢那台自动的汽车，主角都忘光了，汽车还记得。那时候特别想有这台汽车，去惩治坏人~呵呵            
(5星)	 童年的记忆啊！智能车！            
(5星)	 记忆犹新            
(NA)	 童年的记忆之一            
(5星)	 记得小时候捧个小黑白电视，父亲天天陪着我看！            
(4星)	 童年的回忆啊            
(NA)	 貌似以前的电视剧都已经忘了  电影看看也不错的  好看             
(5星)	 最爱的美剧！！童年的记忆啊！！！            
(5星)	 帅啊帅！还有超级酷的车子！            
(5星)	 初中的时候电视台播的。那车很NX.            
(5星)	 一直想要这样的车！            
(5星)	 迈克耐特和他那辆会说话的车——基塔（基塔绝对腹黑，现在还记得他吓唬疑犯并称对方为“地球人”。。。）            
(5星)	 车太抢戏了。            
(5星)	 他的车！            
(4星)	 那车            
(5星)	 黑色的车叫基特~他会说话还爱玩填字游戏，关键时候会飞和模仿外星生命体            
(4星)	 小时候和老爸一起看的……            
(5星)	 太经典的童年电视剧！男主角很帅，车很酷——还能说话！美好的印象阿~            
(NA)	 小时候迷死了             
(3星)	 小时候每集必看            
(5星)	 看这个剧的时候刚上小学的说。            
(5星)	 又是儿时记忆  经典            
(4星)	 长大后才发现，在知道有美剧这个概念之前，很小的时候就看过这部剧了，既然一直记得，记得那辆超酷的车，那块超帅的表……            
(5星)	 小时候的回忆……对那黑色的车实在太着迷了。            
(5星)	 小时候和爸爸一起看            
(4星)	 喜欢看新的，不过后面就不好看了            
(5星)	 童年回忆            
(5星)	 小时候和爸爸一起看..            
(5星)	 小时候的记忆……一共3部美剧，这个，X档案，93年超人……嗯……            
(4星)	 曾经我梦想有这么辆车子，我还是怀念老版            
(5星)	 那个音乐，还有片头沙漠上奈特飞驰留下的烟尘和车轮痕迹，那是不知道酷这个词，但心里就是那种感觉。天上飞狼，地上杰特            
(4星)	 那车可帅了！            
(NA)	 童年回忆啊~            
(4星)	 “海陆空”三部曲之“陆”！到底有木看过确已记不清了...            
(4星)	 Mike Knight一位孤胆游侠            
(4星)	 非常好看的，不过拍片的质量没现在好啊，可惜了            
(4星)	 有的时候回忆就不那么美好了            
(5星)	 帅            
(5星)	 wow~我小时候非常喜欢的            
(4星)	 属于我那记不起的童年，那时狂爱看啊，内牛满面的            
(4星)	 =v=似乎是没看全            
(NA)	 貌似想再看一遍            
(4星)	 正大剧场            
(4星)	 当年还买过一个类似的玩具车...            
(NA)	 我当时都能把这部片子的台词背出来            
(NA)	 对车的印象源于此~~            
(NA)	 好车            
(NA)	 足以证明俺童年大把时间奉献给了电视            
(4星)	 小时候就想，大了一定要有这样一部车。大了才知道，想要的是一个爱的女人            
(5星)	 人车之恋            
(4星)	 这个就是那个会说话的车吧。            
(3星)	 应该是看过的最早的美剧了            
(3星)	 童年的记忆呀~~其实小时候啥都看不懂，就觉得那辆车特神奇            
(3星)	 未未来设计的车！            
(5星)	 超级喜欢那部车子            
(5星)	 嗨!伙計!            
(5星)	 今天最大的收获,终于想起来小时侯经常看的这本电视剧,记忆由新的是那辆神气的车子            
(5星)	 好帅的车~~            
(5星)	 这是我小学最HC的男主之一。。。            
(5星)	 小时候的回忆。。            
(3星)	 因為新版把舊版又翻了出來~然後覺得~真爛。。。            
(4星)	 回忆中的香车帅哥泡妞记~~            
(NA)	 我妈和我姐很哈            
(NA)	 太经典了!太怀念了1            
(NA)	 小时候貌似电视上演过。。一台会发导弹的跑车。            
(4星)	 现在还记得当年我看到那辆汽车撞毁后还哭了呢。。。            
(NA)	 记得当时和姐姐每天守在电视机前看~好好看哦~好久没看了。。。            
(5星)	 厉害的车子            
(5星)	 童年回忆            
(NA)	 曾经很爱，科幻的都爱            
(4星)	 怎么记得那车叫吉特？查了一下好像叫卡尔            
(NA)	 还是经典            
(5星)	 经典，一直梦想拥有这么一辆车            
(5星)	 小时候大半夜守在电视机面前就为了这个会说话的车            
(5星)	 无敌            
(5星)	 中国第一部从美国引进的电视剧，当时太火了。。            
(5星)	 经典            
(NA)	 才知道这是我看的第一部美剧,小时候跟着老爸看的,只记得那辆车很酷...            
(5星)	 儿时的追梦啊，想要长大了也有一辆，可惜长大了，新版的霹雳游侠变味儿了            
(3星)	 车比人牛逼            
(NA)	 闪烁的车灯ms引领了那时的摩托车闪烁灯风潮。“计算机负荷超载”就能轻松的将电子门锁打开，可以弹射，可以开进水里，真的是无所不能，电脑在和人的相互协作中有了人性的一面，有时这种科幻片还能带给人感动            
(4星)	 童年的回忆            
(5星)	 前几天还琢磨这电视剧是四岁还是五岁看的，对那个黑色车子和音乐还有记忆            
(NA)	 很童年的回忆            
(5星)	 看我的ID            
(4星)	 看过，记得那部车会说话            
(NA)	 车太帅了，那个配音也太酷了！            
(4星)	 当时觉得好神奇那车            
(5星)	 hi~迈克            
(5星)	 哇，小学时每周日等着看中央一台的这个片子……            
(5星)	 过了多少年才知道knigt是骑士的意思            
(4星)	 原来我小时候就喜欢上了科幻片            
(4星)	 很小的时候看过 突然想起来了这辆牛X的车子            
(4星)	 电视时代的美剧            
(5星)	 童年            
(5星)	 启蒙了我对汽车执著            
(4星)	 为啥现在看觉得很傻？？            
(NA)	 上小学的时候CCTV放，我和老爸每周日上午都守着看。我问我爸这样的车要多少钱，我爸说这要好几亿，只有英国女王买得起……            
(4星)	 记忆中最早看过的欧美电视剧……刚上小学那会儿……印象深刻……            
(5星)	 这个好，印象很深            
(3星)	 童年回忆吧这算是            
(3星)	 偶像!!!受到這部影集影響，後來我家就買了龐帝克的車子。            
(NA)	 我童年的爱~~~~那个 向上开的车门~            
(5星)	 童年的回忆，我梦想中的汽车。。            
(5星)	 那车那男人~               
(4星)	 帅哥和跑车的故事            
(4星)	 就记得会说话的车子很厉害~            
(5星)	 那熟悉的旋律又在耳畔响起。。。。。            
(NA)	 酷车！            
(3星)	 不是我的茶            
(5星)	 童年里印象超深的一部            
(5星)	 当年的梦想啊            
(5星)	 帅呆了            
(5星)	 我终于知道名字了            
(5星)	 超喜欢那部帅气的车            
(3星)	 帅车            
(5星)	 嗲的！印象很深很深            
(NA)	 以前多喜欢看啊            
(3星)	 多年前在中央台看的剧             
(3星)	 哦哟哟 那车啊 小时候 现在新版被砍啦            
(4星)	 经常幻想有部甘的车            
(3星)	 80年代的美剧，一个哥们驾驶者武装直升机行侠仗义，应该算是一部科幻风格的牛仔片吧。记得他的基地在一个掏空的大山里面。主演是《护滩使者》里面的帅哥。            
(4星)	 这玩意儿好像是小时候，很小很小时候看过的了。            
(5星)	 精典            
(NA)	 以前有线二台放的。。。MIKE呵呵            
(NA)	 2010.04.19开始重看。            
(5星)	 小时候真是迷得七荤八素的            
(4星)	 回忆起儿时美好的时光            
(4星)	 动了！又动了！妈！来看！            
(4星)	 我的第一篇影评，献给了那辆车            
(5星)	 小时候觉得帅的一笔的车和人            
(5星)	 童年夢想便是長大了要有一輛會說話的跑車！            
(4星)	 童年的回忆~            
(5星)	 和老爸一起看的电视剧捏。。            
(NA)	 啊，又是一个老片！            
(4星)	 庄丰源            
(5星)	 童年的梦想            
(5星)	 童年谁不愿能拥有一部这样聪明的汽车，无聊时它会和你聊天，当你遇到危险时它自己会去营救你。每次看到它用那辆大车里退着开出来，看到它车头左右晃动的镭射光，我都热血沸腾。只是有个小小的遗憾当时家里的电视机是黑白的，从来都不知道这辆车是什么颜色。。。            
(4星)	 “还记不记得伴着我们长大的那部飞狼，那部霹雳游侠？ 那架黑色的直升机，那辆黑色的汽车。给了我们多少欢乐。”            
(5星)	 我曾经真想要这么一辆车            
(5星)	 小时候就梦想着 以后我也遇见一位科学家送我一部那么帅气的车子            
(4星)	 超爱超爱超爱超爱超爱那辆会说话的车～            
(4星)	 。。。我从此爱上了车，特别是黑色的车。。。            
(4星)	 小时候觉得那部车子帅呆了            
(NA)	 6岁的时候那么想要这么一辆车去充英雄 &amp; 骑着小自行车自言自语&#39;冲吧,kitt!&#39;            
(4星)	 我小时候的剧            
(4星)	 经典啊             
(5星)	 童年记忆            
(5星)	 每个周日守在央一等《国际影院》            
(3星)	 酷剧~            
(3星)	 我看的是中文配音版的 当年很萌阿            
(5星)	 小时候看的，记得那部车子超炫的，好多功能，可以倒着看，当时看得目瞪口呆的。            
(4星)	 原来 俺 童年的时候 也是看过美剧的            
(NA)	 那可是儿时的记忆呀            
(5星)	 有一次车牺牲了 我直接哭的稀里哗啦...            
(5星)	 那部车才是我的主角            
(3星)	 当年觉得那辆车很酷            
(3星)	 车帅            
(4星)	 童年的回忆            
(5星)	 永远忘不了kitt那排灯……            
(5星)	 不得不怀念童年            
(NA)	 小时候……            
(5星)	 好怀念            
(5星)	 小时候的梦想            
(3星)	 应该是正式看的第一部美剧，看完之后时至今日我一直坚信美国大街上每个人都驾驶者功能强大水陆空多功能跑车，美国沙滩上次只有大胸细腰翘臀比基尼女郎，罪孽啊。            
(4星)	 好像是我看过的第一部外国电视剧            
(3星)	 LG RD            
(4星)	 还是以前的那部好看，新拍的怎么看都没感觉，就算是续集也不能拍得像20年前拍 的啊            
(5星)	 好古老的记忆呀~            
(5星)	 对那辆智能车印象最深 前面一道红光总是在闪烁 还有那呆呆的说话声 无比怀念童年            
(NA)	 有这么辆车的话。。。            
(4星)	 哦。。。那部车。。。            
(NA)	 好像拥有一两这样的车            
(4星)	 经典~            
(NA)	 期待有第二季            
(4星)	 飞狼的剧情好歹还记着一个片段 这个是一点都不记得了，， 就记得车很牛叉 怎么个牛叉也忘了。。            
(5星)	 这部就不用说了，小时候和老爸躺在床上，等啊等，每晚都得等到10看霹雳游侠，开始还有毅力，之后就是睡着了，第二天早上电视一片雪花~老妈大怒···            
(5星)	 童年时候超爱看            
(5星)	 就是以前正大剧场看的！！！稀罕死那车了！！！！！            
(4星)	 很帅            
(4星)	 小时候觉得和能车对话特牛x            
(5星)	 真是好车。。。            
(NA)	 我们的童年啊 有着惊人的相似             
(5星)	 永远难以忘记的科幻经典，我那时是多么幻想未来能有会说话的车啊~            
(5星)	 太帅了            
(5星)	 儿时每集必看             
(4星)	 会说话的汽车，哦也！            
(3星)	 看了几集，小剧。唉，烂            
(4星)	 儿时的美好记忆            
(NA)	 貌似只记得那辆车了            
(4星)	 小时候的海外影视，一直要看额东西            
(5星)	 童年最美好的回忆，记忆最深的电视剧。记得每周星期天早上就等着看它。和小伙伴们一起快乐的等着看。我们都想拥有这么一个跟自己像朋友一样的车。我们之间话题谈论最多的也是这辆车。最美好的童年回忆。            
(5星)	   一部片子，让我想起了美好的童年，当KITT说话的时候，特别的可爱，当人工智能发展到了一定的水平，一台有思想的超高级电脑被安放到了一辆庞蒂克里，是多么的梦幻。小时候也在幻想，哪天会开车了，也弄辆KITT开开，长大后才发现这只是一个梦，不过KITT真的很帅，它是每个男孩心中的梦            
(3星)	 其实别的都不记得了 只剩那辆会说话的车了 那是多么酷的汽车啊            
(4星)	 童年梦幻暑假            
(NA)	 classic..            
(4星)	 牛车+帅哥            
(4星)	 哈哈，小时候看的啊            
(4星)	 很小时看的了.........已经忘了不少, 只记得当时看得很来劲            
(5星)	 当时酷想要辆那种车，现在只希望有辆车，很大落差，不过毕竟是童年的回忆            
(5星)	 童年的回忆啊            
(NA)	 哈哈            
(NA)	 哇塞，这个都有，豆瓣真牛啊            
(4星)	 当年可火了一把，那辆会说话的车车啊。            
(5星)	 当年的大爱！            
(NA)	 哈哈，小时候的回忆            
(NA)	 牛车            
(4星)	 飘逸、潇洒的超级车男，每一集都遇到一位hot girl            
(3星)	 其实是冲着里面的车去的~            
(4星)	 太经典了 救死扶伤 帮助弱者            
(NA)	 童年记忆系列 等 等等等  等 等等等 等等等等等等            
(5星)	 我最爱的电视剧集，小时候就看            
(3星)	 童年回忆。            
(5星)	 经典得一逼            
(4星)	 童年回忆            
(5星)	 小时候的记忆...            
(5星)	 太酷了~~            
(4星)	 当年啊,每周日上午的期盼啊...            
(3星)	 忘了几岁看的了，无人驾驶~            
(5星)	 小时候每个星期天早上都会看的电视剧            
(4星)	 |681:980|            
(5星)	 想当年每个星期守着电视看的片子            
(5星)	 小时候看的电视，还是译制片，男主角就是后来出演了海魂的大卫哈塞尔霍夫。喜欢那部爱耍嘴皮的车子，真羡慕这样的搭档。后来有一集车子“死”掉了，不知多少人因此新岁流泪。            
(NA)	 只记得那车每次都撞墙进监狱救男主角            
(4星)	 童年好喜欢那辆车　不忍心再看            
(3星)	 小时候很喜欢            
(4星)	 超想要那辆车            
(4星)	 这车太拉风了~~            
(4星)	 童年看过的少数剧集之一            
(4星)	 那时还叫译制剧童年经典，超赞的车            
(5星)	 当年那个激动啊...            
(NA)	 N多年前看过，还没有看全……            
(4星)	 居然这种片都被挖出来了……            
(NA)	 小学毕业的那个暑假 经常后半夜偷偷爬起来 就是为它             
(5星)	 that is called childhood            
(NA)	 东方卫视，小时候。。。这车，儿时的梦想~            
(5星)	 我的天，当时迷死这部电视剧了！迷死那部车了！！胜过那个男主角。现在还记得有个镜头是，他从车里被弹着跳进了围墙了。。。（似乎很傻哦，但是却觉得帅呆了！）            
(4星)	 有时候，一个人也可以改变世界            
(NA)	 幻想有辆这样的车            
(5星)	 童年回忆！大爱至死~~~太让人爱的车。            
(3星)	 人工智能~            
(4星)	 小时候很爱看            
(4星)	 谁都想要那辆车。            
(4星)	 我的童年，和爸爸一起看的，总是想有一部这样的车。            
(NA)	 Done: S01            
(3星)	 小学挺喜欢的            
(NA)	 童年的回忆啊～～～            
(4星)	 小学看的，具体忘记了            
(5星)	 不说什么了，童年的时候最想要的一部车。            
(5星)	 小时候在星期天最喜欢和爸爸一起看得节目            
(NA)	 当年那车简直是 忒~牛了！            
(NA)	 原来这就是传说中那部会说话的车。            
(5星)	 啥都不说了，最早接触的美剧            
(4星)	 这车太神奇了！            
(3星)	 记忆中的这辆车简直太帅了~~于是幻想着要是有一天自己也能拥有就好了~            
(3星)	 男孩对于车的欲望即来于此            
(4星)	 小时候蛮喜欢的            
(5星)	 儿时的憧憬            
(3星)	 车很猛的。            
(NA)	 部分            
(5星)	 童年的记忆加分，当那音乐响起……            
(4星)	 小时候天天看着幻想            
(NA)	 好老的片子            
(5星)	 好怀念啊            
(NA)	 梦想中的智能车。童年时好崇拜            
(5星)	 生死相交的车友            
(NA)	 当时开始对车感兴趣            
(NA)	 还想再看一遍,哪有?            
(4星)	 生平所看第一部美剧，卡尔和麦克永远活在我们心中            
(5星)	 小时候也想要一辆那样的车            
(NA)	 童年最爱的美剧            
(NA)	 这是奈特工业2000型            
(5星)	 车太酷了            
(4星)	 哈哈，好怀念啊            
(4星)	 这是我最爱的车子~~            
(4星)	 童年回忆            
(5星)	 我可爱的KITT。            
(5星)	 常幻想我也有这样的车            
(3星)	 那个时候，所有人都希望有一辆这样的车……            
(4星)	 儿时回忆            
(5星)	 经典            
(3星)	 小时候很是迷恋了一把            
(4星)	 ~!~            
(5星)	 童年的回忆            
(4星)	 喜欢的是那辆车            
(4星)	 当年有线台放的            
(3星)	    犹记得那辆会说话的汽车。            
(NA)	 那个女演员是音乐之声中的那个修女么？            
(4星)	 Michael Knight!   基特！            
(4星)	 给我一辆车吧...            
(NA)	 那车真酷！            
(4星)	 一直dreaming自己也有一辆这样的车子            
(5星)	 还想再看一遍！            
(5星)	 我也想有这么辆车            
(NA)	 童年回忆，经典！好看！            
(5星)	 小时候很喜欢的！            
(4星)	 小时候很喜欢看的一部外国片。重温一下吧。也就看了几集。            
(5星)	 好看的不得了啊            
(NA)	 woxihuan            
(3星)	 小时候我的最爱，哈哈。            
(5星)	 小时候最大的愿望是有一辆像霹雳五号一样的车            
(4星)	 我小时候最喜欢的美剧之一，人人都喜欢英雄，但英雄并不是人人。八九十年代的经典电视剧。            
(5星)	 好型的車~成日想好似佢咁            
(4星)	 好想有那样一部车            
(5星)	 以前很迷很迷这个片子！！            
(4星)	 基特好样的！            
(NA)	 儿时多少次在梦里与基特通行......            
(4星)	 那辆车啊            
(4星)	 哦！这不是过去电视上老放的那傻小子和超级跑车的故事么！？            
(3星)	 车很帅            
(3星)	 当年非常喜欢，那时候美剧跟现在比真的是奇缺哦。喜欢mick，当然也喜欢kitt，不过现在在看，虽然很怀旧，无论是剧情、表演、特技还是kitt都比不上如今的了。但是依然是喜欢～            
(4星)	 就想要那两车了！            
(5星)	 霹雳游侠            
(4星)	 很老的，中央二套放过吧            
