http://movie.douban.com/subject/1294791/	机器战警 RoboCop
(4星)	 小时候看过的科幻片，印象比较深。            
(5星)	 这是童年！这就是童年！            
(5星)	 为什么没有人翻拍这个！！！！！！！            
(4星)	 87年的作品经典滴.            
(5星)	 拔枪姿势帅到爆            
(3星)	 最早一部满足了重金属质感与机器人大战的电影。少年时录像带的记忆非常深刻。            
(4星)	 小时候很喜欢的            
(5星)	 好            
(3星)	 对！很多年以前我居然看过这个！很重的模仿感            
(4星)	 小时候的超爱，还经常模仿他走路            
(NA)	 小时候看过的，不记得情节了，不评论了            
(3星)	 那把手枪不错            
(3星)	 而是最喜欢崇拜的人            
(5星)	 还能记得几个鲜明的片段，难忘的强壮体魄，难忘的超级能力，难忘的改造痛苦，难忘的坚强            
(4星)	 雖然劇情差不多都忘了，但記得是好看的經典電影。            
(3星)	 My friends call me Murphy. You call me RoboCop~很累的是最后竟然会飞~~貌似还是动画片在印象中好些啊            
(3星)	 某年在正大剧场看过，算是装甲SF的启蒙电影？            
(5星)	 儿时关于未来科技的最初幻想            
(5星)	 儿时的回忆现在看起来也很美好的~            
(5星)	 朋友们，call me 墨菲            
(4星)	 小时候看的            
(5星)	 那个时代的科幻 这个时代即将成为现实            
(4星)	 小时候印象很深刻            
(5星)	 一直觉得这是一部悲剧的电影 警察死了             
(3星)	 录像带的时代            
(4星)	 家庭的温暖,伙伴的帮助,社会要和谐呀!            
(4星)	 小时候看的时候觉得他老帅了···原来我有肌肉叔叔的嗜好~~            
(5星)	 很美好的儿时回忆            
(5星)	 说实话这才是我小时候最喜欢的超级英雄。            
(4星)	 要重看一遍            
(3星)	 画面略有点恶心，尤其是第二集            
(4星)	 这款游戏都是经典            
(5星)	 很小时候看的，哈哈，当时应该很经典            
(4星)	 很早以前看过的一部科幻片，那时候还是小孩子，感觉好好看。            
(4星)	 儿时回忆啊            
(3星)	 当年看就觉得土，这么多年从未改变想法！            
(4星)	 不错            
(4星)	 又是一部经典之作。。。            
(4星)	 虽有点黑色，但初中时是还是很容易看得懂            
(5星)	 墨菲玩枪的姿势真酷!            
(4星)	 这些电影都是帮助我突破思维的大门            
(3星)	 年代 年代            
(3星)	 小时候看的~            
(3星)	 因为游戏看的电影            
(4星)	 有些久远了对我而言，有机会再看一遍吧            
(4星)	 儿时的superman            
(3星)	 即使在当时，我也不太喜欢这部影片，            
(NA)	 好吧。。。我觉得这是超人故事。。。            
(5星)	 最后的面具下的面孔对于那时的我真的很少儿不宜，有阴影。            
(4星)	 嗯！小时候机械战警的印象比终结者还要深！            
(4星)	 哈哈~儿时的记忆            
(3星)	 算是经典了，不过也就是传统的打打斗斗。            
(5星)	 小时候的大爱            
(5星)	 儿时的回忆            
(5星)	 小时候看的，到现在还记得那半张铁皮面具下的脸            
(4星)	 那个年代，这片子还是很震撼的            
(5星)	 这个真的是太太太经典了！            
(NA)	 墨菲很酷            
(4星)	 当年真的觉得好酷。。。            
(3星)	 仅凭印象            
(4星)	 复仇给人快感            
(4星)	 应该是我看过的第一部大片            
(3星)	 小时后看过的~cool~~~热爱机器人            
(3星)	 老了            
(4星)	 高中的回忆            
(4星)	 小时候。。录像带。。。            
(4星)	 經典~            
(5星)	 悲剧的正义使者            
(4星)	 读小学的时候买过电影里的玩具枪和模型，当时真的很迷啊，连走路都学墨菲。            
(4星)	 童年最棒的回忆之一！            
(5星)	 童年的动作大片            
(4星)	 小时候觉得很屌的片子...            
(5星)	 儿时经典！            
(NA)	 那时好讨厌这一系列的电影，因为满电视里都是墨菲            
(5星)	 儿时又一最爱            
(3星)	 看在是87年拍的，算了            
(3星)	 老片了。。            
(5星)	 发现小时候看的科幻还真挺多～            
(5星)	 这部电影一定力荐  我想那些在儿时看过这部电影的人们 对这部电影充满回忆 是吧            
(5星)	 有什么问题么?            
(3星)	 这可是小时候的回忆啊。记得买得第一张正版碟就是《机器战警》啊..            
(4星)	 小时候的经典~童年的记忆阿~            
(3星)	 小时候觉得很NB            
(5星)	 从小时候到现在都觉得莫非是最帅的 ！            
(NA)	 童年的记忆            
(4星)	 墨菲。            
(4星)	 小时候很喜欢看~但是每次还都不敢看~让妈妈陪我一起看……            
(3星)	 很小的时候看过的了~            
(4星)	 总有一个超级英雄是悲情的……            
(4星)	 我接触的最早的一部科幻片            
(2星)	 当初看这个系列我特吗还没上学，当时的我看完这系列感觉这太暴力了，机械结合人体太无法接受了，粗制滥造的R级片给我很长时间留下了心理阴影。            
(NA)	 好像阿诺没有参演            
(5星)	 童年的回忆啊~            
(3星)	 CCTV，我还看过这货，总体感觉还不错            
(3星)	 小时候的经典.小时候就在电视上都不知道看了多少遍了            
(4星)	 当时看了很让人激动            
(4星)	 这警察死的好惨，我记得好像叫墨菲~            
(4星)	 小时候的童话~            
(4星)	 忘得差不多了，但是小时候为了能有一个会发声的模型玩具而雀跃            
(3星)	 有点二            
(5星)	 看的第一部好莱坞电影 我心目中永远的超级英雄            
(4星)	 配乐相当经典            
(5星)	 内牛满面的童年啊。。。墨菲。。。            
(5星)	 墨菲！            
(4星)	 童年暴力...            
(5星)	 童年最爱            
(4星)	 还记得年少时的梦吗？            
(5星)	 我是机器人警察莫非！ 超经典，小时候最爱            
(4星)	 我的朋友们叫我墨菲；而你，叫我机械警察！            
(4星)	 科幻片启示录            
(5星)	 我喜欢这个机器人，法律的忠实捍卫者            
(5星)	 童年回忆~            
(5星)	 只记得 名字莫非  还有他有一辆很酷的车、但是小时候超爱            
(4星)	 童年时期的经典啊+2星            
(NA)	 不评论            
(NA)	 这个我有正版的            
(4星)	 小时候的记忆了。。            
(5星)	 这部电影是我对半机器人独爱至今的源。            
(NA)	 小时候的梦想就是有这么一个玩具。            
(5星)	 很多的第一次都给了这部电影。有特殊的感情            
(5星)	 童年的记忆很清晰            
(5星)	 我想我应该看过，而且应该给五星。            
(5星)	 好像是第一次去电影院看的电影。。。            
(5星)	 怎么才给那么点分            
(NA)	 又是一本老片  看过但是也差不多忘了              
(4星)	 摩菲   儿时的记忆            
(5星)	 儿时的记忆啊，震撼的不是一点点啊。现在……我不要再看一遍了            
(4星)	 小时候觉得他就不该把头盔摘下来。。            
(5星)	 儿时的记忆            
(4星)	 为了不破坏童年对这部片子的美好记忆 此片不能看第二遍~~            
(4星)	 经典。墨菲长的太难看，带上头盔就帅多了。嘴巴长的很有个性            
(NA)	 在涛涛叔叔家看的录像带~~~也是看过的唯一一部录像带~~~            
(4星)	 小学看的，年代久远了，但现在想来那货把头盔去掉的时候很像普京啊^_^            
(4星)	 小时候挺爱看的。            
(3星)	 三星半  小时候的科幻启蒙片之一吧            
(5星)	 录像带一次又一次的借            
(3星)	 光看样子非常酷，看过之后觉得实在一般            
(NA)	 掏枪的动作耍呆了……            
(3星)	 古龙说，拔刀要够快，收枪要够帅……好吧，我又穿越了            
(3星)	 现在看也还是很有趣            
(4星)	 我不信你没看过这个！嗯，我小的时候还真是很动心啊很动心。超爱。大概因为他不仅仅是机器，还想要有一颗心。            
(NA)	 儿时记忆啊 ~~~~~~~~~~~~~~~~~~~~~~·            
(NA)	 记得小时候还有同名的游戏~~            
(4星)	 小时候看过，印象还蛮深刻的。居然很喜欢，可能是被机器人身上的人性感动，当然还有童自荣的配音~            
(5星)	 舅舅租的录影带给我和弟弟一起看的，看了很多遍。            
(4星)	 看着机器战警被警察一遍遍的扫射，真的是觉得天理不容啊..            
(3星)	 童年的电影            
(4星)	 实话说 这个太经典了            
(4星)	 小时候看了这个的动画版感觉不错，后来才发现电影版是跟我一年出生的电影，蛮喜欢的~~呵呵            
(3星)	 现在想想好傻            
(5星)	 儿时的记忆，超级英雄            
(4星)	 童年回忆啊            
(NA)	 三部  都很感人  纯朴的柔情            
(4星)	 一步一步，伴我成长的科幻片            
(5星)	 童年的回忆            
(5星)	 经典阿经典            
(5星)	 小时候的经典，正大综艺。。。            
(4星)	 小时候            
(5星)	 小时候超爱的片            
(5星)	 我滴~回到未来。。我滴~机械战警            
(4星)	 童年时我很爱看            
(4星)	 怪不得这么原始，87年的片儿...            
(4星)	 据某人说此片十分出名,没看过终结者也不能没看过这个,于是下了看.情节比较老套,好人警察被坏人打死了,然后和新研制的机器人组合,变得十分牛逼,最后欢喜大结局,坏人死光光. 话说特效一般,化妆却相当不错,人的脑袋和机器结合的地方就是放在现在的电影里也不算差.            
(5星)	 小时候看过，记忆啊            
(3星)	 好猛...            
(5星)	 上小学时候看的。现在看还是很喜欢。            
(4星)	 童年记忆            
(4星)	 中央台刚译制出来在正大综艺播放时看的，印象深刻            
(3星)	 重温了一下，当年好震撼，而今感觉好一般。回头看看电影里87年美国的建筑，现在中国还没赶上            
(4星)	 小时候看过的经典            
(4星)	 FC上的游戏现在我还没通呢            
(4星)	 吼吼            
(4星)	 很经典 前两天又回顾了一遍            
(3星)	 怂而威武 还是可以看 跟前段时间看的变形黑侠套路手法没一点区别…传言达伦要拍新版的 真这样的话绝对犀利            
(3星)	 小时候很喜欢看的一部电影，现在想想嗨，那时的我们多么容易得到满足~            
(3星)	 名将军团跟这部电影有关系么，没看出来。。这个机器警察既不会喷火也不会放电。            
(NA)	 it fucking blew my mind            
(4星)	 小时候觉得太好看了~突然想起了前阵子看的深渊。            
(5星)	 儿时经典的科幻，那时候看的还是cctv放的译制片。            
(3星)	 小时候有个这个玩具。。爱啊            
(5星)	 HOHO 最早的机器人            
(4星)	 儿时的记忆 当时觉得帅极了            
(4星)	 年代久远            
(4星)	 经典中的经典！！！            
(4星)	 小时候看的经典片子            
(4星)	 比想象中讲多了些东西            
(4星)	 儿时的记忆啊！~~            
(4星)	 很小的时候看的吧            
(4星)	 创意不错...但和JC枪战后就很BUG了...            
(5星)	 永远的墨菲～            
(4星)	 美好回忆，超级童年            
(4星)	 当年看这个的时候好像还是用的录像带。            
(4星)	 小时候的记忆            
(4星)	 在真人版变形金刚出现前，这是唯一一个让我感觉震撼的机器人，特别是从大腿取枪的动作。作为美国人民警察，他和亨特在我的童年是唯一让我印象深刻地。            
(4星)	 当时看着挺感人的。            
(NA)	 不记得剧情了，不评价了            
(4星)	 小时候的记忆            
(3星)	 N年前看过，忘了8899，依稀感觉还不错吧。            
(5星)	 不解释            
(5星)	 怀念电影及游戏。            
(NA)	 so cool            
(5星)	 我喜欢这样直截了当的血腥            
(4星)	 机器外壳的可怜人            
(NA)	 央视            
(5星)	 鼻祖。现在看仍没得说            
(4星)	 当时看这种科幻片 那叫一个激动啊。            
(3星)	 小时候 看得   记得 还有 红白机上的游戏来着            
(4星)	 childhood memory            
(4星)	 儿时的回忆了,又看一遍            
(4星)	 经典，虽然现在看起来不怎么样了            
(5星)	 第一次看这个的时候貌似我还没上学呢。。。            
(5星)	 经典之一 啊            
(5星)	 小时候梦想自己成为墨菲，现在希望拥有一个机械战警的金属模型。。。             
(4星)	 没看过的人，你的童年有缺憾啊            
(4星)	 记得很小的时候看的，看了都不敢睡觉            
(3星)	 头盔卸下来还是挺难看的            
(2星)	 忘了            
(NA)	 小时候的片子，好久了            
(4星)	 小时候特别喜欢            
(5星)	 儿时最爱            
(NA)	 原来这个片子这么老了            
(5星)	 墨菲！            
(3星)	 这部电影我一直不怎么喜欢。。。            
(5星)	 如果说科幻，这是老鼻祖！            
(5星)	 现在看来，创意相当一般。 但在90年代初，是绝对震憾的。 怀念一下小学时每周末静守CCTV，看国际影院，正大剧场的日子。            
(4星)	 阿诺舒华……            
(4星)	 童年的回忆啊            
(5星)	 墨菲，是你            
(5星)	 童年的回忆啊，情节忘了，记得还玩儿过这游戏            
(3星)	 算是同类片子的鼻祖吧，大约是年代较远，漏洞还挺多的。            
(5星)	 很古典的80科幻            
(5星)	 童年的记忆。。            
(NA)	 社会主义小学组织看的电影            
(4星)	 童年经典            
(5星)	 經典中的經典啊~            
(4星)	 小时候对帅这个字的定义就是机器战警。            
(4星)	 这部电影让我想起来小时候玩的游戏：警察抓小偷~            
(4星)	 QMDb：8.5/10             
(5星)	 小时看完流行了一句口头禅“你有权保持沉默”，人权国家啊。            
(4星)	 哇 小时候别人家看卡带的            
(4星)	 我还没出生时候上映的片子，很不错的。            
(4星)	 可怜的主角            
(5星)	 经典啊！            
(3星)	 第一部超喜欢 后面的续作没看过            
(4星)	 这个片虽然很老 但是它值八分 创造了机器与人结合的先河            
(4星)	 除了怀念还是怀念，终于完整的看完了            
(4星)	 机器            
(5星)	 儿时记忆。。            
(5星)	 看的第一部科幻片            
(4星)	 第一集是神作！            
(NA)	 老片了，小学看的            
(5星)	 I like the idea of the film as well as Nancy Allen...            
(3星)	 正义不倒，倒            
(4星)	 我有这个机器人，小时候买的，保存到现在            
(4星)	 在童年的记忆中认为最牛逼的电影！            
(4星)	 我，机器人！哈哈，似乎在露天电影院看的！            
(3星)	 幼儿园看的  很惊悚  连续做噩梦            
(3星)	 soso            
(5星)	 那个年代最好看的高科技电影了            
(5星)	 无需多言的经典。。。。。            
(5星)	 小的时候看这部电影，觉得老刁老牛逼了。。而且还有点恐怖呢。。            
(5星)	 很久之前看的……            
(5星)	 这个有年头了！            
(5星)	 小时候的记忆            
(2星)	 保罗范霍恩绝对是个变态，只有变态才拍这种电影。人掉柏油那场吓死我了。妈呀，那时候少爷我十岁还不到啊！！！            
(5星)	 哇……好怀念            
(3星)	 依稀的记忆            
(4星)	 经典~~~~ —。—            
(3星)	 设定虽然有意思，但片子却有些无趣。好在，它很幽默。            
(4星)	 还记得小时候用零花钱去电影院看了。太经典了。前几天看到了D9的，买了一张怀念一下。            
(4星)	   很老很带味儿的片~            
(4星)	 小时候很爱看            
(NA)	 游戏版的总过不了关。            
(4星)	 小学时期的最爱，那盘录像带都看到花了。            
(3星)	 好铠甲            
(5星)	 童年经典            
(3星)	 以前很喜欢的题材，不过现在没什么感觉了。            
(4星)	 幼儿时期的神作            
(1星)	 是没意思            
(4星)	 实际上还是人            
(3星)	 当年看第一遍的时候感觉很激动，现在看看觉得也就一般般            
(5星)	 小时候第一个模型就是一个会发声的机器战警，怀念啊            
(4星)	 当年的特技制作，现在想来也并不落后，甚至大大好过许多国产影片            
(4星)	 小时候在中山买了19块钱的进口活动小人，可喜欢了。然后被偷了。            
(NA)	 机器战警！            
(4星)	 很清楚地记得当年看的时候颇感动的            
(4星)	 突然看到这个 勾起了我的回忆啊            
(5星)	 当年老爱看了            
(4星)	 铁甲威龙            
(4星)	 剧情忘了，但是墨菲却始终印在脑海里            
(3星)	 经典之作。            
(5星)	 儿时的硬科幻            
(3星)	 儿时的回忆，墨菲            
(NA)	 很小时候看过的··那时候觉得警察也可以发挥到这样的极致            
(5星)	 虽然很早的片子了，但当初刚看时非常喜欢，印象深刻。            
(4星)	 被美国文化启蒙了            
(4星)	 经典科幻，此系列应该以现代技术翻拍下            
(5星)	 &#34;劉易斯...劉易斯....&#34; &#34;摩菲,我很糟糕...&#34; &#34;他們會把你修好的,他們懂得修好一切.&#34;            
(3星)	 最早玩的8位游戏机            
(2星)	 没意思            
(5星)	 很小的时候的英雄，很小的时候就看了很多遍，，             
(3星)	 machine             
(5星)	 血腥经典            
(3星)	 小时候的记忆……            
(4星)	 什么时候才能真的有这样的警察啊~~~            
(4星)	 我童年的英雄，机器人警察。            
(4星)	 童年回忆。。。            
(3星)	 我小时候的偶像啊，哈哈哈            
(4星)	 儿时的梦想！            
(4星)	 好老的片子，那时候我还是朦胧不懂的孩童。但的确对电影中机器人机械的行动方式印象深刻。            
(NA)	 murphy            
(3星)	 小时候留下深刻印象的电影之一，一度为同名游戏痴迷过            
(4星)	 很小的时候看的腿能够打开摸枪出来            
(4星)	 这个无欲无求、强悍坚韧的正义铁疙瘩，是我小时候的偶像之一啊！            
(5星)	 有印象的看过的第一部电影            
(4星)	 那个头皮是怎么做上去的呢~~            
(NA)	 很久以前呢~            
(4星)	 小时候看留下阴影了~~            
(3星)	 当时感觉很high            
(4星)	 童年的回忆            
(4星)	 当我已经是机器了，我还能记得什么            
(3星)	 只記得看過            
(4星)	 LD时代看的  我特想要那枪            
(5星)	 墨菲叔叔我爱你            
(4星)	 你说，他身上会不会配一个罗马大帝            
(5星)	 第二个看的‘大片儿’            
(5星)	 暴力血腥，对那个反派机器人很有感            
(4星)	 看过终结者，仍对莫菲难以忘怀！            
(4星)	 看的时候还很小，觉得很精彩            
(4星)	 童年的回忆            
(3星)	 有年头了            
(NA)	 录像带看的            
(4星)	 经典            
(5星)	 敌托邦电影。虽然80年代很多科幻片都有黑色调调，比如终结者、银翼杀手，但RoboCop不是停留在表面的黑色设定上，而是深入社会和人性，质疑拷打着整个人类的命运。            
(5星)	 儿时的最爱啊            
(4星)	 儿时喜爱~            
(4星)	 好老了，不过是一代人的标志            
(NA)	 小时候的首部美国科幻片啊             
(3星)	 老片子了。            
(5星)	 经典的科幻电影  很小的时候看过              
(4星)	 对80年代电影的要求不能太高……            
(3星)	 儿时经典 那时候多想要一个铁甲威龙的玩具啊            
(4星)	 录像带时期的第一部电影!! 与机器战警一同看的是一部香港神鬼片,已想不起来叫什么了,慢镜头看着女主角一步一步走上台阶吓得我说看另一个吧,于是看了机器战警.去年又看了一遍依然好看啊            
(5星)	 小时候我重复重复又重复地看            
(4星)	 童年的温情启蒙            
(NA)	 回忆，不过没印象了- -            
(4星)	 印象一直很深            
(NA)	 又是一部儿时的经典，发现我们这代人其实挺幸福，现在的孩子只能看雷剧。            
(4星)	 执着。            
(NA)	 主角爱吃豆子。。。            
(NA)	 我不闭上眼已经看到了美国的明天            
(4星)	 记得小时候好喜欢            
(5星)	 儿时的回忆，永恒的经典。            
(NA)	 小时候看的电影            
(4星)	 哈經典耶~經歷過錄像帶的時代XD            
(4星)	 酷毙了的墨菲，小时的偶像大人。            
(5星)	 终于找到这个了  看后依然激动            
(5星)	 90年代的很不错的科幻电影。            
(3星)	 渣……            
(4星)	 真的是经典。尤其是看了未来警察之后就特别想念这部电影了            
(4星)	 现在看看感觉好傻逼啊，不过但是很沉醉！            
(5星)	 小时候看的时候觉得超酷啊。            
(5星)	 经典经典            
(4星)	 重看时觉得挺暴力的            
(NA)	 人坏掉了···55            
(NA)	 看什么看！我可是真正的金钟罩铁布衫 攻我下盘插我双眼都没用！唉！！！别打我嘴！！！            
(4星)	 披着科幻外衣的公司政治片            
(5星)	 小时候的偶像            
(5星)	 這是一個傳奇，王者可以歸來，王者奪人眼球！            
(3星)	 3.5            
(4星)	 动手术那段印象最深            
(5星)	 真的很好看            
(3星)	 曾经年少时对机器人的崇拜...            
(4星)	 儿时很喜欢看            
(5星)	 童年回忆！            
(4星)	 哇,但是我家里就有一张墨菲的海报,那是好羡慕啊,怀恋            
(4星)	 经典            
(4星)	 “你有权保持沉默”            
(3星)	 唉，钢铁侠接替你咯            
(5星)	 以那个年代而言，是超级大片...            
(4星)	 儿时的电影了，现在还有印象。真是越久远的东西越记得清晰，越近的东西忘得越快，“莫非”我老了？刚知道这个有三部            
(5星)	 影射现实社会的经典科幻动作电影。            
(4星)	 小时候看到他被爆cei，很心疼。真可惜里面的车了            
(5星)	 收枪的动作超帅~~·            
(3星)	 80后小男孩多少都对这部片子感兴趣过            
(5星)	 看过好多遍            
(5星)	 i luv it when i was kid            
(5星)	 小时候看的，但仍然给我极大的触动。。。很同情主角呀！！！            
(4星)	 童年啊，你为何远去。。。。            
(3星)	 怀旧一下怀是可以的。            
(4星)	 墨菲。伤蛋了！~            
(5星)	 小时候看过无数遍            
(4星)	 电视台一只重放的电影            
(NA)	 可以说是国内早期引进的科幻片，现在看很屎，当年无敌了            
(5星)	 这电影的血腥程度不低哦            
(4星)	 看了好多遍啊好多遍啊            
(5星)	 很久很久很久以前超级超级超级无敌霹雳喜欢的，现在看回来一次了，感觉没以前小时候那种感觉了。但是还是力推！因为当年的感觉我还记得！            
(4星)	 当年看的时候，觉得挺好的            
(4星)	 童年美好的记忆            
(5星)	 归根结底，人类只不过是一种动物，那么，动物有权并且有能力代表神去维护正义和公理这种抽象的信条吗？影片却处处都表现出人性本恶的悲观世界观。            
(NA)	 这个老的            
(3星)	 可惜已不是人。。。            
(NA)	 跟爸爸一起看的。。好几遍            
(5星)	 童年的第一个英雄            
(NA)	 一直没忘记主题曲            
(4星)	 儿时的理想工作            
(3星)	 这个最后弄的好狼狈            
(4星)	 墨菲...                  
(3星)	 那时候我多小啊            
(4星)	 80分            
(5星)	 小时候电视上播的，长大后又看了很多遍，算是自己科幻片的启蒙吧。            
(4星)	 很小的时候看得电影,当时是如此让我着迷            
(4星)	 多年以前中央电视台把他变成一部译制片，儿时的我至少看过三遍            
(NA)	 ！！！！！            
(5星)	 小时候贼喜欢看。。。还有游戏            
(4星)	 经典            
(5星)	 小时候就是喜欢用橡皮泥捏机器战警            
(3星)	 小时候可爱画这玩意了，现在看着甚是猥琐...要知道，那时候是把这玩意和蝙蝠侠、超人当成同类的            
(4星)	 科幻的经典之一。            
(4星)	 童年的记忆            
(4星)	 小时候看的，那时候还有这个的红白机游戏            
(4星)	 儿时看到较老的一部的科幻剧，当时看的热血沸腾，现在又看了一遍，感觉不过如此；不过就算如此老的剧作，中国目前还没有能力拍出类似，难道缺钱，谁都知道俺们中国人不差钱（不包括我）            
(NA)	 原来是和我同龄的电影呢，看到他从台阶上一直跌下来，心都碎了。            
(4星)	 如果当时真的清除了墨菲的记忆，这是个热血科幻片，而现在则是一个悲剧            
(4星)	 小时候看的挺感动的            
(5星)	 小时候最爱看的            
(4星)	 首部科幻片            
(4星)	 最早玩得是游戏            
(5星)	 献给我的童年            
(4星)	 小学时候的神呐~            
(4星)	  我一开始听名字觉得不错 妈的 没想到1987年的片子            
(4星)	 小时候的梦想，就是穿这么一身啊 哈哈            
(NA)	 小投资的大片。            
(5星)	 儿时的回忆            
(NA)	 当年觉得很酷的！一时间，各种仿制剧中robotcop的模型，玩具枪在学校里面如病毒般流行起来            
(4星)	 robot cop!!!!!!            
(NA)	 爷爷领我看的            
(3星)	 原来是这么老的片子，难怪酥饼说是童年回忆呢！            
(3星)	 那个时候= =            
(4星)	 小时候第一次看就被震惊了            
(4星)	 墨菲~~            
(4星)	 小时候觉得机械战警真是帅呆了            
(4星)	 以前的儿时回忆，现在或以后还可能成为翻拍的又一理由            
(5星)	 墨菲~放枪的动作是小时候大家争相模仿的姿势 帅呆了            
(4星)	 喜欢            
(4星)	 印象中看过            
(5星)	 经典啊，引发人们对人工智能的思考，一件好的工具被使用在对与错的事情上都能放大对与错。对人工智能的管理者产生信任，极有可能是一个赌博。            
(5星)	 儿时的梦            
(2星)	 boring            
(4星)	 小学时候，电视台播，一遍一遍看哪。            
(4星)	 经典            
(4星)	 当时很牛逼            
(3星)	 小时候对这个很有大爱！！！            
(4星)	 很久之前看过的，看过几遍忘记了，至今仍能记得一些对这部电影的感受，很喜欢！推荐！            
(5星)	 美国式的经典科幻电影..也是我看的第一部好莱坞科幻片            
(3星)	 １５年前看这个造型真的很酷            
(4星)	 又一部童年的回憶。印象最深的貌似是：嬰兒米粉，轉槍，敵方機器人不會下樓梯~            
(4星)	 童年            
(5星)	 墨菲墨菲我爱你            
(4星)	 我特喜欢那把手枪……            
(NA)	 经典            
(2星)	 小时候很爱看            
(5星)	 范霍文风格暴力美学经典            
(5星)	 童年经典。            
(4星)	 电视上看过几遍，对那个头盔印象深刻！            
(3星)	 童年的梦            
(5星)	 很小的时候看的，直接的哥当时被感动了            
(4星)	 怀念啊！            
(5星)	 总希望他最后还能和自己的妻子在一起。。。            
(3星)	 以倒退20年的眼光看这部电影，也算是一部不错的片儿！            
(4星)	 那个时代的震撼            
(4星)	 小时候难得看到的电影啊            
(4星)	 小时候觉得他就是英雄的象征。而底特律就是犯罪城市的代言。            
(4星)	 风格这种东西很难说。看robocop的时候，在更衣室那段感觉非常像星河舰队的风格，而后主题曲的风格和星河舰队更是一脉相承。后来才知道，原来是同一个导演。。虽然相隔了10年。。            
(4星)	 童年的回忆....哈哈            
(5星)	 只剩下回忆了....太久远了            
(5星)	 警察叔叔~~            
(5星)	 想了想，必须要给5星。记忆            
(3星)	 经典科幻电影！            
(4星)	 那个时代能看到如此的科幻片，已经觉得热血沸腾了            
(5星)	 当我还是孩子            
(5星)	 小时候的回忆。。            
(5星)	 MURPHY!!!            
(4星)	 蛮经典的，似乎有动画？            
(3星)	 莫非啊。。。。            
(5星)	 续集多余了            
(5星)	 比较而言，我更看好2足机器人            
(4星)	 好古老的片子。没错，是童年的钢铁侠，呵呵。还是在电视上看的            
(5星)	 很喜欢            
(3星)	 童年的记忆            
(3星)	 很冲击。            
(5星)	 我看的第一部  此类电影            
(4星)	 小时候看觉着特high            
(3星)	 其实蛮白痴的，造型酷里透雷，谈不上有动作的动作片            
(5星)	 Murphy,a cop!            
(4星)	 今日无聊重看一遍，儿时回忆乍起            
(4星)	 底特律，有这么乱吗·····老美的题材，英雄主义            
(4星)	 小时候的经典。            
(4星)	 对战警被虐印象深刻            
(4星)	 小时候觉得特刺激            
(NA)	 经典            
(5星)	 N年前看的，很老的片子，但印象还是深刻，这部电影应该算是成功了吧！            
(NA)	 看过            
(4星)	 世界需要這樣子的狠腳色~尤其是治安不好地帶...            
(4星)	 可以给3星半吗? 儿时的经典...那时候绝对是4星的片子....现在买来看...无论是特效和剧情都差了一大截..给三星都大方了...所以科幻片还是很难在历史的长河当中沉淀下来的.....            
(5星)	 儿时看时热血沸腾            
(5星)	 赞            
(4星)	 怎一个帅字了得            
(NA)	 真好            
(3星)	 儿时的偶像            
(4星)	 很小的时候看的录像带            
(4星)	 好小的时候看的，还记得机器人发现自己真实身份时的场景~            
(4星)	 儿时的记忆，那时候留下深刻印象的还有那履带机器人的片子（忘记名字了）。            
(5星)	 那是在遥远的那年？            
(4星)	 用那时候的技术能拍出这样水平的电影，已经是很不一般了            
(4星)	 童年倍儿爱的片儿，想当年还有墨菲的玩具            
(4星)	 恩，经典嘛。很Cool的动作，小时候很爱学战警走路的样子。            
(4星)	 经典电影，特别喜欢墨菲发威时候的配乐。有气势            
(5星)	 没的说            
(4星)	 从这以后我知道什么叫酷            
(4星)	 最早接触的科幻片之一，喜欢这个系列。            
(5星)	 N年前的电影。好怀念啊。            
(4星)	 无敌...            
(4星)	 这是儿时不可磨灭的记忆  小学于同学家(录像)            
(4星)	 少年时，总是对机械“人”着迷。            
(4星)	 很奇迹的，从爸爸的影碟搜藏里，翻出来的片子。极早时候看的片子，明明那时候很小，之后就再也没有看过，却不知道为什么一直对这个影片的印象停留在伤感的情绪里。            
(4星)	 老经典了，墨菲            
(4星)	 作为一部87的电影，我感觉中国电影真的~~            
(4星)	 这家伙就不能直接定义不能杀我吗！改造人体什么的最萌了            
(3星)	 看到后来战竟推下头盔我才发现我看过这电影，还是在我小时候看的，喜欢主角的微笑~            
(5星)	 全因这是我在电影院看的印象最深的第一部国际大片            
(3星)	 沙鹰...经典            
(5星)	 机器人题材中绝对的经典            
(NA)	 想法不错            
(5星)	 曾经的经典            
(3星)	 以后补            
(4星)	 都记不清楚了            
(4星)	 很久之前的电影了 那时看还觉得很炫~~至今回忆起来还是觉得酷酷的~~            
(5星)	 机器战警墨菲！！！经典！！！有好几部~~~            
(NA)	 虽然20多年的片了，但还是比较过瘾            
(4星)	 当年看的很开心            
(4星)	 墨菲            
(4星)	 小时候感动的哭了            
(3星)	 是不是隔着女人质的裙子爆了歹徒的鸟 特喜欢吃婴儿食品那个？            
(4星)	 小时候反复看了多遍。            
(4星)	 儿时动画电影电视一个都不放过            
(4星)	 是说这片子不是叫机器战警么？怎么又叫铁甲威龙了？会跟xbox的铁甲飞龙搞混的。。。囧 是说这片子在我小时候记忆力貌似是个基调挺悲哀的片子。            
(2星)	 他把头套摘下来后太恶心了            
(NA)	 五六岁露天电影看的，记忆颇深。            
(4星)	 小时候的最爱。。            
(4星)	 底特律，看人家工人运动多红火。            
