http://movie.douban.com/subject/2978224/	流星花园 流星花園
(4星)	经典呀~
(5星)	不需要理由了
(NA)	初一寒假看的。周真好看
(5星)	应该是第一部看过的偶像剧了吧。
(5星)	经典
(4星)	我看的第一部台湾偶像剧。尽管瑕疵多多，但意义非凡。演员选择很恰当，在浏览过日版、韩版、山寨版之后，仍觉得台版的演员最佳。
(5星)	这是一部神剧= =我到现在还是这么认为...
(5星)	我看过，的第一部偶像剧，非常，非常，开启了我后来十年的狗血生活……
(4星)	这个片子....没几个人没看过吧=   =当然看完还是很激动的....后来看了日版后来又看韩版....觉得中国拍的实在是太土了.....
(4星)	初三 在同学家看通宵的偶像剧
(5星)	一夜暴红，偶像剧时代从此华丽丽揭幕
(4星)	真是...无限回忆...我爱花泽类！
(5星)	不用说了，喜欢花泽。
(4星)	比韩版的好
(5星)	类无敌
(NA)	我……
(4星)	高三那年回忆里的重头戏。
(5星)	当年我初一...
(5星)	评分和我没再看过其他台剧有关系。也和后几个版本比较有关系。
(5星)	喜欢道明寺~
(5星)	大S还行。         时间证明偶像崇拜的愚蠢
(2星)	一堆人中没一个喜欢的
(3星)	F4，呵呵
(4星)	第一次也是唯一一次在网吧熬夜，就是看这个。
(3星)	那个时候红遍一时
(5星)	这是一个时代的象征。
(4星)	这是我们青春时的所有幻想
(3星)	台偶剧我比较萌[恶作剧之吻]吧.
(4星)	wo xihuan ~~
(5星)	无法评价。。。我看台剧的开始。
(4星)	这个很经典啊。虽然现在看起来演技生硬，又很幼稚，不过真的带动起了台湾偶像剧。后面的貌似都不再那么风靡了
(4星)	开山鼻祖，无法逾越。
(4星)	。。。
(1星)	傻×的电视，不知道为什么还有这么多人来追捧
(NA)	居然还是去年暑假才看完的
(5星)	不错
(3星)	传说中的经典。。
(3星)	这版经典-。-
(4星)	o(∩_∩)o...
(5星)	曾经的日子。嚣张是一种幸福
(5星)	我看的第一部偶像剧`` 经典啊``
(5星)	不管多久以后再看，终究是经典，或许我迷恋的不是那部剧集，而是当时那段青春最美好的时光！
(3星)	还好，不喜大S
(NA)	临界点。
(5星)	人人都爱流星花园。
(5星)	最初的，始终是最好的~看到一个豆友的评论，这世上没有道明寺，有的只是沉迷于剧情的我们，还有替身言承旭，松本润。
(NA)	。。。。。。。。无数少男少女同居了
(4星)	 第一部 意义上的偶像剧
(5星)	台湾偶像剧里程碑神马的
(4星)	最早接触的肥皂剧。。~冲着这个也得推荐，当年影响之大，大有开口不谈“F4”，你就没什么和同学好唠得了---&gt;_&lt;,居然连广电总局都惊动了，就此开启“美男时代”，虽说现在看看，那四个年轻人只是长得不难看而已~笑~~
(5星)	這個就不多說了。太有歷史意義了，開啟我整個偶像劇時代的大作！！！我只能說十分有重看重看在重看的必要！！！蒼天我來豆瓣這麼久，居然都沒有說錄這個片子？！
(4星)	我心目中的偶像剧鼻祖 不看这部 别和我谈偶像剧
(3星)	只喜欢仔仔演的花泽类。
(5星)	这部电视剧承载了很多记忆
(3星)	高二夏天
(5星)	当年第一次看的时候啊，迷得不行。
(4星)	最喜欢的版本
(3星)	。只为了花泽类。。~
(4星)	一部当年风风雨雨的剧
(4星)	之前赶通宵 一群人再次看的很high= =..
(4星)	不管后来出了几个版本，不管其他的版本有多精致，我还是最喜欢这个版本。重复来回的看，然后不断的傻笑。道明寺实在太可爱了。。。
(4星)	流星花园里最经典的一部！其他无法超越！~
(5星)	我从此开始追星，那时我上初二
(5星)	没看过的人的人生是不完整的
(5星)	每个女生第一眼都会爱上花泽类，但最后都会选择道明寺。
(5星)	要知道这可是有着不可动摇地位的
(4星)	当年确实迷恋，确实唤起初恋的感觉。言承旭在这部片子里将他的迷人全部用光了。
(5星)	好喜欢好喜欢的啊，当初，喜欢到跟谈恋爱的感觉一样。
(4星)	还是很经典的~哈
(4星)	毕竟是鼻祖嘛~
(5星)	第一次出现。
(5星)	从此开始做像流星一样的爱情梦 道明寺无疑是喜欢的类型但花泽类却有无法抗拒的魔力阿。。
(NA)	前段时间才看的··打扮是比较土一点··但真的很有意思··
(5星)	很喜欢很喜欢
(4星)	大s好看啊
(4星)	人生第一部偶像剧吧。唉花泽类花泽类。。。
(3星)	还好
(3星)	~~ 当时太火了 学校里那些男生都学F4
(3星)	哟 风靡的何止一时
(3星)	初中的回忆全在里面，幼稚过也挺好
(4星)	还是不错的
(5星)	重看的乐趣 经典
(4星)	其实这部剧已经超越了本身..
(NA)	还是最爱
(NA)	世上没有道明寺
(5星)	当时那叫个风靡啊~
(5星)	记得那时候是高一，翘掉了晚上6点李集合的数学培训课，跑到吉大外面的碟吧里看了第一集，疯狂爱上花泽类。当晚和彭X，田X翻墙出去看通宵，反而觉得没多大意思了。
(5星)	第一部偶像剧。。此后很少看了
(2星)	无聊、荒废的大学寝室生活的遗迹
(4星)	当时看得很过瘾，喜欢仔仔，后来发现和我是同一天生日，很高兴。
(4星)	想当初看得十分过瘾啊...回忆啊
(5星)	看过韩版才知台版真是经典
(NA)	偶像剧初见
(NA)	那是我初中的噩梦
(NA)	心头大爱。。
(5星)	曾经很着迷，经典
(5星)	不多说，经典！！
(5星)	再去看一遍
(NA)	高中害了多少人啊````
(NA)	偶像剧啊偶像剧 最初的印象
(5星)	小旭旭！
(4星)	！！不谈了 我最爱的偶像剧了!虽然现在已经完全不能看了~但是初中看的时候真的超级超级大爱
(4星)	对80年代生人造成了强烈影响 台版是日版与韩版无法超越的 是这样的
(3星)	我变了太多
(5星)	影响一代人，
(5星)	青春的懵懂从这里开始
(5星)	永恒的经典
(4星)	算经典了
(5星)	我想80后都應該看過吧，其實什麽都不用說，幾乎沒有人不喜歡這部戲，幾乎沒有人不喜歡道明寺吧。。
(5星)	初中的夢，美好，快樂~
(3星)	。。。东风卫视首播的。。。内地引进半年前哀家就看过啦
(3星)	其实片子还是不错,开辟了台湾偶像剧进军大陆的先河,可惜随之而来的培养出了一大批花痴脑残,其所作所为,顿时令我对此片的良好印象大打折扣!
(5星)	没看完
(5星)	！！！
(5星)	永远的杉菜杂草精神
(5星)	周渝民帅的咧！！！
(3星)	就是很喜欢花泽类的
(5星)	那时候的幻想。
(4星)	历史意义
(5星)	呵呵 翻拍这么多遍还是难以逾越第一部
(3星)	媽呀……沒想到還有這個
(5星)	记忆啊~
(4星)	我们都是从那个年纪走过来梦过来的呀！
(3星)	其实落伍很多年才看
(5星)	我还是给我5星因为有意义
(4星)	很风靡的连续剧，大三时看的
(3星)	三星以上 恩恩
(4星)	静这是我看的第一部爱情剧。
(3星)	台客加山寨，出国人员必看！
(NA)	看了七遍啊
(5星)	为了8年前的F4
(4星)	想当年哟~
(3星)	我的青春啊~
(3星)	小草说现在看这个，发现原来是喜剧！
(5星)	纯粹一饱眼福和满足青春少女的幻想～
(4星)	啊，比起偶像剧泛滥的今天。。还是当年拍一部火一部比较有效率啊
(3星)	到现在依然觉得言承旭好帅~杉菜好幸福，吼吼~
(4星)	当时也不知跟着扫了几遍
(4星)	看了日版韩版才知道台版的强大
(5星)	喜欢道明寺，喜欢暴龙
(5星)	经典的偶像剧
(4星)	这部剧不见得有什么好，但却是一代人的回忆，当时捧出F4。想当年，我对花泽类还是很有感觉的，喜欢他那种有点自闭的，安静的样子。花泽类其实是那种很温柔的人，看似冷冷的，冰冰的，只是寂寞罢了。先入为主吧，至今看到花泽类第一个想起的还是仔仔。看日版的时候竟然开始喜欢道明寺了。
(2星)	说实话，是最近才看的，在它风靡的年代只是零零碎碎的片段，言承旭很帅，演得也挺好，歌，初三，炎夏的中午，简陋宿舍放出的歌，了如指掌
(5星)	突然想起当时的自己，好傻好天真，爱死的类成为了永远的回忆
(5星)	初中的回忆~~~
(5星)	不谈演技。永远不老的偶像剧。
(5星)	现在刚看完 虽然已经是很老很土很过时的偶像剧了 因为那时没机会看现在补看 偶像剧中的经典！刚开始看觉得好土因为很多名言早听过 还是很欣赏大S！道明寺其实就是个头脑简单四肢发达的白痴但很痴情~剧中还是比较喜欢这型的 至于花择类型 那时记得也是女生超喜欢的类型 本人不喜欢忧郁型
(5星)	第一部台湾偶像剧
(4星)	这部真的好算经典了~~~~
(3星)	那时的少男少女都看过吧
(5星)	谁不爱道明寺？
(5星)	虽然很傻~
(5星)	花澤類是我第一個暗戀對象 想來總是美好的
(4星)	大S或許正是因為這片子，星途之路慢慢變寬了。－ －身邊有朋友居然看這片子看了10次+
(5星)	高中的时候看，喜欢类！现在看，喜欢阿寺。——结论：我老了！
(4星)	多少年少已经过去
(5星)	我的青春期啊
(5星)	算是看过的最好的偶像剧
(NA)	2001-04-21
(4星)	偶像剧有偶像剧的意义
(3星)	初中时太傻太天真。。。说真的，那时看就觉得有些场景实在太搞笑。。。。
(3星)	现在看可真傻~
(3星)	新春依旧老情怀
(5星)	那时的我们都疯狂了。
(5星)	不管怎么说 这部还是经典啊开启了一个时代
(5星)	仍然觉得它是最好看的偶像剧
(NA)	有花泽类，足矣。
(4星)	爱是反的
(NA)	为了唤醒自己对爱情的向往，来重温花样美男的故事吧。
(5星)	我是真的真的真的很爱你
(5星)	那时多喜欢呐~
(4星)	话说没看完。
(4星)	好吧到现在我还是能看得很乐很开心，只要忽略那四只的演技。。。
(3星)	哇，挖到高一时侯的经典剧。
(4星)	很少看偶像剧，娱乐娱乐还行
(3星)	当时觉得不错~
(5星)	快速过气的经典。。。
(NA)	时隔7年，重新回顾，看看当年的剧情.看过之后依然还是喜欢类那样的男生,安安静静不算阳光但很温暖,慵慵懒懒很会疼人,主意很正让人很想去依靠.看来自己的品味没怎么变化呀.这个剧里,杉菜塑造得确实可恨,经历过现实的坎坎坷坷之后,再来看就觉得她不知好歹反反复复不懂珍惜了.着实可恨.看见道明寺为爱情的执著与付出,也会想到当年的我们也曾和他一样,奋不顾身.现如今许多事情都经历过后明白了很多事情但却也失去了当年的童真,现在的心境不像当年那样清澈.
(4星)	我看的第一步台湾偶像剧
(4星)	哈哈，看了好几遍吧，现在再看也能忍得住。
(1星)	就是不喜欢
(4星)	心中依旧最爱这个版本！
(4星)	大二看的 很不错哦
(5星)	台湾偶像剧鼻祖
(5星)	第一部我现在还看呢
(4星)	那简直是迷倒一片啊！
(3星)	超俗气的电视剧，但是也非得看
(5星)	我们的流星花园
(5星)	承载着太多的记忆
(5星)	最近在重温..
(3星)	一度在初中老师的强烈禁止下沉迷。。
(5星)	我看过的唯一一部青春偶像剧
(5星)	重温7年前的电视剧，还是喜欢
(3星)	除了大S演技还不错以外……其他人就算了……
(5星)	初中时的回忆啊..
(4星)	不管怎样，当时很迷的
(5星)	曾经以为。他是类。我是那个姐姐。汗。
(5星)	始祖级
(NA)	虽然有点丢脸，但是我还是要说，看完以后，我深深迷恋上了花泽类清瘦的侧影。
(5星)	那时多么迷恋F4啊 特别是Jerry 多有腔调啊
(5星)	f4都不愛..畢竟..柴智屏正式帶來了花樣男時代
(5星)	类……和西门……还是那么帅呀帅呀……
(4星)	当时还没觉得言承旭那么帅...我妈超爱大S
(2星)	我想說 我先看的日本版的，再加上我討厭大S 。
(5星)	当时很迷  仔仔~~
(NA)	最喜欢山菜弹钢琴那一段
(3星)	重新看一次，的确演技不怎么样，但剧情，就是原著挺好的
(3星)	我也看过这个，哎。。。
(4星)	perfect moment
(NA)	超级不喜欢
(5星)	喜欢，曾经的记忆，没有想到现在人气也这么高
(3星)	还是很像一群人在风景如画的地方拍MTV
(4星)	类类类类类
(3星)	歌都很好听，最喜欢那首Perfect Moment
(4星)	虽然有点暴力，但真的觉得很好看
(5星)	最初的梦想
(4星)	当年那个沉迷啊...台词都让我背的差不多了。。。。
(3星)	当年的大热电视啊，在学校租碟子看的，不过碟子不是我租的。哈哈哈
(4星)	当年的疯狂啊疯狂~~~
(5星)	不错不错 当时确实让我上瘾了。。
(5星)	鼻祖
(4星)	改编的挺好的其实，许多回忆
(5星)	迄今最经典的台剧！
(5星)	偶像剧之母。
(4星)	那时候看的真热闹
(NA)	大学宿舍，6个人一起哭
(4星)	谁敢不知道这一部，灰姑娘套路被演绎到极致了，小小的宝岛，就这样轻而易举四两拨千斤的疯狂席卷大陆无尽少女的心。不服不行。
(5星)	美好的童年啊。
(4星)	http://www.imdb.com/title/tt0885981/
(5星)	一度被我妈视为洪水猛兽
(4星)	那个道明寺丑得我啊～
(5星)	经典就是经典。8年以后再看，依然是经典
(4星)	吴建豪的离子烫和大S的翘臀。。
(5星)	台湾偶像剧从这里开始。。。。看了3遍~
(NA)	我是后来才看的。
(4星)	额。。倒立的问题，，公主一样的静
(4星)	当年青春偶像剧，杉菜刚出来还是很纯的。
(NA)	被逼着看了漫画然后是电视剧 = = 比起来，花样男子比较好看啦我说真的
(5星)	无法言说的最爱。
(3星)	最初对台湾偶像剧的接触就来自于此
(5星)	总觉得之后的偶像剧很少有能跟它媲美的了
(NA)	爱
(3星)	当年红的一塌糊涂的片子
(4星)	台湾偶像剧的经典。
(5星)	那个时候是那么的风靡
(4星)	记忆深刻。
(4星)	当年很火哦
(5星)	力荐力荐 绝对力荐。
(5星)	百看不厌
(4星)	我记得它所有经典台词和情节
(5星)	算是台湾偶像剧鼻祖了吧 还不错 满经典的~
(4星)	2000 本港台
(5星)	前年才看的这么经典的片哦
(4星)	大S后脖子上有一个纹身，当时想，这样的人还好意思装青纯
(4星)	好看好玩  确实的
(5星)	以那个年纪的我来打分的话是满分
(4星)	台偶的开山鼻祖 在内地引发了青少年教育问题和社会问题
(4星)	上初中时候的美好回忆 呵呵~~怀念啊~~
(4星)	曾经很痴迷的偶像剧
(4星)	打四星是基于当年的感觉
(3星)	当时很疯狂，再回头，唉。。。
(2星)	恶，相当不好这口。
(5星)	This is common sense...
(NA)	情窦初开时…………看的爱情片！
(3星)	那个时候F4真的很火
(3星)	还是原版的漫画好看　不过看这片的时候我刚好看到生平第一次的流星雨　估计把一辈子的都看完了
(NA)	第一部偶像劇
(4星)	还是喜欢那个时代的西门。
(5星)	启蒙。永远的F4
(5星)	都看过吧
(4星)	大概可以算是偶像剧鼻祖
(4星)	鼻祖。可是，于現在的相比，單薄些。
(5星)	成长催化剂！
(4星)	呵呵～很俗很经典
(NA)	我都记得
(4星)	我向来慢半拍，这部片子早已红过头才看的。那个时候的水平来说，可以吧。
(NA)	初中流行一时的电视剧
(NA)	315、311及某些另类
(NA)	我当时是有多喜欢啊~不过那是很久以前的事了。
(5星)	值得一看。再过些年，它也还是经典。
(3星)	一眼就看中周渝民
(4星)	当时风靡亚洲的偶像剧祖先，现在怎么看怎么傻，话说我昨天晚上才重看了一遍。
(4星)	当时挺爱看的，现在觉得有点儿傻，呵呵
(5星)	承载袅很多回忆
(4星)	台湾剧可说说唯一让我喜爱的，是始祖也是经典。
(5星)	看了这个之后才看是看台剧的
(5星)	这几天陪太太正在看ing~
(NA)	的确很经典。。。虽然从头到尾都是yy
(5星)	经典
(5星)	初中时，初次接触偶像剧，经典啊
(4星)	爱情启蒙篇
(NA)	曾经看了好多遍。前几个月无聊的要死竟然又来怀旧。呃。
(4星)	还不错的片子拉
(NA)	嘲笑我吧
(2星)	算是看过的第一部充满幻想的偶像剧，从这时开始懂得偶像是个什么东西
(5星)	怀念呀~~~
(NA)	哈哈，当年的校园剧啊~~
(5星)	第一次租蝶经历
(NA)	经典中的经典啊 
(5星)	至今我都认为它是台湾最好的偶像剧。
(5星)	经典
(NA)	台湾偶像剧 电视剧 F4 
(5星)	我曾经，多么多么喜欢周渝民。
(4星)	现在再看，浑身鸡皮疙瘩
(4星)	音乐不错
(NA)	小时候喜欢看...
(5星)	第一部“偶像剧”
(4星)	看的第一部偶像剧。
(5星)	在当时看来 真的是非常经典啊~~
(3星)	真难以想象当时怎么喜欢上F4了。。。
(2星)	看了1集就彻底没兴趣了……它当年是怎么红的？
(3星)	不知道当时怎么那么风靡 一般般啦
(3星)	演技不怎么样，娱乐，穷人对上流社会的幻想
(NA)	哈哈，追星的时代
(5星)	时代的标签
(4星)	经典的一版
(NA)	特殊记忆。。。有关于他。。
(5星)	台湾偶像剧的鼻祖阿
(2星)	不好意思 真心觉得丑
(4星)	很好的一部幻想作品
(NA)	ms是四年级时候看的。。。
(NA)	高中时候集体观摩的
(3星)	觉得唯一好看的偶像剧。。因为那时太小
(NA)	经典。。。
(5星)	怀念那段时光啊~那会儿还真是迷恋了一阵子！
(4星)	当时很爱看
(3星)	好歹我也那么滴喜欢过某团体..
(NA)	不论那个版本的类，我都爱……
(5星)	从严格意义上讲  当年幼小的我接触的第一部偶像剧
(5星)	不可否認的俗，可仍舊好看。
(4星)	吴建豪吧
(NA)	当年红得像熟透了的大番茄,也是我回忆的一部分
(3星)	大S只有这一个角色让我喜欢。
(5星)	偶像剧的巅峰之作
(4星)	第一部绝对好看
(5星)	虽然现在看很俗，但是当时感动的一塌糊涂，人生的第一部偶像剧
(4星)	哈哈，让我想起高中。
(4星)	高1那时候风靡的要死，我跟不上时代，其实也没看完整。那会大家总在讨论喜欢F4的who，弱弱的说--类。现在发现他怎么也是个宅男呢。。。
(3星)	纯纯的爱情。
(3星)	唯一一部台湾偶像剧，也因此迷上仔仔的温柔，也算台湾偶像剧的杰作了
(4星)	当年看得多欢啊。
(3星)	我们对偶像剧要求一向不高的。何况，当年那个经典啊
(NA)	遥远的高中时代咯呵呵
(3星)	...
(5星)	谁曾不心动
(5星)	初中时我们女生的梦想哦
(3星)	这个东西吧~~~
(4星)	青春期最深的烙印
(5星)	经典
(3星)	我承认，我看过，我有罪……
(5星)	只怪我们太年少~
(5星)	台湾偶像剧鼻祖
(3星)	那时候看这个成风
(4星)	我爱道明寺！！！
(5星)	我完整看过此片的次数，我想没有几个人能够超越。前半段拍得真的很美。
(4星)	哈哈哈哈。
(NA)	小时候看过电视剧.
(NA)	看的第一部偶像剧
(4星)	我很囧那个时候的自己
(5星)	台湾偶像剧开山经典，也在我的豆蔻年华留有无可替代的影响。七年之后再翻出来看发现精彩依旧毫不褪色，笑声和感动丝毫不减。
(NA)	我看的第一部台剧？
(NA)	风靡一时
(5星)	流星花园 / meteor garden
(4星)	台灣偶像劇鼻祖~同齡人共同的回憶~灰姑娘的無敵童話~
(5星)	好吧 并不是说它拍的比日韩版本的好多少 只是在那个年代 青葱的岁月里 确是打动了我
(NA)	吴建豪！
(4星)	偶像剧经典。
(4星)	多少年都觉得，多好看多好看多好看啊...现在也就那么回事了。
(4星)	流行看看也罢
(NA)	喜欢看前10集  好怀念听故事的路上
(4星)	高中的时候所有的女生都迷过这部片吧。
(5星)	台湾偶像剧的始祖啊!确实好看!
(NA)	热播时很不屑，几年之后再去看时，又从中学到很多。
(NA)	我初中的时候看过很多遍，很花痴。我很怀念从前的F4，就像怀念那个时代。喜欢就是喜欢，没有什么道理的。
(3星)	曾经很喜欢的
(1星)	垃圾至极~ 台剧真的都很垃圾
(4星)	风靡一时
(4星)	因为曾经的某人喜欢言
(3星)	呃，当初觉得好看过
(5星)	当年迷死我了..
(4星)	虽然现在很不待见F4之流 但不得不说这也算台湾偶像剧的神话了 那时很迷仔仔 狂爱忧郁 不爱说话的男生
(5星)	爱爱爱~~~~
(3星)	-_,-说实话还蛮好笑的
(5星)	看这个不知看了多少遍哭了多少次。心中永恒的经典。
(5星)	毕竟是第一部对于我来说的偶像片
(5星)	那时超迷的,漫画很好看
(5星)	永远的青春经典！每次想回忆起6年前回国的情景，就会把流星花园找出来看！
(2星)	漫画好看多了！
(NA)	当年誰没看過呢?
(5星)	藏在心中的美丽的梦~
(4星)	那的时候，我还在念高中。。。
(4星)	这个应该都看过吧
(4星)	经典吧
(3星)	从此诞生了偶像剧！？
(4星)	也算是个里程碑了。
(4星)	原来不是很喜欢啦，放假后无意之间看看，还不错啊
(5星)	en 2001
(5星)	少数能看得进的台湾偶像剧啦，那样的生活，那样的花样美男和灰姑娘的故事，那样的爱，让我激动了好久啊
(5星)	啊,毕竟还是大学时候喜欢过一阵的电视啊
(2星)	又是初中.....
(4星)	永远的花泽类。
(NA)	小学时期的偶像剧.记得那时表姐很喜欢里面的帅哥.~
(4星)	那个时代的经典，那个时代的烙印，伴随我们这代人的成长。。。
(NA)	十年之际，重新怀念仔仔
(NA)	我看不下去
(4星)	那年我还年轻,,,哈哈哈
(5星)	逼租　鼻祖　不是用好看来形容的
(NA)	当时那么迷恋
(4星)	too 四门炮了
(4星)	说起来这也曾是让我神魂颠倒的偶像剧之一啊我很少看偶像剧
(3星)	高中时极度不喜欢，现在再来看看，思维退步了？
(4星)	爱上花泽类 爱上周渝民
(NA)	感觉是偶像剧的始祖
(4星)	F4如昙花一现啊~~不过真的是一段很美好的回忆！成日里就靠着yy度日了……嘿嘿！
(3星)	现在想想会想笑
(3星)	若是在高一那时，我会给五颗星，可是现在～
(5星)	仔仔是帅呀！
(3星)	开创了台湾偶像剧的新时代。
(5星)	难以忘记初次见你 一双美丽的眼睛
(4星)	这个是标杆
(NA)	高二的同桌judy天天必讲的话题
(5星)	我大学回忆中最闪亮的一部分。
(3星)	痴情的阿寺，那时候都做梦想遇到这样一个菠萝头
(5星)	浪漫的开始
(NA)	for young people
(NA)	那时候多么流行的一部片子啊!F4.我们成长路上的标记.
(5星)	能让我看完的台湾连续剧不多啊,,
(4星)	高三暑假，连着看了两遍，难忘的偶像剧入门
(4星)	曾经为了看最后一集放学打铃后骑着车狂奔回家！
(5星)	这部剧应该得五星，因为它在当时曾经蛊惑了所有年轻人，我说的不算夸张，虽然它现在已经过气了……
(NA)	曾经的青春偶像记忆
(NA)	高中？
(2星)	觉得还满难看的，不明白为什么那么红
(NA)	大一，尹笛
(4星)	...
(4星)	美好的記憶。
(5星)	第一部偶像剧
(3星)	好喜欢类。。
(4星)	还算挺好笑的。
(4星)	小学五年级的夏天。
(4星)	那个时候很喜欢
(5星)	当年真火，现在看也很搞笑
(3星)	妈的其实我更喜欢动画片版本！
(4星)	初三看的,剧情什么的都不用多说了吧~反正当时对我来说第一次接触台湾偶像剧,还是蛮喜欢的~
(3星)	还是觉得好看~
(5星)	好呀，尤其是和日剧比起来，人物剧情都丰富真实好多
(3星)	F4就是三个农民和一个帅锅（仔）组成的低中档虐心团体。。。
(3星)	虽然这部是翻拍漫画的最成功的作品，可是我还是不怎么喜欢偶像剧的
(3星)	好像是我看得第一部台湾偶像剧
(3星)	俊男
(4星)	F4风潮~日版爱上oguri shun~
(5星)	谁没看过啊~~台湾偶像剧的鼻祖
(5星)	虽然有人会觉得幼稚，可我现在看，还是会被道明寺感动得一塌糊涂。也许是因为象他那样为爱情执着专一的男生，并不多见了吧？
(2星)	看不下去，就是看不下去啊……
(4星)	都说这个不好，我觉得不错
(5星)	高中的时候唯一一部能看到的片子，不过对它的爱绝不是因为没有选择。看着里面的杉菜，还是喜欢这么可爱的大S，so young    永远打不倒的杉菜，加油！
(4星)	我们的印记.10.1.14凌晨又看了一遍.依然. 11.10.14
(4星)	曾经的经典
(3星)	看完日版的再回想这部，感觉缺少点什么，Friendship？Maybe
(3星)	曾经轰动一时，其实后面也有些注水。
(NA)	我居然看过
(3星)	这个....
(4星)	台湾当年优质偶像剧，还是惊艳了一把的
(3星)	其实老实讲句当年既流花真系几经典，不过我都系中意日版多Ｄ！
(4星)	那时看，有多疯狂的喜欢...              如今想来，再不年轻。
(5星)	台湾最好的偶像剧
(5星)	蛮好看的,有啥好不屑一顾的?
(4星)	哈哈哈，每個女生都看過的好不好
(4星)	永远是第一部最经典。这是大二在电影院熬通宵看的，看电影之前收到了意义重大的一封信。
(4星)	熬夜看的说……
(4星)	看了两遍后电视台就禁播了，后来拼命到处找碟，再看过发现没什么感觉了。
(NA)	西門, 哈哈
(5星)	绝对的经典  不用多说 没看过的就不是和我一个时代的了
(NA)	有谁没看过这个的！！！！！
(5星)	偶像剧里的战斗机
(5星)	如今。F4 。我最喜欢的言承旭。
(4星)	忘了到底看过几遍了。
(NA)	对不起有用的话要警察干嘛？
(4星)	当年红遍大江南北的F4阿！小学时班里人还在疯狂的着迷~
(4星)	为了原声也值得了
(5星)	本来第一部就好看啊
(NA)	只看到贴骷髅的哪里就看不下去了……
(NA)	台湾偶像剧鼻祖。。当时是多大的突破啊。。为后来的其他灰姑娘系列狗血剧奠定坚实基础。。  
(NA)	F4
(NA)	= =
(5星)	陪你去看流星雨啊
(5星)	最初的偶像剧  必须经典
(4星)	爱上你 是我情非得已
(3星)	10年前看都看不下去。。。
(3星)	初三的时候迷死了，但是长大了觉得被骗了- -
(4星)	大学时看的，当时好喜欢静学姐和仔仔。
(5星)	红遍大江南北，被迷的天翻地覆。想当年我还是第一批看这个剧的人儿，当时还没红，后来红了我感慨原来有这么多人跟我一样花痴呀~哈哈哈~经典的F4啊~
(5星)	永远的经典。。现在看都很好看。。就是不喜欢杉菜的角色。。大S面部表情一直不行啊。。
(5星)	啥也不说了。年少的情怀！
(NA)	以前真的很喜欢哈，尤其是背景音乐很好
(5星)	很喜欢的一部片子，那时超爱仔仔，是一部让我想入非非的片子。
(5星)	每年都要把这部电视剧再看一遍啊~
(5星)	十年后再看还是喜欢花泽类这一款啊!!!!= =
(4星)	我看的第一部偶像剧。。。
(5星)	重看经典。本来这次是来看仔仔的，结果还是被道明寺这个臭小子勾去了魂。还是忍不住被道明寺的执着和真诚打动，可惜那时候我相信有这样的爱情，可是现在我知道，这都是假的，现实里没有的！！
(5星)	台剧经典!!!
(4星)	鼻祖鼻祖。
(5星)	年轻时候的回忆。
(5星)	我的花泽类
(NA)	话说，看过的第一个偶像剧啊
(5星)	话说没偶像剧的时候这还真好看
(4星)	每个人都在跟过去告别的路上不断前行，不管怀念的过去人在不在未来的路上，擦肩而过才知道
(NA)	经典不解释~
(4星)	哈哈，初中时候看的，现在家里还有VCD呢！不管别的国家怎么翻拍，不管弯弯出了多少JP偶像剧，这部不得不承认还是很经典的，里面四个人也是各有各风格
(4星)	真心不喜欢大s的脸。。。
(3星)	妈呀 妈呀 妈呀 那些年 我们一起看过的傻逼剧
(4星)	经典
(5星)	作为偶像剧的鼻祖 这部戏可算得上经典 但时光荏苒 F4已不再是当年的F4 杉菜就更别说了
(3星)	。。。。。。。。不用解释。
(3星)	仔仔~
(4星)	花泽类是你，你是花泽类。
(5星)	看這部戲是初中~就是看了后才去打耳洞的~
(5星)	这个是我唯一坚持到后半夜两点还在看的电视剧，见证了那个时候的青春
(5星)	记忆
(5星)	言承旭周渝民脑残颜饭撸过啊啊啊啊啊啊啊啊啊啊
(NA)	情非得已~经典的记忆
(4星)	当年红极一时，逃不过。
(5星)	我又重新看了一遍。。。。
(NA)	终于看到大结局了  老了  好伤感哦
(3星)	好吧……很久以前看的了~大学重温过……笑到隔壁寝室都来投诉！！！
(3星)	記憶最深刻的是美作頭...
(5星)	大S当年多好看 最爱道明寺这种孩子气的霸气了 仔仔是照片比较好 当年居然还买书了
(5星)	小学时的最爱。
(4星)	那时的小姑娘都渴望有一个忧郁王子类和有钱男人道明寺。那时的小姑娘都渴望自己是灰姑娘杉菜。
(4星)	第一部偶像剧
(NA)	每个女孩都有杉菜梦
(5星)	哈哈！
(3星)	当时 流行到禁播。
(5星)	时代意义。
(4星)	湾湾巨制啊，当年
(5星)	唯一追过的偶像剧，10年了，不说了。。。
(4星)	感谢让我在青葱岁月里曾遇到这么美丽的童话
(5星)	我觉得这是我童年的记忆  我在纠结要不要看斗鱼  但是好浪费时间 还有结局很虐据说
(5星)	美好的回忆
(4星)	现在想来真恐怖。
(4星)	我妈迷得不行。。还买F4的专辑。。
(3星)	真不好意思说看过0- -
(4星)	曾经疯狂的青春。
(5星)	仔仔真是迷人啊
(3星)	岁月啊
(5星)	的确的确
