http://movie.douban.com/subject/4751653/	怒火街头 怒火街頭
(4星)	郑嘉颖，很帅！
(3星)	给我一个罗力亚吧~~~~
(4星)	搞笑还行，挺有爱的~里面的鱼丸馋死我了~
(3星)	不知道为什么这部戏出来后评价这么高，宣扬的公正公义的理念太过单薄，剧情也老套。郑嘉颖凭这部戏击败潜行狙击的laughing实在有点说不过去。可能看多了李灿森的喜剧觉得丁家富这个角色过于平板。至于关礼杰，第一眼看过去我几乎想喊：怎么沦落到这种地步了。。。ps 陈敏之真的很漂亮啊，身材一级棒！
(4星)	KC就该走这个路线来的，搞深情什么的不喜欢~李灿森好喜欢的说~
(4星)	开始添加TVB，K.C.的视帝之作放第一部，看在侄儿差点被老妈取名为嘉颖的份上~
(4星)	港剧里面也算是精品了吧。
(NA)	港剧
(5星)	拉了拉~
(5星)	law霸！！！！！
(5星)	笑中有泪，短小精悍。
(4星)	看的我好想吃啊，郑嘉颖手里就没停过
(4星)	law霸万岁。。→_→
(4星)	你们为此拿了视帝视后我就是不高兴！
(3星)	贞贞的任务设定是脑残，想不通这么个角色怎么能拿最佳女配角
(4星)	太短了，期待续集。。KC有型
(4星)	还行 李灿森越来越帅了 剧情里也有探案的 无聊时可以看看
(4星)	贞贞怎么死了好难过！
(4星)	怎么看都觉得他跟胡杏儿不搭调
(3星)	网上都说好看，可是我一不喜欢胡杏儿，二不喜欢kc在这部剧的造型，三剧情很老套啊，所以还是果断弃了。听说第二部都拍好了，我又要怀疑自己的口味了。
(4星)	很好看，有时候也会以一个律师的角色去和他们一起想问题，看粤语版的，还能学粤语
(3星)	越看郑嘉颖越觉得别扭。就剩大结局没看。。。但是用脚指头想都知道结局
(3星)	随便看看 开头还蛮可爱 后面的都是可以猜到的
(4星)	算是比较成功的片子了。。好久不见的李灿森好可爱。。只是受不了胡杏儿的夸张表情
(5星)	等第二部中。。。
(4星)	我就知道最后肯定很有个人死掉的！！结果被我猜中了⋯⋯诶~ 郑嘉颖很帅！赞一个~~
(3星)	案子没什么新意，有两个还和韩剧《伙伴》中的如出一撤╮(╯_╰)╭不过估计这也不是这剧强调的重点，公义，公正才是最重要的~
(3星)	还不错
(4星)	印象中怒火里面最喜欢的还是陈敏之，演得很好，很出彩的一个配角。事实也证明她凭借这个角色拿了TVB最佳女配角奖。
(5星)	近年来比较值得一看的TVB剧，演员都很棒，剧情么一般般，毕竟不是警匪片，不期望案情有多大的悬疑。郑嘉颖演得越来越好了，很多人说胡杏儿丑，其实个人认为她挺不错的，力荐！
(4星)	昨晚通宵终于把他看完了，对KC的印象是越来越好了，一部关注社会低层的戏，但限于篇幅太短，戏不够肉，但题材却是可以使更多的人动容，现在的青年只知追求名牌，散发着铜臭，又有多少人还记得自己的根，或许那句this city is dying确实是真实的写照。
(3星)	15弃，男二女二，男三女三之间的情侣配是配得有多别扭啊！
(3星)	凭什么就视帝了？？？？凭什么就观众最喜爱女角色了？？？？？与潜行狙击差远了吧啊喂！
(5星)	Oh my KC，你终于在TVB熬出了头~~
(5星)	可惜到后5集左右就不是我喜欢的方向了。差一点，没看完。
(NA)	视帝视后 太强了 坐等第二部了呀。。吼吼
(2星)	三元当了师奶，二货演了主角。
(NA)	2011记住的两部之一  
(3星)	过誉。。。。
(3星)	看完这部戏才发现最佳男主颁给Law霸也是无可厚非吧，演技一点不比Laughing哥差，把一个有情有义的滑头律师演的活灵活现，而且胡杏儿表现也是可圈可点哦。
(4星)	喜欢李灿森好多年……
(3星)	好嘛，我承认我没有看完大结局。
(NA)	law霸是还不错，可是胡杏儿这个角色真不至于拿视后。
(3星)	以真相为标准的话，真相四星，这个就只能三星了
(5星)	我就是喜欢郑嘉颖！！！超级帅的~而且演戏也超级好看！
(4星)	一到期末回家前就忍不住想来一部tvb......
(5星)	帅~
(4星)	喜欢Law霸在法庭上的总结陈词。
(3星)	虽然视帝视后这里面产生的，但是我觉得郑嘉颖还是不如在与敌同行里面演的好。至于胡杏儿，造型师非常顺眼的，比那个破台庆剧好看多了。
(3星)	大学第一部TVB
(4星)	Law霸真心霸气，为弱势力出头，伸张正义，不错！
(5星)	law霸魅力无人可挡~！
(5星)	终于还是不负众望地说出了那句“人在做，天在看”！ 
(4星)	挺新颖的话题，可惜剧情一般
(3星)	用嘴抹蛋糕O(∩_∩)O哈哈~
(4星)	郑嘉颖要不要那么邋遢啊！！！咳……就感觉他这次演的有LAUGHING的影子，是错觉么= =
(5星)	这个片子让我看到了步步惊心之前很帅很有范儿的郑嘉颖。维护正义尤其是小市民的正义做起来究竟有多难！
(4星)	搞笑的呀
(4星)	蛮好看的一部剧，不同于以往tvb的律师的剧，可惜的是，贞贞最后居然死了，米佐治好萌呀，演技也蛮好的
(5星)	陈敏之的腿真美= =胡杏儿演的很自然，五星全给郑嘉颖
(5星)	比法证先锋3好看 只因法有徐子珊 怒有胡杏儿 喜欢郑嘉颖坏坏的痞子腔== 
(4星)	一向都会法律的电视剧感兴趣，这部好特别，里面的人物性格好清晰。
(3星)	看得时候抽离的厉害 ，，，，
(4星)	还行~
(3星)	八爷不错哦
(4星)	在法律剧中算是比较创新的，关注香港底层人民的生活，但剧情还是差些。郑嘉颖的塑造算是颠覆性的，不过已经看过他类似的演出了，所以没有所谓视帝的惊艳。但不喜欢TVB什么片子都带点喜剧色彩的风格
(3星)	嘉颖好帅~嘻嘻
(5星)	近期最好看的tvb！law霸！！！灵！！！
(4星)	为郑嘉颖也得打4星 他终于脱去年轻时候那张囧脸了 整个张扬魅力都散发出来了 果然男人还是越老越有魅力
(3星)	阿杨~其实一般般啦~~不用看啦~案件没新意~乱七八糟的事情太多...  @rouble-w
(5星)	其实这剧四颗星，多一个给郑嘉颖，很喜欢罗立亚那种过尽千帆之后的浪子，那是真正的平静，真正的浪子敢于直面惨淡的人生，敢于正视没有纸醉金迷的深水埗
(3星)	呵呵 还可以吧，觉得有点短啊
(2星)	真心看不动了，12集直接放弃
(3星)	剧情很OK 充满着浓浓的香港老情怀。郑嘉颖很适合L.A这个角色。但关于法律性质的部分，看完《真相》充满着讽刺
(NA)	2011年的港剧几乎都有追随~~不过怎么也不喜欢胡杏儿~
(NA)	为什么我的focus都是关礼杰……
(4星)	第二遍看，爱死这个鸭屁股嘴的罗大状了。话说Law霸（怒火）、Keith（真相）、Eva（法III）仨可以组个无敌钻石律师团啊！
(5星)	从此剧开始萌上+wing，之前的宫心计法证先锋2什么的对他一直无感，但是law霸完全征服我了！视帝头衔配得上他！一直都很喜欢杏儿，从我的野蛮奶奶开始，这部也不例外。期待怒火街头2！
(5星)	昨天刚刚看完，只用了三个晚上就搞定了，真是挺好看的。算是郑嘉颖转型之作吧，别样的帅，呵呵
(5星)	超级无敌太好看了！！！！！！！！！！！！！！
(5星)	不一样的郑嘉颖，怪不得能因为这部电视剧夺得影帝。。。
(4星)	冲着郑嘉颖GG去看的，胡杏儿在里面还是有些做作，当普及法律常识吧
(5星)	其实做什么不重要。最主要的是可以找到一帮朋友和爱你的人。可惜很多人都挂不下面子。自己也是如此
(4星)	三星半 爱情不是主线 案件其实也不是那么有力 但是KC法庭上舌灿莲花力战群雄的英姿与平时流里流气的样子一对比 就有股热血蠢蠢涌动 其实王思苦开始要求LA为她做出改变回到中环的时候我就不看好他们了 这种以一段关系予取予求的人 就算是以为对方好为名义 最终也将使这段关系不得善终
(3星)	不明白这个影帝是怎么评出来的。
(3星)	KC演喜剧。
(4星)	陈敏之。。。。啊啊啊啊啊
(4星)	KC这次真的演的好 其他都一般 胡囧儿也就一般水准吧 哎
(4星)	还不错：）继续学习之。
(4星)	为了看郑嘉颖。。。剧情略2
(4星)	李灿森*^O^*
(3星)	这部剧最让我不能释怀的是贞贞的死
(5星)	law霸  赞！！！
(5星)	kc大靓仔此次真的是破格出演，演技完全没得挑！封帝简直实至名归天经地义！
(3星)	一般 胡杏儿不成啊她。。
(2星)	这样的片子郑嘉颖都能拿奖啊？TVB果然弱爆了。
(4星)	结局不是很喜欢
(4星)	还不错的律政剧，深水埗也是香港的一个缩影吧，看铝丝们为了公平正义斗法最刺激了。
(4星)	我还是看了，港味十足，师奶们应该是会很爱的。KC演技派了。
(4星)	如果女主不是胡杏儿我会打五星的o(╯□╰)o
(4星)	好久没有看港剧了，不错
(4星)	确实是TVB近年来最耐看的一部戏~
(4星)	本來不願意看的，但是看了以後驚喜的感覺一直存在著！
(3星)	演员角色都还好，就是胡杏儿一如既往的令人厌烦，尤其扮演的角色自以为是又偏执。。陈敏之饰演的贞贞虽然不太现实，却是个亮点。
(5星)	其实想给的分数介于四星和五星之一。作为一个从小到大看了二十多年港剧的人来说，港剧的剧情大多从第一集就可以猜到最后了，类似于“一家人开开心心最重要”的对白也早就烂熟于心。只是港剧一直拍得很有良心，公正、公义和happy ending，总是让人很舒服。这部为香港草根拍的戏更值得尊重一把~
(4星)	很有个性的主题曲，我喜欢！TVB的剧集很适合消磨时间，不过也不是每一部都能让你从头看到尾的。这部还不错啦！郑嘉颖很适合这个角色，不过觉得和胡杏儿不是很搭。
(NA)	终于觉得八爷好看了。
(3星)	还不错啦，典型TVB
(4星)	四颗星全给KC
(4星)	最后监狱的一幕有美丽人生的影子
(5星)	好看！！Law霸！！！
(5星)	郑嘉颖太可爱了！
(3星)	香港街头文化宣传片！
(4星)	在2011年里，这部剧算是很值得一看的，期待第二部！
(4星)	郑嘉颖演得不错啊
(3星)	应该有后续2
(4星)	关注市井街头和帅哥抛下光鲜外表果然更生动有趣。要是结尾部分对人生观价值观的讨论能继续延生和分化，也许更真实。
(3星)	郑嘉颖演的好痞哈哈哈哈
(NA)	………………不好评价………………
(4星)	片头曲好有feel啊~~
(3星)	受不了胡杏儿彪悍的蘑菇头，受不了阿丁和贞贞的狗血爱情，法律援助方面的主题剧情过于夸张。腾丽名居然开始演师奶了，有个叫阿峰的老公，在大陆包养二奶而抛弃她，tvb的编剧能再狗血点吗？
(5星)	Law霸太可爱了 hold不住啊 贞贞太惨了 但美腿天后真的是大美腿啊我服了！！！
(5星)	我就喜欢LAW霸介样的男人
(4星)	那个妓女真彪悍
(3星)	总算没烂尾……但是烂前面……x2真是不好看，性格又讨厌啊啊啊啊啊啊……KC仿佛又突然不会演戏了，囧，凭这部戏拿视帝视后，我为《潜行》叫屈……
(3星)	八爺造型變化有點大
(4星)	敏之啊啊啊为毛要挂！
(3星)	原来那是李灿森
(4星)	郑嘉颖不错，海报太骗人了，李灿森根本就不是海报里的FEEL嘛
(4星)	男人不坏！女人不爱！Law霸好帅！
(4星)	视帝演技没话说！胡杏儿太美啦&gt;&lt;
(4星)	虽然批判了反面角色，但律师确实是为富人服务的噢！
(4星)	亮点就是郑嘉颖的搞笑~
(NA)	为神马最后还是死了个人呢。。。李灿森和妓女的那段感情曾的戳人喜欢啊。。。依旧不喜欢胡杏儿。。。但是看完之后对郑嘉颖有了些微微的稀饭了。。。同是考试期间看的。。。
(4星)	有人情味，不埋没良心，坚持公平正义，这就是我喜欢的原因
(3星)	我出于对八爷的热爱看完了这部剧，胡杏儿挺漂亮的，更喜欢女二 不晓得叫什么名字，电视剧一般般了
(4星)	2012-01-01 元旦iptv
(4星)	相比较一直那德行的laughing，个人觉得KC凭LAW霸拿视帝还是可以理解的……
(4星)	感觉很短，law霸没有特别的发挥威力么。不过里面的情感线设计还是蛮不错的。
(3星)	百分之百的热血 太正面能量以至于不能入戏……
(3星)	剧情一般，但是郑嘉颖演技大突破
(5星)	Law霸，郑童鞋你能不能不要这么精分啊！
(3星)	郑嘉颖比较适合这种调调，比古装帅！两个男配角太差……设定的很脑残
(NA)	因为郑嘉颖而看，依然讨厌胡杏儿
(4星)	KC作品
(3星)	后面哈无搞 讨厌阿丁
(5星)	kc...太帅啊~~为什么连那么邋遢都那么帅呢~~
(5星)	拥护正义，爱情可贵，江湖即使再黑暗也有光明的地方，我们绝不黑！
(3星)	这部戏居然让KC拿到了三料影帝.......
(5星)	法律扫盲
(4星)	感觉郑嘉颖演的有点过。结局又无语了。。。。
(NA)	终于有个香港的小市民剧集了，不容易。尤其是小制作，在几个重复的小空间里讲故事，不压抑不无聊还特别有劲，胡杏儿很成功，郑嘉颖太适合市井小男人形象，实力这事逢对了对手方能展现呀，哈哈哈
(3星)	粉谁都行！
(5星)	最喜欢看罗宾汗的故事了~  Law霸版哆啦a梦，超萌~
(5星)	Law霸一改我往日对郑嘉颖噶体法！
(4星)	改名叫“潮爆街头”啦～
(4星)	开头不错，渐渐的发现男女主之间没有前戏直接到高潮了……最后的最后竟然发生这样的事情，唉……其实挺喜欢贞贞那种敢爱敢恨的个性的
(5星)	真心不喜欢胡杏儿，假！
(NA)	LAW霸痞痞的样子真是迷人。
(3星)	跳过感情戏看得好快。这剧好适合郑嘉颖！！！
(5星)	男女主角真的演得好好啊~~
(4星)	好TVB只是八爺的演出有點過...
(NA)	看了一半
(3星)	没有说的那么好看啊
(5星)	每个人的性格都很鲜明，算是小颠覆的作品吧！
(4星)	挺好的。但还没到让我再看一遍的地步。KC洗澡那幕把我笑喷了。长得这么帅居然可以演得这么WS。
(4星)	好看好看，有点宫藤官九郎的范，难怪郑可以凭这个拿视帝，的确强过潜行狙击。
(2星)	纯看郑嘉颖，可是这里服装差一些，气质就上不去。。女主留着九十年代的头型，坎头。。。我有点无语，为啥香港流行这种脑袋，比如那个余诗曼也是九几年的发型。。风水转回来了，我老了，感觉不到复古的时尚，也不够古，剧情也很弱，女主情绪化男主又不够风流
(5星)	好好睇
(NA)	第二部快出吧~~~
(4星)	其实不是很喜欢郑嘉颖的落魄男子状，也不是很爱胡杏儿的精干强悍造型，但是还是看得很HIGH就是了~
(3星)	不知道为什么这部剧我很难投入进去，总觉得没有一集接一集看下去的动力。
(4星)	郑嘉颖好帅。。
(3星)	演员演技好,部分情节有些牵强,贞贞是亮点,结尾感情爆发戏不错.
(3星)	这部戏评价很好啊，可是为什么我就是不怎么喜欢呢？
(4星)	还不错啦
(4星)	不一样的律师感觉
(3星)	都没法证3好看，戳下了那些评审的狗眼啊！！
(4星)	找到罗利亚这样的男人此生无憾啊
(NA)	不错
(4星)	大家演戏都好用力啊……敏之各种美啊～杏儿的发型我不喜欢……滕滕都演师奶了&gt; &lt; 关GG都打酱油了……我果然已经25了= =
(3星)	明知内容是多么的不切实际,还是因为港剧一贯的轻松形式而感到舒服. 最难忘是郑嘉颖和胡杏儿一夜激情后两人醒来,郑巴眨眼睛问胡:你会负责任的哦? 然后蒙头假哭.....于是知道这个人为什么得奖了.
(4星)	生命不息，追剧不止。。。起床后半小时又五分之一秒停水了，不过这一次，我就开始追怒火街头了，，，，
(4星)	郑嘉颖也就这个样子还能看看。虽然TVB最近非常喜欢死女二、男二神马的。但是贞贞的死，我觉得很有必要。剧本还是不错的
(5星)	LAW霸很霸气~
(5星)	很好
(NA)	轻松一下
(4星)	让我想起莫作栋……
(4星)	今年视帝的获奖作品。与今年另一部律政剧「真相」相比，「怒火街头」的case没有错综复杂的案情，端的是轻松明快的节奏和KC洒脱不羁的风采。
(3星)	传说中的视帝视后，可惜，我并不觉得很好看
(4星)	公义 公正。
(4星)	要是tvb能保持这个水准 还可以再抱有希望的
(2星)	好无聊啊，从始至终连个惊心动魄点儿的案子都没有。。。
(3星)	还是觉得潜行比较好看。。。
(4星)	剧情较禁不起推敲 但是看个轻松还是非常ok的 演员看的也都比较顺眼 还是不懂为什么可以打败laughing gor啊啊啊。。。
(5星)	TVB还是TVB啊。暑假看的。
(3星)	看，主要是因为里面讲社工。。。
(4星)	郑嘉颖虽说是变帅了，招人喜欢了，但怎么看还是有点儿像某某某的讨厌样！
(4星)	郑嘉颖这个角色诠释的蛮好的，，，各个故事之间衔接得也很好，只是真心不喜欢胡杏儿
(4星)	胡杏儿做了配角
(4星)	law霸不错，还是蛮期待2的，但是，绝对不可以抢了laughing的风头啊
(5星)	law霸很给力！
(NA)	不错诶，喜欢香港完善的社工制度。
(4星)	KC完全颠覆形象，还是蛮讨人喜欢的！不过觉得20集短了些，没有讲多少故事，期待2
(5星)	很久没看那么轻松的tvb剧了 滕丽名老让我晃神到当年的那个三元
(3星)	還好啊~很so so啊~不過鄭嘉穎還是一如既往的帥啦~
(4星)	算是港剧里很有爱的一部，主张公义。超爱郑嘉颖
(4星)	原本是颁奖礼后为laughing gor忿忿不平而去看的，几乎一口气看完，好好笑，特别是林子善。推荐长假宅家专享。2011-12@Home
(4星)	比《潜行狙击》差，最后的剧情比较牵强
(4星)	我觉得蛮好看的 为苦命老百姓打官司也能拍的这么搞笑哦 内容积极向上
(4星)	 郑嘉颖还可以！ 
(3星)	胜在人物性格比较讨喜，但情节单薄，剧本若稍雕琢并加一些厚度完全可能成为一部经典
(3星)	从16集开始差点看不下去了，忍了忍总算看到了结尾。编剧你知道自己写的是什么吗。
(4星)	坐牢可以有，鸡就必须死。案子好过法证3，情节轻松，人物搞怪，推荐。
(3星)	你妹我也狗血了 居然通宵看完 幸好爸爸妈妈没有醒来下楼 不然我就死定了 Orz= 居然又小小后悔当初没听爸妈劝去年法律啊T.T
(5星)	虽然剧情不新颖，但是看得我很感动。小人物的挣扎和爱情往往都更揪心。道德良心和名利地位的冲突不单单发生在律师这一行，其实当我们踏上社会都会面对的，我羡慕七年后的LA罗可以在小巷里为民请命，和一帮弟兄嘻嘻哈哈潇洒人生，虽然穷困潦倒，但他活出了自我。结局坑爹！导演太不厚道！！
(4星)	郑嘉颖平头好看死了好么!!
(4星)	进展有点快，杏儿实在是越看越丑。。。
(5星)	嗯！嘉颖很给力！
(3星)	看了让我想当律师了
(4星)	挺好滴。
(3星)	真心没法和潜行狙击比。。都不知道为什么郑嘉颖会因为这部不是很好的片拿影帝。。
(3星)	烂尾
(4星)	案件其实很日常，人物卖相也没多诱惑。情感戏很假对象很诡异，都能猜到股市走向。但就是这样还是能坚持地看完并且乐在其中，前面那些刻薄就是纯粹刻薄了。郑嘉颖两面的表演转换还可以更自然一点，胡杏儿是小花旦里最能演的了。今年TVB烂片太多显出难得的珍贵啊。虽然我还是坚持《真相》的档次更高些TAT
(3星)	不明白罗力亚和王思苦怎么会相互喜欢上的！！从开始一直讨厌王思苦，到最后也不喜欢！
(5星)	今年看过最好看的港剧*（天与地还没更完)KC大大的惊喜到我了 帅气的胡渣男 剧情也很紧凑 没有拖沓半天说不清楚的嫌疑
(4星)	law霸好可爱！剧情很有爱啊啊~~~不过最近tvb的剧是每次都要死一个女的才开学么。。。=  =好莫名的剧情 lau霸坐牢也很莫名。。。
(4星)	在上半年众多烂剧里，这部算还可以。
(3星)	TVB律政剧的水平真是不行了。。庭上的都要被弱没了。。。不过KC露个事业线有赚个视帝还是值了吖！！
(4星)	期待续集
(4星)	杏儿还可以这样啊！很帅
(5星)	命运是注定的一首歌谣，你会干什么，和谁一起，以后怎么生活，就是冥冥之中的谶语。
(4星)	Law霸真是太贱了~！（TVB现在的编剧 是不把人弄死不舒服吗？？？）
(3星)	越来越不了解爱情这东西是如何发生的了。
(4星)	oh，my god。
(4星)	看这名我以为和烈火雄心一样的消防呢，结果是律政剧。看够了正儿八经的大状试试这吊儿郎当的LAW霸也不错啊。。关于结局我又要吐槽了，TVB啊TVB，不死个好人会不会啊！！！贞贞竟然这样死了！！历尽苦难好不容易要和李灿森圆满结果就这样死了！！！
(3星)	林子善你好
(3星)	郑嘉颖这种演技居然都能pk掉laughing sir，tvb也太水了吧。我觉得两个配角李灿森和MJ演得很好。
(4星)	胡杏儿这个发型雷死我了
(4星)	还是不怎么喜欢杏儿~不过滕姐好赞~
(3星)	不喜欢胡杏儿
(3星)	拿什么视帝？拿什么视后？这种类似于本色出演的东西好意思拿着奖杯到处晃么？【好吧其实电视剧本身还是OK的，只能说TVB最近电视剧太难看，也就这部还能看下来。
(4星)	law霸和王思苦是天生一对。。。
(3星)	冲着KC去的。剧情太一般，KC还是给力的
(4星)	短了点
(4星)	还是不喜欢胡杏儿
(3星)	L.A卖萌太过了吧~果断不如潜行啊，居然那么受捧，不懂不懂~
(4星)	Great!!!
(3星)	题材虽然还算新颖 但剧情有些拖沓 冲着law霸看的！
(4星)	李灿森童鞋让我想起了#狗咬狗#的岁月。
(4星)	看了好久 一直没看完
(5星)	气质很干净的一部戏~~
(3星)	终于知道最近几个月看电影的时间都用到哪里去了~~
(3星)	你知道律师为什么要戴假发？遮住我们头上的一片青天 让自己的良心有一个避难所 可以为我们的当事人争取最大的利益
(4星)	男女主在一起之后，我就不想再看下去了
(NA)	还是可以的。
(5星)	蛮喜欢剧里油嘴滑舌不正经的郑嘉颖的。
(4星)	不同不痒
(3星)	有点虎头蛇尾 郑嘉颖倒是演的不错
(3星)	居然还拿奖了。。就是因为看到拿奖了才看，结果看了几集之后看不下去了，勉强看完，情节实在老套，演员还可以，希望编剧在第二部能给力些。。。美腿天后 倒是亮点啊~~
(3星)	差强人意，最后一集来了点大高潮。
(4星)	郑嘉颖在这里好帅的呀
(4星)	KC的角色不错~
(4星)	不太喜欢胡杏儿~
(2星)	原来妓女也算正当职业
(3星)	这部片子里律师似乎化身为了法证人员。
(4星)	感觉编剧把律师当成检察官来写了。。。。最后一段也太缺少职业精神了。。。胡杏儿真心丑。。。
(5星)	@M仔爱Y仔 终于看完了，每一集都好享受，希望跟陀枪师姐似的拍N季。KC演技大进步，简直要爱上他了。终于记住了那个我不喜欢的女演员：陈敏之。
(5星)	富贵门以后就再不碰TVB了，因为实在太烂，因为怒火让我重回TVB怀抱，因为law霸，让我重新认识郑嘉颖，这次视帝绝对实至名归
(NA)	好喜欢law霸！！！！！！我要第二部！！！！！！
(4星)	从小就觉得郑嘉颖好帅好可爱，现在我长大他反而年轻了~从小就觉得胡杏儿好丑好讨厌，现在我长大她反而讨喜了~看来tvb就是一个大磨坊，熬过来的总会有回报
(3星)	视帝之作了
(NA)	嘉颖同学很帅.胡杏儿短发也不错.
(3星)	tvb难得看的下去的剧集，剧情不拖沓，郑嘉颖的角色设定很好，演得过头，李灿森各种出彩
(4星)	LAW霸那眼神把人勾的！
(4星)	KC如果是靠这部戏做视帝，还是有点不牢靠，可是谁让我喜欢他呢？
(4星)	现在的当家花旦里只有胡杏儿还可以看啊
(4星)	八爷的面相真的好奸邪
(2星)	香港的律师都可以在法庭上随意指控别人么？这就是纯正港片？别逗了。还有片头曲有够难听的
(4星)	稀饭KC稀饭稀饭稀饭稀饭稀饭！！！！！！
(4星)	帅气。
(4星)	L A LAW
(3星)	嘉颖得了视帝才来关注的，也一般般，主次人物出场各占一般，所以也没嘉颖非常多的事情。
(3星)	难道我火星了，为毛评价都这么高的，为毛我看到kc会觉得很做作，为毛杏儿还是这么浮夸，为毛索腿天后一定得死，为毛李灿森都沦落到tbb了，为毛为毛！！！！我要求太高了，还是回火星吧~~~~~
(4星)	开头两集还挺有意思，但接着还是TVB的老路子。质量不错，惊喜欠缺。
(3星)	我不喜欢胡杏儿= =
(NA)	其实有关律师专业性的剧情写得很烂，庭审的辩护一点儿也不精彩。还有很多违背常理和法律常识的地方。不过重在“为草根阶级出头”这个噱头实在让人喜欢。另外，四个男主的情义、爱情，都很有爱……
(4星)	看得挺乐呵，也不会上瘾。KC又办痞又露臀，可那只手是不是太模式化了点。两个女配倒都很喜欢。
(4星)	看完了還挺喜歡的，期待第二部。Law霸裸唱那段看了三遍還笑，哈哈。李燦森真帥，第二部還有他吧？？
(4星)	算是TVB这几年里不错的了
(4星)	为了八爷去看的
(4星)	郑嘉颖脸上的皱纹太深了，痞痞的笑容倒是很帅，X2的锅盖头……真心欣赏无能。熬夜到现在终于看完了，剧情挺不错，是TVB擅长的题材。
(3星)	你妹，这不是抄的鞋店律师(律政俏师太)，最精彩的还是有索腿的，最好看的有law霸的，串的为迎合师奶的那条线，看着滕大姐在那儿矫情就想吐，大败笔，看完只有三星。没师奶线就是五星
(3星)	曾经 以为李灿森会演......
(4星)	胡杏儿最近出境率很高啊，堪称劳模。视帝视后齐聚一堂，经典港产，还可以啦。
(4星)	3.5 传说中的烂尾么。。 说好的大团圆呢！
(3星)	真看不出来这部剧为什么能打败潜行狙击。。KC演得不错，其他人我只喜欢第五婷和米佐治。
(3星)	KC的表演很出彩，也是唯一的亮点..陈敏之的裸奔亮了..感情处理粗糙了...
(4星)	说理五星，谈情一星。立意该是不错的，结尾有亮，可是中途期盼的转折点都显得或生硬或潦草。另，怎么都觉得KC和杏儿不来电啊不来电。。
(4星)	因为凭这片获视帝视后所以找来看看，还是不喜欢胡杏儿，怎么就得奖了呢？不过电视剧本身不错。
(3星)	TVB的风格明显~TVB目前不是我的菜，ABC，CBS,NBC才是~
(3星)	结局太仓促了，过程还可以！
(5星)	那段时间唯一看得下去的剧
(5星)	岂能尽如人意，但求无愧我心
(NA)	好搞~~~就是二十集偏少了，剧情案件不够丰富
(5星)	kc~
(3星)	没看完，大概看了十二三集吧。还是更喜欢林保怡，萱萱，古天乐，蔡少芬他们那个时代的TVB剧
(3星)	一般般 
(5星)	一个周末，两个人，轻松看完，好看，好玩
(NA)	没感觉
(NA)	同期上映的貌似真相更加给力
(3星)	不及其他几档
(4星)	tvb还真没什么新花头
(4星)	为了郑嘉颖和李灿森
(3星)	诶
(3星)	冲着TVB新晋视帝视后看的，片头和过场的剪影形式也很特别，主题曲也很特别，片名也很特别，主角也很特别，好久没有这样原创而又新颖的剧目了~郑嘉颖这个视帝也算OK啦！关礼杰男4号真的有点让人唏嘘世事无常
(4星)	为什么郑嘉颖每天早上起床都会有黄色杂志和用过的纸巾的镜头
(3星)	law霸挺招人稀罕的  结尾有点俗了
(5星)	好久好久没看港剧了.....
(NA)	情节不是很紧凑，总体来说还不错
(5星)	看完才知道为什么KC拿影帝，演的不错，比起laughing，好象还是law霸更讨喜。总的来说坏坏的男人还是吸引人的，坏警察是这样，坏律师也是。嘿嘿
(4星)	KC已经完全放下了少爷和奶油的招牌了，用晒灵魂演这部戏，嘻哈邋遢的law霸被他演得收放自如，不再是“橡胶颖”了！虽然也真的是男人四十有眼尾纹了，但在我眼里他的脸都是自动PS还带埋柔光的。哈哈。如果还有怒火街头2，那么蒋P.K.负责怒火，你负责街头，肥杏负责2啦~
(4星)	挺好看的！不过看完后觉得海报和名字的感觉跟剧情相差好多~  就是因为第一印象不太好的原因差点错过这部戏！
(5星)	太好笑了....郑嘉颖！
(4星)	公益律师，热血青春！
(3星)	比较一般。问题是，为什么要安排索腿天后死掉啊！
(4星)	这么多年了我对tvb的爱
(3星)	胡杏儿表现比万凰之王好一点，不过说起话来怎么那么像徐子珊啊。。。郑嘉颖努力想演出的痞子样，总让我想到黄子华，那是没法突破的经典。有点虎头蛇尾，编剧太简单了
(4星)	还好。
(3星)	看着一张卖萌脸和一张小苦脸真不得劲。一半都不到，弃了。
(4星)	法律题材的还是比较喜欢
(4星)	TVB看来是遇到瓶颈了，很难突破
(NA)	很亲民
(3星)	没觉得多有意思，可能是看完发证三的缘故~
(4星)	我觉得胡杏儿里面漂亮了很多很多 也是从这里开始觉得没那么讨厌她了
(3星)	2011年12月11日看完，感觉一般般，郑嘉颖在此剧的表现是比以往有突破，但是还是感觉潜行狙击更好看些，对胡杏儿确实无感~~总体可打3星半
(3星)	蛋糕那段有点意思！
(2星)	开始还新奇 后来越看越无聊 很多快进  郑嘉颖演过了吧 有点烦
(5星)	我只想说 法证都死哪儿去了！！！
(4星)	八爷还是一样的搓。。
(3星)	看到胡杏兒就想快進，中意李燦森。
(3星)	为什么最近的港剧里，总是得死一个美丽的女配...
(4星)	跟法律有关系的电视剧。果然香港的法律是疑罪从无。郑嘉颖演得确实不错。胡杏儿演技没见提高。
(4星)	看过的最好的TVB剧集之一
(3星)	郑嘉颖那个视帝真的来的有点。。。。
