http://movie.douban.com/subject/3332543/	ID精英
(3星)	 情节老套，比较拖沓，故事发展没有高潮            
(2星)	 剧情烂            
(3星)	 看到罗湖大厅很怀念啊。。。            
(4星)	 结局有点悲伤啊            
(4星)	 并没有太多很精彩的看点，只能说是TVB常规剧，看看纯属打发时间而已。            
(3星)	 前面部分不错，结尾部分很仓促            
(NA)	 很不错，不冗长            
(NA)	 第一次亲密接触TVB            
(3星)	 蒙嘉慧 郭晋安            
(3星)	 港片的题材还是真是丰富呢！            
(3星)	 虽然很爱YoYo，但这部片实在是。。。一般般            
(4星)	 总体8错 8过要4欧顺风4和安儿在一块9好了。。哎。。。            
(NA)	 没有想象中的好，剧情比较无聊，拖了这么久，一点坚持看下去的欲望都没有..            
(3星)	 郭晋安退步了，虽然邓健泓演技还是很生疏，但是很可爱。            
(5星)	 很喜欢顺风同安儿。。可惜编剧不遂人愿            
(3星)	 很平淡的一部剧。            
(4星)	 还可以~~~~ 还在看ing            
(3星)	 感觉郭靖安演个什么傻帽丫 那种特坏特阴险的还不错  嘿嘿  演好人 咋看都不像            
(NA)	 胡琛不错~            
(NA)	 郭晋安还是那么傻            
(3星)	 题材新颖，但是情节一般，不算太好。            
(NA)	 其實還可以            
(4星)	 很新颖的题材 期待能有M95这样的死党，还有安儿他们四个，感觉很好            
(3星)	 TVB今年的片子不咋地...            
(4星)	 结局太出乎我的意料了，为什么会死啊！！            
(5星)	 - 幸福。[含笑而終] - 悲傷。[重获新玍]             
(3星)	 标准的香港职业剧。蒙嘉慧其实挺好看的啊~            
(4星)	 越到后面越混乱，不过还算是这段时间能入眼的TVB剧集。            
(4星)	 还可以，但我一直不喜欢郭晋安，他自从演了憨夫成龙后，演技就停留在那个样子了，再加上他那个瓜兮兮的发型，晕            
(4星)	 还不错的            
(3星)	 很tvb            
(3星)	 剪辑的让人无语            
(NA)	 TVB不要老化才好            
(3星)	 伟大的事业，弃            
(4星)	 尊是我的爱！            
(4星)	 一般，结局不是那么喜欢。            
(4星)	 我看的集数怎么是30集            
(NA)	 港剧最会拍的警察片但是故事情节不够~            
(3星)	 几乎全家人都是入境处的工作人员，为保卫香港公民的安全和利益... 其中穿插了一些爱情、悲伤，不过到最后仍是不变的美好大团圆结局。            
(4星)	 TVB要赶上CCAV了，我为了避开了内地的大雷，怎么又在TVB看见了，男一二三四五统统讨人厌。最DJ的是黑社会老大，最悲情最傻的是男一的老婆。            
(4星)	 09看完的第一本TVB剧            
(3星)	 就当是消遣            
(3星)	 nat这条线还行吧。            
(3星)	 很喜欢蒙嘉慧在里面的角色，虽然傻大姐了点儿。。。            
(NA)	 大结局看得我眼泪汪汪~            
(3星)	 题材不错，不过有电杂乱的感觉···            
(NA)	 于是我放棄了。            
(3星)	 结局很生气            
(3星)	 全27集，了解香港入境处的职责。。。            
(3星)	 两天半的时间 消化掉这部片 当时看到有蒙嘉慧就直接去找资源下载了 挺喜欢看她演的片 郭晋安有时候还是傻傻的 那个傻阿旺 为了那个老婆 坦白说 可能不是很喜欢阿敏 所以我一直认为最后啊杰会和JO在一起 结局还行 有点草率  Anyway 还是不错地            
(3星)	 如果不是鄧健泓，我絕對不給三星！            
(4星)	 快结束的时候有点小纠结啊            
(3星)	 連入境處的行業都來了。這個創意我認爲還不錯。其實也就看看靚女蒙和唐。。。            
(5星)	 都是我爱的演员,哈哈~~            
(3星)	 很TVB哈            
(3星)	 看TVB的戏真的是要看演员            
(3星)	 香港第一次拍摄关于入境处的电影！主要是介绍入境处的主要工作,以及一些发生的案件什么的,剧情一般般!            
(3星)	 故事有点单薄。。            
(3星)	 郭晋安的演技还是一如既往的好，剧本还是一如既往的烂。。。            
(3星)	 剧情拖沓无比。很失望。            
(NA)	 30            
