http://movie.douban.com/subject/5247088/	法证先锋3 法證先鋒Ⅲ
(3星)	 没有前两部好看。拥哥一样的手机让我有了穿越的感觉。索爱广告到处打～            
(4星)	 这几天晚上就是法证先锋之夜，都被吓个半死，但是，很好看啊，欲罢不能            
(4星)	 所以终于黎耀祥主演了一个衣冠楚楚一表人才的体面人，不错哦。刑侦剧我还是少看的好，贩卖恐怖，我一边不屑一边受用。市场tvb就是墨镜广告和屈臣氏水。看到天与地里的一队band了，两个在做法证，一个出现在第一个案子里，鼓佬看了半天发现在法医身边，还有阿yin也演了条尸。            
(3星)	 套剧            
(3星)	 看完很久了。一直觉得我什么就要安排死亡呢            
(2星)	 张可颐可不可以扮相再年轻一点 这部剧简直本末倒置嘛 徐子珊这些警察是来打酱油的么 每次出场不管天阴天晴 几个主角都墨镜风衣的拉风登场 太过了吧 以为是走秀啊            
(5星)	 虽然是TVB的模式，台词也老套，但是，能让我不快进的剧就应该是好剧了。            
(4星)	 还行            
(3星)	 这个蛋疼的结局            
(3星)	 不如一二精彩，但也可一看~黎耀祥不错哦~            
(3星)	None
(NA)	 徐子珊            
(NA)	 TVB的剧情神马的真是习惯了            
(2星)	 有些电视剧，我都不想承认我看过！！！            
(NA)	 技术先进。            
(NA)	 用实证来说话~            
(3星)	 后面的案件越来越木有意思了诶，都是身边的人，好刻意的偶然。            
(4星)	 走港剧的警匪片路线，差不多主角都能成为一集的当事人。最后还需要一个正派来牺牲换取更大的胜利。。。            
(3星)	 明明与先前的法证先锋没关系，还敢叫法证先锋。叫就叫吧，演的还那么烂，最受不了张可颐对着尸体神神叨叨的，至于他们的感情，怎么让我感觉莫名其妙的            
(3星)	 看了法二以后觉得这演员配的这剧情编的呵呵呵呵=。= 醒哥一如既往苦大仇深的一张脸=。= 张可颐您老了=。= 还有，编剧们敢不敢让小定演个讨好的角色！            
(4星)	 相比于二拍摄上可吐槽的地方少了一些.            
(4星)	None
(NA)	 感觉没有1和2好看            
(4星)	None
(4星)	 总体剧情平淡，剧集进度节奏神马的把握的还可以.....            
(3星)	 还可以的拉 不过豆瓣这里的人应该很少看这种 OTZ            
(4星)	 还不错～虽然没有以前的法证先锋1,2好看～毕竟那是经典嘛～不过这部剧仍然有可看之处～虽然许多案子总在一开始就看出了犯人是誰～不过看感情戏还是不错的～不过最无语的就是编剧为毛最后让angel挂掉～真心的狗血啊～            
(2星)	 失望。。。。            
(NA)	 陈茵薇点解要死！            
(5星)	 不错不错，这里面挺喜欢徐子珊的、、            
(4星)	 太吓人了~居然吓得做恶梦~哭半天~~55555555            
(3星)	 还是比较喜欢欧阳震华演的“活体百科”            
(3星)	 Dr.Zhong 不错             
(5星)	 港剧能拍到这个程度，真的是不错了，赞，五星            
(4星)	 看搭配 看装修 =。=            
(NA)	 可能是看这之前一口气看完犯罪心理，再看这个觉得好小儿科好弱智好啰嗦好像幼儿启蒙电视……            
(NA)	 我觉得还是凌倩儿和李展风最靠谱了，喜欢这部片子的专业知识有关的情节            
(3星)	 远不及I II            
(4星)	 我没看过1,2，反正3不错，ANGEL死了太难过了            
(5星)	 就等每年过年时刷港剧！对TVB的刑事侦缉剧还是超有信心的。虽然把我吓得半死~            
(NA)	 其实法证先锋一直都好好T            
(5星)	 挺好的，我喜欢看的港片。破案的，所以很容易追。又不太做作。还有美女帅哥。看完这个都喜欢上徐子珊和陈茵薇了！            
(3星)	 感情戏都是跳跃进行的。。            
(4星)	 远不如一二部……感情戏太多~~            
(4星)	 没前两部好看            
(4星)	 突然挺喜欢徐子珊的。。。。。。。。。。。            
(3星)	 还是张可颐演得好, 而且开始喜欢徐子珊了            
(3星)	 把法政吹嘘的有点过了，要是真能这样世界上缺少安全感的人又少了一大半            
(4星)	 TVB的侦破系列剧一直很喜欢。            
(4星)	 徐子珊，你能不出现么，我真的不喜欢你的脸            
(4星)	 我该适应适应粤语了            
(4星)	 还是第二部最好看，第三部的madam有点花瓶的赶脚            
(NA)	 我觉得还不错啊            
(3星)	 CSI乱入            
(3星)	 高端是高端了 法证成万能了             
(3星)	 看不下去的官配。。。            
(3星)	 张可颐老了，胡定欣有气场。变态编剧，为什么要Angel死！！！            
(4星)	 我发现我真的很爱有关于警探类的片子。这次换的人我也都接受，尤其是张可颐的这个角色。虽然很完美，但是正是因为现实没有这类的人物，所以才会去塑造这个人物。也许是因为她和黎耀祥在剧中的关系，双方很了解彼此的性格，能够谈得来，想到一起去，这很让人在无意识中存在幻想。            
(4星)	 过年这几天给看完啦~~            
(4星)	 以前挺喜欢张可颐的，可惜这一部感觉不太入戏。。。如果让阿佘来演，会有气场很多。            
(3星)	 老男人好帅气！！            
(3星)	 1&amp;2才是王道.            
(NA)	 Pro Sir每次冒出无数专业名词时我就想吐槽            
(4星)	 熬了3天半终于看完了。徐子珊终于让我觉得有些喜欢了，好狠大结局的时候又出现一个小丑命案吊胃口啊！！            
(5星)	 看到后面不太想看了，这是怎么回事？受评论的影响？            
(3星)	 哎。。。主演还没配角给力。。。            
(3星)	 没1，2，好看。无聊的时候看看也行            
(3星)	 还行，只是结局太狗血            
(4星)	 先看的3于是回头看1忽然觉得还是3比较好看啊。。。囧。这就是不按顺序看的后果。            
(3星)	 还行吧，打发时间还好的···            
(5星)	 吴卓羲~~~法证剧~~~            
(5星)	 设备超先进，演员也喜欢            
(4星)	 黎耀祥 张可颐 我都喜欢！            
(3星)	 所有的香港的探案類型的電視劇 都可以拍成死神來了系列了 剛看開頭就知道結尾 全部都是走的一個套路 只是人不一樣罷了 真是膩死人了            
(3星)	 看了3、4集，么意思            
(4星)	 大换血`!!我难以接受啊`欧阳震华`!!!!            
(3星)	 剧情看到最后就好容易猜出来。            
(5星)	 小的时候看过很多类似主题的电视剧，真的完整地看下一部倒还是第一次~            
(3星)	 什么破结局啊            
(4星)	 我是PE党。喜欢Eva。            
(5星)	 只能说科技日新月异法2的时候取证还用试管倒来倒去法3直接就是用个仪器塞进去结果就出来办公环境也大为改善啊。。。            
(4星)	 张可颐和黎耀祥那对真的是，璧人一号啊            
(3星)	 平平淡淡，结尾混乱            
(4星)	 茶点之作，不过徐子珊和ron还是很般配的            
(5星)	 有4么？            
(3星)	 好吧 警察只能用来抓人 破案的都是法医            
(4星)	 没前两部好看            
(4星)	 天天在寢室裏一起看 爽            
(3星)	 觉得没以前几部好看            
(4星)	 三部里最喜欢这部的MANDY            
(5星)	 还是很好看滴            
(5星)	 算是比第二部出彩            
(4星)	 最后几集我没胆子看 求陪同            
(3星)	 每次出场像作秀多点吧。。。还是最爱法1。。。            
(3星)	 徐子珊丑            
(4星)	 结局angle的死太失败了！！难道结尾一定要牺牲才圆满吗！            
(5星)	 超级喜欢张可颐！！！！！！！！！            
(NA)	 看了第一集实在是看不下去~但是看了下去的同学说还还好看的            
(1星)	 简短评论：难看            
(4星)	 过年无聊追剧，还行，就是剧情稍微有点拖            
(5星)	 本来还是喜欢林文龙的法医，但是越看越觉得mandy好酷！给五星吧片子的主题还是不错，期待四            
(4星)	 推理~            
(4星)	 胆儿大了！            
(3星)	 一部当观众是白痴但是又可以学到点什么的法制宣传片[我终于知乜叫做天网恢恢疏而不漏佐] （当年如此惊艳的icy姐姐 泪奔            
(4星)	 还不赖啦            
(3星)	 不恐怖啊，谁跟我说很恐怖的？！            
(4星)	 看腻了欧阳震华的脸，Pro Sir各种养眼呐~            
(4星)	 花了几天终于看完了 觉得剧情还是很不错的 不过真是越来越像美剧了 讲各种技术 节奏还可以 不快不慢 很喜欢张可颐 打扮干净利落 这部剧当作消遣还是很不错的。            
(NA)	 越来越无聊了哇~~            
(3星)	 剧情太狗血了，萧正楠还不错。            
(3星)	 也算是同等片子里不是很好看的。。。居然也出3，不过无聊看看还成，毕竟现在TVB不好这口了。            
(5星)	 好好看！            
(4星)	 情节利落，多年没有完整的看一部港剧，这部还不错。            
(NA)	 很好看！            
(3星)	 ew   各种错位            
(NA)	 这结尾是要原班人马第四季么？没前两季好看，感情戏太多了吧            
(4星)	 Angel不要死嘛~            
(3星)	 看多了。就如此。            
(3星)	 为嘛我喜欢的都shi了为嘛为嘛为嘛            
(4星)	 一直喜欢TVB电视剧，尤其是这类，剧情很紧凑~            
(4星)	 感情戏处理的好狗血，剧情挺吸引人可好多是老套路……            
(3星)	 好诡异            
(4星)	 还可以的            
(5星)	 真的很好看啊~~~!!! 期待可以有未完的待续~~~!!!            
(3星)	 墨镜- -            
(1星)	 什么狗屁案件，无聊            
(5星)	 因为有触动，所以会记得            
(3星)	 其实不如换个剧名比较好，不然难以从前两部里抽离。不温不火。我倒觉得这部里徐子珊没那么讨厌呀            
(4星)	 还是感觉制作有些仓促，有些破案手法简直太巧合了。。Pro Sir同Mandy的感情貌似引起了很多争议，不过这部戏警察是炮灰啦，法医法证才是重要人物。。徐子珊走路始终像在走猫步。。吴卓羲永远都翘着二郎腿。。- -            
(4星)	 几年没看港剧了，这部很好看。PS.宝珠：）            
(3星)	 张可颐很美，也让我重新认识了徐子珊。黎耀祥在法庭的一段是亮点。            
(4星)	 3.5            
(NA)	 警察去哪了为什么都是法证和法医办案            
(4星)	 我爱快节奏。本以为华董会是个压轴大案呢，谁知就这么发心脏病死了……            
(4星)	 还是老人演技好啊            
(4星)	 最后主角老鸳鸯一对还来个浴火重生。。。编剧为了他俩在一起连eva都写死。。。要不是这对老鸳鸯我绝对给法政3为5星的搞笑剧啊~梗都超好笑            
(4星)	 里面的人物都挺厉害的，但是没什么意义，看完即忘            
(4星)	 最后ANGEL为毛要死啊~            
(NA)	 张可颐很有灵气            
(3星)	 有点点失望。            
(5星)	 老说，看完1,2部的时候，深深地喜欢上了法政这个系列，当知道换演员，有点些失望，但是看了之后，觉得最喜欢的还是3，很精彩，超越了1,2部。法政先锋系列是我最喜欢看的港剧!            
(4星)	 陈茵薇干吗死掉啦。。。我好喜欢他们那对的。那边还看哭我了！！！            
(5星)	 挺好看的            
(3星)	 好多情节都快进了。            
(5星)	 好好看！            
(NA)	 自上学以来看的第一部港片...大概是因为之前两部都没看过的缘故，所以觉得还好            
(3星)	 这是垃圾吗？除了胡定欣，蒋志光。萧正楠和陈茵媺也还行。剧情一塌糊涂，推理乱七八糟，就是一坨屎。            
(4星)	 最后angel的死我有点接受不了啊            
(3星)	 烂尾了|有雷点|卖腐|萧正楠那对是亮点            
(3星)	 为什么我觉得法3好弱啊            
(3星)	 终于看完了。恩。            
(4星)	 张可颐越来越有味道了。            
(4星)	 寒假回来补的唯一一部港剧…            
(4星)	 徐子珊可塑啊~            
(3星)	 大家的POSE都摆的不错~~^^            
(3星)	 tvb的破案都市片都还好看，不过，欧阳震华版的太好看了，这版就太一般般啦！黎耀祥还是适合演草根哎。            
(3星)	 没看同类美剧的话这个就还不错            
(5星)	 矮油~偶滴爱~~            
(NA)	 为毛女三要死啊为毛啊！            
(4星)	 死者善终，生者善别。            
(4星)	 换人本来失望，还好还好，编剧宝刀未老            
(5星)	 2011.10.10            
(5星)	 好好看啊            
(4星)	 布sir和mandy都是大神啊！！各种精通啊！！！            
(4星)	 很不错啊，支持张可颐啊，有了她才觉得第二，三部里蒙嘉慧的缺席没那么遗憾啦。还有啊，无线居然换了欧阳震华？？？？Bobby啊！缺了他怎么行啊！！！            
(4星)	 打从幼儿园开始就吃香港yes sir madam这一套，皇家警察真是深入人心            
(5星)	 一如既往的好看 尤其是大结局 期待下一部哦~~            
(4星)	None
(2星)	 为了黎耀祥去的，还是巾帼枭雄吸引我。            
(NA)	 真不错            
(3星)	 连续奋战，看完。看书鞥能这么坚持和认真就好了。            
(NA)	 还不错。看到天眼少女的时候好怕怕啊            
(2星)	 浑浑噩噩看TVB的时间里。            
(4星)	 123都看了            
(4星)	 相当professional !            
(NA)	 给我把刀 我也想解剖了            
(3星)	 其实，法1和法2都木有看过，但是，完全不影响看这部~~对于小时候港剧的缅怀，虽然少了小时候的那种期待~~呵呵            
(3星)	 TVB刑侦剧最好看了！徐子珊挺好看的呀！            
(3星)	 好久没看TVB的戏，除了破案的戏，感情戏依旧一开始就猜到尾呀！            
(3星)	 案件好弱，感情纠葛好多，还有港剧这类的从小就是阴影，吓到我了 = =            
(3星)	 喜欢张可颐，关注一下香港police技术发展            
(2星)	 不是人手一部ipad就叫高科技，不是张口一遍英文名就是专业。唯一看点沈震轩还只是酱油中的神酱油……【啥            
(4星)	 还不错。            
(3星)	 没有二好看。都能猜到结局了            
(5星)	 黎耀祥、无论你演什么角色都是那么的无可取代……            
(3星)	 感觉没有以前的2部好看，毕竟演员大换血了            
(5星)	 太好看，受不了！~~~~            
(5星)	 可能是已经忘记了之前2部的样子也无从比较，总之第三部的角色什么的都蛮不错的！蛮喜欢布sir和mandy的很有感觉的            
(3星)	 虎头蛇尾            
(4星)	 TVB还是TVB的样子，纯粹只是喜欢张可颐            
(3星)	 要是鉴证科这么厉害还要警察作甚··            
(4星)	 剧情不错。。对演员无爱~            
(4星)	 好喜欢张可颐呀！！            
(3星)	 怎么讲，张可颐的角色是一个败笔，还有就是EVA女儿变节之快让人吐槽            
(3星)	 看完20的时候弃之 听说后面好看就捡起来看。。虽然是比较刺激 但是脱不了港片那种老套的情节啊- -黎耀祥跟欧阳震华没法比。。囧            
(3星)	 一般吧，比前两部，剧集里有大量专业的法医学知识是吸引人的地方，黎生演得中规中矩，倒是陈展鹏让我眼前一亮            
(5星)	 好看！            
(4星)	 几个演员还不错。因为我不追美剧觉得情节还凑合。就是每次戴黑超都挺装逼的。但是黎耀祥和张可颐实在不像CP。胜在节奏很紧凑。            
(4星)	 还可以。            
(4星)	 虽然没有一二好看，但是看看还是可以            
(2星)	 看完后最大的感觉便是一味的展示高超的现代科技还有一堆子高深的专业术语，太装了，比起上两部逊色多了。最无语的是让徐子珊演高级督察，完全没有高级督察的气质，还喜欢是不是的走几个台步，秀一下服装。。哎。。            
(4星)	 我觉得挺不错啊 豆瓣给分居然这么低= =            
(2星)	 看了前兩個案件後，後面幾乎都能自己發現誰是凶手。            
(NA)	 (~O~)zZ　3部都喜欢……            
(4星)	None
(4星)	 徐子珊更干练了            
(4星)	 还好~~~            
(5星)	 技术比一二成熟很多吖~            
(3星)	 四天看完。。一遇到家常里短的感情戏就快进。。黎耀祥不吃回头草那点很MAN。。            
(3星)	 = =            
(3星)	 仅做记录            
(4星)	 很精彩！如果不是我心爱的胡定欣忽然间挂了的话就给五星！            
(2星)	 说实话，很前面两部比，差的不是一点点，开场就不够吸引人，人物特色不够，4对couple说是为了满足各种口味，但是为什么一对都不是我心水的呢？            
(4星)	 还不错 比较高科技 讲案件港剧的套路 欣赏张可颐和黎耀祥            
(NA)	 没前两部好看            
(4星)	 虽然演员都换了，但我觉得剧情还不错啊，只不过我都能猜得到谁是凶手罢了。最近港剧陷入了怪圈，总要拆散一对couple才甘心，刑警2010是，这部剧也是，非得死一个才能剧终，这是为熟么啊。。            
(NA)	 123都喜欢            
(3星)	 还是喜欢Ivan和Tim Sir。。。            
(4星)	 不是很喜欢大结局，Angel死了。。！            
(3星)	 一年不如一年            
(3星)	 太冷静的女人真不可爱。            
(5星)	 坐等拍4            
(4星)	 虽然人物大换血，但是剧情更对胃口。张可颐和黎耀祥的演技一般。            
(5星)	 吴卓羲！！！超喜欢            
(5星)	  我是来看张可颐和徐子珊的。            
(5星)	 伸长了脖子等四。            
(4星)	 没事儿看看玩儿            
(4星)	 TVB的，高科技~~~喜欢里面的DOCTOR 钟            
(5星)	 跟前两部一样地吸引人，更用了很多高科技破案。画面很精致。但是徐子珊给我的感觉跟团圆里差不多，不喜欢！            
(4星)	 还可以吧，消磨时间用的            
(4星)	 开始因为大换血的原因死活看不习惯，看到很多集才分清楚谁是谁，越到最后才开始回归对于刚看一的时候对于破案的热情。结局：对于港剧一定要以含悲情故事结束的模式，虽然讨厌，却也习惯了。            
(3星)	 剧本啊……            
(3星)	 不是有张可颐，真没打算看            
(3星)	 再也找不到小时候看的感觉了。。            
(4星)	 消遣的TVB剧啊，虽然模仿csi的痕迹很重，但是TVB的风格也表现的义无反顾~~            
(3星)	 冲着吴卓羲去的，没想到前半段没什么表现，后半段被卷进溏心风暴，唉唉唉。香港人的想象力只停留在在分遗产争男人这种事情上么。            
(5星)	 还行啊，有那么难看么，拉高点分            
(3星)	 为什么总有徐子珊~~伤不起~            
(3星)	 感觉一般般了……看到后面剧情都是跳着看，诶……            
(4星)	 虽然没有一精彩，但也还不错吧            
(NA)	 案件都很离奇 超越想象 就是感觉整部片子草率了点啊            
(4星)	 喜欢张可颐，幸好佘诗曼受伤不能演            
(4星)	 不错，蛮好看的。里面徐子珊竟然很好看。。。            
(NA)	 有了法证 吃饭的时候不寂寞 不用再看柯南了            
(NA)	 本来会以为是狗尾续貂，看进去还觉得不错了            
(3星)	 比起前两部还真是有差 虽然案件设置也可圈可点 但连贯性以及人物安排不够饱满 为什么要有人死呢 死的都是好人啊！            
(3星)	 剧情好拖沓啊，我中意Mandy的爷爷~            
(NA)	 挺过瘾的            
(3星)	 没有之前的好看了，结尾编剧居然让Eva死掉了...            
(4星)	 反正TVB的剧都是一样的，看到第一集就知道结局了。而且故意装酷和显示高科技，每人一个爱派，让人想笑。总觉得又是模仿美剧，像《CSI犯罪现场》。我不知道是什么让我这样追剧，一集没落下。听说没有一二季好看。            
(4星)	None
(3星)	 就。。最后好多主角身边的死了哦            
(3星)	 故事质量下降我都能猜到了....以前的编剧挺严谨的...现在...唉...            
(5星)	 一部不如一部，现在的案子太简单了。证物解释一切~那警察是干嘛的？            
(4星)	 不错不错。。就是angle死得惨了点，，喜欢里面的配角哦~~~~            
(2星)	 比起第一、二部，太让我失望了。            
(NA)	 黎耀祥还好            
(4星)	 好TVB啊。。。。。            
(4星)	 张可颐怎么像整容了一样 这里面警察真是弱爆了 高sir太搞笑了 真喜欢angela 可惜中弹了一刚            
(5星)	 黎耀祥是不错~但好像不适合演这个~            
(5星)	 视帝好有爱，各个都好有爱，不要吐槽！            
(3星)	 不是很喜欢刑侦剧 胆儿小            
(3星)	 这剧是TVB吐槽剧吧，那么多植入老片跟人物。。。居然还有PRO.KING，替阿峰不值。。。            
(4星)	 总体来说比法证2好看，但前面几个案子过于简单，直到最后一个案子才显得曲折。Mandy姐姐老了好多，当年《难兄难弟》里的宝珠已风采不再。            
(NA)	 不错，就是没有csi真实            
(3星)	 感觉案子没有之前的精彩了。。            
(4星)	 法证部分依旧精彩，感情部分太过唐突了            
(3星)	 结局雷到令人发指的地步，只有靠黎叔撑场面            
(NA)	 好多迷信            
(4星)	 總感覺有點糾結的結果            
(3星)	 啊，我为什么看这个？！3比不上1和2是预料中的事情，但是没必要塑造出如此圣母，圣父的男女主角吧，很多时候他们更像是100% Matched的俩人工智能机器人~            
(4星)	 徐子珊个丑女人居然和吴卓羲有那么多吻戏！擦！            
(3星)	 这一部尚可，但是可能是黎叔习惯演古装吧，总是有表情or动作不自觉的定格，看起来有点怪。大爱张可颐啊            
(3星)	 没有之前的两部精彩。            
(3星)	 还是徐子珊看着顺眼。没看到一个案子是出乎意料的。            
(NA)	 连2的一半都比不上，正太也成批成批的锐减            
(3星)	 Eva虽然争强好胜 但气质还是有的，最后居然被弄死了。。。天眼少女那集我差点被吓死，这让看过的人都匪夷所思。。。            
(4星)	 找不回欧阳正华的感觉了。。。            
(4星)	 pro sir 和 eva 在法庭上那段对峙太精彩了。            
(2星)	 TVB一代不如一代 包括小生花旦编剧            
(3星)	 一个人深夜看真是吓死仙人板板了 近期把1 2重温~            
(3星)	 案子偏弱，而且演员全换了，剧情也不接，应该换个名字            
(NA)	 紧张到我。            
(5星)	 如果法证先锋4演员大换血,我会打几星            
(2星)	 最烂的一部法政，未完弃之...            
(3星)	 陪云看了一下午TVB探案剧= =            
(5星)	 好看啊啊啊 啊            
(3星)	 相当一般            
(3星)	 就看了2集啊 难为我特地拿个8G的和同学拷了一整部 全删了            
(4星)	 angle死得好可惜，最后那个变态的真的好刺激，害我看到一半上厕所都要开大灯...&gt;_&lt;            
(3星)	 感觉最后一话各种败笔啊-            
(4星)	 一些情节的安排太陈旧了。还是那对长的一样但性格迥异的双胞胎，还是女儿躲在柜子里亲眼见到杀害父母的凶手=。吴卓羲的风格一成不变，Eva则让人眼前一亮。重案组几个成员也有不错的表现。            
(NA)	 史上看过的最烂的一部港剧。各种被安排和高科技才能撑起警察破案，重案组全部都依赖于法证，自己一点用都没有。完全把观众当成白痴来看待。法证先锋已经不比当年了。            
(3星)	 编剧好会吐槽，黎耀祥三年演了莽撞刚胆冷静三种性格，是在玩三国志么，最后的case凶手太好猜了            
(3星)	 没前2部好看            
(4星)	 老男人很帅，我指的是黎耀祥。不过我更喜欢张可颐~~~知性女子~~~            
(3星)	 这部演的警察跟傻子似的  演员除了徐子珊和脸僵掉的吴卓羲 别人还挺喜欢的            
(4星)	 都说这部剧里的重案组是打酱油的，其实也是为了凸显法证的科学英明之处~~~            
(3星)	 狗血理性的香港人民~~~~~~~~~~            
(4星)	 结局依旧垃圾，呵呵~没有前两部的剧情好了            
(3星)	 连续四天终于看完了，感觉就是紧凑紧凑紧凑啊，很多东西都没交代完就大结局了。还有编剧为什么要杀死Angel啊，扣一颗星。。。            
(5星)	 卧槽TVB的探案用不用这么正中泪点！！！！！我想让Angel活下来啊啊啊！！！            
(2星)	 看了两集看不下去了   为毛不换个名字  演员大换血   一个madam穿双靴子走来走去都不怕抓不到坏蛋啊   不看了！            
(3星)	 男女主是大神，为什么要让angle死掉！！！            
(NA)	 喜欢Pro Sir和Dr.Chung            
(NA)	 最后的ending pose 太假了！！！            
(2星)	 真的就是单纯打发时间用            
(NA)	 一直喜欢看推理类的电视·            
(4星)	 香港的公务员们的装备好modern             
(4星)	 比法2好看，法证布SIR和法医Mondy选戒指一段笑死我了——“钻石是由99.9%的碳构成…”“我曾经解剖过一个女孩儿……” 可怜那个小店员被吓得一愣一愣的            
(3星)	 Pro sir仅凭歹徒的一脚就分辨出他鞋上的土体是变质岩还是沉积岩还是岩浆岩，是砂岩还是砾岩还是板岩。。。让我这个学了工程地质还分辨不出任何岩体的孩子情何以堪。。。比较喜欢第二部的紧凑感，这部案子都让法医法政破了警察干嘛吃了的。。。            
(NA)	 稀罕~~            
(5星)	 很久没看TVB剧了，因为演员太熟悉了，缺乏新鲜感了，看到这部还是觉得挺不错的，喜欢张可颐~~            
(3星)	 比前两部差远了，差远了，主角除了那个黎哥，我都不喜欢。一个破法医神神叨叨的，哪有林文龙好呀，讨厌            
(3星)	None
(5星)	 快节奏，很强的故事性和温馨感人的情感因素糅合在一起。            
(3星)	 终于看完。案件的设计没问题，颇为精彩。之所以给三星，皆因感情戏太狗血，主角为什么一定要为了在一起而在一起呢？超级剩女Mandy飞掉多金专业小郎君Jim实在毫无道理啊！            
(4星)	 只想说...香港警察的办公条件真心好啊~还有结局是想怎样。。。            
(5星)	 好看啊！            
(3星)	 虽然觉得很一般但是到底还是一级级的看完了，人物的精分真的很严重，犯罪剧情一般角色情感显色更是错乱。。。那我还看。。。            
(5星)	 Pro Sir             
(NA)	 异常喜欢张可颐在里面的形象            
(4星)	 我知道我过时了大家都看过了            
(4星)	 觉得没前两部好看，感情戏多了            
(3星)	 没有欧阳胖胖的法政不是好先锋            
(2星)	 眼镜比ipad酷，ipad比演技酷，演技比编剧酷            
(3星)	 就是冲着吴卓羲看的，剧情真的不咋滴。            
(3星)	 经常冒出很多无比专业的术语= =嗯。。然后各种恋，同性恋，早恋，忘年恋，婚外恋            
(4星)	 不管是谁 出现的目的就是带出凶案            
(2星)	 个人觉得很烂            
(3星)	 一部死一个女主是传统吗            
(NA)	 今年看了好几部TVB的连续剧啊\(^o^)/~            
(4星)	 这部片子还是惯用了TVB一贯的拍片手法，但是感觉已经没有像以前那么吸引我去追每一集了。            
(2星)	 很一般很一般的刑侦剧            
(5星)	None
(2星)	 其实比很多TVB剧好看了，只是这个程度的法政3不能接受！唯一的亮点是胡定欣的Eva,好爱好爱！            
(3星)	 喜欢张可颐，啦啦啦            
(3星)	 结尾处有些烂俗哦，这样的片子谁演都一样，关键在于剧情，所以看见豆瓣一群喊着要欧阳震华的好无奈- -不过法四貌似又要换人马啦。其实徐子珊在剧中的造型我还是很喜欢的，和ron也很配。            
(3星)	 官配为大。eva很漂亮            
(4星)	 骨灰做的戒指  也想要 = =*|||            
(4星)	 要不要把尸体也拍的这么真实啊 吓死了            
(3星)	 有点幼稚，巧合太多，法医像警察，警察像保镖，而且解剖尸体永远停留在露个肩胛骨或者手臂什么的地步，随便一摸，就能清楚知道死因。。。。。总而言之这是一部科幻喜剧~~            
(3星)	 确定有4我就安心了~~~            
(4星)	 陪老妈一起看的... 还不错            
(4星)	 当法医其实挺能学以致用的。            
(4星)	 硬是要把张可颐和黎耀祥写在一起，可怜了胡可欣。看好吴卓羲和madam谈恋爱那个小眼神，心动死了            
(3星)	None
(2星)	 不评论。。。。            
(3星)	 不是势必要你说，除非你想说            
(4星)	 感觉比2好            
(4星)	 港剧没怎么看过，总之这个看得挺过瘾……            
(3星)	 说实话，讨厌不起来EVA            
(4星)	 阵容很强大！！            
(4星)	 黎耀祥咸鱼翻身，喜欢张可颐，徐子珊的脸总是肿的，都是一个人大晚上看的，剧情不算太惊悚            
(3星)	 远远不如一二啊            
(3星)	 爲什麽每一部片子里都有徐子珊！爲什麽每一部片子里他的表情都是一模一樣的呢！看了這個以後，我無比懷念被我之前極其嫌棄的法2了            
(3星)	 破案完全靠法医，比警察还分析的头头是道，最后因为警察打不过中度智障儿导致可爱的女警被弄死掉耶。芥末绿翻译成鸡屎绿，翻译小组万岁！            
(5星)	 好看！            
(3星)	 不好看了...            
(4星)	 所以说，要等第四部了~            
(3星)	 TVB的习惯，一开始是外围人犯案或遭殃，逐渐深入圈子内部，最后压轴的必然是主角之一的case，这剧也是如此啊···感觉还是有点散涅，感情还是秉持官配无敌的路线啊            
(3星)	 Eva始终都是女人啊，以为自己能放下的其实终究是放不下的，PS：胡定欣太有气质了！双C耳钉抢眼的！还有照结尾的意思是不是还有第四部啊？            
(3星)	 走下坡路啊            
(NA)	 不喜欢，真令人失望，剧情好假！            
(4星)	 呜~我好喜欢张可颐哦！！！！            
(5星)	 没有前两部好~            
(NA)	 甘我都算有睇过既。。。            
(3星)	 真心晚上不敢碰这个片子。。可能是自己胆子太小吧。。越到后面越吓人。。赶紧删掉恐怖音乐。。。。。阿。。。。。            
(5星)	 不错，一如既往喜欢TVB的推理片            
(4星)	 3的剧情太容易让人猜到凶手了            
(2星)	 终于看完一个弱智港剧。。。怎么这个布sir死了前妻一点不难过还讨新欢哟。前妻身材不错～            
(2星)	 我去去你大爷的 烂到家了 看到最后最喜欢的人居然是EVA！！！！！！            
(4星)	 虽然剧情太简单，每个演员几乎都是喜欢的类型+1            
(4星)	 结局....有点虐....            
(5星)	 要是案情再离奇点凶手再高智商点再高端跟变态点就会精彩点            
(5星)	 赏心悦目的画面效果，令人惊叹的高科技设备，漂亮温馨的家居布置，光这些就很有看点，何况演员演得也很卖力，值得一看！            
(3星)	 味道变了么？soso但是还是看完了~~             
(3星)	 12没看 只看了3 一般般啦 有点小惊悚            
(NA)	 夠膽你咪做埋壹號皇庭6陀槍5洗冤錄3施公3啊笨            
(NA)	 精彩。大爱，            
(4星)	 小强今天很帅哦~这么黑还戴墨镜~==！哎~片中耍帅都不够，片尾曲还来，看到祥哥和卓羲兄开唱，爷还真有点hold不住，拜托，爷很容易入戏的，看到警察和法政耍帅唱歌很奇怪好不好……好像天与地片尾也是……看来TVB的各位最近嗨这个，有时间不TVB了，记得之前有段TVB比较嗨片尾科普~            
(5星)	 编剧受“识骨寻踪”的影响很大。并且在心理变态和多个杀手的领域大有作为。最后的开放式结局预示着很快四就会出来了。            
