http://movie.douban.com/subject/5257294/	豪斯医生  第七季 House M.D. Season 7
(4星)	 第17集中的tunnel vision翻译成“管状视野”更为恰当吧，而不是“隧道视觉”~            
(4星)	 他能救很多人，没有人可以救他。            
(4星)	 追到第七季了。可惜HOUSE和CUDDY还是分开了，心凉。            
(5星)	 叔唯一的出路只能是把自己折腾至死了 然后叔你快去再演点电影吧            
(NA)	 Everyone dies alone.            
(4星)	 其实这季编的有点不知所云了。。。            
(5星)	 编剧大人，你就饶了我们House大叔吧，分个手还音乐剧上了，是要闹哪样啊。。。            
(4星)	 有几集好看            
(5星)	 第八季怎么搞            
(5星)	 有几集蛮无聊的，后来亮点还是不少，不过mm就那几个有点看腻了啊            
(4星)	 退步不少            
(5星)	 I feel hurt for loving you            
(4星)	 喜欢前半段胜于后半段，HC分后House被刺激的有点找不着北了。看起来case里找不着北的豪斯也没比被糖腌了的豪斯好到哪里去。Cuddy的女儿好可爱，我也想要个这样的女儿也。七季走来，Cuddy的身材是越来越好了，噢噢好想拥有啊！            
(3星)	 七年之痒。我不再慷慨给分了。            
(5星)	 从第一集就正到不行！！！终于舍得把它看完…伤心吖            
(5星)	 跟Cuddy好上的那集起，就知道分手是必然的，尽管如此还是希望分手来得越晚越好。但分手还是来得如此得突然，编剧真的对House好残忍啊。            
(5星)	 我基本上是从第一季一口气追完这部戏的OTL HOUSE唱歌的那段真是没得说 至于他和CUDDY 我不能多说什么 其实我挺希望他们在一起 于是不能 那么wilson也是可以的.....            
(5星)	 从这部戏开始，我爱上了大叔。。。            
(5星)	 也到完结的时候了            
(5星)	 黑暗得窒息。。            
(3星)	 豪斯的性格越来越扯了            
(NA)	 拜托了完结吧= =            
(NA)	 = =。。。一群疯子。还有就是、、终于赶上进度了^^            
(5星)	 第七季了，又得等下一年，等第八季。这样也挺好。            
(5星)	 霸气的HOUSE            
(NA)	 SG酒店看的，每天十一点半的电视剧，要不要这么晚啊～不过看了几集看出点意思来了，大叔还是有点小可爱的时候的～            
(4星)	 前面比后面好看！            
(5星)	 大叔,你的撞墙毁灭范真NB            
(4星)	 喜欢这一季的宣传海报。但是结局太压抑了。大叔和Cuddy婶儿好了以后变了。。以前的大叔，快回来吧。还是从了Wilson吧。看好你们哟！            
(5星)	 看到e06笑色我了这一季太多欢乐，跟6形成很大反差啊。还是不习惯编剧每季末都虐大叔 e22看的人好痛好揪心 e23大叔不要再痛了我们爱你            
(5星)	 看第八季 要怎么收第七季的尾....            
(5星)	 终于 S7也结束了 House和Cuddy的最终命运会是如何呢 我觉得他这次真的玩大了~            
(5星)	 大叔你肿么了            
(NA)	 黑,压抑,事儿事儿都知道,事儿事儿都干得出来,照这样走下去下一季是不是要拍成沉默羔羊了            
(3星)	 不知道还能不能看下去。。            
(4星)	 看完之后的悲怆感。house你和wilson在一起好了，反正锅俩都单身啦。            
(5星)	 叔啊！！不带这么虐身虐心啊！！！            
(4星)	 没了酒、维柯丁、妓女的House还是那个House么？            
(5星)	 7季了，屋子大叔。            
(5星)	 7年过去了，豪斯大叔依然是我的心中最爱。虽然剧本从第六季开始走下坡路，但是依然不假思索地给出五星，这就叫豪斯控。            
(5星)	 看到22集时，house给自己动手术，疼痛让他难以忍受，却找不到能帮他的人时，突然就想起李志唱过的歌里有那么一句“我们生来就是孤独”            
(5星)	 就算最后一季吧！            
(3星)	 是否还有必要追下去，虽然季末留了House疑似把医院炸飞的大悬念。左右不过是失恋，便要跟妓女结婚并让ex观礼？便要自己给自己切开大腿取出肿瘤？便要开车撞入ex家中搅了人家约会？我知道我不该习惯性轻视别人的痛苦，只是忍耐本就是成年人应有的技能。            
(4星)	 最难看的一季。勉强四星。            
(4星)	 再见cuddy~跟你在一起，大叔有点失水准，但是却更喜欢这样的大叔。你走了，让大叔怎么办，让我们怎么办……            
(3星)	 End,really meaningful.What will go on?How will they deal with each other?Will Cuddy and Wilson accept him again?            
(4星)	 一直很经典……            
(5星)	 美剧都结束鸟，接下来怎么办鸟。。            
(4星)	 渐入佳境            
(3星)	 三星半，可以弃了            
(2星)	 自第四季後再現後繼無力之象。            
(5星)	 越来越深刻了            
(5星)	 house第七季结束 等第八季吧            
(5星)	 追了七季，想不追也停不下来了            
(4星)	 看完最后一集  我迅速发短信给某人  问 你做过的最疯狂的事是什么以及如果哪天我真的真的把你惹急了  你会不会把我按墙上掐死  人家第二天告诉我  你这短信有点意思  我还是觉得他会有这想法  但最后会一拳打墙上 但是  男人么  肾上腺素出来了神马都干的出来            
(4星)	 为什么要这样 混蛋 混蛋 混蛋啊!!            
(4星)	 在繁忙的答辩论文的过程中看完的。。。。            
(5星)	 rationalizing hurts            
(4星)	 不给力的一季            
(5星)	 就凭后半季的水准不能不给个好评啊亲！！！！最后一集那一下也让我感觉好多了！！！！！！            
(4星)	 极尽狗血的一季。。为什么我觉得。。明年自己还会苦逼兮兮的来看HOUSE。。。。            
(5星)	 “My body is a cage. That keeps me from dancing with the one I love. My mind holds the key. ”真不知道下一季剧情要怎么走了            
(4星)	 I generally HATE Huddy.            
(4星)	 好看了6季之后 这季有点疲软 8季会终结灭 拭目            
(4星)	 结尾狂high啊            
(5星)	 人最难迈过的还是自己            
(4星)	 这一季是有23集？Cuddy你真的是伤了大叔的心啊。大叔你是真的恨啊。            
(4星)	 豪斯第七季结束了。            
(4星)	 豪斯醫生倒是越來越親切化的犀利了~不過這最後一集真是狗血的可以……cuddy大姐真的走了的話，wilson的戲份可以再增加了吧？話說這一季甚至經歷了H-13，以及最後兩集13&amp;chase……神哪！的暗示……都快吐槽無力了--            
(4星)	 house果然是命犯天煞孤星            
(5星)	 终于HOUSE还是决绝的放弃CUDDY了……            
(NA)	 大叔明年见==            
(4星)	 你俩消停会儿好么。case越来越无聊了            
(5星)	 大叔啊大叔~~~            
(5星)	 编剧的功力已经炉火纯青了！！！            
(5星)	 深夜里，觉得这样心疼。痛苦着找不到出口的时光•••哪怕一丝安抚也好。            
(5星)	 主角和编剧都是疯子            
(5星)	 good            
(5星)	 真的第八季就结束么？不过精神病院、监狱你都呆过了……还能去哪儿啊我可怜的医生            
(5星)	 本季22集是开播以来从未所见的精彩，人物也从未如此丰富，而且一个人都没死，再也不利用观众的悲伤掩盖自己的虚弱（当然也不是那么虚弱）。呵呵            
(4星)	 怪蜀黍。，。。            
(5星)	 21集你妹啊，老娘今天才看的22集 噗            
(5星)	 love sucks!            
(4星)	 第六和第七季的結尾都異常牛逼            
(5星)	 大叔和cuddy，居然给我分手，伤心。            
(4星)	 妈妈终于和捣蛋儿子在一起了。。            
(1星)	 无聊加难看 装B还想搞笑 烂死了            
(5星)	 人，果然是无法改变、成长的“幸福是由基因决定的”            
(5星)	 loving it...The most important part of thinking is acting            
(5星)	 为何比前几季多了很多希望，是俺的视角变了么？            
(5星)	 最棒的美剧，没有之一！House史上最可爱的男主角，没有之一！            
(3星)	 不好看了            
(4星)	 还能玩出新花样吗            
(5星)	 恩，这季虽然案例不给力，但focus在和CUDDY的奸情上还是可以原谅的，貌似wilson要走了，唉，house唯一的朋友啊            
(5星)	 完结.......他人即地狱?Be yourself,no matter what they say            
(5星)	 不喜欢House和Cuddy在一起后的种种改变也好妥协也好。好在最后，你回来了。House，welcome back。            
(5星)	 五星给大叔。            
(4星)	 大叔你肿么那么浪漫!吃醋都吃得那么有型!            
(NA)	 不喜欢看到大叔变快乐。            
(4星)	 渐行渐远            
(5星)	 豪斯踏过黑暗的心理旅程，重新出发。            
(4星)	 大叔你要怎么办啊？？？            
(4星)	 house要跳槽了？那小鸭子们呢...一起去往世界尽头么...            
(4星)	 编剧退步，导演给力~            
(1星)	 滚床单莫名其妙            
(4星)	 这一季确实很有起伏啊，下了很多功夫，可是，也可以差不多结束了吧            
(4星)	 only human            
(4星)	 痛苦也是身体的一部分            
(3星)	 每况愈下啊            
(NA)	 第七季经典剧照不是大叔把一颗心拿出来么？            
(5星)	 永恒的叔啊            
(5星)	 感觉都要大结局了            
(5星)	 我喜欢我现在不幸福的样子            
(3星)	 这个结局，一般。            
(NA)	 从大一看到现在了呀！！从一到七            
(NA)	 了解了很多有的没的病症，赞~            
(5星)	 最终季没Cuddy了 Wilson也要减少出镜 还有法看吗？！！！            
(4星)	 商业片NBC下属Universal的出品，GE医疗等的赞助。            
(5星)	 我最最最喜欢的show!!!!!            
(5星)	 HUDDY            
(4星)	 这季又结束了，心情有些沉重            
(5星)	 爱生活 爱豪斯            
(4星)	 21            
(4星)	 不喜欢看HOUSE跟CUDDY腻腻歪歪的了            
(5星)	 HOUSE 绝对的玩家啊~偶像啊~！ 为什么你总是可以一心二用，还都干得这么好啊！！！            
(5星)	 啊 一句话评论写到第六季里了... 算鸟            
(4星)	 比起看大叔和御姐打情罵俏還是喜歡看御姐一腳踩在叔叔頭上啊啊啊&gt;_&lt;House就是個戀愛中智商為零的男人嘛            
(5星)	 纵深的一跳 吓死我了            
(4星)	 &#34;这些都和你有关&#34;……全剧终吧还是下一季不会看了            
(5星)	 my body is a cage .            
(3星)	 最后那集叔太帅了~            
(5星)	 越来越纠结了！！！周周追！！！！            
(5星)	 编剧大哥越来越牛B了            
(5星)	 House&amp;Cuddy 终于在一起了，真是百年修得同船度啊            
(5星)	 为夕阳下的自由身欢呼            
(5星)	 无时无刻不经历着痛苦的人。 HOUSE第七季完结，最后一集没人丧命，结尾是阳光海滩，但与Cuddy的关系似乎是真的画上了句号。 静等第八季。            
(4星)	 其实大叔也挺可怜的，有多少人能真正的走出自己的阴影呢。都说会有那么一个人，可若是没有呢？！            
(4星)	 house居然和Cuddy上床了 终究是耐不住寂寞了            
(4星)	 其实我很喜欢House这样的性格，他很聪明blahblah.可是最后一集把人看怕了，love makes ppl ca-razy            
(5星)	 大叔太有型了！！！好帅～～～～            
(4星)	 接下去等DEXTER了            
(5星)	 神经质的老男人。。。            
(5星)	 很好.            
(4星)	 在医院里看house医生别有一番风味            
(3星)	 确实是越来越不好看了，还有下一季么？这是个命题。13回来了，我也弃了            
(NA)	 第一集结尾，cuddy和house俩人的表情，人人心碎啊。don&#39;t depend the people who let you down            
(5星)	 犀利和温情是house的俩把剑，绝的算得上是神剧            
(5星)	 想不到，都已经追了7季了。。。大叔，你永远是我的菜啊我的菜~            
(4星)	 看到House給自己動手術的時候，忽然很心疼，他真的不能再這麼折騰自己了！            
(4星)	 虽然还是各种共鸣 但还是要说编剧你肿么了 肿么了！！睿智都去哪了 怎么只有狗血            
(5星)	 追了四年了            
(5星)	 才只看了个开头。。。            
(4星)	 这个结尾。。。为什么我会觉得很爽            
(4星)	 当怪人必须去面当正常人要做的事情时            
(NA)	 医务剧真的接受无力啊。弃。但是一直觉得House蜀黍特别帅还有Wilson。            
(4星)	 据说...嗯...            
(5星)	 上帝啊~么有了Cuddy姐，House大叔今后的日子咋米过呀            
(4星)	 又得三个多月了。。。            
(4星)	 新来的妞一点也不pretty...但天才少女谁不爱 变成温情戏了 not bad, house毕竟还是human beings like us 病例没有以前那么high了 结尾搞毛啊！            
(5星)	 WILSON你就从了HOUSE吧。。。            
(5星)	 这会儿才体会到前面cuddy和house如胶似漆时候的用意 。最终不在一起工作的他们会有怎样的故事？金秋很值得期待。            
(5星)	 还是喜欢house能够与cuddy在一起啊。。。            
(4星)	 前三季最好看，后面都是惯性收看。            
(NA)	 我喜欢            
(4星)	 期待下一部。。。。            
(4星)	 这一季水平有点次，除了Cuddy的女儿比较养眼以及Huddy的不停滚床单之外，没什么记忆点了。            
(3星)	 唉，这样的你我不喜欢 也许差不多该说再见了吧            
(5星)	 he s already left once. he s gonna leave you again.you dont need to depend on people who are gonna let you down. 撞吧            
(4星)	 那句 I FEEL HURT虐死了( &gt;﹏&lt;。)            
(5星)	 最好的美剧 没有之一            
(5星)	 就看豪斯。            
(5星)	 到第9集            
(5星)	 至爱            
(5星)	 亦是多年至爱，对Hourse依个人物真系又爱又恨。。。            
(4星)	 看了N年美剧，最后迷上的是一个英国人…………编剧拆我cp！！！            
(3星)	 house只能走到这里了吗？下一季还有任何期待吗？            
(5星)	 Never cease to amaze me.            
(5星)	 死爱！！！            
(5星)	 Cuddy下季退演，WTH……即便这是FOX王牌剧，还是躲不过主角退演……希望House多撑两三季，就算没有铁三角，但还有基情的Wilson嘛……            
(NA)	 要相信愛情。喜欢大叔            
(3星)	 坑爹坑的要命，坑成最后这样第八季不烂也难            
(5星)	 又是牛掰的一个finale～            
(4星)	 HOUSE真是老了，别再整第八季了，第一集刚开始就看到HL老年膘都长出来了其实上一季就已经开始发福了，我想起了让雷诺，昔日的里昂现在也是老年发福已经肉的不行了。真是恐年岁之不吾与啊，还是结束了吧。            
(NA)	 House啊House！！            
(5星)	 这个ending太crazy。。。。            
(NA)	 跳水好惊艳            
(4星)	 这一季虐的太厉害，对人性的剥离太赤裸裸了，是编剧想转型还是已经到头了？            
(5星)	 Welcome back, 13. Don&#39;t leave, Cuddy...            
(5星)	 大叔终于得到爱情滋润了话说前半季就8集？ 等得好苦            
(4星)	 虽然HOUSE抛弃了WILSON投入CUDDY的怀抱，渐渐开始变成了一个有人性的怪叔叔...我以为会变得不好看了，但是其实还是蛮好看的.......            
(3星)	 最不好看的一季            
(5星)	 最有个性的大叔，绝对不容错过！            
(4星)	 HW，不解释            
(3星)	 HOUSE真的是牛人，还有什么他干不出来的            
(5星)	 老头子快自我毁灭了            
(3星)	 不咋了= =            
(5星)	 为数不多的跟着的美剧            
(5星)	 House好不了了。            
(3星)	 于是只看了重点集们⋯⋯            
(4星)	 Cuddy: the two of you have a combined IQ north of 300.House: That&#39;s also true of five morons.House大叔啊，叫我怎么不爱你！！隔了好几个月没见到你，再见你时又被一击命中+_+            
(NA)	 大爱Martha Masters～honesty is the best policy. p.s. house真是小贱人。            
(5星)	 大转折！！！            
(4星)	 弃了。。。看了3年了。。。            
(5星)	 俄就册那突然停播一个多月你要我看啥代替，看啥            
(5星)	 House和Sheldon都喜欢吃中餐的木须肉，但……什么是木须肉？            
(4星)	 有时候想想,每集都一个套路,其实也挺无聊            
(4星)	 。。天花那集超赞啊~！Lisa要离开这个剧，所以结尾就只能那样编了吧            
(5星)	 我爱HOUSE，当然也爱CUDDY。新一季的小萝莉挺老的，不过不在乎，大叔才是王道。            
(5星)	 虐死人啊。            
(4星)	 还行            
(4星)	 季结尾有点疲惫            
(4星)	 好喜欢刚刚这集            
(5星)	 原来不会有s07e24            
(NA)	 虽然你被cuddy抛弃了，但你也不用在浴缸里切开自己的腿，然后把车开进她家餐厅吧！不过我顶你！哈哈这才是大叔该做的事。            
(5星)	 很喜欢的美剧之一····            
(2星)	 无聊....真无聊..            
(4星)	 当豪斯开始谈恋爱，结果是收视率毁灭性地下跌……编剧想要通过爱情让豪斯获得最终的内心救赎，但他们忘了老马的一句话，内在矛盾才是推动事物变化发展的根本原因。            
(5星)	 明年就大结局了            
(NA)	 没有格蕾实际,但剧情有起伏            
(5星)	 800部献给大叔 我爱你            
(5星)	 情怀。            
(3星)	 cuddy甩了house，house又开始嗑药了。我终于弃剧了。            
(4星)	 呵呵。。这部很精彩，因为有感情线~            
(5星)	 house             
(4星)	 看到18集。该停止了。Good bye House!!            
(3星)	 好好的一个豪斯为了一女同学发疯 真没劲            
(5星)	 感覺有點虎頭蛇尾....            
(4星)	 这一季大失水准啊不过后半段还好            
(3星)	 house&amp;cuddy这COUPLE在一起了有点bored了。。            
(5星)	 等待第八季！！还有啊，俺无限希望到了43岁也能有Cuddy那样的身形。。。            
(4星)	 比较起来这季还算暖            
(NA)	 豪斯医生S07E08：婚礼神马的，最讨厌了。。。。破烂熊你能把Taub翻译得更可爱么            
(4星)	 最后那集的剧情很难在中国实现啊可是好想实现啊！            
(4星)	 看house叔叔谈恋爱            
(5星)	 终于完结了，7年里House没有成熟，我也没有。            
(4星)	 好不容易才等到第七季~~~~            
(5星)	 这季的海报和希斯莱杰演的蝙蝠侠小丑一样，好喜欢            
(4星)	 大叔~其实你也很帅~~每一集都精彩~经常会被感动~~继续顶你            
(5星)	 我表示非常理解大叔            
(3星)	 考虑放弃S8            
(NA)	 新一季目前为止稍觉乏味，cuddy和house之间透明化是编剧黔驴技穷的表现。            
(4星)	 季末还是让我很失望好么。。不够miserable            
(5星)	 果断踩下油门把一切都撞毁，然后一个人到海边去。学不会温和的方式，所以只好对你和自己都残忍。            
(4星)	 对那结局真的跪了！！！！！第七季前面的好难看- -后面的不错的。昨天FOX刚宣布第八季是最终季，桑心。最近莫名的泪点低，看个FOX关于不再续订豪斯医生的公告都懊糟了0 0            
(4星)	 TOP OF TOP OF TOP            
(NA)	 他孤独，不敢相信幸福，也不能和然面对幸福。我亦是如此。            
(3星)	 1)cuddy&#39;s gone 2)大叔速度吐槽13和chase啊，赶紧的            
(5星)	 不能爱你更多            
(5星)	 The man who cure  others but not himself.Erevybody lies.            
(3星)	 @没头脑ET不高兴 跟前三季比起來真是弱爆了。            
(3星)	 huddy~            
(4星)	 其实我一直希望cuddy能驯服house。。。哎，始终没戏            
(5星)	 啊啊啊 淘气的小男孩终于sweet sweet 好warm            
(4星)	 House又来啦，第一集有点接不上，太久没看了，house的爱情应该是个high点吧            
(5星)	 他恋爱了他恋爱了他恋爱了他恋爱了~!!!!&gt;___________&lt;!!!            
(5星)	 和第六季的结局形成鲜明反差。house你太阴暗了。            
(3星)	 转眼都第七季了。。。            
(4星)	 一如既往            
(3星)	 得知Cuddy要走之后决定多加一星。。。            
(5星)	 大叔，你回来了！！还是腹黑适合你            
(5星)	 fuck yea! house in love!            
(5星)	 H&amp;C过上了幸福的生活。            
(5星)	 盼了几年，终于和cuddy在一起了，容易么。。。。到了后面我真的很庆幸house 没有和cuddy在一起，到头来cuddy只会让他痛苦，心里一直因为house 那么痛苦而难受，还好，最后他解脱了            
(5星)	 开始觉得编剧又开始纠结了。因为似乎包括编剧在内的所有人其实都有要去虐待House，让其展露他是“人”的一面的心理。但是，我们又都晓得若House如果有了一些人性，我们早就不会再看这部剧了。看到，house在和cuddy#￥#@%之后，开始担心，我也开始了我自己的担心……            
(5星)	 海报太给力！还有，H你终于爱上她了！太好了！            
(4星)	 &#34;HOUSE~&#34;11越来越有爱了！16越来越严肃了...23 why not happy.....            
(4星)	 说实话这一季没有以前有水准╮(╯▽╰)╭ 我都没看追 后来看的 光追实习医生格蕾去了            
(4星)	 Party and Party Harder.            
(5星)	 看多了也就这样！            
(5星)	 有一点点审美疲劳，讨论病情时我已经不看字幕了，不是听得懂了，而是不care了            
(5星)	 先打五星再看！            
(4星)	 海报棒棒糖上的Love sucks还真的言中了。有很多高潮，豪斯大叔真不让人省心。希望下季和W大叔好好过。e16高峰了！你看谁说Life sucks~大叔在无乐可寻的时候还可以来个深水炸弹，值得我们这些忧郁小青年学习!            
(3星)	 成鸡肋了。。。            
(NA)	 life sucks            
(5星)	 很少有美剧越拍越好看的。。。            
(5星)	 难道只有我支持Huddy么？谁规定年纪大了就不能风花雪月的？我不喜欢腐，虽然Wilson真的很可爱- -0            
(NA)	 唉 第七季这个结局。。。我还是等第八季把            
(NA)	 从cuddy不续约开始我就在想这剧怎么办。现在我明白了。不是cuddy走。而有可能是大叔挪窝。好在莴苣还在。huddy不在至少还有w&amp;h            
(NA)	 弃            
(5星)	 愈加觉得House其实是个内心很脆弱的人，so wie ich            
(5星)	 前半季相当不给力。从HOUSE的闷骚换角开始，16集宣泄得相当嗨，22集压抑了一把，终集撞得好！豪斯大叔走在沙滩上，本季最帅，哈哈。            
(NA)	 大叔终于回来了！！！泪流满面！————一定要坚持看到最后，太HIGH了！哈哈哈哈！            
(4星)	 赶在第八季出来前看完了，两个作人……某几集还是很赞的~~可惜Cuddy走掉了T_T……不过还能在好妻子里面看到她-0-House快结束吧~~蜀黍可以开新剧了~哈哈~~            
(4星)	 huddy终于失败了╮(╯_╰)╭            
(3星)	 第一集无聊到不行...无爱大叔比较正常.对于他,真的,love sucks.            
(4星)	 第七季终于完结！            
(5星)	 2010.09.29第二集            
(5星)	 The End Is Near?            
(4星)	 超爱这个腹黑的大叔             
(3星)	 三星半吧，搅得这季有点微妙……            
(4星)	 你們還是分開吧。。。果然分开了。。。大叔也要走到尽头了么            
(NA)	 为什么，你还是不幸福的那一个。            
(5星)	 坐等第8季            
(4星)	 这季就是谈恋爱好甜蜜分手好痛苦的整体表现。甜蜜期的叔各种温顺表情表现，其实还是有些不能适应的。最后对院长说他很受伤的那幕看得人很心疼。结尾开车撞屋子那幕，我表示更爱叔，血性！爱憎分明！这才是我叔能做出来的，没有院长的下一季，完结也好，继续也好，我表示依旧期待。。。            
(4星)	 总体感觉上不如上一季。Thirteen回归那集很感人。            
(5星)	 医学少了，花边多了。各种花边，爱情友情还有比之前几季稍显肤浅的对人性的探讨。据说下一季wilson要走了，没有了老友的house，会变成更大的混乱么？但愿编剧不要江郎才尽，但愿House不会草草结尾。            
(5星)	 不想看什么Love story啊...（100926）从SE01开始复习一遍.            
(4星)	 no matter what you did, you are always forgivable.            
(5星)	 大爱的house大叔            
(3星)	 虽然很烦cuddy，但毕竟也七季了，要走真不舍得……最后那结局啊，唏嘘……第八季，弃还是不弃？？            
(4星)	 结尾好帅 (&gt;^ω^&lt;）            
(NA)	 哈哈，俺用了一个假期的时间终于从第一季跟到了第七季，过瘾。俺要再接再厉地痛恨并热爱这个渐渐老了的头儿。            
(4星)	 既然决定了就要不离不弃。            
(NA)	 没新意，不追了            
(5星)	 house said I love you, OMG            
(5星)	 补上            
(1星)	 弃！！！            
(5星)	 大叔还是那么悲摧孤独            
(5星)	 So now what...I feel nothing            
(5星)	 迷茫= =            
(5星)	 最后一集看得我惊心动魄啊~大叔你要是自己搞定了我就死心塌地了~            
(3星)	 Life is so sad？？？？？？            
(NA)	 Rachel 也太可爱了吧!!! e23太血腥了!            
(5星)	 最后一集……不好看            
(4星)	 more and more emotionally- and physically-damaged...vicious cycle...= = How much longer can you hold up?            
(4星)	 大叔是放下了吗？同情cuddy……            
(3星)	 这货还是HOUSE吗？HOUSE应该是损人但不害人的，现在的HOUSE和疯子何异？！下季CUDDY不在了总算让我有点继续追剧的动力            
(4星)	 纠结啊。            
(3星)	 第10集·弃。对新人无爱，Wilson和House你们之间有爱的互动都到哪里去了口胡            
(NA)	 终于在新一季开始前看完了，不过果断决定不跟新一季了            
(5星)	 期待大叔的下一季！！！            
(5星)	 听到从house口中说出“I feel hurt”，哭崩了T T            
(3星)	 S702蛮催泪的嘛            
(4星)	 CUDDY不要HOUSE了 我再也不相信爱情了            
(5星)	 依旧保持house的风格，怎么他和cuddy俩人总是那么纠结……            
(3星)	 看到了波士顿里老太太律师,几年不见她好象皮肤变嫩了2011.5.30-23(本季完)结尾豪斯面海的景色真美            
(3星)	 赶快完结吧，没什么好进展的了            
(4星)	 很好看            
(5星)	 豪斯大叔自己动手术真虐啊            
(4星)	 其实那个实习生还蛮好玩的。。走了可惜了。。。最后那一撞真TM爽。。。            
(5星)	 唉，Doctor 豪斯            
(5星)	 呃            
(3星)	 这是要走GA，GG路线了？= =这个年龄的主角们还要露肉。。受不了了。。。赶紧把我的腹黑怪大叔还来吧！还我大叔！还我门诊！还我病例！            
(5星)	 哇塞。。。第一集就是滚床单。。22集真把我吓坏了。23最后还真是house style啊。            
(4星)	 匍匐前进            
(5星)	 此剧已经不可阻挡的变成搅基片了。。。            
(5星)	 23END FOX 2010            
(5星)	 fox王牌剧            
(5星)	 又看到你的感觉真好。            
(5星)	 Huddy!            
(NA)	 其实后半段还是有以前House的样子，不过大结局是七季里最弱的。            
(5星)	 ！！！！！！！！！！！            
(5星)	 哎            
(5星)	 该拿什么拯救你。。大叔。。            
(4星)	 不变的午餐前周末伴侣。            
(4星)	 M一下,看到第10            
(5星)	 再见Cuddy            
(2星)	 为什么到最后总是滚床单。。。            
(5星)	 大叔这季柔情多了。疯子大叔最后把车开到了卡迪家里。            
(4星)	 5            
(3星)	 how to become a heartbreaking jerk from a jerk...            
(5星)	 不管怎样，品质都是有保证的，就是亮点多少的问题。            
(5星)	 这一季在人性和心理上比之前挖掘的都深多了。            
(5星)	 这季整体不行,有几集单拿出来还是很不错的,希望这是倒数第二季            
(5星)	 我要哭了...这辈子也许再没有哪部电视剧能像House一样让我痴迷至此了...也不可能再有哪个角色能像房子叔这样牵动我每根神经了...电视剧拍到这个份上基本就是极致了            
(NA)	 流氓携妻子归来            
(5星)	 编剧们强悍到把我这种huddy党生生掰成cuddy黑。收视率证明你们想颠覆这个剧六年来的根基的行为完全是自取其辱。好在下季大妈连续约都欠奉，可惜下季已是finale season.剧终前13你要不搞上小菜要不快去钓辣妹啊！Bi设定不要浪费了啊！            
(5星)	 永爱大叔~~            
(5星)	 大叔在第22集一刀封神！            
(5星)	 S723            
(5星)	 When will House end? How will House end?            
(4星)	 感觉不好继续了            
(5星)	 我要敬仰House的编剧！！太强大了。每到季末就虐心。。第七季特特特虐啊。。&#34;I feel hurt.&#34;哭死我了。。第八季快点来吧。            
(5星)	 charming怪大叔            
(5星)	 爱豪斯 爱生活。            
(4星)	 怎么改走温情路线了,fuck啊， 豪斯不神经病的话，这片子还有法看么...速度把cuddy甩了..            
(4星)	 大叔这个封面太痞了！好有爱！            
(5星)	 流氓大叔，看一集少一集了            
(5星)	 We are who we are.祝贺你完美度过七季之痒.虽经历短暂瓶颈,但依旧perfect！            
(5星)	 豪斯是我生活里最后的希望了。我把所有对于生活的幻想全都寄托在了豪斯身上。追到现在，每一集都可以让我轻易的哭出来。我是一个爱哭鬼，我是一个平庸的大傻逼，所以我才把希望和理想寄托在一个根本不存在的肥皂剧男主角身上。            
(4星)	 最后一集太水了            
(4星)	 在与Cuddy的关系里，House真像个多愁善感的小姑娘~            
(5星)	 How can you move on when I&#39;m still here?            
(5星)	 快点快点快点播出吧。。            
(4星)	 甜蜜的开端 心酸的结局 唉 房子大叔..            
(NA)	 不知所云，走向怪异啊……            
