http://movie.douban.com/subject/2154781/	流金岁月 流金歲月
(5星)	 有六颗星就好了~~！！我最爱的电视剧！！！有我最爱的捞家和萱萱做情侣，爱死了！对程天蓝这样的女人怎能不爱？！善本很好，就是好的没底线了，牺牲了天蓝……幸好天蓝对他一直有情，最后终于在一起了，很幸福，欣慰 羡慕~            
(5星)	 丁善本，让我想到我本善良。            
(4星)	 之所以给这么高的分是因为我觉得TVB很难再造出更好的家庭大剧了，风格转向家族式吵架。            
(3星)	 对罗嘉良改观的剧。            
(4星)	 主题曲好好听好好听好好听            
(5星)	 啊，又系我最爱噶组合之一～～　虽然捞家喺里面好似圣人，但就一Ｄ都唔觉得他黑人憎，点解呢～～            
(3星)	 Oscar不够奸，Ivan烂好人。            
(5星)	 想呕换罗嘉良            
(NA)	 Kiko &amp; Oscar！～峰怡经典！～            
(4星)	 一个完美的人，在现实中看不到，就让电视剧来弥补吧            
(5星)	 很好很强大            
(4星)	 兴许是我有私心，但是剧情创世纪没法比，感情上又不及刑侦...如果男猪脚是古天乐的话，我就不会这么说了吧....            
(5星)	 钦佩善本的为人，太过于perfect···            
(4星)	 经典也有谢幕时            
(5星)	 虐虐虐。            
(5星)	 我的神剧。宣萱完美演绎啊。            
(3星)	 小雨真可爱哇。            
(5星)	 必看            
(5星)	 有捞仔，有峰少，够了            
(5星)	 很温暖 喜欢那时的林峰            
(4星)	 林峰毁了这锅粥，换了宣萱会更好            
(4星)	 当年对Oscar不太感冒.....            
(4星)	 丁善本，完美男人的标本            
(NA)	 捞家在里面造型很帅啊，呵呵~~            
(5星)	 我已经不能再多爱罗嘉良一点了。啊哈哈哈哈哈~            
(5星)	 一部好好的港剧～            
(5星)	 重温一遍，好感动。            
(NA)	 很喜欢里面的男女主角的感情，天蓝和男主角很圆满的结局！   里面有个插曲好听            
(5星)	 看过3遍            
(5星)	 又重温了一下，大爱罗嘉良。在里面简直就是大好人            
(5星)	 好喜欢罗嘉良啊。。。太好看了。。。            
(4星)	 捞家不愧是捞家。            
(5星)	 怎么都觉得 他们太配了！            
(5星)	 关于丁善本的责任让我很纠结。            
(5星)	 香港的豪门片都拍得不错            
(NA)	 男人脸大才有正气，女人脸大方显大气，现在的TVB如同新生代演员的脸般，愈来愈小家子气。            
(5星)	 捞家啊！            
(5星)	 林峰好帅            
(4星)	 好，包子虽然也是主角，好歹补偿出生只有心声木有对白。。            
(4星)	 那颗守护星，那首好听的口哨            
(5星)	 善本少爷！！！rachel！！！            
(3星)	 我喜欢温兆伦啊。            
(4星)	 儒雅的罗嘉良和干练宣萱也是当年的绝配 里面竟然还有林峰 和 演弱智的胡杏儿 哈哈            
(4星)	 迷上林峰之后重温的东东，还不错~~~~~            
(4星)	 流金岁月，值得回忆            
(5星)	 当年哭到一塌糊涂~~叶璇和宣萱~~            
(5星)	 看看萱萱，看看罗嘉良，看看这个年代的tvb，这才叫香港影视，这才叫演技，多棒啊！！真好看~~~~~~~~            
(NA)	 所谓经典即是魂牵梦绕。            
(4星)	 ~\(≧▽≦)/~            
(5星)	 老觉得这是TVB最后一部饱满的家族片了~~            
(5星)	 超级好看            
(3星)	 很久之前看的了，很TVB阿            
(4星)	 宣萱当年美呆。。            
(5星)	 捞家            
(4星)	 经典的勾心斗角            
(5星)	 其实打动我的，不止爱情            
(4星)	 首先要说的是胡杏儿，出演弱智，佩服佩服，不过演技真不错。还有林峰，那时他真黑，真朴实。            
(4星)	 丁善本会不会太善良啦~            
(5星)	 很棒的剧集。。。            
(5星)	 小雨和Oscar木有对手戏...            
(5星)	 从此之后，TVB开始走向下坡路            
(5星)	 经典，保准让你看个过瘾。少爷当时的演技就不错啦！            
(4星)	 追忆            
(5星)	 绝对经典            
(5星)	 澳洲的阳光下Rachel第一次碰见了Ivan..            
(5星)	 善本是个永远把亲情，责任，道义放在第一位的人，为了责任可以牺牲自己的生命和爱情～世界上真的有这么好的男人吗？看过流金岁月不爱上罗嘉良真的很难呀～～            
(5星)	 超好看啊            
(5星)	 心水宣萱和捞家 很经典 男2温兆伦也让我有了深刻印象不过少爷的Ossca...无爱啊...            
(5星)	 饭 罗嘉良和萱萱的组合~            
(3星)	 里面的罗嘉良很好，，安            
(5星)	 最近几年才看的片子 和罗大头的合作已达到炉火纯青 看他们在澳洲那轻松休闲自然洒脱的金色恋爱 尊是憧憬啊 和温SIR也是二度合作了 很喜欢Rachel的性格哦 长发的宣萱2002年的美丽多了不少成熟气质             
(4星)	 温Sir，若干年后，你成为了罗嘉良的弟弟，并且还是男配。。。            
(5星)	 罗嘉良和宣萱的对手戏真是炉火纯青！            
(4星)	 我的林峰的青葱岁月~不喜欢温兆伦~            
(5星)	 原来林峰都这么久了            
(5星)	 无可比拟的最爱的港剧100星            
(4星)	 结局不是我的菜            
(5星)	 这部戏捞家太完美了            
(5星)	 少有的这么长的集数还吸引我的港剧！            
(5星)	 超经典。。            
(NA)	 Kiko和Oscar，我亲爱的风衣。            
(5星)	 看了很多遍 还是不厌            
(4星)	 当时觉得Oscar真是丑            
(4星)	 胡杏儿的弱智妹演得不错~            
(4星)	 大爱宣萱            
(4星)	 唉，这个虽然不是最喜欢的tvb港剧，但是大一的特别记忆。那会儿校区2宿的楼道看的，因为晚上楼道的电视闭闸，我和比我还爱港剧的某女，胆大包天的拔了楼道应急灯的插座，然后用接线板联上电视来看的~我们看剧的时候别人都在宿舍看书，所以看的时候很爽，看完之后又有写负疚感~            
(3星)	 好早好早            
(5星)	 结局 不理想            
(5星)	 虽然捞家里面是圣父 但是我喜欢这个圣父 ~ 还有宣萱 这剧的罗宣配太萌的了~            
(5星)	 做个像善本一样的男人必然是传奇但又必然太辛苦            
(3星)	 好的就是那段經典的配樂以及演員陣容。不喜歡劇情，不喜歡太不真實的丁善本~            
(5星)	 唠家 啊             
(4星)	 只记得罗嘉良好的不行了            
(5星)	 为数实在是少的喜欢的港剧之一。            
(4星)	 罗嘉良演的完美男人，我我我。。。把持住！            
(3星)	 忽略里面的奥斯卡            
(5星)	 看天真的粉碎，又残酷，又美丽……            
(4星)	 因为这部剧喜欢上&lt;&lt;I&#39;ll be your shelter&gt;&gt;那首歌...            
(1星)	 我各应这部戏            
(4星)	 tvb家族长剧~~            
(NA)	 很喜欢作品名～～～～            
(5星)	 总是怀念那一段。流金岁月。            
(5星)	 经典！            
(5星)	 可能是小温同学演过太多大坏蛋了吧！~连带这部戏中也总怀疑他是坏的...            
(5星)	 天啊！！！经典            
(NA)	 纠结剧= =丁善本&amp;丁善行之斗，我当年ms是中意温sir的            
(4星)	       heihei            
(5星)	 不得不说真的很爱丁善本，很爱罗嘉良啊            
(4星)	 好看            
(5星)	 当初看这部剧后疯狂迷恋捞家好一阵子。温Sir在剧中的警察造型也很酷的说。            
(4星)	 太揪心了看了一半看不下去            
(5星)	 宣萱很灵~            
(5星)	 好喜欢那个色调            
(4星)	 罗嘉良~            
(NA)	 永远的爱啊~！~！这部戏中捞家和峰少爷后面的飙戏，还有感情纠葛实在回味无穷呐~~            
(4星)	 喜欢！不过是几年前看过的，不知现在重温是什么样的感觉            
(5星)	 罗嘉良～～            
(NA)	 其實不是太喜歡羅嘉良，但是不可否認他的演技            
(NA)	 喜欢罗嘉良！            
(4星)	 喜欢温兆伦和叶璇的角色！            
(5星)	 世间难求丁善本            
(4星)	 经典~            
(3星)	 温sir始终那么粉嫩            
(5星)	 除了有些剧情稍显拖沓，找不出不推荐的理由            
(4星)	 为丁善本着急，为程天蓝可惜，好在最后有情人终成眷属了。。。            
(2星)	 看着罗嘉良就烦            
(4星)	 经典啊，善本从头到尾都是个大好人，为了自己弟弟还放弃自己的爱情，幸好结局是完美的            
(4星)	 大戏！每个明星都喜欢。            
(4星)	 善本好的有点让人心疼，但是这些有情有意的人最大的一个弱点就是不把自己的感情放在第一位，不只不是第一，基本是最后            
(3星)	 如果不对比原作品，这个还是不错的。            
(NA)	 罗嘉良很man            
(4星)	 演员都挺喜欢的，8错            
(3星)	 Oscar可不可以不这么傻            
(5星)	 喜欢完美爱情、精彩人生的你，赶紧来看流金岁月，你绝对能找到你喜欢的讨厌的，祝你愉快！力荐5星  宣萱罗嘉良最经典绝配！            
(3星)	 家族戏早就不该是TVB的主流了。            
(5星)	 经典啊~~我都不知道重温了多少次了~~            
(5星)	 罗嘉良就是有质量            
(5星)	 tvb经典            
(4星)	 单纯喜欢宣萱！~            
(4星)	 杏儿表现出彩            
(3星)	 小雨的戏份好少哦~            
(5星)	 喜欢林峰和余诗曼            
(4星)	 不知为何，一直很钟爱这部片。            
(5星)	 好片子，男女主角都喜欢。萱萱好知性。            
(5星)	 当年的大爱！！！！！特爱天蓝与善本~~~也因此更爱JESSICA了            
(NA)	 喜欢~            
(5星)	 很不错的一部电视剧...            
(NA)	 Oscar~            
(NA)	 程天蓝哟            
(5星)	 天蓝，蓝天            
(5星)	 完美的男人却并非完美情人，完美男人背负了太多责任，要守护的太多以致于不能守护深爱的女子，爱他的女子可能转身成全他的忠义；爱她的女子也可能会说“从今天起他的一切由我守护”。            
(4星)	 当年一个晚上看完的，因为还蛮喜欢，没舍得看结局            
(4星)	 严重质疑有像男主角那么好的男人吗……？那个取名TEMPTATION的甜品是不是就是港丽中的蜂蜜厚多士？            
(5星)	 撈家很MAN             
(5星)	 大爱这部戏！            
(3星)	 温sir老了            
(3星)	 实在是不喜欢主角太圣母，sigh～            
(3星)	 只是觉得萱萱很漂亮。            
(5星)	 喜欢罗嘉良~~~~~~~~~~~~~~~~~~~不过剧中的这个人物角色也有我不喜欢之处~~            
(5星)	 经典的片子，林峰在里面是崭露头角，Oscar这个角色的矛盾饰演得相当到位，以一位初出茅庐的新演员来讲的话。            
(NA)	 有BEN这样的做哥哥真的是没话说!            
(5星)	 一向对这样的TVB大戏都是大爱的记得温兆伦的发型            
(4星)	 人挺帅的！喜欢宣萱和罗嘉良，当然还有林峰！            
(5星)	 一直觉得，捞家便是为丁善本这样的角色而生的。唯一喜欢胡杏儿的戏，庭审那段看得好心痛。喜欢阿璇的小雨，结局也许是为了免俗没和康SIR在一起，其实我宁愿俗，真的。            
(5星)	 吼吼．这部片真的是我的钟爱阿．！不忍割舍阿．！一遍又一遍的看．里面．每个人物都有特点．好喜欢．真的是从这部片．爱上了里面每个人物．除了温兆伦．呵呵！            
(5星)	 我是很喜欢这部……            
(4星)	 一个关于养子的故事。。。            
(5星)	 宣萱 罗嘉良            
(4星)	 近些年印象比较深刻的TVB剧,尤其对罗家良.            
(5星)	 不愧为最好的TVB经典之作，羡慕善本与天蓝的爱情            
(3星)	 初中时追的~~终于知道为什么我学习。。。唉。。。哈哈哈~~            
(5星)	 兄弟恩怨，家庭情仇~别忘了，还有女人~            
(4星)	 挺感人的            
(4星)	 再共我回忆中约定。            
(4星)	 丁善本的光輝過於耀眼了，但是還算蠻好看的。            
(4星)	 其實溫兆倫和宣萱在一起那一段是有些囧的            
(5星)	 值得再看,什么都好,音乐很棒            
(4星)	 每次只挑最后一集出来看，但是每次我都会被IQ题的那一段告白感动到热泪盈眶~~~            
(4星)	 比不上 创世纪             
(5星)	 依然记得出现了三次的台词，幸福不是必然。            
(NA)	 超级喜欢罗嘉良和萱萱 更喜欢这样的故事情节 这样的剧情            
(4星)	 |821:1092|            
(4星)	 林峰～～～            
(4星)	 OSCAR版峰，发型有点小雷！            
(4星)	 罗嘉良啊！！！            
(4星)	 男主角太善良太完美了，太不现实了。。。不过整部剧还是挺温馨的，温兆伦很可爱呀            
(5星)	 完美的童话～            
(NA)	 我的最爱！            
(NA)	 我爱丁善本的宠辱不惊。。。。。            
(5星)	 罗嘉良             
(5星)	 罗嘉良和宣萱的经典组合．            
(4星)	 不得不说林峰在里面又傻又蠢            
(5星)	 编剧欧冠英着实厉害，貌似编了很多好的东西。            
(5星)	 看过无数的港剧，始终最喜欢这部，喜欢里面正义的男女主角，还有艾威饰演的那个聪明搞笑的角色            
(3星)	 宣萱还是美啊~罗嘉良发福了~温兆伦老了~            
(4星)	 为什么要背负这么多            
(5星)	 警察，律师和商人            
(3星)	 就是有点磨叽            
(NA)	 这种男人做朋友最好            
(NA)	 罗嘉良所塑造的丁善本这个形象，一直以来都是我心目中好男人的典范（我不是gay）            
(5星)	 那个时候的TVB 一去不复返啊~             
(NA)	 流金岁月            
(NA)	 喜歡主題曲            
(5星)	 好睇            
(4星)	 很早之前就看过了。那时候是福建一套黄金18点的时候在播，貌似记得，那时候晚上还要夜自习，都是急急忙忙看完，然后匆匆忙忙去上夜自习。哈哈。。。。现在重新看下。。。复习复习。咳！读书都不见得我那么积极。。。（终于把，这45集的电视看完了，不过对我来说45集也算不得什么。突然发现里面好多跑龙套，现在都红得发紫了！）            
(5星)	 终于完整的看了...又哭了~~            
(5星)	 前半部浪漫 后半部矛盾激化紧张港剧真的很现实，勾心斗角太多这样也好 让我们从梦幻中脱离吧成熟的男人身上的担子太重幼稚的男人又不懂利弊和辨析善恶成熟的女人相信感觉和等待的勇气人总是要在跌倒后，才学会走路。这是成长必经的阶段。放手，只是为了他自己更好的走前            
(5星)	 看这部还有点喜欢温兆伦的            
(NA)	 完美            
(5星)	 善良是一切的根本～            
(5星)	 我最喜欢的一部罗嘉良的剧了。。            
(5星)	 纠结！！！            
(4星)	 溫Sir很囧             
(NA)	 action            
(5星)	 喜欢善本的稳重，喜欢天蓝的执著，喜欢小雨的率性，喜欢守康的随性，连那个傻傻的小妹都喜欢             
(4星)	 喜欢罗嘉良~~~发现他好人坏人都能演的……            
(4星)	 TVB果然出过不少好剧，罗嘉良演的很不错啊。            
(NA)	 深明大义钟守康 手足情亦长 两相认 亲             
(NA)	 经典TVB            
(4星)	 同事下班天天看，我受影响也看了。很不错，虽然是老套的情人矛盾、兄弟矛盾之类的呵呵。宣萱最后一集笑得很可爱            
(5星)	 超好看~~~            
(5星)	 林峰太黑了            
(3星)	 罗嘉良真的很幸运，要么坏就彻底的痞子恨，极端的最大好处是坏人博得喜爱的程度和深度往往深到难以忘怀要是好人就都是仗义大哥，最后又实业无敌成功最为好人有好报的有力保证，干大事的人物            
(5星)	 捞家的家族大戏，54某峰..            
(NA)	 各花旦小生开始冒头。。            
(3星)	 一般吧，也就。不是特别喜欢罗嘉良。            
(5星)	 岁月流金，善本本善            
(4星)	 维护两个憎恨他的弟弟是他的责任所在；维护一个深爱他的女人是他的义之所在，却为此而伤害了一个他深爱的女人。            
(5星)	 饱满            
(NA)	 神圣的丁善本            
(5星)	 Oscar~~            
(4星)	 很不错            
(5星)	 喜欢宣萱演的陈天蓝~反而比较喜欢里面的温兆伦，而不是罗嘉良            
(5星)	 很爱看的TVB电视剧            
(4星)	 罗嘉良的口哨~呵呵~最后很喜欢~            
(4星)	 少数喜欢的罗嘉良的片子，更爱宣萱            
(3星)	 全是捞家一个人的表演，忍辱负重，顾全大局，简直就是完人......            
(5星)	 叶璇的戏份太少了，喜欢林峰哈            
(4星)	 配乐中有段经典的口哨声，一直怀念……            
(NA)	 love best            
(NA)	 怀念以前的大制作...初出茅庐的峰            
(4星)	 TVB这种大戏，总是很好看。            
(5星)	 经典            
(4星)	 这部剧会让我想起很多不愉快的事。不过就他本身是好片撒~            
(NA)	 看了剧情简洁才发现原来看过,只不过看的不多，可能罗家良也不足够吸引我吧            
(4星)	 需要耐心            
(NA)	 超级喜欢！！！            
(5星)	 口哨声很好听            
(4星)	 演员也蛮多的，剧情也不错。            
(4星)	 i like the theme song:歲月的童話            
(NA)	 爱乌及乌            
(NA)	  宣萱  宣萱  宣萱 罗嘉良 罗嘉良 罗嘉良             
(4星)	 大概很多人都不记得里面有叶璇吧！！            
(5星)	 经典            
(NA)	 歌曲很不错~            
(4星)	 爱死罗嘉良了！            
(5星)	 我最喜欢的电视剧！            
(NA)	 细水流长的爱情。捞家永恒的感动            
(4星)	 她们俩也未免长得太像了。。。。。宣萱还是演一些理性智慧的角色比较对路            
(5星)	 简简单单喜欢那样的感觉那样去爱            
(5星)	 从这里开始爱上罗嘉良和宣萱,喜欢上胡杏儿            
(5星)	 ，            
(5星)	 岁末年初之时,我再次重温了这部经典,一切都是注定的么?还记得N年前我第一次看&#34;流金岁月&#34;,就爱上了澳洲...            
(4星)	 特别喜欢片子的主题曲            
(5星)	 喜欢```罗嘉良，歌很好听```            
(NA)	 特喜欢善本，很爷们            
(4星)	 捞家 GOOD!            
(3星)	 虽然也很经典，但我觉得麻麻地            
(NA)	 宣萱的职业套装，给人感觉神清气爽，干练            
(3星)	 快进扫完了，第一次看粤语原声剧            
(5星)	 很好            
(4星)	 [大学] 经典长片 这之后很久没有好的长片了            
