http://movie.douban.com/subject/2156723/	顺风妇产科 순풍 산부인과
(3星)	 也没什么印象了……跟着姐姐看的~            
(5星)	 笑死我了哈哈哈哈            
(4星)	 噗噗噗~~~            
(4星)	 陪伴了我那么多年的情景喜剧啊。。            
(5星)	 从这里认识韩国美女 韩版《我爱我家》            
(4星)	 以前下课回家的挚爱，长大了发现两女儿都是大牌！            
(5星)	 没看全 这可是我看的第一部韩剧啊 怀念 不知道那俩孩子 美达和易璨 现在长成什么样了 真是太可爱的一家子了            
(4星)	 我很很很不喜欢美达。            
(3星)	 无厘头            
(NA)	 搞笑~            
(NA)	 太好看了，我喜欢            
(5星)	 這 這 這 都有十幾年了？            
(5星)	 唯一能看的韩剧            
(5星)	 看几次都不腻            
(5星)	 很可爱的韩国情景喜剧，还有美女全素妍宋慧乔            
(5星)	 哈哈哈            
(4星)	 蛮搞笑的            
(3星)	 那小女孩把我乐死了。。            
(5星)	 青涩的小宋~超级搞笑剧            
(5星)	 妈妈您在煮的是参鸡汤吧。。。            
(5星)	 韩剧入门教材            
(5星)	 非常非常非常搞笑~　　上学时候的有爱啊            
(5星)	 绝对经典            
(5星)	 当年看的笑得眼泪流··            
(5星)	 大爱            
(5星)	 最喜欢的家庭情景剧。角色构架的很丰满，有自己的闪光点、爆笑点。童年生活的美好回忆。            
(5星)	 經濟危機時期，跟白英奎學英語的白英奎            
(5星)	 好久以前的了。不过真的是相当的搞笑的说啊。            
(5星)	 啊哈哈哈 我小时候的最爱 白美达太可爱了、            
(4星)	 该片是韩国极受欢迎的家庭喜剧。以院长吴志明的家人与亲邻之间的日常生活里，用快节奏的喜剧方式来描述家庭及人际关系的重要性，韩国喜剧之王吴志明先生与一流演员们将带电视观众进入笑破肚子的喜剧世界，本剧用六位喜剧作家轮流写稿而消除了喜剧片到后来故事换汤不换药的缺点。初中看的，挺好笑的            
(5星)	 搞笑中绝对的经典            
(5星)	 有趣，简直是爆笑            
(3星)	 有点傻傻的~            
(NA)	 好好好            
(NA)	 这应该是在中国看到的宋慧乔最早的片子～～75            
(5星)	 太逗了！            
(3星)	 打发时间~            
(4星)	 相当好笑的喜剧，有年头了            
(5星)	 最喜欢的韩剧。没有之一。            
(4星)	 差点忘了这电视剧了，灰常搞笑~~当时看电视粤语版的~            
(3星)	 儿时回忆            
(4星)	 很搞笑的一家人            
(5星)	 谁说不好笑没意思的的的的的的的...            
(5星)	 当你的一家人。如今的大牌们            
(4星)	 可爱，有趣！            
(NA)	 大叔什么的最有爱了            
(3星)	 小学每次吃晚饭时。。            
(5星)	 爱打屁的爸爸...哈哈哈            
(5星)	 搞笑的不得了            
(5星)	 笑死了            
(5星)	 太搞笑了            
(5星)	 1998年-2000年            
(4星)	 小時候很愛看耶!            
(3星)	 金喜善            
(4星)	 小时候的美达和依灿，五中叔叔，惠娇阿姨···天啊我还记得他们~            
(4星)	 好抵死            
(4星)	 小的时候第一次接触到的情景喜剧，嗯现在想想其实很温馨的感觉。还记得美达总是欺负意灿，还记得我很喜欢五忠叔叔和素绢姨，嘿嘿。。。还是很不错的哦~~~~            
(3星)	 觉得韩剧比较搞笑得就它了，其他都要死要活的，看的时候还是看atv的配音版~            
(5星)	 中学时第一次体会到情景喜剧里的个性鲜明            
(5星)	 忒搞笑了。。            
(5星)	 全家都好搞笑！            
(5星)	 记忆犹新，曾经一边吃饭一边看            
(5星)	 不看，此生有憾~            
(4星)	 超级搞笑，搞笑一家人前的名剧吧！！            
(5星)	 看到有乔妹，我就激动了            
(5星)	 还是忍不住笑            
(5星)	 笑死人了            
(5星)	 最爱素妍姐姐            
(5星)	 哈哈哈，曾经放学回家必看的            
(4星)	 囧囧有乐            
(5星)	 小时候笑抽了，好不好、            
(5星)	 童年最爱看            
(5星)	 非常搞笑的一部韩剧,轻松捧腹,演员表演都非常到位,令人难忘            
(5星)	 儿时的爱             
(5星)	 好好笑的            
(5星)	 the Best Asian Comedy Ever &lt;3            
(5星)	 优秀的情景喜剧还真是不分国界的            
(NA)	 這個太搞了。。。            
(3星)	 记得里面有宋慧乔～            
(NA)	 里面每个人都很搞笑好片            
(4星)	 好搞笑的            
(5星)	 很难得的一部棒子戏这么好看...挺怀念的            
(5星)	 顺风顺风顺风耶~            
(5星)	 不管看多少遍还是那么好看~            
(5星)	 童年回忆            
(3星)	 那时的乔妹肉到不行呢~            
(5星)	 好吧~~可爱的两个小盆友            
(5星)	 小时候最爱看的情景剧！也是目前为止我唯一一部觉得好的韩剧……当时各大电视台反复重播，自己也因此看了无数遍，每次都有新的笑点。            
(4星)	 还记得以前那个胖乎乎的宋慧乔吗？            
(5星)	 看了多少遍都还是会爆笑            
(5星)	 白英奎            
(4星)	 还记得小时候吃饭故意吃很慢。就为了看这个.            
(5星)	 个孙女最扑街!            
(5星)	 那个韩流当道的时代里，我爱看的韩剧之一，美达太好笑了            
(4星)	 真哒不好笑哈哈哈哈哈哈            
(5星)	 爆笑= =阿哈哈 美达与意灿~~            
(4星)	 太逗了            
(4星)	 当年还在上小学……            
(5星)	 好笑，比国内的情景喜剧有意思，特别是那两个小孩子            
(4星)	 曾经最爱的情景喜剧，可恶的小美达总是欺负内心深爱着的小一灿。可是现在回想觉得小美达实在的爱实在很强大，冷笑话中小白兔的做派，简直了~            
(5星)	 里面有ses            
(5星)	 这辈子看过最好笑的情景剧（没有之一)            
(NA)	 小时候看过的.....当时就觉得宋慧乔漂亮            
(4星)	 到现在还记得他们的口号“顺风，顺风，顺风，耶~”            
(4星)	 这是回忆不是电视剧            
(5星)	 多年了真经典。            
(5星)	 小时候看着特乐呵了= =            
(NA)	 我给我家猫起名叫美达、义灿...            
(4星)	 经典啊            
(5星)	 嘲的            
(5星)	 中考的时候看的，和夏娃的诱惑同时间看的~~依旧是为了看金素妍！顺风妇产科里的素美艳绝伦还很搞笑，少了些夏娃的诱惑里的冷~~            
(5星)	 高三时还好有它的陪伴~            
(5星)	 白美达！白英奎！WOW~~~            
(5星)	 我记得白英奎的屁 美达打意灿 意灿他爸爱素绢  还有噜....            
(5星)	 呵呵！是中学时看的，我姐还没出嫁呢，一起看的额            
(4星)	 不过情景喜剧还是美国厉害阿.            
(5星)	 哈哈哈            
(NA)	 哎呦~我的初三啊~熬夜看完笑的那个抽啊！今天回家去下载！            
(4星)	 韩国家庭情景喜剧。非常可爱，十分搞笑。一度让我找回了一回到家就守在电视机前等着看电视剧的感觉。            
(5星)	 好好笑的，小时候就期待看这个，可惜好像没有可那完整。            
(5星)	 貌似是我看过的第一个韩剧。。。            
(5星)	 很搞笑            
(5星)	 很早看的搞死人的情景喜剧。            
(5星)	 多年之前曾经在电视出现的一部 只是因为个人偏见没看 多年之后才发现它的可爱之处 只是一直都没记得结局是什么             
(4星)	 美达和义灿，吼吼            
(5星)	 晚饭时间档             
(4星)	 没看过会很遗憾哦，不过现在都变老片子了            
(5星)	 爆笑啊            
(5星)	 朴英奎你陪我度過多少歡樂的時光呀！            
(4星)	 很早前有个男同学问过我：你说还有比顺风里的两个美女更漂亮的人么？            
(5星)	 好吧。。不得不承认这部棒子剧确实拍得不错            
(4星)	 85分            
(NA)	 就算餓死也絕不能窩在岳家 若非住不可 至少要知道便秘怎麼拼            
(5星)	 最爱最爱！！！！！！！！！！！！            
(4星)	 早期的韩剧还是很不错的            
(5星)	 两个亮点~            
(5星)	 顺风 顺风 顺风 耶！            
(5星)	 唉迈逗。。。。金素妍~~~            
(5星)	 经典之作哟～搞笑搞笑超搞笑~            
(4星)	 那俩小孩也该不小了            
(5星)	 真的搜不鳥~美達這壞孩子 意燦這倒楣孩子..哈哈哈哈哈！真的好好笑！            
(NA)	 很想吃里面的炸酱面…            
(4星)	 很搞笑，特别是前面部分            
(5星)	 最早接触的韩国情景喜剧，回忆太美好了，现在回想全是欢乐的画面。记得是一家子一起看的，也记住了很多演员，比如现在如日中天的金素妍和宋慧乔。            
(5星)	 看的笑翻了...            
(5星)	 好看,,哈哈,,以前每天早上7点多会放,,可以看2集然后再去读书,,真的很搞笑            
(5星)	 幽默的启示            
(4星)	 算韩国情景剧的经典之作            
(5星)	 记忆中的最搞笑~            
(5星)	 确实是很好的家庭喜剧            
(5星)	 看完就明白“笑抽”是什么概念了            
(4星)	 荒诞之中见真情            
(5星)	 经典！            
(5星)	 巨无敌搞笑···但是已经是一部老片了···每次心情不好，就找出来看，一如既往的喜欢金素妍···            
(5星)	 周末晚饭时间，热闹的人一起看热闹的剧            
(4星)	 唯一喜欢的棒子剧。。。            
(5星)	 太好看了。。至今忘怀不了！            
(5星)	 great fun!            
(NA)	 比较老的片子了，当年还是被笑得不行，喜欢宋MM            
(5星)	 那个窝囊的英奎…他傻傻的女儿美达和她的小男友义灿…还有那家漂亮的二女儿和可爱的小女儿(乔演的)。            
(NA)	 搞笑的！！            
(5星)	 它不是经典是什么！            
(5星)	 经典            
(4星)	 搞笑啊 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(NA)	 来加拿大暑假消磨了日子            
(5星)	 译灿 和 美达  哈哈~我喜欢美达~~好像大连黑石礁到星海那边有个招牌上写的美达什么什么  每次走那我都乐             
(4星)	 挺好看的，就是太长，没看全            
(5星)	 搞笑            
(5星)	 童年美好回憶之一            
(5星)	 好怀念啊~            
(5星)	 虽然看的不是很多。但是蛮搞笑的。每次搁到就会看。            
(4星)	 超级搞笑  我心中仅存之一的比较喜欢的韩剧            
(3星)	 看过一点没看全            
(4星)	 初三时每星期的唯一消遣            
(5星)	 神作，哈哈。            
(4星)	 看后绝对会爆笑。。。            
(4星)	 记忆中第一次看到宋慧乔。。            
(NA)	 呀！美达！            
(2星)	 傻逼电视剧            
(5星)	 经典            
(5星)	 不用说了堪称经典~            
(5星)	 笑得我捧腹啊            
(4星)	 有几集笑死我咧            
(5星)	 陪伴我走过高三，经典啊。            
(5星)	 一直没看过全的~很遗憾            
(4星)	 unforgettable            
(3星)	 金素妍-嗲，还有可爱的桥妹            
(4星)	 逗死。            
(5星)	 非常有趣的喜剧~            
(5星)	 老少皆宜。            
(5星)	 大爱大爱 轻松 喜欢美达···            
(4星)	 我跟你说这剧可美了！我从小看到大呢！            
(3星)	 相当无厘头...            
(NA)	 那个时候的宋慧乔真得是相当可爱~            
(5星)	 超级棒的家庭喜剧。o(∩_∩)o            
(5星)	 笑到抽筋            
(4星)	 无聊时，用来打发时间的肥皂剧，不过，其实还是挺有意思滴~~~~那时的宋慧乔还是丑妞一个~~最喜欢里面的金素妍~            
(3星)	 高三放学回家老妈总是在看            
(4星)	 小时候特爱看~~看过的第一个韩国电视剧~~很怀念~~            
(4星)	 搞逗，小时候竟看它了            
(4星)	 小时候的愉快记忆。            
(5星)	 真是很经典的家庭喜剧，太逗了.            
(5星)	 第一次接触到韩国情景喜剧，太好玩了！            
(NA)	 一点也不好笑            
(5星)	 啊哈哈哈哈            
(4星)	 果然还是适合看这种韩剧啊。            
(NA)	 韩式戏剧 别有番滋味~~            
(5星)	 难忘的笑声里的回忆            
(5星)	 好欢乐            
(4星)	 很有趣但是……太早期的剧，妆有点看不下去……            
(5星)	 每个人都好真实啊。可爱的小男生，傲气调皮的女孩儿，窝囊的女婿，要面子的院长O(∩_∩)O哈哈~            
(5星)	 同《成长的烦恼》一样百看不厌            
(NA)	 超级搞笑、德            
(5星)	 搓火的一家子            
(4星)	 不知道依灿和美达最后能不能结婚。。。            
(4星)	 很早之前的情景喜剧哈            
(5星)	 这个好笑!不过就是不知道韩语的怎么样,可能那更好笑,我看的时候是粤语的            
(4星)	 顺风顺风顺风            
(4星)	 这里的宋慧乔不好看啊            
(NA)	 挖。慧娟很美。还有一个叫泉五中啊。            
(5星)	 真人名字，很搞笑            
(3星)	 可能是国情差异，并不觉得有多好笑。            
(3星)	 真的还是很搞笑。。。            
(4星)	 呆呆一家人，哈哈            
(4星)	 搞笑绝对搞笑~            
(3星)	 搞笑            
(3星)	 真够老的            
(NA)	 顺风，加油，加油.            
(5星)	 之搞笑！！            
(2星)	 纯扯 不过可以看看美女的年轻时            
(3星)	 断断续续看过一些，早期的情景喜剧，偶尔有不错的段子，但是对于现在的大多数人应该吸引不大，虽然有未出名时的宋慧乔，可是，不看也罢，不然落差太大。。。            
(5星)	 无敌经典            
(5星)	 断断续续地看过            
(4星)	 搞笑一家人^ ^            
(5星)	 绝对的经典。            
(4星)	 顺风妇产科             
(NA)	 哈哈哈哈~···初中高中都在看            
(5星)	 小學畢業班的記憶            
(5星)	 i love it            
(5星)	 这本是电视机里看的，那个时候还没电脑呢，只记得是傍晚的五点多开始放的，一吃完饭就等候了。剧里还有宋慧乔呢，那个时候的她还没这么出名呢。            
(5星)	 哈哈~搞笑哦·~            
(5星)	 搞笑哇哈哈···            
(4星)	     喜欢里面的那两个小孩。小女孩一生气就揪那个小男孩的领结。            
(3星)	 觉得女婿很可怜            
(NA)	 好搞笑哦            
(5星)	 实在太搞笑了            
(5星)	 可爱的美达..好玩儿的一灿...            
(4星)	 虽然片很老了，但有时间的时候看看还是不错的            
(5星)	 家庭喜剧            
(4星)	 搞笑指数还是比较高的，里面的宋慧乔又矮又胖            
(NA)	 美达，我可爱的美达            
(5星)	 经典韩国喜剧片,很有意思.            
(NA)	 搞笑得一米            
(NA)	 太搞了            
(5星)	 看过几集，一直没有机会看完。            
(5星)	 顺风顺风顺风耶            
(4星)	 个人看的最早的一部韩国情景喜剧            
(NA)	 long long ago......            
