http://movie.douban.com/subject/2229479/	穿越时空的爱恋
(4星)	 最早的穿越剧啊！！            
(5星)	 小玩纸～～～～～            
(4星)	 自从还珠火了以后，就老爱拍清朝的戏，现在的穿越剧也不能免俗，都是辫子，难看死了；早在10年前，就看过穿越剧，看看明朝，飘逸的发型，飘飞的衣袂，这才符合老祖宗的形象和审美嘛。能在史实和喜剧间寻找到平衡点的穿越剧还真是不多            
(3星)	 第一部穿越剧~大酒窝美女            
(4星)	 这才是穿越剧的奶奶            
(3星)	 穿越剧始祖            
(NA)	 爱死了的片子&gt;&lt;            
(3星)	 比较脑残。。不过毕竟还是童年的一部分回忆。。咩            
(4星)	 想吃烤鴨            
(3星)	 我看的第一个穿越剧            
(5星)	 这才是穿越剧的鼻祖。            
(4星)	 他们到底有没有在一起啊？            
(4星)	 穿越的经典开山之作            
(3星)	 心中的穿越电视剧鼻祖。            
(4星)	 就让你走。太多。            
(5星)	 其实那时候更喜欢看朱棣和柳如眉那段，哈哈            
(5星)	 超喜欢张庭            
(4星)	None
(4星)	 很早很早的穿越剧==剧情一般==演员很喜欢            
(NA)	 真 的 很 好            
(4星)	 哈哈哈哈哈哈哈哈哈            
(3星)	 穿越的祖师爷            
(5星)	 虽然近来穿越剧开遍满地，但是依然觉得不如此。            
(5星)	 印象中是我看的第一部穿越片，看的很欢乐，很喜欢小丸子，完胜现在一众穿越片女主不矫情很聪明，和徐铮很配，最主要的是讲明朝的，讨厌死辫子戏了            
(3星)	 那时堂弟很喜欢 我觉得一般            
(NA)	 看的第一部穿越剧啊！！            
(NA)	 三星。            
(4星)	 这才是始祖嘛            
(4星)	 那时我喜欢朱棣来着。。            
(5星)	 原来看我过这么多电视剧——可喜欢张庭了~~~            
(5星)	 小玩子和允炆...            
(4星)	 那时候还是骗取了不少眼泪。。。。            
(4星)	 绝对是穿越的早期教育            
(4星)	 最好穿越剧            
(4星)	 最早的经典穿越片.            
(3星)	 看的第一部中国古装穿越剧            
(NA)	 小時候的記憶啊。。             
(4星)	 我看的第一部穿越剧啊！！！每天守在电视前等着啊！！！！小玩子小蚊子什么的。。记忆犹新            
(4星)	 这是穿越剧的老前辈啊            
(4星)	 那时候 穿越的题材还很新鲜            
(5星)	 我看过的第一部穿越剧            
(4星)	 穿越剧鼻祖阿。            
(5星)	 穿越开烤鸭店！最后抱着死在怀里，他叔叔来烧了篡位的时候            
(2星)	 太憨了            
(5星)	 仙仙郡主~            
(NA)	 看到穿越电影想起的，很久远了啊            
(NA)	 应该是大陆第一部穿越剧吧。            
(5星)	 穿越剧的鼻祖            
(5星)	 给他5星不仅仅是因为我个人的感情，10年了，能让我想回味重新看一遍的片子不多，看完了还是觉得是部好片。万弘杰的朱棣可以演得让我由爱生狠，演技也算到家了。允文的宅心仁厚，是否就不能成大事呢。丁香的死令我觉得不值同时感到伤心，这角色也算深入人心了。            
(4星)	 这部电视剧勾起了对历史的兴趣。            
(4星)	 当时觉得这个好好看啊！！！            
(NA)	 这算第一部也是唯一一部我看到穿越剧么            
(5星)	 最早的穿越，难舍的童话            
(NA)	 张庭现在也终于熬出头了            
(5星)	 轻松搞笑            
(3星)	 不爱            
(4星)	 看过好多遍。不过只是挑里面的局部看。最喜欢看的是。嗯。烤鸭那段~~~~~~~其实那个被张庭耍的团团转的王爷老萌的~~            
(4星)	 童年            
(5星)	 这是我看过的第一步穿越片，其他的和它比起来简直弱，爆，了            
(5星)	 大过年的，我舍弃了春晚眼巴巴等结局。            
(4星)	 最先接触的穿越剧诶~~            
(3星)	 是不是中国大陆第一部穿越剧啊~？？哈            
(5星)	 好喜欢！哎，虽然不得不承认真的很扯            
(3星)	 穿越第一部哎。            
(4星)	 这应该是最早的穿越剧了吧，比宫早多了            
(5星)	 张庭的小玩子和万弘杰的朱棣。            
(NA)	 傻傻与仙仙            
(4星)	 小玩子。。。            
(NA)	 好早的穿越            
(4星)	 当年很喜欢            
(3星)	 小时候还是蛮喜欢的            
(2星)	 挺弱智的             
(4星)	 北京烤鸭。            
(4星)	 早期的穿越剧啊            
(4星)	 看過的第一部穿越劇，而且那個歷史之謎也處理得......很狗血....................            
(4星)	 回忆啊  记得很久以前喜欢看  应该算是比较早期的穿越片了            
(3星)	 第一步穿越剧。。巨扯。。            
(3星)	 其實沒看到結局……我第一次知道朱棣是朱允炆的叔叔就是從這裡！朱爽這貨太好玩了~那時候我還不知道【鴨店】是啥呢【噗……            
(3星)	 绝对是什么宫心锁玉的师叔祖级别的            
(3星)	 看的第一部穿越电视剧诶            
(NA)	 皇爷爷。。。。            
(5星)	 穿越电视剧始祖，现在宫步步惊心什么的都弱爆了……            
(4星)	 在穿越大潮来临之前成功迷倒了弱智小萝莉我            
(5星)	 经典。。。。。。            
(4星)	 太多的借口~太多的理由~~            
(5星)	 第一部穿越剧么。。喜欢张庭啊~            
(5星)	 因为给我留下了很好的回忆，中间做烤鸭吹鸭子的那段让我无比欢乐            
(3星)	 从前好喜欢张庭的小酒窝~~            
(5星)	 穿越剧的鼻祖            
(3星)	 看过的最早的穿越剧啦，当时也没有对比，印象还好            
(NA)	 矮油 第一部穿越            
(3星)	 那个年代挺好的一部戏，喜欢张庭            
(2星)	 张庭多漂亮啊为什么总要演小疯子 损形象啊 一直到现在才又被挖出来当阿婆型角色 诶            
(5星)	 也许剧情扯淡，也许有人觉得无聊。但是从小到大看了那么多遍，它为我带来了太多欢乐。还记得小学暑假总是有台会播，我就一遍遍的看，一次次大笑。            
(5星)	 最早的穿越剧。            
(4星)	 很好看的穿越剧。。。。。            
(5星)	 张庭的酒窝太好看了            
(4星)	 穿越启蒙剧            
(5星)	 看的第一部穿越剧            
(5星)	 小时候的最好好嘛！！！就算回头看看傻到家依然全五星好嘛！！！而且其实也不傻其实还是挺好看的不知道有多精彩好嘛！！！擦！！！            
(4星)	 小丸子才是穿越的始祖。            
(4星)	 这才是好看的穿越剧好吗？！            
(4星)	 很久以前的电视剧 很怀念啊 张庭            
(4星)	 很感伤阿，超喜欢张庭            
(3星)	 当年看过的第一部穿越剧……            
(5星)	 在那个时候，就是好看，恰好我就是那个时候看的。“这就是历史唯物主义”——当年明月            
(3星)	 穿越。为什么最近穿越题材红了？            
(5星)	 童年的回忆！！！！！！！            
(5星)	 穿越剧的经典！！！！！！！！！什么自宫，2B的都弱爆了！！！！            
(5星)	 这可能是大陆最早的穿越剧吧 我猜            
(3星)	 看到的第一部穿越剧            
(4星)	 小时候            
(2星)	 宫穿鼻祖吧            
(3星)	 多早的穿越劇啊            
(4星)	 从这片子才了对那时候的事情起兴趣的！穿越片挺鼻祖了吧            
(3星)	 徐峥演的很逗 哈哈···            
(5星)	 当时好喜欢的~~~            
(5星)	 超喜欢啊！            
(4星)	 那会儿忒喜欢了。            
(4星)	 那時心中穿越劇的經典啊！            
(4星)	 满满都是小时候的回忆。            
(4星)	 小时候看过的电视剧7            
(4星)	 我小时候很喜欢看啊~~~~            
(4星)	 当年很喜欢的，感觉构思很新奇，当然放到现在就一般了，张庭演得不错            
(3星)	 1.剧情不错2.张庭长得真是漂亮，可惜其他的电视剧就不怎么有名了            
(NA)	 张庭的酒窝怎么那么深。。。            
(5星)	 最喜欢的中国电视剧没有之一!!!!            
(3星)	 冲着张庭。。。。现在都老了。。。。            
(2星)	 国内穿越剧鼻祖            
(4星)	 大爱结局！            
(3星)	 记得最清楚地就是北京烤鸭那段~            
(5星)	 哇塞 其实当初我是因为徐峥看的不是因为张庭诶最近几年还真没看到张庭了 这小妮子去哪里了啊 回归家庭了？            
(4星)	 穿越剧鼻祖？            
(5星)	 很早之前的穿越，大抵有穿越梦的孩子，都爱做梦，都梦想可以一梦回唐朝，一朝醒来，什么就都变了，一朝睡去，才觉只是梦，而已。            
(3星)	 当时看着还挺热闹，呵呵            
(3星)	 演员无爱            
(4星)	 小时候看的  很不错 超喜欢            
(4星)	 看的最早的一部穿越剧            
(4星)	 最早的穿越剧吧            
(4星)	 看过的第一步穿越剧            
(4星)	 好像这个穿越蛮早的诶→_→            
(4星)	 那时年少各种剧~最早的穿越剧~            
(4星)	 好久之前的穿越剧。片尾曲都好好听~            
(3星)	 我错了这个才是最早的穿越= =            
(4星)	 张庭的喜剧功力初现倪端。            
(3星)	 他们两人合作比较经典的一部。            
(3星)	 这尼玛比宫还早那么多年，也是穿越剧啊            
(NA)	 穿越剧的鼻祖啊            
(5星)	 什么清宫穿越简直弱爆了，这可是10年前的经典。            
(4星)	 算不错了            
(4星)	 穿越剧一直很火的嘛。            
(3星)	 原来我那么小就开始看穿越了啊            
(4星)	 我看过最好的穿越之一~            
(4星)	 恩，那时貌似很喜欢张庭演的各种古装，这个看过两三遍呢。。            
(1星)	 除了感慨张庭不老之外 没了            
(4星)	 张庭的大酒窝，好美啊。初中时看的电视            
(NA)	 穿越            
(5星)	 当时的我很迷这部剧，现在已经静不下心去看电视剧啦            
(4星)	 最好看的穿越电视剧，比什么寻秦记，宫，步步惊心 都要看看！            
(4星)	 应该算是荧屏上第一部穿越题材的电视剧吧，当年很喜欢。两个女子，截然相反的职业、性格、人生观，却在面对爱情的时候，做出了同样的选择。最后的结局也兼有戏说与深意。在那个原本就不属于的时代，留还是走，在穿越剧里始终是个令人关注与深思的问题。            
(5星)	 非常喜欢。每个人物角色都塑造的都很饱满，我都喜欢。            
(4星)	 算是最早的穿越剧了，结局很让人印象深刻。            
(4星)	 回忆啊            
(4星)	None
(5星)	 穿!越!            
(4星)	 穿越的鼻祖吧            
(2星)	 中国早有穿越剧了= =            
(4星)	 好早好早的穿越            
(5星)	 穿越剧的经典啊，从很久以前就一直想看的。比起现在的穿越剧来，还是更喜欢这部，三观多么地正！小玩子骂楚楚那段，再对照现在大部分的穿越文，真是亮了。结局时的导游好淡定。最后，强烈要求拍续集啊续集续集续集！！！&gt;&lt;            
(4星)	 真是经典 觉得自己怎么看过那么多经典            
(5星)	 第一部穿越的片子。我已经醉在张庭的酒窝里面了。            
(4星)	 小时候好爱看            
(5星)	 对白很精彩!             
(5星)	 我接触到的比寻秦记还早的穿越剧呀……            
(4星)	 挺搞笑最后也挺伤感····            
(4星)	 穿越剧的鼻祖！！！            
(NA)	 难得一部明朝穿越剧            
(4星)	 很可爱的穿越剧，比这几年兴起的那些穿越好多了            
(NA)	 穿越鼻祖            
(4星)	 第一部穿越 怎么当时就没火起来呢            
(NA)	 似乎是我看过的最早的穿越剧            
(3星)	 张庭很可爱的～            
(3星)	 喜欢陈冠蒲的歌            
(3星)	 这算是我看的最早一部穿越？            
(NA)	 其实，这场国产电视剧在好几年前都看过了，那首歌曲仍然耳熟能详            
(NA)	 穿越的经典，片尾曲很好听。            
(4星)	 穿越鼻祖啊有木有。《宫》神马的都是浮云。而且两部剧部分剧情同步率90%以上。我不说什么。大家懂得。            
(4星)	 小时候看的电视剧 比较早接触到的穿越故事。 当时觉得还蛮好笑的。            
(4星)	None
(4星)	 明朝那些事儿。。            
(3星)	 芊芊神马的 = =            
(1星)	 我一直都不大喜欢这个穿越啊......            
(5星)	 反正我是哭了。。捂脸            
(NA)	 这就是所谓的第一部穿越剧啊！！！            
(4星)	 多好看啊……觉得张庭很漂亮            
(5星)	 完爆现在的各种清穿啊。。其实我蛮喜欢张庭的            
(5星)	 穿越剧的始祖。张庭演的真活。            
(4星)	 最好看的穿越轻喜剧 喜欢张庭大酒窝            
(3星)	 张大姐的代表作，我肿木赶脚里面的徐铮很帅捏            
(4星)	 这电视剧够老-  - 年少无知的我看了又看...            
(4星)	 我看了4遍？            
(5星)	 当年喜欢死了&gt; &lt;            
(4星)	 这个才是真正的穿越剧，PS：喜欢这部剧的同学可以去看看现在在晋江连载的穿越小说《当废柴遭遇桃花九》            
(5星)	 这不才是穿越剧王道！可是怎么分数比步步惊心低！！！            
(5星)	 伴随我的租碟岁月。            
(3星)	 小时候看过的，第一部穿越剧            
(3星)	 小时候看过。            
(4星)	 猪八戒很可爱~            
(3星)	 张庭一笑露出好多牙，不过有时候还挺可爱的！            
(4星)	 啊哈哈哈、這應該是我看的第一部穿越劇、記得小時候看這部劇好哈皮呀。笑的肚子疼。天真的以為真的可以穿越，然後就天天幻想著。呼呼。真是很傻很天真呢。O(∩_∩)O哈哈~            
(5星)	 看的第一部穿越剧，怎么会这么好看！！！            
(NA)	 第一步穿越剧、、、            
(4星)	 当年居然感动了            
(4星)	 当时特别喜欢的电视剧 非常非常喜欢。            
(4星)	 其实，这个要比现在的《宫》、《步步惊心》好看多了。            
(3星)	 很久以前看的了            
(4星)	 说实话，蛮怀念这第一部穿越剧的。还有那个莫名其妙消失的朱允炆...            
(4星)	 穿越剧还是这个最喜欢，回忆啊~现在的什么什么 都是浮云            
(3星)	 好像是说朱允炆和朱棣的吧。            
(4星)	 看了多少遍啊哈哈            
(3星)	 最早的穿越剧哈！            
(5星)	 当年简直是神作啊！穿越鼻祖不为过！            
(3星)	 中国穿越剧的鼻祖？            
(4星)	 《步》告诉我们女人是狠！！！现实的；大陆第一穿“小玩子”告诉我们爱情是可以期盼的~            
(4星)	 看步步惊心实在看不下去了看的这剧，剧情神马的比步步好多了…不过结尾太仓促了，最后几集实在让人心酸。            
(4星)	 记得以前很喜欢看的，有空再温习下            
(3星)	 现在我倒是挺喜欢徐铮的。可那时候总觉得他装可爱，还有那牙啊惨不忍睹。            
(5星)	 多么经典的电视剧            
(NA)	 童年记忆~最近在回顾~            
(3星)	 这穿越还算能看...小时候就靠这些片来打发时间了...            
(4星)	 穿越中的经典~            
(4星)	 你是一片六百年前的叶子,可是你和六百年以后的叶子又有什么不一样呢?这场时光交错的梦,到了现在,已经由美梦变成噩梦了.想我小玩子一生经历了神偷,太监,郡主,鸭仙子;到了最后还落个牢狱之灾.逃到了六百多年前的大明朝,还依然在劫难逃            
(4星)	 据说是穿越剧的鼻祖啊，挺赞的说            
(5星)	 张庭太可爱了。            
(3星)	 我印象太深太深了！！！！！！！！！！！！！！！！这是穿越剧始祖么？            
(5星)	 这玩意儿比某清穿好多少啊。。            
(5星)	 这才是穿越前辈啊~            
(5星)	 童年            
(4星)	 话说当时好迷的说，算是看的第一部穿越剧吧。。            
(NA)	 我都看哭了            
(4星)	 仙仙~            
(4星)	 那个柳妃好漂亮一个~            
(5星)	 這個太有愛了。            
(NA)	 很久很久以前看的穿越剧。当时特别喜欢，尤其对里面的烤鸭记忆颇深。自此对明朝历史开始感兴趣神马的~话说为什么好多穿越剧的穿越主角都是女的呢，要是个男的穿越到古代，然后发现自己穿越成个太监的话该多喜感~            
(3星)	 在还不懂穿越的时候就先看了穿越，只记得张庭很美            
(4星)	 小的时候很喜欢看！！！！张庭很美很搞笑~~~            
(5星)	 绝对是穿越的最经典之作，没有之一！            
(4星)	 初中時看得肚子都笑痛了、大學時又看了一遍。再也不想看國產片了、尤其是古裝片            
(NA)	 傻男主，惹人爱            
(3星)	 最早的穿越剧……？            
(4星)	 第二个喜欢的酒窝女            
(4星)	 小时候看的，喜欢张庭，相当喜欢            
(4星)	 噗，真是不知道原来我看了这么多电视剧啊。这是江苏卫视的专利！！！            
(4星)	 穿越的经典啊            
(3星)	 张庭，徐铮演戏都蛮有质感的            
(2星)	 这个真的雷            
(NA)	 当年蛮喜欢的，现在想起来觉得很经典。好可惜大结局一直没看完全...不赘言            
(4星)	 哈哈哈 我小时候特爱看            
(4星)	 好早的穿越剧            
(5星)	 几乎是我最爱看的一部电视剧了~~为了这部穿越剧我把家里关于那个时候的各种历史书都翻烂了~就为知道朱允炆的下落啊~~            
(NA)	 我知道的第二次穿越            
(3星)	 第一部穿越剧！            
(4星)	 张庭的小酒窝印象深刻，穿越的不错            
(4星)	 这部戏大热的时候俺还是小孩子啊，不记得自己看了多少遍了~傻傻忽忽可爱的二人啊~！今年年初被宫给刺激的翻了这部戏看，无厘头到极致了，能让人开开心心的笑出来就好了~剧的内容现在的我来看，傻了一点= =另这剧才有穿越的味道，别的所谓穿越我真是一点没看出来啊            
(4星)	 以前在电视上瞄过好几眼就是结局一直没瞄到            
(4星)	 曾经很爱的电视剧            
(3星)	 感觉就像是今天的宫            
(5星)	 稀饭的 童年穿越剧            
(5星)	 很喜欢的这样的爱情的~            
(4星)	 一直幻想内个玉枕头= =            
(4星)	 小时候看过的经典之作~好早的穿越剧            
(3星)	 张庭蛮漂亮的喔！            
(5星)	 多少遍都没厌倦            
(4星)	 仅怀念那时候着迷于此的日子，能穿回到那时候就好了~            
(5星)	 小学看的剧。因为这个开始看穿越文跟关注Converse的帆布鞋。。心中第一名的穿越剧            
(NA)	 有印象 小时候蛮喜欢张庭的            
(3星)	 穿越剧鼻祖啊 江苏卫视你都重播多少次了            
(3星)	 是宫的前辈吗...            
(4星)	 哈哈哈            
(5星)	 个人觉得这部剧太完美了！有时间写个剧评！跟历史结合的相当漂亮！            
(3星)	 穿越的鼻祖            
(4星)	 看哭过            
(4星)	 我的美丽回忆吧            
(3星)	 穿越剧的鼻祖吧            
(4星)	 最早的穿越啊！！            
(3星)	 当时觉得那个太子爷好弱受啊！！！！            
(NA)	 游梦仙枕            
(NA)	 为什么我还是很喜欢呢，徐铮好受。。            
(3星)	 穿越鼻祖             
(NA)	 据说是穿越鼻祖            
(NA)	 結局真的很逗兒。哈。            
(3星)	 少年时期围观过的电视剧。穿越剧的始祖啊。。            
(5星)	 纯粹是怀念，第一部穿越剧....人物性格很鲜明这点给我很深的印象            
(3星)	 在穿越盛行的今天多少人都说这是经典！            
(5星)	 穿越剧始祖~~！！！            
(NA)	 这才是穿越的鼻祖```            
(NA)	 这跟还珠格格一样我看了好多遍            
(4星)	 从这剧迷上穿越时空的～            
(NA)	 很久以前看过。。            
(4星)	 读书偷懒的时候 每一次看都觉得很欢乐 国产的穿越剧里算是领先的了            
(1星)	 跟什麽絕色雙嬌一樣噁            
(4星)	 比宫经典多了 主角也比杨幂演的好！            
(5星)	 小时候最喜欢的电视剧~~            
(5星)	 当年非常喜欢啊，看了好几遍            
(5星)	 穿越情节啊！！            
(5星)	 仙仙！            
(5星)	 一直都很喜欢            
(3星)	 这才是第一部穿越剧啊有木有！            
(NA)	 只有烤鸭那段吸引我= =            
(3星)	 剧一般，张庭还比较可爱            
(5星)	 就让你走~            
(4星)	 最早看的穿越电视剧了吧……还是很经典的            
(3星)	 女主挺有爱的，不过我喜欢皇上！            
(4星)	 接触的第一部穿越剧。里面的烤鸭一直想吃~~            
(NA)	 = =            
(5星)	 启蒙了我……            
(3星)	 其实开头好几集都很搞笑有木有？少有的能和老妈一起看的片子。            
(5星)	 评分这么低 豆瓣真不靠谱 这部剧比什么子弹飞搞笑N倍            
(3星)	 陪小刘刘看的，他是粉丝            
(4星)	 想当年这部看得我是津津有味，好喜欢男主和女主，穿越剧目前看过的也仅此一部，之后的大都没兴趣看。            
(NA)	 算不算是内地穿越剧鼻祖= =            
(4星)	 起初不爱看。后来喜欢上追着看。虽然故事挺弱智的，比如穿越到古代，没有电没有现代的方便设施，她们就那样适应了？尤其是那个女警在不知情的情况下，竟没有丝毫怀疑？？虽然很讨厌这种穿越到古代，就必定要和某个王室成员有一腿的俗套。但他们的表演还是挺可爱的。            
(5星)	 看的第一个穿越剧吧            
(4星)	 因為喜歡張庭才看的，兒時的回憶。因為此劇而開始對明朝歷史有了點興趣。            
(3星)	 印象最深的穿越劇。            
(NA)	 貌似小时候百看不厌            
(4星)	 纯粹为张庭+徐铮            
(4星)	 喜欢你像鸭子般的笑            
(NA)	 《太早》……            
(5星)	 第一部看的穿越剧啊。。。。穿越也是我的大爱             
(3星)	 记得歌很好听是不是？            
(3星)	 其实我觉得亮点是朱棣和那女警察~~张庭好看是好看啦~~不萌小白女猪啊`            
(3星)	 小时候，随便看什么剧就会被男女猪脚迷得死去活来~~~            
(NA)	 游梦仙枕            
(3星)	 庭姐。。            
(5星)	 没说的。。。全是回忆啊。。            
(4星)	 穿越剧的先锋啊！贼不错            
(4星)	 笑的很甜内~            
(3星)	 黑历史。            
(4星)	 想当年…我还是少女的时候…咳            
(3星)	 朱允炆不适合做皇帝~            
(3星)	 =-=            
(4星)	 當年的張庭多甜啊~~            
(4星)	 穿越鼻祖！            
(3星)	 很欢乐~            
(3星)	 我真的看过这个……囧。            
(2星)	 剧情俗套，不过挺欢乐的            
(4星)	 小时候全看完了多打一星            
(3星)	 真的好乱 - -            
(NA)	 很搞笑。。            
(5星)	 穿越入门啊！            
(3星)	 哈，幼时的回忆            
(4星)	 多早的穿越片儿啊。。            
(3星)	 开头几集蛮搞笑。后面情意绵绵什么就没劲了。            
(5星)	 作为第一个穿越剧，我认为还是可以的。            
(3星)	 我就只看了最后一集。。。就当我全丢看完了吧。。。            
(3星)	 很戏谑啊 正好有个精通明史的贼穿越到明朝 @@            
(5星)	 最近迷上杨俊毅，为了仔细看看以前没注意到的小北童鞋，又看了一遍。。            
(5星)	 重看中。器宇轩昂的燕王四殿下啊            
(4星)	 穿越剧的鼻祖。相当年，穿越还未风起，原来他已走在时代前面了            
(3星)	 张庭真想那谁！            
(4星)	 反正就是乱七八糟，图个乐            
(3星)	 还记得初中时搬个小桌子，边做作业边看这电视的情景            
(3星)	 这分打得真纠结。它陪我度过小学单纯的时光，想当年我真的是深深喜欢上它。绝对是懵懂年纪阿。            
(4星)	 第一部也是最喜欢的穿越剧吧。和寻秦记媲美的。            
(4星)	 看的第一部穿越。。。            
(3星)	 这个才是穿越剧的始祖吧？演员、服装、场景设置都感觉实在是太小成本了，可偏偏编剧编的故事太讨人欢心了，结果张庭一炮而红了。            
(4星)	 小学时候看的，第一部穿越剧，当时觉得那么好看呢。现在得穿越剧怎么就这么囧呢。            
(3星)	 呃，剧情相当雷人，雷死了！！！            
(4星)	 我一直以为它还没有结束！！我一直以为有第二部的！！！            
(NA)	 我草!! 我昨晚还梦到朱棣了!!!!!!!!!!!! 还有他的柳如梅!!!!!!!!!! 这个穿越剧到底给了我人生多大的启蒙啊!!!!!!!!!!!!!!!!!!!!!            
(5星)	 个人非常喜欢。。那个时候小。真的看出过很多次眼泪。            
(5星)	 求续集……            
(3星)	 穿越到公车顶上。            
(4星)	 张庭好看            
(5星)	 喜欢穿越题材就是从那个时候开始的，那时全班都在看啊~~            
(4星)	 最早的穿越剧，也当是我唯一看过的穿越。            
(NA)	 介算穿越片鼻祖咩~            
(2星)	 徐峥......            
(5星)	 都是挺经典的几部。我喜欢小玩子甜甜的酒窝来着。憨憨的允文            
(NA)	 开启穿越之门            
(3星)	 当初说是真的穿越诶。我信了。            
(4星)	 小学看的 那时候觉得真好看啊喂......            
(5星)	 很好看的电视            
(3星)	 我的穿越启蒙老湿            
(2星)	 好好一本书，就不能好好拍嘛            
(5星)	 太多的借口，太多的理由。            
(4星)	 啊啊啊！现在的穿越剧绝对比不上它！！            
(4星)	 最早看的穿越，比芒果台的某穿越剧好看多了            
(4星)	 童年的美好电视剧之一            
(5星)	 看着玩玩儿吧挺好            
(4星)	 最喜欢张庭            
(NA)	 穿越~~那个时候的最爱吧            
(5星)	None
(4星)	 到现在都记得那烤鸭- -            
(4星)	 那时候很喜欢很喜欢张庭            
(5星)	 穿越始祖..            
(5星)	 只记得最后朱允文在一辆面包车上的样子...不过当年看得蛮欢乐的咧            
(NA)	 酒窝妹            
(5星)	 徐峥的演技，没话说。穿越的鼻祖，而且比现在的穿越作品，高出很多            
(4星)	 那时候很喜欢张庭，现在不得不感慨一下，她穿的哪里像个郡主啊。剧组也太省了吧            
(3星)	 胜在拍的早。            
(4星)	 呀……这应该是我看的第一部穿越了，还是租碟回来看的~很多年了            
(3星)	 看的第一部穿越的题材的电视。            
(3星)	 都算童年回忆了~            
(4星)	 看了好多遍的雷剧            
(4星)	 满可爱的。            
(3星)	 初中时看的穿越剧            
(3星)	 张庭乱漂亮            
(3星)	 最喜欢二皇子做烤鸭！！！！            
(4星)	 童年回忆            
(5星)	 小时候很喜欢看            
(3星)	 小玩子 仙仙            
(NA)	 吴孟达在这类电视剧客串 = =            
(3星)	 又一无聊时看的剧。。            
(5星)	 超好看！            
(4星)	 穿越之父~            
(5星)	 当年阿。            
(3星)	 貌似是第一部穿越剧吧~当时看还挺新鲜的            
(4星)	 穿越的鼻祖与经典            
(4星)	 为了喜欢的燕王，给了伪四星。貌似是记忆最深的穿越片了            
(5星)	 早期美好的穿越剧，执着于巧妙结局的感动，不比今日穿越剧泛滥之势的江河日下            
(3星)	 穿越剧的鼻祖啊……            
(3星)	 十年前的穿越，逗。            
(3星)	 演员无爱            
(5星)	 那时候张庭占据了多少电视台啊            
(3星)	 早期穿越有木有             
(4星)	 陈冠蒲的主题曲很喜欢，加一星。当年也难得看到一部穿越剧。虽然还是一般            
(3星)	 张庭的酒窝真好看            
(4星)	 儿时的回忆。。。。。。。            
(4星)	 最早看过的穿越啊！现在穿越都烂大街了！            
(4星)	 天 想当年我是要有多喜欢张庭            
(4星)	 小学，，，，            
(5星)	 怎么会有人不喜欢呢!!超级好看的            
(NA)	 晕 发现很多电视剧都是和我外婆一起 陪她看的            
(NA)	 大爱张庭！            
(5星)	 穿越鼻祖好吗            
(4星)	 在那时还算是个经典啊，令人怀念            
(4星)	 仙仙            
(5星)	 我深刻记得，我就是为了看这部电视剧，为了一集不差，进家门把脚崴了……            
(3星)	 童年的記憶啊            
(NA)	 最佳穿越剧，比起后面泛滥的好多了            
(3星)	 穿越剧鼻祖么~喜欢那个烤鸭王爷，然后徐峥的允文当时那叫一个心水呀            
(2星)	 这是不是最早的穿越剧啊~~~~            
(5星)	 这可是穿越剧的鼻祖啊。当时看得可带劲了。女主很漂亮，不过也就这部能叫出名。            
(3星)	 我是真的不喜欢看这种电视剧了，有点弱智，有点把观众都当成弱智，好吧，无聊的人才会看            
(4星)	 比较早的穿越剧，那时，穿越还是一件很令人新鲜的事儿~~~            
(NA)	 当初很迷啊            
(5星)	 看的时候 对明朝的历史很感兴趣            
(3星)	 穿越的老前辈            
(3星)	 当年内地第一部穿越剧啊            
(3星)	 神奇            
(3星)	 这貌似是我看过的最早的穿越剧了吧，那时候喜欢的很，也不做作 很喜欢演员，不似现在爱的要死要活死去活来的            
(3星)	None
(4星)	 话说 这也是穿越 穿越啊            
(5星)	 各种演员拼演技，早期穿越剧~            
(2星)	 童年的记忆。            
(4星)	 小时候很喜欢好嘛！！            
(3星)	 早期写朱棣的电视。            
(5星)	 江苏卫视播一遍我就看一遍到现在已经看了三年了啊三年了！！            
(5星)	 我喜欢……            
(3星)	 中学暑假看的欢乐剧..            
(NA)	 小时候的美好回忆啊 恩 大概是从那个时候开始喜欢张庭的            
(2星)	 不喜欢            
(5星)	 穿越启蒙            
(4星)	 穿越，穿越，应该是很久以前的穿越吧……            
(3星)	 。            
(5星)	 童年的乐趣。            
(NA)	 算不算最早的穿越剧了            
(5星)	 艺术品            
(4星)	 穿越~~~            
(3星)	 喜欢张庭从这里开始~也因为这个喜欢陈冠蒲的歌~            
(NA)	 也算比较前卫的穿越剧了吧，看了好多遍。张庭加徐峥这个组合着实不错。挺好看的。            
(4星)	 穿越剧，还算过得去。            
(4星)	 朱棣~            
(5星)	 !!! 我现在都还一直耿耿于怀朱允文穿越到现代后跟仙仙怎么样了!!            
(4星)	 童年回忆，张庭的天下第一鸭            
(4星)	 早期的穿越经典。            
(4星)	 穿越剧的开山鼻祖，喜欢张庭的酒窝            
(5星)	 我的第一部穿越剧啊~            
(4星)	 初中那会，好爱张庭~            
(4星)	 还是看了好几遍            
(3星)	 最早的穿越！！！！            
(4星)	 记忆中的第一部穿越戏            
(5星)	 超喜欢~            
(4星)	 一部9年前的电视剧，一部为数不多的穿越剧的典范            
(4星)	 仙仙~~~吼吼 看過好多遍~挺歡樂的            
(5星)	 第一部看的穿越局            
(3星)	 好久好久之前             
