http://movie.douban.com/subject/3873960/	我的青春谁做主
(5星)	 里面那个小样他爸  真特像我爸的性子。哈哈哈哈。            
(4星)	 让人感动的成长            
(4星)	 现实太让人悲伤，永远不会像电视剧一样有个happy ending。            
(4星)	 难得我重头到尾看了一部国产电视剧                                                         怎么我就希望高齐和小样在一起呢 唔 唔 唔            
(3星)	 陪菲菲吊水的时候看了几集。            
(4星)	 我喜欢前半部分···后半部分尤其是最后一集特不喜欢···可能感觉有点假吧            
(5星)	 我怎么就喜欢高齐呢.....            
(5星)	 想起看奋斗的日子。            
(4星)	 最起码比奋斗现实            
(3星)	 没能动摇奋斗神圣的地位            
(4星)	 喜欢那个小样的性格～～闯下去～～            
(5星)	 钱小样的精神值得学习，但是片子过于超脱现实            
(3星)	 去哪兒找一個高齊大傻子？            
(5星)	 我的爱情与你无关            
(5星)	 如果不能改变结果，那就尽量完善过程            
(5星)	 对现在大大学生是一种暗示            
(2星)	 奥迪就跟街上的大白菜样，内地只能拍这种青春剧吗？？            
(3星)	 他们都没活在现实里            
(4星)	 喜歡朱雨辰，喜歡王珞丹，我的青春究竟誰做主，給我們很多啟示，挺勵志的一部劇            
(5星)	 台词霹雳，倍儿棒            
(4星)	 还不错            
(3星)	 和上一部一样，给我很多感触。            
(4星)	 cctv-1看完了            
(4星)	 希望有小样的执著和青楚的睿智。            
(4星)	 三女儿生三女儿            
(5星)	 青春要的不仅仅是主动权，也要承担所有的代价。青春不止是热烈，有悲也有喜，活着，不单单为了自己。            
(4星)	 台词太过经典            
(5星)	 很喜欢。感觉很不错！！既哭了又笑了，我的青春我做主。在这个迷茫的人生路抉择阶段看到这个真的挺好的也开始敢于去爱了。我年轻，我怕谁？！我输得起~更赢得来。            
(5星)	 钱小样，你逗死我得了！            
(3星)	 和奋斗不是一个层次的            
(4星)	 奋斗2 还不错在国产剧里算好的。一口气 四天看完！            
(3星)	 比起奋斗来既没有了新鲜感，也没有突破，甚至连复制都做得不是很到位。有些失望。有些对话还成。            
(NA)	
(3星)	 一屋子女人 一起念台词            
(4星)	 如果经历百转千回，最终结局都能有如此的美好，那么过程再艰辛也在所不惜了。可惜，电视还是电视，生活还是生活。            
(5星)	 最爱钱小样~            
(4星)	 喜欢后来的样儿~            
(4星)	 小样出戏了 没扛住             
(4星)	 爱情 亲情 责任……            
(4星)	 喜欢赵琳饰演的青楚，她所有的追求都是我在现实生活中的追求，太贴近至少是我的内心。            
(NA)	 对于青春充满向往······            
(5星)	 不错            
(5星)	 更应该叫《奋斗》            
(3星)	 撒大谎、闯大祸和傍大款的故事，说教的对白有点反胃            
(NA)	 旱的旱死 涝的涝死            
(5星)	 这就是成长么?喜欢钱小样~~~            
(4星)	 喜欢钱小样和方宇^_^            
(3星)	 怎么觉得更适合家长看            
(4星)	 高齐这么个老好人像是她们家万金油，还好最后给他找了个雷蕾，让观众心理平衡了。（台词虽然没有“奋斗”那么贫，但听听上一代人尤其是姥姥的话还是很有启发的。）            
(4星)	 完全宁夏银川实景地拍摄啊。            
(3星)	 这片就是扯淡……我的青春爱他妈谁做主谁做主……            
(NA)	 传说中的奋斗第二部？            
(4星)	 喜欢小样和小宇，哈哈……            
(4星)	 独到又深刻的人生见解却因为演员的呆滞表情和长长的独角戏似的背台词的表现方式打了折扣            
(4星)	 我不歧视内地片子 嘿嘿            
(5星)	 这才是真正的奋斗            
(4星)	 那些年少轻狂的过往            
(3星)	 和大多数童鞋一样 真喜欢小样儿            
(5星)	 很喜歡趙寶剛青春三部曲,,如同奮鬥一樣..力薦!!            
(3星)	 果然是奋斗的姐妹篇，风格很一致。对我来说不一样的是奋斗是看完许久才觉得作，这部是没看几集就开始反胃了，但我还是坚持看完了。            
(4星)	 我的青春我做主            
(5星)	 奋斗的回忆            
(4星)	 高奇这样的男人，你在哪？            
(5星)	 无敌好看            
(5星)	 看了第一集，快要吐了一星期后看了最后一集，很让人思考的剧集            
(4星)	 喜欢它的台词。喜欢霹雳她妈！            
(3星)	 80后及80父母教育片            
(4星)	 要是有钱小样那么个女儿，我一定会折寿......            
(4星)	 20090619：结尾一般般；-End-            
(4星)	 姥姥厉害            
(5星)	 我们一起看的。。            
(3星)	 忽见冉冉老师,并冲着那么多人,就一直在看...但真的早就不能忍了!!!各种假各种二~啊啊啊...话说陆毅一孩爸还演青春剧,王珞丹毫无突破,还倒退了,太让我失望了...==其实现在我才知道。一切都是广电总局的错  = =囧~             
(3星)	 不喜欢的happy ending            
(3星)	 演到后面假得粗糙            
(5星)	 看过，笑过，哭过，想过……宝刚已经很可以了，难道非要让他完全还原现实么？不可能的，但是，除了用台词和眼泪来表达寓意，我实在不知道这位导演是不是表达出他的意图了……            
(NA)	 台词，台词。            
(5星)	 我还是希望小样从了高齐！！~~            
(4星)	 我知道那种青春离现实太远，可是那小话儿说得让我欲罢不能啊。~喜欢高齐和杨尔。            
(3星)	 从米莱到钱小样，王珞丹你没法再可爱了。            
(5星)	 这一家就没脱离过医院。            
(4星)	 比《奋斗》现实些，太喜欢里面的姥姥了。            
(5星)	 赵宝刚的偶像剧拍的真是赞。            
(5星)	 只能在人家身上看到我向往的自由的青春            
(5星)	 那就做个郭小样吧            
(5星)	 青春是一个短暂的美梦，当你醒来时，梦境的一切已消失得无影无踪了谨以本片献给所有心怀梦想的年轻人和为他们殚精竭虑的父母们……－－赵宝刚            
(3星)	 大段的说教,俨然一副年轻人的代言人,却编造得过于自私.天天对爹妈一套一套的大道理,架空真正的亲情与现实.惟有小样和方宇的感情着实感动了我.            
(2星)	 真磨唧            
(5星)	 我总觉得比奋斗好。            
(4星)	 有其價值在！            
(5星)	 冲台词就给5颗星~可爱的小样风头完全盖过大眼睛赵琳～还有张铎大帅哥～也太完美了一点吧～～陆毅现在也就穿个西装还能看得出帅锅的影子了...            
(4星)	 四月下            
(4星)	 我要找到另外一只蚂蚁，过着蚂蚁的小小幸福生活！            
(3星)	 四个圈儿比人的脸出镜频率高，就看它了            
(3星)	 三星半            
(4星)	 看到最后有点扯了，最大的亮点当然是华子啦哈哈！～            
(3星)	 1、升级版夏琳+升级版杨晓芸+水灵小百合。2、台词像话剧。3、可另名为：急诊室的故事。            
(5星)	 跟着中央1把这片子看完了，真不错，比奋斗靠谱。高齐这样的可真不多，坚决向高齐学习。我不当大象，就当一只幸福的蚂蚁。我也能一粒大米乐半年。哈哈            
(4星)	 谁的青春谁做主。            
(5星)	 朱雨晨是个好娃，虽然哭起来真的很丑。            
(5星)	 我愛趙青楚!~我更愛周晉^^            
(4星)	 还不错～酸的还有点理            
(4星)	 台词还行.            
(5星)	 保留仅剩的自我            
(5星)	 越是喜欢它就越说明我们的青春没能自己做主            
(3星)	 又是一奋斗            
(5星)	 还是那些事儿，好像更近了。            
(4星)	 反正真的是我的青春在迷糊，看的过瘾、痛快，一定无法现实的理想化成分。每个人都无可避免的成长，正视与积极的成长才行。人啊！            
(5星)	 女版奋斗            
(4星)	 能让我每天都热切企盼的电视剧不多，它是一部。记得麦冬疑案那集我那个爱看呦            
(3星)	 当时看的时候纳闷米莱和华子怎么搞到一块儿了！haha~            
(4星)	 这着实是一个令人心生羡慕的温暖的大家族~~ .            
(3星)	 亮点是台词，里面的人动不动就能冒出一些感悟生活的语句来，还有平常对话中的一些积极乐观有趣的台词，就像是黑夜中的星星，一颗一颗，一闪一闪。俗的是剧情，实在没什么新意可言，而且有些拖沓，尤其关于麦冬和周晋那段恩怨，太狗血了。从台词看，可以给四星，但综合剧情看来，就给个三星了。            
(3星)	 比奋斗好看点。。。            
(NA)	 奋斗姐妹篇。但总觉得少了点什么，跟奋斗比起来            
(2星)	 除了王珞丹，其他人敢有点演技么？！剧情有点幼稚加老套。。            
(4星)	 不错 高三那年最爱的剧            
(4星)	 一集不落看完的电视剧             
(4星)	 雷蕾很文艺范啊，这样的青春只能是电视剧啊            
(4星)	 趁着还没老，我们就折腾折腾吧            
(3星)	 除了王珞丹比较难看外，其他还算过的去            
(4星)	 高一下每天回家都会看的哟            
(NA)	 在电视上看的，觉得有点《奋斗》的感觉！喜欢高齐，一个好男人            
(4星)	 在我北京保研的那段日子，两代人的情愫，宝钢量产剧的走心之作。            
(5星)	 忽然想起来，这，可是我对白百何一见钟情的定情之作啊哈哈哈哈哈            
(5星)	 如果连爱都经不起消磨，那么还有什么才可以~这句比那句“我的青春我做主”更加经典~            
(4星)	 比奋斗强            
(3星)	 一群小孩的事儿，陆毅在里头干嘛，违和，看不下去。            
(4星)	 我发现以前还是看过挺多电视剧的            
(NA)	 典型内地青春电视剧。            
(3星)	 觉得钱小样这样的人太幸运了吧 于是往后的没再看- -            
(3星)	 三个姑娘的三段爱情，老二和老三挺欣赏的，陆毅和赵什么来的，演的很狗血！是老爹老妈值得观看学习的好片子，多给儿女一些空间与信心，是这个时代的最强音            
(4星)	 记得喜欢青楚来着~            
(5星)	 再也找不到类似的更好看的了。。。            
(4星)	 做自己想做的事情～ 别辜负了大好青春～            
(3星)	 喔唷 实在不喜欢王珞丹            
(5星)	 2天时间看完这部戏。天哪。太励志了！我现在心中全是小样那口北京腔的豪言壮语。天哪。我真的该发奋读书了！天哪，那仨好男人全给我们姐妹仨人多好啊~~~多像我们家的状况啊。            
(5星)	 赵宝刚的台词句句哲理透心凉“遥远有多远，朝着他走自然就近了”妈蛋啊这么牛逼的话。宝刚的轰格就是：“灿烂的晴天突来个霹雳，又在霹雳中过出更灿烂的晴天”我算是看出来了。没看以前觉得是奋斗的翻版看完才知是独一无二的青春，拒绝拧巴，拒绝矫情，拒绝蔫儿，阳光万岁。太好看了~！o(≧v≦)o~好棒            
(4星)	 喜欢里面的白百何。很有勇气            
(3星)	 台词取胜。            
(4星)	 我总是霸道的说成——谁的青春我做主            
(3星)	None
(3星)	 看看别当真            
(3星)	 感觉有点拖沓，但总体还是不错。叫嘴皮的戏套多了还是不行啊~            
(4星)	 第一次认识王珞丹和白百合            
(4星)	 三天一部电视剧..还不错..特喜欢有智慧的老人家的话语,总能发人深思..只是剧情不是特别的吸引,要不就更完美了..            
(4星)	 话说我觉得小样有件穿的她姐的衣服跟我的挺像。。而且梳的发型也一样……            
(3星)	 咳咳            
(4星)	 钱小样塑造的很到位            
(5星)	 超喜欢这部剧。。蛮早前就看过了，还看了好多遍。。            
(4星)	 钱小样儿~~            
(3星)	 一窝女人没好话，三个男人比屌大。            
(4星)	 奋斗跟风片，一般般把。            
(4星)	 趙寶剛的臺詞啊，現實又理想~從此愛上熊貓丹~            
(4星)	 这一时期王珞丹演得很有感觉。            
(5星)	 死守策略            
(4星)	 个人觉得比奋斗好。            
(3星)	 不待见赵子琪            
(4星)	 我记得那时候看的感受就是很喜欢王珞丹演的小样那种个性吧 喜欢那种爱情            
(5星)	 喜欢小样~~            
(4星)	 不很爱小样 果然还是钱的事            
(NA)	 我的青春我做主            
(3星)	 神话故事            
(4星)	 二            
(5星)	 那个时候，在纠结和小呆如何是好，看完后突然豁然开朗了。            
(4星)	 值得一看。            
(3星)	 很喜欢方宇呀 嘿            
(4星)	 还好吧 但是没有奋斗好看……            
(3星)	 因为受不了里面的台词，弃之。咱就不能好好说话吗？脑残族才那么说话那！            
(3星)	 原来看我过这么多电视剧            
(3星)	 一般般 赵宝刚跳不出去那个圈            
(2星)	 狗屎            
(5星)	 很喜欢  青春 就应该这样  自己为自己做主 青春无悔！            
(2星)	None
(4星)	 他的电视剧都是完美结局..            
(4星)	 除了青楚，其他的都挺喜欢。。。            
(5星)	 很喜欢            
(3星)	 最喜欢的是雷蕾和高齐……            
(4星)	 理性与情感            
(2星)	None
(NA)	 赵宝刚这两年拍的这几部连续剧都是80后直接面对的问题，所以这么不同凡响...            
(4星)	 钱小样很可爱.            
(NA)	 电视档~~~            
(4星)	 还不错。            
(4星)	 启发——如果不能改变结果，那就学着完善过程。            
(4星)	 谁都做不了主，因为木有嘛            
(4星)	 让人羡慕            
(4星)	 喜欢雷蕾，雷蕾在剧中以旁观者的身份，其实说出了很多大实话。。。             
(5星)	 喜欢小样喜欢陆毅            
(NA)	None
(4星)	 这都是一系列的e            
(NA)	 人生未来之路的探索，青春的成长            
(4星)	 不如奋斗，有些假了            
(5星)	 特别喜欢白百何            
(5星)	 好看~            
(5星)	 看到那谁入狱前 就没看了 也不知为啥就这么断了 囧 有空补看？            
(4星)	 里面的斗嘴都特别有文艺范儿            
(4星)	 剧情上比奋斗多元化多老            
(4星)	 台词太逗了。            
(3星)	 白百何可太好看了。            
(4星)	 挺切中当下热点            
(5星)	 我就坚定不移控北京   ps高齐怎么就那么好= =            
(3星)	 赵宝刚的片子不都一个模子么            
(NA)	 高齐！            
(NA)	 高齐该分配给谁哟~~            
(4星)	 打发时间去看应该是个不错的选择。毫无半点的悬念，一眼就能看出赵宝刚的影子。电视剧里除了对白还是对白，剧情交待有的拖沓有的仓促。一来觉得扯，二来觉得还真是那么回事。很符合国产电视剧里吸引年轻人的口味。目光仍是锁定的工薪、中产和暴发户，貌似凤凰男女的没市场唉。            
(NA)	 08年看的吧            
(3星)	 不切实际            
(5星)	 好电视剧 比那些雷剧好看多了            
(4星)	 喜欢张铎。其他不评价。            
(4星)	 已经快要忘了故事是什么了。。我的记性就真的这么差吗。。。。            
(4星)	 我沖著趙琳多加一個星星……            
(4星)	 喜欢女强人...懂事的女孩最可爱~            
(3星)	 这            
(3星)	 喜欢里面的父亲，前半段，挺逗的。年轻主角们就个扯。            
(5星)	 都是给朱雨辰的            
(NA)	 麻利 带劲 有意思 台词 有思想            
(3星)	 女的都tm的强势了~            
(3星)	 名字怪可笑的            
(NA)	 08 09            
(NA)	 原来雷蕾是白百合。。。合着这还是一警匪片儿~！            
(4星)	 老赵。            
(3星)	 没什么意思            
(4星)	 耀眼的白百合~            
(5星)	 好吧，和他共有的回忆。            
(NA)	 爱上钱小样~            
(4星)	 就是喜欢王珞丹这个样样儿的！！！            
(4星)	 还不错；我的青春我做主。            
(4星)	 赵琳过分完美            
(5星)	 喜欢里面的朱雨辰 很实诚的孩子            
(4星)	 改掉这个2B名字吧            
(5星)	 大夫真是烂好人，好事做一大堆，喜欢的俩女孩都是别人的了。            
(5星)	 当时特喜欢这片子~~个人认为比奋斗更真实~~            
(3星)	 名儿起的好 剧情还是虚了点 尤其是陆毅            
(3星)	 忘了自己看过了……天啊高考完看这种片子是有多想做律师啊TVT            
(NA)	 大爱钱小样            
(4星)	 陆毅那一对太造作            
(4星)	 白百何            
(4星)	 每个少女的第一个男性偶像都是自己的父亲 父亲在女儿心中的影响力 直接会导致她正常的心理形成。            
(4星)	 可喜欢            
(5星)	 好久之前看过了，还是蛮好的~~            
(4星)	 从这部片开始认识王珞丹            
(5星)	 最喜欢高齐❤ 喜欢方宇和小样之间的感情            
(4星)	 喜欢清楚            
(NA)	 奋斗更好看            
(3星)	 还不错啦!            
(3星)	 啦啦啦我当时喜欢那个带黑框眼镜一直在讲大道理的姑娘~还有那个一直在讲大道理的小哥~其他的都不喜欢~我要把我看的肥皂剧都标出来。。然后统计            
(4星)	 我记得这是我去香港看的第一部片子。。。            
(4星)	 比奋斗更多的以后，会有更大大大的感触。            
(5星)	 青春，已经过了            
(2星)	 对比小时候，现在的电影越来越炫富了。            
(4星)	 我对这种北京腔浓郁的嘈人方式非常的赞赏有加啊~            
(3星)	 比【奋斗】稍好            
(3星)	 不如《奋斗》经典，不是特喜欢···            
(4星)	 还OK，不喜欢小样            
(4星)	 青春～            
(4星)	 片尾曲是永恒的回忆            
(5星)	 好片啊 蕾蕾是我偶像！就是不现实             
(NA)	 老喜欢张铎了            
(5星)	 赵宝刚以前的戏好看~男人帮好烂            
(4星)	 喜欢青楚的沉稳大方。            
(NA)	 晚看了好几年            
(1星)	 傻逼剧            
(NA)	 相当不错`            
(5星)	 不错 为了爱情不顾一切的 。。            
(4星)	 还好，比较不错。            
(3星)	 断断续续看的，还行            
(2星)	 欣赏不来..            
(3星)	 本来剧中的道理开头很受用,但后来每个角色嘴里都像背书一样吐道理出来,人家背书至少都有断断续续吖,而且剧中背的道理都是一个调的,所有角色完全变成了同一个人的想法,有点恶心...还有,整天送银行卡,存折的剧情...实在让我渐渐有想数,这送卡送折子的镜头到底重复了多少次...又恶心了,所以4星果断改3星            
(3星)	 就喜欢钱小样那几段。            
(5星)	None
(NA)	 曾阅，标记。            
(NA)	 我表示很爱很爱朱雨辰。            
(4星)	 太多人都想拥有赵青楚那样“顺利的”人生和“完美的周晋”，可却学不会她的豁达和睿智；而每个人或多或少都有钱小样那样的懵懂、冲动、和不撞南墙不回头的固执，正所谓“青春”；而最真实的，大概是霹雳，做了大多数人想做而不去做的事，将梦想转化成了现实。            
(4星)	 青春就是要对味            
(3星)	 陆毅和赵子琪那对实在太不招人喜欢了 其他两队都不错~            
(4星)	 在那个特定的时间看这个，还行            
(4星)	  我们的青春一闪而过。            
(3星)	 赵宝刚叫你买房，你不信吧~苦鳖了吧~http://data.movie.xunlei.com/movie/44334http://www.7kan.cc/movie/5283.html            
(3星)	 周晋明明做了错事还那么理直气壮的正义凛然的给自己洗白让人忒受不了了……喜欢雷蕾~            
(4星)	 王珞丹 陆毅 青春            
(4星)	 小样儿            
(4星)	 最喜欢的青春电视剧。            
(NA)	 我不爱北京            
(5星)	 佩服青楚，喜欢高齐，被钱小样搞哭了。青春的范本，很好的剧集。            
(4星)	 虽然电视剧中有那么多得雪中送炭显得很假，但是又不免给人一种希望。            
(5星)	 高齐！ 偶像！ 我学医的原因啊！            
(3星)	 无论如何毕竟是少有的天朝都市题材，虽然...            
(5星)	 当时只记得钱小样            
(4星)	 还不错的，几位主演都挺喜欢的。            
(4星)	 克夫的大家庭…= =。编个正常的故事多好呀            
(3星)	 年轻新一代的爱情，现实贫民版本的奋斗吧………………            
(3星)	 看着雷蕾就想起桓安来了            
(5星)	 有才的编剧，看得冒笑的电视剧，台词方面是我比较感兴趣的。三女的就属王珞丹两母女好看！酱油男与酱油女最后一秒钟终于改变了酱油到底的命运，符合国人心理！            
(3星)	 王珞丹演的，也都太一个调调了。=。=            
(NA)	 太假了            
(4星)	 很爱听上面那位老太太说话，句句哲理，句句人生啊            
(4星)	 喜欢            
(5星)	 喜欢赵宝刚的一切作品            
(3星)	 这部剧把王珞丹演活了  咕~~(╯﹏╰)b什么的逻辑 总之比奋斗顺眼多了。            
(NA)	 只爱那首歌--只为了你            
(4星)	 上一代三表姐妹。跟自家好像！！！一开始觉得王珞丹演技做作，后来觉得角色性子还真的出来了。中间钱爸瘫痪那段情节铺设很不错，跟后面的开展衔接还是很有韧性的。霹雳被杨尔发现没上剑桥的实情，情节有些小突兀和刻意……真心喜欢高齐这种男淫，最最喜欢雷蕾这个妞，各种知性优雅有内涵            
(5星)	 老喜欢钱小样了~            
(3星)	 我觉得这部好贫  讨厌陆毅和赵什么玩意儿的            
(4星)	 女二号毁了这场戏。            
(3星)	 只能说还行            
(4星)	 喜欢小样的执着。喜欢霹雳的果敢。喜欢清楚的理性。            
(NA)	 不错的片子            
(5星)	 青春，成长，成熟需要付出、代价甚至是痛苦换来的。爱，就一路走到黑，不离不弃。坚持，是一件很难得的事情，坚持到最后，相信终会有彩虹。            
(4星)	 = =  已经没有赵宝刚之前的感觉了。            
(1星)	 看到王珞丹就讨厌 然后各位粉丝别拍我  我是为了王珞丹才打一星的 那些认真工作的导演人员让你们受苦了            
(5星)	 几种家庭几种做法几种人生表现的淋漓尽致            
(3星)	 大二窝在寝室看的~除了假还是假~            
(3星)	 找不到奋斗1的赶脚。。            
(4星)	 有很多感同身受的地方！            
(4星)	 我喜欢律师            
(3星)	 一般吧。。没什么意思。。            
(5星)	 这个我倒是很喜欢            
(5星)	 好看            
(4星)	 犯错的孩子很可怜。。            
(5星)	 青春 就应该是这个样子的            
(4星)	 感觉里面说的一些话真是到心里去了。            
(5星)	 不过别人说什么    这部永远在我心里是经典...            
(5星)	 《我的青春谁做主》集体签名本 http://item.taobao.com/item.htm?id=7560538193            
(NA)	 以前看的，今天突然想起来。这一个电视剧是我第一次感受到里面的台词挺有意思的。            
(NA)	 只看了朱雨辰那些片段。。。            
(5星)	 果然不错，很好看            
(4星)	 那两个个女婿都是蹲过大牢的 这家女儿真够惨的            
(3星)	 感觉没有奋斗好            
(5星)	 我想是每个走在路上的人都会喜欢的            
(5星)	 喜欢王珞丹~~            
(5星)	 恩，很不错！            
(3星)	 较差与还行之间矣            
(4星)	 赵宝刚的剧看得我边骂边满心欢喜= =            
(NA)	 乐乐老师有出镜啊~~            
(4星)	 台词不错。剧中陆毅受伤，赵子琪开车送他往医院的情节，让我下了学开车的决心，这辈子保不住什么时候非我开车不可。            
(3星)	 无聊时候可以看看            
(3星)	 感觉就是想超越奋斗但是没成功            
(4星)	 我最喜欢的是 霹雳            
(5星)	 台词一定很难背。。            
(4星)	 一直觉得自己就像钱小样            
(NA)	 书是熬夜看完的 电视剧也断断续续的 偶尔电视上播了 就瞟一眼 进广告了 就换台             
(2星)	 我真的不喜欢王珞丹 真心真心            
(3星)	 结局还挺反转~            
(3星)	 青春有时候就是太天真，你以为海阔凭鱼跃，天高任鸟飞，也要有那个运气，不然什么时候被淹死，被摔死都不知道。。。            
(2星)	 凑活看吧。            
(4星)	 看到最后也没能喜欢上赵子琪。。。林小圈儿倒是个惊喜~            
(5星)	 钱小样太乐了。            
(5星)	 钱小样！            
(5星)	 王珞丹绝对是亮点            
(NA)	 2009年4月，刚好在一个转折点，接触了这部剧，心理感叹：怎么这么迎合偶们的节拍呢？            
(3星)	 没奋斗好看            
(NA)	 年代人物的交错            
(3星)	 一般般，肯定是不如奋斗。            
(3星)	 我在eggache的情况下选择收看了。            
(4星)	None
(4星)	 就是失实了一点            
(4星)	 喜欢小样和方宇的感情，比奋斗好看！            
(5星)	 超级喜欢钱小样！！和我性格好像啊！！里边话也有很多经典            
(4星)	 赵宝刚的片子里都有些京味在里头。。像是奋斗，婚姻保卫战，家N次方，永远都是有点贫的京腔~亲切又生活            
(5星)	 我的青春，留下你的印记。            
(4星)	 奋斗的姊妹篇            
(3星)	 这样的电视剧就这么红了几个年头，还不错。            
(4星)	 我记得我貌似喜欢三姐妹里最小的那个            
(3星)	 貌似没看完呢            
(5星)	 看过奋斗，一定要看这部            
(3星)	 经济基础决定上层建筑            
(4星)	 别人的人生了            
(3星)	 情节一般，喜欢小样那一对~~大爱朱雨辰~~            
(4星)	 只是没看完            
(4星)	 这部剧留给我印象最深的就是那个聪明漂亮又果敢独立的李霹雳，喜欢这样的女孩。            
(3星)	 越拍越脑残。。。            
(5星)	 初三那年给过我力量的电视剧            
(NA)	 喜欢高齐            
(4星)	   钱小样，目标啊            
(4星)	 这才是我开始喜欢王珞丹起点，奋斗是个屁。            
(3星)	 没事耍耍也挺好！            
(3星)	 我的第200部是本杰明巴顿奇事 我好开心            
(NA)	 一群女人的故事            
(3星)	 短发气质美女-赵子琪/09年暑假            
(4星)	 希望我也能在未来的某个日子里遇见自己的大蚂蚁。            
(5星)	 从这部戏认识白百合和林园，还有那个高齐，太完美~~            
(NA)	 80后的励志剧，但是剧情还是设想的太美好了，哪有稍微一努力就成功的            
(5星)	 我的小样。            
(5星)	 想当年谁陪我度过那中考复习= =            
(3星)	 赵宝刚的剧就是太矫情……            
(4星)	 剧情，台词，现实，人物，都不错，适合都市小白领看            
(3星)	 2009            
(2星)	 没看完            
(5星)	 有点过于理想了。            
(5星)	 我的青春我做主。            
(5星)	 我的青春谁做主？我的人生谁做主？            
(NA)	 还行 还是喜欢奋斗            
(4星)	 虽然有些不实际，但是还是侧面的反应了部分我们的生活。            
(NA)	 这是王珞丹给我的第一次见面            
(3星)	 我一直觉得陆毅就是搅屎棍            
(NA)	 超级喜欢张铎扮演的好男人。也是我们东北的，东北帅哥nb            
(4星)	 嗯，故事没啥好讲的，三女的一家一顿瞎作。但是，喜欢陆毅一对，各种优秀，我的最爱。            
(5星)	 中国编剧也有水平和内涵的            
(3星)	 陆毅那段太扯了              
(NA)	 王珞丹仍旧好傻            
(5星)	 however   最爱的电视剧  每一个人身上都有我所向往的样子              
(4星)	 冲着经典的台词看的            
(4星)	 高齐啊，内伤^            
(5星)	None
(4星)	 和奋斗一样，就是没看完            
(NA)	 蛮好看的啊            
(2星)	 陆爷，赵姨娘，你们还是各回各家继续奶孩子、当小三吧。            
(NA)	 不喜欢赵子琪。            
(5星)	 小样啊 我是现实版的！哈哈            
(5星)	 钱小样，生活里不会出现的钱小样。            
(3星)	 真心讨厌赵子琪！！            
(5星)	 很适合我们这个年龄的人看，很有同感~高齐是个很好的男人~            
(3星)	 就是一堆人自己感动自己的~~特矫情·~~多的一星给王珞丹~~            
(5星)	 非常好            
(5星)	 1、家是什么？家是中国人几千年赖以生存的条件。家是每个人的安全伞、保护罩，什么都没有了，只要还有家就不至于一无所有。 15集姥姥语2、门当户对是正确的。生活不在一个层面永远无法活在一起            
(3星)	 到底是有钱人的生活            
(5星)	 我们家陆毅演的诶！！！！！！！！！！！            
(5星)	 超爱  小样的            
(5星)	 要是没有那起郁欢落水  应该感觉会更好，但依然不错。结局有点完满主义，但主旨就一个，真爱打败不了现实！期待自己吧！            
(4星)	 老妈最看看 喜欢赵青楚 可惜我只是小样            
(NA)	 我承认，杨晓芸她妈变一鸿鹄了            
(3星)	 凑合吧。。            
(NA)	 木有喜欢的主角。哦霹雳她妈还可以。            
(3星)	 特喜欢“小样”这名字；赵青楚的故事也太理想化了，脱离实际            
(NA)	 高齐啊 好男人啊 想想就是了            
(5星)	 好看。            
(4星)	 后十集很感人，有张力啊。            
(5星)	 关键词，青春；另外价值观；另外家庭，包括教育，父母子女关系，父母之间关系；最后社会，最终在社会中成长            
(3星)	 白看了            
(5星)	 太酷了！            
(4星)	 高中的时候看的了，记得当时跟我妈一起看的，当时很稀饭的样子呢~~            
(4星)	 好看~喜欢上白百何就是从这部剧开始的~            
(3星)	 对白听着很过瘾            
(5星)	 蛮好看的，与《奋斗》是同一类型的！            
(4星)	 奋斗第二版             
(5星)	 看了两遍            
(5星)	 钱小样，这是王珞丹所有电视剧中我最喜欢的角色了            
(4星)	 不解释            
(3星)	 =。=其實也就還行            
(NA)	 有思想            
(4星)	 不知道，就是喜欢。            
(3星)	 又是一部喜欢台词多余剧集本身，总能在合适的时候蹦出妙语，睿智的姥姥是我最最喜欢的，可能是因为身边从来都没有这么一位可以是指路明灯的长辈，想象中的长辈的形象完全符合，，如果赵清楚的身份不是律师、如果没有那几场狗血的法院辩护，这部剧还可以多加一星，            
(3星)	 一出克夫家族的大悲剧            
(NA)	 大爱白百合。            
(5星)	 王珞丹真的演得很好、演雷蕾的也演得不错、每个演员都把自己角色的特点发挥出来了。            
(5星)	 喜欢蕾蕾。            
(NA)	 - -#            
(5星)	 喜欢前小样  好可爱 不喜欢赵子琦做作的            
(4星)	 挺喜欢的 里面是我们那个年代的思维和故事            
(5星)	 我做主！            
(4星)	 如果连爱都不行，还有什么能扛得住消磨。            
(5星)	 我喜欢高齐。            
(4星)	 青春就像时间，在你不知不觉之间就流逝了。你想在这段时间把握些什么，却发现自己特别无力，什么也做不了。而当你能做的了的时候，你却又发现青春已经离你而去了。自己做主的青春，其实真的是自己做主吗？            
(5星)	 喜欢珞丹。            
(4星)	 台词很溜，少数人的青春            
(4星)	 对我还算意义非凡的片子。。            
(5星)	 非常好看            
(3星)	 当年在宿舍 我们四个每晚都看 但是越看越假啊。。            
(3星)	 两天的时间狂轰乱炸看完了。。。 嗯，还行吧。可能是奋斗太成功了，使得这个看起来没那么新鲜了。。 结尾剧情有点牵强。。             
(4星)	 热潮那会儿好几个阿姨说我钱小样。。我估计他们是说我在家的个性像。好了下次再也不扎两个辫子去跟阿姨们吃饭了。。            
(4星)	 最起码这个故事还比较真实            
(3星)	 喜欢那个医生~哈~            
(3星)	 比奋斗差多了            
