http://movie.douban.com/subject/2156748/	雪山飞狐
(NA)	 小时候看的。不记得剧情了。记得妈妈很喜欢看。            
(NA)	 在昌邑的超市里，和妈妈，听到歌            
(4星)	 感觉拍的质量相当好，场景选的出色，歌曲也很经典，女主角那叫一个清纯漂亮            
(5星)	 个人觉得金庸武侠电视剧最有味道的一部            
(3星)	 胡斐可年，喜欢和被喜欢的都挂了。和庸脂俗粉成亲过日子。江湖又怎样？            
(4星)	 当年喜欢龚慈恩的程灵素            
(4星)	 那时候很迷恋～            
(3星)	 小时候总在想 为什么男猪脚要叫土匪···            
(4星)	 剧情都忘了，只记得雪中情，追梦人            
(4星)	 金庸十二钗，独爱程灵素。程灵素，一个有双黑亮眼睛的瘦弱姑娘，一个终日与毒物为伴却心底澄澈如水的奇女子，一个为了心中所爱最终丢掉了性命的苦命人。金庸笔下的女子，多半绝色，但你却只能在姹紫嫣红的百花园中独自啜泣，就如同药王谷漫山遍野的小花，虽清淡可人，却终究敌不过紫罗兰的热烈奔放。            
(5星)	 我的爱情启蒙片。难忘胡斐买了木梳赠与袁紫衣，可惜佳人已出家，即将远走。那个场景让不懂爱情的我难过很久。            
(3星)	 最爱的灵素，没有之一            
(NA)	 程二妹...那时就是想问为什么胡斐会不选她啊??            
(5星)	 卡带我还留着            
(3星)	 记忆已经模糊了～            
(4星)	 程灵素比紫衣漂亮，男主不选她也就罢了，为什么还要让她死呢，怨念啊            
(4星)	 经典的片头、片尾曲！为了不给童年留下遗憾，还是完整地看一了遍！            
(3星)	 小时候好喜欢他的帽子            
(4星)	 3天看完，累死了，里面3个女的都很漂亮。。。拍的好，虽然没现在画面好。。武侠经典。。            
(5星)	 小学三年级，看它看成近视眼。            
(3星)	 雪中情            
(4星)	 就记得这个版本的灵素            
(5星)	 小时无限喜爱这些刀光剑影，爱恨情仇……“让青春吹动了你的长发让它牵引你的梦不知不觉这红尘的历史已记取了你的笑容……”            
(3星)	 最喜欢那主题曲追梦人……            
(3星)	 龚慈恩是偶心中永远的程灵素。            
(4星)	 那时候觉得龚慈恩很好看            
(5星)	 好            
(5星)	 小时候比较喜欢看的一部武侠片。            
(4星)	 胡斐你他妈不喜欢程灵素你去死吧！！！            
(5星)	 凡是跟回忆挂上边的，直接五星            
(4星)	 经典的主题曲，传唱不衰            
(4星)	 金庸作品之一            
(4星)	 最接近原著的一部电视剧，最美的长白山，最脱俗的程灵素～            
(4星)	 每次听到主题曲都会很hing            
(5星)	 他们都会飞啊            
(3星)	 地方台放阿放的，看到吐            
(3星)	 童年回忆啊            
(3星)	 都是小时候看的了啊             
(3星)	 追梦人。            
(5星)	 内容分不太记得了 但是片尾曲记得 很好听~            
(5星)	 小时候经常看，以后想抽空再看。            
(3星)	 小时候的剧啊，但回想起那主题曲会莫名的头晕，因为以前发烧的时候听到这主题曲映像深刻。            
(4星)	 童年            
(NA)	 学前班的时候，江苏台放的。印象中看的第一部古装。那时候班上流行画藏宝图，至少我们俩是超迷，我画了不少。两首主题歌都非常好听。            
(5星)	 当时的大热电视剧，可是第一遍放的时候我对武侠不感兴趣，也有万人空巷的效果。            
(5星)	 为了龚慈恩的程灵素，孟飞的胡斐，还有汤镇宗那个俊俏邪恶的田归农，这版也值5星了！            
(5星)	 当时超希望最后胡斐和袁紫衣在一起的。            
(3星)	 =。=            
(4星)	 如今记忆中剩下的就是男女主人公的名字还是那些经典的歌曲            
(5星)	 老片明显高分            
(4星)	 寒风潇潇，飞雪飘零 。            
(5星)	 追梦人。            
(4星)	 记忆里的。            
(5星)	 雪山飞狐一直被翻拍的很少，更显着他的经典            
(4星)	 最爱程灵素，那个聪明绝顶心细如丝却自卑的女子            
(3星)	 当时觉得片头片尾无限好听             
(5星)	 这是我唯一记得的情节比较完整的金庸剧。很爱这部电视剧，这里的英雄不是八面玲珑，也有被世俗得志之人挖墙脚的烦恼；这里的英雄也只爱外表美，心灵美的姑娘只能成为知己；这里的灰姑娘不会变成公主，因为王子很懦弱。剧情很真实，但并不觉得残酷。生活不就是这个样子嘛            
(3星)	 胡一刀            
(4星)	 记忆中的经典。。。            
(5星)	 寒风萧萧            
(3星)	 真老的片子啊，特别喜欢，当时看到二妹死的时候哭惨了，特别恨男主。还有主题曲也特别经典好听，我家还有那个磁带呢~~            
(4星)	 女主很漂亮，主题曲“雪中情”难忘经典！            
(5星)	 小胡斐很帅。很喜欢程灵素。            
(NA)	 龚慈恩啊~            
(NA)	 。。。。。            
(5星)	 程灵素的故事告诉我：不管你有多么爱一个人，你得允许别人不爱你。            
(4星)	 当年。。            
(5星)	 还记得那首歌，还有那山上的雪。。。            
(5星)	 主题曲太好听了            
(NA)	 雪中情，雪中情，拖长了唱            
(4星)	 里面每个女人我都好喜欢！            
(NA)	 小学，每晚摸到邻居家去看电视，至深夜回家，爷爷一大把年级还要起床来给我开门。。。想想真是没心没肺。。。无限怀念爷爷中。。。            
(3星)	 还是只对片中音乐印象较深刻            
(4星)	 里面的歌真好听……            
(5星)	 胡一刀夫妇真是...程灵素啊，哎            
(3星)	 我喜欢胡斐的妈还有程灵素，讨厌袁紫衣，更讨厌苗若兰……看来我真是讲究先来后到            
(4星)	 程灵素。为什么你会那么好那么好呢！            
(5星)	 这是我至今被长辈们津津乐道的小时候喜欢的影视作品。            
(5星)	 景色太美了            
(NA)	 其实我只记得“雪中情……雪中情……”和白雪皑皑的冰天雪地了            
(4星)	 好喜歡袁紫衣的名字和樣子。她出家那時傷心了好久……            
(4星)	 剧情2星，人物+1星，《追梦人》&amp; 《雪中情》再+1星            
(4星)	 电视一般般，片头片尾曲都非常好听。            
(4星)	 主题曲很好听            
(NA)	 爱死龚慈恩            
(5星)	 好喜欢啊好喜欢，连绵的雪山。。。            
(5星)	 雪中情，追梦人            
(4星)	 苗人凤也是我的初恋，之一            
(3星)	 寒风萧萧            
(4星)	 当年有点看不懂，不明白为什么紫衣不能和主角在一起。片尾曲绝对的经典。追梦人。            
(NA)	 紫衣紫衣，让青春吹动了你的长发，让她牵引你的梦。。。            
(5星)	 经典            
(4星)	 最爱的程灵素啊~~~            
(4星)	 当年的经典~            
(4星)	 老片经典.的多.            
(4星)	 雪中情~雪中情~~~其实我对紫衣印象最深刻            
(3星)	 哈哈 都是老版好看~            
(4星)	 歌是经典。            
(5星)	 最爱这个            
(4星)	 一种儿时的回忆吧            
(4星)	 为什么这个现在不重播了呢            
(5星)	 虽然忘记演的是什么了，但是我记得小时候很迷恋            
(4星)	 雪中行，雪中情            
(NA)	 最喜欢程灵素，其次是胡一刀和胡夫人。觉得马春华最让人纠结，不知道是该喜欢她还是不该喜欢她。            
(NA)	 额，这片小学的时候看的。看过之后咱画了些不好的画，结果被同桌的男生嘲笑，大吵了一架。羞愧啊羞愧。            
(4星)	 让青春吹动了你的长发让它牵引你的梦。。。            
(4星)	 觉的不错····主角和音乐··            
(3星)	 太老了~老的以至于不想重看。虽然当年很经典的说。            
(NA)	 追梦人是这个版的插曲么，记不得了。现在除了白帽子白袍子全无印象。            
(3星)	 就记得龚慈恩了            
(4星)	 最经典的一版            
(4星)	 这部片在我脑子里面的印象就是冰天雪地貂皮毛绒大衣            
(NA)	 小学的时候看过，放过两遍，每到大结局我就睡着了，悔恨中            
(5星)	 儿时最美好的回忆            
(5星)	 内容不说了，配乐太好听了。。。            
(4星)	 很小的时候看过，现在完全记不得剧情了- -             
(3星)	 很小的时候看的。            
(4星)	 追梦人            
(5星)	 程灵素不应该死！！！！！！            
(4星)	 喜欢程灵素是因为实在不待见袁紫衣，这姑娘实在太作~~~另外，袁紫衣的选角也很有问题，近期又在屏幕上看到伍宇娟了，演一中年妇女，发福，卷黄毛，花花裤子，朋友大叫，残了残了，想当年~~~我仔细想了想当年问，她当年有如花似玉么？            
(3星)	 歌不錯...            
(5星)	 就喜欢这个版本的，前两年好像又出了几个版本，但就是磨灭不了童年的美好记忆            
(4星)	 片尾曲很经典            
(4星)	 雪中情。。。            
(4星)	 很喜欢里面的程灵素            
(3星)	 追梦人~~            
(4星)	 印象最深的当然是纯净的龚慈恩版程灵素和那首耳熟能详的插曲，逝去的童年            
(4星)	 看的时候很小，啥也记不得了，只记得当时一听片尾曲我心情就很幽怨啊……            
(5星)	 小学暑假，在松下录像机上看了很多遍，直到带子烧了的经典            
(4星)	 剧中的插曲是凤飞飞的追梦人，而其他的配乐也相当地出色，原来是台湾音乐教父罗大佑的杰作，怪不得。龚慈恩的程灵素把那个知性痴情又内敛忍让的女医师做得很到位，和书中描述的气质蛮相符的。雪地苍茫，胡斐佩剑独行，“让春风吹动了你的长发，让它牵引你的梦……”            
(5星)	 90年代的永恒~            
(NA)	 很小的时候看，对主题曲印象很深，长大后爱上三毛，才知道是罗大佑为三毛而写            
(NA)	 喜欢里面的龚念慈             
(5星)	 T_T   记得很喜欢            
(3星)	 还记得追梦人...            
(4星)	 主题曲追梦人超好听            
(4星)	 我心中永远的经典。苗大侠！            
(5星)	 记得那首歌            
(4星)	 喜欢胡一刀和冰雪儿！            
(3星)	 这么好的程灵素，你为什么不爱！            
(4星)	 啊哈哈，啊哈哈。            
(5星)	 一曲梦中人。            
(4星)	 经典是这么来的。灵柩，素问。程灵素。            
(5星)	 好漂亮的场景啊            
(4星)	 这部片子只看过一遍，觉得蛮好的，之后想看电视就没放过了            
(NA)	 看过，只是有点印象了，剧情早就不记得了。            
(3星)	 也是只记得歌曲了……            
(5星)	 最向往的就是到大雪山，然后穿那些厚厚的毛茸茸的衣服，还有就是戴他们帅气的帽子，最喜欢苗人凤了！还有主题曲和片尾曲真不是一般的好听！            
(5星)	 就是想不通，胡斐为什么不爱程灵素            
(5星)	 毕业前回味过一次 始终是淳朴真挚的感动            
(NA)	 对片头片尾曲还记忆犹新，一唱起来眼眶就发酸，可见感情很深啊            
(3星)	 永远的冰雪儿、程灵素！            
(3星)	 童年的回忆，却对故事的情节伤心            
(4星)	 雪中情，雪中情，雪中我独行            
(4星)	 据说我小时候非常喜欢看...当然，据说而已...            
(4星)	 龚慈恩啊 龚慈恩小美人            
(3星)	 回忆啊            
(NA)	 难以忘怀程灵素            
(3星)	 老版，TVB还有另一版            
(NA)	 胡大哥~            
(5星)	 记得跟姐姐家看这个电视剧的时候，她们都哭了，我就努力逗他们笑，他们就哭得更厉害了            
(4星)	 很经典呀，本人最喜欢程灵素            
(4星)	 雪中情~雪中情~雪中我无情（大概是这样的吧。。。）            
(4星)	 这部也不错，后来经常让我想起的是因为在家里和大学的时候都有见过一家店，“胡一刀刀削面”            
(5星)	 经典，就是结局有些遗憾。。。。            
(3星)	 只记得主题曲了            
(4星)	 过了时代的经典老片            
(5星)	 一直记得主题曲：寒风萧萧 飞雪飘零            
(3星)	 这么多年来我一直没耐心看完整过，也不知道是故事问题，还是拍的问题            
(3星)	 雪中情，雪中情            
(5星)	 最经典的程灵素~片头片尾曲也很经典            
(5星)	 记忆中很好，现在想不起来了。            
(4星)	 跟 戏说乾隆 一样 只记得住主题曲了            
(5星)	 小时候多爱~            
(3星)	 经典烙印成永恒。龚慈恩为我们塑造了一个最完美的程灵素。到最后真的是“徒留雪中情”            
(5星)	 孙德成还真是配了不少那年月的当家小生            
(4星)	 当时觉得这部就是经典，后来电视剧再重播了一次，就觉得看不下去了。。画面太差了~不过歌真的很好听            
(3星)	 唯一比较好的就是&lt;追梦人&gt;了            
(5星)	 我最喜欢的版本            
(3星)	 我恨田归农            
(4星)	 记不清情节，那歌却依然记在脑袋瓜子里~~            
(3星)	 还行            
(5星)	 经典，喜欢孟飞            
(5星)	 让青春吹动了你的长发让它牵引你的梦，不知不觉这城市的历史已记取了你的笑容……青春无悔不死永远的爱人。——那首铭记着的追梦人。将飞狐外传和雪山飞狐融合在了一起。很经典。一直对程灵素，念念不忘。            
(4星)	 最爱凤飞飞            
(3星)	 我从小就有喜欢不良男二号的癖好            
(3星)	 伍宇娟长地也不好看，为什么选她呢。我好喜欢程灵素            
(4星)	 歌曲是经典            
(4星)	 程灵素真好看            
(4星)	 太多人看了这片子喜欢上了龚慈恩            
(4星)	 据说我小时候很爱看            
(3星)	 小时候看的一定是这个~~只记得漫天大雪~~            
(NA)	 寒风萧萧，飞雪飘零，长路漫漫伴歌而行            
(4星)	 龚慈恩            
(5星)	 那时候完全无法理解胡斐同学的择偶观啊。。。放着身边美貌聪慧善解人意又无比痴情的程MM不要，却对反复无常莫名其妙的袁紫衣念念不忘，后来还忘年恋喜欢上比自己小很多的苗MM，只能说，整部戏我都对男主很无语。            
(4星)	 寒风萧萧，飞雪飘渺，左执刀，右扶娇。            
(NA)	 程灵素            
(3星)	 2岁时看这片基本就没看懂吧，怪我            
(3星)	 印象最深的就是 胡斐刚刚长大后耍刀那段 和 药王谷的毒药...            
(5星)	 最终得到三个结论1，胡斐没有他爸厉害2，其实我只是为了看最后一集3，苗人凤很帅            
(4星)	 经典之作！            
(4星)	 记得当初看这部电视的时候是在小学住校,每个星期五的晚上,我们都不上晚自习,全校的人一人一个小板凳坐在操场,共同看着一台大彩电,好怀念旧时光啊```            
(3星)	 主题曲好听。            
(3星)	 小时候看的，留下唯一印象就是灵素死在一根蜡烛旁的镜头，高三看了小说，从此喜欢上这个长得普通，冰雪聪明的女孩儿            
(5星)	 喜欢他的主要原因是，演员。歌曲也是相当不错的。 当年邻上学之前都要看上一段再疯跑出门。            
(4星)	 雪中情，雪中情，帮他吸出毒液那段至今记忆犹新            
(4星)	 模糊的追忆            
(4星)	 记得很清楚那时我家没有电视，在一个下雨的夜晚，看了邻居家5分钟雪山飞狐            
(5星)	 经典啊，龚慈恩气质超佳            
(4星)	 山连山，洞连洞，洞里出来个苗人凤。苗人凤，武功高，他的朋友胡一刀。胡一刀，是英雄，他的仇人田龟龙……            
(NA)	 小学时的回忆            
(4星)	 经典            
(5星)	 具体的内容已经不太记得了，可是，片曲却深深不忘呀~那时候特别特别的喜欢片尾曲，虽然还很小，但却非常的有感觉。。。            
(4星)	 记得歌非常好听            
(5星)	 又是大爱之一~            
(NA)	 孟飞好丑，那时候觉得程灵素很美丽，讨厌紫衣            
(5星)	 全忘了。            
(5星)	 永远忘不了主题歌            
(5星)	 90年代比较早的合拍吧，还是现场采景，还有龚慈恩，不错的童年回忆。            
(5星)	 程灵素和配乐是大爱            
(5星)	 寒风萧萧,飞雪飘凌!            
(3星)	 当年我6岁，巨喜欢紫衣，到现在也不知道为什么            
(3星)	 在长白山拍的            
(4星)	 让青春吹动了你的长发让它牵引我的梦。。。            
(5星)	 在俺们省长白山拍的，为什么啊为什么？为什么当年那样的技术条件能拍出这么多这么多这样的剧，现在就不行。            
(5星)	 销魂的调调            
(4星)	 歌曲经典啊~~            
(4星)	 歌曲很经典            
(5星)	 小时候的回忆            
(4星)	 主题曲不错            
(5星)	 现在都不记得剧情了，小时候看的，想重温下            
(4星)	 有点向往一种生活……            
(5星)	 最喜欢袁紫衣            
(4星)	 这版最经典的是程灵素            
(4星)	 一直记得有程紫衣这个名字 后来发现记错了两首主题歌都很经典            
(4星)	 让青春吹动了你的长发让它牵引你的梦            
(4星)	 为了程灵素            
(5星)	 猶記主題曲。            
(3星)	 那时代影视剧的主题曲似乎都很好听，为虾米呢  = =  以前觉得龚慈恩很难看，现在看就真的不错~            
(4星)	 小时候吓哭了            
(3星)	 服装当时看着挺漂亮            
(4星)	 本来觉得很好，片尾曲赞，但老是有穿帮镜头            
(4星)	 这版精不错            
(3星)	 怎么我都看过            
(4星)	 主题曲现在还在听。追梦人。影响最深刻的就是那谁帮那谁吸毒血。。。爱与被爱，好残酷。这就是现实。            
(4星)	 多小的时候看的，那时候还会唱主题曲呢~            
(NA)	 已经记不清情节了            
(NA)	 十分喜欢龚慈恩啊            
(NA)	 还是喜欢老版～            
(5星)	 都记不得了            
(NA)	 主题曲是凤飞飞的《追梦人》            
(5星)	 最早看的港台剧了，算是爱情启蒙了吧~~            
(4星)	 记得小时候有看过...反正感觉这片特古老~            
(5星)	 喜欢程灵素            
(5星)	 就那几首主题曲也该得五分            
(4星)	 儿时的印象很深，现在不想再翻开看了，害怕现在的眼光打破以前美好的记忆，总归是不错的            
(5星)	 当年的经典。            
(4星)	 还是7岁样子看的吧            
(3星)	 记不清主演都什么模样了，只是那年头喜欢看，追梦人好听            
(5星)	 主角都很漂亮，喜欢~            
(5星)	    童年            
(3星)	 时间总是定格在那些画面 那些声音 那些味道...因为那是我们的童年            
(4星)	 景色、服装、程灵素都美翻了。            
(4星)	 很经典啊            
(4星)	 胡一刀比胡斐帅虽然是一个人演的，小时候最喜欢胡一刀那顶白色狐皮帽和狐狸围脖~            
(4星)	 纯粹为了主题曲            
(5星)	 现在都很难买到这套碟了~~            
(4星)	 程灵素啊程灵素            
(4星)	 喜欢龚慈恩            
(5星)	 经典的经典。            
(5星)	 经典，小说电影都看了            
(4星)	 只记得胡斐，有空再看看            
(3星)	 人很帅，片子继续乱改。            
(4星)	 小学的记忆，歌曲也不错            
(3星)	 印象较深的一版！            
(4星)	 记忆里的经典            
(1星)	 记录            
(4星)	 好听的音乐，美丽的龚慈恩~            
(4星)	 主题曲我现在还在听            
(5星)	 童年的经典            
(3星)	 印象最深的是 开演前插播的哪个什么火锅的广告            
(5星)	 童年的记忆            
(NA)	 说来说去,雪山一著,这个版本最满意.            
(4星)	 真想再看一看            
(4星)	 最爱程灵素～            
(4星)	 片頭和片尾曲很經典！            
(3星)	 雪中情，雪中情……            
(4星)	 经典呀！最喜欢程灵素了！片头片尾曲都好好听~            
(4星)	 只记得那首主题曲了...            
(3星)	 那首歌好彪。            
(5星)	 小时候的经典            
(2星)	 片尾曲还会唱            
(NA)	 喜欢            
(4星)	 太早了，早到我只记得很好看，很好看。            
(5星)	 喜欢程灵素，喜欢龚慈恩。            
(NA)	 曾经            
(NA)	 有雪中情,还有罗大佑的那首追梦人            
(5星)	 最好的程灵素，最好的胡斐            
(5星)	 片头片尾曲和电视剧一样经典！            
(3星)	 歌留下來了，演員忘記了            
(5星)	 作为一部90年代初期的电视剧，没有当今所谓的偶像，但是几乎每个演员都把剧中的人物刻画得十分经典。第一次看这部雪山飞狐，我应该只有5，6岁，事隔多年，前不久再次回顾，又感怀不已，好的影视作品牵动人心，即使有些情节难免虚构，却总能使观众身临其境，信以为真。和现在电视上那些多如牛毛的，不知所谓的烂剧相比，不知那些人是否自惭形秽，我倒是真为他们感到深深的遗憾……这些不提也罢！真正美的东西终究会得到肯定，且永留在人们的记忆中！            
(5星)	 俩俩相望实在太赞勒！！！            
(NA)	 喜欢里面的取景，东北的那种大雪封山的感觉，景色真好            
(3星)	 记忆已经很遥远了，但是主题曲依旧缭绕销魂。            
(3星)	 就记着歌很好听了……剩下的忘了……            
(5星)	 永远不忘的苍茫白雪，儿时的深深记忆，不喜欢袁紫衣！            
(3星)	 追梦人            
(4星)	 这个剧情到底是怎么把两本书和在一起的？            
(3星)	 小时候的印象            
(4星)	 超喜欢里面的主题曲            
(4星)	 感觉很好，歌超经典            
(NA)	 雪中情 雪中情 我记得最后大家去寻宝的样子 当时还想 要是我也有那么一副地图就好了            
(3星)	 演员的妆很夸张。。            
(5星)	 经典不再            
(NA)	 追梦人一直唱到现在。。。喜欢灵素            
(5星)	 在那个年代，这可是精品！            
(2星)	 只因原著不爱            
(NA)	 这版太经典啦            
(4星)	 那时特别喜欢胡一刀和冰雪二特别喜欢看武林大会那集特别郁闷程灵素            
(NA)	 不记得了都            
(4星)	 剧情已经模糊了，只记得主题曲很好听            
(NA)	 童年回忆，记得到处都是雪            
(4星)	 很不错            
(NA)	 古装武打片             
(NA)	 不同时候，看起来有不同滋味。顺便回忆童年。            
(5星)	 这个版本的程姑娘很美的~歌也好听~            
(4星)	 我居然能记得第一集的有些情节，好神起~~~~            
(NA)	 小时候和表哥一起看            
(3星)	 很不喜欢苗若兰，喜欢程灵素，非常喜欢……还记得“让青春吹动了你的长发让它牵引你的梦……”这首歌么            
(4星)	 童年回忆            
(4星)	 寒风飘飘            
(NA)	 小时候看的  很喜欢 我就得男主很帅的            
(4星)	 最喜欢这版的《雪山飞狐》            
(3星)	 追梦人的歌让我印象深刻            
(5星)	 最爱的程灵素            
(4星)	 又是一部很早以前的电视剧，当时看的时候觉得不错，现在再看不知道是不是依旧如此。            
(NA)	 90年代的安徽台放了N多的台湾剧，那个时候的武侠剧也占了半壁江山            
(NA)	 经典            
(NA)	 雪山飞狐            
(3星)	 小时候看的。            
(5星)	 记忆深刻            
(3星)	 金庸             
(4星)	 我还记过歌词，好像现在也会哼几句。            
(4星)	 童年的记忆了            
(4星)	 胡斐好帅，一天里的故事            
(4星)	 4.1            
(NA)	 1991年            
(NA)	 怀念            
(4星)	 那时候感觉这也是爱情电影……            
(NA)	 暂无            
