http://movie.douban.com/subject/3882759/	绯闻女孩  第三季 Gossip Girl Season 3
(4星)	 我还在继续追的原因就是c&amp;b了吧。            
(NA)	 越来越滥交了            
(3星)	 我依然很狗血地看到现在=皿=。            
(5星)	 pretty people,pretty clothes,pretty accent..            
(3星)	 丝毫没有想看下去的兴趣了            
(3星)	 实在看不下去了            
(5星)	 太棒了            
(3星)	 虽然越来越无趣了，但闲暇时看看帅哥美女还是不错的。            
(3星)	 越来越墨迹了...脑子不清楚。乱关系。            
(2星)	 还在追，你说我无聊吧            
(NA)	 狗血的ending。            
(4星)	 3季不纠结就不是人。。。            
(3星)	 受不了这种混乱的关系= =            
(3星)	 转啊转啊又转回来了= =皮埃斯，J真特魔的贱            
(3星)	 越来越扯淡了···            
(3星)	 有没有搞错啊！！狗血成这样！！            
(NA)	 为了BC要继续脑残下去            
(4星)	 好看～～            
(NA)	 C 和B是无辜的受害者。。。。            
(3星)	 吃饭的时候看随看随关，同时不影响食欲，不影响接电话不影响发短信，不影响去端个菜的，随时接得上的好影片！            
(3星)	 这一季的Serena颇有疯狗的气势囧。            
(3星)	 不管怎么样，C越来越棒了~~~   只要C在，我就看！            
(5星)	 咖啡男告诉我三月八号会开始继续播。            
(NA)	 chuck的成长比预计得要快            
(4星)	 12集最后十分钟俺感动了的说- -            
(3星)	 越做越差            
(2星)	 都已经编得没得再编了，为什么还要一个留下“悬念”的结局，直接结尾了就好了！我想问问那几个人还有哪些没发生关系的！！还有哪个的父母还没出现的！！            
(NA)	 只看到十二集。我又爱回我的NATE。            
(3星)	 看过只是一部分而已            
(NA)	 被 Chuck Bass 迷得神魂颠倒..            
(4星)	 chuck &amp; nate &gt;u&lt;            
(5星)	 I almost cried when chuck bass nearly proposed            
(3星)	 弃了            
(4星)	 衣服发型包包搭配神马的真美啊~            
(2星)	 实在追不动了 放弃。            
(4星)	 眼看B长为成熟有担当的女孩。            
(3星)	 每況愈下            
(4星)	 妈HI的狗血！            
(NA)	 喜欢里边的 插曲~~            
(4星)	 米國那邊出到哪兒了？？            
(NA)	 我还没弃。。。            
(5星)	 人人都爱 chuck bass~            
(3星)	 好乱。没前两季好看。            
(3星)	 有點兒看不下去了。            
(4星)	 C&amp;B 王道~            
(4星)	 有时他们把我感动得一团糟            
(4星)	 看完最后一集，当时我就卧了一大槽            
(3星)	 几么的讨厌RUFUS一家~大爱LILY 气质啊气质！小J变得。。。接受无能            
(NA)	 oh chuck~            
(4星)	 怎一个乱字了得~            
(3星)	 编剧你可以去屎一屎了-&#34;-            
(4星)	 好狗血的结局            
(5星)	 第四季快出，Chuck不能死……            
(3星)	 偶 滴 那个神阿,你们也太乱了吧~            
(3星)	 排列组合吧~~            
(5星)	 I think it is a good dream creater ...for those teenages who wanna go to New York. fashion, free,beautiful,and anything we dreamed ...            
(4星)	 第四季快出  BC别分开.....            
(3星)	 好乱的关系啊~复杂喜欢C和B            
(3星)	 绯闻女孩无处不在啊            
(3星)	 编剧你无聊的让这几个人来回纠缠，真没意思            
(3星)	 ENOUGH OF THE GOSSIP DRAMA            
(4星)	 纠结啊纠结            
(5星)	 我迷chunk阿~没辙……            
(NA)	 乱            
(5星)	 这季的结局，我情何以堪。            
(4星)	 我觉得第三季是拍的最好的..不再是纯时尚偶像剧了..剧情开始有悬念了..至少让我有看下去的欲望了..            
(2星)	 混乱            
(4星)	 越来越混乱            
(NA)	 坏人不坏叻             
(NA)	 没以前的好看了感觉，感情生活太乱了，乱的有点假了！            
(2星)	 剧情越来越狗血，剧组班子缺钱到这地步了，还要歪歪上层社会的生活…可怜啊            
(3星)	 直接放弃追第四季。            
(3星)	 编剧去过伊拉克吧！！！才会让C枪了            
(2星)	 热情在这一季消耗掉了，尤其是金发美妇和摇滚中年男的纠结爱情以及胸大无脑女的换偶史。            
(5星)	 - -chuck你是要死掉了么            
(3星)	 。。。            
(4星)	 well            
(3星)	 我也搞不清看这剧的动力是什么了……            
(NA)	 正式弃            
(5星)	 CHUCK~~~            
(4星)	 剧情一直在继续“乱伦”中……但还是追了这么久啊我，很喜欢B and J~~            
(3星)	 还好下一季没有jenny了。最后chuck真让人伤心            
(NA)	 找时间看！            
(NA)	 哎呀，我真是太爱狗血剧情了！！！！！            
(4星)	 剧情越来越不好玩了嘛。。            
(2星)	 各种乱搭看多了之后除了眼花缭乱的衣服也就没什么了            
(4星)	 越来越乱了，演员越来越大，但是剧集越走越慢，这样一来，都要出走了            
(2星)	 受不了编剧的不断折腾，一下这个一下那个，努力制造爆炸，用分手和滥交制造噱头。如果Serena的弟弟不是个Gay。估计编剧一定会把他搅到这摊纽约CBD的混乱中。讨厌不断的炒冷饭。            
(4星)	 这世上变得最快的是感情            
(4星)	 4星给最后一集....            
(4星)	 我的亲娘啊。。结局那个惊悚啊。。。            
(3星)	 他们是怎么忍受fuck around的？            
(4星)	 后面怎么样都随便了……            
(3星)	 好吧，剧情发展到这，我只想说，我就是以时尚服装教育片来看的……            
(3星)	 只有B和C有点期待了            
(4星)	 Chuck在我心中的形象彻底毁了。            
(3星)	 又跟下去了。。。每个人都有上另一个人的可能~            
(3星)	 没啥情节可言了 时装剧就是冲着衣服去的            
(4星)	 追到这里 我真的想说  为什么从头到尾  都要把S安排成一个不断在迷失自我寻找自我为 爱情沉陷的傻妞             
(3星)	 我等着某173娘男出场。            
(3星)	 爱情洗牌已经洗的差不多了，迫切希望注入新鲜血液。            
(4星)	 原来第3季已经完结了。。。看第4季的时候会在哪呢。。。            
(4星)	 还是喜欢B 和C，小魔女和小恶魔永远都支持。            
(3星)	 果真越来越胸大无脑的S，第三季真的不咋的            
(3星)	 无极限的排列组合告一段落            
(2星)	 弃之~            
(2星)	 Blair和Chuck终于在一起了...            
(1星)	 11            
(3星)	 太乱套了=  =            
(3星)	 角色搭配山穷水尽衣服搭配愈发精彩。            
(3星)	 其实有的剧情真的蛮2的            
(4星)	 越来越滥情。每次看C的眼神都会被电倒。对，电倒。只要B和C依旧，世界陷落都与我无关----借用            
(3星)	 In a mess            
(2星)	 没啥好看了……不过还是喜欢B            
(NA)	 无聊的编剧就一直让所有人都乱搞一遍就对了            
(4星)	 最后几集挽回了两星 PS.Chuck真的挂了的话我冲到他坟墓把他挖出来继续演= =            
(3星)	 又乱了又乱了            
(4星)	 C            
(3星)	 狗血而无比混乱的第三季，S你到底在想什么？！！            
(4星)	 J走了，走之前把所有人都毁了。            
(NA)	 Little J 深深的深深的雷到我了            
(NA)	 看看帅锅梅女都不是坏事            
(4星)	 看见Little j 就想吐。            
(3星)	 等到了希拉里达芙，却感觉有点不入。。。            
(4星)	 Lady Gaga，下一集在明年。            
(2星)	 无聊。弃剧。            
(4星)	 看你下一季该怎么编！连jenny和chuck都搞到一起了，就差乱伦了吧！不过，我喜欢dorota，哈哈哈哈            
(NA)	 chuck你要死了我也不看下一季了...浪子回头金不换..为啥我们总是不能与最爱的人在一起?            
(3星)	 还我Chuck!!!            
(3星)	 S这一季脑残            
(NA)	 c            
(3星)	 我说加几个新面孔行不行？？？            
(3星)	 我也就是想看看，要把Serena塑造成啥样子呢            
(3星)	 fancy clothes, terrible story乐此不疲的展现着每个人的SB一面。            
(NA)	 弃...            
(4星)	 QUEEN B~~不要抬眉毛不要露出抬头纹            
(NA)	 嘿嘿嘿   看服装和脸蛋            
(3星)	 越来越稀烂            
(3星)	 剧情越来越复杂，复杂的有点没意思了。            
(4星)	 不打算看第四季了            
(3星)	 鸡肋。。不看可惜，看了无味            
(4星)	 s3的后半部 蛮好            
(4星)	 我不敢相信最后一集chuck bass居然中弹了。。dan居然被georgina当了孩子的爸？Little j的dignity居然一直留到了第三季末尾，第一季我还看好她和E的嘞？真是搞的嘞的剧情。。为了剧中美女帅哥美丽的服饰，我再加一颗星~            
(3星)	 我疯了~排列组合~            
(2星)	 有谁能告诉我第三季编剧都在想些什么???好好一个剧就这么被写残了            
(3星)	 依然会坚持看下去。Just for B and C。            
(3星)	 so much drama            
(3星)	 编剧期待你的Nc            
(4星)	 这么狗血的剧情，还要有第四季...aiyaaaaa            
(NA)	 bye,gossip.            
(NA)	 finished season3ep16 弃            
(4星)	 我的全部激情只在于希拉里达夫的客串。没激情追下去了。。            
(NA)	 都第三季了            
(3星)	 乱的            
(3星)	 決定再也不看了希望 皮囊 能讓我舒服點.            
(4星)	 Ep16            
(4星)	 为了NS！为了NSBC            
(NA)	 C你若是真的就这么走了 我便随你一起去了吧。。。看的我心神不宁的22。。。            
(3星)	 神啊。我彻底爱上chuck bass了            
(3星)	 It reminds me a lot, which i dont like            
(3星)	 混乱 还是混乱 怎么就这么混乱  - -            
(4星)	 3月份回归后感觉编剧的脑袋被洗了！！居然不狗血了！！居然紧凑的环环相扣了！！            
(3星)	 能不能别那么复杂了            
(5星)	 LOVE IT            
(NA)	 …呃            
(3星)	 听说要拍六季，不是真的吧。            
(4星)	 剧情依然狗血，第三季最后那一枪震碎了我的心。。。我还是渴望这部剧继续，让我继续大肆谩骂编剧不要脸继续每日守望更新。。。I know I love you，XOXO，Gossip Girl。             
(3星)	 终于看完了，这一季有够乱的            
(3星)	 忍不住要去看的烂剧。。哈哈 但是俊男美女实在割舍不下~            
(3星)	 B和C在一起是多么的美好~决计不跟了~            
(3星)	 我放弃了。            
(3星)	 乱青春 Nate的好男人形象终究撑不过这一季 可怜不愿放手的Chuck            
(4星)	 越来越爱B，S似乎秀逗了            
(4星)	 chaotic plots, fabulous clothes!            
(3星)	 disordered            
(NA)	 不看了。            
(2星)	 够扯            
(3星)	 S1给5星 S2给4星 S3勉强3星            
(NA)	 一天世界  我不看了            
(NA)	 ……何时才是尽头。            
(NA)	 乱七八糟啊，到底想干嘛            
(NA)	 日来日去神马的。。            
(4星)	 小J越来越坏了            
(3星)	 后半段还行            
(3星)	 米前几季好看嘹..            
(3星)	 无力吐槽            
(2星)	 这一季终于忍着看完了……            
(4星)	 美式的直白，让我学会了直面错误和勇于道歉，我们不该总是那么含蓄            
(3星)	 怎一个乱字了得            
(NA)	 本季結局太狗血！太狗血！            
(4星)	 22集结尾真让我堵得慌            
(2星)	 只有小gayErik还算正常。。。            
(1星)	 傻逼编剧!!决定放弃了。            
(4星)	 到头了  不想看了            
(3星)	 已经看不下去了，什么乱七八糟的            
(2星)	 本以为这季是让B成长的一季，没想到主题依旧繁杂，有点小遗憾。弃之。            
(3星)	 坚持不下去了            
(2星)	 弃            
(2星)	 我只是为了看欧美流行风而已            
(5星)	 泰勒消失了。。。Chuck怎么可以中弹！！            
(4星)	 第三季居然看完了...            
(NA)	 卧槽老子是为毛要花这些时间追啊！            
(2星)	 乱来            
(3星)	 纠结！            
(4星)	 如果Chuck死了，我也不要活了啦。。            
(3星)	 为BC，为漂亮的B和S我也会继续看，但剧情真是越来越让人无力了啊~            
(2星)	 看你第四季怎么玩儿            
(4星)	 22            
(5星)	 我还是很喜欢看！            
(NA)	 排列组合啊，除了华服还有啥啊。。。。            
(NA)	 編劇直接可以去屎了 被爆菊爆太多木空好好寫是不是？(╰_╯)#            
(3星)	 很多事情，做多了必然会腻。。            
(4星)	 一切又回归了。或许循环本来就是生活的主题，我们又有几个能逃得掉假定的生活呢？喜怒哀乐，无非如此罢了。            
(3星)	 本来是冲着B和C在这一季的爱情。。。编剧大概也快撑不下去了，下一季完结得了。。。            
(3星)	 鸡肋啊鸡肋，我想弃了            
(4星)	 结尾的地方太让我惊讶了！oh my chunk！            
(5星)	 太好看了呗。            
(2星)	 坚持不住了～～～            
(4星)	 CHUCK!!!!!!            
(NA)	 越来越不靠谱            
(NA)	 编剧有病是我早就发现的，可是为了BC我也忍了。可是这季都是啥跟啥么！！！看完最后一集不吐血的人我服了你。。。            
(NA)	 只是想发一下牢骚，怎么CHUCK为了酒店，居然出卖自己心爱的女人，，，实在太让人伤心了。————chuck，不要死啊            
(NA)	 扯            
(3星)	 超黑暗的剧集。            
(NA)	 看不下去了            
(NA)	 刚出第一集的时候看了 没继续追。 前天 貌似周四凌晨把接下来的5集给补习了。。 决定继续追。。。第四季都看到第九集了吧。。            
(3星)	 要轮一圈么~~            
(2星)	 我真不相信我还看完了这季……            
(2星)	 追不下去了。。。。太无聊了。。。            
(NA)	 太狗血了。。。C要死了么？居然还有S4。。。            
(3星)	 依旧狗血 但这并不妨碍我继续观赏。            
(4星)	 C....你怎么办啊            
(2星)	 第三季已经开始变得异常混乱。到底还会有多少人出现额。            
(4星)	 是有多久啊拖了....看了泰剧也不觉得这个有多狗血了...            
(NA)	 我怎么又看起这个来了            
(4星)	 受不了了            
(4星)	 真心不知道有什么可以让我接下去看的力量了=  =            
(1星)	 越来越狗屎了~            
(4星)	 谢谢他们陪伴我们一起成长。            
(3星)	 我靠！Chuck 西特勒以刚...            
(3星)	 欧美剧一定要让人这样崩溃至死么~ 剧情太离谱了~S要把身边是男人的都搞过一遍~太恶心了            
(2星)	 太乱来了            
(5星)	 最后G的大肚子比C挨得那一枪还雷。            
(4星)	 C！你不能死！你死我就不看了！            
(5星)	 很好很好，我大爱的C            
(3星)	 正式弃追。没有任何意义的闹剧，大学时打发无聊时间的工具。现如今，于我如鸡肋。            
(4星)	 虽然乱七八糟的但还是会看第四季的..            
(4星)	 一直在追的。被宠爱的都有恃无恐，就像B。            
(3星)	 整个追不下去了。。。            
(3星)	 看不下去袅。。。            
(3星)	 已经没兴趣看下去了...            
(1星)	 本来是部青春偶像剧。现在搞成了乱伦血腥暴力限制片。并且内容还很空洞。睡完这个睡那个。还都是窝边草。是不是曼哈顿就那么几个人了？            
(4星)	 乱七八糟还能坚持看到现在的原因在于，他们时而那么成熟，时而那么小孩子，不管多乱，始终还有一份真心。            
(3星)	 第三季是灾难。。其实第二季就已经开始灾难了            
(3星)	 乱。。。就图看个漂亮。。。            
(1星)	 一群性交动物和索然无味的大学生活。            
(NA)	 弃            
(3星)	 看完最后一集，我只想说一句：我X！编剧去死去死去死！！！            
(2星)	 真的越看越难看。。纯粹练听力了都……            
(3星)	 我CCCCC，没完没了T T            
(4星)	 我这就算是看完了。            
(NA)	 最后几集看的我心碎。            
(4星)	 chuck简直是完美情人……呵呵。            
(2星)	 现在看这个的唯一看点就是时装╮(╯_╰)╭            
(2星)	 想要放弃了 哎……             
(3星)	 很木劲，看看裙子吧            
(3星)	 so-so。为了看而看            
(2星)	 我终于决定把她标记为看过了            
(4星)	 其实狗血，纯粹看衣服            
(5星)	 虽然被阿花批，我还是要追！            
(3星)	 越来越乱~            
(4星)	 只因为chuck bass            
(2星)	 疲劳            
(NA)	 不看了             
(3星)	 much disappointed on the content ,but so much like Blair&#39;s design in it.            
(4星)	 如果看剧本的话 ，绝对性格不断变化的主人公的可信度质疑，不过看演员的表演却觉得，嗯，好像就那么回事啊，很正常啊            
(3星)	 好像整个季是BC热恋，S男友不断，N还那么帅，D在打酱油……砰！J把一切打碎了。不追了，视觉疲劳了。            
(3星)	 继续乱嘛！Chuck不要挂了啊            
(5星)	 J&amp;C。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(3星)	 一季不如一季            
(2星)	 不想看了            
(3星)	 还能怎么编            
(3星)	 意外 等待下一季 真心的希望BC NJ  DS            
(3星)	 胡搞瞎搞...狗血到家...            
(NA)	 可怜的恰克！            
(3星)	 各种关系…            
(3星)	 恶心的结局            
(5星)	 越來越亂倫，可是卻不可以不看，越來越好奇            
(1星)	 从2星到1星。            
(3星)	 剧情好像越来越狗血了……不过我都是边写德语练习边看的……所以也没啥感觉            
(NA)	 e22 完结            
(3星)	 绝不再跟            
(3星)	 越演越乱，乱七八糟的感情，只有Chuck越来越迷人，是的，只有Chuck!            
(3星)	 We are all wondering who we wish we were,what what we really want,and  who we really love.            
(4星)	 纠结啊纠结            
(NA)	 无聊到底            
(2星)	 弃了罢。            
(4星)	 为什么最后会变成那样。。            
(3星)	 我没脾气了…            
(3星)	 ...第十集竟然出现了lady gaga..            
(2星)	 看不下去了            
(NA)	 Grey我还多看了几季呢，GG你就这么迫不及待乱搞么么么。。。            
(4星)	 当然，给4颗星是由个人主观倾向的~~            
(4星)	 一如既往，支持S雷事多多，怀疑第四季还能不能拍下去            
(3星)	 唉呀妈呀你们还能更混乱点儿不~            
(3星)	 为什么无爱也能追着看&gt;&lt;            
(3星)	 那就再乱点吧！            
(2星)	 真是受不了Serena            
(3星)	 chuck不可能死的 要是死了还有什么看点            
(4星)	 哎。。。。。。乱啊。。。。。。只要是男的和女的就能。。。在一起。。。。。。。            
(3星)	 就当姐看完了。。。            
(5星)	 会有第四部的··Chuck你不能死···CB是相恋的            
(5星)	 BC美好无比~            
(2星)	 看多了生活好无趣            
(3星)	 好不容易为了个S&amp;N激动了一回，结果不明不白地结束了，据说下季又回S&amp;D了，各我也跟它再会了            
(2星)	 编剧太扯淡了。            
(3星)	 叼，MLGB的越看越闷了            
(5星)	 chuck为什么要中枪了。。。呜呜呜            
(2星)	 巨无聊的……            
(3星)	 my dear chuck and blair~~~            
(5星)	 Chuck死了？伐能接受~！            
(2星)	 GG越来越没意思了            
(3星)	 编，接着编。            
(2星)	 除了dg讓我噁心到之外，別的好無趣啊...........            
(4星)	 看帅锅美女的腐败狗血生活……            
(3星)	 Jenny真系搞屎棍，and貌似每季结尾Georgina都必会带点big surprise出现~            
(3星)	 太狗血了太狗血了...            
(3星)	 美女帅哥，仅此而已            
(4星)	 我依然深爱着你们。            
(4星)	 第三季。终于。            
(NA)	 继续追~~~            
(2星)	 只看C和B            
(2星)	 狗血            
(5星)	 力推超好看            
(5星)	 大爱B&amp;C            
(4星)	 他们不断制造问题只为了去解决它，难道这就是没事找事，而且他们有时很正义，有时又很邪恶，这就是人类            
(4星)	 纠结的C&amp;B= =            
(NA)	 总算在无比纠结与夸张中结束了            
(4星)	 挺好看的，就算情节一般的话，光看下俊男靓女的造型也值了。            
(3星)	 渣化chuck好糟糕            
(3星)	 我受不了~二季已够折腾~3季彻底疯了。。            
(4星)	 用结局的劲爆让观众不得不尾随至下一季了。            
(NA)	 有喜有忧吧。。越来越喜欢B和Chuck之间，越来越喜欢S和之间。。但是丹呢？S呢？  他们呢？  剧情越来越让我难以接受，。。为什么就不能一直有甜蜜呢？为什么要给他们那么多考验？？            
(4星)	 又一个悲剧的结尾·····            
(3星)	 到最后实在看不下去了~~太幼稚了...            
(2星)	 不好看。。            
(4星)	 为什么check要死。。。哎。。。哎。。。哎。。。哎。。。哎。。。            
(5星)	 等S4了 ，3的结局吃不消，我的CHUCK~~~~~~            
(3星)	 太乱了            
(3星)	 我被编剧恶心了，弃之~~~~            
(5星)	 人美，衣美，剧情乱七八糟。            
(NA)	 这一季的结局真是峰回路转啊，埋了这么多伏笔等着看你怎么挖出来！！            
(3星)	 狗血脑残无极限~             
(4星)	 为什么一定要这么曲折？？            
(3星)	 发现我的价值观变了~有些不喜欢s            
(3星)	 还是前两季比较好看            
(3星)	 最喜欢的还是Chuck 太迷人的男人了！！ 别告诉我c死了            
(NA)	 简直就是在做人与人之间关系的排列组合            
(4星)	 ！            
(3星)	 扯了一整季，最后两集过瘾...            
(NA)	 我对这剧彻底无语了……            
(3星)	 越来越水了……            
(2星)	 已经失去兴趣            
(NA)	 B&amp;C...伤了我的心            
(4星)	 done with it            
(1星)	 實在是看不下去了            
(4星)	 Chuck Bass……            
(2星)	 看到17集，终于不能忍了。。。连C的形象都幻灭了，B的心都碎了，也没有什么看头了            
(4星)	 第四季已经来势汹汹，第三季显然已被遗忘。GG永远可以给我视觉快感，却永远不及friends触动我心。            
(1星)	 已弃看            
(NA)	 看到最后崩溃了编剧你们洗洗睡吧。            
(4星)	 编剧越来越.....            
(4星)	 B&amp;C            
(3星)	 哎 这个变成例行公事了            
(4星)	 crap ending。。。            
(3星)	 分分合合            
(NA)	 忍不下去了            
(3星)	 虐心啊            
(4星)	 stay with me,chuck.            
(3星)	 没有以前好看了，不看了。            
(NA)	 习惯而已。            
(3星)	 观至第14还是第15集来着？太TM狗血了，已弃~            
(3星)	 被编剧给整惨了            
(NA)	
(5星)	 继续期待第四季。            
(3星)	 nate秒杀到我了..            
(4星)	 实在看不下去了，我放弃            
(5星)	 希望C和B不要分开，希望S可以在下一季聪明些，希望N会有个好女人、            
(3星)	 poor little J            
(5星)	 虽然很混乱 但是很精彩 期待下一季            
(NA)	 J is a bitch and S is stupid..Chuck really died? I do not believe.            
(4星)	 新学期，新伙伴            
(NA)	 决定不追了。。。            
(3星)	 趁早砍了吧……            
(4星)	 结局太狗血了！这季C不行啊，倒是觉得N不错...            
(2星)	 混乱的开始 更加混乱的结束            
(NA)	 放弃了。。。。烂！            
(NA)	 纯粹看衣服...            
(4星)	 sigh，编剧人格太分裂。            
(5星)	 越来越觉得S是个傻大个……没有脑子只有胸……            
(3星)	 更像一种习惯            
(4星)	 这结局,wtf.            
(4星)	 但丁坐等BC和好！！！            
(3星)	 肯定撒了不止一盆狗血.            
(3星)	 你敢把Chuck写死我就直接不看了            
(5星)	 I AM NOT YOUR LITTLE B ~~            
(4星)	 可怜的Chuck            
(4星)	 越来越混乱了            
(3星)	 304            
(4星)	 只有最後一集不是人寫的！…            
(1星)	 忘了看到哪集 不想看了 编剧脑残            
(4星)	 非要编成这样？            
(5星)	 在焦急的等待更新中~~            
(NA)	 极度混乱的一季！            
(3星)	 于情节无关，单纯喜欢看里面美美的衣服，以及S没心没肺的大笑和无意散发出来的风情，难得的是她似乎并不知晓自己有多迷人~同时也喜欢看C&amp;B这一对。Little J身材的确很好，然五官失之大气。至于D，越来越让人BS。大爱的是Lily，不知怎样才能修炼如她那样。            
(4星)	 演贵族真好，那衣服真好看！本季结尾有点狗血！            
(4星)	 What a fucking film!            
(NA)	 XOXO~画面依旧好看            
(3星)	 坐等第四季            
(3星)	 J终于走了。B和C差点就可以订婚。N到底是不是金发...            
(5星)	 只要BC在一起就好……            
(4星)	 chuck &amp;Blair ，Blair&amp;chuck ，belong together            
(3星)	 结局好雷人啊            
(4星)	 S4 大倒数~~~！！！            
(5星)	 C和B！！！我看好你们！！！            
(3星)	 最后只剩下华服            
(4星)	 追的那么辛苦就给四星吧 囧            
(4星)	 Goodbye Jenny from Brooklyn.            
(NA)	 弃之            
(4星)	 越来越乱...            
(3星)	 很糜乱。 越看越没劲            
(4星)	 我没有很入戏所以我一点也不讨厌J。不过那大脸黑鬼倒是一直很讨人厌。            
(3星)	 看看编剧下一集怎么继续扯。。。            
(3星)	 相似的开头...S的秘密...大家的乱搞...B与C的博弈...            
(3星)	 我还是喜欢J            
(5星)	 My Dearest Queen B&amp;C            
(3星)	 我应该弄个标签叫做混乱            
(4星)	 。。。。。。。            
(3星)	 看完想杀JENNY。。            
(4星)	 完结了。。不过已经有第四季的剧透啦            
(5星)	 继续期待~~~            
(3星)	 唉...不要再拍第四季折磨我的S了...            
(1星)	 烂电视剧  妈的 不追了            
(2星)	 演員再漂亮 衣服再好看 我也看不下去了。            
(3星)	 Serena就是个自私鬼。。。。            
(2星)	 这个开头真当无趣啊...            
(4星)	 讨厌这结局            
(NA)	 无趣             
(4星)	 中间一度觉得这剧还算有前途，可是可是可是最后我崩溃了，乱搞到极致了吧。就这几个人行不行啊。            
(4星)	 剧情 很混乱            
(NA)	 疯掉的一群人            
(NA)	 有钱得上东区小孩们又回来了~~            
(3星)	 不怕狗血地看完了。。。            
(NA)	 弃之            
(4星)	 A.Chuck那句&#34;Will you……&#34;啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！编剧你TMD该死啊啊啊啊啊啊啊虐谁都不许虐我家Chair！！！！！！！！！！ B.还剩哪几个没互相睡过的？=  =  C.爱很复杂，但爱让一切变简单。  p.s.10年8月--10年10月            
(NA)	 又玩中槍！這個夏天的season finales是都想幹嘛！            
(3星)	 啊迟钝的我终于发现这是矫情大滥剧了            
(3星)	 弃之            
(NA)	 编。。。下一季接到编嘛。。。            
(4星)	 我要BC在一起！！！坚定坚决坚持！！！            
(NA)	 期待三季已经很久了，终于出来了。。。            
(NA)	 编剧脑子进的水越来越多的一季            
(2星)	 一团浆糊，睡了一圈重新再换换            
(4星)	 纠结仍未结束....            
(5星)	 没错我就是剧情控我就爱看你们乱搞            
(NA)	 每个星期有盼头啦。-----------------------------------------------------------------------------------------------------看看每集S穿什么就可以了。            
(3星)	 看到第七集。。弃了。。。            
(5星)	 b&amp;c            
(4星)	 。。崩溃 等了N星期 发现第三季木有23集 囧            
(4星)	 又将是一个漫长的等待啊……            
(4星)	 每一集依旧让人紧跟情节，这季的结尾太让人纠结了            
(3星)	 黔驴技穷..作孽..            
(1星)	 变成了宇宙无敌乱搞片！精神可畏！以后再也不看了。。。            
(3星)	 怎一个乱字可以概括啊            
(4星)	 整季都很狗血就算了，怎么结尾还那么气人！            
(3星)	 除了C&amp;B还甜蜜 基本没有追的欲望了 弃            
(4星)	 第一集看得有点浑浑噩噩。。。=============总归越来越混乱            
(3星)	 这季的GG差强人意。            
(4星)	 超爱！            
(4星)	 结局十分十分狗血~            
(NA)	 人物关系是史上的乱  从来没有过数学上所谓的一一映射  只有N对N  就差乱伦你就十足狗血了            
(NA)	 期待在Paris的第四季            
(4星)	 BJ像某国政府一样热衷推倒重建。            
(3星)	 难看            
(3星)	 如果只有开头几集我会给4星= =GG的编剧不适合边拍边写            
(2星)	 整部剧无感，中间跳过10集。            
(4星)	 继续大爱我的QUEEN B~！CHUCK不死。。。。。。。。。。。。            
(NA)	 劇情無聊，但很像我中學時年級里那些錯綜的戀情。。男生們稱其為：風水輪流轉。Faint...            
(4星)	 拜倒Chuck...最后还是看腻了。            
(4星)	 狗血的编剧。。。            
(3星)	 所以这就是考虑n个男女之间两两配对的最大可能概率么……算了，反正我只看脸~            
(NA)	 套路啊            
(4星)	 我市继续跟还是不跟？C和B都分开了，还看什么。            
(3星)	 如果没有NS.考虑是不是还要看第四季            
(NA)	 第一集很莫名唉            
(2星)	 在lily身边的chuck就像守护女王的骑士。            
(3星)	 决定不追了。。。            
(NA)	 嗯 都搞完一遍了            
(5星)	 極其懸念地結束了……S&amp;D又有舊情複燃的苗頭，Lil‘t J在胡鬧之後黯然地離開，小惡魔再一次帶著意外回歸，而主角中的主角——B&amp;C在最甜蜜的時刻急轉直下，留下的全是心碎……期待九月回歸的S04。❤            
(3星)	 越来越难看。            
(4星)	 期待S4 more and more的狗血！            
(NA)	 我爱B            
(NA)	 越来越乱！越来越来越乱！            
(4星)	 结束的太伤心了~            
(2星)	 脑残剧。。。。可是我还在继续看。。。感觉就是完全在看衣服了。。。            
(2星)	 第一集我只给6分，及格分~~第五集，drop            
(NA)	 哈哈·            
(5星)	 omg~~~太纠结了~！！            
(4星)	 终于回归了~~~美剧回归月到了啊~~~哈哈哈C&amp;B啊~~~大爱啊~~=v=            
(3星)	 finally, S3, too dramatic...            
(3星)	 狗血是狗血，但要追的还是得接着追            
(4星)	 有了有了！！！我的生命又出现闪光了！            
(NA)	 啊？GOSSIP GIRL 第三季C中弹后就结束了啊？！我本来还在期待第二十三集的来，现在只能等第四季了啊。。。呃。。20100520看完的GG第三季的最后两集，不得不承认，很喜欢第二十一集，一堆人一起识破S她爸的诡计，很精彩！            
(NA)	 分手理由是“爱得太多”            
(3星)	 總算結束了 再也不看了            
(NA)	 看到接近终了 弃 S太烦人了 看不下去            
(2星)	 弃            
(4星)	 C&amp;B 玩起了爱情游戏，其他人也都找到了另一半，剧情更加的纠结复杂，这也符合了GG的一贯作风 期待下集~            
(3星)	 赶紧的 完结吧            
(5星)	 what a WOW final!!!!!             
(3星)	 即使Nate在，也看不下去了            
(5星)	 结局啊            
(4星)	 Can&#39;t believe I actually finished this season!Although it&#39;s getting more and more absurd,Chuck and Blair belongs together.            
(NA)	 这季里的S实在太扯太作；结局让人充满期待~~            
(5星)	 恩恩恩！            
