http://movie.douban.com/subject/6129693/	我可能不会爱你 我可能不會愛你
(5星)	爱情、亲情、友情，应该有的样子
(4星)	要不是追看这么久我都要把四星改成三星了。后面越来越拖沓越来越为了虐大仁哥而虐大仁哥了&gt;&lt;大仁哥╮(￣3￣&#34;)╭程又青还真是犹犹豫豫讨人厌。
(4星)	有亲情有爱情还有友情你还想要什么呢。神啊！赐我个李大仁吧！
(5星)	早已不屑看什么偶像剧的我，一路看得哭。
(3星)	狂热喜爱没到份儿 狗血+真诚
(3星)	偶像劇果然永遠只能是偶像劇。渣女主自作孽不可活。九集棄。
(5星)	最後結局終於還是落入俗套，還好只是結局落入俗套，人生更多的是過程。依然五星。
(5星)	这个世界根本没有李大仁，却有很多程又青。
(5星)	真的蛮散文的...
(4星)	陈匡怡还蛮好看的嘛 以前对5姬无好感啊
(5星)	终于追完了。很久没这么入迷的追偶像剧了。结局很sweet很满意~&gt;&lt;
(4星)	我看过的唯一不脑残的台剧
(5星)	结尾太甜了好吗！！o(≧口≦)o 
(5星)	肥皂剧偶尔也会有营养。
(4星)	男女之间是否真的有纯友谊，友情与爱情的话题很少有荧幕涉及到，的确很有看头，我记得我知道林依晨的时候她好像一直是小女生的扮相，如今踩着高跟鞋扮演起熟女，才明白我也已经过了幻想童话的年龄。这部剧没少让我掉眼泪， 结尾皆大欢喜也算是弥补了，谁不想要完美幸福的结局呢
(5星)	男女之间存在纯友谊，却绝对不存在高过爱情的纯友谊
(3星)	男主是圣人喔 怎么总是一副说教的脸 而且不懂生气跟拒绝吗 男二女二都很讨厌 特别是女二 去死好吧啦 嗲爆了 女主性格不可理喻 乱发脾气一通的 而且！台词怎么都是说教 每隔几句都蹦出来一堆大道理和人生总结 编剧帮帮忙哦 你以为你是王家卫啊？！
(2星)	有一颗星是给金士杰的《收信快乐》
(3星)	两个女人介绍的。开头觉得挺好。比以前的脑残剧要好。后面就开始捉急了各种快进。
(5星)	 不敢拥有是因为太怕失去
(3星)	弃.............................
(5星)	年末五星电视剧无出其右，即使我没有拥有一个李大仁，我也依然很感动
(5星)	迄今为止看过的最好的台剧，电影般的用心，文艺片的手法，贵在许多细节真实、深入，用十三集的篇幅耐心地讲述了一个普通的爱情故事。相对于由友情修炼成的爱情，我更关注故事的背景，台北、台中、新加坡这些美好的城市，以及普通的人们在城市中各自的生活。
(4星)	熨帖。稍稍有些烂尾，世上太少程又青。
(5星)	这种明明没有经历到自己身上却分明真切的共鸣真是可怕诶！就好哆嗦男二的性格和纹身。。。。想要成为程又青坐拥一个李大仁的心情好强烈我是怎么了
(3星)	男二翻身做主的戏，缺点是拖沓，和女主到后面的装逼……某男太不能打，除了会卖肉……刷完了最后一集确认一件事情：李大仁并不存在——深情长情已经难得，无话不谈的交心就知音世所稀，两者结合简直是神迹，还加上青梅竹马这种设定……比起一看就假的王子， 这样的男人才真正是一个美到令人沉湎的幻梦
(3星)	痛苦地忍完第一集决定弃了。。。我心态果然已经老到看不进去即是以台剧的标准而言也非常成熟的此剧了= =
(4星)	怎么都学不会 拥有的开始就是失去
(4星)	台剧当之无愧top1 再短一点就完美了
(5星)	很不错的电视剧 
(4星)	此剧能得高分，只因有豆瓣文青最喜欢的一点点爱情+一点点感言+一点点小资+几位好感的青春演员,也说明……看此剧的年龄段在23-29之间。 看到第八集，我就逐渐追不上了，拖来拖去的。
(5星)	李大仁！！！！！！！！！！！！
(5星)	或许我也终会明白，“合适”比“怦然”更重要。爱有很多种，爱到不知道爱，也是一种。Are you sure ?
(5星)	哇晒看了十分钟就在猜女主是不是狮子女王!!!果!!!然!!!!是!!!!//丁立威不是水瓶是天蝎座吧!!!李大仁不是天蝎是天平座吧!!!一定是天平!!!!!//狮女怎么可能喜欢简单的婚礼啊!!!!//太好看了.....这是要有多温暖啊，生活充满希望嘛.....直接晋升为最爱的台湾
(4星)	满世界女生都在感慨想要李大仁，我只想说李大仁或多或少在每个人的生命中都出现过，出现着，但往往那就是被你定义为最不想要最无感的那一个。
(4星)	湾湾狗血偶像剧的翻身好吗~老纸作为一款妇女之友感同身受好吗~李大仁你太特么纯了~可惜淫淫居然有那么多分享顿时让人觉得掉价啊~但素老纸还是不免俗了一把~
(5星)	爱上陈柏霖
(5星)	就是这么一部烂俗狗血的连续剧把我看得热泪盈眶的……对他就是骗泪的……
(4星)	李大仁果然是偶像剧里才存在吧
(3星)	扣一星是第十一集无厘头到让我竟然弃了追了这么久的电视剧，再扣一星是因为弃了之后发现这部电视剧其实很一般却骗我追了那么久
(5星)	不錯～！
(5星)	太难得有好看的台剧了
(5星)	男二出现后的戏份里女一显得无比的自私和贱~~~林依晨演的不如陈柏霖好啊，旁白说的有点做。李大仁实在是绝世好男人啊！！！
(4星)	其实剧情太过理想化经不起仔细推敲 她还有李大仁 我们有什么呢
(4星)	我是多么希望李大仁和Maggie在一起啊！
(4星)	越是逃避的爱情，其实爱的越深越久越不敢说出口。不要那么ging，爱要及时！
(4星)	之所以觉得好是因为有共鸣
(5星)	还剩最后一集就看完了，提前评价一下是因为不想看到程又青跟李大仁在一起。除了友情变爱情这个桥段我不喜欢，这是我最爱的一部电视剧，没有之一。 
(5星)	多么好个李大仁。。。但我可能永远失去了。。。
(NA)	长大代表着思虑越多，代表着轻易不说爱，代表着不会再有某个午后看见那个阳光下走来的少年怦然心动的感觉
(5星)	推荐必看···每周就跟追美剧一样默默守候  谢耳朵已经放我鸽子3周了  至少这部一直每周一集坚挺着啊！！  “实在是一部很可能因为名字俗烂而被随手错过的好戏，再贴以台湾偶像剧的标签让人更想敬而远之。”
(5星)	不是每个程又青 都能碰到一个李大仁 但是有的时候 很多感情确实需要时间来证明
(5星)	我看的第一部台剧！！！非常非常经典！
(3星)	我真心已经过了看偶像剧的年龄了嘛？！一部偶像剧都坚持不了看下去。。。
(5星)	要史啊 前面12集憋屈成什么样儿啊 最后一集除了接吻就是接吻。。。
(NA)	人说台剧是九零后的菜，可这不就证明偶还年轻。P.S. 这部剧确实挺棒的！大团圆结局很哈皮。推荐！
(4星)	金士杰和万芳演的迷你剧实在太出彩了，还有送老师的情景。嗯，每个女生都希望能遇到自己的李大仁，可是哪个傻姑娘会希望自己的老公有个该死的程又青啊！！！陈柏霖，虽然你的发型是让我抓狂啦，可是，真的，在我眼里你永远是1 7岁的张士豪。
(4星)	哈哈好久没有看台湾偶像剧了！还不错哦，多少都可以拯救一下大龄女青年对于年龄的恐惧。完全不像真正的台湾偶像剧那么做作和幼稚，还是挺值得看的~
(5星)	如果我看过你看过的世界，走过你走过的路。是不是就能更靠近你一点。。
(3星)	老实说长达十四年的暧昧真的恶心到爆。台剧那些嗲到让人反胃的台词和新人演员的拙劣演技也看的很无语。两星给陈柏霖的颜，一星给李大仁这个永远不会存在于真实世界的人。
(5星)	爱上李大仁了。用一个15年换个李大仁吧。为里面的服装给一分，演技还不错，剧情不错。
(4星)	虽然9-11集是快进掉的，虽然吻戏有点儿假，虽然最后一集陈柏霖已然体贴到不像话了~~~但依然觉得值得推荐~~~~你们懂的。
(4星)	陈伯霖魅力+10086
(4星)	财踮起脚尖 的期待   只怕被亏待  我够不着还   微笑忍耐
(5星)	程又青常有，而李大仁不常有。
(5星)	我看完最后一集了，看最后一集的时候一直在笑，尤其是李大仁在飞机上唱歌给程又青的时候，笑到最后流泪了。。。
(5星)	多希望他们还是当年的张士豪和袁湘琴。总算看完了这部电视，对这类故事我向来是没有抵抗力，好朋友，暧昧，爱情，友情。前面半段比较好看，后半段算是拖沓了吧，最后一集虽然甜蜜，不过也不用一直在亲吻吧。2011.12.17
(4星)	最后M姐发狠，比程又青看着舒坦，越演越拖……好腻歪，赶紧happy ending就得了( ﹁ ﹁ ) 
(NA)	身高职业外形脾气样样都ok的全能型疗伤闺蜜 然后闺蜜成真爱
(4星)	比想象中好……
(5星)	结局太过于美好了吧。
(5星)	有木有水瓶座的 哈哈哈
(5星)	太好看了
(4星)	画面像电影，一股清新的文艺范儿。只是还有台湾偶像剧的小娇嗔。
(5星)	你所以为的习惯，其实是暗藏玄机。
(5星)	后头进入剧情后 开始变得好看~~
(4星)	挺不错的~只是觉得结尾不合适我的口味！！
(5星)	╮(╯_╰)╭
(5星)	真的很喜欢 觉得编剧很温暖
(NA)	很久没看台湾偶像剧了，之前都是年轻时候看的多些，这个是朋友推荐的，加上我各种烦躁，就看了~~~还蛮好看的~主要是有很多细微的小感觉都那么的贴近生活~
(4星)	林依晨变好看了。王阳明真是帅啊，有张震的影子。陈柏霖还唱歌弹吉他哦加分加分！！最后一集雨里面陈的样子帅死了！！有好多感动。
(5星)	好。。。。。。。。。。。。！
(5星)	好吧，我被感动了，不仅为李大仁和程又青的友情，也为了又青忠于自己内心的勇气。王阳明也打动我了
(5星)	眼前一亮的偶像剧，在我痛恨了偶像剧的煽情装逼这么多年之后居然会被它感动了，真实而不做作，有共鸣感。
(4星)	李大仁的毛毛虫眉毛好有爱··17岁好像真的还是昨天
(5星)	久别了，偶像剧
(5星)	以前看剧会觉得是写“我们”的青春，只有它让我觉得这是在写我的青春。虽没那么夸张、戏剧化，虽依然不确定你的想法，可人的感情如此相似。看着剧中一幕幕，是如此感同身受。特别是到第8集中那首歌词，眼眶瞬间就湿了。原来世上不只咱，是如此去爱一个人的。大仁啊大仁，你只是会依然爱着她罢。
(NA)	http://www.natnatvip.org/2011/09/in-time-with-you.html
(4星)	愿天底下的李大仁和程又青都能幸福。
(NA)	第一集的小剧场话剧，让我在半夜听着刘若英的《我们没有在一起》默默流泪到天亮。
(5星)	结局太完美了。可惜生活很难。男朋友，他真的也应该是最好的朋友。
(NA)	别说我没看第十集……
(5星)	太久没窝被子里看完一部又哭又笑的剧了 
(4星)	其实要打满分的，觉得最后一集有点烂收尾了。虽然很明白是为了满足观众yy心理，可是有必要用大半集来描述两人多甜蜜吗？总体来说，林依晨的哭戏和独白有时太过用力，有点琼瑶。陈柏霖演的还不错。但是导演真的很会抓观众的心理，悲伤点幸福点都一一戳中。还是会给4.8/5。P.S. 李大仁心细的太过可怕了！
(5星)	感動死了！！！感謝那個推薦我看這部電視劇的人！！！
(5星)	很有想象力 也很真诚 宣扬的价值观非常符合现在的特定女性群体 可是 不断看下去 才发现 现实生活原本有很多不必要的过去的遗憾 也有很多值得珍惜的现在 以及可以努力去追求的未来 初老最关键 是意识到自己该如何把握此时此刻的幸福~ 看过6集之后 终于决定放弃本剧的
(5星)	通宵看看到感冒- -
(3星)	打两星会被喷吗。。？
(2星)	一包火！！！女主角难看又装逼又贱incredibly恶心！！！男主角是傻逼吗？伤害可爱的女2号好可恶！！！这一切都太虚伪了！！！
(5星)	陈柏霖是心头肉
(5星)	最后太甜蜜了好嘛。都几百年没有追过台剧了。。。不能活在没有你的城市 VS 只能活在没有你的城市
(5星)	程又青常有，而李大仁不可得。 作为一部台湾偶像剧，同时满足帅哥美女，爱情导师，心灵鸡汤，外加一点点小文艺。 没啥可要求了。
(4星)	不矫情，好看。
(5星)	哈哈。。。以后早上看电视剧。6点话也能看两小时。早上上电脑会轻松很多哎
(5星)	又一次陷裏面愛上男豬腳的電視劇！！！李大仁！！！
(5星)	李大仁 我应该不会再爱你 这样 才永远都不会失去你
(NA)	怎样啊，我就喜欢轻熟女
(5星)	好棒！李大仁前12集所有的委屈痛苦伤心纠结眼泪在最后一集全都完美地痛痛飞走了噗，扬眉吐气奔小康了啊！
(4星)	虽然剧情还是那个剧情，但是整体拍的还是不错的，女人们又开始花痴了。
(5星)	。。。。 以后赐我女儿一个李大仁吧
(5星)	最后一集实在太有爱了，简直是乌托邦！！
(5星)	前面虐死啊,后面要甜死啊
(4星)	所以我永远要死在丁立威手上 
(3星)	依旧不是很喜欢台湾的这种言情剧，有点不明白为什么这部的得分这么高？只是因为熟女共鸣么？倒是很喜欢那首歌～～
(3星)	拍得还是可以的啦，林依晨大笑的时候依稀有往日可爱的模样，但是男主和女主的所谓的恋人未满的最好的朋友的感情恕我实在无法欣赏，尤其是男主角= =“还有，大家都那么讨厌maggie，我就挺喜欢她的，虽然不赞同她得一些做法，但这个小姑娘真可爱，长得也可爱~看到第六集作罢。我有完整看过一部偶像剧么？
(4星)	1 程又青 典型狮女 2 李大仁 好的太不现实 3“我喜欢”和“还不错”
(4星)	脑残症状之一，看到这种剧就幻想男猪脚= =。赐我一款李大任啊魂淡！！！
(5星)	2011.11.30.青梅竹马种种好。。
(4星)	最后一集李大人卖萌无数哇。。。
(5星)	其实我很幸福，不是么？呵呵~
(5星)	女生很有智慧。赞导演，赞编剧。好少有这么用心的电视剧了。
(4星)	“我有很多话想对你说”“我也是”， 两情相悦的爱情怎么就那么不真实呢？掏心掏肺的朋友变成恋人，怎么看都是乱伦啊！
(5星)	全5分
(5星)	两天看完了。除了节奏有点慢。。别的都好。。如果能浓缩一下一切都该多么耐人寻味
(3星)	越往后越没意思。。
(5星)	初老症状~我具有N条！生活其实有时候不小心就跟电视剧同步了。我享受我爱我现在的我~
(NA)	十七岁少女的梦..是高跟鞋???
(5星)	喜欢，喜欢，喜欢。这才是我想要的理想婚姻！
(5星)	总算是跟完了~~~
(4星)	“男女之间没有友情”，只有备胎。
(4星)	男人都是诈骗集团。本剧金句。
(4星)	前三集真是清新啊，后面就开始拖沓了，明明是6集能搞定的内容，拖在13集里解决，只好快进了。
(5星)	太好看了
(5星)	“我可能不会爱你，因为拥有是失去的开始。”多希望程又青这个龟毛的狮子女最后不要和李大仁在一起，这样才更接近现实一点。彼此有各自的生活，各自的伴侣，还是好朋友，或者终有一天，不再联系。
(5星)	虽然很摧残本人智商。。。。。但是还是追着看....
(4星)	4星半，作为一部偶像剧来说，难得的接地气，真挚动人，影像的拿捏也很有分寸，再加上演员过硬的演技，便赋予其焕然一新的魅力。不傻不二不浮躁，贴近年轻人的脉搏，易获得共鸣。陈柏霖太帅了，张士豪强势回归，他的演技快要自成一派了。而林依晨虽然有演的痕迹，但演得不错，一改我从前对她的印象。
(4星)	陈柏霖有张永远青春的脸。
(3星)	开始几集还蛮好看的，后来简直是每况愈下，最后一集两人都对着笑啊笑笑成傻逼了，是为了补足两人前面没亲过影迷意见大然后就一直傻笑亲啊亲的么…丁立威瞬间成了酱油党了…真心喜欢的情景还是，两个人坐在小山坡上，喝着啤酒，看着台北的夜景！
(4星)	虐心啊。。。
(5星)	世界末日我最想做的一件事就是，只要我确定，那个时候，你在我身边就好了。
(5星)	这里边有我们每个人的故事~
(2星)	失望，弃之~
(3星)	稍微特别一点的台湾偶像剧哟。林依晨变实力很多了也。
(5星)	有些东西  一旦拥有也就开始失去了   这应该就是我不会爱你的原因
(3星)	怎么至于这么高的评分？台湾近期的偶像剧有提高，可惜只能讲4 -5集的好故事，后面就开始白日做梦无病呻吟自从李大仁分手后，片子就开始玛丽苏了，又拖沓，白费了前面清醒的写实
(5星)	那甜腻叽歪的最后一集是怎么回事！苦尽甘来的我很不苏胡好吗！
(NA)	不是一般的偶像剧啊， 很精致哦~~  
(5星)	电影越圆满，就越觉得不安~~
(5星)	只有我才懂得你珍贵。可惜你不懂
(3星)	歌不错
(5星)	不知道是因为心情不好 还是真的泪点太低，
(4星)	像回到小时候我追恶作剧之吻1的那种感觉
(4星)	影评很高，耐下性子看看台湾偶像剧。
(4星)	完满的结局是台剧的一大优点啊！！！再次证明了男女之间没有纯友谊。。。
(4星)	开始不浅薄从第六集开始浅薄的台湾偶像剧，女二号是千年难见的遭人恨。瞿友宁为洗白林依晨真是用心良苦。
(5星)	太近似的故事 
(5星)	程又青！！！！！！！！！！！！！！！！！！！你。。。。。。。。。。。。。。。可不可能不要虐李大仁了。。。。。。
(4星)	有没有一个长得像丁立威一样的李大仁。。HOLLY CRAP
(5星)	甜甜小清新 
(5星)	还好我有一个gay蜜
(5星)	真的很不错。
(4星)	难得看得下去的台剧 程又青常有而李大仁不常有。。词穷 心里却沉淀了些东西 
(4星)	创造李大仁这个人物简直是害我，择偶标准突然提高好多...
(5星)	我想说，可 能是我过了看这样的电视剧的年龄了 =。=
(4星)	其实现实中根本就没有李大仁对不对。。。
(4星)	哎哟 不错哦~
(5星)	真心不喜欢程又青这一型
(5星)	可以跟恶作剧之吻相媲美，有欢笑也有泪水，这样的感情是最牢靠的吧。记住了一句话，爱也可以分很多种，爱到不知道爱也是一种爱。
(5星)	我们从未如此期盼一部剧的Happy Ending,我也愿意用十五年来交换一个李大仁。《我可能不会爱你》很给力。
(NA)	虽然对剧的剧情 不是特别的喜欢 但是很喜欢程又青 女孩就是要这样 
(3星)	哎 其实我觉得一般啊……洒狗血啊 大仁哥这样的男人在现实中估计实在爱不起来……
(5星)	大仁哥！！相比于王小贱，还是请老天赐我一个大仁哥吧
(1星)	泡沫剧果然烂
(NA)	十年修得王小贱，百年修得柯景腾，千年修得李大仁！！！
(NA)	李大仁只是一个传说。。。= =
(5星)	如果你要拖住时间，时间也会拖住你。但如果你欠下爱情，你注定还是要归还。可能这样的谬论之下的，才是毫不做作的结局。对陈柏霖和林依晨也是很有感情。
(5星)	唯一一部清新不狗血，让我欲罢不能良久无法出戏的台剧。
(3星)	真不明白如此老梗为毛分数那么高？
(5星)	今年看过最好看的台剧！现实生活中可能有很多个程又青，但是难有李大仁呀。。。
(4星)	独立久了自我惯了凡事都不会麻烦人了。
(5星)	李大仁！！！
(5星)	虽然说知己归知己，恋人归恋人，但谁不想要一个陈柏霖版李大仁呢。“拥有并不是失去的开始，我们的、曾经的怦然，永远都在。”“我想我应该不会爱你，因为我要努力的不爱你，所以我那么喜欢的你，就不会和我分离。”陈柏霖最后留言也卖萌。婧女说这歌有些地方唱得像陈胖子。对狗狗一样的男人无抵抗力耶
(5星)	我想我应该应该不会爱你。。听到这首歌悲伤的感觉就涌现了，最后一集甜蜜S了，把前面虐的死去活来的都弥补了，这样的程又青，这样的李大仁，真的很有爱。很细心的很感触的，很少看到这么好看的电视剧了，即使有了初老症，也有李大仁的大人大量~~很喜欢的剧~~
(4星)	如果你看了这部电视剧，我知道你一定会想到我。好吧，我其实一点也不想要这样一个李大仁。有时候吧，两个认识太久彼此太了解的人真的在一起了，反而不知道该怎么相处了，同时我也害怕会因此失去这么一个这么重要的朋友，所以宁愿一辈子相看俩不喜欢。还好，你不是李大仁，我也不是程又清。
(4星)	陈柏霖万年帅
(4星)	一点不待见《蓝色大门》的陈柏霖，但是脚着大仁哥简直是超美好存在。就是那种可以互相吐槽不尴尬，在你犯二的时候骂醒你，在你低落的时候又让你意识到自己的独特之处的那种理想型啊！！！
(4星)	不喜欢程又青……喜欢陈柏霖李大仁= =  其实最动人的是两个主角的父母的爱，我果然是老了么T T
(4星)	林依晨的成功转型。一部演绎爱情比友情更长久的片子。
(5星)	爱到不知道爱，也是爱的一种
(5星)	T^T大结局真的超好看啊！！！！！！！！！！！！！！！！！！！！！！！！！
(5星)	终于跟完了！最后一集让人对完美深信不疑！此剧值得一推再推！
(5星)	男主太好了。
(3星)	李大仁就是个圣母+包子
(NA)	第十集，太虐了吧！不过看样子后面会越来越虐。。。
(5星)	在这个时间看这个剧是老天给我的礼物！我不是程又青，生命中也没有李大仁，自卑的方头狮也要努力地过好每一天！
(5星)	关于青春的剧都不应该错过
(5星)	在看自己
(4星)	我。
(5星)	2011.11.23 start
(4星)	哎~哎~哎~评分也太高了吧 相对比较清爽的片子
(5星)	程又青一大把，李大仁稀少，丁立威其实也不多。最悲哀的不是没有李大仁，而是你的李大仁不暗恋你。嗯哼。最后的备胎也没有了吧。不过，其实这样才是真正的蓝颜知己吧。无关风月，只为真心。【很高兴看完最后一集还是没打算改评分。就再任性一次吧。】
(5星)	我以為我是大仁/但在你們的愛前/卻是個幸福的小孩-陳柏霖 台北
(4星)	传说中2011年最热的台剧，我居然看完了。主要是陈柏霖好帅啦。不俗套的故事，前4集最好看。
(5星)	感觉很不错哦。5集，看不下去了
(5星)	真心难得一见的好剧~~台湾偶像/都市剧又一巅峰！依晨和柏霖的精湛演技，让人担心以后再看别的台剧会抗不住男主的over耍帅和女主的痴呆+圣母........而此剧更是没有糟蹋这两个好演员，高水准的编剧和导演，精良的制作团队，天上掉下来的好剧啊~人家还没准备好呢就腾空出世叻!!
(4星)	很好+烂尾，少一星
(3星)	为什么老子积着一堆日剧番组没看跑来跟媳妇看那个叫李什么仁的情敌！ww腔大嫌（╯－＿－）╯╧╧//////////////////////////三集弃，受不了那个叫nic的小白脸。
(4星)	一晚上看完了。天也要亮了。想了很多。煮饺子吃去。
(5星)	終於追完了 好看好好看！！很多場景和情節都是那麼似曾相識 这真是一部特别的剧 虽然是台湾出品 但绝不脑残 所有的演员都那么的自然顺眼 台词桥段都那么清新又小感人 看了第一集就有追剧的冲动 如果我是程又青 遇到这样的李大仁 我又怎么可能不会爱你~~~
(5星)	就当是触景生情 有感而发吧
(NA)	紧紧相依的18颗心，笑喷了！！！
(5星)	迟早在一起，或者迟早不再联系，你选哪一个？偶像剧里永远是前者，而现实却是后者。。:-(
(5星)	我需要找个李大仁聊一聊.....
(5星)	看到最后一集跟着幸福了
(NA)	wr那个角色简直就是hk许多般客的形象吧 找个懂自己的另一半生活还是靠谱安心很多 依晨转型太成功了 为她高兴 
(5星)	一直吵着要看甜蜜可是最后一集那么甜蜜了又好不习惯啊= =
(NA)	好想有个玩的很好的男生朋友...是很铁很铁的那种...
(4星)	看了第一集和第二集，刚看完最后一集！大赞结局！纠结的剧情通通不看！(*^__^*) 嘻嘻……哦也！
(5星)	好看
(5星)	不要担心自己跟别人不一样，而要坚定地相信，你是最与众不同的。方头狮的故事很励志！各种喜欢！！非常喜欢！賺了我很多歡笑與淚水，是啊！那一刻才會長大吧！！
(5星)	我等等等等啊……
(5星)	昨天直播卡死了今天重看流畅版。再体贴不过丁立威了好吗，在人家需要投向李大仁怀抱的时候及时的再次的劈了腿，简直了。。。。天啦为你鼓掌，这男人多识时务啊。。。。还有瞿维尼真的是最喜欢在自己导的片子里跑龙套的导演了，而且从来都不会客串正。。。常。。。人。。。
(4星)	哎呀呀，老实说看这个是为了看陈柏霖吧。从第8集开始有点拖
(4星)	看不下去了，受不了李大仁這個磨磨唧唧“我要努力不愛你”的男人。大家都說想要一個李大仁，我想要一個可以安心相處的，絕！對！不會愛我的李大仁，不是藍顏的那一種，是純如清水的男 朋友。然後我也很慶倖，我真的有這樣的好朋友。
(5星)	不一样的台剧。
(4星)	友情到爱情最近很风行  失恋 ONEDAY  还有这个  深深寂寞的地球人啊
(5星)	每个女生，无论年岁，都能看见自己的影子。。。小剧场太赞！！
(5星)	李大仁。程又青
(1星)	我确实看了 我不信真心觉得不好看我就是在装逼了 滚你的
(4星)	你是我最好的朋友。墨菲定律
(4星)	2011年唯一值得看的台剧
(4星)	拥有一个自己的“李大仁”或是“程又青”是多么幸福的事情。就算最后不会在一起。
(5星)	大仁哥 啊
(4星)	没有烂头没有烂尾只是中间有一段鬼扯淡烂了点
(5星)	还不赖啦，只是看完了就失落了
(5星)	要不要那么甜蜜啊！！！
(4星)	这是人生哲理剧嘛
(3星)	拥有就是失去的开始、我们还是只做朋友就好。
(NA)	他为什么不表白？因为怕失去。爱一个人是意味着想要拥有，而拥有在某种程度上来说是不是就是不失去，只要能陪在你的身边就好。大仁爱又青已经成为了他的一种信仰，就和太阳从东边出来，地球是圆的一样，作为真理存在于这个世界，没有任何事物，任何空间可以阻碍他对又青的爱。
(5星)	好基友终成眷属的故事。迄今最好看的台剧。
(5星)	替剧中的人物悔恨和担心 但不知道的是 多多少少有些自己和别人的影子吧。
(5星)	超强共鸣。很多集是哭过来的。其实，我还是希望大仁和又青不在一起。
(5星)	看最后一集，甜的肉麻死了， 然后自己乐的老白痴了~咕~~(╯﹏╰)b~
(4星)	很明显这部片是支持马连任的，最后的风格和马同志的竞选短片一模一样耶，这部片告诉我们，男生还是要主动点的，女生还是要固执点的…‥
(3星)	虎头蛇尾
(5星)	初老迹象，熟女魅力，17岁的张世豪和袁湘琴，30岁的李大仁与程又青，感谢二位，陪我们走过这一段青春……
(4星)	三星半，最多四星。。。。【我真挑剔啊。。。。
(4星)	也许我曾经有过一个李大仁……
(4星)	很多时候说的就是自己。。就像看到自己的影子。。只是，我缺的是这个李大仁~~··
(5星)	虽然还没播完，但是我想评十分！！！！太扣动心弦啦！！！
(5星)	以往帅哥都是月抛型 直到李大仁的横空出世 感谢我的青春里有陈柏霖的陪伴
(3星)	前面大概就是小清新式的虐恋，最后一集是小清新式的浪漫。但他们结婚的Wedding Plan好好玩的样子，要结婚的同事好好借鉴一下嘛！林依晨还成！
(4星)	拥有，是不是失去的开始？这个问题真的很难过。
(3星)	3.5，，最后一集加半颗星，4星
(5星)	只为陈柏霖
(5星)	生活不是小说。哪里有那么完美~
(NA)	真心覺得這個是小清新劇好麼！然後。真心覺得一般我的角色都擺在程又青這個位置！悲了個催的！
(5星)	只看了结尾算不算看完,还有你,我特别的朋友?想了想,诶,你还真是诶,我们都认识十一年了,其实,也差不多啦:)
(2星)	两星给小陈的。
(5星)	从张世豪到李大仁，柏霖的角色让我更加的难以自拔。没上高中的时候就一直受蓝色大门小清新的影响，开心了整个中学时期。以前的张世豪是喜欢的男生类型，现在的大仁更是结婚的理想型。剧里的内心戏太强大了，简直就反映了纠结的暗恋过程，慢慢的发展更打入人心。难得的好剧，觉得近些年都不会有剧超越了
(4星)	看到李大仁这样的男的还让不让人活了！不过苦逼的他这么多年也值了！最后一集亮点太多，刺瞎我的狗眼了！
(5星)	高帅富都敌不过一个李大仁！！
(5星)	好喜欢李大仁！！！看完了。。。恋恋不舍。。。我想有个李大仁，一起把每一个十五年都过得历久弥新。
(4星)	文艺偶像剧
(NA)	很好
(5星)	好多自己现实中的画面也在电视中上演了，不错的一部片子！
(5星)	每个女生可能都梦想有一个李大仁吧。我也以为我不会爱你，可是，总想起你为我唱的那些跑调的厉害的歌。
(5星)	很久没有看到这么好看的电视剧了
(3星)	真的有那么好看么？
(4星)	一星給陳柏霖
(5星)	你的生命里会不会出现一个“李大仁”？
(4星)	唯一一次流泪是程又青给母亲下跪。
(3星)	在这部剧里竟还能偶遇万芳，偶遇《收信快乐》，真是好台湾，感觉真好~~~~这部剧开头不错到后面真的比较差
(NA)	大仁。
(3星)	其实我脚的没那么好看诶~
(5星)	要跟對的人在一起，一輩子才會幸福快樂。所以程又青選擇李大仁真好。
(5星)	温暖过冬
(4星)	啊~~~爱人就是最好的朋友，现在很好。
(5星)	虽然曾被告诫不要整天沉溺在偶像剧中，但是发现偶尔看看清新浪漫的偶像剧，会让你收获，继续相信美好爱情的勇气，和乐观开心生活的能量。＜我可能不会爱你＞，讲述一对老朋友的情感故事，真的，超好看。
(5星)	好看！
(5星)	Happy End♥收尾收得太好了，哀啊，好捨不得
(5星)	于是故事就这么完结了。
(5星)	这个电视剧真的好看到没朋友啊 ~~~~(&gt;_&lt;)~~~~ 
(5星)	不免俗。我只是爱维尼导演好吗。ps.所有吻戏都集中在最后一集了好吗！
(5星)	墨迹这么久终于在一起了好宽心！闪死了你们！大仁儿那小媳妇样！说好的啪啪啪居然砍了 啧啧
(4星)	脑子里还回响着《我不会爱你》的旋律。看过最文艺的偶像剧了，节奏很慢，情节很虐。世上有很多个程又青，但是李大仁只有一个。
(4星)	程又青是淘宝款，李大仁是限量版……
(5星)	拥有是失去的开始。
(5星)	初老⋯⋯求李大仁！
(5星)	最后一集大结局的内容居然是……满地找套套……= =三俗！
(5星)	要开始爱现在的自己，大仁又青要加油，
(5星)	终于出完了~最后一集真的好温馨呀~看吧 所谓蓝颜/红颜知己 其实就是男女之间你追我赶的游戏 总有一方任性多一点 总有一方忍耐更多一点。ps.陈柏霖怎么都不显老呢~还是蓝色大门里的张世豪呀！
(4星)	就没有人吐槽一下最后一集么？最后一集真是hold不住啊！！！！整体上只值四星！
