http://movie.douban.com/subject/2249632/	隔世追凶
(4星)	 还是悬疑是我的菜。            
(4星)	 时空交错，当时睇几惊艳噶            
(4星)	 虽然说不通的情节，但是诱惑了我            
(NA)	 没有前几部探案剧好看，推理过程不够丰富！            
(5星)	 我爱陈慧珊 我爱许绍雄            
(4星)	 哦呵呵~想当年很迷呢。 剧情还蛮不错的。喜欢陈慧珊和郭晋安。ps.陈慧珊在里面身材走样了啊。            
(5星)	 父子情好感人！！            
(NA)	 看到十四集就够了，后半部分瞎到没边。电视剧就是为了谋杀时间而存在的            
(4星)	 有点新意            
(4星)	 前面的父子情有感动到落泪。最后一集，佛法太深奥。            
(4星)	 很不错的            
(4星)	 喜欢前段多一点。不落俗的悬疑剧。            
(4星)	 很好的看             
(4星)	 除了演员有点姐弟恋的味道外，这部剧真算精彩！            
(5星)	 时间啊时间            
(NA)	 后半段有点失望啊。。            
(3星)	 还行            
(4星)	 青年干探安仔帅气的类，大家喜欢的都是前14集的珊吧，结局太让人不爽了            
(3星)	 创意十足，诚意欠奉。            
(4星)	 很创意的题材哦~~            
(5星)	 很新颖~~值得看~~            
(4星)	 穿越改的太烂了.其他很好            
(4星)	 再次听到逝去亲人的声音，温暖的构想。            
(4星)	 命运可以改变，但历史不可改变            
(3星)	 后面的蝴蝶效应有些混乱，呵呵            
(4星)	 很好看，很紧凑！            
(NA)	 第一次觉得郭晋安很帅，就是因为这部剧。            
(3星)	 前半截还行，后面不怎么样            
(3星)	 这里面也有个让我爱不释手的MAGGIE。陈慧珊腿脚恢复后的戏就不好看了。后段夸张了。            
(3星)	 没全看            
(3星)	 不错啦            
(NA)	 很好看 扣人心弦            
(3星)	 演员都很喜欢，中间有部分让我觉得凉飕飕的            
(3星)	 开头几集很不错，但是到后面就不行了。。            
(3星)	 此剧唯一告诉我们的是历史是可以篡改的，死掉的人可以活着，残疾的人也能变健康了            
(3星)	 为了男主看的，剧情一般般啦            
(4星)	 喜欢，郭晋安在里面很帅很帅！！！            
(5星)	 很精彩，特别是前十集            
(4星)	 好看            
(3星)	 没看完，不打算接着看了            
(4星)	 好恐怖            
(5星)	 前几天在碟摊上买的，以为是什么新片，也米有看时间。那回去一看才发现时04年的片子，一直没看到过。2天把它看完，觉得还蛮有意思的。要是放在电视台播放，收视率应该也不会差的。。            
(4星)	 有点奇怪不过也不错            
(NA)	 很老的片子很好看            
(3星)	 改变历史之后的情节让我很没想法。            
(4星)	 看到最后一集 morning sir 叫那些小朋友打摩斯密码拍子的时候，看到他爸爸的时候眼泪哗啦啦的了~            
(3星)	 后半段，像是在还前世的债，男主角有点迟钝的警察样很可爱            
(NA)	 100222- 100207皮皮            
(2星)	 抄襲了Frequency這部電影!            
(5星)	 陈女人后期难得一部精彩之作            
(2星)	 郭晋安老演呆子，于是演聪明点的角色也不聪明了= =            
(4星)	 前半部分也是超精彩的 可惜了后半部分太狗血。。            
(4星)	 前面不错...后面不咋的...不过最后大河没死还是挺好的            
(4星)	 深夜重播有点吓人.            
(NA)	 看一半就因为上学的缘故吧没再追下去…小时候好喜欢穿越…            
(4星)	 有新意            
(4星)	 满神奇的，可以改变一个人的命运，那我们还有什么关系么            
(NA)	 一开始的最精彩~~~            
(4星)	 完全是去看陈慧珊的~             
(4星)	 前面都还好，后面改变陈慧珊的命运，没有残疾，但是进了监狱，有点不能接受            
(5星)	 非常经典            
(3星)	 前面还行~ 后面的剧情又拖沓又漏洞~~  可能疲了吧~            
(3星)	 初三住宿前睇噶最后一部电视剧            
(3星)	 题材新颖，最后无力。            
(5星)	 很有创意            
(5星)	 影片中还包含一个道理，有些命运是安排好的，你刻意去改变历史往往会弄巧成拙。            
(5星)	        初中的日子。一集一集的等。            
(4星)	 这部剧只告诉了我们一个道理，世界上没有重来一次的机会，如果真的有，那么世界也早已不同你所想            
(4星)	 挺新颖的。            
(3星)	 悬疑            
(3星)	 有点夸张了！不过还是挺感人的            
(4星)	 蛮好看的。但是还是前半部分好看些。陈慧珊没有变坏之前。            
(4星)	 我从小一直很中意tvb的警匪片，这不我觉得改变历史这个地方很有新意，但我并没有看全，我不喜欢高珊变成nicole之后的故事，所以没看后面的。有些事很不公平，商天娥之比安仔大一岁，却演了安仔的妈咪，郭晋安这么多年还是那么帅气有型，可商天娥却沦落到只能演师奶            
(4星)	 发现郭真的很帅。虽然后面的故事很痛心。            
(4星)	 後半段劇情相當弱,我只是偏愛morning sir的笑容            
(5星)	 记得剧情好正            
(3星)	 刚开始看还行，后面的剧情无法自圆其说。。很吐血。。            
(3星)	 TVB的剧，我的大爱啊，尤其是这类警匪的，更加喜欢。            
(NA)	 剧情蛮新鲜的 隔世的传说 很喜欢郭晋安            
(3星)	 最爱侦探片,好在是近两年的,总算有点印象了            
(3星)	 以前的制作工艺真是好呀，二十年前的大哥大还那么顽强……于是乎全部的案件就都是二十年前发生的了。怎么电话总是没有挂掉呢，怎么老是撞车，怎么就找不到一个正常的视频可以畅顺地看呢，后面感觉很闷，感觉很一般            
(NA)	 看到粤语版的 很多年前看的            
(5星)	 其实有点借鉴黑洞频率的感觉，但是整体来说还是很棒的～            
(4星)	 还不错，挺诡异的，直接导致某段时间电话一响我就害怕            
(5星)	 这个题材新颖~~~~喜欢前半部分的陈慧珊~~~·            
(4星)	 看过了，有意思，嘿嘿~            
(4星)	 还行吧，蛮好看的            
(3星)	 就是那台灵异的电话.            
(4星)	 没看完，不喜欢女主角，前后的都不喜欢            
(5星)	 还是赞郭晋安的演技！！！            
(4星)	 和当时不大一样的情节            
(5星)	 flora！            
(4星)	 改变高珊命运后的那些的确有些潦草，但不失为一部好片            
(4星)	 有个别段子还不错不过真是原来有些事情一旦改变就可能改变一个人的一生啊            
(4星)	 穿越啊~~!            
(3星)	 我家郭晋安就是演技派啊~~~            
(5星)	 不穿越也可改写历史..了不起的创意            
(4星)	 很不错的推理片！！！            
(5星)	 剧情超有想象力，光和他爸爸的感情好的不一般，很温馨很感人            
(3星)	 前15集好看。后十五集直接跳过            
(4星)	 只想看前半部            
(3星)	 就是想看鄧健泓，前半段還行，後面故事開始瞎搞了。。。            
(5星)	 精彩            
(3星)	 陈慧珊的头发像是烤焦了一样             
(5星)	 喜欢的演员...            
(4星)	 两父子　跨越２０年的时空　联手追凶　            
(1星)	 一开始觉得还行越看越没劲，他爸爸早就死了前世金额今生一起破案。最后还改变了他爸爸的命运！最烂的是同样案件演了不同的结果，看着都累！            
(4星)	 猴子高中让我看的            
(4星)	 越到后面越离奇,不过最感动的是父子情            
(4星)	 大爱改变高珊命运之前的集数，情节紧凑很精彩，虽然后面要交代的太多所以有点散但还是值得推荐的~~喜欢郭晋安，无论正邪的角色都很出彩            
(5星)	 力荐            
(NA)	 这个结局...            
(3星)	 我觉得soso 啦            
(4星)	 不错又是一种突破啊，呵呵 最喜欢看港剧的侦探片了            
(NA)	 没想法 看过看过            
(4星)	 劇中的父子情是三色台難得寫得不俗的一齣。            
(NA)	 如果近些年的破案类要推荐的话，只有它还可以了            
(3星)	 觉得小郭同志很喜欢此类的侦探片~~~呵呵            
(NA)	 安同志为什么不是演傻子，就是演一些特例的人呢！不过剧情不错            
(NA)	 怪怪的。。尤其flora要演打女。。            
(5星)	 兜兜转转的亲情            
(NA)	 哈哈。很扯的片子            
(NA)	 没有帅哥美女的好剧            
(5星)	 有我喜欢的FLORA~感情分吧。也比较悬疑，还改变历史了            
(4星)	 我觉得非常的好看也非常的精彩~~~            
(4星)	 珊珊的TVB封山之作~~~            
(4星)	 前面精彩  后面越来越牵强            
(NA)	 情节不错，高考完的暑假看的            
(5星)	 整体不错的作品，虽然不是很红            
(NA)	 好看            
(4星)	 喜欢前半部那个开朗的高珊            
(3星)	 港剧的套路。无聊            
(5星)	 很特别的剧情，值得一看．            
(3星)	 妈妈咪呀            
(NA)	 有点奇怪的剧情，在现实中不可能出现，总是不喜欢Flora，总觉得有点做作。            
(3星)	 http://valeriane11.spaces.live.com/blog/cns!B7B1ED732BBC9506!808.entry            
(5星)	 妈妈米啊，跟最近的TVB破案片比，案子是精彩多了~~妈妈米啊            
