http://movie.douban.com/subject/3060465/	一帘幽梦
(3星)	 恋父情结的起源之一么            
(4星)	 我有一簾幽夢~~。。劉德凱坐在壁爐前懷抱吉他的時候超迷人            
(NA)	 一天到晚的又哭又闹，烦死了            
(NA)	 相比起新版的《一帘幽梦》这个版本的更加引人入胜，萧蔷版的绿萍演的更加强烈。            
(4星)	 就觉得紫菱好美，费云帆好帅            
(5星)	 费云帆大爱啊~~~永远无法超越            
(5星)	 费云帆的时代过去了            
(NA)	 这个真是琼瑶剧的经典之作。时至今日我想起仍是赞不绝口，发自内心的。那时的萧蔷不是猪头，那时的陈德容没有畸形，那时的林瑞阳没有白发，那时的刘德凯成熟迷人。。。。。            
(4星)	 小时候觉得刘德凯陈德容那便是完美了，再大了再看便只记得绿萍了。。。也许这就是成长吧，不再单纯只恋着你侬我侬了。。。            
(3星)	 林瑞阳那德行！我靠……            
(3星)	 又是我姐带我看！还记得那时候每天下午都在电视机前坐一下午的看。和我姐吃着大堆的零食，而且窗外下着雨，特别温暖特别享受            
(2星)	 so so...            
(4星)	 我能说我小时候很喜欢吗            
(4星)	 费云凡这样的男人 世间少见啊            
(5星)	 很多女孩对法国幻想的根源            
(5星)	 经典!小时候觉得刘德凯很帅啊~~用现在的话说是MAN！陈德容漂亮~~            
(4星)	 和新版一比 突然觉得老版无比美好啊～～～～            
(3星)	 我看了不少的琼瑶剧哇。。。            
(4星)	 我讨厌看楚沛还有那个什么阿姨那段            
(NA)	 我爱费云帆            
(NA)	 最完美的费云帆，其他的都是浮云，浮云....            
(5星)	 费云帆就是我的理想型啊啊啊啊            
(3星)	 陈德容真是漂亮            
(5星)	 费云帆呀~~~            
(4星)	 多少纠结的爱情呀～我有一帘幽梦            
(5星)	 我有一帘幽梦            
(5星)	 现在感觉紫菱是文艺小清新的典范啊~~            
(5星)	 当时还很小，就觉得刘德凯很英伦的感觉~~            
(NA)	 很久很久之前觉得紫菱简直幸福的不像话。            
(5星)	 费云帆，当年的最爱。前不久见过了凯歌，为什么不让我在95年看到他呢。。            
(1星)	 不每五分钟就大哭大闹一场会死吗？            
(5星)	 陈德容很好看的！！！刘德凯也不错            
(NA)	 07年初二跟我姐看的，陈德容真是太美了            
(NA)	 小时候跟妈妈一起看的,其实神马都不懂            
(2星)	 他们都是用生命在演戏！！！            
(4星)	 妈妈的爱            
(4星)	 刘德凯在该剧中被塑造的角色，应该是N多女人渴望拥有的男人吧            
(NA)	 我有一帘幽梦啊不知与谁能共啊            
(4星)	 又是小时候看的.....            
(4星)	 刘德凯能换副眼镜么            
(3星)	 服装毕竟是那个年代的，没法比啊。            
(NA)	 小时候跟着大人们看，好像记得看不懂。            
(3星)	 三星献给当年那个完美且崩溃的萧绿萍。            
(4星)	 放现在看会变成搞笑剧。。。            
(4星)	 虽然这个其实是个山寨版的飘，但是奈何刘德凯大叔魅力实在大，陈德容当年也足够萝莉。            
(3星)	 凯叔各种喜欢！！！            
(4星)	 还是老版经典啊，陈德容那时候的确超美·····            
(4星)	 那時容格格真是美呀~            
(5星)	 因为刘德凯版的费云帆给10分            
(NA)	 啥也不懂时的经典~            
(5星)	 特爱那个费云帆            
(4星)	 我有一帘幽梦，但是还是不喜欢琼瑶戏，纯粹陪我妈看的            
(3星)	 至少比新版的好看多了            
(4星)	 每一个演员都很符合剧中的形象。好久要重温要重温~            
(4星)	 大叔控！！！！！！            
(4星)	 看了点新拍的大陆版的，感觉还是老版的经典            
(4星)	 令女人羡慕的生活，莫过于此吧            
(NA)	 好爱紫菱噢··哈哈哈哈            
(3星)	 疯子与好运女的故事            
(4星)	 = =+            
(NA)	 奶奶太能折腾了……            
(5星)	 永远的经典，再也演不出了。看完了疯狂迷着刘德凯。            
(4星)	 赐我一个费云帆！！            
(5星)	 经典            
(5星)	 好看经典的一部剧。            
(4星)	 当年很爱看，唉，紫菱啊            
(5星)	 算是启蒙片~            
(4星)	 小时候看的            
(4星)	 鄙视我吧，小时候跟老妈一起看的，然后成了相当喜欢的琼瑶剧...            
(4星)	 还是这版好            
(5星)	 我超爱  绝对经典  刘德凯这种男人中的男人  多么希望世间多点  这戏就爱云帆！            
(4星)	 最近迷琼瑶的早期作品 特别是林青霞秦汉秦祥林 看了这个 感觉能像紫菱一样做梦就好了            
(4星)	 陈德容真美。            
(4星)	 那个时候爱的不行，喜欢刘德凯的费云帆，陈德容的紫菱也不错啊。很惋惜陈德容现在的发展，《梅花三弄》的时候，她真的是美呆了。            
(NA)	 萧蔷那时候真的是个美人儿            
(5星)	 如今看懂了 所以哭了            
(4星)	 记得当时的剧情很吸引人            
(4星)	 刘德凯是老男人中的经典，嘎嘎~~            
(5星)	 费云帆啊~~~            
(4星)	 琼瑶剧中较偏爱的一部            
(3星)	 当时看到萧蔷简直惊为天人，现在看的好丑。不是人长的不好看，而是心无法让人保值            
(NA)	 当年偶小的时候觉得陈德容真是超美            
(5星)	 小时候看够的巨经典，有时间一定重温            
(4星)	 至今看依然经典，大爱刘德凯的费云帆~            
(5星)	 经典 新版的像什么似的。。            
(3星)	 看费云帆带紫菱去城堡，打开柜子看到全是还带着标签的新衣服~我那个羡慕嫉妒恨啊……好吧，我是物质女            
(3星)	 想当年玲珑剔透的陈德容            
(4星)	 自此，成了大叔控            
(NA)	 看过一点，话说紫菱姐姐那真是如今清新女的典范啊：我喜欢坐在角落里看人来人往…………            
(NA)	 费云帆。。。            
(4星)	 绝对是老版的好看。刘德凯的费云帆，陈德容版的紫菱才是正版。            
(5星)	 演员选的不错．．．除了那个林瑞阳．．从小就表看他．．．这个人演戏和马景涛一样是咆哮型．．小时候一直惊叹紫菱怎么有这么多新衣服．无比羡慕．            
(3星)	 实在想不明白，萧蔷好看在哪里            
(4星)	 超爱刘德凯            
(5星)	 我小时候的童年记忆！！！！！！姐姐总是那么的恶毒，而妹妹老是被欺负！！！！！            
(5星)	 经典            
(4星)	 怀旧。            
(3星)	 嗯，当年的陈德容和萧蔷！            
(4星)	 小时候陪妈妈看的 剧情几乎忘光了 只记得费云帆很帅气 绿萍很疯狂了            
(4星)	 看的时候,恨紫菱恨得牙痒痒~~            
(NA)	 那是相当经典！            
(4星)	 凯哥作为一个老男人在里面特让我折服了=.= 陈德容的卖相也很无敌=.= 剧情..就忽略吧..            
(5星)	 最爱的一部琼瑶剧。喜欢紫菱的纯真善良，有点小忧郁，有点小梦幻，充满诗意。喜欢云帆对紫菱宠溺的眼神，他的风度，包容，潇洒，儒雅，让人为之痴迷。最爱看他们在法国的生活，那么浪漫幸福，可以说是每个女孩所向往的。紫菱很幸运能遇到读懂她细心呵护她的云帆，可我们能遇到读懂我们一帘幽梦的人吗？            
(4星)	 唯一看过书的琼瑶阿姨的爱情故事。            
(5星)	 每一个像汪紫菱一样的女孩，都想嫁给费云帆。            
(5星)	 或许我真是疯了,怎么看起95年的电视剧来了.            
(5星)	 很多人都想有个费云帆~            
(4星)	 成就一代女孩梦想的费云帆……            
(4星)	 小时候的回忆            
(4星)	 虽然画面没那么美，但人物我超喜欢            
(NA)	 大爱刘德凯的开始，超级讨厌楚廉。            
(NA)	 long long ago的经典            
(3星)	 播过N多遍的电视剧            
(NA)	 风靡一时的漂亮宝贝，那时真的挺美。还是更喜欢珠圆玉润的她，后来太瘦了。            
(4星)	 最近很想看刘德凯演的费云帆~            
(4星)	 德凯叔给力！！！            
(3星)	 萧蔷和陈德容，真的真的很美            
(4星)	 记得当时福建台喜欢放，放暑假的时候起得早也是因为要起床看电视            
(5星)	 小费叔叔T T  萧蔷那会真是美            
(3星)	 也就刘德凯内个角色还像个正常人            
(3星)	 这里面的绿萍发起疯来也是很可怕的。            
(3星)	 一路看下来才发现我看过这么多琼瑶剧。都是童年的记忆。            
(4星)	 经典            
(4星)	 琼瑶经典电视台剧。。萧蔷其实没这么美啦还是陈德荣赞。。呵呵。。我有一帘幽梦。。            
(3星)	 楚镰好丑。            
(4星)	 紫菱是年少时琼瑶的影子，也许我们都曾经是丑小鸭，现在也变得面目全非，从此再不相见            
(3星)	 不喜欢陈德容。。。。            
(5星)	 这才是经典，翻版经典等于自掘坟墓            
(4星)	 小时候看过            
(4星)	 还是这个比较经典            
(4星)	 妈妈喜欢看的电视，还哭。。            
(5星)	 我的梦            
(NA)	 萧蔷真的演得好凶！~            
(4星)	 萧蔷的绿萍超有气势            
(NA)	 那时萧蔷还是很美的            
(3星)	 不喜欢这个故事，太幽怨了。            
(5星)	 最可恶的是楚濂。            
(4星)	 萧蔷就像是一个漂亮的芭比娃娃。而凯哥的魅力简直不可匹敌。            
(4星)	 琼瑶奶奶挑美女的功力...            
(4星)	 回忆了下，我喜欢林瑞阳            
(4星)	 剧还是老的好            
(4星)	 翘            
(5星)	 我小学可每个假期都看，我一点也不觉得她恶俗。            
(4星)	 片头曲印象深刻。            
(NA)	 还记得紫菱说她的名字像紫色的菱角。因为这部的奠基，我怎么都喜欢紫菱胜过绿萍。            
(3星)	 刘德凯啊刘德凯。            
(4星)	 中国loli的鼻祖 琼瑶奶奶有远见            
(NA)	 费云帆 我从小就是大叔控撒            
(3星)	 我艹，小时候看的！！！            
(NA)	 费云帆真是被神化了             
(3星)	 当时觉得萧蔷很漂亮...            
(3星)	 跟老妈看的            
(NA)	 其实我一直喜欢费云帆那样的老男人......            
(4星)	 好看            
(NA)	 还是这个版本的最好看了！            
(3星)	 喜欢绿萍            
(3星)	 好偏激            
(4星)	 费云帆            
(4星)	 费云帆真的是太完美的人物了~~            
(4星)	 陈德容走边边时候的样子永远都不会忘记，费云帆永远是女生心中的梦想            
(4星)	 很喜欢刘德凯的费云帆！            
(3星)	 小时候跟奶奶一起看的。。。。             
(3星)	 琼瑶的爱情剧            
(NA)	 是啊，费云帆            
(4星)	 那时候的费云帆啊，帅，额滴神……            
(5星)	 琼瑶剧里最喜欢的了~只看过她的两本书，这本就是其中之一。小费叔叔太完美了。            
(4星)	 萧蔷演的棒，瑞阳牙齿闪～            
(5星)	 哇咔咔和书很不一样，喜欢费云帆，最喜欢了            
(4星)	 当年的陈德容，萧蔷，才是美女啊。刘德凯演中年情种简直顺手拈来，毫不费力。            
(3星)	 典型狗血小三剧集。            
(5星)	 刘德凯是我小时候的梦中情人= =！这么早就奠定了我控叔情结            
(3星)	 小时候看的，，就记得有陈德容，其他不记得了。。安            
(5星)	 只喜欢琼瑶的《一帘幽梦》!            
(4星)	 琼瑶阿姨的经典作品。还是喜欢刘德凯的费云帆。            
(4星)	 陈德容和萧蔷。同样，现在也是看不下去了。            
(5星)	 我爱费云帆！            
(4星)	 小时候看的，很怀念            
(NA)	 我真的太讨厌那个姓陈的！！！！！            
(3星)	 毕竟比新版好太多了。            
(5星)	 这个琼瑶现代剧的对白拿到现在看确实矫情的很 但是 它在我心里的位置还是很重 每个看过它的女孩子都曾有个一帘幽梦 都幻想自己的费云帆 刘德凯 我心中唯一的费云帆 老姑看了一遍又一遍 我想 爱情的种种 它都诠释到了             
(5星)	 回忆  回味            
(NA)	 原谅我吧，我不是故意看着么多穷摇奶奶的戏的！！！！！            
(3星)	 zzz            
(3星)	 喜欢许茹芸的歌            
(5星)	 经典琼瑶片            
(NA)	 剧。我总觉得，一个得了重病或者生理残缺的人，他仍然可以坦然、宽容对待他人、人生，那他真的可以称为“圣人”，因为大部分的人都无法做到，因为我们天生“远视”，只看到了自己。            
(3星)	 太过纠结，其实还是洒脱一点，会快乐的比较简单。            
(4星)	 喜欢主题曲，就是不喜欢女主角            
(4星)	 正所谓，汪紫菱常有，而云帆不常有。大部分女孩子梦想遇到费云帆那样的男人，生活里没有只有在影视剧里幻想了。那时，台剧还是很合我胃口的~~~            
(4星)	 每个演员都那么到位            
(3星)	 为什么那时就没看出萧蔷是台湾第一美女的气质咧？            
(2星)	 萧蔷那个神经病啊            
(4星)	  还是只记得歌            
(4星)	 我爱刘德凯TOT            
(4星)	 这简直可以说是奶奶最好的一部剧了            
(NA)	 童年回忆。            
(3星)	 喜欢云帆。。。但是大概是找不到这种男人了。。。            
(5星)	 当年看的也有滋有味儿的，诶呀，基本上开始暴露我的品味了            
(3星)	 小时候看的~几乎没印象了~唯一记得起的只有几个很纠结的片段。。不打算再看。。。            
(5星)	 迷上刘德凯的时候            
(4星)	 一直都觉得费云帆是不太可能存在在世界上的人            
(3星)	 我喜欢费云帆            
(5星)	 费云帆~~            
(4星)	 蛮经典的,,            
(3星)	 其实故事真挺不错的            
(3星)	 看过一集也好意思。。。。            
(4星)	 费云帆这种人，极品男人了！            
(4星)	 景色很美很美的            
(NA)	 诶哟喂，费云帆~            
(NA)	 费云凡这男人简直极品            
(5星)	 最爱的一部            
(4星)	 费云帆            
(3星)	 两个美丽的女主角！            
(4星)	 呃呃呃。            
(4星)	 四星给刘德凯叔叔！            
(3星)	 太腻了            
(NA)	 刘德凯            
(5星)	 现在看有点土。            
(NA)	 噢，费云帆            
(5星)	 那么小的年纪就看港台言情片，值得纪念~            
(4星)	 其实我还是喜欢这个版本的一帘幽梦            
(4星)	 嗯，看这剧的时候一年级 = =+ 晚上把被子放到暖气上暖好了之后摊到地板上看《一帘幽梦》            
(3星)	 台湾某阿姨的作品确实有相当大的收视人群            
(3星)	 普罗旺斯还是很美的~            
(3星)	 原来小时候在妈妈的带领下，还是看了不少琼瑶的片子啊！？            
(5星)	 刘德凯            
(4星)	 费云帆这样的男人是不是不存在？            
(3星)	 那时候小 天天跟着看 一点没看懂 就记得绿萍那假腿挺吓人            
(4星)	 当年觉得陈德容好漂亮啊，如今小姑娘成了老娘们儿且卖弄性感、帅哥林瑞阳成了大胖子改行从商、台湾第一美女萧姐姐成了大婶儿跟林志玲较劲。经典也只能留在记忆里了。            
(4星)	 唯一喜欢的囧瑶阿姨的剧            
(3星)	 那时候还不知道萧蔷的美。            
(4星)	 绿萍            
(5星)	 经典            
(4星)	 刘德凯版的费云帆！            
(3星)	 除了费云帆其他都很烦            
(4星)	 小时候就记得费云帆的好            
(3星)	 为姐姐不值            
(4星)	 远没有书好看。大叔就是这么流行起来哒。知道不？            
(4星)	 为了 费云帆，我什么都忍了！            
(5星)	 经典.刘德凯演的费云帆成为我生命中第一个喜欢的男人.            
(3星)	 当年我的爱情启蒙电视剧            
(5星)	 经典！费云帆绝对是男人的典范~~~            
(4星)	 刘德凯演的多神啊。。。            
(4星)	 那个时候觉得刘德凯太帅了！陈德容太漂亮了！            
(NA)	 这个···当年老姐逼我看的，因为她喜欢刘德凯····            
(4星)	 那首歌还是很好听~我有一帘幽梦，茫茫人海谁懂~            
(NA)	 只记得一幕，萧蔷把他们家的金鱼煮了，现在想想还是一阵恶心，小时候跟着姐姐看的，只有这个印象了。。。            
(3星)	 那时候就不喜欢陈德容了。。            
(NA)	 比大陆版好多了~            
(3星)	 不知为什么一点也不喜欢这个故事。            
(5星)	 怎么看都比新版强多了            
(3星)	 当初小时候不怎么喜欢。。觉得太纠结了|||            
(NA)	 恩，还是这版的最好看            
(3星)	 这种片，没看的时候想看，看的时候又总是半途而废。            
(4星)	 当年的经典。虽然不喜欢陈德容，但比起新拍的那部还是要好看些。            
(4星)	 其实一直很喜欢这个版本。费云帆是仅次于达西的好男人。            
(3星)	 德容啊，咋这么老了呢，伤心            
(5星)	 喜欢这个版本的费云帆。            
(4星)	 喜欢费云帆~            
(5星)	 刘德凯演的费云帆是我的梦中情人            
(1星)	 好恶心            
(5星)	 my first 大叔TT^TT            
(5星)	 琼瑶剧本人最喜欢的一部~~很多人都说琼瑶剧是肥皂剧~~我不太赞同~~            
(4星)	 唯独记得的一幕就是云帆给紫菱唱歌            
(4星)	 噢呦，这是当年最红的戏了            
(NA)	 哈灵！            
(3星)	 小时候觉得陈德容好漂亮            
(5星)	 新的不要跟我来说            
(3星)	 我很喜歡費雲帆            
(5星)	 生活中有真的费云帆吗？            
(4星)	 紫凌没考上大学.当时偶居然跟她一起哭 0.0!            
(2星)	 没仔细看，可能是我受不了这种穷摇剧吧，虽然我觉得刘德凯叔叔多帅嘀            
(4星)	 当时恨紫菱她爸和那个外遇恨到要死··连那个外遇的侄女也恨得要死·以至于绿萍整那个女孩儿的时候还特别解气··萧蔷的演技太好了·一开始喜欢她到要死··后来恨她到死··            
(4星)	 看了不止一遍的，当然是很久以前还很年少的时候。            
(NA)	 曾经琼瑶过。。。            
(5星)	 那时候被费云帆米的五迷三道的            
(5星)	 除了凯叔叔再也没有费云帆了OTZ            
(5星)	 女人心目中完美的男人，成熟稳重，体贴入微事业有成，堪称完美但阿姨书中的爱情都是那么的轰轰烈烈演变成现实中很多人都期盼并且效仿            
(4星)	 98年，那时还看了好几次。其中1星给跌宕紧凑的剧情。            
(4星)	 现在看来远没有记忆中的好看，可是就是觉得这是一部经典~            
(NA)	 为爱而爱是神，为被爱而爱是人！            
(4星)	 永远的费云帆            
(1星)	 太雷人了            
(5星)	 绝对的，必须的高中时候还有人看‘又见一帘幽梦’，你们脑抽，这才是经典            
(NA)	 还是老版好            
(3星)	 喜欢和同情绿萍　虽然她比较疯            
(4星)	 经典            
(5星)	 喜欢演员喜欢那老老的片子。            
(4星)	 比新版的强多了~            
(3星)	 没有后来的《又见一帘幽梦》好看~不过萧蔷的演技自认是最好的~            
(4星)	 还想再看一遍            
(3星)	 看了新拍的 才想起来剧情            
(4星)	 迷恋费云帆（刘德凯）！            
(5星)	 觉得比《又见一帘幽梦》好            
(4星)	 人都好美啊            
(3星)	 当时就喜欢刘德凯咬着牙说话的样子 感觉就是儒雅啊            
(4星)	 琼瑶片子里最好的            
(5星)	 看过了又见一帘幽梦，这个五星更是鉴定            
(5星)	 当时萧蔷和陈德容都很漂亮            
(3星)	 真没看出是大美女            
(3星)	 琼瑶式的悲剧不喜欢。。            
(3星)	 不晓得是喜欢费云帆还是刘德凯，哈哈            
(3星)	 哈哈，高中时看的，看的时候，最大的感想是，这部剧每集主角们都是在哭，从头哭到尾，哈哈，我记得只有紫菱去法国开头那几集没有哭~琼瑶剧就是水做的！！嗯，挺喜欢费云帆这样的人~            
(2星)	 当年就是喜欢法国的风光来着，还有觉得一群神经病            
(3星)	 我只是冲着刘德凯给三星的，当然那陈德容的出现又让我只想给一星。。。            
(5星)	 我竟然百看不厌~~神了！            
(5星)	 初中的时候，多幻想日后有个男银这样的宠着自己啊            
(NA)	 我居然还看过这部的书……啧啧            
(4星)	 喜欢刘德凯演的费云帆            
(3星)	 风格诡异的剧啊。            
(5星)	 梦。。。。            
(3星)	 很老的影片，可很经典，但没看全也是理所当然            
(4星)	 凯哥！            
(NA)	 经典            
(3星)	 当年很红滴,不过我一直都很反感无病呻吟伤春悲秋的小女儿情怀.紫菱在一方面大胆任性很可爱,但另一方面的小女人情态 ,不太能接受阿            
(NA)	 陈德容很漂亮，林瑞阳好丑，许茹芸的歌好听            
(NA)	 楚連。。。是不是這么寫的。。。            
(5星)	 这才叫经典,虽然陈阿姨很作作            
(NA)	 我喜欢萧蔷啊。。。            
(NA)	 萧蔷很漂亮。            
(4星)	 还是这个版本好看，新版的一塌糊涂。            
(4星)	 写过篇琼瑶抄袭乱世佳人情节的作文,老师说我乱写            
(3星)	 疯狂迷恋费云帆阿新版的不仅毁了费，还毁了方中心            
(4星)	 比重拍版好多了            
(5星)	 还是95版的经典，费云帆梦想啊            
(5星)	 比较好看的琼瑶剧。主角演得到位。            
(4星)	 悲喜            
(4星)	 除了情节太慢太重复之外，是一部非常值得珍藏的经典片子。            
(5星)	 啊，费叔叔是经典。            
(5星)	 我就是喜欢琼瑶～            
(4星)	 费云帆，最喜欢的man，最合适的人选            
(3星)	 永远的费云帆            
(5星)	 她是无人注意的小失意,他是捡到她的费麻烦.巴黎的偶然相遇注定了他和她的不解缘~            
(5星)	 比新版的好看            
(5星)	 重拍的实在是。。。            
(NA)	 最爱费云帆            
(4星)	 经典            
(NA)	 小时候看的  当时觉得刘德凯很帅  很有味道            
(3星)	 老妈当年超级喜欢看~呵呵            
(4星)	 典型琼瑶剧,小女孩专利琼瑶说过:费云帆是她笔下最完美的男人~            
(4星)	 还是这部经典，喜欢刘德凯演的费云凡            
(3星)	 从现在开始，跌进琼瑶阿姨的言情剧中。说实话，不是很喜欢泪眼弯弯的剧情。            
(4星)	 陳德容比蕭薔更適合TW第一美女            
(4星)	 总感觉紫菱配不上费云帆。我不喜欢她。            
(NA)	 老了不能再老了            
(NA)	 一帘幽梦             
(5星)	 琼瑶剧里就这个我喜欢            
(4星)	 为看最后一集而逃课            
(5星)	 最近刚看了一遍～费云帆同学啊啥时候能让我碰见嘞            
(4星)	 经典哒~ 当年多向往紫凌啊~            
(5星)	 经典。男主角是所有人的梦想            
(NA)	 看了            
(5星)	 刘德凯  一帘幽梦            
(4星)	 费云帆叔叔            
(4星)	 我的爱情启蒙片~~            
(4星)	 还是觉得老版的好看            
