http://movie.douban.com/subject/1786833/	情定大饭店 호텔리어
(3星)	 那时候还没有电脑，每天等电视放两集，等得那个心焦哟，其实剧情也不咋地，主要是迷上了裴勇俊，唉。。那个年纪哟            
(4星)	 就是看了這部連續劇我居然跑到酒店娛樂部去上班！！！累了個賊死！！！上了韓國連續劇的當鳥！╭(╯^╰)╮            
(3星)	 宋允儿 不错            
(5星)	 那时候的韩剧，比现在的好太多了            
(NA)	 [2002]　            
(3星)	 高考时候看的片子。。。            
(4星)	 第一部完整看的韩剧            
(3星)	 宋允兒和老公結緣的片子~挺相配的一對~            
(5星)	 初中时候很迷恋很迷恋的一部剧…裴帅！！            
(5星)	 对爱情第一次打开眼界的申东贤，不管是撞球还是游泳都拿手的申东贤，喜欢提供room service 的申东贤...            
(4星)	 大爱乔妹肉肉的小女人范儿~            
(4星)	 剧情还不错，感觉这时候的宋慧乔不是一点点的婴儿肥啊！            
(4星)	 很萌裴勇俊的角色啊，典型腹黑            
(5星)	 我一直以为裴勇俊最后会炮灰的，真没想到，超爱强吻那一幕的。            
(4星)	 记得当时看时，觉得宋慧乔在宋允儿面前啥都不算            
(4星)	 高一时看过，这次为了裴勇俊而看，还算是经典。            
(NA)	 经典啊经典，继续迷裴oba            
(4星)	 最爱之一。            
(4星)	 想当年那么早我就看韩剧了，后来流行的时候反倒没看了……            
(5星)	 当初看的时候完全被裴勇俊萌到。。。看了两遍！！！扎扎实实的两遍啊！            
(4星)	 曾经很喜欢。。            
(4星)	 主演都是我喜欢的，演得都很好~很经典的一部韩剧了            
(4星)	 宋允儿很PP            
(NA)	 现在想想，裴勇俊当初就是一个M&amp;A banker啊            
(5星)	 当年很萌裴勇俊的说~            
(4星)	 喜欢宋允儿没心没肺的笑容            
(3星)	 裴帥紅火時            
(3星)	 最爱裴勇俊。大爱前两集，后面就俗套了。            
(5星)	 最爱的韩剧之一            
(5星)	 我却没看上申东贤。我看上了韩泰俊。            
(4星)	 酒店经营加帅哥爱情。。小时候因为这个电视想去学酒店管理。。            
(5星)	 超喜欢            
(3星)	 裴勇俊只有在 冬日恋歌中 让我喜欢的很            
(3星)	 剧情虎头蛇尾（不过这是死韩剧的通病吧） 还有因为宋慧乔不是第一女主 有点抗拒呢 我看过小说 还不错的            
(4星)	 比较老的了~            
(4星)	 除了裴勇俊以外的那两个男配~大叔和正太~我都爱~            
(NA)	 就是当初还小的时候看过这个才决定的志向             
(5星)	 娇妹~~~~            
(2星)	 好像不少人认为不错的一部韩剧吧。。可是我真的是看不下去啦。。看起来很老的影片啊~~~            
(4星)	 其实看完之后更不理解什么是爱情了            
(4星)	 我第一部看的韩剧。。。看了不止一遍            
(3星)	 这部在电视上看的，很老了            
(4星)	 幼稚的好看            
(5星)	 最喜欢的韩剧之一～裴勇俊饰演的申东贤帅得一塌糊涂啊            
(4星)	 韩剧启蒙哝  裴勇俊的强吻……我幼小的心灵……            
(5星)	 当年我多喜欢这片子啊，看了这片子还特想去饭店工作            
(3星)	 现在看来当初真的是没有配角呀，全是腕儿……            
(3星)	 宋允儿很有气质呢~            
(5星)	 经典的台词，高端爱情是高端人才玩的裴帅第一次戴上眼镜，角色非常出挑非常利落的剧情，完全不唧唧歪歪，我老爹都很喜欢看的戏~            
(3星)	 额。。。            
(4星)	 想起那段 迷恋 裴勇俊 迷恋得要死的日子            
(NA)	 完美哦~~            
(5星)	 很经典，两个男主角各有迷人之处            
(4星)	 ok            
(4星)	 记得蛮喜欢，但是不满意最后的BG            
(4星)	 裴勇俊大叔怎么就迷晕了那么多大妈呢。            
(5星)	 心中无法超越的经典~            
(5星)	 也有我很多的回忆，16岁的夏天            
(NA)	 喜欢那时的宋允儿            
(4星)	 四颗星都给裴帅.            
(4星)	 Time to Say Goodbye            
(5星)	 从此喜欢上裴勇俊            
(3星)	 就是太老了，宋不好看，但是裴好有魅力啊            
(4星)	 坚强，聪慧，肥胖的云熙，我很喜欢            
(NA)	 怪不错滴～～～80分！            
(NA)	 经典的韩剧了~~~从此爱上fh男            
(4星)	 喜欢宋允儿，喜欢这个氛围，喜欢裴勇俊的角色            
(5星)	 当年最爱的～～裴勇俊超帅的～～            
(5星)	 申东贤！！！！！勇俊哦吧帅！            
(5星)	 在韩剧中兜了一大圈，最后还是回来重温情定大饭店。不知道是第几遍了……这部剧是老妈最爱的，也是我最爱的。从中学时开始，然后读大学，接着工作，每每觉得看韩剧无聊了，就返回来看它。最吸引我的，是臻茵和泰俊的感情，每次看都会觉得遗憾和心酸。如果他俩能在一起，那该多好……            
(5星)	 最近才看的一部，画面啊，服装啊，化妆啊，当然是比不上现在的韩剧，可是不得不说，这是经典中的经典，每个角色都让人喜欢            
(5星)	 我喜欢宋允儿～！            
(5星)	 去年看了，现在偶尔想起仍有留恋~让人回味            
(NA)	 冲宋姐姐去的，垃圾···            
(4星)	 经典~            
(4星)	 给4颗星的原因是 酒店业其实是很垃圾的！            
(NA)	 当时正处于迷恋裴勇俊的时期，基本就是冲着他找来看的，事实上，这部剧里最喜欢的是宋允儿饰演的徐臻茵，对裴勇俊还好....            
(NA)	 4            
(3星)	 我喜欢这里面裴勇俊的咄咄逼人            
(4星)	 挺好看的，数字电视的测试影院一直在放~今天终于演完了，不知道接下来放什么。            
(NA)	 一般般吧            
(4星)	 零缺点男人申东贤！~~榛茵也很可爱~~只是不喜欢那个经理（太久之前看的，名字都不记得了）的人物性格，尤其是对待爱情的态度，总是对别人若即若离。。。            
(5星)	 嗯，腹黑男。            
(3星)	 好早了。。。都不记得什么了            
(4星)	 早期的韩剧都不错在这里知道了什么是客房服务            
(5星)	 非常好的剧            
(2星)	 不容易看完            
(5星)	 四位主演，都很爱。            
(5星)	 想当年呀，就从这剧开始喜欢裴勇俊的            
(NA)	 复习 裴帅            
(NA)	 高中时候的事了            
(4星)	 啊，裴勇俊！            
(4星)	 裴勇俊的肌肉哦。。            
(4星)	 这是我现在想重看的一部韩剧。喜欢宋允儿。            
(4星)	 主要看演员！            
(3星)	 为什么我对宋小姐没有感觉            
(5星)	 大爱的片子!爱每一个主角!            
(5星)	 东贤            
(NA)	 貌似也没看完            
(4星)	 裴勇俊啊...            
(4星)	 裴勇俊耶！！！            
(4星)	 第一部看的韩剧            
(4星)	 最喜欢的韩剧            
(5星)	 额~ 无语了。提起这部韩剧，我的心就要融化了。那时候就觉得申东贤和徐臻茵实在是太配了，一个坦率的让我想要弹她的脑蹦儿，一个眼神深情的让我觉得有他世界都是浮云。简简单单的生活，才是最大的福气。            
(5星)	 看了很多次了  每次都只看东贤出现的镜头  大爱！！！怎么深情感人的男人现实是没有的。。。   这几天又在看了 还是只看他  连小说也找出来了    裴勇俊真的太帅了 演得完美            
(5星)	 不是因为冬季恋歌，是因为情定大饭店，裴勇俊彻底迷死我~~            
(4星)	 似乎始终没看过结局            
(4星)	 这个team不会再来一次了            
(NA)	 我是真的看完了才知道男主是裴勇俊呀~            
(5星)	 真的是很好看的  当时就喜欢上裴勇俊了            
(4星)	 只是开始想念寝室岁月了            
(3星)	 很小时候看的。。。记得当时很不喜欢那个大叔。。。现在也不是太喜欢。。。            
(4星)	 听说这部电视剧很长时间了，都是关于裴勇俊的传奇。最近的时候才认认真真的看了一遍，不得不感叹于申东贤的魅力，他是一个完美男人的典范。高智商、高情商、清高但不孤傲，淡然但不冷漠。面对自己爱的女人，他没有像韩泰俊一样把她推开，而是为了靠近他宁可放弃自己的一切。这是一部很好的类型剧。            
(3星)	 一般般            
(4星)	 我喜欢男二。            
(3星)	 印象最深的反而是宋慧乔~~经典韩剧~~            
(5星)	 百看不厌。最爱裴勇俊。他的眼神和微笑。戴眼镜穿西装的英俊男人。冷酷，可是如此温柔。            
(5星)	 最近不知道为什么特别想看。            
(5星)	 当年超喜欢这部剧啊，之因为裴勇俊演的申东贤，只为你一个人温柔            
(3星)	 那时很喜欢宋允儿，觉得长得很漂亮，话说现在怎么销声匿迹了呢？？            
(3星)	 没看完整            
(4星)	 第一集里他们的那种忙碌就让读书时候的我心生羡慕，果然是劳碌命！！            
(4星)	 我就觉得挺好看的！            
(NA)	 没人能抗拒这样的男人吧，寂寞的心，大刀阔斧的闯入，大大方方的改变，跨过一条叫饭店的河，又越过一座叫前男友的山，长驱直入，因为要走的路早就已经决定，帅气~            
(3星)	 还挺喜欢片子里的感觉的，裴勇俊挺经典~            
(5星)	 裴勇俊！！！！！            
(NA)	 当时觉得裴勇俊好帅            
(5星)	 一眼就爱上 法兰克            
(4星)	 从此喜欢宋允儿~            
(4星)	 这是部可以排进不可错过韩剧名单的。            
(5星)	 喜欢申东贤更爱裴勇俊            
(3星)	 想當年 初中 媽媽借碟片 偷偷看的··            
(3星)	 好像是多少年前在凤凰卫视上追着看的....            
(4星)	 韩剧里面比较优质国际化的            
(3星)	 久远~            
(3星)	 没看完整            
(3星)	 冲着宋慧乔看的。一般。            
(4星)	 喜欢宋允儿。            
(NA)	 我喜欢里面的经理  老男人的味道 O(∩_∩)O~             
(5星)	 真的要迷死宋允儿了………………@@            
(4星)	 那个时候还觉得裴勇俊的笑很勾人- -我是师奶么难道&gt;&lt;            
(5星)	 绝对的经典！            
(4星)	 喜欢宋慧乔！            
(5星)	 唯一喜欢的韩剧            
(5星)	 满足了我的幻想            
(3星)	 里面的演员都比较喜欢，剧情嘛，还是比较“科幻”的···            
(NA)	 不管是韩剧还是日剧都觉得很不错~~~            
(4星)	 因为这，喜欢了裴勇俊的阳光笑容好久。            
(5星)	 好老的一部剧了~~超级爱啊，从剧情到人物到演员~~很经典啊~~            
(5星)	 很经典的一部！~非常喜欢宋允儿~            
(NA)	 又是一位09年明星剩女嫁作人妻，哎...还是要恭喜允儿姐姐的，那时的气质还是让我有些喜欢的.....            
(3星)	 虽然很喜欢东贤，可还是希望臻茵能与泰俊在一起。。。            
(3星)	 刚刚补看完的一部韩剧            
(3星)	 当时看是冲着裴勇俊去看的,可惜,不感冒了..            
(4星)	 看了这部剧，喜欢上宋允儿让我温暖的笑容……            
(5星)	 帅哥美女，花瓶演技派，还有我最喜欢的宋允儿，加上职业剧，经典之作。虽然一些情节今天看起来有些俗套，但确实能让人lost in love.甜蜜之作。            
(5星)	  裴勇俊 嗯，我也喜欢            
(4星)	 就是在这里迷上裴勇俊的            
(5星)	 勇sama是我那时的心中偶像            
(5星)	 啊啊啊，很喜欢的一部经典韩剧，饭店的员工像一家人一样，曾因此想学饭店管理来着。            
(4星)	 期待可以拥有Frank 那般成功的人生。            
(3星)	 还行还行            
(3星)	 說實話，不能理解，宋允兒在2個男人間徘徊的原因。更喜歡宋慧喬對愛情的勇敢。            
(4星)	 经典老韩剧            
(4星)	 这部剧,男一是谁呀,应该是演泰俊的那位先生吧,可是介绍里都没提他的名字,我也不知道叫什么了,不过大叔还挺好的. 其实相对于那部恋歌什么的,我觉得这个里面裴先生的形象更迷师奶一些.            
(4星)	 宋允儿--&gt;《On Air》--完美印象            
(4星)	 裴勇俊在这剧里很帅哇。            
(NA)	 我喜欢的主角集合了。            
(3星)	 当时没能看下去，是因为女主不太符合我的审美观            
(5星)	 不是太出名的一部片子，却让我对酒店管理这行有了很多憧憬~~呵呵，喜欢宋允儿，喜欢裴勇俊            
(5星)	 喜欢宋允儿               
(NA)	 记不清是看过的第几部韩剧了，只为帅哥美女而来~~            
(5星)	 因为这部片片，疯狂爱上裴勇俊！            
(3星)	 不太记得了。。            
(4星)	 想当年，那可是爱死裴勇俊啦！            
(NA)	 当时的经典~            
(4星)	 喜欢 当时喜欢  现在也有点喜欢            
(5星)	 裴勇俊在里面演的太赞了！！~华克山庄的景色拍的也很漂亮！~            
(5星)	 宋允儿，裴勇俊，绝配！            
(4星)	 爱·························            
(3星)	 本來很完美，但宋允兒變心後我就看不下去了，不接受不能從一而終的愛情劇            
(3星)	 喜欢宋慧乔那一对，那位大叔很帅，超讨厌沛勇军，宋云耳这一对！            
(3星)	 喜欢当时的几个演员，去看的片子，不好也不坏吧。            
(5星)	 早期看的韩剧，被裴勇俊迷死了            
(5星)	 呵呵  记得当时和妹妹一起看的             
(3星)	 曾经觉得很好看，从那个时侯就一直喜欢宋慧乔~            
(5星)	 初中时超级迷这部连续剧。。。。            
(NA)	 也很好 很老了这部电视剧            
(4星)	 不可超越的经典。            
(5星)	 曾经对裴勇俊的胸肌流过口水            
(4星)	 让我至今想转成酒店管理的电视剧啊~~            
(5星)	 经典            
(4星)	 看过很久了 有时间还想再看看            
(3星)	 喜欢宋允儿~不过这剧整体都不错！            
(4星)	 剧情紧凑，人物众多，情节多变，感情细腻            
(5星)	 最喜欢的一部韩剧            
(2星)	 我讨厌宋允儿的丝袜···我讨厌丝袜            
(3星)	 还是不错的。            
(NA)	 比较早期的韩剧，但也很经典……            
(4星)	 我怎么开始看电视剧了呢？            
(5星)	 经典~~~            
(5星)	 太经典了            
(5星)	 几年前看的时候非常喜欢            
(5星)	 宋允儿演的超棒~            
(4星)	 还是初中时。绝对迷恋韩俊泰，不好看的安全感，担当十足。变成美好回忆。            
(NA)	 最经典的职业爱情剧            
(NA)	 经典的浪漫            
(NA)	 很早了，好看            
(2星)	 有点无聊~~            
(3星)	 好像没看全,只记得有乔妹            
(4星)	 喜欢宋允儿……            
(5星)	 喜欢宋允儿，喜欢徐臻茵的懵懵懂懂，莽莽撞撞，那种开开心心过日子的心情让人看了都觉得暖暖的，还有电视剧的背景音乐超喜欢！！！！            
(NA)	 纪念纯真的岁月。韩剧，看了以后，会让你活在幻想的世界里            
(5星)	 男女主角都是我很喜欢的。            
(5星)	 看过的第一部 完整版韩剧 大爱徐臻茵            
(4星)	 还不错啊            
(NA)	 我在等你            
(5星)	 裴勇俊            
(3星)	 一般~冲着裴勇俊踢坏自动门强吻宋允儿去的   结果失望的回来了            
(4星)	 妈妈带我看的哦~~~            
(4星)	 曾经很喜欢剧中的韩泰俊，尤其是他默默地看着女主角的那一幕，看着女主角一步步的走向裴勇俊，真的心里很难受啊！本以为女主角会为他停留，但真的是你不说，别人永远都不会知道，哪怕那个人明明对你又感觉，所以虽然超喜欢韩泰俊那样的男人，但遇到他也不一定是幸福的事啊！            
(NA)	 那时喜欢裴勇俊呢            
(NA)	 高中时爱上的片子~~同时喜欢上的还有美丽的日子当时还熬夜看了小说版的            
(5星)	 kao 当年看的第一部韩剧 太迷恋裴勇俊了 当年的心情是力荐！            
(3星)	 很久前看的            
(5星)	     两情若是长久时，又岂在朝朝暮暮。            
(5星)	 我的最爱。            
(4星)	 这个貌似直接copy了日本的剧情，或许是日本copy了韩国的            
(4星)	 这个不错，虽然韩剧都差不多吧。里面有一男的挺帅的，现在都忘了叫什么了            
(5星)	 这也是给我留下好印象的为数不多的韩剧之一  有爱 有矛盾 但不伤  才感觉比较真实 会有感触            
(4星)	 挺不错的。            
(5星)	 爱情可以改变一个人，我现在仍相信着            
(4星)	 一部我个人感觉很不错得韩剧            
(3星)	 全是为了裴勇俊而去的            
(5星)	 很多台词都太喜欢了，大家演的都很好            
(4星)	 裴勇俊依然帅气得逼人。。。            
(4星)	 喜欢宋允儿            
(4星)	 裴勇俊真是太帅了……            
(3星)	 so so            
(3星)	 只是想看裴勇俊。            
(4星)	 开始喜欢宋慧乔，胖胖的脸，很可爱...            
(NA)	 你是鼻祖啊            
(4星)	 因为与酒店有关，所以看看            
(4星)	 太过完美的爱情...            
(5星)	 !!!!first korean series for me            
(NA)	 my first VCD..ha            
(5星)	 从此对酒店产生了幻想            
(4星)	 申东贤，大爱            
(4星)	 喜欢宋允儿~特别的气质！            
(3星)	 云熙            
(3星)	 冲着裴勇俊去看的，有点失望            
(3星)	 我就是从这部片开始喜欢裴勇俊~            
(3星)	 JUST SO SO            
(4星)	 可惜看的普通话版，再次感受裴勇俊的魅力            
(NA)	 师奶杀手裴勇俊。            
(4星)	 少女情怀总是春之一看就是天亮。            
(4星)	 这是我看的第一部韩剧。。。            
(4星)	 喜欢            
(NA)	 複雜的六角戀愛            
(4星)	 还记得吗？ 我们说过永远在一起~            
(2星)	 不要看不好看。            
(NA)	 华克山庄            
(5星)	 母亲大人是小裴FAN 跟着全看完了 不过不喜欢这么完美的男人啊~            
(NA)	 爱上这样的男人，是你一辈子的幸福            
(NA)	 不喜欢这里的宋慧乔            
(5星)	 裴勇俊。[我记得当时是十分非常特别喜欢这部剧的。- -]            
(NA)	 经典韩剧之一，那时候，慧乔美眉还很小。            
(5星)	 宋慧乔真是大大大美人。从这里喜欢上裴勇俊的。英俊、多金、浪漫、有才干、手腕强硬坚决、被抛弃的经历、孤独的心。            
(5星)	 这个自然是不错的，感觉是韩剧的经典。            
(4星)	 饭店工作很帅的样子~            
(5星)	 经典啊！经典啊！当年不知道看了多少遍阿！            
(4星)	 喜欢宋允儿，还有总经理            
(5星)	 宋允儿从此成为我的大爱，左右为难的爱情最吸引人了            
(4星)	 很勇敢的宋慧乔            
(5星)	 允儿和裴GG实在是太有感觉了            
(3星)	 看完日版的才知道这个有多好            
(NA)	 还不错            
(4星)	 当时迷的一塌糊涂 泰俊臻因            
(5星)	 允儿姐姐是我的大爱！好片子            
(NA)	 裴勇俊好man啊！喜欢            
(4星)	 裴勇俊大叔的经典代表作            
(4星)	 这个电视看了以后 就促进了想学酒店管理的想法= =             
(4星)	 “我走了太远的路 终于来到你的身边 却已两手空空”            
(4星)	 真是帅啊            
(5星)	 裴勇俊演的强势的男人很成功喜欢宋允儿的表演 本人也很有气质            
(5星)	 裴勇俊啊，你怎么就这么帅呢!            
(5星)	 不红，但好看            
(4星)	 东贤            
(5星)	 奠定或影响爱情观的影视之一！            
(4星)	 那个人            
(5星)	 经典中的经典 那是的宋慧乔还只是一个配角            
(3星)	 偶像剧            
(4星)	 妈妈喜欢小裴             
(5星)	 喜欢宋允儿那样的女人            
(5星)	 比较早接触的韩国电视，最喜欢的。            
(NA)	 有时，吸引你的可能不是剧情            
(3星)	 再看的时候，完全没感觉了，说明他经不起时间的考验。            
(5星)	 最后那集韩泰俊的泪徐臻茵没明白，但我们都明白了。宋慧乔看了让人很不爽。            
(4星)	 最爱的韩剧            
(4星)	 还可以            
(3星)	 还行吧            
(NA)	 剧情不错            
(4星)	 很老了啊……            
(3星)	 宋允儿长的好聪明            
(5星)	 喜欢允儿。喜欢这部里的裴勇俊。            
(5星)	 最喜欢的一部韩剧            
(4星)	 爱情,真的需要缘分.            
(3星)	 剧情还可以~初中看的~            
(4星)	 早期看的韩剧，还是读书的时候吧，老家的电视台放的，暑假，趁父母不在家偷偷看            
(5星)	 从此喜欢裴勇俊 宋允儿 唯二喜欢的韩片。            
(NA)	 在这之前不明白为什么别人那么喜欢裴勇俊~看了就明白了~喜欢他和东淑预见的方式~            
(NA)	 经典            
(4星)	 简直满足了女人对感情的虚荣，适合花痴观看。            
(4星)	 很有内涵的一部片子~            
(5星)	 因为Frank，开始爱上饭店。            
(4星)	 浪漫剧情围绕着大饭店展开。            
(4星)	 西装革履的裴勇俊很帅            
(4星)	 应该是我看的第一部韩剧吧            
(4星)	 其实，很矛盾的，觉得两个男主角都很好，不过绝对不同意泰俊和云熙好.            
(4星)	 还是早期的韩剧比较好看            
(3星)	 第二女主角，看了她我选了酒店专业            
(NA)	 喜欢女主角            
(5星)	 最爱的剧！            
(4星)	 支持宋慧乔            
(5星)	 so讨厌徐臻茵，喜欢金云熙            
(5星)	 经典之作。一度对饭店有好感。宋慧乔里面所饰的个性很喜欢，宋允儿的感情发展也很舒服。可爱的董事长儿子。            
(3星)	 男一好不帅……            
(2星)	 又是老少配，烦            
(NA)	 有想改行的冲动哦 其实饭店管理还是很不错的            
(4星)	 男二号转正            
(5星)	 三百朵玫瑰！            
(3星)	 帅哥美女阿，情节也还及格            
(NA)	 这部我相当喜欢            
(NA)	 情定大饭店             
(4星)	 看了两遍……还不错            
(5星)	 爱情 励志 阴谋            
(4星)	 自此开始喜欢裴勇俊的。。PS现在不喜欢了。            
(NA)	 俊男靓女            
(5星)	 看完此剧，爱上宋允儿，不愧为宋承宪唯一承认的女友。裴勇俊同学依然这么风度翩翩。            
(3星)	 当年是为了宋慧乔才看的。一般。            
(NA)	 里面裴勇俊说过一句话，“真正的信任是相信无法相信的东西”。            
(5星)	 相比裴勇俊，更爱男二号，眼神真的很让人心疼            
(4星)	 认为它可以算得上是韩剧的经典之一。裴勇俊……帅            
(NA)	 裴勇俊那叫一个帅            
(5星)	 很经典 很多很多遍            
(3星)	 那个韩剧高潮时的代表作之一。            
(5星)	 申东贤，300多玫瑰。看了有20遍了。            
(4星)	 强烈怀疑宋慧乔就是在演这部片子之前去整容了，那个突然变得漂亮啊。。。还有，这部片的女主角好死板，不知道裴帅哥喜欢她什么            
(4星)	 第一次看时不喜欢，是因为两个我不喜欢的人在拆散并分别抢走两个我喜欢的人，第二次一口气看下来，对两个我不喜欢的人也慢慢改观了，不过还是最喜欢韩泰俊，没说的！            
(NA)	 眼睛哥哥好帅啊            
(NA)	 裴永俊在这上好好看            
(4星)	 喜欢宋允儿            
(NA)	 喜欢允儿            
(3星)	 那时的裴永俊好呆啊～～            
(5星)	 不错，经典            
(NA)	 on air 的宋我更喜欢            
(4星)	 经典韩剧            
(NA)	 哈哈哈 韩泰俊～～～            
(5星)	 看完这片子让我曾有了在大饭店工作的想法。片中演员都很喜欢，尤其是宋允儿和饭店老板的儿子（忘了叫什么了）            
(4星)	 没看全~觉得臻茵和泰俊太可惜了!可是东贤也超好啊~            
(4星)	 不能说最经典，但包涵了很多有价值的价值观，富有的华尔街M&amp;A并购专家申东贤却觉得一个工薪阶层的区区饭店总经理比自己富有的多，什么样的人生才是真正的富足、真正的富有呢？本剧以亚洲人含蓄的情感特征娓娓道来，并且也涵盖了不少作者和导演的价值观，亲情、友情、爱情、民族情感，等等。演员阵容强大，台词对白也勘称经典，并有不少小资式的生活概念，值得细细品位。百度贴吧里也有专门的《情定大饭店》吧，非常热闹。            
(NA)	 喜欢里面的韩泰俊，不过忘了那个演员叫什么。。。            
(4星)	 这部其实蛮好看的            
(NA)	 大学生必看的            
(NA)	 我最爱的韩剧，            
(5星)	 不管别人怎么说裴勇俊是老女人的杀手 我是被他这里的帅吸引了 冬季恋歌看完了却不喜欢 总是忘不了在那里那个寂寞的男人 帅啊 还有女主角的可爱 真的很可爱 是宋允儿吧  她在里面总想学她身上的东西 呵呵            
(2星)	 一点感觉都没有            
(4星)	 因为看冬季恋歌而喜欢裴裴，因为看大饭店而喜欢申东贤            
(NA)	 看过一点点            
(5星)	 超级棒！            
(4星)	 年少多梦            
(3星)	 不知道为什么，看了这个总是泪流不止            
(5星)	 终于知道为什么裴勇俊这么受欢迎了~！~！~！            
(5星)	 最爱申东贤 天上有 地上无            
(3星)	 剧情不错……            
(3星)	 高考前一个月，刚一看电视就是申东贤的告白，简单而直接的方式立刻击倒我。跳着看终于找到了当年看到的片断，虽然没有那么心动了但还是觉得什么事简单直接点好            
(3星)	 一般般啦            
(NA)	 就是因為它而喜歡裴勇俊的～！            
(NA)	 喜歡宋慧乔 但不喜歡裴勇俊 沒有看完            
(4星)	 继续因为裴勇俊            
(NA)	 不喜欢            
(4星)	 裴叔叔的剧~在里面真的很帅！而且没有那么多生离死别，耐看！            
(NA)	 爱情            
(3星)	 还好            
(3星)	 因为裴勇俊才看的，没什么印象。            
(5星)	 看过很多遍哦            
(3星)	 喜欢他  所以喜欢它            
(3星)	 当初看这戏，啊，原来这就是宋允儿啊，安在旭的前女友。那时迷小民哥迷的一塌糊涂。嘿嘿。2010.12.11            
(3星)	 虽然没看全，但有裴勇俊就好            
(NA)	 好看            
(5星)	 裴勇俊最帅拉            
(NA)	 因为喜欢裴勇俊 所以看了很多很多遍！            
(NA)	 251            
(NA)	 喜欢裴永俊，呵呵            
(NA)	 这部片子开始关注裴勇俊 ，到冬季恋歌时就觉得一般了。            
(NA)	 因为裴勇俊关注这部片,和&lt;冬恋&gt;里面不同的类型,不过还是喜欢他.            
(3星)	 还好            
(3星)	 宋允儿不错～～～            
(NA)	 喜欢允儿            
(NA)	 经典，里面4人都超级喜欢！            
(4星)	 饭店人。“我现在可以check in 吗？”“请问你要待多久？”“永远！”            
(4星)	 恩，令人羡慕的个性和爱情            
(3星)	 没意思            
(5星)	 同学几年前跟我说，不上班了要到情定大饭店那种韩国第一酒店工作。然后说宋允儿不错等等。彼时正对TVB情有独钟，嗤之以鼻。后来发现出道不久的宋慧乔，然也！而去狗狗了一下“华克山庄”，被认为“一直以来堪称韩国旅游产业的摇篮，坐落于汉城东北部景观最为优美的汉江江畔，置身于无公害的清新的自然之中，是亚洲第一家集美食，休闲．娱乐，购物为一体的六星级酒店．”喝喝，立刻想起了汉江怪物。据说也是韩国游的一个经典景点之一，一如美丽如画的济州岛。然而不是对于电视剧的唯美制作，而是觉得里面流露的脉脉温情，值得回味。1            
(NA)	 宋慧乔             
(5星)	 大概是因为演员的缘故吧。这部电视剧在我心中总是不可替代的经典。            
(4星)	 裴勇俊＋宋允儿            
(5星)	 由于05年的时候,每天下午都会守电视机,这个喜爱程度当然就猛增了咯            
(5星)	 以前很讨厌裴裴　因为这部喜欢上了　还有很喜欢允儿            
(3星)	 又是一部经典韩剧            
(4星)	 裴勇俊,帅啊            
(NA)	 爱上了申东贤，喜欢上了裴永俊             
(5星)	 第一次知道裴勇俊，喜欢上他的演技！            
(3星)	 本剧讲述的是发生在有30年悠久历史的汉城饭店的故事.这里有因饭店的收购引起的风波,有饭店内部的明争暗斗,有饭店收购人和饭店职员的爱情和随之而来的矛盾. 汉城饭店会被收购吗? 他们纯真的爱情会实现吗?　　南汉城饭店以秀丽的自然风景和30多年传统的特级饭店闻名于世，这些都是以&#34;微笑服务&#34;的原则，努力经营的崔会长的功劳。但是随着时代的变迁，饭店也面临挑战，必须通过扩大投资才能在竞争中生存的局面。正要着手进行改革的崔会长突然以心脏麻痹去世。　　饭店面临着来自债权人和股东们的压力，也面临着经营上的困难，崔会            
(NA)	 还蛮好看的！～            
(3星)	 还好            
(4星)	 还行            
(3星)	 金承佑，我迷的是这个。宋慧乔演富家女爱上的他——韩泰俊。裴勇俊一副坏坏的样子。日版没有韩原版好看，根本看不下去！            
(3星)	 ...            
(NA)	 疯狂地喜欢上俊俊            
(3星)	 冲着勇俊OPPA去的~            
(4星)	 我们相遇在Las vegas            
(5星)	 这是我认为裴帅哥最帅的连续剧，比冬季恋歌更帅，哈！            
(5星)	 经典韩剧，不容错过。原来，爱情可以让一个人改变那么多，可是，在现实中会有吗？当一切都结束时，他还在你身边，这便是最大的幸福。            
(3星)	 宋允儿很傻            
(5星)	 在《冬季恋歌》后，开始深入看韩剧，毫无疑问裴勇俊是标签~~             
(5星)	 宋允儿真是修长呀            
(NA)	 很喜欢的一个韩剧。看了几遍。裴帅在里面的角色是白马王子的典范。英俊，聪明，有魄力！            
(NA)	 裴勇俊            
(5星)	 超爱，最爱申东贤            
(5星)	 逐渐成熟的爱情！            
(4星)	 怎么也看不厌            
(5星)	 影响了我求学择业的一部电视剧。            
(3星)	 帅哥加美女的组合……            
(4星)	 第一部吸引我的韩剧！重看一遍果真是经典呀            
