http://movie.douban.com/subject/2982064/	风云
(3星)	 三星纯属为了蒋勤勤，美女！            
(5星)	 想当年，对这步惊云是爱的深呐！            
(5星)	 聂风哇~~！！倚楼听风雨，淡看江湖路            
(NA)	 我的法海~~~~~~~~~~~~            
(NA)	 这是怎么看都不会厌            
(4星)	 喜欢赵文卓和蒋勤勤            
(4星)	 妈的，看了第二部就知道第一部好了，对比神马的是很神奇的东西            
(5星)	 就是冲着三个字，步惊云            
(3星)	 还是电影精炼，千叶真一真的是雄霸代名词了。风、云、霜（此人绉出来的吧）的感觉都没有电影里的好！女配的感觉倒是都很好，特别是梦。@Home            
(3星)	 赵文卓好大的鼻孔！！            
(4星)	     那时候觉得非常好看 、            
(3星)	 我要赶着回家看电视了（我还记得那感觉）            
(3星)	 剧情还成。赵先生和尔康有一拼╮(￣▽￣&#34;)╭女猪普遍长得。。。呵呵            
(4星)	 明月和梦都是偶滴最爱，聂风你小子、、            
(NA)	 别对我说永远永远永远            
(3星)	 一见聂风误终身            
(3星)	 扶额……            
(3星)	 看过 忘了当时啥 感受            
(4星)	 就只记得什么，别对我说永远永远，永远不是我要的明天。            
(3星)	 那时候还是很喜欢赵文卓的时候。。。            
(NA)	 这里的孔慈丑飞了……            
(3星)	 少年时代的经典            
(3星)	 受不了聂风的头发····于是怀念郑伊健            
(4星)	 我真的很喜欢步惊云和楚楚在一起，我这品味==            
(2星)	 恶心，我从来不打一颗星            
(4星)	 看一半就可以了            
(4星)	 蒋勤勤的第二梦真的是太经典了。            
(5星)	 好            
(5星)	 我认为比电影版好             
(3星)	 相比郭富城的电影版，感觉还是差不少            
(5星)	 我怎么会看这么多遍！！不是我风格啊！~            
(3星)	 步惊云啊步惊云            
(4星)	 那时候迷得要死啊            
(2星)	 很雷…            
(5星)	 应该是小学还是初中的集体电影吧            
(NA)	 蒋勤勤            
(1星)	 喜欢布            
(NA)	 第一次看是在公交上，水靈的造型吸引了我。            
(4星)	 那时候真的爱疯了            
(4星)	 小学看的，觉得不错。。现在就不知道了，也没时间再去看一遍了。。            
(5星)	 以前超喜欢            
(2星)	 越到后面情节越无聊            
(4星)	 当时国庆看了一星期的安慰卫视啊~            
(3星)	 除了第二梦，所有人无一不雷，蒋勤勤你也雷一下这剧就圆满了啊！            
(2星)	 蒋勤勤还挺美的~~            
(4星)	 说到赵文卓我就想起风云，还有蒋勤勤，小时候也特别喜欢她~            
(3星)	 都喜欢都喜欢，当时好喜欢            
(4星)	 蒋勤勤 第二梦 明月            
(3星)	 就是剧情比电影多。。。            
(4星)	 蒋勤勤真是美啊 怎么都美 最后换血给聂风时哭的我啊 音乐还是一千颗眼泪来着 何润东那时和孔慈楚楚真的是。。哦再加上剑晨。。            
(NA)	 日本雄霸shock到我了 霓虹果然高产猥琐怪叔黎            
(3星)	 何润东。。。。            
(3星)	 记得蒋勤勤很美，其他人的造型都受不了……            
(4星)	 = = 依然是那个充满喜感的暑假            
(4星)	 因为蒋勤勤，第二梦？            
(3星)	 还是因为他们俩            
(4星)	 那时候还天天看类。。            
(4星)	 曾经最喜欢看的武侠之作。。。            
(3星)	 以前最喜欢楚楚和独孤梦            
(NA)	 热血基片            
(4星)	 小时候就认为何润东是最帅的了 蒋勤勤最漂亮了 六年级的回忆呢            
(NA)	 扶额……            
(3星)	 别对我说永远永远与南公园，别对我受永远永远永远，别对我说永远永远永远、、、、、好吧我不说            
(NA)	  没多大印象了            
(4星)	 纯粹是对风云这部漫画的迷恋 爱屋及乌            
(4星)	 初中看很疯啊。            
(3星)	 喜欢第二梦            
(3星)	 那年跟風雲搭邊的都挺火的！            
(4星)	 我明晃晃的初中回忆啊 喜欢那个原著中没有的新角色“幽若”            
(NA)	 里面那首歌的GIRL~~~~真是很销魂啊            
(3星)	 当时放假每天等着看~~~            
(4星)	 哈哈哈哈某个寒假从头追到尾            
(3星)	 蒋勤勤！            
(3星)	 小时候很喜欢看的……            
(NA)	 小时候和F哥哥一起看的呀:D            
(3星)	 成也风云，败成风云，讲些什么不记得了，只记得这两句            
(NA)	 那时候最喜欢聂凤和第二梦了            
(2星)	 多一星给异常敬业的演员们            
(5星)	 烧小学暑假 赵文卓老帅了！            
(NA)	 我还看过这个那？            
(3星)	 喜欢步惊云~            
(4星)	 人年轻啊            
(4星)	 九霄龙吟惊天变，风云际会潜水游            
(3星)	 回忆            
(3星)	 当时喜欢聂风讨厌云的发型……            
(1星)	 那个发型......我吐！            
(5星)	 风云。实在是登峰造极！打响了很多人的名号！主角配角都出色！除主角外喜欢配角孙兴。相当经典！            
(2星)	 那一头蓝毛..            
(4星)	 这初中时候很热门的说            
(3星)	 纠结的剧情            
(4星)	 小时候喜欢看            
(4星)	 哈哈            
(4星)	 第二梦好漂亮……            
(NA)	 聂风！            
(4星)	 个人很喜欢，赵文卓和蒋勤勤            
(4星)	 当年的巅峰特效，完美人设            
(4星)	 那一年，初三，逃掉晚自习在家看风云，班主任打来电话，被妈训。            
(3星)	 我初中时候爱看的电视剧            
(3星)	 我看的乐呵呵的。            
(3星)	 天，孔慈            
(3星)	 孔慈，你爱了风，毁了云，嫁了霜……            
(2星)	 汇集了我最讨厌的两个男演员真是不容易啊            
(NA)	 何潤東戴著那樣的假髮 他怎麼就不尷尬呢!!            
(3星)	 好看            
(2星)	 漫画本来就看不下去，何况是电影，一样弱智。            
(4星)	 赵文卓的聂风还是不错的……            
(5星)	 哈哈``小时侯看超爱楚楚和步惊云``            
(5星)	 好喜欢何润东演的步惊云啊！水灵演的第二梦好美啊！            
(3星)	 总记得风和明月那一场倾城之恋...            
(4星)	 何润东的发型真是...这老头原来是日本鬼子啊?            
(4星)	 遥远的过去～            
(3星)	 严重怀疑这里面聂风步惊云（特别是步惊云）对女人的审美，孔慈这位实在是长得太。。。困难了。。。            
(3星)	 ..陪你们2            
(2星)	 我一直认为何润东就是烂片的标志。。。。            
(3星)	 非典的记忆。            
(5星)	 小学还是初中时候每天追着看            
(2星)	 跟漫画没法比……            
(4星)	 还不错，话说怎么在douban上找不到续集            
(4星)	 剧情还不错,虽然很多地方蛮狗血的,以前看还不错,不过某女和某女真是...有点煞风景            
(2星)	 一点都不灵            
(5星)	 金麟岂是池中物，一遇风云便化龙            
(NA)	 高中做题间中无聊作壁上观            
(5星)	 多少人心中的经典，可是我无法与他们产生共鸣。因为第二梦的性格平淡如水，我不喜欢圣母玛利亚，不管她有多美。相比之下，我还是更喜欢明月，这个明媚决绝的女子，即使永远的离开也占据着观众和风心中梦无法替代的位置。            
(3星)	 蒋勤勤那个美~~还有幽若又美又萌的！            
(4星)	 聂风。            
(3星)	 谁没看过风云？没看过总听过吧？            
(5星)	 幽若幽若~还有第二梦~美人们啊~~            
(4星)	 纯为了美丽的第二梦            
(3星)	 还是去看动画算了            
(4星)	 蒋勤勤真他妈的美            
(3星)	 那老头还真是外国人            
(NA)	 一颗星都多余，这剧毁了很多人            
(2星)	 造型雷得要死            
(5星)	 知道我那时有多迷恋Peter吗            
(NA)	 江祖平            
(4星)	 哈哈 初中天天看            
(4星)	 可喜欢聂风~            
(5星)	 当时真觉得第二梦那个美若天仙啊            
(4星)	 可是陪我度过了初中生活            
(NA)	 2啊            
(3星)	 年少的记忆            
(4星)	 造型。。。            
(3星)	 貌似是第一次对peter的表演有印象。。。个人还是偏爱性格激烈冲动的角色啦。。。            
(4星)	 视觉效果上不错            
(5星)	 我的最爱            
(NA)	 特让我回忆起他们有个输血的情节。无语，哈哈            
(5星)	 这个云  很经典~            
(3星)	 我承认，何润东还是挺帅的~            
(3星)	 中规中矩的大陆古装片，装酷太多，勉强接受            
(4星)	 好多年了  那会儿正赶上过年追着看            
(3星)	 雄霸天下，何其潇洒，可惜不懂得识人啊，竟然被徒弟女儿出卖，哎。            
(3星)	 第一眼看到何润东就觉得他很丑。现在仍然觉得他很丑。            
(5星)	 蒋勤勤啊，迷死我了            
(4星)	 虫儿飞是五星级的歌            
(4星)	 千叶真一啊，不怒而威，厉害            
(4星)	 喜欢聂风就是聂风            
(3星)	 赵文卓 蒋勤勤            
(3星)	 第二梦好美            
(4星)	 当时真是迷死我。。            
(2星)	 我真不想承认我看过            
(5星)	 这个打5分纯粹出于个人感情。。。            
(3星)	 水灵姑娘在里面好水灵~            
(5星)	 文丑丑            
(NA)	 4            
(5星)	 那时候觉得超好看的！            
(4星)	 小时候挺喜欢看这个的            
(3星)	 赵文卓好帅的说～何润东好丑的说～跟机器人一样呀。            
(3星)	 我竟然无聊到又看了一遍            
(2星)	 太雷了。。。陶红太老了。。赵文卓又很丑（个人觉得）            
(4星)	 聂风你这个克女人的 周围的女人全都被你克死了            
(4星)	 在家里电视上看的……还行吧……            
(4星)	 哎呀妈呀  当年啊。追着追着看，就是孔慈太难看。还有仙女一样的蒋勤勤。            
(4星)	 第一部的风云很好看            
(3星)	 大家一起在宿舍里看的。            
(3星)	 步惊云有点吓人            
(2星)	 某个大脸女主角部给力啊            
(5星)	 选角非常满意。            
(2星)	 这剧拍得有点雷。            
(3星)	 那个年代   赵文卓还是很英俊 很讨喜的。            
(5星)	 喜欢何润东            
(5星)	 看过N遍            
(1星)	 成也风云，败也风云。。。。            
(NA)	 很喜欢蒋勤勤和赵文卓的搭档。            
(3星)	 蒋勤勤很美            
(4星)	 想当年还是挺萌的            
(5星)	 初中的时候可迷了            
(5星)	 那个暑假的全部            
(4星)	 记得那个暑假做不完作业~结果叫小伙伴们帮我一起做~到了晚上他们去看这部电视了~我还在那里赶~            
(4星)	 当时还是很喜欢的啊            
(4星)	 初中喜欢的了 蒋勤勤美得啊~脸上的伤疤反倒显得独特的美 那时候还觉得聂风很帅的呢。。。囧。            
(NA)	 最爱第二梦            
(4星)	 那时候爱上了何润东            
(4星)	 小时候很喜欢= =。            
(3星)	 成也风云，败也风云。            
(NA)	 当时觉得蛮好看的 赵文卓很帅            
(3星)	 只为勤勤~            
(NA)	 经典            
(3星)	 就是从这部戏我好喜欢何润东~~~~            
(NA)	 初中的记忆...            
(3星)	 大桃红反而觉得小巧可爱！            
(3星)	 这是哪个暑假，表哥向我推荐的。。我对这种类型的片子还是一贯的很抵制，尽管知道它们可能很好看。。。            
(5星)	 曾经很感动            
(NA)	 现在觉得好像男一男二的鼻孔都很……抢戏  = =             
(NA)	 爱江祖平。虽然幽若与原著相差太远，但还是爱。            
(2星)	 那时候最烦的电视剧，没有之一。            
(4星)	 这个叫情结            
(3星)	 小时候就觉得它得儿。            
(4星)	 就因为你是古装戏            
(1星)	 无论对方打哪，无论哪受伤，都会用右手捂着胸口，咳出一嘴角血，然后怒视对方.......            
(5星)	 小学时候的剧集，内容任然记忆犹新，聂风，每段爱，每个女人都很可爱啊，步惊云早期帅啊，后期温柔啊，哈哈~ 不过还是喜欢聂风~            
(2星)	 剧情拖沓            
(3星)	 以前喜欢风云的时候看的....            
(4星)	 好看            
(4星)	 我喜欢风云。            
(4星)	 蒋勤勤太美了            
(3星)	 这个剧真是……太师太了！            
(3星)	 印象深刻的孔慈大姐            
(3星)	 什么都不爱，只单纯的喜欢上了那个叫幽若的女子，很后来才知道那个女子叫江祖平            
(4星)	 千叶真一成了永远的雄霸. 挺喜欢剧里的歌. 记住了蒋勤勤的第二梦.赵文卓的聂风很善良 温柔.            
(5星)	 蒋勤勤真漂亮            
(3星)	 想当年，相当多的人喜欢这部作品~~            
(3星)	 同上            
(4星)	 风，还是云，这是个问题。            
(3星)	 蒋勤勤超美的            
(3星)	 江祖平吴辰君蒋勤勤.            
(3星)	 当时就觉得蒋勤勤美若天仙，配这个发型囧死人的聂风真是杯具。。。。。。            
(4星)	 那个时候多迷何润东啊，尽管多少人诟病他的方便面头            
(4星)	 看了第二部后，发现这部原来还是很不错的            
(4星)	 小时候的最爱            
(4星)	 很好 算是经典吧            
(4星)	 其实步惊云很装13，但我当年就爱他……            
(3星)	 这部戏对于我的意义只有是认识了第二梦，一个最美的蒋勤勤。实在受不了陶红的那声“云”，一身的鸡皮疙瘩。            
(3星)	 想想还是有蛮多地方挺雷人的。但是不得不说，蒋勤勤演古装怎么都漂亮啊。            
(NA)	 风靡啊 我的遥远的中学时代 满纸的风。。。。。。            
(5星)	 非常经典的武侠作品。剧情、演技、画风、特效、音乐都非常好，堪称完美。不同人物个性鲜明，精神内涵令人深思。ps，演雄霸的原来是日本人。            
(4星)	 挺好看的            
(3星)	 初中和我们的四人帮一起看的            
(NA)	 上初中时很多同学爱看，我真看不出有什么意思，没怎么看，记得一个女很漂亮            
(4星)	 很喜欢风！！！            
(5星)	 第二梦！！！！楚楚！！！！！            
(3星)	 第二梦~~~~梦~~~~~~~我要是也长个那么好看的胎记 我一定露着            
(3星)	 当年为了第二梦啊，大家的泡面头我都忍了，还有那个什么路人晨，主角长得大多像配角的一部戏……            
(3星)	 zzz            
(3星)	 我我我 幼稚 我很洋洋气气的看了n遍            
(1星)	 这是何等的烂剧啊！赵**和何**出场的一霎那，我就知道风云杯具了，赶紧多看几遍电影版的洗洗眼睛            
(5星)	 断臂镜头 一直做梗            
(4星)	 还行啊- -            
(3星)	  陶红大妈太吓人了。。。            
(2星)	 現在想想 真惡心。            
(NA)	 没电影好看            
(3星)	 哎 我真的没有品位            
(4星)	 不错            
(4星)	 应该是10年前看的电影了吧，喜欢郭富城~所以支持啊~~            
(3星)	 孔慈不好看。。。楚楚好装嫩。。。云的配音好下流。。。            
(4星)	 插曲好听的内牛满面            
(3星)	 被蒋勤勤的第二梦迷到~            
(4星)	 当年很喜欢里面的吴辰君 觉得真美啊            
(3星)	 曾经追着看，那时候很喜欢蒋勤勤……            
(3星)	 步惊云，恩！            
(3星)	 倚樓聽風雨,淡看江湖路...喜歡這樣的風,卻憐惜與喜愛那樣的云...            
(5星)	 那个炎热的夏天            
(4星)	 尽管现在看觉得很矫情 但当时是相当喜欢            
(5星)	 当年觉得真是好啊！            
(4星)	 第二梦            
(5星)	 冲着步惊云打5星            
(3星)	 我真的很讨厌画面处理太多的电视剧。            
(4星)	 不错~~            
(4星)	 当年超级惊艳的特效            
(5星)	 曾经的记忆            
(5星)	 我的小学。。。。。            
(2星)	 不知所云            
(4星)	 为了PETER            
(4星)	 我蛮爱看这个版本的~            
(4星)	 看过电影版风云之后，我内牛满面给这部电视剧四星！            
(3星)	 初中看的时候觉得好炫哦~            
(3星)	 那个陶虹在里面的配音我也不说什么了，太恶心了~~            
(3星)	 虽然没什么出彩的地方，但是还不错            
(4星)	 不错的电视剧            
(5星)	 第二梦啊            
(NA)	 幽若 今天是你18岁寿辰 寿辰愉快            
(2星)	 我被男主雷了= =            
(3星)	 当年也就瞎看一下，觉得那时候迷还挺傻的。其实只要不要反复推敲剧情，能看的人还是挺多的，每个人物都算是有血有泪~~~两男主角感觉演戏太用力了，何润东演出了马景涛的感觉。现在能想起来的就只有它的那首永远永远，每次播完广告回来就得播一段。            
(3星)	 何润东那个头发- -            
(2星)	 够拖沓            
(4星)	 里面有些还是挺经典的，不能一概而论钉死~~~            
(4星)	 时间太久了.但仍记得那首&lt;虫儿飞&gt;            
(2星)	 赵文卓演聂风，笑死人了            
(2星)	 郭天王的云形象彻底被毁，情节拖沓            
(5星)	 日出而作，日落而息。希望过这种日子。梦.......            
(3星)	 这一部还蛮好看的。我有一把绝世小剑。现已遗失。            
(1星)	 史上最烂武侠电视剧，我看它是在非典时期居家隔离时，否则打死都不会碰            
(3星)	 断续地看过一些..记不太清了..就是对何润东那头发很不满...xo            
(4星)	 小时候很喜欢，            
(4星)	 的确不错            
(3星)	 两个大鼻孔            
(4星)	 当时看得津津有味的= =！            
(3星)	 无聊时看的，不是很喜欢！陶红好做作~！            
(3星)	 动画做得不错，看到乐山俺家乡好亲切呀，好多电影里的画面偶都去过N多次！            
(NA)	 经典            
(5星)	 聂凤那个头。。            
(2星)	 何润东啊，我恨你！赵文卓，我恨你！            
(2星)	 没什么台词，全是意会和打斗            
(NA)	 经典            
(5星)	 风云一拍的最好！            
(5星)	 这部片子很好看，歌曲也很好听，故事也不错。看这个片子是为了蒋勤勤和何润东。            
(3星)	 陪着老人家一起看            
(4星)	 小学时候看的了。那个时候好激动呀。            
(4星)	 国产RPG电影            
(2星)	 很烂，当然剧本更烂！            
(3星)	 看过拉倒的电视剧....            
(4星)	 总觉得后半段 破军出现后怪怪的 FANS向            
(4星)	 那时候的我是多么地喜欢聂风啊。。。连带着狠狠迷了赵文卓好久。。。            
(5星)	 倚楼听风雨 淡看江湖路            
(4星)	 儿时是多么的崇拜步惊云啊！            
(3星)	 五年级暑假的大戏            
(4星)	 小时候的经典            
(5星)	 实在是很喜欢赵文卓和蒋勤勤的搭配~            
(4星)	 虽然没怎么看懂，不过赵文卓蛮帅的            
(5星)	 还不是大爱啊~            
(3星)	 比电影好看。。。            
(4星)	 这里面的何润东很帅!!之后就不咋的了            
(3星)	 蒋勤勤的第二梦...            
(3星)	 帅哥美女片，一般般。没有是实质的内容            
(4星)	 第二梦！经典在她！            
(NA)	 那个银心演的谁最漂亮啊！！            
(3星)	 插曲《永远永远》很好听。            
(4星)	 经典            
(2星)	 我表姐很爱看            
(3星)	 聂风的那个披肩发啊~~锤地~            
(2星)	 囧片。蒋勤勤的两个角色都很美丽，陶虹也不错，只是孔慈怎么选了个这么丑的演员？何润东的造型很雷人，赵文卓一如既往没有演技。            
(3星)	 雷雷更健康            
(5星)	 只是爱着你，勤勤！            
(3星)	 !            
(2星)	 后现代的发型历历在目            
(4星)	 喜欢第二梦            
(4星)	 嗯为了看蒋勤勤~            
(5星)	 我认为比电影版好            
(3星)	 小时候很喜欢，尤其是小说            
(4星)	 金鳞岂是池中物 一遇风云便化龙。九霄龙吟惊天变，风云际会浅水游。            
