http://movie.douban.com/subject/2157191/	笑看风云
(5星)	 那时超喜欢陈松伶．她唱歌也蛮好听的．．            
(5星)	 包文龙            
(3星)	 比天地男儿差太多。            
(5星)	 大爱！！！            
(4星)	 想到林贞烈。。泪奔！            
(NA)	 包文龙♥林贞烈            
(NA)	 潘朗清的行为和想法不就是时下很多人的所作所想吗？            
(5星)	 像林贞烈和包文龙一样的爱情。            
(4星)	 依稀只记得林贞烈和包文龙，还有郭晋安的反派            
(5星)	 小时候最爱的一部港剧            
(3星)	 记得有一年夏天看了很多秋官的剧..            
(4星)	 包文龙和林贞烈的爱情让人难以忘怀            
(4星)	 那时候觉得郑伊健好帅，不明白郭蔼明哪里好看，不过听说是才女            
(5星)	 如果真的有小龙这样的男孩子，不管不顾一切我都要跟他一起！            
(5星)	 那时候的陈松伶还很年轻。这个名字好霸气            
(4星)	 回忆总是美好的            
(NA)	 当时好像所有人都在看。            
(5星)	 我最喜欢的港片            
(4星)	 当年的配角如今都能独当一面时，这部不能不成为青涩时的回忆            
(5星)	 哇，真久远，我记得以前还一集集录下来            
(3星)	 太长了。。小时候看搞不清楚人物关系。。我只记得张延那个时候还没有弄烤瓷牙，古巨基那个时候也没有缝双眼皮            
(NA)	 郑伊健那时候好帅的呀。            
(5星)	 经典            
(NA)	 郭晋安很坏            
(5星)	 一笑风云过            
(3星)	 还是主题曲最为经典。            
(5星)	 挺好看的！            
(4星)	 小学四年级的记忆，当年超迷伊健松龄这一对，主题曲到现在还记得            
(5星)	 各种怀旧！！！！小郑当年也是TVB一把交椅！！            
(3星)	 印象中只喜欢主题曲。            
(3星)	 蛮经典的港片。。尤其是主题曲一出来。。呵呵。。演员也赞。。            
(5星)	 林贞烈是我大老婆，林贞贞就是我二老婆            
(3星)	 还好            
(5星)	 喜欢文龙和贞烈的爱情。潘仲真是个失败者。            
(5星)	 不记得内容了，只觉得很好看，呼呼，中学时代港片记忆            
(4星)	 黄天还是很有气场的~贞烈很可怜的~最后戒指都带不进了~            
(4星)	 小时候看得很欢            
(4星)	 林贞烈！！！            
(NA)	 当年相当喜欢，郑伊健和陈松伶非常无比超级配啊。            
(4星)	 林贞烈啊~~~ 泪······悲催            
(5星)	 TVB最爱,这回没有之一.            
(5星)	 本来我以为黄天真的是可以做到给机会所有伤害过他的人。对他出过最卑劣的商业招数的对手，他三番四次地原谅，但惟独只有她老婆不可以。到她死的时候，她始终不能原谅她曾经出过轨。原来真的没有一个人是可以这样完美的。            
(NA)	 小学时看来着，当时很喜欢包文龙和林贞烈，今天看了仍然是！            
(3星)	 喜欢林贞烈            
(4星)	 当年的郑少秋真帅，哈哈            
(NA)	 印象不是很深了。记得牵狗狗的陆松龄            
(4星)	 鄭少秋很霸氣。            
(5星)	 有一场戏记得很清楚，好多富豪开车来帮助郑少秋，那个场面宏大啊。。还有，郑少秋一个个去员工家，也很震撼。。            
(NA)	 这首歌我会唱~            
(NA)	 虽然最后令烈死了很悲惨。可是我觉得黄蕾也很可怜啊。            
(4星)	 老片好看            
(5星)	 经典            
(4星)	 觉得还蛮好的 小时候看过的 内容都忘了 重新看了一遍 稍有感触 稍有感动 稍有欣慰 。。。            
(4星)	 黄天            
(NA)	 经典中的经典。唯一喜欢古巨基的时期就是看这部剧的时候= =            
(4星)	 小学毕业之际，因此片爱上郑伊健...            
(5星)	 当年超喜欢            
(4星)	 郑啊郑,萌你多少年.            
(4星)	 伊面！            
(5星)	 看过N遍！！！！！！！            
(5星)	 非常喜欢这个剧，15年前看过，现在依然很打动我。昨天路过家门口的街角，听到有人在露天的卡拉OK机上唱这首歌，一下子站住了。依然很感动，光阴啊，不管怎么流淌，也带不走这部剧在心里的位置。            
(5星)	 那时候觉得最帅的两个男人            
(5星)	 小时候超爱看的电视剧            
(5星)	 大爱的一部TVB剧，无论第几次看，都会被黄天和学华之间隽永而温情的爱情所感动！            
(4星)	 文龙的愿望是想帮贞烈实现她所有的愿望。            
(4星)	 那时候郑伊健加陈松伶就等于黄金搭档            
(4星)	 怀念那个tvb最好的年代            
(3星)	 有时候想想，林贞烈方巧蓉什么的，或许陈松伶再也不可能找到那种好角色了。            
(4星)	 好像一直没看全            
(4星)	 秋官好强大～～～            
(4星)	 郭蔼明，刘青云真是幸福……            
(5星)	 看上伊面的电视            
(NA)	 谁没有一些刻骨铭心事，谁人负你负我多：一笑看风云过            
(5星)	 感觉那首歌听了，真的能笑看风云            
(4星)	 那时候我暗暗地很喜欢郑少秋叔叔。。。。囧            
(5星)	 最早看的TVB之一！里面的插曲主题曲首首经典呢~~~            
(NA)	 FT强烈推荐的 所以接下来就要看这部了那时候 他们那么年轻~~            
(5星)	 港剧的狗血            
(4星)	 经典。            
(4星)	 90年代港剧必看            
(4星)	 5555之前那个弄错了……这个才是因为郑伊健……            
(5星)	 上初中的时候看的 当时闺蜜喜欢包文龙 自己喜欢贞烈 从那以后开始喜欢苏牧~~~            
(5星)	 十多年前看得不大懂，只有朦胧的感觉和记忆。现在又看了一遍，陷入迷恋和感动。好            
(5星)	 男的我都觉得包文龙不错            
(4星)	 郑伊健真年轻，我当初多希望他喜欢的是郭蔼明！            
(5星)	 大爱！            
(3星)	 當年夜晚睇TV《笑看風雲》到週末日頭阿爹又猛播CD《笑看風雲》……            
(4星)	 小时候看的害怕呢。。            
(4星)	 尤其喜欢这戏里的温情，现在很少看到了            
(5星)	 贞烈文龙            
(5星)	 我喜欢歌，是郑少秋唱的吧            
(4星)	 小时看过无数遍            
(4星)	 印象最深的是，主题曲……            
(3星)	 那时候喜欢陈松伶~还喜欢那只狗~            
(NA)	 郑伊健 古巨基小时候            
(5星)	 笑看风云过            
(5星)	 剧情倒是其次，主要让人想起了那个年代。听到主题曲我就有一阵怀旧的感伤，真是经典的片子~~虽然个人不是太喜欢后来的郑伊健和当时的古巨基            
(4星)	   我妈喜欢            
(4星)	 曾经一度觉得 这是一部充满智慧的电视剧            
(4星)	 林贞烈这个名字好奇怪啊            
(5星)	 别告诉我你小时候一集都没看过            
(5星)	 经典。结尾最经典！            
(NA)	 好早的片子话说那时候好喜欢郑少秋的说。。可是现在对他的印象很有改观~~~~            
(3星)	 以前很爱看            
(NA)	 喜欢里面的陈松伶 人生有希望 只怕有心人            
(NA)	 模糊了。            
(4星)	 那个时候看就是讨厌陈松伶            
(4星)	 笑看风云            
(5星)	 很经典。            
(5星)	 小学的记忆            
(4星)	 。。。想起来小时候很喜欢看啊~            
(4星)	 细个印象好深刻噶一部电视剧！秋哥，伊面都系甘上下时间开始识得距两个的我。不过出剧soso，歌就唔错！            
(4星)	 又是部印象中额经典老剧            
(5星)	 力挺秋官！            
(3星)	 都是小时候的回忆啊~            
(5星)	 很萌里面的主题曲，还有人见人爱的长发伊面            
(5星)	 高中的时候很喜欢的剧,后来连妈妈见到伊面都会说,文龙啊....            
(4星)	 一度觉得伊面和松松挺配的            
(4星)	 当初看这部剧的时候还小吧 　　不为龙和贞烈至死不渝 　　不为蕾的痴迷 　　只为黄天和张学华（我一直都喜欢中年人的爱情吧···呵呵呵） 　　黄天让张学华随他一起离家 　　黄天在码头看见张学华那一刻 　　黄天抱着晕倒的学华说着那些话 　　黄天对着已经停止心跳的学华流着泪 　　            
(5星)	 看的狂感动的片子！~            
(NA)	 笑看风云            
(3星)	 以前看的            
(3星)	 小学时候看的，陈松伶蛮漂亮。            
(4星)	 初中看过            
(4星)	 经典港剧 从此喜欢上苏牧。。            
(4星)	 看着傻傻的阿旺都快忘记当年的潘朗青是多么的灭绝人性了，恨！            
(4星)	 好早以前看的，印象中是不错的            
(5星)	 松松：剪了吧。伊面：好啊。            
(4星)	 还可以            
(5星)	 难忘剧中男主角向女主角道歉时的浪漫...            
(4星)	 暑假时一天连放4集真的很爽啊            
(5星)	 当年觉得某男很帅。            
(5星)	 林贞烈            
(5星)	 做人当做黄天   嫁人当嫁包文龙            
(5星)	 喜欢那条狗，也喜欢那些人。应该是看的最早的商战剧。            
(5星)	 每次听到都感动的主题曲悲剧收场~            
(4星)	 经典。            
(4星)	 那是我上中专时看的。我的死党特喜欢郑伊健。 还有郑少秋的笑。            
(4星)	 喜欢凛冽孤寂的黄蕾            
(4星)	 那时长发飘飘的伊面呀！~            
(5星)	 谁没有一些刻骨铭心事，谁人能预计后果。。。一笑已经风云过。。。            
(4星)	 每个人长成那样都是有原因的…自然喜欢文龙和贞烈之间的情感…却欣赏张学华，呵呵～            
(4星)	 九十年代港剧盛行的年代，郑伊健那会也正是红的时候，还有陈松伶，一直比较喜欢。            
(5星)	 我很喜欢            
(NA)	 很喜欢真真那只大狗~            
(4星)	 嘿嘿 我现在还记得他连夜 破解密码呵呵            
(4星)	 具体情节记不起了，但是那首片尾曲超级经典啊，现在电脑里还存着~童年抹不去的记忆呀~            
(3星)	 初中时看的电影，好迷恋黄磊的发型，还特意去剪了一个。还有她的穿衣风格。。。            
(5星)	 从这部电视剧开始喜欢郑伊健。朗清没坏那时候也很讨人喜欢，现在郭晋安终于熬出头了。里面还有当时在香港发展的张延，现在跟那时一样漂亮。            
(4星)	 tvb经典电视剧！            
(4星)	 小学初中那会超爱看港剧            
(5星)	 松松和伊面是TVB90年代初打造的新一代银幕情侣，俘获我当年懵懂的心，多么让人荡漾。值一提秋官的每一部戏都能自成一套在众多年轻人的夹攻下，依然魅力非凡。            
(5星)	 林贞烈是我心中永远的痛~~！            
(5星)	 非常经典！            
(NA)	 约莫有些印象            
(4星)	 很小的时候看的            
(5星)	 经典大戏，但要坚持把它看完真的需要极大的耐心            
(5星)	 迷人的郑少秋，典型的港剧            
(3星)	 属于陈松伶的记忆            
(4星)	 当年为看古巨基……            
(5星)	 秋官好帅啊！            
(3星)	 气死我了为什么一定要贞烈死            
(5星)	 又看了一次呢。 快十年了吧。最后的最后，文龙在便利店看到那个画着笑脸的罐头 蹲下身去 泪流满面。突然想起 曾经有那么一个人 也欠我一场哭泣。 希望有生之年不要看到。            
(4星)	 小学一年级，做完作业后的愿望。大概很好看，已经忘记了。            
(5星)	 当年听郑少秋唱这首主题曲，真是百听不厌            
(3星)	 美好的回忆            
(5星)	 结局真的很让人难过……            
(NA)	 小时的记忆            
(NA)	 TVB的经典记忆~金钱\兄弟\爱情~~            
(4星)	 还是以前的港剧好看~            
(5星)	 啊!!!!我的小学暑假            
(3星)	 很喜欢主题歌，笑看世间风云变幻。            
(5星)	 某些时候觉得有自己的影子。            
(4星)	 老片啦 ，不过也是挺不错的            
(5星)	 这是我很喜欢的一部片子，知道了郑一价，感动于那样的爱情，很想念曾经吃饭每天看一集港剧的日子            
(4星)	 很小很小的时候看的片子了吧，那个时候很迷郑少秋的，所以心目中正人君子的形象就是他……港剧总是给人套路的感觉，不过以小时候的眼光，还是不错的啦~~~            
(4星)	 就喜欢陈松伶演的贞烈，唉            
(4星)	 没看完 太长了            
(3星)	 實在喜歡郭晋安～～            
(5星)	 主题歌经典啊~            
(4星)	 到现在还会唱那首主题曲 其它都不大记得了            
(4星)	 贫乏年代的食粮            
(5星)	 最爱郑伊健！曾经因为包文龙对郑伊健迷恋到极致！            
(5星)	 个人很推崇            
(5星)	 羡慕龙和烈的爱情，点点滴滴的积累，细水长流，互相了解，互相扶持，真心相爱 。。。            
(5星)	 当年小时候 很喜欢 很喜欢 那主题曲依然还会唱            
(5星)	 让我哭得淅沥哗啦的港剧，当时的最爱啊！！            
(5星)	 想我 妹妹            
(4星)	 |931:1703|            
(5星)	 唯一的记忆就是我很久以前家里的一个叫阿木的朋友很喜欢他的歌，而且常常在我面前哼唱这首&lt;笑看风云&gt;            
(4星)	 很多年前看过的，那时的伊面和松松是当时的萤幕情侣啊。。            
(4星)	 经典，没什么好说的，只是，直到若干年后才意识到，原来，那是古巨基。。。            
(4星)	 包文龙是一个兼具了爱情中的浪漫感和生活中的现实感的人            
(4星)	 其实当年我喜欢陈松伶            
(4星)	 好久好久以前看的哦～            
(5星)	 挺喜欢这部电视剧里的郑伊健、陈松龄，剧情也挺好的，挺怀念的呵。            
(5星)	 让我回顾过N遍的港剧，那时郑伊健是真的帅……            
(5星)	 太经典了。            
(4星)	 很经典！郑伊健和陈松龄的搭档．            
(NA)	 不知道为啥，我跟很多人喜欢的都不一样，当时就特别喜欢黄蕾，现在还是~~            
(5星)	 谈笑间风云已变，曾经沧海难为水            
(5星)	 秋官当年红极一时的股票片~哈哈~处于纳闷都说陈松伶和我像才看的-.-            
(4星)	 这么多年后，我依然能记得文龙在大雨中写下的“333”，还有风吹过后黄色的玫瑰中散落的小纸条，要是我，我也会被感动的一塌糊涂。            
(5星)	 看过的最棒的港剧，天哥...            
(3星)	 这部可以            
(4星)	 陈松伶死的好惨            
(5星)	 经典            
(5星)	 只记得挺好看的，但具体情节忘了，只记得貌似郑伊健剧中演的角色的老婆貌似被烧死了，囧。            
(4星)	 不喜欢女主角            
(5星)	 我想念当时看这片子家里的人，家里当时的气氛，也许是我至今记忆里不可抹灭的美好吧！            
(4星)	 原来最迷恋的不是陈浩南，而是包文龙            
(5星)	 看他们一起过21岁生日，感觉21岁好遥远，现在回头再看21岁，仿佛当年一样遥远……            
(4星)	 爱上郑伊健的开始            
(5星)	 怎么会怎么会~~郭晋安在里面好坏的呢~后来tvb就让他演傻子了呢~小时候天天赶回来看的电视~~~超级经典            
(3星)	 一直以为郑伊健先演的古惑仔后演这个的            
(NA)	 不说我还真忘了有古巨基……            
(5星)	 记忆犹新的片子~            
(4星)	 看这个，是不是太怀旧了。又会被某人耻笑。和芳一起看的，她比我还花痴。很久很久很久很久很久以前看的，我那个时候就很想一个人带个一条大大的狗在某个地方坐着。            
(5星)	 高中的时候超喜欢，看完后心定定的            
(NA)	 最早接触的TVB            
(5星)	 初中时看过            
(5星)	 又有几人能笑看风云变            
(5星)	 当年主题歌我唱的很溜啊            
(NA)	 小时候最爱看！            
(3星)	 主題曲            
(4星)	 94年，我还在上中学吧，有些模糊，但很怀念以前每天等着电视播放下集的日子！            
(4星)	 文龙美 当年郑伊健多帅一小伙儿            
(5星)	 TVB中的经典剧啊            
(3星)	 其实吧现在看就觉得歌不错了            
(5星)	 我的白马王子            
(5星)	 黄天：心中的偶像            
(4星)	 只记得主题歌了            
(4星)	 因为这部剧喜欢上了陈松龄，恨死郭蔼明这个第三者。哈。。            
(5星)	 超级喜欢里面的陈松伶            
(NA)	 是初中还是高中看的,当时正好是大年29,家里忙的要死,我跑去看第一集,就剧情来说真的就这样,就是明星荟萃            
(NA)	 阿烈。。。果然死的惨烈。。。            
(3星)	 没看全过。。            
(NA)	 喜欢陈松伶            
(4星)	 喜欢贞烈和包文龙，好讨厌黄蕾            
(4星)	 看过了很多年了，没什么印象了            
(4星)	 郑少秋哦~~古巨基哦~~~郑伊健哦~~~            
(NA)	 开窗望天空，然后笑一笑            
(3星)	 第一集很赞            
(NA)	 喜欢贞烈的狗狗            
(4星)	 TVB            
(4星)	 我一直都是支持黄蕾的。。            
(NA)	 看时很希望文龙能和黄蕾在一起            
(NA)	 怎么一个经典了得            
(5星)	 我K，很纠结的电视剧啊，天天追着看。对郑伊健和陈松伶的角色如痴如醉，有个在房间里摆满花的情景很是震撼，还写到了日记里感叹一番。贞烈死了，不能接受……            
(5星)	 看得第一部港台剧吧            
(5星)	 有一年凌晨1,2点有再播，我特意叫爹娘喊醒我起来看，他们居然还真吼我起来了，可是我醒不了啊醒不了啊！！！            
(5星)	 虽然看到贞烈翘了就没有继续下去，不过经典还是值得推荐            
(5星)	 陈松龄 喜欢            
(NA)	 人生需要点乐观            
(NA)	 很小很小的时候看的            
(4星)	 很老，很经典            
(5星)	 叛逆的高中年代，自己也像贞烈那样，有点自闭，爱说小谎，但很真实            
(NA)	 实在是太早期了,内容忘光了,就记得经典的音乐            
(4星)	 吼吼。郑少秋里面不算太疯，呵呵            
(NA)	 笑看风云            
(5星)	 安徽台的剧行天下，可是从我遥远的小学时代就开始了。本部片子是春节档播出，简直是万人空巷。演员阵容空前强大。            
(5星)	 天地男儿            
(3星)	 誰沒有一些…刻骨銘心事…            
(4星)	 看着很焦急~            
(5星)	 伊面啊~~我可是喜欢了很多年了            
(NA)	 喜欢的            
(5星)	 经典tvb            
(5星)	 喜欢那种爱情的方式！            
(4星)	 看港剧最疯狂的时段            
(3星)	 三星半，我不开心，贞烈死的时候，钞票上的句子重现的时候，歌声响起的时候            
(3星)	 小时候爱看的港剧之一..            
(NA)	 很久以前看的            
(4星)	 商业            
(NA)	 这两天就在回味，记性还不错            
(5星)	 郑少秋唱的主题歌很好听            
(3星)	 喜欢里面的郭蔼明            
(4星)	 那个时候的郑伊健 啊            
(5星)	 商道即人道            
(NA)	 结局惨了些            
(3星)	 港剧代表作之一。还记得里面的大狗狗很拉风啊~            
(4星)	 初中看的当时很喜欢            
(4星)	 好～            
