http://movie.douban.com/subject/5908504/	我的如意狼君
(NA)	 其实看的不完整，大结局看到了。            
(4星)	 啱啱开始唔中意嗰海报，所以唔睇到，宜家无聊睇睇，都还可以。本事哥在高家门口等尓乔嗰阵时啊响起的的配乐系王若琳嗰曲调，哈哈哈！！！最后嗰结局戏剧效果强烈，尔乔啊，不如拣番嗰本《寒山诗集》得闲睇睇，何苦呢？            
(2星)	 最后十集快进跳过！无法忍受千篇一律的哭戏啊尼玛！            
(3星)	 不痛不痒            
(3星)	 烂结局。这么痴情就在一起了嘛！场景好破。破绽百出！我真堕落了看狗血言情 = =             
(5星)	 ~~o(&gt;_&lt;)o ~~            
(3星)	 一直以为会是喜剧，结果悲剧收场            
(4星)	 什么烂结局 什么下一世！ 一大早泪点低啊。            
(3星)	 结局太突兀。            
(4星)	 主题曲和非大团圆的结局让我多加一星。有个评论说得好，“其后若相见，可认出声线”不过是个童话故事。 真正的人生，原来是“为何还望再见，为何还要等”。            
(3星)	 看完结局我想说白看了!!tvb太不会取名字了...            
(3星)	 对结局有些无语。主角感觉有些作。            
(4星)	 哇靠！为毛是个悲剧啊……看的我一天心情都不好！啊啊！            
(NA)	 TVB的民国戏都还凑合            
(3星)	 下一世见。            
(3星)	 赚人眼泪            
(5星)	 演员很入戏，很到位，精彩            
(2星)	 21集拍出来有何意义？            
(4星)	 对黄浩然瞬间有了好感~~            
(4星)	 尼玛看得内伤了。原本让姐赶脚无比蛋疼的各种纠结各种韩剧台剧的狗血20集，最后硬生生扯出来个21集，直接扯得蛋碎了。PS：黄浩然脱光的一瞬间，姐顿时赶脚有了寄托            
(3星)	 结尾草率了点。不喜欢周丽淇，哭戏很假。            
(4星)	 不错~~            
(4星)	 除了结局，都不错的剧，虽然其中一些剧情有点点不符合常理，但整体还是难得的TVB小清新偶像剧，添哥真是好监制啊，有添哥有保证啊~~~黄浩然第一集深情款款眼湿湿的时候，我承认我已经阵亡啦~~~o(≧v≦)o~~            
(4星)	 我觉得片名应该改成“命中注定在一起”，希望佟本善重生！            
(5星)	 太惨            
(4星)	 不圆满，或许真是最好的结局~            
(4星)	 女主实在是没什么实际用途，只是李浩的感情寄托而已。            
(NA)	 故事很精彩，结局又延续添叔一贯风格，男女主角还是没有在一起。结局让人遗憾。            
(3星)	 人物假，特别是结尾，更假。            
(3星)	 里面有个很多女人都会用真心爱上的男人。女人们，在面对那无懈可击的虚情假意，只能丟盔弃甲，一步步泥潭深陷。如若真有那样含情默默，不是看透红尘，心有所属，有几个女人能抵挡呢？真相谎言太难分辨了，最难测也是人心，失心最痛。            
(3星)	 到20集就可以了嘛~~干嘛要有第21集~~~唉......            
(4星)	 好伤心的结局。            
(5星)	 不想男主死啊，但他和男二必须死一个，唉，相见欢却多是离别意。。。            
(3星)	 狗血满地。            
(5星)	 一把鼻涕一把泪地看            
(3星)	 明明能活的非要死             
(4星)	 喜欢黄浩然的这次突破            
(5星)	 二流的演员，一流的剧情，动人的爱情            
(3星)	 除了黃浩然的臉之外我找不到看點。...            
(4星)	 如果没有最后一集，估计我会给个四星半到五星吧，最后一集是来搞笑的对吧            
(NA)	 不喜欢女主  打发时间可以看看            
(4星)	 不错，断档了一阵子的tvb终于有好戏了，以前看不出，这个里面黄浩然的倒是很大众情人啊，在干报仇的事却心地善良，在骗好几个女人的感情却对小时候的青梅竹马忠贞不渝。虽然放到第三集就已经看出悬念里男主寻找的女孩就是女主，但还好故事重点不在男女之情上，而是报仇，一场大快人心的报仇。不错～            
(4星)	 还不错～就是女猪脚太拖拉……            
(4星)	 悲剧的结尾            
(5星)	 本事哥大爱 ~~~~~~~~             
(3星)	 黄浩然还是很适合演民国片的，&amp; 我还是分不清周丽淇和陈敏之。            
(4星)	  第四颗星纯粹是给结局 不是TVB大团圆 不过倒真实            
(3星)	 TVB最近开始流行悲剧收场            
(5星)	 除了结局，这部戏我还是挺喜欢的~~~            
(5星)	None
(3星)	None
(4星)	 男主角就這麼死了我不太能接受啊、、            
(3星)	 悲剧。            
(4星)	 为什么是半喜剧半悲剧  为什么不给李浩和牛奶糖在一起            
(4星)	 我居然觉得高家两个姐妹不错，虽然有点装            
(3星)	 为了答应了个人，就随便看看orz            
(4星)	 近期看过的TVB的剧集中最好看的一部，就是不喜欢这个结局            
(5星)	 无须说太多，真的非常好看！            
(4星)	 烂尾！！            
(3星)	 黄浩然是激萌小靓仔。            
(3星)	 往导演肚子上捅一刀看他往哪跑，不往医院跑那真是二。烦死这种杯具了什么狗屁下一世。不过佟本善演技真心好他一伤心我也跟着伤....            
(4星)	 主题曲好销魂！结局太坑爹了！            
(3星)	 为何还望再见 为何还要等            
(4星)	 很久不看TVB了，空下来看看挺好看的，结局很雷，学了几个粤语词            
(4星)	 过年这阵子看完的，挣了我不少的眼泪，总体感觉还是不错的，挺吸引人的，不错的TVB剧            
(4星)	 这个结尾也太长了吧，不能硬编啊！！！            
(3星)	 这个结局太坑爹            
(4星)	 一开始还真没看出这是2011年的电视剧 超级民国啊~  虽然剧情很狗血 但是是寒假和老妈一起看的 哈哈我们俩看的很过瘾~ 结局又虐到我了            
(3星)	 还行真的还行~~            
(4星)	 还可以。 糖糖            
(4星)	 添哥的剧集果然够牛。二三线演员的剧集，靠剧情取胜。牛奶糖其实不是最惨因为她确实有李浩，而高尔乔呢？高太自作孽祸害了一家人。。不过仍然不喜欢黄浩然哈哈            
(NA)	 女主不是苦着脸就是泪眼汪汪 煽情你妹啊 还是欣赏高尓乔这样的女子....            
(4星)	 TVB开始兴起悲情结局了 ~             
(4星)	 猜中了过程却猜不到的结尾。            
(NA)	 喜欢            
(4星)	 我很喜欢周丽淇，整部剧都很好看，但我不喜欢这种结局……            
(4星)	 泪奔的剧啊            
(3星)	 我靠真的是不懂啊 果然是为了拍续集才搞成悲剧的么  大小姐其实没什么错            
(5星)	 净啊！            
(4星)	 被剧透过的表示最后一集还是不看了，我当他们永远幸福的生活下去了~~            
(3星)	 结局虐死了            
(3星)	 人物设定和剧情各种俗套似曾相似，反正没事和弟弟妹妹一起看看还行。。。            
(4星)	 21（完结） EP11佟本善好狠，明明关心却要装成一副恶狠狠的样子对徐芯。相见欢！最后一集太坑爹纯属混时间，其实蛮喜欢高尔乔的            
(NA)	 这个男生很受欢迎            
(4星)	 本来超好的电视剧，就是结局太什么了，让我从对这部减分了            
(5星)	 很好看            
(5星)	 真的好感人T T 周丽淇的清新也为剧添了不少色~~ 就是结局真的好悲  为什么李浩不去医院啦！！！！！            
(3星)	 快意恩仇，总是很过瘾的。            
(4星)	 结局很郁闷 我实在搞不懂干嘛还要这样结局            
(3星)	 前面还挺好看的，结局实在太虐心了~            
(4星)	 演技派啊。男主女主很棒。            
(4星)	 我们下一世见            
(3星)	 一开始挺好，看到后来看不下去了，情节有点慢。最后李浩死得真莫名其妙。            
(3星)	 其实挺好看的 男女主角都挺喜欢            
(3星)	 黄浩然比【孤男寡女】时老多了            
(4星)	 为嘛是悲剧呢？            
(3星)	 张德兰唱歌很正，但最后一集太荒谬...            
(1星)	 结局ridiculous            
(2星)	 一个奶糖引发的灭门惨案.姚子羚美爆            
(4星)	 结局太傻逼了居然不给我大团圆！陈山聪你什么时候才可以演个好人啊！            
(4星)	 因为黄浩然最后像一条美人鱼我才多打一颗心哟            
(4星)	 结局有点狗血            
(4星)	 本来我是想给四星半的！！原因这个烂结局拖了半星！！中了一刀还能走这么远，你早点去医院还能跟你的牛奶糖永远在一起呢！！莫名去秒跑去乘船！！！有病啊！！！编剧有病啊！！！            
(3星)	 通过欺骗两个姑娘来复仇挑拨离间，哎，还是悲剧，纯粹打发时间的电视剧            
(4星)	 最近难得一部能从看到尾的片子。。。。。。            
(4星)	 在努力学习之余的消遣。强璇带着看，还是剧情够了            
(3星)	 刚开始挺好看的，不过多看就乏了            
(4星)	 真心觉得听不错的。。虽然还是有不少狗血剧情。。爱情很动人。。几个主演都不错啊。。黄浩然这次终于是男一了。。驾驭的不错。。只是这结尾。。是故意虐人的吧。。            
(5星)	 结局有点伤感 有点不理解编剧 不过这种剧情在现在的电视剧中算经典的了 赞~！！            
(NA)	 黄浩然真心只和法拉配。周丽淇总觉得。。。上位上的好飞速            
(2星)	 因为结局，第21集多余的简直就是想骂爹            
(4星)	 过程很享受，但是讨厌这个坑爹的结局！明明可以大团圆的，却硬是弄了一莫名其妙的悲剧……            
(4星)	 恩 结局怎么这么狗血 全广州的人都去哪了？              
(3星)	 又一部基情四射的片子~            
(3星)	 故事有点儿不符合逻辑~特别是结尾，未完成的感觉太强烈。            
(4星)	 此剧只有20集谢谢……            
(4星)	 还不错诶            
(4星)	 这年代都登船了            
(4星)	 不错的剧情            
(5星)	 爱黄浩然。            
(4星)	 周丽淇哭得真不错。。。            
(4星)	 结局要不要那么作孽啊！！            
(4星)	 除了结局有点雷，总的来说还是同题材里不可多得的好剧。            
(5星)	 虽然有点烂尾，但是一整天看完觉得还行，值得一看            
(NA)	 结局实在太狗血荒谬了，尼玛            
(4星)	 虐~~~            
(3星)	 完全照抄韩剧《坏男人》嘛。。。。            
(NA)	 还不错看，至少不是一般的情情爱爱            
(3星)	 这辈子的仇都报完了，而爱就留着给下辈子吧！！！            
(4星)	 这样的爱情～～虽然是在TVB台庆已经选出视帝视后后才播出～但是比起万凤之王～～更爱这个的说            
(NA)	 猜的到結局？猜不到結局？            
(4星)	 真是没敢看结局啊 ~~~看到15集果断弃了~~大过年的我可不想看悲剧~~            
(4星)	 主题曲好听到爆棚……结局还是有遗憾的 或许这才是人生。            
(3星)	 结局太2了。。。            
(4星)	 编剧你让结局好一点会死啊！！！and好喜欢徐平好夫妇！更喜欢曹永廉了！            
(3星)	 结局狗血到不减一颗星对不起我发热的电脑.......            
(4星)	 如果徐芯不是牛奶糖 如果尔乔在小时候对李浩亲昵一点             
(4星)	 又是寻找真爱 又是复仇大计 爱恨情仇啊！！ 关键最后浩然躺在小船上 漂在大海中央 就结束了 不知会不会有第二部的续拍捏            
(3星)	 不喜欢这个类型的片            
(3星)	 最后看的我反胃            
(3星)	 满浪漫的剧情，满深情的互动，满好听的主题曲，非常坑爹的结局。。。            
(NA)	 TVB 黄浩然 周丽淇             
(4星)	 黄浩然的佟本善简直是泡妞高手，看着他甜言蜜语，女观众们有木有打冷颤？姚子羚终于不会再通剧一张苦瓜脸，第一次觉得她也有可塑性。Niki也是TVB中表现最好的一次。这是一部各方面都超过预期的剧，从主角到剧本到档期，李添胜果然是浪漫高手，这么狗血又多bug的剧本也只有他能妙手回春了。            
(5星)	 虐虐更有爱。戏好看也是真的，象征物多而且令人印象深刻，卡司不出名但是颜合眼演技也不错，虽然没有太宣传，但在万凤衬托下显得剧情无比正。小生们的戏路都开阔了，秀珠老师恶女一向精气神具足。吐槽是不能少的，这啥2B名字！这啥2B结局！这啥2B时代背景……但即使是这样还是舍不得扣星我也看2B了囧。            
(4星)	 这结局 让我桑了。。。。。            
(4星)	 一直以来都不DJ民国剧。觉得各种难看神马的。女主也不熟，男主也不喜欢。但担担....还真的蛮不错的。哭了好几场~            
(NA)	 今年很不错的一部            
(4星)	 前面不错，后面结束的有点仓促。            
(4星)	 添哥的戏剧情总是这么靠谱，加之这个阵容也不错，曹永廉胡诺言看起来多顺眼啊。。            
(4星)	 想嚐嚐酱油拌饭            
(3星)	 很简单的故事能写20集太牛逼了，黄浩然还是很帅的            
(5星)	 我就是被感动到了，~主题曲超有感觉~            
(4星)	 不错，周丽淇越看越好看！            
(3星)	 如果尔乔才是牛奶糖那是多么的美好啊            
(4星)	 结局好烂！！！！            
(3星)	 。。。。。。。。。明明可以1个小时就讲完的故事。。。。。。。讲了你妹21集。。。。。。。            
(4星)	 烂尾啊烂尾            
(NA)	 什么破结局            
(4星)	 TVB的民国戏好看。。李添胜到底还是民国戏的有力保障            
(4星)	 编剧脑残硬凹了个悲剧出来。。。            
(4星)	 无聊时打开这部片，谁知一直想看下去。我想吐槽的是为什么黄浩然一副纵欲过度的样子。。。。            
(3星)	 虽对演员无感但剧情还算比剧名听起来要好，今晚就停在18集给自己一个HE吧...另外泥煤那两个男的真是好基友啊...希望来年天梯高伦布不要坑爹啊，其后李添胜就退休了，巾帼2吕后传无望，愈发觉得可惜了            
(NA)	 腹黑男。。。一天看完了。。            
(4星)	 里面很多的台词感动到我。编剧是有经历的人吧。            
(4星)	 忽略掉所有情爱吧!复仇最高!只是最后结局太狗血了!            
(5星)	 下一世见            
(NA)	 一起看的            
(NA)	 哭了還是哭...我和我媽一起哭~            
(4星)	 本来五星的，最后一颗是因为结局太。。。脑残了            
(3星)	 结局还敢更坑爹点么？            
(4星)	 这部还不错看啦~~            
(3星)	 普通演员 文艺剧情 二逼结局            
(3星)	 男一黃浩然耐看型，如果沒有最後那集就完美啦，懷疑審批的時候又多插一腳看不得人家happyending的。總的來說算11年TVB裡不錯的劇了。據說是抄襲棒子的，我現在就去看《壞男人》。            
(3星)	 对于tvb我总是有很多疑问，每一部都有。。。这部也不例外。            
(3星)	 这结尾不是一般的狗血            
(4星)	 风格很义海豪情，片名太土气，结局太悲剧。黄浩然太帅了 ！！ ！！                 
(3星)	 ＝。＝它播到19集呢我就打4星，它播到20集呢我就给3.5星。。。结果它一定要播完！！！！！！靠！！！！！秀珠姐演技极高！山聪演贱男从来都不令人失望！子羚造型各种爱～niki就算了...和fala各种角度相似...            
(NA)	 好喜欢罗一~            
(4星)	 结尾很是喷饭，眼睁睁地看着没受致命伤的男主角从白天赶路到黑夜，直到水葬自己。编剧要写死一个人，真是多少离谱都写得出来呀……还是腹黑的高家妈妈有劲            
(3星)	 结局要不要这么狗血啊~~            
(5星)	 5星全部俾晒浩然.太靓仔太感人了.可惜烂了个小尾            
(4星)	 狗血~！狗血~！狗血~！！！现在连TVB剧的桥段都可以猜出来了            
(5星)	 黄浩然终于遇到一个出彩又适合自己的角色了            
(3星)	 一般，结局很狗血            
(4星)	 差点因为名字不看.想不到还挺好的.衣服都很好看.黄浩然没有辜负我的期望,很适合这个角色,周丽淇意外的很养眼.一切都挺好.结局也没有TVB的固定happy ending,看得出可能会有第二部啊.            
(3星)	 民国戏 让黄浩然红了一场            
(3星)	 这年头tvb剧最后都要画蛇添足，把好好的大团圆结局硬折腾成杯具么？！搞那么荡气回肠有必要么，这不是给大家添堵么~            
(3星)	 何必呢            
(5星)	 佳作啊            
(3星)	 结局很狗血            
(5星)	 出乎意料的好看！            
(4星)	 冲着黄浩然来的。这个剧情……模仿《坏男人》太多了吧……            
(4星)	 以前喜欢从电视剧里找安慰，现在电视剧比现实还虐心，它就是要告诉你现实就哔哔这么残酷！            
(4星)	 结局不合理，太虐心了            
(4星)	 这部四平八稳的戏让我内伤许久            
(4星)	 很感人，最后的悲剧结尾也很美            
(3星)	 佟哥最后毁灭那段实在不符合常识，刻意非要虐。其他情节不错，十分合理。演高太太的演员戏骨啊。。尔乔真是可怜。原医生幸亏没叫尔康。黄浩然真不错。。。            
(4星)	 李浩的一生都很惨啊！长大了好不容易复仇成功准备与好不容易相认的牛奶糖一起的时候却被高尔乔杀死……好遗憾的故事，不过也许他当时听好友的话放下仇恨下半生就能与爱人好好生活了……也许这就是这部剧要告诉我们的：冤冤相报何时了            
(4星)	 李添胜监制的剧不会差到哪里去的！            
(4星)	 一切天注定。海豚病还是能治好的。需要时间。            
(5星)	 黄浩然就是那种明明就坏的样子却让人心里很在意很在意很喜欢很喜欢、虐心、            
(3星)	None
(4星)	 真特么坑爹的结局啊~~~~~            
(NA)	 结局坏了            
(4星)	 所有人都不待见，尤其是大饼脸，还有坑爹的结局...4颗星都加给高尔乔，要粉姚子羚哦，要关注哦～            
(5星)	 算是最近TVB看下来比较喜欢的。结局实在是太作孽了            
(5星)	 还是挺细腻的片子            
(5星)	 黄浩然终于闪闪发光了            
(NA)	 佟本善等不到牛奶糖 徐芯等不到佟本善 原医生又等不到徐芯。点解世事往往都喺咁。。            
(3星)	 小清新+腹黑男+悲剧结局            
(4星)	 剧情还是不错的，感觉消沉了好久的TVB剧又回归了，但是真心不喜欢黄浩然当男主，换个人我会更喜欢。在剧中，多次拍到黄浩然的手，可是好老哦。。。            
(4星)	 喜欢陈秀珠            
(2星)	 真心不喜欢周丽淇，也不是外貌的问题，就是不喜欢她演的各色人物，虽然也没有看很多，黄浩然扮演的角色一开始以为会有惊喜，后来越看越烦，要么就坏的彻底些，像《千谎百计》里的陈键锋，直到最后都不承认自己是个骗子，不要又做婊子又要立牌坊的样子看着也很讨厌，2个讨厌的主角演完了整部腻味的剧情            
(3星)	 剧情往往有点出乎意料，当你觉得就是这样的时候。可是结局不太好。虽然有他的考虑。可是明明可以不死，哎，榨取眼泪。            
(NA)	 以“报仇”为主线看“亲情”，“爱情”，“友情”。            
(3星)	 偶看可以怡情...            
(3星)	 無功無過，不過感覺還可以，至少不會很白癡。ps，花了一天看，居然是個悲劇。。。我杯具了。。。            
(4星)	 前面一直很好，一度让我觉得这是本年度最tvb的片子，一度让我很惋惜这部片子居然被大家忽视了~~but~~but~！！这是什么破结局啊~这编剧是脑残了么。。结局完全不需要逻辑了~！！！！！            
(4星)	 看完只记得三个字“相见欢”            
(4星)	 果然啊果然啊 徐芯就是牛奶糖啊，可是怎么可能不记得小时候的事情呢！太狗血了 吐槽啊吐槽啊！但宅女+腐女表示 此剧还是很合我眼缘啊~结局太扣分了            
(3星)	 还是可以看看的。            
(5星)	 我给五星，很有感觉。只是我当20集是结局了，最后一集以后也不会看。            
(2星)	 结局太扯了，身上插着把刀从白天爬到晚上又爬到白天，20集的时候结束会死啊，减两颗星。。            
(4星)	 整部剧都很好！就是被结局毁了！            
(3星)	 TVB版的“坏男人”嘛，男主比韩版的好看多了，可惜剧情是抄袭的            
(4星)	 这结局这结局...            
(3星)	 黄浩然一出场就盯着他夸张的双眼皮看- -            
(4星)	 如果没有那狗血脑残的结局会更好            
(3星)	 听说结局不好啊....            
(4星)	 非常不错，很虐很美好            
(3星)	 不错啦，你们想怎样！            
(3星)	 始终突破不了的剧情，能预见            
(3星)	 想给三星半，其实一次性看下来还是挺好的，女主声音挺正派的，脸大了点，男主被风吹的时候仿佛有种坤娘的感觉。            
(5星)	 TVB虐起来不是人！尼玛骗了我多少眼泪！添哥的剧不是盖的，青梅竹马、失散重聚、家族斗争、失忆复仇，明明都是不新的桥段，为毛就是不俗气呢？头一次知道周丽淇和黄浩然都这么会哭，让我跟着痛得撕心裂肺。一定有人不满意这样的悲剧收场，但如果我们对所有人都公平一点，因果循环理当如是了。            
(4星)	 竟然是杯具收场一刚。。。还有陈秀珠实在演的太好了，直逼谢雪心在我心目中的反派形象。。。            
(3星)	 最近热衷虐恋，在极度无聊的时候用来打发无聊时光的，TVB的剧说实话实在是够粗制滥造，2人在撕破脸之后的互动很有爱~女主看着太舒服笑容太治愈，男主跟莫禽兽比起来演技简直就是大学生和初中生的区别            
(NA)	 结局真心狗血啊！            
(4星)	 结局太2B，看了让人心痛~            
(4星)	 狼君一边吃酱油拌饭一边流泪的场景真的打动人，好饿。可惜烂尾。有个影评写得好，如果尔乔才是牛奶糖，那会怎样？估计TVB的编剧驾驭不了这个。            
(3星)	 尔乔好可怜            
(3星)	 下一世见你妹啊，想拍续集啊,佟本善醒返啊...添哥我恨你            
(4星)	 很难做到的。善            
(3星)	 果然像大家所说结局很狗血            
(5星)	 不管这一世上一世。。。。编剧你都不厚道            
(3星)	 矫情死我算了，还下一世见，这是我认识的TVB么……            
(NA)	 狗血结局，被人捅了一刀，街上神奇地只有一个人，还只能救一个。男主角不好好等人来救，找死到处跑，白天跑到黑夜，再从黑夜跑到白天，死了活该，跑那么久也没见人，又安排个原医生打酱油经过。            
(5星)	 年度压轴阿!本事哥            
(3星)	 反正这个男猪脚不管什么造型都给我硬邦邦的赶脚=。=            
(3星)	 中间太多催泪的剧情5555。结尾更让是让人心痛。嘿，编剧为啥米不编个好的结局尼？            
(3星)	 知道开头便也知道了结局，不过创新也是有的，值得多给一星！            
(4星)	 干嘛弄个这么恶心的结局？！这部片剧情紧凑，非常吸引，就是结局不好！很不好的结局！！！            
(5星)	 好看   有点不喜欢黄浩然了  看完居然又喜欢了0 0            
(3星)	 周丽淇那个发型。。。。。。            
(3星)	 如果没有第21集，我一定给好评的，亲，可以去掉21集那个狗血的结尾么？最后为虾米是高尔康陪伴牛奶糖啊...            
(3星)	None
(3星)	 這故事平平淡淡的            
(3星)	 结局是SB            
(4星)	 不错的一部电视剧~  民国时期，当时看到名字不想看的，tvb粉又怎么能少了新剧呢~~  还不错的电视。 对黄浩然态度有改变。但是类似义海豪情~ 原来都是李添胜导演的~             
(5星)	 名字有点傻冒，不过真的好看。4天看完，各种虐心，最喜欢复仇啊行骗啊坏蛋死光啊的戏码了…就是结局黄浩然居然死了，心碎了心碎了= =尼玛编剧不写死个人会死么，悲伤。还有，姚子羚真心美~黄浩然真心像哥哥，在KTV看过『风继续吹』MV回来再看狼君真的都错乱了…            
(4星)	 结局啊结局。怎么能这么虐法            
(4星)	 喜欢尔乔            
(NA)	 和小时候看的一部台剧剧情有几分相似，马景涛演的《今生今世》            
(4星)	 结局不好。其他都好。今年黄浩然陈展鹏终于熬出头了。            
(NA)	 剧情让人眼前一亮            
(3星)	 周丽淇挺好看个姑凉，一定要打扮成这样么。。            
(3星)	 想不通的两件事：1.狗血滴21集！事实证明导演脑子被灌水了，大过年非要搞得妻离子散家破人亡才过瘾。2.那么多年的牛奶糖还能不能吃了？都长毛毛了吧…            
(3星)	 结局比较扯淡。。。。            
(4星)	 剧比名字好……            
(2星)	 从头都猜到了 虽然情节推进的蛮快但是越往后越不好看            
(4星)	 周丽淇让我隐约看到那年的陈慧珊，黄浩然这么多年终于熬出头            
(2星)	 民初版《基督山伯爵》？虚化了时代，格局小很多，主要还是家庭戏与爱情戏，复仇的终点是苦情，结局篇看完血都吐光了。男主角被插一刀，闹市竟变无人区，从白天爬到第二天凌晨，不是去医院，是上通往天国的方舟，这不是煽情，这是脑残兼无厘头！            
(3星)	 这是一个关于早恋的故事，最后李浩中刀后的行为真是难以理解啊，一切都搞定之后应该和女主幸福的生活在一起的，他一乱跑不等路人救治，二还跑去破船玩漂流，不是一心寻死咩，不符合逻辑啊，讨厌这种开放式的结局。要死要活一句话嘛，讨厌。            
(3星)	 狗血的结尾。竟然让我看到睡着了。            
(3星)	 在如今的TVB已经算是难得的剧了，可惜高二少的演员弱了点，女主也有点讨厌整天哭呀哭的            
(4星)	 这么破的结局无语了             
(5星)	 结局竟然悲悲戚戚收场，虐心！            
(4星)	 算看過吧！下蝦哈夏嚇~ 很精彩。            
(3星)	 尼玛竟然是BE!!!编个好结局会死啊！！！            
(4星)	 偶像剧？？虐啊~            
(4星)	 狗血剧！不过牛奶糖&amp;李浩 佟本善&amp;徐欣 下一世还是会相见的！            
(4星)	 真是一部很清新的剧。剧情、演员都还可以。其实也可以预见结局，毕竟佟本善害得人家家破人亡，编剧应该不会让他善终。我还是抱了希望，哎，可怜的徐芯。喜欢姚子羚，人漂亮，演得也不错，看好她。            
(3星)	 为什么大结局佟本善不肯去医院。 0.0            
(4星)	 黄同学是亮点            
(4星)	 看到三分之一了，觉得编剧和演员都很用心，有几处都感动到差点内牛，周丽淇越看越耐看，也很喜欢她这个角色，非常好的女孩纸；还有我心水的黄浩然，深情滴腹黑男，大爱啊！不过结局MS挂了，又是一出大杯具。继续观看中......            
(4星)	 一边赶论文一边看的...除了结尾太狗血..其他还不错            
(5星)	 好好的一部剧弄成悲剧，唉。。。            
(5星)	 昨一口气把﹟我的如意狼君﹟看完（到二十集，拒绝狗血多余的大结局），凌晨五点，看完不知为什么觉得获益良多，很香的睡了六小时后，醒来，脑清眼明！哇～只有好剧好书一切好的东西才会这么亢奋人呐！            
(4星)	 酱油真的是用来打酱油的            
(4星)	 牛奶糖&amp;佟            
(4星)	 从头到底都不错。结局不要拖沓。不要那么悲伤就更好了。            
(3星)	 编剧大概觉得悲剧才隽永，所以，结尾狗血的李浩死也要死在无依无靠的茫茫大海，这回换成牛奶糖傻傻等下去，等下一世的会面~            
(5星)	 新札师妹里的＂软饭王＂在新戏里演大众情人，迷死人不偿命            
(4星)	 女主角的表情有点生硬            
(4星)	 结局让人吐槽无能吖~            
(3星)	 勾心斗角的不厉害，周丽淇我真是一点也喜欢不起来            
(2星)	 冲着周丽淇去看的。。。看了第一集不怎么好看的样子……            
(2星)	 弃了，没意思            
(3星)	 最后一集好坑爹啊，全集所有人都在梦游。            
(NA)	 21            
(3星)	 感觉总有 坏男人 的影子在里面            
(4星)	 的确是这个名字不太好哦~~~            
(3星)	 民国版“坏男人”？            
(4星)	 徐芯从头哭到尾.真是辛苦了Niki..结局处佟本善有时间到渡头去,为何不去找徐芯啊..添哥这次落笔真是狠心啊!!牛奶糖和李浩相认时.小时候和现在的样子交错出现,这一幕大爱啊!            
(4星)	 世界上最动听三个字不是我爱你，而是我等你            
(4星)	 开始喜欢NIKKI了...            
(5星)	 催泪。始终没能在一起。            
(3星)	 什么鬼结局            
(3星)	 一般 结局假的狠 痴线            
(4星)	 为什么他们最后木在一起啊啊啊啊.....            
(3星)	 第一次看tvb的年代剧 还不错            
(4星)	 主角终于不是tvb那几张老脸了，很有新鲜感。之前看过周和黄的片子，都不错，早就应该做男女一号了。不过结局有生编硬造之嫌，似乎想留下悬念，又想搞个龙凤斗似的结尾，弄巧成拙。            
(2星)	 还真是挺无聊的            
(NA)	 一般。。。            
(4星)	 添哥的作品当然不会令人失望，不过稍有点虎头蛇尾之嫌。            
(3星)	 被结尾的带伤跑着实雷到了一把            
(NA)	 喜欢港剧。真的有那么执着的爱情嚒？            
(2星)	 无无聊~            
(3星)	 其实我想给3星半的，前面很好的，很有腹黑的赶脚，但是后面就有点太煽情了。另外把，周丽淇绝对不是女主角，主角是高夫人董帼馨（陈秀珠饰），因为赶脚吧男主的对手戏一般都是董帼馨和她的女儿们啊。            
(NA)	 下一世见。。。。。            
(NA)	 恰好在我拖延症发作的时段，一天一集这么看下来的。这是要多刻意才能编出来的专让人呕血的结局啊！看这种片子的谁不爱大团圆啊！就算供人唏嘘也自然点好伐！            
(3星)	 男的靓女的靓 扣分的就是狗血的结局 可怜的是尔乔 不重要的叫酱油 当然它也只是打酱油的            
(3星)	 名字起得真韩剧            
(4星)	 好虐啊啊啊啊！！！复仇什么的好过天与地太多了！这什么破名儿啊！什么破结局啊啊啊啊啊！！！            
(4星)	 名字取个什么XXX复仇记比较好            
(2星)	 一星给周丽淇、一星给黄浩然，搞不懂为什么一定会是悲剧收尾？            
(3星)	 最后一集又坑爹了            
(3星)	 狗血结局毁了整部剧            
(2星)	 开头5，6集还不错，然后就一路狗血，结局更是让人吐血。。。            
(5星)	 真是烂尾.请在一起!!!!李浩!!!牛奶糖            
(3星)	 还可以，可以看看            
(4星)	 不错不错，是TVB出的一部意想不到的电视剧。值得看·            
(5星)	 我是黄浩然的脑残粉嘻嘻            
(3星)	 情节雷同于以前的家族复仇剧。结尾不好。不喜欢。女主角性格变动大，只喜欢一部分            
(3星)	 最后一集大逆转啊，我说你这剧放在跨年播，这样子谁看了有好心情啊。徐芯知道自己是牛奶糖之后，这角色进入也太快了吧。大白天什么没有路人乙来救下男主啊，尸体呢。要我是编剧，就弄个牛奶糖出来，看男主怎么选。片头曲倒是挺好听。原医生真是好银啊，这样的角永远不受编剧待见。小牛奶糖倒是挺可爱。            
(4星)	 为毛不给我这种俗人一个好结局。。。            
(3星)	 整体感觉还比较清新，结局太扯，李浩基本上变成了打不死的万年蟑螂。。。。我怎么想起那年的十面埋伏。。。章子怡中刀，倒下，起来，倒下。这次黄浩然中刀，倒下，爬起来，倒下爬起来，完成广州半日游。。。什么悲剧色彩都没有了。            
(3星)	 我真无聊            
