http://movie.douban.com/subject/3732807/	双头犬 オルトロスの犬
(4星)	 takki好帅啊麻美姐姐好美啊...花痴一下....还有这片头曲怎么看都觉得像片尾然后慢慢移动到了片中让人很无语...哑巴里结尾还是狗血了...真的有狗血出现...            
(4星)	 小亮啊小亮~ 情节有点拖,不过还是满精彩的.结局太纠结了,为什么要分开走,兄弟一起生活多好.XDXD            
(4星)	 TAKKI还是很帅。。。            
(2星)	 与奥特休斯双头犬没关系，只在名字上打了个宗教擦边球。兄弟俩意料中的走向暧昧，假如不认识自己、不直面自己的能力和黑暗面，最终会被其吞噬。            
(NA)	 10分钟就关掉了，死亡笔记么？            
(4星)	 泷泽秀明成熟不少啊，喜欢他现在的样子~~~不是很喜欢锦户亮在里面这种忧郁的性格，总体来说，还行吧，看在帅哥的面子上就加了一颗星            
(4星)	 锦户亮的气场没有泷泽强~            
(4星)	 龙泽终于长大了。            
(3星)	 结局真耽美。            
(3星)	 如果没有亮  我也许看不下去的             
(4星)	 相生相克            
(4星)	 给最后一集两只相认加一星.哥哥刚一叫出来鼻子就酸了.结尾有点让人说不出来.反正不是预想中的结局.            
(3星)	 剧情太弱~有小泷也不能这么祸祸啊            
(4星)	 其实剧情三星，泷泽秀明的长相五星，所以给四星好了。。            
(4星)	 无视女人，只管YY            
(4星)	 太省钱了吧 还不如直接画漫画了呢 不过故事是不错的 演员也喜欢 觉得浪费了2男主了            
(3星)	 最后一集太精华了，还以为他们死了，没想到都没死。。。            
(NA)	 人性的贪婪与人性的善良。            
(3星)	 真的很一般，剧情混乱，不知到底要说什么            
(4星)	 女人其实是多余的。本身对她没偏见，不过她在剧中真的显得很多余，就跟伤KIDS里面的那个一样...            
(3星)	 好吧、、我终于看了....            
(4星)	 牵绊            
(3星)	 日剧真的很能扯哎~            
(4星)	 我还是狗血地被感动了一把            
(4星)	 挺好看的其实……我就是喜欢看泷泽秀明            
(NA)	 1、虽然我不是腐女，但是……2、泷泽秀明挺好看的；3、其实本来有个类似DN的不错的剧情设置，何必要拍得这么狗血。。。            
(3星)	 嗯，编剧应该编得再好一点，真是浪费了2个帅哥的演技了            
(3星)	 主要是听发音了            
(4星)	 这俩男人。。。我总往歪处想。。。            
(4星)	 小攻和小受的纠结故事，外加人性啊欲望啊之类的无关紧要东西……            
(4星)	 唉，还不错的一部片又被结局狗血了            
(5星)	 看完了~终于看完了！泷泽真的是老了...再也不是以前的嫩小孩了！女主角简直就是女配角么....最后也没和泷泽有什么关系~汗！大结局龙崎的神之手一定还在....            
(2星)	 我当腐剧看的，啦啦啦~好有爱~            
(5星)	 别人弃别人的，我喜欢            
(4星)	 小声：你们干嘛活过来            
(1星)	 呃.....剧情真的不怎么吸引人。后半部分基本睡着了。            
(4星)	 泷泽秀明很有型啊~挺漫画的，想看帅锅推荐这部……            
(4星)	 狗血的结局。。。怎么可能两个人走那么近就看不到呢？？还有，谁也没有推倒谁。。。。。。这纠结的。。。            
(NA)	 前面大头亮点，最后六爷亮点            
(4星)	 妈妈的终于把这部小腐剧看完了，看到最后一集，我心里一直在想了你们不要纠结了反正都能理解彼此了干脆BL吧。就差那么一点点啊，编剧什么意思啊居然放这种结尾！            
(3星)	 人性的善恶两面性 （其实 如果换个卡司 分数可能更低）            
(3星)	 看不懂啊看不懂，有毛病啊有毛病            
(NA)	 天雷滚滚球形闪电哟。。。。            
(4星)	 瀧澤與錦戶，就形成了最大的亮點。            
(2星)	 啧啧啧 帅哥哥们又企图用诡异的世界观阐释JPN的扭曲心态了 oops~从来都没有天使哦~            
(4星)	 没能坚持看完            
(4星)	 泷泽秀明实在是太帅了..man了很多..剧情还是有点狗血..            
(NA)	 看过4集。应该也算看过吧。            
(4星)	 开头很狗血，后来果然Takki魅力实在是无法挡了啊~看在Takki的份上勉强给了他四颗星            
(3星)	 哎我觉得剧情真的是很狗血。。。亮爷和takki很有爱~~~            
(3星)	 我同意这部剧的最大意义就是用来HC~            
(3星)	 = =不喜欢这结局。            
(3星)	 完全冲着卡司追的            
(4星)	 大头念台词有点太做作，亮爷走路太牛郎，但很好看嘛            
(3星)	 滝沢秀明 太帅了，不过再帅也抵不过此剧结局的狗血，日剧终归是日剧，无法复制美剧            
(3星)	 就是结局太仓促了。。。            
(4星)	 最终话还不错            
(5星)	 很喜欢这部剧，觉得我们家泷泽超帅啊~~~最后一集竟然看哭了.....            
(5星)	 亮爷一张忧愁的小脸儿..背心泷泽大叔萌的咧XD            
(4星)	 泷泽秀明实在是太迷人了T_T结局虽然狗血，也挺好。            
(5星)	 龙泽那张感觉十年都没变过的俊脸yo。。。            
(3星)	 有点扯。            
(4星)	 今年夏季档的日剧都挺让人满意的~~            
(1星)	 放弃，太烂。            
(4星)	 前面其实有很多莫名其妙的地方，结果才是吸引我的地方。不过为什么老是强调弟弟要杀死哥哥呢，逻辑莫名其妙。            
(NA)	 泷泽有气场            
(3星)	 一直期待着冲突高潮的到来，但到最后都感觉没来，只是感觉雷声大雨点下，最后的对峙也让我有点小雷。一星给还是很帅的泷泽秀明，一星给看着就想让人欺负的锦户亮（哈哈），最后一星给所有演的感觉比主角还认真的配角ABCD~            
(4星)	 开始搭了很大的台，结尾相比较就显得仓促潦草。            
(NA)	 本季最爱            
(NA)	 小亮爷大迷人            
(NA)	 好看。            
(4星)	 多麽華麗麗的腐劇呀!要不是女豬腳我早就五星了!            
(3星)	 编剧还不够彪悍            
(4星)	 美得过分的泷泽秀明。            
(4星)	 萌翻了~2大帅哥~~美型~~~~~~~~~·剧情不错~            
(2星)	 啥烂片儿啊这是，，，史上拖得最快的日剧            
(5星)	 剧情，主角都很强大！            
(3星)	 兄弟爱好萌~~            
(4星)	 瀧澤爸爸  哈哈哈~            
(3星)	 最震惊的是光~居然真的是光~            
(3星)	 片中女警实在不靠谱，单枪匹马，逮人要么落抢要么就没带搜查令-_-|||不过此片对人性的探讨，多少让人反思。            
(3星)	 主要是看两大帅哥             
(4星)	 虽然有些让人摸不着头脑，但是很喜欢龙崎那种思考方式            
(NA)	 弃！            
(3星)	 这片子挺狗血的，不过也挺好的，其实编剧再用把力，战翻腐女最爱的supernatural不是问题            
(4星)	 头哥那华丽丽的气场加上66那彪悍的小眼神```萌```哎```可是我曾经无比待见的忍成修吾怎么就沦落到一跑龙套的了呢```            
(NA)	 结局很难看            
(4星)	 恶魔之手VS神之手（佐为。。。。。和你那个手8一样）            
(4星)	 结局糟蹋了整部剧            
(3星)	 兄弟爱，一星，两星。三星。恩。            
(4星)	 苍天阿  你为什么把亮爷整的这么帅。            
(3星)	 看了看以下的一些评论我乐了～原来我还是很cj的！            
(3星)	 美男便看一集养养眼够料...还停播。            
(4星)	 这两个组合太帅啦            
(3星)	 后面失望勒            
(5星)	 因为龙泽的演技和颜……            
(3星)	 要不是冲着小亮销魂的小眼神儿，我才不会给3星……            
(NA)	 圣母大结局。。            
(3星)	 姜还是老的辣~泷泽秀明同学帅啊帅~后面越看越难看~            
(3星)	 坚持下来实属不易。            
(5星)	 意外地觉得很好看。很多亲都说看完第一集就看不下去了，可我直到最后一集仍然觉得意犹未尽呢。            
(3星)	 咋说呢，虎头蛇尾？            
(3星)	 疲软无力的烂片  感觉就如同那个血色星期一              
(NA)	 小6的DV男形象一直出现在我的眼前。结局不会是大反转吧            
(5星)	 为什么不在一起,为什么不在一起            
(4星)	 4星完全是看在头哥的份上，颜真美好            
(NA)	 猪流感传染之下，很想说，泷泽的手赶快把66给摸好了回来上班吧，一个剧中间空了一个月真是让人郁闷之极...            
(3星)	 嘛嘛。至今还不错，节奏不错——好像是地三集还是第四集，弃。            
(5星)	 让两个靓仔来揭示人性的丑恶真是残酷            
(NA)	 好吧，其实我就为了看水川～            
(3星)	 追到最后一集突然没有动力看下去了~狗血~亏我在看到第二集和第五集时曾经满怀希望觉得这片子有希望~诶呀呀~要不2星半吧~81你长大啦~佐佐木大叔你老了~            
(4星)	 腐的不直接！何必掩掩藏藏。。。            
(4星)	 就像花火,灿烂之极,却又归于平淡.幸福,快乐,爱人,亲人,终究人还是要一个人走下去的.陪我们到最后的,也许只有瞬间的快乐,幸福的回忆而已.人生,一期一会,说到底,也就是一个个瞬间.             
(4星)	 EP_06大神不愧是大神：真正守护一个人是要他变强，就算你不在了，他一个人也能活下去。            
(4星)	 不錯的            
(NA)	 龙泽成了大树也是帅大树阿，，花痴中。。。            
(4星)	 最后的狗狗好可爱            
(4星)	 血浓于水不管以前有多少仇恨最后终究得以原谅，我居然无耻的被感动ㄋ。大头很帅66很受。。。            
(4星)	 翼をください            
(4星)	 最近倾向黑色基调。。和很多人一样想看看它的剧情可以怎么样个发展。。            
(3星)	 消遣，看着玩            
(3星)	 takki的表现 大心~~&gt; &lt;~~            
(5星)	 无法抗拒的瘦弱又楚楚可怜的锦户亮的魅力，依然是隐忍的个性，让人揪心的痛            
(4星)	 双头犬 オルトロスの犬            
(5星)	 四年啦...            
(4星)	 本是看亮去的 结果发现泷泽秀明帅的我要死要活的- -很父子的2人 很好            
(NA)	 说真的，昨天看的魔女条件，今天看的双头犬，10年之间takki变化，真是惊人。唉，怎么说呢，还是喜欢那时清纯的takki。那时真的是好美啊            
(5星)	 帅帅帅啊，小明和小亮，爱死小明了啊啊            
(4星)	 音乐不错··钢琴很哥特            
(3星)	 不喜欢这样黑暗风格的剧集            
(5星)	 目前来说还不错呀~！ 紧凑 悬疑  不过有时候让我联想到越狱~~~            
(4星)	 12th August 2009 to 26th September 2009||  单纯的人就会被感动吧~            
(NA)	 OK 我纯粹没剧看 看帅哥            
(3星)	 看了一集，弃之··            
(4星)	 幸好他们没死。大臣女士真是超级亮点啊！            
(4星)	 感觉还可以~~~~锦户亮同学看着太小了~~~            
(4星)	 主角养眼，剧情纠结~            
(3星)	 腹黑攻泷泽秀明美的~~剧情很狗血            
(3星)	 只是好久没见泷泽秀明，锦户亮也是还不错的。            
(3星)	 最后一集太狗血了....            
(NA)	 观摩两话，弃了。            
(5星)	 结局真狗血啊....看在夏季番都很恶心的份儿上给个五星好了。            
(4星)	 除了结尾有点雷 其它还不错~            
(4星)	 我一直弄不清那个神之手和恶魔之手的逻辑关系            
(4星)	 六仔~~~PAPA~~水川~~~            
(2星)	 一集都不知道怎么被磨蹭掉的            
(3星)	 善恶的对决 命运的捉弄             
(NA)	 我这次真是纯粹为了六爷您的颜才看的了 真的演的不如以前好/对大头开始改观            
(NA)	 寮寮盈泪于睫的功力又长进了…            
(5星)	 我以为哥哥弟弟会幸福的生活在一起...            
(2星)	 不知道能不能坚持下去....果然是没有继续看下去的动力了.....            
(5星)	 総長さま～あなたのためなら、私は何でもしてあげる！！            
(4星)	 最后一集两个人都掉水里的镜头很有爱~就是为毛这俩兄弟不一起过还要分开呢？            
(5星)	 9END 2009NATSU             
(NA)	 放弃了            
(4星)	 木有化蝶（喂            
(3星)	 看佐两集依然唔系好明距想讲咩啊！如果唔系头哥同６６估计我看唔落去！            
(4星)	 最后几集终于让我加分了=。=  果然果然还是抵挡不住美型攻势……还有那句“我想死在你手上”……呜哇哇哇T U T            
(4星)	 内容很是奇幻滴，一个天使拥有魔鬼之手，一个魔鬼拥有天使之手的故事            
(4星)	 恶魔之心+修护之手VS神之仁慈+死亡之手            
(3星)	 一颗星给头哥 一颗星给洞洞            
(NA)	 我反悔了……以后闲到灵魂出窍的时候再看吧，至少先把流星之绊看掉~~如果有小亮这样的老师……大概会很想欺负 —。—            
(5星)	 超喜欢锦户亮            
(4星)	 仅仅为了喜欢n年的龙泽秀明。            
(3星)	 锦户亮乃弱受，滝沢秀明为强攻。  在弃了若干集之后决定直奔结局,或者说,直奔最后二人之纠结。编剧啊，腐到底嘛，就让他们从此幸福地生活在一起不好？（脑内出现樱兰双子小剧场...）            
(NA)	 不完全伤KIDS类似设定。不过亮爷还是很帅滴。            
(4星)	 这样的结局……也挺好的            
(5星)	 不管别人评价怎样 至少我喜欢            
(5星)	 泷泽秀明成熟，锦户亮这部很出彩~~            
(4星)	 从初中之后我就没看过他演的剧了。。。            
(2星)	 66不错，别的都相当囧            
(4星)	 结局...            
(3星)	 終局爛透了！！！如果不是看在大頭和亮爺的面子上，我就打一星了！            
(4星)	 泷泽秀明...长大了还是那么帅~            
(4星)	 看到一半，就没看了，也没想着追，还行吧            
(4星)	 我纯粹是看演员去了。为了我家的水川。。            
(3星)	 没有什么特别喜欢的感觉            
(5星)	 还不错            
(3星)	 小黑羊和大白狼不得不说的故事~囧~               
(3星)	 同样是双主，怎么和魔王差那么多啊T-T柴田那段让我很感动，可是后面也太烂了吧！为了卡司，一人颗星吧  - -            
(4星)	 不为啥，就冲着亮爷去~            
(4星)	 8.2跟魔王差不多口味的一部剧，正义与邪恶的对立交融。8.16进展哈慢。8.24第5ing，ayaka居然连公主彻夜未眠也翻唱了Orz 9.28越到后面越精彩，白赚了我几滴眼泪，最后居然都和谐了。。。开始yy龙崎对长谷部的感情，一句“我不喜欢妖艳的女人”听得我心花怒放            
(4星)	 好帅好帅            
(4星)	 結局來得有點急，令之前多集的起承變得有點草草收場感覺，大結局不停交待眾人結局。原來成套片除了佐佐木大叔外個個也是好人，有夠多的。女主角一如眾評論所述是可以摒棄的，滝沢秀明及錦戶亮都算恰如其份，閃閃漂亮地散發魅力本錢，被電到了。警局主管大叔出奇地搶鏡，神來之筆？            
(4星)	 那个结局算什么啊！？那个结局！！！p.s 在水里的那个画面...唯美啊~~~            
(5星)	 我承认我就是因为控某张脸给它五星            
(3星)	 哼，狗血不下去了吧~~            
(3星)	 期待锦户同学和泷泽同学的下一集咧            
(3星)	 看过EP1。不是喜欢的题材。虽然这俩男人还是很帅吧..有时间再看。            
(NA)	 泷泽帅呆了！极其腐！            
(3星)	 弃之            
(5星)	 大爱的两只啊！鸡冻啊鸡冻～～恩恩。在看了。很好看哟～            
(4星)	 洒狗血哇，不过最后的力量并没有消失吧~            
(4星)	 我想死在你的能力之下，就像传说中一样。            
(4星)	 人们在思索着活下去的意义，决定生存的先后顺序，但反过来，其实他们也是在决定着死亡的先后顺序。            
(4星)	 TakkiTakkiTakki            
(2星)	 很腐很悬念；小66~来来来；头一次忍不了水川姑娘；同是邪魅一笑，头哥和佐佐木大叔咋就这么不一样呢；从四颗到两颗，好吧，老子蹲了这滩狗血整整一季！！            
(4星)	 又是神，又是改变世界。。。            
(2星)	 差就一个字。            
(5星)	 本来也是有很多思考的！但看到最后真的只剩“好帅啊啊啊啊啊——”没救了。            
(3星)	 ryo sama ~看了很久才看完~真艰难~~一开始就觉得这个题材很难表现好的~期望不大~结果整体看下来感觉也真的非常非常一般~不推荐~但为了66来的同志~欢迎看一下~集他的邮嘛~哈哈哈            
(2星)	 干瘪。。            
(4星)	 不知该说什么了            
(3星)	 完全是逼着自己看完了结局...真狗血 为了敬业的演员再加颗星吧 那么雷的时刻还要演得那么正经             
(3星)	 一星扣在水川身上  两星扣在剧情稍雷... 两个男主都很有魅力            
(4星)	 冲着亮和taki！！！            
(5星)	 刚看好最后一集是很容易给出高分的。金10的最后一集总是那么好看。。            
(3星)	 大头美貌无敌……            
(4星)	 剧情到后面越来越狗血 但最后兄弟殉情那里还是把我泪奔到了 于是我不幸被剧透了所以看到后面也无感T T然就是泷泽秀明太帅了！！！！            
(3星)	 那个···亮刚出现的那个镜头，就是从下往上拍的那个镜头，恩，是不是···            
(3星)	 终于完了，好纠结的兄弟情呀，看得心好累.........            
(4星)	 果然是个大狗血剧            
(4星)	 我貌似老早就弃剧了 = =+            
(NA)	 头哥和洞洞。。。强！            
(3星)	 相当没劲，弃之~~~~            
(NA)	 最后一分钟看到泷papa出现的时候眼泪飞奔！            
(3星)	 人很帅，剧很傻……            
(4星)	 佐叔你看你又不好好做人了-。-            
(3星)	 烂尾            
(5星)	 cast！！cast！！大叔+亮爺+水川MM！！&gt;333&lt;強烈期待亮蔵對手戯XDD[夠了！！]            
(4星)	 结局为什么这么……            
(3星)	  泷泽秀明 当年那个唇红齿白的少年啊~            
(2星)	 真没劲，锦户亮你让我失望            
(4星)	 恶魔之手与神之手            
(5星)	 我就知道狗血依旧,Ryo酱的演技也让我汗颜            
(3星)	 神之手＋恶魔之心，恶魔之手＋神之心，然后就是关于救赎与毁灭的故事，可惜泷泽和锦户都属于长相阴郁大于内心气质的类型，所以弱了，只好借沉默羔羊的壳，虚张声势            
(NA)	 4集            
(NA)	 演员全是我的最爱 可是 可是 就是看不下去了            
(2星)	 没看完            
(5星)	 090726 第一集。090926最后一集。还不错的结局。期待SP。零秒和这个都完了 我看啥 啊。。。。            
(4星)	 我就是猎奇。。。            
(2星)	 编剧很弱~浪费了这立意和我挺看好的3人            
(4星)	 为什么Asami好像变老了好多……她现在太瘦了，颧骨都突出来了~赶紧吃胖点吧~心疼```            
(4星)	 “演技很深刻，攻受很明显。”            
(5星)	 多么有爱            
(4星)	 越到后面越有意思的剧            
(4星)	 结局 够狗血的            
(4星)	 大人们的世界争权夺利，孩子们的世界却相互谦让。那一刻，我也很感动。我喜欢的龙与亮。。。            
(5星)	 锦户亮~~~~~~~~~~~！！！！！！！！！！！            
(5星)	 好感人的兄弟情深啊...            
(3星)	 還不錯 如無意外會繼續追...            
(3星)	 果然只有泷泽            
(4星)	 内容很深思            
(4星)	 7月24日 周五晚上10点开始播放！ 金10！            
(4星)	 开始6集的构思跟营造的悬念都不错，泷泽的堕天使的形象很让人惊艳，可惜烂尾严重。。。            
(4星)	 我总算追完了~~有很多感动点啊~~            
(3星)	 您们这也太漫画了吧！            
(5星)	 喜欢。            
(4星)	 最后又讲了一堆大道理 。            
(4星)	 泷泽很帅 演得也不错 佐々木大叔的反派也还挺到位的~~~            
(3星)	 失望，追到第五集实在看不下去了，做作得很。            
(4星)	 狗血剧情 美妙的双主            
(3星)	 夏天结束。            
(NA)	 结局一般般 人设不赖            
(4星)	 追完忘记修改了=.=  为什么最后不是两个人直接在一起？ 怨念……            
(4星)	 被结局雷到风中凌乱……            
(2星)	 2009.08.02-10.20太拖沓            
(4星)	 很腐很美好的最终话啊            
(4星)	 还好编剧“们”狗血到了最后            
(3星)	 看到第5集后突然不想看下去了，虽然当时已经下完了第6集。。。            
(5星)	 大头比锦户小亮的气场要强N倍...            
(4星)	 看人就够了... 期待SP....            
(3星)	 莫名其妙            
(4星)	 原以为是做作的狗血剧，没想到还是不错的，takki不愧是takki！另外：请问女主角是干吗用的？            
(NA)	 没兴趣看完            
(4星)	 那麼快就沒了...最好來個SP..讓我滿足一下水川和瀧澤的結局..            
(3星)	 最终话的定位是。。。此剧BL！~~汗            
(3星)	 阿亮。。。            
(3星)	 夏季档，全弃。            
(NA)	 大头大头下雨不愁 &gt;&lt; 结局一段是意料之中的腐啊兄弟爱是俺【哔-】点啊！被ryo酱的眼泪shock到，takki虽然明显成熟了许多可是颜依然很美好 T0T 就是剧短了点人物性格思想什么的转变也太快了吧好怪            
(5星)	 总觉得最后一集所有反派都瞬间变好了（除了泽村）有小突兀，觉得是为了结局突然就大转弯。。takki和66的kizuna还是素敌哇！！嗯。。takki还是笑起来比较好看！！            
(4星)	 最後又係世界大同...結局同魔王有異曲同工之妙吖囧            
(3星)	 头哥U就尽情的S 圣母6吧             
(5星)	 papa！            
(4星)	 其实能拍的很好的.却感觉很多东西都只是蜻蜓点水了~            
(4星)	 嘛，比想象中好看~            
(4星)	 兄弟爱，欧也～ | 只是结局没怎么大出乎意料的么。&gt;&lt;            
(4星)	 不錯的故事，可惜只有9集，結尾有點爛。            
(4星)	 结局不错哎            
(3星)	 虽然这剧总体我觉得很烂，但结局很腐我很爱            
(3星)	 PAPA+亮爷+水川大美女+光+俩万年配（忍成修吾+佐佐木藏之介）……但是我还是没看完╮(╯_╰)╭ TAKKI不要太poker face了~~            
(3星)	 该是双头犬吧···            
(NA)	 我是真不知道这编剧怎么想的。。。要不是看在主角的份上，看我不骂他个狗血淋头。算了，这部剧也算让我有了欢乐的感觉。            
(3星)	 有点……假            
(4星)	 冲着takki如此多年来的第一部剧也要说好看（心虚==）            
(4星)	 就当童话一般看啦，毕竟两个演员都是喜欢的~结尾很完满，只是最后草坪上竟然没遇到，不可能啊……（笑）            
(4星)	 什么？？            
(3星)	 泷泽~~这个结局是要出sp吗？            
(5星)	 看的好激动~~            
(4星)	 岁月催人老啊，樱花树上的少年一去不复返了。            
(4星)	 四星纯粹是给演员的。编剧生生浪费了题材和这么有爱的阵容，本来可以更好看的啊            
(4星)	 这是传说中的摸人游戏== 果然是兄弟爱！果然！            
(3星)	 本来就才2星的，加颗星给大头~~            
(4星)	 悪魔の手を持つ天使。            
(3星)	 6的气场明显不够强大 泷泽一如既往滴美            
(4星)	 泷泽也真的长成男人了，天呀，他小时候给人留下的印象太深，真是难以想象就这么长大了            
(2星)	 小光打酱油            
(3星)	 就只看了第一集            
(3星)	 弃之。            
(4星)	 有点小小的晚节不保..?            
(NA)	 哎呀，龙泽~            
(2星)	 就当我看过了吧，话说有些无聊            
(3星)	 我一向觉得有oo的剧都好好看.这次....实在...            
(3星)	 只记得剧情很傻 人很靓            
(NA)	 终于结束了。。。结尾似乎在意料之中啊。。不过可惜的是龍崎跟長谷部沒什麼進展。。。            
(NA)	 赤果果的BL &gt; ___,&lt;            
(3星)	 完結。            
(2星)	 狗屁剧情             
(NA)	 设定叫我想起了犬夜叉= =            
(2星)	 我堅持不下去了= = 看到某兩人的臉就想打人++            
(4星)	 故事很好，就是女人傻的离奇...人也很好，尤其是泷泽，已经有了气场和光环~            
(4星)	 为了小亮！会追下去的吧——&gt;泷泽先生的气场实在是太强大啦～！！！小亮，加油噢！～～～            
(4星)	 这个结局···真是··= =            
(4星)	 结局真XX+赤裸裸的卖点啊 指！            
(5星)	 泷泽秀明--新一代大神            
(3星)	 主题歌还行。。。其实片子挺无聊的            
(4星)	 居然不是杯具=  =            
(NA)	 没看完的不补了            
(5星)	 总长，求求你再上剧吧，啊啊啊啊啊            
(4星)	 最后结局那就是向左走，向右走            
(3星)	 虽然头哥很帅，但我真的看不下去了==+            
(3星)	 像这样非要有个结果不可的“正邪”之战，到了最终回不是摧枯拉朽的全灭就是摧枯拉朽的洗白啊            
(3星)	 最后一集莫名透顶啊~~太糟糕了。。            
(NA)	 你果然不适合扮老师。            
(3星)	 竟然还有忍成修吾~            
(NA)	 早就弃了 弃剧无数            
(5星)	 亲家说六六的笑容很治愈···我说泷泽哥哥很sexy很型···final最后几秒，原来拥有恶魔之手之人想杀死神之手时他们的能力都消失了··是个happy ending呢···            
(3星)	 没劲，追不下去了。。。            
(4星)	 09夏 TBS金十            
(3星)	 真催眠...故事有些不知所谓...因为亮所以给三星            
(3星)	 含泪弃            
(2星)	 看过最墨迹的一部日剧。。。。怎么能拍到9集真是厉害啊            
(2星)	 恭喜双头犬成为我看过的脑残片top3。不要问我为毛看完了= =            
(3星)	 有爱的卡司……的剧情坚持了2集            
(4星)	 除了相爱相杀我能说什么！            
(4星)	 冲着腐去的，剧情。。。。。。男主都很帅            
(4星)	 可以说剧情有点弱吗？结局神马的优点圣母啊。。好吧，多给的一颗星是为了纯攻的佐佐木叔。。不解释了。。            
(3星)	 看了一半.......要不是这两张颜早弃了........            
(4星)	 日剧总是到后面才会高潮的。泷泽秀明演个坏人也演的那么好看。哈哈哈。            
(3星)	 剧情很神奇，恶犬有月的影子……最后结局还是和谐了……锦户亮就是个万年受~！！            
(4星)	 好吧，其实我觉得还不错啊....            
(5星)	 搅基片。。。            
(3星)	 狗血            
(4星)	 RYO            
(5星)	 两大帅哥在，还需要什么剧情阿            
(5星)	 才看6集 打个5星 好看好看 刺激刺激            
(5星)	 泷泽秀明出场秒杀            
(4星)	 佐佐木大叔演坏人也好带感！            
(5星)	 大叔阿            
(4星)	 个人泷泽认为是最成熟的一面。。。我偏心了。。原本不值这个分            
(3星)	 单纯为泷泽一追。            
(4星)	 兄弟大萌！            
(3星)	 前半部分好看 后面没看 听说狗血            
(3星)	 看了个开头，看了个结局。            
(3星)	 三个星都给那亮闪闪的JQ 其他 其他就真没什么了 剧情在这里基本是不存在的吧╮(╯▽╰)╭            
(4星)	 拥有神之手的恶魔和拥有恶魔之手的天使、掌控了生与死的权力、不过、最后恶魔之手杀死了神之手只是消除了彼此的能力、            
(2星)	 好吧 很暧昧的兄弟 很无聊的剧情 当做YY剧老看吧            
(4星)	 在关于超能力的剧里算还不错的。。不过主要还是看人的。。。              
(3星)	 這片子如果壓縮到一半會更好            
(3星)	 亮爷总是那嚒苦逼。            
(3星)	 神之手            
(4星)	 人性与对错 开始很有张力 不过中间稍稍落入了俗套            
(3星)	 也就是个还成吧……感觉没什么主治，弟弟纠结着纠结着，哥哥就一直装坏人……然后，就这样结束了……            
(4星)	 看主演就不要理由了            
(2星)	 只记得81            
(4星)	 精彩！~~泷泽秀明从造型到演技真是帅爆了，到最后整颗心都被他的命运牵动。。。锦户亮的表演相较就平淡一些，虽然也很不错~要是结尾让两兄弟生活在一起就更加完美了&gt;&lt;            
(4星)	 为了主演看的！            
(NA)	 泷泽秀明！不愧为泷泽秀明啊！气场强大！            
(3星)	 因为錦戸亮确诊为H1N1而匆匆收场，本来是一个很有吸引力和发展空间的剧本来着。而最后比较让人疑惑的是，为什么两兄弟分别得戏码，变得很像是情人的分手呢？是因为两位主角太漂亮了吗？            
(3星)	 女主太没存在感了！谁让这是基片~            
(3星)	 我已经忘记了内容了，，，            
(4星)	 錦戸亮越来越残了。。。            
(4星)	 很虐很纠结。。。俩人气场太强大了让人不能不yy啊。。。龙泽你果然是总攻吧在杰尼斯里papa当惯了。。。水川真的只是作掩护的。。。＝ ＝ 结尾竟然上演擦肩而过的狗血剧情。。。好不容易俩人都没死编剧大人就不能让他们见一面嘛！！！            
(NA)	 龙泽秀明大爱！！！            
(NA)	 我觉得我该把他看完来来            
(3星)	 结局木有看懂，冲锦户亮去看的，看上了泷泽秀明             
(4星)	 这是个好故事 别的不多说            
(NA)	 在我眼里是赤果果的腐剧……不过我也是为了这个才看的嘛orz            
(5星)	 超赞！！！！！！还想再看二遍耶~            
(2星)	 出于不忍心 我几乎不弃日剧。。。可是这个我真的想弃。。。（最后斗争了半天 还是忍不住弃了=。=）            
(3星)	 开始几集还可以后面就没吸引力的腐剧            
(2星)	 看了第一集。。很假 弃了            
(5星)	 觉得龙泽一直在调戏小亮啊= =+            
(4星)	 四集弃么？？但其实里面两位都很正哟……只是故事太扯……            
(3星)	 很让人失望~就为看帅哥也就只有泷泽一个~对锦户亮真是木感觉~            
(5星)	 Takki太帅。。。            
(5星)	None
(4星)	 漫画式暧昧不清。            
(3星)	 某人最后的白皮…求不冲浪好不好…            
(4星)	 好看是好看 不过不知道这剧从开始到结局是为了什么 有什么意义            
(3星)	 苏苏的两个人 可是剧情什么的 我就是喜欢不起来            
(5星)	 五星全都是给老师的，老师身上那种矛盾气质真的好迷人呀XD~~~~~~实际上没有老师我只会给三星或者两星            
(4星)	 泷泽是初中喜欢的男人，剧情还可以            
(3星)	 可惜这个卡司了可惜这个剧的构思了            
(4星)	 真心受不了亮爷的眼泪啊啊啊！            
(3星)	 泷泽秀明真是有不老童颜哦！！            
(NA)	 当时很期待的一片子 看了两集就坑了            
(5星)	 其实蛮好看的呀。。。            
(4星)	 好看，真是不错            
(NA)	 。。。。。陪基友看卖腐片////            
(4星)	 挺无聊的……            
(3星)	 岁月不饶人啊泷泽秀明。            
(4星)	 兄弟情            
(3星)	 结局让我莫名其妙的            
(2星)	None
(4星)	 前两天刚刚看完——一个拥有神之手，一个拥有恶魔之手，他们的存在使自己痛苦令他人疯狂。还是做个普通人好            
