http://movie.douban.com/subject/1899616/	与青春有关的日子
(5星)	 最好的中国造电视剧。            
(5星)	 虽然没有经历过那个年代！还是喜欢这个电视剧！            
(4星)	 方枪枪成人版，还有冯裤子斯基。            
(NA)	 说过了我本该活在那个年代            
(5星)	 今天之所以区别于昨天，恰恰是因为昨天的感受依然在我们心中。在我们生命的每个角落，都会有一个被加工好了的故事。不管结局是福是祸，也不管它是美丽还是悲伤，岁月的洗礼总能给我们留下淡淡的回忆。这或许就是生命值得延续的魅力            
(3星)	 过去的年代、褪色的友情。            
(4星)	 那个年代的电视剧，看这一部足矣~~            
(5星)	 往事只能回味            
(4星)	 看过一半            
(5星)	 理想主义的消亡            
(5星)	 好看            
(5星)	 看过N遍            
(4星)	 战局拉得很长，让人倍感崩溃，但是里头的人民群众实在是淫贱得很有代入感。。。            
(NA)	 喜欢。虽然有距离。不属于。            
(NA)	 我靠，绝了。            
(4星)	 月亮在白莲花般的云朵里穿行......多么熟悉的旋律,剧情很精彩,似乎看到了自己的影子,但结尾的方式不太自然.            
(4星)	 看了前面的四十几集，就是为了后面十几集的泪奔吧~            
(5星)	 听妈妈讲那过去的事情。            
(3星)	 开始俺挺喜欢，一开始倒腾电视俺就晕鸟~            
(NA)	 不明白，佟大为看上去不砸得，每部电视剧都演小流氓，还是特成功的小流氓，我认为他得去演变态            
(NA)	 有我不了解的背景，但似乎有相似的青春感觉。介于还行与推荐之间。            
(NA)	 今天，之所以，区别于昨天，恰恰是因为昨天的感受仍在我们心中            
(1星)	 无耻的青春，很合这部片的主题。富豪人家大家闺秀吃饱了鱼翅在午后咿咿呀呀的感叹自己的身世，却只说出二字：“可怜”kao，即使妓女也比你下贱得高贵好吧。            
(NA)	 痞人痞语又一段纠结的青葱岁月            
(NA)	  时光已逝永不回 往事只能回味 忆童年时竹马青梅 两小无猜日夜相随 春风又吹红了花蕊 你已经也添了新岁 你就要变心 像时光难倒回 我只有在梦里相依偎……            
(3星)	 号称血色二，可惜有点太乱了，看着让人不舒服            
(1星)	 垃圾片，一群男流氓和一群女贱人的故事，成天不是扯淡就是吵架，我居然还看了20多集，不得不佩服一下自己的忍耐力            
(NA)	 是部好电视，老王的作品！！            
(5星)	 看过2遍以上，呵呵，太经典了。喜欢！！！            
(NA)	 我们的红楼梦            
(3星)	 每个人物都太贫了            
(NA)	 06年在意大利看的这部            
(5星)	 那个年代青春的故事            
(4星)	 王朔的小说，总觉的里面那个瘦猴子就是冯小刚，另外，文章对那个谁的爱简直了。。。就喜欢这种特虐的爱情。            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然...              
(5星)	 中国最好的电视剧            
(4星)	 玩儿的就是心跳！            
(4星)	 青春，这是个多残酷的词。可任谁都紧握，不到万不得已不愿意丢。他们终是长大了，浪费了那么多的时间。            
(4星)	 青春的日子            
(NA)	 不太喜欢            
(4星)	 终于又完整地看过一部电视剧            
(5星)	 那个年代真有意思，北京人真有意思。            
(5星)	 如果你好这个时代的这口儿 那必然得观看 如果你对某个时代反感 也建议你给观看了吧 多看个剧也不浪费你的青春 反正估计也被挥霍掉了 我也没看完 第一次看是在教育抬或是？！当时完全不知道有这么个戏 一看演员 嘿 还都挺熟 怎么都年轻了几号 那么早前演的我居然不知道 再仔细看看 还挺乐嘿 越看越来劲嘿 台词不错 人物也不错 题材也喜欢 大家一起观看吧            
(5星)	 我知道 十年之后再看这部剧 我会有和现在不一样的感受            
(4星)	 在家靠父母，在外靠朋友，如果朋友都靠不住，那么就危险了！            
(NA)	 轻狂年少            
(NA)	 。            
(5星)	 真可惜 我的青春不热烈            
(3星)	 前半段还好。我喜欢乔乔。还是为了陈羽凡。            
(NA)	 方枪枪长大了            
(5星)	 奋斗 我没看出陆涛啥的奋了些什么 一些靠父母的小祖宗 不切实际。所以 这部 好看            
(NA)	 乱世！            
(NA)	 很有感觉的一部电视剧            
(5星)	 男人的青春，乔乔们见证~            
(3星)	 由于叛徒的出卖，起义提前了。 ——王朔谈他的“复出”。“叛徒”就是指他的发小叶京，《与青春有关的日子》激发了他的责任感。            
(3星)	 今天，之所以区别于昨天，恰恰是因为昨天的感受依然在我们心中……             
(5星)	 难以挥舍的永远都是青春，坚守“青春主义”            
(NA)	 我喜欢这样的语言，这样的人            
(5星)	 经典            
(NA)	 老姐的片儿             
(2星)	 与血色浪漫差不多的背景，但却比【血】差远了            
(4星)	 奋斗着的80年代            
(3星)	 乱            
(NA)	 喜欢里面说话的风格。这跟血色浪漫完全没关系，别混了~            
(4星)	 还可以的片子吧，北京和声音，光线都不错不过我还是喜欢阳光灿烂的日子            
(5星)	 就愛這種題材            
(5星)	 够味！！！！            
(5星)	 值得一看            
(5星)	 啥都不说了~~~亲切！            
(NA)	 ..贫            
(3星)	 也就头20集还行，贫玩了就那么回事            
(5星)	 推荐给别人看,可是好象没人看.窗外是还没有热起来的风,可是我觉得我青春大约已经过去了            
(5星)	 台词给的信息量太大，以至于看电视剧根本起不到放松的作用            
(NA)	 那些青涩的岁月年华            
(NA)	 爱恨情仇，人性的真善美丑，淋漓尽致；但是有些过于虚假            
(NA)	 那段友情，不会随着青春的逝去而消失，那些爱情也依然留存。            
(NA)	 《贻笑大方》的幽默延续《梦想开始的地方》情节的延续            
(NA)	 好久都忘了这个词－－青春            
(4星)	 疼痛而迷茫的青春            
(5星)	 去年看过的最好的连续剧!!            
(NA)	 像            
(3星)	 你长成这样让我们怎么活呀            
(4星)	 挺贫的，有些段子很老了。没能坚持看完            
(5星)	 非常好，青春史诗            
(5星)	 太好看了，必须要看，一遍遍的看            
(5星)	 爷们            
(NA)	 我的青春我的认真。            
(NA)	 是很缓慢的一中深刻            
(5星)	 难得 要看一定要看52集的            
(NA)	 看的累死了，不就是《玩的就是心跳》么            
(4星)	 很王朔            
(4星)	 为啥哪儿哪儿都有佟大为？？！！            
(NA)	 看了血色浪漫  突然对这一类型的电视剧很感兴趣··觉得都还好咯··            
(NA)	 王朔小说的大杂烩。            
(4星)	 之前有个血色浪漫了，感觉这个也不错，就是有点冗长……美好的童年啊！            
(5星)	 结尾的那段话是永恒的经典...            
(5星)	 救赎            
(NA)	 最好的东西总是让人发不出声音。            
(5星)	 其实应该在四颗五颗抉择一下了……给五颗星因为要对得起自己的熬夜吧！对得起自己对卓越死时候鼻子的酸吧！评论：发现喇哥们媳妇挺有意思，可惜我还没认识这样的哥们……            
(NA)	 真想跟随他们。            
(5星)	 还没看完 ,已迷恋那个时代....释放青春,在天空里飘散....莫名感动着            
(5星)	 最爱            
(5星)	 那些我们不知道的过去和与我们一样的青春。            
(5星)	 喜欢这个年代            
(3星)	 太贫太滥            
(NA)	 青春痴狂            
(5星)	 爱的就是这段时光            
(NA)	 好像没看全。            
(4星)	 应该是改编自王朔的动物凶猛吧~~~那个年代的题材一直很吸引我~~~            
(4星)	 颓废过了            
(4星)	 台词不错，很能贫，有意思，结尾也比较悲惨            
(4星)	 看过的最长电视剧，终于看完。            
(3星)	 看了一半，就不想看了。。。            
(4星)	 好坏参半            
(5星)	 骗了我不少眼泪再看的时候就淡了都是加入了知名人士的真实故事            
(NA)	 他们生活在阳光灿烂的日子。成天瞎JB闹。            
(4星)	 北京特有的大院文化，别人是很难理解的，就是有点太贫了            
(5星)	 大致看了两遍。很经典。每每看到过半，心里都不免沉重。            
(4星)	 剧本特京味儿！李白玲挺美的。            
(5星)	 真实。 看的爽。            
(NA)	 美好的童年……            
(2星)	 前半部给5星，后半部给零蛋            
(3星)	 没血色浪漫好看 里面十几岁的小青年都是30多的男演员演的 太假了            
(5星)	 评价虽没有血色浪漫高  但整体上看语言依然诙谐  里边的情情爱爱的东西太复杂              
(5星)	 真是不错，太好看了            
(3星)	 太长了            
(4星)	 有青春有关。。。            
(NA)	 看过难忘，真的很难忘。每个人每个青春，那么热烈却注定在现实里认清生活的真实。            
(3星)	 北京男人真是贫得让人生厌了，没意思吖没意思～            
(NA)	 喜欢那个时代            
(4星)	 名字不错            
(5星)	 做个纯粹的人：爽更爽，痛更痛！            
(4星)	 茬歌那一段太美好啦~可五十多集真的有些托大.....            
(NA)	 就怕流氓有文化            
(5星)	 随你大小便。            
(NA)	 卓越，就是那么一个单纯的孩子            
(5星)	 王朔风格的电视剧，台词很过瘾。叶京过去的日子。来自于真实的生活，才有这样精彩的故事。            
(5星)	 列宁同志他不咳嗽了！            
(4星)	 有意思~            
(NA)	 我们都不曾忘却。            
(NA)	 一代人值得回忆的过去。前无古人，后无来者。            
(3星)	 前半部还行，后半部够烂            
(NA)	 没看全呢 忆年少 竹马青梅            
(4星)	 喜欢叶京 喜欢王朔当然喜欢那个年代的东西 是我没经历过的            
(NA)	 比较喜欢前半部，无忧无虑，到处祸害的青春。后半部加入了很多成年的烦恼，人也不那么可爱了，而且说得太多，听得太多，难免疲惫            
(3星)	 尽看耍贫嘴了            
(5星)	 虽然觉得中间有点拖沓，但感觉还是不错，给人带来无尽的悲伤            
(5星)	 大院 王朔            
(NA)	 1            
(NA)	 北京人就会贫！            
(NA)	 正如鲁迅所说，怀旧常有一种欺瞒的幻象。人们常对身边行进的日常生活缺乏自觉，而已逝的生活往往更有魅惑和吸引力。旧是新生活的刻度，那些曾经经历过的日子，即使是痛楚，经过今日的蜕化演绎，不仅没有痛楚，更有一种奇特的欣快。而这种令人陶醉与充满诗意的感性体验，正好迎合了当前中国社会的一部分人那种彷徨无所依傍、只好钻到怀旧的温柔套子里的集体精神饥渴。——而这一点，或许是《与青春有关的日子》的最大魅力所在。            
(2星)	 2008            
(4星)	 曾经深深的为那段青春震撼。高尚是高尚者的通行证，卑鄙是卑鄙者的墓志铭！            
(NA)	 据说很值得看            
(NA)	 真TMD好看！            
(4星)	 其实没人和你从小就一块偷幼儿园的向日葵            
(3星)	 还可以~            
(NA)	 必看啊··            
(NA)	    一代又一代            
(5星)	 特好 特好            
(NA)	 有人跟我说，这片子你肯定喜欢。结果我看了，却看不下去。进展慢，情节拖沓。当然，这片子对于那个特定年代过来的人应该是很有感觉的。            
(4星)	 有人能拒绝一个贫的要死的流氓的剧本吗?            
(4星)	 部在绝望中毁灭，就在绝望中爆发！            
(5星)	 从小就从幼儿园里透向日葵，往过路的人身上吐痰玩儿，美好的童年~~            
(4星)	 我这么就那么喜欢他们内代的青春呢...            
(5星)	 美好的童年!美好的大院生活!地道的京片子,经典!            
(NA)	 叶京说金燕用刀抹脖子那情节是他亲历的。那不是编的。            
(5星)	 那就是...与青春有关的日子。            
(5星)	 我那无处安放的青春..            
(NA)	 没有别人写的那么好看，那段长长的台词，不够真实。喜欢乔乔            
(4星)	 文革咱还没出生            
(5星)	 牛            
(4星)	 如果个别地方的臭贫台词别那么累赘会更好!            
(4星)	 怎么说呢？            
(4星)	 贼经典。            
(NA)	 中国的好电视剧。            
(5星)	 好看的爆棚。还喜欢上了里面单纯、重情义的卓越。            
(NA)	 F40和F4            
(4星)	 品，贫，很轻松            
(4星)	 不管别人怎么评论 我喜欢它            
(NA)	 太长了，后面20集我是很努力的坚持才看完的            
(4星)	 过犹不及 //20080314 The End            
(4星)	 与青春有关的日子            
(4星)	 如果我在那时            
(4星)	 有意思极了            
(NA)	 拖沓、贫            
(NA)	 一部让我感动的电视剧            
(NA)	 你们幸福,你们热恋,你们精神无限.            
(5星)	 这是我看的最长的一部电视剧 开始还担心自己没耐心 现在越看越过瘾 经典啊!!            
(5星)	 今天 之所以區別于昨天 恰恰是因為昨天的感受依然在我們心中……            
(NA)	 混乱但真实            
(4星)	 喜欢            
(5星)	 怀旧 友谊 感动过            
(NA)	 京味十足            
(5星)	 就喜欢那调调！！            
(5星)	 真迷那段岁月            
(5星)	 及其喜欢，看N编都不会嫌腻！            
(4星)	 只是亲切            
(5星)	 喜欢 不知道理由的            
(4星)	 佟大伟            
(5星)	 怀念            
(5星)	 讲述昨天的故事            
(5星)	 今天之所以区别于昨天，恰恰是.......            
(NA)	 回忆中的衰老            
(3星)	 台词很艺术，可高洋太混蛋了，李白玲很无耻，金燕太贱了，还是卓越，高晋和乔乔比较可爱．            
(4星)	 写得挺煽情的            
(4星)	 用过去的事情，讲当代的情感            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(NA)	 不错的电视            
(5星)	 残酷而美好的青春            
(NA)	 挺逗的            
(5星)	 特别好            
(5星)	 很好看 强烈推荐            
(NA)	 让人羡慕的青春            
(5星)	 一部少数人的恣意挥洒的青春怀旧片            
(NA)	 我说的就是这一部            
(4星)	 想看完整的            
(5星)	 听妈妈讲那过去的事情            
(NA)	 记录，一代人的红色足迹！            
(3星)	 因为佟大为……            
(4星)	 在老白那里听说很好看，看了一集，觉得还可以。继续看下去。            
(3星)	 叶京将王朔的所有小说人物都攒到了一起，太拖沓            
(5星)	 过瘾            
(NA)	 这些人大家真是牛逼            
(4星)	 比奋斗神马的好看多了……只喜欢卓越，不喜欢文章！            
(5星)	 青春总是那样美好！            
(NA)	 为了挖掘百何和羽凡的相识的，原来小时候看过了。            
(4星)	 我爸推荐给我的→_→我们坐在高高的谷堆旁边听妈妈讲那过去的事情            
(4星)	 前多半部是好剧，和王朔的剧本原型有关吧，后一部分偏离事实有点儿大了            
(5星)	 力荐            
(5星)	 好想回到70年代的中国去看看 那个我眼里永远像带着泛黄的老照片一样陌生而亲切的年代            
(5星)	 王朔，叶京，冯小刚。。。这就是那一代人，传说中的那一代。            
(5星)	 让我眼前一亮心里着实感动的电视剧！！！            
(4星)	 前边确实不错，很真实。但是真实地过头了，那群孩子真惹人烦            
(5星)	 我们敏感我们偏执我们顽固到底地故作坚强。 我们轻易地伤害别人，也轻易地被别人所伤。 我们追逐于颓废的快乐，陶醉于寂寞的美丽。 我们坚信自己与众不同，坚信世界会因我们而改变。             
(5星)	 与青春有关的日子~            
(NA)	 人物塑造很好            
(5星)	 這才是經典            
(4星)	 卓越是个最可爱的理想主义者            
(5星)	 岁月在孤岛上流失过去，明姬在波涛声中长到了十七岁，她学会了许多好听的歌，但最爱唱的是爸爸的那首祝福歌~~哈哈哈            
(3星)	 那个年代，这只是少数            
(4星)	 虽然没看全，但为其中的几集极为感动            
(5星)	 看看这个肮脏的世界吧~            
(5星)	None
(4星)	 这部剧更像奋斗。            
(5星)	 与青春有关。。。            
(NA)	 特别喜欢            
(5星)	 看的有两三遍吧。卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭。            
(5星)	 不谙世事的时候看了懵懂 现在回看无敌喜欢。            
(3星)	 听就行，不用看，太贫了            
(NA)	 玩得就是心跳            
(3星)	 来来回回的折腾。。。大家都爱李白玲            
(4星)	 依旧还是喜欢小说            
(4星)	 我也觉得佟大为特二B            
(4星)	 烂了几集后，直到最后一幕还是看的热泪盈眶。唉。            
(3星)	 这是我为数不多看完的电视剧！导演拍的还是很有年代感，演员演绎的也很到位。扣分是因为：1方言，演得有点拘束，没有其他人放的开。2剧情有点虎头蛇尾，前面还是不错的，后面有点拖沓拼凑。（我觉得王匡林演的确实很好，看见Y就想笑）            
(4星)	 前面非常好 后边儿就有点收不住了 总体来说 还是不错的 就是废话越来越多            
(3星)	 那帮年轻人。。            
(NA)	 典型的王朔啊冯小刚啊那些人的影子            
(3星)	 文章没红，白百合还叫白雪的那年            
(4星)	 今天之区别与昨天，恰恰是昨天的感受依然在我们心中！ 我本是个怀旧的人，怀念自己的童年，怀念自己的过去青春！ 在与《与青春有关的日子》亲密接触后，这种感觉愈加的强烈！ 仿佛昨天的感受依然在目！这部无法比拟的以青春怀旧以情取胜的作品， 更加生活化，更加人性化。            
(4星)	 08年暑假            
(NA)	 那个年代 那些人 注定是一个时代的符号            
(5星)	 这部电视电视剧讲了什么内容看过了就想不起来了，唯一记起来的就是一首首怀旧的歌曲。每一步都是一个选择。选择不了出生，但是你可以选择你的朋友，还有你以后的生活。            
(5星)	 玩的就是心跳。            
(5星)	 牛逼！            
(3星)	 太拖沓  太贫              
(5星)	 除了最后一集 都好            
(4星)	 我们的青春就像一个忧伤的小婊子,总是在不要脸的美丽,严肃的不正经着!            
(5星)	 当做文学书籍看的电视剧，王朔编剧文采不容忽视！各个段子精彩那是相当的！            
(5星)	 当年他叫文章，她还叫白雪，我从这部电视剧认识了他们，现在他是王小贱，她是黄小仙，失恋33我还没有看过……            
(5星)	 从小就一块偷幼儿园的向日葵~~从楼上往过路人身上吐痰玩~            
(4星)	 没有扣人心弦的情节 只是儿时的一句话 却关联了许多年羁绊             
(5星)	 目前最爱的电视剧，没有之一            
(NA)	 刚刚把这部片子看完，不在乎里面的剧情，却喜欢它的背景，那些话语。在里面久久徘徊，无法自拔            
(4星)	 青春本身就是赌注，在一个迷惘的时代，大家都是赢家，也都是输家！            
(5星)	 大学本科时期看的经典片子            
(4星)	 那混乱而无序的年代啊。            
(3星)	 前阵子才看完，52集啊，真长。说实话，已经没有当年学生时代看血色烂漫时的热情和感慨了。。。难道我老了？！( ⊙ o ⊙ )！            
(5星)	 只能缅怀            
(4星)	 冯裤子            
(5星)	 不知道有没有人像我这么喜欢这部电视剧，下下来一看再看，虽然后面有拖沓之嫌，但是迷惘、忧郁、昏黄的老城根，躁动青春的南漂和回归大概就是我向往和臆想中青春的全部旋律。ps：高洋像中国版的barney            
(4星)	 我真的看过这个电视剧，但是一点情节都不记得了。不知道是自己记性有问题，还是这电视剧有问题。不过这句话我有印象——“从小一起偷幼儿园的向日葵，从楼上往过路的身上吐痰玩”。等看完甄嬛我再看一遍这个            
(NA)	 我爱这个调调··            
(1星)	None
(3星)	 真想回家吃炒粉，去一中打球，骑踏板逻街....            
(5星)	 卓越的死让我泪奔了，，，仿佛他真的死了一样            
(5星)	 好！            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽；我们坚信自己            
(3星)	 不认为有多好看，很乱            
(5星)	 看完了，对这部电视剧感觉很复杂，里面有太多重复的台词，里面的人感情的起承转合有时候毫无逻辑，里面的角色有绝对的影射意味，里面陈羽凡唱的歌都很好听，里面的好人都没有好下场……             
(5星)	 月亮在百莲花般地云朵里穿行            
(4星)	 前30集还不错 喜欢这80年代青春的生活             
(5星)	 找时间再看一遍            
(4星)	 太贫了你们            
(NA)	 里面人物嘴巴太频了...&gt; &lt;            
(4星)	 一群部队大院孩子的青春 没有代表性 有真情、真性            
(2星)	 比血色浪漫差远了。况且真的没有任何可以夸耀的地方，主人公都油的要死，自以为拽得要死……真是悲哀。这是内容的缺陷，对电视剧本身来说，拍到也不怎么到位。唯一能给打两星的是有一些台词不错。。            
(5星)	 今天零星看了两集，还是最喜欢百珊。很单纯的样子。            
(NA)	 不是滋味            
(5星)	 一群人的友谊葬送在：“咱们谁跟谁啊，从小就一块偷幼儿园的向日葵，从楼上往过路人身上吐痰玩，美好的童年。”这句话里面，才看到第16集。            
(NA)	 这是最好的时代。这是最坏的时代。这是智慧的时代。这是愚蠢的时代。这是信仰的时期。这是怀疑的时期。这是光明的季节。这是黑暗的季节。这是希望之春。这是失望之冬。人们面前有着各样事物。人们面前一无所有。人们正在直登天堂。人们正在直下地狱。            
(2星)	 真能拖 好好的东西被拖成这样 嚼蜡一样的对白 中途出现了两次看得厌倦的情况真不知道拍了50多集 到底拍的什么东西想吐一样.            
(5星)	 这一部，倒是让我受了点说不清道不明的打击。。。            
(3星)	 没想到那时候的女生都那么开放，真好~            
(4星)	 那一段青春，我们想象中的青春            
(5星)	 一代人激荡的生活。            
(NA)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(4星)	 没有绝色美女帅哥,挑演员很实在,这点令人喜欢.台词很搞笑,虽然议论的段子总是太长,可能让人没耐心听完.但是总的来说,有种说不出的喜欢.喜欢那个年代的人,喜欢朴素的时代.            
(4星)	 过去的日子，一代人的故事~            
(5星)	 当年学姐强烈推荐，她废寝忘食的看了N遍连毕业论文都不写了！            
(5星)	 真好。            
(1星)	 烂片中的烂片   看过的电视剧里最烂的一部            
(5星)	 非常好看的电视剧            
(NA)	 京叶 先生            
(3星)	 如果总是前十集。            
(5星)	 挺值得一看的片子            
(5星)	 努力寻找自己的影子            
(4星)	 心目中的百珊停留在离开北京那会            
(5星)	 看过为数不多的关于青春的电视剧……            
(4星)	 那时候白百何还叫白雪呢，文章也没那么装逼。对女主角印象极深，结果到现在还不知道人叫什么名字囧。里面有一叫冯裤子的，我总觉得是影射冯小刚。            
(3星)	 其实我没看完。，太长了实在是。            
(5星)	 太你妹好看了呀            
(3星)	 是冲着听那垮拉垮拉的乡音才去看的，结果真让我找着一乱得堪比GG的~            
(4星)	 果然像大家说的。在广州那段，真是烂透了            
(5星)	 52集的完整版，我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽            
(5星)	 这就好似在你的回忆上撒一把盐啊  不能回忆又忍不住享受            
(5星)	 一帮孙子的无线扯淡，一群屌丝虚度青春，实际上却又映射出无数我们可爱的青春即便不堪，即便回不去，看吧，会有无限感慨的            
(NA)	 白百合，羽凡。。。喜欢那个肆意的年代            
(5星)	 台词            
(3星)	 青春，充满着爱与恨、乐与痛的苦逼的青春，一去不复返……            
(5星)	 灰常灰常喜欢            
(2星)	 当年这帮大院的孩子跟香港的古惑仔也没什么区别嘛，            
(4星)	 社会真是个大染缸，人与人的关系怎么这么复杂。北京人就是嘴贫，一切都是居高临下，目空一切。广州不是一个适合人呆的地方，价值观掉钱眼里，坏人太多。            
(3星)	 那个年代的人  思想和业余生活都比我们开放多了……            
(NA)	 NND太长了。看个开头看个结尾O了。            
(5星)	 青春往事，永远铭刻活力的记忆。            
(NA)	None
(5星)	 因为高洋，所以五星            
(5星)	 矫情的青春            
(NA)	 最爱的            
(3星)	 一段青春的历史，几份爱恨错杂的混乱情缘            
(5星)	 爱死这部片子了~我就是一冯裤子...            
(4星)	 “今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中”             
(4星)	 我一直以为我的生活够狗血的了，看完这部我才知道狗血的是青春            
(NA)	 剧情有点拖沓 但我还是没到最后一分钟就猜不到结局。。我变态的特喜欢捞仔啊！！！            
(5星)	 年轻时方言为什么拒绝李白玲，不是因为他不快乐，怕给不了李白玲快乐，是因为他当时一无是处，比不过李白玲能干。男人的自尊心让他拒绝接受李白玲的爱！            
(5星)	 有时候我们都以为自己已经长大了，其实我们根本不知道什么是爱与被爱            
(NA)	 今天之所以区别于昨天，是因为昨天的感受依然在我们心中            
(5星)	 人为什么总要再失去之后才懂得珍惜。今天之区别与昨天，恰恰是昨天的感受仍然在我们心中            
(4星)	 嘴贫得让人头疼。中间那段很难熬，，累赘了。            
(5星)	 似曾相识，想起了小时候。。。            
(4星)	 那年文章还年轻，一群北京小痞子~            
(5星)	 那时候熬夜看的，家里的台放的，一晚上好几集呢            
(5星)	 最后几集没有看，不想看下去了。友情万岁吧            
(4星)	 一无所知最像神。            
(4星)	 青春，就这样，晃着晃着就过了。            
(5星)	 无关其他，单从青春            
(3星)	 真不觉得有那么好，就觉得比较真实，其他都是莫名其妙的剧情发展，完全不知道为什么在那个环境下某人会那样做。            
(5星)	 very good and like it very much            
(1星)	 如果论娱乐性和可看性，大概可以给4星，但是对于这种教会人在两性关系上故意制造模糊和暧昧的电视剧，从心底是鄙视的。            
(5星)	 力荐            
(5星)	 突然看到宿舍的孩子在看这部片子，才想起高中的时候也跟着热血了好久，与青春有关的日子！            
(4星)	 话说五年前了，看过33天之后忽然想起了这部当时觉得不错的就是文章和白百合            
(2星)	 有一种贱到骨子里下流无耻不要脸还舍不得丢掉的爱，我想大概是吧            
(5星)	 我们的青春就像一个忧伤的小婊子,总是在不要脸的美丽,严肃的不正经着!             
(4星)	 这个片子有点老了，文章和白百何还都不是主演            
(NA)	 文章在这里就显示出实力了  却到出了奋斗才红            
(5星)	 虽然我们是80后 但也找到了共鸣 每一个人青年人的共鸣            
(NA)	 璟  “一起偷幼儿园的向日葵”  我也是记住这句话了  嘿            
(4星)	 好看~16            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中            
(5星)	 怀念            
(5星)	 无聊看第二遍。。。            
(4星)	 至少比赵X刚所有打着青春名号YY的烂片都要靠谱。            
(4星)	 并没那么懂，但是我看到了那段时光            
(5星)	 感触很深的一部电视剧            
(4星)	 结尾怎么不文艺的来个小说家精神分裂？            
(4星)	 其实这个片最后红的就是文章和佟大为……            
(5星)	 那些明晃晃的日子            
(5星)	 狗屎一样的青春却让人泪如雨下            
(3星)	 断断续续看过几集 还可以 一般 那段时候 这种剧真多 每个太都放            
(4星)	 看了两次终于把这部剧看完了，52集真的是太长了            
(5星)	 集数真的是很长~不记得看了多久~台词都很经典。            
(2星)	 照血色浪漫差远了 听没意思            
(4星)	 确实拍得不错 题材更好            
(4星)	 台词很经典啊，很有王朔的痞子味            
(5星)	 不喜欢乔乔喜欢李白玲，方言是爱她的，不然不会做那个梦。            
(NA)	 与你有关的日子            
(5星)	 一群傻啦吧唧的人做了些事儿            
(5星)	 大爱            
(4星)	 往事只能回味            
(5星)	None
(NA)	 感动，不明白为什么电视上要删除一些内容，可能是没有分级的原因吧，给人励志，珍惜生命，热爱生活，从容面对人生的困惑，一部很好的人生教科书，催人奶下。            
(5星)	 “今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中”            
(5星)	 一转眼，已经过去五年了~            
(5星)	 看了一些人对这片子的评价，褒贬不一。我觉得我并不能真正理解那个时代的青年人的生活，但有些东西引起了我的强烈共鸣。这是他们的青春。            
(5星)	None
(3星)	 几个人在瞎贫，有时候看着着急            
(5星)	 52集的长篇巨著终于也给看完了，但是没有如释重负的感觉，反倒是觉得很沉重很沉重。这部电视剧还会再看的，因为每一次看一定会有不同的感悟，而每一次看也都会是我情感的一次泅渡。。。            
(5星)	 我喜欢的，乔乔            
(4星)	 有感觉            
(5星)	 我终究还是要完整看一遍的，会让我想到 阳光灿烂的日子            
(5星)	    我亲爱的兄弟们 你们在哪里                 
(5星)	 看过多遍            
(4星)	 给力台词            
(4星)	 小调调            
(4星)	 卑鄙是卑鄙者的通行证 高尚是高尚者的墓志铭            
(4星)	 电视剧            
(4星)	 我爸妈特喜欢的。。            
(NA)	 刚看完王朔的小说，就觉得貌似看过这个片儿            
(5星)	 虎头蛇尾，但是这就是生活            
(5星)	  叶京            
(5星)	 看完之后，突然有一种苍老的感觉，那个时候也不过十几岁吧            
(5星)	 跟我爸一块儿有一搭没一搭的看了几集  其实我特能理解 我爸 为什么那么喜欢看这电视剧  怀念从前吧。。。            
(5星)	         午后的阳光斜射进她白色的小屋子，干净的窗帘随风飘荡。她轻轻搂着他的脖子，调皮地向他吐了吐舌头。她叫他小爸爸，他是她生命中像父亲一样亲密的角色。他们之间的相遇，因为她清澈的双眸打动了他，也因为他毛衣上干净的味道吸引了她。     故事就这样开始了，她以为会一直被他宠着。但终            
(3星)	 美国往事的剧情  套上   阳光灿烂的日子后传  的皮=2.5    果静林=0.5            
(3星)	 实话说，对那个时代的背景和人物心理真的不是很了解，不知道该怎么评，三颗星仅供参考            
(5星)	 通过《听妈妈讲那过去的故事》发现原来这个片，不错啊~那时文章还没有成名~羽凡和白百合就是在那个时候开始的吧~~哈            
(4星)	 最后几集硬是没看完。真是令人向往的年代。            
(4星)	 导演太瓜皮！            
