http://movie.douban.com/subject/2157150/	少年包青天2
(4星)	 剧情还不错 不过硬生生的把楚楚和包拯给拆散了 - - 哎 第2部里的女的都不怎么喜欢 对金木水火土和最后个案子印象很深 很喜欢那里面的佟大为 ，，觉得王朝蛮帅的 FUFU            
(3星)	 其实我觉得剧情比1好点，但是总觉得陆毅和FBB。。。看起来怪让人不爽的            
(3星)	 有下滑。总感觉陆毅的笑不自然。            
(3星)	 只是看过            
(4星)	 童年的回忆~            
(3星)	 当初好喜欢任泉。。            
(2星)	 没有第一部好看啊……            
(5星)	 泉锅锅是我loli时期的偶像。。。            
(3星)	 可是不抄袭后 就不好看了。            
(4星)	 破案的还是挺好看的            
(3星)	 一直都很受不了陆毅的长相            
(3星)	 其实公孙策瞎了反而看到得更多了。想念周杰啊。话说少年就风流么，前缘未了，又犯桃花？            
(3星)	 终于不用看鼻孔杰了！！哦耶！            
(4星)	 太多个版本了， 不过周杰和陆毅都是蛮不错的，小时候有时看这个会怕怕的            
(5星)	 主角换了，悬疑依旧            
(4星)	 还行了没1好            
(4星)	 古装版柯南            
(3星)	 陆毅演的不如周杰            
(5星)	 我们跨年那天看的！！！            
(NA)	 那时的流行            
(4星)	 小时候很喜欢的！~            
(4星)	 知足吧..和第三部比也算优质            
(4星)	 这个也是小学的大爱            
(4星)	 任泉。            
(4星)	 我是冲着任哥哥去的……            
(5星)	 陆毅 我小时候最迷他了 他演的都看            
(4星)	 尔康！人类已经不能阻止你了！            
(3星)	 还是第一部好啊            
(2星)	 败笔。。。            
(3星)	 还是第一部好看，陆毅演不出包青天的感觉。            
(3星)	 谁让他是推理剧            
(4星)	 这版还行~            
(3星)	 这个。。包拯那形象。。至今仍不大能接受Orz。。            
(3星)	 第二部没有教主了，给回三星。            
(3星)	 没有一里面的案件好看，但是任泉很有爱啊            
(2星)	 它不该存在的            
(2星)	 陆毅虽然比张杰顺眼，但是剧情过于雷人。            
(3星)	 陆毅接班接的不错            
(4星)	 陆毅貌似还不如周杰            
(2星)	 公孙策真是……            
(3星)	 女主从一个冰冰到了另一个冰冰            
(3星)	 续集貌似就不敢期待            
(1星)	 陆毅真的很难看。。            
(4星)	 better            
(3星)	 那时候还挺喜欢范冰冰的，现在啊            
(3星)	 还是一样，换了男主女主而已。            
(4星)	 还不错吧。。。。            
(2星)	 不知道是赖陆毅的演技还是编剧，跟周杰的比差远了。            
(2星)	 不知道是剧毁了陆毅还是陆毅毁了剧，总之是杯具            
(3星)	 觉得让陆毅来演我就是接受不了，可能因为第一部先入为主了吧            
(NA)	 噗            
(3星)	 没第一部好            
(5星)	 最喜欢的少包，无论是陆毅，任泉还是释小龙            
(3星)	 幸好还有任泉对吧？？三部《少年包青天》，我最不喜欢的是第二部！！            
(3星)	 不如周杰的            
(3星)	 没第一部好看 = =+            
(1星)	 因为陆毅 减了2星            
(5星)	 陆毅演包拯也超赞！            
(4星)	 当初爱死这部剧了。我爱公孙策哦耶耶~            
(3星)	 还是那个包拯。            
(5星)	 陆毅涂黑脸不好看            
(1星)	 居然有这么白的包黑子            
(NA)	 哎，那是的李冰冰            
(5星)	 想当年啊            
(3星)	 感觉没有第一部好看            
(4星)	 三部里最喜欢的。。            
(1星)	 抄唉抄啊，越抄越得瑟            
(3星)	 第二部漸走下坡路            
(4星)	 有些东西得懂了才能看懂！（。……小时候我老喜欢这个了一放假就不断找重播……喜欢公孙策            
(3星)	 太吓人了...小蜻蜓她义父...我心理阴影了好几年            
(5星)	 从那时候的心态来讲，就是五分。            
(2星)	 每一个故事都是牵强牵强牵强。            
(4星)	 比起第一部略有一点逊色            
(4星)	 刑侦剧最吸引人了            
(4星)	 喜欢上了任泉            
(3星)	 永远不变的黑炭和公孙策展昭，每部一换的女主。。。加上柯南似的剧情…            
(3星)	 不得不说还是周杰的第一部正常一点，不过小范真是超级美            
(1星)	 我要周杰版的！！！！！            
(2星)	 这不是乱来呢么= =            
(3星)	 小时候是个片儿就觉着好看            
(3星)	 给任泉            
(3星)	 就记得当时觉得陆毅演包青天，太秀气了些~~            
(3星)	 陆毅太不包青天了，倒是很公孙策            
(4星)	 陆香香很漂亮很活力，为何不红……            
(2星)	 好在没有了周杰和李冰冰，但陆毅和范冰冰其实也强不到哪去。            
(3星)	 印象裏好像沒有第一部好            
(3星)	 还是对悬疑啊推理什么的比较感兴趣            
(3星)	 第二部就开始凑合了~            
(NA)	 。。。。。            
(2星)	 比第一部难看不少             
(4星)	 看的那时候真的很喜欢。。。            
(1星)	 不知道为什么，很讨厌这部            
(2星)	 不如一啊            
(2星)	 整个电视剧的风格都很阴郁，不喜欢。不喜欢陆毅版的包青天，也不喜欢佟大为演的皇帝。            
(4星)	 第二部不怎麼好看 但是公孫美人依舊很萌            
(4星)	 这种破案还蛮好看的            
(3星)	 2的演员实在是难以接受呢。除了公孙和展昭。@Home            
(4星)	 比较靠谱  。 比起三。             
(1星)	 三部里面最烂的            
(4星)	 小时候喜欢看，虽然很假            
(3星)	 比第一部差远了            
(4星)	 展昭萌            
(5星)	 当年很帅的陆毅。还有任泉。现在都老了。            
(4星)	 难得的国产推理。。            
(3星)	 悬疑还算不错。曾经的小龙如今何在。。            
(2星)	 金田一的剧情再现了            
(4星)	 没第一部好。            
(3星)	 接着第一部就那么看下来了。。            
(3星)	 哦，策啊~            
(5星)	 喜欢这里面的小展昭的，不过真希望他没长大            
(2星)	 狗尾续貂            
(3星)	 一如既往。            
(4星)	 一边害怕一边看，一边看一边害怕。。。            
(5星)	 前面那几部都挺喜欢的            
(3星)	 虽然周杰那人让人很不爽，不过他演的第一步到现在本人还觉得是最好看的            
(3星)	 陆毅比那个傻逼演的好 显然的额             
(3星)	 陆毅版的包大黑真是够了……            
(3星)	 如果说周杰的包拯是雪碧，陆毅的包拯就是白开水。            
(4星)	 还是喜欢公孙策            
(3星)	 我觉得还是周杰演得好            
(4星)	 破案的基本都看。            
(NA)	 刨去人品不说，周杰强很多啊 ...            
(3星)	 这里头的陆湘湘也不错哦。不知道怎么的就没出现了            
(3星)	 没有第一部好看了            
(4星)	 啊，换了个包拯，味道都变了，还是重播率很高呀。            
(3星)	 远远不如第一部啊~            
(2星)	 我不喜欢里面胖胖的包青天            
(4星)	 为什么分这么低  推理蛮好的。。。。。。            
(3星)	 因为任泉            
(3星)	 同一            
(NA)	 当恐怖片看的            
(3星)	 不喜欢这里头的FBB            
(3星)	 没看完整，但没第一部震撼            
(5星)	 喜欢推理啊            
(3星)	 偶灰常不能适应释小龙长大额卖相啊..            
(3星)	 凑合吧            
(5星)	 大爱！！！            
(3星)	 这部时就看任泉了            
(3星)	 包青天疲劳了。。。。不过结尾曲很不错            
(3星)	 感觉推理没有1精细，得出的内容结论什么的貌似全是别人通过人际关系搞到的。。            
(5星)	 我爱各种少年版的戏。            
(3星)	 当时看还挺害怕的            
(3星)	 确实没有第一部好玩。。。不甚严谨            
(NA)	 原来我喜欢公孙策~~~            
(2星)	 不如第一部            
(3星)	 陆毅你演包青天太奶油了吧            
(NA)	 都是为了看包拯搅基看的            
(2星)	 你若觉得他不错，就去看第一部。你若觉得他太烂，就去看第三部            
(4星)	 超z1用~            
(3星)	 包青天真多= =            
(NA)	 很不错，三部都好看            
(4星)	 当时 怎么会超爱 周杰呢            
(3星)	 记忆中的。。。            
(NA)	 戒色            
(4星)	 我对此类推理的东西来者不拒            
(3星)	 展昭同学也开始有感情戏了。            
(3星)	 这部没啥存在感。。。            
(3星)	 没有第一部的震撼了            
(4星)	 范冰冰第二部好美╮(╯▽╰)╭            
(2星)	 讨厌陆毅，唯一发现范冰冰这么美了。            
(2星)	 这个包拯实在比周杰差远了啊~周杰都飘逸，陆毅那胖的...            
(5星)	 经典。            
(4星)	 持续破案            
(4星)	 喜欢任泉演的公孙策~            
(3星)	 陆毅演的不如周杰            
(3星)	 tv            
(3星)	 后来越来越不待见周杰了 陆毅还行            
(3星)	 没什么记忆了            
(4星)	 重温到第二部了……=。=            
(3星)	 虽然不喜欢周杰。但还是喜欢周杰演的包青天。            
(5星)	 我喜欢  推理 推理  范冰冰也不错啊            
(4星)	 原来我硬是觉得周杰帅的。 瞎了眼的。            
(3星)	 第二部也就一般般了！            
(NA)	 还行。貌似那时候冰冰姐还处于胡乱接戏的时期。            
(2星)	 你不适合            
(4星)	 案子不错，人太挫。            
(5星)	 虽然起码看过两遍了，案情都知道了，但再看还是那么让人热血澎湃！尤其是最后的变天阴谋，so wonderful~~还有范冰冰在里面的扮相怎么那么好看~            
(4星)	 奶油 巧克力            
(3星)	 最不喜欢范冰冰            
(5星)	 正在回味            
(3星)	 陆毅看起真傻 不喜欢            
(4星)	 没有第一部好看呀~~~周杰的包黑炭深入我心~~~            
(3星)	 继续抄,有出息没得?!            
(3星)	 没第一部好看~  陆毅好胖啊            
(4星)	 好看是好看，就是不太敢看            
(4星)	 很小的时候看过，现在又重新看，还是很感动的            
(3星)	 喜欢破案片            
(2星)	 新演员都作的不行            
(3星)	 陆毅比那个傻逼演的好   显然的额            
(3星)	 陆毅的包拯也没比鼻孔君差，反正就这么个套路，金田一那抄点剧情回来扩充一下又是电视剧一部            
(4星)	 第二部里出现了我最喜欢的“星女郎李卉”。            
(4星)	 整个系列的萌点都是包拯和公孙策的JQ……囧            
(3星)	 铁打的任泉流水的包青天            
(3星)	 我还是喜欢周杰的包嘿嘿。。            
(3星)	 这是个美男集聚的片子~陆毅~任泉~释小龙~            
(4星)	 任泉的公孙策是我最爱~            
(3星)	 追过追过            
(4星)	 也不错，虽然没一好看            
(3星)	 矮矮的陆毅？            
(2星)	 还不抵周杰的呢。            
(2星)	 GJM again            
(2星)	 为什么不再周杰一回            
(4星)	 赞            
(3星)	 从金田一变成了柯南，失望            
(3星)	 看得多了，其实就是一个套路，觉得没第一部有意思了。            
(3星)	 那一个个透着乡土味道的离奇案件哟            
(3星)	 也就看到2            
(3星)	 没第一部好看了。            
(4星)	 故事不错 就是某些演员演技不是很好            
(3星)	 不比第一部，还是周杰演的好            
(3星)	 电视台的轮回剧            
(3星)	 第一部好看些            
(4星)	 喜欢推理的片子            
(4星)	 任泉任泉~~            
(3星)	 周杰演的深刻            
(3星)	 不喜欢范冰冰            
(4星)	 初二每晚连播4集看完的，当时还不敢一个人看，硬拖着爸爸妈妈陪着一起，结果他们都睡了，我还一个人抓着被子偷偷看着。虽说有抄袭的成分，但小时候还是很喜欢的！            
(3星)	 鼻孔2            
(2星)	 推理...唉...            
(3星)	 还是少抄点吧~唉，无语            
(3星)	 还是觉得周杰演的包拯比陆毅的更好            
(4星)	 小蜻蜓的印象深刻            
(1星)	 选错主演啦            
(3星)	 喜欢1            
(5星)	 终于·····看陆毅顺眼了·············            
(3星)	 不如看柯南            
(4星)	 陆毅的古装 哎            
(3星)	 我觉得第一部更好看            
(3星)	 纪念下我看过            
(2星)	 这么无聊的也不多的            
(3星)	 展昭是越老越丑了 哭            
(1星)	 = =第二部是悲剧            
(3星)	 不喜欢陆毅的一本正经            
(2星)	 就这部最难看。。。            
(4星)	 算是不错的内地电视剧了。            
(3星)	 我想说的是，看到这部播放的时候我囧了不只一两天，第一感觉就是，怎么老包越来越年轻了。噗……明显没有第一部好看了，还是有抄袭的内容的吧？这部。            
(3星)	 哎看演员完全是这个版本的美丽。陆毅范冰冰迷死我了。            
(3星)	 没第一部好看            
(3星)	 还是公孙美人。。。            
(4星)	 释小龙不错            
(4星)	 范冰冰在这里面很漂亮，陆毅太装酷了            
(3星)	 浓缩进15话结束就好了            
(2星)	 换一个人给多一颗星            
(4星)	 当时肯定都会看吧，等待一个个谜底揭晓            
(2星)	 抄襲扣分            
(NA)	 其实我还是喜欢周杰演的少年包青天……陆毅不像……            
(3星)	 没一好，我看不惯陆毅            
(3星)	 还是更喜欢1            
(3星)	 还是觉得第一部最好看啊。。。            
(3星)	 无聊的时候。。什么都可以看看~~            
(3星)	 猫鼠正太版！            
(3星)	 这个包公要减肥            
(NA)	 陆毅比周杰好看            
(5星)	 比第一部理性了很多了            
(NA)	 觉得比第一部好            
(4星)	 下坡。            
(4星)	 任泉真是适合演那种傲气的公子哥的角色呢! 请容我花痴下 别扭冰山太有爱!            
(4星)	 好。            
(4星)	 那時候超迷這戲            
(3星)	 说书的            
(3星)	 不喜欢范冰冰。。            
(3星)	 随便看看的            
(4星)	 公孙策！            
(3星)	 比不了第一部            
(3星)	 凑合能看            
(2星)	 原创你就没辙了            
(4星)	 铁三角还是很吸引人的            
(3星)	 老包老是换角            
(3星)	 挺傻但挺好笑的XD            
(NA)	 呃            
(2星)	 到了第二部，开始抄袭了。。。。            
(4星)	 周杰版比较活泼，陆毅版比较沉闷，还是公孙策最好。            
(3星)	 其实还是有点怕。。。            
(2星)	 电视剧的续集想来都是狗尾续貂            
(4星)	 四个主演都蛮喜欢             
(3星)	 陆毅不适合。。            
(2星)	 唉。还不如第一部类            
(1星)	 山寨都不算了            
(3星)	 陆毅演得胖胖的。。。            
(3星)	 就是没有周杰高大威猛！            
(4星)	 我爱公孙策。            
(3星)	 5            
(2星)	 很讨厌范冰冰            
(3星)	 ……为了自家所爱还在这里面……我忍了……所以到第二部之后也就完全不看少包了囧RZ            
(2星)	 。。。陆毅呀陆毅，怎么能接着么弱的片子呢            
(3星)	 2不及1            
(3星)	 还是周杰演的好            
(3星)	 第二部总是比第一部差些            
(3星)	 换过演员的续集总让人感觉怪怪的            
(2星)	 陆毅你怎么不去屎……            
(2星)	 剧情俺就不吐槽了······            
(3星)	 陆毅有点傻            
(3星)	 没有什么人可以阻止我喜欢推理剧就像没有什么人可以阻止我讨厌范冰冰            
(NA)	 挺好看的。            
(2星)	 奇葩待发芽 时刻还未到            
(4星)	 一直就怕死人……挺恐怖的。。。但中间小公主啥的那段不喜欢……            
(NA)	    看过了。。。。            
(3星)	 模仿的越来越差了            
(4星)	 向来很喜欢推理片子，从福尔摩斯到柯南，呵            
(4星)	 不错，至少当年的我很喜欢看。            
(3星)	 完全模仿金田一的桥段            
(3星)	 很多都是抄袭金田一的案件            
(NA)	 喜欢            
(3星)	 柯南真人版            
(NA)	 剧情严重抄袭。。            
(1星)	 哇哈哈...陆毅才是货真价实的大陆版史蒂芬席格...            
(3星)	 比起经典老片包青天，我更喜欢这个            
(2星)	 最讨厌推理片里扯上太多爱情了。            
(NA)	 超喜欢的~顶~            
(4星)	 比较喜欢任泉            
(2星)	 凑合            
(NA)	 好好看咯，现在又痴迷了！            
(NA)	 喜欢！            
(NA)	 这部比较好看            
(3星)	 其实我比较喜欢释小龙的。。            
(4星)	 也还不错            
(3星)	 这回俩主角长相都不错            
(3星)	 陆毅的做作表演毁了整部戏            
(3星)	 当时看的时候还有点怕哎，看多了就觉得都差不多了...            
(3星)	 陆毅演这不大行...            
(NA)	 更无语～～            
(5星)	 同上            
(NA)	 包二            
(NA)	 2001年            
(3星)	 小时候觉得好好看。真的好好看。            
(NA)	 不如第一部。            
(5星)	 都看过的哦            
(3星)	 还好            
(2星)	 都是剽窃别人的            
(NA)	 少年包青天，顶！            
