http://movie.douban.com/subject/4914642/	回家的诱惑
(3星)	 真的只是为了看下迟帅。。哎。。。秋姐姐真的很漂亮。。但是我见不得这漂亮的。。            
(2星)	 打麻将的时候顺便看了几眼，狗血密集度比原版高多了～            
(1星)	 看看凌潇肃演了个神马玩意            
(3星)	 昨天看第一集。老凌实在不上台面，长相气质举止都不像贵公子；倒是两大美人挺有看头，李彩桦演的心计女颇好，秋瓷炫也是天然系，养眼。不足在于李彩桦的服饰很像地摊货，希望服装方面能多下功夫。            
(1星)	 这一颗星是给迟帅的，我是打酱油看迟帅的！小时候看他主持的儿童节目呢~兔子牙~            
(2星)	 好像看这个剧啊，就是那种受尽欺辱的女人完美变身后大反击的剧情。            
(1星)	 猜不中结局丫            
(3星)	 接档《宫锁心玉》            
(1星)	 看到芒果台每天不停的介绍，已经无力吐槽了~看到凌潇肃一脸苦逼的说 XX虽然很好，可结婚的这五年确实腻了烦了。我已无语凝噎，嘤咛一声抬头看天花板内牛满面作奔走相告状~~~            
(2星)	 不想多说啥            
(5星)	 李彩桦            
(NA)	 。。。            
(3星)	 不喜欢凌潇肃。            
(NA)	 擦 我堕落了 连这个都不放过            
(3星)	 抄的还算彻底。            
(3星)	 真尼玛狗血。。。            
(2星)	 中国就会抄            
(3星)	 为所有爱执着的痛♪            
(2星)	 就是气人玩的这剧            
(NA)	 。。。。。。。。。。            
(NA)	 虽然我是很反感 翻拍别的国家的还不如别国家原来的作品但是我相信我国的电视剧的未来，在翻拍中进步~            
(1星)	 就把棒子的妻子的诱惑照搬过来也还那么垃圾            
(3星)	 为题材。            
(3星)	 = =            
(2星)	 无聊原著给力            
(3星)	 男主人公本色演出~            
(2星)	 真是长啊            
(3星)	 仅仅勉励            
(1星)	 任何一眼都能引发胃疼            
(2星)	 2012春节陪老妈看了一些。之前有几部是剧情差不多的，所以比较反感。被小三整得家庭支离破碎后回来复仇，牺牲了那么多，直到看着之前不珍惜自己的人后悔的表情，那种心情我不知道怎么说了。            
(3星)	 看来消遣的电视剧嘛，就不要那么苛刻啦~~~ps：看了很久才反应过来里面那2b男主角是凌潇肃==!            
(3星)	 我居然看完了            
(1星)	 剧情很狗血            
(1星)	 就是中国版 妻子的诱惑            
(4星)	 我疯了一样地陪着妈妈没日没夜地看啊看，只能说故事好长，很复杂啊。            
(1星)	 垃圾            
(2星)	 没错这片儿红了，伴随着《无法原谅》成了新一代恶俗的代名词，明明收视率那么高，高到我下晚自习回家一路上都听到路边馆子里马桶台的片头曲响起……可是它还是这么不受待见。人们兴致勃勃地看了，看完骂了。            
(1星)	 为什么总有种寒酸的感觉，噗            
(1星)	 恶心的芒果剧、、、、、、、            
(NA)	 怪我手贱，不小心转到华娱台。恶心死谁！            
(4星)	 挺好的，挺有吸引力 的            
(1星)	 垃圾中的战斗机            
(1星)	 真没觉得哪好看，为啥这么火。            
(2星)	 完全抄袭，有啥意思            
(3星)	 这里面的小三是一个比一个厉害，一个比一个狠，老人们都喜欢扇耳光            
(4星)	 这部电视剧我看着格外有味，竟然觉得还不错······            
(3星)	 ........陪麻麻看的。。。            
(NA)	 鄙视凌            
(NA)	 芒果台为中国人民制造的文化产物            
(2星)	 这充满泡菜味的山寨片啊苍天……            
(3星)	 完全抄袭韩版的妻子的诱惑，演的还很怪            
(2星)	 什么J8剧情，狗血            
(3星)	 在宝山拍的~~            
(2星)	 明知脑残还看下去了。。。            
(2星)	 山寨且制作粗糙            
(2星)	 扣鼻，雷人!            
(1星)	 周末陪老妈看的……咕……神马剧情啊神马演技啊……无力吐槽啊            
(3星)	 女人打扮有多重要～            
(1星)	 室友看的时候我一直有砸电视的冲动            
(2星)	 这么烂的片我都坚持看完了，可见我有多无聊……            
(2星)	 纯粹我脑子发烧。            
(5星)	 高三我和熬姐看的超爽啊 哈哈哈            
(2星)	 一集就看不下去了            
(3星)	 秋瓷炫            
(1星)	 麻麻说，擦！copy&lt;妻子的诱惑&gt;是闹哪样啊！！！【我说老妈，您还不是一集不落的看完了啊！！！！！            
(2星)	 磨叨 讨厌凌肃潇……出差没事干天天跟着看……            
(NA)	 = =            
(3星)	 简直了。。。。。竟然能陪老妈看完这剧= =#            
(2星)	 长到我实在看不下去了==太纠结了…………            
(1星)	 宿舍人看光听动静就快疯了··            
(3星)	 后来扯淡！            
(1星)	 垃圾 請讀 樂色            
(1星)	 好好在韩国呆着吧，中国不适合你。            
(3星)	 其实这个还行啦            
(NA)	 最傻逼好么            
(NA)	 盗版韩国的。            
(1星)	 马桶台山寨片又一力作            
(4星)	 真是一部既狗血又精彩的大戏。            
(1星)	 其实我挺不想承认我看过这个剧····            
(2星)	 真能省钱啊。。。租几个场地房屋。。。请10几个演员。。。所有剧中人的照片都是PS的。全家福都P在一起的。。。能不能再省点儿啊？？非常经济的廉价电视剧，钱全用在请各地演员上了。。。其余的能省则省，估计现在不知道多少倍的赚回来了！！非常有经济头脑啊~~~            
(3星)	 卧槽 凌潇肃            
(NA)	 就一帮没看过妻子的诱惑的老太太们来说已经挺不错的了            
(1星)	 难得回一次家,却每天晚上被迫和妈妈一起看...好苦逼.凌潇肃毫无演技可说,而且凶巴巴.你根本配不起姚晨姐.            
(NA)	 搅得我家人不得安宁的破肥皂剧            
(1星)	 挺使劲            
(3星)	 凌潇肃的绯闻看点要比剧集精彩得多，抄袭也太脑残了吧，就不能自己改点剧情啊，原版照抄有什么意思，有钱没处花了还是怎么的？！！！            
(2星)	 真狗血 真白癡啊  還好有李彩樺可以支撐著看下去            
(2星)	 本来很喜欢张瑞希啊，可是，竟然有这么奇怪的翻拍啊。。不过一星给这么有中国味的人咯。。。            
(2星)	 尼玛晚饭时间只有这个再演啊！！！尼玛只能看这个啊！！！！            
(1星)	 太tm山寨了~~            
(2星)	 剧情完全照搬也就算了，问题在于编剧在严谨性方面根本完全不考虑。能不能不要这么假？？？？？            
(2星)	 看小三怎样折堕落。结局太假了。            
(2星)	 雷哇            
(2星)	 啧啧啧姚晨前夫长得太丑了。我把它当励志片看的。            
(3星)	 为看复仇，爷终于用两眼看三分钟的速度看完了。。            
(3星)	 剧情很好，但是细节处理得太烂了，为了剧情的发展而乱来            
(NA)	 虽然这个片很垃圾  但我依然很喜欢凌潇肃             
(4星)	 结局真TM不和谐····            
(NA)	 山寨            
(3星)	None
(1星)	 半星 这是什么啊啊！ 任务剧情演技都不上路            
(4星)	 拍的还算不错，喜欢上秋瓷炫了，觉得不比韩版的女主差。李彩桦演的也很好，凌潇肃演的很贱，不知道是因为和大姚离婚讨厌他还是演的让人讨厌。姗姗我真想煽她。balabala            
(3星)	 大陆演员演技很差，韩国美女们都是一个样子滴....烂编剧，烂戏码....还好就做饭的时候大厅播了一下下....orz...            
(NA)	 我是十一回家的时候跟家人天天晚上坐电视机前看的.             
(4星)	 这翻拍的还不错哈。            
(5星)	 連我阿媽都話好體 點可以唔比5粒星啊~~~            
(4星)	None
(2星)	 这个剧组唯一干的像样的事就是找了凌潇肃本色出演【尼玛凌潇肃这个名字真难打！】            
(1星)	 逻辑很成问题一颗星是给秋瓷炫的            
(3星)	 这年头编剧的钱真好赚。叫你抄叫你抄。             
(4星)	 虽然高仿妻子的诱惑，不过还是能告诉了观众许多的一部片子            
(1星)	 被媳妇儿逼着看了几集，真是烂啊，剧情弱智，剧中人都一个个的欠抽！也就是秋瓷炫漂亮点，否则我早吐了            
(2星)	 啧啧啧啧啧啧......            
(3星)	 品如重生后实施复仇计划的那部分演得还是挺好的            
(4星)	 对这种狗血剧 无法拒绝            
(2星)	 十一太无聊，以致看了这部烂剧，边看边骂            
(1星)	 不小心看到了，恶心。            
(3星)	 好拖沓啊。。。原来演洪世贤就是凌潇肃。。。为什么文彦不能和离开他妈妈呢，和品如在一起就好了，不是皆大欢喜么            
(4星)	 也不知道怎么了觉得还不错看            
(1星)	 果然是韩国人，我猜对了            
(2星)	 又是没营养的爱情片...而且结局巨变态...可是还是看了...=A=            
(NA)	 剧情不错            
(3星)	 品如哥哥品如哥哥，哈哈~            
(3星)	 泡沫啊            
(NA)	 我就很喜欢看 觉的演的很好呀，尤其是女主演             
(1星)	 收視率高的原因在哪點？？            
(2星)	 脑残的编剧，还是看妻子的诱惑吧            
(1星)	 我靠，看了三集，如此狗血，毫无逻辑和常识！忍不住自虐式地在网上把72集剧情简介看完，直接喷血，内流满面....世上竟有如此烂片，悲乎哀哉            
(3星)	 秋瓷炫的气质很美            
(4星)	 68集有点长....  迟帅不错~            
(2星)	 如此苦逼            
(3星)	 哈哈哈 买碟劲儿劲儿看完了            
(1星)	 改编，至少做个样子吧。            
(NA)	 没有完整看过一集，却一起看过很多片段，听他讲了大部分剧情。            
(3星)	 我不挑食。。只要不是太差。。我都还是能够兴致勃勃地看下去的。。。只能收可以看。。。就当打发时间吧。。。            
(1星)	 orz，竟然是小神龙俱乐部的迟帅，好好主持少儿节目当小朋友们的迟帅哥哥不是很好吗？掺和什么脑残偶像剧啊。            
(3星)	 感觉 无限长啊            
(2星)	 韩导！！！！回忆有木有啊！！！！            
(2星)	 山寨山寨山山寨            
(NA)	 我妈的最爱，那段时间每天都看湖南卫视，连广告时间也不错过。            
(1星)	 我了个擦，这片子太他妈脑残了，又闹腾，那个真的高珊珊除了乱喊乱叫还会干点嘛?为嘛妈妈妹妹都这么喜欢看呢。。。 = = 太刺耳了。。。            
(3星)	 是的，我又看了一部较完整的爱情剧            
(2星)	 快进看的，又臭又长又臭又长…            
(2星)	 洪少的苹果手机，哈哈哈哈            
(NA)	 断断续续看过几集            
(4星)	 没看过原剧。。觉得还可以啊~            
(3星)	 能有多惨就有多惨吧。。            
(NA)	 爱成恨，终究绝望。爱、恨、情、仇、恩、怨、生、死……一波三折的剧情很迭宕，爱情阴谋的过程很揪心，一个葬礼两个婚礼的结局很温暖。最点睛靓丽的角色是宝莲（郑亦桐），假痴真明的活跃了整个剧。雷佳音饰演的“品如哥哥——林奕德”表演也极富感染力，这都是之前在杭州策划话剧《武林外传            
(2星)	 编剧脑残            
(4星)	 把人看的牙痒痒呢、、凌霄肃真是丢了西安人的脸呢、、、            
(3星)	 为所有爱执着的痛，为所有恨执着的伤。            
(3星)	 我喜欢看复仇戏码，秋瓷炫也的确有气质。但是能不能别这么咆哮，剧情能不能别这么搞。整个电视剧看下来觉得唯一正常的人是洪世馨。            
(3星)	 和妈妈一起看到，狗血到不行，适合煮妇们看~            
(1星)	 烂            
(1星)	 陪奶奶看的。国产电视剧，您妥妥的了！            
(2星)	None
(1星)	 ...陪着我爸痛苦的看完这部.........妈的洪世贤长得这么挫，为什么女主角和女配角......你们..眼瞎了吗！！！！？？？？？            
(2星)	 噗嗤！            
(1星)	 我居然全看完了。。。哈哈哈哈哈哈哈哈            
(2星)	 还是不喜欢狗血的东西            
(NA)	 我妈妈看 我打酱油            
(3星)	 湖南电视台还真是不要脸。先放自己的山寨剧再放本来的韩国版，弄的跟别人抄你的一样。凌霄肃真是不仅演的不要脸，现实中也不要脸，就靠姚晨火  哎 不要脸到极致   大年龄的妇女都喜欢看，后面连我爸都喜欢看！！我无语中沉默            
(3星)	 分怎么这么低，没有那么差吧            
(2星)	 跟韩版的没法比，为什么要翻拍            
(4星)	 两个女主角的演技真不错。李彩桦演的角色艾莉让人感受到真实的气愤，和反感，但也算是成功的演绎了这个角色。而品如锐变成为高珊珊，一个独立自信的女性，也算是非常成功的，同一个人，演出了完全不一样的气质和感觉。但是68集太长了，情节不够紧凑，有点拖拉，这也是中国电视剧的一大特点吧。            
(4星)	 哎哟。我喜欢的变身报复剧啊！            
(4星)	 复仇片都喜欢            
(2星)	 跟着家人看的,凑热闹为主            
(1星)	 矮油~雷死我了~可谁让咱出门在外没带电脑呢？            
(2星)	 拖泥带水。虎头蛇尾。男主角声音很难听。            
(1星)	 女主角那么丑。。。改造了还是敌不过李彩桦啊。而且其他配角也好挫……和韩剧的角色差十万八千里……俊男美女一抓一大把，怎么偏偏挑了这帮歪瓜裂枣（李彩桦除外）            
(2星)	 真是越烂越看啊            
(3星)	 女主声音像叫春            
(1星)	 情节模仿的很烂。。。不合逻辑的部分太多。            
(NA)	 好诱惑。。颤抖吧            
(1星)	 山寨狗血的大汇集，芒果你为什么偏偏这个时候引进？            
(3星)	 估计看过的人都不承认，不然评价的怎么这么少            
(NA)	 全程是聽完的            
(NA)	None
(1星)	 ！！！！！！！！！！！            
(1星)	 = = 我想说导演不会找演员！！            
(1星)	 山寨的诱惑。            
(2星)	 我妈看的时候看了一点，俗套的剧情和男主的演技使我不想再多看一眼和多听一秒它的片头曲            
(NA)	 在东阳时看了30集，没想到总共有60集那么多的啊，到30集时就已经觉得越看越没意思了，更何况有60集之多啊  2011-7-18            
(3星)	 复仇后就该结局了……            
(1星)	 我好喜欢下面那些颇具喜感的评论。            
(1星)	 烂片~！！！！！！就陈宝莲演的还不错~！！！！！            
(1星)	 烂剧情加上搞小三的凌潇肃，给你零分            
(1星)	 山寨到渣都不剩            
(1星)	 2011年年初看了局部~~好难看!!!!!!!!!!!!!!姓凌的神马演技            
(3星)	 故事是不错的，只是演员演技真的是太差了。选的演员不行啊~            
(4星)	 芒果剧特色，特山寨，猛被批，收视高。。            
(NA)	 好看            
(1星)	 为什么当时到处都是这部剧啊！            
(NA)	None
(1星)	 主题曲把我雷到了            
(3星)	 虐。。。。。。。。。。            
(3星)	 = = 我现在才看完            
(NA)	 我真不想承认我看过这个烂剧 烂透了！！！凌潇肃啊 真是讽刺~一个说韩语 一个说粤语 一个说国语 你们这戏拍的真是辛苦喏 狗男女就该死！！！小三必死！！！            
(2星)	 这个就有点了~~~            
(4星)	 配乐还行，剧情狗血。            
(4星)	 怎么评分这么低啊。。。            
(3星)	 对林品如的着装还有包感兴趣，典型职业女性，当教师也能这样穿吧，模仿了~            
(3星)	 抄袭呀么抄袭= =            
(2星)	 部分演员演技受不了。    但这部电视剧也说明了某个满深刻的道理。            
(1星)	 这是大陆拍的最烂电视剧了，可能还有更烂的，但现在非它莫属，炒作的很厉害，但与实际播出效果差太远。            
(4星)	 生活中有太多的诱惑，可是有几个能抵住呢？不是爱情出了问题，而是都任性的不想克制自己的感受，哪怕是一点点。            
(3星)	 姐无聊地都在看这个片子了=___=            
(4星)	 如果还有来生，我一定要早点遇见你。            
(2星)	 讨厌高珊珊那个演员，演技太差，嘴都歪了            
(1星)	 真他妈蛋疼的电视剧。。。            
(2星)	 唉唉~和妈妈一起看的。。唉唉。。好琼瑶。。            
(3星)	 看在漂亮衣服的份儿上，多给一颗星星吧。            
(NA)	 因人离婚事件而大热的抄袭剧。我倒是蛮喜欢迟帅饰演的高文彦，理想型男。            
(1星)	 本来是想看完的 但是太狗血了受不了 那个坏人都会把坏写在脸上么 凌潇肃简直就是一黑幕什么都没表情绝对是本色出演            
(3星)	 纠结            
(NA)	 还好            
(3星)	 芒果台，我真的不知道说你什么好了            
(1星)	 专门来看高人评论的，本剧能把人恶心死。            
(5星)	 啊~~~神剧啊...            
(NA)	 别一出轨被抓包就拿我只是犯了所有男人都会犯的错误当令箭 凌潇肃你真是把回家的诱惑 续集延续到生活了            
(4星)	 秋瓷炫的演技可见一斑            
(2星)	 三个家族的爱恨情仇，挺复杂的。怎么会有那么有心机的女人，太可怕了。里面的很多场景太熟悉了。            
(2星)	 终于看完了，里面的女人好声嘶力竭，要不是一不小心看了个开头，我还真没兴趣看完~~~            
(1星)	 抄袭。拖沓。狗血。无聊。问题是我还追完了。哦买疙瘩。            
(3星)	 还行吧。反正那会，我娘天天晚上看，我就跟着凑热闹看看。            
(3星)	 部分情节不够合理，结局略显草率，秋瓷炫依然是大爱，姑且三星~            
(3星)	 生活片，与现实结合，有些不合逻辑的情节，但也揭露了社会的一些阴暗面，结婚后从，丈夫和妻子在外面外遇的情况。            
(4星)	 秋瓷炫            
(2星)	 世贤和艾丽你们要好好地 TAT            
(1星)	 只能看这个了            
(1星)	 电视剧之类的最恶心了            
(3星)	 湖南卫视营销的水平绝对是一流的，多好多烂的片子都能创造收视奇迹。            
(2星)	 额~就那样吧~            
(NA)	 太衰了。。。还是勉强看完了            
(NA)	 做女人就应该像品如后来那样！！！！！！            
(2星)	 狗血。。。不过迟帅长得很像我哥。。。            
(4星)	 放松时看下，还是挺不错的，全当是消磨时间了！            
(3星)	 喜欢夏台凤            
(2星)	 电视里放什么我就看什么，跟着老妈看            
(3星)	 骂声很多,但不可否认,还是不错的.            
(3星)	 。。。            
(1星)	 又尼玛是苏州台三更半夜N集连播什么的……(▔/﹏\▔)            
(4星)	 为了一个男人，女人的不择手段，这个世界真是恐怖！随着时间的流逝，才会明白，只有在失去之后，才会骤然发现，最爱的原来是已经错过的！即使再遇见一个人的时候，看到的，是曾经她的影子，只是一切早已逝去不再了……             
(NA)	 独立的女人，才不会被社会淘汰掉。            
(NA)	 湖南台就是湖南台呀，莪喜欢。不在沉默中死亡，就在打击中爆发。品如，爱你、、、            
(3星)	 打发时间时候看的……            
(4星)	 说真的，比妻子的诱惑看着舒服。。许多！ 秋瓷炫中文真好到惊人！            
(1星)	 山寨啊山寨，好难看。            
(3星)	 复仇时的自我成长及最终的宽恕都令人印象深刻。。。尽管内容虚构性太强，演员阵容一般            
(NA)	 我一边无法忍受姚晨前老公一边乐此不彼的等着更新，就把这部号称恶俗没有下限的电视剧给看完了！！！！            
(NA)	 搓            
(1星)	 又是翻版！            
(NA)	 弃剧            
(1星)	 断网的代价，受不了了            
(1星)	 我竟然还看了很多集 故事剧情都很清楚 鄙视自己啊！            
(NA)	 看电视剧就是浪费精神，爸妈喜欢看。高文彦，完美男人啊            
(3星)	 这是一部山寨手机广告片            
(1星)	 编剧的小学语文是门卫教的吧。。。            
(1星)	 我就看了一集 就看不下去了 女主角演得好假 不过看到了童年是就认识的迟帅  哈哈 小神龙俱乐部             
(NA)	 狗血大妈趋势ing……            
(4星)	 情节很狗血，不过还是看了通宵。。。            
(2星)	 太拖沓了 太狗血了 最后看不下去了 那个艾丽做了那么多错事 最后居然能原谅他 我是做不到的 最后几集没看 因为太狗血了            
(3星)	 狗血，没有词可以想出来了            
(1星)	 1、凌潇肃手里贴着硕大苹果LOGO的翻盖手机！2、高珊珊第一次出场时穿着的销魂的打底裤！3、小三每说完一段话都要把眼睛瞪得跟驴眼一样大！4、芒果有烂片，绝世而独立！            
(3星)	 晚饭时间随便看看~实在无兴趣的，除了里面的迟帅            
(2星)	 跳跃着看到第40集，终于被这个电视剧打败了，所有的脸看到都想吐了，到这种地步。            
(1星)	 听都听不下去...            
(1星)	 我不是故意要看的，但不巧被我看到几眼，狂吐。。。如果说《蜗居》是国产片的上限，那么国产片果然无下限么。。。            
(1星)	 差也要有限度            
(4星)	 关注度很高的电视剧，看了下 ，不错，剧情倒是挺复杂的~~~            
(3星)	 山寨货能拍成这样，算牛X得很的了吧？所以，山寨就单纯的山寨，不要总想着突破、超越啥的，真办不到。            
(3星)	 好久没看电视剧，这部竟然看完了。可能空虚了吧。以一个好久不看电视剧的人的眼光看下去，其实也没那么差。            
(NA)	 其实一集容量非常大            
(1星)	 我擦神剧啊，每天的极限是3集，再看下去脑子会抽风。。。            
(1星)	 DOUBAN不能这样。应该有零颗星得选项            
(1星)	 大便一坨            
(NA)	 纯属电视机里路过。。蛮狗血的。。            
(3星)	 终于把这狗血剧看完了。。。            
(1星)	 实在是米片子看了。。就看这个。。看了第1集，第30集，第68集。。然后就可以安息了哎呦喂。。。忧愁死我了。。当初看妻子的诱惑的时候，我就看到四十多集就看不下去了。。这个山寨版本的，我看到呕吧凌的演出之后就实在是看不过眼了呕吧凌，为毛你不论演什么片子都是一副面瘫的表情？？            
(2星)	 骂声越高，收视越高。            
(1星)	 剧情真尼玛狗血            
(NA)	 这电视太他妈操蛋了！            
(2星)	 凌潇肃的能不能有一点点演技啊！台词生硬，真不懂为什么有俩女的喜欢！            
(3星)	 就喜欢宝莲            
(1星)	 陪别人看的。我这个郁闷。。。            
(2星)	 到不是因为山寨而反感，而是剧情太狗血，像这种备受压迫后翻身的桥段，估计是因为长时间的红色电视剧的霸占，而让众多脑残们怀念，或者是新的脑残们洗脑了。怀念还珠格格啊，起码你脑残，还是原创呢            
(NA)	 心中充满仇恨的人真的是很可怕            
(3星)	 五一每天陪妈妈看……            
(2星)	 这剧里的生活处处是战争~            
(2星)	 这是什么？？            
(3星)	 看每一集我的心中都有千万只草泥马在咆哮，可是居然还是看完了……            
(4星)	 真纠结~            
(4星)	 - -//            
(1星)	 要多俗气就有多俗气啊```````            
(4星)	 恨富二代            
(3星)	 港剧、韩剧、大陆山寨剧风格于一身- -            
(3星)	 你妹啊，挑了15%看，竟然没发现落下什么剧情，真脑残。不过我一向不可能对花了这么多时间看的电视剧打低分。            
(3星)	 芒果台~            
(4星)	 我无聊哇。最近在追这部电视剧，说了不看连续剧，最好跟着妈妈还是看上瘾了。            
(2星)	 抄袭太快了吧。            
(1星)	 我呸~            
(1星)	 山寨就是一种心理底线的挑战！            
(4星)	 其实剧情还行，就是一群女人在瞎折腾。狗血剧从来不缺乏观众群。女主像韩佳人。            
(3星)	 你不看，没人叫你看，你在这里叫也还是个鄙人，你那么喜欢棒子国，你杂不滚到韩国去，叫个jb叫            
(3星)	 觉得吧，有些地方突破人的忍受极限了……不合理。            
(1星)	 第一次看到这么低分的，支持下～            
(NA)	 看到集数60，我哭了，上海台才放到30集，我妈还要折腾大半个月            
(4星)	 我喜欢坏女人～            
(1星)	 我是来围观这个分数的~~~~            
(3星)	 韩剧化了，真够折腾的，一晚上跳着看完了68集，哦耶 （我失败的控制力）            
(3星)	None
(3星)	 这样的东西以后少看~            
(3星)	 脑残剧，2分钟一集的速度看完~            
(4星)	 最喜欢看品如华丽变身后的样子啦~真的很有FEEL啊~告诉中国女子不要再围着灶台逆来顺受啦！！女人，也要自立自强，还要懂得如何积累资本拴住老公的心~            
(1星)	 兔麻麻兜着兔宝看还不算公车上一对母女还噼里啪啦讨论个没完(σ｀д′)σ             
(3星)	 当看到真的高珊珊回来后，就决定不再看下去了，这个片真的很搞很搞，编剧把所有可能发生的事都写进去了。            
(2星)	 我本来想好心给三星的！但是结尾实在太差！！被笨蛋BJ毁得彻底啊啊啊！作为观众实在是接受不能!再么此剧当中跳过几十集，都不会造成障碍仍能顺畅理解剧情并观看！！不过李彩桦的演技倒是比亚视更好了~给两星的原因是，因为有《宫》作对比-。-            
(NA)	 类比《爱情买卖》，此剧可归入神剧~~~~            
(NA)	 姐灰常欢乐的看了很多集...好狗血好山寨...可姐很欢乐...            
(3星)	 60多集。。越往后越狗血 看的我真要吐血了。。            
(1星)	 太狗血了。。            
(NA)	 竟然也看过这片子。。。            
(NA)	 看姚晨的老公。。揪心。老爸偶然问我这女的为什么又活过来了，我不知道怎么和他解释20多集剧情的落差，我只好说，编剧让她活就活吧。人生折腾多次可以练就强大的内心，不喜不悲，绝望到心平气和又充满力量。            
(3星)	 喜欢那个大姐啊。。。好有爱。。。            
(2星)	 据说是今年国内收视第一的剧集，忍不住看了开头中间+结尾若干集。不知道芒果台付了韩国方多少版权费哦。能山寨成这样真无敌了！            
(1星)	 此片烂出了境界            
(5星)	 好喜欢女主角。。大卷发- -            
(2星)	 陪老妈看，洒狗血。。。受不了！韩国整容术真不错，整得和韩佳人似的。。。不过迟帅好像不错嘛！            
(2星)	 剧情还真不是一般的狗血......抄也炒得没水准现在的编剧们是怎么了？什么叫生活已经完全不明白了吗？            
(3星)	 复仇记也不再是单一的你死我活，虽然处处是狗血突兀的情节，但也不乏一些亮点，至少服饰布景基本没有硬伤了，且打发了一天小假日。            
(1星)	 我看了20分钟就把整部剧的情节完整准确地猜出来了。。。女主角满好看～～～            
(1星)	 无星神马的最贴切了            
(3星)	 世贤和艾利竟然淹死了...囧啊！迟帅，小神龙俱乐部喊你回家！！！            
(NA)	 咳！看这个简直就是在自虐。            
(4星)	 纠结！纠结！纠结！！！            
(3星)	 爱生活~爱无法原谅~烂大街了~            
(4星)	 终于看完了.....            
(NA)	 两个女人斗得死去活来。            
(1星)	 拾人牙毁。            
(1星)	 其实是部相当垃圾相当山寨的电视剧！照片统统是合成！只不过摆在了大热的芒果播而已！            
(NA)	 回家的诱惑简直是烂片中的极品啊，全部演员都是拿苹果手机，还是双卡双待，带翻盖的啊。维纳斯美容中心的合约上一千万写多几个零变成了十亿啊。而且剧情不是你对我大放厥词我对你大放厥词，就是我扇你巴掌我扇你巴掌啊。高珊珊演的不是抑郁症患者是个泼妇啊。            
(NA)	 不错哦！~~~~~            
(1星)	 某人的本色出演            
(NA)	 看到最后都不想看了··            
(NA)	 哇塞，不是一般的难看啊，对白真是有点弱智            
(3星)	 看了韩剧版的再来看它，总觉得太抄袭。结局倒是有点感人。不大喜欢凌潇肃说话的口气，怪怪的。            
(1星)	 从看了第一眼就知道后面发生的虐人剧情，但是每次还是想要被虐的去看下面怎么得到发泄。            
(2星)	 山寨韩剧吧，沙滩的欲望，姐我十多年前揍看过了。            
(1星)	 我居然看完了，天呐，服了自己了~~~            
(1星)	 消遣都觉得拖沓╮(￣▽￣&#34;)╭             
(2星)	 照搬韩剧剧本， 包括主题曲。但是男女主角气场不对。女主角变化不大，没有韩版那么犀利。男主角不够猥琐，看着凌潇肃我隐隐还是觉得同情的，他从头到尾都没有非常犯贱总的来说。            
(3星)	 掰的挺瞎的一部山寨剧，但还是赚足了眼球            
(NA)	 这个电视剧真的很垃圾，只是晚上不知道能看点什么，所以还一直坚持断断续续快看完了，看了那些剧照，倒是发现了好多搞笑的地方。            
(1星)	 太狗血了~~我最受不了凌潇肃的那样，装的一副大男子主义，看着就不爽~~            
(3星)	 男主角很傻……女主角开始很让人气不过……            
(1星)	 写作业的时候跟着塬塬看，感想是哈哈哈哈哈哈哈哈哈            
(3星)	 我为什么看了这么蛋疼的电视剧    迟帅啊迟帅  你还是不必当年小神龙俱乐部那时了...            
(3星)	 偶尔和室友看看 我们寝都当喜剧看 很雷人吧 剧情狗血 演员表情特别夸张 台词更加搞笑 所以还行呢！            
(1星)	 我妈看的时候在旁边听到了几句台词。。。我的天哪！要不要这么恶心啊！！真是。。。。天雷！            
(3星)	 啧啧啧..湖南台插空看看上海台现在又步后尘 爸妈也被诱惑住，神曲的主题歌一响起就已经无奈至极 凌潇肃的本色出演真的觉得姚晨与他离婚是离对了，绝对的窝囊男人配上品如的胆小懦弱对抗邪恶阴险狡猾的艾利 整部剧情让人咬牙切齿和狂笑鄙视，绝对是又一雷片            
(1星)	 雷死人了            
(3星)	 山寨很欢乐~            
(4星)	 评分太低，给你弄高点            
(4星)	 女人需要肩膀依靠，更需要独立.            
(3星)	 sally好爱看啊，看在帮助sally学中文的份上加颗星            
(NA)	 挑着看了几集，老套的剧情            
(3星)	 最后的结局真是很让人诧异啊。看完这部电视剧会得精神分裂的，结果局中人又都正常过欢欢喜喜的日子了，真神奇            
(NA)	 适合合家看            
(3星)	 女人就该有属于自己的生活和工作嘛~            
(1星)	 无法忍受凌潇肃从头到尾的苦瓜脸。            
(1星)	 狗血，赤裸裸的狗血，我竟然还看了            
(3星)	 不要虎一样的队友，只要猪一样的对手，和韩版相比节奏算快了。            
(3星)	 小神龙俱乐部的主持人啊= = 你怎么那么2去演个……哎            
(3星)	 开始看的蛮揪心的。。。            
(NA)	 虽然芒果台在放的时候，就脚的是部烂片，由于现在电视剧频道在放，不知不觉跟着看了好几集。。。            
(1星)	 这部跟裹脚步一样的电视剧.我竟然也陪老人看下来了....只能说吐啊吐啊的就吐习惯了.PS:我讨厌迟帅,长得也没觉得帅,演得也没觉得好.            
(5星)	 好好看！比那些韩剧好看            
(1星)	 被迫跟老妈一起断断续续看了会，难以忍受的情节。凌潇肃的演技怎能只用一个烂字来形容，委屈姚大嘴了            
(2星)	 有这么报仇的么！            
