http://movie.douban.com/subject/2148367/	恰同学少年
(4星)	 这么英气勃发、昂扬向上、拥有信仰的青春，应该只是那个年代才有的吧            
(5星)	 看一次激动一次            
(5星)	 历史题材拍的很青春~导演很牛！~            
(5星)	 理想主义光芒神马的            
(5星)	 好剧！好剧！！边看边做笔记！！！            
(2星)	 堯姐最愛~            
(5星)	 他时若遂凌云志，敢笑黄巢不丈夫。            
(4星)	 挺励志，年轻人应该看看。英雄曾经是白身啊！！！！            
(5星)	 那个时候的少年们都好有抱负呀，想想我们现在，堕落呀。。。羞愧            
(5星)	 太棒了！            
(4星)	 那个少年毛泽东，帅得我妈都在发花痴了。            
(5星)	 老激动啊 老激动啊             
(5星)	 觉得年轻人就应该那样！！            
(NA)	 和老妈一起追看的，            
(4星)	 不反感这种对毛泽东的描写，实话实说。，毛泽东是值得崇拜的。不过文革的错误也无法忽视。没有他，今天的中国是怎样？谁知道呢            
(5星)	 很好看，就是这样。毛泽东读书时候的故事，补了这片空白。            
(5星)	 书已经看过N遍，重新再看电视剧，听到熟悉的对白，感觉不一样，无限感慨            
(4星)	 高中时同学一起窝教室看的，很好~~            
(4星)	 不错            
(5星)	 少年强则国强            
(3星)	 完美的润之            
(4星)	 向警予很可爱，和蔡和森是很喜欢的一对；为了极力突出某几个人物，居然弄出刘俊卿这么一个全面都反的反面人物；那个时代人物的精神还是体现的很完整            
(5星)	 初中看的，热血年代。            
(4星)	 高考前夕看的，还说考完了好好看一遍一直都忘了，我当时觉得钱枫挺帅的。。            
(4星)	 尽管知道这一切都是扯淡，但是确实拍的不错。            
(4星)	 振奋！            
(5星)	 真的挺好看            
(3星)	 ...这次是蹭父亲大人的            
(5星)	 奋斗~奋斗~那段日子总是美好的            
(NA)	 的确“唤起心中潜藏的那股热血”第一次感觉伟人就在身边……4年前看的印象很深            
(5星)	 看当年的有志青年怎样一步步探索求学与救国之路，对当代的青少年很有启发意义！            
(5星)	 执着热情，身无半文心忧天下，豪气冲天，胆识惊人，美哉我中华伟少年。            
(5星)	 第一次觉得历史剧好看            
(NA)	 看过无数遍。            
(5星)	 时代要什么样的老师！我们能成为什么样的学生！看过4遍            
(5星)	 我看过的最好的偶像剧            
(2星)	 擦~同学射粘。            
(5星)	 太多地方让我热血沸腾            
(4星)	 你得看到积极的一面            
(NA)	 路上，艰苦有时是很宝贵的财富            
(5星)	 伟人年轻的时候也可以很偶像呀~            
(5星)	 最爱的电视剧之一。            
(5星)	 强烈推荐，非常不错的一部电视剧。            
(5星)	 大爱蔡和森~~            
(5星)	 恰同学少年，风华正茂； 　　书生意气，挥斥方遒。 指点江山，激扬文字， 　　粪土当年万户侯。 　　曾记否，到中流击水，浪遏飞舟。            
(5星)	 比较好的电视剧            
(NA)	 一种情怀。            
(5星)	 红色经典偶像剧！            
(5星)	 这部剧让我热血澎湃到现在。。。            
(NA)	 意气风发~            
(4星)	 红色青春偶像剧。斯咏~            
(5星)	 难得            
(5星)	 中国最好的励志片。            
(5星)	 湖南卫视精品剧。让无数青年记住了那句少年强则国强的口号!            
(3星)	 看的是演员，不是剧情~            
(5星)	 少年之中国若有如此之少年，必发扬于宇宙，矍铄于地球~            
(5星)	 我给这部戏打分有私心......            
(5星)	 如今来看，钱枫越看越有意思当然，这剧yy得让人还可以接受            
(5星)	 我爱的            
(5星)	 看得我热血澎湃的，那段时间比较崇拜毛爷爷，话说老谷真的神似，要的就是那种气势，要不长得再像也白搭，小枫，恩，帅呆            
(4星)	 太好笑了，好吧豆瓣预测准了，当年姐姐确实很稀饭这个，高三的时候！            
(5星)	 多棒的新剧种啊 怎么不接茬开发呢            
(NA)	 恰同学少年，风华正茂，书生意气，挥斥方遒！当年暑假看完这部剧之后，真是意气风发啊            
(4星)	 喜欢谷智鑫演的角色。            
(5星)	 我们台的自制大剧            
(3星)	 革命偶像剧………………            
(5星)	 啥都不说了，看了n遍~~            
(1星)	 这货不是真的！这货不是真的！            
(5星)	 会在小黑的e盘中一直保留，只有它才能给我生活的勇气~~            
(5星)	 传达的意义是好的，这就够了。            
(5星)	 我很少看这种电影，但这部真心没话说。            
(5星)	 喜欢蔡和森~            
(4星)	 至少可以让我做做梦吧。。。            
(5星)	 挺受触动的！好好学习，天天向上            
(5星)	 常看常新            
(5星)	 高中的时候看的            
(5星)	 羡前人胜今朝思潮开放，哀现今不如旧人人闭塞。看完整部剧，热血澎湃，脑子里深深印下一个名字：毛润之，还有一股气势，一个名称：青春！            
(5星)	   非常好，非常理智，其中还有关于治学的思想。            
(5星)	 喜欢看毛泽东看书的时候            
(NA)	 另一个角度诠释伟人，领路新一代            
(4星)	 虽然有的地方需快进，部分与史实有出入，俺还是认为片子传递的正面影响力不容忽视。            
(5星)	 尤为可敬的几位老师！！            
(3星)	 回忆            
(5星)	 无论盛世乱世，绽放的青春都是最美好的颜色            
(5星)	 或许是因为正值同龄的缘故，看着这部电视剧，很有感触~恰同学少年，书生意气，挥斥方遒！            
(5星)	 我喜欢这种娇柔不造作的励志剧            
(5星)	 最后的那次谈判，真是漂亮！            
(3星)	 感觉还是有点振奋的            
(4星)	 热血激昂的青春            
(4星)	 看不下去了..            
(4星)	 和爸爸妈妈一起看的电视剧！            
(NA)	 那个暑假，和爸妈一起看的电视剧，很喜欢一家人一起看电视的感觉            
(5星)	 恰同学少年，风华正茂            
(NA)	 毛泽东太雷了。            
(5星)	 难得一见的上乘之作            
(3星)	 谷智鑫还蛮帅的            
(5星)	 看得我热血澎湃啊~~            
(5星)	 大学时期看的，班主任力荐，好看！            
(5星)	 大学时代的美好回忆            
(NA)	 年代啊，真是好青年！为人民谋利益好！是部好的教育片。            
(1星)	 该死的独裁者 咋没有描写希特勒年少的电视剧?            
(3星)	 有些神话了。            
(5星)	 当年看得热血沸腾。            
(5星)	 恰同学少年，风华正茂；书生意气，挥斥方遒。指点江山，激扬文字，粪土当年万户侯。            
(5星)	 给力啊            
(3星)	 这样的毛润之。。。            
(5星)	 看了七八遍，每回感慨不一。前天忍不住，又看了一遍。            
(5星)	 我一直在想，怎样的才有人生价值，怎样生活才不孤独？现在觉得大概就是理想，一种为社会奉献的精神吧。人一生中是有比利益，名誉，甚至是生命更重要的东西。            
(3星)	 看过几集，作为电视剧不错。在好友推荐陪同下居然去了“一师是个好学校”!            
(5星)	      最爱的电视剧！！            
(4星)	 想当年我还看得津津有味              
(NA)	 永远记得，一群人，那个雨夜，丢掉雨伞，抛弃束缚，在山野之间嚎叫，奔跑，他们的理想，他们的梦，还有我自己的冥想。。。            
(3星)	 史实中处于目的性的改动过大。            
(2星)	 CCTV1            
(5星)	 名副其实的红色偶像剧。因为这片子喜欢蔡和森            
(NA)	 毛大爷好。。。            
(3星)	 四川地震时正在看。            
(5星)	 恰同学少年，风华正茂！            
(NA)	 看得激情澎湃，主要谷少也确实有点帅的，不知道为什么之后就没见他浮出水面过。恰同学少年一直是我很喜欢用的一句话，少年强则中国强，就记住梁启超这句话了。            
(NA)	 很好看的历史剧。            
(4星)	 我了个去，我居然觉得还满好看的，不行啊不行啊            
(4星)	 还是值得一看的，很激动。            
(4星)	 问苍茫大地，谁主沉浮。。。            
(5星)	 那个时候的学生，多有追求啊，好生羡慕。社会也相对开放，学生能把校长赶走，学生可以闹事，就是最好的证据。 老毛提出的“野蛮其体魄，文明其精神”听起来不错，可最后搞成了体魄、精神都野蛮……  还是七三开吧（七三，不是三七）。            
(NA)	 快高考时看的            
(5星)	 很令人振奋的一部电视剧            
(5星)	 高中最喜欢的剧，鼓舞了不少人啊。            
(5星)	 与其说是励志片。不如说是热血。喔我爱热血            
(5星)	 高一时每天最给力的事就是晚饭后晚自习前全班同学一起看这个            
(1星)	 看了一集，什么烂片子~ 一星            
(4星)	 是真的觉得很不错。            
(NA)	 故今日之责任，不在他人，而全在我少年。少年智则国智，少年富则国富，少年强则国强，少年独立则国独立，少年自由则国自由，少年进步则国进步，少年胜于欧洲则国胜于欧洲，少年雄于地球则国雄于地球。红日初升，其道大光；河出伏流，一泻汪洋；潜龙腾渊，鳞爪飞扬；乳虎啸谷，百兽震惶；鹰隼试翼，风尘            
(5星)	 可谓激动人心啊!!!            
(5星)	 什么是青春偶像剧，这就是，什么是青春，恣意，蓬勃，进取，什么是偶像，为家，为国，为民。            
(NA)	 这是一部励志连续剧，剧情非常好            
(NA)	 心中的热血沸腾！            
(5星)	 特别特别的喜欢 里面每个人演的都特别好            
(5星)	 看了后是真的超喜欢当时的毛泽东啊~~~            
(4星)	 如果除去我某些对政治的负面情感，还是部不错的主旋律片            
(NA)	 挺好的啊            
(NA)	 红色偶像剧~~值得一看再看            
(4星)	 虽然那些演员是年青演员，可是演出一股气势。            
(4星)	 看得我那个当年是相当的激动，甚至一度想去当老师，现在想想是有多么的傻。但那种为梦想，为国家，为人名，拼搏的精神 是不容忘却的。            
(4星)	 青春应该怎么样度过            
(4星)	 我喜欢里面的萧子生            
(4星)	 美化某毛；除开这点励志很到位            
(4星)	 个人觉得不错,,都是新人,看着很清新,,也很励志            
(5星)	 很喜欢啊。。。            
(5星)	 振奋人心的作品。            
(5星)	 红色励志,又不呆板无味,尽显青春活力            
(4星)	 独立寒秋，湘江北去，橘子洲头。看万山红遍，层林尽染；漫江碧透，百舸争流。鹰击长空，鱼翔浅底，万类霜天竞自由。怅寥廓，问苍茫大地，谁主沉浮？携来百侣曾游，忆往昔峥嵘岁月稠。恰同学少年，风华正茂；书生意气，挥斥方遒。指点江山，激扬文字，粪土当年万户侯。曾记否，到中流击水，浪遏飞舟？            
(4星)	 谁找的 这个海报？？咬死他            
(4星)	 蔡和森同学真得很像孔令辉。。。            
(3星)	 陪姥爷一起看过几集，还不错，谷智鑫后来演的话剧倒是看过，不错            
(5星)	 看了三遍了~            
(NA)	 挺喜欢的。。            
(5星)	 恰同学少年，风华正茂。            
(NA)	 主旋律能打这高分儿啊            
(3星)	 反观自身。            
(NA)	 不算看过，只是瞄过            
(4星)	 多么理想化的一种大学学习生活。很多剧中人物３０岁左右就牺牲了，所以说这是完全可以接受的理想化。很多的英雄人物在一个特定的时空点爆发式的涌现，很有意思。            
(NA)	 不一样的毛泽东，一样的器宇轩昂，神采飞扬。还有围在他身边的那一群人。理想，嗯，曾今我也有，但现在呐？            
(5星)	 意气风发！想起这些人后来的故事，又唏嘘不已。            
(5星)	 2007年6月回家时            
(5星)	 挺不错的，拍得很够味。。。            
(NA)	 当今大学生正式缺少这份以天下为己任的气魄，以及积极向上的心态。  许多人沉溺在男欢女爱的气氛中不能自拔。 看了这部电视剧，相信能让不少对自己以后甚至人生的目标都处在迷茫阶段的人，重新找回航标………………            
(NA)	 少年，同学，熟悉的字眼            
(4星)	 红色偶像剧 难得~俊男靓女也分外养眼！            
(5星)	 这么多年来，总有拥有奇特梦想和坚定信念的人出现，有的人实现了大的目标，有的人走的或偏差或缓慢而被淘汰。            
(NA)	 真的是个励志的偶像剧            
(4星)	 抛开历史，真是一部很好的励志片啊            
(NA)	 年轻人该看            
(5星)	 青春励志经典~            
(5星)	 曾经疯狂一段时间追着看            
(NA)	 书翻千秋史，谈尽古今愁~            
(NA)	 羡慕蔡和森和向警予的爱情！相知相伴相互扶持相互信任，所以相爱!            
(NA)	 年轻的时候就应该多学点知识，刻苦些，勤奋些。            
(NA)	 风华正貌。挥斥方逑。            
(NA)	 学习犹当如泽东            
(5星)	 在这部电视剧里，我看到了毛泽东的青年时代，让我越发的崇拜起来            
(4星)	 润之同学在试卷上画了一条水平线&amp;一个半圆The teacher asked,&#34;What&#39;s it?&#34;&#34;半壁见海日。&#34;            
(NA)	 其实都不错啦， 只是里面的那个核心人物分量好重，是不是有点夸张呢，那个才女很好看啊，就是喜欢那样的            
(5星)	 那个时代那些人的红色青春。            
(5星)	 热血沸腾的青春年少            
(4星)	 毛润之的少年如此风华，斗志激励人心。            
(4星)	 男儿努力蔚为万夫雄！            
(3星)	 当年放假在家无聊时在电视上看得还行。。。有帅哥出没好想            
(4星)	 红色偶像剧精品            
(5星)	 对比一下,惭愧            
(5星)	 大爱 每次看都激昂而自愧 仰慕昔日之学风 师德之高尚 痛心惭愧            
(4星)	 青春革命剧 拍的很不错            
(5星)	 激情，理想与现实，            
(5星)	 改变我价值观的一部电视剧 且拍得很美            
(5星)	 意气风发的感觉。很催人上进。最喜欢齐声朗读&#34;股今日之责任，不在他人，全在我少年&#34;那一段            
(4星)	 国内的电视剧，99%是垃圾……这部是值得一看的！            
(5星)	 还是让人鼓舞            
(5星)	 《少年中国说》让我热血沸腾啊            
(5星)	 风华正茂            
(5星)	 风华正茂，革命热情，所追求的就是这种生命的价值，畅快淋漓            
(4星)	 没想到挺好看的            
(4星)	 红色偶像剧...            
(NA)	 一个清新的毛泽东和一群英姿勃发的年轻人            
(1星)	 戏说毛泽东的正太时代  你们就鬼扯吧 我飘过            
(5星)	 必须说这部电影加深了我对那个年代的革命先驱的了解和认识！由衷的敬佩！            
(3星)	 梦想照进现实            
(4星)	 怎么说，也是忽然想起，它也是很久之前的事情了。我喜欢向警予。            
(5星)	 还想再看一遍            
(4星)	 看过很令人上进~~ 值得收藏            
(5星)	 恰同学少年，风华正茂；还在怀念当时和室友一起看电视剧，一起激励互勉的日子~            
(5星)	 将来让孩子看~            
(3星)	 過。            
(5星)	 印象最深的是孔昭绶校长的长篇陈词            
(NA)	 略囧，和我想的不一样，抛弃之！            
(4星)	 狗血的少年时代啊@@当时看了还真是沸腾= =            
(NA)	 还是学校给我们看的嘞            
(5星)	 就是冲的这股朝气~读书啊！修学储能，先博后渊。求知若渴，率性坦荡。德行孝道，自强自立，青年人当有所担当。向警予说的对，不应该考取了学校就把自己当成文曲星供起来。            
(5星)	 那群湖南师范出来的天才啊！偶像            
(3星)	 红色偶像剧……            
(5星)	 很好看，顺带买了剧本。            
(3星)	 还行吧，有些怀疑真实性            
(4星)	 哈哈，豆瓣上居然有这个。。。            
(2星)	 不是很恶俗            
(4星)	 湖南台还是可以滴~            
(NA)	 看得我热血沸腾的一部片子            
(5星)	 毛主席的光辉照万代。            
(5星)	 励志的青春！            
(5星)	 青春偶像风的历史正剧            
(3星)	 那时是爸爸要我看的。其实还行。            
(5星)	 有理想的人生才真正饱满            
(5星)	 纯爷们            
(3星)	 出乎我的意料.他到底是符合了大众的伟人情怀还是受到了国家的默支持?            
(5星)	 很好很励志的电影            
(5星)	 我们需要那样的年代！！！            
(4星)	 在正剧里来说，算不错            
(NA)	 挺不错。。。            
(5星)	 红色青春诗            
(5星)	 就是喜欢            
(4星)	 好久以前看的。。。            
(3星)	 毛哥岁数小的时候这么帅？！            
(4星)	 湖南人的骄傲            
(4星)	 了解一段历史            
(4星)	 虽然知道这内容不是真的            
(4星)	 可能是假的，不过还挺好看，主旋律也看怎么拍            
(5星)	 革命青春偶像剧，蔡君和森不朽！            
(NA)	 一千年才出的伟才！            
(4星)	 “故今日之责任，不在他人，而全在我少年。少年智则国智，少年富则国富，少年强则国强，少年独立则国独立，少年自由则国自由，少年进步则国进步，少年胜于欧洲，则国胜于欧洲，少年雄于地球，则国雄于地球......美哉，我少年中国，与天不老！壮哉，我中国少年，与国无疆！”            
(3星)	 毛泽东不愧是一代君王！            
(5星)	 他们的年少            
(5星)	 推荐！感动于当时学子们以国家兴亡为己任的豪迈和激情！            
(5星)	 GOOD~            
(4星)	 少年的眼眸真亮。            
(5星)	 醍醐灌顶            
(5星)	 他的胆识，他的机警，他的天赋，源于他的执着，他的努力，他的勤奋，注定了他的成功不是机缘巧合。一部很好很好的励志片。            
(5星)	 很好看的一部电视剧，可能是因为这个毛泽东特别有型，整部剧让人觉得青春无限，看到后来不禁想问：怎么毛泽东身边的同学，朋友，后来都成了历史上有着相当地位的人?感慨：时代造就伟人！            
(4星)	 正面形象还是很让人振奋的            
(5星)	 太喜欢那时候充满理想主义的青年了            
(4星)	 年轻人，年轻人就应该活得这样。喜欢大雨中念着诗句前行。我本楚狂人，凤歌笑孔丘。孤陋寡闻的我第一次听到梁启超的《少年中国说》，心情激荡。            
(NA)	 看到第四话放弃，被刘俊卿急死，各种脸谱化，各种说教            
(5星)	 問蒼茫大地，誰主沉浮！            
(5星)	 就是想好好看看            
(5星)	 每一个牛B的人都有一段2B的青春            
(5星)	 看伟人们如何度过大学时代，让自己很惭愧！            
(5星)	 最主旋律的偶像剧，可贵的是主旋律得相当自然            
(2星)	 不喜欢就是不喜欢。            
(3星)	 没书好看            
(5星)	 执着的社会责任感、历史使命感            
(5星)	 恰同学少年，风华正茂。            
(3星)	 青春版            
(4星)	 这个电视剧拍的不错啊，喜欢陈锐演的杨昌济，谷智鑫也很像主席年轻时的样子            
(NA)	 09            
(5星)	 最喜欢的电视剧            
(NA)	 很不错的片子，让我看到了中国近代伟人年轻时候奋进的历史！            
(5星)	 时势造英雄。            
(4星)	 性格决定命运，真正的，无论何时，持己要正！            
(5星)	 看了令人热血沸腾!!!            
(NA)	 让人热血沸腾的一部片子，那是一个激情洋溢的时代，一群风华正茂的青少年用自己纤细的肩膀撑起一片天空，我想现在的我们中已经很少有人能做到如此地步了。            
(5星)	 我已经看了不下三遍了，最近一次看的时候把我的室友们都吸引过来，每天两集边下边看。我觉得倒数第二集毛泽东智退敌军的部分相当精彩            
(5星)	 虽有些对历史的美化之处，但是其中的激情确实国内电视剧中少见的            
(5星)	 超级喜欢呀，这貌似是芒果台拍的吧，难得啊            
(4星)	 勉勉强强！            
(4星)	 虽然从小就对毛主席的故事耳熟能详，但是第一次耐下性子看完了全集，感觉上焕然一新，片子的角度，故事，以及演员阵容好像都有点与时俱进哦~很喜欢这样的风格，尤其喜欢谷智鑫，希望有更多好的产品出来！            
(4星)	 谷同学让我们看到了更为奋发青葱外加小帅的毛泽东少年。            
(5星)	 伟人的成长不同于常人，用之不歇的积极动力。            
(5星)	 呵呵，，就是好看            
(5星)	 书生意气 风华正茂            
(3星)	 就看了几集，相较而言，还算较为真实客观的了，有耳目一新之感。            
(4星)	 让人激情澎湃的一个电视剧            
(4星)	 我发现我蛮爱主旋律的= =            
(5星)	 喜欢向警予~~~            
(3星)	 史上最帅毛泽东            
(5星)	 很振奋人心，年轻人尤其该看~            
(5星)	 恰同学少年，那是一群朝气蓬勃心系家国的年轻人创造的历史。对于现今的我们，则应该是趁同学少年，开阔见识，广博胸怀，凿定理想，认准方向，然后，如这帮少年同学，挥斥方遒，指点江山！            
(5星)	 激动人心的一个电视剧呀            
(3星)	 应该是在大一的时候在家看的这部戏，舍友强力推荐，虽然有点戏剧化，但总体来说挺不错的。尤其是毛泽东在剧中读梁启超的《少年中国说》那一段，真是让人热血沸腾、激情澎湃啊~~            
(5星)	 啊呀。咱们学校拍的怎能不捧个场。记得还是07年学校统一规定全班每天晚上在教室观看的片子。那时候每天看完还去操场跑步。然后抢着洗澡。这部片子。真的激动人心。也振奋人心。            
(5星)	 老毛啥时候都牛B            
(4星)	 怎么说呢？在有些地方看似很刻意，但还好啦！            
(4星)	 印象最深刻的是毛泽东领头背梁启超《少年中国说》的那一幕，那段话后来成为激励我们高考的最好言辞，Miss Su还曾经抄到黑板上。美哉，我少年中国与天不老；壮哉，我中国少年与国无疆！            
(4星)	 主席也曾青春过.....            
(5星)	 了解伟人的奋斗史，很强悍            
(NA)	 恰同学少年，风华正茂            
(5星)	 这连续剧很青春，也很正面其实挺羡慕那个时代的青年的特富有理想主义的色彩            
(NA)	 红色            
(4星)	 看的我心潮澎湃，学习有激情有动力了，教育我很多，受益匪浅            
(NA)	 励志、振奋！！！            
(1星)	 脑残的剧情盲目的个人崇拜对历史的无耻歪曲            
(5星)	 很好            
(5星)	 当年极喜欢的电视剧，对钱枫饰演的萧子升几近花痴            
(NA)	 08前            
(NA)	 挺好看的。            
(4星)	 泽东            
(5星)	 看一次激动一次······            
(5星)	 去老校区参观的时候有身临其境的兴奋感。恰同学少年，风华正茂!            
(1星)	 恰你妈傻逼            
(5星)	 翻出来第二次看。对我来说是一部相当励志的电视剧。高中的时候，也正是这部戏让我开始把我要的是怎样的人生的问题想得更深。现在同样。唯一的缺陷就是感情戏太失真。事实上，在当时，陶斯咏根本就不是剧中刻画的单相思。两个人是两厢情愿的，但是陶家极力反对他们两个人在一起，才作罢。            
(4星)	 大一下时极其无聊的时候看的，开始时还真有感觉，因为就是自己身边的事，后半部就看不下去了。            
(1星)	 演得太假, 做作            
(4星)	 还挺激动的。            
(4星)	 书，电视看了一点            
(5星)	 正！            
(5星)	 喜欢就是喜欢，好看就是好看，我能从中学到我想要东西。看到他们的激昂青春，很是感慨！人生当如此！！！轰轰烈烈，慷慨激昂！！！为了自己，为了家里，为了祖国奋斗不息！！！！！！！            
(3星)	 完全与我感觉的毛泽东形象不一样.年轻的时候好多了,但还是年轻气盛...            
(5星)	 红色年代，红色人物的青春，也许和你我一样肆意飞扬，奋发向上。            
(4星)	 美好记忆的说 。当时觉得钱枫很帅   囧~            
(5星)	 青年的MZD.青年的中国.青年！！            
(5星)	 都该去看看            
(4星)	 具有中国特色的青春偶像剧，总体来说还是不错的            
(5星)	 让人很振奋啊！            
(4星)	 气息清新活泼，不错的风格            
(3星)	 激励年轻人，不过有点美化。            
(5星)	 我们湖南拍滴类~            
(5星)	 问苍茫大地，谁主沉浮！            
(5星)	 好看            
(NA)	 至此，爱上年轻的毛泽东。。            
(5星)	 80后的人们应该看看 会让你重新找回理想 斗志和对时代的激情            
(NA)	 三十岁之前的经历，基本上注定一个人的一生            
(5星)	 几个很有气质的女生            
(5星)	 不是简单“青春”两个字。            
(5星)	 伟人就是伟人            
(4星)	 风华正茂毛润之            
(5星)	 励志 青春 历史             
(NA)	 没看完。            
(5星)	 修学储能！            
(NA)	 赞            
(4星)	 弥漫美丽青春的励志片 人物的名字反倒不那么重要了            
(5星)	 思想境界很高            
(4星)	 是一部自己不会主动想去看，但是偶尔看过以后就会忍不住再看下去的电视剧。个人认为拍得很不错，看了让人热血沸腾，当然个别地方显得矫情了些。那个时候学子，那段激情燃烧的岁月让人热血沸腾，只可惜时过境迁            
(5星)	 很不错的电视剧 看了之后很有感触 算是国内第一部对领袖演绎的青春偶像剧 但是也很好啊            
(5星)	 尽管是我没兴趣的伟人题材，但是就算主人公不是毛泽东这样的领袖，这也是一部非常非常优秀的励志片，强烈推荐。            
(4星)	 多么希望自己的青春也能如此飞扬！            
(5星)	 喜欢青春的激情与斗志。有理想就有目标，有目标生活就有方向，有方向就有想到抵达的远方，我们一直为远方而不懈努力！            
(5星)	 伟人的非凡魅力在于少年时的磨砺。            
(5星)	 恰同学少年  风华正茂            
(5星)	 青春励志国家领导人偶像剧--湖南台定位清晰的一部作品，作为娱乐至上的湖南人，当然应该推崇！            
(NA)	 我们没有生在毛主席万岁的年代，所以或许没有很多长辈们对他的那种崇拜，也不会去关心他的历史，看他的传记，看他的书，但是，看了《恰》，我为他们爱国的激情、追求理想的激情而感动，同时感慨自己也正处在他们那个年纪却开始丧失了追求理想的激情，我开始想要看看他的书            
(NA)	 完全的新人的电视剧  很好  只有这样的新人才能塑造当时的年轻人的感觉   第一师范            
(NA)	 特励志的片子。原来谷子也很帅            
(NA)	 好看，属于湖南人的青春励志剧            
(4星)	 话说里面有一美女是俺老乡。。。            
(NA)	 恰同学少年，风华正茂！            
(5星)	 应该多一些这样的剧。。。让我们崇拜那些曾经和我一样大的伟人            
(5星)	 疲劳的时候看            
(3星)	 觉得有点神话毛泽东了~            
(5星)	 也太美化主席了吧，至少普通话没这么准            
(3星)	 一听《毕业歌》就很激动。            
(NA)	 深夜里仍然能独自激情飞扬。2007.5月吧。            
(5星)	 鼓舞~~~            
(5星)	 最近喜欢看有关毛泽东的电视，呵呵……同学说我老了，可是我觉得很好看            
(5星)	 红色励志青春偶像剧            
(4星)	 青春             
(4星)	 年轻时革命者的青葱岁月。            
