http://movie.douban.com/subject/3198015/	绯闻女孩  第二季 Gossip Girl Season 2
(3星)	 混乱的剧情，我快没有耐性。            
(NA)	 chuck is sososososoooo charming            
(4星)	 消磨时光的好东西~            
(NA)	 惊悚的人物关系，这就把人的耐心磨光了            
(5星)	 很纠结在Chuck的经典片段卡住了~~~等啊~~~            
(3星)	 一开始看不下去...但相处久了都会有感情。可是第17集究竟拍的什么bullshit啊!!!            
(4星)	 B &amp; C 终于在一起了。            
(4星)	 B&amp;C終於修成正果了.            
(NA)	 Her hairband&#39;s always gorgeous!            
(2星)	 感觉第二部没有第一部好看~            
(4星)	 终于有时间看完了，囧            
(4星)	 这一季看得太无语了……不过大心Chuck~~~第一季的预感真正确~~~~还有这个结尾真好啊...又Happy Ending啦...果然还是给小孩子看的...            
(3星)	 弃剧，从20集开始我要好几个礼拜才能消化一集            
(NA)	 越来越复杂~美剧没搞头~            
(4星)	 B和C终于修成正果～～            
(4星)	 越搞越乱            
(4星)	 有个好的结束也不错~~            
(3星)	 开头几集太雷，后面向家庭剧的方向走啦？---------------------------------------------感慨得太早了，后面更雷....            
(4星)	 仍旧喜欢反正 不如第一部新鲜了 只能说这里面每个主角之间都有微妙或者直接的关系 嗯 期待第三季 2009.            
(NA)	 中毒了，中毒了。。。貌似在朝着我想要的方向发展了。            
(3星)	 乱            
(5星)	 b就是要和c一起呀！！！            
(NA)	 只为chuck &amp; blair            
(NA)	 xo xo gossip girl            
(4星)	 不错的练英语方式。            
(NA)	 哈哈~世界完满啦~            
(4星)	 只看了十几集，无语...不跟了            
(NA)	 Ed Westwick            
(5星)	 十分不解释            
(5星)	 大爱            
(NA)	  不用动脑，等着被惊吓，坐过山车            
(3星)	 排列组合。            
(NA)	 不想动脑子的时候看看打发时间            
(3星)	 汗...为什么我看不下去呢?            
(3星)	 明显没有第一季好看了……            
(4星)	 ChuckChuck地叫~~            
(4星)	 第二季结尾竟然被BC的爱情所感动。波波折折，历经如此多的坎坷，终于爱情赢得了一切。            
(4星)	 B.D说不定~~~~~            
(5星)	 C和B的爱情最好看了。神马S和D都是不给力的。            
(NA)	 chuck 终于说出来了~~            
(5星)	 chuck            
(5星)	 衣服不错一直在从中寻找婚纱的灵感～剧情有点幼稚             
(5星)	 期待第三季 G的回归~~~            
(3星)	 不晓得下一季怎么发展了            
(5星)	 让我不断追看的剧，除了剧中人物比较乱搞之外一切都很好            
(5星)	 直接看的第二季 很强大            
(5星)	 S和D什么时候才能……在一起 小J真是越来越J了 BTW，QUEEN B和C赶紧在一起吧。            
(5星)	 美好极了。            
(NA)	 没憋住，还是看了~            
(4星)	 我的第十集在哪里..            
(4星)	 睇完噜~chuck你好好啊~~~            
(4星)	 弃了三次。结果还是不能免俗地成为BC控啊            
(NA)	 不想再看啦            
(4星)	 还是一样好看之            
(5星)	 081126手机。前十一集。            
(5星)	 i love chuck            
(5星)	 赖赖 everywhere            
(4星)	 — —||            
(3星)	 剧情没啥好的~衣服可以看看~人也还行~            
(3星)	 这一季没有上一季好看。            
(3星)	 那么纠结，何必呢～            
(5星)	 已经是离不开的一部分叻`没什么好说的叻```希望那些我推荐给的朋友感谢我~~~            
(5星)	 ~~            
(5星)	 结尾狠狠地爽到了我!~            
(3星)	 服装好美哦，都是限量版的，不过高中生成熟到这份上，服咯            
(4星)	 就这样完结吧 哎哟            
(4星)	 C&amp;B...perfacet...            
(4星)	 第二季，我是越来越搞不懂S，越来越觉得Chuck很man            
(4星)	 You know you love me^^            
(5星)	 英语说得真好听            
(4星)	 看此片只为Blake Lively             
(5星)	 I am chunk bass&#39;s!            
(3星)	 编着编着 就开始胡编。好来好去。            
(3星)	 放弃了            
(4星)	 结尾处萌点多多～            
(5星)	 nate在这季里面变MAN很多啊，不过我还是依旧喜欢CHUNCK~            
(5星)	 chuck &amp; blair!!!            
(4星)	 很久没追的结果就是我不想看第三季了。。。            
(2星)	 趋于混乱而狗血的男女关系是再多帅哥靓妹都无法挽救的 在中段被剧透到布鲁克林小子Dan爬墙去女教师那儿时弃剧 喜欢CP--&gt;B&amp;C 喜欢Queen B在某集中说的那句：3 words, 8 letters, say it, &amp; I&#39;ll be yours...            
(4星)	 有点反感了~            
(3星)	 正式掘弃。鸡糟。            
(3星)	 Whatever, this is a real fashion book. I love it!            
(4星)	 好令人开心的结局~~~~            
(3星)	 哎，小查克。            
(NA)	 Chuck...糾結的一季,結局還是我所喜歡的哈            
(NA)	 我这次可是追着看的！~兴奋滴~B和C，喜欢            
(3星)	 N-B-J-V-C，S-D，L-R。。。            
(5星)	 继续精彩哦~~            
(4星)	 喜欢结局！            
(3星)	 剧情乱的一塌糊涂，但还是想看。。。            
(NA)	 第二季好2哦            
(4星)	 终于看完了，纠缠阿纠缠阿，bc,sd,rl幸好还是有在一起的啊，虽然纠结点，但不知道是不是因为一直在追的缘故，好喜欢阿            
(3星)	 a glorious mess            
(5星)	 BC王道啦啦啦            
(4星)	 这一季太混乱了，期待第三季。            
(4星)	 不到20岁的女孩子却喜欢把学业友情爱情理的一团糟。            
(4星)	 继续看            
(NA)	 S.            
(5星)	 爱死GG了~~S2,poor chuck,poor nate,poor B~~Uh..but I do like chuck,maybe B can&#39;t never say that 3 words to him.But it&#39;s pretty wonderful!            
(NA)	 bitch。这词不是骂人话，而是一种娇嗔，一种昵称，一种心领神会的通行证。            
(2星)	 一半放棄            
(3星)	 肥皂 华丽 肤浅 BUT            
(4星)	 至少养眼衍生剧没前途的吧            
(4星)	 Nate最帅            
(3星)	 S2让我喜欢上了Chuck            
(4星)	 看完最后一集，我又决定给四星了，而且继续追下一季……            
(5星)	 我爱！            
(3星)	 结局令人欣慰，看来下一季又要有好些新人物了。            
(NA)	 越来越迷乱            
(5星)	 Still chuck bass. I love you, too！            
(3星)	 剧情开始水了~            
(4星)	 乱            
(5星)	 继续..            
(4星)	 还没完，等死了呀。一定要这么乱嘛？尤爱13集......            
(2星)	 虎头蛇尾            
(5星)	 我的C，我的B            
(3星)	 好難得,我來追美劇,邊播邊追~~~太亂了....追不下去了...            
(3星)	 弃追剧……            
(4星)	 just like us,lost in love,in future &amp; reality,in luxury goods,in relationships,etc.            
(NA)	 天雷！            
(5星)	 呜啦啦！！！好好看。。。。。            
(4星)	 纠结死~终于折腾完了~别再来了~            
(4星)	 为了B和C继续追下去……            
(3星)	 編劇明顯吃多了腦殘片。            
(4星)	 很喜欢CHUCK ，看到十多集看不下去了            
(5星)	 喜欢chuck            
(4星)	 Dorota很可爱~            
(5星)	 C。            
(5星)	 要不是为了Chuck··········            
(NA)	 剧情越来越让人看不懂了            
(4星)	 庆幸自己过着最最平凡的生活The life without scandals            
(4星)	 评分太难了 第二季真是一波三折 不过从冬天追到现在也是看出感情了            
(3星)	 兜兜转转，绕了一季才说了I LOVE U的B和C终于在一起了。            
(3星)	 看不下去了            
(2星)	 再也追不下去了，两两之间都发生过情况了，编剧你还能怎么编？            
(4星)	 理论是灰色的，生命之树常青。~Fabulous Memmory            
(NA)	 MS第三季要出了。。。            
(2星)	 弃！            
(3星)	 编剧nc了。            
(3星)	 继续华服美景，不过剧情么，就凑合凑合~~            
(5星)	 怎一个赞字了得！            
(4星)	 第一集很爱 更期待S的野性回归            
(4星)	 期待第三季的风生水起~            
(4星)	 由于惯性才看的            
(4星)	 當中段太狗血 反復無常 到最後 其實只爲了看B和C 恩 還有衣服和包袋 OST也比S1要弱            
(3星)	 B OR S?            
(4星)	 终于 i&#39;m not chuck bass without you.            
(NA)	 you need to be cold to be Queen            
(4星)	 终于看完了chuck and Blair,you are meant to be together!            
(4星)	 4            
(NA)	 看不下去了 实在被SD的恋情折腾够了            
(3星)	 其实真的是很不明白，那种生活，不过体会不到看看也好            
(4星)	 終于看到了B和C的好ending～～撒花先...然后是說，其實覺得這季沒有上季好看呢，關系越來越混亂...不過里面的人養眼就好啦～期待第三季～～            
(5星)	 真是越来越讨厌Dan            
(3星)	 Nate很王子。长的是我喜欢的型。            
(3星)	 混乱            
(3星)	 虽然 剧情越来越不爽 不过还是欲罢不能            
(3星)	 狗血都无法再狗血！！            
(4星)	 越来越混乱的关系，哎，已经超出了我的承受范围。。。            
(5星)	 ...............            
(3星)	 不想看了··其实剧情太无聊了··男男女女扯来扯去就那点破事··还装得跟个什么一样··            
(4星)	 跳着看的....            
(NA)	 消遣用的快餐,不过某些亲情的倒是挺感人的            
(5星)	 二季完满落幕~~            
(4星)	 第一季看到一半美国编剧大罢工~等到罢工结束后剧情就神经兮兮的~跟开始的感觉完全不一样嘛~等到第二季~才发现~剧情随时可以向任何地步发展……            
(4星)	 24集很精彩 结局很温馨 C和B啊            
(2星)	 give up~            
(4星)	 果然C和B才是king &amp; queen啊，Lily和Rufus这对御姐帅哥也很棒，对D和S真是完全审美疲劳            
(3星)	 还有第三季。。。就这样结了其实蛮好的。。。            
(5星)	 虽然中间某些部分很拖沓            
(5星)	 下一季又有的闹腾了，但是BC的圆满还是足够让人欣慰的～            
(4星)	 這一季到底怎麽回事……我覺得越來越崩潰 但是爲了chuck和blair還是給了4星……            
(4星)	 中间严重失望，排列组合的感情关系，不过结局还是很有爱            
(3星)	 CW台三大青春剧被我集体放弃            
(5星)	 又来啦！            
(4星)	 看来还是会有第三季，C&amp;B终于一起！！            
(5星)	 不单单是酒醉沉迷的上东区生活 更体现了上流生活中的人性与爱。折腾了一季 亲爱的chuck和blair终于在一起。            
(2星)	 没能看完，无趣得要死了            
(4星)	 无敌的好看！！            
(5星)	 这样的高中是不是丰富了点，我们当年是不是弱智了点？            
(5星)	 Serena,Blake,loving you~~~~~~what a beautiful smile,like that a child see the sunshine on the first day of spring~~~~~~~            
(3星)	 我决定了 GG生涯到此为止 只追LTM            
(5星)	 也第一季比较，我还是喜欢第一季B &amp; C            
(5星)	 越来越混乱。。。            
(3星)	 实在太扯了...            
(4星)	 说实在 没有第一季有震撼力 可能是典型的美剧感情周折太多了 都不知道什么可以相信了吧 祝福Chair            
(4星)	 原来Chuck才是王子sama呀~            
(4星)	 就这么看完了·····            
(NA)	 讨厌s和dan的没完没了纠缠            
(4星)	 CW一贯的作风...男男女女乱搭配...脑残剧之典型...看在华丽的服装上...4 STARS...            
(5星)	 本季开始喜欢Blair。这季结的太好了～            
(5星)	 never end.xoxo            
(3星)	 弃            
(3星)	 最近还是没看            
(NA)	 虽然有些是满狗血的，但是打发时间多好呀。又养眼，又轻松。            
(3星)	 暴風雨前的寧靜？這小結局溫暖平靜并美好，但我就是期待下一季看編劇怎么把B&amp;D攪和在一起。            
(3星)	 B&amp;C啊！~~~            
(5星)	 第二季的纠结也终于结束，happy ending            
(NA)	 因为本季最后两分钟的那个吻，我还得看第三季……            
(3星)	 只是为了看衣服~            
(5星)	 expecting season 3            
(3星)	 http://data.movie.xunlei.com/movie/42200            
(4星)	 当中纠结            
(3星)	 才看了2集,拍得跟韩剧似的拖泥带水.            
(3星)	 after gradu.            
(4星)	 我从chair变成了nair...            
(3星)	 没有第一季好            
(5星)	 期待下一季~            
(3星)	 开始变烂。            
(4星)	 BC别墨迹            
(4星)	 居然喜欢上了Chuck和Blair...            
(3星)	 乱七八糟的剧情与人物            
(5星)	 一直在追的剧~~~            
(4星)	 终于看完第二季了~~N好帅但是其实最花心了有木有= =B和C的感情不要太纠结喔。。好喜欢S啊TAT~~D神马的随他去吧╮(╯▽╰)╭            
(4星)	 反正....既然看了那么多了...也不在乎好混乱的男女关系了            
(3星)	 乱了乱了。。。            
(3星)	 就期待B C了            
(3星)	 S哟D哟那些掉落的节操哟，该如何捡起……            
(3星)	 我再忍！！！            
(3星)	 太tmd混乱了            
(3星)	 乱。            
(3星)	 Chuck和Blair各种蛋疼            
(4星)	 little J成长了 B和C终于在虐恋过后修得正果  S这姑娘还是不知道在干什么- -            
(3星)	 不看了 勾心斗角好没劲 有钱人真累            
(5星)	 C&amp;B 在一起了．．．            
(NA)	 好久以前看的了   偶尔无聊还是会重新看            
(4星)	 从这部开始真正追的~~            
(NA)	 x.o.x.o gossip girl            
(4星)	 [补]。第二季还是可以的            
(4星)	 Honestly,I like Little J.            
(4星)	 无害            
(3星)	 也许是我的性格不适合看长篇剧集，第二季，没有了第一季的光彩，感觉编剧无事生非。            
(3星)	 不像第一季这么打动我！            
(2星)	 除了衣服好看            
(4星)	 从这一季开始，排列组合了。            
(2星)	 我就是脑残才会看这个！            
(3星)	 后面完全看不下去了啊，剧情看得我头晕。。。人物简直就是C n2的关系啊。。。。            
(5星)	 for prom theme and B~            
(4星)	 爱死CHUCK了！            
(3星)	 little J 真的很美            
(4星)	 我当初是买的盗版碟看的啊。。            
(3星)	 不咋样            
(3星)	 第二季剧情扯淡            
(NA)	 people r grown            
(NA)	 奢靡然后关系好乱            
(3星)	 华服和滥情            
(4星)	 已然忘却- -            
(3星)	 有点鬼扯了，没有第一季精彩，只是因为是bc党~            
(4星)	 呃。。。。。俗话说神马都是最初的好！介个依旧如此。。。            
(4星)	 fairy tale ends when they do for a reason            
(3星)	None
(5星)	 伴随我大学成长的GG。美颜动我心，剧情可忽略。            
(4星)	 妹的，这关系要混乱到哪般...B和C终于在一起了TOT...            
(4星)	 chuck~            
(NA)	 赞~比第一季好            
(4星)	 我是冲着Blair和Chuck，爱死了。            
(4星)	 我唯一的动力就是BC的完美爱情            
(3星)	 看完第二季就看不下去了我也不知道为什么            
(4星)	 nate从这里开始打酱油            
(4星)	 第二季开始，渐渐喜欢上了坏坏的，但是令人心痛的chuck~            
(3星)	 感情纠葛啊。。。            
(4星)	 最后chuck和bair表白很sweet，不过是真的不想看下去了，如果这就是结局该多好            
(4星)	 混乱啊啊啊            
(NA)	 为了看BC恋            
(2星)	 这季开始群P了            
(3星)	 相对于第一部，已经没有多少耐心看了。剧情依然跌宕，但是真的揪心。可是又至少剧情里总会给人冰释前嫌的机会，或者重温旧梦的机会，或者彻底忘却的机会，又或者想忘却的时候忘却想重温的时候重温的机会。            
(5星)	 Blair !Chuck !            
(3星)	 乱搞阿阿 衣服好看剧情无聊人物美型            
(3星)	 退去种种高贵时尚的外衣后，gossip girl会给人即便是忙于谈情说爱，参加社交活动的名媛仍然可以进入全球排名前三十的大学这样的精神导向，给个三星吧            
(4星)	 love C            
(5星)	 虽然剧情是真的很狗血~但我貌似是从这季开始渐渐发展为BC党的            
(2星)	 各种乱。。。            
(4星)	 其实我更喜欢第二季，            
(NA)	 呀。。这里我好像没看完。。不想看了。。觉得这帮高中生太无聊了！            
(4星)	 看美女帅哥和衣服的            
(4星)	 ~~            
(5星)	 越来越乱。            
(4星)	 节奏不拖沓所以看下去了            
(3星)	 飞来飞去的大牌，纠结来纠结去的人物关系。            
(5星)	 猜猜当时我喜欢哪一个女主角？            
(4星)	 越来越喜欢B和C,越来越不喜欢D和J            
(5星)	 最好看的部分~C和B在一起了~            
(4星)	 讨厌V！讨厌D！讨厌J！一开始喜欢S。后来喜欢B&amp;C！但最爱的还是Dorota和Cyrus！！            
(4星)	 ❤            
(4星)	 纯粹喜欢听他们说话            
(NA)	 喜欢B和C            
(4星)	 我看第二季的时候他们在看第一季，他们看第五季的时候我还在看第二季            
(5星)	 乱            
(5星)	 这季的 结局特别好。  特喜欢。  crazy  for  chuck~~~~            
(5星)	None
(4星)	 ACT年代            
(4星)	 BC开搞了。            
(4星)	 只看人，请别在乎剧情            
(5星)	 快开播            
(4星)	 真是开拓视野的美剧            
(4星)	 GG只有一对情侣 那就是B X C .. B不是公主而是女巫 C不是王子而是个混蛋...很少追美剧 偶尔看看剧里的名牌啊时装啥的 还挺养眼...            
(4星)	 B曾告诉C，“3 words ，8 letters，Say it , I＇m Yours ”可是C始终没有开口，那时对C好失望，更同情B的眼泪。后来当看到C走遍所有的地方为的只是带给给B所爱的、舞会上C的精心安排才明白，Ｃ的爱原来比Ｂ多，在没有足以给Ｂ最好的能力之前他始终不会开口，Ｃ也许比任何人都了解爱情。            
(4星)	 看第二季时，感觉这是个可以练习口语和听力的片子~            
(4星)	 第二季最大的亮点就是发现Chuck其实也没那么坏，并且在最后勇敢的面对自己的心，跟B在一起。            
(4星)	 Queen B各种羡慕嫉妒恨            
(4星)	 第二季也还行~            
(3星)	 开始排列组合滚床单了⊙﹏⊙b            
(4星)	 BC~            
(NA)	 看了几个月 断断续续的              
(4星)	 不评价了都忘差不多了。            
(3星)	 开始下坡            
(NA)	 谁都搞过谁。若不是chuck和blair都不看了。。。。            
(4星)	 第二季还是很好看的。。。。。那会儿B&amp;C还是很萌的            
(4星)	 I love Chuck             
(4星)	 葡萄老祖说 我喜欢研究人与人之间微妙~不不乱七八糟的关系~~            
(3星)	 忙得很的剧情。            
(3星)	 我受不了啦            
(NA)	 越看越没劲            
(2星)	None
(3星)	 第一季不错，后面简直就是乱炖。            
(3星)	 哎，一般……            
(4星)	 狗血了太多了..            
(4星)	 我猜B跟我一样 是黄色性格的            
(NA)	 比第一季有趣，萌点就是B和C各种分分合合啊！            
(4星)	 这季看到一半我就放弃了，我实在不能接受5个主角，三男两女，谁都可以搞在一起。。。妈的。。。            
(3星)	 狗血的开始            
(3星)	  忒乱了男女关系 但是明明第一季时候喜欢serena 到第二季时候就慢慢喜欢blair了 而且发现不止我一个人这样 但是还是不太正常的美剧吸引偶 这么青春洋溢的我还真有点吃不消 所以看了几集就弃了            
(3星)	 你大爷的~开始排列组合了！            
(3星)	 想起来看这个说明我又浮躁了，不过的确有防止失眠的功效            
(3星)	 才想起看过。            
(NA)	 接着追到第二部。。。觉得真尼玛无聊吧这群人。。            
(3星)	 接受不了的是 就这么十个人左右 你和我 我和他 他和她 她和你 吧啦吧啦 乱搞一通 还要周而复始搞几次             
(5星)	 B&amp;C            
(4星)	 有些纠结            
(3星)	 BC纠结恋            
(4星)	 每集都有看头            
(3星)	 看了一半没看完。。            
(5星)	 经典，向往他们的生活            
(3星)	 到底谁才是gossip girl啊            
(4星)	 B。。。            
(3星)	 赶脚太乱了 然后就没有看了……            
(5星)	 一下午把整个剩下没看完的第二季一口气全补完了。。好累眼=A= B&amp;C 事实证明 是你的永远是你的 期待各位的大学生活&gt;0&lt;~            
(5星)	 最爱的一季 大爱J            
(5星)	 这一季非常棒            
(5星)	 喜欢serena，喜欢chuck，喜欢bart bass，喜欢lily，讨厌dan，讨厌jenny            
(4星)	 看到一半弃了，过了很久之后寝室里有人看于是又捡起来了            
(4星)	 第二季还是主打BC的……结尾不错的……~~~            
(NA)	 这一季 CHAIR终于在一起了`            
(5星)	 这一季，我彻底爱上了BC。            
(4星)	 继续看            
(4星)	 这一季的nate 简直就是一匹种马            
(5星)	 到此为止，太恶心了，关系全部混乱            
(5星)	 第一季太耀眼导致第二季有点痴狂            
(3星)	 爱死BlairandChuck了~~~~~~            
(3星)	 看在Chuck最后总算和Blair表白的份上，给3颗星吧。实在太乱了。Serena：冲动的大傻妞；Nate：花的不能再花的大少；Dan：自私自负虚伪的混蛋；Jennie：自私自负的小混蛋。只有Chuck和Blair招人喜欢            
(3星)	None
(3星)	 乱shi了            
(3星)	 我竟然把排列组合女孩的第二季看完了……            
(4星)	 各种纠结，但是始终觉得BC是最美好的故事            
(5星)	 DV -- 2B组合！最讨厌表面善良无辜可怜实际玩阴谋诡计的黑丑剑卑鄙老巫婆V...D跟V一样令人恶心!!!假正义假正经无魅力无幽默的烂穷书生....            
(4星)	 better and better            
(4星)	 S02爱上C。            
(3星)	 喜欢Blair~            
(3星)	 BC            
(4星)	 we are chuck and blair, blair and chuck.实在是觉得lily是位很优雅的人，cece lily serena真是基因遗传。其实很不喜欢blair，太自我了，可是这种人偶尔好一点你就觉得感动。。。这种人真的赢了除非遇到更这样的CHUCK            
(4星)	None
(3星)	 卧槽！！老子终于看完了卧槽！！已经厌烦这个了！！            
(5星)	 E24太惊艳了！！！            
(3星)	 没第一部好看            
(NA)	 乱得一米            
(4星)	 看到这季，之后就没有了兴趣。            
(4星)	 越来越乱....不追啦 就为了nate追的 我的菜            
(NA)	 实际上我觉得把 比第一季好看些  虽然还是跳着看完的   C的声音还蛮有感觉的            
(5星)	 i love B and S            
(4星)	 为毛忧郁王子NATE总是喜欢阿姨呢？            
(3星)	 很久前看的了 忘记了具体的内容 总之很乱的一部剧            
(5星)	 这季结束就好了。。B&amp;C。多好。。            
(3星)	 喜欢看C            
(3星)	 这圈子还能再小点么...            
(5星)	 只为C            
(4星)	 Timing is everything .            
(4星)	 慢慢开始乱了            
(4星)	 爱上B&amp;C            
(3星)	 好乱。。。。            
(4星)	 四星 为Chair            
(NA)	 后几季就没什么兴致了。            
(4星)	 three words，eight letters,say it,i&#39;m yours            
(NA)	 终于看到B的执着与可爱，我无可救药的成为BC粉。那句：&#34;three words, eight letters, say it ,and i&#39;m yours&#34; 大爱！            
(4星)	 3.7            
(3星)	 开始变烂。            
(NA)	 越来越讨厌Nate            
(5星)	 一声不吭的走掉，结果是跑遍欧洲为B买来她最爱的东西。并终于说出口了 three words eight letters            
(4星)	 B u r such a bitch but i love u anyway            
(5星)	 第二季，看的有点让人崩溃。。。            
(5星)	 I&#39;m Charles Bass.            
(4星)	 关系越来越复杂-。-            
(4星)	 刚刚看完呐。。最后一集真美好。。为何要这么毒舌。不是挺好看的么~~            
(3星)	 整体好看的比第一季多，也是要慢慢进入状态的，可惜倒数第二集没什么意思，就跟第一季的感恩节一样，似乎那种穿插的故事都仿佛是敷衍，但第二季的走向如踩着西瓜皮，没有终点，滑到哪里就算哪里了，喜欢这个故事，是喜欢里面人物的想法，无聊的日子，空虚的生活，寻不尽的自我乐趣            
(4星)	 不看了，只想b跟c一起            
(NA)	 你可以把你脸上的面纱拿下来，让我看看真实的你吗？            
(3星)	 权当学习英文了            
(NA)	 Blair&amp;Chack            
(4星)	 最喜欢属于S和D的第二季            
(3星)	 反复看最后一集。It&#39;s not as hard to show ur love to the one u love the most。            
(3星)	 无聊到不行。。。            
(4星)	 喜欢S和D在一起。。。            
(NA)	 chuck bass!!            
(3星)	 无趣   这个配那个完了后再配回那个            
(3星)	 BC党            
(5星)	 有動力            
(3星)	 第二季開始混亂……            
(5星)	 little J            
(3星)	 吃饱撑的美国人……            
(4星)	 我没有特别喜欢谁也没有特别讨厌谁。但是我觉得戏份很少的Aron确实蛮帅的。            
(3星)	 纯纯打发时间。            
(3星)	 我真是不敢相信自己竟然看完了这个...我的天            
(5星)	 他们高中毕业了。。。。            
(4星)	 就感觉男主角们都好handsome ~            
(3星)	 太乱了……            
(3星)	 勾心斗角，开始讨厌Dan了            
(3星)	 衣服不错哦~哈哈            
(5星)	 中间有段比较闷，但最后几集很激动人心，所以五星了。很奇怪的是我不抗拒看这几个人重复的排列组合，他们之中任何一对在一起都觉得很好~似乎没说清楚Georgina是怎样从poppy那要回钱的呢。。            
(4星)	 同下。            
(4星)	 Ｓ！Ｓ！Ｓ！Ｓ！            
(3星)	 纸醉金迷            
(4星)	 结局不错             
(4星)	 继续排列组合！I&#39;m Chuck Bass ~I&#39;m Chuck Bass~I&#39;m Chuck Bass            
(5星)	 不管怎样，的确给了我很多快乐。爱chuck和B最后在一起了。            
(5星)	 B和C终于在一起了。            
(NA)	 当时看完第二季就不想看下去了！            
(4星)	 其实绯闻女孩的剧情没什么含金量……好在演员有特质有灵气……            
(4星)	 看的好累。            
(2星)	None
(3星)	 加一星为了Chuck &amp; Blair，this couple is so sweet~~~另，这部剧告诉我们，复杂的男女关系，只要你想，没什么不可以。。。            
(5星)	 queen B            
(4星)	 额。。。B和C你们能不能不要那么纠结啊。。。。。            
(5星)	 的确，能学到好多~            
(4星)	 继续被华丽丽的服装吸引。            
(NA)	 没有第一季好看            
(NA)	 太混亂了、我實在承受不了他們愛來愛去的亂來~！this is not to my taste at all            
(NA)	 ╮(╯▽╰)╭            
(3星)	 haha 终于看完了 拖了半年..and i’d like to say B and C 最后在一起了真好！            
(4星)	 这季还行吧！            
(3星)	 骄奢淫逸CP乱搭什么的~略无聊。            
(4星)	 貌似从这一季开始，人物关系就交叉着来了，唯一的亮点就是经历了长久的试探啥的，BC终于在一起了！            
(3星)	 果然正常向我完全没感觉啊            
(1星)	 受不了他们的爱情观，果断弃了            
(2星)	 稀烂            
(4星)	 青春的故事~看到这个剧就会想到自己以前追这个剧的时候的样子~            
(4星)	 众所周知            
(4星)	 一旦你开始关心人物命运，编剧就开始为所欲为了。痛苦纠结的一季，温馨治愈的结局。            
(3星)	None
(3星)	 越来越乱。            
(3星)	 但真的太厌烦了            
(4星)	 B你一定会和C好好的走下去的。。。            
(3星)	 纠结的人物关系            
(3星)	 开始乱的不行了            
(NA)	 不想往下看了            
(4星)	 大爱BC啊！            
(4星)	 勉强能看            
(4星)	 到这儿都还是好的            
(2星)	 可以去死了，编剧。            
(5星)	 到这里结束吧。            
(NA)	 不知道为什么从第一季就开始不喜欢珍妮，到了第二季简直可以用讨厌来形容！这女娃怎么就这么不让人省心呢？培养出来，绝对比布莱尔更蛇蝎心肠！还有叫Lily的女人，外表温婉端庄，肚子里想什么呢？多次婚姻不说，嫁这个还同时惦记着那一个..... 无语！            
(3星)	 乱搞乱搞你们这帮性病控！            
(5星)	 adolescence   fashion   school   scandaler              
(3星)	 看完第二季实在米有兴趣往下看了            
(4星)	 二。。。也还行吧  应该见好就收了的。。。            
(5星)	 看Gossip girls的毕业晚会，Blair得到了她一直梦寐以求的东西，然而当舞曲响起，她俯在恋人肩头，忽然无法抑制的伤感起来，他说你应该快乐的，她说是的，我很快乐，我应该快乐的，眼神却充满忧伤。她说，请不要说话，这一刻多么美妙，请抱着我，直到这支舞结束。Nate似乎明白了，            
(NA)	 艰难看完。。不打算追了。。            
(4星)	 非常喜欢S，欣赏她的坦诚。不过，看B和C的时候，又觉得很可爱。            
(3星)	 第二部比第一部差好多。。。- -            
(3星)	 无比混乱的N角关系            
(NA)	 喜欢喜欢。。。追了很久的剧            
(4星)	 太混乱            
(5星)	 我的爱            
(4星)	 为了queenB~大爱            
(5星)	 比第一部温暖，有成长的痕迹！以Chuck Bass的I love you结尾！！            
(3星)	 重新开始看...看了一集，有点看不下去了            
(NA)	 乱            
(4星)	 叮叮叮叮~            
(5星)	 cb终于在一起了,不过唔知道可以keep几耐.好奇都毕业了.大家都去唔同地方.再点维系呢..            
(5星)	 原来相爱的人还是能够在一起的 B&amp;C            
(NA)	 真他NIA的受不了            
(5星)	 魅惑！            
(4星)	 对不起我看完了            
(5星)	 chuck 和 blair 不是王子与公主 只是混蛋和女巫 所以我爱她们            
(3星)	 永远是朋友。。。偶尔打一pao。。。。觉得有点恶心了            
(3星)	 08嘅b and c，有你地就够喇，其他都5需要……and难道呢班人就无其他人可以xoxo……12/13，I  am me and u r u，we r chuck&amp;blair，blair&amp;chuck/b：i love u，c：that is 2 bad……就让时间停在25集好了，那句i love u 2            
(2星)	 换妻俱乐部，别人说的没错。对不起，我眼瘸了。            
(3星)	 只看了第一集，我看不下去了。和第一季相差好大。我决定到此为止。丹变了。            
(NA)	 看到第二季实在看不下去了...            
(3星)	 看人和衣服就行了            
(5星)	 最爱S            
(3星)	 然后我就没看了            
(4星)	 感觉比第一部好看~            
(3星)	 那个女佣太亮了…            
(4星)	 第一季还挺吸引我的             
(3星)	 第二季乱七八糟的，N花心，S与D分分合合，B和C也像玩游戏一样，最不喜欢的就是第二季了，似乎编剧匮乏了，几位主角几乎每人之间都搞过一次，然而现实生活中，S&amp;D B&amp;C C&amp;V N&amp;J也在一起了，还真是够乱的。。但是服饰还是一如既往的好看。            
(3星)	 是不是真的坦诚相对，就会丧失那一份激情呢~            
(3星)	 越来越乱            
(4星)	 就此停住，不想看到B和C分开。            
(5星)	 爱情好纠结，最爱CHUCK.对美剧混乱的关系又爱又恨。            
(3星)	 男女关系组合排列什么的……幸好，最终C说出了那8个字母（还外加3个免费赠送的）。其实GG只拍到第二季见好就收是最理想的            
