http://movie.douban.com/subject/3901388/	我爱我家
(3星)	 很有歷史意義的片子            
(5星)	 谨向英达同志献上我最真诚的问候和热爱！            
(5星)	 经典喜剧 美国有frieds 我国有我爱我家 如果说是模仿 也算是青出于蓝了~~你是我记忆中忘不了的温存            
(4星)	 前80集真是相当经典，没有后40集我一定给满五颗星。            
(5星)	 经典啊！！！            
(5星)	 我是忠实粉丝...            
(4星)	 曾经就是曾经            
(5星)	 现在看仍旧特乐的一个情景片            
(4星)	 喜欢喜欢，我老想看关于哥哥的那集，但没看过            
(5星)	 见过乐的，没见过这么乐的！甭管什么时候看，都让你乐！            
(5星)	 传世佳作。亲切，温馨，轻松，最后留下的不舍和感动！            
(4星)	 梁左是无敌的            
(5星)	 无法超越的经典。            
(5星)	 我爱我家            
(5星)	 各方面都很精致，很真诚的情景喜剧，很好看的！            
(5星)	 小时候            
(5星)	 在我心里不会有什么喜剧超过它            
(5星)	 不可复制 无可超越            
(5星)	 最好看的情景喜剧            
(NA)	 超喜欢            
(5星)	 你是我一生中忘不了的温存~当年的情景是那么温馨            
(5星)	 中国情景喜剧，它称第二，谁敢称一？            
(5星)	 120集 一集不落哦            
(5星)	 童年的回忆            
(5星)	  京味儿十足            
(5星)	 为这和姥爷每天抢电视 笑得像个傻子 姥姥说得。。。。。。 好想你们            
(5星)	 无敌爱的说~~~            
(5星)	 这还说啥...我爱我家另一个代号就是“经典喜剧”啊~!~它借用了很多典故和相声里抖包袱技巧，并且那些对社会现象的讽刺居然过了15年到今天依然如此一针见血。难得的常看常新的情景喜剧。            
(5星)	 如果有六星可评就好了。每年至少会看一遍，不一定全看，但是一定会随机挑几集看。优酷存着的唯一一个专辑就是我爱我家全集。没什么别的理由，就是因为他是能让我继续非常快乐温暖的东西。            
(5星)	 一直觉得姥爷长的特像文兴宇            
(4星)	 当时很搞笑。            
(4星)	 很娱乐            
(5星)	 永恒的经典，决不可能超越的丰碑            
(5星)	 百看不厌            
(5星)	 没啥可说的，向文老致敬            
(5星)	 好看！            
(5星)	 小时候总在午饭的时候和奶奶看            
(5星)	 在我看来这是国内情景喜剧的！            
(5星)	 最爱！            
(5星)	 像零食，没事儿吃点儿            
(5星)	 回忆啊            
(5星)	 ！！            
(NA)	 当时觉得很经典 现在觉得没什么了……可能是同类的电视剧太多了……            
(5星)	 百看不厌..            
(5星)	 喜欢喜欢喜欢 不管什么时候看这么搞笑~~            
(4星)	 老见面，也不寒暄什么了。反正梁左很伟大，喜剧界的国士。            
(5星)	 难以逾越.            
(4星)	 怀恋梁左···            
(4星)	 据说是中国第一部情景喜剧            
(5星)	 有碟 6DVD全集压缩盘\中国最棒的情景喜剧            
(4星)	 百看不厌，虽然也是贫，但是让人很快乐。            
(5星)	 最美好的记忆，            
(4星)	 第一次看到的情景喜剧            
(NA)	 当初喜欢 现在 特别是那个小女孩 长大了还挺讨厌的            
(5星)	 大陆最经典的情景喜剧，每看必笑            
(5星)	 据说关凌的爹和我爹是同事，据说她比我懂事。没劲            
(5星)	 爱是一个长久的诺言怀念梁左，英若诚，文兴宇            
(5星)	 一部剧沧海桑田，老傅驾鹤归西，宋丹丹英达劳燕分飞。看着它长大的也不知变成马路上谁的爸爸妈妈。尽管如此，还是记住它曾带给我的欢乐吧。            
(5星)	 国内第一部情景喜剧。            
(5星)	 经典不容错过            
(5星)	 经典的室内剧            
(5星)	 这个真的没有办法超越了            
(NA)	 好几年没看了            
(5星)	 你是我记忆中忘不了的温存 　　你是我一生都解不开的疑问 　　你是我怀里永远不懂事的孩子 　　你是我身边永远不变心的爱人 　　你是我迷路时远处的那盏灯 　　你是我孤单时枕边的一个吻 　　你是我爱你时改变不了的天真 　　你是我怨你时刻在心头上的皱纹 　　你是我情愿为你付出的人 　　你是我不愿让你缠住的根 　　你是我远离你时永远的回程票 　　你是我靠近你时开着的一主扇门             
(5星)	 我的最爱            
(4星)	 经典！            
(5星)	 绝对是经典啊！            
(NA)	 我爱我家            
(4星)	 北京人特有的贫嘴喜剧效果            
(5星)	 120集            
(5星)	 最爱情景喜剧,再没有可比肩的了            
(5星)	 成功的尝试，中国人也能娱乐。            
(NA)	 电视剧 情景喜剧 我爱我家             
(5星)	 文爷爷的语调啊~            
(5星)	 经典中的经典~~            
(5星)	 经典中的经典，百看不厌，后来的情景喜剧真的无法超越了，没有了粱左，中国的情景喜剧就真的没什么意思了。            
(5星)	 中国第一部情景喜剧，前无古人后无来者            
(4星)	 要出字幕就好了!            
(5星)	 有一大爱            
(NA)	 绝对无法超越            
(4星)	 用一个词吧，会心一笑。            
(4星)	 我也爱            
(5星)	 2011年8月份又怀旧一遍，真是美好而又无望的一家，特别是买电脑和做龙虾那几集            
(5星)	 陪我一直欢笑。            
(1星)	 吐！！！            
(5星)	 怀念文兴宇老师            
(NA)	 经典            
(3星)	 很多年前看过的啊。            
(NA)	 矮哎是一~个长久的诺喔言~~平淡按的故呜事要~用一声讲玩安~            
(4星)	 看了好几百遍            
(5星)	 什么时候看什么时候笑            
(5星)	 太经典了～～国产剧集的典范！！！            
(5星)	 最喜欢的一部电视剧。百看不厌。            
(5星)	 最经典的国产戏剧，值得收藏！            
(5星)	 伴我长大            
(5星)	 一个平淡温馨的家庭            
(NA)	 怀念老人            
(3星)	 看着里面的场景 就想起小时侯             
(5星)	 乐！            
(5星)	 情景喜剧的经典,台词非常好            
(4星)	 难得喜欢。。。            
(5星)	 今天收了dvd,哈哈            
(5星)	 喜欢，百看不厌            
(NA)	 儿时最爱            
(NA)	 我看过国内最好的情景喜剧~！她真的给过我很多快乐            
(5星)	 大爱            
(5星)	 记忆中的欢声笑语  爷爷很搞很有爱   是我最喜欢的情景剧。            
(5星)	 最近好像又在放了！！还是在看！！好好笑！            
(3星)	 断断续续的看             
(NA)	 虽然拍得很早，但到今天依然觉得好看            
(5星)	 儿时回忆            
(5星)	 生活的味道            
(2星)	 我讨厌那种北京味很浓的东西……            
(NA)	 都看了多少遍叻牙..            
(5星)	 中国最好的情景剧            
(5星)	 能从95年小学六年级 看到现在的唯一一部电视剧            
(5星)	 就是超爱！            
(4星)	 文老爷            
(NA)	 还不错            
(3星)	 还行吧，英式喜剧的代表，不过宁愿看闲人马大姐            
(5星)	 大爱~            
(NA)	 喜欢贾志国            
(3星)	 这肯定得看过，但不能说喜欢过。            
(5星)	 许多年后看我爱我家，突%7????%Bs怕长大，老爷子走了之后更加不看这个，贾圆圆长大了。可是刚看的时候，我还在上小学。            
(4星)	 国内挺经典的情景喜剧，反正我觉得比家有儿女好看，当然那个片子我基本上没看过            
(5星)	 六口之家            
(5星)	 FRIENDS是美国版的我爱我家            
(5星)	 经典            
(4星)	 中国唯一一部不错的情景喜剧。。            
(4星)	 都是小时候的事了~            
(5星)	 it&#39;s soooooooooo funny!            
(5星)	 经典啊经典！            
(3星)	 关凌就是在这认识的哈            
(3星)	 那个小眼梁宽特别可爱。            
(5星)	 贾媛媛同学 傅明老人~~哈哈            
(5星)	 always the best            
(5星)	 很好笑            
(4星)	 我爱我家            
(4星)	 喜欢            
(5星)	 永远喜爱你的幽默            
(5星)	 好玩哦            
(4星)	 中国的首部成功情景喜剧，小时候就没看全，前一阵子ppstream上播就看了点，真是……一般            
(4星)	 n遍。暑假中午吃饭时必看            
(NA)	 一直都很喜欢的。            
(5星)	 情景喜剧的开山之作，经典中的经典。            
(5星)	 无法超越的经典            
(5星)	 最好的situation comedy            
(5星)	 永远最爱的情景喜剧            
(5星)	 很经典的情景喜剧            
(4星)	 童年时的第一情景喜剧            
(4星)	 haah            
(5星)	 六岁至十二岁的最爱，台词恐怕现在都还记得不少            
(5星)	 至今最爱的一部情景喜剧            
(5星)	 百看不厌            
(5星)	 全民娱乐            
(4星)	 辛辣啊  把我给乐得            
(5星)	 我爱我家            
(5星)	 句句经典呀            
(5星)	 100颗星！北京味口哟~~~            
(5星)	 童年最爱！            
(4星)	 同下。            
(5星)	 哈哈哈哈   多欢乐的一家人            
(NA)	 太好看了！每天睡觉的听着睡 一边睡觉一边儿笑！            
(5星)	 这个绝对经典！后作再没有能超越它的            
(5星)	 看了现在会触到泪点的            
(5星)	 儿时的经典  带来很多欢乐的回忆             
(3星)	 我们这代都看过吧。。            
(5星)	 即使现在电视台播，我偶尔也会看看，百看不厌            
(4星)	 经典            
(5星)	 经典中的经典。            
(5星)	 尤其是音乐            
(5星)	 经典            
(5星)	 我最爱的文兴宇老爷子！！            
(NA)	 这是我长这么大最爱的电视剧，百看不厌！            
(5星)	 小时候就是爱守在电视机前看他们一家子。            
(5星)	 经典中的经典            
(3星)	 聽說是經典 可我看不出            
(5星)	 看过几集，贫道劲儿。            
(5星)	 古有我爱我家，今有武林外传~~~这个不给五星，天理不容            
(5星)	 向老艺术家致敬！            
(5星)	 2012。            
(5星)	 童年啊             
(5星)	 我最爱的喜剧！！！！！！！！！！！！！            
(3星)	 搁到现在是绝对不会看的            
(4星)	 老妈很爱看，哈哈。            
(5星)	 你是我记忆中忘不了的温存。            
(5星)	 大爱。            
(5星)	 这才是情景喜剧好吧！重温经典，就是现在。            
(5星)	 从此踏上爱上情景喜剧的不归路，那个时代的经典            
(5星)	 没什么评论，就是喜爱。            
(3星)	 这个我不是很爱，当时爱的是马大姐。            
(5星)	 童年的美好回忆 至今依然在看  忘不了的经典            
(5星)	 必须5星！！！            
(5星)	 木哈哈~美好回忆~            
(5星)	 轻松随意的生活太棒太棒了!!            
(3星)	 嘈杂声太大 还没字幕            
(5星)	 我的童年少年青年 会不会还有中年老年？哈哈哈哈            
(4星)	 不喜欢那个老头子，发音像掐喉咙。            
(5星)	 伴随了少年的好久一段光阴1.26.2012            
(5星)	 这样的电视剧能让你想起小时候的许多，已经不仅仅是电视剧了，而是你生命中的一个RFID标签，你刷一下就行            
(4星)	 我也爱我家            
(5星)	 会翻出来重看的经典            
(5星)	 想起跟Celia Jane在宿舍讨论的时候了            
(5星)	 完全不理解武林外传的笑点，我爱我家才是中文幽默的典范唉，为毛最高只有5星。。我要给10星！！            
(5星)	 我童年的欢笑记忆啊~好吧，我就是个俗人            
(5星)	 儿时看了无数次的经典中的经典！            
(5星)	 看见他们瞎贫 我就跟着傻笑            
(5星)	 大学的那么多顿饭都是你陪着我 每句台词几乎都能顺下来啊            
(5星)	 最近突然觉得这部看了一百遍的情景喜剧的OST这么好听啊！！            
(NA)	 英达和宋丹丹？            
(4星)	 童年的回忆            
(NA)	 不知看过多少次，以后还会看多少次。情景喜剧中的最爱，没有之一。            
(5星)	 不朽            
(5星)	 明明大团圆的喜剧结局，我却看得泪流满面。            
(5星)	 在我心中无法超越的经典            
(5星)	 小女孩叫圆圆的            
(5星)	 我还记得小时候中午就是不愿午睡，总是坐在电视机前等着盼着看我爱我家。从来都很羡慕有这么多家人可以住在一起的感觉。内地真没有比这更经典的情景喜剧了~又回顾了一次，真的很爱~            
(5星)	 这种感觉你有没有 这风却是年年都有            
(5星)	 “光阴的眼中你我只是一段插曲”            
(5星)	 童年的欢乐，启蒙情景喜剧了            
(5星)	 这部片子尺度太大了            
(4星)	 从未喜欢过这部国产喜剧，但是片尾曲是我7岁的旋律，那些没伴奏的忧伤字句和被昏暗灯光拉得长长短短的影子是我和父亲1997            
(NA)	 百看不厌……看过百遍……            
(5星)	 童年的回忆.            
(3星)	 我满喜欢那个老头的            
(4星)	 不太喜欢文新宇说话的调调            
(5星)	 现在看依然笑点很多啊            
(5星)	 这才叫真正的情景喜剧，什么时候看都很温馨。            
(5星)	 真的很好笑            
(5星)	 我记忆深处的暗涌            
(5星)	 北京记忆            
(5星)	 百看不厌，我的童年啊，北京人都喜欢看            
(5星)	 小学的时候挺爱看的....            
(5星)	 这部剧局就是叫你看了想笑，哈哈            
(5星)	 这些梗经久不衰，今天看依然不过时，情景喜剧的鼻祖！高品质精品！            
(5星)	 经典。            
(5星)	 神剧。            
(5星)	 欢乐剧。            
(4星)	 神剧··            
(4星)	 王志文是绝逼的酱油男么。            
(5星)	 不能超越的经典            
(4星)	 我老了            
(5星)	None
(4星)	 先河，没啥说的            
(4星)	 童年啊            
(5星)	 哈哈 多么幼齿的回忆。            
(5星)	 经典            
(5星)	 爱是一种长久的诺言，平淡的故事要用一生讲完，光阴的眼中你我只是一段插曲，当明天成为昨天，昨天成为记忆的片段，内心的平安那才是永远            
(5星)	 我成长的年代            
(4星)	 那时不喜欢看，觉得这里面的人很有些弱智            
(1星)	 抄袭严重            
(5星)	 永不过时的情景喜剧            
(5星)	 各种特殊意义            
(NA)	 看的时候还太小，几乎没印象了。            
(3星)	 经典剧。            
(5星)	 中国最早的情景喜剧，中国最棒的情景喜剧            
(4星)	 最喜欢爷爷啦～            
(5星)	 喜欢的都没办法用言语形容了！            
(4星)	 小时候经常全家一起看得，好怀念            
(5星)	 最喜欢的情景喜剧            
(5星)	  经典            
(5星)	 没的说，搞得太好了。            
(5星)	 在青海台的带领下重温了一遍，这部电视剧在现在来看都算是品质比较好的了。            
(5星)	 哈哈哈哈哈，又找到了小时候的感觉            
(4星)	 中国室内情景喜剧的鼻祖~~怀念文爷爷~~~内牛满面。。。            
(3星)	 就记得文兴宇的爷爷形象了            
(5星)	 我看过最多遍数的电视剧            
(5星)	 经典的一塌糊涂，最爱老爷子。            
(4星)	 中国第一部得到全民认可的情景喜剧。四星半。            
(5星)	 好看不解释，巨无霸顶            
(5星)	 吃以前吃饭前一直看的~~~            
(5星)	 治愈系电视剧            
(5星)	 第一部从头看到尾，笑到尾的情景剧……            
(5星)	 经典好看。            
(5星)	 宋丹丹和老爷子真是可爱死了            
(5星)	 小时候很喜欢和爸妈一起看            
(4星)	 ~挺好玩的……            
(5星)	 前无古人 后无来者！            
(5星)	 只是被模仿 从未被超越            
(5星)	 作为北京人，必须AAA+++++++++++++++++++++++            
(5星)	 英年早逝的梁叔叔。            
(5星)	 最近又有重播了啊            
(5星)	 中国情景喜剧的巅峰之作            
(3星)	 FFFF!!!!            
(4星)	 好珍贵...            
(5星)	 何时看一会都忍不住笑            
(5星)	 中国最好看的情景喜剧，比现在的好看多了。那个年代多纯真，多真实，百看不厌。好喜欢好喜欢！            
(5星)	 为什么不能多出点这样的经典            
(5星)	 我最喜欢爷爷的笑。            
(5星)	 由此片我们客观检测出文兴宇老同志的粉丝年龄层普遍停留在贾园园级别，此剧播出后很长一段时间里，文兴宇老同志成为众多老中少妇吐槽对象。            
(5星)	 必须看过！！！            
(5星)	 可惜老爷子已经仙去了            
(NA)	 有明显印象的一部情景喜剧。小时候还用我爱我家当作文题目            
(5星)	 当明天成为昨天，昨天成为记忆的片段。光阴的眼中你我只是一段插曲。            
(5星)	 國內最佳情景喜劇            
(5星)	 最好看，也爱那个爷爷。            
(5星)	 woaiwojia            
(5星)	 经典中的经典，迄今为止没有超越者            
(5星)	 绝对是中国情景剧的巅峰。那些台词的讽刺意义后期作品无人能超越。和当时的创作环境较宽松有关            
(5星)	 我喜欢文兴宇            
(5星)	 什么时候看都很喜欢            
(5星)	 永远的经典！            
(5星)	 时代变迁的见证            
(5星)	 我最爱的国产情景喜剧，心目中的巅峰之作，至今无法超越！            
(5星)	 果然国产还是以前的好看！            
(5星)	 呜呜呜呜!!!!!!!!     话说我现在印象最深的就是葛优客串出场的那个镜头啊~            
(4星)	 再好的喜剧也架不住天天放！            
(4星)	 时代的印记            
(5星)	 还能有超越这个的么？            
(5星)	 此后世间无梁左，此后国产喜剧无天才。英达有小聪明，无大智慧，虽然臭屁，但还算有自知之明。            
(5星)	 现在回顾已经物是人非了。            
(5星)	 情景喜剧鼻祖，一直被模仿，从未被超越。            
(4星)	 陪伴我童年的情景喜剧。。            
(5星)	 在电视里看过            
(5星)	None
(5星)	 我是真的忍着肚子疼笑得肚子疼            
(3星)	 为嘛我就是对这剧不感冒呢……            
(5星)	 趁着这被抛弃的阶段我得让自己开心点！！            
(5星)	 敬请喜剧的经典之作            
(5星)	 最喜欢的电视剧            
(5星)	 经典的东西看多少遍都不烦            
(5星)	 最喜欢的情景喜剧，没有之一            
(5星)	 中国无法超越，最成功的情景喜剧            
(5星)	 离了宋丹丹英达就是个屁。应该好好感谢宋丹丹才让他有了这部留在中国电视史的名作。            
(5星)	 我得给它打五亿颗星，啊不，就算是五亿颗都显得寒碜！            
(5星)	 国产情景喜剧一大作啊！            
(4星)	 这个剧播出的时候刚上高中，我以能架着嗓子模仿老爷子说话而被同学们所崇拜。            
(5星)	 看多少遍都不觉得腻，剧中的人物仿佛就是身边的亲人那般。满满的童年的回忆，永远经典的国产情景喜剧。            
(5星)	 特定历史产物，中国变天了也拍不出来，参见台湾            
(4星)	 大陆情景剧代表            
(5星)	 中国情景喜剧的诞生之作，也是迄今惟一的经典。            
(5星)	 当真完美            
(5星)	 适合全家人一起欣赏的室内情景剧，轻松讨喜。            
(5星)	 中国喜剧不可逾越的高度哇，能跟其占一点边的只有武林外传。只是沾边哦。还不是能够相提并论的。            
(5星)	 在复习呢            
(NA)	 我妈的最爱~            
(3星)	 很小时看的，就记得他们演完后还下去给观众签名            
(NA)	 童年记忆            
(4星)	 小时候的回忆呀～            
(4星)	 情景喜剧始祖            
(4星)	 那种时代感的沙发、家具，恐怕也只有在老剧里才能看到了吧，想起了小时候去外婆看到的布置。            
(4星)	 成就了3个童星            
(5星)	 童年回忆            
(5星)	 幼时的回忆            
(5星)	 彼时，英达和宋丹丹还是夫妻。            
(5星)	 最早看的情景喜剧了吧            
(5星)	 童年            
(5星)	 假期总重播 看了好几拨            
(5星)	 很不错的情景剧            
(2星)	 国内的情景喜剧，我反正时笑不起来，听着你们的笑声感到奇怪，以至于后来一见到都想吐。国外的神马老友记同样。            
(NA)	 你们都爱 贾志新！            
(5星)	 中国情景剧开山之作            
(5星)	 空前绝后！只爱看这种，武林外传那种完全找不到笑点。。。想念文兴宇爷爷            
(5星)	 小时候超爱看 现在都不记得了……巨喜欢里面的爷爷……            
(5星)	 我可喜欢了            
(5星)	 经典            
(NA)	 经典            
(5星)	 中国最好的情景喜剧，没有之一~            
(4星)	 小时候在我姐家就看这个。。            
(3星)	 很水的肥皂剧，适应于中国国情            
(4星)	 喜欢圆圆            
(5星)	None
(5星)	 十多年后看依然犀利幽默。            
(4星)	 满经典的            
(5星)	 !!!!!            
(5星)	 很经典的喜剧，里面有许多好听的歌曲~            
(5星)	 是不是越长大越怀念小时候？我只清晰地记得高中之前在家每顿中饭老爸和我都将它当做永恒的最佳饭友，一年一年没完没了温习着看过无数遍的剧情，最后还可以两人搭戏配合搞笑的桥段一唱一和。真的难忘。            
(5星)	 室内情景喜剧最高！            
(5星)	 国产情景喜剧的鼻祖            
(5星)	 儿时回忆哦。。。            
(5星)	 绝对的经典之作，多年后看依旧笑得前仰后合~            
(4星)	 初中每天中午放学回家吃饭时 中央八套都会播             
(4星)	 国产情景喜剧的开山鼻祖            
(5星)	 勾起了我无尽的回忆。            
(3星)	 挺搞笑的            
(5星)	 分外怀念令我颠笑的年少啊            
(5星)	 史上最经典无人能超越的情景喜剧。——中国造！！！！！！！！！！！！！！！！！！！            
(5星)	 无所谓超越，只是永远经典            
(5星)	 这么多年，我还爱“我家”            
(5星)	 2010年夏，辽阳，正好在师兄那发现了此片，在此后三个月的中试时间里他和传奇及师兄老徐等伴我度过了那一段在研究生生涯可以说是最为值得纪念的时光~我亦爱我家！            
(4星)	 小时候一集都不会错过的看。            
(5星)	 百看不厌            
(5星)	 那首歌曲平静的让人想哭            
(5星)	 经典之作            
(5星)	 每集都很好看有木有            
(4星)	 前一半经典，后一半大部分垃圾            
(5星)	 最好看！            
(5星)	 那时候我们的搞笑不需要山寨任何美剧。            
(5星)	 太经典了            
(1星)	 一点笑点都看不出来            
(4星)	 情景喜剧的经典加鼻祖            
(5星)	 我小时候都在干嘛？都在看这些啊             
(5星)	 中国最好的情景喜剧没有之一。            
(5星)	 神作啊，真是百看不厌            
(5星)	 2001            
(5星)	 梁左，两天，梁欢他们是一家的            
(5星)	 中国最好的情景喜剧，没有之一。            
(5星)	 120集全看了，小学时候每天晚上吃饭都看一两集，买的是盗版盘……里面很多的笑点现在的喜剧还在用            
(5星)	 搞            
(5星)	 哎，丹丹和英达现在闹的。            
(5星)	 小时候百看不厌            
(5星)	 百看不厌的国产剧            
(5星)	 ４-ever            
(5星)	 经典情景剧！            
(5星)	 我喜欢宋丹丹和关凌！还有小保姆！            
(NA)	 这剧是真做到百看不厌了，台词那都是经典啊            
(5星)	 喜剧启蒙。            
(5星)	 打五星，需要理由吗            
(4星)	 最早看的情景喜剧            
(4星)	 还是搞笑！            
(5星)	 天才和鬼才，中国电视剧，难得。            
(NA)	 再也没有比我爱我家更经典的国产情景喜剧了            
(5星)	 情景喜剧的启蒙教材，太棒了！            
(5星)	 撒都不说了，经典中的经典。            
(5星)	 童年            
(5星)	 经典中的经典            
(5星)	 中国情景喜剧的高峰            
(3星)	 老剧            
(5星)	 那个时代的经典，之后除了武林外传就没有可比性的了。。。            
(5星)	 超级喜欢看            
(5星)	 超经典！！！小时候爱看。            
(NA)	 经典中的经典            
(3星)	 偶尔瞄几眼            
(5星)	 你是我記憶中忘不了的溫存。            
(5星)	 唉，文嗲。            
(NA)	 永远的经典            
(5星)	 美好的童年记忆            
(5星)	 赵明明可漂亮了，当然，这个不是重点            
(5星)	 一个电视剧好不好 其实从主题曲就能看出一二......            
(5星)	 内心的平安那才是永远。            
(NA)	 挺好看            
(5星)	 中国所有情景喜剧的鼻祖            
(5星)	 梁左+王朔+宋丹丹等话剧天才，我敢断言近30年中国不会再有超过这部剧的情景喜剧了。从94年和父母一起在电视中一集一集的看完后，这部剧曾被我无数次的重播，最夸张的时候是在纽约，我喜欢在落寞的时候一边放着这部剧一边去发呆...            
(4星)	 经典            
(2星)	 很有趣，很温馨。            
(5星)	 中国最棒的情景喜剧，当年每晚都要看完才肯睡觉。            
(4星)	 好经典~            
(5星)	 每年这个时期好像都在看我家 背都背过了 但是怎么也看不够 老傅 和平 小张 和平她妈 都是经典中的经典 永远也不会被超越了            
(5星)	 太经典，看过无数遍            
(4星)	 看的第一部室内情景喜剧，当时还老想那些笑声是不是录音机放出来的~            
(5星)	 重温我爱我家，依旧充满欢乐、温馨和感动。            
(5星)	 看过20遍了感觉 大陆情景喜剧最高峰 北京人都懂的            
(5星)	 这个很经典            
(NA)	 这必须看过吧            
(5星)	 爱是一个长久的诺言。主题曲很棒            
(5星)	 大爱            
(3星)	 我讨厌爷爷呢            
(NA)	 咳咳            
(5星)	 天朝最好的家庭情景喜劇。            
(5星)	 中国第一部也是唯一一部真正意义上的情景喜剧            
(4星)	 演员都张大了            
(5星)	 前几天还在看......            
(5星)	 童年的回忆，至今的最爱！            
(5星)	 最爱的室内剧了！            
(NA)	 经典经典经典            
(5星)	 空前，绝后。            
(5星)	 经典之作            
(5星)	 我想再看！            
(5星)	 经典，无法超越啊！！！            
(5星)	 不可能没看过！！！            
(5星)	 我觉得可以再看一次            
(3星)	 温情的童年记忆            
(4星)	 挺有意思的。。            
(4星)	 鼻祖级~  小学晚饭时必备            
(5星)	 内心的平安那才是永远            
(NA)	 还真是挺老的 很北京            
(5星)	 中国最经典的情景喜剧            
(5星)	 好看好看，又一部看了很多遍的剧            
(5星)	 不知道看啥时就会翻出来看，基本上没机都能背下来了，最爱蔡春生那一集            
(5星)	 你是我爱你时改变不了的天真 你是我怨你时刻在心头上的皱纹             
(5星)	 关峡的曲子好美            
(4星)	 情景喜剧开山之作~            
(3星)	 小时候了            
(NA)	 呀呀 这个是小学中午回家吃饭时看的            
(5星)	 至今每到听到那几首主题歌都会回忆起童年~            
(5星)	 永远的经典            
(3星)	 老爷子。            
(5星)	 每次音乐一次，就无比激动！！            
(5星)	 永远的最爱            
(5星)	 终于明白什么叫笑得花枝乱颤……            
(5星)	 你是我远离你时，永远的回程票            
(5星)	   小时候老根我爸凑一起看的片子。非常喜欢。 记忆中最美好的家的样子。            
(5星)	 家的感觉，童年的感觉，逝去的感觉……            
(5星)	 依然不可超越。90年代出一批作品（包括我爱我家、编辑部的故事、过把瘾以及诸多冯小刚电影）的高度至今无法超越，猜想可能因为那时候刚刚思想解放并且市场化的程度还未达到让艺术家放弃灵魂。            
(4星)	 那时也不懂得好不好看。就是每晚全家一起看的布景简陋的情景喜剧。现在回味仍能感受到九十年代质朴的气息。            
(3星)	 情景喜剧开山之作 堪比Friends在美国情景喜剧里面的地位 关凌是真不行了现在            
(5星)	 小的时候超爱看，但是很多掌故都不知道出处，现在想在看一遍嗯 我很受用            
(5星)	 啥也不说了 最棒的中国情景喜剧 ever！            
(5星)	 很老了。。。。            
(4星)	 当年那么火的时候一集没看过，现在倒给补全了。            
(3星)	 记得当时我爸说，他最讨厌文老头说话唧唧歪歪的            
(5星)	 真棒！！！            
(5星)	 经典到不行            
(5星)	 我最喜欢的剧            
(5星)	 梁天啊哈哈哈 那时候特流行长成这样的             
(5星)	 不断复习，每次都笑背过气去。。。            
(5星)	 从未被超越            
(5星)	 最近事情比较多，晚上一边忙事情一边开着个背景音，于是又重新看了一下我爱我家，真的是我最喜欢的情景剧没有之一啊。            
(NA)	 有很多八十年代的回忆。            
(4星)	 可喜欢文兴宇老师演的老傅了，这老头真是忒可爱了！可惜文老师这么好的演员却走了！            
(3星)	 媛媛长大了，爷爷去世了。你还好么？            
(4星)	 经典国产电视剧呀            
(5星)	 当年太喜欢看了            
(4星)	 童年回忆            
(5星)	 中国电视史吐槽神作            
(5星)	 国产情景喜剧的开山之作，也是巅峰之作            
(5星)	 真的很好看啊，就只看这一部情景喜剧，其他的都没有这个经典尤其是宋丹丹，每个演员都表演的很棒！            
(5星)	 最爱！~睡前必看一集.            
(4星)	 对这部剧记忆真的不深 不记得细节 只记得蛮搞笑的～            
(5星)	 我最爱的室内情景剧！内心的平安那才是永远。            
(NA)	 早已经是经典中的经典，不能复制的经典了            
(NA)	 其实很经典。有很多的回忆            
(5星)	 这是一个时代            
(5星)	 它是我记忆中忘不了的温存            
(4星)	 开始怀旧了怎么办            
(NA)	 没事儿常看看            
(5星)	 经典不用解释            
(5星)	 神作了            
(5星)	 温馨依旧，我爱我家～            
(5星)	 小时候晚饭时间和老爸一起看完的            
(5星)	 小时候超爱看呀~            
(5星)	 。。。此处省略1000字。。。            
(4星)	 让我把四星献给姜文大老爷            
(5星)	 哈哈            
(5星)	 内心的平安那才是永远。            
(5星)	 让我找到我那不正经的贾志新吧！！！            
(5星)	 绝对的经典，大陆第一部情景喜剧，即使今天看，仍然非常好笑。喜欢梁天，文兴宇老师的表演，宋丹丹和关凌也很不错。            
(5星)	 我多想有一个这样的家庭。。。你们真让人羡慕            
(5星)	 太喜欢了！！！！            
(NA)	 巨好看            
(5星)	 百死不悔，永恒经典。            
(5星)	 我最喜欢的喜剧，没有之一！            
(3星)	 - -以前放学时午间休闲必备节目啊            
(5星)	 100星，绝对的            
(5星)	 永远看不厌啊，怀念那时候的日子            
(5星)	 穷人乐            
(5星)	 太经典了            
(5星)	 伴随成长的美好记忆            
(5星)	 大家都爱这一家！            
(4星)	 啊爸妈喜欢死了            
(5星)	 填满了我不少空虚的童年时光            
(5星)	 经典            
(5星)	 呀，这不是小时候很爱看的我爱我家嘛，那时候好有感觉            
(5星)	 看了一遍又一遍。。。就好像看friends一样。也是一遍又一遍～            
(NA)	 好不好看我都忘了。只是那时候很奇怪电视剧里怎么会有观众的笑声？后来才懂得那叫情景喜剧！            
(5星)	 巅峰，巅峰，巅峰！！            
(5星)	 这才是真正的牛逼            
(5星)	 一直到现在都那么喜欢梁天，都喜欢说恩们，都喜欢管美金叫美子~~            
(4星)	 花絮，“那个背影”丹丹姐又笑喷了……            
(5星)	 只有两个字：经典！！！            
(4星)	 说起来这个应该是姐姐的最爱            
(4星)	 有那么几个词 能代表童年            
