http://movie.douban.com/subject/4826767/	家常菜
(3星)	 纯属虚构。。。虚的很假。。。            
(NA)	 爱情里的主人公不在了  自己还那么的坚持   即使一辈子都搭进去也是爱的体现  ！            
(5星)	 其实爱情应该不分时代，不同年代的爱情都有共同感人的时刻，一个好男人的责任心            
(NA)	 表示不相信会有这种男人            
(2星)	 黄志忠，挺好一个男演员，接了一部烂戏，期待其他大作。喜欢何琳            
(NA)	 这样的好男人基本不存在了            
(4星)	 看得人很郁闷，但是还是忍不住往下看，虽然白眼狼可恨，但是邻里之间的互帮互助，亲人的理解与支持，很让人感动            
(4星)	 比较切合那个时段人的想法，现在估计已经没有这样的姐夫了。。。            
(4星)	 第一次看到18集，真是非常非常的喜欢，喜欢那样有责任的那人，喜欢那个年代的生活，真的很想再看一遍，可是自从女主死后，真的是惨不忍睹啊，似乎后半部分的编剧换人了~~~~            
(3星)	 一群白眼狼            
(3星)	 说实在的……有点儿假……那么好的老实的男的……这辈子也遇不上啊。            
(4星)	 这种爱情的责任感，至今的延续却是被“婊”起来。看来我生在这时代真病了。            
(5星)	 真的有那么好的男人？？不信            
(4星)	 国产电视剧里算好的了~~~台词蛮有劲，就是故事太寒颤。。演员演技不错。            
(NA)	 喜欢男主，啥都崩说了，遇到这样的直接掳走办结婚证去，剧情到后面太瞎太苦情了            
(NA)	 好剧.为数不多的好剧.            
(4星)	 80年代的爱情故事，后面略显浮躁，但是亮点还是在的。            
(4星)	 我有和刘洪昌一样善良执着的心            
(4星)	 节奏快点会更好            
(4星)	 我在最五片子吃饭的时候看的~其实前面真不错，美美的，后面就狗血来了~            
(3星)	 相濡以沫            
(NA)	 和老爸老妈一起看了大部分   虽然情节到后面有点扯 不过总体来说还不错            
(4星)	 講了一些兩個人相處的事情~            
(2星)	 张女士经常开着dvd就睡了我还得帮她关。            
(4星)	 挺搞笑的            
(NA)	 真的是很爷们儿······            
(3星)	 断断续续看到一点，感觉宋春丽的角色有意思，表演出彩。            
(2星)	 太坑爹了！！一直以为是个生活励志剧，熬夜看了十八集，觉得要变味儿，狠心看了剧情简介后，果断决定放弃！太狗血了！！            
(1星)	 编剧脑子绝对烂掉了            
(3星)	 命真苦呀            
(3星)	 大老刘掉“狼窝”里了。。。。。。            
(5星)	 最后“姐夫”为救文涛，被埋矿下。虽然熟知大陆电视剧的结局一定是圆满的，但还是紧张得不行，嗓子都要喊哑了···一幕生活剧            
(4星)	 黄志忠果然演技派。            
(NA)	 陪着老爸看的            
(4星)	 昨天剧终了，别的不说，黄志忠演得真好啊            
(4星)	 世上当真有这样肝胆相照的真情男子？            
(5星)	 坚守承诺的爱情            
(4星)	 挺感人的..            
(3星)	 无底洞&amp;白眼狼们            
(4星)	 别乱写啊！豆瓣了那有40集  只有38集了啊！看的心情起伏联想。            
(NA)	 不如改名叫《姐夫和小姨子的十年》更给力            
(3星)	 那个时代的姐夫~            
(2星)	 尼玛的编剧你脑子是不是被门夹了            
(3星)	 很多狗血的剧情，特别是结尾~            
(5星)	 很真实，很感人，我是和爸妈一起看的，家庭剧。。。            
(4星)	 赚了不少眼泪啊            
(3星)	 感人。哭戏和大结局真特么狗血！            
(2星)	 编剧脑子肯定让驴踢过了！为了塑造所谓的绝世好男人，不惜把何家的三姐弟全演绎成狼心狗肺的白眼狼，全然违背了八十年代初的社会背景与人的道德观念。。。弄巧成拙，反而把刘洪昌戏弄成一个绝种的傻男人。拜托，导演与编剧，如果实在拍不出来感动人的好剧还不如洗手不干了，别再侮辱观众的智商了！            
(NA)	 居然赚了我不少眼泪             
(4星)	 现在还有多少人在钱面前选择骨气这个东西···男人爷们···没一个容易的····怎么做都是事····刘洪昌不是超人···他是一个平凡的爷们，一个顶天立地的男人            
(3星)	 越编越扯            
(2星)	 太屎了这狗血的剧情            
(3星)	 演員很好.情節狗血.            
(3星)	 刘洪昌的反面不是后墩子，而是何文达，大白眼狼            
(3星)	 很跳跃            
(3星)	 还有这样的男人嘛~爸爸都有意见乐！            
(3星)	 杯具太多了点儿            
(1星)	 一个无敌苦逼男人为了一家子傻逼贱货而奔波的传奇。            
(3星)	 饰演文远的童谣长得可真像章子怡，饰演建萍的演员长得有点像梅婷，饰演心心的演员长相可不像剧中刘洪昌和文惠的孩子，倒是有点像刘洪昌和杨麦香的……            
(NA)	 我也没事看了这个了。            
(3星)	 陪爸妈一起看的 话说这种好男银还存在这么            
(2星)	 矫情            
(1星)	 看到吐血。不能这么纵容白眼狼呀！            
(4星)	 爷们中的爷们！            
(NA)	 陪我妈看，编剧是个傻X，男主角是个傻X            
(3星)	 看过几集，有闲的时候可以看看            
(4星)	 大老刘是世上少有的话，杨麦香就是天上也少有。。。什么烂结局            
(4星)	 男主 绝对的绝世好男人 非常有魅力但其他人物有的真让你摸不到头脑 编剧有点混乱            
(4星)	 感人 但是现实中 这样子的男人没有...            
(3星)	 做好人就得窝窝囊囊            
(1星)	 编剧你脑子有问题。            
(3星)	 有点儿太过于纠结了            
(5星)	 男人的脊梁            
(3星)	 前一半还行，后边太戏剧、太设置，让人感动不起来了。            
(4星)	 这个世界 还给 爱情 留着 地儿 能吃到家常菜就知足吧 坐等            
(5星)	 让我顿悟了~只要有感情，什么都过得去！            
(4星)	 没有更惨，只有最惨            
(2星)	 狗血程度不是一般二般的~            
(3星)	 为什么有人会说太假呢，因为它太雷锋化了            
(4星)	 这些其实是人最本质的归属。            
(4星)	 最近有点堕落。。。            
(NA)	 为尊严活着的人，是勇者。仅此二字，是我所最为看重的东西。一时的不叫尊严，有谁扛得起一辈子活着的尊严！什么都可以没有，但是，不能，没有尊严！那是作为人，一个被称为人的最起码的底线。可就这，我们保不住。因为为了尊严，活的太苦了，这份苦，扛得起么！            
(5星)	 很多年没有认真看过一部内地电视剧了。《家常菜》吸引我的是男主的执着，对于爱情的执着，对于承诺的执着。            
(4星)	 编剧真害人            
(4星)	 老妈说要找个像刘洪昌一样的男人。。。            
(4星)	 男主角有些像汪·晖。            
(2星)	 整个电视没有伦理，没有人情。除了男主比较正常，其他人全是白眼狼。            
(4星)	 男主角很爷们，欣赏，昨天刚看了结局，太扯了，前面都毁了。。。            
(5星)	 挺好看，看着有在西安的感觉~            
(3星)	 太气人！！！这三个B孩子！！！            
(4星)	 这才是爷们儿。。。。。文远是章子怡胞妹演的么！！            
(NA)	 虽然故事情节一波三折~不过这个男人身上的东西 真心欣赏~            
(5星)	 家常菜是我看过的内地最棒的电视剧，看情感片从不流泪的我，家常菜让我流了不少泪！人间真有真情在，要全社会都这样活着真有滋有味！            
(3星)	 好老公模板啊。。。。            
(NA)	 苦逼的大姐夫            
(NA)	 爹妈在看，跟着看了一段，文什么一家都是白眼狼。            
(4星)	 黄志忠            
(4星)	 挺感人的            
(NA)	 何家人除了那个岳母和文惠之外其他都是些忘恩负义、见钱眼开的玩意儿。刘洪昌怎么就这么命苦呢，还有杨麦香也是那么好的人，最后还是没走到一起。期待东方卫视给力结局。            
(NA)	 。。。~电视热播中。我乃电视控！！！            
(4星)	 这男人过了            
(4星)	 男人做事情不能有头没屁股。“年画怎么了，我愿意！”            
(4星)	 过年的时候在国内和妈妈一起看的,发现这类题材的还不错            
(4星)	 不多见的大陆暖人片 比传说中的张艺谋好太多了            
(5星)	 这不片子的成功之处很多是体现在我们觉得失望之处，艺术的真正魅力！塑造的这个人不是神，实实在在的一个人，他身上的让人折服的东西，耐心看完所有的，这不是YY小说，后期虽然看的压抑，但是会有所悟、有所明。折射出现在社会的很多东西、看后难以安静、反思了很多……我们要的到底是什么？            
(4星)	 看得我苦逼死了。。            
(3星)	 一家子养不熟的白眼狼，自私无比，前半部男主是绝世好男人，后半部为了成全自己的“大义”，伤害家人伤害自己的青梅竹马~~彻底无语了~            
(2星)	 编剧太没常识            
(1星)	 国产电影已经让人没法看没法忍受了，现在连描写普通老百姓普通日子的家庭剧都编的导的乱七八糟，真是每况愈下，浪费了宋春丽左小青几个好演员。再也不看了。垃圾。            
(3星)	 第35集刘心心向二叔洪昌告别时怎么把文惠称作阿姨，至少也要叫二婶，更何况她以知道自己就是洪昌和文惠的亲生女儿。            
(NA)	 经典的连续剧，做男人就该像刘洪昌一样，可能担当，也敢于担当。            
(4星)	 绝世好男人！            
(2星)	 一个完美男人拯救一个脑残家庭，过于完美就显得假。除了刘洪昌是看点，别的一无是处！！！            
(NA)	 黄志忠离婚，不知道跟拍这部电视有没有关。            
(3星)	 前半部好 有笑有泪又逗又虐的 但是编剧编到后来是精分了么 虐男主虐上瘾了么 后半部也太离谱了 变成一个好男人跟一群白眼狼的故事了            
(5星)	 看不懂的是年轻人，看了觉得假的是没生活的人，看了哭过N次的是过来人，我哭了N次，我喜欢            
(3星)	 以为是搞笑的喜剧，结果变成悲剧了。            
(3星)	 这片子的剧情大开大合，莫名其妙，好在主线挺拔。            
(4星)	 平凡的剧名平凡的人，活出不平凡的一辈子            
(5星)	 连我这个大老爷们也看得热泪盈眶.            
(3星)	 这姐夫哦            
(3星)	 看了这部电视剧，我终于明白编剧的苦心了。他在告诉我们，千万不要当烂好人，见好就收，农夫与蛇！            
(3星)	 文远很像章子怡            
(3星)	 前面不错，我就是被前几集吸引的，中间就开始狗血，后面就圣母了            
(NA)	 爸爸妈妈看，我也跟着看，那个男人真的不错~~            
(3星)	 我也觉得有点假……            
(3星)	 就是过于惨了。碰到这样的好男人到底是幸福还是劫难            
(3星)	 忍不住想看结局，纠结的过程，太多波折了！这样的男人还真是绝世好男人，真怀疑有没有！            
(4星)	 有一些拿观众当傻子的剧情 总体来说比较有让人看下去的吸引力看到后些集 常常泪流满面            
(NA)	 编剧力扶老师的创作加上众多实力派演员精彩演绎，该剧吸引众多百姓的眼球实在正常。作为普通观众，力扶老师对于人性的描写本人觉得过于残酷，力扶老师描写最深刻的是文远（本人觉得），文远的性格错综复杂，时而善良，时而阴狠，妙笔。但对于文达和姐夫的描写过于悲观，白眼狼的文达未免太过让观众失望            
(5星)	 BTV撩了两集，冲着男猪脚这气场我得给5星            
(4星)	 刘洪昌。。。好。。。。            
(3星)	 各种不识好歹，各种无奈，各种苦逼，各种杯具的时代，人生。没文化不可怕，可怕的是自卑；为了一种氛围，后面的剧情是又矫情又无理，瞎！介造型师是衬衫控！！            
(5星)	 真的很好看，哭死人不偿命呐~            
(3星)	 有些地方不符合常理~ 假            
(4星)	 这个片名 叫《姐夫》会更合适            
(2星)	 编剧有点弱……            
(4星)	 前面部分还挺好看的，后面就太凄惨了，这人生也太沉重了。            
(4星)	 演得很好，但这剧本真不讨我喜欢，有些地方也怪怪的。觉得何文远太不懂事，她姐死得也冤枉。洪昌就是太好，苦了自己一辈子。这里面有几个人活得好？！            
(5星)	 用两天的时间看完，最先是冲着左小青看的，到最后发现这个男人很绝版。虽然不现实，但触动了内心深处的那根弦。这是第一次那我看哭的电视剧            
(3星)	 童谣的名字完全可以摆在第一个            
(4星)	 肿么办肿么办，，口味越来越师奶了            
(4星)	 黄志忠很有成熟魅力。            
(NA)	 这部剧有悖常人的思维，为了突出男主角的伟大，把所有的好人杀死，让所有的坏人来折磨他，难道这就是好男人，编剧很变态            
(5星)	 这个是男人            
(1星)	 左小青还能再笨点儿么？？整个片子充满了莫名其妙的爱和恨。。圣母般不可思议的刘肥肠。。我真看不下去了。。破片子            
(3星)	 哪儿找这种极品家庭，真尼玛坑爹啊。            
(3星)	 文惠死后就不想看了。            
(5星)	 这五星是给前18集黄志忠的。文慧一死刘洪昌也死了，往后就没啥看头了。何文远这一角色我是从头骂道尾，她就一老鼠屎，整个何家全她给搅和散的。唉，一个健全的家庭对孩子是多么重要，将来为人父母的同志们要警醒了。不能不提一下杨麦香精神，“喜欢你怎么了，就跟你没关系”，咱明着来不玩阴的            
(2星)	 这真不能叫家常菜，这叫白眼狼大杂烩。            
(NA)	 后半部分生拉硬拽往苦情戏上靠，不过某些镜头确实能令人动容            
(5星)	 oh no!!!我什么时候也会看这电视剧的            
(4星)	 太惨了，不公平            
(2星)	 我觉得这部剧的剧情实在假            
(3星)	 后半部狗血             
(3星)	 何文惠死的时候这部剧就结束了 ps 家庭苦情剧  我成大妈了我            
(2星)	 说八十年代，可是真的没拍出来那个味道。其实这个男主角的形象很好，就是剧情给毁了。真的没必要用2B配角反衬主角的伟大。老这样就让人觉得这个男主角太无力了。刚开始几集挺好的，越往后就越拖沓，剧情越来越狗血。我对没有好人好报的结局完全没意见，绝对能接受。但是感觉上很不合适。            
(3星)	 娘的 !  .这家人良心都给猪吃了吧 ?!            
(5星)	 一部平凡人的史诗，一部普通生活的传奇。小人物，大智慧，小生活，大道理。可以淋漓飙泪的国产电视剧，难得，难得，很难得。            
(3星)	 还不错，左小青有一种安静的美。只看了前三分之一，看到后面的剧透后就不想再看了。            
(4星)	 对这种题材的片不知怎么滴就很喜欢。真是感人的片子，到后来看一集哭一集。呜呜呜~~            
(3星)	None
(5星)	 遇到这么几个倒霉孩子真是到八辈子霉了，一个比一个没良心。            
(4星)	 刘大肠的苦逼人生，他就是折翼的天使啊。左小青走了以后就没什么看头了            
(4星)	 看到剧透里说文惠死了，后面的剧情更加狗血，何家的事儿就没停，我不打算看下去了，不然要被气死。文达那个家伙，从小就流露出来物质了，有好吃有好住根本没什么感情和原则可言，养小狗也要让文涛抠出嘴里那一口，自己吃不得苦。文远也是不知好歹，太讨厌了，一堆讨厌的人聚集成一个家庭，真可怕！            
(3星)	 前半段激扬，后半段琼瑶。热血生生变成狗血            
(3星)	 又是一部人物性格好和坏的极端的电视剧。这样很容易产生戏剧冲突，故事会很容易讲。可是，这样有什么意义吗？类似的电视剧风格基本一样，吵吵闹闹，哭哭泣泣，看了简直闹心。难道多从正面宣扬真善美就没法写故事了吗。            
(NA)	 看了17集，前面几集，虽然觉得几个孩子，大哥有些变态，总体还是挺感人的。演员也演地到位，不失为一部佳作。再后面，越来越不对了，这些情节怎么那么离奇。花了几分钟看完全部文字剧情介绍，这不整个胡编乱造吗，前后要么编剧不是一人，要么是个神经病。可惜了。            
(4星)	 看了几集，貌似不错的剧集。很吸引人。            
(4星)	 看惯了欢喜，曲折的还真受不了... 童谣就是个小章子怡啊~            
(4星)	 关于人生的酸甜苦辣，真的就像家常菜，但是滋味却都不一样。我也不禁疑问：为什么一个好人却没有好的结局。            
(5星)	 一把鼻涕一把眼泪，一个人男人的血泪史。姐夫像一座大山一样撑起了这个家！            
(NA)	 苦情的男人，爷们！            
(3星)	 刘洪昌对白青山关于爷们的评判，我觉得他有一种自己打自己脸的感觉。爱情是建立在感情的基础上，刘洪昌和文慧的结合并不是因为爱情，文慧更多的应该是感激，李建斌才是她的爱情。当然，在那种贫穷刺骨的情况下，文慧是没有权利选择爱情的，只能选择生存。文远和白青山是同是天涯沦落人的悲情的结合。            
(5星)	 世上有这么好的男人吗？还是所有人的一个梦？            
(2星)	 文慧就一花瓶，妇人之仁            
(3星)	 苦情戏            
(5星)	 很不错的电视剧~ 蕴涵着生活的智慧！很真实~唯一的缺点是：里面的钱好像假钞似的！看起来像彩色打印机打印出来的~忒假！            
(2星)	 编剧是怎么了？            
(1星)	 演员演的还行，编剧实在是太恶心了，啥也不说了，看到34集实在看不下去了，这个编剧真是牛啊，编的让人看不下去。。。            
(3星)	 前半部，五星；后半部，一星；取其中间数，三星。            
(3星)	 喜欢看左小青的戏，自从中国式婚姻就喜欢左小青的戏，可惜这部戏左小青的戏太少了！而且这部戏精彩的程度也终止在左小青所饰演的何文惠去世那集，之后的戏可以忽略不看了，后边太扯淡了，太烂了！之所以给三星就是给前边那半部戏的！            
(5星)	 喜欢刘洪昌！            
(5星)	 最平淡的才是幸福，也许当你拥有了一切能拥有的外物后，才知道内心的充实才是最重要的，看得我憋得很难受啊，不过很教育人！            
(NA)	 北京台播了没几集之后，被剧中的男主角感染，花了一个晚上的时间在网上看完，不喜欢剧情的发展，为什么要让那么好的男人生活的那么苦？为什么要把片子弄成一部苦情剧？现实生活中，会有这样的男人吗？不管现实生活中有没有，剧中的主人公们，那么努力的生活着，应该让他们有一个好的结局            
(3星)	 男版“渴望”。两个主角不错，中后段比较扯淡。            
(5星)	 自从看过《人间正道是沧桑》之后，就开始喜欢黄志忠的表演了，果然这部也没有让人失望，不管内容如何，黄志忠真的把一个普通的厨师形象演绎的活灵活现。            
(3星)	 自从左小青嗝儿了之后就没意思了，我发现我已经拥有一上午看完一部电视剧的能力了。            
(4星)	 溜肥肠果然是撑起了一个家啊            
(1星)	 中国电视剧还能更糟吗？今天就看了一段这部“家常菜”，女主角头一次去婆家遭到非人虐待，就跟有什么深仇大恨似的，犯得着吗？那婆婆、那大伯子、嫂子怎么就那么恶毒，怎么表现的那么激动啊？这是那时候的生活常态吗？大多数人那时候有那么恶毒吗？太假了！！！            
(5星)	 前面几集是认认真真看的 什么叫赚钱养家 “我养你”是分量多重的一句话 懂了 小时候的文涛真是的 上哪找了个那么狠的小演员 姐夫其实艳福不浅那 姐妹俩都那么好看 那章子怡似的小姨 还有杨麦香 每一个角色都演得忒好 没有一个平的人物 从卖盒饭开始看不下去了 果然还是狗血了            
(5星)	 那时候，有个姓范的，他犯贱            
(4星)	 看过了这种男人 找老公就很男了 小角色小人物但是大智慧重情义有责任  这样的人才算男人             
(4星)	 有点假            
(3星)	 估计再也找不到第二个这样的姐夫了。后面剧情太跳跃。            
(3星)	 卧槽又会做人又有单位福利又贴心又会做饭的男人赛高！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 骨气，刘洪昌真有骨气，又一次严重入戏了            
(4星)	 黄志忠、左小青，以及一众配角，都是好戏之人啊！            
(4星)	 杨麦香……海天酱油的广告实在是做得太牵强，太离谱了……            
(3星)	 好菜都让一窝白眼狼拱了。            
(4星)	 质朴。但是好看。            
(4星)	 down home cooking            
(4星)	 女主死后不用看了，超级闷！            
(5星)	 平凡事，大道理。            
(4星)	 挺纠结的一个故事            
(4星)	 爷们儿 有担当。            
(4星)	 好男人            
(NA)	 纠结，酸甜苦辣再加气愤，纠结。            
(NA)	 刘洪昌是个好男人，责任感很重要啊            
(3星)	 结尾太假了，虽然总体还是挺感人。            
(5星)	 感谢导演！虎头蛇尾也不批评你！            
(NA)	 介男人，时间么得吧。。。。            
(5星)	 让人完全猜不到剧情发展的苦情戏。黄志忠演技很棒，最后的剧情收尾也恰到好处，淋漓尽致地展现了人性的升华。            
(3星)	 1、所以说，找老婆要有一点远见。2、他的副标题很不错——献给所有为尊严而活着的中国公民。剧情不好部分演员演技差，但，他想说的我们都听到了而且明白了。            
(4星)	 太过伟大歌颂的人生在某种意义上就是扯淡            
(5星)	 非常唯美而现实的时代剧。绝大多数的国人都在那个年代回避不了一个字：穷。但是做人必须有原则，再穷不能穷志气。确实在现在的社会已近很难体会到那个年代的难处。包括里面何家 刘家的景都是室内的造景，我们里物资与精神贫瘠的年代已近远了。            
(4星)	 虐死我了            
(3星)	 前面挺好的，后面越来越泡。            
(4星)	 终于看完了 呃 洪昌太好了%&gt;_&lt;%            
(5星)	 第二遍看了。那个时代的记忆。            
(4星)	 黄志忠的男人范儿表露无遗            
(5星)	 男人如此，左小青如此            
(3星)	 勾起了少许回忆，但故事情节太过牵强，在今天的价值观念下，此片非但没有起到宏扬某种精神的效果，后期故事却时常招来一阵阵谩骂，最后观众只看到一个愿承担责任几乎至变态的男人与一群唯利仕途的常见小人的种种矛盾，且出现一些逻辑性错误，简而言之：单调乏味！            
(4星)	 感人            
(3星)	 虐的乱七八糟的太假了这。。            
(5星)	 和姥姥一起 固定的每个晚上…              
(4星)	 姑娘美            
(4星)	 现在这年月  哪里去找那么好的一只稀有动物？            
(4星)	 刘洪昌，绝种男人。            
(4星)	 刘洪昌好的让我心酸。但结局说明了一个道理，一个人做的好，别人会懂的。即使一时不懂，随着时间，也会想通的，会懂的。            
(5星)	 固执、执拗有些邪的刘洪昌在文慧面前很可爱            
(4星)	 喜欢黄志忠            
(4星)	 其实可以拍的更好点。            
(3星)	 想不通。。            
(NA)	 看了一半。温情脉脉地。忽然听说后来文慧死了，就不愿意看下去了。            
(3星)	 里头的姑娘都好好看呐~\(≧▽≦)/~            
(5星)	 刘洪昌真是宇宙无敌的猪猪侠···            
(NA)	 看完这部电视不禁的让我产生抱怨的心情，谁要搁上这一家子这么事儿这么不懂事的主儿都得废喽。换言之，男人女人都得想明白一个道理：人生一辈子，活的自在洒脱最重要，有的时候太追逐高风尚会把自己累垮。            
(4星)	 童瑶长得太像章子怡了~            
(5星)	 就是牛逼！            
(3星)	 虎头蛇尾            
(4星)	 晚上在家看的，挺好看的            
(NA)	 看了几集实在看不下去了,一看左小青那张苦情脸就够.            
(5星)	 内牛满面，但毕竟是戏...有很多东西在现实中只是泡沫而已～            
(5星)	 心理承受能力不好的不推荐看，呵呵            
(5星)	 被几个不懂事儿的弟妹气死！            
(3星)	 不是爱情 是大肠刘 的悲剧史 自从爱上文慧 娶了文慧 他从此就离开了幸福 ········            
(3星)	 看演员就喜欢            
(4星)	 乐事开头 悲剧结尾 人生一场 有苦有乐            
(4星)	 好男人啊            
(5星)	 非常不错            
(4星)	 绝种的好男人            
(1星)	 太夸张了，上辈子做了多少孽，这辈子这么折磨            
(3星)	 忒假。            
(4星)	 在这个价值观缺失的年代，《家常菜》让我们又一次感受什么是良心。。。            
(4星)	 求网络观看地址            
(5星)	 为啥我一个南方人会钟爱于北方人的生活..            
(4星)	 我妈在看的时候，我在旁边做作业，结果，我把这个在师奶们中很热的电视剧看完了@0@！爸妈时代的回忆，不是我们这代人可以轻易了解的，但是刘洪昌这种人不可能在现实中存在的！            
(4星)	 最后几集还是改不了大陆电视剧虎头蛇尾的顽疾~~            
