http://movie.douban.com/subject/1786755/	冬日恋歌 겨울연가
(5星)	 崔智友的嘴被扯住的哦 喜欢裴勇俊 ms我长得像他。            
(5星)	 七年后。再次被吸引。想去棒子国。想买牛角纽扣大衣。想去滑雪场。            
(4星)	 剧情很老套            
(5星)	 第一部韩剧，能走进我心里的，台词都能背过了            
(4星)	 以前真只看到勇樣...看不到cc            
(4星)	 因为冬天·才看了这部剧            
(5星)	 真真正正的看过的第一部韩剧，还是老妹推荐的，那是很多很多年前了、、、            
(3星)	 还算好的结局吧~            
(NA)	 DY的最爱.悲伤四季--冬.            
(3星)	 讨厌ppj            
(5星)	 在去年用那么烂的无线网花了那么长那么长的时间为你把20集下完的时候你又不要了..            
(4星)	 个人看的第一部韩剧？ 大概吧，不记得咧            
(5星)	 pei哥哥的画报把他的身材展现得，后来再看到他，都不觉得他温暖了，而是猛男，不行不行。我还是喜欢文弱干净型的。            
(4星)	 喜欢~            
(5星)	 初三的大爱            
(4星)	 印象比较深刻的一部韩剧。。小时候很喜欢看的 很感人的说~~            
(5星)	 每到冬天都想看            
(4星)	 剧情太狗血，音乐还行            
(5星)	 那些冬天的故事            
(3星)	 冲着他经典...其实没啥可看的            
(4星)	 大雪，，，还有眼镜帅哥            
(NA)	 一看到主角就开始流泪的片子，这是唯一一部。不知道是不是当时阈值太低……            
(5星)	 不喜欢韩剧。除了这部。            
(5星)	 我爱！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 话说男人血气方刚，但也受不了温柔的崔智友            
(5星)	 冬季恋歌 裴勇俊 崔智友 爱情 经典             
(NA)	 为什么说是经典韩剧呢？因为韩剧经典的梗都囊括了。            
(5星)	 很唯美的很纯真的感觉，看着觉得平静            
(3星)	 前面比较好看。            
(NA)	 没看完            
(4星)	 气质女人~            
(4星)	 男女主角都相当的喜欢。            
(NA)	 因为这部片子迷上了下雪天。            
(5星)	 哎，初中的岁月啊            
(3星)	 拍得很美啊！前面的剧情还不错，可是后面的爱情纠葛让我实在看得有点吃力~！            
(2星)	 太长了            
(5星)	 韩剧里最喜欢的一部片子，让我从此爱上了冬天。            
(NA)	 我最喜欢的一部            
(4星)	 看了好久了            
(3星)	 一般第二部都会质量低劣，起码比第一部要逊色不少，可还是远远没有冷却韩剧的风气云涌之势！高三的寒假时候看了这个，后来听说我们快退休的英语老师也是那男主角的忠实FANS！            
(3星)	 我妈比我更喜欢。。。。            
(3星)	 值得注意的还是ost，这俩人的组合，一点也不可爱。。。/            
(3星)	 从开始到现在...为啥要弄首中国歌?            
(NA)	 红极一时啊            
(5星)	 大爱。看了无数次啊。第一遍看爱情，第二遍看裴勇俊，第三遍看崔美人，第四遍看服装外景搭配，第五遍用心听即可了。很早的片了，现在依然觉得里面服装的搭配很素雅很清新很干净。对，干净。干净的感觉。            
(5星)	 我靠( ‵o′)凸            
(5星)	 感动..            
(4星)	 多喜欢            
(3星)	 不堪回首的迷途小羔羊时期            
(NA)	 可怜悲剧            
(3星)	 曾经很喜欢。            
(NA)	 很没劲的掉过几滴泪            
(5星)	 韩剧苦情的经典            
(5星)	 韩国电视剧确实有煽情之处，大爱崔智友            
(NA)	 开头不错            
(4星)	 能全看下来了，还算韩剧的经典            
(4星)	 此剧开始喜欢裴勇俊            
(5星)	 该怎么说呢？在看过的所有片子中，你是最唯美最诗意的。因为你，无可救药地喜欢上了裴勇俊这样的男子。“目皓沙上月，心清山下风”只有你足以与之相配……            
(3星)	 我还是看过一些号称经典的韩剧的,冬季恋歌就是其中之一,因为我很喜欢裴勇俊,哈哈~我也是很俗的            
(5星)	 这部算是韩剧经典勒 ；）            
(4星)	 我听SJ讲了多少遍呐。。。。。            
(4星)	 雪景很浪漫，围巾搭配是一大亮点            
(4星)	 看到的第一部韩剧,太喜欢崔智友了            
(3星)	 青梅竹马是很好的            
(5星)	 曾经为它倒时差            
(5星)	 我还是觉得这个第二部最经典~            
(3星)	 就是为了看帅哥            
(3星)	 http://www.imdb.com/title/tt0395057/            
(NA)	 爱一个人十年?            
(NA)	 当年都是熬夜看的，很喜欢            
(4星)	 喜欢裴勇俊！            
(5星)	 當時真是迷死裴勇俊了            
(NA)	 哭~            
(3星)	 俺是一边看一边骂的啦~！丑男丑女。            
(NA)	 最喜欢的韩剧            
(5星)	 初二时看的第一部韩剧 之后因此迷恋上一阵子韩剧大概也是因为它吧 心里的最爱 这也是三部我愿意反复看的韩剧之一              
(NA)	 假如有一天你遇到了一模一样的他，他真的还是他吗。。。            
(5星)	 浪漫无邪,回味无穷            
(NA)	 这部剧让我认识了你 裴勇俊             
(4星)	 裴勇俊            
(NA)	 似乎韩剧总是在赚人眼泪            
(4星)	 比蓝色生死恋好看~            
(3星)	 当时很红...可是..么有怎么喜欢过裴            
(3星)	 现在想不明白我当年怎么看这么起劲            
(4星)	 也算接触的早期韩剧了~~有够悲情的            
(4星)	 跟老妈一起追的剧哦，那时候还在读初中吧~~            
(3星)	 不知道为什么，不太喜欢。但是有雪的感觉不错。            
(4星)	 我的记忆，有你才完美。            
(3星)	 日本阿姨喜欢的&#34;勇样&#34;,也就那样.            
(NA)	 高中时候痴迷的片子            
(3星)	 大一的时候看到感动的不行            
(NA)	 第一部看的韩剧            
(4星)	 从开始到现在。。。            
(4星)	 羡慕女主角在多年之后能见到失忆的男主角            
(NA)	 催泪，里面的围巾不错，男主角蛮帅的。            
(5星)	 我家裴勇俊~~            
(NA)	 催泪            
(5星)	 喜欢里面的雪景，音乐，还有裴勇俊温暖的微笑……            
(5星)	 很感人!  很喜欢里面的画面 很唯美            
(5星)	 经典            
(4星)	 即使知道是骗人的,可是看到那个戴眼睛的帅哥,也心甘情愿喽.            
(NA)	 就那么回事吧            
(4星)	 喜欢            
(5星)	 经典的爱情故事            
(3星)	 要不是裴勇俊            
(4星)	 当时看得我个纠结阿            
(NA)	 第一部看的韩剧            
(NA)	 无法忘怀的经典……            
(5星)	 难忘宿舍姐妹一起守着电视看冬季恋歌的欢笑和泪水。            
(4星)	 有点和蓝色生死恋差不多            
(NA)	 裴最著名的电视剧            
(4星)	 歌很好听，剧情也挺好看的。就是有点儿长。呵呵·            
(4星)	 还是喜欢看智友跟李秉宪的配对~~            
(4星)	 这个坎坷啊...            
(NA)	 初恋            
(NA)	 没什么特别的感觉，只觉得要真有爱，什么都可以放弃一下。不要让大家都为难。            
(4星)	 这片子有点假。不过假的还蛮唯美的。            
(NA)	 崔智友~            
(3星)	 两个我最不喜欢的韩剧演员凑在一起，在下真的不得不加点主观情感地说句“好受不了”！            
(4星)	 挺悲饿，画面唯美            
(4星)	 客观地说，那个时代的，还是相当不错的            
(4星)	 真爱            
(4星)	 唯一有点喜欢崔智友的片子。             
(4星)	 很美的冬天，很美的爱情故事。            
(NA)	 谈不上喜欢，但电视台播的时候还是坐在那里静静的看。            
(5星)	 特别优美的曲子            
(4星)	 要在一起的终究会在一起，相信命运的安排            
(4星)	 还是挺悲的。。。。。            
(NA)	 chris说他象里面的男主角，恩 ，感觉差好多～            
(4星)	 裴勇俊很有魅力            
(3星)	 崔智友 是冬天里的女子            
(4星)	 初中时候巨迷～～是我学生时代的经典            
(NA)	 那时疯狂的迷恋崔智友，裴勇俊，维珍，俊尚......那样清澈的眼神，那么唯美的场景。一度想去南怡岛，阳光灿烂的摇曳在那水面，雪片飞洒过两人的面颊。唯美，伤感......            
(4星)	 配曲超好听。没完整看完。            
(5星)	 喜欢朴龙河            
(4星)	 经典韩剧            
(3星)	 很久很久前看的             
(4星)	 裴勇俊的儒雅和温暖的微笑让人感叹男人还真是越老越有魅力阿。相比照，岁月不饶人，崔智友显得苍白、消瘦和孤单，叹叹。            
(NA)	 看过的第二部韩剧。依旧记得裴勇俊弹钢琴，和崔智友扫落叶的场景。            
(NA)	 my裴先生,呵呵            
(NA)	 悲,又怎么样呢?一个Happy ending,就足够了.            
(4星)	 比较唯美            
(3星)	 蓝色生死恋四部曲            
(3星)	 冬季恋歌            
(2星)	 不太好看            
(5星)	 最喜欢。            
(5星)	 默默的，却也是谁也无法分割的爱恋。            
(NA)	 失意的男人，快醒醒            
(5星)	 高二时每天使全力骑车回家就是为了看上十多分钟冬季恋歌，顺便还有下集预告~            
(4星)	 悲得让我有点不喜欢            
(5星)	 喜欢            
(3星)	 冬季恋歌            
(4星)	 看的我累心 那会儿每天晚上十一二点蹲电视前边等北京8的施舍            
(4星)	 呵呵，第一次看裴勇俊的片子，小伙挺帅            
(NA)	 曾经那么火            
(5星)	 经典...            
(4星)	 我爸喜欢崔智友~            
(NA)	 失去記憶不會失去愛情            
(3星)	 围巾打得是漂亮呀            
(5星)	 我也不能免俗，的确是经典            
(5星)	 浪漫啊！希望属于我的爱情也会是这样            
(4星)	 浪漫过去现在和未来            
(NA)	 看了好几遍，最经典的观看时刻是高二晚饭时几乎全班女生都看。花痴呀！还好没日本妇女那么上瘾，千里迢迢到达拍摄地点抱着裴勇俊的雕像大哭。            
(4星)	 当时真是喜欢那样带着眼镜，穿着毛衣，系着围巾，有着暖暖的笑容的男人啊            
(NA)	 不错            
(5星)	 en 2002            
(3星)	 在还没有接受更多韩剧洗礼的当时，被迷得是七荤八素~            
(4星)	 诶，原先不喜欢看的，谁叫我喜欢的人都喜欢呢？            
(5星)	 好听的音乐            
(5星)	 经典啊~            
(5星)	 　其它星星都移动了位置，北极星依然会在原地，当你身边的人不了解你、不原谅你，甚至离开你，只要我守在原地，你就不会迷路。我不会对你说对不起，因为你拿走了对我而言最重要的东西，你拿走了我的心，所以我一点也不觉得抱歉……我爱你。            
(NA)	 真是那个拖沓啊            
(NA)	 想去春田，想去看那里的雪            
(5星)	 喜欢            
(4星)	 裴唯一能看的剧            
(3星)	 比较喜欢他们学生时代              
(NA)	 韩国 爱情 裴勇俊 崔智友 经典感人            
(5星)	 我最喜欢最喜欢的^^那个时候            
(4星)	 后面真拖得我有点受不了了= =            
(NA)	 还是对不起，我爱你比较好看            
(5星)	 爱会有多长？会像冬季一样吗？            
(4星)	 应该很好的，但是，我没有坚持看完-_-            
(NA)	 想一个人去看一场漫天大雪            
(4星)	 啦啦啦，后来才知道，屈中恒配的音啊            
(3星)	 有点儿离奇的剧情，不过还行吧。            
(5星)	 这部电视剧陪我度过了整个高中，而其中所有的配乐也都铭记于心，他似乎纪录了我高中的点点滴滴，我甚至还想剪一个女主角的头型，啊，真是中毒很深哪！可是，今天再次追忆，我仍然期待那份一生一次的爱恋。            
(3星)	 感觉始终没能逃脱韩剧的套路- -            
(NA)	 是我最喜欢的一部韩剧            
(NA)	 哭死了……            
(4星)	 爱很唯美            
(5星)	 因为这个片子，爱上裴勇俊。            
(3星)	 很久之前，马马虎虎看吧            
(5星)	 看过很多遍，还是觉得很好看            
(3星)	 ..            
(4星)	 喜欢裴勇俊。这部片子的景色和音乐都非常的好，很切合主题。男一号和男二号表演的也很出色和到位。            
(3星)	 不是不努力，只是此后这么多年，我一直重伤难愈。            
(NA)	 这个里面对崔智友还不讨厌            
(3星)	 不明。。            
(3星)	 缘分，围巾，一样妙不可言            
(5星)	 很爱很爱的韩剧            
(4星)	 看的第一部韩剧            
(5星)	 最早看的一部韩剧            
(3星)	 其实我觉得,男女主角都很...丑            
(NA)	 喜欢裴            
(NA)	 拖沓的眼泪`            
(4星)	 唯美            
(5星)	 真的很喜欢唯真这类型的女子 淡定  文静  坚强  倔强  她穿衣风格头型气质和我一样.我喜欢            
(5星)	 这部电视剧赚了我不少眼泪呐            
(4星)	 爱的冬季和白雪。只是故事收尾太拖沓！            
(2星)	 真是考验人的耐性            
(4星)	 人和景，都很美！            
(3星)	 说是处女座最喜欢看的剧集，到真没觉得。除了配乐不错，其他的只是尔尔...            
(3星)	 冬季恋歌             
(5星)	 曾经为这部片子着了迷 /非常地喜欢             
(4星)	 爱情原来可以这么长久            
(NA)	 催人泪下            
(NA)	 10年，人真的不会变吗？            
(NA)	 一生中,或许只有那么一个人.            
(4星)	 比较喜欢的韩剧            
(5星)	 大爱            
(3星)	 还行啦            
(4星)	 我不是很喜欢            
(5星)	 友友演过的我最喜欢的一部            
(3星)	 画面很美的            
(NA)	 完美爱情的幻想            
(4星)	 我看的第一部韩剧            
(4星)	 学生时代的青涩爱情好看～            
(3星)	 只是喜歡冬天，与故事無關。            
(5星)	 很温情，也喜欢白色，音乐也好听，最喜欢的韩剧之一            
(5星)	 一段刻骨铭心的爱情让人随之悲喜，热泪....            
(NA)	 最爱之一            
(5星)	 最初感动的            
(3星)	 漂亮的雪景！~            
(4星)	 带眼镜比不带眼镜俊，围围巾比不围围巾帅。以为是不伦之恋，结果还是大众结局。            
(5星)	 经典．不说了．            
(4星)	 还不错  就是那个女的太能哭 哎 不愧是悲情女王            
(3星)	 留下一堆围脖~情节缓慢！累得慌！            
(4星)	 前一半好看。那時候初三每天放學邊看邊吃晚飯，轉天午飯時再和女同學討論劇情，大家都愛男主角，就我只愛女主角姐姐。            
(3星)	 看太多遍了 有点厌  两个主角演的别的戏我都不太喜欢  但这部片子冬天的样子我喜欢啊 雪啊雪            
(5星)	 我的韩剧启蒙            
(5星)	 迄今为止最经典的韩剧            
(4星)	 从这里开始不再看日剧            
(4星)	 大四毕业那年看的            
(5星)	 最后的几集非常让人难忘。            
(5星)	 看多少遍，就感动了多少遍            
(4星)	 有很多人在看，真的不错，但不是一部充满希望的韩剧            
(5星)	 Favourite of Bae&#39;s.            
(5星)	 第一部喜欢的韩剧,也是最爱的一部了            
(3星)	 情节有点点离奇～节奏有一点点慢            
(2星)	 看过一点点~            
(3星)	 除了韩剧一贯的剧情托沓之外。。。            
(3星)	 剧情扑朔迷离，好复杂            
(NA)	 ms初三时看的吧..主题曲不错            
(5星)	 可以打十星么，少年时的梦呀。            
(4星)	 不喜欢裴勇俊。。。。。。弃剧。。。。            
(NA)	 因为这部电视剧，导致我一到冬天就期盼下雪，一下雪就想听韩语歌，我被毒害得多深啊？            
(5星)	 永远的经典~            
(NA)	 我是因为他才变身眼镜男控的！！            
(5星)	 少女时期第一部爱的韩剧……全是眼泪……            
(4星)	 我挺喜欢这部剧的=-=            
(5星)	 这这，为了裴OBBA也要给五星的，当年把我迷得那个七荤八素啊，不知道看了多少遍，还买了碟，忍了难听的中文配音也不知道看了多少遍，还买了书看，汗，话说那碟放在家里怕被我妈发现我放到同学家里去了，现在还在她那。            
(5星)	 当年最喜欢的电视剧~            
(5星)	 难以忘怀的青春岁月啊            
(4星)	 好美的雪景，好帅的裴勇俊~            
(4星)	 经典。            
(5星)	 曾经的最爱，温暖了我很久            
(5星)	 很温情的偶像情感剧了，犹如东京爱情故事对于日剧！内地确实是拍不出这样的片子            
(3星)	 纯爱还行，伤感不行，一整部片子看下来都没哭也没被感动到，感觉吴彩林脑子有病，把自己男朋友显摆出来结果跟别人跑了，怕跑就好好藏着嘛 到了十二集才开始恢复记忆 十九集才失明 之前有点罗嗦啊            
(5星)	 接触得最早的韩剧，木有喜欢小裴，而喜欢小崔和朴龙河，后者shi的时候，赶脚好难过呀~~            
(3星)	 瞟过几眼。裴大叔的形象不敢恭维。崔智友也是我欣赏不来的女性。            
(3星)	 我的师奶杀手            
(4星)	 当年陪老妈一起看的。。。            
(3星)	 还算看过那么几集 犹记得那时候捧着&lt;上海电视&gt;追着分集剧情看得很则劲- -            
(4星)	 那么小的时候居然看懂了            
(3星)	 曾经青春的悸动            
(NA)	 应该是不错的经典 就是觉得太老了。            
(5星)	 经典，初二的时候看得如痴如醉。唯美！            
(3星)	 听力素材。。。各种磨叽            
(5星)	 现在看来我不理解唯珍……算了李民亨还是帅。            
(2星)	 受不了这么狗血            
(2星)	 二星全给音乐…一模一样你妹，两集的故事要拖成二十集，二十集的故事拍成两百集！            
(3星)	 我眼拙 最开始竟没看出裴勇俊是男主            
(5星)	 现在看来冬日恋歌真的是狗血剧的鼻祖了，然而无论多少遍的回味，经典始终是经典，很喜欢裴勇俊戴眼镜在雪中漫步的样子。            
(2星)	 小时候看的时候觉得男主角长的很别扭，而且差点被腻歪死！            
(4星)	 又一经典悲情剧。            
(5星)	 看女主            
(5星)	 很经典。            
(5星)	 裴！勇！俊！            
(5星)	 电视台播的，大爱啊，青春的记忆            
(3星)	 墨迹了            
(4星)	 苦逼            
(5星)	 初心。            
(2星)	 看见裴勇俊咧嘴笑就想一鞋子扔过去            
(5星)	 当时多喜欢啊，现在再看已经没那么强烈的感受了。            
(4星)	 唯一看全了的韩剧，音乐很赞啊~            
(5星)	 看哭了我。            
(4星)	 一直能吊人胃口也算败给它了TT            
(NA)	 人生第一部韩剧 初中看的            
(4星)	 第一部韩剧。初中我妈问同世界的碟，看得更投入。            
(4星)	 当年那迷的呦            
(5星)	 sweet memory.            
(4星)	 只为崔智友            
(3星)	 原来看我过这么多电视剧            
(5星)	 个人感觉，这部电视剧是裴勇俊，崔智友拍的所有作品里最好看的，“前不见古人，后不见来者”的那种~~            
(NA)	 当年还是高中啊，每个周末回家，也只能看个开头和结尾。            
(3星)	 唉，年少无知被男女主人公迷得昏天暗地，后来渐渐觉得剧情怎么那么不靠谱呢，编剧地位必须提高啊            
(4星)	 应该是我看的第一部韩剧了。。            
(4星)	 这个觉着比第一部好            
(5星)	 迄今为止最喜爱的一部电视剧            
(3星)	 摔！我还就真没觉得裴勇俊有多帅！！            
(3星)	 只为记得曾经多喜欢你            
(5星)	 比起蓝色生死恋，更喜欢这部！            
(5星)	 经典            
(4星)	None
(3星)	 印象不是很深刻...            
(5星)	 我怀旧            
(4星)	 初中时的最爱呀~觉得裴勇俊笑起来好温暖~~            
(5星)	 亲情、爱情、友情，真而美。没有一个绝对的负面人物，人物心理刻画深刻而鲜活。这批演员的演技都不是盖的。            
(NA)	 懂的人懂的            
(4星)	 高中岁月啊。和闺蜜一把鼻涕一把泪。            
(5星)	 裴永俊要不要那么帅啊 戴眼镜是一种帅 不带眼镜又是另外一种帅  受不鸟啦            
(3星)	 一般            
(5星)	 裴勇俊 为你疯狂            
(4星)	 太经典哩 看了好几遍叻都~            
(4星)	 对我来说有特殊意义的一部剧            
(4星)	 我的爱情观在形成时绝对被这些韩剧影响了。。。            
(5星)	 对尹锡湖先生的这个冬季恋歌，是一边喜欢，一边看不起。理智看不起，感情喜欢。不要那么虚伪嘛，幼稚怎么了？就幼稚了。就喜欢了。千疮百孔的人生，百毒不侵的纯真爱情。这世上存在不存在又能如何啊？！因为它，十年感觉是一瞬间。2002——2012。这十年间，想到它，每到冬天感觉不再艰难            
(5星)	 适合在下着雪的冬日守着暖炉的屋里细细品味。。。            
(4星)	 让我妈哭得稀里哗啦            
(4星)	 别的都忘了，就记得总有人如此喜欢裴勇俊，包括很多男银们。            
(NA)	 小时候放寒假跟老爸老妈抢着看。            
(5星)	 裴勇俊！            
(4星)	 那时候红到一塌糊涂啊。。。            
(5星)	 我自己的韩剧巅峰。。。            
(3星)	 当时和妈咪都看到很晚，读书的时候还躲在沙发后面不被爸比发现，哈哈哈。。。            
(3星)	 愣是没看出年轻时的裴勇俊和青年的是同一个人。。。            
(5星)	 崔智友那时实在太美太美了......            
(5星)	 作为一部经典韩剧，一定要给满分            
(5星)	 经典无需多说！            
(5星)	 女神崔智友            
(5星)	 ～            
(3星)	 这个简直了，韩剧的不能再韩剧了            
(NA)	 很纯的样子。            
(5星)	 居然木有马克这部我棱森中最喜欢的第二部韩剧！            
(5星)	 我又看了一遍啊一遍！！！还是那么好看！！！            
(4星)	None
(4星)	 围巾的N种打法。现实中证明，很傻。            
(4星)	 还成吧。            
(4星)	 不是我看过的第一部韩剧，也不是最好的那一部韩剧，却是我从此渐入佳境的韩剧，此剧看过后，彻底迷上韩式肥皂剧风格。            
(5星)	 是一种渗透在皮肤里的记忆            
(3星)	 当时很喜欢 但是现在长大的我要是还喜欢看 那我自己都要抽自己大嘴巴了            
(NA)	 最喜欢的一部唯美韩剧，恋上裴勇俊            
(5星)	 果然是大妈的最爱！！！            
(5星)	 唯美不矫情，真的喜欢。            
(5星)	 至今是我最爱的电视剧。实在太经典。而且没有给人狗血的感觉。男女主角我至今觉得很美很帅            
(5星)	 启蒙韩剧            
(4星)	 勇俊SAMA和崔智友在我心中简直就是神一样的级别...这剧太经典了！            
(3星)	 太悲            
(3星)	 朴啊，当年我竟然没注意可爱的你。            
(3星)	 看的第一部韩剧...汗            
(5星)	 年轻的时候看着电视剧快哭死了。            
(5星)	 最近在温习这部片子，好温暖，好美好的初恋            
(NA)	 2003. 7    ~2003. 8            
(5星)	 我心目中五星的韩剧            
(5星)	 和妈妈一起看了近20遍的韩剧  音乐 造型  非常让我印象深刻  崔同学每件大衣我都想要.....            
(4星)	 曾经也看韩剧，曾经也年轻。            
(4星)	 记得当时班里女生迷裴勇俊迷疯了都            
(5星)	 裴叔叔我是你当年的nc粉啊啊            
(NA)	 那时我年少啊……原谅我吧……            
(3星)	 崔智友好靓……话说我居然是和我爸一起看的……            
(3星)	None
(4星)	 初中时真的很喜欢这部.            
(5星)	 不能再爱多一点。看的第一部韩剧，最爱的裴勇俊。还有关于个人的一些记忆。            
(4星)	 奠定了对哀伤初恋的所有向往，，，虽然现实就是现实，YY韩剧悲情必选~            
(3星)	 我就是讨厌崔智友啊混蛋            
(NA)	None
(5星)	 曾经很喜欢的一部韩剧，纪念下....            
(3星)	 我泪点太高了。以上。            
(5星)	 音乐！！真的真的真的好棒！！每一首都好听            
(5星)	 儿时印象最深刻的韩国电视剧            
(3星)	 那时候还不喜欢朴龙河的，可是现在，哎，可惜了啊            
(4星)	 崔智友真心适合演这样的苦情角色。            
(3星)	 其实结局还好吧，OST很好听。            
(5星)	 完美啊   我看的第一部韩剧好像是   第一集就被两个主角清爽的外形吸引了   好看好看啊            
(5星)	 又是哭得一塌糊涂            
(5星)	 看过好多遍             
(5星)	 我最爱的韩剧 看了n遍...每到冬天就想再看一遍..            
(5星)	 第一遍很感动，第二遍觉得剧情有点儿牵强，完全没有第三遍的欲望——难得韩剧里能看的——裴勇俊哥哥要继续挺朱智勋哦~虽然他堕落了- -一次机会还是要给的- -            
(3星)	 纪念下初恋吧。。。现在回想，剧情真够狗血，各种矫情。。。            
(4星)	 偶像剧之标准——悲剧 花季雨季 别后重逢 阴差阳错            
(4星)	 那时少年各种剧~~~            
(4星)	 蓝色生死恋弱爆了，还是这个给力。            
(4星)	 忽然想起这部片子，当年经常抱着一卷纸看，裴勇俊出场瞬间秒杀诶~现在崔智友死了，小裴变得不男不女，岁月啊~            
(5星)	 啊啊啊啊我就指着这个活着了....            
(4星)	 车祸之后大变身！            
(3星)	 为什么女一不和善良的男二在一起，要选择辛苦的路，活该呗            
(5星)	 纯爱            
(3星)	 看完对裴勇俊印象不怎么好= =            
(4星)	 喜欢笑的好看的男人。            
(3星)	 当时觉得好漂亮啊            
(4星)	 韩国女星中，最喜欢还是崔智友~所以经常会找她的片子~只是，好的不多……            
(5星)	 裴勇俊帅的一塌糊涂，雪景美的动人心魄。            
(4星)	 很喜欢这部剧的音乐。还有他们在学校里的那段时光。            
(5星)	 今天听歌听到张信哲的《从开始到现在》，应该是这个插曲的中文版吧，于是单曲循环了好多遍            
(NA)	 单纯的喜欢崔智友，但看了这部片子之后让我深深的爱上了裴勇俊这个优雅的男人，支持裴勇俊！！！            
(3星)	 画面很美！剧情无感！            
(3星)	 不记得是说什么的经典 太久了            
(4星)	 学生时代            
(3星)	 开头好看 后面太苦情了            
(5星)	 这剧在中国观众的心中地位不算特别高，但在日本妇女的心中呀。。我也超爱这部的，那时初三看的，正好经历了某些事情，真的是看一集哭一集呀～～            
(4星)	 我妈爱看裴勇俊，哈哈~            
(4星)	 印在心中的人，是怎么也摸不掉的。            
(5星)	 永远的最爱。            
(4星)	 裴裴老了点~~            
(5星)	 当时好喜欢这个啊            
(5星)	 我最愛的一部韓劇。            
(5星)	 时隔七年再看，朴容夏已经不在了。。。物是人非。。。            
(4星)	 男不帅女不美 但是依旧很经典            
(NA)	 啊 裴叔 你现在在干嘛            
(4星)	 以后一定要去春田看看！找寻那份美好~            
(NA)	 最喜爱的一部韩国电视剧 感人 纯洁的至死不渝的爱情            
(2星)	 不明白为什么火，裴勇俊演戏倒是终于收住了            
(4星)	 我看的第一部韩剧啊...            
(NA)	 吼~~~            
(5星)	 我最最爱的韩剧~~            
(NA)	 无感。            
(5星)	 纪念青春            
(NA)	 男主角很帅啊            
(4星)	 我妈的最爱            
(3星)	 其实还行，跟着爸爸看了一遍            
(4星)	 第二部韩剧。。             
(3星)	 表！            
(3星)	 。。。对思密达我很有意见            
(4星)	 崔智友童鞋的各种衣服才是看点啊！音乐也很赞~            
(4星)	 我看的第一部韩剧            
(3星)	 第一部看的韩剧，哈哈            
(4星)	 音乐好好听！~！            
(4星)	 那迷人的围巾。。 = =            
(NA)	 这两个主角我都喜欢            
(3星)	 这是初中的吧            
(4星)	 你还记得你的初恋情人吗 如果有一天 你遇到了和他长得一模一样的人 ······            
(4星)	 韩剧启蒙            
(5星)	 처음……            
(5星)	 最爱的韩剧            
(5星)	 重复地看。美好得让人窒息。不知世上是不是真有这么一种九曲回肠的爱情。            
(4星)	 感人催泪经典片子啊。            
(5星)	 如果只有一部韩剧的话，就它了            
(3星)	 由于不喜欢这位苦瓜型女主，导致本片没看完就弃了~~~~~~            
(3星)	 中学时候看过的，没有完整的看过，但毕竟是韩剧的鼻祖。怎么也得给个“还行”的三分吧。            
(3星)	 那时看疯了            
(3星)	 韩国片总能雷到我            
(3星)	 我妈的爱            
(5星)	 配乐很好听，我的回忆，            
(4星)	 俺娘说戴眼镜的男淫都被毁容了。。。            
(3星)	 裴大妈            
(5星)	 第一次。。。            
(5星)	 非常喜欢这个故事            
(4星)	 我看的第二部韩剧～超喜欢朴龙河的～好可惜。。。            
(5星)	 還是因爲裴和崔，才看的泡沫劇...            
(4星)	 太狗血，不喜欢。            
(5星)	 一度的最爱，韩剧的经典之一，喜欢崔崔            
(5星)	 第一次，最爱            
(3星)	 失忆什么的最难受了            
(5星)	 也是放一遍看一遍。            
(3星)	 生死恋四部曲中唯一有点感觉的，不喜欢演员。            
(NA)	 喜欢前半段            
(4星)	 喜欢那首memory~            
(4星)	 当时为哭得最伤心的却是女二号。            
(3星)	 为什么日本人喜欢看韩剧？？？？？            
(4星)	 初二。画质那叫一个渣啊。            
(4星)	 当时觉得裴勇俊好丑，男儿好看多了            
(4星)	 还买了原声带            
(5星)	 完全满足了我的恶趣味，好            
(3星)	 当年很火的悲情韩剧 裴勇俊那时还是很帅的 崔智友也非常有特点 但剧情我完全记不得了             
(3星)	 不如一 不喜欢裴勇俊但我妈喜欢             
(5星)	 那会都迷死裴勇俊了！            
(NA)	 高三那会的爱啊~~            
(5星)	 记得当时看这部片子的时候哭的昏天黑地的呀。。。好喜欢裴勇俊呀。。            
(5星)	 大爱崔智友。            
(3星)	 音樂好聽.            
(5星)	 初三的时候看了 现在大学毕业又看了一遍 也知道曲折的剧情是为了赚眼泪 但还是感动得不行 又单纯又美好 喜欢里面所有的 风景与爱情             
(4星)	 现在 我已经不那么爱韩剧，但是必须承认，我曾经很爱这部电视剧            
(3星)	 真够折腾的...电视台无限放想不看都不行            
(5星)	 经典中的经典！！            
(4星)	 前几集 学生时代很好看 后面太烂            
(5星)	 蓝色之后的经典            
(NA)	 又是启蒙剧啊            
(5星)	 韩朝袭击的第一浪，那时爱死俊尚了，迷得一塌糊涂，第一次体验韩剧的唯美魅力吧。现在回想，也还好，演技是不错。            
(4星)	 嘛～ 裴勇俊還是挺帥的            
(5星)	 很感人啊！            
(4星)	 小时候喜欢的不行～            
(5星)	 重看了一遍，发现自己当年看的那一版居然有很多删节！尤其是后面的部分。崔智友还是最爱啊~另外，不得不说结局还不如动画版的...2011年8月1日            
(NA)	 老妈的最爱            
