http://movie.douban.com/subject/6026046/	雷普利小姐 미스 리플리
(4星)	 从头到尾都在惊叹李多海的细腰，以前没发现她竟然这么高挑。表情稍微有点僵硬，但大部分时间还是不错的            
(3星)	 开头还挺吸引人的,后来不给力了.女主撒了太多不应该的谎,爱上男主的过程也铺垫的不够,总之,不值得同情. 女主她妈得知遗弃的女儿就是自己侮辱折磨的儿子女友时,演技绝了~~            
(3星)	 女主设定不喜欢，看这部剧完全冲朴有天……            
(5星)	 生活不就是这样。            
(2星)	 李多海在里面完全非好感··编剧也很一般的感觉··            
(4星)	 这个结局算神马！！！            
(4星)	 看到中间看不进去，但是接着看下来，找到了惊喜。            
(5星)	 宋本部长啊！！！！！小演技还怪不错的~~~~~~~·            
(5星)	 全是因为朴有天 真真是温柔如水的眼神啊、李多海姐姐演无助仇恨都很赞 内心的爱反而平淡            
(4星)	 虽然感觉制作上还不错，但是我无法忍受她在第6集就变心！看完最后一集，有些释然。谎言揭穿，坦白一切，这样的日子才能让人松口气。            
(2星)	 两星还是看在有天的面子上。            
(NA)	 不好看啊 就算有有天。。。            
(3星)	None
(4星)	 只为多海            
(2星)	 此剧如标题党般可恶 无趣            
(3星)	 李多海很漂亮            
(3星)	 李多海你的表演还能再浮夸点儿吗            
(5星)	 我主要是看人去了~结局太仓促，但是真的是累坏有天了            
(3星)	 李多海很美很美，就是受伤或者慌乱时的表情有点太夸张了            
(3星)	 人物造型还好，李多海穿得都蛮漂亮。            
(2星)	 还行            
(4星)	 虐！！！！！！！！！            
(NA)	 其实最近看的这部最喜欢了。不按套路写，演的是个“坏女人”，前面情节紧张，后面节奏也比较好            
(3星)	 女主角演的过于用力，感觉男主角不怎么喜欢女主角            
(4星)	 现实和时间组合在一起真的是无敌的杀猪刀            
(NA)	 看着有天 觉得 李多海 好坏啊！！            
(3星)	 演员是好滴~剧情是烂滴~            
(3星)	 朴有天像一种鱼            
(3星)	 好坏的女人 ，，，            
(3星)	 哪里找裕贤这样温柔的男人 日本总理的女儿才是亮点呢            
(3星)	 李多海整容搞的表情都僵了            
(NA)	 狗血喷头的剧情。。阿姆泥好给力啊！！呼巴掌什么的最解恨了。。。            
(3星)	 不喜欢李多海            
(3星)	 除了女猪脚的衣服和养眼的有天xi~。。其他真的没什么看的T T            
(4星)	 。。。            
(3星)	 如果是追剧的话。。肯定看不下去= =            
(4星)	 李多海变漂亮好多哦~~~~感觉她会凭这个剧获个奖什么的～～～～            
(3星)	 李多海很漂亮            
(4星)	 剧情soso全凭演技            
(4星)	 李多海，太美了！~~结局不喜欢，闷闷的，还是希望她可以幸福的朴有天结婚！~            
(5星)	 为嘛我老感觉李花副社长就是美丽她妈呢            
(4星)	 看完发现 朴有天，你尽演些被女人骗的苦逼“笨男人”，什么时候能聪明点呢，无比期待你能演个腹黑男让我们亮亮眼。这剧最后煽情地坑爹了，坏人才是真爱啊~~            
(NA)	 8集弃 张美丽诚然有一个破碎的童年，但这不足以成为她背弃道德还理所当然的理由。建立在层层谎言基础上的国度，可以支持多久，承受得住旁人纯然的感情？本来是想看到一个得到救赎的故事，但貌似不是，看剧的乐趣已经完全丧失，过程中一度气到不行，这不是揭示现实的深刻，而是在刻意挑战我的道德观！            
(3星)	 看了几集，弃...只觉得李多海黑乖            
(4星)	 除了结局都能接受...            
(3星)	 女主竟然就那样被原谅了。。。编剧不可理解。。。韩国片子合乎情理的貌似越来越少了。。。            
(3星)	 为了朴有天去看了，编剧真心坑爹            
(4星)	 那不是爱 那是贪心 ····   再见了 鱼线亲···  那不是朴有天那是宋裕贤            
(4星)	 越看越上瘾的一部！            
(NA)	 可怜更可悲            
(4星)	 李多海的演技，朴有天的帅气，冲着二位主角去的~虽然不喜欢开放式结局，但也算没让人失望~            
(5星)	 虐 越往后越好看             
(2星)	 为毛要沉重呢？沉重就算了，为毛还要找这么偶像的演员来演？找这么偶像的演员来演这么沉重的剧就算了，为毛还没完没了？            
(4星)	 大米很萌啊~            
(NA)	 女二最给力~Tablo家的~YG家的~            
(3星)	 李多海越来越美了，美的精致，整容能达到这个境界也不得不表示尊敬。一个女人被三个男人用不同的方式那样爱着，呵护着，实在太幸运了。开放式的结局......虽然给人想象的空间，但不是很过瘾，好像不痛不痒，少了点啥。            
(2星)	 很少看到这么差的韩剧 不过为了男猪女猪一人值得一颗星            
(3星)	 我 我 我。。很想打一星。。。。            
(3星)	 三星半，前半部分大气有范儿；后半部分，张美丽瞬间就仙女，真爱了，又一部狗血拖拉韩剧了。            
(2星)	 这真是我忍住看完的最烂的一部剧了...如此狗血的剧情，现在的韩剧究竟是怎么了？多海MM，以后慎选剧本啊~            
(2星)	 本来想打发时间看看来着 结果是开放式结局 果断拖完结束！            
(3星)	 好丑的男主角            
(5星)	 很写实的生活偶像剧            
(3星)	 没有完整看，最后两集，骗了我不少眼泪。看韩剧就是容易哭。            
(4星)	 如果可以，我想抹去美里的泪            
(4星)	 为了wuli有天看的，刚看第一集就发现李多海又整了，样貌变好多，搞得没心情看了。还是成均馆绯闻里，他和朴敏英比较搭，wuli有天，我要重拾对你的爱            
(2星)	 朋友推荐这部剧给我看的时候，我找来简介看，以为是多了不起的一部剧，以为韩剧终于有了质的突破，其实不过如此罢了。一个女人，一个很杯具的女人选择了杯具的生活方式，以为找到有钱的男人就找到靠山的傻逼女人，用谎言编织了一个一个故事。男人是多么靠不住的东西啊，我一向不看好女人只是依靠男人。            
(2星)	 对我亲爱的韩剧说一声  不要再做无力的尝试了！！！！            
(4星)	 还可以            
(3星)	 不喜歡女主那樣的女人，太有心計了。。。6集棄之            
(NA)	 看了前三集和后四集～            
(2星)	 为了李多海的衣和型…注意，各单位需忽视那副面具…            
(4星)	 我家米子演的真好，希望下一部戏在角色性格上有所突破啦~~~            
(3星)	 李多海虽然整的漂亮了 但是没有以前可爱了。。            
(4星)	 开头有点闷，高潮很好，不冗长，剧情不老套            
(5星)	 很现实的剧，在如今韩剧的泡沫中可以说是一部很独特的剧。。荐一个～～            
(3星)	 总觉得他们的感情不足以打动我，最后越来越烂，不是饭不会看            
(NA)	 这个编剧不够谨慎，不靠谱的地方太多。            
(4星)	 李多海还是那么漂亮呀。。。不过不是很喜欢结尾。。。想要大团圆。。。伤心的嗦。。。            
(5星)	 再坏的人也有令人怜悯的时候!!结尾的那句我真的很爱她，和微微露出的云层的光线，是不是预示着他们的缘分还不仅于此呢？也许之后会是她找上他呢？            
(3星)	 和女主在一起的一定是男主，由此得朴大米是男主。。。但这种人傻，钱多，速来的角色，朴同学以后可不可以不要接了。。。这剧情节狗血，结局莫名，编剧真是活该没人理。。。            
(3星)	 开头令人耳目一新。结尾草率的想撞墙。落了俗套。            
(NA)	 无论在剧中还是现实，都不希望李多海跟有天配            
(4星)	 得之所幸。前几集还可看看。            
(3星)	 忽然想起人言可畏。            
(4星)	 结局可不可以不要那么纠结啊，在一起吧男女猪脚。每集都那么惊心动魄，到后面更是高潮迭起，让你哭个够            
(3星)	 完全是因为有天演的才看的、这类剧情不是我喜欢的类型啦啦啦、            
(3星)	 编剧无比的虐，没什么正常的角色、都很奇怪，最后两集才正常些。女主角演得有点儿过了。但是~~摄影很不错的，还有有天的声音。            
(NA)	 太虐了...            
(3星)	 结局太TMD坑爹了。            
(3星)	 只能说编剧很烂，其实很期待朴有天也能演个什么冷都男啊之类的，总是暖男很难出彩啊偶吧~~~~~            
(3星)	 这三分完全是看着有天的面子给的，剧情太尼玛坑爹了！            
(3星)	 前面好看，跌宕起伏，环环相扣，后面收尾太匆匆，有逃避现实的嫌疑            
(4星)	 前半部分很好 很紧 有5星 后半部分跳着看就好了 就3星 综合一下 4星            
(3星)	 李多海演技差就算了，金承佑大叔完全幻灭。。。是有多没下限啊连这剧都看完了            
(4星)	 开始还行，到后面角色的诠释好像不是很到位            
(3星)	 太差了。。            
(NA)	 李多海整的看着真难受。。。冲着朴爷看的。。。            
(3星)	 特没劲。            
(4星)	 李多海，越演越好。            
(4星)	 结尾很感人，分开也是一种幸福吧，但太理想化了！            
(2星)	 最后两集编剧是不是赶着去投胎？回家喂狗？收衣服？带孩子？            
(4星)	 有天太温暖了---            
(4星)	 太纠结了好嘛！配乐太！闹！心！为什么我觉得武平山是最让人感动的啊！！！武平山一出来我就哭的稀里哗啦的！！            
(NA)	 爱不分贵贱            
(3星)	 虐！！！！！            
(3星)	 狗血 没有逻辑 科幻 穿越。。。各种雷。。。如果木有朴有天 绝对不会看            
(3星)	 第一集的时候蛮期待看的，前3集都蛮好，进酒店了就不好看了。            
(2星)	 李多海在这里面真是很不讨喜，演的过度用力了。有天也是温柔的一塌糊涂，没有特点。。。            
(3星)	 有的时候，觉得李多海演的有点过。男一是即使女主说了谎也一心一意喜欢的，男二是真心喜欢过女主，只是女主把他当梯子，男三是从头至尾知道女主真面目还爱着她的人            
(5星)	 尼玛结局好抓狂啊·            
(3星)	 虐死了！！！令人无语的编剧！！！拜托有天以后不要再接那么莫名的剧了！！！            
(2星)	 因为有天多给半颗星吧。什么莫名其妙的剧情。            
(4星)	 女主的右眼睑很奇怪啊，，，            
(NA)	 15集之前都还很纠结.........16什么的就表看了＝＝            
(3星)	 近期追的韩剧中看到的最腹黑的女主              
(3星)	 有点莫名其妙            
(4星)	 有天+1 悲剧            
(4星)	 结局真的很没劲。。。            
(3星)	 因为过去不堪的命运 慢慢变成一个满口谎言的人 因为从没有一个能给她说完全部真相的机会......这样的人 到底配不配得到原谅？            
(4星)	 剧情引人入胜的地方在于一旦看进去了就会跟着主人公一起紧张，压印。整部剧太压抑了看上去。建议不要一口气的看下去，我就是这样看的有时候喘不过气来，如果是跟着连载的看，每个星期两集我觉得那种感觉会好一点，可以有一段时间喘气，可是都完结了相信没人能忍住。不过天哥哥依旧不论怎么看都帅气有品            
(NA)	 在(韩剧网www.hebnb.com0 看过            
(4星)	 一切都好除了那个坑爹的结局.            
(NA)	 浪费了这么好的演员!            
(4星)	 令人心痛的爱，内心旁白的台词让人很感动。这样一个女人得到那么多的爱，还是因为长得太标致了吧。            
(4星)	 就这样结局了，感觉还没看够            
(4星)	 演员很好，题材不错，只是编剧有点错乱。只能理解成，目前的裕贤是换一种方式爱美里，给她时间，找回自己，学会爱情。就像裕贤在歌中唱到的一样“我的爱只为你，只为你，只为你保留着空位”一直等到他们再次重逢的时刻，因为“我是真的，很爱她”。这样的裕贤和美里一定会再次走到一起。            
(5星)	 - -            
(5星)	 心疼的慌，有天还真是越来越帅。            
(3星)	 感动我的只有第一集的时候李多海为了某个信念一个人艰辛的生活，后面还是挺失望的，唯一值得安慰的就只有，李多海很漂亮，大米造型很帅，不过演技还有待提高噢，大米加油~~            
(5星)	 剧情狗血又后妈却让人产生要好好感恩命运对我们的恩赐，不追不行啊            
(NA)	 抱着试试看的心情看的，反而让我一直在看下去,总体来说一般，情节有点跳跃            
(4星)	 要是真在一起，就没得意思了。            
(4星)	 面瘫王子终于在15集结尾爆发了一下。。差点睡着~            
(NA)	 好吧，算是李多海的突破。            
(4星)	 谎言的泥沼源于欲望的蔓延...            
(2星)	 冲着李多海看的 不过 对于剧中思想无法认同  真是混乱  看的我郁闷            
(5星)	 整了我也喜欢 唯一喜欢的韩国女演员            
(4星)	 中间好几次都想弃剧了，这编剧也太虐了，不把美丽逼上绝路不罢休啊，加上最近有没有好看的韩剧，我真是~~坚持到最后两集了，这编剧就算来个欢喜大结局，让裕美在一起，观众们还是很失望啊            
(3星)	 剧情太瞎了 纯粹来看李多海            
(4星)	 棒子国剧情 不解释。。。为什么美丽不是一直坏下去。。            
(3星)	 看的好压抑，看到第10集放弃了，接下来几集估计开始虐了，待大结局出来再看下吧            
(4星)	 李多海第一集中很有爆發力。。弃。            
(2星)	 四分之三的剧情中，朴大米都顶着个西瓜头，领着男一号的薪水，打着男二号的酱油，女二号更是被搁置在了墙脚永不见光了。李多海除了瞪大眼睛张大嘴就还是瞪大眼睛张大嘴，看着憋屈。            
(4星)	 she is             
(3星)	 最后，女主莫名的原谅了妈妈，莫名的木有跟男主在一起，木有跟男二在一起，从监狱出来漂亮得跟从美容院出来一样。真诚的说一句，她也就配和平山武在一起。李多海再漂亮朴甜甜再受欢迎也改变不了这是一部不咋的的剧的事实。            
(3星)	 很想说，梦想很丰满，现实很骨感。结局让我想到一个朋友，明知相爱，可却不去找她。以前我不理解这个行为，现在貌似有点了解了。在不对的时间里遇见了。。。缘分到底是谁说的算？ 我想大家都该明白吧，珍惜身边的人，不要让缘分溜走            
(4星)	 让我想起了当年的徐迎美~            
(2星)	 从头到尾都在扯淡。。。编剧NC。。。居然拉皮条的男演员也跳出来对女主说，我全是为了你。。。我顿时就疯了。。。都尼玛是些吃屎长大的！！BTW, 女主说谎一被女二发现就哭。。。哭你妹啊。。。            
(3星)	 没看完。但是最近迷朴有天，觉得怎么看都帅。剧情依旧狗血，慎入。            
(2星)	 为什么评分这么高！我觉得有天都被毁了好么！            
(3星)	 李多海美了很多啊。。。。！！果然瘦是好的            
(3星)	 可以跳着看，李多海在里面的装型是值得学习的。            
(4星)	 演技不错            
(NA)	 有事没事追着看一下，话说李多海个身材，女人看了都要嫉妒啊。            
(4星)	 因为有朴有天就给4个星星，剧情跌宕的说，主要是编剧啦，导演了，剪辑了有时候脱线，剧情编不圆了快，我觉得一会儿好像大家都知道彼此之间的关系，一会好像又不知道，哎，忍了，希望少爷下次接个阳光点的戏，老演这么严肃的，累心的说！加油了，我最近看好你————来自水性杨花的饭！            
(NA)	 不是一般的讨厌李多海演的那个角色！！！！！不管身世怎么可怜都无法原谅的讨厌！！！！！！            
(NA)	 第七集，弃。。。我觉得我还是看有天cut就好了T T            
(5星)	 看偶像剧就要看演员，演员世界观低俗就是烂片，宏大就是好片。每每有李多海的片子，必看。            
(3星)	 整容脸是怎么看都不顺眼，我说李多海你何苦···            
(4星)	 李多海的演技太震撼了.... 唯一的不足是男二太老 女二太不给力了实在            
(3星)	 呃。。没有结局的结局。。            
(NA)	 太狗血了。。。这个关系网。。。= =            
(2星)	 什么结局啊,二星都是有天的            
(5星)	 步步揪心，从第一集揪着我的心至今，还有最后2集。。。。我的美丽啊～～你要幸福的，你要好好的！            
(5星)	 平城武对李多海才是真爱！虽然最后一集烂到家了，但前面都很好看，是近年看过最好看的韩剧之一，又是一个李雅兰啊，李多海怎么哭妆都不花的            
(3星)	 因为老朴看滴，看他后面转型。。。顺便：建立在谎言上的幸福，终将被淹没。虽然努力让自己活得更好没错，但是不能伤害到别人            
(4星)	 这样的结局挺好的。            
(2星)	 实在坚持不下去了，要不是李多海的衣服好看点儿，唉。            
(4星)	 不喜欢看傻女主的来看这个            
(5星)	 纯粹是为了有天而看            
(4星)	 虽然编剧编得不匝地，但是演得还可以吧，至少我努力追完了            
(1星)	 看了一集开头就弃了。。。            
(3星)	 1,2集很無聊 3集壞女人成型後 漸漸好看了, 直到看到有天跟壞女人說我愛你時 真是捶心肝阿.....看不下企.....            
(3星)	 女主你能不能在把眼睛睁大点，疑虑，慌张，不安，愤怒，魅惑，吃惊，开心...无一都把眼睛撑到最大。如果哪个眼睛睁的大就代表谁的演技好，那么恭喜李多海，你赢了！            
(NA)	 BJ大人，嫩虐四我拉            
(4星)	 情节紧张            
(4星)	 揭穿真相神马 身世神马            
(3星)	 凑活着看 有美女和帅哥            
(NA)	 硬伤很多，第六集之后果断弃之！            
(3星)	 李多海是真好看啊！！！不过这个剧情有点。。。让人看不下去，不忍心，李多海怎么演了个不择手段的贱女人呢。。。            
(3星)	 多海变得很漂亮呀!!不过剧情嘛不怎样。。            
(3星)	 說說劇情吧 我覺得一個人 無論有多悲慘的經歷 都應該堅強的面對生活 有時候 所謂的迫不得已 只是在向命運低頭            
(3星)	 为了有天我…………依然没看完 哎            
(3星)	 剧情狗血，结局老早就猜到了，单纯是为了看米爷秀演技。            
(3星)	None
(4星)	 就这样完结了吗            
(4星)	 尼玛真心希望女主角去屎            
(2星)	 剧情不怎么样~~~！！！            
(3星)	 不喜欢李多海诶。。。看着前面的剧情，很容易想起坏坏的徐尹美，张美里有点弱嘛。忘记从哪里看到的一句话了，大意是幸好有天先出演了成均馆绯闻，不然这个新剧的演技就@#%%……了            
(3星)	 结尾又tm失忆啊            
(5星)	 这大概是韩剧里最坏的女主了吧  当然也有最蠢的女二            
(1星)	 我承认，还没有来得及搬家，是有点无聊，但是这部剧……我原来是多么喜欢Micky啊……现在是在侮辱智商……            
(3星)	 人只有在爱过以后才能学到爱...懂得爱护自己的才是真正伟大的爱情......            
(4星)	 李多海很出人意料，剧还蛮耐看的，朴有天完全塑造了好男人的形象~            
(4星)	 李多海怎么会那么美呢？            
(4星)	 最后一集 很感人 爱自己就是最伟大的爱啊            
(NA)	 李多海眼坏女人真的很逼真啊！            
(2星)	 我实在不知道脑子怎么彪了看这么个韩国破电视剧，剧情够烂，女主够贱，破绽百出！我实在不想吐槽了，什么玩意儿啊！棒子你们做电视剧能有点思维逻辑吗？            
(3星)	 为了李多海看哒，不喜欢那个结局            
(3星)	 因为大米，勉强坚持到了结局。开篇应该还算的是四星的，那狗血到不能再狗血的结局是二星。            
(2星)	 不知道意义何在，谎言么，这个世界太无聊了            
(5星)	 少爷太帅了！            
(3星)	 近期看过最能看得下去的韩剧了... 虽然李多海的整容脸有点碍眼，但演技补够就暂且可忍耐            
(3星)	 真想掐死张美里！！！要不是为了Micky！！！男二也太太太太丑了吧！！！够演男一爹了好么！！！每次都要挨到实在太无聊才看，并且永远快进到有Micky的片段...            
(3星)	 男猪脚的脸让我忍无可忍，还底下一堆东方神起的粉丝叫嚣美丽            
(4星)	 不大喜欢这种开放式结局~            
(3星)	 李多海整容了怎么变成这样了，完全就花瓶感了，妆画得太白了，脖子和脸完全都脱节了。故事情节也很老套，看了几集就觉得没意思了。抱歉，没坚持住！            
(3星)	 李多海整容了吧？            
(NA)	 就看朴爷了   太帅啦            
(NA)	 1极品女人+2蠢钝男人的狗血故事。朴有天，这个角色不适合你啊~~~~(&gt;_&lt;)~~~~ 李多海这脸整得可真小啊，演得太用力            
(3星)	 不算一般套路的韩剧 李多海演技不错 金承佑还是有情定大饭店的影子～            
(4星)	 很鬥戲...李多海太厲害了~            
(3星)	 看完不知为何觉得心痛无比。            
(4星)	 有天的~必须顶的！！            
(4星)	 喔~~好虐啊~~好虐啊~~颠覆以前韩剧的女2和女1的形象，我喜欢！！！就是受不来哦那个老男人啦！！！            
(3星)	 挺吸引人的 但是不算太好看 因为有天不是我的菜么 莫拉莫拉阿吉莫拉 但是李多海啊 我的妈 皮肤未免太好 腰未免太细了 苹果光啊苹果光 羡慕啊羡慕            
(3星)	 太 狗 血 了 。            
(3星)	 完全以快进键为准            
(5星)	 5星for  Micky！            
(4星)	 在韩国伪造毕业证会有这么严重的后果吗？骗人甚至是诈骗是这么容易得事吗？美女的诱惑有这么大吗？男人都是如此痴情的吗？！            
(3星)	 每多看一集，心就会纠几下。            
(4星)	 嘛..这个女人很强大咳咳~            
(5星)	 现实又纠结，能引发人的思考，是部能让人印象深刻的剧。            
(3星)	 就是因为我们米爷才看的啊 但是我发现剧情我看不进去。。= =ps.朴有天你的笑容真是太温柔了啊！！让俺这等宅女都酥软在了电脑前~~            
(NA)	 没想象中的好看            
(5星)	 为了有天，我最爱的MICKY，啊啊啊，完美的温馨男            
(3星)	 05弃。雷男二……还以为是轻松的爱情喜剧，又是这样的苦大仇深。            
(2星)	 我想弃剧了 李多海很漂亮 可是真的剧情很难受 有天你在打酱油 男女2号接受无能            
(4星)	 同意这个剧的简介。很好，很支持她，加油！！！！！！我觉得这将是李多海的的演艺生涯的转折点！！！与她之前的很多剧的形象都有很大的区别！！！            
(3星)	 虎头蛇尾的又一力作！男二曾经一度让我迷失啊！结尾是电影套路，比老套路好了一点点而已。。。            
(3星)	 又是沉重的命运···            
(3星)	 假，唯一欣慰的是朴有天的演技提高了            
(5星)	 这五星都是给演员的            
(2星)	 整容这件事已经是在挑战我极限了，整的导致表情都出不来，朴大米几乎就俩表情，剧情烂            
(5星)	 很坏，很喜欢看她说谎时的戏            
(2星)	 三集之后不想再看了，太假了            
(3星)	 真是从头“荒唐”到结尾！9岁的孩子不知道自己妈长啥样！美貌让所有男人围着她转，遇到了恶婆婆成了自己妈，假学历搞得全世界为之疯狂~结尾更是~晕倒就要开颅手术~就可能成植物人~掉到水里也会醒不过来，还差点死了~恶婆婆来了就活了~韩国人是不是整容整上瘾了啊！李多海你的脸好僵硬啊            
(3星)	 我这一生，渴望被人收藏好，妥善安放，细心保存，免我惊，免我苦，免我四下流离，免我无枝可依。　　　　爱上你，是这样的我，唯一做对的事情。 编剧，你敢不敢再烂一点= = ~            
(4星)	 太TM狗血了            
(3星)	 看见女主角的脸 总是会想起她演搞笑角色的脸 不过造型确实美了 身材很好- -            
(4星)	 女人心计啊……            
(4星)	 节奏很紧凑            
(2星)	 弃！            
(3星)	 结局 就该这样。。。整什么梦幻 从头做人            
(3星)	 一个字 虐~            
(5星)	 赞！！！！            
(4星)	 支持有天！            
(5星)	 我是天哥的演技饭啊            
(5星)	 本部长帅死了&gt;&lt;            
(1星)	 太稀烂的剧情了！编剧脑残了！！PS李多海咋给整残了啊那脸越来越假了吧~一星完全给朴有天~~            
(5星)	 没有谁是真正的无辜，没有谁是真正的罪人！生活在这个时代是幸运更是不幸！            
(5星)	 纯真的宋裕贤遇到只要活下去的张美里，奈何情深，缘浅            
(4星)	 有天啊~~他演得好搞笑- -别PIA我- -            
(4星)	 李多海的演技和身材都无可挑剔，特别是眼睛，特别会骗人。我想，大多数年轻姑娘心中都想要得到朴有天演的宋欲贤吧，但是我会觉得金承佑演的张明勋更有安全感更温暖。            
(2星)	 越看越有点意思。            
(NA)	 追不下去了 看得人不舒服= =            
(4星)	 朴甜甜个二货again...李多海整得美死了【星星眼~】            
(3星)	 不是很有趣。李多海很美，有天依旧很迷人。            
(4星)	 刚看完。看到裕贤落泪的时候，我也哭了。美里对检察官说的那段话，让人深思。写给妈妈的信里说：不能遵守约定，对不起，但是我要留在这里，我要从头站起来，虽然会怀念，但是会忍着，虽然会很累，但是想赢取，丢人的过去。她是这样勇敢！张美里和珠裕邻完全是两个人，多海实在厉害。最喜欢熙珠的哥哥。            
(2星)	 那啥我得改一下，在这烂剧横秋的5月里，我以为雷普利会让我眼前一亮，没错！确实亮了！编剧nc，角色定位不明确，还有就是我更讨厌李多海了！呵，两颗星            
(3星)	 第一集还蛮期待，看完第四集弃之，越来越狗血了，又回到韩剧老套路上了。。。            
(3星)	 美貌的坏女人不是应该遭到天打雷劈吗？到最后还是真心不希望男女猪脚在一起啊，错过了，我是有多开心。。。所以说，有天啊，你的演技是本色出演吗？还有啊，女猪脚设定成这么令人厌恶，是有多想报复社会。。。            
(3星)	 坑爹的编剧            
(4星)	 李多海好久没有演。。。这样的角色啦~期待啊            
(3星)	 暑假的时候就追完了 …… 烂尾得我都忘了来标记 = =            
(3星)	 很喜欢李多海，觉得她演的也不错，但是角色的女人太假了很讨厌            
(1星)	 我受不了了必须弃！李多海那造作伪善的脸啊，你耍心机耍的也太面具化了吧！            
(4星)	 虽然对南竹不怎么待见！！但是李多海怎么整容变成这样了！！= =跟韩国很多女星没有差别了！ - -！！            
(3星)	 感觉很沉重            
(2星)	 你也快点啊 快更新啊  急死了            
(2星)	 不喜欢急功近利的心机女。而且编剧貌似是想以这样的“韩剧”表现出人心和社会，从剧情来看，有点可笑呐...果断弃！            
(3星)	 六集结束，编剧显然没有给女主角一个准确的定位。如果说前四集中女主角学历造假的行为还能让人同情和理解，会主动关注其后的圆谎之路，但五六集却不见女主角的任何奋斗和努力，而是变成了脚踏两只船的低俗角色，两位深陷其美色的男性角色在智商和能力上也让人质疑，看点越来越少，不看好剧情的后续发展            
(NA)	 弃掉了 如果多海不整容多好            
(5星)	 我是来追人的。。。这戏从构思到选角来说都是很优秀的，演技也好。就是编剧！导演！剪辑！你们是想怎样啊啊啊啊啊啊            
(NA)	 这女人胆大到什么地步了，可能骗人骗多了连自己都觉得自己就是那样了。。。李多海身材真好，高挑穿衣服真好看！            
(4星)	 更多关注的是人性。            
(3星)	 我为女主可怜，同情她悲惨的命运。我希望世上的人都能得到爱，即使走在错误的道路上，因为那不需要物质，不被俗化，相比是世间最容易得到的，相信有了爱的温暖更多的人都会是快乐的，也不会走上不归路。愿世间的人都能得到爱，都是善良的！            
(3星)	 自我 亲人 朋友 恋人 陌生人 社会 舆论 造就了一个现实的人。            
(2星)	 为朴看了两集。。。韩剧果然还是那么无脑。。。李多海能不能每次都演没钱但每次出场都换衣服的角色啊            
(4星)	 感觉这部片子就是 有一个贱人 大家都很喜欢她 一直都很喜欢她 后来贱人变好了 原来贱人也没那么贱...            
(4星)	 比其他韩剧里那些整天就知道哭哭啼啼柔柔弱弱的女主角不知道有意思多少            
(3星)	 。。。            
(3星)	 李多海的表演是败笔 終於結束了……            
(3星)	 李多海啊 李多海 变得太像三顺了 不打高光 整个一个模子的看了就想看到结局啊 实在男主角不怎么帅。。            
(3星)	 两颗心给演员            
(3星)	 我不喜欢阿加西的戏份。朴甜甜跟多海一定要在一起，结尾是杯具，BJ你死定了            
(3星)	 觉得李多海不适合演这类，剧情我不感兴趣            
(3星)	 李多海的演技实在不咋样了，她的角色坏的实在让人牙痒痒啊            
(NA)	 坏女人做主角内. 好无聊弃之            
(3星)	 最后的结局是最好的结局            
(3星)	 看美女漂亮衣服来的 李多海怎么大变样了呢 具体又说不出来哪里变了            
(3星)	 给我点希望嘛编剧，TNND希望都不给我。。。。烂菊。。。。。。            
(4星)	 阴霾过后 总会出现阳光             
(3星)	 看到8集，看不下去了            
(2星)	 看了几集就是在看不下去了，好怀念那个活泼善良的珠裕玲            
(NA)	 韩剧翻个儿了！女主角竟不再完美/单纯/傻气!竟然擅长撒谎&amp;勾引！虽然剧情沉重，不适合消遣，但值得期待！对于那样一个女人，你不能要求她是温情主义的....            
(3星)	 这样的女人。。。活的会不会很累呢？还是已经习惯了？ 15集挺好  那首歌不错            
(3星)	 朴有钱总是笑咪咪的，果然甜甜            
(3星)	 编剧是脑残，最后2集完全是为了圆之前诸多谎言使其看似有前因后果而已，多海欧尼的演技毋庸置疑但是挑错了剧本啊，虽然身世很可怜，但不能为了向上爬而神马都不顾啊！我小情人就不点评了，希望下次表再演这种阴郁的角色了啊！男二大叔人很好但是演对手戏的时候请表一直低着头啊！男三是亮点！            
(4星)	 孰对孰错的爱情游戏            
(3星)	 看剧情简介，看剧情的开始，我以为会和狗血的爱情剧不太一样。看到一半发现原来还是差不多，不容易坚持看完。= =            
(3星)	 我喜欢腹黑女            
(3星)	 我们家有天明明应该是男一啊~~~哪里出来一个大叔和我家甜甜强戏份！！！            
(NA)	 李多海真的是美的完美阿            
(3星)	 最终故事必须引起观众的同情与共鸣，那么一个讨厌人的人物居然拍成这样，编剧做到了，orz            
(NA)	 韩剧没有不狗血的 不够黑暗啊~~.......果断弃之........            
(5星)	 多海姐 加油 我永远支持你            
(3星)	 有些像坏男人的风格。李多海很美啊。朴有天不错的。  还是有点想弃了            
(3星)	 对李多海受惊恐时发出的喘气声憎恶不已。朴同学冷静清醒地调查作决定，永远不会失礼于人，这是怎样的大脑？            
(4星)	 确实有点深沉了，全剧就没一个笑点。。。不过李多海演技大赞!            
(NA)	 弃            
(2星)	 前戏铺垫太多高潮冲击又来得不够猛烈，女主除了死撑没一点技术含量，辜负了我对腹黑女的期待- -。（李多海有面瘫趋势不过演技不赖            
(3星)	 张代表不好            
(2星)	 这剧情也太坑爹了吧 浪费了那么多好演员            
(NA)	 ...前面还好..后面就凌乱了...            
(4星)	 女一坏了点 男一单纯了点 女二善良了点 男二憨厚了点 结局是神马意思嘛 气死我了~            
(2星)	 是想怎样……            
(2星)	 女主太恶心，，女二很可爱。。            
(3星)	 还行            
