http://movie.douban.com/subject/1790373/	我的女孩 마이걸
(3星)	 画面超养眼            
(NA)	 俊少            
(3星)	 How to become &#34;my girl&#34; ?            
(5星)	 木头多多要在一起啊...BAXIA!            
(5星)	 连妈妈都喜欢。            
(NA)	 女孩挺可爱            
(4星)	 很帅的男二号！~呵呵！~            
(2星)	 其实编剧真的不错。如果真的可以忍受那个女主角的话，那会觉得好看            
(NA)	 一般            
(NA)	 女主角的整人招數很喜歡！哈~            
(5星)	 非常好看            
(3星)	 还行吧。一直不喜欢李多海。但是喜欢徐正雨。            
(3星)	 李俊基，喜欢。其实有点傻。            
(3星)	 又是四个人。            
(3星)	 其实女孩子有时候可以不要那么坚强，倔强的甩头就走即使心在滴血，太傻了。可怎样才能做到不坚强？            
(4星)	 不错的韩剧            
(NA)	 还可以            
(5星)	 看过很多遍　　好看            
(5星)	 my girl我的女孩            
(5星)	 最喜欢！            
(3星)	 可爱的女骗子            
(NA)	 李多海呀么李多海~            
(5星)	 很搞笑的韩剧            
(NA)	 看过了，还好            
(NA)	 故事情节蛮不错的女主角可爱            
(4星)	 假兄妹，真情人，开始喜欢李俊基            
(4星)	 从此爱上李俊基            
(3星)	 r在大二的时候每天狂追的剧            
(NA)	 李准基            
(2星)	 不如春香            
(2星)	 typical            
(3星)	 没什么印象，太快餐            
(NA)	 my girl 真的好喜欢这个名字啊，但是就想着会不会有一天我也成为谁的女孩，现在真的梦想成真了，真的好开心啊            
(5星)	 喜欢            
(5星)	 搞笑的爱情剧，好看~~~            
(4星)	 不得不看~             
(4星)	 宿舍的人都在看，搞笑            
(5星)	 温暖的冬天            
(5星)	 总有些小意外,故事情节跌宕起伏。最重要的是开心。            
(5星)	 爱情是不能欺骗自己的!欺骗只是怕爱人受到伤害....            
(5星)	 又搞笑，又感人，还有帅帅的俊基哦            
(3星)	 那个女孩子脑子真的不是很正常。难道韩国人里面只有脑子不正常的人才能碰到轰轰烈烈的爱情吗~~OMG……            
(5星)	 很喜欢男女主角。            
(4星)	 男主角李东旭会越看越觉得帅            
(5星)	 爱极。。。。看            
(5星)	 每看一遍就会更爱正雨            
(NA)	 聪明温柔体贴入微的正雨，加油            
(5星)	 哈哈~很好看的,也不像其他的韩剧那么拖~还喜欢上的了李东旭,有点像古天乐小白脸的时候~.本来不喜欢的李俊基现在也不反感了~            
(5星)	 超级爱李俊基~~····            
(NA)	 本来看了几集就准备删掉的，又翻出来看，结果一口气看完。原来是韩剧里很有水准的一类！            
(4星)	 你会万福的~            
(5星)	 啊～超可爱的。三颗半星搞笑，四颗星感动。嘿嘿～            
(5星)	 很经典。。。。。。            
(5星)	 我的最爱！喜欢李东旭！            
(NA)	 死党很喜欢，高中有段时间可以看见他抱着学习机看这个电视剧。。。            
(4星)	 曾经真的很爱看            
(4星)	 歌曲很加分！~~男主很帅啊            
(3星)	 看一半看不下去……            
(4星)	 我爱帅哥            
(4星)	 缓解压力和不好心情的备选韩剧之一。            
(4星)	None
(NA)	 超爱的韩剧啊，从那时喜欢李俊基滴            
(3星)	 没有想象的·好看            
(4星)	 我居然完整的看完了一整部韩国偶像剧！在这个二的日子里真是有够二的！o(∩_∩)o             
(3星)	 也是当时很红的片吧，跟宫差不多时期的，都看了，也都忘了，可想而知了。不明白为什么有那么多人喜欢。            
(5星)	 当年和宿舍的姐们一起无比疯狂。。            
(4星)	 当年第一个喜欢上的韩国明星，李准基。哈哈            
(5星)	 这辈子最好看的韩剧。。自05年看后每年至少重温一遍。。男女主角都养眼，演技好，衣着定妆好，剧情也好，剧情冲突是有逻辑的，不像有的肥皂剧一样无病呻吟。难得的好剧。            
(4星)	 歌很好听            
(5星)	 两个人的相遇很奇特，经历很美妙。一部很喜欢的片子。            
(5星)	 经典的，偶像剧            
(3星)	 我的女孩！！尼玛是有多经典            
(4星)	 经典。我的爱情，没有半点虚假~~~            
(4星)	 看过为数不多的韩剧。高中什么时候看的都忘记了            
(3星)	 消遣的话还可以。            
(5星)	None
(5星)	 这是我第一部看的韩剧，只能说忒经典，看了两遍            
(3星)	 看过的几个韩剧之一，女主角的性格不错            
(NA)	 非常好看，看了好几遍            
(3星)	 老曹看完这个之后就跟这个风女人一样了             
(5星)	 又温习了一遍 这已经是第N遍 太爱了 李多海演的真好特别有灵气 超级喜欢薛功灿             
(1星)	 男女主角都是我讨厌的。            
(4星)	 知道了李多海，当时觉得她好可爱。不像现在，玻尿酸打多了，脸蛋儿僵硬~~            
(4星)	 高二上课看完的(*/ω＼*            
(4星)	 63大厦的谎言。            
(5星)	 可以算作我最喜欢的韩剧了 所有都是我喜欢的演员            
(5星)	 李多海的表现完全可以给电影打5分，秘书姐姐也很有范啊            
(NA)	 初中时看的，整日都惦记着my girl。            
(4星)	 棒子剧里不错的了。李东旭帅死了            
(4星)	 看第一集时感慨哪有那么难看的男猪脚啊。。看第三集的时候，发现男猪脚的可爱了。。看到第七集，沦陷了。越看越有味。。            
(2星)	 高富帅 和 矮胖穷            
(4星)	 李多海很可爱。            
(3星)	 多海oni太美了！            
(4星)	 年幼(...)的我的第一部韩剧~从此完结不了的男二情结啊!            
(5星)	 曾经心中的经典！            
(3星)	 实在不喜欢女主            
(3星)	 半颗星星给看着无比顺眼的男主~            
(5星)	 女主角聪明坚强            
(5星)	 为了韩语重看一遍，搞笑如故~好片。            
(3星)	 我曾经迷恋李俊基的理由就是这部我的女孩，永远都是迷人的男二号最能打动人心。这样的男二总是无法赢得女猪，但是却赢得了所有人。            
(5星)	 很好看，李多海可爱的样子让人喜欢，看到她心情就好            
(5星)	 这部剧就是我开始韩剧之旅的源头啊~~~05年的韩剧真心不错的            
(5星)	 喜欢可爱的女孩，李多海。            
(4星)	 其他都好，就是觉得打满让我力不从心，所以四星半            
(5星)	 韩剧启蒙。。。爱死那时候的李MM了，现在整的跟鬼一样。。。            
(4星)	 麻麻的最爱XDD            
(2星)	 李俊基            
(5星)	 超爱的韩剧            
(4星)	 是韩剧中的佳作            
(4星)	 非常蛋疼最后居然出现 豪杰春香。。。            
(5星)	 好可爱！            
(NA)	 蛮经典韩剧。            
(4星)	 经典~            
(NA)	 不错，很喜欢            
(4星)	 好看的韩剧            
(4星)	 最最最喜欢的韩剧~希望永远保持这个年轻的心态            
(5星)	 徐正雨让人心痛啊            
(5星)	 前年，我把这部韩剧翻来覆去看了N多遍，于是我爱上了薛功灿先生。今年，我突然想起这部剧，我又翻来覆去看了N多遍，没错，我再次爱上了薛功灿先生。每次看到十六集左右都会感动到哭得要死。潜伏多年的大花痴即将爆发了···            
(5星)	 初中深中韩国人的毒，看了N遍            
(NA)	 电视看的            
(2星)	 我都不明白自己为啥看过这烂片            
(4星)	 高超的骗术啊            
(5星)	 五星级韩剧！            
(5星)	 插曲溜口~            
(3星)	 当时看的很欢乐            
(NA)	 想当年啊。。。啊啊啊啊啊啊。。。            
(NA)	 似乎是大学至今看的唯一一部电视剧。            
(5星)	 哈哈哈  隔了多年还是很好看啊            
(4星)	 看过遍数最多之一的韩剧了……李东旭很帅            
(4星)	 我最爱的李多海！            
(3星)	 开头两集很闹腾，中间部分很搞笑也好看。收尾狗血，减分。            
(NA)	 很多年前看过，现在补着收藏不要忘记。。，。            
(4星)	 喜欢李多海            
(5星)	 绝对绝对要看的 剧里有几个桥段我是大爱啊             
(5星)	 好像是我用电脑看过的第一部韩剧            
(4星)	 好久之前看的，男二真帅。            
(5星)	 最爱的韩剧咯~~看哭了呢            
(4星)	None
(4星)	 不喜棒子国但这剧看几遍不腻怎么搞            
(4星)	 当年看这部电视剧的时候  笑过，也哭过。             
(3星)	 三星半            
(NA)	 喜欢薛功灿！不过我还是要吐槽：情节有抄袭《天上掉下个林妹妹》的嫌疑。            
(3星)	 萌男主，女主你還是洗洗睡吧。            
(4星)	 with mom            
(NA)	 常把李多海和人鱼小姐里的女主搞混~            
(4星)	 李准基帅呀~            
(5星)	 青春滴回忆啊！最喜欢的三部韩剧之一！            
(3星)	 GOOD!            
(3星)	 李东旭和玄彬不是一个人。。。啊！            
(4星)	 狗血就狗血吧，好几年前的我就是被李东旭打败了。            
(NA)	 又一个追着看的。可怜的男2，红了之后在一枝梅里演男一，然后一枝梅的男2，厚厚，红了之后也演男一了~~            
(5星)	 搞笑            
(3星)	 额。。噗            
(4星)	 开始还挺逗，后来有点纠结，好在结局圆满            
(3星)	 一直觉得李东旭挺帅的 也不知整过没，似乎看过好多遍但是一直没看过结局。最后女主角老哭老哭实在是不爱看也看不下去了            
(5星)	 最爱的三部韩剧之一，李多海很俏皮可爱，可惜后来为了扩宽戏路整容了，邻家女孩成了奇怪脸女孩。看过第一遍觉得好看，第二遍就看不进去了，总之还是一部韩剧中的好剧！            
(5星)	 细细想来 和《宫》剧情差不多 心疼我们家俊基 不过 喜欢这个故事 每一次下雪就是一次生日 喜欢珠裕邻的谎言 喜欢她活泼闯荡的性格 我也会爱上这样的女孩            
(3星)	 当初为李准基撑着看完了，除了笑点和认识几个韩国演员，没啥其他想说的。            
(3星)	 轻松搞笑，周幼琳整蛊薛功灿的桥段狠经典啊            
(3星)	 暑假无聊没的看            
(5星)	 我看过30多遍你说我有多爱？？！            
(5星)	 最经典的韩剧 爱上那个叫功灿的男人            
(4星)	 女猪脚的表情很丰富            
(4星)	 原来我也曾脑残过            
(2星)	 混乱的价值观。。。。            
(5星)	 太赞了！浪漫的狗血剧最喜欢了~~            
(5星)	 当时多喜欢啊，现在再看已经没那么强烈的感受了。            
(4星)	 有些谎言是为了生存，有些是缘于爱和守护，还有些谎言只是出于控制和自私，遮掩自己被骗后的脑羞。遇见一个爱撒谎的女孩很辛苦，开始会蔑视她，后来会丢失她。前半喜剧后半虐剧，傲慢王子和大胃贫贱女，温情款款男2，嫉妒恶毒女2，狠心家长的典型，却有新意亮点，戏中戏也出彩。李多海李东旭演技还好            
(4星)	 还好吧，电视台都放烂了            
(4星)	 最爱的韩剧！搞笑~感人~编剧，女主角，导演都很棒。善良的小骗子！            
(5星)	 当年就是因为这部剧喜欢上李准基的~            
(NA)	 我妈妈爱的李多海            
(5星)	 喜欢            
(NA)	 每次都是为了李俊基去看，虐心的男二号啊。。。不过真心不是很喜欢女主角，最希望的是薛功灿和徐征宇最后在一起，不是说了嘛，一个太子，一个太子妃            
(5星)	 当年很爱，而且还看了很多遍，挺好笑的。薛功灿，有爱死了~            
(3星)	 总是觉得有某种不协调，还是只评个3星好。总体来说是挺不错的。            
(5星)	 喜欢薛功灿。            
(5星)	 李准基- -初中觉得他好帅 至今家里还能找到他的海报贴纸明信片            
(3星)	 女猪挺可爱的~            
(5星)	 最爱！            
(3星)	 李东旭唇红齿白的小样子啊。            
(4星)	 看到介个就会想到高中时。。。            
(3星)	 实在不喜欢李多海，李俊基不错的说。            
(4星)	 李多海挺可爱的~ 基本为了俊基去看的~            
(3星)	 男主角很帅，over            
(4星)	 高考年的夜剧啊。。。            
(4星)	 当时真是熬夜看啊。。。            
(3星)	 有几集我真是笑喷了            
(4星)	 因为李俊基加一星！            
(4星)	 看看李多海。。。她的脸到底是换了好多次咯            
(4星)	 爱情不是谎言             
(3星)	 韩剧基本都走的是不靠谱路线            
(5星)	 看了很感动的好剧。            
(3星)	 这个我也看过！！被初中同学逼的！！！因为她们喜欢李俊基那个隆力奇男！！！！！女猪真是丑爆了！！！！！！            
(NA)	 不错，不过我比较喜欢男二号和女二号...            
(5星)	None
(4星)	 女主不是我爱的型 喜欢最后一集春香乱入~            
(4星)	 第一次发现李多海过人的喜剧天赋            
(5星)	 后半部看得无比的心痛，前半部看得超级喷笑，，            
(5星)	 当年最爱的一部韩剧啊，虽然已经不记得它好在哪里了。            
(3星)	 我年輕時候也看過棒子劇！            
(5星)	 我更喜欢李准基扮的男二号耶  好痴情好帅的  个人感觉跟女一号最为般配了  还能得到周围人的支持 多美满            
(3星)	 一般吧~            
(5星)	 很好玩很搞笑的~            
(4星)	 还是俗套。但是女主自强不息啊，各种美好品德有木有。。            
(5星)	 大爱啊！多给力的女主啊！男主也是我喜欢的型！李俊基也帅呆了啊！很喜庆的韩剧啊！看了两遍吧            
(4星)	 她：”我本来很会说谎，但喜欢上他之后，就变得没办法说谎了。“他：“我本来最讨厌说谎，但喜欢上她之后，就变得学会说谎了。”（大意是这样，这是这部剧里我最喜欢的两句话。）            
(3星)	 爷爷的手机铃声真可爱            
(4星)	 实在不喜欢李多海~~            
(4星)	 李多海很可爱~            
(4星)	 果真是韩剧，女主没长相没气质没人品竟然都能泡到两个高帅富！==            
(3星)	 不喜欢里面的李准基 太不男人了            
(4星)	 那会儿可心疼男二了            
(NA)	 最喜欢的韩剧， 笑得时候，可以让你笑得肚子痛， 哭的时候， 让你跟着一起哭            
(5星)	 反复看了很多次！BAXIA！ 即使很辣，也要坚持到最后说不辣！            
(5星)	 也许有人觉得幼稚, 觉得很假, 不管怎样, 我很喜欢这个韩剧...........喜欢李多海扮演的这个角色.......            
(4星)	 粉蛋。两个男主都很帅的啊…            
(3星)	 模板。。。不过真的曾经想过要成为这种韩剧女主角来着。。。            
(3星)	 女主的表演有点夸张，而且穿的衣服搭的太难看了，唯一的看点就是李俊基了            
(4星)	 合约的内容终于不是情人了~            
(1星)	 真心差。。。            
(NA)	 这个是我最迷的一部韩剧了，从此爱上李多海和李俊基            
(3星)	 当初是很喜欢的，不过现在我只剩下男主角还比较喜欢，其他的。。。很讨厌。            
(4星)	 我完完整整看完的两部韩剧之一            
(5星)	 我每年都会看一遍。。。。。。。。。。。。            
(3星)	 李俊基你干嘛疼痛的说什么&#34;你完全看不到我吗“这种xxxxx的台词啊。            
(5星)	 就是偏爱 薛功灿            
(5星)	None
(3星)	 总有喜欢回头的前女友            
(NA)	 要知道，有的人就是少爷相呀。            
(5星)	 薛功灿先生            
(NA)	 好玩  很久以前看得为数不多韩剧之一            
(5星)	 那时候超喜欢李东旭、。。。。。。            
(5星)	 当年偶的最爱哇            
(3星)	 很搞笑~            
(3星)	 记得第一次在电视上看到，是有李俊基的一幕，但是觉得这人怎么男不男女不女的就没看了，然后在一段时间之后，又看到这部东西，不知为何，突然就觉得李俊基好帅！！在里面好痴情的说！            
(4星)	 韩剧都是灰姑娘的故事。女猪脚最终都会打败伤了男猪脚心的厉害的原配幸福的和王子生活在一起。现实中自己成为灰姑娘的机率很小，所以大家看好自己的另一半，不要让他伤心，免得不小心冒出一个莫名其妙的把他抢走。            
(4星)	 爱情靠谎言是不行的            
(3星)	 虽然号称洪氏剧中的男二控，但这部剧我支持男一、、、            
(4星)	 哈哈哈哈哈哈 曾经多么风靡            
(5星)	 看过很多遍。李多海实力派演员。喜欢她            
(5星)	 哭过笑过，也留下了很多回忆            
(5星)	 这部剧的出现让我如同回到了大学时代，夸张的情节，搞笑的演技，让男女主角从不帅变成了超帅，偶像剧不需要严肃，不需要真实，但需要特别好的情节和台词，特别颠覆的表演功力，打动人可以有很多种，偶像剧拍成这样就到境界了。            
(3星)	 你们知道李多海的中文好到爆吗，虽然是整成这样，不过演的还蛮俏皮            
(NA)	 女主角很可爱。            
(3星)	 真的觉得李俊基跟女的一样  不喜欢              
(4星)	 很可爱的女主，表情可爱，调皮，不放弃任何的争取，会掩饰自己的情绪，会给自己给别人加油鼓劲，好样的！还会再看一遍的。            
(4星)	 搞笑~            
(NA)	 只有在这部剧里才发现李多海的可爱和漂亮，不过貌似对痴情的男人没什么抵抗力啊            
(5星)	   哈哈哈哈 当年一度是最爱的偶像剧啦》 《            
(3星)	None
(3星)	 不喜欢李多海夸张的表演 又很怕看到准基哭 只好弃了            
(3星)	None
(5星)	 必然推荐的啊。            
(2星)	 完全无法入戏。。。。。李俊基太特么丑了。。            
(5星)	 当时和爸爸一起看的 爸说女主角长的好甜美啊 为了不破坏的他的好感 所以我没给他看女主角整容前的照片 我是仁慈的            
(3星)	 又是一部男女主都不是我喜欢的型的剧~~~~薛功灿哎~郑裕玲哎~            
(4星)	 搞笑~            
(3星)	 没有勇气看结局            
(3星)	 典型韩剧，大同小异。还好啦，看的满欢乐的。李俊基演男二屈才了。主题曲不错~            
(5星)	 当年的李俊基，当年的李多海，当年看的第一部韩剧……            
(5星)	 到了后面竟然粗线豪杰春香的主演噗！            
(4星)	 依依一直说很好            
(4星)	 看了无数无数遍，大学有阵子疯狂喜欢李东旭。            
(5星)	 从TB到XR。            
(3星)	 一个字哭  两个字纠结            
(4星)	 韩剧里比较喜欢的            
(4星)	 当时看完以后把李俊基的名字写在了桌布上。            
(5星)	 偶的最爱之一，主要薛功灿的性格好好啊，还有妹妹好看            
(3星)	 可惜俊基xi是男二...            
(3星)	 还行            
(2星)	 李多海完全无感。            
(4星)	 有一个人说 只要给她一个薛功灿 她就能把这片子演出来            
(4星)	 这剧是还不错，但最后几集拖沓的我不喜欢！            
(3星)	 悲剧的小俊、、            
(NA)	 我喜欢这戏里的面瘫闷骚男薛功灿            
(4星)	 李多海的演技都爆发在机场的一场哭戏上，看着心疼            
(3星)	 李多海现在还是很漂亮的            
(5星)	 大爱李多海的身材，大爱里面的衣服，大爱男主角，帅啊！李俊杰苦情的。。音乐好听。            
(4星)	 我想说内地版那叫一个坑爹啊            
(4星)	 这女的真没眼光，放着这么好的俊基不选，选毛李东旭，nc            
(3星)	 李多海的哭戏还不错，很能感动人            
(4星)	 韩剧观看记录= =3            
(4星)	 小骗子最喜欢骗人了。            
(5星)	 好吧，很搞笑，看了三天，笑了三天~~            
(5星)	 男女主皆浮云。只看李小准同学哭得让我那个揪心啊。            
(5星)	 很有意思啊！！            
(3星)	 ~~~~~~^^可爱~~            
(4星)	 当时我泪奔了            
(NA)	 原谅我看了那么多没用的。            
(5星)	 看偶像剧不多 最喜欢这个 喜欢可爱的多海            
(NA)	 2006. 8. 7~2006. 8.14              
(4星)	 一分扣给结局 大团圆什么的最不带感了。。            
(4星)	 慢慢看吧，这种片子看着就急...            
(2星)	 李多海哪里像个妹妹哦，声音那么粗又不可爱            
(2星)	None
(5星)	 反正就是很好看很好看很好看            
(3星)	 相当的爆笑，然而这个“灰姑娘”也太生猛了点儿            
(5星)	 五星为了男主、音乐以及各种桥段。薛功灿，最爱的男主，有财有颜，正派且深情，稳重兼可爱。男主演得自然不落痕迹，顶讨厌韩剧中各伪帅男装酷扮帥。            
(3星)	 曾经也看韩剧啊。曾经也年轻啊。            
(3星)	 我靠敢不敢再傻一点            
(NA)	    女主很漂漂            
(4星)	 李东旭演技赞脸赞！！！            
(5星)	 高中被徐正雨第一个镜头萌到了   从此不可自拔  现在对任何明星无感            
(5星)	 男女主角选得真好            
(5星)	 那个时候看到疯掉。第一部让我痴醉的韩剧            
(5星)	 大爱李俊基。            
(5星)	 还有李东旭~~~不错，一直追着看~            
(5星)	 很喜欢这部剧~            
(5星)	None
(3星)	 love the beautiful main actor, beautiful face. typical hilarious scenes in korean dramas. but ridiculous story as usual.            
(5星)	 百看不厌！            
(3星)	 初三的时候看的 多海欧尼就红了            
(4星)	 李多海很可耐。。。            
(4星)	 搞笑~~~            
(5星)	 想起当年为韩剧疯狂的日子            
(4星)	 当时觉得男猪脚很帅            
(3星)	 李俊基            
(4星)	 第一部完整看下來的韓劇 並且不止看了一遍 那似乎還是兩千零六年——的大學時代 也不知道當時怎麼就跟中了魔似的 那麼喜歡  後來發現 不免感慨 劇情還能再假點兒麽~ 不過我想那也是韓劇的魅力 現實的東西統統沒有美感可言 不過現在過了做夢的年紀 再看曾經憧憬的那些童話 難免不成科幻            
(5星)	 前面搞笑，后面煽情，推荐。            
(4星)	 音乐我喜欢。            
(NA)	 难得有我从头看到尾的韩剧。珠裕邻这丫头实在是太欢乐了。            
(5星)	 还不错啦，            
(5星)	 这个真的好经典啊啊啊啊啊啊！            
(5星)	 喜欢的风格  过了好几年还是拿出来不停的看            
(4星)	 李多海跟以前不一样了啊不一样            
(5星)	 相当搞笑啊            
(4星)	 那时的李多海多可爱啊，极为丰富的脸部表情……演技也好，好几次她哭我也跟着一起哭。            
(4星)	 看完后，喜欢上李准基。韩剧的情节都比较俗，但细节很真实。            
(4星)	 比大陆版的好看            
(3星)	 真心讨厌男一号……            
(5星)	 my girl 我最喜欢的薛功灿，虽然好多人不喜欢他，觉得他的光芒都被男二和女一盖住了，可是依然喜欢他~刚看了他的新片，女人的香气，变得更帅了！            
(4星)	 高一看还行的。            
(4星)	 薛功灿也是理想型啊！            
(5星)	 李多海迄今为止的最高峰。我心中最爱韩剧前十。            
(4星)	None
(5星)	 我最爱的电视剧之一。李多海于是成为了我最爱的演员之一！好喜欢这种浪漫轻松的感觉。好好爱，让MY GIRL 快乐！李多海演得太棒了棒极啦！            
(4星)	 谎话说的都让人心痛，唉~！~！            
(5星)	 很多年前看到，一直感觉很不错。            
(5星)	 好看。            
(4星)	 比那个什么彩虹甜心的好多啊！            
(5星)	 李多海应该是我对韩国女的改观的一个人吧~怎么那么可爱啊~这个也是第一部完整看完的韩剧也            
(2星)	 陪老妈看过的无聊剧-1            
(5星)	 不管怎么说 是我最喜欢的一部韩剧了 无论现在看来他的情节有多牵强 可是 男主角的形象和女主角的可爱在我心里是扎根了的  看过最多次数的韩剧！~~~            
(1星)	 被逼着一起看完，我戴着眼镜4只眼睛也真的看不出李多海可爱，一个大妈脸……演这种角色，真是无语            
(1星)	 李东旭有种明亮的天真            
(3星)	 女主角好可爱            
(5星)	 最近重新看了一遍，发现女主非常漂亮，以前怎么没觉得呢？哈哈            
(NA)	 喜欢傻傻女主角。。            
(NA)	 李多海~~~            
(3星)	 看的最后一部棒子剧哇 越来越白烂            
(5星)	 是李多海的，值得一看！不错的演员，不错的情节！            
(3星)	 悲剧的男一号，居然被男二号抢光了风头。            
(4星)	 我第一部韩剧.好怀念啊..            
(3星)	 喜欢李俊基 没办法            
(5星)	 他知道，我说的话，全部都是谎言。她知道，她说的谎言，我不会相信。            
(3星)	 初中……那时好纯真啊……            
(5星)	 当时觉得男主好丑            
(3星)	 O(∩_∩)O~            
(4星)	 李多海爆红之作啊！            
(4星)	 这部电视剧是主演长得最正的时候            
(NA)	 配乐很好，不过男主角的比较挫            
(NA)	 我 觉得这个电视剧 给人以 美好想象  包含了亲情和友情            
(5星)	 我是看着看着《彩虹甜心》临时决定回头看my girl的，真是没法比啊。不过两个男len都喜欢尤其更喜欢男2李俊基的我看的过程完全就是虐啊。虽然主角的爱情感动的我都哭了 但是我还是觉得不公平 凭什么男1就可以劈腿 男2也那么可爱那么专一女1都看不到呢。PS：李东旭的眼睛嘴还有表情怎么那么像一熟人呢。            
(5星)	 我的第一个韩剧            
(5星)	 太喜欢 女主角了 能找一个这样的老婆该有多好啊 还有剧中 的音乐 很赞啊            
(5星)	 高中暑假星空卫视首播！！晚上7点至9点偷着电视看！！不哈韩剧，但至今偶有回味             
(5星)	 应该是最喜欢的一部韩剧了！！！            
(5星)	 这是我看拿过对不起我爱你之后 的一部“大片 ”！！！哈哈             
(NA)	 闲来无事加个以前看过的条            
(4星)	 博君一笑顺便花个痴            
(5星)	 又看了一遍，唯一一部看过的韩剧            
(3星)	 前面好看            
(5星)	 人生中第一部完整的韩剧，反复的看，每次都很感动～看了很窝心～            
(4星)	 轻松喜剧            
(4星)	 喜欢徐正雨……每个男二号都是那么优秀            
(NA)	 。。            
(4星)	 超古灵精怪             
(4星)	 男帅女美，真是赏心悦目            
(5星)	 李多海还是这个样子比较萌            
(NA)	 早已过了矫情的青葱岁月，眼泪也早也不会砸在韩剧上了。却一遍又一遍地被你们所有的人感动，每看一遍，都会有新的感触。最初的时候，幼稚任性的自己会讨厌一些人，最后的最后，我原谅了所有的你们，所有最可爱的你们，所有的可以让我忘却一切烦恼的最好的你们。谢谢所有的你们。            
(5星)	 喜欢薛功灿~！！            
(3星)	 女一很二~剧情忘了……            
(3星)	 那时候李多海多纯啊  至于剧情搞笑过后什么都不记得了            
(3星)	 继续围观            
(5星)	 五星为了那个还很年轻的初中            
(4星)	 李多海那个时候真好看。            
(3星)	 李俊基好看            
(5星)	 开始时笑得开心，到最后哭得很惨。。。            
(3星)	 李俊基太美了吧            
(3星)	 真勇士敢于直面偶像整容前的搓样！            
(3星)	 李东旭不错            
(NA)	 看的李俊基的第一部戏，记得高三的时候有同学开始喜欢他，当时特别不理解为什么会喜欢他，我当时真心觉得他长得相当不帅，甚至是奇怪。但看完这部剧后也开始喜欢他了。也许从这时开始就已经慢慢开始习惯看他的戏陪着他一起哭了吧。            
(5星)	 不错的韩剧，女主角骗死人不偿命            
(4星)	 真是笑料百出呀 李多海太出彩了 人物性格拿捏到位呀 李东旭也好帅哦~            
(3星)	 一直不喜欢李多海……这个剧看了前面和结尾……            
(3星)	 活泼的爱情剧            
(3星)	 为了我的李俊基才看的。原来我的李俊基是个苦情的男二号            
(5星)	 我高中时期的大爱啊~我的爱情，不是谎言.            
(4星)	 很搞笑，男主女配养眼，剧情还可以。            
(4星)	 李多海算是韩国的比较有文化休养的女子了吧，还是演my girl时最美了            
(5星)	 喜欢珠裕邻这样的性格            
(3星)	 以前就是被这些脑残剧哄大的。            
(4星)	 前面蛮搞笑的，李多海可爱的很~~~            
(5星)	 看了无数遍，还是无比喜欢，怎么这么帅，李东旭            
(3星)	 坑姐喜欢男主角            
(5星)	 不知道看了多少遍，但无聊时还是会拿出来看，绝对的经典！！            
(NA)	 韩剧里面值得看的            
(3星)	 还行。            
(5星)	 喜欢李多海            
(4星)	 徐正宇好可怜啊。。。。几首歌都不错的说~还有会下雪的玻璃球，想要啊！  结尾豪杰春香剧组的在线，真是令我一惊啊！            
(NA)	 。。。            
(NA)	 看来一遍 还想看第二遍 看了第二遍 还想看第三遍            
(4星)	 复读的日子            
(5星)	 超好看～～            
(3星)	 男主的锁骨至今深深影响着我的审美....            
(5星)	 还是爱功灿            
(4星)	 没想到自己看过那么多韩剧。            
(5星)	 当年看的好感动啊             
(5星)	None
(4星)	 李多海你还敢再逗点么，李东旭你还敢再帅点么，李准基你还敢再酷点么            
(NA)	 最好看的了吧~韩版小燕子            
(3星)	 太一般            
(5星)	 韩剧巅峰吧            
(4星)	 跟着老妈一起看            
(4星)	 如果主角是李俊基就好了            
(NA)	 超爱- -            
(5星)	 超级喜欢这上面的李多海，还有李东旭，但是对于他们后面的韩剧确实不敢恭维啊。。。            
(4星)	 超喜欢他们两个人啊！            
(3星)	 说实话6年前可能会给4星，现在只能给三星。送给第17集哭得撕心裂肺的朱玉玲            
(3星)	 都忘了            
(NA)	 当初典型的韩剧···还挺好看的···            
(5星)	 有经典桥段~东旭&amp;多海 ^^            
(NA)	 因为那时候喜欢凖基。。。看完电视就喜欢男主了。。。            
(4星)	 跟着我妈看。。            
(5星)	 很佩服这根杂草的生存能力            
(4星)	 喜欢这时候的李多海            
(4星)	 因为是和你看的  所以简单的剧情也变得可爱起来~            
(4星)	 李多海又搞笑又深情，讓我一下大笑又一下子難過得想哭。再加上兩人真很相配，不容忽略的好戲。            
(4星)	 好笑..当时比较喜欢男二 李俊基 嘻嘻嘻嘻!~!~            
(4星)	 李多海的眼睛太水了。　受不了！！            
(4星)	 这部和“宫”几乎都是同步的，那时这两部在中国红的程度也是相当。剧情上其实还是一贯的那几年韩国大热的契约协议什么的，但是李多海还是相当得可爱呢，当时看“新娘18”时就觉得她蛮好看的，还有李俊基，因为出演了电影“王的男人”大热，李东旭也因为这部大红，韩国收视的话这部倒比“宫”收视高。            
(4星)	 属于入门级的吧，还不错            
(5星)	 经典韩剧，必推荐~            
(3星)	 陶瑞丰借我的DVD...            
(3星)	 歌曲好听，大学岁月。            
(3星)	 歌不错~            
(5星)	 当年挺喜欢女主角的            
(5星)	 欢笑，心痛，欣慰            
(3星)	 没有据说的那么好看吧。一般般。故事也是老套路了。            
(5星)	 看了好多遍，那一年它伴随着我的蜕变            
(NA)	 反正我喜欢~            
