http://movie.douban.com/subject/5958582/	裸婚时代
(3星)	 吵架吵得好讨厌            
(NA)	 很现实又不现实的故事            
(5星)	 看《双城生活》想起上海那个 想起裸婚 想起看时的动心动情 以后让我们再一起身贴身看一次            
(5星)	 贫贱夫妻百事哀            
(5星)	 现实和爱情的博弈 到底会是谁胜利            
(NA)	 我看的电视剧也太多了吧            
(4星)	 一段感情一段婚姻，该要让人承受多大的委屈啊。我看这剧时的眼泪都是为童佳倩流的            
(3星)	 我觉得一般，。难道我已经无法感同身受了》》            
(4星)	 印象很深的一部电视剧。喜欢看小男人文章            
(5星)	 这样的电视剧真好            
(5星)	 有点理想化，我也想要童佳倩这样的媳妇儿，几个桥段深深地产生了共鸣！            
(NA)	 近年唯一看过的一部完整的电视剧，蛮好看的            
(NA)	 被他们的爱情打动—这一代人的怕与爱是什么呢？            
(4星)	 文章撑起来的一部剧！            
(4星)	 我现在各种喜欢文章！！！            
(5星)	 爱文章，灯笼男。            
(5星)	 好看，力挺！不过结局让人有不了了之的感觉。            
(4星)	 看“消费观”如何毁了“爱情”。            
(NA)	 被感动了、            
(4星)	 刘易阳真的不错！那个富家女真可爱！            
(5星)	 为裸婚的这个勇气而感动...            
(3星)	 没看完儿~~            
(NA)	 颇有感触            
(NA)	 我一直很信奉“真爱无敌”，觉得只要两个人真心相爱，没有什么可以阻挡他们终成眷属的。但人终归活在世俗的世界里，很多事情都不是我想象的那么简单。真心觉得刘易阳是个好丈夫。            
(NA)	 我爱这部剧 我爱文章            
(4星)	 超喜欢文章 姚笛 80后的爱情和人生            
(4星)	 太红了。只是喜欢文章，无关刘易阳。            
(4星)	 都是凡人啊。。            
(4星)	 题材很讨巧！            
(5星)	 天下没有这么好的男人            
(2星)	 还是挺现实的 刘易阳不错 童佳倩错就错在结婚后没有在心里上做到从女友到妻子的转变 不懂得体贴包容关爱            
(5星)	 文章!            
(4星)	 现实社会。            
(3星)	 你好,童司令.            
(5星)	 现实            
(3星)	 细节打败爱情。            
(4星)	 文章 ！            
(5星)	None
(5星)	 非常非常的爱！~            
(4星)	 总的来说挺好的一部电视剧，看完之后希望裸婚又不希望裸婚。刘易阳很好，童佳倩有点任性，被惯出来的。社会很现实，裸婚需谨慎。            
(4星)	 前半部分看得比较喜乐。。。后半部分稍微拧巴了点。。。不过全剧的感情基调还是蛮感人的~            
(5星)	 看着刘易阳像孙子一样侍奉着童佳倩妈妈 我就想哭 可是我又多明白童佳倩妈妈那滚滚炙热的爱女之心/爱爆了刘易阳这小二百五            
(5星)	 真是一部我觉得比奋斗更能表现我们80后人的剧，文大编剧了不起，文章真的演技一流，完全感动。这是我2011年看过的剧中第一名！            
(4星)	 细节打败爱情呀。很贴近现实。很多情节就像我们，遇到想同的事情也许就像电视一样。            
(4星)	 刘易阳挺好的孩子，哈哈。            
(NA)	 好看，喜欢刘易阳。            
(5星)	 从此我多了个“带刺的小棉袄”的称号            
(4星)	 真的很贴近生活，花三天时间一口气看完~            
(4星)	 这编剧绝壁是个女的            
(5星)	 两个人因为什么不能在一起，又因为什么想要在一起，最后跟你在一起的又会是谁？最初的那个人难道就只是一个过客，之后想起或谈起他/她的时候，更多的是调侃口吻，还是悔过心情？复杂的人性...            
(4星)	 可以  好看            
(3星)	 现在一切发疯蛋疼的电视剧，都起源于蜗居。之后就一发不可收拾。裸婚是个小高潮。之后婆婆就遇上妈了。            
(5星)	 一样很久前看的电视剧。生活就是要让我们磨灭对幸福的憧憬，然后在我们就要绝望的时候再给我们那么一点点希望。            
(4星)	None
(3星)	 现实生活中要有刘易阳那一路的男人就该一巴掌拍死算 最厌耍嘴皮子的货色            
(3星)	 什么结局哦            
(4星)	 前半部分很现实，蛮好看的，后面有点拖沓了。。。。处在一个在工作最低潮晃悠的时期看的。。。            
(NA)	 不得不说，文章能写出这样的作品，确实很有才！            
(NA)	 年轻人值得一看            
(1星)	 看了第一集，11集，最后一集觉得他们没有裸婚            
(NA)	 很现实  还是不要裸婚的好   爱情在生活面前神马都不是            
(NA)	 很喜欢。。最后结局佳倩仍旧的原谅了刘易阳 。。这是真爱 。。只有真心的喜欢对方。。很多事情都能够原谅的 但是绝对不是极限以内的。。两个人在一起是两个家庭的事情。。很喜欢文章的这首歌：等不到的爱。            
(5星)	 从恋爱，结婚，生子，离婚都同一个人经历之后，接着又想复婚。现代爱情忒复杂            
(3星)	 在还没成熟的时，就过早的进入了婚姻阶段，然而婚后碰到的种种现实问题却又没有勇敢去面对。            
(3星)	 感觉一般吧，没期待的好看            
(4星)	 这是80后的故事.            
(4星)	 特别喜欢刘易阳和童佳倩之间的互动，超有爱的，但是到了家庭关系之间就变得有些极端了。            
(5星)	 好看！            
(4星)	 房子 结婚 等现实问题            
(4星)	 当教育片看不错            
(4星)	 劇情很簡單 只爲文章            
(5星)	 最喜欢文章            
(NA)	 这部电视剧看了很感人，完完整整看了2遍            
(4星)	 挺能编的。。。姚笛看着好漂亮啊，难以把她和新红雷的凤姐联系到一个人身上            
(5星)	 很现实。。很感人。。。这种爱情现在还有多少            
(4星)	 中国现阶段反映现实的家庭片。房子，婚姻，父母。            
(3星)	 结局显得有点仓促了......没有《家，N次方》好看~            
(4星)	 姚笛的戏有点过，不喜欢            
(NA)	 嫁人就嫁刘易阳            
(5星)	 很现实，但是刘易阳你也太惯着童佳倩了吧！            
(5星)	 细节打败爱情 真理！            
(4星)	 我爱姚笛，但感觉文章陷入了专演好男人的局限了            
(3星)	 喜欢文章呢~            
(5星)	 文章的演技很好，姚笛同样如此。            
(4星)	 父母都在身边也很烦恼啊            
(4星)	 前十几集不错  后面的剧情有些太跳了            
(2星)	 有点浪费时间            
(3星)	 我还小不要太现实。            
(5星)	 好惨啊            
(3星)	 前20集非常精彩，后面就是狗尾续貂了            
(NA)	 适合重温            
(3星)	 太假了 只看了第一集和最后一集             
(NA)	
(NA)	None
(3星)	 没看完  但是散伙饭的时候感动了            
(4星)	 很现实            
(4星)	 教育片啊。。。            
(4星)	 大爱文章，姚笛让我想起了初恋，感触那个深            
(3星)	 编剧有漏洞，演员很给力            
(3星)	 从某种意义上看，是《奋斗》版的《蜗居》。披着类似蜗居的话题性外衣，走着走着却迈上了奋斗的路，高不成低不就。台词太差。            
(5星)	 唯一看到哭的视频..            
(4星)	 童佳倩是个好孩子，刘易阳也是个好孩子，不过两个护犊子的妈搅黄了他们……如果所有人都像娇娇和晓娆、崔彬和冬瓜这样最后能看得开就好了……            
(5星)	 所有人都可以是刘易阳,所有人都可以当童佳倩,只是在亿万个刘易阳童佳倩中是否有两个会相遇。。            
(5星)	 台词写的还不错...刘易阳和童佳倩的感情还是蛮另人感动的...有男友要像刘易阳...            
(3星)	 马老师说文章最大的优点是听话.            
(4星)	 结局减一星            
(5星)	 61阳 nice.            
(4星)	 名字很跟潮流，但有些地方还是很偶像剧。            
(3星)	 ......北京生活不容易            
(3星)	 绝对不是细节打败爱情。而是两个不懂得处理事情的傻X            
(5星)	 挺好看的  我很少看电视剧 这是我看过电视剧中比较好的了            
(4星)	 最后还不是妥协，没劲。可是那段对她妈妈的告白，看到最后眼泪落下来，我知道是假的。            
(3星)	 现实，却又理想            
(5星)	 对于火到不行的任何事物都有着强烈的排斥 等到平淡了再找来看 果然是好看 还能有续集不？            
(5星)	 好看，让人成长不少。            
(1星)	 很讨厌            
(3星)	 看了一半，我觉得只要看之前的片花就差不多，最多看看剧情概述。            
(4星)	 童小姐真美~            
(NA)	 裸婚都这样，哪我们还怎么婚            
(NA)	 出来之前就关注了，最开始看到的时候是在人人网上的一段分享，刘易阳说的有童佳倩的地方就是我刘易阳的家。刚出来就开始看了，电视上还没播完，已经在网上看完了，可以说这是一部很现实的电视剧，拍的非常到位，把现实生活中很真实的场景放到了电视剧中。后来也引起了社会广泛讨论的裸婚现象。不管有多            
(4星)	 文章啊            
(NA)	 尼玛啊，老子就看不过第六集。。姓孙的一出来，老子就废了。。。。。。            
(3星)	 我擦 光是那羽绒服就一万多块啊 穷b伤不起了 我擦 一部剧搞得羽皇满天飞 我擦 坑爹            
(4星)	 人家八年的恋爱结婚一年就离了，那我以后怎么办。            
(4星)	 现实            
(5星)	 电视剧的主角并不算真正的裸婚            
(5星)	 我希望身边有一个刘易阳，可以陪着我走过最美好的那些年。但是最终我还是会选择杜毅。我就是这样现实的90后。            
(NA)	 姚笛哈哈            
(3星)	 故事还是蛮真实的，但看了第一集直接再看最后一集就可以了~~            
(3星)	 有时候不喜欢刘易阳              
(3星)	 傻逼            
(3星)	 以為很現實，就去看了，其實不然，有拿著愛瘋4背著名牌包裸婚的么，就一些幽默段子不錯，雙方父母戲份才是值得看的。            
(4星)	 喜欢文章，演的真实~            
(4星)	 非常的现实。所以能引起共鸣！            
(5星)	 作为共鸣影片 很不错了            
(NA)	        果的不彻底 ¨            
(4星)	 细节打败爱情            
(3星)	 只能看一遍的连续剧。。。裸婚还是太不现实了。。            
(4星)	 男的看完想裸婚，女的看完不想结婚！            
(5星)	 文章和姚笛的演技真的很不错，故事也很现实，看完之后有很大收获。            
(NA)	 这种电视剧就是一干小女子在那边一边看一边各种对号入座~            
(4星)	 每次看这种现实体裁的电视剧都很揪心，很典型的80后小夫妻，很现实的裸婚，很无奈的家庭。看完裸婚时代，在三五年之内我不想恋爱，不想结婚……            
(4星)	 里面有句话说 细节打败爱情 但我始终相信 爱是可以打败一切沉重的现实的            
(5星)	  “童佳倩，我求求你嫁给我，虽说我我没钱，没房，没车，枚钻戒，但是我有一颗陪你到老的心，等你老了，我依然背着你，我给你当拐杖，等你没牙了，我就嚼碎了喂给你吃，我一定等你死了以后我再死，要不把你一人留在这世上我做鬼也不放心，童佳倩，我爱你”。多么甜蜜的话啊。“别担心，有老公呢。”多            
(5星)	 现实感强.文章猛            
(4星)	 细节打败的不只有爱情，肯定还有其他            
(NA)	 其实像上面的生活。是我的向往的啊~            
(4星)	 文章演技好            
(4星)	 看完很心寒            
(5星)	 断断续续的，还是没有能把它看完。总觉得结尾的大团圆显得极其突兀。很感动刘易阳那两句经典台词...            
(1星)	 纯粹是撇叉子了            
(NA)	 如果你是童佳倩 我就是刘易阳            
(4星)	 看了还想看            
(5星)	 8090的现实教科书····            
(NA)	 喜欢北京话儿            
(3星)	 还行，太现实            
(4星)	 继《雪豹》之后，真是越来越喜欢文章了。怎么当初对他饰演的小贝就是无感呢？把小沈阳学得超像超搞笑。话说现在文章马伊琍夫妻的这种类型的片子都很吸引我。“刘慧芳”演得也好，吵架唠叨都很来劲。            
(NA)	 喜欢刘易阳            
(NA)	 好喜欢刘易阳啊            
(1星)	 我没看过，当初它特别火的时候看到这标题就不屑去看，现在忍不住批判它一下~哈哈。不怕死的都去裸呗XD            
(NA)	 P裸婚，这样的裸婚我也愿意，赐给我一个文章            
(NA)	 挺好看的，尤其开头            
(5星)	 我佩服童佳倩她妈，刘易阳的压力真的好大，80后的一代人，有同感.....我容易哭，求婚哭，结婚哭，离婚哭。。。一响主题曲，我就哭，很喜欢文章，很喜欢，干净，纯朴，阳光的孩子气，也爷们着。。。最后一句，“你猜。。。”~~我真的很高兴，也又相信爱情，可现实中，会这样吗？？？            
(NA)	 虎头蛇尾……前面很吸引人，结局反倒很突兀……但是是个能引人深思的片子尤其是我们这个年纪，结婚买房赚钱养孩子，都是近在眼前的问题……            
(4星)	 越来越喜欢听北京的普通话了！杜毅高大帅终究抵不过刘易阳情投意合。贫贱夫妻百事哀            
(3星)	 整个伦理现实剧 倒看不出裸在哪 住院时无聊无奈之下看的            
(5星)	 其实就是断断续续的晃到几个镜头，那个看到娇娇把三胞胎打了的那段，看哭了，好心酸啊，三个娃娃            
(3星)	 细节打败爱情，不是男的赚钱太少，就是女的太胡搅蛮缠。            
(3星)	 这样的女儿真令母亲伤心            
(4星)	 没看完，看不下去了！            
(3星)	 故事还好啊            
(4星)	 精神比金钱来的更重要            
(4星)	 细节打败爱情啊…… 这话太他妈的真实了            
(5星)	 我喜欢听文章说话！            
(4星)	 沉重啊            
(NA)	 结婚真可怕，特别是有了小孩后。。。            
(NA)	 现实的生活,现实的电视剧.很好的男人.            
(5星)	 太写实了！好久没看到这么感同身受的电视剧了……或者说从来就没有看到过……            
(4星)	 细节真的能 打败爱情            
(2星)	 第一集就看不下去了，演技太差了……各种演。            
(5星)	 我喜欢《裸婚时代》的结局。看着刘易阳坐在民政局走廊地上时的悲痛，突然惊喜身边椅子上坐着的童佳倩，却又转瞬陷入“杜太太”的凄苦，接着的“你猜”，看着刘易阳幸福的眼泪，我的心理暖流四溢。            
(1星)	 这几天看了所谓前一段时间热播的《裸婚时代》，刚才终于看完大结局。很无语。很奇怪，这么烂的一部片子，居然能“热播”！剧情上，从第一集就见高姿，刘易阳卧室永远放着不翻篇的高姿日历，3人的广告公司也是高姿，还安排孙晓娆去高姿柜台听销售小姐的介绍；东南汽车更牛，我都懒得说了；mini也来凑戏            
(NA)	      一半现实。            
(5星)	 每一个女人，都希望有一个男人像刘易阳一样爱着她，可是她们做不到像童佳倩一样，在刘易阳没车，没钱，没房，没钻戒的时候和他结婚，这并不仅仅需要勇气 ，更多的是爱与信任。            
(5星)	 喜欢文章的戏，很真实            
(5星)	 太现实了            
(3星)	  无语            
(3星)	 细节打败爱情            
(2星)	 这么小资还裸婚，这生活水平在中国都在中上了            
(4星)	 很现实 值得一看            
(4星)	 蛮不错，很好看，情节虽老套，但两个演员的演技都不错，故事也有看头。            
(5星)	 挺喜欢刘易阳的！我也愿意裸婚！但是门当户对的前提下！两个家庭的消费观差别太大了，所以会出问题！不是裸婚的问题            
(1星)	 说实话这是我最讨厌看的一部电视剧            
(5星)	 我很支持！            
(4星)	None
(2星)	 充斥着各种不可理喻鸡飞狗跳和大吼大叫的傻逼的闹剧            
(5星)	 开始挺好看的，也挺甜蜜的，后来就各种问题了。家庭其实也很重要的，要和对方的父母沟通好相处啊，价值观也是很大的问题。 PS：好喜欢那个胖子冬瓜            
(4星)	 在纽约跟着他们看了第一集后就无聊的开始看了 直到现在才全看完 有点喜剧色彩有些地方感觉太假了。。也就前面几集好看……            
(3星)	 童小姐妈理解。童小姐操的不是京片子啊            
(5星)	 特别现实            
(3星)	 其实就是冲着文章去的。说真的，这部电视剧让我有点失望，每个人情绪转变太快，并不是算是一部佳作。            
(5星)	 很贴切            
(5星)	 一直都很喜欢他演的            
(5星)	None
(4星)	 细节打败爱情            
(NA)	 刘易阳说的对“细节决定爱情”            
(3星)	 没有信仰的人想超越现实是何其难啊。个性相似的人确实不适合生活在同一屋檐下，呵呵            
(4星)	 最初的他们凭借这满腔的热血结婚生子  可他们忘了除了情之外 还有生活 时间的累积 情淡了 却还没亲起来 就这样 不断的小火山 不断的爆发 让他们忘了最初的约定  随着时间的沉寂 某些感觉的找回 在这种有新有旧的情况下的抉择            
(3星)	 男女主人公长的不错，这是看完的唯一感觉            
(1星)	 什么破玩意            
(NA)	 刘易阳是爱童佳倩的，一直都是。分开让他更加确定，他真正离不开的，是童佳倩。            
(4星)	 基本很写实的电视剧，只是广告的植入有点过分，与现实相悖的是主角总是会有贵人相助，不过剧中的父母长辈都演得不错，姜还是老的辣。            
(NA)	 敏姐说童佳倩她妈有黎姐的风采            
(5星)	 真的很喜欢。。很真实。。            
(4星)	 刘易阳苏=v=            
(4星)	 开始的时候因为不喜欢“凤姐”有点排斥，看完了觉得这部戏真的蛮合我们80后的感觉            
(3星)	 现代婚姻剧中算好的，但后期的情节太假，莫名其妙的孙晓娆。娶老婆，不能娶童佳倩这种的            
(NA)	 过贫            
(3星)	 全部moncler是怎樣＝ ＝。。。            
(5星)	 虽说我没钱没房没车，但我有一颗爱你到老的心。            
(5星)	 生活那么累人，却总是义无反顾。            
(2星)	 看了两集 糟心              
(4星)	 女主角蛮漂亮。            
(5星)	 那些吐槽苹果的可以去shi了。一个苹果用到死行不行            
(3星)	 社会就是这样的 有什么办法            
(2星)	 浪费时间，比蜗居差远了。粗制滥造，甘肃的大爷说的都是京片子。            
(5星)	 冲着文章去看的 结果就疯了似的一气儿看完了 ~            
(4星)	 真心不错啊,哥哥都觉得以后就这么活了....            
(4星)	 有点像奋斗，感觉没钱是不行的。最后也是刘易阳有点小钱了两个人的情况又有点扭转了。            
(5星)	 很好            
(3星)	 刚看了四五集，只能说算部时尚片。有点儿过于脱离现实了，你看刘易阳又是iPhone又是air的，家里订婚他爸居然能弄一瓶二锅头带过去了，明显扯淡。当然后面的扯淡事儿还有的是。主要就是看文章和姚笛的，当然还有他俩的穿着时尚。从刘易阳的谈吐，说话行事，穿着来看，明显跟他家庭条件不符。            
(4星)	 当爱情遇到锅碗瓢盘柴米油盐。            
(4星)	 拖到現在才看，然後最近實在是有點看不下節奏太慢的東西。不過文章同學演技又進步了呀            
(3星)	 我讨厌童佳倩的壶盖头！            
(4星)	 介婚裸太自在了。。            
(5星)	 挺好看的一部国产剧            
(3星)	 坚决不裸婚            
(4星)	 只是看的片段。            
(4星)	 第一遍看觉得哎呀呀真好看，在陪老妈看了两遍后觉得剧中很多地方漏洞还是很多的，不现实。不过还是推荐啊，谁让俺家文章那么帅呢~西安娃！            
(3星)	 额~仍旧没坚持完。。。            
(4星)	 现实么？不觉得。。。这个时代还有童佳倩？不太相信。。。            
(3星)	 姚笛在演王熙凤的时候就很喜欢她了。            
(1星)	 假的很赤裸            
(4星)	 爱情终究会输给现实。            
(NA)	 生活             
(NA)	 虽然漏洞百出，单身还是发人深省            
(4星)	 修成正果太难·            
(4星)	 童佳倩是个好姑娘，刘易洋是个好青年。            
(4星)	 这个故事告诉我们，做小三傍大款是没有好下场的！离婚是不和谐的，老婆还是原配的好！            
(NA)	 没有金钱的爱情很悲哀。细节            
(3星)	 絮絮叨叨叨叨絮絮，没看完的意思，就是弃了。            
(2星)	 我服了姚笛的演技了......            
(3星)	 婚姻，门当户对最重要，什么爱情都是扯淡            
(3星)	 童佳倩她爸妈怎么生出她了            
(4星)	 现实的爱情，悲剧的社会。            
(5星)	 这个时代，就是这样，应该明白，但不应屈服            
(NA)	 好喜欢文章！            
(NA)	 现在的婚姻大部分建立在现实的基础上，面临的问题越多裸婚也许越多，有爱情的婚姻会一直都在与以金钱，物质建立的婚姻向抗衡            
(2星)	 实在无法喜欢的一对儿，仅次于 婆婆来了            
(4星)	 还行吧，情节有那么点脱离现实。            
(3星)	 纠结剧            
(NA)	 曾经在奋斗，蜗居已不再，如今走进裸婚时代。有文说这三部剧仿佛就是@文章 的成长历程，但仿佛也是我们的成长之路，少不了的爱情，只是从当年为爱情可以不顾一切的我们蜕变成为在走进婚姻之前要学会思考所有可能会产生的隐患…终于明白爱情终究不是童话故事，因为摆在童话面前的，还有现实……            
(3星)	 尽是被文章那段感人告白骗过来的 文章演的不错 凯丽也挺好的            
(4星)	 很现实，但是不如蜗居更深得我爱，可能那部的话剧版过于精彩了吧            
(3星)	 不喜欢刘易阳的端范儿 和童佳倩过于小女人 这不是能感动我的剧 不是我要的爱情和生活            
(4星)	 细节打败爱情、            
(4星)	 文章真好。            
(4星)	 文章的演技非常突出，但这电视剧虎头蛇尾，越到后边越不清楚。            
(3星)	 妈妈比较喜欢看，我只看了三分之一，因为觉得他们的裸婚还不够裸，用着各种I还敢打着穷困的旗号。实在太讽刺中国发展中地区了            
(4星)	 用了很不现实的手法讲述了一个很现实的故事——只能发生在电视剧里面的事情。            
(5星)	 谁在说中国没有好的电视剧我和谁急。不过那IPHONE、MINI、高姿，AND红牛就不能收着点儿么，植入得也太……显眼了。            
(5星)	 相比同时期的婆婆遇上妈不知道好了多少倍   剧情跌宕却不失真实  画面和后期处理也很给力  值得去看值得回味的电视剧  国产电视剧拍成这样真的很不错  文章越来越成熟了 演技初步在提高 赞            
(NA)	 看久了觉得没意思，两个人过家家而已            
(NA)	 因蜗居而爱上文章，不过觉得裸婚这事儿太不靠谱，主要是冲着演员来的哈～～            
(4星)	 到了我们80后，真是可悲呀～            
(3星)	 慢慢打发时间，电视剧是最佳选择⋯⋯            
(NA)	 不太现实！            
(3星)	 断断续续很久才看完。一直都觉得不是很好看。看完之后，唯一的想法也只是，爱情和面包果然是不能共存的。            
(NA)	 细节打败爱情            
(4星)	 细节打败爱情            
(5星)	 中国当代婚姻的百科全书            
(4星)	 现实            
(4星)	 细节打败爱情！            
(5星)	 细节击败爱情            
(4星)	 近几年看过的国产剧，除了爱情公寓，就他了。。跳着看完            
(NA)	 文章很棒            
(4星)	 只听说男孩要穷着养，女孩要富着养。结果是富家女不知面包贵！            
(3星)	 还是觉得有点儿极端吧，相对于现实的婆媳来说。            
(5星)	 且行且乐且悲伤。             
(4星)	 現實得很。鋒利得很。然而 生活的結局能否也這麼完整？            
(NA)	 爱情很美，生活很残酷…………            
(3星)	 童佳倩“作”的很！文章演得不错。            
(4星)	 裸婚让人知道 结婚不容易 在一起不容易 婚后和婚前是不能比的 但是后面两人吵架比较让人看得烦。            
(NA)	 2011的火红剧…觉得还挺好的…听现实…            
(4星)	 细节打败爱情。 我一直在维护我爱情的尊严，直到今天我才知道什么叫失无所失。后面一半看得真让人揪心。            
(5星)	 让我感觉婚姻好麻烦              
(3星)	 整个电视剧从一开始看就怪怪的 看完也没觉得童佳倩有多好 刘易阳有多好。除了吵架的时候很真实 其余没觉得有多生活。我真的是冲着文章去看的 大概没有文章也不会那么火吧。童佳倩父母这一对才是我最渴望的            
(5星)	 1. 未婚先孕风险很大；2.幸福的经营难度不亚于运营一个产品项目；3.凡事不要一个人扛，两个人在一起，就是个团队，要懂得分担；4.刘易阳挺爷们的，而爷们都挺不容易的；5.这部片子帮我把以后的求婚词写好了，谢谢作者。            
(4星)	 细节打败爱情            
(5星)	 文章是个好男人~            
(5星)	 非常值得看，现实得不至于让人绝望            
(3星)	 裸婚时代，就一童话。            
(3星)	 电视拍的还不错，很现实，不过好多情节处理的也很差            
(4星)	 见过像刘易阳这么能说的，没见过刘易阳这么能做的            
(4星)	 真心觉得刘易阳不错~~            
(5星)	 蛮不错的，好看            
(4星)	 细节打败爱情。也许这就是老人家常说的，等你结婚后，就知道光有爱情是不够的            
(4星)	 诶……千言万语……            
(5星)	 喜欢刘易阳这样的男人！            
(5星)	 童佳倩这个戏里戏外的疯婆娘            
(4星)	 细节打败爱情            
(4星)	 编的挺现实的，如果少些巧合，会更真实些。后面有些人物转变得有些过快了，减分。            
(4星)	 有点搞笑，又有点不现实。生活绝对不是这个样子，要艰苦多了            
(3星)	 看完这个挺难受的            
(2星)	 爱情就仅仅只是爱情 跟生活无关 一旦爱情落入了世俗 爱情就在变异 但爱情也来自于世俗 它能够存活在两个人相遇相知的短暂时光里            
(4星)	 就看了最后几集，感觉就是冲着去看佳倩跟她妈的斗争。。。。            
(3星)	 挺喜欢文章的~这里的女主角也很不错~无聊的时候还是把它看完了~还不错~只是文章演得没有蜗居里好~            
(5星)	 观念不一样 无法相处 很深刻            
(NA)	 爱情。。。MS没有也能活。            
(5星)	 喜欢这部剧！前面觉得刘易阳是很好的男人，中间因为刘易阳看得很生气，后面看得很感动，结局很欣慰……PS：话说杜毅和《奋斗》的瑶瑶，还有《青春》的高齐，剧中完美的人总是不容易到幸福啊~            
(3星)	 女主真好看            
(NA)	 童佳倩好女人            
(NA)	 婚...怕！            
(5星)	 很现实            
(3星)	 情节太狗血，太冲突，有点不现实            
(5星)	 通宵看完的，蛮真实，不错            
(4星)	 比想象中好看~ 真实。            
(NA)	 在開學前的四天旅行客車上面睡睡醒醒看的            
(3星)	 其实这两人的问题不在于裸婚 也不在于男的家庭条件比这女的差 也不是父母有什么错 刘易阳真没多好 童佳倩也一点都不坏 问题就是吧 有孩子了 什么事都来不及处理 就得面对了·· 没钱没房没车去结婚不算裸 心智不成熟就结婚才是真裸            
(5星)	 自己曾经的经历在这部剧中重现，感觉有点不同，有些启发。。。            
(5星)	 不错的电视剧，不过还是只能看一遍，禁不起第二遍的重看。其实，他们的婚姻个人觉得童佳倩得付更加大的责任啦，但要不是刘易阳惹得，也不会这样，还真说不清楚。            
(NA)	 血淋淋            
(4星)	 这部电视剧首映的时候，正好赶上我心情最低落的时候，失恋的我每看一集就哭一通，有一个晚上自己蒙在被子里哭了一宿，每个女生都希望有一个自己的刘易扬…这是真的            
(5星)	 这个也是电影行列啊。。。            
(3星)	 文章在剧中的形象与之前所演的人物形象过于雷同，好男人成了遍地都是的玩意儿了，所以想看热闹的可以看看...            
(5星)	 我除了我爱你比你爱我多以外，我没有什么条件优越于你。。。。。。            
(4星)	 细节打败爱情，爱情与过日子不是一回事，恋爱要找感性人，生活要找老实人。            
(3星)	 比较贴近实际 结局不是我喜欢的 也算不上裸婚            
(NA)	 很喜欢的。            
(NA)	 如果.愛,包容~            
(4星)	 剧中的情节很多就发生在我的生活中，很有感触！            
(1星)	 对爱情最大的误解、            
(5星)	 每个女孩都希望有个刘易阳，但又不甘心只有刘易阳。            
(5星)	 假如遇上这种男人，祼婚也是一种幸福            
(NA)	None
(NA)	 很现实，为了奶粉。现在的80s不都是在使劲儿攒么。哎，裸婚。我觉得就是比较艰难地。。            
(4星)	 还行            
(4星)	 没有理由，只有一颗爱你的心，裸婚吧！！            
(NA)	 我跑北京来，大半也是为了你。            
(4星)	 现实            
(4星)	 比想象中的好看样~~~            
(2星)	 2011.10 不现实！            
(5星)	 细节打败爱情            
(5星)	 不是所有人都有勇气裸婚吧？我有，你有吗？            
(3星)	 无感            
(5星)	 他们生孩子太早了，完全不具备经济基础，加上没有生活经验，遭受了很多挫折，结局设计成了喜剧，但是我感觉真实生活中的结果应该是：刘易阳娶了孙晓娆，童佳倩嫁了杜毅，陈娇娇给黄有为当小三，崔斌找一个农村妇女，冬瓜继续吊着，不知道我是不是太俗了。            
(3星)	 “细节打败爱情”            
(3星)	 没看这个剧，第一  他们不“裸”。第二，这个话题很多人都正在经历，不相信偶像剧能演得比现实更好。            
(4星)	 热过了之后看的，觉得里面我最喜欢的还是童姑娘的妈            
(3星)	 值得珍惜的是这个男人坚定的态度            
(4星)	 太现实了            
(NA)	 真实又现实            
(2星)	 YY            
(4星)	 之说以推荐是因为我也期待着有一个想刘易阳的人爱我！            
(3星)	 结局之时，俩人依然没长大，等着拍续集么？重来多少次才会明白？            
(3星)	 有点偏激。            
(4星)	 看了一半（15集）。电视挺好，不过不太适合我现在的口味，决定不看了。            
(NA)	 波波 波波 波波            
(5星)	 觉得其实很多剧在看的过程你好像领悟到很多东西，但其实看完了，就是看完了。觉得《裸婚时代》不一样。《蜗居》不一样，《奋斗》不一样，《新结婚时代》不一样。。。看完了，总有一股言不尽的感觉在心里。同时觉得，不太过瘾，一年下来好像也没有多少部真的以当代现实生活中存在的问题为主引的电视剧，            
(5星)	 若爱，一定要深爱。。。。。。。。            
(5星)	 我喜欢刘易阳这样的男人，有潜力！不过我觉得童佳倩也是一个好女人！            
(4星)	 喜欢听童佳倩她妈凯丽在那叨叨，特牛            
(4星)	 生活很现实。不知这世上还能找到像刘易阳这样的人吗？            
(4星)	 细节打败爱情            
(5星)	 倘若你不爱我，总有万斤白银又如何？            
(5星)	 说真的  如果是个女孩 会很希望和一个很理智的刘易阳在一起 而不是中间那个有点癫狂的他在一起 但是总体上说 还是涵盖了人对纯真爱情的美好幻想            
(3星)	 有些短论很扯，但是已经不错了            
(3星)	 再次不懂看点在哪= =            
(4星)	 很现实啊            
(NA)	 没看全，同学看的时候跟着凑热闹看的，我不喜欢童佳倩，我觉得自己有恋爱恐惧症            
(3星)	 今年我居然看了这么多的国产剧。。。            
(3星)	 婚不能轻易裸。            
(4星)	 好！            
(5星)	 很现实，但结局不现实。很有爱，但看的人很缺爱。            
(4星)	 真心的喜欢这部电视剧~最爱文章的戏了             
(4星)	 理想敌不过现实，细节击败了爱情。刘易阳太死要面子了，双方家长除了童爸，其他都是极品。大结局有点不给力。            
