http://movie.douban.com/subject/6534065/	女人的香气 여인의 향기
(3星)	 剧情比较那啥。。。不过还是哭过的，泪点低╮(╯▽╰)╭            
(4星)	 善雅姐能不演杯具不？真心不想看你这么瘦呀~~李东旭小鹿眼睛真是令人无法抗拒捏，不过更喜欢男2哟，这个家伙演技真好呀，完全不是靠颜。剧中的歌曲也很好听啊。            
(4星)	 虽然很狗血，但是很温情。            
(4星)	 三顺瘦的让人心疼，还喜欢敦敦厚厚的三顺。            
(4星)	 虽然又是绝症，但是整个剧很搞笑，男主很有爱            
(4星)	 男主角帅爆了···女主角演技好暴了            
(3星)	 金善雅演的为何都是一个类型的。前10集不错，音乐好听啊。            
(4星)	 不错~   至少让我觉得如果我得了癌症 也要坚强 乐观~  虽然结局 有点不太现实~。。            
(4星)	 金宣儿的演技真是不同凡响，以女主的绝症开头的视角还是有点新鲜的。            
(5星)	 女主角过了十年节俭平淡隐忍的生活，终于在得知自己还有半年的时候，开始做自己以前不敢做的事情。。这部剧没有让人快进着看的想法，是一部不错的电视剧。生活本来就应该这样不是吗？ps：喜欢男猪脚的所有衬衣啊~我是男朋友衬衣控！            
(4星)	 让我觉得，人应该为自己好好过每一天            
(3星)	 可能是我还理解不到 为什么会这么纠结            
(4星)	 因为是善雅啊~~推荐            
(4星)	 我完了···            
(4星)	 我相信命运，无论在什么时刻，无论还有多少时间，我们定会相遇！            
(3星)	 为什么标签喜剧结果每集女主都在哭啊啊啊啊啊啊            
(3星)	 虽然喜欢男主，但总觉得演技还有待提高哦            
(4星)	 催泪弹一发            
(5星)	 人一定得到死了，才会发现有很多遗憾的事情没做，但在健康的时候，从来浑浑噩噩，也不会有勇气去做一些失败了结果会很尴尬的事，其实这也算拖延症吧。。。p.s.坐在单车上接吻的镜头太美了，技巧也太高超了吧~~            
(4星)	 没追完 前两集就好感动的噶            
(4星)	 探戈很有意思。金善雅的演技又提高了。李东旭当中有一段脱衣服甩衣服真是帅呆了。            
(3星)	 可不可以不再写得了绝症，看的好纠结啊，这样的故事是不是也只有韩剧里才有捏~~唉，看到最后，实在木有看完，太纠结啦~~不过，男女猪学跳探戈那一段的心理变化还是蛮微妙的~~哈哈            
(NA)	 即使在那一天我没有遇见你，即使我和你的距离还是那么的遥远，但是我依然爱你。            
(3星)	 我是犯什么贱又在看这种情节烂到爆的韩剧= = p.s.李东旭退伍回来更帅了，唇形真好看= = 藕爸你怎么就红不起来呢            
(3星)	 冲着三顺姐变成纸片来看的~~~但是剧情略老。。。            
(3星)	 演员们都是真心爱的..可是剧情实在不是我的菜            
(4星)	 哪有那么巧的事儿            
(5星)	 男主的嘴唇好性感啊！真想吻下。不过演技不咋的，哭戏流于表面，没有悲伤的感觉。还是女主演技顶瓜瓜！            
(3星)	 金善雅真心瘦了- -            
(5星)	 我被三顺的瘦身给打动了 我被最后幻想婚礼华丽丽的俊男美女组合打动了，男主那刻太帅了 我被知道死期勇敢追爱的精神打动了 珍惜时间 珍惜生命 好好活着吧 恩恩 真的 真的             
(3星)	 还是喜欢三顺时候的她~            
(3星)	 果然是用了 闻香识女人 的梗，但确实差的有点远。最近不太受得了生病啊这样的。。李东旭，恩，果然是岁月不饶人啊~~            
(4星)	 就那样吧。。太过典型的韩剧            
(3星)	 我还是不喜欢结局            
(4星)	 。。。其实剧透  只要主演好看我都觉得还行(┳＿┳)... 韩国女人不行啊 整的都一样的脸            
(4星)	 最近比较好看的一部韩剧。金善雅的演技一如既往的不错~            
(4星)	 如果人生即将走到尽头，你最想做的事是什么呢            
(NA)	 好看            
(5星)	 金三顺出演 好看搞笑            
(5星)	 三顺姐变的好瘦~~挺好看的~~            
(4星)	 “如果没有生病，你会比现在过得更好吗？”有想做的事情，就去做吧。            
(3星)	 三顺加油！            
(NA)	 快死了 好像又没死  诶 结局啊            
(3星)	 ……　……所以说，我真是过了韩剧的年龄了……还是没有到？李东旭的眼睛闪啊闪啊，像小鹿一样。而金善雅告诉我们，要好好保护身体，因为生病变得太瘦真的会很难看！            
(4星)	 总体不错~特别是前面爆发的几集，后面就有点拖沓了，不过还算可以&gt;_&lt;            
(4星)	 看到第十集左右看不下去了，果然我不喜欢太虐的。            
(5星)	 给五颗星有没有。。            
(4星)	 哭了一二集 到中后段反复的煽情桥段 反而让人有点视觉疲劳              
(5星)	 拥抱爱情            
(3星)	 8集之后还在想证明女主是误诊癌症的情节啥时出现，受不了裹脚布剧情直接看最后一集，哦买糕，真的是癌症，还这么完美的男主，棒子国的YY精神果然表现各个方面！            
(4星)	 前半部分还可以，后半部分明显节奏慢下来了。如果不是李东旭和金善雅，我只能给3星。            
(3星)	 豆瓣和优酷的好评率都超高。 可是我怎么就没有觉得很好看咧？后面几集几乎是快进看完的。情节有点拖沓。我连男主和女主是怎么爱上的都没有搞明白。但是最后一集还是很感人的。也在思考如果我的人生只剩下6个月会怎样。            
(4星)	 我也想学探戈            
(4星)	 第八集的tango嗲 +星            
(4星)	 couple很有爱 故事好悲            
(3星)	 老太太的裹脚布，到后面就落入俗套了，而且女主和男主，唉，怎么看都不搭（没有针对演员个人）            
(3星)	 剧情有点俗。。。。            
(3星)	 我果然是老得看不动这些偶像剧了。。。。李东旭还是360无死角的帅啊            
(5星)	 真是一边看一边哭啊 其实爱情在这部剧里面是浮云啊 三顺姐才是重点啊~~  俊秀那里好可爱~            
(3星)	 很普通的剧情 很一般的情节 两位演员演技很加分~~~~~~~~~·            
(3星)	 曾经的金三顺！！！！！！！！！！！！现在她好瘦啊！！！！！！！！！！！！我也想瘦得她那样，腿好直好美腰好细，随穿莫子都好好看！！！！！！！！！！            
(4星)	 前半部分真的看的内心澎湃啊！！觉得终于有部像样的韩剧，结果后半部分后劲非常不足！！很有草草收场的感觉~~冲着金善雅满给个四星            
(4星)	 竟然第一集就把我看哭了！！！！！！好久没看韩剧啦，是没抵抗力了吗？            
(4星)	 真的很不错，励志的，女人要对自己好一点的教科书。            
(3星)	 没觉得好看~~~看完结尾倒是有些失望~~~            
(4星)	 其实每天都是在倒计时的活着，什么是自己最想完成的，不要再拖欠了            
(4星)	 挺好看的。。。            
(5星)	 大爱！            
(4星)	 it&#39;s not only a lovestory,but also a story about our life,further how to overcome an adversity.            
(3星)	 李东旭和金善雅不搭。剧情太太太不现实了吧。虽然我还是看完了。            
(NA)	 今年暑假在追的，还不错，女主一直都很喜欢            
(3星)	 Tango，Tango。总有一天要学学~            
(4星)	 ...前段时间看的,,,看完就不记得了...            
(4星)	 不错啊～            
(4星)	 与其是看爱情，开篇妍在在公司里面死熬为生活还要背黑锅、喜珠之死、妍在妈妈接受事实，更让我伤心。这是无法割舍的。亲情在这部戏了让我看得更清楚。至少，在我们追求自己的爱的时候，家人是不能放弃的。无法割舍的。死亡前的爱，都让人叹息~            
(3星)	 也算种励志            
(4星)	 这种烂俗的剧情最适合重燃谈一场恋爱的信心了            
(NA)	 李东旭变丑了。。。            
(5星)	 当过兵的男淫就素不一样            
(5星)	None
(5星)	 人生本来没什么意思，却因为一个人而有了意义。            
(3星)	 还不错 女主人设不脑残 男主是我的爱=  =。。            
(4星)	 其实后面有点拖了的感觉 前面拍的特别好 金善雅的演技李东旭有点罩不住 看完一直有一种【啊我想学探戈！】的感觉 最喜欢的场景就是李东旭飚车到探戈教室把小外套一扔立马强势跳舞 PS医生后面很萌啊我就是容易对男二倾注关注..            
(4星)	 啊呀呀 李东旭            
(4星)	 happy ending，不错。            
(5星)	 就心水这种抽了风的富二代和顽固的老处女之间的故事，越看越心水，偶滴薛功灿，身材。。。口水~~偶滴三顺，瘦了也很可爱思密达~            
(3星)	 李东旭真尼玛帅啊！！            
(3星)	 打从第一集就暗自祈祷千万不要是悲剧结尾 万幸 剧情微平缓+普通 没有太大心动 不过前十集里两段tango简直华丽翻了 无论配乐光影还是演员表情 都非常心动            
(3星)	 韩剧老套路，绝症，三角恋，富家公子搭配大龄女青年，泪流成河，，哎呀~ 够了！ 看到第八集已经算不错            
(3星)	 冲着主演去的，第一集末尾很有亮点。。。但是 到后面受不了，弃了~            
(3星)	 大白兔奶糖的故事            
(4星)	 如果把明天当作生命中的最后一天，平日生活中许多所谓的牵绊与顾虑自会退避三舍，剩下的才是自己真正渴望的人生。PS：当初的金三顺竟能瘦成这样！            
(3星)	 韩剧有三包宝：车祸，癌症，治不好。这部都占了，看剧评时以为会从头泪奔到尾，结果只在那个可爱的临床小妹妹去世时放了下闸，我的泪点也已经古怪化了。P.S.为嘛我总觉得三顺还是胖点好看.            
(3星)	 剧情还是老一套  看在金善雅的演技的份上 还是坚持看完了 有些场景还是蛮感动的             
(4星)	 三顺的悲喜剧。            
(3星)	 最喜欢的两个演员，演绎出来的不过尔尔，相当失望。只喜欢前两集。不过真心喜欢珠，小小的喜珠啊，大赚了我几把眼泪。            
(4星)	 除了爱情，人生还有很多重要的东西            
(4星)	 不得不说，金宣儿真的很会挑剧本。平凡小女人演绎的平凡生活，却也叫人印象深刻。            
(4星)	 在韩国谈个恋爱真不容易。。            
(5星)	 大爱金善雅~怎么可以这么瘦~~            
(4星)	 韩剧中比较有新意了。。但这个有新意指的是把以前最后面发现得绝症的事儿移到第一集而已 但是看这个的时候老觉得挺入戏的 那段时间我也生病真怕自己挂掉            
(3星)	 星都是给李东旭的            
(3星)	 一直期待翻转~~~但。。。。            
(3星)	 金善雅肿么瘦成那样，不好看了            
(NA)	 身材真棒啊，不愧是模特出身啊，金善雅的华丽归来            
(4星)	 就为了李东旭才看的，刚出的时候看不下去，其实还不错，人生~            
(5星)	 直击心灵深处！            
(4星)	 前面很牵动人心，后面就疲软了，看在主角靓的份上+1星。            
(5星)	 李东旭诺姆诺姆帅了！！比我的女孩时期帅多了！！！为什么那时无感列....            
(5星)	 姜智旭是我的大爱！            
(4星)	 挺好的，金善雅在成长啦~和原来的三顺比起来，我更喜欢现在的她~            
(5星)	 结局很好。很励志的其实。就是他们都瘦了哎。            
(3星)	 多少人想要浪漫至死呀？但是你得想存到一定的钱，在找个愿意让你躺在怀里的死掉，你想要死后捐器官他都愿意陪着你的。擦，这种人果然只有连续剧里会有！！！！            
(3星)	 前半部还不错，后半部真的是韩剧的老毛病啊。拖沓~            
(4星)	 故事很好，也多好看看的            
(3星)	 诶~羡慕啊            
(4星)	 画报啊画报~            
(5星)	 很好，两位主角深得我心，女主第一集就跌到谷底了，所以以后每一集都是在往更好的方向走            
(5星)	 我只想知道三顺怎么瘦得这么完美？哈哈 我都想去学探戈了。            
(5星)	 给韩剧的眼泪.            
(4星)	 其实剧情有点平淡。我爱宣儿。            
(5星)	 三顺回来啦            
(5星)	 好喜欢呀！            
(5星)	 没想到李东旭归来的第一部戏是如此的感动人。喜欢            
(5星)	 觉得三顺姐还是胖点好看，虽然没有金三顺好，不过风景很好，李东旭很帅很可爱，给五星啦            
(3星)	  金善雅 故事的构思让人做好最后挣扎的准备 但结局却是和金三顺一样没有结局 也许做自己更重要 把每一天要做的事情都做了 忽然死了 才不会有遗憾 李志旭的演技实在太烂了            
(NA)	 典型韩剧，剧情有点假，都不知道男主为什么会爱上女主，哎            
(3星)	 前半部分不错            
(3星)	 不明白三顺为啥要接这种从头哭到尾的剧，喜剧不是演得挺好挺自然的么。。此剧剧情完全是韩剧的最初模板，而且没有任何突破俗套的进化！唯一的进化就是三顺变成身材大好的美女，再也不是当初胖乎乎傻傻惹人爱的傻大姐了            
(3星)	 太女人了。已经hold不住了。            
(3星)	 跟期待的不符合啊。喜欢的两个演员。            
(3星)	 虽然身材好了，但我还是觉得金三顺的时候好看，感觉嘴巴那点有了些整容后遗症或是减肥后造成的            
(4星)	 从第一集哭到第十五集~~~~真是伤元气~~~            
(4星)	 结局扯蛋儿了。            
(NA)	 既感动~又~~~            
(5星)	 那曲Tango            
(3星)	 故事开头挺有新意的，后面越来越无聊，灰姑娘的老调又重弹弹得弦都快断了            
(4星)	 蛮好看的，最喜欢里面的探戈            
(5星)	 差点因为女主的倒霉相，还有开端的阴云就弃了，但是后面看得进去了。（1一5）后面还真好看。（6一11）最后竟然会有那个不健康的身体是否有爱人的权利这样的思考，很残忍的爱啊。13集，把⒋星改5星。看完之后5+            
(5星)	 为了里面的那个小女孩大哭了一场。。。结局倒是有点差强人意            
(3星)	 哎，为了你的雕塑脸            
(3星)	 我还是看到男二那边去了，尽管MG让我很心水李东旭，果然很杯具。            
(5星)	 细节很美，景色很美，人很美。關於幸福，關於愛的感悟。妍在一直都在追尋，我們也要努力了！            
(5星)	 喜欢这两只 ~~ 画面感为何会有电影的感觉饿            
(3星)	 ......            
(NA)	 真心感人，就让这2个可怜的人儿在一起吧             
(5星)	 好虐啊！其实女主很幸福，悲哀在患了晚期癌症，34岁才开始走运，还走各种运，真心表示很受不了。像在看2K年的韩剧一样，那时候小不看罢了，现在不愿看一半不看下去，哭得欲罢不能。真心觉得生命伤不起。            
(NA)	 金善雅的气场太强了，感觉整部戏都是她在撑着。另外演医生的那位感觉不错。个人不太喜欢李东旭，演的不自然。            
(4星)	 生活中哪有那么多的happy  ending,努力生活，努力去爱！            
(5星)	 不可多得的有内涵的影片，宣儿演技棒极了。看完感动，温馨            
(3星)	 结局大跌眼镜            
(5星)	 男主角帅、音乐好、剧情令我有共鸣。。。            
(4星)	 喜欢这样的结局，不为赚眼泪，让人有的思考。。。。            
(4星)	 为了看李东旭！            
(3星)	 。。。。。太多哭戏了。。我都受不了了。。。搞不懂到底发生了什么会让男主如此爱那女人。            
(3星)	 瘦了是还可以            
(2星)	 我怎么会对此类片子越来越没兴致了~~~            
(3星)	 后来的剧情越来越拖沓了，跳着看完的，男女主角感觉也不是很搭            
(5星)	 还不错            
(3星)	 为了看下男猪脚。            
(5星)	 很好，我喜欢。            
(5星)	 还有一集没看、  李东旭退伍回来越来越魅力了、金宣儿也好美、配死了这两个            
(5星)	 今年不错的韩剧之一。            
(5星)	 13集的后半部分真的是太好看了            
(4星)	 三顺瘦了好多啊，很受鼓舞！            
(5星)	 陣容強大的很啊~！醫生和ONI的演技是要有多好？！其實，只要有DONG WOOK OPPA~~~無條件5星！！！！！！❤            
(4星)	 韩剧的配角设计和剧情其实一直挺俗套，不过表现手法和包装手段上，国产剧还是有差距。此剧亮点自然是女主            
(4星)	 能坚持看下去的都还不错            
(4星)	 越到后来越好看，虽然烂俗，但是好看！            
(5星)	 结局喜欢            
(5星)	 第八集的那场探戈，要疯了。。还有，配乐各种赞。李东旭越来越有味儿了，金善雅也是。虽然没离开癌症，但绝对不是烂剧。            
(5星)	None
(4星)	 大姐的电视剧都好好看那            
(NA)	 我喜欢的演员            
(4星)	 因为男猪脚才追看的韩剧，N年前看MY GIRL时迷他迷的莱~~~结果被这片中极度入戏能哭的俩主演煽情到我这个对韩国电视剧没啥耐心的人追着又哭又笑的看完啊~~~~几个旅游场景真心HAPPY的呢，也算是励志片吧，如果生命只剩下6个月，你会选择怎么样的生活？？现在真心瘦的三顺姐居然和我同天生日额~~            
(3星)	 剧情一般，冲着三顺去看的。没太大意思，拖沓得很。全篇情节其实1个小时即可讲完。            
(4星)	 韩剧就是韩剧~            
(4星)	 前面几集故事和细节都不错，后面俗套了。            
(5星)	 很感动 难得吸引我通宵看完的韩剧 以前我从来不看女主患有绝症的电视剧的 但这次“三顺”把这个任务 诠释的很特别            
(4星)	 6个月的人生实现自己的21个愿望~~对别人好一点，对自己好一些~~而我们往往做到了前者，忽视了后者~            
(4星)	 哭慘了，這當季裡頭我看得最賣力的，然，這份愛好珍貴。            
(4星)	 或许有过陪伴病人的经历，所以或多或少的有点共鸣，所以或多或少的会流点眼泪            
(3星)	 我还是喜欢肉肉的三顺            
(4星)	 最近在看第二遍  当然。  第一集很拖沓的            
(5星)	 我喜欢医生啊……忠犬什么的我会说嘛！好久没看韩剧了嗷嗷嗷！！！最喜欢医生哭着让她活下去啊……演的很好啊！不过我更喜欢花絮什么的，花絮是世界上最美好的观影体验~~            
(4星)	 李东旭越来越帅了呐 ╭(╯3╰)╮            
(3星)	 一般            
(3星)	 也就那样吧            
(3星)	 ╮(╯▽╰)╭看了一半 弃            
(2星)	 准备好了纸巾大哭一场，结尾却是“七个月，我还活着”？不得不说故事是为了迎合观众而不得不俗套。男主总是感觉不在状态。最喜欢的一场戏是男女主跳舞，配合音乐，还算不错。            
(2星)	 女猪脚除了哭什么也不会 最后我也没见到她死 讨厌！！！！！            
(3星)	 被西骗来看的，虽然很浪漫很分红，终究不喜欢悲剧。            
(5星)	 幸福的短暂一生，未完待续~            
(5星)	 属于你的香气！            
(5星)	 哎呀，用了一包抽纸，稀里哗啦。三顺演的真好，虽然长的不好看。男主角也不好看，要是换个人估计更好看。            
(NA)	 生命的尽头原来是意识到以前的错过，想着以后会补起来，可即使幸运得没有天灾人祸安全地活到那一天，感觉却不一定补得回来了。还有亲情，子欲养而亲不在是多么的一种悲怆，还有爱情，当明白了最珍惜的已经失去是多么的一种孤单，还有所有切切的真情，渐行渐远而无所挽留是多么的可恶可怜。惟珍惜。            
(4星)	 只是单纯地喜欢女主角演的戏而已，感觉。。。舒服            
(4星)	 我只活在今天            
(4星)	 还是喜欢三顺演喜剧。PS：连三顺都瘦到皮包骨了，情何以堪。            
(5星)	 很多时候,我们因为以后的日子还长着呢而忍耐,当发现生命的终点离自己不远时,要怎么活呢?            
(5星)	 那才叫一悲啊！～            
(4星)	 从《市政厅》追来的，没有市政厅好看。            
(3星)	 哎，被我剧透的八九不离十了，棒子编剧好差劲            
(4星)	 不喜欢这样的结局   不喜欢没有结局的结局                
(4星)	 中途弃之~~喜欢两处--开头三顺破釜沉舟不顾一切终于为自己活在当下赴日旅行寻梦；还有贯穿的探戈~~~我也要学探戈啊混蛋！！&gt;o&lt;            
(4星)	 最近适合看弱智剧~~            
(3星)	 虽然很俗套... 但我居然坚持着看下去了呃` 金善雅的演技真的是好噢` 但是也太苦情了吧...            
(3星)	 好久没见韩剧女主死掉了。。。哈哈哈。。。            
(NA)	 么有大反派的电视剧谁说不过瘾。            
(4星)	 喜欢里面的歌，还有女主角            
(5星)	None
(3星)	 东旭表情太生硬，或者说他根本没进去这个戏的角色，白瞎了我们三顺的演技。。。。唉。。。            
(4星)	 那段探戈真的让人想尖叫啊！~整部片子的层次陡然提升            
(4星)	 冲绳实在是太美了~~            
(NA)	 看得真的满感动 李东旭还是跟以前一样帅阿 我最喜欢这类型男人了             
(5星)	 值得看的韩剧。超级迷人的男人。三顺的演技越来越好的，演什么都让我想起三顺。可是，瘦的有点惊人。以前的样子多可爱。            
(4星)	 歌和本都还不错！            
(5星)	 画面很唯美，情节很温馨，结尾给人带来希望，把悲伤的主题拍成这样也不错了。            
(3星)	 景美，其它一般            
(5星)	 从中我体会到了哲学的味道，当你知道自己要死的时候要珍惜每一天，要活的有意义要善待身边的每一个人。            
(4星)	 分数给最爱的金宣儿姐姐！！东旭也很棒~完全逆生长的男人~= =            
(3星)	 太悲啦~没看下去。。。            
(2星)	 不喜欢到极点了。一直看金大妈很像佘诗曼，一出场就觉得很别扭。CH绝对好看多了，这么高的评分究竟是怎么来的啊？            
(3星)	 这女人一脸苦相 难看            
(NA)	 顏控            
(5星)	 虽然剧情依然很恶俗 可我还是爱的不了了 真是完全受不了李东旭的笑眼神 下垂的眼角萌翻了好嘛~            
(4星)	 我看的四部韩剧，居然三部是三顺演的～～～～～～            
(3星)	 还……行……             
(5星)	 很不错，只是“功灿哥”变了样子。。。            
(3星)	 还是喜欢胖三顺            
(NA)	 芳芳推荐的~            
(2星)	 金善雅那鸡窝头 那下垂的眼角 那装嫩的演技 妈呀 太作了.. 三顺啊 你还是适合演喜剧啊             
(3星)	 其实真的只有还行而已,没有善雅姐姐这剧绝对不会有这样的分数.            
(5星)	 很温馨很感人的泡菜式遗愿清单            
(5星)	 ......            
(4星)	 棒子片很久没有出现过感人系列了~自从蓝色生死恋之后，就一直没有能超越的，这一部片也不是说能够超越，但至少也是一个突破。当我们的生活被逼进了死角，我们也会如女主角一样义无反顾的做我们想做的事情么？            
(5星)	 李东旭真是一点不显老啊，真帅            
(4星)	 三星少了四星勉强，算是为了男主的身材和金大姐的哭戏吧            
(3星)	 女主“三顺”，Xiah客串~~~剧情还不错。看到女主去学探戈，也有种冲动哦~~            
(NA)	 悲伤的喜剧~~~            
(3星)	 前面还是很好的~但后面的剧情就开始有些掌控不住了~不那么精彩~也有些稍显俗套~不过总体来说也还算可以~李东旭倒是挺帅~sbs的电视剧画面感很好！！            
(4星)	 有好些情景确实蛮心动的，但是金宣儿不好看呢，李东旭还蛮帅的。            
(3星)	 后半完全看不下去，就是为着男二号在看            
(NA)	 不错呢            
(5星)	 各种诱惑的探戈。╮(╯▽╰)╭            
(4星)	 为什么没死,..想悲伤也没悲伤起来。。。            
(4星)	 探戈和男主真性感啊            
(3星)	 受不了女主装嫩             
(3星)	 男女猪脚怎么就越来越难看了呢啊！            
(3星)	 看了一半实是看不下去了，韩国电视剧的特质：癌症  富家公子  女二富小姐  男二初恋   感觉这电视剧就是旅游推广片            
(5星)	 这是老子哭的最惨烈的一部韩剧啊 屈指可数的个位数韩剧观看史里            
(4星)	 典型的韩剧，没有被病魔祝福的爱情就不是一份真爱吐槽一下，那辆红色跑车是全剧最贵最有亮点的道具，金善雅过马路时可以为她挡车，发病时迅速送到医院等等，没有跑车怎么行……            
(2星)	 三顺啊咋瘦成这样了，好久没看韩剧，那个谁告诉我这个很好看，看了几集是在看不下去了。。。。不好看不好看不好看            
(NA)	 太沉重再也拾不起了            
(4星)	 如果我得了癌症我也会这样做吧            
(5星)	 东旭太帅啦，            
(3星)	 探戈很美 。快进看完的。            
(NA)	 赚足了我的眼泪~~  不知道是悲剧的情况下看到它，真让我心痛！！呵呵~~~            
(3星)	 生活是美好的            
(5星)	 对生命的追问，对爱情的诠释，都做得那么真切而准确。结尾的时候，我也问我自己，活着，我还活着，以后要怎么活下去？            
(4星)	 除了不太喜欢金善雅的声音以外，其他都蛮好的，            
(NA)	 我是来看三顺的……（真的不爱看韩剧、看不下去了）            
(5星)	 金三顺的蜕变还是挺惊艳的，但是表情好像都一个样...探戈跳得很撩人心啊~~~            
(4星)	 算系唔悲的韓劇啦~~起碼女豬腳還沒死            
(3星)	 韩剧啊你还能再俗点嘛？没看完，看不下去了！看在三顺的面子上，给三颗星。            
(4星)	 哦耶~我喜欢李东旭~哦耶~我喜欢金善雅~哦耶~            
(4星)	 好想一个人去旅行啊.......            
(NA)	 你们太坏了，都没人告诉我李东旭哦吧复出了啊！！！三顺怎么那么好命把我觊觎的唯二两颗泡菜都抱走了啊！但是厚刘海能不能去掉啊，丑男才离不开厚刘海的亲！！！！            
(4星)	 除了把女主从最后知道得绝症改到第一集得绝症，其他部分是一样一样一样的啊~            
(4星)	 还好还好 女主没死在结局。。            
(4星)	 李东旭真的很帅，瘦多了有点太瘦了，善雅也是。看到最后一集的时候快进看的，为了这两个人给四星。（看这部剧又让我浪费好多卫生纸）            
(3星)	 好久没看韩剧了。            
(3星)	 后面看不下去了.................三顺是永远的经典............可是三顺真的老了T T..........李东旭mua~~~            
(4星)	 探戈的元素没的说            
(3星)	 还是那个三顺            
(5星)	 虐到我了，这个真的。。。            
(5星)	 如果我们的生命也只剩下六个月，是不是我们也该做个计划表呢。虽然很狗血的剧情，但是是很感动的出演，看完，我决定每年给自己做个愿望表，一定要实现。大爱！            
(3星)	 真的只是还行··            
(3星)	 癌症这种桥段我是真的很恶心 剧本很一般又拖沓 一直觉得电视剧控制在8到10集是最好的 但是外景很赏心悦目 两位主演的演技也很棒            
(5星)	 印象深的是海边的探戈。。秩序在家里假想和女主的探戈还有喜珠的探戈。。又笑又哭的电视剧啊            
(4星)	 同一个调调            
(3星)	 看到一半就进行不下去了。。果然韩剧要么得有情节，要么得有美女            
(5星)	 这部电视剧，教会了我很多            
(3星)	 三顺演技最高！前几集很励志,后面的就没意思了            
(NA)	 很不错，调调很和谐，女主人宫的演技真是没得说，男主角真的好萌好帅帅呢~            
(5星)	 很温暖            
(5星)	 看的前半段哭得稀里哗啦来着……虽然是韩剧一贯的绝症风格……不过，女猪的某些经历很容易让人有共鸣……            
(3星)	 剧情老套。男女猪脚咋个看咋个不配。不过李东旭还是很帅！！            
(NA)	 很棒            
(5星)	 不仅仅是偶像剧。            
(4星)	 说实话后面没有前面好看            
(4星)	None
(5星)	 第一次发现，爱情有很多种，最后选择的，无非是历久弥新的那一种。            
(4星)	 这部剧的厉害之处就在于无论你怎么能猜得出剧情、剧情多么典型韩剧路线，你还是能看下去。            
(5星)	 李东旭帅气的脸，金雅善无辜的表情，比金三顺多了几分妩媚            
(3星)	 哭戏太gay            
(3星)	 个人觉得挺一般的一部韩国轻喜爱情剧。不知道为嘛金善雅就一直不算对我胃口。            
(5星)	None
(5星)	 表面的悲剧，真实的励志剧。善雅演技大爆发，编剧相当细腻。非要鸡蛋里挑骨头，就是结尾的冲击不够，还有男一的演技还有提升空间。            
(4星)	 老题材老套路。可还是从第一集就开始哭。是不是一定要得了癌症那天。才懂得为自己而活。假如我遗传我妈的癌症。我是否能遗传她那份勇气去坚持化疗放疗。只是女主真的老得要掉渣了。李东旭却演的那么呆。。没有一点MY GIRL里的气场。            
(4星)	 李东旭，你是韩国最帅的男淫！！！我hold不住了            
(4星)	 让我对生活有了很多想法，梦想，并且有了实现想法，梦想的勇气            
(5星)	 李东旭退伍的第一部剧，故事很感人，看这部戏的时候一直是哭着的状态            
(4星)	 怕虐，最后一集不敢看...            
(2星)	 不觉得男主没表情么 分这么高            
(2星)	 得多无聊才看这老套的韩剧。            
(4星)	 可能爱情就是由不理智开始的吧。女主感觉太成熟了。            
(4星)	 典型性灰姑娘遇王子的情节。。。金善雅能从金三顺变成纸片人也太励志了~此片最优的还是OST！            
(NA)	 哈哈。当年的金三顺啊。。            
(4星)	 原来里面的探戈音乐是来自《闻香识女人》 美！            
(NA)	 哭死我了，擦，韩剧是我的泪腺            
(3星)	 不要等到快死了，才醒悟应该好好珍惜生命，才拼命想要享受生活。遗憾的是，我已经对韩剧的泪点完全免疫了。。。            
(5星)	 看了绝对不让你后悔            
(3星)	 李东旭服完兵役之后气质还是一样的好，金宣儿瘦了比较美，可是太瘦了，让人看得心疼。。。又是不幸的灰姑娘和痴情王子的故事。。。不温不火。。。继城市猎人和最佳爱情之后，男二继续给力。。。            
(3星)	 韩剧传统的生病苦情题材，主角都不算养眼，里面冲绳的一段，探戈的一段很有爱            
(1星)	 我已经过了追韩剧的年龄了。悲惨啊            
(4星)	 还是很喜欢金善雅的~李东旭也不赖~！            
(NA)	 额。剧情吸引的地方是女主完成遗愿。我想生活活在当下要。            
(NA)	 哭得我好惨            
(4星)	 编剧是从《闻香识女人》和《遗愿清单》里获得灵感的吧，除了探戈外，片名和剧情脱节啊，珍惜活着的每一刻吧            
(3星)	 剧情不给力吖~纯粹为了演员而去看~~~~景色而且也不错 哈哈。踩单车的片段算比较可圈可点的了            
(5星)	 感动的一塌糊涂。            
(NA)	 王子和灰姑娘的奇遇。一个患有绝症的灰姑娘，如果不是死亡，我想她可能永远不能去尝试另一种不同的生活。用生命去换取美丽与精彩。            
(5星)	 给人温暖  力量  我们拥有的生命其实是最宝贵的..  PS 卖萌可耻啊   李东旭            
(5星)	 啊啊啊啊 看了一天 终于把它看完了 流了一天的泪啊。。。受不了了 好看好看 好看！            
(4星)	 这么久才来更新···忘记了 今夏最感动的电视剧 没有之一            
(4星)	 冲着男主角去看的 果真不失望啊            
(4星)	 有梦想的生活还是最幸福的……            
