http://movie.douban.com/subject/1754882/	波士顿法律 第一季 Boston Legal (Season 1)
(4星)	 实在是很恶搞的一部电视剧，笑点很另类。Alan很流氓，但内心却是个充满正义感的人，这也是他的魅力所在。Denny Crane,这个名字被他自己无数次地被重复，不想记得都难。最大爱好就是乱泡女人乱打广告和乱开枪射人~不管怎么说两个胖胖好色的老男人还是很可爱的。            
(4星)	 可能是最近被迷住了所以推荐下，好高级的英语阿，虽然里面关系有点混乱但任务也很有魅力阿，看，主角长得不帅我给的评价还这么高~            
(5星)	 AWESOME!            
(5星)	 神作！！            
(5星)	 最喜欢的电视剧之一，人物性格鲜明，案件引人深省，不论律师、法官、委托人和嫌犯都有各自的立场和人生态度。            
(5星)	 我超喜欢Danny            
(NA)	 第一季里Alan太耍宝了。            
(5星)	 NB            
(4星)	 千奇百怪的世界里，我现在的生活只是其中的一种可能性 http://boston-legal.org/episodes.shtml#transcripts              
(5星)	 法庭辩论很精彩，主角行为很无语~大爱:D            
(NA)	 口音            
(4星)	 唇枪舌剑，美国文化，管中窥豹，实为快事。            
(5星)	 不愧9分剧 果然是神作            
(5星)	 好右好甩            
(4星)	 我是有多爱看法庭辩论戏！            
(5星)	 五星没的说            
(3星)	 没有帅哥看不下去            
(5星)	 the beauty of thoughts            
(5星)	 我爱Alan~~            
(5星)	 这个衍生剧比本剧好看哦！            
(3星)	 一季夭折...我的耐心不够用。            
(5星)	 Alan Shore &amp; Denny Crean            
(5星)	 I usually have long closing.            
(5星)	 This is America            
(5星)	 学法律的快去看吧！            
(5星)	 怎么说呢？尽管Alan shore一点也不帅，有点胖胖的，甚至有时有点小WS但是Alan shore啊Alan shore~~~~~&#34;高傲的自省”这是对这部片子对最好的评价。            
(5星)	 很有营养。            
(5星)	 难忘117            
(5星)	 Alan Shore, none taken!            
(4星)	 两个老疯子。。            
(5星)	 我用了很久时间，才学会欣赏这部电视剧。法律界不是戏剧，不是童话，全是活生生的杀戮和欲望。众多厮杀当中，即使外表过于玩世不恭，即使为人过于风流倜傥，即使出招过于不循常规，那又如何？起码还守得住底线，起码，在万家灯火里，有一个阳台，有一只火烈鸟，在等你。            
(5星)	 功力和其深厚啊居然能把律政剧拍成喜剧~            
(NA)	 终于看完了。。。最后一集真是煞风景。。。            
(5星)	 BL, ROCK            
(NA)	 Well, they are so cool.             
(5星)	 第二季进行时            
(5星)	 用真正的独特而奇崛的思维方式挑战法律条文和司法制度。用真正温暖的人心打每一个案件。值得学法律的人好好看。            
(5星)	 就像老朋友了            
(5星)	 好看~            
(5星)	 在看第五季            
(5星)	 Alan太有魅力了，每次庭审都感觉灵魂被升华了。Danny Crane~哈哈！            
(5星)	 no matter wrong or right, at least you will think            
(4星)	 BL~~我來啦~~~            
(5星)	 非常精彩的剧集            
(3星)	 看了一段法庭上的预告片觉得很帅很有逻辑的演讲...看了半季看不下去了，实在受不了美国人的爱情观社会观价值观以及所有莫名其妙的逻辑，美国的现实社会要真那样，真可怕。            
(3星)	 http://www.imdb.com/title/tt0402711/            
(4星)	 http://www.boston-legal.org/            
(5星)	 大爱            
(4星)	 第一次没看下去，决定再拾起来看完第一季            
(NA)	 最近的大爱            
(3星)	 美剧课看的~~            
(5星)	 Alan Shore            
(5星)	 crazy for denny！！！            
(5星)	 不看了。。            
(5星)	 看一集少一集的最后一季            
(5星)	 哇，又被惊喜了一下~我觉得我真的是比较喜欢老一辈呀~            
(5星)	 绝对大拿            
(5星)	 一边严肃一边风骚            
(5星)	 对Alan Shore太有爱了^_^            
(5星)	 最近最迷的一部美剧~Alan Shore超级赞            
(5星)	 我们都爱Alan Shore            
(5星)	 Danny超搞            
(5星)	 I love Boston Legal  I love Alan             
(5星)	 最喜欢的法律剧            
(5星)	 希望永远别完结……结果还是完结了            
(5星)	 我发现我真的很喜欢职场剧 以前无故不喜欢的高薪职业 自从看了剧以后都大爱啊  医生 律师 经理人。。。。男主我就不说了 全片的亮点就他了 坏而所有女人都爱 官司打的漂亮 情场也得意tara 我爱这个女人 比起blonde 我自己觉得这样的女人很有味道 还有英音～～            
(3星)	 虽然没有喜欢谁 但是这片子我喜欢            
(5星)	 Allen Shore大爱            
(5星)	 还有什么话说呢，那就是我最爱的电视剧呀！            
(5星)	 一对活宝 有点意思            
(5星)	 打四星是高分了            
(5星)	 ALAN SHORE!            
(5星)	 少了一些迷茫，多了一份微笑。            
(4星)	 不是特别喜欢，但是适合练听力。            
(5星)	 看过都说好，算是律师剧的顶峰了吧            
(4星)	 盛宴散场，好戏终结，五季对这样的好剧来说，寿命短了点。            
(5星)	 又好笑又好看啊~~！！            
(NA)	 第一季很赞！第二季差远了。。。            
(3星)	 专业原因...            
(NA)	 some, ok            
(5星)	 这两个男人实在是太让人无语了 做人做到这份上            
(NA)	 很棒            
(4星)	 很男人,有智慧            
(4星)	 完结了，永远的完结了。            
(5星)	 暂时不看            
(5星)	 my favourite. 里面有许多法庭辩护精彩经典片段。            
(4星)	 还蛮搞笑的~            
(4星)	 镜头处理和配乐相当cool，节奏很快，内容也毫不逊色。            
(5星)	 理解美国律师的通道            
(5星)	 有时间一定把Alan的closing都背下来！            
(5星)	 no.1            
(4星)	 一老一中两个宝~interesting就 辩论水平有了很大的提高 fu~            
(5星)	 最近才開始看這個電視劇，完全是因爲之前喜歡的現在都停了。以爲它和一般的律政劇一樣，沒想到真的是出乎意料的好看！            
(5星)	 Friend as Allan Shore, what else do u need?            
(5星)	 Denny Crane...Alan Shore~~~~            
(5星)	 不按常理出牌的人获得成功的比例有多大呢？            
(4星)	 共五季            
(5星)	 表现Daivd E。Kelly心中对友谊的理想和对现实中政治面貌思考的一部作品。            
(5星)	 太酷了！            
(4星)	 这是史上最丑男主角的美剧，貌似出现在这剧的男人都点点点，从第四季开始看，嗯，还是很好看的。            
(2星)	 太下流了。。。            
(4星)	 还是第一部最赞            
(3星)	 比较另类的律师剧            
(5星)	 Alan shore is so amazing~            
(5星)	 我的最爱. Denny Crance!            
(5星)	 my favorite！！！            
(5星)	 James Spader!!            
(5星)	 第一部真正完全看完的美剧，超棒，值得回顾。台词强大~            
(5星)	 brilliant            
(5星)	 Quite like this TV series. Can understand more about US cultures and have fun.            
(5星)	 目前最好的律师剧            
(5星)	 感觉不错            
(3星)	 口才不错。第一季最后的死刑行刑吓到我了，遂不准备往下看。            
(NA)	 律师本来只重胜负，没有是非。但是这里竟然有点点的叹息。            
(5星)	 我的美剧生涯开始于《越狱》迷失于《LOST》重生于《波士顿法律》            
(3星)	 s01            
(4星)	 很欣赏alen说话时微翘的骄傲的下巴，鄙睨的眼神            
(5星)	 时常让人深思的balcony time            
(5星)	 聪明人的游戏, or自恋狂们的游戏？每次的closing都值得深思。            
(5星)	 ABC的美剧水准都不错哦！！            
(NA)	 超好看            
(5星)	 Sharper than Shark            
(NA)	 Alan！！！！            
(5星)	 Great One!            
(5星)	 BL~~几时才有第5季?08.11.5            
(5星)	 爱死BL            
(4星)	 tomorrow,tomorrow,I love you,you&#39;re always a day away            
(5星)	 有些理想化。            
(5星)	 有个性的牛人耀武扬威这种事看着总是很过瘾            
(4星)	 哈哈 了解美国的矛盾 看BL吧~            
(4星)	 轻松、幽默、机智。            
(5星)	 forever mad-cow            
(5星)	 James Spader did a great job here, his smart argument, and his goofy look it is just exciting plus a lot of hot lawyers in the show, hot female lawyer like Julie Bowen and Candice. Danny Crane is funny one old man!            
(NA)	 两个活宝，印象最深的，是那对火烈鸟。            
(3星)	 James spader rules!            
(4星)	 非常不错的一部美剧,只是里面Alan Shore的女同事都长得差了一点,特别是Sally, 长得太对不起观众了,可那么多人都认为她attractive. 非常昏            
(5星)	 Season1&amp;2&amp;3&amp;4 Finished            
(5星)	 learn to &#34;thinking like a lawyer&#34;            
(5星)	 Big show,even for Denny Crane            
(5星)	 這個電視劇怎麼能這麼好看!!  那些结案词，真想背下来 9.23Alan，Denny，你们为什么不干脆结婚算了。10.4让我如此情绪化的电视剧。。。就是你了。 10.10终于有个新的姑娘来啦~喜欢她 Claire Simms  10.12            
(5星)	 最好看的法律剧 不唱高调 不洒狗血 打动人的那一点真情            
(5星)	 u can learn something from.            
(4星)	 Danny Cran 不懂？看了就懂了            
(4星)	 大爱Alan Shore~            
(5星)	 没法多说，常年硬盘里不删的美剧，如果只能推荐一部，那就是他了…            
(5星)	 沒想到。。我看的第一部美劇題材竟然就是我現在學的專業。。唉。。            
(5星)	 精彩+深度            
(5星)	 BL这种剧看到第三集才有笑点的，果然是需要耐心，但着实好。不难理解为嘛几年前我看了两集就看不下去了~            
(5星)	 后悔到现在才看            
(4星)	 有人觉得Lori那姑娘比Tara好看伐？            
(3星)	 只看过一集，除了那个黑人小孩比较出彩之外，其他真的很无聊            
(5星)	 Alan 大叔魅力无人可挡啊。            
(5星)	 大爱。            
(4星)	 看到后来有点审美疲劳了啊喂……            
(5星)	 原来 民主可以是这样的。            
(5星)	 这个一定要顶，建议某些字幕组帮大家精心整理一版，供大家收藏。            
(5星)	 人间极品。二人转。            
(4星)	 启蒙。            
(5星)	 ALAN的口才啊…            
(4星)	 不帅又发福的男人也可以很性感，有腔调的男人很有杀伤力， Alan Shore             
(5星)	 这部剧为我们这些法盲普及了欧美法系中主要是民法的思路。不禁佩服这个法律系统的设计的艺术性，然而同时会为一些伦理问题的争论而深思。看这部剧时，我总是禁不住笑出来，但它不仅仅是好笑而已。            
(5星)	 so cute            
(5星)	 神剧！！            
(4星)	 可惜下载不到            
(4星)	 最后一季太反华了 没意思 其他的挺好            
(5星)	 老如Denny 少如Alan             
(3星)	 看了开头2集 法律与道德、人性的冲突 可以一看            
(4星)	None
(5星)	 和Friends并为我最喜欢的两部剧。全5季，中间几季是最精彩的，尤其是第二季如果我没记错的话。            
(NA)	 非常好，尤其是前三季。但是对第三世界国家非常偏见            
(5星)	 最爱这部，哈哈~            
(5星)	 love it            
(4星)	 律师也疯狂            
(4星)	 信息密度好大的            
(5星)	 Alan就是散发着温拿的气质            
(5星)	 经典律师剧            
(4星)	 一部让我震撼的美剧，法庭上的演说实在是太精彩了，尤其是Alan在这一季最后一集中的表演相信能让我终身难忘。总而言之，这是一部不可多得的好剧，而且无论是对专业提升还是英语能力的培养都是极有帮助的。            
(4星)	 alan shore 的口才，O(∩_∩)O~            
(5星)	 alan熊熊的每个女生都会爱吧            
(5星)	 原来 民主可以是这样的。            
(5星)	 前三季超棒，之后对Denny反感过一阵，Alan一直很棒，对最后一季无爱            
(5星)	 Say it again?Denny Crane!            
(4星)	 足够二，才是律师本色？            
(5星)	 Allen Shore太贱了 哈哈哈            
(NA)	 这个必须狂赞一番！看了4遍还意犹未尽            
(5星)	 看过的最好的电视剧。            
(5星)	 一开始只以为这是最好的律政剧，结果发现这是最好的剧，没有之一。            
(4星)	 出彩的律师剧 一般的律政剧            
(5星)	 我爱律师            
(NA)	 大爱ALAN            
(5星)	 搞笑又引人深思呐            
(5星)	 最喜欢的美剧    五星推荐！！            
(3星)	 比较失望，没有看到多少法律的内容            
(5星)	 最喜欢的律师剧。            
(5星)	 Alan shore!            
(NA)	 曾因为ex看的            
(NA)	 大爱alan            
(4星)	 最爱tara            
(5星)	 看点很多 友情利益良心 美国法律体制初窥            
(5星)	 看看美国人民都为些什么事儿打官司就明白封建社会和资本主义社会的区别了。嗯？你说社会主义社会？U KIDDING？            
(5星)	 经典            
(5星)	 无可挑剔，唯一美中不足，偏重于男性题材，女性在剧中，常常作为满足男观众的性趣的角色而存在。当然，里面塑造出的女性角色，其实很多都相当出色！            
(5星)	 好            
(5星)	 各种传奇啊，各种经典啊            
(5星)	 五季全收，最喜欢的美剧没有之一。神阵容，神编剧。美帝想要文化入侵的话，这起码能入洗脑神器Top5。            
(5星)	 我深刻的爱上了男主T T            
(4星)	 看着James发福的体态，仍然觉得他有魅力。岁月是把杀猪刀啊            
(NA)	 稀饭啊。。。可惜网上不全纳&gt;&lt;            
(5星)	 强过TVB的律师片，TVB的律师都跑去做侦探了~            
(5星)	 Alan Shore长久地占据着我最爱男人名单的第一位。            
(NA)	 确实是一部好片子啊，从夏天看到冬天，我终于看到第五部，每一部都不失为经典，尤其是第一部，那种新鲜感，那种欢乐，好看！            
(5星)	 法律辩论,人性,关怀和耍帅.   超精彩.            
(5星)	 denny crane~            
(5星)	 前面几集不咋地，越往后越精彩，每个案子都很有看头。shore的辩论是全剧的亮点。            
(5星)	 oh！my pretty Alan！            
(5星)	 没有不喜欢的理由            
(5星)	 某种角度讲，也是很虐很重口味的剧情，很不错，美女不少，情节很值得看，刺激哦~            
(5星)	 AW必看= =            
(5星)	 还不错~            
(5星)	 最佳美剧！            
(5星)	 律政剧碉堡            
(5星)	 看了三年吧。每一季每一集都看过且不止一遍。相当可以推荐下            
(5星)	 最牛的律师剧            
(5星)	 没的说 有必要下全了重新追一遍            
(5星)	 开场几分钟最能紧紧抓人，这种剧可不多            
(5星)	 胖、矮、下作……居然能如此之sexy            
(5星)	 什么叫舌灿莲花啊~ 还有那两个貌似shameless的谁谁谁~ 欲罢不能~最巧合的莫过于这个剧的简称居然是BL，虽然和剧情没什么关系，但你懂的！            
(5星)	 我很喜欢且认为很好看的一部剧，但大家都不看。。。            
(5星)	 永远的alan            
(4星)	 我已经不想说什么啦！光从标题就是B！L！大叔的颜不行，挡不住他的气质席卷我叔控的内心！Alan Shore啊！爱死那个坐在法庭辩论席上西服外套扣子解开，一站起来辩论必定扣好的小动作，我擦，销魂……            
(4星)	 很好看的律政类节目 有点反思 喜欢Shirley  女人就该这样 越老越经典            
(5星)	 一个美女与疯子并存的律师房            
(5星)	 主角配角都很出彩的剧，无愧最佳法律剧            
(NA)	 超爱ALLAN.....            
(NA)	 04年就出来啦            
(4星)	 Alan 你个贱人，我爱Lori......严重推荐第10和11集，无论是其中的价值观还是法庭辩论，都让人醍醐灌顶哪.....            
(NA)	 赞！            
(5星)	 笑到不能自己            
(3星)	 扣分在于我无意看这么多感情纠葛，其它很棒            
(5星)	 和Young一起的快乐时光，啊啊啊，我的闺蜜！！            
(NA)	 Alan Shore帅死了            
(5星)	 唇枪舌战后看两个淫贱男人分享阳台物语。此举过后所有国产律政剧都成炮灰，            
(4星)	 不错不错 好看            
(5星)	 男主角长得像王自健            
(5星)	 = =是我打开的方式不对么。。            
(NA)	 看Alan和Denny卖萌            
(4星)	 Denny Crane!!!!!            
(NA)	 开始抗拒，不爱ALEN那样的花心，后来觉得他活的很真实            
(4星)	 没有高潮感觉怪怪的~不知怎的就结束了            
(4星)	 很棒！很拽！Denny crane.            
(NA)	 我的菜            
(3星)	 律师们语速超快，看得我觉得自己智商低下            
(5星)	 现在在哪还能看到啊            
(5星)	 虽然一开始里面没一个喜欢的，看到他们去澳大利亚钓鱼的时候，觉得alan还是蛮好的一个人~本剧有助于提高表达能力、逻辑以及攻击性~~~            
(5星)	 最爱Alan和Denny，两个混蛋老男人            
(5星)	 这是一部需要grow on you的电视剧~CSI之后又一部我称为伟大的美剧~            
(5星)	 非常好的美剧，幽默又发人深省            
(5星)	 有助了解美国律师职业            
(5星)	 非常好看，强推！            
(5星)	 我喜欢的样子你都有            
(4星)	 每次我都会很赞赏地说Alan Shore真贱！            
(5星)	 精彩又搞笑，真的。            
(5星)	 最好的律政剧！            
(5星)	 AL和Denny都好萌！！！！其实我还满喜欢Tara的~这季的CASE不错            
(4星)	 九点多⋯⋯这个么高            
(4星)	 律师就是一种可以把黑的说成白的，把有罪辩成无罪的职业。            
(NA)	 学法律的朋友推荐的，里面的交叉询问和总结陈辞都很棒！            
(5星)	 喜欢其中一些案例的closing，quite convincing            
(4星)	 前四季还是很不错的            
(NA)	 华彩的法庭辩论和两个活宝            
(NA)	 s01            
(5星)	 传播老师推荐的，后悔没报政法院校啊law            
(5星)	 &gt;&lt;love Alan            
(5星)	 大爱            
(5星)	 16 17两段辩护陈词嗲了，Alan，GB~Denny和Alan的烧包组合妙            
(5星)	 闻名已久的剧，现在才收拾心情看，发现自己越来越喜欢看这类法庭戏了            
(5星)	 正义底气不足，那就等待着被说服。ps. 杀了两个人的小个子男人有种奇妙的喜感…Lori有点像豪斯最初的那只女鸭子。            
(5星)	 Alan真是让人又爱又恨~            
(5星)	 自由！            
(5星)	 BL！            
(NA)	 hey，不错，是轻松的，和室友一遍在寝室吃饭一边看的。            
(5星)	 为什么没有十颗星！！！            
(5星)	 五星打给第一季，真是完美收官！不管是剧情还是演员。第二季看了开头有些泄气，不知道能不能看下去...老deny大概在第一季表现太好，所以戏份增加，搞的有些油头~            
(5星)	 我简直生活在万恶的旧社会            
(2星)	 只看过一集，觉得有种律政生产线出来的产品，说他差吧，也没这么离谱，中规中矩的，也导致完全没什么兴趣。            
(4星)	 是挺好看的，但是看不明白说他多么多么好好在什么地方，嗯，是我的问题。还有，豆瓣出什么问题了？为毛五星占绝大多数分数是个4.9？只有这个是五分制的么？            
(5星)	 前五季是在2年前看完的，最近连续看了【Suits】【the good wife】让我分外怀念那两个又老又胖的男人，于是重温四季，那熟悉的音乐，熟悉的黄色笑话，熟悉的每个案件的closing，熟悉的2人的阳台谈话。每个案件的逻辑都值得我们一学再学，而它依然是所有法律剧的经典，无人超越。            
(5星)	 对胃！！            
(5星)	 danny crane            
(4星)	 最早期的律师剧，曾经的最爱！偶尔也会翻来看·            
(4星)	 It&#39;s just nice.            
(NA)	 Alan好贱，Denny 总是霸气侧漏            
(5星)	 看美剧好几年了，目前为止最喜欢的美剧！能把喜剧和法律题材结合的这么好，剧情如此吸引人的美剧屈指可数。精彩的辩词，不输情景喜剧的幽默对白，覆盖美国价值观方方面面的案例，既有广度而且也有深度。难得一见的好剧！！            
(4星)	 站在非正义的立场打官司             
(5星)	 最好的律政剧 DA forever ~~~            
(5星)	 喜欢他们之间的友谊            
(5星)	 超好看的法律剧~ALAN的CLOSING每次都很长，每次都很经典（DENNY我知道你每次说自己听到睡着是装的~~）            
(5星)	 台本好就不用再赞了，两个大男人的基情看到最后一集时让我真心感动            
(3星)	 太多难以接受的幽默……            
(5星)	 TGW看剧情，Suits卖腐点，BL才是律政剧的王者。            
(4星)	 cute            
(5星)	 实际上这两个alan都超有爱的             
(5星)	 最最最棒的律政剧            
(5星)	 最爱的美剧！            
(NA)	 深刻，而又搞笑            
(5星)	 律政神剧啊~~~            
(5星)	 暂不论对错，先尝试从不同的角度看问题。            
(4星)	 看的时候总觉得老头好熟悉，原来他是亲爱的kirk舰长，就当弥补一下ST中他毫无预兆牺牲的遗憾。天啊我是真的爱ST。            
(5星)	 love Alan Shore and Denny Crane,一个是风流又专情，一个是疯癫又正经。            
(5星)	 美剧晚入门了几年，差点错过~            
(5星)	 Alan Shore和Denny Crane，好好玩的一对活宝。结局篇看到我颤抖。            
(5星)	 Gorgeous~逻辑和演讲滴范啊~            
(5星)	 經典法庭劇，我的愛。喜歡每集引人思考的結案陳詞。和the good wife兼顧取證過程不同，這個劇集更注重法庭上的辯論。            
(4星)	 老婆看剧变心贼快啊            
(5星)	 怎么可能不爱他们两~！            
(5星)	 推荐喜欢看美剧的朋友一定要看，表演出色。另外需要提案训练的也可以看看此片            
(5星)	 面对无法改变的死刑处决，Alan还是无可避免地成为英雄，失意的英雄---所有英雄都是这个结局。            
(4星)	 为什么波士顿法律的简写是BL，who can tell me why,然我怎能腐想联翩            
(5星)	 网上说听ALan的closing可以让人听到高潮···此言不虚            
(5星)	 看完就迷上了矮子alan            
(4星)	 Alan Shore!            
(4星)	 从第四集开始入戏            
(4星)	 Alan不要跟MDS那老头子了，快去投入运动员的回报。这季没投减一星。/运动员不要不服气嘛，你姘头比你厉害多了，让他在外拼搏多好。            
(3星)	 看了第一季。第二季看了一点。实在受不了两个男主角于是果断弃剧了。            
(4星)	 超爱Lori            
(NA)	 the best legal drama...till i met &#39;silk&#39;            
(5星)	 只有对法和人充满同等的热情和思考才可以演绎如此的经典。            
(5星)	None
(5星)	 Alan真是让人大爱啊            
(5星)	 通过一个个的诉讼辩护，详细展示了美国三权之一司法分支的运作方式，及人们如何利用法律来维护个人权利不受侵犯；每一场审判，都是原被告律师、检辩方律师间的一次精彩论战。5*力荐。            
(3星)	 看不下去。            
(4星)	 中年油头粉面的James spider真让人不太习惯。            
(5星)	 Alan you are such a *****            
(5星)	 the best i&#39;ve ever seen            
(4星)	 学英语不错，语速很慢很清晰又很有文采            
(5星)	 you can&#39;t miss it            
(5星)	 denny denny crane～            
(5星)	 永远 永远            
(5星)	 最近很爱这个。甚至有所影响。。            
(5星)	 永远的阳台夜会            
(5星)	 系统而诙谐地阐述了美国的法律体制，n届艾美最佳男主，1届艾美最佳男配，法律剧的标本。            
(5星)	 当我开始看第二季的时候，我发现第二季第一集的字幕时间轴出现了问题，这对一个英语不好的人有很大的压力            
(5星)	 此生看过的最精彩美剧。            
(5星)	 反复看 反复看  。。。            
(5星)	 谁能不爱denny crane。 谁能不爱denny crane爱的那个黑寡妇。            
(3星)	 不明白怎么伟大的？？？？感觉老土极了。。。            
(5星)	 虽然不是学英语的好材料，但是内容引人深思，说出了很多人不敢说的话。虽然最后对中国人的形象有丑化的倾向，但是我们确实应该为自己的不够果敢和光明正大而感到羞愧，不是么？！            
(5星)	 相当好看的法律剧！！！！            
(5星)	 还是心水Will那种半坏不坏的            
(5星)	 优秀            
(5星)	 Danny Crane Danny Crane   哈哈哈哈            
(5星)	 best of all.            
(5星)	 值得一看            
(3星)	 Today ，today，not tomorrow，today~！            
(4星)	None
(5星)	 比起香港拍的律政剧，我只能说不是一个level            
(5星)	 因为drop dead diva喜欢上律政剧，然后就找到Boston Legal。很高兴在美剧荒的夏季有一部五季的律政剧可以从头看起。剧名的缩写是BL，每次看见都会想到BOY LOVE，而且剧中主人公的确够腐，哈哈～nice play～            
(5星)	 每次在豆瓣打分的时候都在想  要是打分系统是十分制而不是五分制多好            
(NA)	 17集            
(4星)	 俩装逼犯            
(5星)	 太有水准了！律师就应该这样当的            
(5星)	 I am danny crane            
(5星)	 大爱啊！各个角色的个人魅力无与伦比！女配角们也是性感到爆！            
(5星)	 好吧，以前的剧都是浮云，以后的剧恐怕也得是浮云了。爱到偏执。            
(5星)	 逻辑！逻辑！            
(4星)	 哎。好真实。看进去才发现真的不错。            
(5星)	 牛逼哄哄的无敌金牌律师···            
(5星)	 如豆友所言 少当如alan  老当如denny            
(5星)	 真正的美剧，最美剧的美剧            
(4星)	 好幽默。除了几集之后美女不见了。。            
(5星)	 Denny Crane..还需要多说点？恩。。。Denny Crane！            
(5星)	 俩男人都这么精彩            
(4星)	 虽然最后把中国人拍的很坏///            
(5星)	 想当律师么？先看这部剧吧            
(5星)	 很优秀的电视剧，深入浅出            
(4星)	 和医生一样，律师这个行业在美国是金字塔顶端一小撮优秀人群的舞台。这两个同时充满了理想主义色彩和现实意义的职业总是有各种说不尽、道不完的对社会、对生命、对人性等等的反思与辩驳。这部剧的聪明之处在于反映深刻的同时，又用风趣幽默、极具个性的主角化解了那些太过浓重的悲伤与无奈。            
(NA)	 不是我喜欢的风格，作为律政剧来说~~看了两集弃之~~            
(5星)	 对白太出彩了@！            
(4星)	 表示被Boston Legal S1E01惊艳到了            
(5星)	 少如Alan,老如Denny! James Spader这个不帅又挺着个肚腩的男人肿么能那么耀眼！            
(3星)	 已看第1季。            
(5星)	 closing...            
(5星)	 貌似到第二季就弃了……            
(5星)	 忘年交！            
(3星)	 主角基本无爱，偏偏剧情还大多放在了塑造人物性格及相互关系上，案件涉及太简单太理想化，经常赢的让人匪夷所思，以至于看完之后我都误以为美国判案太主观了囧。            
(5星)	 顶级时政片！            
(5星)	 我还是喜欢denny crane             
(5星)	 很想看这个啊 找不到片源啊。。啊。。。终于找到了，语速还能再快点嘛？！呵呵             
(2星)	 弃。。剧情平淡，也没有抓人眼球的主角。。主要是因为看完The Good Wife和Silk再回过头来看这个剧真是不行。。或许它在2004年是出彩的吧。。            
(5星)	 每个人都好可爱！            
(5星)	 一年多的时间因为当时对alan的羡慕嫉妒恨，慢慢去练就那双能洞察世事的眼睛            
(NA)	 Denny Crane! 基情四溢!            
(5星)	 律政佳作，神神颠颠的人气王            
(3星)	 用来学英语是不错的材料，亦可强化逻辑思维能力，但剧情经不起细细推敲，恶搞亦十分无趣。            
(4星)	 Alan Shore很性感            
(5星)	 越看越有味道 每个案子都很精彩            
(4星)	 Alan Shore ，男人的标杆之一；另外之一当然是Denny Crane 。            
(5星)	 为数不多从头看到尾的~我觉得我还是适合每集一个小故事这种的美剧~            
(5星)	 前几集很枯燥，我庆幸坚持下来了...            
(4星)	 两人每天坐在阳台上抽雪茄的桥段很吸引人            
(4星)	 A.S 和D.C 都好可爱啊！！！            
(5星)	 明年未必胜今夕。缺少的，只是我的耐心。            
(3星)	 很幽默 alan很有人格魅力             
(4星)	 真是有个性的律师！            
(4星)	 法律剧神马的都还不错            
(5星)	 好sexy的老男人和中年男人... 特立独行的两个宝器让人看了很开心。            
(4星)	 Alan的closing argument还有他和danny的露台时光，多经典啊。            
(5星)	 a..so cool            
(5星)	 第二遍了，还是很好看            
(4星)	 想提高英语的亲们，看吧。想找乐子的，请绕行。            
(5星)	 很经典的职业剧~常被结案词感染            
(5星)	 经典！            
(5星)	 denny crane            
(3星)	 一般般吧，是越看越容易厌倦的片子。我一共看了三季，并且不打算再看下去了。            
(5星)	 帅！！            
(5星)	 S1看到一半多的时候突然有种美国爱国主义教育洗脑片的感觉。总觉得最近对于这个国家的态度突然缓和了起来，也许是突然觉得不少宏大字眼诸如人权、民主、自由之流确实一直都是common concern，无论背后有些什么，至少有不少人是切实地相信并为之努力的。            
(5星)	 从律所看美国社会，处处都是很用心、很真实的gag～～不可多得的要用脑子看的美剧。            
(5星)	 很震撼 很GRE            
(5星)	 awsome            
(4星)	 大爱Alan Shore            
(4星)	 哦，alan!            
(5星)	 超爱的            
(5星)	 对不起deeply，超过Friends了。。。            
(3星)	 一般            
(5星)	 DENNY CRANE  ALAN SHORE 不朽            
(4星)	 ALAN SHORE在滔滔不绝时魅力值最大            
(5星)	 最爱每集最后的closing            
(5星)	 Alan真是太有魅力了，有些剧情挺荒诞的，但让我们看到美国是如此的自由。            
(4星)	 这个都腐了。。            
(3星)	 疯子集中营            
(4星)	 DENNY ALAN LORI.有有意思的人物有趣的故事            
(5星)	 我看的第一部美剧，经典啊            
(5星)	 Denny + Alan = 超级给力，呵呵~            
(5星)	 不仅是每个男人，每个人都最好看一看            
(5星)	 看了这么多案例，觉得任何一个在国内能立案吗？            
(NA)	 看了7集            
(5星)	 最后一集，令人揪心。            
(5星)	 超爱看他们耍嘴皮子。一个个都给力得不行不行的哟。            
(5星)	 Denny我爱你~~~~~~            
(5星)	 当年一口气看了三季，心中律师剧排名top 1             
(5星)	 神作不解释            
(5星)	 史上最萌大叔，还是两个。            
(5星)	None
(5星)	 好臭屁的两个男人            
(5星)	 ❤ 倾情推荐！            
(5星)	 被11集那句Because we are American. 震住了            
(4星)	 哈哈  就是有时候有点huang            
(NA)	 (⊙o⊙)…  我喜欢这部剧，但是我讨厌喜欢这部剧的人，当然除了我自己！            
(5星)	 为两人人结婚的结局而爆笑 哈哈            
(5星)	 I love Alan Shore!!!!!            
(5星)	 我第二喜欢的美剧。终结了，还是有点伤感。而且最后几集还是以嘲笑中国崛起、鼓吹中国威胁为结束，更有点伤感。但是毫不阻碍我喜欢它，一部大男子主义的美剧，一部有智慧的美剧。对了，这部美剧还告诉了我，医生是律师的好朋友。            
(5星)	 相当，相当精彩            
(5星)	 淘宝买的碟，第一季少了10集，郁闷。            
(NA)	 慢慢喜欢上了长得不太符合我审美观的Alan——你个颜控！！！            
(5星)	 搞笑 + 发人深省太难得了            
(5星)	 大爱Alan Shore...            
(NA)	 原来工作可以如此精彩的             
(NA)	 非常赞的美剧，尤其是每集Alan Shore的closing            
