http://movie.douban.com/subject/2214123/	青青河边草 青青河邊草
(NA)	 小草草            
(3星)	 小学，小学嘛！还有那些旧磁带们……小雨点。。鞠萍姐姐讲故事。。温暖的大床，身边的妈妈～和八点钟洗过头发看也不看就睡着了的我~~~~~            
(3星)	 老片             
(4星)	 当时我是多么喜欢何世伟            
(4星)	 小时候的记忆            
(4星)	 依旧是咆哮教主。            
(NA)	 马景涛！！！！！！！！            
(3星)	 其实已经记不清讲的啥了= =            
(3星)	 剧情神马的果然忘记了            
(4星)	 经典！            
(4星)	 小时候超级喜欢的            
(4星)	 我永远记得主题曲。。            
(3星)	 金铭 长大残了            
(4星)	 我妈曾经想给我取名叫沈小草。。。            
(3星)	 剧情早已记不太清只知道那是大姨小姨都还深受琼瑶剧荼毒的年代            
(4星)	 撞到小草的全过程我一直没敢看。            
(3星)	 总是看不到结尾的剧            
(NA)	 何晴            
(3星)	 言情啊 那时候我还小            
(4星)	 呃~~歌听的太多了            
(4星)	 那年代谁不记得那棵小草？            
(4星)	 啊~~！马大叔摇着她深情叫说，青青 青青！！            
(NA)	 回忆。            
(NA)	 呃，我果然喜欢小白脸，徐乃麟，眼神很飘荡的说            
(4星)	 主题歌小时候挺喜欢哼            
(4星)	 青青河边草，悠悠天不老。当年的大家都很年少嘛。            
(3星)	 童年啊            
(3星)	 小金铭太太可爱了            
(4星)	 小时候超爱看            
(2星)	 俺的亲娘呀，这剧到底讲的是什么呀？            
(3星)	 马景涛~~            
(3星)	 青青河边草~内牛满面            
(5星)	 妈呀，这个。。多少眼泪。            
(3星)	 咆哮马..            
(NA)	 马教主！！！！！！！            
(3星)	 剧情早就记不清了，但是歌曲还经常萦绕在耳边，而且想起来都有点淡淡的伤感。            
(5星)	 小时候的经典啊            
(3星)	 何晴蛮嗲额..            
(NA)	 看完都忘了            
(NA)	 记不清了            
(4星)	 小草，已然变成了大草            
(3星)	 这是我娘年轻时候看的，我在一旁跟着看T T...            
(4星)	 小学时候看的完全不记得讲啥了= =            
(4星)	 只记得那首主题歌了            
(5星)	 小时候看的~~记不清了            
(2星)	 青青河边草，悠悠天不老~主题曲朗朗上口，小金铭清秀可人            
(3星)	 慢剧情            
(3星)	 小女孩是亮点，没别的了            
(NA)	 其实我毫无印象~            
(5星)	 青青河边草，永远也不老，野火烧不尽吖，春风吹又生~            
(4星)	 那个时候还是很喜欢教主这个调调的            
(3星)	 久远得只记得那首歌了。            
(3星)	 我喜欢那歌 岳翎好不容易活泼点了            
(4星)	 歌好听。还有金铭表演。            
(4星)	 当年真的好喜欢啊！            
(4星)	 小婉君和马锦涛和琼瑶。。回忆中的故事。。            
(5星)	 在那个年代是 不错的···现在还是不要重温的好···            
(3星)	 咆哮教主。            
(4星)	 虐= =            
(NA)	 歌很好听啊！            
(4星)	 金铭啊金铭。            
(4星)	 小雨点…            
(2星)	 没有太多印象了。            
(3星)	 记不得剧情了，记得那份感觉：）            
(3星)	 咆哮够了伐，哭够了伐。            
(3星)	 完全不记得了……            
(4星)	 小金铭( ⊙ o ⊙ )啊！            
(4星)	 小时候的小草。。。现在都长残了。。。            
(2星)	 怎个狗血了得。            
(3星)	 果然是琼瑶剧。贼能煽情。            
(3星)	 金铭小时候的巅峰。。。            
(NA)	 卧槽。。。            
(4星)	 小时候很喜欢            
(3星)	 金铭            
(3星)	 。。。。。            
(4星)	 咆哮马景涛            
(3星)	 彻底忘了 只记得看过            
(3星)	 似乎总是那么催人泪下但是不是很好看的剧。那时看比较清新吧。就记得马景涛整天吼吼吼。小金铭的小白鼠很惹人怜爱            
(4星)	 小小时候~~~好熟悉的歌呐~            
(3星)	 风在吼，马在啸，景涛在咆哮            
(3星)	 里面那个小男孩好正太啊            
(NA)	 儿时的记忆            
(4星)	 小草，好可爱            
(4星)	 久远的记忆            
(3星)	 久远的回忆只记得里面的女主角被指责 偷人            
(3星)	 教主～～～            
(4星)	 没有花香，没有树高，我是一颗lalalala的小~草            
(3星)	 闹剧一初            
(3星)	 主题曲还记着呢....当时很迷恋金铭，长大后的金铭丑的不能看了。            
(NA)	 感人            
(3星)	 还是只记得金铭和主题曲            
(5星)	 忘完了……            
(NA)	 小草            
(3星)	 领教了咆哮马的无边威力~~~            
(3星)	 青青河边草，悠悠人不老。            
(4星)	 “青青河边草，永远不会老……”            
(NA)	 说实话很不爱看琼瑶剧，可那时就在眼前晃            
(4星)	 那年头 怎么说呢……咆哮下            
(3星)	 小时候看过            
(4星)	 好久远            
(3星)	 zzz            
(5星)	 我的童年。。。金铭            
(3星)	 那个时候的感情有点想不通，马景涛有点演过了吧            
(3星)	 太久远了            
(4星)	 从小就跟着妈妈受琼瑶奶奶的毒害            
(3星)	 青青河边草，悠悠天不老。不知道为什么那会儿对于虐心的片子，大家都有那么大的兴趣。            
(3星)	 只记得主题歌了            
(3星)	 歌很好听            
(4星)	 可爱的小草            
(NA)	 童年回忆。            
(2星)	 煽情啊。            
(4星)	 有点受不了马景涛的撕心裂肺            
(4星)	 小时候还是很愿意看咆哮马演的电视剧的。。            
(2星)	 琼瑶经典            
(NA)	 我媽老愛看的了            
(2星)	 我只记住 歌词 青青河边草...            
(3星)	 从小没感觉            
(4星)	 嗯，金铭的。小时候最喜欢看她演的戏了            
(4星)	 很。。。古老。。。了。。。小时候很喜欢看~            
(4星)	 童年回忆            
(3星)	 那时觉得青青很好看，马景涛也没现在这么讨厌。叶静当年也还小，却是一副帅帅的样子            
(NA)	 我记忆里的歌词永远是这样的: &#34;青青河边草, 幽幽天不老, 野火烧不尽嗯嗯, 春风吹又少.............&#34;            
(3星)	 雷马景涛            
(4星)	 啊哈哈。            
(1星)	 我小时候就这么傻逼？            
(4星)	 啊哈哈。            
(4星)	 陪我长大            
(4星)	 青青河边草，悠悠天不老---，主题歌伴我回到当年的琼瑶剧黄金年代            
(4星)	 唉，都不记得内容了，只记得主题曲...            
(4星)	 小草~~这部蛮经典的，大家都蛮喜欢看的！很火的，我家还有这个录音磁带类~哈哈！            
(NA)	 ……            
(3星)	 青青河邊草，悠悠天不老。            
(5星)	 金铭！            
(4星)	 小学的时候每天追看的，哈哈            
(4星)	 哭的稀里哗啦的            
(4星)	 小时候很喜欢            
(4星)	 可爱的小金铭            
(NA)	 记忆中的苦情剧 - -            
(3星)	 那时候，马景涛还没练成绝世武功狮子吼。            
(3星)	 那时候的金铭很可爱。            
(3星)	 金铭那时多灵啊            
(NA)	 x小时候的回忆。到现在还记得 &#34;青青的河边草~“            
(3星)	 被面具男黑到过的= =            
(3星)	 琼瑶大妈的戏，俺娘一部不落，俺只有跟着看... 也因此认识了马蜂哥。。            
(3星)	 青青河边草 悠悠天不老。。。            
(5星)	 因为有金铭的缘故给五颗星            
(3星)	 无轮你否认什么 你不能否认马景涛的外形            
(3星)	 小时候是冲着金铭看的            
(4星)	 哈哈            
(NA)	 马景涛太能吼了            
(4星)	 当年的经典。            
(NA)	 好            
(NA)	 儿时看电视的乐趣之一，那个故事情节怎么那么曲折呢            
(4星)	 好像挺好看的。。。小时候很流行琼瑶啊。。            
(5星)	 不知道为什么会喜欢。            
(4星)	 看过的很早的琼瑶戏了            
(3星)	 马哥 瑶阿姨            
(3星)	 景涛在咆哮。            
(NA)	 依稀记得看过……但是一点都不记得了-,-            
(3星)	 小草太可爱!            
(4星)	 歌很好听啊            
(4星)	 一说起小时候绝对要提到这个片子！            
(4星)	 小时候很喜欢的一部剧集            
(4星)	 记得看这部剧的时候还是P点大的小孩，只觉得小草很可怜，但又有很多人爱她~            
(4星)	 经典台剧之一~~            
(4星)	 小时候这部电视剧看得很揪心...            
(4星)	 爱上金铭~            
(3星)	 咱小时候也是琼瑶粉丝啊...            
(3星)	 童年啊童年            
(NA)	 当年看过，而且一直被说长得像里面的金铭呢，嘿嘿            
(3星)	 马景涛太恐怖了            
(4星)	 童年的记忆            
(5星)	 小草啊小草            
(3星)	 琼瑶剧的老中青三代            
(NA)	 曾经琼瑶过。。。            
(3星)	 相对来说我只有看过的印象……看了多少不记得了囧RZ            
(4星)	 看这片子流了不少眼泪，小草和海爷爷他们都好可怜。不过马景涛演的何世纬很竭斯底里~            
(5星)	 童年回忆~~~好像八十年代初出生的我们都是看着琼瑶阿姨的作品长大的一样，但家里还是会大骂小孩看阿姨的书是早熟的不良行为：{            
(NA)	 当时还很傻很天真~但从小就不怎么喜欢琼瑶的剧~= =~            
(4星)	 小时候常看的电视，妈妈外婆都很喜欢，那个时候很喜欢小草，很希望自己也能像她那么活泼可爱，讨人喜欢。            
(3星)	 喜欢小草和何晴　还有歌            
(3星)	 这是当年的感觉哈！            
(4星)	 喜欢青青～            
(NA)	 可怜的小草            
(3星)	 里面的歌曲 很琼瑶！！！            
(4星)	 那是我看的第一部琼瑶剧，很喜欢金铭，电视里播的时候，我和她同岁，那时候睡得早，半夜让妈妈叫醒我起来看一集，不容易啊。。。            
(NA)	 儿时的记忆            
(5星)	 小草小草~~~            
(NA)	 琼瑶的 我就没有没看过的 汗死            
(NA)	 咆哮教主            
(4星)	 话说小草受伤后的那一段看的我直接哭倒在电视机前·这时老爸默默的走过来~很困惑的样子·            
(4星)	 看的时候其实很懵懂            
(4星)	 小时候喜欢看的电视剧            
(3星)	 哇哩咧,豆瓣真神奇            
(4星)	 我们全家都喜欢小草！我和姐姐很讨厌青青！            
(NA)	 青青河边草            
(4星)	 时间太久了……都不太记得了……            
(NA)	 只记得主题曲了……            
(3星)	 唯一的印象是买了好多贴纸·            
(3星)	 模糊了            
(3星)	 悲的总归不太喜欢~            
(NA)	 曾经            
(4星)	 儿时的偶像剧！！！风靡一时！！！男女主角 当时都觉得是帅哥美女~            
(4星)	 小时候看了这部电视剧好喜欢小草啊……            
(4星)	 怀旧             
(3星)	 吵阿~~~            
(3星)	 基本都忘记了~除了一首歌曲……            
(5星)	 小时候留下了深刻印象            
(3星)	 怎么总是怒吼天尊演琼瑶片            
(4星)	 咆哮教主的成名片            
(5星)	 小草哈            
(3星)	 马氏咆哮            
(3星)	 老妈说“怎么整天哭来哭去”，可是她还是每集都不落下            
(4星)	 這可是童年.            
(NA)	 无疑小金铭是这部戏中的最大亮点，还有《青青河边草》那首歌，真好听            
(4星)	 小时候看的琼瑶剧            
(2星)	 青青河边吵            
(4星)	 青青河边草 悠悠天不老             
(NA)	 童年            
(NA)	 比我小两岁啊            
(NA)	 应该是看过的，不过记忆是没有的            
(3星)	 还记得这首名歌            
(2星)	 重播太多，避无可避。            
(NA)	 说实话。。是冲着金铭去的。。            
(NA)	 记得记得 我记得            
(4星)	 是生活磨练了我们···还好最后大家很开心~            
(3星)	 那个时候很喜欢，很大部分很欢快            
(4星)	 主题曲经久不衰            
(5星)	 金铭当年是偶像来的！            
(3星)	 我现在是在怀旧吗            
(NA)	 很早以前看过，都给忘的差不多了            
(NA)	 小时候的记忆，我的马景涛~~             
(3星)	 主题曲深刻            
(4星)	 悲喜            
(3星)	 那个时候马景涛还是很帅的，金玲还是很可爱的，但是现在一切都变了- -            
(4星)	 就是到后面有点看不下去，太煽情了            
(NA)	 小时候            
(3星)	 小时候常被大人说像小草耶。故事就是哭哭啼啼的咯~            
(4星)	 这么狗血的片子我...曾经看过！当年还是挺好看滴            
(3星)	 还记得马景涛撕心裂肺的那一声声“青青……”            
(3星)	 妈妈看我也看            
(4星)	 早期的琼瑶片。经典。            
(4星)	 十几年前看这个电视剧觉得还是挺好玩的，虽然看得似懂非懂的            
(4星)	 岳翎气质挺美            
(5星)	 看过的为数不多的琼瑶剧之一。经典啊！            
(NA)	 青青河边草，年年到海角...            
(NA)	 音乐不错。            
(4星)	 童年回忆            
(3星)	 这都是小时候看的了.            
(3星)	 我爱爸爸~！！            
(4星)	 好喜欢里面的小雨点            
(NA)	 青青河边草            
(4星)	 那个年代的经典哇！            
(3星)	 小草啊小草，童年的偶像            
(3星)	 在里面喜欢何晴，漂亮。            
(4星)	 琼瑶的，不多说了            
(3星)	 金铭很红……小女孩可爱成那样子很不容易            
(3星)	 当年心动过            
(4星)	 纪念姥姥            
(5星)	 小草~            
(NA)	 只记得那主题歌            
(NA)	 见识了马景涛的喊功            
(4星)	 也是童年的回忆之一。            
(4星)	 青青、小草都喜欢。            
(NA)	 那个时候只知道里边的爱情特别伟大，现在却在想这些人天天不做事情只谈恋爱，可怎么活啊。看来人是越来越现实了            
(3星)	 歌不错，其他没什么,马景涛始终是那么入戏到了暴力            
