http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(NA)	 最早喜欢的一部            
(4星)	 早期的经典韩剧。最初的几集没看，现在重补。推荐看。            
(5星)	 最喜欢的韩剧！最早接触的韩剧！看了无数遍的韩剧！！！就是她了 ！            
(5星)	 一直百看不厌的电视            
(5星)	 看这部连续剧的时候我在上初中,一个爱做梦的年龄,暗恋张东健,羡慕蔡琳的幸运,妒忌迎美的美丽.呵呵,至于片子本身,就是很韩剧很韩剧的，很好消磨时间            
(NA)	 张东健 啊  同学说当时 觉得是完美男人            
(NA)	 不管是制作还是剧本和演员的表演，在电视剧里都是一流的。            
(NA)	 百看不厌            
(4星)	 一部成人童话！            
(2星)	 不喜欢东健叔叔头发油油的样子。            
(4星)	 经典的韩剧            
(NA)	 听说，送脚环做礼物，来世还会在相逢            
(3星)	 人心险恶呀！~            
(5星)	 看了有5-6遍的片子吧~~电视上一旦重播，总忍不住晃上一两眼，虽然不会像最初那样痴迷，果然还是埋下了怨念的片子~~            
(4星)	 张东健电视剧的收山之作            
(3星)	 歌颂真善美，打击假恶丑，宽容和等待最珍贵。可是也仅仅限于电视剧~            
(NA)	 ..            
(5星)	 最喜欢张东健了~这是我最喜欢的韩剧!看了不下十遍~            
(5星)	 最爱的韩剧            
(5星)	 第一部完整看过的韩剧喔            
(NA)	 还算OK            
(3星)	 金素妍那恶狠狠的眼睛……            
(NA)	 张东健在上面简直太完美了            
(4星)	 夏娃的诱惑女主播的故事            
(5星)	 张东健我最爱的男人！            
(3星)	 我比较喜欢善美和学长在巴黎的时候 So浪漫么~~~~            
(5星)	 在这里喜欢上蔡琳。            
(4星)	 剧情不错~~            
(3星)	 大家都恨徐迎美，可是我覺得人作惡是因為沒有被好好愛過，她就是。            
(4星)	 善良和阴险显而易见            
(4星)	 以前最喜欢的连续剧            
(5星)	 从中学就爱上了那种感觉。。。            
(3星)	 女主播，与新闻有点关系            
(3星)	 一个美女推荐看的             
(NA)	 看这部片子喜欢上张东健！            
(5星)	 为了此片跟别其他寝室的女生抢电视，占坐，受到影响又换发型，买手机链。夏娃的诱惑的诱惑啊！            
(4星)	 我只是不够善良            
(5星)	 这样的男人上哪找?            
(5星)	 张东健在里面不错，因为加班最后几集没有看上            
(5星)	 my favourate, it dig right into the bottom of my heart            
(5星)	 太经典            
(4星)	 这也不是电影吧。。。。            
(NA)	 绝对经典的韩剧哦!应该是从这里开始觉得蔡琳很可爱..真善美!            
(3星)	 那个时候突然流行放韩剧了，借机看了不少啊。            
(NA)	 you can&#39;t say            
(4星)	 经典的，不能不知道的韩剧            
(4星)	 金素妍真的很漂亮,不过在里面太坏了...            
(5星)	 大爱            
(5星)	 当时韩载硕和张东健有多红。。。。你们知道嘛。。。。。当时啊。。那个红的是红旗招展锣鼓翻天。。。。            
(5星)	 偶像剧最诱人的地方就在于，它给无数少女少妇大妈老太一种错觉----白马王子是存在的！！！我坚信自己是善美，这世界上有尹理事，所以这么多年我都没嫁出去！！            
(5星)	 最最最喜欢的韩剧啊 张东健的笑容真好看啊 金素妍演的真是没的说 眼神太犀利了            
(5星)	 我爱蔡琳！！！！！！！！！！！            
(3星)	 这剧我真看过，可是可是我就是不喜欢蔡琳以及她演的角色，就是对张东健提不起兴趣，就是对剧情无感啊，抱歉。            
(5星)	 还记得那时候很迷韩载硕，所以很怨念结局啊            
(5星)	 艾玛 老经典了            
(4星)	 经典。            
(5星)	 最爱的电视剧。没有之一            
(4星)	 怎么说也是青春回忆的一部分。。。            
(4星)	  其实我是喜欢坏女人的 囧            
(2星)	 看到最后喜欢女二号了。讨厌女主圣母的角色。            
(NA)	 重温经典            
(4星)	 两个优秀男人爱上同一个女人。            
(5星)	 五顆星特少了~推薦~完美的學長~            
(5星)	 看了这剧扭转了张东健在我心目中的形象，最早是在天桥风云看他演反派说~喜欢蔡琳。            
(NA)	 女神！！！！            
(5星)	 我对韩剧的要求很高，但这部是我最爱得韩剧，没有之一，从初中开始，看过无数遍，上大学的时候，由于宿舍的网速慢，我还买了全套DVD来看。喜欢善美的善良和一点傻气，喜欢享哲的包容和智慧，喜欢佑振的朴实和痴情，喜欢永希的干练和大气，喜欢招娣和晨水的搞笑，总之太喜欢了！            
(4星)	 为了金素妍才给高分。            
(5星)	 东健哥哥！还有最美时候的蔡琳！！            
(4星)	 曾经一度迷恋张东健啊。。。。可惜现在已经不怎么看韩剧了！            
(4星)	 演技派聚集剧！！            
(5星)	 尹理事太完美了 小时候迷恋的不行 有重播就看 看了不知道多少遍            
(5星)	 经典中的经典，帅气的学长啊             
(NA)	 永远            
(NA)	 第一部韩剧啊。可是很喜欢啊。。。            
(5星)	 “年轻的时候总想谈很多次恋爱，爱很多人，但后来才发现，真正爱一个人，用一辈子的时间都不够。宽容她，谅解她，接受她所有的好与坏。”真正的爱是历久弥新的。            
(4星)	 最早的经典之一吧            
(5星)	 过多久，还是想看的电视剧！！大爱尹享哲            
(4星)	 当时看的小激动记忆犹新~            
(5星)	 最爱的韩剧，没有之一。            
(5星)	 凤凰卫视播的~~~记忆深刻，只是现在长大了，觉得女二真的很努力啊~~            
(4星)	 女主角太软弱了，总被欺负            
(4星)	 学长就是好男人！            
(4星)	 闪闪发光的学长、善美的笑容和女主播们的套装            
(5星)	 我娘看通宵啊！！！！！！跟她一起看的！！！！！            
(5星)	 2000年的啊，呵呵我记不得什么时候看的了，反正没看完，但那是我第一次看韩剧，永远记得剧中的歌曲那么动听            
(5星)	 童年时期最憧憬的男性是尹理事这样的            
(5星)	 第一次            
(5星)	 虽然是很老的剧了，但是现在看还是很喜欢            
(3星)	 那时很火，也在那时开始厌倦脸谱化比较的电视，恶女和天使，一个没有安全感，一直比，一直抢，另一个一路纯真。漫画级故事。            
(4星)	 我小时候真心爱过韩载锡。哈哈哈哈哈。            
(5星)	 韩剧的启蒙啊，张东健，流口水~            
(4星)	 现在一起实习的小芬芬和邪恶的女二号真心像啊！美女一枚！            
(5星)	 我的最爱！！！            
(5星)	 我当初的爱片啊。            
(3星)	 爱上徐迎美            
(5星)	 最经典的一部韩剧            
(5星)	 金素妍的坏给我留下了深刻印象~韩宰錫还是一如既往的吸引我，尽管这里有点懦弱~还是将张东健当路人（乃是因为在天桥风云里实在太坏了，所以才这么不受我待见的把）。。。            
(2星)	 小学记忆            
(5星)	 10遍有了            
(5星)	 重温，还是哭哭笑笑，善美还是得眼，还是花痴学长~~嗷唔~~可以存DVD版的韩国电视剧            
(5星)	 初二数学课讲三角函数，看着黑板想张东健            
(5星)	 爱了10年，以后也会爱下去的韩剧，反复看过不知道多少遍，那样的微笑，人间少有，告诉我做一个善良的女孩是幸福的起点            
(5星)	 人生爱上的第一部韩剧            
(5星)	 超爱的电视剧！！！            
(5星)	 6星加            
(4星)	 是迷蔡琳的多还是迷金素妍的多？我觉得还是恶女更有味道的说。。。            
(5星)	 很经典，看过好多遍啦            
(4星)	 要像善美一样善良，像迎美一样努力……然后精神分裂            
(4星)	 这部剧也绝对不会看了。这种催泪又狗血的片种我还是第一次见。            
(3星)	 这个片子啊 我是很早就看过的 也就是说啊 那个时候我很好骗的 可是啊 这些个演员啊 一个都没有感觉啊。。。            
(NA)	 戴脚链那里记忆比较深，不怎么喜欢女主角，小时候看过的韩剧之一。            
(5星)	 最好的韩剧，没有之一            
(5星)	 百看不厌的电视剧，喜欢张东健，嘿嘿            
(5星)	 和何室友一起看的            
(5星)	 经典到不能再经典的韩剧，最爱张东健那种男人啊！成熟稳重体贴~~            
(4星)	 선배님~            
(4星)	 当年的经典^            
(5星)	 儿时的最爱！！！            
(5星)	None
(5星)	 老一代的韩剧真是经典，不像新的越来越弱智脑残。            
(4星)	 一直觉得金素妍要比蔡琳好看，就是因为这部剧爱上韩载锡的~            
(5星)	 这里的尹享哲完全的理想型啊。            
(5星)	 多年的爱，张东健的淡定、从容，蔡琳的善良可爱。。金素妍的美。。            
(4星)	 那年我还蛮喜欢蔡琳的            
(5星)	 矮油，那时候觉得蔡琳美死了。。。。。            
(4星)	 这部剧奠定了女二号就是惹人厌的印象。。。            
(5星)	 经典啊，到现在我都记得张东健的那句台词：喜欢一个人如果不是全部那就等于零。            
(5星)	 重温了好几遍            
(5星)	 小时候全家一起看阿有木有！！！            
(NA)	 我爸说...             
(5星)	 善良过头的甄善美，恶毒的徐迎美~可怜的金佑振，专情的尹理事            
(4星)	 是可以看上瘾的韩剧            
(5星)	 经典。东健哥哥是很多女生的梦中情人。我懂的XDD            
(4星)	 哇 小时候的最爱啊 张东健~~~            
(5星)	 从小学就知道甄善美的星座了= = 而且还记得诞生石 尼玛我真是天生学这个的……            
(5星)	 太经典的一部励志剧~~大爱啊！！            
(NA)	 小时候的记忆了    那时超喜欢安在旭的            
(5星)	 确实演坏女人比较过瘾，也比较深刻。            
(5星)	 看的第一部韩剧 让我知道这世界上有情敌这玩意= =            
(4星)	 好看~~            
(5星)	 看完都会爱上金素妍吧？蔡琳是什么玩意儿啊？！！            
(5星)	 一闺蜜特喜欢张东健，就是从看这个电视剧开始，高中时候也看了这个韩剧，现在想来情节挺老套，喜欢女主角的真诚善良，学长的宽厚，张东健在里面表现很有魅力的说~~            
(5星)	 蔡琳的配音好听            
(4星)	 当时看的时候也很喜欢，不过好像还是天桥风云印象更深一点            
(5星)	None
(5星)	 那一年上小学的我就被张东健迷住了。。。            
(4星)	 那时多喜欢张东健呀！            
(NA)	 2006. 7.17~2006. 7.27             
(5星)	 。“徐迎美和真善美该是一个人的两面而已吧。而更多的时候，我们开心自己的真善美，却铭记内心的徐迎美。人生伤痛大过快乐，那几乎是一定的。”             
(5星)	 喜欢女反派。            
(4星)	 好久远啊            
(4星)	 人生第一部喜欢的韩剧（曾经也看韩剧，曾经也年轻。）            
(5星)	 就因为这个才喜欢蔡琳好吗！！！甄善美！！！            
(5星)	 我妈现在还是爱这部剧爱得要死，十多年了啊。为了妈妈给个五星O(∩_∩)O~~其实我当时真的以为散下头发的学长和梳起头发的学长是两个人，现在回想起来觉得囧死了            
(3星)	 张东健大叔很帅~~~            
(5星)	 求学长            
(4星)	 真善美就是傻逼。            
(NA)	 我爸说...            
(NA)	 都是小时候啊            
(5星)	 回忆~            
(4星)	 真。善。美。            
(5星)	 很老可是很好看            
(5星)	 不用说了，又一次感谢凤凰台，儿时美好记忆，都是一路成长过来的韩剧。好喜欢蔡琳，只到现在都没有找到第二个可以代替她在我心中地位的韩国女星，韩智慧，河智苑其次。            
(4星)	 不愧是【国民学长】，即使放到现在来看，这种男人还是只能用【极品】来形容，太完美~~            
(4星)	 张东健很帅。但，不知为什么，没有很吸引我。可能是不够深情吧。不喜欢韩剧里常有一个美丽的坏女人。            
(5星)	 经典            
(4星)	 您也太完美了吧，尹享哲学长！            
(5星)	 永远的白马王子张东健            
(3星)	 恩，蔡琳啊，说在最美的年纪嫁给最爱的人的那个人，如今呢。。。哎，真是多变的演艺圈啊            
(4星)	 启蒙之一了吧            
(5星)	 小学三年级时，看的人生第一部韩剧。唯一一部念念不忘的韩剧~~~那年夏天的下午，跟姐姐坐在床上看着凤凰卫视中文台的白天重播。姐姐说：尹理事是不是很帅？我呆了2秒，然后“嗯”了一声，然后从此帅的标准就设定在张东健的水准，然后就可想而知的。。杯具了。。好长时间看神马电视剧都觉得没意思= =            
(5星)	 最爱的韩剧，心灵的调节剂。            
(5星)	 很棒的电视剧，其实我还蛮喜欢金素妍饰演的那个角色的，蛮能理解她的，张东健在里面超级帅气~~            
(5星)	 曾经多少台词感动过我们...很经典的.虽然现在韩剧的剧情会更加吸引人一些 但是我却特别怀念这部作品 真的很经典 很喜欢甄善美 另,徐迎美也是个让人难忘的角色,金素妍演得不错,眼神很到位,相当毒辣            
(5星)	 金素妍，我心中永远的韩国第一美人。            
(5星)	 感觉张东健在里面不是很出彩 反而是金素妍和韩宰硕的那部分比较吸引人            
(5星)	 在这部剧中，张东健让我明白了什么是完美男人!            
(3星)	 当时的帅哥美女。如果被自己暗恋的青梅竹拒绝之后 在下一个路口都能遇到 完美学长。呵呵嗬嗬嗬。            
(4星)	 金素妍，尼玛就是一妖孽。            
(4星)	 真的是蔡琳把卷发搞直了以后才觉得她好看啊！！！            
(5星)	 尹理事 就是那时我们对爱情所有的梦想。 “善美，我喜欢你。要说出这种话...我非常不习惯。”            
(5星)	 喜欢喜欢            
(3星)	 童年啊！当年脚得女2好阴险，当年脚得蔡琳好可爱~            
(5星)	 尹理事太完美，东健帅死了！我要的就是这种抛弃身份后依然能坚守和相处的爱，永远默默支持和守护我，等着我向你看！            
(5星)	 张东健太帅了，迎美真坏...            
(5星)	 大爱张东健啊~            
(5星)	 继蓝色生死恋后第二部最爱的韩剧            
(5星)	 最爱的韩剧  最爱的蔡琳和张东健  张东健！！！！大爱！！！            
(5星)	 哈哈哈哈 ...我的高中阿。。。            
(4星)	 看了不下三遍吧，符合所有要求            
(NA)	 经典经典~            
(5星)	 最深情，最爱，最真，最善，最美~~~            
(4星)	 完美的情人。            
(4星)	 张东健是逆袭的关键！            
(4星)	 恩。。            
(5星)	 说我最爱他，一点都不过分。            
(5星)	 经典 我的第一部韩剧 张东建是本世纪最帅的亚洲男艺人！！！            
(5星)	 最喜欢的角色。当然是男主角，不过是喜欢这个人物更多。            
(4星)	 金素妍美呀！            
(5星)	 初一时看得，到现在，每一个细节都记得清清楚楚。大学时能遇到对手，还有爱人，这是多么值得期待的生活。但是毕业几年了，那段时间，自己更多的是狼狈，和成长。            
(4星)	 这部的剧情什么的都很不错 起码没人死····            
(4星)	 烈焰红唇  清纯佳人  都是金素妍一个人  太美丽            
(5星)	 經典經典。            
(4星)	 超级老套。超级爱看。            
(5星)	 永远的经典呀，帅帅的张东健，可爱的蔡琳，就连金素妍演的坏女人形象也深入人心，这部也是我比较早期接触的韩剧，那时的韩剧多美好呀～            
(4星)	 经典啊，你说女主怎么那么善良无辜的让我觉得她那是蠢了。金素妍恶女形象塑造的非常成功，让我特别想去扇她。            
(5星)	 追的第一步韩剧，喜欢可爱的蔡琳和健美的东健oppa            
(5星)	 小时候热爱的女主播，连我爸都加入了            
(NA)	 很久以前的记忆…小学的时候的记忆…            
(4星)	 很小的时候看过。。。            
(5星)	 我亲爱的尹享哲理事            
(5星)	 看得最早的韩剧，很喜欢！            
(5星)	 看过最好看的韩剧            
(5星)	 坏女人是有恶报的~            
(4星)	 我爱东健~            
(5星)	 就是这部被张东健迷死了。。。然后从此作为老公的标准。。。            
(5星)	 学长！！            
(5星)	 是从这部电视剧里面学到了‘学长’这么温暖的词汇            
(NA)	 自我有记忆以来 最爱的一部韩剧 没有之一！仿佛是从童话中走出的尹理事 坚强善良的善美 爱憎分明的迎美  那时的演员们都还年轻 却已经塑造了如此经典的角色 已经看过不下三十遍了&gt;&lt;            
(5星)	 很经典的剧啊。            
(5星)	 完美的东健~            
(5星)	 心中第二韩剧            
(NA)	 卫视中文台啊！（长这么大唯一一个完整看完的泡菜剧            
(4星)	 看的第一部韩剧            
(5星)	 看过八遍啊八遍，从小萝莉的时候一直看到现在，每次安徽台放的时候都守着看，美丽的回忆啊。学长是我一直以来的梦中情人……囧……            
(2星)	 记住了金素妍，凌厉冷艳。女主爸爸眼神到位            
(3星)	 不錯            
(5星)	 我了个去，过了这么多年，还是不能忘记这部剧。每一个人物都那么饱满真实。尼玛，尹翔泽，完美男人啊            
(5星)	 迄今为止最喜欢的韩剧，帅气的张东健，可爱的蔡琳            
(5星)	 反复看了无数次            
(3星)	None
(5星)	 看完以后满脑子都是尹理事在转啊            
(4星)	 看的那时，很喜欢的...            
(NA)	 啊凤凰卫视的韩剧，每天下午六点钟捧着饭碗。。。            
(4星)	 如果没有看无极，我也希望成为这样的男人。            
(4星)	 喜欢金素妍...一点都不觉得她坏!~            
(4星)	 张东健演的好人            
(5星)	 可爱的蔡琳，美丽的金素妍！            
(NA)	 妈妈也喜欢看 我们都喜欢真善美这个女孩 这三个字放到现在有点违法的意味深长            
(5星)	 深刻的小学记忆，而且我一直喜欢迎美和佑振这两个冷门            
(NA)	 怀念。记得凤凰卫视播的时候是叫《爱上女主播》？            
(5星)	 最喜欢的一部韩剧呀，张东健可真的迷死人了~~            
(5星)	 看过的第一部韩剧            
(5星)	 舍友曾经超迷张东健 看了N遍的剧 经典韩剧了说            
(5星)	 经典，张东健和她很配            
(4星)	 就徐迎美演的好！~虽然把人恨的牙痒痒！            
(4星)	 千禧之年大势我还在念小学 所以这算是童年的回忆了吧。            
(5星)	 最喜欢的韩剧之一.            
(5星)	 看完这片子有人喜欢真善美的么？都爱上反派了吧！            
(5星)	 太过经典的韩剧，从小时候到现在，每年都看几遍，连我爸这个从来不看介肿电视剧的都看过３＼４遍了。。。每集几乎台词都背下来了，但是。。。            
(5星)	 我的韩剧启蒙啊,平均一年看一次!你说,怎一个爱字了得?            
(5星)	 很温馨 很甜蜜 很好的回忆            
(5星)	 张东健跟蔡琳太童话了太完美了！            
(4星)	 和家人的观影记忆            
(5星)	 呵呵呵呵呵呵后            
(5星)	 就是这个剧让年少不经事的我对“电视工作者”以及“学长”这两个词儿产生了无限美好的遐想...皑皑            
(4星)	 童年就超爱的经典啊            
(NA)	 好喜欢的一部            
(5星)	 人生第一部韩剧            
(3星)	 这时候蔡琳还很年轻            
(4星)	 谁人不想有个学长            
(4星)	 喜欢张东健啊张东健！！            
(5星)	 大叔控就是在这被张东健培养出来的有木有！！！这么多年了没事的时候还会想看看有木有！！！！            
(5星)	 觉得迎美是心中小小的恶魔。学长怎么能好成这样？            
(5星)	 永远的经典            
(4星)	 当时一直觉得&#34;真&#34;善美是个让人看上去就知道结局的名字 咩哈哈            
(NA)	 每年夏天必看几遍《夏娃的诱惑》N遍了~还会绝得经典难忘。尹翔泽是经典，真善美笑起来很真心，感觉很美好，笑容很美味。            
(5星)	 甄善美，进来唱首歌吧~            
(5星)	 经典韩剧啊~            
(4星)	 棒子戏的印版            
(NA)	 重看一遍 韩剧总是美好             
(4星)	 當年很迷ost啊            
(4星)	 小時候超迷的~~            
(3星)	 对这部片子一直很无感。            
(5星)	 金素妍抢尽风头            
(4星)	 今天剪了一个跟甄善美差不多的发型 她的阳光是否也能传染我。。。            
(5星)	 十年前看的……很好            
(3星)	 完美情人总是喜欢纯情傻B女。            
(5星)	 不可超越的东亚电视剧经典            
(NA)	 没看完整。当年好喜欢善美，笑起来像天使一样善良美丽可爱的善美。现在想起这部剧，善美的温柔和她童话般的爱情依旧美好，却美好得不太真实渐渐模糊。反倒是对迎美恶毒又美丽的笑容和痛不欲生的哭泣记忆犹新。            
(NA)	 实在是太经典了 里面的张东健简单，帅气    里面虽然也免不了韩剧式自虐式感情    但是张东健和蔡琳不复杂  简单，直接，甜蜜            
(3星)	 那个年代的金素妍的角色看起来还很邪恶有木有，OST认知度先于电视剧本身。            
(4星)	 想起来初中那会儿了            
(5星)	 曾经想要个尹亨哲学长当男朋友~            
(4星)	 我记忆中看过最早也是迄今为止印象最深刻的韩剧 因为这部戏爱上了张东健            
(4星)	 怎么剧名变这么恶心了- -。 女主播的故事！！！ 那时候，觉得蔡琳的笑容很治愈。 然后然后然后，就是想当主播啊！！！            
(5星)	 学长啊~~我受不鸟了~            
(5星)	 以前巨爱            
(5星)	 记忆中的电视剧，唉            
(5星)	 讨厌死蔡琳了！！！！！！金素妍你才是过分美丽！！！！！！！！！！！！            
(4星)	 我喜欢迎美···            
(5星)	 经典            
(4星)	 算是第一部韩剧            
(5星)	 那个时候的蔡琳很可爱。            
(5星)	 重新看了一遍，看到睿智而深情的男人和善良而可爱的女人最终在一起是一件令人非常愉快的事情。            
(5星)	 好老的~            
(5星)	 这也是比较看的一部韩剧            
(5星)	 善美让人感觉温暖。            
(4星)	 不是所有人都像你那么幸运的=V=            
(3星)	 一直不喜欢蔡琳的颜            
(5星)	 韩流第一击            
(4星)	 也是很经典的一部韩剧啊   金素妍的那个角色真的坏透了 看的时候 我恨不得砸电视机  不过结局福利院的扮相记忆犹新 纯纯的感觉真的很美            
(3星)	 实在讨厌蔡琳这张老脸，无论怎么都看不下去。。。            
(5星)	 aee            
(5星)	 唯一一部會時不時重複看的韓劇            
(4星)	 记得看这部剧正是初二。那段日子韩剧很是流行。车祸、失忆、绝症，反复挑战少女的泪点。那样的年纪连流眼泪都是很纯粹的。难过就是难过了。而如今，竟是悲喜难辨，想哭已经不大容易了。            
(5星)	 经典啊            
(5星)	 個人認為最好看的韓劇.            
(5星)	 超级经典好嘛~~！！            
(4星)	 当年很迷恋张东健这个角色来着            
(4星)	 觉得最精彩的韩剧之一             
(3星)	 比其他同类型韩剧好一点，能比较轻松看完。几个主演都还不错，演得都挺到位。看多了觉得全无趣味。            
(5星)	 张东健所演的尹翔泽是所有女性的白马王子，成熟，冷静，忍耐，包容，睿智，忠诚，英俊，这样完美的男人那个女人能阻挡啊？            
(NA)	 还是蛮好看的            
(5星)	 人生最早的韩剧啊            
(4星)	 我多爱里面那个阴险的女人啊。那时候觉得她长得好好看。好看得让人不计较她做了什么了            
(5星)	 经典情人。            
(5星)	 最爱的一部韩剧            
(4星)	 泡菜剧里的经典啊，在英国取过景，里面的每一个人物坏人好人我都好喜欢。            
(5星)	 这部剧集真可谓看了又看，这也是我和东健哥哥结缘的起点，超级爱看，珍藏美好记忆。            
(4星)	 那时的回忆            
(5星)	 学长            
(5星)	 只能说是经典吧            
(3星)	 扣掉的那几颗星是因为张大叔            
(5星)	 每年必看            
(5星)	 无论看多少遍都不腻，最喜欢的韩剧，没有之一。            
(3星)	 见不得蔡琳            
(4星)	 ZDJ就是一完美好男人，JSY就是一完美恶女人，CL就是一好运女，HZS就是一倒霉蛋。。。            
(5星)	 满足对男性的所有幻想啊            
(5星)	 经典。            
(4星)	 当年和我妈一起看的            
(4星)	 记得当时觉得迎美好漂亮            
(5星)	 我最喜欢的一部            
(4星)	 里面某场还有老特打酱油= =噗            
(5星)	 是始终并永远最爱的韩剧，不可替代。张东健的迷人魅力蔡琳的善良可爱，完美！            
(4星)	 男主角帅哇            
(NA)	 就是这部剧，让我爱上张东健的。            
(NA)	 小时候觉得，女主的名字真特别，居然叫真善美。。            
(4星)	 果然用“經典”來tag這部連續劇是對的~            
(4星)	 连我爸也爱看            
(5星)	 很喜欢剧里善美和学长的爱情，可惜现实中难得遇到，最美好时候的韩剧！            
(5星)	 韩剧补作业的收获，原来迷张东健的人都是这么迷起来的啊~~怪不得我记得当时我看完一直有做女主播的冲动，原来是这部片子！            
(5星)	 比较喜欢徐迎美            
(5星)	 温了温经典……            
(NA)	 最喜欢的老片之一。            
(5星)	 就是喜欢里面的张东健            
(NA)	 我妈的最爱 = =            
(5星)	 最近又重温了一遍，还是超爱张东健。怎一个帅字了得！！            
(5星)	 难得有节奏这么恰当的利索的韩剧            
(4星)	 好像看过很多遍            
(5星)	 我的最爱，这部剧告诉我，为人真诚才会快乐，害人之心不可有，否则自己也不会得到幸福，让我们像善美学习吧，做个简单快乐，努力向上的好青年吧！            
(3星)	 大家都很洗翻，我不怎么洗翻            
(4星)	 当年觉得金素妍的颜真迷人            
(3星)	 小時候我對這憨劇還挺「孜孜不倦」的。            
(4星)	 好老的片子哟            
(5星)	 那时候很迷            
(5星)	 为数不多的看了几遍的电视剧            
(NA)	 学长！！！！            
(5星)	 无论隔多久1年，2年， 3年，5年抑或是10年，再回看，依然触动我的心。曾经如此向往此美好的爱情和悸动，就算是悲伤 也很想经历，但如今，亦不再确定是否有这样的机会了哎            
(5星)	 第一次觉得坏女人很美！！只因为金素妍演得实在太赞了~~！！！美不胜收！            
(5星)	 电视台每次播我就每次看，忠诚度不会低于芒果台之于还珠格格            
(5星)	 真不错            
(5星)	 尹理事~~基本上是所有女人的梦想啊~~~            
(5星)	 只记得张东健很帅 ，然后金素妍演的那个妹子很贱，韩载锡很可怜            
(5星)	 因为他，喜欢上东健大叔，喜欢可爱的蔡琳            
(5星)	 十年前看这部片子的时候还是孩子，当然如今还是孩子，只是不复当年而已            
(5星)	 那年那么多的经典人物。            
(1星)	None
(5星)	 东健   东健哥哥·· 当然不是阿胶            
(5星)	 为韩载锡而去，结果意外被金素妍征服。            
(5星)	 花了个周末看了这部片子 人生看的第一部韩剧 无数次响起You Can&#39;t Say时 泪水都在打转 喜欢善美.........            
(5星)	 看过无数遍，张东健在里面秒杀啊！            
(5星)	 我的韩剧启蒙啊!尹响哲学长!            
(4星)	 经典……            
(5星)	 韩剧的开山之作，尹理事和徐迎美是两个永远烙印在心中的角色。尹理事是所有女孩心中完美的理想情人，徐迎美向世人展示了金素妍优秀的演技。            
(5星)	 初中の日子里邂逅的最美的故事。现在重温，有跑去恋爱的冲动。可是学长不可能有的吧            
(5星)	 看完甄善美甜甜的笑心情就好很多            
(5星)	 啊丫丫，这个是承载咱年轻时梦想的一部呀。看了10年了，几乎每年都要重温一遍。学长人太好了~~让我也遇到这么好的吧~            
(NA)	 初中时想做电台，没想如今已离得很远，这部剧给我更多的是那时的记忆（酸文 请无视）            
(3星)	 蔡琳的大脑门            
(5星)	 当年，是那样喜欢着张东健啊···            
(5星)	 就算是现在，学长的魅力仍然无法挡。            
(NA)	 小时候最喜欢的爱情故事。。            
(4星)	 完全被迷住了·            
(5星)	 最爱的韩剧之二啊 谁不希望在异国他乡有这样一个学长啊TAT 不过比起学长我简直爱死甜丝丝的蔡琳了 台湾配音比韩国原音可爱            
(3星)	 我不喜欢蔡琳 同学超级喜欢 当年            
(5星)	 已经记不清看了几遍，小时候看喜欢善美，讨厌迎美，现在看来，善美和享哲还是那么完美般配，善美还是那么可爱，可是却再也讨厌不起迎美，人本来就是要像迎美这样在社会中生存的，善美只是一个童话，而迎美才是真实的，越来越喜欢迎美了！            
(5星)	 尹享哲那样的男人满足了每一个女人的幻想。人人都爱真善美，我独爱徐迎美，她真实，她邪恶，没有人比她更懂爱，没有人比她更懂恨，没有人比她更现实，没有人比她更完整，我很羡慕她，活得那么恣意，那么义无反顾            
(5星)	 我看的第一部韩剧啊            
(NA)	 记得是初中的时候看的吧，当时好喜欢哈，好感人~            
(5星)	 经典中的经典啊            
(5星)	 这是让我陷入韩剧的鼻祖。 小时候完全傻啦吧唧地陷进去了，还为此买了书来同步····  不过真的好好看啊~~~  目前为止，让我最疯狂的一部韩剧。 磁带，书，碟子，杂志，海报，贴画····   当了好几年蔡琳的粉···            
(4星)	 真的不错            
(5星)	 很经典很经典            
(5星)	 看过4遍。            
(4星)	 张东健好帅。            
(4星)	 韩载硕%&gt;_&lt;%            
(4星)	 受不了。。年轻的时候还是看过很多韩剧的，虽然现在对韩剧完全没有好感            
(5星)	 当初真是爱死这部韩剧了。            
(5星)	 甄善美。尹翔泽。绝对的韩剧经典！！！            
(5星)	 从十二岁到现在的最爱~~            
(4星)	 当年真的励志的            
(NA)	 如题            
(5星)	 挺久的一部韩剧，但是电视台几乎寒暑假就播放，超级喜欢金素妍，感觉是她的清纯扮相很是喜欢，蔡琳感觉就是一般吧，张东健因为《天桥风云》很不喜欢，当然这说明他的演技真是一流还有我入戏太深哈，他号称为韩国第一美男一点也不过分，就是提不起对他的喜爱，希望他的粉丝不要拍我砖头哈，只是个人感受            
(5星)	 尹享哲我的梦中情人啊            
(5星)	 看了不止一遍 在自己最脆弱的时候 是蔡琳的笑容一直鼓舞着 喜欢最本质的生活 做一个好人 最本质的好人 善良的人            
(5星)	 李政控的延续导致的            
(2星)	 只看最后一集最后十分钟，女主和男主街头Kiss的时候恰好我舅舅过来，然后，我无比纠结和尴尬的熬过了那个kiss，然后觉得自己从不看韩剧真是太正确了。            
(5星)	 哎，一言难尽的喜爱啊，回味了好多遍的说!迷死我了！            
