http://movie.douban.com/subject/2157176/	放羊的星星
(5星)	这里的林志颖最帅
(2星)	女二男二让我想死 主角长的不错不错
(4星)	小志=3=
(3星)	林志颖的样子就没变过。很久以前看的
(4星)	林志颖很帅。主题曲太好听。剩下的so so...
(4星)	搞笑不错..但是后面剧情有点拖拉
(5星)	想当年拉着我哥一起看的很入迷。。偶像剧就是这样，一天发生的事情比我们小老板姓十天半个月发生的都要多。
(4星)	看了前十集，觉得这里面的帅哥真多……原来立威廉同学还是有点帅的，为毛死得这么早！！！兄弟情什么的根本就挡不住啊！到后面完全没办法当正常片看了……编剧童鞋，乃有点腐啊！！！！洪小玲御姐真是霸气无双，偶像啊偶像！小志永远不老……真是……我的菜啊我的菜啊我的菜~~~~（无限回音中）
(5星)	最好看的偶像剧之一了= =
(5星)	小志真的很帅！
(4星)	演的好好的 经常泪流
(NA)	林志穎！！！！！
(4星)	爸爸跟我一起看的
(3星)	后半部分 比较拖沓···
(2星)	这个名字有点笨
(3星)	男主角比女主角好看太多了好么！纯粹为了男主看完整部剧简直了……
(NA)	不喜欢女主。
(NA)	记得有朋友很喜欢，大力推荐，自己看过倒觉得还好，没有特别惊喜。
(3星)	三颗星全是给小林的。。
(3星)	OST里面的几首歌曲我还是比较喜欢的~
(4星)	小志你怎么都不老啊啊
(3星)	当年是放了多少遍啊
(NA)	不管过多久，星星永远在我心里保存高大的形象。
(4星)	悲剧是车祸啊
(4星)	还不错啦，林志颖这个娃娃脸一点也没变，中韩的这次合作也蛮成功的。
(3星)	还行，这部剧很红~
(3星)	剧情还行，就是太梦幻
(NA)	我夸过的第一部 台剧···林志颖真是帅死了·。
(3星)	2009小志。剧照一枚。
(4星)	中间的转折真的很出彩！让我记忆最深的一部偶像剧！
(3星)	我当初是多么的喜欢娃娃脸林志颖……
(3星)	N久前看的。所有经典偶像剧狗血剧情汇集一身
(3星)	林志颖不老传说
(4星)	当一切都错过，一切都变成误会的时候。若两人是命中注定那么再多的错过、再多的误会都会因为爱情而化解。
(4星)	二姐很喜欢
(5星)	还是抵挡不住林志颖的魅力啊
(4星)	少有能看的台剧
(4星)	跟韩星合作.. 期待 -- 
(3星)	挺扯的.林志颖..
(5星)	不明白一把年纪咋就能被这种剧俘获了……但是还是要给五星……
(4星)	剧情是很扯，但因为林志颖，HANA演的不错
(NA)	       为了爱，一颗孱弱善良的心，默默承受。
(NA)	不知道现在看是什么感觉 那时候是很爱
(1星)	女猪的美瞳就快掉出来了。。。
(2星)	烂死了
(3星)	算是一度比较新颖的电视剧吧 对女主的演员恶感 因为在网上看过的关于林志颖神奇的个人简历介绍 所以觉得还不错 
(2星)	。。。。。。。。。。。。。。。。。。。。。。。
(4星)	5年后的故事更精彩
(2星)	商业和深度是浮云，只从自己的感觉评价，真无聊。不过通过这部剧我才有了珠宝设计的概念……
(5星)	喜欢一开始搞笑的地方~~喜欢女主的性格~还有5年后~男主惊艳一下~最后搞笑~
(3星)	高中的时候看的，但是眼泪稀里哗啦的，现在看来还是很狗血的片子
(3星)	豆瓣还有这个
(NA)	都说好看，看过一些。
(4星)	很久以后才看的。林志颖多做爸爸了还是那副奶油相儿，好帅阿。
(5星)	狠对胃~~
(4星)	每次看就会想起她
(4星)	最近又翻出来看了一遍，林志颖啊
(5星)	每一集都精彩得出乎意料，进展快，一集一个局势，很好。很惊愕把仲天骏这个角色做死了，不过峰回路转又杀出个和仲天骐同父异母的弟弟。
(5星)	我们的纪念
(5星)	偶像剧里敢比这部再好看点么
(3星)	小志老了…
(5星)	林志颖真帅啊
(3星)	看不太下去。。。
(3星)	神马的狗血剧= =
(NA)	看过看过看过……表示男2极度…………………………你们懂的！！！！剧情很不错。有些地方超级催泪。还有作为电视剧原声带控的我来说，这剧的配乐很给力啊！！
(2星)	那韩国棒子说话嘴撅的我真想抽她 受不了
(2星)	小志老了
(4星)	完结。 台剧里算不错的
(4星)	当年陪伴我报志愿的一天一夜。剧本，演员，导演，配乐各种出彩！实属难得！
(4星)	林志颖永远都是那么阳光帅气，刘荷娜好漂亮。
(3星)	寝室的童鞋爱看的不得了来的。估计现在她们也挺后悔吧。
(4星)	初中刚毕业那时，最迷的偶像剧，四颗心献给当时的心情。
(3星)	还蛮好看的，仲夏夜之星，很漂亮的手链，(*^__^*) 嘻嘻……我还买了那个耳钉类。。。很羡慕夏之星有那么好的创意构思设计饰品，如果我也能做个设计师就好了~~~
(5星)	迷了半年，看了好多遍~~小志的娃娃脸
(3星)	不难看
(4星)	我一向不喜欢台湾偶像剧，各种矫揉造作，这一部也不例外。但是小志真心帅啊&gt;&lt;
(4星)	当时很迷恋，现在觉得、挺幼稚的、、
(NA)	好看！
(NA)	大爱小志啊 &gt; &lt;
(3星)	一般。。奔着林志颖去的。。万年不老的童颜啊。。
(5星)	看得我那个难受啊。。。
(NA)	林志颖~林志颖 不老的男人  幸福  阿星也很可爱  我倒是很心疼欧雅若 看起来刚强的女人其实都还是内心柔弱的多一点
(5星)	看偶像剧的时候我智商为0 
(3星)	小志都不会老的，主题曲很好听~~
(NA)	大家莫看   会被深深attracted的
(NA)	当时的林志颖现在也没变
(3星)	刘荷娜真好看，当然仅指在片中
(5星)	这应该是07、08年的时候看的，连着看了两遍，经典偶像剧啊！
(5星)	觉得林志颖真他妈的好男人
(4星)	童年的回忆啊啊啊。
(3星)	林志颖好帅啊！但是女主角的配音好出戏。
(3星)	想当年迷了一个夏天的放养 当年焦躁的夏天和一个女孩 爱疯了林志颖 现在看看 物是人非 
(3星)	有张娃娃脸真好，N久不看台湾NC剧的我竟然看完了！
(5星)	很赞。
(5星)	还是很搞笑的
(5星)	是高三还是高二来着，利用一个月假给搞定了、那叫一个哭啊、稀里哗啦的
(3星)	林志颖。
(4星)	谁有五年的缘分
(3星)	都是些好狗血。。
(4星)	难得还不错的偶像剧哇～林志颖～
(3星)	最受不了装小　还是后面强点
(4星)	林志颖啊 上帝祝福的男人
(5星)	看了2次
(NA)	不喜欢女猪脚。
(3星)	林志颖就是一直帅！
(5星)	当年真的很喜欢，林志颖真叫一个嫩。
(5星)	那时候超级喜欢啊
(4星)	挺经典的！~~
(5星)	很好看有没有...小志加赛车就会很拉风~
(3星)	指考前還扒著不放，雖然我覺得沒有很好看
(1星)	最讨厌的偶像剧 一个偶像没有不说过剧情太他妈狗血了看的冒火= =
(3星)	看过一半~记得回放镜头特别多…
(3星)	看名字有点奇怪 安徽台开始放了以后就开始在网上看了 还不错吧只能说 偶像剧本来就是消磨时间用的
(2星)	高中班里一群狂热分子。。
(5星)	My lucky star。喜欢。
(4星)	还行的偶像剧。只是男偶像年纪大了点，还好是娃娃脸
(4星)	被里面的林志颖迷死了 哈哈
(5星)	这是我弟弟给我推荐的一部电视剧。之前不以为然，一直不愿意找时间去看。后来有段时间百无聊赖，想到了这部电视剧。看第一集时觉得还好，可是越往下看越爱不释手。剧情中跌宕起伏，让人欲罢不能。而且我感觉自己跟剧中的男女主人公很像，所以非常被他们的爱情感动。在平常的生活中见证真爱，最让我感动
(4星)	狗血的要死可是我喜欢。
(3星)	林志颖很帅嘛...
(3星)	是，我还看过这个电视剧，都快忘了
(3星)	就那样吧，集结了很多狗血元素，不过在当时台湾偶像剧越来越坑爹的大势之下，还算不错的。
(3星)	林志颖真的很帅。。
(4星)	多给一星，给不老的小志
(4星)	因为小志。
(5星)	小志！
(4星)	所有分都是给小志的，你懂的。
(5星)	大大地荡漾一下~~一直不怎么稀罕台湾偶像剧。。俗称肥皂剧。。不过这一部真是有自己的特色~~看了五遍以上了吧~~每次看总是会笑着流泪~~要是我身边有这样一个阿星~my lucky star~~我一定会好好珍惜你~~！！
(4星)	看完就超喜欢林志颖！
(4星)	不错的片子，歌也不错。
(NA)	这部也很不错
(4星)	一颗心 给我们的纪念
(3星)	本来还能稍微看看的剧在安徽台的强势下。终于变得不能看了。
(3星)	所有的星星都是林志颖呢的~
(3星)	3星原因就是林志颖太老了。。
(5星)	夏之星仲天琪 那里面的林志颖很帅有木有
(5星)	这是所有电视剧里我最喜欢的一部。。。看过放羊的星星以后我就很少看偶像剧了。。因为我不认为还能有超过他的了。。
(2星)	......剧情太幼稚了
(4星)	初恋男友说我长得像女一号哎
(4星)	很奶油
(3星)	林志颖就是老不掉。
(5星)	就此剧 对偶像剧达到一个新的热恋高度吧。大爱林志颖啊。
(NA)	我可是比较喜欢女主角哦
(2星)	很讨厌这种剧情···看在男主的份上··
(3星)	林志穎太帥了啊啊~~
(5星)	经历时间的爱情，林志颖的演技很好，夏之星很值得爱！
(5星)	只要还相爱着   谁都不会离开谁
(1星)	垃圾片
(3星)	在从幼稚走向快要成熟的途中，只能说这部剧来的不是时候。
(3星)	林志颖永远十七岁呦喂。
(NA)	又一偶像剧，哈哈，故事还是比较完整的。
(5星)	以前超迷这部剧哦！爱死林志颖了，刘荷娜也好可爱！
(2星)	很理想化
(3星)	追了一个学期~
(4星)	因林志颖才看的，到目前为此还算喜欢的一部爱情台剧
(3星)	刘荷娜挺漂亮。
(4星)	林志颖仍然很娃娃
(3星)	其實我不覺得李威有你們說的那麼醜誒。。
(NA)	看了三遍
(5星)	超爱林志颖啊！！
(3星)	雅若
(1星)	不耐烦剧
(4星)	不错，只是男儿太丑了吧，那里是个明星啊
(5星)	只能看一遍！
(3星)	一般般~ 能看
(4星)	因为提供了介绍才看的。高三假期完整地看完。觉得真的不同于一般的台剧，这部真的不错。
(5星)	大二看的，3天看完。
(5星)	林志颖太帅了！虽然他有BABY了！！但是还是帅啊
(5星)	呵呵
(2星)	林志颖真是不老传奇阿。
(5星)	林志颖在剧里面帅到爆，让我一度为之花痴了好久。很感人，也不造作。很好看。
(4星)	看了很多遍倒是真的...
(5星)	近来听到主题曲《我们的纪念》，想起了这部电影~有同学说我笑起来像夏之星，果断给该剧打5分~
(2星)	为什么有人喜欢为什么有人喜欢为什么有人喜欢..
(1星)	棒子我就不说了。李威你的头。。。还有讲话讲不清楚的立威廉。。哦 我擦。
(4星)	为了林志颖，给四星
(4星)	那时的hana多可爱。有点像我的女孩+。。。
(3星)	尽管我很喜欢小志……但是这剧真心相当一般啊！！
(2星)	我可以把两颗星都送给没演技的林志颖吗
(4星)	不错，但是没到经典的程度。话说筱溪很爱啊
(5星)	小志最帅！
(4星)	我一直以为这个有上下两部……搞了半天就是上部分和下部分……
(2星)	太老套了吧。。。
(4星)	咳咳，想到高中那段时光，从学校灰头土脸回来，居然会每晚都等着看，被虐到深夜又纠结地爬去睡觉。作为一个理智的人，实在很少为谁这么牵肠挂肚过。因为是在特殊时期看的，所以对我的意义也更不一样。谁叫我一直就很喜欢假装坚强的人儿啊。
(3星)	那时我年纪还小，那时我还很无聊。
(NA)	矮油，仲夏夜之星。07年高。考之后哭着看完的，真2.
(5星)	啧啧！白看不厌！
(3星)	典型的港台偶像剧啊~不得不感叹 林志颖这么多年还是这张娃娃脸 是在是太神奇....
(4星)	我一向不爱看偶像剧，这部无力抵抗，因为好爱林志颖
(4星)	我爱林志颖~~~
(3星)	台剧实在是，哎
(4星)	林志颖永远都那么帅
(NA)	林志颖同学难道真的不会长大的嘛~
(4星)	实质三星，一星给林志颖。。。
(3星)	觉得林志颖的角色扮演挺厉害的，帅
(3星)	女主演的好用力，编剧有点俗，林志颖多少年还是那么年轻
(NA)	当年觉得超级好看= =
(4星)	小志哇
(5星)	是。。你让我看的。。不对，是你说你在看。。然后我就看了。。那是07年的事情了。。你还记得吗L L。。
(4星)	当年觉得很好看，重看太多遍估计得吐了，从前的自己总是那么惨不忍睹
(4星)	我们的纪念
(4星)	帅呆了
(2星)	无聊。不喜欢女主
(4星)	林志颖很帅
(3星)	一般般吧 不过林志颖真年轻
(5星)	仲夏夜之星。。。
(5星)	“我们的纪念”，纪念那年那个夏天
(4星)	还是比较爱看的。一样是暑假经常看的片子。
(4星)	受不了电视里放了好几遍，第一次看时哭惨了
(2星)	哎哟！
(5星)	亲爱的小志
(3星)	林志颖。
(NA)	林志颖还是那么年轻
(3星)	林志穎這童顏阿( ⊙ o ⊙ )
(3星)	这部剧韩不韩、台不台，女主不太漂亮，男主有些装。俺跳着看完全剧，只因为有些强迫……
(4星)	小志真的一点儿都没老啊~
(3星)	2009
(4星)	很好看，很不错，林志颖太帅了
(2星)	好垃圾的剧  没看完过
(4星)	其实这剧情还是蛮给力的XDD 虐的时候很虐，甜蜜的时候也恰到好处~
(NA)	很好看·~很喜欢林志颖还有那位韩国女明星刘荷娜
(3星)	剧情一般 就是看看林志颖而已
(3星)	我想给它一个差评因为是和你一起看的。听到它的插曲都会不舒服。
(4星)	拜安徽卫视所赐，看了一遍……那女的说话太假了……虽然你是韩国人吧……
(3星)	林志颖老了。
(5星)	剧情比较吸引人，看了一集就想看下一集。能给人坚强奋进的力量。
(5星)	人美，景美，剧情美。
(3星)	超火的一部剧，小小勋还有小飞机都超喜欢看，可惜我没看全，不过主题曲不错
(3星)	。
(5星)	林志颖帅惨了啊！！小志这么多贵公子造型中，还是最爱仲天琪的造型，特别是第一部的啊！
(5星)	最喜欢的台剧啊。
(4星)	很认真很认真的看过了。
(3星)	剧中的音乐不错
(NA)	还不错。
(4星)	典型的台湾偶像剧，这部歌曲很出彩
(3星)	2011-01-14看了20集就大概了解说了些什么
(4星)	不错
(3星)	在台剧中算是不错的了。好吧我只是控里面的歌，我真的是配乐控啊！！！！
(2星)	就是不喜欢~
(NA)	我还真是看了很多狗血剧
(4星)	不错,题材新颖，是至今偶像剧中比较有印象而且喜欢的一部。我的人生就会有一万种可能。
(NA)	剧情不错的偶像剧
(1星)	哪好看啊……
(NA)	男猪哥哥居然中间死了这倒没料到。但真心各种不喜欢后半段。小志后面好像肥了。。。再一个印象最深刻的就是 女猪造型真百变啊。。。你真是穷人家小孩吗。。。
(3星)	╮(╯▽╰)╭还是高考完的那个夏天的深夜档首播的，天天看到快一点钟..其实前面十几集真的非常感动，第一次被台湾偶像剧竟然看到哭。只是后来就很俗气..那个开头就足以支撑它很长一段时间在台湾剧的榜首了。
(5星)	偶像 时装 演技 剧情，能有那样的高中偶像剧
(4星)	小志~帅~
(NA)	陪朋友妈妈看的狗血剧-_-```
(3星)	从中间开始断断续续地看。刘荷娜演得不错，林志颖中规中矩吧，反正他太小孩子脸了，对他投入不下去。
(NA)	与六号出口，这是不一样的刘荷娜
(3星)	林志颖还是一如既往地年轻
(NA)	偶像剧PK 下一站幸福
(3星)	==
(3星)	能不能别再找棒子来演戏了，驴唇不对马嘴的
(5星)	刘荷娜，刘荷娜！！！
(NA)	这个好好看~~~
(5星)	林老板各种美&gt;&lt;
(3星)	 没看完，但也能猜到情节。 
(NA)	在高三的时候猫被窝里看的
(3星)	很多人说很好看，但是说实话不太喜欢韩国人来拍偶像剧，因为总觉得男女主角对不上戏。。。
(2星)	只看了2集，觉得很无聊
(3星)	又一部王子爱上灰姑娘的故事，还好，看着蛮开心的~
(4星)	……
(4星)	虽然剧情真的是~~~台剧特有的@#￥%不过~真心觉得刘荷娜演技不错~小表情真不错~
(NA)	志颖个还是不错的哟。
(NA)	经典中的经典
(4星)	林志颖TAT
(4星)	歌不错听啦~男女主都养眼，神马狗血剧情就忽略它吧。。
(5星)	仲夏夜之星。感动在内心。
(5星)	不管剧情如何老套，以台湾偶像剧的标准，真的很不错了，只是为毛林志颖一直保持童颜呢。。= =
(4星)	虽然是俗套的剧情，不过还是挺喜欢的。歌曲都很不错。
(NA)	这是台湾第一步让我觉得没那么俗套的电视剧！
(3星)	有点儿长，不过我特喜欢这种主角隔了好久再重逢的设定
(3星)	我是怎样怎样怎样的看完了、还一把鼻涕一把泪的…
(5星)	林志穎還真是不老神話~.
(4星)	算是几部经典偶像剧中的一部了吧
(4星)	永远不老的林志颖
(2星)	不知道有什么好看的，当时班上一大堆人看。。。
(NA)	广电拜托你们不要再放这些让人【明明不想看可一看就有瘾】的烂言情了好吗
(5星)	很好
(3星)	演员还挺养眼
(3星)	还行吧，感觉挺老套，台剧一向如此，演着老套又没什么内涵的肥皂泡沫剧，实在很闲时是消耗时间的良品。
(4星)	难得的好电视剧.
(NA)	深刻！！
(4星)	我爸都喜欢看。。。
(4星)	火车很喜欢且仅有的一部偶像剧，是我看的太不认真还是不喜欢女主配音的感觉，故事还是蛮丰富蛮完整的。
(1星)	无聊的我于是打开无聊的电视，然后看了这无聊的电视剧·······
(5星)	好看，喜欢小志和刘荷娜
(5星)	唔~目前为止，最喜欢的偶像剧。。。夏之星呀，铁打的星星~我的模范
(NA)	还以为旋风小子会回来。但是他不是那个送给徐濠萦珍珠耳环的帅小子了，徐濠萦喜欢陈奕迅。
(4星)	很少为偶像剧打分，但这部是个例外，与它相比，大部分偶像剧都得靠边站，包括当年红透半边天的流星花园。
(4星)	一样，前面不错，后面不行。
(2星)	阿猩。。。。。
(3星)	小女生，不免俗~
(2星)	到底在我妈的影响下看了多少这样的剧。。。
(NA)	磨磨唧唧，但是后来想一想，她们语言不通拍出这样的电视剧真的很不容易
(5星)	冲着林志颖...冲着立威廉...只能说这是一本第一遍会感动，第二遍会吐槽的片子。
(4星)	林志颖老了
(1星)	哎……
(4星)	林志颖，娃娃脸。
(4星)	小志还是那么帅~~
(4星)	林志颖真的太帅了，秒杀其他人
(3星)	刘菏娜还是很好看的
(4星)	在隔壁寝室一起就着午饭看完的，遥想当年下课打饭冲回寝室，其实不是有多想看，只是突然养成了习惯
(3星)	当时还挺迷恋的。
(5星)	偶像剧中很不错的了。
(2星)	好早看过的。。。= =好吧，我也看过偶像剧
(4星)	觉得林志颖好帅～
(4星)	去年过年看的...
(4星)	帅气的林志颖 不论多老就那么帅
(4星)	小志不减当年风范啊！真的还是那么帅。n年之前的剧情俗套，n年之后虐恋。我喜欢n年之后。啊我果然有SM加自虐倾向。ORZ
(4星)	我们家小立在十几集的时候死掉了腻，之后就没再看，哈哈
(5星)	~
(4星)	小志  帅
(5星)	太好看了！
(3星)	..林志颖是不会变老是怎么，怎么还是那么帅..
(1星)	只是喜欢里面的饰品。
(3星)	林志颖永远十八岁。。。
(4星)	比较有质量的偶像剧了
(3星)	为了林志颖，瞄了一眼，但是受不了啊
(3星)	没看完....不对我的味....
(2星)	很一般，暑假的时候被迫看的。。。
(3星)	不老的林志颖
(NA)	刘荷娜你天堂牧场怎么能是女二！！！
(2星)	我都不想承认我看过
(5星)	喜欢！！！
(4星)	好像小志永远那么年轻
(4星)	还好啦 
(4星)	比较俗套的小言剧情。不过很好看
(4星)	林大帅哥...
(4星)	小颖是小时候的偶像呀
(3星)	不耐看啊 
(3星)	男主的个子高点多好啊。
(5星)	我很喜欢的偶像剧，爱李威爱JIMMY
(4星)	虽然狗血 依然爱看 唉 我是没救了
(5星)	不错的说，林志颖不错，故事也不错
(5星)	那个高中的暑假，在北戴河的宾馆里，两个主人公差点把我迷晕……除了那个第二男主角李威的满嘴黄牙太恶心人了……
(4星)	剧情很好~~
(NA)	允许我堕落的放羊一下吧，这部偶像剧我好喜欢，无敌喜欢。
(4星)	林志颖演的角色，比他自己开车还快啊哈哈哈
(5星)	看了一遍又一遍，最爱的台湾剧
(5星)	超级爱~
(3星)	如果天骐不说他自己是专业F1赛车手的话就是四星了
(4星)	林志颖让人感觉不到时间，那时看的挺感动的
(4星)	为了林志颖 小时候的心水的偶像呢 现在看来还是一样心水 哎
(5星)	冲着林志颖也得给五颗星
(3星)	两个下午 边背单词 陪着别人看完这样一部偶像剧 从不感冒滴....
(3星)	额，挺虐的说。
(5星)	是我当时很喜欢的电视剧之一  剧情很不错的 结局也是好的
(3星)	永远不老的帅哥演的第一部偶像剧！！
(3星)	安徽电视台保留曲目~
(4星)	小志啊，永远都不老啊
(4星)	靠，林志颖你怎么就不老咧？
(2星)	人太老了···
(4星)	個人覺得，作為一部偶像劇，這部劇拍得不錯
(4星)	喜欢夏之星
(3星)	台剧里很不错的了~
(3星)	照搬韩剧套路，各种狗血情节大合集！
(5星)	赞~~~我喜欢~~~经典~~了~~
(4星)	林志颖，不老的童话……
(2星)	典型偶像劇,基本上將所有少女漫畫的劇情都放進來了還好主要演員外型亮眼
(4星)	看过几遍的偶像剧了 第一次看还被催泪过 还有歌也不错 高中时候还用过韩志胤做网名 哈哈 有够傻的
(4星)	台湾难得高质量的偶像剧，李威的表演很出彩
(4星)	我喜欢！狗血嘛！
(5星)	一把年纪的林志颖皮肤还真是好啊，不晓得用什么牌子的护肤品~
(4星)	电视台老在午饭时间放…不想看都不得…
(4星)	从李威出来开始好看。夏之星伐好看，一点韩国妞味道啊么。小志为嘛永永远远个能，天山童姥啊！
(3星)	虽然评价低但小志立威廉和刘荷娜李威的影响力犹存。。
(3星)	林志颖不错哦
(3星)	林志颖还是娃娃脸
(3星)	还行吧
(1星)	蠢
(2星)	断断续续。没感觉。。
(4星)	还是不错的哟 
(3星)	那張不老的臉啊。
(4星)	这个还是挺经典的，被安徽卫视播烂了，于是我看了十来遍有了吧。o(╯□╰)o其中有几场戏还是很中意的。欧欧~~~
(3星)	最想感慨林志颖。。。从小鱼儿到现在，完全没变过
(4星)	即使你是我心中最出色的台剧 但依旧还是很脑残…
(5星)	很好看的一部剧。小志依旧很阳光帅气。剧本好，演员好。
(4星)	不老小旋風
(2星)	烂片。剧情烂，画面也烂，人就不说什么了。
(NA)	超赞..
(NA)	还不错
(3星)	同学推荐的，说超好看，在我看来似乎就是多了几年后的剧情。。
(5星)	爱死了~~
(3星)	从23集看到完，嗯，还可以吧。
(5星)	台剧里算好的了，演员和剧本都无可挑剔
(NA)	最後 誰成了朱砂痣 誰成了飯碾子 而哪個更符合淪為二字。
(4星)	唯一觉得不错的台剧
(5星)	近几年最好看的台湾偶像剧之一。。
(5星)	童话+现实，爱情还是值得相信的
(5星)	虽然现实不太可能，但还是被他们的爱情所感动，看到一次又一次哭。You are my lucky star。记忆最深的台词就是“如果仲天骐需要我，我就会一直在他身边，不管什么时候人反对，或者是说闲话，都不会动摇，这个我曾经对他许下的诺言”。还有最让人荡气回肠的插曲“我们的纪念”，每每响起，我的心也跟着
(2星)	我觉得很难看为什么我妹迷得要死要活啊
(4星)	看到5年后的纠结报复，有多怀念5年前的快乐美好？如果知道结局，我们有怎么舍得浪费那么久的人生？小志真的好帅~尤其是前一半的那种风格啊~还有么，偶像剧而已，狗血老套什么的都可以忽略不计哒~
(4星)	少有的难得的以及优秀的一部偶像剧……演员都很养眼
(3星)	PC雷死人……看在对小志一贯DJ上才看完……
(5星)	小志在裏面的表現不錯，我很喜歡他那種桀驁不馴、愛恨分明的性格。而對於女主角呢，雖然我很喜歡她那種style的女生，但是她的演技還真不怎麼樣，特別是在跟小志演對手戲時，就顯得特別不協調了。In a word，這部偶像劇，讓人很難猜到下一秒會發生什麽，於是感覺它是每一集都在給我驚喜。
(4星)	不老的神话，刘荷娜的演技也很不错，最喜欢中韩合拍的电视剧
(4星)	虽然剧情不这么样，但小志演技很好 ，还是哭得梨花带雨啊。
(NA)	最喜欢的偶像剧之一
(4星)	蠻久前看的了 覺得還蠻好看的 阿星~
(5星)	朋友推荐~
(5星)	林志颖很给力，一直那么帅气。打击让人成长，后半段也有看到纠结的时候，还好是happy ending~
(5星)	林志颖啊林志颖。。。你怎么不老。。。
(4星)	今天看在电视上看了几集，居然觉得很好看，可能我好久不看台湾偶像剧了吧，呵呵
(NA)	喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢最喜欢最后火场那一出
(3星)	朋友看的时候，我断断续续的瞄过，诚实点来说，不是我喜欢的菜。看不下去。
(5星)	很喜欢女主角，很纯真的美，我喜欢的个性～
(3星)	林志颖你怎么就不老。。。
(3星)	女主角都好丑
(3星)	看着这女主角一边感慨着“啊长得挺漂亮的啊又白又净皮肤光滑有弹性似的嘛”一边苦逼着“喂你能不能别说话时整张脸似乎都在做伸缩运动嗯？看得人别扭+违和”（。
(5星)	这是我看的为数不多的偶像剧之一。那些个半夜三更追看的日子。。很喜欢女主角。。虽然是棒子~~
(NA)	冲着林志颖
(5星)	年龄段不同 看的感受也不同 我初中时候看的 觉得超感人 现在二十出头的人了 觉得就这样吧
(4星)	看过为数不多的几部电视剧
(5星)	当时很喜欢
(3星)	我就喜欢小白脸
(4星)	这是高考考完了再看的，真心觉得蛮感动的。特别是5年后。@Home
(4星)	爱林志颖～
(4星)	台湾小言市场大
(4星)	哈哈，不错。小志演的。
(3星)	会记得是因为老师很喜欢叫这部东西叫放星星的羊
(4星)	小志
(4星)	好吧！我承认我疯了~~~小志。臦```
(3星)	只是断断续续地看了些，不怎么喜欢女主角。
(2星)	當初是手賤
(4星)	少给一颗星，因为后面的剧情太纠结也很老套，但是林志颖实在是太萌，四颗星全给他
(4星)	林志颖怎么就不老呢
(5星)	好看啊！！！给力啊！！！！
(5星)	一切都是未知~星星的爱
(3星)	因为这部剧，重新喜欢林志颖
(5星)	偶像剧的经典之作
(4星)	刘荷娜还是很漂亮的
(3星)	电视整天放完又放
(2星)	是偶像剧里比较差的，特别是小志的演技其实真的不怎么样
(5星)	你肯定不知道，因为你推荐，我就买来光碟看了。
(4星)	和于卓言的回忆
(4星)	小志演立威廉的弟弟...后生啊!
(5星)	我爱的他，无论拍什么都是最棒的！
(3星)	林志颖真是不显老啊，只看了第一部，还行吧
(4星)	林志颖。完全没有岁月的痕迹啊、、、
(3星)	林志颖是个不老妖怪
(4星)	多老套的偶像剧啊，多狗血的剧情啊，可每次电视台重播的时候，还是会扫两眼。林志颖同学真是年轻啊看起来。
(4星)	我爱死林志颖了！
(3星)	老了，所以对于偶像剧……
(5星)	就是喜欢
(NA)	35岁的林志颖还是那么的年轻，这部剧在内地电视台播的时候被分成了上下部，上部是和阿星相爱、分开，下部是5年后再度重逢。有欢笑有泪水，我还是喜欢这种大团圆结局。
(4星)	么有办法。喜欢捏
(4星)	无聊的时候电视里播着看完的，林志颖真的不老啊，女猪脚典型的韩国人。一开始我还不知道，就觉得不是中国人，结果还真的是棒子国的
(4星)	跨度好大~小林20年后还是小林
(3星)	为什么总是坎坷...
(4星)	07 夏
(5星)	我觉得目前台湾拍的最好的偶像片  剧情不狗血
(2星)	真看不下去了。。
(5星)	林志颖简直就是完美
(3星)	剧情可以，小志依然还是那么帅。但为什么女主要选韩国人？
(4星)	看完这部电视，a  za  si 买左电视里面的那天手链给我，但是带了不久就掉色了，那个星星也掉了，~~~~(&gt;_&lt;)~~~~ 无奈
(2星)	赛车还比较有看头
(5星)	记得看过这部偶像剧之后就一直把它放在电脑里，舍不得删掉，可能是因为太经典了吧，仲天琪和夏之星的浪漫爱情不知道打动了多少人，其他的配角，欧雅若的不择手段，光明舅舅的贪图小便宜，韩志胤的耍酷闷骚，仲天骏的年轻儒雅，总之，这一系列的元素构成了一个现实版童话故事，并且注定了让爱情永恒。
(4星)	当时寝室里看得开心死了～
(4星)	林志颖啊 怎能不看
(4星)	还行吧·！
(3星)	林志颖怎么不见老
(3星)	所长的网名可能由此而来吧。
(5星)	你相信一个放羊的小孩说的话吗？
(3星)	喜欢林志颖的可以一看，剧情一般！电视剧拍的不是很精致，剧本也没那么精彩！
(4星)	林志颖+赛车，能有不爱滴理由麽？
(3星)	小志的娃娃脸，终归也会老
(3星)	当年芬芬的极力推荐
(4星)	两段式的 我喜欢后半段 哈哈哈
(3星)	一般
(NA)	旋风的偶像剧！！1支持啊！！
(5星)	还不错。。。
(4星)	~最初的偶像。
(3星)	剧情一般般 只看过几集
(4星)	如果立威廉不死、没有第二部的话就完美了！
(5星)	一万种可能。
(4星)	开头不错。。。
(1星)	看到真的很想砸电视
(3星)	虽然假了点 可林大叔好可爱的嘛~
(4星)	觉得还好耶。。
