http://movie.douban.com/subject/2303292/	海豚湾恋人 海豚灣戀人
(5星)	分数这么低？？我还是高中那会看的，很爱啊
(2星)	特别讨厌张韶涵笑的时候 丑死了
(4星)	当年很爱看啊 还记得 小瓶盖。。。
(2星)	无聊
(4星)	很喜欢女孩小的时候在男孩背上喊达达-达达的可爱
(2星)	早熟阿…
(4星)	喜欢钟晓刚
(3星)	很感动……插曲《白雪》很好听~
(4星)	钟晓刚真的很帅啊啊
(3星)	回味下
(4星)	看了不止一遍，小女孩啊....
(2星)	老套的剧情，过气的明星
(2星)	好吧我的驚艷點就是在霍建華，只能是霍建華！
(3星)	达达，小瓶盖!现在想想真不怎么样
(4星)	大爱男女一二主角，张韶涵的声音真的辨识度很高，天生就是来唱歌。
(2星)	当我看完这部，再开始看薰衣草的时候，我无语了...三立就只有这一个剧本是不是...
(NA)	男女主都好丑
(3星)	神啊。。，原来这部也看过
(3星)	这片我看过三遍，电视台都播烂了。
(3星)	还记得那时候总是准点出现在电视前 唉～～～～
(1星)	许绍洋长的实在是...悲哀..
(4星)	那时候好喜欢钟小刚啊 还有漂亮的林韦君。。她才是台湾女人！
(3星)	我记得我那时候蛮喜欢里面的霍建华的
(4星)	涵涵早期的片子 很早就看过了。
(4星)	歌非常棒！
(1星)	唯一记住的就是卡农的背景音乐。白烂瞎
(4星)	男1号真恶心！
(3星)	想当年很喜欢啊~~
(3星)	每一次都是最后一集没看上
(3星)	我觉得许绍洋帅过TAT【黑历史啊黑历史
(NA)	
(4星)	当时看完，有种梦想也不是那么遥远，要一直坚持自己的梦想的肯定。。
(NA)	台剧就没神马好说的了=v=
(5星)	偶像剧看的很少，但这部却是特别的喜欢。It&#39;s a long long journey.
(4星)	看了很多遍
(4星)	很早之前看的一部剧，很经典的台剧。当时是妹妹借的碟子，我也跟着一块看了。很怀念呢。男女主角和男女配角都不错，海豚湾，挺美好的，还有紫贝壳，桔梗花，漫步云端……这些都蛮浪漫的。虽然女主角像个女孩而不是个女人，但不错，小刚也是个好男人。经典重温。
(3星)	男女主角都是浮云，现在记得的只剩钟晓刚。- -！
(4星)	怀念初中岁月将它称之为“海狗湾恋人”。
(3星)	补遗。
(3星)	小瓶盖和达达的故事。
(NA)	还好，喜欢倒霉的女二
(2星)	阿门··那个时候为神马喜欢这个···
(NA)	这是初三放的。印象很深，每天晚上1点看的，为此还跟妈妈吵架，不应该呀。里面的歌都知道，买了磁带。。。喜欢。。
(4星)	徐珊妮。
(3星)	没感觉
(3星)	音乐不错。。
(3星)	恩。。。易天边。。
(2星)	只能说。。。凑合。都不是我的菜啊~~~~
(4星)	很早的一部了。里面的歌让我喜欢那个声音。
(4星)	歌很好~
(3星)	男主是敗筆。
(4星)	为了霍美人。。。
(4星)	Very old...
(NA)	我家涵涵的第二部电视剧。至今仍经典~《遗失的美好》、《Journey》哇哇哇...
(2星)	张韶涵真美，那个许绍洋真的难看到我快要吐了还哪都有他！
(3星)	为神马许绍洋在张韶涵和林韦君里选了前者为神马张韶涵在许绍洋和霍建华里选了前者这是无法用常理解释的两个问题！！！
(3星)	第一次认识霍建华~
(3星)	遗失的美好 是我家阿沁写的~~~
(3星)	这拧巴的俩人啊。。
(4星)	还是蛮好的，特别是歌
(4星)	我以前怎么这么捞..
(3星)	小瓶盖哈哈
(4星)	讨厌许绍洋
(3星)	我想当海豚的眼睛。。有些人说不清哪里好就是替代不了。。
(2星)	怎么看都不配
(NA)	小瓶盖和达达，还有泰瑞莎之家。。。
(4星)	经典中的经典偶像剧啊！@Home
(4星)	曾经的最爱，非常喜欢霍建华。
(NA)	我妈很爱 我很无爱
(5星)	有的爱就在身边！
(3星)	也忘了，隐约记得男二和女二都很好看
(2星)	有点恶心那个谁，那男的叫什么洋来着？
(3星)	认识了张韶涵，霍建华帅啊
(2星)	难看死了
(4星)	喜欢那两个小孩
(3星)	许绍洋那傻雕喊“小瓶盖小瓶盖。。ca
(NA)	身世之谜
(3星)	主演都挺洋气的，选角挺好的，希望林韦君和许绍洋能再在一起
(4星)	当时觉得霍建华好帅！！
(4星)	美丽爱情
(2星)	许绍洋是大饼子脸
(NA)	女二总是美的
(5星)	这部剧我是冲着张韶涵去看的，最喜欢天边变成明星回来后的造型太酷了……许绍洋在这部片子里的造型太老了啦，都没有薰衣草的风范啦，在这部剧里我支持霍建华，太酷了！应该霍建华和张韶涵一对儿嘛！真是的……
(3星)	看完 薰衣草的后遗症
(4星)	歌好听
(4星)	太有魅力的钟小刚。眼睛瞎掉的易天边。
(3星)	那时夜里看通宵 我晕
(2星)	我是看霍建华的
(3星)	她当时真...恩...啊。
(3星)	想到的是和R一起看到遗失的美好的一句词时的触动。
(3星)	偶像剧
(4星)	我很喜欢这部俗套的剧……很养眼……
(4星)	喜欢男2
(3星)	当时觉得霍建华好帅啊！
(4星)	第一次注意到小霍。许绍洋真鹾，里面美女不错，歌也很好听。
(4星)	很久很久以前看过。最近看到电视里在重播，回顾了一下，发现竟然还是能看的下去，而且看的津津有味，比时下那些偶像剧要好看很多。。。。
(3星)	小时候那段超好看
(4星)	实在不理解张韶涵弃霍建华选许绍洋的原因...无语了
(4星)	那时候还把台词抄在本子上嘞
(3星)	霍建华在里面挺帅的！
(3星)	曾经很喜欢啊，天啊。
(3星)	那时流行呕像剧
(NA)	4
(3星)	许绍洋。。。。。唉
(3星)	最初接触台剧就是这部。
(2星)	没什么意思
(NA)	N年前看的 张韶涵唱JURNEY时很是令人惊艳
(3星)	三星给分别霍建华，主题歌，海芋。
(3星)	为毛！那天边会看上许绍洋而弃霍建华于不顾！！为毛！为毛！
(4星)	=_=某人已成叔..
(2星)	从此我走上对霍建华的花痴之路
(3星)	又是男二比男一帅的杯具。PS里面歌不错听
(2星)	霍建华
(NA)	刚播的时候，鸭鸭超HIGH地跟我说主题曲超级好听。恩，我还记得那一个画面。
(3星)	差不多是她第一张专辑。。
(3星)	为啥子非要喜欢许绍洋
(3星)	有个女孩叫天边
(NA)	小学很喜欢张韶涵 这么巧现在电脑在播里面的插曲
(4星)	遗失的美好。。。
(4星)	那时候迷的
(3星)	跟朋友聊起偶像剧这回事，发觉我在这方面是一个如此纯粹的白痴。来盘点一下我看过的为数不多的偶像剧。1
(3星)	那时候的张韶涵不错~
(3星)	很早的片。
(3星)	哈哈~~年轻时候看的，觉得，哇，好感人~~现在觉得好好笑喔~~
(3星)	太什么那个了。
(4星)	曾经觉得很感人
(NA)	不喜欢张韶涵，许绍洋一口台湾腔看着就讨厌！
(3星)	小 瓶 盖  - -
(4星)	这辈子看的第一部偶像剧 很多东西 初遇总是最好的
(3星)	许绍洋还是在《薰衣草》中演的比较好
(3星)	六年级时我有多喜欢这部剧。《白雪》很好听。
(5星)	我终于淡定了。。。。
(4星)	老喜欢霍建华的那角色。还有背景音乐的。
(3星)	没有薰衣草好看~~
(3星)	那个谁，霍建华很帅！
(4星)	当初看的时候感觉还是不错的
(NA)	格格：“哥，你可不可以和我讲一声再见，让我可以放心的离开……”引哲：“……小妹……再见……”
(4星)	张韶涵啊，曾经那么喜欢她。
(3星)	很一般
(3星)	it&#39;s a long long journey...3分给原声带
(2星)	男猪女猪。。。唉。。。
(NA)	小瓶盖，加油！
(5星)	记得是六年级的暑假，江苏卫视播了好几部偶像剧，真的好喜欢，迷上了mvp情人，迷上了海豚湾，那是算是刚接触台湾的偶像剧吧。PS流星花园是后来补上的，因为流星红翻天的时候我不知在哪个小学鬼混什么…PS2那时候喜欢听歌了，电脑上弄遗失的美好和天边听…
(4星)	还是初中的时候。。。。
(4星)	比较波折~
(3星)	我是男二号控。
(4星)	唉 这部偶像剧捧红了张韵涵，不过更喜欢林韦君的气质 至少剧情打心里很希望易天边能和钟小刚在一起的 可惜了
(2星)	霍建华 ！！
(3星)	纯真。美好。
(4星)	为什么不和霍建华在一起！！o(&gt;﹏&lt;)o
(3星)	当年觉得许绍洋挺帅的
(3星)	当时很爱。
(2星)	...涵涵啊、小瓶盖和那首Journey.By The Way, 漫步云端、遗失の美好~印象 支离破碎啊！...
(5星)	歌喜欢
(4星)	因为这部片子喜欢了霍建华
(3星)	当时还好但是现在很爱的张韶涵~
(4星)	很舊了哦
(3星)	初中时候好喜欢 现在看看有点小无奈
(NA)	已经不记得了
(5星)	有我童年的回忆，所以才可以看了一遍又一遍的。。。约定很美好，遵守约定的人更加美好。只可惜真实生活中的人都学不会。
(3星)	太偶像太矫情了
(3星)	许绍洋的发型不来塞啊
(5星)	经典啊。
(3星)	那时候张韶涵一点也不好看呀！！！！
(3星)	徐珊妮未免有点太温柔了，完全不是情敌的样子啊。
(4星)	小学时很爱。。。。
(3星)	我更喜欢 永不言弃 和  薰衣草 
(5星)	真有两小无猜的爱情吗？她们的爱情就是这样
(3星)	因为海豚湾喜欢上了angela~~~
(3星)	那时候喜欢林韦君。。。
(5星)	还是只能记住遗失的美好的歌词~~
(4星)	最愛臺灣電視
(3星)	囧片 当我没看过
(4星)	后来才发现里面有霍建华……呵呵！
(4星)	喜欢里面霍建华饰演的“小刚”，总觉得是在映射周传雄
(NA)	张韶涵那时比起MVP的时候却是进步了
(3星)	It&#39;s a long long journey till i know where i&#39;m supposed to be.It&#39;s a long long journey and i don&#39;t know if i can believe...
(3星)	还不错。
(3星)	我只是爱第一集里那俩小孩子~
(4星)	遗失的美好~
(2星)	歌还挺好听的，其他的....
(3星)	比较喜欢男二。。霍建华。。。
(2星)	普通话是硬伤。
(3星)	我记得塞子说她妈妈也看的来着
(3星)	张韶涵，确实不简单的小妮子~
(3星)	不咋的,但是歌曲画面很日本风
(NA)	我是冲着ANGELA看的。第一个场景就是寻找贝壳的二人。命运还是宿命，地球绕一圈，彼此又回到原点
(5星)	当时 爱死了。。
(4星)	好吧 我承认 我是靠这首歌红滴  嘎嘎
(3星)	迷许绍洋的时候看的
(5星)	无可救药地和别人不同，就是喜欢里面的徐泽亚
(NA)	我貌似在电视上看过一些片段……还是不喜欢男主的脸
(5星)	尤其演男女主角的小时候的那一两集，好感人的说～～还记得当时边看边一把鼻涕一把眼泪的
(3星)	...其实还是霍建华好
(3星)	霍建华哥哥帅帅的
(NA)	其实就那样
(2星)	不太喜欢张韶涵
(4星)	冲着张韶涵去的  还不错
(4星)	就为当时通宵看过
(NA)	歌手好好唱歌不就得了么。。。主题歌还是蛮好听的
(2星)	没有太烂，但也够无聊
(3星)	看过一些，没有看完
(NA)	永远的最爱
(2星)	对女二号印象深刻。。。
(3星)	无语。。啊，，女主角可以换一下。。
(5星)	看很多遍都会哭
(3星)	我看到的是霍建华那华丽丽的睫毛。。。从此对此人印象深刻=，=
(3星)	易天边这种跟两个男人都暧昧不清的女人居然能被称作善良。而且两个男人都为她死心塌地的。真正努力了的珊妮却没什么好下场。台湾电视剧就是教人做梦的。
(3星)	我爱霍建华
(5星)	虽然属于偶像剧，不过情节还是可以的，难得从头到尾全部看完，张韶涵偶像派+实力派！
(3星)	给梦想唱歌的朋友一个很大的鼓励
(4星)	比较经典的偶像剧吧
(3星)	張韶涵剛出道的樣子最好
(3星)	俩主角都不爱
(4星)	我喜欢张韶涵的第一部戏！收藏啊！
(3星)	林韦君太美~~
(3星)	很早的片子了
(4星)	要不是因为韶涵俺坚决不看某个ABC演的剧。
(4星)	歌很好听，韶涵~
(1星)	我确实看过，我确实几乎记不起讲了什么。少拍点这种烂剧浪费你我他的生命好吗……
(3星)	恩。。
(2星)	歌倒是很好听~
(2星)	张韶涵的声音不错
(3星)	当年还挺喜欢的
(3星)	当年真是喜欢霍建华啊~后面再看他的其他剧觉得都没有这里面帅了……剧情也还可以啦其实~
(4星)	完全冲着俊男、美女打得分~霍建华刚出来时还是很帅的！~可惜越到后来越毁形象！~⊙﹏⊙b汗！
(3星)	喜欢霍建华,,里面十分的帅,,许绍洋在里面那个桃子头十分让人无语
(1星)	真的，没什么能看的。
(4星)	我觉得还蛮好看的。。特别喜欢小时候的他们 达达 小瓶盖
(3星)	江苏卫视每次暑假必放，我都要看到吐了……还有那台湾腔的普通话，但是却是几年前每个人的梦
(3星)	歌很好听，许绍洋那时候很帅
(3星)	对偶像剧不是很感兴趣,只能用来消磨时间.
(3星)	霍建华很帅！
(3星)	这个初三的时候太火了，教室里他们都偷偷的看。
(3星)	很感人..................
(5星)	真的是！真的是！这部电视剧我看过好多遍！！看不腻啊！！不知道为什么，我就是喜欢这种狗血的剧情···但是张韶涵 真的是好萌啊！！！
(3星)	总体来说只有少数镜头很感人。
(3星)	那一声“小瓶盖”叫的我都想吐了。。不过男猪脚很帅哈哈~~
(5星)	dolphin bay~~
(4星)	张韶涵就是从这里走红的吧，原声带也都不错！
(1星)	没看完，说明够烂。
(2星)	张韶涵系列电影之一。
(4星)	因为这个片子爱上霍建华内时候。。
(NA)	一直不喜欢张韶涵，很久前电话那端传来《亲爱的那不是爱情》的唱歌，偏见才得以改观。
(2星)	徐泽亚完了
(3星)	当时的霍建华啊，迷得一众花痴七荤八素。
(3星)	虽然无聊，但也看完了。
(3星)	总监好帅
(2星)	泽亚与小瓶盖的小时侯很假
(3星)	张韶涵。。。。。
(5星)	超好看
(NA)	傻逼片2
(5星)	因为霍建华~
(3星)	初中的时候大家一起看
(3星)	long long journey
(3星)	看得有点糊涂，音乐倒是不错呐~~~
(4星)	蛮感人的。
(4星)	在当时是很不错的
(4星)	不管多么恶俗，还是可以缅怀一下的说
(2星)	看到男主就没兴趣
(3星)	我不想看。电视台也要放！！！！
(NA)	电视里放过几遍就看过几遍。。。。
(3星)	那时候完全为小刚痴迷
(4星)	喜欢青梅竹马的爱情。
(3星)	我怎么那么不喜欢许绍洋！！
(2星)	失败的台剧
(5星)	浪漫啊
(3星)	无聊的台湾偶像剧 要在最最无聊的时候看
(4星)	我是跟老妈一起看的哟
(3星)	初识霍建华
(4星)	讨厌许绍洋那油腻的头发
(3星)	张韶涵一开口就惊人了。男主角和女配角演技有待改善。剧情是纠结的。霍建华挺帅。
(3星)	只喜欢看他们小时候和journey那首歌。不懂当年为什么小荷姐可以看了一遍又一遍。
(3星)	霍建华·曾经很迷恋你诶·现在还是一样·
(4星)	现在都还记得“达达”，记得里面的歌
(1星)	记得我还是6年级。。。
(3星)	遗失的美好。
(3星)	挺浪漫的
(4星)	他们  小的时候 好看！
(3星)	歌好听
(4星)	当时觉得张韶涵还挺可爱的……虽然同学们都说她长得丑……看完了到处找那首歌也找不到，后来张韶涵就出了专辑……
(3星)	张不好看
(NA)	我希望那个钟总监和她配一对
(3星)	不知当初怎么看上的。。
(4星)	喜欢里面的歌 特别是白雪
(3星)	2008
(NA)	我喜歡林韋君
(4星)	当时看的时候还蛮感动
(4星)	看第一集的时候哭了。。。55555
(5星)	霍建华很帅啊
(3星)	正常人都不能理解她为什么选许绍洋而放弃霍振华吧。无论台湾、大陆、韩国、日本，偶像剧总是能够带给人这样的疑问？问什么放着那么完美又一往情深的男二不爱，偏要自虐的去喜欢男一？
(3星)	2
(3星)	假期
(4星)	这部戏里超迷霍建华，一直苦恼为啥天边不和小刚在一起。。。。。。另外原声非常好听。
(4星)	当时在看的时候还挺感动的
(4星)	我奶奶都喜欢
(3星)	还是一样。有缘还会在一起的。
(NA)	哇哈哈，，我不笑~~~
(3星)	喜欢钟晓刚（霍建华）(*^__^*) 嘻嘻……
(NA)	很早很早就看过了   记得那个时候为了看这个都舍弃了高三最宝贵的时间   呵呵   
(3星)	霍建华在里面真是美貌啊~~~可惜男女主角都是我讨厌的人.......
(4星)	当年的达达和小瓶盖，吸引了多少人在电视机面前，记得最帅的一幕就是小刚甩了徐婕儿一个耳光，那个帅啊，也许霍建华就是那时候开始闪光的
(3星)	唉，偶像剧。
(2星)	shao 瓶盖.....啊哈哈哈
(2星)	It is a long long journey~~~ 歌很好听.
(4星)	看过N遍了--呵呵
(NA)	当初看的时候巨喜欢张韶涵~唱歌真好听~
(2星)	不喜欢许绍洋甚至这个故事本身。可是那个美丽的海豚湾还有紫贝壳的传说吸引了我。
(3星)	睇完都觉得故事内容有点乱。
(3星)	可看可不看`
(5星)	我喜欢许绍洋的时候……现在，他老了……
(4星)	曾经的霍建华 很帅
(4星)	认真看下去了 不错
(3星)	插曲很好听
(3星)	很理想啊。或者这才是偶像剧。
(3星)	起码小时候觉得好看
(4星)	遗失的美好
(3星)	徐捷儿不见得就比张韶涵差~~~
(3星)	那个当年的许绍洋。
(3星)	喜欢Journey。
(4星)	妈妈喜欢里面的小瓶盖笑的样子，喜欢白雪这首日文歌曲。呵呵，想不到她还有这一面。当然，我也很喜欢她，很到位，一点不做作。
(5星)	8喜欢许绍洋啊。。8过我们家霍霍很帅的 94从这里认识的~~
(2星)	内谁和内谁勾搭到一起的片子
(4星)	钟小刚、小瓶盖
(NA)	一直都没感觉~~~~~
(5星)	  很好看的剧喔,  因为这部剧才喜欢张韶涵  许绍洋的.
(3星)	我最愛的張紹涵.....這是我看的第一部偶像劇!!
(5星)	又是3次...
(3星)	看过一点点。喜欢林韦君jj。
(NA)	[完]
(3星)	没耐心看完
(4星)	我爱钟小刚！！！！！！！
(2星)	话说当时只喜欢第一集，有点感觉，小演员还可以，难有的一部看了一集就没什么兴趣的
(3星)	那时那叫一个火呀
(4星)	当时的张韶涵，特稚嫩啊，不过挺可爱的，就像桔梗花
(3星)	当时为什么看这样的片呢，当时肯定很无聊，不过应该看的时候还是很开心的吧
(2星)	小演员挺好看
(3星)	天边让人爱
(3星)	!
(2星)	许绍洋真是。。。
(NA)	那时候非常喜欢张韶涵呢
(3星)	不谈剧情，这是我第一步看过的偶像剧。。。。
(3星)	无非还不是那样 啊
(3星)	我一直很纳闷为毛许某人也能演偶像剧男猪脚
(NA)	我喜欢里面的海豚...
(3星)	张韶涵在里面唱的那首歌，就是大学室友皮皮曾经唱过的，叫什么名字？
(NA)	很早的偶像剧 
(3星)	大学时期在网吧看完的唯一一部电视剧
(NA)	很久以前看过，都快忘了内容是什么了
(NA)	[2005]　“我始终带着你爱的微笑，一路上寻找我遗失的美好”
(4星)	很久以前看的戲了...當時很喜歡..估計現在會覺得很土
(3星)	她那时有点小丑
(4星)	能走到一起 是个好结局吧。
(4星)	我非常喜欢她！
(NA)	为了一个HE，总有人不得不牺牲。
(2星)	这脸能叫偶像剧？
(4星)	很純。很好聽。
(4星)	我就是不喜欢许绍洋。。。
(3星)	只爱小刚
(NA)	声音~~
(4星)	因为这部电视剧 喜欢上了张韶涵的声音尤其是那首《Journey》
(NA)	我是大俗人～
(3星)	许绍洋很恶心。总结完毕
(NA)	两个都丑丑的
(3星)	还好~帅哥美女不少
(3星)	不DJ阿~“小瓶蓋”...
(4星)	江苏台没事就重播囧。
(2星)	我哪能看了那么多偶像剧 
(3星)	就那样吧
(3星)	感觉里面人物的皮肤好好哎
(3星)	不喜欢这个结果
(4星)	还可以……
(1星)	撑死1星
(3星)	对张韶涵的歌倒是很有印象。
(4星)	好看极了～～
(3星)	音乐不错
(3星)	喜欢霍建华。不喜欢许绍洋，假假的。张韶涵的嗓音不是一般的好啊。不过坐我后面的同学说霍建华兄弟有点对眼，我晕。。。
(3星)	里面几首歌还是可以的，以前很讨厌的许绍洋这里面竟然少讨厌了一些，我和人家反着来的？囧rz
(4星)	超喜欢“遗失的美好”
(NA)	喜欢这种从小孩子演起的故事情节
(3星)	许绍洋在这里太娘了。如果没有掺那么多洒狗血的桥段就好了
(NA)	咋说呢,造型有待改进
(3星)	曾几何时，迷上霍建华
(4星)	当时很喜欢的连续剧，大一看过的印象最深的连续剧，最喜欢的台剧，珊妮在轮椅上闭上眼睛，秋叶飘落的时候哭过的连续剧，喜欢里面的歌，还有林韦君好漂亮的：）
(3星)	应该说张韶涵在这里一展歌喉了
(4星)	，很喜欢这里面，journey，这首歌；，和天边这个名字；还因为，一直很喜欢许绍洋，从薰衣草开始；
(2星)	鄙视我自己 高三还是高二的时候看的 日记为证 然后爱霍建华爱得要死 这剧太垃圾 一眼我都不想再多看了
(4星)	展现了涵的歌声~
(3星)	俗！越俗越有人看！
(3星)	只看过第一集和最后一集。。觉得还可以吧。。。遗失的美好。。蛮好听的。。
(NA)	很喜欢这个电视剧哈
(3星)	许绍洋,在里面的样子傻死了~
(3星)	 台湾偶像电视剧
(NA)	小瓶盖~哎
(4星)	五个主角的戏 算是出彩
(4星)	在MVP情人之後再次見到銀幕上的張韶涵。演技又精進不少。
(3星)	几首歌不错
(5星)	小时候最喜欢的偶像剧了
(NA)	霍建华好帅
(2星)	莫名其妙的片子。
(2星)	怎么就喜欢不起来张韶涵呢……
(NA)	很早的一部台剧，在当时来讲是很不错的
(5星)	我永远记得里面的那首歌《遗失的美好》 非常的好听```
(2星)	不喜欢许绍洋 
(2星)	没印象了都
(5星)	从这部剧开始迷台剧。从这部剧开始爱涵涵。
(4星)	还是有点看头的
(3星)	很早以前看的
(3星)	歌曲很好听_lulu.
(3星)	完全是因为珊妮才看的.
(3星)	2003
(NA)	真正喜欢上涵涵咯，就是这部片子的错……
(NA)	台湾电视剧消失吧
(NA)	又见童年阴影~
(3星)	小时候的他们 都好可爱 喜欢里面那首日文歌
(4星)	不错
(3星)	我谁都没记住，就记得霍建华
(NA)	部分
(3星)	台湾偶像剧里算比较好的了，矬子里拔将军 
(4星)	挺好看的
(NA)	曾经刻碟的，我更爱女二男二...
(4星)	很舒服，很与众不同的一部偶像剧。。。
(3星)	钟晓刚和易天边也很配...可惜命运作怪...
(5星)	我最爱的电视剧
(2星)	抱歉，不太喜欢演员。
(4星)	喜欢小瓶盖 喜欢小泽亚~渐渐地喜欢上张和许~~
(3星)	很早前我妈在电视播出时说很好看要我去看，但当时没有。后来冲着张韶涵去下载来看了，易天边这小姑娘性子很好，那首it is a long long jounery是不是就是这部的啊？
(5星)	更喜欢小刚
(3星)	喜欢青梅竹马的爱情。
(NA)	恩 喜欢钟晓刚
(4星)	喜欢里面的歌
(5星)	很感人。。
(4星)	许绍洋和霍建华差不多算是台湾唯一会演戏的了。还不错。台剧里面差不多是唯一能看的了。
(NA)	喜欢里买你的歌曲，剧情虽然老套，课业算吸引人。
(4星)	很早看的了,还不错阿
(3星)	尾没看
(4星)	当时看的时候还比较喜欢.
(4星)	在我心里 有一座山 仿佛只要走到山頂 伸手就可以碰觸天上的云
(3星)	典型的台湾偶像剧
(2星)	只有霍建华还算帅的
(NA)	只要相信..期待就會成真...
(4星)	一个帅 一个稳重 集于一身该有多好
(NA)	2003年
(3星)	驚覺……自己原來看過這麽多肥皂劇
(4星)	歌，歌，歌，天边，初始的angela，动人，时间始终有改变的力量
(4星)	跟妈妈一起看的。。。= =
(3星)	许绍洋。。。ORZ。。。
(3星)	纯属找乐
(3星)	看过一点，不喜欢男主角
(NA)	恩。。建华很帅~
(3星)	背景音乐白雪特别喜欢，还有霍建华成名作。
(3星)	霍建华
(NA)	看过
(4星)	小瓶盖？！哈哈！
