http://movie.douban.com/subject/2153523/	北京夏天
(5星)	 是的，我给了五星，但是，千万别给我机会让我重温。            
(4星)	 那时候的曹颖似乎蛮正常的。            
(5星)	 青春就是好！            
(4星)	 唯一觉得曹颖还比较舒服的出场方式            
(5星)	 又是一段美好的回忆~~            
(5星)	 我的大学和里面的场景一样旧，这还是看这部片子10年后呢。            
(2星)	 在农大拍的哦！            
(4星)	 那时候的曹颖别提多美了            
(4星)	 想起许群航了，突然之间。            
(5星)	 当年的最爱，对青春的憧憬，对理想的追求，还有那些简单纯净的旋律......            
(5星)	 印象深刻的一部剧，不过不是很喜欢曹颖。。。            
(4星)	 承载我美好记忆的电视剧。想当年，有线台每到暑假都重播，我会录下片头的口哨音，至今那清新的旋律还在脑海；那时的曹很年轻，美丽又大方。最喜欢的就是刘石，声音极富磁性，几年后在电台听到他，原来他是电影学院老师了。总觉得那段时间的大陆偶像剧特别美好，特别真实，这些是现在的剧所比拟不了的。            
(5星)	 给人最美好的校园憧憬。其实我梦想幻灭。            
(3星)	 曹颖太丑了            
(5星)	 我的天。这部电视剧对我的人生观产生了极其重大的影响~~~            
(NA)	 不喜欢却也看完了。。            
(5星)	 毫不夸张的说，它改变了我的一生，虽然长大的日子跟电视剧很不一般，但是我仍然感谢它            
(5星)	 没上大学的时候一直被剧情误导，觉得上大学就不用学习，只剩下谈恋爱和做自己想做的事了。超级喜欢刘石，只是因为那个类型和那个嗓音。那时也喜欢曹颖，觉得漂亮、纯情。拍摄地点之一后来居然成为我的大学。            
(4星)	 怀念那个夏天            
(NA)	 曹颖，豁            
(2星)	 借这个剧名，怀念下属于我的09年的北京夏天。。            
(5星)	 初一时看的，让我对大学校园充满了无尽的向往。带给我的感动至今仍在。            
(NA)	 很喜欢很经典！            
(5星)	 永远的记忆            
(5星)	 还能想起那歌前奏来。。            
(3星)	 看完之後。我記住的不是曹穎。而是王彤。            
(5星)	 当年贼喜欢的一部剧，除了情节。陈羽凡在里面创作的一系列OST，相当的有感染力~ 很好的煽情~~            
(4星)	 当时有着对大学非常美好的憧憬  进了大学才发现。。都是假的！            
(5星)	 记忆里最感动的爱情乌托邦            
(4星)	 我看这部片子的时候只有10岁。当时我就人五人六地写了个续集，把许群航和刘石写到一起。最受不了大纠结的剧情。            
(4星)	 当年作为中学生的我看大学生的故事，居然看的很投入~            
(3星)	 青涩 理想 简单 浪漫            
(NA)	 偶像剧启蒙！            
(5星)	 第一部真正意义上的青春偶像剧，给中学时的我留下了对青春无比完美的憧憬~~~            
(4星)	 当时多喜欢刘石和许群航啊,多向往那样的大学生活啊,如今自己走过来才发现并非如此,不是所有人都能活出那样的姿态.            
(NA)	 看过，当时觉得真的很好看，现在看的话可能找不到以前的感觉了，不能再看，留在心中的回味下就好了，毕竟不是很经典的东西，不能多推敲            
(5星)	 很有感觉,            
(NA)	 曾经真的以为 大学就是这样子的            
(5星)	 相当美好            
(NA)	 喜欢.            
(NA)	 很喜欢这部篇子，北京的夏天，有热情爱情，奋斗            
(5星)	 那时对大学还没有概念，更不知道自己今后也会去北京上大学！但在当时，这个电视剧让我很向往            
(4星)	 高中时候喜欢的片子 对大学生活憧憬的开始            
(3星)	 看了这个才知道曹颖            
(1星)	 坦克还在吗？            
(NA)	 那年夏天和我姐一边看，一边做暑假作业            
(5星)	 心中永远的梦 那时候的曹颖 真美            
(5星)	 在听许巍的歌，那轻扬的吉他声让我想起了十年前的这部心底里最爱的青春剧。看的时候还在憧憬，一眨眼，晃若隔世，青春已不再。            
(5星)	 那时候的刘石哥哥迷死了多少人啊那时候我们还年轻呢            
(5星)	 当年看得时候上高二~和同桌一起对大学生活无限憧憬……它象征着那段青涩的年华……            
(5星)	 老了            
(4星)	 只记得当年挺喜欢看的            
(5星)	 最爱的一部青春剧，最感动我的一部青春剧，没有之一            
(4星)	 &#39;遥远&#39;的童话            
(4星)	 主要是喜欢里面的音乐            
(5星)	 那时候憧憬大学生生活...            
(5星)	 从小对大学的幻想            
(4星)	 萝卜缨哥哥            
(5星)	 重温十年前的最爱，依旧感动            
(4星)	 最美的年代            
(5星)	 大学生活本应如此            
(NA)	 不知道刘石GG去哪了            
(NA)	 那年被吉他、音乐吸引，曾经以为这才是大学……曾经以为那才是所有人的青春            
(2星)	 假            
(5星)	 这电视剧害人不浅：它影响我考上大学，它影响我待着“北京夏天”样的梦经过了大学的四年，它影响我哪怕毕业了都没实现这梦后仍锲而不舍，它影响我这辈子找不到我的刘石可能就要单身了。。。            
(4星)	 前一阵子，兴起又重温了一遍……            
(NA)	 有时间一定再看一遍，虽然过去十几年了，第一次看是在99年的夏天，令我羡慕的大学生活。            
(5星)	 初一暑假看的，从此形成了我的大学观。等到有一天自己也进了大学，才发现已经是物换星移。不管怎样，记忆中的大学永远美好。            
(NA)	 陪我度过了很多个夏天            
(4星)	 在里面喜欢曹颖和男主角（擅长话剧），曹颖和黄海冰的第一部。            
(5星)	 本科毕业后又看这个很奇特            
(NA)	 有一句台词让我印象很深“能让人丧失晚节的东西，一定是充满诱惑的”            
(5星)	 一直在重复的看真的是一个时代的经典            
(NA)	 热血沸腾的年龄留下了刻骨铭心的记忆，感动            
