http://movie.douban.com/subject/1786753/	天国的阶梯 천국의 계단
(NA)	 痛苦的爱！            
(3星)	 情节有些拖沓            
(4星)	 因为喜欢旋转木马，所以尝试去看，没想到得到了比预计还好的结果            
(2星)	 本来是童话般的故事，结果却是非童话般的结局，恩，童话也要与时俱进。            
(4星)	 从头哭到尾            
(NA)	 看了一半              
(4星)	 爱的天国            
(NA)	 太惨了            
(3星)	 灰姑娘来了            
(4星)	 悲剧经典            
(NA)	 看得我悲伤的要死啊..不过还是很好看            
(2星)	 一般，女主角又是死掉            
(4星)	 当初很喜欢很喜欢            
(2星)	 史上看过最无敌拧巴的剧情，后来霍思燕和那谁还一起翻拍了这狗血的剧，一口血呕出来。            
(4星)	 从此 我妈爱上权相宇……            
(5星)	 崔智友，女神。            
(NA)	 难看啊！！！！！！！！！！不知怎么又那么多人爱看的死去活来。。。。            
(4星)	 金泰熙经典的瞪眼睛            
(3星)	 现在想来就是一部搅基佳剧嘛            
(3星)	 前几集还不错，看着心口疼，后面就太狗血了。权相宇演得好            
(3星)	 当年我也看过这剧，也红啊，有人通宵达旦的看，有人看得哭死，我也算喜欢看悲剧的了，当时还年轻，两个演员也熟悉，但就是无感啊，也不觉得好看，也不觉得多悲，只有那个男二去撞车的时候我泪盈于睫了一下子，结局好像是好的吧，也记太不清了。            
(4星)	 剧情真是感人。。。尤其是小孩部分。。帮忙打伞的那个情景。。坏女孩真是演得好，让我恨得牙根痒痒。。            
(4星)	 就凭它当年把我妈给哭得丧心病狂的，我就多给一星。。。            
(4星)	 传说中的催泪弹。青梅竹马，车祸失忆，再相遇，不治之症，恶毒女二，守护男二，so……            
(3星)	 看的很憋屈            
(3星)	 那些年完全循环在傻逼棒子剧中了             
(NA)	 【好多年前看过。。貌似上大学的时候还陪室友温习过一遍】            
(3星)	 催淚片~            
(5星)	 呜呜呜……            
(3星)	 流行催泪恶俗的把女二整得超坏的哪一年            
(2星)	 看权相宇。。            
(3星)	 年幼时哭得稀里哗啦，现在回顾主角，演技蹩脚不说，剧情还漏洞百出，唯一可取之处是ost,却红了配角~            
(3星)	 虐~~~男二的脸吖~~男主女主的脸 吖~~~再好看点我给四星            
(4星)	 能够同时俘获我和我妈的心，你赢了！！            
(3星)	 才知道原来反派是金泰熙，我是有多土鳖……            
(NA)	 经典作品            
(NA)	 我都不知道我居然看过这个。。。。。            
(2星)	 只演小时候就够了            
(1星)	 坚决抵制所有为催泪而瞎编乱造的装可怜团体！            
(3星)	 跟我娘一起租碟子看的。。。            
(1星)	 矫情大烂片            
(4星)	 没办法，就是被感动的泣不成声了            
(4星)	 很狗血，却还是很感人。喜欢权相宇抱着静书安静流下眼泪的画面            
(3星)	 我当年是要看了多少韩剧==            
(3星)	 之一，金泰熙演的真是坏            
(NA)	 我看过！！！！            
(3星)	 有点过了            
(3星)	 悲剧，真悲剧            
(4星)	 那时候流了多少泪啊，成俊哥最后还是一个人，把静书永远放在心里            
(4星)	 有泰熙哟            
(5星)	 看过最好看的韩剧了吧~            
(5星)	 男女主小时候的感情多纯呐 呜~            
(2星)	 看韓劇就是鬧心..凸(艹皿艹)            
(NA)	 当年因为这还不喜欢权相佑呢            
(4星)	 初中太小，啥都要哭的，咳咳可以理解。其实权相佑哭起来好难看啊= =            
(3星)	 在家里掀起了一股阶梯的浪潮。。。            
(4星)	 韩剧的悲伤好几部曲。            
(NA)	 再一部......我真没看过几部韩剧            
(5星)	 曾经看到哭……            
(NA)	 当初被感动的要死的片儿。。            
(3星)	 @林小梦LESlie，基友，我也是看過的呀！！！！            
(4星)	 纠结得要死要活，除了男女主角，此剧捧出了金泰熙、朴信惠、李莞一批新星，还真神了             
(3星)	 就是因为这部破韩剧从此开始了”被觉得像棒子“和”被误认为是棒子“的历史。            
(4星)	 崔智友总演悲剧~~            
(3星)	 大家一起来哭死吧~~            
(4星)	 经典            
(4星)	 一直不喜欢悲剧 但不得不承认天国的阶梯这部剧很好很感人  也许命运是固定了的  谁也改变不了  悲剧就是悲剧  怎样都不能完美结局              
(4星)	 最爱小的时候那段日子。。。。            
(3星)	 这种类型看了让人心情差            
(NA)	 现在再看反而不讨厌友莉，反而觉得她可怜            
(5星)	 向来缘浅，奈何情深。            
(2星)	 拖拖沓沓 隔夜饭都要呕出来了             
(NA)	 断断续续看，也是苦逼编剧写的吧。            
(3星)	 那时候觉得权相宇实在太完美了＝＝            
(3星)	 与题无关的感想——草！我的成俊哥结婚了！还娶了个丑女人了！！！            
(NA)	 最最喜欢的韩剧            
(4星)	 又一棒子力作            
(3星)	 权相佑挺帅            
(NA)	 那时妈妈看的时候 有时会蹭着看 就觉得金泰熙 一个字 美！！！ （我真是不嫌弃坏女人……）            
(5星)	 看这部剧同时喜欢了两个人，一个是权相宇，世界上再没有人比他更适合穿西服了，简直帅到爆，演技也很棒，最爱的韩国演员，没有之一。再一个就是金泰熙，太美了，虽然很坏            
(4星)	 有我爱的白诚铉            
(3星)	 重新看是没啥感觉，当年看却差点泪奔。            
(5星)	 ～            
(4星)	 小时候哭的死去活来的阿阿阿阿阿            
(4星)	 突然发现看过的韩剧还真的不多。果然还是当年的韩剧能看一点。。而且都虐虐的            
(3星)	 很墨迹，不过很容易看上瘾，我老妈喜欢的类型            
(3星)	 和妈妈一起哭到快瞎了= =            
(4星)	 虽然见识过蓝色生死恋之后，已然对韩剧赚眼泪的方式有所了解，然后也知道剧情有多烂俗，但是感觉还是比国人拍出来那些所谓的生离死别要到位一些，眼泪嘛，赚的不要太假，毕竟要有感动才好~~            
(4星)	 泪水真的会传染、、            
(4星)	 印象里只有金泰熙那又黑又大的眼珠还有惨白惨白的脸了            
(4星)	 。。。。我知道它假，但我就是哭了很多很多遍。。。            
(4星)	 我喜欢朴信惠演的小时候。            
(5星)	 唯一一部和我妈妈一块看的韩剧。我看过好几遍，看完好几天都缓不过来，连睡觉都因为想着剧情而失眠            
(NA)	 天啊！韩剧中的经典，没有看过的时一大悲哀            
(3星)	 曾经总是个美好怀念            
(3星)	 此剧以后，狂迷权相宇整1年。已解毒。此记。            
(4星)	 换个女主角该多么好啊，，始终见不怪姐弟恋            
(NA)	 真挚的爱情            
(5星)	 初中的时候看的吧。看得泪水连连            
(3星)	 太悲            
(4星)	 星星都送给李莞和朴信惠            
(5星)	 这剧也尼玛非常悲剧，看的心脏挖凉挖凉的。金泰熙太漂亮了，就是角色太恶毒了！            
(5星)	 各种触动泪点            
(5星)	 中学时看的，现在看卡司阵容还蛮强大，这部剧让我彻底喜欢上权相宇。可惜此剧之后，他没有再让我心动的作品鸟。            
(NA)	 真爱无敌~~看过好多遍~~每回看都忍不住的哭~~            
(3星)	 苦逼的鼻祖吗？            
(3星)	 女主的哥哥应该算剧里最悲剧的任务了吧。。。只是不明白，为啥哥哥年轻时那么帅，成年后却完全变了歌样子。。。            
(3星)	 所以韩剧都是苦情么。。。飙泪好助手。。            
(NA)	 曾经必哭的……            
(3星)	 曾经也看韩剧，曾经也年轻。            
(5星)	 大爱            
(NA)	 至今都记得女主后妈扇她的时候我那个嚎啕大哭啊            
(3星)	 從以前到現在都是喜歡蜀黍            
(4星)	 权相宇！哭死我了。            
(2星)	 圣母最讨厌了             
(5星)	 眼泪呀，流不完            
(4星)	 高中时看的。。还哭得死去活的orz            
(3星)	 哭你妹            
(3星)	 狗血的巅峰之作。。。            
(3星)	 真是疯了..看这种片子..            
(4星)	 金泰熙在里面演坏人，但是出了这个电视剧，我很喜欢她！天国的阶梯，悲伤的故事啊～很喜欢男女一号小时候的样子～对剧中的旋转木马印象十分深刻……彼此的信任很让人感动……            
(3星)	 亲爱的汪蛋蛋，给你标的啊！！            
(4星)	 好吧，我承认初中看这个剧的时候，不知道下了多少次雨。            
(3星)	 其实我没看完.....            
(3星)	 狗血如此，但因主角，所以会喜欢。崔智友权相宇都是化狗血为神奇的大家。喜欢里面的许多歌。            
(5星)	 韩剧，总是很容易催泪。            
(5星)	 权相佑经典啦，我还买了sound track的            
(3星)	 苦逼的传统剧情            
(4星)	 悲剧,当年看到哭            
(3星)	 我只记得 韩国人生日要喝紫菜汤             
(3星)	 哭惨了- -            
(NA)	 貌似看了这部剧之后，觉得权相宇特别有味道。。。当时还不认识金泰熙，觉得这个坏女人怎么这么美。。。            
(5星)	 最爱            
(NA)	 金泰熙~~女神！            
(4星)	 那不叫一个煽情噻~哭得我稀里哗啦的。不知道现在的我还能不能被煽到啊~            
(NA)	 安徽台每年最少放一遍。我跟我妈坐在沙发上看这部剧的时候我爸正好打算出门，看到开头男一女一小时候在海边玩耍的片段他也不自觉地笑了。当年不觉得，现在真的觉得金泰熙很好看。            
(5星)	 最喜欢配乐，特别是女主发现自己的身世后去找男主那一段            
(4星)	 属于那时候的狗血。。            
(3星)	 太作了、、、、、            
(4星)	 经典回忆....            
(4星)	 哭死！！！！悲伤时哭不出来，就直接看特定可以哭的那几集~好像在最后吧            
(3星)	 金泰熙真的很漂亮。眼睛一瞪也很漂亮。 剧情BE的虐死我了。            
(5星)	 在韩剧风靡整个亚洲的时候，我也曾有事没事去就租韩剧看~高三时住宿，为了看逢周末和周一晚上的《天国的阶梯》，还特意让爸爸接我回家~美好的回忆啊~现在想想，爸爸妈妈还真开明，家里整一柜子的漫画书，似乎也从未被骂过，很多还是让妈妈帮着买来的…高三整天念叨着韩剧，爸爸还是圆了我的愿~            
(4星)	 现在想起来都是回忆啊 两位女主都很漂亮 大家演技都好好哦            
(5星)	 目前为止认为最赚眼泪的韩剧···            
(3星)	 虐剧            
(4星)	 不停地哭 啊 哭啊  乃们怎么可以这样起欺骗少年年轻的眼泪啊            
(3星)	 韩剧一贯的老剧情老人设，女主善良到讨打！金泰熙是亮点啊，美！            
(3星)	 苦逼大作！难为我当初怎么电视演一遍跟着看一遍的            
(4星)	 爱权叔            
(NA)	 韩国人为什么一定要拍这么凄惨的。。。。。            
(NA)	 绝对的催泪剧，权相宇也是哭神。            
(3星)	 受不了女主的懦弱，虐心剧。            
(5星)	 哭死了………………哭死了………………            
(3星)	 我妈大爱的片子，当年是被逼的看的，太虐了            
(4星)	 骗了偶很多眼泪啊，结局太悲惨了~~            
(3星)	 当时的感受，男的这么帅，女的还一般            
(3星)	 朴信惠太美了~白诚铉也不错~金泰熙很亮~剧情很曲折 结局很催泪...就是太慢了...那继母太欠了...真想砸电视...            
(5星)	 目前为止最让我感动的一部连续剧！！            
(5星)	 看一次哭一次 崔智友简直是韩剧里的催泪弹 7分都不到这让我有点意外。            
(4星)	 比较经典吧，标准的韩剧啊，哭的稀里哗啦的有木有！            
(5星)	 俩哭戏专家，赚足眼泪            
(5星)	 03年韩剧，最近才有时间看。有点买花姑娘和灰姑娘的味道。情节当然夸张了点，还是很感人。没有一句有关基督信仰的台词，但清清楚楚是这个信仰的代言剧。诚俊给静书的三个礼物是“信，望，爱”。静书给回的是“感恩”。天国更是主角们共同的盼望。也难怪，韩国已经有40%的人信主，这就是他们的主旋            
(3星)	 金泰熙演奸角只会瞪眼睛。。            
(4星)	 看过最喜欢的是小时候            
(3星)	 虐啊。感情怎么可以那么的别扭呢~~            
(NA)	 九遍啊九遍！！！            
(3星)	 拍的一般般，就不明白为虾米泡菜国有这么多电视剧都让主角患绝症~难道是泡菜吃多啦？            
(3星)	 太傷感            
(5星)	 跟着老妈一起看 催泪啊            
(NA)	 不喜欢，非常不喜欢。            
(3星)	 过时            
(4星)	 好爱权相宇的说。。。看得一把鼻涕一把泪的            
(3星)	 额 虐。。            
(3星)	 多年前看还行  现在看真是烂俗            
(3星)	 弟！！            
(4星)	 又是高中时买碟看的，除了剧情夸张了点，总体来说蛮不错的，特别是其配乐。小时候的几位主演者很优秀，太优秀以致于和长大后感觉有些连接不上，崔智友和权相佑真得蛮适合演这种苦情戏的，金泰熙漂亮呀，只是真得不太适合演这种恶女人，倒是饰演金泰熙妈妈的那一角色真是恶毒的不得了呀！            
(5星)	 韩剧有一点好，总有一个人，让人心暖            
(3星)	 看着就虐...            
(4星)	 很悲剧啊！男二号忧郁到无敌啊！            
(NA)	 最初的韩剧记忆。不断的奔跑的执着，今天也忘不掉            
(4星)	 07年的时候我还很迷这个的            
(1星)	 谁说好看的 只有我觉得崔智友丑么            
(4星)	 还是因为权相佑才看的！            
(4星)	 韩剧典型爱情纠结片~金泰熙令人惊艳的美丽啊！相比之下崔智友就完全不行了。。。            
(3星)	 后桌的同学当年留着权相宇的贴纸            
(NA)	 那个年代的风流倜傥啊~~            
(4星)	 这是我看过的最悲的。            
(NA)	 那时我还没掉韩剧坑里呢            
(3星)	 韩厥摆脱不掉墨迹            
(5星)	 小时候看哭道死诶，特别是第一第二集。现在想想也太蠢了把。            
(3星)	 最烦死去活来又死去了            
(5星)	 善良的人终究善良， 几乎每集都会落泪  ，              
(NA)	 看过N多次！！老妈曾经的最爱。。。            
(3星)	 满世界都是白血病白血病。。。            
(2星)	 不是我的菜            
(1星)	 成俊哥成俊哥的边喊叫边跑就是我对这部剧的印象了~~男女主角不是在奔跑就是在呼喊真叫人崩溃！韩国难道没有手机没有交通工具么~~            
(4星)	 倒数第二集赚了我的眼泪            
(NA)	 悲剧吧韩剧你就一直这么悲剧下去吧            
(3星)	 其实真不知道当初为什么会追完这部剧~失忆啊，绝症啊~狗血到不行            
(5星)	 都是我愛的演員，可也是浪費時間和淚水的劇情...            
(3星)	 很多人因为这部剧喜欢权相宇，但我真的觉得剧情太假了，无法喜欢。            
(5星)	 OUBA = = !!             
(3星)	 在电视上 看的  等着煎熬着看的            
(5星)	 当初就爱韩式悲剧啊。            
(3星)	 好好学习.保护视力            
(1星)	 金泰熙惊为天人！但其他三个真是够了！！！            
(3星)	 这个我都看了，我怎么这么喜欢折腾自己玩啊            
(3星)	 男一、女一、女二都不喜欢，我还大致看完了。            
(3星)	 比蓝色生死恋强            
(4星)	 哪里会有这么悲催的人生啊            
(2星)	 金泰熙多美多美多美啊！！！            
(3星)	 很早看过 哭的好惨啊            
(3星)	 不喜欢这种悲剧哭哭啼啼的东西            
(4星)	 终于看完了。。把最想看的6部爱情偶像剧终于搞定了。。            
(5星)	 那时候特爱看权相宇跨栏的动作~觉得好帅啊~哈哈哈~            
(2星)	 一星给演员，一星给配乐。各种韩剧中的nc成分在此剧中都可看见，无愧于撒狗血的集大成者。            
(NA)	 权相宇。。喜欢这个眼。。            
(3星)	 主角不好看的瑕疵真的太大了            
(5星)	 幼儿园就看过的韩剧～            
(3星)	 男二长相有点受不了 太悲情了 ~~~            
(1星)	 一直没有喜欢权相宇            
(5星)	 哎.. 太歹毒了女二            
(3星)	 狗血的韩剧....            
(3星)	 老妈睡前故事//就说金泰熙长得很凶            
(4星)	 演技赞~            
(3星)	 真够折腾的...电视台无限放想不看都不行            
(3星)	 从前几集就开始哭= =悲催的            
(NA)	 看过大陆翻拍的以后觉得挺好的            
(2星)	 断断续续看的，太累。这样多舛的感情，现实早就分了，感动不起来，童话的话就制作得喜庆一点            
(3星)	 懵懂剧            
(5星)	 天哪！如此经典的电视剧居然才这个分！！！！            
(4星)	 &#34;松株obba&#34;整部片来来回回的听得到这句话            
(3星)	 Can&#39;t believe that I used to love it            
(5星)	 和妈妈一起哭的淅沥哗啦……            
(3星)	 看了一点点，男主和崔姐姐不是我的菜。金泰熙挺美的。            
(5星)	  好心疼权相佑的眼泪，最喜欢少年演员朴信惠和白诚铉。            
(3星)	 N年前看过的为数不多的韩片。还真催悲的            
(5星)	 非常爱，看了好几遍            
(2星)	 典型的韩剧            
(3星)	 还行            
(3星)	 金泰熙超美呢。。。国内翻拍来着，没这个感觉。            
(4星)	 太悲催了            
(5星)	 經典！            
(NA)	 忘了剧情，好像有绝症。            
(2星)	 小时候那两个太有爱了~            
(NA)	 最后的结局有点遗憾。            
(3星)	 如果都是小时候的那群演员演的或许能看下去，因此我只看了小时候的几集···            
(4星)	 画家貌似很傻，但他的爱很真诚、很纯真。为爱现出生命就不是老值的了。看完最后一集，我才知道，这天国的阶梯只是这傻孩子心中不可能实现的幻想            
(NA)	 唯一看全过的韩剧，男主和男配大了都长残了，女主一直不好看，女配倒是大变身了            
(3星)	 还好吧            
(5星)	 悲剧韩剧始祖。金泰熙在里面太坏了……            
(NA)	 當時只看見權相宇淚流不止啊。。。。            
(4星)	 那时候看的催泪啊。觉得权相佑就是传说的白马王子呗。。。。现在……            
(4星)	 很久以前的事了，第一次那么爱崔智友            
(1星)	 烦死个人的。            
(4星)	 这是我哭的最厉害的一部剧。            
(5星)	 金泰熙演技最好的一部片子            
(3星)	 不行了 各种虐...            
(2星)	 不稀罕男猪脚            
(4星)	 崔智友就是悲伤代名词。            
(4星)	 记不清看了多少次，老妈这片以前在音像店租了不下5次...我也被逼着一切看，呜呜。但还是不错的电视！很经典。            
(4星)	 泰熙在里面很坏却还是让人很爱~~            
(5星)	 真纠结！就那么点儿破事儿么，整体故事是不错的，就是俗了。有点儿邋遢。            
(2星)	 从朴信惠到崔智友好幻灭            
(4星)	 最初貌似是陪别人看的啊，还是在高二升高三的时候~~~~当年依稀还是撒了不少猫尿的~~~貌似也迷过一段时间的权相宇啊            
(4星)	 顾老师借的碟 好久远的事333            
(4星)	 崔姐姐的狗血剧还在续写。。男二怎么那么丑。。            
(NA)	 我就记着我和姐姐用一盆草莓当筹码赌崔智友的大脸特写上眼泪几秒钟落下来            
(3星)	 当时的我呀 真是看得天昏地暗呀            
(3星)	 以前我也看韩剧..            
(5星)	 剧情缓慢，诚俊这样的男人什么时候能出现。            
(NA)	 算是第一部看得韩剧            
(3星)	 苦情戏最折磨人了。朴信惠真可爱。            
(NA)	 不要逼我，真滴木有印象            
(3星)	 我实在不喜欢男主、、、            
(4星)	 哭的我啊，小时候的片段一直哭。蛮喜欢权相佑的。            
(4星)	 为嘛分数那么低 我妈当年追的死去活来啊            
(3星)	 金泰熙            
(5星)	 深情。。。            
(3星)	 别老是得癌好伐！！！            
(4星)	 崔MM其实不算很漂亮，当时气质让人感觉特别舒服            
(3星)	 不要哭，有什么好哭的~~            
(4星)	 我麻麻最爱好不好            
(5星)	 好经典的悲剧，这种爱情真是伤不起...            
(3星)	 最恨这种绝症了。女主爸爸最傻了，被骗了这么多年。泰熙要不要眼睛瞪这么大呀。            
(3星)	 死去又活来的            
(4星)	 这也是一部经典，小学的时候看的，哭的哭的哭的那个惨。。。            
(5星)	 最无法自拔的 韩剧            
(4星)	 结局都是一样            
(2星)	 各种讨厌权相宇。            
(1星)	 老奶奶的裹脚布            
(2星)	 金泰熙不错啊            
(3星)	 虽然没有看全，但也不愿回头去看了。着实不大喜欢啊……            
(1星)	 听说这个韩剧很感人,充满爱情和眼泪．看了几集．ＯＭＧ．看不下去．以快进的方式看了结尾．唉,这种故事骗谁啊．崔智友看着不好看啊，不如那个演坏姑娘的金泰熙好看.　不过也许崔姑娘的类型比较受韩国人民欢迎？大长今也是那个样儿的．　            
(NA)	 曾经一度天天电视播的~            
(4星)	 我没哭，妈妈哭的稀里哗啦            
(4星)	 为了崔智友，四颗星！不过金泰熙在里面没有很漂亮，给我一种扭曲感            
(4星)	 作为一个韩剧盲，陪妈妈看了这个算是大事件了。            
(3星)	 这部片子只给我带来两个惊喜，金泰熙，和金泰熙的弟弟，李莞            
(3星)	 翻版的蓝色生死恋嘛            
(5星)	 人家是经典，没看过的咱伤不起~            
(4星)	 我承认我在大年初一看这个片 哭的一塌糊涂            
(4星)	 不喜欢，女猪脚一只受迫害哦            
(4星)	 感人。。            
(NA)	 撞人那段完全惊悚片！其余全部雷点            
(1星)	 被各大电视台轮番轰炸过...            
(3星)	 超级长的电视剧!            
(4星)	 哭死            
(5星)	 一说到这部戏，我就会想到金泰熙在剧中瞪得老大老大的眼睛，让人感到她心中的愤怒跟恐惧            
(NA)	 相当痴情的男人啊，可惜结局就是悲剧呢。。。。            
(5星)	 经典            
(4星)	 权相宇体力惊人 追公车 追地铁 追火车            
(3星)	 我妈妈看的一直哭哈哈 个人觉得第二女主很漂亮             
(3星)	 哈哈哈 以前就很喜欢金泰熙···            
(5星)	 又一部韩剧的泪点之作。在追这部剧的时候，知道了结果。但是看到结果还是流眼泪了            
(3星)	 这俩我都不感冒            
(3星)	 前面很喜欢，不喜欢承认是静书之后的情节，结局更牵强            
(3星)	 太多杯具看多了我都忘记了。            
(3星)	 各种苦逼啊，苦逼至极啊。。。            
(4星)	 啊 故事很戏剧，大家的演技都还好，尤其是权相宇那性感的唇。哈哈。。。            
(4星)	 不喜欢男二。            
(4星)	 挺好看的,就是很悲情,             
(3星)	 典型韩剧狗血情节            
(3星)	 这部剧挺喜欢权相宇的，后来其他的越看他的脸越奇怪。。好纳闷            
(4星)	 如果你说是左边,我绝对是左边,你说是右边,我绝对是右边,重要的并不是哪一边,重要的是信任            
(4星)	 还是很感人，比较经典。            
(2星)	 烂尾的。。。。。。            
(5星)	 好吧好吧，我又忍不住重温了一遍~(╯3╰)MUA！            
(3星)	 嗯 大悲剧 虽说主角不符合我的审美吧 凑合了            
(4星)	 崔智友演绎的悲剧女孩总是那么楚楚可怜，结局不可避免的悲剧，只有诚俊一人在海边弹琴，背影异常坚强。是我最喜欢的场景，之前神马陷害，错过，误会，阻挠之类的看得实在太多，已经免疫。从这部剧走出的配角门还是可圈可点的，金泰熙啊，朴信惠啊，现在发展都不错。            
(5星)	 早年间看过的，韩剧启蒙            
(5星)	 看的人哭的死去活来的，就是为什么韩剧的结局总是男女主角里总有个人要病死啊。            
(5星)	 催悲的韩国电影啊，。。            
(4星)	 悲！到最后简直是哭死人嘛！            
(4星)	 累片。就记得权相宇在车后拼命的追~·            
(4星)	 金泰熙美惨            
(3星)	 又是一部没看完的戏            
(5星)	 一般我喜欢悲剧。这部是我至今看过，哭的最多最厉害的电视剧。            
(4星)	 狠毒的后妈跟姐姐。            
(2星)	 绝病真多            
(3星)	 有点悲催            
(4星)	 权相宇就是矮了点。。。。            
(5星)	 爱上同一个人两次，这就是最缘分的缘分            
(4星)	 眼泪            
(5星)	 因为它我流过很多眼泪，因为它我彻底的爱上了权相宇，一直很多年            
(2星)	 不太能接受这墨迹，把人往死里虐的电视。朴恩惠竟然是小静书            
(3星)	 对韩剧催泪系已经没感觉了。            
(5星)	 貌似好像因为这个剧才喜欢的权相宇吧~催泪弹！！！            
(4星)	 很美哦,就是哭啊            
(5星)	 看了大概十几遍吧，我是不是太俗了~~~            
(3星)	 虐剧……            
(3星)	 崔智友你咋那么会哭捏～            
(4星)	 虐~            
(3星)	 权相宇长得太像高中时期班主任 所以只有不看他我才能跟着剧情一起伤感            
(NA)	 权相宇~            
(3星)	 虐来虐去 没劲            
(4星)	 悲剧==我妈超爱权相佑。            
(5星)	 我去，这可是我多少年来第一次看且看完的韩剧啊啊！看得我郁闷啊郁闷啊...心口总是被堵住的那种感觉你懂吗你懂吗！！你说你们两个见面就见面吧，为什么中间用了那么多镜头！魂淡我看完一部韩剧不容易的啊没有这么样玩弄人的啊！看完之后真的难受啊！爱就爱啊，结婚啊！魂淡为什么又有了病！            
(4星)	 催人泪下啊            
(NA)	 当年看这个的时候哭的稀里哗啦的。。。怀念。。            
(4星)	 其实根本木有可能坚持看完...伦家完全是因为权权啊&gt;&lt;            
(NA)	 烂剧情！好演员！真心相爱的人，一定能看得出来。眼神，眼神。还有全身散发出来的真情。            
(5星)	 当年的经典            
(3星)	 不得不说当年看这部剧的时候泪点低到程度，现在看来特么还能再狗血点，灰姑娘的遭遇和车祸失忆变瞎癌症 女主你的人生真疯狂             
(2星)	 安徽台...男主在奔跑...男二号丑            
(5星)	 当时太喜欢权相宇了..            
(NA)	 泪腺崩坏            
(NA)	 楼梯楼 ```男2要不要这么chou！！            
(4星)	 觉得小时候那段挺好看            
(5星)	 韩剧这类苦情片的头号代表           ps：大爱金泰熙            
(3星)	 看过很多遍了也... 唉             
(NA)	 ...金泰熙生气起来眼睛都要翻出来了            
(NA)	 보고 싶다 ..보고 싶다            
(5星)	 看的我想泪奔...            
(3星)	 看的时候看的是配音版，加上时代有些久远，加上逝去的青春。。。总体来说还行，还是大团圆结局？            
(4星)	 当时感动的哭，现在不会了            
(4星)	 好吧我前两次看得时候真被感动了            
(4星)	 虽然早就知道结局...但是看到权权哭我只能跟着哭...            
(4星)	 真的很久了  虽然是恶女 可是金泰熙很惊艳 其他的只记得权相宇的眼泪            
(5星)	 这个电视剧欺骗了我的审美观            
(2星)	 很烦这种傻不愣登的苦情……            
(3星)	 小时候不懂事觉得这片蛮好看的= =            
(5星)	 为什么每次他们一哭我就跟贴一样的哭啊混蛋            
(3星)	 哎，怎么说呢，已经全然无激情再跳进琼瑶大妈版式的坑了。            
(3星)	 除了眼泪不知道还可以用什么描述的电视剧。。。            
(3星)	 太悲了，所以选了还行，其实故事本身还不错            
(5星)	 我只能说编辑也太狠了点，什么不好的事都发生在她身上了！            
(5星)	 好吧，一把年纪了，是不该这样的，还是想起了初中的自己            
(3星)	 纠结…哭惨了…            
(3星)	 看过《冬日恋情》后，因为崔智友，追着这部戏看。太拖沓了，催人泪下的戏反复出现，让人视觉疲倦。            
(5星)	 哭的那是泣不成声啊            
(5星)	 我们家金泰熙长得多好看多知性哦！            
(2星)	 就前两集好看            
(NA)	 泪死的片子            
(NA)	 ~            
(5星)	 死去活来啊            
(4星)	 感觉是为了哭戏而哭。。这种太悲的戏果然不是我的菜            
(4星)	 帅哥美女，养眼～            
(5星)	 超感人的啦，也很催泪。。。            
(2星)	 受不了            
(NA)	 眼泪太多，太虐了！            
(NA)	 韩剧中我最喜欢的。别说赚廉价眼泪，我就是被他吸引。            
(4星)	 很感人T.T            
(5星)	 又一部悲剧，剧中好多感人情节都让我落泪，每个演员都演得很棒···            
(3星)	 韩剧有三宝有钱有病治不好            
(5星)	 感动。人生之路如此坎坷。            
(4星)	 我完全是为了申贤俊看的这部剧            
(4星)	 哭死了            
(3星)	 当年被老妈拉着看的，赚了一屋子女人的眼泪。现在看着电视剧来绝症都烦。            
(2星)	 在我看这部片之前，我做出了一个非常艰难的决定。是的，这部片听说很催泪，我也常常听到这个片名，又是的，这部片很长，现在我已经24岁了，没有一个非常充分的理由，很难说服我去看一部有28集之多的连续剧。我看了，诚然一开始很美好，头三集好看，可是后面的情节就好拖拉好拖拉……奔溃……            
(2星)	 拖沓。很不好看。            
(3星)	 我都忘了我还喜欢过权相佑。。。            
(5星)	 金泰熙演的坏人眼睛睁得大大的瞪人还真是吓人。权相佑和崔智友还是挺般配的，喜欢看他们滑冰            
(4星)	 当年可是很迷的            
(4星)	 爸妈都很喜欢            
(4星)	 很感人，当时就非常的喜欢崔智友，权相宇虽然长得不帅，但是也很有型了，很不错的一部剧。。。            
(5星)	 催悲滴，女主要是没死该多好呀            
(5星)	 权相宇            
(3星)	 崔智友长的太老气了            
(NA)	 这个恶心人的故事还硬是被国内电视剧山寨了N次            
(3星)	 喜欢金泰熙            
(3星)	 催泪韩剧之一...敢不敢再悲壮一点            
(3星)	 是悲剧啊!男主角超有气势~            
(4星)	 最爱的一部韩剧 从头至尾诚俊和静书 流了多少泪 爱就是一个阶梯 哪怕人鬼两隔            
(NA)	 焦老師說﹐崔智友的眼睛就是用來哭的老師﹐我們那時候高三呢﹐哪有語文老師這個時候給我們講韓劇的            
(2星)	 煽情            
(4星)	 两个女主角都喜欢，嘻嘻~            
(3星)	 善良的人得好报 但不得好死。。。。            
(4星)	 就因为这个喜欢上了权相佑，现在都结婚了啊。            
(NA)	 纯粹纪念下我五年级时候看的片子。            
(NA)	 当年相恋意中人 大家性情近            
(4星)	 那时追得天昏地暗的            
(5星)	 貌似....是我的第一部韩剧            
(4星)	 俗套的故事，还好演员演技不算太差            
(4星)	 相比较中国的那个版本 我觉得这个版本可以给四星。。            
(3星)	 额 女主是不是粉弄了很多啊            
(3星)	 安徽卫视            
