http://movie.douban.com/subject/6810832/	花美男拉面店 꽃미남 라면가게
(3星)	 杨恩菲的完美反击 ，帅呆了！            
(4星)	 我爱治秀勾魂的小眼神啊，我爱保罗弟弟性感的小嘴唇啊，我爱贤宇娇羞的小脸蛋啊，你还让我怎么说？            
(3星)	 果然是肤浅的剧啊 看看美女帅男而已~~            
(4星)	 男主很搞笑！女主比狼的诱惑时候漂亮很多            
(3星)	 好多美男倒是真的            
(1星)	 好乏味~            
(3星)	 片子很假的说，完全是因为정일우才看到最后~            
(3星)	 男演员们我都挺喜欢的！            
(3星)	 多扯得三角恋，笑笑就好            
(3星)	 郑日宇~！笑容超治愈~！！！！            
(4星)	 有点搞笑 就是看着女主角的脸有点别扭 感觉整得很不舒服 第三第四男主角倒是很可爱 第一男主角就是有点犯贱 挺好的一部轻喜剧            
(3星)	 坑爹的剧情~· 看不下了。。。            
(2星)	 前半段搞笑，够半段狗血 丁一宇的气质就是这类风格            
(3星)	 有点看不下去了。。为什么好男人都不吃香呢            
(3星)	 极度幼稚 我只是来围观帅哥 养养眼 打发一下寂寞空虚的时间的 ╮(╯_╰)╭            
(NA)	 熬过第一集的弱智，后面还是三观不正得挺好看的，梗都中点，最后一集烂尾哦            
(3星)	 只要按照這裡（心）的指使去活就行 雖然有點吃虧 但不用變得卑鄙 我喜歡裏面的長腿大叔！！！！！！！！！！！！！！！            
(3星)	 前半段好看点。            
(1星)	 中午留单位不回家的时候看的。。剧情烂的匪夷所思呀！！！            
(4星)	 过程好过结局太多，女一相当神似桂纶镁，男佩像吴建豪，郑日宇回归搞笑一家人风格            
(4星)	None
(3星)	 第一，所有男主都不帅，不懂凭啥是花美男。第二， 我是冲着女主去的，模样和性格似乎都没变。第三，心情不好的时候还真是得看韩剧啊。            
(3星)	 雖然老套 但是開心            
(4星)	 本来看了第一集，看不下去给关了，后来没事做想看不好看的片子以免上瘾。。。我怎么这么贱。。。然后发现，诶，好搞笑啊~虽然剧里的爱情很糟糕，但是当搞笑片看还蛮搞笑ya，养眼片看还蛮养眼ya。结局出乎意料的平淡。给导演最后收声的不张扬鼓个巴掌。但是编剧台词太老土啦！            
(4星)	 郑日宇~~            
(3星)	 其实我为什么会把这部剧看完呢~说明看该剧的比写实验报告只有聊那么一点            
(4星)	 两天看完。就记得丁一宇表情生动哦~            
(3星)	 小宇实在不错~OPPS            
(1星)	 弃~            
(3星)	 冲着男主长相去的。            
(3星)	 于是我又在圣诞看完了一部毫无营养的韩剧。。。            
(3星)	 本来是两星。给男主角加一颗。            
(2星)	 就這樣唄，花美男和拉麵都是沒營養的好貨色啊！            
(3星)	 三集 弃            
(1星)	 打五星的人！！！我无法理解你们！！！！！            
(3星)	 看美男 轻松搞笑 也有心痛时刻            
(4星)	 其实我觉得还不错啦。            
(3星)	 剧情很扯淡  冲着男二去的              
(5星)	 喜欢闹剧 喜欢活宝 ~！            
(1星)	 只有小女生才看的帅哥，还有一种可能就是你懂得            
(3星)	 觉得剧情没什么意思 主要是看演员了            
(4星)	 各种可爱。            
(5星)	 丁一宇童鞋真帅。            
(NA)	 不知所云...当我看过吧...            
(3星)	None
(3星)	 不是丁一宇的话，我看不下去...            
(2星)	 只能说除了丁一宇朴珉宇还是可以养养眼别的真心。。。一个养眼的给一颗星。。。            
(3星)	 我居然还看完了。唉。            
(3星)	 帅哥啊            
(3星)	 就是一帮卖萌的小正太，好鬼Q吖！怎么姐我一直有喜欢正太倾向？看着这类轻松搞笑浪漫的片子，让自己花痴下，放松下也挺好的。            
(1星)	 主要就是我为了标签，但是也太难看了吧            
(2星)	 演员再养眼我也看不下去呃            
(4星)	 挺好的啊为啥分这么低 搞笑死了            
(3星)	 后面拖沓了。            
(1星)	 很好，女一根本配不上男二啊.....就跟她的鞋拔子男一恩爱去吧....OK            
(3星)	 日本大叔好帅。            
(4星)	 还挺欢乐的，无聊的话可以看。            
(3星)	 这个片剧情真的是吾三吾四，可是为什么方块小姐还是看完了呢？！因为目前市场需求的男生类型都在里头~~啊哈哈~~男主角的演出很投入，女主角感觉没啥个性，如果你觉得心情郁闷需要放松或生活过于平淡就看看吧（仅限女生）~~            
(3星)	 只为丁一宇。哈哈哈哈。            
(2星)	 天雷(⊙-⊙)！            
(5星)	 好养眼的帅哥啊。哈啊哈哈哈            
(4星)	 我看来韩剧里的女主演技都差不多 因为表演的角色都好傻 男主就是在剧情里抓紧表现各种帅的表情 不停的电的广大女性观众晕乎乎 还是习惯丁一宇再拜托小姐里的成熟精英的样子 气质太优雅 不适合太搞笑            
(2星)	 女主是越看越难看，男演员也是，能看完这个我也算是不容易了。还有就是年龄差距太大了，实在是我无法接受的            
(1星)	 很烂的片子...            
(2星)	 一开始看的时候很是期待 也觉得而很搞笑 但是后来越来越觉得不好看 觉得车俊秀很幼稚 感觉女主角也“傻傻“的 剧情很无聊            
(1星)	 可惜了丁一宇这张脸。            
(3星)	 消遣还不错            
(3星)	 结尾垃圾            
(2星)	 我能说什么。。。如果不是郑日宇。。。我一定给这剧1星。。。当然就算是郑日宇的脸也没有办法拯救这部剧烂到渣的事实。。。剧情是神马玩意儿啊！郑日宇再童颜也演不出18岁高中生的感觉好吧。。。            
(NA)	 刚开始很戏剧 后面没剧情了            
(4星)	 某人的痞子样还真不错            
(3星)	 ·················我是如何看下去的？！            
(NA)	 花美男在哪里？！！！！！！！！！拉面都比男的好看！            
(NA)	 打发时间看看的剧。            
(4星)	 因为男主才看下去的，不得不说昨天的结局真是仓促。。。            
(3星)	 冲着里面的搞笑情节给的三颗星，不然说实话，实在觉得是不咋滴。            
(2星)	 片名太二了，但是还是点播放键了，女主角太二了，我还是看完了。整片可以快进看完，如果不是实在无聊到极点的极点，完全不要去看。            
(3星)	 前面挺逗的后面还是落入俗套喽。。。            
(5星)	 哇~看的我情绪激昂，哭笑疯癫~为什么这么快就结局了，还没有过瘾，抓狂~~~            
(2星)	None
(3星)	 无语得想撞墙            
(3星)	 happy ending. 挺搞笑的，不开心的时候可以拿来看看。强吻那段挺精彩的。            
(4星)	 柱子比不过少年啊!            
(NA)	 男二超级帅！            
(3星)	 李青儿到底变化多大啊。。            
(3星)	 尼玛，我居然把这部韩剧看完了。。。表示向来一部韩剧只看前面几集的啊！！！木有神马特别引人入胜的感嚼，但还是让我看完了。总之，。。。。。还能看看呗。            
(NA)	 冲着搞笑一家人的允浩去的            
(5星)	 完全被丁一宇迷住了，物理藕爸。。。。。。满眼小桃心。。。。。。            
(2星)	 越看越没劲。            
(2星)	 富二代的雷同戏码。            
(3星)	 不知道编剧哪只眼睛看着觉得车这个人像高中生了。。。。打人物身份上就说不过去啊。。。如果不是因为偶尔来点笑点低的笑料。。。真的是没的看。。。要不是因为我最近太无聊了。。。。。PS：金保罗好像樱木花道噢。。。            
(3星)	 闲暇时乐一乐，不能认真的电影            
(4星)	 每次看的时候我都特别想吃泡面。。。话说李青儿和在《去海边》的时候长得不一样了，一开始的时候都没认出来。好多韩剧都虎头蛇尾的，开头其实还不错，但是后边真的挺烂的。虽然郑日宇看起来还是很年轻，但是演一个十几岁的高中生还是有点装嫩了吧。保罗和贤宇都很搞笑~除了有些地方不错剧情还是挺烂的            
(4星)	 很欢乐的结局啊~没心没肺的看最合适了！            
(5星)	 超搞笑的反转剧!!!            
(2星)	 没劲，不好看。            
(3星)	 男主足够白痴，足够梦幻，足够偏离轨道；女主足够平凡，足够花痴，瞧那副老土眼镜儿~~~~~从审美绝度，就丁一宇是挺帅的；流行角度，女主整天出现的那些个复古领子，那淘宝上见过多次的复古鞋子~~~从剧情角度看，老一套，没啥新鲜的；就一笔带过的，相差六年的姐弟恋。整个编剧，有时候觉得略显唐突的，            
(3星)	 整部戏基本都没有很沉重的东西 轻松搞笑 饭后娱乐最佳            
(4星)	 李允浩脸型怎么这样儿了，还是high kick好看            
(1星)	 好友推荐~ 但坚持到第十集我真的看不下去了…… 我后来又坚持看完了 真是不能理解自己~            
(3星)	 剧情真的差强人意            
(3星)	 看不懂的狗血剧情。。。            
(2星)	 最近没韩剧了嘛？实在看不下去了...剧情老套            
(2星)	 女主有点二代张娜拉的感觉，连剧情都这么相似的狗血            
(4星)	 姐姐就是充着丁一宇去的！！不好看啊！！            
(2星)	 哎。。男演员们很帅，但还是逃不过狗血的剧情            
(2星)	 = =            
(NA)	 还有两集，加油！            
(4星)	 看得我好像吃韩国的拉面啊            
(2星)	 我真的看完了。。不敢相信。。。            
(1星)	 丁一宇这个年龄真心不适合演高中生了啊亲，女二真心贱，男二笑起来好丑，女猪就懒得说了===矮油好丑啊演技好烂啊……===第七集看完实在看不下去了直接跳到结局，好雷啊神马叫“你不吃拉面能活下去吗？“啊噗笑shi我了- -            
(3星)	 前面几集还不错，后面说是兄弟开始狗血了。。。            
(3星)	 冲着郑日宇看的（还是不习惯叫丁一宇），12集看完决定弃剧了，我还是期待他的下部作品吧……            
(4星)	 很多人都会说，好多似曾相识的画面，好多看着就能想到的剧情，怎么还是一如既往的灰姑娘，我想说，在电视剧里求个圆满，求个浪漫，不算逃避现实吧，反正还是社会人一名。            
(1星)	 看了1集就可以弃掉的脑残剧！就勒！            
(3星)	 造型凹的不错，就是人挫了点            
(3星)	 卧槽，强迫地硬是看完了，第三星给苦逼的男二            
(3星)	 搞不懂为什么把郑日宇叫作丁一宇，看了车治秀我只能说我很怀念当年的李允浩，结尾无厘头，白瞎了一帅哥。            
(4星)	 挺搞笑的            
(4星)	 少女漫风~男主在 49日 里我就怨恨他的戏份少，这回算是一尝夙愿了，不错，不错。虽然男主距离高中生水嫩程度尚有差距，男女主在学校的互动也只是在前几集，幸亏淡化了师生的设定，否则很难看下去了。            
(2星)	 烂            
(4星)	 看帅哥 有小刀 李基宇让我太不淡定了 好可爱啊你那么高大帅气的人怎么可以兼备可爱呢。。。。。            
(NA)	 偶尔来部韩剧。。营养又健康。。。            
(3星)	 挺夸张的，李青儿还不错            
(1星)	 编剧太坑爹。能不能不要一张嘴就呀地大喊大叫。弃            
(2星)	 只是为了看帅哥养养眼            
(5星)	 搞笑耶            
(NA)	 郑日宇。搞笑。            
(4星)	 女猪脚实在对不起观众了，不然这片子更好看啊啊啊啊            
(4星)	 一如既往的老套路，不过还算搞笑~~            
(2星)	 快进来着看。看不下去- -            
(4星)	 哎……看在郑日宇的份上 4颗吧…… 长这么帅 这剧本可惜了            
(3星)	 看至一集，弃剧。            
(4星)	 男二的身材啊···身材啊···卖萌啊···卖萌啊···可爱的保罗啊~可爱啊~~小娘炮的班长啊···男主是个二货···二货啊···二货。。。而且居然又喜欢上了自己的老师···丁一宇咋老是喜欢老师呢。。。力大无穷的女主啊···不过咋跟狼的诱惑里不太一样了呢。。。一群二货加萌主还有个小娘            
(3星)	 看完两个疑惑……煮个拉面有这么难么？男猪脚还特地为女猪脚学……而且肿么开个拉面馆就成社长了……            
(3星)	 剧情真的太一般了            
(4星)	 尼玛剧情真的要我疯了，要不是小宇，我绝对不会看的，看在小宇的面子上给高点分吧。。。            
(1星)	 一集弃，欣赏不了。            
(3星)	 貌似評價很不錯~~但是也沒看完~~~~~            
(4星)	 说实话,有时候脑残的片子根轻松,不用多脑筋,笑一笑就好,那么累干什么!            
(4星)	 估计现在这么低的原因都跟片子无关吧~            
(2星)	 能不能有点新玩意儿=-=            
(3星)	 很搞笑            
(3星)	 小韩剧一枚 天然呆男二号萌翻了            
(2星)	 某小朋友推荐的，看出来他极尽所能想要模仿秘密花园等剧。。。但是这对男女真心无火花啊。。。玄彬欧巴到底什么时候服完兵役啊            
(1星)	 看到第7集觉得真的不能再往下看了，简直脑残没下限，爱了丁一宇很多年，这次彻底为他选的脑残剧本哭了好么。。。虽然他演得很卖力            
(5星)	 治秀君真的是太萌了....结局很甜蜜啊            
(1星)	 我看这应该叫2B男脑残女方便面店~            
(3星)	 看这种剧吧就是看看帅哥就够了&gt;&lt;            
(3星)	 为了年下的丁一宇同学，偶跟着老妹在一起看~~            
(5星)	 韩国人总叽哩哇啦的大叫  粗鲁死了 问题他们还总瞧不起中国人 棒子就是棒子            
(3星)	 有点无厘头啊            
(5星)	 郑日宇的演技太好啦~~ 傲慢，无知，单纯的小少年~            
(4星)	 我之所以喜欢你是因为 在你面前我是我自己            
(3星)	 不追了，三颗星都是给丁一宇的，女主大妈你能不能不要演的那么假……            
(3星)	 熟人、新秀，让我想起当初的美男，能不能不这么虎头蛇尾啊。。。。            
(4星)	 男主太帅 男二号到爆==            
(3星)	 有没有发现，女主角走的是复古路线，很像豆瓣儿里面的“晚晚”的风格哦~~            
(2星)	 我就是吃饭的时候无聊；。。后来再也没看过，所以说。不行啊            
(1星)	 恶俗啊恶俗啊。。。 看完只因我对电视从不半途而废= =              
(1星)	 女猪脚的长相，我这双钛合金眼都无法54之，弃之            
(4星)	 搞笑一家人            
(3星)	 没有预想中那么好看            
(4星)	 很搞的姐弟恋            
(2星)	 看局中人的表情就知道这是部什么水准的剧了            
(3星)	 除了搞笑之外没有其他看点。            
(2星)	 伤不起，编剧简直指哪打哪，全然欣赏不来啊。难道是我老了？！            
(3星)	 傻逼一般的女1 2 号 傻逼一般的男23456....号 我就是看郑日宇的 不过我也支持保罗和班长在一起 哈哈哈            
(3星)	 应该在前5集之内果断放弃的            
(3星)	 我爱的狗血剧情 肉麻段子            
(2星)	 剧情太瞎，不觉得丁一宇帅...            
(3星)	 男二。            
(2星)	 虎头蛇尾，从差不多第八集开始剧情它就出走了。            
(5星)	 其实不怎么喜欢看韩剧，不过这一部真的很喜欢  o(^.^)o            
(4星)	 还在追 蛮搞笑的.            
(3星)	 哇哈哈哈哈            
(3星)	 弃            
(3星)	 男猪脚是我的菜，所以才看了，以前在high kick里面的小孩子长大了。整体说，剧情还是老套，25岁老傻女，4个大帅哥，有钱男猪脚，高中生，80后，90后，多角恋，女后宫~~还不错，都是可爱的人            
(3星)	 终于看完了，哎，真的只是看美男啊！结局很突兀，不过就那么回事吧！听说49天不错，去看看            
(1星)	 韩国的编剧还可以再烂一点。。。快和TC的编剧一样无脑了。            
(2星)	 难看            
(NA)	 男主跟女主像打了鸡血一样。。。。            
(3星)	 又看花痴韩剧了，虽然觉得有点幼稚、俗套，可是还是看得挺起劲，也许这就是韩剧的魅力。另外，豆瓣怎么把郑日宇愣是改名成丁一宇了，奇怪的翻译。跟着看了几周，果然是幼稚啊            
(4星)	 还可以挖~~            
(5星)	 看着看着就想吃泡面了，喜欢丁一宇的这个发型。            
(2星)	 就算有丁一宇 我也看不下去了            
(NA)	 男二激萌啊，身材这么好，还脱线，行事风格简直是男版野田妹啊这！            
(4星)	 轻松剧啊~ 青春啊~  没想到是狼的诱惑的女主角~            
(2星)	 撑到10集 果断放弃了            
(4星)	 城市猎人之后就没再看韩剧了，这次还算不错啦~            
(5星)	 笑抽了~            
(5星)	 太好看了！            
(3星)	 自浪漫满屋后我比较喜欢的一部韩剧            
(1星)	 很烂。            
(4星)	 还挺乐呵的 车爸可爱的很            
(4星)	None
(NA)	 看这名就够SB了。但是为了允浩我要忍。一定会争取快进拉完有允浩的镜头的。嗯。╮(╯▽╰)╭            
(5星)	 丁一宇            
(4星)	 结局 真不知怎么了             
(5星)	 这就是一部脱线剧 脱线到底~~~            
(1星)	 你们假鼻子都歪了..            
(3星)	 莫名奇妙的完结了，莫名其妙的在一起了，一切都莫名其妙            
(1星)	 我擦。。能别那么2嘛？            
(3星)	 这真不算花美男~            
(NA)	 女主太不给力了，没追完            
(1星)	 弃剧            
(NA)	 男主好像李玉刚            
(2星)	 ……完全不理解它在韩国的高收视！吐槽无能~            
(4星)	 好笑~~            
(2星)	 女主长得像桂纶镁&amp;杨幂&amp;周冬雨，女二长得像刘诗诗。都不好看！放了一个多月终于把最后一集看了。脑残花痴肥皂剧。一星给搞笑！一星给金保罗！丁一宇表现一般。不推荐。            
(1星)	 啊 第10集放弃。。没意思            
(1星)	 我觉得所有的语言都不足以形容他的烂~~~~            
(2星)	 又是仓促的烂尾.虽冲片名去看的.但也不要拍得那么做作嘛.男女主姐弟恋就不吐槽了.不要细节都很2B啊.不怪编剧了.一贯韩剧不都如此抱怨啥.就看男人花痴下好了.观后感就是要煮个面啥的都给我花时间搞得很华丽.要美感不在乎面不面的了.            
(3星)	 确实不知道在讲什么，但确实都是花美男。            
(3星)	 还行吧，            
(4星)	 开始是消磨时间用的，现在稍微有点入戏。不过说实话还是冲着几个人还算可以的颜去的。。            
(3星)	 仅仅因为那张脸……            
(3星)	 韩国整容盛行，于是乎男女猪脚就是典型啊 男主是李民浩和金贤重的结合体么。。。可是还是好丑啊。至于女主，我已经分不清n多韩国女艺人了，有必要整的都一样么...ps、男二很不错啊~不过貌似他总是演牺牲的角色，&lt;假如爱有天意&gt;里也是...╮(╯▽╰)╭   剧情很适合我这种不操心的脑残粉- -！            
(3星)	 剧情灰常无语，好在有gg            
(3星)	 纯粹打发时间来看的....竟然喜欢丁一宇唱的那支歌....            
(4星)	 女主角、女配角扣一分。            
(1星)	 卧槽            
(3星)	 剧本很烂我居然一路吐槽地完整看下来了我就是恶趣味哈哈哈。PS:这次的李青儿是锥子脸。            
(NA)	 9集弃~~尝试着理解女主可是怎么就进不了状态╮(╯▽╰)╭            
(1星)	 实在是坚持不住了...已经无数次点开视频五分钟之后去见周公了......这种没什么大脑的纯抽剧果然不是我的菜......类似题材的《咖啡王子一号店》就明显顺眼很多...六集弃！            
(3星)	 最后拖着看完的…            
(3星)	 虽然作为调剂心情的花痴片，本来要求就不多，但是编剧也编的太二太没逻辑了吧~~~~有些片段还是二得很欢乐的。。。            
(3星)	 对情节无感……            
(5星)	 没得看了。。~~~~(&gt;_&lt;)~~~~             
(5星)	 真正的浪漫comedy啊，看的超开心的            
(3星)	 标准的虎头蛇尾啊            
(3星)	 再烂的编剧也抵不过一颗沸腾的心..orz....            
(4星)	 搞笑片，绝对爆笑            
(5星)	 单纯的喜欢而已。。感觉前两集和后面的不是一部戏啊~果断第三集开始给力            
(2星)	 為了丁一宇硬食            
(3星)	 男主的表情特别夸张，表演很做作。演到6集了，还没有拉面店什么事情呢，我倒要看看啥时候开始卖面。最后一集：杨恩菲分明是刻意却又假装是无意的拿着皮搋子满街跑。终于看完了，除了花美男养眼，这部剧真的不怎么样。            
(3星)	 额 迷迷糊糊的追完了 也太赶了吧16集就掐死了 接着追《我也是花》吧            
(3星)	 最后一集完全无逻辑啊            
(2星)	 姐弟恋什么的最烦了            
(4星)	 小宇好帅!! 受不了大。哈哈哈            
(3星)	 猫头虫尾。中间有点笑点 终究还是一部不怎样的烂片~             
(3星)	 除了看丁一宇卖萌 就是保罗很可爱 剧情好好好好好不现实 丁一宇怎么会是高中生???!!!瞎了我的眼嘛……好吧 还是有那么点情节觉得还不错的            
(2星)	 完全不知道为何要追这部剧，丁一宇真的很智障的样子。。。看了一半，是在看不下去了，就当看过了吧。。            
(NA)	 富二代性格男猪，贫二代SB女猪，男猪各种形式的兄弟，男配，男猪喜欢的最后放弃的女配，女猪各种形式的花痴女喷油，典型韩剧症候，结果只能拼拼细节了            
(4星)	 这么不爱看韩剧的我...啊哈哈哈...不知道为啥就是喜欢这个啊...可能跟偏向漫画有关吧...而且只要稍微悲情了,马上就有搞笑的补上..            
(NA)	 真没法看- -            
(3星)	 不是因为郑日宇老子我是不会再看这样的脑残韩剧的了！！！看完十六集之后我一声“啊？”就结束了，什么嘛富家子和平民女的韩剧看多了真受不了            
(4星)	 到后面有点无趣·            
(NA)	    总觉得有那么点小纠结 哈哈   2号男主角怎么那么多瞌睡啊            
(1星)	None
(3星)	  啊哈。 我们家帅气的郑日宇撒``            
(5星)	 丁一宇眼看要火过李敏浩了             
(3星)	 除了帅哥一无是处的一部剧，我竟然还看完了，我都有点佩服自己了真不知道韩国的编剧大妈的脑袋都是怎么长的            
(4星)	 被男二李基宇秒杀了，参军后好像又清瘦了不少，那个发型太帅了，看不出比丁一宇要大6岁呢，演高中生也绰绰有余。那身高衣服架子            
(3星)	 弃了。            
(3星)	 冲着丁一宇，也只能给到三星了。要不是有他，我根本不会看完。基本没什么剧情。烂编剧。            
(3星)	 16（完结） 虽然剧情幼稚加无聊，但师生恋什么的最有爱了！完全是为郑日宇坚持看完的，笑起来是有多迷人            
(NA)	None
(2星)	 弃之，宇啊对不起。            
(4星)	 就怎么不温不火的结束了            
(1星)	 MD！够狗血！丁一宇！你要敢拍第二部！我就再也不理你！！！            
(2星)	 又是一部因为男二而追得韩剧。。。男二啊，男二才是我的菜啊！！！多点镜头给男二嘛~·~~~~演员再好看，编剧太烂也无能啊~！            
(3星)	 果断弃            
(3星)	 脑残没关系，男主帅就好了啊！///////虽然男主帅可是剧情是不到两集就傻逼女主就开猪脚光环的韩式小说怎么看得下去……            
(4星)	 杯杯有搞笑有花痴有，恶俗时候又给你来一下温情，讨厌不起来，很适合饭前中后不费脑观赏。            
(3星)	 丁一宇和李基宇是亮点~剧情一般。            
(3星)	 好好笑，就是没耐心看下去            
(5星)	 喜欢            
(3星)	 为小宇看偶像剧。。。            
(NA)	 坑爹的编剧！！！            
(3星)	 又是部华丽丽的脑残剧。两集弃。            
(3星)	 看着玩喽            
(4星)	 看了两集感觉不错噢            
(3星)	 정일우를 또 봐! 就是用来练韩语的。            
(3星)	 后面越来越难看了            
(5星)	 追了两个月，好不舍…我爱小宇            
(3星)	 3星帅哥。。            
(3星)	 不是我们家小宇，这个电视我肯定早就弃了，编剧太瞎了！            
(2星)	 拉面馆的胡萝卜少年，各种别扭，各种萌系，各种无知的loli心            
(3星)	 这孩子怎么那么帅啊，我额娘都喜欢的不行            
(2星)	 财阀二世祖高中生与拉面店老板独生女老师的故事，根据日本漫画改编的吗？充满日式夸张的剧情，后期韩式煽情又占了上风。对丁日宇的学生装始终无法抗拒，总觉得角色骨子里还是那个外表乖戾内心温暖的允浩啊。ps就算我再花痴，这么白痴的剧情我也坚持不下去了。果断放弃。            
(3星)	 还行的剧情，还行的演员，还行的音乐，还行的结局...整部片子都很一般，最出彩的就是丁一宇，这孩子演技还是不错的，还且颜真心赞！今年韩剧是流行这种抽风炸毛富二代x大力彪悍贫穷女吗，《守护boss》是这样的组合，这部也是，不过比较下来这部比较弱，丁一宇外形胜过了池城，不过演技罗逊一筹            
(2星)	 不知道为啥 看了一集就没兴趣了 可能剧情不吸引我            
(4星)	 居然看韩剧了~我是怎么了啊.....            
(3星)	 又是一部拍给姑娘们的A片儿            
(NA)	 李青儿 我又看到她了 最早是在狼的诱惑里面演女主的哇 一开始还觉得这女娃的长相在韩国混不久的类 没想到。。竟然混了这么久了 还在了 说实话还看得下去哇 她的演技有点特别的说            
(4星)	 除了剧情以外演员和拍摄都不错 目前这段特殊的时间里被狗血的很愉快            
(4星)	 帅哥卖萌又卖面，哎哟哟            
(3星)	 一般一般。天下倒数第三            
(3星)	 这电视剧就最后两集还能看~真不知道我是怎么坚持下来的......            
(3星)	 这题材着实不怎么吸引我…还是弃了…            
(3星)	 帥哥真心多。。。            
(4星)	 其实还不错 蛮搞笑的~~冲着男猪脚看的~~            
(5星)	 感觉还行，幽默的一部韩剧，是我喜欢的剧情。            
(2星)	 剧情太弱了！            
(4星)	 演高中生必备JB头            
(1星)	 别拿泡面当拉面            
(NA)	 第二集实在看不下去了。。。            
(3星)	 最近看这个，就对拉面有了好多神想。(馋~~~)            
(2星)	 额 女主的角色设定。。。。。。。。。额 2集弃            
(3星)	 哪个翻译的叫 丁一宇，还丁小宇的！！！ 我反正就认定他是《搞笑一家人》的郑日宇！            
(NA)	 不错！挺有意思的！            
(3星)	 没有看完 有几幕我感觉像花美男= =。。            
(3星)	 本来还是很喜欢郑日宇的，可惜看了几集还是弃了            
(2星)	 尼玛，这男女猪脚的脸上割了多少刀！！！ .            
(NA)	 没有想象的好看，其实完全是冲着小宇来的。            
(3星)	 有点类似金荷娜和权相佑演的那部电影“我的野蛮女教师”，又是部美女加帅哥的俗套韩剧，郑宇成又演回高中生了，倒挺嫩的，李青儿自从演完那部大红的“狼的诱惑”后就没什么大红的作品了，其实她还是蛮可爱的，勉强三星的韩剧。。            
(4星)	 啦啦啦。丁一宇。            
(3星)	 因为丁一宇而看的，但情节曾的一般般啦...            
(3星)	 利用平安夜看完了，祝大家圣诞快乐！剧情一般！丁一宇其实挺高的，但在剧中真的变成矮子了！“狮子吃草”真的有够荒谬的！女主演《狼的诱惑》时超纯的！            
(NA)	 一集半弃            
(3星)	 就为了丁一宇而看的            
(2星)	 .....中间都没看            
(5星)	 谢谢拉面店陪我度过的这段日子.有感动.有欢乐.有你们的陪伴真的是太好了.             
(3星)	 就这样完啦？？没意思~            
(1星)	 开头看还有些意思，后来越来越看不下去了。。。。男主不帅，女主也不漂亮。。。失败，太失败了。。。            
(2星)	 中途多次想弃~~开始时还挺搞笑，后来不但不够搞笑，剧情越来越苍白。完全没有主线~~            
(4星)	 丁一宇这个萌货。            
(2星)	 这么恶心的剧 我也看了            
(3星)	 现在韩剧怎么都看得这么腻，太腻了            
(3星)	 还好 只为了看帅哥            
(2星)	 很幼稚...最后几集看不进阿            
(4星)	 因为丁一宇才给的4星            
(4星)	 剧情很弱~还好演员都很养眼。结尾部分泪点中夹杂笑点啊。            
