http://movie.douban.com/subject/2253756/	凤凰四重奏 鳳凰四重奏
(3星)	 妈的，佘诗曼怎么会和吴卓羲有一腿！？            
(2星)	 后来我知道了,TVB也出烂片            
(5星)	 挺好看的，一世一世的比较有感觉吧            
(NA)	 不错不错~可惜永远没有看完整过            
(3星)	 第三重奏最没意思            
(NA)	 good            
(5星)	 第三代很搞笑，最喜欢第四代            
(2星)	 无聊的时候看看的。            
(NA)	 还行            
(4星)	 最喜欢第三部分            
(4星)	 2012.02.10            
(3星)	 为了三苗忍受某女人            
(4星)	 喜欢第一重和第四重~无论遇到什么事 都不要轻言放弃            
(4星)	 佘诗曼还是适合古装打扮！            
(4星)	 记得这是借同学的碟子看的，。。那时学校里还没有连网            
(NA)	 很好看的            
(4星)	 虽然不喜欢佘诗曼，但是这个剧情还是蛮讨喜的，最喜欢最后一个章节。            
(3星)	 傻。。。。但还是看了，因为佘诗曼            
(3星)	 都一样，TVB都一样，            
(2星)	 前面比较好看，后面不好看            
(4星)	 最喜欢第一个和最后一个故事            
(4星)	 喜歡最後一重奏。            
(5星)	 最好睇第一部古装的～            
(5星)	 好看~喜欢马德钟~~~~            
(5星)	 我喜欢马德钟            
(4星)	 喜欢最后一段            
(4星)	 最喜欢第三个故事            
(3星)	 有一点做作和不切实际            
(3星)	 很复杂            
(3星)	 TVB也会玩深沉了啊，这算“文化沙漠”香港为数不多比较有内涵的电视剧了吧。（内涵啥意思？囧）佘诗曼的表演可圈可点，不错不错！            
(4星)	 喜欢第三和第四代~            
(3星)	 你要记住,能够遇上自己喜欢的人,是一件最幸福的事,所以你一定要好好珍惜.            
(3星)	 最喜欢第三代，港剧对六七十年代夸张式的表现很搞笑，但感觉整剧还是有点混乱。            
(3星)	 我只看了第一部，觉得瑜凤的命运好悲惨，心地善良却又得不到真爱。。。那个毓麟就太过分了，让我气得来无话可说。。。那个余赐么虽然老实善良，可是好像化妆的太老了。。。            
(3星)	 四段跨越世纪的爱情，但后面不大好看了……            
(4星)	 佘诗曼演得不错。            
(1星)	 boring!            
(2星)	 TVB真不容易，能拍出那么幼稚的戏。            
(4星)	 最爱阿佘！！            
(3星)	 还是第四部好看，喜欢不一定要结婚嘛。            
(NA)	 阿佘很迷人，马德钟的演技真是没的说，四个不同性格的人物被他演绎的好到极点            
(5星)	 很喜欢最后那个时期的            
(3星)	 帮偶然间在电视剧频道看到的一个电视很像!            
(NA)	 喜欢苗苗的一吉，很符合他的性格哦~·            
(3星)	 表演的太戏剧性了            
(5星)	 男人、女人看了都会有所启示            
(4星)	 故事比较有趣，虽然有些地方饰演得比较夸张，不过也是为了戏剧效果嘛！            
(2星)	 中国女人的历史变迁。            
(3星)	 事实证明港剧是毫无头脑可言的。            
(3星)	 很久前看的了            
(4星)	 巨喜欢佘诗曼啊。、            
(4星)	 穿越时空，好玩。            
(NA)	 呵呵 又是一部很好的港劇呢···都看過好多遍啦···            
(3星)	 我挺喜欢            
(3星)	 罗里八嗦            
(3星)	 还是对暗恋的故事无抵抗.所以最喜欢第一个故事.我当然是希望他们在一起的,可是正因为没有在一起,才更荡气回肠.            
(3星)	 为什么马德钟是男猪呢？总觉得他是演坏人的料            
(2星)	 麻麻哋……            
(3星)	 还行            
(3星)	 有点傻            
(4星)	 第三代最好看~~            
(5星)	 最喜欢 最后那一part            
(4星)	 马德钟适合演精英型的角色！但总体上每个角色都差不多表情，差不多感情，看来差不多的演技决定了他在tvb差不多的地位，现在小生竞争还满激烈的，差不多很难上位呀！            
(NA)	 四个不同时代的女人爱情与婚姻观的演变，好看！            
(3星)	 一直记得KO。。。            
(4星)	 四个女人各有特色            
(2星)	 讨厌佘斯曼            
(4星)	 四个不同的时期里果然我还是最萌民国啊~~            
(3星)	 没看全            
(NA)	 最后一个时代的时候杂峰哥变成了个gay。。。。。            
(5星)	 能够遇上自己喜欢的人，是一件最幸福的事~~~            
(5星)	 片头蝶变，片尾禁恋都很好听            
(NA)	 最后两部分是在凑集数？？？？            
(4星)	 觉得阿佘演技很好。            
(5星)	 有创意            
(5星)	 好久没high tv series了~有意思            
(NA)	 佘诗曼很漂亮,,,一重奏特别好看~~~            
(3星)	 得小吉Q            
(5星)	 哎呀第四段里面马德钟太帅了。。            
(5星)	 喜欢上了两个原本不怎么喜欢的人~呵呵~创意很不错 演得也很棒~            
(4星)	 不错，挺有创意挺喜欢的！            
(4星)	 我只看了现代的那一部分 喜欢佘诗曼大大咧咧，豪气的性格~~             
(3星)	 没什么新意            
(3星)	 前面几年很时兴一部电影讲好几代人或者好几个故事的拍法.看的多了,又觉得厌倦.如同我不喜欢看电影的原因是觉得短短地电影无法完整地记录反映人们的情感和生活,一部电影再分割成好几部分,人物地刻画又淡了些.            
(NA)	 基本算看完了啦，编剧还是蛮强大的。阿佘还是适合古代和现代的，中间的造型不好看。            
(3星)	 最喜歡第三個故事            
(4星)	 我比较喜欢看现代的那奏呵呵            
(NA)	 看来看去还是喜欢看现代版。。            
(4星)	 喜欢佘那种太妹打扮。            
(4星)	 喜欢，没有理由；执着，原是默默。            
(4星)	 很乐，喜欢看第三段儿            
(5星)	 喜欢最后一部的陈键锋            
(3星)	 最后两奏好看            
(NA)	 27集以后和不同的人看了至少四遍            
(NA)	 最爱啊佘~~            
(NA)	 第三代和第四代巨傻            
(NA)	 第三第四世好看，苗苗……            
(4星)	 编剧想的出            
(4星)	 双料视后。            
(3星)	 2星半            
(NA)	 目前为止，这是《胭脂扣》+鲁迅小传+《大丈夫》+xxx的混合产品，但是它就是有那么点好看：）            
(4星)	 四代人都长得一样啊            
(NA)	 只看了三四 三太洋了 至于古装苦情戏没兴趣             
(5星)	 “你要记住,能够遇上自己喜欢的人,是一件最幸福的事,所以你一定要好好珍惜,无论遇到什么问题,都不要轻易放弃,只要你爱他就什么问题都可以解决”            
(4星)	 无论什么时候都要相信，只要你爱他            
(4星)	  佘诗曼 马德钟 陈键锋             
(5星)	 女人凭借这部电视剧拿到了双料！            
(NA)	 终于看完了。            
(NA)	 喜欢佘诗曼太漂亮了~~~~~~~~            
(5星)	 很好看            
(NA)	    这里的爱情.这里的付出.  都是那么的直接.隐忍            
(NA)	 意义非凡的剧...            
(3星)	 一人分饰四角，不错！            
(NA)	 没理由的讨厌佘诗曼            
(NA)	 看港剧让人不寂寞            
(4星)	 形式新颖            
(4星)	 超级搞笑的~不过里面马德钟还是很帅的。尤其是穿西装的时候。。呵呵，越来越喜欢腿长的男生了~            
(3星)	 很雷            
(NA)	 一家四代女性的生活故事，四个时代（清朝、民国、60年代、当今），四种性格（认命、坚强、独立、叛逆），伴随着凤凰楼的风风雨雨。。。            
(5星)	 charmaine sheh:TVB獨一無二的雙料視后！            
(4星)	 姚樂怡真的是很漂亮            
(4星)	 挺好看的～            
(3星)	 喜欢第一部和第四部            
(NA)	 其实中间有跳，感觉一般般            
(NA)	 没看全～～            
(4星)	 喜欢佘诗曼            
(4星)	 女人不止这四型            
(4星)	 tvb我的最爱~            
(5星)	 很好看呀            
(3星)	 题材很新颖啊～            
(5星)	 近几年中比较好看的一部            
(5星)	 有意思的电视剧            
(5星)	 佘诗曼            
(4星)	 后面两个主人公的故事比较搞笑！            
(4星)	 跟 百年物语……很像嘛~            
(NA)	 还记得去年疯狂追此剧的情景……那蚊子咬的啊！            
(4星)	 尤其喜欢最后一奏。            
(3星)	 麻麻地。。。            
