http://movie.douban.com/subject/2363863/	MVP情人
(3星)	 看过一些，没有看完~还行            
(4星)	 我恨死最后一集了            
(1星)	 吐            
(3星)	 很哈高兴！！！            
(4星)	 那时候我还年轻……            
(3星)	 哈哈~看完了只记得了颜行书            
(4星)	 比较经典的偶像剧吧            
(3星)	 不是很喜欢呢 虽然里面一些插曲不错            
(3星)	 当时觉得还不错            
(2星)	 哎。。那时候的张韶涵那莫难看。            
(3星)	 里面的配角都很搞笑            
(3星)	 喜欢 高兴            
(3星)	 张韶涵没有进步。颜行书长得太难看不予评论。孙协志还蛮灵的            
(3星)	 小学3年级的时候..  记得那时看得很high - -               
(3星)	 一直觉得颜行书...还是换掉吧！~            
(2星)	 颜行书好恶心...            
(3星)	 男1男2全不喜欢,,全剧只喜欢打篮球超有腔调的高兴以及他的小冤家~~            
(NA)	 我也是看过偶像剧的啊...            
(3星)	 额 好像当时很火 但里头没啥喜欢的人物            
(3星)	 从前感动于太子            
(5星)	 5566~无所谓，哈！的世界诶~~~            
(2星)	 我怎么看了这么多烂剧            
(1星)	 男主角能帅一点吗？            
(4星)	 那时候的张韶涵。。。。。            
(4星)	 那时候流行的内句话啊啊啊啊。经典的台词。            
(5星)	 炒冷飯呀麼炒冷飯@@            
(NA)	 多么年少的时光- -            
(3星)	 男主角都正的好丑，后来才知道是5566.。。难怪没红。。            
(3星)	 当年CJ的我……            
(3星)	 记忆里觉得里面的高兴很帅            
(4星)	 当时太子就是我心里的王子 呵呵            
(3星)	 5566 杀手 DJ 太子 iceman。。。            
(5星)	 喜欢里面的高兴            
(2星)	 男主角太丑了 女主角比较正常            
(3星)	 有点抄袭。。。呃            
(3星)	 翻电视时无意间看到，然后就一发不可收拾的迷上了。            
(4星)	 看过不止一遍的电视剧 几乎一有重播就会看 喜欢里面的插曲            
(4星)	 当时我就觉得张韶涵一定会红！只是没想到后来她的歌声这么惊艳..            
(2星)	 男主都很衰= =            
(2星)	 = = 张韶涵的剧。。都不是很好看            
(3星)	 受不了            
(4星)	 最喜欢的偶像剧之一，因为这部偶像剧喜欢上篮球，剧中小希说的“不要轻言放弃，否则对不起自己”这句话，我一直用到现在。            
(3星)	 初中看的。            
(2星)	 好傻            
(3星)	 哦...高中时看过            
(3星)	 03年暑假在长沙的网吧看完的。喜欢那时候的颜行书            
(3星)	 那个男主角也忒丑了吧，看了一点，没有看完            
(4星)	 娘啊  这个都有。。。            
(NA)	 只适合消遣时间，消遣心情            
(3星)	 连人设都是抄袭的 灌篮高手  啊 啊 啊            
(2星)	 烂啊            
(5星)	 喜欢孙协志~            
(4星)	 很早的片 不过看起来还蛮舒服             
(3星)	 主角 太太太。。。丑了            
(5星)	 很喜欢看涵涵            
(3星)	 我喜欢高兴！            
(3星)	 从前看的时候，觉得还8错，张韶涵那个时候超级可爱的            
(3星)	 当时我同学还送我一个篮球的手机挂件来着，和剧中的那个一样。            
(4星)	 喜欢高兴。            
(3星)	 5566啊~~            
(1星)	 我竟然看过……BS我自己……            
(3星)	 小学时似乎很迷```            
(2星)	 这个里面只能说张韶涵那个造型实在体现出了她的勇气~~~            
(3星)	 就是男猪太丑了，这样子的男猪根本没有竞争力嘛            
(2星)	 孙协志好老……            
(1星)	 太丑啦啊啊啊一点都不偶像剧            
(1星)	 男主s太那个了……            
(4星)	 一直想看续集来着            
(4星)	 行书好有型，他还是打球好过做明星。            
(2星)	 剧情不记得了，就觉得那时候张韶涵好傻            
(3星)	 男主角好丑            
(NA)	 - -            
(3星)	 就喜欢那个叫高兴的，原型应该是我们家寿寿            
(3星)	 高一的时候跟着全班同学躲在陈旧的音乐教室看老师放的片子。没有完。后来高考结束后自己重新回顾了一遍。我喜欢小希说的。不要轻言放弃。            
(1星)	 即使是在幼稚无知的时候也不喜欢看的一个片子，不知所云。尤其不喜欢那个臣风。            
(3星)	 那时候一直纠结在是臣风比较好，还是太子比较好的问题上  很幼稚            
(3星)	 颜行书和易建联有点挂像哦。            
(4星)	 主题要比现在的台湾偶像剧定位高多了。            
(NA)	 杀手，投篮机器            
(4星)	 算的上第一部接触的偶像剧吧~~~~~太子~~~~~最喜欢啦~~~~~            
(3星)	 爲什麽找人總是望前面不會周圍望……            
(3星)	 想当初是凌晨爬起来看的呢！！！            
(5星)	 虽然里面人长得都8咋滴。。。8过永不言弃精神可嘉。。很回味~~            
(4星)	 老早老早前真的觉得挺不错的呀，就像流星花园曾经是经典，现在看来好老套            
(1星)	 里面的男主角太丑了点            
(3星)	 怎么又看过。。            
(2星)	 演技……无语            
(3星)	 反正台湾偶像剧大多就这么点水准            
(5星)	 我最爱的偶像剧之一 不知道为什么爱主角不好看 剧情也老套            
(1星)	 篮球已经够傻逼了。拍篮球就更傻逼了。            
(4星)	 从此喜欢5566的歌~            
(3星)	 很久了。。一直记得里面的歌            
(5星)	 那个时候真的很喜欢，现在依旧很喜欢，我想我会一直喜欢下去。。            
(3星)	 看的挺早的一部片子，打篮球的场面拍的感觉挺好的。            
(1星)	 。。。丑人多作怪的烂片            
(3星)	 很青涩            
(4星)	 第一部看的比较多的偶像剧            
(3星)	 接触的较早的一部            
(3星)	 !            
(2星)	 好恶。            
(NA)	 那个美丽的夏天            
(3星)	 第一眼见到张韶涵，听得到自己内心的惊动。她就该这样被人捧在手心里的感觉。            
(3星)	 我只记得里面有个超屌的男人，叫高兴            
(NA)	 难看...            
(3星)	 哇，高中时代，和6-2姐妹在张悦的花岩家里看的。那时张韶涵还没出名呢。            
(3星)	 第一部看的偶像剧哎            
(4星)	 初中看的 当时觉得太子好好噢！真好！而且里面有一首歌是神话的耶 哈哈 Perfect Man             
(3星)	 偶像剧的标准——还行            
(3星)	 当时在电视上看时，并不叫这个名，应该是一部蛮热血的剧，不过没有什么我喜欢的演员            
(3星)	 還可以,,不過不喜歡5566那群人            
(3星)	 編劇到後面有點鳥            
(2星)	 只喜欢上了张韶涵的声音            
(NA)	 青涩            
(5星)	 my all time favourite. reminds me of him.             
(5星)	 哈。段臣风- -            
(3星)	 延续男二情结            
(4星)	 永不言弃。。。可以吗？？            
(3星)	 到現在都没想通為什麼這部戲會那麼紅~            
(3星)	 高兴！            
(5星)	 第一次看偶像剧            
(3星)	 神……我当初是为什么会看这部戏的呢……千古之谜……            
(3星)	 因为有篮球。。。            
(3星)	 生涩的演技却让人想起热血沸腾的时光。            
(4星)	 还是个人比较喜欢的篮球题材。            
(4星)	 也算是较早的偶像剧了，真的很喜欢里面的歌曲，现在听的时候都觉得很心痛呢，5566确实很棒~            
(4星)	 早期比较出色的台剧之一 当时非常哈            
(4星)	 喜欢，小希提着２个西瓜去太子家做客，挺搞笑的．            
(3星)	 我也比较喜欢她哦            
(3星)	 这个时期的张韶涵不好看啊。。。            
(3星)	 天后张韶涵就这样低调出道。。            
(4星)	 当时看的可入迷了。            
(NA)	 哈哈哈            
(3星)	 插曲是宝儿的歌  喜欢            
(4星)	 初中的记忆~~~            
(1星)	 看的第一幕是张韶涵下战书 那时候简直呆住了：这小姑娘好白啊！小小的白白净净的(*^__^*)  剧情很无趣 毒害无知少女（诚如当年的我）            
(4星)	 当时很喜欢的一部电视剧            
(3星)	 小孩子么。。觉得蛮好的。。当时的感觉            
(NA)	 从这部里面开始认识张韶涵的            
(4星)	 曾今超级的迷恋啊~！            
(NA)	 无趣            
(4星)	 張韶涵的處女作。演技稍顯稚嫩，不過也不錯。當年太子被稱為又有錢又帥。我的娘啊。            
(5星)	 唯一一部我反反复复看过20遍的台剧！56forever！            
(3星)	 那时的张韶涵只是可爱，还称不上美丽。片子有关篮球，所以我还是乐意看的。            
(NA)	 老早了            
(3星)	 当时不明白明明是偶像剧，但为什么男主角这么丑？女主角也不够好看。当然了，后来张韶涵同学是越来越漂亮了，只不过对颜同学的印象一如既往            
(4星)	 高兴很帅的。            
(NA)	 太久了~高中的午饭小菜            
(NA)	 有点傻            
(2星)	 纯粹是为了看陈宇凡的iceman            
(NA)	 颜行书蛮帅的，陈宇凡啊你还是单眼皮好。            
(2星)	 那个颜行书不是一般的丑，是没天理的丑。不过陈宇凡很帅。            
(3星)	 不到最后一刻，谁也不知道会发生什么。不要轻言放弃，否则对不起自己--小希            
(NA)	 可以   好看            
(2星)	 台            
(NA)	 超级喜欢            
(4星)	 我很爱里面的芭比            
(3星)	 喜欢那个篮球挂件            
(3星)	 一般            
(3星)	 那个时候看张韶涵还很顺眼的，甚至看颜行书也很顺眼的，现在两个都不怎么顺眼了= =            
(2星)	 实在受不了颜行书Orz            
(4星)	 励志的爱情故事            
(5星)	 永不言弃            
(NA)	 实在不喜欢            
(2星)	 男主角长得太......            
(4星)	 高兴            
(3星)	 更假，妆很苍白            
(NA)	 挺好            
(5星)	 剧情不错  ，当时还不知道张韶涵和5566呢。            
(3星)	 那个时候太爱篮球了，连整套VCD都买下来看了。            
(NA)	 男主少了鞋子哥            
(3星)	 一般般，主要没看到有帅哥            
(NA)	 虽然是很俗套的偶像剧 却对我有很特别的意义            
(NA)	 初三就聽說了...但都直到..高二暑假才看...那是因爲海豚灣戀人..            
(3星)	 驚覺……自己原來看過這麽多肥皂劇            
(4星)	 还记得当年的“田雨熙”吗。。。            
(1星)	 太可怕了...如此弱智的片子...彻底让我放弃台湾电视剧            
(5星)	 曾经的最爱！            
(NA)	 一般            
(3星)	 偶像剧            
(NA)	 在当年还不错吧。。            
(3星)	 年轻的我看这部才知道5566，才知道台剧如此高校，喜欢里面的高兴            
