http://movie.douban.com/subject/2170936/	香帅传奇
(NA)	 当年的郑少秋啊~            
(5星)	 这里头的秋官真的超帅啊~~~~~~~            
(NA)	 小时候最爱看的香港电视剧，没有之一，香帅可是我梦中的目标啊            
(4星)	 郑少秋才是最适合演香帅的人选啊            
(4星)	 支持郑大叔版的香帅            
(NA)	 小时候好喜欢的！！至今都记得杨丽青是童年记忆中最美丽的。            
(NA)	 儿时的最爱现在好怀念也因此爱上了武侠            
(4星)	 很怀念以前            
(4星)	 那一年我三年级            
(5星)	 永远的香帅~~~            
(4星)	 很舊了。。。            
(NA)	 楚留香。。。            
(4星)	 天大地大……            
(4星)	 这绝对是我一年级看的...            
(3星)	 天大地大何处是我家            
(4星)	 经典 多情楚帅            
(3星)	 小时候很稀饭杨丽菁的说~             
(3星)	 秋官啊~~~            
(4星)	 经典            
(4星)	 楚留香那个帅啊            
(NA)	 郑少秋也是我觉得莫名的主角命。            
(4星)	 针对那个年代的分数 天天追着看            
(4星)	 第一次夜里看连续剧。            
(5星)	 以前觉得最帅就是郑少秋了            
(3星)	 小学的时候暑假看的吧            
(4星)	 哦。。。天大地大何处是我家            
(5星)	 我相信楚留香就长这样(¯﹃¯）            
(4星)	 超级喜欢杨丽菁，当时简直觉得她是仙女啊，只是后来很少再看见她的作品~            
(3星)	 起初的楚留香在我心中形象还是很高大滴            
(3星)	 很小的时候看的 印象有些模糊了。。。            
(4星)	 对比原著改动很大，但很经典。            
(4星)	 我只看过这个版的            
(4星)	 童年的记忆~那时候觉得可以飞檐走壁的超帅～～！            
(3星)	 不错            
(4星)	 郑少秋好帅啊。。。当时看的时候觉得杨丽菁怎么这么错其 还是那个公主讨人喜欢点。。。            
(3星)	 小时候超喜欢.后来知道了这部剧拆散了一段婚姻.就再也没有兴趣了            
(5星)	 天大地大。我是老臭虫。姐姐是铁公鸡......为什么没人是香帅？            
(5星)	 最传神的楚留香            
(5星)	 还记得小学暑假，东方台，每天中午十二点，播完以后同一时间播的是《我和春天有个约会》，然后是《北京夏天》            
(4星)	 小时候的最爱，主题歌《天大地大》当时也挺红的，不过现在看看就一般了。。            
(4星)	 ╮(╯▽╰)╭江山易老红颜老，虽然指的是局不是古龙原著，但是还是很喜欢啊，主要是香帅和无极            
(5星)	 那时候觉得上官无极是天仙来的。。。美            
(5星)	 时至今日 仍影响我的择偶观~~            
(3星)	 敢再丑点么？            
(4星)	 真的很帅~            
(4星)	 看过 看过            
(4星)	 当年的杨丽菁啊            
(5星)	 很长一段时间里我都以为香帅的原配就是无极，以至于看小说里香帅和N多女性暧昧极为不爽，囧            
(5星)	 - -！            
(NA)	 兰            
(3星)	 虽然很喜欢楚留香，但是觉得这个还行吧            
(3星)	 当年一直不知道香帅是什么意思...            
(4星)	 小时候很喜欢，现在看来也不错            
(4星)	 小时候，奶奶家，下午三点。天大地大何处是我家。            
(4星)	 更加久远            
(4星)	 小的时候迷恋女主角哦            
(3星)	 一到中午就去同学家看，究竟讲的啥却没甚印象            
(3星)	 楚留香呀。            
(4星)	 美丽的杨丽青啊 一直记得她叫楚大哥的样子            
(NA)	 男主和女主最有爱了~~            
(NA)	 陪我爸一起看的，当时还迷恋古龙了一把            
(4星)	 记不清了   少时回忆             
(3星)	 知道了一个词儿怎么用：红粉知己            
(5星)	 风流倜傥小娇郎啊...            
(4星)	 十三啊            
(5星)	 我小时候大概看了6遍，有这么经典吗？现在也会这么问，不管了，当时对于我而言就是最好看的啦~~~            
(5星)	 我喜欢。            
(NA)	 当年的秋官真的很帅            
(4星)	 天大地大啊何处是我家            
(5星)	 女主角长得很有感觉，身材特好。当时的郑少秋很潇洒。            
(3星)	 印象最深的是楚留香摸鼻子~            
(4星)	 啊哈哈。            
(4星)	 当年的郑少秋是多么年轻多么帅气啊            
(4星)	 啊哈哈。            
(NA)	 模糊            
(3星)	 一般一般，小时候看武侠片就得安心，不过不太喜欢古龙的缠绵悱恻。            
(4星)	 忘差不多了  不过郑少秋到很楚留香  小时候电视观看            
(5星)	 当时很爱看呀...            
(4星)	 经典            
(5星)	 郑少秋的楚留香的最后一部,难忘,天大地大.            
(3星)	 absolute小学            
(NA)	 香帅就是帅            
(3星)	 当年的 杨丽菁            
(5星)	 和戏说乾隆同样强大，不过个人感觉要更好看点，起码少帅那时候的确是粉嫩小生嘛            
(5星)	 太喜欢那时候的郑少秋了，万人迷啊。也是个神奇。这片拍得很有感觉，现在想起来觉得再看应该还是喜欢，就是有一种只有那种年代才能拍出这样的片子的感觉。            
(3星)	 想起了姐姐            
(NA)	 很多年后才知道里面的故事是瞎编的            
(5星)	 郑少秋就是适合演香帅            
(4星)	 当时就觉得郑少秋好帅= =，情节是一点都记不起来了            
(5星)	 香帅就是童年时的偶像了            
(4星)	 好早的            
(4星)	 小學時的電視劇，當時也沒看完，偶然想起了，便又再看了一遍            
(4星)	 看这片时觉得杨丽菁非常之美            
(4星)	 （摸一下鼻子）。。。给个四星吧            
(5星)	 小时候因为这个剧超迷郑少秋的 我的香帅啊~~~~            
(5星)	 这个是我小时候对武打片最深的印象。。            
(5星)	 童年回忆，五星。            
(3星)	 歌很经典            
(5星)	 除了秋少，香帅不看其他人。除了香帅，秋少不看其他作品。            
(4星)	 楚留香怎么能不跟上官公主在一起···            
(5星)	 主题曲我也很喜欢 。。            
(5星)	 天大地大何处是我家            
(4星)	 盗帅夜留香，销魂在何方？            
(3星)	 现在再看，怎么看怎么土            
(4星)	 儿时记忆中不可缺少的一部电视剧            
(5星)	 xiangshuaiya             
(3星)	 某年暑假天天早上起来必看            
(4星)	 我喜欢杨丽菁来着^_^            
(5星)	 古装武侠片最高！            
(3星)	 具体内容糊上了……记得是97年播的，完了正好赶上内谁谁去世，停播了好几个月……            
(5星)	 当年大爱的一部电视剧啊！！！郑少秋演这个的时候快50了吧，肿么还能那么帅~杨丽菁也好漂亮的说~~~            
(4星)	 哇 小时候看的第一部连续剧诶            
(5星)	 一袭白衣，美好            
(5星)	 当年的花痴啊～～～            
(5星)	 童年回忆呀，太经典了            
(NA)	 觉得香帅真是帅啊！            
(3星)	 郑少秋筒子是偶童年YY中的倩影……那时候，我一直把这个读成“香师传奇”            
(5星)	 有实力又有外貌的女打星不多了，杨丽菁真pp            
(NA)	 到底有几部a~~~这好像是较晚的一部了~            
(4星)	 小偷啊…………            
(5星)	 当年的看他们打啵我激动得冲到隔壁跳上床把脑袋捂着。。。            
(4星)	 几乎记不清剧情了，但为着那个夏天，依旧四星~            
(NA)	 !!!            
(4星)	 杨丽青好美！            
(5星)	 天大地大，何处是我家            
(5星)	 当年的经典。            
(NA)	 喜欢杨丽菁。            
(NA)	 儿时看电视的乐趣之一，当时觉得郑少秋太帅拉            
(5星)	 很爱很爱~~            
(2星)	 秋哥不错，配音太烂            
(4星)	 哦~~小时候很傻的跟着电视唱“天大地大，何处是我家”哈哈~~~            
(3星)	 郑少秋演香帅还是适合的.            
(4星)	 哈哈哈哈哈 天大地大 何处是我家            
(4星)	 先看电视后看小说，从此楚留香的造型就定格在了郑少秋上            
(5星)	 小时候在南宁看的~很帅，清晰的环境，流畅的线条，影响了我小时候对美好生活的意向。            
(4星)	 对秋官风度翩翩滴样子HC很多年            
(NA)	 看过一点            
(5星)	 我的心头爱啊            
(4星)	 初中的记忆            
(NA)	 现在想想以前真是S13，还真相信挥来挥去~~~            
(4星)	 最帅的记忆            
(4星)	 当年根本就一头栽进去了OTZ            
(5星)	 兒時回憶啊！！            
(4星)	 当时的香帅是多么地帅哇            
(4星)	 很喜欢那个公主            
(NA)	 很小的时候看过,很喜欢男,女主角            
(5星)	 郑少秋 很适合古装　当年很帅            
(5星)	 我觉得最帅的楚留香~            
(NA)	 幼儿园时候看的~~~哈哈~~~怀念来            
(3星)	 真的很不喜欢郑少秋，连带的连楚留香也喜欢不起来了......这部里他也太老了吧.........（年轻的时候的也不大喜欢......）            
(5星)	 楚留香是我的梦中情人啊~~            
(4星)	 经典香帅            
(3星)	 那时候觉得这俩人挺配~            
(3星)	 小时候很喜欢楚留香呵呵            
(5星)	 童年的美好回忆            
(5星)	 这是小时候看过的经典。虽然对原著有了一定程度的改编，不过那个时候谁知到原著是什么样子呢……郑少秋演的楚留香风流倜傥，应该说后来的任贤齐、朱孝天没有人能比得上。可能美中不足的就是当年的特技有点差吧……            
(3星)	 很早看的，忘了            
(4星)	 儿时的大爱呀~~O(∩_∩)O~            
(2星)	 最讨厌楚留香了             
(3星)	 老片啊老片。            
(4星)	 小时候常常拿扇子扮香帅，觉得女的漂亮男的风流又帅气！香帅传奇在我们小时候也是一种传奇！            
(4星)	 经典的楚留香            
(5星)	 很小的时候看的，只记得从那时起喜欢上了郑少秋。            
(5星)	 小时候最喜欢的电视，看了三四遍。秋官~~            
(3星)	 没看全            
(3星)	 小时候真的是很喜欢            
(NA)	 我到现在都还记得蓉蓉的样子。            
(4星)	 嗯，古龙的东西一向都不错。            
(NA)	 楚留香曾经是俺的梦中情人哩！            
(4星)	 郑少秋嗲            
(5星)	 那些小时候...            
(NA)	 帅哥美女不看都不行。            
(NA)	 男主很帅，剧情离谱 Orz！            
(NA)	 记得还是录像带子看得            
(5星)	 从前的爱啊，仅次于陆小凤传奇            
(5星)	 古龙当中的经典            
(3星)	 ，那么早            
(NA)	 記憶模糊了.            
(2星)	 帅个头            
(NA)	 上官啊。。。曾經的本命~            
(5星)	 已经记不清讲啥的了            
(3星)	 发现什么楚留香传奇没看过 感情是香帅            
(4星)	 那时候一年级吧，因为楚，郑少秋是我第一个梦中情人，哈            
(NA)	 很像啊            
(5星)	 小时候一到暑假就拨香帅一到寒假就拨新白娘子~一连看了好几年-_-!            
(3星)	 楚留香是多少人少时的梦。            
(NA)	 好久以前。。。            
(4星)	 好吧好吧，只是因为回忆            
(4星)	 楚留香的故事很多···            
(4星)	 哪里还有得重看啊            
(4星)	 杨丽菁是大美女，小时候被她迷得七荤八素的~            
(NA)	 。。。            
(NA)	 美女丽菁~            
(3星)	 经典            
(5星)	 经典哦!            
(NA)	 小时候爱看到要录下来再看一遍。            
(5星)	 N年前看过，但是记忆不深了诶。            
(4星)	 很迷恋杨丽菁呢 因为这个而看了很多她的剧            
(5星)	 杨丽菁啊，当初很喜欢的            
(3星)	 楚留香老啦            
(4星)	 虽然不喜欢郑少秋，但那个时候觉得杨丽菁确实漂亮啊，天大地大何处是我家            
(4星)	 最经典的楚留香啊            
(4星)	 小时候看过。还不错。            
(NA)	 经典之极啊，秋官、香帅            
(5星)	 算个经典            
(NA)	 小时候很喜欢这部现在重拍的都比不上这个            
(5星)	 童年的回忆            
(5星)	 当时觉得楚留香就是世界上最帅的人了            
(NA)	 孩提时代            
(4星)	 那时觉得，郑少秋还真有味道。            
(4星)	 哈哈。你知道夏光莉是哪一个？《新白娘子传奇》里面的碧莲。            
(5星)	 我记得当时才读小学，每晚熬夜，在贵州台的晚间档观看。那种喜欢如今是望尘莫及了。            
(3星)	 还行。            
(5星)	 秋官~~            
(NA)	 楚留香果然还是秋官的好～～            
(NA)	 令我痴迷痴迷再痴迷的。。。            
(2星)	 比起当年的《楚留香》，差的那叫一个远啊            
(4星)	 其实不记得了            
(5星)	 最初喜欢的武侠剧吧 貌似 喜欢杨丽菁。。。片头曲很好听的叻。人郑少秋还依然风流倜傥的歪~~~            
(NA)	 虽然剧情已经淡忘，但主题曲依然记得~~有空就去重温一遍~~~            
(NA)	 香帅传奇            
(4星)	 练霓裳为了楚留香一夜白头。。。            
(NA)	 我看的第一部武侠。主题曲很好听            
(3星)	 天大地大~~            
(NA)	 我童年的回忆，最最喜欢的一部电视剧了            
(NA)	 电驴下载完成，已从单位考回家            
(NA)	 看过，与原著无关。            
(NA)	 看过了 好看             
